N,P,T,N_next,N_next_noisy
1.471298427703845562e+02,2.878081213404538730e+01,2.493604644355701083e+01,3.803632460334356868e-01,1.387087561339229946e+00
1.442869218559042395e+02,9.597417735700156527e+01,2.860196473554978525e+01,3.634740960170106394e-01,-2.347688382948957653e+00
1.089937011752565184e+02,1.302630307324250509e+02,1.097066957965709832e+01,1.247159506845973320e+00,-6.418537391216994070e-01
8.164280147656769770e+01,9.959573028192702182e+00,2.080099371395798258e+01,4.646312749007469378e+00,4.471540656952307735e+00
4.225678940276025486e+01,8.666609568022940380e+01,1.190664923289671862e+01,1.411071025238610588e+01,1.368851984080975193e+01
2.493714930749390390e+01,1.820831828574483069e+01,2.773031320478840200e+01,1.442965554830074559e+01,1.464329854579935741e+01
1.455188865692037439e+02,2.835125290718191238e+01,2.906665046961041199e+01,1.255441330845723513e-01,3.428660641071359372e-01
7.789421924663392360e+01,5.452024133678202134e+01,1.111780886914595357e+01,2.732812136096651745e+00,4.850650891147699539e+00
1.826397625814477621e+01,8.394371362979656226e+01,1.198447562542440004e+01,1.747709993872916812e+01,1.636507917603688611e+01
9.389997357508755726e+01,8.167778274537563732e+01,1.915318208784579923e+01,8.759726139787112231e+00,8.382121132660113716e+00
1.167257840370023985e+02,7.609385213049831975e+01,2.549863757971138867e+01,2.027371579050436079e+00,4.070143186542766855e+00
9.233749185690302852e+01,1.436317866397895671e+02,2.232056633044165395e+01,1.060854436065224959e+01,1.125524735685409716e+01
1.376773580138444970e+02,7.689182284862933159e+01,1.663440600987349782e+01,1.402779256323417156e+00,2.065842628699678940e+00
6.899338622966226353e+00,1.102313244895410236e+02,2.193682314571716319e+01,2.576428819617103017e+01,2.525028182448356873e+01
7.975980022574321993e+01,5.081066581776817515e+01,2.595924819470807421e+01,5.844990847174265092e+00,4.196915676318612398e+00
6.944104654992516146e+01,1.119057171093305385e+02,2.842997455877635460e+01,5.815803998988001489e+00,5.983268743210742535e+00
1.029008729333146377e+01,1.124357028857061636e+02,1.276648528231310031e+01,1.521055059509539831e+01,1.531956468291694584e+01
9.655789720176686330e+01,1.007652407038611528e+02,2.686040832875323048e+01,3.466423960449652064e+00,2.239071906205078122e+00
1.280422929336178584e+02,1.133900666008166667e+02,2.295820673003703405e+01,2.579460002252563111e+00,1.896233340472000872e+00
8.934821169753831782e+01,8.628114768668896772e+01,2.072607713179098710e+01,1.065348378078740588e+01,1.058144010106017774e+01
3.975451971284626040e+01,1.284902967131515084e+02,1.881553930683056208e+01,5.887450034443624247e+01,5.792974872137546782e+01
1.261423466336799066e+02,1.250475562772393943e+02,2.021609020695236580e+01,3.436629321350609167e+00,3.338359353498391968e+00
7.691488634670488977e+01,1.536207631096926995e+01,1.917450042462004944e+01,6.935113164449405510e+00,7.030596191918859539e+00
7.712244378551342550e+01,6.780501231606525891e+01,2.341381394948103178e+01,1.198063127498440039e+01,1.201621751203988531e+01
1.132015009476245098e+02,1.898013759542862289e+01,2.824062813727327637e+01,4.423807611234745196e-01,-6.391089719084025456e-02
2.304038333195852672e+01,1.426303168544643540e+02,1.473764535461445924e+01,4.237985005955607676e+01,4.297359813134190176e+01
1.231243811487722724e+02,6.579878824557677319e+01,1.004128765128203327e+01,3.704209592761595893e-01,1.261587913558487983e+00
1.028097489944853180e+02,3.379166939701672590e+01,1.051516094259906886e+01,6.246805599976087420e-01,9.455288645641723999e-01
1.182774442916653470e+02,1.258066527166626400e+02,2.823393252653468721e+01,1.168896438305300212e+00,3.506662109149931705e-01
2.955082259400014877e+01,1.399520777983811648e+01,2.857665398962323522e+01,9.634745951453872692e+00,1.036639823523931270e+01
1.205522600090449714e+02,2.395895534823739581e+01,2.750298001758216060e+01,4.839295692952147454e-01,-1.751044917183758320e-02
2.950726498252284102e+01,1.021456605756809921e+02,2.164946244821985388e+01,6.516676518967007326e+01,6.604592580795805645e+01
1.315133998716339470e+01,7.660607511043481566e+01,2.170423790479032533e+01,4.783323198104699259e+01,4.676144456416955109e+01
1.284288191687734582e+02,4.082690527446555961e+01,1.807820551594618763e+01,1.486822458833267468e+00,2.401289661962048516e+00
1.293312409304726032e+02,8.686568562006465299e+01,1.675639381842024989e+01,2.063056053659934275e+00,2.042992599044453961e+00
1.316040273660704827e+02,3.190016739791821720e+01,2.866445723246079069e+01,2.651750989381564949e-01,-9.835737913962590007e-01
7.131454818445973842e+01,4.707610602370479569e+01,2.060677451797368320e+01,1.571316261436778383e+01,1.539926314240093674e+01
4.183320990344402190e+01,9.204803150699331127e+01,1.550418712202325722e+01,3.581188662830513181e+01,3.586598890707667664e+01
2.056682461871773171e+00,1.325568910637365718e+02,2.314452766304362186e+01,3.973314554523085018e+00,4.246105893687539101e+00
9.721241344066721979e+01,1.057735626433126868e+02,1.183319805178544826e+01,2.334823914439875914e+00,1.352635789498898067e+00
1.082664981427952569e+02,9.684093983719225207e+01,2.367377089933231105e+01,4.372986265587793575e+00,3.265613218422600550e+00
1.254998132585408541e+02,1.122504234236812124e+02,1.544823370051543776e+01,2.208027716369361571e+00,2.407612249216442457e+00
4.299979627731678278e+01,5.737799131415070519e+01,2.388228721244842490e+01,3.378383655785316364e+01,3.331708694097336121e+01
3.306750690728306807e+01,1.471657309703771261e+02,1.963855519250125070e+01,7.002299237790447251e+01,7.025849798963469084e+01
9.626037562992158314e+01,9.207776682118215206e+01,2.722367112766266217e+01,3.037948995124535312e+00,3.797468517602914595e+00
1.209531701386064384e+02,3.937663005122926307e+01,2.513242764898548387e+01,1.221859349317527377e+00,-4.269280170334210922e-01
1.445869600539006683e+02,6.358821929628311942e+00,2.966520979583540552e+01,4.520757147604051451e-02,2.995956879936577666e-01
2.342819973275544498e+01,1.765158220908792686e+01,2.161344172557293319e+01,4.530961047550889731e+01,4.653425744304463052e+01
7.284964584170114676e+01,3.057786359060380832e+01,2.652429236014292258e+01,5.091421529436635396e+00,4.793894685066161898e+00
1.343126634672298394e+02,1.104215232125159787e+02,2.317427585099242293e+01,1.992495058464576863e+00,1.181680475227006921e+00
6.398481913487015760e+01,1.223636535064195527e+02,2.473472373881165964e+01,1.897711029729482846e+01,1.972935412447442260e+01
8.883580725052316041e+01,1.388924739122675192e+02,2.790879985506888517e+01,3.777506016360753893e+00,4.030952532568895741e+00
4.649110946511116893e+00,9.679362504145780122e+01,1.625853481989976146e+01,1.228603024450565151e+01,1.318191331528321264e+01
1.013455231857878971e+02,4.529427150635108745e+01,2.592348527601269481e+01,2.391022167157206724e+00,2.045806457105927123e+00
1.379442043254395571e+02,1.259914943121797961e+02,2.853675774311897229e+01,5.348137897609238633e-01,-9.470044839612873355e-01
1.241969741039514332e+02,1.430670553126863638e+02,2.978028890328356582e+01,5.761435043585129145e-01,4.661327396472619289e-01
1.329425197397820568e+02,1.048386721655999025e+02,1.291636097609699441e+01,9.120091400810336202e-01,4.661809870698014335e-01
9.939295169755797588e+01,1.178134795565021520e+01,1.562456363638002443e+01,1.599237077048404565e+00,2.374560899095978783e+00
3.758728781923345963e+01,6.223631454051343326e+01,1.849357746630975896e+01,5.131920763355375215e+01,5.151284048193090825e+01
1.155090328355419018e+02,3.809260084143641478e+01,1.761698341207220864e+01,2.223440890303935547e+00,5.925916578688343872e-01
3.253953664851906780e+01,1.409498162710096949e+02,2.874938272252839866e+01,1.519447635373594530e+01,1.399931327363274569e+01
1.248599503650047211e+02,1.218573852777846298e+02,1.050257368115167367e+01,5.851011026798274006e-01,1.468890139267082784e+00
1.034497046304446854e+01,1.141913970740169937e+01,2.792975966292137713e+01,8.441271114889989491e+00,9.121036132307835942e+00
1.239976841956398204e+02,9.180535761795731275e+01,1.169726071864044137e+01,7.997155353020400925e-01,1.594721693935513551e-01
2.551158270464109279e+01,1.477869898844595014e+02,2.875090062366409072e+01,1.614148796317081391e+01,1.614043916660353162e+01
5.689690247799963885e+01,7.904711292595023053e+01,2.842591983263809396e+01,7.949762372753577999e+00,8.395335926529764237e+00
4.819398681698768172e+01,1.335267602957355848e+02,1.964555638480664612e+01,4.920233258260880405e+01,4.967073691845607897e+01
1.040092182563834484e+02,1.220372709046802129e+02,1.348401825963992806e+01,3.161277386672241008e+00,4.037519582786591066e+00
2.760720984798141586e+01,7.125907243103398514e+01,1.382957430344052163e+01,3.035535367590988898e+01,3.061183930313145041e+01
6.004216817033098152e+01,6.685925106244000915e+01,1.518824606700249547e+01,1.753701878209683684e+01,1.744219044312833944e+01
1.867864671089160877e+00,2.508602697502969647e+01,2.697834682533378725e+01,1.192765888752540970e+00,9.339178239646954705e-01
4.011171219976512248e+01,5.381596594688820545e+01,2.081498381114942831e+01,4.778962215359241128e+01,4.884536495412566381e+01
6.375713332011433465e+01,2.951363467303945853e+01,2.749649218678168339e+01,5.495413086289642202e+00,3.244558811211104565e+00
1.678226426939134086e+01,1.270104299939148547e+02,2.509303966514616491e+01,3.849268793769130070e+01,3.835403261259996555e+01
9.534083195944711520e+01,9.090708740778998731e+01,2.935407761661382153e+01,1.540800408208837791e+00,1.573800512192897960e+00
5.768321621309331704e+01,1.405000984309217813e+02,2.322753872254956065e+01,3.058559855201531974e+01,2.916024959114513138e+01
1.090687967733595940e+02,6.214277841124359725e+01,1.340088751352698715e+01,1.828361904326984311e+00,2.161175517465030893e+00
9.842603564919076575e+01,1.055546888109014105e+02,2.093877982756107770e+01,8.330800858488302651e+00,7.679519846044908782e+00
6.525278556783352713e+01,1.251393777183639884e+02,2.478567696584179103e+01,1.813393725760511899e+01,1.899638205392086476e+01
1.302307553406876934e+02,2.918714773047771160e+00,1.715808862163426696e+01,3.564102531022084741e-01,2.308181690678812736e-01
9.518813250752488386e+01,4.910523758747372369e+01,2.999554936893591872e+01,8.716474504553857194e-01,1.540800691244838649e+00
1.217308784638385646e+02,6.599823897124012717e+01,1.434525527385284249e+01,1.497395612894815375e+00,2.716239218066038852e+00
5.192741386707683660e+01,1.393619131596626630e+02,2.853260804124459682e+01,1.043329916401722990e+01,1.081622874673070278e+01
8.200672416059988734e+01,1.307028396622276318e+02,1.979867582988480379e+01,1.639234765659969639e+01,1.551662651317685082e+01
3.024823588209825687e+01,1.359172816956853325e+01,2.689549625866003169e+01,1.586227804375183581e+01,1.434795941204719760e+01
1.494250373276755681e+02,1.433634084353865603e+02,2.065704071545718534e+01,1.640052292453006322e+00,3.393436409969378786e+00
3.723910418164274461e+01,9.440866752880573642e+01,2.101225961547442722e+01,5.875754474807949634e+01,5.864625255489197997e+01
3.927325261683830604e+01,1.171810253723720052e+01,2.414347003327996788e+01,2.159367083864361092e+01,2.090510589100928840e+01
1.190532078625393098e+01,1.038282150753189086e+02,2.048143452936064790e+01,4.878480258907579525e+01,4.892905967713662108e+01
3.941266473051375385e+01,1.284490318748211166e+02,1.896940445406998066e+01,5.972166617238773512e+01,5.953025484190508365e+01
1.147061513490639300e+02,3.956943719775140522e+01,1.237501948738558966e+01,8.241504203355497493e-01,1.676292684548237322e+00
1.049861420317791243e+02,4.907657202813736319e+01,2.345451438740145278e+01,3.472579271704815618e+00,3.506507454141916114e+00
2.017230863525824702e+01,4.237621080544111152e+01,2.920086828498652309e+01,1.051994639510288820e+01,1.053369597872130825e+01
5.705953671278604133e+01,1.056736022354629654e+02,2.885251752279070914e+01,7.453766966483828860e+00,6.739187245450864339e+00
6.371728779800197628e+01,1.080235964754268139e+02,1.093947986636191771e+01,5.599838950031615248e+00,6.069407048779108749e+00
1.000826527079321551e+02,1.163780353655784126e+02,1.873424319564428231e+01,8.064942626582082497e+00,7.031075904227099826e+00
6.893341549351858077e+01,1.382351285802155019e+02,2.191446973553994582e+01,2.422034450886550516e+01,2.488623394862947080e+01
8.839123069700417545e+01,2.809240903975544867e+01,1.197494438225159996e+01,1.660061984776714628e+00,3.183999497766846432e+00
1.261130059377324102e+02,1.065289418315633725e+02,2.421265892331902947e+01,2.234273607425933506e+00,7.095875693267816864e-01
1.092445679365431914e+02,9.720974540768082761e+01,1.866726006641156488e+01,5.347339681065284900e+00,2.881110449713967014e+00
5.538608226277528246e+01,4.013054126523775977e+01,1.259656525986639508e+01,8.949022029489686503e+00,9.565900784644005839e+00
6.781105009232815917e+01,1.463209637473635212e+02,1.425295611528043516e+01,1.418356172693813910e+01,1.673145954242126621e+01
5.578723588381098608e+01,7.206707355012112259e+01,1.036685994607025307e+01,5.170077357283179076e+00,4.169152508411285041e+00
1.735046493699781323e+01,1.423752938781404964e+02,1.460214418183923257e+01,3.734356149372851519e+01,3.609286573492652650e+01
3.128299006902209101e+01,1.457942951724456861e+02,2.401052292323471349e+01,5.202722513363340795e+01,5.261619406741387905e+01
4.328716685267553288e+01,1.351071662799559476e+02,1.986771486290083644e+01,5.624087226493946901e+01,5.540015067488116074e+01
4.780595044474302568e+01,6.946331863703389331e+01,1.467568595920169727e+01,2.389116631633206467e+01,2.338514083239532937e+01
4.764413096417071358e+01,4.268674173198077426e+01,1.505505559443442465e+01,2.200051664869181067e+01,2.165239918200803260e+01
8.692825772168984599e+01,8.827852896394863080e+01,1.946644407848150493e+01,1.180910577355135871e+01,1.234110785984315761e+01
1.457818063673434494e+02,6.798083910994317591e+01,2.466592120179974401e+01,7.885080195661848812e-01,3.832056581730662326e-01
1.164249561036360632e+02,7.076203569484123079e+01,2.956747986080051760e+01,5.764974318199543868e-01,8.543802719001145629e-01
1.188789582777479836e+02,3.736812021158742425e+01,1.997468540459653497e+01,2.159838127394460905e+00,1.983304868500885609e+00
1.141310065803974112e+02,1.264957082349402100e+02,1.886546843104919446e+01,5.122359083582445294e+00,4.277687979930842488e+00
8.995117184803970645e+01,1.098778898923549150e+02,1.758302060020299251e+01,1.037720589711570796e+01,1.005737963937248658e+01
1.377361463184660124e+02,1.299311300841011416e+02,2.643081179218958354e+01,1.026846036586576139e+00,7.644637141865751051e-02
1.037548931616150583e+02,8.019928506186063544e+01,2.152297677346412286e+01,5.857084236262842580e+00,5.863599222132591215e+00
7.555310817979378157e+01,1.480689601452143123e+01,2.831619184194134675e+01,1.838160371641099688e+00,7.142941440754631000e-01
1.248548746658027397e+01,1.294840319893215508e+02,2.096425562073585880e+01,5.170655113948689063e+01,5.061365677019164622e+01
7.377893483574305833e+01,1.131842903968323455e+01,1.397838501277511902e+01,3.406639991122434097e+00,4.863601806427690022e+00
3.271181830570981219e+01,2.402288541252496046e+01,1.210230593325765369e+01,1.303141202276860788e+01,1.297822780246326602e+01
2.077174833447130098e+01,1.416738993737228327e+02,2.076083360203553951e+01,7.114581048192664525e+01,7.109190845645460399e+01
7.640367345687657519e+01,8.466421136470023612e+01,1.381329843252990308e+01,7.943152510473455052e+00,8.454688930391073498e+00
1.179777085969468970e+02,1.015746141445922319e+02,2.397065388004542186e+01,3.024582834352142591e+00,2.603725831803271440e+00
4.495595997802239907e+01,1.233279074109856737e+02,2.566011890538701579e+01,2.788915309219374805e+01,2.766061772471558911e+01
1.155469922264658038e+02,1.000190132170828718e+02,2.554802122739046411e+01,2.423543824505793864e+00,2.848692559837702643e+00
7.931879895117586443e+01,6.715172192507205295e+01,1.812478733957547661e+01,1.293750500252180125e+01,1.321992084476620199e+01
2.320815548223616887e+01,8.190691327392548260e+01,2.101691529741720643e+01,6.592636996508603886e+01,6.476707323815361406e+01
1.447801938529806307e+02,6.037408525716810459e+01,1.453331121311631691e+01,6.401112582814340035e-01,1.473453854951095821e+00
6.084379735938910727e+01,8.700137332061778750e+01,2.037853629109698161e+01,2.966530990541550139e+01,2.907487496212645794e+01
4.498990409374167143e+01,1.328847575785856439e+00,2.634514956411340592e+01,7.647238302045232139e+00,6.591159351731046279e+00
1.272027572244257101e+02,7.673164833480458924e+01,2.278421608608251958e+01,2.186827906848450187e+00,1.286352836849398606e+00
1.954458954480649524e+01,4.549445606765569750e+00,2.334321451743434039e+01,3.067412758969876307e+01,3.028358224534343890e+01
1.103049786999818025e+02,1.734112037477237678e+01,2.912276737918140412e+01,3.468091298105221987e-01,1.974109384433589520e+00
2.898588664225477984e+01,1.271088729165372939e+02,1.573527480797159939e+01,4.993732431772865965e+01,4.876178841280788134e+01
5.948127462587478220e+01,9.924853147851162305e+01,2.299141479834056057e+01,2.712849670983713324e+01,2.728857260237147386e+01
3.555308189085862836e+01,2.814301275346662479e+01,2.769309062892411788e+01,1.361867973312950397e+01,1.148085537503892617e+01
1.263429709111656507e+02,1.123331762625226133e+02,1.664380923792620592e+01,2.591029309654581780e+00,2.589462376509384711e+00
5.912110823903940116e+01,7.189170716858855315e+01,1.100898693886276902e+01,5.864425171950962579e+00,6.763991589426969320e+00
1.462292291194611096e+02,2.109209511999620901e+01,1.589631575795718277e+01,3.664537919684344724e-01,1.297904699069793444e-01
9.416396117785090780e+01,1.395231685763117753e+02,1.579669749962118352e+01,7.710604132737612915e+00,7.081249208854271338e+00
1.043498023707343663e+02,1.780795967432484517e+01,1.574484741908916696e+01,1.653168856664194220e+00,1.884679920722731827e+00
7.870724319773020738e+01,3.941685844725509202e+00,2.050772809548600861e+01,4.044348293199643507e+00,4.744500044350293599e+00
4.703626166226307959e+01,3.923365754003265948e+01,2.124737222249435220e+01,3.438997912662477319e+01,3.505363669764218315e+01
5.993790673681188252e+01,1.394212613171079340e+01,1.770296485125791364e+01,1.268414774588454463e+01,1.465662159981433632e+01
1.411991939616233651e+02,3.491497328653786703e+00,1.643995171367241070e+01,2.189741696718713326e-01,4.281416420081480823e-01
3.097927690797500588e+01,9.833303959316893383e+01,2.047216591444612277e+01,6.691155212523364071e+01,6.631914202548070136e+01
1.482446162818116306e+02,2.066235870970246680e+01,2.460123808596772932e+01,3.074572796478639569e-01,1.814780896612212258e-01
1.139875734385689441e+02,8.501809676523619430e+01,1.064979771615145943e+01,7.588487528324004971e-01,6.863502072125884368e-01
5.460825204739892769e+01,3.714588454649192073e+01,2.651470214976293249e+01,1.141265809363877359e+01,1.152139547711689183e+01
9.658552483633489771e+01,1.411568702293589865e+02,1.264868581426942384e+01,3.437364164803034416e+00,3.407336351573599487e+00
5.776624935467004462e+01,3.316254225592607696e+01,2.812804710350971504e+01,6.020017343037227242e+00,6.193983281933430618e+00
5.784244696334808111e+01,7.857755422489417185e+01,1.985346946407944557e+01,3.179220616080813500e+01,3.012135610019302234e+01
7.606663957898490480e+01,1.105131014377768111e+02,2.128510480791459258e+01,1.846220350681293709e+01,1.929183246285298026e+01
3.491700423671185494e+00,4.735835787579186018e+01,2.961648235306295263e+01,1.503537540847629472e+00,9.287982719265971410e-01
7.454216243156602673e+01,1.249291691178962225e+02,2.794436541074945168e+01,5.924123801020221514e+00,4.750965104573197095e+00
1.457681636035863164e+02,4.778286386757996240e+01,1.890174901973325916e+01,9.265593249819259469e-01,1.564310484623361752e+00
4.353431908905118775e+01,5.879114950234129111e+01,1.404566650741782041e+01,2.230475242375802480e+01,2.362207843114410721e+01
1.124844759024152125e+02,6.512785409663300129e+01,2.191499882557406664e+01,3.677361396229357204e+00,4.170389545728800051e+00
6.697554462050376856e+01,6.341522416783897143e+01,1.080369224199947098e+01,3.928557726378079096e+00,4.089717040223599831e+00
3.218287535005003264e+01,9.158360450715176171e+01,1.134146090739504587e+01,1.455516779347130196e+01,1.362294748809934930e+01
1.358453830519013081e+02,3.471059612837478880e+01,1.452588434547223351e+01,5.926190484049701501e-01,3.464186386218468972e+00
3.507265417351736136e+00,5.005290245600151877e+01,1.835500362928871709e+01,9.202061240816741261e+00,1.008231986147824877e+01
4.622283006332708766e+01,3.511683266630971190e+01,2.387410236854915269e+01,2.590065403453447246e+01,2.476135936419149530e+01
1.498548564662666820e+02,4.226484202901685450e+01,1.197825152651607716e+01,2.064515513227032639e-01,-5.731863649170412245e-01
4.005987263230843354e+01,1.146545665984368156e+02,2.709707623525875420e+01,2.146911131510362480e+01,2.155609056367552867e+01
1.275076337570315275e+02,9.476074631945839144e+01,1.899555389875415301e+01,2.795000879309550879e+00,1.240269747313564652e+00
9.124678914969993571e+01,1.444556060611811290e+02,1.387835684785590651e+01,5.810420709997893063e+00,5.979051117008407523e+00
1.210993204215414210e+02,1.425693760534302044e+02,2.728898386197680281e+01,1.498575026116707454e+00,1.039503470403948304e+00
9.491734556107826393e+01,3.155773158926803035e+01,2.381757784626558561e+01,3.702912402728318231e+00,4.929183003044535383e+00
5.504183170161940808e+01,3.228195935821069185e+01,2.719684037862268156e+01,8.772927466348912517e+00,9.735082129977159937e+00
1.143575289029388955e+02,1.362395462226450888e+02,2.930293413441442851e+01,9.526090962670018536e-01,-1.758676341167770829e+00
4.946197786691878484e+00,2.170501396351290069e+01,2.639205181765283470e+01,6.096162857732696949e+00,6.137865443760009754e+00
6.757512980843333139e+01,1.144165720025029032e+02,1.686016035320442441e+01,2.122078325365917806e+01,1.960331575413549032e+01
5.640633091064579219e+01,2.957220469548531483e+01,2.973657385926254904e+01,3.391879680162257049e+00,4.501517679410779849e+00
7.208402683996507676e+01,2.231246287386847982e+01,2.506059366745161654e+01,6.250423891062849791e+00,6.418529760190674338e+00
2.001548228791437367e+01,6.644733950375358233e+01,2.638063844819849635e+01,2.774482701022025921e+01,2.829323246240725709e+01
3.415352302599459478e+01,1.029248918995574655e+02,1.729646096725251780e+01,5.593047045273001316e+01,5.486534572392671549e+01
8.474568692485669885e+01,1.267811340072445461e+02,2.193451655716401305e+01,1.369883522171878454e+01,1.552726545971428429e+01
5.877759823273714090e+01,3.201450576196670283e+01,2.244665592392500741e+01,1.895408955084006664e+01,2.097416291799051180e+01
1.189567746329607445e+02,1.585588720373345595e+01,1.554347197790643875e+01,8.243491034376028148e-01,-2.404219391886096568e-01
9.116535180234964741e+01,1.191142250710757509e+02,1.958065928198016081e+01,1.148232901064705835e+01,1.185514413251337373e+01
1.293287360332621176e+02,6.820156654119446671e+01,1.543183923177759453e+01,1.448237953336626749e+00,7.749355249464399131e-01
1.101217647615150810e+02,9.182588059518988644e+01,1.575898270309689941e+01,3.642193958854935687e+00,3.618624021994203410e+00
9.067169371602618355e+01,8.804602454395069344e+01,2.308513386491905095e+01,8.559191595813043563e+00,7.293554616588480144e+00
4.385472472720335446e+01,1.143618069719781403e+02,1.039827643848696148e+01,8.477433077674229267e+00,1.034457859225484810e+01
1.176313097209990985e+02,1.484442780919746099e+02,2.516380472193766593e+01,2.914559629030883503e+00,1.945380117948215526e+00
3.843886914749118944e+01,9.756563188088432526e+01,1.970080081362942437e+01,5.878292735550294879e+01,5.848684354050545409e+01
1.220645566034625951e+01,5.541651908729276244e+01,1.251301825394373424e+01,1.468610139003595982e+01,1.518758432114648294e+01
1.444668221880409362e+02,2.705858399512490209e+01,1.966023994795067154e+01,6.515730455791358677e-01,4.012367163007346527e-03
8.146166955937390242e+01,1.632894402445866433e+01,1.750874331613516333e+01,5.256645483378346917e+00,5.017333053646044760e+00
1.163102503349218892e+02,1.040415695940174317e+02,2.747947959922675665e+01,1.453970848800225424e+00,8.903310023732609046e-01
7.985419833692365899e+01,3.901043764831759120e+01,2.345868339479356024e+01,8.089692786717545658e+00,7.956232031881251388e+00
9.212537982540139581e+01,4.236256980990986420e+01,1.449165708146738396e+01,3.615958595087939820e+00,2.445415959987637056e+00
6.049945326959429437e+00,6.705868451629952176e+01,2.831321979317323212e+01,5.479540777207004609e+00,5.041552701604704367e+00
2.883225822371747071e+01,7.961218221186909716e+01,2.731552342533105104e+01,2.259555816627020874e+01,2.238866524155796611e+01
1.015287199197818353e+02,6.300605500341245602e+01,2.086581578277271731e+01,5.752842860090361832e+00,5.419116856286226636e+00
8.601412509492223535e+01,1.433999481107653082e+02,1.152105164936510562e+01,3.491643519523507599e+00,3.548333474417302735e+00
2.462470006402018896e+01,4.541557501443237754e+01,2.326440568848514800e+01,4.806837924040450361e+01,4.777527702104778484e+01
1.428523610402015436e+02,9.070077544958883209e+01,1.846086630250001193e+01,1.548078897790856834e+00,2.301290306230237448e+00
2.399869124956324029e+01,3.420568323837030356e+00,2.253957955591297591e+01,3.227214568664498984e+01,3.194894976085916127e+01
7.703518421106412006e+01,1.050200440740526631e+01,1.196424296720133640e+01,1.622219127916305181e+00,1.485569531620420936e+00
2.245642837786939339e+01,3.064308530894196991e+01,1.229917113639585935e+01,1.654382607561140617e+01,1.587904473961555318e+01
1.078883871898289613e+02,4.292008818682493398e+01,1.299771838334691942e+01,1.357286377902893859e+00,8.307715377876568885e-01
4.217063910017775896e+01,7.048217457942428155e+01,2.097450194882970465e+01,4.868772847357602984e+01,4.742323568275632084e+01
2.098596229314570749e+01,8.655690288744177963e+01,2.442941084832345666e+01,4.506736236413851060e+01,4.558614728501647306e+01
7.852089919906832804e+00,2.572224518990693554e+01,1.694625827197312518e+01,2.100443454930069720e+01,1.986191653164820536e+01
2.705049514674592004e+01,8.721881380998379996e+01,1.186603812547945935e+01,1.810585576147308373e+01,1.735999936328475712e+01
2.957800879181139564e+01,1.319163294461465696e+01,1.329691415479408789e+01,1.683066167019343240e+01,1.718990632220463866e+01
8.100883985619709904e+01,5.944893268545626341e+01,1.638280667018255343e+01,9.455720829544365102e+00,9.858294195488896960e+00
