t,N,S,A,dN_dt,dN_dt_noisy
1.200240048009601823e+00,1.048735441451261067e+03,1.158801070541115408e+01,1.849370755965206570e+01,4.201272351176887554e+01,4.225698892731917766e+01
1.260252050410082036e+00,1.051260927827282785e+03,1.214691527603041621e+01,1.886402639537852721e+01,4.215331596627463995e+01,3.388522880729352948e+01
1.320264052810562028e+00,1.053794850939551225e+03,1.270398937533465222e+01,1.922952991075873186e+01,4.229389206019730096e+01,8.111580649214351979e+01
1.380276055211042241e+00,1.056337209863343787e+03,1.325924900418789498e+01,1.959026506308037341e+01,4.243445389514069177e+01,7.263618335431452522e+01
1.440288057611522232e+00,1.058888003797969986e+03,1.381271006728735706e+01,1.994627839936719127e+01,4.257500355613450438e+01,-3.875987081284455371e+01
1.500300060012002445e+00,1.061447232076877981e+03,1.436438837242686084e+01,2.029761603595004260e+01,4.271554310974278224e+01,-1.395485426928740225e+01
1.560312062412482437e+00,1.064014894165516353e+03,1.491429962950961752e+01,2.064432365968432137e+01,4.285607460396763457e+01,3.761291184231277640e+01
1.620324064812962650e+00,1.066590989646843582e+03,1.546245945600164795e+01,2.098644656957762678e+01,4.299660007204540335e+01,3.033088772475479544e+01
1.680336067213442641e+00,1.069175518220873300e+03,1.600888337716616405e+01,2.132402967827370688e+01,4.313712153249568360e+01,4.954641145745401332e+01
1.740348069613922855e+00,1.071768479704673609e+03,1.655358682606359721e+01,2.165711751205246927e+01,4.327764098902305534e+01,4.979729891969996203e+01
1.800360072014402846e+00,1.074369874032367534e+03,1.709658514355156456e+01,2.198575421082996684e+01,4.341816043041271200e+01,1.069533230819441627e+02
1.860372074414883059e+00,1.076979701255078680e+03,1.763789357832556703e+01,2.230998352837015020e+01,4.355868183044142228e+01,1.019805894967298343e+01
1.920384076815363050e+00,1.079597961542735220e+03,1.817752728864118339e+01,2.262984883394344848e+01,4.369920714802702832e+01,3.237105693421708708e+01
1.980396079215843042e+00,1.082224655197737320e+03,1.871550133821884643e+01,2.294539307625096214e+01,4.383973832369228063e+01,1.051228865484621906e+02
2.040408081616323255e+00,1.084859782638509841e+03,1.925183070072860048e+01,2.325665882572297960e+01,4.398027728339186382e+01,6.338136716944727311e+01
2.100420084016803468e+00,1.087503344393702719e+03,1.978653026235406287e+01,2.356368829220608063e+01,4.412082594011381076e+01,6.401272711140165939e+01
2.160432086417283237e+00,1.090155341102190050e+03,2.031961482179243816e+01,2.386652332496317896e+01,4.426138619377370986e+01,2.884119504314982407e+01
2.220444088817763451e+00,1.092815773513070553e+03,2.085109909025450747e+01,2.416520541267349387e+01,4.440195993110352646e+01,-5.040295194566056125e+00
2.280456091218243664e+00,1.095484642485667564e+03,2.138099769146464268e+01,2.445977568343256081e+01,4.454254902553501694e+01,4.956649135221724833e+01
2.340468093618723877e+00,1.098161948989340544e+03,2.190932516186561685e+01,2.475027490567400434e+01,4.468315533717376553e+01,4.795357797182019510e+01
2.400480096019203646e+00,1.100847694108289261e+03,2.243609595208177865e+01,2.503674348388683413e+01,4.482378071240200512e+01,8.003219085064777971e+00
2.460492098419683860e+00,1.103541879052266040e+03,2.296132442251406403e+01,2.531922142708924284e+01,4.496442698063481203e+01,2.446762712721794486e+01
2.520504100820164073e+00,1.106244505138219665e+03,2.348502484911720600e+01,2.559774839795971957e+01,4.510509595891694090e+01,4.294378556710012163e+01
2.580516103220644286e+00,1.108955573787040294e+03,2.400721142497064520e+01,2.587236372311042487e+01,4.524578945282708275e+01,1.690324076100376161e+01
2.640528105621124055e+00,1.111675086523559457e+03,2.452789826027852627e+01,2.614310639308720852e+01,4.538650925636213174e+01,4.243841022079561043e+01
2.700540108021604269e+00,1.114403044976551200e+03,2.504709938236971567e+01,2.641001506236959528e+01,4.552725715181667709e+01,4.839174797590030863e+01
2.760552110422084482e+00,1.117139450878730486e+03,2.556482873569778036e+01,2.667312804937079918e+01,4.566803490965747869e+01,4.673562202132205101e+01
2.820564112822564695e+00,1.119884306066634053e+03,2.608110018197386992e+01,2.693248333703284914e+01,4.580884428845637046e+01,3.062009453902692968e+01
2.880576115223044464e+00,1.122637612484858209e+03,2.659592750186137877e+01,2.718811857034583213e+01,4.594968703465904269e+01,6.376212918823372888e+01
2.940588117623524678e+00,1.125399372198367018e+03,2.710932439029599550e+01,2.744007102137814869e+01,4.609056487893953857e+01,7.282557350740938773e+01
3.000600120024004891e+00,1.128169587374323100e+03,2.762130446186154131e+01,2.768837763664714657e+01,4.623147954069620624e+01,5.585692867769311931e+01
3.060612122424484660e+00,1.130948260278069483e+03,2.813188125275472729e+01,2.793307504983340195e+01,4.637243272921745785e+01,2.182552590750824706e+01
3.120624124824964873e+00,1.133735393273130057e+03,2.864106822078517567e+01,2.817419958178071226e+01,4.651342614355900196e+01,6.846299465712222343e+01
3.180636127225445087e+00,1.136530988821209121e+03,2.914887874537538082e+01,2.841178724049611048e+01,4.665446147241679142e+01,3.161126091840522179e+01
3.240648129625925300e+00,1.139335049482191607e+03,2.965532612756074826e+01,2.864587372114984021e+01,4.679554039399539533e+01,7.317035894263494811e+01
3.300660132026405069e+00,1.142147577914143085e+03,3.016042358998955919e+01,2.887649440607538409e+01,4.693666457587183771e+01,1.478304206954851452e+01
3.360672134426885282e+00,1.144968576874614882e+03,3.066418427850623729e+01,2.910368436713271478e+01,4.707783567519277312e+01,7.451185176905620722e+01
3.420684136827365496e+00,1.147798049235703729e+03,3.116662125897017788e+01,2.932747833052521003e+01,4.721905533505040609e+01,4.661715169658599223e+01
3.480696139227845709e+00,1.150635997971505958e+03,3.166774751902935492e+01,2.954791070370033168e+01,4.736032518691096982e+01,9.897858476878504064e+00
3.540708141628325478e+00,1.153482426149032335e+03,3.216757597229153731e+01,2.976501560318810391e+01,4.750164685335114712e+01,3.808466269434571672e+01
3.600720144028805692e+00,1.156337336928198965e+03,3.266611945833000163e+01,2.997882685462984043e+01,4.764302194793371115e+01,4.926609031108002767e+01
3.660732146429285905e+00,1.159200733561827974e+03,3.316339074268351084e+01,3.018937799277816580e+01,4.778445207507630244e+01,5.596819225000991338e+01
3.720744148829766118e+00,1.162072619395648644e+03,3.365940251685631068e+01,3.039670226149700483e+01,4.792593882991596388e+01,1.846029508168663114e+01
3.780756151230245887e+00,1.164952997868295597e+03,3.415416739831815107e+01,3.060083261376157182e+01,4.806748379816956174e+01,1.484629238321377187e+01
3.840768153630726101e+00,1.167841872511188058e+03,3.464769793095269534e+01,3.080180171317495308e+01,4.820908855616723088e+01,5.419662454157965215e+01
3.900780156031206314e+00,1.170739246957499972e+03,3.514000658592096471e+01,3.099964192121101547e+01,4.835075466957363943e+01,3.434826616317958070e+01
3.960792158431686083e+00,1.173645124947788190e+03,3.563110575743166208e+01,3.119438527537619521e+01,4.849248369083432664e+01,5.555765204274108271e+01
4.020804160832166296e+00,1.176559510312313250e+03,3.612100776892803111e+01,3.138606353746869004e+01,4.863427716402162559e+01,7.141986283837300675e+01
4.080816163232646510e+00,1.179482406969412750e+03,3.660972487402698050e+01,3.157470819909227444e+01,4.877613662529314098e+01,-6.874843652353135326e-01
4.140828165633126723e+00,1.182413818925501801e+03,3.709726925651911245e+01,3.176035048165629249e+01,4.891806360275798227e+01,5.654970709828650399e+01
4.200840168033606936e+00,1.185353750275073480e+03,3.758365303036867999e+01,3.194302133637567209e+01,4.906005961633965029e+01,8.579946864241162530e+01
4.260852170434087149e+00,1.188302205200698381e+03,3.806888823971364388e+01,3.212275144427091789e+01,4.920212617763472451e+01,4.027632084652052669e+01
4.320864172834566475e+00,1.191259187973024154e+03,3.855298685886561572e+01,3.229957121616809701e+01,4.934426478976819652e+01,2.501982729264109651e+01
4.380876175235046688e+00,1.194224702951403515e+03,3.903596079342388236e+01,3.247351079488920789e+01,4.948647694754275506e+01,7.205379176293054400e+01
4.440888177635526901e+00,1.197198754597985271e+03,3.951782187884845143e+01,3.264460002736474564e+01,4.962876413448965707e+01,5.723215962073390273e+01
4.500900180036007114e+00,1.200181347471438130e+03,3.999858187920754915e+01,3.281286847168134102e+01,4.977112782326123863e+01,7.664761994658805122e+01
4.560912182436487328e+00,1.203172486214293713e+03,4.047825249264169400e+01,3.297834543439256549e+01,4.991356947949308420e+01,3.955709817795469263e+01
4.620924184836967541e+00,1.206172175552734188e+03,4.095684535152292938e+01,3.314105997133992076e+01,5.005609056176083271e+01,5.601542350094497635e+00
4.680936187237447754e+00,1.209180420296592729e+03,4.143437202245490880e+01,3.330104088765284587e+01,5.019869252144243887e+01,4.689836958010491230e+01
4.740948189637927968e+00,1.212197225339353281e+03,4.191084400627283912e+01,3.345831673774868165e+01,5.034137680257713754e+01,3.696653221224016761e+01
4.800960192038407293e+00,1.215222595658150567e+03,4.238627273804348050e+01,3.361291582533269917e+01,5.048414484172077721e+01,7.374385950314800198e+01
4.860972194438887506e+00,1.218256536313770994e+03,4.286066958706521035e+01,3.376486620339811395e+01,5.062699806779806977e+01,5.643598351911268196e+01
4.920984196839367719e+00,1.221299052452064416e+03,4.333404585828763800e+01,3.391419567598812534e+01,5.076993790223708913e+01,1.844460929184052134e+00
4.980996199239847932e+00,1.224350149319107686e+03,4.380641278977682873e+01,3.406093176557465085e+01,5.091296575539293201e+01,1.505807335229693678e+01
5.041008201640328146e+00,1.227409832250575391e+03,4.427778155300232754e+01,3.420510173175053126e+01,5.105608302822202660e+01,7.756975412583967966e+01
5.101020204040808359e+00,1.230478106661767242e+03,4.474816325753027257e+01,3.434673260153268615e+01,5.119929111548847800e+01,7.159224163802387864e+01
5.161032206441288572e+00,1.233554978047563736e+03,4.521756895106241103e+01,3.448585116954730267e+01,5.134259140564860502e+01,3.213529042839394378e+01
5.221044208841767897e+00,1.236640451982426612e+03,4.568600961943609207e+01,3.462248399802983556e+01,5.148598528071102010e+01,5.145452138369260098e+01
5.281056211242248111e+00,1.239734534120399303e+03,4.615349618662430231e+01,3.475665741682501420e+01,5.162947411609363968e+01,6.499668072937922148e+01
5.341068213642728324e+00,1.242837230195106258e+03,4.662003951473563745e+01,3.488839752338683553e+01,5.177305928047748296e+01,6.582518935589581588e+01
5.401080216043208537e+00,1.245948546019753167e+03,4.708565040401430934e+01,3.501773018277856409e+01,5.191674213565752893e+01,7.820400801908803601e+01
5.461092218443688751e+00,1.249068487488251321e+03,4.755033959408650901e+01,3.514468102940741545e+01,5.206052403666484452e+01,5.975509285331170162e+01
5.521104220844168964e+00,1.252197060589991679e+03,4.801411776206849424e+01,3.526927543718068137e+01,5.220440632843840234e+01,4.935955615938345886e+01
5.581116223244649177e+00,1.255334271401351771e+03,4.847699552180265670e+01,3.539153853147113438e+01,5.234839034678181235e+01,4.458294840314644603e+01
5.641128225645129390e+00,1.258480126074640566e+03,4.893898342892055808e+01,3.551149522202577202e+01,5.249247742193739441e+01,8.416476143793492781e+01
5.701140228045608715e+00,1.261634630837991381e+03,4.940009198093785159e+01,3.562917020341741647e+01,5.263666887850166631e+01,-1.488895937385446189e+01
5.761152230446088929e+00,1.264797791995362559e+03,4.986033161725430318e+01,3.574458795504470743e+01,5.278096603528478425e+01,4.862130628254466558e+01
5.821164232846569142e+00,1.267969615926535880e+03,5.031971271915374189e+01,3.585777274113208790e+01,5.292537020516717661e+01,5.391537332468897858e+01
5.881176235247049355e+00,1.271150109087118153e+03,5.077824560980410951e+01,3.596874861072982554e+01,5.306988269495342081e+01,1.030941386884779121e+01
5.941188237647529569e+00,1.274339278008540077e+03,5.123594055425742511e+01,3.607753939771401264e+01,5.321450480522311466e+01,6.319891319936451168e+01
6.001200240048009782e+00,1.277537129298284754e+03,5.169280776012014655e+01,3.618416872232641879e+01,5.335923783039224588e+01,3.382080745709042446e+01
6.061212242448489995e+00,1.280743669651732716e+03,5.214885737771952279e+01,3.628865997225698692e+01,5.350408305660695873e+01,7.937742694607936755e+01
6.121224244848969320e+00,1.283958905852520502e+03,5.260409949646200545e+01,3.639103629178189436e+01,5.364904176013718740e+01,4.988127923910737138e+01
6.181236247249449534e+00,1.287182844757385055e+03,5.305854415068326801e+01,3.649132062335895199e+01,5.379411521199233448e+01,7.386871243567591705e+01
6.241248249649929747e+00,1.290415493295399983e+03,5.351220132019570741e+01,3.658953571044224162e+01,5.393930467811865981e+01,9.050461283325535078e+01
6.301260252050409960e+00,1.293656858467975781e+03,5.396508093028846531e+01,3.668570409748210892e+01,5.408461141925948823e+01,6.557249890066366049e+01
6.361272254450890173e+00,1.296906947348860967e+03,5.441719285172743525e+01,3.677984812992512786e+01,5.423003669081291633e+01,2.795840238812755274e+01
6.421284256851370387e+00,1.300165767084139816e+03,5.486854690075523422e+01,3.687198995421415049e+01,5.437558174268671962e+01,8.946022791547569852e+00
6.481296259251850600e+00,1.303433324892234623e+03,5.531915283909121683e+01,3.696215151778827135e+01,5.452124781915085805e+01,1.071227713446420466e+02
6.541308261652330813e+00,1.306709628063876835e+03,5.576902037398829037e+01,3.705035456928770543e+01,5.466703615871357869e+01,5.132827036308799507e+01
6.601320264052810138e+00,1.309994683966881439e+03,5.621815916013947145e+01,3.713662065616946251e+01,5.481294799386643035e+01,3.415599956483678312e+01
6.661332266453290352e+00,1.313288500059091348e+03,5.666657879483221905e+01,3.722097109009868632e+01,5.495898454683590728e+01,5.928669718866065352e+01
6.721344268853770565e+00,1.316591083871763431e+03,5.711428882183518851e+01,3.730342698500827225e+01,5.510514703376425416e+01,4.936280711928478127e+01
6.781356271254250778e+00,1.319902443005232954e+03,5.756129873383150652e+01,3.738400927101084648e+01,5.525143666624369132e+01,8.081570459262431427e+01
6.841368273654730991e+00,1.323222585128913806e+03,5.800761797241875684e+01,3.746273869439876592e+01,5.539785465117850549e+01,5.641570012429151149e+01
6.901380276055211205e+00,1.326551517981298957e+03,5.845325592810898030e+01,3.753963581764411117e+01,5.554440219064472473e+01,5.595688969919731193e+01
6.961392278455691418e+00,1.329889249369959316e+03,5.889822194032868907e+01,3.761472101939870782e+01,5.569108048174734904e+01,3.425368885075842229e+01
7.021404280856170743e+00,1.333235787171545098e+03,5.934252529741884530e+01,3.768801449449410512e+01,5.583789071647530022e+01,6.992493367890010347e+01
7.081416283256650956e+00,1.336591139331784916e+03,5.978617523663490374e+01,3.775953625394159019e+01,5.598483408155394159e+01,2.496883241090446859e+01
7.141428285657131170e+00,1.339955313865760218e+03,6.022918094479381779e+01,3.782930612628250344e+01,5.613191175849434700e+01,7.610859495141335174e+01
7.201440288057611383e+00,1.343328318869575014e+03,6.067155155851487081e+01,3.789734373945861279e+01,5.627912492147094525e+01,1.019972503111748949e+02
7.261452290458091596e+00,1.346710162520609401e+03,6.111329616045988189e+01,3.796366851010188270e+01,5.642647473566245253e+01,1.068589359268789707e+01
7.321464292858571810e+00,1.350100853062983560e+03,6.155442378494107913e+01,3.802829968258068760e+01,5.657396236181145355e+01,-1.741291457872807769e+01
7.381476295259052023e+00,1.353500398806829025e+03,6.199494341846982337e+01,3.809125633169779945e+01,5.672158895642731835e+01,7.522795161105690909e+01
7.441488297659532236e+00,1.356908808128287319e+03,6.243486399975653001e+01,3.815255736269035935e+01,5.686935567164878336e+01,1.333062901361425645e+02
7.501500300060011561e+00,1.360326089469511317e+03,6.287419441971072587e+01,3.821222151122991306e+01,5.701726365510445760e+01,2.698951818894764898e+01
7.561512302460491775e+00,1.363752251338664564e+03,6.331294352144104920e+01,3.827026734342238257e+01,5.716531404977102682e+01,1.964444128571138037e+01
7.621524304860971988e+00,1.367187302309921506e+03,6.375112010025520703e+01,3.832671325580808741e+01,5.731350799382940409e+01,7.498257600724360827e+01
7.681536307261452201e+00,1.370631251023467485e+03,6.418873290365999651e+01,3.838157747536173048e+01,5.746184662051843617e+01,3.224019891876920241e+01
7.741548309661932414e+00,1.374084106186775671e+03,6.462579063255105893e+01,3.843487806067926726e+01,5.761033105821416456e+01,4.242956654011207007e+01
7.801560312062412628e+00,1.377545876588726514e+03,6.506230193952926300e+01,3.848663287483965689e+01,5.775896242707933936e+01,4.731543842656600418e+01
7.861572314462892841e+00,1.381016571091481410e+03,6.549827542767143029e+01,3.853685959520120718e+01,5.790774183988354196e+01,7.386780442863749840e+01
7.921584316863372166e+00,1.384496198620399582e+03,6.593371965528702106e+01,3.858557574250642830e+01,5.805667040550854097e+01,4.589759956371498362e+01
7.981596319263852379e+00,1.387984768163938725e+03,6.636864313601874699e+01,3.863279868131416350e+01,5.820574922887097102e+01,6.654223443127577298e+01
8.041608321664332593e+00,1.391482288773654318e+03,6.680305433884248600e+01,3.867854561999955365e+01,5.835497941078673279e+01,5.305898164397947170e+01
8.101620324064812806e+00,1.394988769564200311e+03,6.723696168806732487e+01,3.872283361075405139e+01,5.850436204783322580e+01,3.316422893828512741e+01
8.161632326465293019e+00,1.398504219713328894e+03,6.767037356333558762e+01,3.876567954958544249e+01,5.865389823220974108e+01,4.905911049991311046e+01
8.221644328865773232e+00,1.402028648461890270e+03,6.810329829962276449e+01,3.880710017631781028e+01,5.880358905159573624e+01,3.029159909655817629e+01
8.281656331266253446e+00,1.405562065113833341e+03,6.853574418723759720e+01,3.884711207459155702e+01,5.895343558900718506e+01,5.914888516509964944e+01
8.341668333666733659e+00,1.409104479037906913e+03,6.896771947317031959e+01,3.888573167273253262e+01,5.910343892285641232e+01,2.538745209588731200e+01
8.401680336067213872e+00,1.412655899681735264e+03,6.939923235883112795e+01,3.892297521541252081e+01,5.925360012332919268e+01,2.646676904447190282e+01
8.461692338467694086e+00,1.416216336561868729e+03,6.983029099962344333e+01,3.895885877846885137e+01,5.940392025388779729e+01,1.031127747130454679e+02
8.521704340868174299e+00,1.419785799255201937e+03,7.026090350922824257e+01,3.899339829394652668e+01,5.955440037436590472e+01,5.795887376520565937e+01
8.581716343268654512e+00,1.423364297398939016e+03,7.069107795964646357e+01,3.902660955026942702e+01,5.970504154086044935e+01,5.808798077669916182e+01
8.641728345669132949e+00,1.426951840690592235e+03,7.112082238119900524e+01,3.905850819224027504e+01,5.985584480559876397e+01,7.520193740312733155e+01
8.701740348069613162e+00,1.430548438887983139e+03,7.155014476252678435e+01,3.908910972104065706e+01,6.000681121680352703e+01,4.738110114033739251e+01
8.761752350470093376e+00,1.434154101809240728e+03,7.197905305059062187e+01,3.911842949423102311e+01,6.015794181855611811e+01,5.330188079421137815e+01
8.821764352870573589e+00,1.437768839332803282e+03,7.240755515067134240e+01,3.914648272575067978e+01,6.030923765065820419e+01,7.306369971061546664e+01
8.881776355271053802e+00,1.441392661397417896e+03,7.283565892636974581e+01,3.917328448591779022e+01,6.046069974849119433e+01,6.893317501582323814e+01
8.941788357671534015e+00,1.445025578003135934e+03,7.326337220066568534e+01,3.919884970258394929e+01,6.061232914309308484e+01,2.583342733512019151e+01
9.001800360072014229e+00,1.448667599224424521e+03,7.369070275471258924e+01,3.922319313733178348e+01,6.076412685806835157e+01,8.576440475815820719e+01
9.061812362472494442e+00,1.452318735203792585e+03,7.411765832594238645e+01,3.924632939079062055e+01,6.091609390989867734e+01,4.320304561122738818e+01
9.121824364872974655e+00,1.455978996141511971e+03,7.454424661280212661e+01,3.926827293114320838e+01,6.106823131156814810e+01,2.938586280214257229e+01
9.181836367273454869e+00,1.459648392295466692e+03,7.497047527490187235e+01,3.928903809474449815e+01,6.122054007252036456e+01,3.420628797254881448e+01
9.241848369673935082e+00,1.463326933981153388e+03,7.539635193301472782e+01,3.930863908612162305e+01,6.137302119852898130e+01,4.965666086786929156e+01
9.301860372074415295e+00,1.467014631571681775e+03,7.582188416907676753e+01,3.932708997797387696e+01,6.152567569156642691e+01,1.103446833302584480e+02
9.361872374474895508e+00,1.470711495497773285e+03,7.624707952618715012e+01,3.934440471117276417e+01,6.167850454967095430e+01,2.641242740204754114e+01
9.421884376875375722e+00,1.474417536247762200e+03,7.667194550860801883e+01,3.936059709476194968e+01,6.183150876681197161e+01,6.663378554284219035e+01
9.481896379275855935e+00,1.478132764367595428e+03,7.709648958176452993e+01,3.937568080595730180e+01,6.198468933275387371e+01,-2.150041409963449723e+00
9.541908381676334372e+00,1.481857190460929587e+03,7.752071917268641243e+01,3.938966939109378274e+01,6.213804723306756728e+01,6.209103923871165875e+01
9.601920384076814585e+00,1.485590825198322364e+03,7.794464167090801254e+01,3.940257625342529479e+01,6.229158344755158794e+01,8.927857597183179905e+01
9.661932386477294799e+00,1.489333679320434157e+03,7.836826442407087256e+01,3.941441463723496952e+01,6.244529894777318191e+01,5.534539928592953117e+01
9.721944388877775012e+00,1.493085763623980483e+03,7.879159474290014487e+01,3.942519766240950219e+01,6.259919470154775212e+01,4.371854698504749592e+01
9.781956391278255225e+00,1.496847088960661040e+03,7.921463990198739680e+01,3.943493832807863697e+01,6.275327167332097389e+01,6.969860359507710257e+01
9.841968393678735438e+00,1.500617666237159256e+03,7.963740713979058228e+01,3.944364951261512431e+01,6.290753082404306440e+01,8.391208335856256895e+01
9.901980396079215652e+00,1.504397506415141834e+03,8.005990365863398495e+01,3.945134397363474932e+01,6.306197311104201475e+01,8.297170024156420709e+01
9.961992398479695865e+00,1.508186620511259434e+03,8.048213662470831764e+01,3.945803434799633180e+01,6.321659948789499595e+01,1.223908151057887466e+02
1.002200440088017608e+01,1.511985019597146675e+03,8.090411316807062292e+01,3.946373315180172625e+01,6.337141090429825852e+01,6.964643507438655945e+01
1.008201640328065629e+01,1.515792714799421674e+03,8.132584038264432991e+01,3.946845278039579341e+01,6.352640830593561105e+01,4.575410531334763675e+01
1.014202840568113650e+01,1.519609717299685826e+03,8.174732532621926850e+01,3.947220550836645714e+01,6.368159263434510109e+01,5.990221693474581599e+01
1.020204040808161672e+01,1.523436038336899628e+03,8.216857502209111885e+01,3.947500348975243867e+01,6.383696482692997165e+01,6.166200845833561317e+01
1.026205241048209693e+01,1.527271689220010558e+03,8.258959645577282060e+01,3.947685873044363802e+01,6.399252581305866272e+01,6.725464731740221680e+01
1.032206441288257714e+01,1.531116681316215136e+03,8.301039657599085331e+01,3.947778310906561927e+01,6.414827651662548647e+01,6.324744211974243768e+01
1.038207641528305736e+01,1.534971026045109738e+03,8.343098229790595610e+01,3.947778839387804339e+01,6.430421785830485248e+01,6.952319602519095554e+01
1.044208841768353579e+01,1.538834734878688323e+03,8.385136050311317035e+01,3.947688624277519409e+01,6.446035075543071002e+01,1.433484893697733042e+01
1.050210042008401601e+01,1.542707819341344248e+03,8.427153803964198175e+01,3.947508820328601331e+01,6.461667612187439147e+01,8.950554480307567928e+01
1.056211242248449622e+01,1.546590291009869361e+03,8.469152172195620665e+01,3.947240571257408703e+01,6.477319486792097791e+01,4.753101680029000420e+01
1.062212442488497643e+01,1.550482161513453548e+03,8.511131833095402044e+01,3.946885009743762396e+01,6.492990790014444258e+01,2.973514700673370470e+01
1.068213642728545665e+01,1.554383442533686093e+03,8.553093461396798602e+01,3.946443257430949814e+01,6.508681612128110316e+01,8.421935091052417022e+01
1.074214842968593686e+01,1.558294145804554546e+03,8.595037728476502537e+01,3.945916424925721344e+01,6.524392043010195152e+01,1.047637006516844167e+02
1.080216043208641707e+01,1.562214283112411749e+03,8.636965302375197950e+01,3.945305611850417904e+01,6.540122172136612733e+01,8.019206620634940919e+01
1.086217243448689729e+01,1.566143866302020342e+03,8.678876847955068286e+01,3.944611906259797252e+01,6.555872088503409145e+01,7.039350030039969397e+01
1.092218443688737750e+01,1.570082907283867598e+03,8.720773026422457974e+01,3.943836382417830322e+01,6.571641880285667980e+01,3.774980964169812125e+01
1.098219643928785771e+01,1.574031418020272213e+03,8.762654495739502636e+01,3.942980103915070345e+01,6.587431635260584528e+01,1.520213364870107853e+02
1.104220844168833793e+01,1.577989410523389324e+03,8.804521910755518377e+01,3.942044124280843675e+01,6.603241440885257418e+01,9.244017302869781361e+01
1.110222044408881814e+01,1.581956896855209607e+03,8.846375923206989000e+01,3.941029486983249086e+01,6.619071384284977455e+01,3.201187373256050250e+01
1.116223244648929835e+01,1.585933889127559723e+03,8.888217181717575954e+01,3.939937225429157763e+01,6.634921552241439713e+01,4.296007803522206103e+01
1.122224444888977857e+01,1.589920399502102555e+03,8.930046331798114068e+01,3.938768362964212599e+01,6.650792031180776576e+01,6.911729776896490307e+01
1.128225645129025878e+01,1.593916440190336516e+03,8.971864015846612972e+01,3.937523912872828902e+01,6.666682907161504090e+01,2.002489511173545367e+01
1.134226845369073722e+01,1.597922023453596466e+03,9.013670873148255680e+01,3.936204878378193683e+01,6.682594265862297789e+01,7.188485486893840459e+01
1.140228045609121743e+01,1.601937161603053028e+03,9.055467539875400007e+01,3.934812252642268504e+01,6.698526192569671878e+01,5.321311525431394784e+01
1.146229245849169764e+01,1.605961866999703943e+03,9.097254649124005255e+01,3.933347018845696397e+01,6.714478772178793520e+01,1.039329057312744595e+02
1.152230446089217786e+01,1.609996152061477233e+03,9.139032831029929582e+01,3.931810149333337989e+01,6.730452089072612409e+01,9.616916079957353247e+01
