R,T,f,f_noisy
3.246318433095991907e+01,2.757945681934776516e+01,2.315620273206372648e+00,2.266510866959323689e+00
3.613551448368030350e+01,2.608069460355574876e+01,2.403604422208837743e+00,2.348235769850578247e+00
4.186067621676357220e+01,2.866617842679215045e+01,2.090624428130462231e+00,2.100603654772816409e+00
1.445295245454483535e+01,1.945939451579710067e+01,2.061477418546427742e+00,2.038139937702437621e+00
1.115329927456719261e+01,3.452445150509683458e+01,1.070548321560955252e+00,1.082323602147466479e+00
3.214690331329610018e+01,2.528150450019834850e+01,2.477483828283348455e+00,2.515459804407267352e+00
4.035021424067797824e+01,1.643903188779014357e+01,1.153021474688555426e+00,1.070582106371007924e+00
4.820170820582605842e+01,1.089913119624636195e+01,3.245532132471991571e-01,3.372726190730800377e-01
7.950979105848285045e+00,1.279388963239730259e+01,5.063644735530911101e-01,5.675968219298777040e-01
2.436951321586715835e+01,1.496272879036976633e+01,9.630361486614096300e-01,9.481598064428859995e-01
4.478843517871058566e+01,2.835931597525435777e+01,2.125458626691246078e+00,2.084917897529367625e+00
2.142448689379914484e+01,3.036302911181536146e+01,2.036695474965769748e+00,2.074307666324749277e+00
2.968035207316038182e+01,3.313632112621938575e+01,1.299674680657559644e+00,1.312347006467966759e+00
1.712288535921478339e+00,2.607275587943922801e+01,3.404728357386005988e-01,3.852669892774785998e-01
3.383626441407047736e+01,1.743192474938776826e+01,1.385607794017304606e+00,1.368347008514740670e+00
4.599488667187421242e+01,3.097172723358721314e+01,1.663058217534933547e+00,1.588967303848823009e+00
4.142785381305769477e+01,3.383675424709502977e+01,1.096260727996492434e+00,1.090760189760929810e+00
4.433325320214236598e+01,2.742259600093958127e+01,2.245233093984060346e+00,2.222941686333498534e+00
3.318759133576590870e+01,1.180895099927017000e+01,4.326601473566495382e-01,4.714263384590282602e-01
1.265483722853729098e+01,2.027454941954923129e+01,2.196811831872750531e+00,2.206493474291608248e+00
3.854159144536458825e+01,1.622359074520745281e+01,1.116289382769007688e+00,1.034746921147252641e+00
1.097789975907176974e+01,3.348151279714927853e+01,1.284666855695315801e+00,1.224908701690155866e+00
4.164810431589082640e+01,3.027808477815178279e+01,1.810735972435133290e+00,1.854925424264496137e+00
3.604537167253028418e+00,1.174817780325531835e+01,1.817404277211929764e-01,2.157286785920853045e-01
4.136164676298101028e+01,2.523579825804652899e+01,2.392588236831337145e+00,2.360576068535912508e+00
8.643109690468014250e+00,3.462868957792944968e+01,9.347799293032492685e-01,9.347274894748852647e-01
1.906977632658377075e+01,2.309515317549500679e+01,2.674225195045852654e+00,2.696503872734661744e+00
1.617853924456973402e+01,3.223603360666704276e+01,1.666225055746376693e+00,1.689645272538740528e+00
3.472118324624819508e+01,3.030826693031547237e+01,1.845762019281954158e+00,1.889574129087671750e+00
9.339307969631409634e+00,2.178843497164999832e+01,2.220688979379147110e+00,2.233513260740225270e+00
2.011468002974082836e+01,2.105020990980536766e+01,2.351845092702813389e+00,2.347103675754388608e+00
7.883174578450568015e-01,1.404127969379692864e+01,2.470413341442020266e-02,1.176173017502792420e-02
1.349348828113002341e+01,1.886173925283359409e+01,1.906713471969041507e+00,1.959500611995704134e+00
2.134884630433328567e+01,1.478416689144957274e+01,9.570023276760604158e-01,8.444596139221335340e-01
5.743101217012560156e+00,3.114268959629443856e+01,1.197949835424820586e+00,1.191017069170253739e+00
3.184141732880960873e+01,2.508508177983053145e+01,2.483760927363667825e+00,2.485410932562870823e+00
1.933100135938335029e+01,3.340605678371170484e+01,1.365144867445110100e+00,1.293877419401600726e+00
3.640204993477382089e+01,2.025885543812811918e+01,1.940265407881261339e+00,1.956906088538163724e+00
3.286636754788552395e+01,2.754273302196332551e+01,2.314771882546922566e+00,2.282207831924752739e+00
2.184572406448160464e+01,3.082875465073221122e+01,1.925303303895641083e+00,1.968425543711428416e+00
4.343236502928886011e+01,1.032193200890063345e+01,2.765057370576941564e-01,2.702261328559777964e-01
3.179068831625826874e+01,1.807134858850230330e+01,1.537395361362063451e+00,1.570853023401536097e+00
4.060858042926180644e+01,2.090574479383223405e+01,2.027957645765150030e+00,2.088899826023711270e+00
1.741883883503559360e+01,3.321508610061454192e+01,1.426956031195632191e+00,1.446102510331305879e+00
2.741162983858855284e+01,3.176222141983684821e+01,1.623557736227464687e+00,1.579771679056322320e+00
1.021669581318029429e+01,1.211270606871955202e+01,4.874061452790722782e-01,4.116902136938403456e-01
4.980898891087208114e+01,3.388647792540042758e+01,1.074816309604985642e+00,1.162485515480804255e+00
1.253916548316319179e+01,2.567259522295398355e+01,2.728513459215474946e+00,2.722948849556098949e+00
1.321493962774158604e+01,1.179833935188543670e+01,4.847662508345458310e-01,4.503380034528297604e-01
4.122908583352815626e+00,2.725305622069109290e+01,1.177540757487514522e+00,1.184753611890555725e+00
1.326125439033846121e+01,3.138406575080891514e+01,1.843727296924317249e+00,1.834156730400184898e+00
3.827486236093063354e+01,1.647138208015963201e+01,1.166158427722479463e+00,1.208765540933113947e+00
3.504573174881252839e+01,1.806653893089553264e+01,1.510560766907383501e+00,1.512257176029238481e+00
6.869324009699886879e+00,1.694231724923508509e+01,1.059595102380948894e+00,1.060282581561869941e+00
1.912380582069066293e+01,2.756268493883606752e+01,2.595685639896207153e+00,2.559956653844559060e+00
2.133560903356441329e+01,2.795697927440047081e+01,2.490227016308273367e+00,2.513705421245647997e+00
3.341672019491705470e+01,2.935873076603664700e+01,2.036121243149112026e+00,1.984427907031362848e+00
2.306848367066556804e+01,3.302602828527105316e+01,1.402841017925582356e+00,1.436135489913780816e+00
2.953265717786380407e+01,1.454570621472406877e+01,8.455726452345195820e-01,9.217695208840261945e-01
4.206438787864264839e+01,2.770619829388647304e+01,2.221587214291869117e+00,2.145352912386911726e+00
3.646044371046233579e+01,2.614257473283235456e+01,2.397270324400054164e+00,2.273958862832488492e+00
1.856785954367366642e+01,1.656552705792579872e+01,1.366480814681546807e+00,1.397324752439262685e+00
2.269561731255197046e+01,3.438271203814824162e+01,1.111863527350434255e+00,1.239258418124590477e+00
1.870112869965532809e+01,2.192400562921495322e+01,2.529648287411555785e+00,2.479602044967961216e+00
5.931865868331488656e+00,3.372068689230545147e+01,8.405590457838187923e-01,7.780242578437194245e-01
1.056045643232613074e+01,3.429434482759155856e+01,1.095995844892496462e+00,1.125444291581520151e+00
1.454842120273448813e+01,3.250120239596576255e+01,1.597237176144102877e+00,1.555201096641187553e+00
1.604962783231395917e+01,2.148713399950232983e+01,2.486512697435637964e+00,2.461211423238800933e+00
1.599586901158691532e+01,1.699441975368804947e+01,1.482046614235929427e+00,1.464640740901740568e+00
2.904663595452112546e+01,2.464404848388399927e+01,2.528238872459315001e+00,2.554838976773905035e+00
4.859865379317785994e+01,2.123839582381597069e+01,2.056934028193098118e+00,2.036668910123442089e+00
3.884587467872473354e+01,2.170503954611429975e+01,2.161462789271157092e+00,2.175356931275165273e+00
3.966113043455386133e+01,1.610203359254822431e+01,1.089070035514523527e+00,1.080243372569844817e+00
3.808379077670920765e+01,3.105632688505708217e+01,1.673476323207725436e+00,1.631242768025145340e+00
3.005089266092594258e+01,2.826810233093203095e+01,2.258442716283043605e+00,2.242451403395882448e+00
4.592576672996018061e+01,3.163273994699683556e+01,1.530238578936096605e+00,1.482718595677700701e+00
3.463669269463050426e+01,2.328847064796319444e+01,2.376820488317355373e+00,2.377146237610842761e+00
2.526764332147511283e+01,1.231659329102708611e+01,5.233406641669305914e-01,4.671473527886487731e-01
4.315648520776668384e+00,3.155772348814119965e+01,8.492557532048263802e-01,7.946110347400642260e-01
2.467823674073343199e+01,1.173128004021530835e+01,4.521305240287104565e-01,5.249786147939732306e-01
1.103513426934654973e+01,1.386290023700083296e+01,7.643940538868874146e-01,7.617348428716202990e-01
7.068466728565968360e+00,3.360300325062463855e+01,9.884807392830169404e-01,9.857856380094147664e-01
2.555021366520396242e+01,2.403761935649333026e+01,2.583759647671085347e+00,2.609336468666966447e+00
3.936172198354947227e+01,2.687493525915976988e+01,2.322687413244862054e+00,2.301644563117418496e+00
1.510281891887321315e+01,3.052481667969558288e+01,2.071048005406416870e+00,2.059621237032509100e+00
3.855420211550374177e+01,2.661392839212799899e+01,2.349441654794689693e+00,2.370699091561285332e+00
2.651866139653157717e+01,2.109928220219329731e+01,2.219986710655023288e+00,2.234107502767243236e+00
7.877877156850271234e+00,2.357498544864521506e+01,2.188371885647334203e+00,2.130407049300712785e+00
4.826590332699691999e+01,1.996209484180673144e+01,1.838923186869894311e+00,1.880590316703377507e+00
2.038099308248161634e+01,2.442976062426473050e+01,2.733429366737939681e+00,2.703907619573487686e+00
1.511409565530344068e+01,1.005517576774930433e+01,3.011478630249373456e-01,2.483439155092280470e-01
4.242641934636961309e+01,2.270665240516855476e+01,2.266306677251542556e+00,2.221282923751589866e+00
6.660786459516251590e+00,1.059554456489355267e+01,2.486884913299762245e-01,2.291612241122100713e-01
3.681272782314832170e+01,1.274179872059939100e+01,5.397924337813972961e-01,6.211574465125506705e-01
9.797324756990681394e+00,3.115920686519082139e+01,1.723699744890435870e+00,1.664922949644396910e+00
1.992834291262283131e+01,2.648465293263618037e+01,2.693413408220216354e+00,2.701417202846933208e+00
1.197904398387585267e+01,1.455419677071587614e+01,9.101359197905983800e-01,8.032447018860695565e-01
4.214078563827315094e+01,2.868006313129573925e+01,2.087308849427119917e+00,2.087230502769859886e+00
1.980869032102315686e+01,2.189458173969606491e+01,2.502906100902785980e+00,2.547884421776586361e+00
4.874729423767331582e+01,1.337115689932822349e+01,6.128081338489423935e-01,6.009749677458696704e-01
3.145044347854778621e+01,3.324214237857579946e+01,1.262264429764576423e+00,1.230796683570409389e+00
3.483433031779430422e+01,1.282012746213504073e+01,5.546943824511392229e-01,5.662699356540661366e-01
2.631549354555466635e+01,1.049357145045730100e+01,3.157241503814692818e-01,3.507317379390018086e-01
1.579392585424176154e+01,1.641504321141487566e+01,1.346269361807463705e+00,1.379452240358334025e+00
2.008004284209522083e+01,1.217149767310583819e+01,5.303657568074661155e-01,6.289894495039557443e-01
4.707624228926413679e+01,1.041803646453922561e+01,2.830160222687171934e-01,2.934743958855310364e-01
1.045955843587089085e+01,2.633104691160552591e+01,2.544735955056062426e+00,2.515115450068415637e+00
4.941683561040050421e+01,1.329905347478229416e+01,6.022905519178414213e-01,5.959915924185092972e-01
3.803614016918901086e+01,2.409699610154969918e+01,2.395741991445226038e+00,2.392117064164235529e+00
1.830945286138420514e+01,1.606474572927717048e+01,1.254830890406644306e+00,1.260267759580550262e+00
3.225492268052736478e+01,3.351625339418774274e+01,1.199784417615804344e+00,1.198283026954332531e+00
1.935858619500783462e+01,1.539639970737014707e+01,1.100059046950141228e+00,1.108757343894951397e+00
1.938390016567604235e+01,2.301636815853929008e+01,2.659402915952870927e+00,2.575860412922115206e+00
2.543824603462921630e+01,2.837468144929141189e+01,2.329542836395693595e+00,2.371024284197695842e+00
1.327779670951165558e+00,1.777824796573688815e+01,1.307311149055012944e-01,1.019941514594496779e-01
2.493179221719811167e+01,3.079348475132486840e+01,1.875207688388084826e+00,1.816549753565733560e+00
4.859412146562095813e+01,1.784947380328522826e+01,1.421079156562778723e+00,1.452966714544850602e+00
1.463052882488613271e+01,1.969650159435256853e+01,2.117257564478433718e+00,2.183123864847738016e+00
3.753678897429229977e+01,2.075970706319345993e+01,2.021217533439458425e+00,2.045868940914430389e+00
2.241805005848950572e+01,2.047235304829512970e+01,2.190566968345406984e+00,2.198624934037682888e+00
1.085941160958038054e+01,2.519859136026036595e+01,2.626337068783481055e+00,2.579726053514883599e+00
4.529762725549741020e+01,1.565614028999577023e+01,9.930918799639151251e-01,1.136670246854590172e+00
1.332950591670543306e+00,1.823035276107408009e+01,1.402500544916404912e-01,1.842629855247158999e-01
1.552369186667577772e+01,1.572430078293787048e+01,1.189790481207843698e+00,1.132825747690694884e+00
4.995178117503490967e+01,1.692363121292229167e+01,1.233032573213757921e+00,1.194050677401770733e+00
1.347626641140447923e+01,2.906955815410013599e+01,2.354559589423838251e+00,2.358908551852433533e+00
4.252770383203396420e+01,2.573166884554670730e+01,2.375479498557970359e+00,2.297742941958170970e+00
3.048131585845736069e+01,3.406973256060086186e+01,1.100672082010383690e+00,1.109103602360909324e+00
4.039876752259262105e+01,3.375325101567621289e+01,1.115133216636763125e+00,1.092179638851125123e+00
3.170072889445217257e+01,1.512713617269597854e+01,9.379697762317922294e-01,9.992833062476030870e-01
1.845349442436349463e+01,1.524865089902863957e+01,1.076312712103254965e+00,1.124420445284667336e+00
3.815904483688238713e+01,3.269119903064515142e+01,1.336305164989452399e+00,1.200740893117713703e+00
1.810985170746630679e+00,1.347399563146189649e+01,1.002948818304271600e-01,1.023800111317927919e-01
2.261724111085536748e+01,2.902962617491659358e+01,2.281408433532262414e+00,2.200535058556078116e+00
1.890680120857024704e+01,1.479399407642371145e+01,9.797679097103119128e-01,1.035249809672738053e+00
2.411516327904879731e+01,1.357591658957524849e+01,7.169116215086097643e-01,7.253169149650009473e-01
6.817223981555446066e+00,2.098109723217341838e+01,1.715704345296756861e+00,1.743124617906106621e+00
1.151408986434048565e+01,2.710149192945594976e+01,2.563609141063356578e+00,2.510352904623191606e+00
2.832155370993561405e+01,3.110421711530948841e+01,1.753836380631689895e+00,1.845257892531464883e+00
1.969457122496972090e+01,1.520377613455817212e+01,1.056756927953056646e+00,1.157760596310578816e+00
3.968698217672185535e+01,1.249259852411635130e+01,5.029030436629452483e-01,4.496644915316346247e-01
3.045426116923696469e+01,2.981782299850264195e+01,1.986928962087031403e+00,2.005569718180347127e+00
4.313270089695620868e+01,2.127543062771719207e+01,2.076584996831504881e+00,2.042919875411995712e+00
3.675186144761742213e+01,2.523924171060232879e+01,2.424721697804531395e+00,2.423543200961495003e+00
3.029026066404896866e+01,2.460503767515951523e+01,2.504933306695433792e+00,2.441651457734205444e+00
1.473697230870178743e+01,2.902043741140572664e+01,2.387558613428415022e+00,2.480915889157445875e+00
3.924664316234534311e+01,3.473897283422392945e+01,9.321366702990753206e-01,8.836776947449419550e-01
1.293774511946855021e+01,2.620228722833629575e+01,2.719343309982413803e+00,2.704539119232538980e+00
4.222950034813019116e+00,1.913028843746522867e+01,9.024667444450336085e-01,9.275408910005596974e-01
4.816179663293977598e+01,1.437224563676592304e+01,7.661185029671401248e-01,7.337404690463337209e-01
2.723055465227522376e+01,1.257197047390246070e+01,5.481960976502711080e-01,5.362304761636560446e-01
3.880776772871566038e+01,2.728885395872775632e+01,2.286624463646796723e+00,2.258442471325448508e+00
2.669652897770282607e+01,1.637759020944925936e+01,1.227058407527597206e+00,1.220385369785782492e+00
3.077319665340516153e+01,1.694002849159561563e+01,1.305965284623731515e+00,1.247438152868716399e+00
2.177666400567058957e+00,2.108367189870797276e+01,4.388205338814359924e-01,4.169211301013209803e-01
9.746287128013522150e+00,2.318996345836729844e+01,2.431900934528030245e+00,2.421556288292418202e+00
3.389712507402148134e+01,2.040370050392826329e+01,1.988407714210363331e+00,1.971721414020156660e+00
2.874294759864866222e+01,3.389260874341700003e+01,1.150650480825065936e+00,1.153484978569755626e+00
8.348474182342275896e+00,1.745227768698529758e+01,1.309730367646045668e+00,1.295075256678209552e+00
4.762544880194614905e+01,2.505046567946121172e+01,2.371507972654330665e+00,2.409168543076299684e+00
8.140504811096512583e+00,1.040613562480487175e+01,2.710034556872437106e-01,2.548436593979522269e-01
2.576001086206492374e+01,1.159429604151095106e+01,4.314627360867563377e-01,4.246302562719621032e-01
7.628142313453254886e+00,1.497367203170167294e+01,8.000776269482345882e-01,7.668385601484419833e-01
3.600990044225861908e+01,1.703357184342700492e+01,1.289827643066312257e+00,1.263501901060550381e+00
1.417749419771006103e+01,2.165808298312487779e+01,2.501461600456154510e+00,2.438236960915169060e+00
7.139631768528271749e+00,2.435518504822848485e+01,2.078626920932879596e+00,2.104566166976777897e+00
2.776365443190525362e+00,1.414802771642733781e+01,2.275866821936513018e-01,1.704607813110267100e-01
9.154359125932369778e+00,2.446624392784963220e+01,2.430149740455298080e+00,2.392856920545881838e+00
9.994036477816537811e+00,1.204557599741856677e+01,4.745227482054419910e-01,4.924849808060022260e-01
2.708011793880373475e+01,1.980686790024434174e+01,1.964118950849095047e+00,1.984247619146321640e+00
2.282642486548386529e+01,2.995242702516666355e+01,2.095558538201785836e+00,2.075552800651532248e+00
4.788607117905009858e+01,2.187480047755451196e+01,2.150381466570504330e+00,2.049418176046064133e+00
4.773049117489880189e+01,2.665170887752323736e+01,2.307519555083510365e+00,2.328545219448288961e+00
3.992903246818730167e+01,1.558927226985314718e+01,9.907800594986809761e-01,1.003758232443283882e+00
3.374358788204481385e+01,2.768811812241978743e+01,2.286680114950162324e+00,2.216061054176573730e+00
4.232864303263314554e+01,3.460761104060908622e+01,9.492082173356527486e-01,9.877243214753775868e-01
4.696821550975428750e+01,2.627372679566263614e+01,2.334905325108268759e+00,2.299850335086597308e+00
1.619577579906636311e+00,3.451298216538629049e+01,1.266376145820622412e-01,7.032820877439721619e-02
6.346208743967505228e+00,3.084686277270374077e+01,1.353259082899060273e+00,1.358045618447273117e+00
1.833306229184033498e+01,2.920534230591221814e+01,2.335870734303776786e+00,2.326947212733815995e+00
5.132549225608686427e+00,2.197985602778491199e+01,1.433084492805837051e+00,1.443215692855394527e+00
3.017646141613721866e+01,2.435190812527437387e+01,2.500288778711015070e+00,2.420001375794793130e+00
1.338802900623137759e+01,1.617855020283914769e+01,1.274749407683725355e+00,1.365360913497344120e+00
1.358481659205011205e+01,3.186401135800373652e+01,1.736774954582080310e+00,1.706642023854893830e+00
1.477223543806934636e+01,1.033553448956009291e+01,3.268038113937288269e-01,2.498208459689082728e-01
5.336925050427307582e+00,2.993501287636104635e+01,1.278615986686567396e+00,1.309558096114924908e+00
3.717675043528886647e+01,3.350099208657032079e+01,1.175956521909214292e+00,1.158216315404155372e+00
3.270828526518268120e+01,1.829600812043876346e+01,1.576807446100131349e+00,1.593050370388776615e+00
3.052215048674248976e+01,2.999876004192430656e+01,1.951054729298175472e+00,1.934074307766923573e+00
2.185256322749884017e+00,2.073194499486368159e+01,4.287227914613117030e-01,4.257357734373156677e-01
2.175847515962443524e+01,3.142363900060182402e+01,1.791501816020260263e+00,1.803790458207191971e+00
3.441757770004220873e+01,2.572552014749077642e+01,2.437113328645480248e+00,2.399780684446335410e+00
8.239159170227525308e+00,1.139415488719551739e+01,3.607308494417577616e-01,3.946678292347356454e-01
1.959006331054876426e+01,1.939160092250292422e+01,2.016180778763065007e+00,1.992685773809087735e+00
1.481790200761876175e+00,1.048107379516243221e+01,3.255414451123254949e-02,-1.093021269729106681e-02
4.551970855323482112e+00,2.873296652948898000e+01,1.205006449685729342e+00,1.208858070776854587e+00
1.121445220995316738e+01,3.177111287276393270e+01,1.679796504967016268e+00,1.702048568891568303e+00
2.102518297649180923e+01,3.490270870640392786e+01,1.022404298600950723e+00,1.010950331520018786e+00
2.343038179622530492e+01,2.315864213510435832e+01,2.573225744237437329e+00,2.530099754883459173e+00
4.428381581509659526e+01,1.978231440374542416e+01,1.813631061502712694e+00,1.844620339818144439e+00
1.617459288761365599e+01,2.311401597263194319e+01,2.714472451403440179e+00,2.626456011797301482e+00
1.562461875720972948e+00,2.108741371632448747e+01,2.523628323699949605e-01,2.008196255682183073e-01
4.139805566517267721e+01,1.732849259527739960e+01,1.328873919517718605e+00,1.330850064044387882e+00
3.561423300991852336e+00,3.275646211521807771e+01,5.678165408054060004e-01,4.997635708901526086e-01
5.103103636780303098e+00,1.985458815703670865e+01,1.197871705865545700e+00,1.199271419078004053e+00
4.817749497861687757e+01,3.239155452040306216e+01,1.372603141310752006e+00,1.369859985409828784e+00
3.779158819735373953e+01,2.416251277012766607e+01,2.400391564949175827e+00,2.445328554392084186e+00
1.722378303757312423e+01,3.117288669707875215e+01,1.916003317776123094e+00,1.870263800185458569e+00
7.042852660150186850e+00,2.664020623417386346e+01,2.011637649043938492e+00,1.980342322861856408e+00
1.964316337200714813e+01,2.173107085651318471e+01,2.480452360561101077e+00,2.497111444796150881e+00
1.729014719261859057e+01,2.790779964306136307e+01,2.576544836053624721e+00,2.453666656543334490e+00
4.378483947140242094e+01,2.813662347179121426e+01,2.159696150891098121e+00,2.314698265836827140e+00
2.122827435704498100e+01,3.173437579789547769e+01,1.728630007864737417e+00,1.693697471341649052e+00
4.561227797773290682e+00,2.152008335709314935e+01,1.229920455575307381e+00,1.193428702939029584e+00
4.637685751675001455e+01,2.324054834173689343e+01,2.302222696265088686e+00,2.345279071810274285e+00
3.130451150390537762e+01,2.910594846247368395e+01,2.105518191684157880e+00,2.103526599612373538e+00
6.277137910659609688e+00,2.286914611146141496e+01,1.803792486687860297e+00,1.714821055752680845e+00
6.102120922297905814e+00,2.550902581434220551e+01,1.838221930511486635e+00,1.869568299516117138e+00
2.356369543763108254e+01,1.588640773176765109e+01,1.158546422928471875e+00,1.201315314628432329e+00
5.058403801611250472e+00,3.440247345937588364e+01,6.391614963519769432e-01,6.166641826781799063e-01
3.177173351403654422e+01,2.589929585544258828e+01,2.464968241773084490e+00,2.450888223858483261e+00
3.101099765919805762e+01,2.626368425195410694e+01,2.457275216693350028e+00,2.481574446556319646e+00
2.088026756598608369e+00,2.862973228208109688e+01,4.193362527393087458e-01,3.738972402435862818e-01
4.046742766154407889e+01,2.969295049054981916e+01,1.924684296660030824e+00,1.946603724870376251e+00
3.944634066650517923e+01,1.239749780933619050e+01,4.913564097873496239e-01,5.013213353095745672e-01
4.580775929645776756e+01,1.925147627955855256e+01,1.707522857599846011e+00,1.673776226811050094e+00
3.368017901355461419e+01,2.496600480366299379e+01,2.458789992682036019e+00,2.389184898991443706e+00
3.479668050059355267e+01,3.485483207285087559e+01,9.260271527001540104e-01,9.147468611620996892e-01
8.605211895431811087e+00,2.291182529188638028e+01,2.255946155031503420e+00,2.212175042118495139e+00
