r,E
5.192638527705540907e-01,6.010453908124843814e+00
5.200240048009601157e-01,5.988183093086028030e+00
5.207841568313662517e-01,5.966031320500730928e+00
5.215443088617723877e-01,5.943997764920627702e+00
5.223044608921784127e-01,5.922081607921217739e+00
5.230646129225844376e-01,5.900282038031096299e+00
5.238247649529905736e-01,5.878598250662085078e+00
5.245849169833967096e-01,5.857029448040147912e+00
5.253450690138027346e-01,5.835574839137117387e+00
5.261052210442087596e-01,5.814233639603195058e+00
5.268653730746148955e-01,5.793005071700243036e+00
5.276255251050210315e-01,5.771888364235847391e+00
5.283856771354270565e-01,5.750882752498129413e+00
5.291458291658330815e-01,5.729987478191302941e+00
5.299059811962392175e-01,5.709201789371976865e+00
5.306661332266453535e-01,5.688524940386200157e+00
5.314262852570513784e-01,5.667956191807201449e+00
5.321864372874574034e-01,5.647494810373839158e+00
5.329465893178635394e-01,5.627140068929785244e+00
5.337067413482696754e-01,5.606891246363367998e+00
5.344668933786757004e-01,5.586747627548112938e+00
5.352270454090817253e-01,5.566708503283950726e+00
5.359871974394878613e-01,5.546773170239091222e+00
5.367473494698939973e-01,5.526940930892578763e+00
5.375075015003000223e-01,5.507211093477454078e+00
5.382676535307060472e-01,5.487582971924582331e+00
5.390278055611121832e-01,5.468055885807121541e+00
5.397879575915183192e-01,5.448629160285592299e+00
5.405481096219243442e-01,5.429302126053587862e+00
5.413082616523303692e-01,5.410074119284064231e+00
5.420684136827365052e-01,5.390944481576253722e+00
5.428285657131426412e-01,5.371912559903178064e+00
5.435887177435486661e-01,5.352977706559715720e+00
5.443488697739546911e-01,5.334139279111275833e+00
5.451090218043608271e-01,5.315396640343033496e+00
5.458691738347669631e-01,5.296749158209727248e+00
5.466293258651729881e-01,5.278196205786020556e+00
5.473894778955790130e-01,5.259737161217400647e+00
5.481496299259851490e-01,5.241371407671626237e+00
5.489097819563912850e-01,5.223098333290725037e+00
5.496699339867973100e-01,5.204917331143501968e+00
5.504300860172033349e-01,5.186827799178567844e+00
5.511902380476094709e-01,5.168829140177903625e+00
5.519503900780156069e-01,5.150920761710922058e+00
5.527105421084216319e-01,5.133102076089041788e+00
5.534706941388276569e-01,5.115372500320730431e+00
5.542308461692337929e-01,5.097731456067081446e+00
5.549909981996399289e-01,5.080178369597845744e+00
5.557511502300459538e-01,5.062712671747962467e+00
5.565113022604519788e-01,5.045333797874531179e+00
5.572714542908581148e-01,5.028041187814287660e+00
5.580316063212642508e-01,5.010834285841525571e+00
5.587917583516703868e-01,4.993712540626471075e+00
5.595519103820764117e-01,4.976675405194116664e+00
5.603120624124824367e-01,4.959722336883476856e+00
5.610722144428885727e-01,4.942852797307320856e+00
5.618323664732947087e-01,4.926066252312311988e+00
5.625925185037007337e-01,4.909362171939587682e+00
5.633526705341067586e-01,4.892740030385740901e+00
5.641128225645128946e-01,4.876199305964258102e+00
5.648729745949190306e-01,4.859739481067340883e+00
5.656331266253250556e-01,4.843360042128148635e+00
5.663932786557310806e-01,4.827060479583431984e+00
5.671534306861372166e-01,4.810840287836578355e+00
5.679135827165433525e-01,4.794698965221050102e+00
5.686737347469493775e-01,4.778636013964209006e+00
5.694338867773554025e-01,4.762650940151511136e+00
5.701940388077615385e-01,4.746743253691104059e+00
5.709541908381676745e-01,4.730912468278789085e+00
5.717143428685736994e-01,4.715158101363353893e+00
5.724744948989797244e-01,4.699479674112263972e+00
5.732346469293858604e-01,4.683876711377727098e+00
5.739947989597919964e-01,4.668348741663119306e+00
5.747549509901980214e-01,4.652895297089746585e+00
5.755151030206040463e-01,4.637515913363961850e+00
5.762752550510101823e-01,4.622210129744643403e+00
5.770354070814163183e-01,4.606977489010985138e+00
5.777955591118223433e-01,4.591817537430654461e+00
5.785557111422283683e-01,4.576729824728253959e+00
5.793158631726345043e-01,4.561713904054125912e+00
5.800760152030406402e-01,4.546769331953493420e+00
5.808361672334466652e-01,4.531895668335899074e+00
5.815963192638526902e-01,4.517092476444973137e+00
5.823564712942588262e-01,4.502359322828511701e+00
5.831166233246649622e-01,4.487695777308881695e+00
5.838767753550709871e-01,4.473101412953698564e+00
5.846369273854770121e-01,4.458575806046832568e+00
5.853970794158831481e-01,4.444118536059712632e+00
5.861572314462892841e-01,4.429729185622909071e+00
5.869173834766953091e-01,4.415407340498037847e+00
5.876775355071013340e-01,4.401152589549911731e+00
5.884376875375074700e-01,4.386964524719015657e+00
5.891978395679136060e-01,4.372842740994249411e+00
5.899579915983196310e-01,4.358786836385948327e+00
5.907181436287256560e-01,4.344796411899166877e+00
5.914782956591317920e-01,4.330871071507265135e+00
5.922384476895379279e-01,4.317010422125737712e+00
5.929985997199439529e-01,4.303214073586326016e+00
5.937587517503499779e-01,4.289481638611373882e+00
5.945189037807561139e-01,4.275812732788462078e+00
5.952790558111622499e-01,4.262206974545298621e+00
5.960392078415682748e-01,4.248663985124850662e+00
5.967993598719742998e-01,4.235183388560733064e+00
5.975595119023804358e-01,4.221764811652848337e+00
5.983196639327865718e-01,4.208407883943278804e+00
5.990798159631925968e-01,4.195112237692404378e+00
5.998399679935986217e-01,4.181877507855267240e+00
6.006001200240047577e-01,4.168703332058182554e+00
6.013602720544108937e-01,4.155589350575572993e+00
6.021204240848169187e-01,4.142535206307045748e+00
6.028805761152229437e-01,4.129540544754677356e+00
6.036407281456290796e-01,4.116605014000551677e+00
6.044008801760352156e-01,4.103728264684507465e+00
6.051610322064412406e-01,4.090909949982111549e+00
6.059211842368472656e-01,4.078149725582843388e+00
6.066813362672534016e-01,4.065447249668501684e+00
6.074414882976595376e-01,4.052802182891841021e+00
6.082016403280655625e-01,4.040214188355384373e+00
6.089617923584715875e-01,4.027682931590481630e+00
6.097219443888777235e-01,4.015208080536541324e+00
6.104820964192838595e-01,4.002789305520510155e+00
6.112422484496898845e-01,3.990426279236505724e+00
6.120024004800959094e-01,3.978118676725683311e+00
6.127625525105020454e-01,3.965866175356290491e+00
6.135227045409081814e-01,3.953668454803916710e+00
6.142828565713142064e-01,3.941525197031938266e+00
6.150430086017202314e-01,3.929436086272150686e+00
6.158031606321263673e-01,3.917400809005589846e+00
6.165633126625325033e-01,3.905419053943557373e+00
6.173234646929385283e-01,3.893490512008803694e+00
6.180836167233445533e-01,3.881614876316910934e+00
6.188437687537506893e-01,3.869791842157857875e+00
6.196039207841568253e-01,3.858021106977756354e+00
6.203640728145628502e-01,3.846302370360771050e+00
6.211242248449688752e-01,3.834635334011208485e+00
6.218843768753750112e-01,3.823019701735779208e+00
6.226445289057811472e-01,3.811455179426046502e+00
6.234046809361872832e-01,3.799941475041021643e+00
6.241648329665933082e-01,3.788478298589942117e+00
6.249249849969993331e-01,3.777065362115206160e+00
6.256851370274054691e-01,3.765702379675482270e+00
6.264452890578116051e-01,3.754389067328972818e+00
6.272054410882176301e-01,3.743125143116838860e+00
6.279655931186236550e-01,3.731910327046787046e+00
6.287257451490297910e-01,3.720744341076803074e+00
6.294858971794359270e-01,3.709626909099063674e+00
6.302460492098419520e-01,3.698557756923975148e+00
6.310062012402479770e-01,3.687536612264376679e+00
6.317663532706541130e-01,3.676563204719894618e+00
6.325265053010602490e-01,3.665637265761448216e+00
6.332866573314662739e-01,3.654758528715894350e+00
6.340468093618722989e-01,3.643926728750813471e+00
6.348069613922784349e-01,3.633141602859460306e+00
6.355671134226845709e-01,3.622402889845838470e+00
6.363272654530905958e-01,3.611710330309918504e+00
6.370874174834966208e-01,3.601063666633000704e+00
6.378475695139027568e-01,3.590462642963213824e+00
6.386077215443088928e-01,3.579907005201145687e+00
6.393678735747149178e-01,3.569396500985623444e+00
6.401280256051209427e-01,3.558930879679597314e+00
6.408881776355270787e-01,3.548509892356192186e+00
6.416483296659332147e-01,3.538133291784866685e+00
6.424084816963392397e-01,3.527800832417712140e+00
