t,H,H_slow,V_freq,dH_dt,dH_dt_noisy
9.601920384076815251e-01,3.461015464446422496e-01,3.499377007591025768e-01,1.662879565806193701e-03,-3.947979082296704939e-03,-3.940034660800372998e-03
1.020204040808161627e+00,3.458650297732649426e-01,3.499297980238914030e-01,1.765666516712399801e-03,-3.934344800766261668e-03,-3.992836150959279407e-03
1.080216043208641619e+00,3.456293294309377706e-01,3.499214392371464144e-01,1.868320975657974687e-03,-3.920773789565343455e-03,-4.077155482036711603e-03
1.140228045609121832e+00,3.453944416280929630e-01,3.499126269391793498e-01,1.970843266576857277e-03,-3.907265728861464282e-03,-3.958704176985238486e-03
1.200240048009601823e+00,3.451603625941428999e-01,3.499033636577926210e-01,2.073233712086959557e-03,-3.893820300529802526e-03,-3.892191864426133678e-03
1.260252050410082036e+00,3.449270885774803896e-01,3.498936519082793684e-01,2.175492633490167665e-03,-3.880437188151396408e-03,-3.935557769211270318e-03
1.320264052810562028e+00,3.446946158454786691e-01,3.498834941934232945e-01,2.277620350772335388e-03,-3.867116077011350725e-03,-3.608303314131709131e-03
1.380276055211042241e+00,3.444629406844912367e-01,3.498728930034988860e-01,2.379617182603293701e-03,-3.853856654097036639e-03,-3.652511791035877638e-03
1.440288057611522232e+00,3.442320593998520195e-01,3.498618508162712470e-01,2.481483446336844693e-03,-3.840658608096338741e-03,-4.382891103889532264e-03
1.500300060012002445e+00,3.440019683158752617e-01,3.498503700969960994e-01,2.583219458010762443e-03,-3.827521629395906014e-03,-4.205324278589440447e-03
1.560312062412482437e+00,3.437726637758555248e-01,3.498384532984199491e-01,2.684825532346792575e-03,-3.814445410079409741e-03,-3.849399828490441926e-03
1.620324064812962650e+00,3.435441421420678543e-01,3.498261028607798639e-01,2.786301982750655735e-03,-3.801429643925849106e-03,-3.885867726241119639e-03
1.680336067213442641e+00,3.433163997957676128e-01,3.498133212118036406e-01,2.887649121312042821e-03,-3.788474026407837297e-03,-3.745745426908115173e-03
1.740348069613922855e+00,3.430894331371903694e-01,3.498001107667098042e-01,2.988867258804618014e-03,-3.775578254689913177e-03,-3.732113868485400360e-03
1.800360072014402846e+00,3.428632385760887469e-01,3.497864739340826312e-01,3.089956705290230338e-03,-3.762742026856508246e-03,-3.339174275846298369e-03
1.860372074414883059e+00,3.426378125324937018e-01,3.497724131151035420e-01,3.190917770043782357e-03,-3.749965041977625004e-03,-3.972369194516081094e-03
1.920384076815363050e+00,3.424131514692256295e-01,3.497579306833897284e-01,3.291750759479490553e-03,-3.737247002753364775e-03,-3.812768004178764339e-03
1.980396079215843042e+00,3.421892518664994554e-01,3.497430290010258291e-01,3.392455978796044165e-03,-3.724587613440165975e-03,-3.316033291941699896e-03
2.040408081616323255e+00,3.419661102208720327e-01,3.497277104192231811e-01,3.493033732044330091e-03,-3.711986579763462950e-03,-3.582645980523093462e-03
2.100420084016803468e+00,3.417437230452419761e-01,3.497119772783199299e-01,3.593484322127428986e-03,-3.699443608916145980e-03,-3.566830934440893587e-03
2.160432086417283237e+00,3.415220868688496059e-01,3.496958319077809740e-01,3.693808050800619601e-03,-3.686958409557046859e-03,-3.789759683894539273e-03
2.220444088817763451e+00,3.413011982372772257e-01,3.496792766261978547e-01,3.794005218671379215e-03,-3.674530691809460483e-03,-4.004145725980591368e-03
2.280456091218243664e+00,3.410810537124486785e-01,3.496623137412890325e-01,3.894076125199379297e-03,-3.662160167259630433e-03,-3.628667218415082378e-03
2.340468093618723877e+00,3.408616498726299016e-01,3.496449455498996106e-01,3.994021068696488111e-03,-3.649846548955314358e-03,-3.628043731391004684e-03
2.400480096019203646e+00,3.406429833124283157e-01,3.496271743380014452e-01,4.093840346326772447e-03,-3.637589551404290817e-03,-3.883059962253205839e-03
2.460492098419683860e+00,3.404250506427934364e-01,3.496090023806931457e-01,4.193534254106494157e-03,-3.625388890572960217e-03,-3.762034222929072809e-03
2.520504100820164073e+00,3.402078484910163181e-01,3.495904319422000750e-01,4.293103086904112749e-03,-3.613244283884869002e-03,-3.627653019830314688e-03
2.580516103220644286e+00,3.399913735007299986e-01,3.495714652758743490e-01,4.392547138440283661e-03,-3.601155450219341390e-03,-3.790105774831496917e-03
2.640528105621124055e+00,3.397756223319091662e-01,3.495521046241948371e-01,4.491866701287858255e-03,-3.589122109910039982e-03,-3.608776103480483468e-03
2.700540108021604269e+00,3.395605916608704922e-01,3.495323522187671617e-01,4.591062066871886421e-03,-3.577143984743615286e-03,-3.558047379249724453e-03
2.760552110422084482e+00,3.393462781802721873e-01,3.495122102803236985e-01,4.690133525469614845e-03,-3.565220797958293646e-03,-3.558103550547196334e-03
2.820564112822564695e+00,3.391326785991144455e-01,3.494916810187235212e-01,4.789081366210486135e-03,-3.553352274242553219e-03,-3.654610605905416094e-03
2.880576115223044464e+00,3.389197896427392220e-01,3.494707666329524565e-01,4.887905877076136225e-03,-3.541538139733753105e-03,-3.422788525376588547e-03
2.940588117623524678e+00,3.387076080528302335e-01,3.494494693111231953e-01,4.986607344900404783e-03,-3.529778122016811494e-03,-3.351544731160345948e-03
3.000600120024004891e+00,3.384961305874130133e-01,3.494277912304750711e-01,5.085186055369322194e-03,-3.518071950122875994e-03,-3.453902289209563430e-03
3.060612122424484660e+00,3.382853540208548559e-01,3.494057345573741147e-01,5.183642293021118244e-03,-3.506419354528028231e-03,-3.670065400006089582e-03
3.120624124824964873e+00,3.380752751438649284e-01,3.493833014473132770e-01,5.281976341246219508e-03,-3.494820067151979768e-03,-3.348489610394891382e-03
3.180636127225445087e+00,3.378658907634941033e-01,3.493604940449120400e-01,5.380188482287247623e-03,-3.483273821356789712e-03,-3.583561825050200333e-03
3.240648129625925300e+00,3.376571977031351257e-01,3.493373144839169164e-01,5.478278997239021883e-03,-3.471780351945602701e-03,-3.295948228288005620e-03
3.300660132026405069e+00,3.374491928025224463e-01,3.493137648872008394e-01,5.576248166048557511e-03,-3.460339395161384727e-03,-3.674696878536873757e-03
3.360672134426885282e+00,3.372418729177324437e-01,3.492898473667637727e-01,5.674096267515068258e-03,-3.448950688685684541e-03,-3.266057248059928229e-03
3.420684136827365496e+00,3.370352349211830911e-01,3.492655640237322112e-01,5.771823579289963799e-03,-3.437613971637395495e-03,-3.441626662560491427e-03
3.480696139227845709e+00,3.368292757014183514e-01,3.492409169484959608e-01,5.869430377890852424e-03,-3.426328984553945935e-03,-3.676078762620829058e-03
3.540708141628325478e+00,3.366239921452409134e-01,3.492159082318881946e-01,5.966916939850555948e-03,-3.415095467936065700e-03,-3.477875362329435182e-03
3.600720144028805692e+00,3.364193811677609891e-01,3.491905399459869219e-01,6.064283539749132715e-03,-3.403913164699077457e-03,-3.393092708944768672e-03
3.660732146429285905e+00,3.362154397125466376e-01,3.491648141442809661e-01,6.161530450227484766e-03,-3.392781820179184647e-03,-3.338223552346294108e-03
3.720744148829766118e+00,3.360121647371324127e-01,3.491387328708839832e-01,6.258657942932475959e-03,-3.381701180950408281e-03,-3.578138805938603853e-03
3.780756151230245887e+00,3.358095532130190852e-01,3.491122981605348508e-01,6.355666288516931967e-03,-3.370670994823427285e-03,-3.592145604256465757e-03
3.840768153630726101e+00,3.356076021256740316e-01,3.490855120385976673e-01,6.452555756639635071e-03,-3.359691010844506002e-03,-3.319774104275090027e-03
3.900780156031206314e+00,3.354063084745309009e-01,3.490583765210615308e-01,6.549326615965329369e-03,-3.348760979294378767e-03,-3.442110902670339045e-03
3.960792158431686083e+00,3.352056692729897813e-01,3.490308936145407048e-01,6.645979134164717306e-03,-3.337880651687167872e-03,-3.290779529341122771e-03
4.020804160832166296e+00,3.350056815484172001e-01,3.490030653162745078e-01,6.742513577914462271e-03,-3.327049780769313243e-03,-3.175145876273637296e-03
4.080816163232646510e+00,3.348063423421460683e-01,3.489748936141274793e-01,6.838930212897186868e-03,-3.316268120518500381e-03,-3.646025593788689879e-03
4.140828165633126723e+00,3.346076487094757357e-01,3.489463804865892138e-01,6.935229303801472914e-03,-3.305535426142610419e-03,-3.254657802839087087e-03
4.200840168033606936e+00,3.344095977196718805e-01,3.489175279027744714e-01,7.031411114321862305e-03,-3.294851454078671481e-03,-3.049922060571524842e-03
4.260852170434087149e+00,3.342121864559666755e-01,3.488883378224230114e-01,7.127475907158857885e-03,-3.284215961991832598e-03,-3.343721330865927124e-03
4.320864172834566475e+00,3.340154120155586770e-01,3.488588121958998700e-01,7.223423944018918241e-03,-3.273628708774325904e-03,-3.435791625421839857e-03
4.380876175235046688e+00,3.338192715096128249e-01,3.488289529641951936e-01,7.319255485614467246e-03,-3.263089454544466569e-03,-3.112640689108547853e-03
4.440888177635526901e+00,3.336237620632604428e-01,3.487987620589240723e-01,7.414970791663885383e-03,-3.252597960645641460e-03,-3.201908657404013009e-03
4.500900180036007114e+00,3.334288808155992934e-01,3.487682414023268729e-01,7.510570120891513213e-03,-3.242153989645312970e-03,-3.062977375489800858e-03
4.560912182436487328e+00,3.332346249196936339e-01,3.487373929072690726e-01,7.606053731027650512e-03,-3.231757305334051478e-03,-3.300800447344307432e-03
4.620924184836967541e+00,3.330409915425739387e-01,3.487062184772412587e-01,7.701421878808557137e-03,-3.221407672724529644e-03,-3.517771327468971910e-03
4.680936187237447754e+00,3.328479778652372878e-01,3.486747200063590180e-01,7.796674819976453022e-03,-3.211104858050593033e-03,-3.233107010992843176e-03
4.740948189637927968e+00,3.326555810826469783e-01,3.486428993793632691e-01,7.891812809279518184e-03,-3.200848628766275218e-03,-3.290014259368521845e-03
4.800960192038407293e+00,3.324637984037329130e-01,3.486107584716198748e-01,7.986836100471891853e-03,-3.190638753544877519e-03,-3.035573989135362770e-03
4.860972194438887506e+00,3.322726270513912117e-01,3.485782991491199190e-01,8.081744946313671601e-03,-3.180475002278007959e-03,-3.141748432602577221e-03
4.920984196839367719e+00,3.320820642624845997e-01,3.485455232684794846e-01,8.176539598570918554e-03,-3.170357146074684850e-03,-3.496526992561704936e-03
4.980996199239847932e+00,3.318921072878419642e-01,3.485124326769399317e-01,8.271220308015648712e-03,-3.160284957260380521e-03,-3.399317573281020535e-03
5.041008201640328146e+00,3.317027533922588534e-01,3.484790292123676747e-01,8.365787324425839888e-03,-3.150258209376156568e-03,-2.973500402058705354e-03
5.101020204040808359e+00,3.315139998544970323e-01,3.484453147032541831e-01,8.460240896585433448e-03,-3.140276677177730128e-03,-3.004323673694160937e-03
5.161032206441288572e+00,3.313258439672847611e-01,3.484112909687161475e-01,8.554581272284322163e-03,-3.130340136634605658e-03,-3.258388809816303508e-03
5.221044208841767897e+00,3.311382830373166830e-01,3.483769598184952576e-01,8.648808698318367558e-03,-3.120448364929184586e-03,-3.120658124242640594e-03
5.281056211242248111e+00,3.309513143852539363e-01,3.483423230529584802e-01,8.742923420489384298e-03,-3.110601140455904450e-03,-3.021486429700667286e-03
5.341068213642728324e+00,3.307649353322381636e-01,3.483073824716962918e-01,8.836925684487179425e-03,-3.100798241721322308e-03,-3.007117374551866642e-03
5.401080216043208537e+00,3.305791432155328335e-01,3.482721398632832033e-01,8.930815734842428161e-03,-3.091039448622755984e-03,-2.915791009399885860e-03
5.461092218443688751e+00,3.303939354037838116e-01,3.482365969956669471e-01,9.024593813939257164e-03,-3.081324543688921010e-03,-3.030027418244608459e-03
5.521104220844168964e+00,3.302093092775423844e-01,3.482007556287418648e-01,9.118260163303153545e-03,-3.071653310489023958e-03,-3.090618978282723764e-03
5.581116223244649177e+00,3.300252622292285665e-01,3.481646175143725541e-01,9.211815023603353580e-03,-3.062025533628968173e-03,-3.113795146586537110e-03
5.641128225645129390e+00,3.298417916631315450e-01,3.481281843963934253e-01,9.305258634652839242e-03,-3.052440998750599165e-03,-2.841292438643948891e-03
5.701140228045608715e+00,3.296588949954093462e-01,3.480914580106089784e-01,9.398591235408332994e-03,-3.042899492530895793e-03,-3.493070347546603505e-03
5.761152230446088929e+00,3.294765696540889466e-01,3.480544400847938591e-01,9.491813063970313408e-03,-3.033400802681199618e-03,-3.061131867699466887e-03
5.821164232846569142e+00,3.292948130790663286e-01,3.480171323386926363e-01,9.584924357582997809e-03,-3.023944717946454655e-03,-3.017344697149642631e-03
5.881176235247049355e+00,3.291136227221063693e-01,3.479795364840198579e-01,9.677925352634352690e-03,-3.014531028104436728e-03,-3.299600820278474241e-03
5.941188237647529569e+00,3.289329960468429515e-01,3.479416542244602728e-01,9.770816284656086773e-03,-3.005159523965004933e-03,-2.938596801337395661e-03
6.001200240048009782e+00,3.287529305287788528e-01,3.479034872556684976e-01,9.863597388323661411e-03,-2.995829997369358309e-03,-3.126086199858036947e-03
6.061212242448489995e+00,3.285734236552858567e-01,3.478650372652692946e-01,9.956268897456278452e-03,-2.986542241189294247e-03,-2.814053281926144710e-03
6.121224244848969320e+00,3.283944729256046413e-01,3.478263059328574047e-01,1.004883104501688891e-02,-2.977296049326476433e-03,-3.002414466133341685e-03
6.181236247249449534e+00,3.282160758508448906e-01,3.477872949299976035e-01,1.014128406311218950e-02,-2.968091216711717106e-03,-2.834260568553826319e-03
6.241248249649929747e+00,3.280382299539852387e-01,3.477480059202247564e-01,1.023362818299262261e-02,-2.958927539304258888e-03,-2.715158818270014315e-03
6.301260252050409960e+00,3.278609327698732145e-01,3.477084405590435967e-01,1.032586363505237637e-02,-2.949804814091061805e-03,-2.873218897548367526e-03
6.361272254450890173e+00,3.276841818452253530e-01,3.476686004939291696e-01,1.041799064882938629e-02,-2.940722839086105499e-03,-3.115867067770674518e-03
6.421284256851370387e+00,3.275079747386271389e-01,3.476284873643262219e-01,1.051000945300533361e-02,-2.931681413329698810e-03,-3.234545139670626322e-03
6.481296259251850600e+00,3.273323090205330077e-01,3.475881028016498120e-01,1.060192027540564526e-02,-2.922680336887783711e-03,-2.572003513384509173e-03
6.541308261652330813e+00,3.271571822732662893e-01,3.475474484292848665e-01,1.069372334299949386e-02,-2.913719410851259208e-03,-2.935977849488762958e-03
6.601320264052810138e+00,3.269825920910193195e-01,3.475065258625864573e-01,1.078541888189979946e-02,-2.904798437335308695e-03,-3.042511426862173126e-03
6.661332266453290352e+00,3.268085360798534400e-01,3.474653367088795242e-01,1.087700711736322781e-02,-2.895917219478741627e-03,-2.867065801866576849e-03
6.721344268853770565e+00,3.266350118576987760e-01,3.474238825674592079e-01,1.096848827379019210e-02,-2.887075561443310043e-03,-2.925357827539839996e-03
6.781356271254250778e+00,3.264620170543546251e-01,3.473821650295905727e-01,1.105986257472484947e-02,-2.878273268413090568e-03,-2.707844815570552982e-03
6.841368273654730991e+00,3.262895493114890688e-01,3.473401856785087727e-01,1.115113024285510276e-02,-2.869510146593803965e-03,-2.862724510106383867e-03
6.901380276055211205e+00,3.261176062826391386e-01,3.472979460894190518e-01,1.124229150001260398e-02,-2.860786003212194978e-03,-2.858036086488511228e-03
6.961392278455691418e+00,3.259461856332109830e-01,3.472554478294964664e-01,1.133334656717274909e-02,-2.852100646515410860e-03,-2.995016590722003515e-03
7.021404280856170743e+00,3.257752850404795897e-01,3.472126924578863849e-01,1.142429566445467802e-02,-2.843453885770349989e-03,-2.749540266020851151e-03
7.081416283256650956e+00,3.256049021935887855e-01,3.471696815257039881e-01,1.151513901112128507e-02,-2.834845531263047343e-03,-3.041618875734043714e-03
7.141428285657131170e+00,3.254350347935515697e-01,3.471264165760346021e-01,1.160587682557920330e-02,-2.826275394298088158e-03,-2.693097506345294885e-03
7.201440288057611383e+00,3.252656805513867155e-01,3.470828991451442858e-01,1.169650932550280430e-02,-2.817743287045872905e-03,-2.512955784447846400e-03
7.261452290458091596e+00,3.250968371726721262e-01,3.470391307724254859e-01,1.178703672885388423e-02,-2.809249021282618670e-03,-3.114186228902449203e-03
7.321464292858571810e+00,3.249285023943178086e-01,3.469951129764045628e-01,1.187745925142545678e-02,-2.800792411393589632e-03,-3.294038257663853362e-03
7.381476295259052023e+00,3.247606739700333867e-01,3.469508472643546004e-01,1.196777710782428658e-02,-2.792373273183038161e-03,-2.668997522152174139e-03
7.441488297659532236e+00,3.245933496635615145e-01,3.469063351367134840e-01,1.205799051192315251e-02,-2.783991423320834099e-03,-2.274411860224208760e-03
7.501500300060011561e+00,3.244265272486778762e-01,3.468615780870842324e-01,1.214809967686085457e-02,-2.775646679341913989e-03,-2.975831649116292797e-03
7.561512302460491775e+00,3.242602045091911855e-01,3.468165776022347768e-01,1.223810481504221045e-02,-2.767338859645724226e-03,-3.017478011406121794e-03
7.621524304860971988e+00,3.240943792389430200e-01,3.467713351620980156e-01,1.232800613813805207e-02,-2.759067783495665945e-03,-2.641273996739571060e-03
7.681536307261452201e+00,3.239290492418081535e-01,3.467258522397719256e-01,1.241780385708523594e-02,-2.750833271018581980e-03,-2.918977589030243534e-03
7.741548309661932414e+00,3.237642123316942233e-01,3.466801303015193403e-01,1.250749818208662760e-02,-2.742635143204190905e-03,-2.843840239991538184e-03
7.801560312062412628e+00,3.235998663325419522e-01,3.466341708067681715e-01,1.259708932261111719e-02,-2.734473221904585270e-03,-2.804096715241340826e-03
7.861572314462892841e+00,3.234360090783250374e-01,3.465879752081112986e-01,1.268657748739360908e-02,-2.726347329833679525e-03,-2.619946912575319732e-03
7.921584316863372166e+00,3.232726384130500952e-01,3.465415449513065682e-01,1.277596288443502703e-02,-2.718257290566721256e-03,-2.799317762845345003e-03
7.981596319263852379e+00,3.231097521907569381e-01,3.464948814752767947e-01,1.286524572100231252e-02,-2.710202928539761236e-03,-2.654626360523729134e-03
8.041608321664332593e+00,3.229473482755182423e-01,3.464479862121098153e-01,1.295442620362842641e-02,-2.702184069049147746e-03,-2.737490720827862652e-03
8.101620324064812806e+00,3.227854245414396583e-01,3.464008605870584900e-01,1.304350453811234378e-02,-2.694200538251020037e-03,-2.863134758981340702e-03
8.161632326465293019e+00,3.226239788726599778e-01,3.463535060185404801e-01,1.313248092951905741e-02,-2.686252163160831284e-03,-2.750217414709475641e-03
8.221644328865773232e+00,3.224630091633508555e-01,3.463059239181386917e-01,1.322135558217958293e-02,-2.678338771652826432e-03,-2.868418704686410102e-03
8.281656331266253446e+00,3.223025133177170320e-01,3.462581156906007762e-01,1.331012869969094847e-02,-2.670460192459585529e-03,-2.669157195285635879e-03
8.341668333666733659e+00,3.221424892499962778e-01,3.462100827338395193e-01,1.339880048491620332e-02,-2.662616255171524129e-03,-2.887389500684651479e-03
8.401680336067213872e+00,3.219829348844592820e-01,3.461618264389326738e-01,1.348737113998441269e-02,-2.654806790236415373e-03,-2.873385664095463952e-03
8.461692338467694086e+00,3.218238481554098196e-01,3.461133481901229603e-01,1.357584086629065948e-02,-2.647031628958934624e-03,-2.355639265897883656e-03
8.521704340868174299e+00,3.216652270071845843e-01,3.460646493648180111e-01,1.366420986449604601e-02,-2.639290603500174179e-03,-2.649927447561242246e-03
8.581716343268654512e+00,3.215070693941532998e-01,3.460157313335905371e-01,1.375247833452769228e-02,-2.631583546877193543e-03,-2.642363951971602246e-03
8.641728345669132949e+00,3.213493732807187753e-01,3.459665954601782167e-01,1.384064647557873076e-02,-2.623910292962565796e-03,-2.521603008979042201e-03
8.701740348069613162e+00,3.211921366413167944e-01,3.459172431014836957e-01,1.392871448610832376e-02,-2.616270676483917895e-03,-2.700442076993692184e-03
8.761752350470093376e+00,3.210353574604160043e-01,3.458676756075745318e-01,1.401668256384163910e-02,-2.608664533023482678e-03,-2.654371606519114433e-03
8.821764352870573589e+00,3.208790337325181929e-01,3.458178943216834722e-01,1.410455090576986752e-02,-2.601091699017660415e-03,-2.516061951951278648e-03
8.881776355271053802e+00,3.207231634621581784e-01,3.457679005802080652e-01,1.419231970815021740e-02,-2.593552011756597268e-03,-2.537068843307717023e-03
8.941788357671534015e+00,3.205677446639036976e-01,3.457176957127108818e-01,1.427998916650591657e-02,-2.586045309383722124e-03,-2.817904654770208087e-03
9.001800360072014229e+00,3.204127753623555730e-01,3.456672810419194608e-01,1.436755947562620706e-02,-2.578571430895349337e-03,-2.411902911561417118e-03
9.061812362472494442e+00,3.202582535921474904e-01,3.456166578837264192e-01,1.445503082956635030e-02,-2.571130216140228575e-03,-2.689217204798037292e-03
9.121824364872974655e+00,3.201041773979462768e-01,3.455658275471892860e-01,1.454240342164762889e-02,-2.563721505819152764e-03,-2.774937295881989806e-03
9.181836367273454869e+00,3.199505448324430068e-01,3.455147913358538325e-01,1.462967744459276777e-02,-2.556345141320328501e-03,-2.736440155320138835e-03
9.241848369673935082e+00,3.197973539424522893e-01,3.454635505568429132e-01,1.471685309145696549e-02,-2.549000963583911497e-03,-2.627110032454975982e-03
9.301860372074415295e+00,3.196446028035954678e-01,3.454121064979453481e-01,1.480393055328351783e-02,-2.541688815937817158e-03,-2.216228765013203601e-03
9.361872374474895508e+00,3.194922895056996337e-01,3.453604604373539666e-01,1.489091002009918646e-02,-2.534408542901650432e-03,-2.769515723885806503e-03
9.421884376875375722e+00,3.193404121470291845e-01,3.453086136474792234e-01,1.497779168130437127e-02,-2.527159989714540967e-03,-2.495144811207673004e-03
9.481896379275855935e+00,3.191889688342858800e-01,3.452565673949490876e-01,1.506457572567311207e-02,-2.519943002334774484e-03,-2.947507873952889910e-03
9.541908381676334372e+00,3.190379576826088415e-01,3.452043229406090985e-01,1.515126234135308857e-02,-2.512757427439407231e-03,-2.513070814068446828e-03
9.601920384076814585e+00,3.188873768155744970e-01,3.451518815395223649e-01,1.523785171586561869e-02,-2.505603112423897359e-03,-2.325689828928695791e-03
9.661932386477294799e+00,3.187372243651965809e-01,3.450992444409697324e-01,1.532434403610566376e-02,-2.498479905401727614e-03,-2.545812569814018614e-03
9.721944388877775012e+00,3.185874984719263558e-01,3.450464128884493942e-01,1.541073948834181459e-02,-2.491387655204064036e-03,-2.617258639980732382e-03
9.781956391278255225e+00,3.184381972846522801e-01,3.449933881196772245e-01,1.549703825821631235e-02,-2.484326211379369979e-03,-2.438023998567662252e-03
9.841968393678735438e+00,3.182893189607001738e-01,3.449401713665867786e-01,1.558324053074502773e-02,-2.477295424193048327e-03,-2.337265073962918084e-03
9.901980396079215652e+00,3.181408616658332744e-01,3.448867638553289594e-01,1.566934649031747825e-02,-2.470295144627117963e-03,-2.337563630423636438e-03
9.961992398479695865e+00,3.179928235742520148e-01,3.448331668062724620e-01,1.575535632069681446e-02,-2.463325224379820429e-03,-2.068830453593861925e-03
1.002200440088017608e+01,3.178452028685944120e-01,3.447793814340034957e-01,1.584127020501983202e-02,-2.456385515865321112e-03,-2.414552021398065542e-03
1.008201640328065629e+01,3.176979977399356225e-01,3.447254089473257288e-01,1.592708832579696129e-02,-2.449475872213325439e-03,-2.567957892163911810e-03
1.014202840568113650e+01,3.175512063877882762e-01,3.446712505492606216e-01,1.601281086491227260e-02,-2.442596147268768798e-03,-2.467791985266097436e-03
1.020204040808161672e+01,3.174048270201022537e-01,3.446169074370470375e-01,1.609843800362347616e-02,-2.435746195591468287e-03,-2.450245904715430811e-03
1.026205241048209693e+01,3.172588578532649084e-01,3.445623808021415213e-01,1.618396992256191866e-02,-2.428925872455800061e-03,-2.407178395760176202e-03
1.032206441288257714e+01,3.171132971121007893e-01,3.445076718302180763e-01,1.626940680173259712e-02,-2.422135033850360622e-03,-2.428140596496247434e-03
1.038207641528305736e+01,3.169681430298718627e-01,3.444527817011684978e-01,1.635474882051413115e-02,-2.415373536477650671e-03,-2.380580348698410186e-03
1.044208841768353579e+01,3.168233938482775680e-01,3.443977115891018737e-01,1.643999615765878719e-02,-2.408641237753769357e-03,-2.742811249876791948e-03
1.050210042008401601e+01,3.166790478174544288e-01,3.443424626623451390e-01,1.652514899129247511e-02,-2.401937995808060833e-03,-2.236012204600052074e-03
1.056211242248449622e+01,3.165351031959765526e-01,3.442870360834426324e-01,1.661020749891474121e-02,-2.395263669482843635e-03,-2.510211523267049955e-03
1.062212442488497643e+01,3.163915582508552982e-01,3.442314330091563179e-01,1.669517185739876480e-02,-2.388618118333070677e-03,-2.623249857622475447e-03
1.068213642728545665e+01,3.162484112575393858e-01,3.441756545904658404e-01,1.678004224299137551e-02,-2.382001202626037387e-03,-2.254450970697750335e-03
1.074214842968593686e+01,3.161056604999148423e-01,3.441197019725681927e-01,1.686481883131303247e-02,-2.375412783341074221e-03,-2.111947581863857747e-03
1.080216043208641707e+01,3.159633042703051120e-01,3.440635762948782150e-01,1.694950179735783477e-02,-2.368852722169252200e-03,-2.270247092269363567e-03
1.086217243448689729e+01,3.158213408694708901e-01,3.440072786910281510e-01,1.703409131549352834e-02,-2.362320881513076728e-03,-2.330089018743972552e-03
1.092218443688737750e+01,3.156797686066104003e-01,3.439508102888678143e-01,1.711858755946149210e-02,-2.355817124486224347e-03,-2.542261185560614704e-03
1.098219643928785771e+01,3.155385857993589505e-01,3.438941722104646992e-01,1.720299070237674144e-02,-2.349341314913204470e-03,-1.775027847350504635e-03
1.104220844168833793e+01,3.153977907737894881e-01,3.438373655721038702e-01,1.728730091672794206e-02,-2.342893317329126923e-03,-2.166841593196825073e-03
1.110222044408881814e+01,3.152573818644120451e-01,3.437803914842878505e-01,1.737151837437738572e-02,-2.336472996979379289e-03,-2.564331931047974383e-03
1.116223244648929835e+01,3.151173574141742373e-01,3.437232510517369000e-01,1.745564324656101104e-02,-2.330080219819378410e-03,-2.486007803067327195e-03
1.122224444888977857e+01,3.149777157744079181e-01,3.436659453734239866e-01,1.753967570389200481e-02,-2.323714852509933902e-03,-2.306319002795553103e-03
