t,K,I,C,dK_dt,dK_dt_noisy
4.720944188837767341e-01,4.010487668019039886e-01,8.978322321964460340e-02,5.549638742335775282e-03,1.693103905515809249e+00,1.685393383917613841e+00
4.800960192038407626e-01,4.145140581583165451e-01,9.424101766204202868e-02,6.136141360830548938e-03,1.671573667360756410e+00,1.678054313376201367e+00
4.880976195239047910e-01,4.277843594547760531e-01,9.875965119257051894e-02,6.771122788166057671e-03,1.644445778467120700e+00,1.642478477803543502e+00
4.960992198439688194e-01,4.408168254663153429e-01,1.033294933983640029e-01,7.456423601483225423e-03,1.612209254804706005e+00,1.610421791096765309e+00
5.041008201640327924e-01,4.535725965801297721e-01,1.079413227878562725e-01,8.193732644048958708e-03,1.575371591507024993e+00,1.574318993722874760e+00
5.121024204840968208e-01,4.660169097118127546e-01,1.125864006311760590e-01,8.984575039005454969e-03,1.534445855202140052e+00,1.540944551727994938e+00
5.201040208041608492e-01,4.781190937415202846e-01,1.172565057301093172e-01,9.830305902100813439e-03,1.489940276895852067e+00,1.479276880774202940e+00
5.281056211242248777e-01,4.898524980941189599e-01,1.219439659735790799e-01,1.073210500876711077e-02,1.442350048557717646e+00,1.427051283651012081e+00
5.361072214442889061e-01,5.011943537924243852e-01,1.266416681811195211e-01,1.169097372622256506e-02,1.392151168208773271e+00,1.367812401237283870e+00
5.441088217643528235e-01,5.121256239465118432e-01,1.313430607674832273e-01,1.270773472131020605e-02,1.339795898174529931e+00,1.351782607168430683e+00
5.521104220844168520e-01,5.226307645109036226e-01,1.360421436736098111e-01,1.378303339836457579e-02,1.285709811650787682e+00,1.286447745246620311e+00
5.601120224044808804e-01,5.326975368484415663e-01,1.407334547636195643e-01,1.491734022549185724e-02,1.230289799193283740e+00,1.245390993324507090e+00
5.681136227245449088e-01,5.423167660572892901e-01,1.454120516872762781e-01,1.611095564898649968e-02,1.173903091428763812e+00,1.173813528447659849e+00
5.761152230446089373e-01,5.514820692536938074e-01,1.500734826317992598e-01,1.736401615786413097e-02,1.116887130522257632e+00,1.109465575970265849e+00
5.841168233646729657e-01,5.601896730743815001e-01,1.547137669958814354e-01,1.867649954494504314e-02,1.059549649517223413e+00,1.064328942505220033e+00
5.921184236847369942e-01,5.684381497861221710e-01,1.593293669311774685e-01,2.004823368850386020e-02,1.002169460670350620e+00,1.001403576540978557e+00
6.001200240048009116e-01,5.762281541710631005e-01,1.639171517562274527e-01,2.147890546298144090e-02,9.449976303738929495e-01,9.324557637541566191e-01
6.081216243248649400e-01,5.835622829855148241e-01,1.684743804302464842e-01,2.296806653897736847e-02,8.882583665358192437e-01,8.794077007213114694e-01
6.161232246449289685e-01,5.904448215415782908e-01,1.729986709891766505e-01,2.451514469703719099e-02,8.321505475194135304e-01,8.498183406942594331e-01
6.241248249649929969e-01,5.968815136810701194e-01,1.774879654828479258e-01,2.611945413032430718e-02,7.768493573124277685e-01,7.803928632656630393e-01
6.321264252850570253e-01,6.028794506063174241e-01,1.819405140214914174e-01,2.778020092855051915e-02,7.225074573445109394e-01,7.266713226948127158e-01
6.401280256051210538e-01,6.084468591563394479e-01,1.863548475639157931e-01,2.949649499657513996e-02,6.692566656287208815e-01,6.664911484455107171e-01
6.481296259251850822e-01,6.135929169892350155e-01,1.907297480048092408e-01,3.126736025633233135e-02,6.172096132032590665e-01,6.103124175655981754e-01
6.561312262452489996e-01,6.183276493015900099e-01,1.950642311754312297e-01,3.309174053148372652e-02,5.664610251946194941e-01,5.753775833503288473e-01
6.641328265653130281e-01,6.226617790009888465e-01,1.993575264794477386e-01,3.496850967937568250e-02,5.170892161435477474e-01,5.160429516168107966e-01
6.721344268853770565e-01,6.266065771029373233e-01,2.036090520518268054e-01,3.689648141749903715e-02,4.691576239428641992e-01,4.615665428253848956e-01
6.801360272054410849e-01,6.301737757575311960e-01,2.078183986195683286e-01,3.887441512020680529e-02,4.227160235185657422e-01,4.213747383250702749e-01
6.881376275255051134e-01,6.333754611244248878e-01,2.119853139906965611e-01,4.090102415168237610e-02,3.778018046007308728e-01,3.687457444335073831e-01
6.961392278455691418e-01,6.362239602669381711e-01,2.161096829337518510e-01,4.297498451023821359e-02,3.344412886858559864e-01,3.363417470717671165e-01
7.041408281656331702e-01,6.387317787458649532e-01,2.201915142923664137e-01,4.509493964310612446e-02,2.926507587853086623e-01,3.039430350859990693e-01
7.121424284856970877e-01,6.409115174265963555e-01,2.242309281602407334e-01,4.725950780530040890e-02,2.524375526684909943e-01,2.440767010070585274e-01
7.201440288057611161e-01,6.427757944539822521e-01,2.282281401211757044e-01,4.946728888870537133e-02,2.138011245020881024e-01,2.280865645537959452e-01
7.281456291258251445e-01,6.443372041279610274e-01,2.321834516627023226e-01,5.171686811810504575e-02,1.767338733608410095e-01,1.700576738742264338e-01
7.361472294458891730e-01,6.456082522598390883e-01,2.360972394972742916e-01,5.400682252698018465e-02,1.412220541796878059e-01,1.427561758069272047e-01
7.441488297659532014e-01,6.466013072851852783e-01,2.399699435765151045e-01,5.633572591170950966e-02,1.072465936072319881e-01,9.888272835419011086e-02
7.521504300860172298e-01,6.473285746419015219e-01,2.438020601375440743e-01,5.870215156797164990e-02,7.478373758326761767e-02,7.256138591972426111e-02
7.601520304060812583e-01,6.478020484973109339e-01,2.475941330203745294e-01,6.110467778474526490e-02,4.380578417934599678e-02,4.427982830428726230e-02
7.681536307261451757e-01,6.480334850463553842e-01,2.513467447880967098e-01,6.354189114951493134e-02,1.428168559306941532e-02,9.934836131335143122e-03
7.761552310462092041e-01,6.480343878383955092e-01,2.550605117308491487e-01,6.601238849686857924e-02,-1.382245761164746511e-02,-2.085133656737251512e-02
7.841568313662732326e-01,6.478159737050072087e-01,2.587360770593927217e-01,6.851478137176716943e-02,-4.054282751846294275e-02,-4.732168942509955289e-02
7.921584316863372610e-01,6.473891617340604698e-01,2.623741044566534342e-01,7.104769803518058702e-02,-6.591746064368297908e-02,-7.412906013619158241e-02
8.001600320064012895e-01,6.467645667312263980e-01,2.659752745326051104e-01,7.360978472233026260e-02,-8.998588203974744459e-02,-1.056866819689917386e-01
8.081616323264653179e-01,6.459524766041853105e-01,2.695402796994023631e-01,7.619970913645321420e-02,-1.127886772005959326e-01,-1.154183733113705312e-01
8.161632326465293463e-01,6.449628516563067349e-01,2.730698195728993305e-01,7.881616151603511311e-02,-1.343671983963228289e-01,-1.303556163002214663e-01
8.241648329665933748e-01,6.438053245044740303e-01,2.765645984945782065e-01,8.145785525661754234e-02,-1.547633056624642123e-01,-1.456792864115367125e-01
8.321664332866572922e-01,6.424891862309017876e-01,2.800253218656951759e-01,8.412352953655835575e-02,-1.740190542549768793e-01,-1.675480269695158453e-01
8.401680336067213206e-01,6.410233914868403993e-01,2.834526929235003379e-01,8.681194981041361058e-02,-1.921764990102632353e-01,-1.676031337868389981e-01
8.481696339267853491e-01,6.394165639882728458e-01,2.868474110189246917e-01,8.952190783283614506e-02,-2.092775248108489361e-01,-2.060907084600705208e-01
8.561712342468493775e-01,6.376769894279661344e-01,2.902101692134814170e-01,9.225222346667825979e-02,-2.253636272333678914e-01,-2.299269661726880687e-01
8.641728345669134059e-01,6.358126221343010087e-01,2.935416520303291144e-01,9.500174500689236023e-02,-2.404757798811270053e-01,-2.217594335109663306e-01
8.721744348869774344e-01,6.338310960168249686e-01,2.968425342640442777e-01,9.776934862465261333e-02,-2.546543421129088269e-01,-2.651265230488496494e-01
8.801760352070414628e-01,6.317397229906158707e-01,3.001134796435108720e-01,1.005539393426345268e-01,-2.679389150330933056e-01,-2.582541389378711361e-01
8.881776355271053802e-01,6.295454973716049230e-01,3.033551392259017376e-01,1.033544515874146030e-01,-2.803682400906293282e-01,-2.899196877878761902e-01
8.961792358471694087e-01,6.272551122484771868e-01,3.065681506422086033e-01,1.061698480818653312e-01,-2.919801743813779105e-01,-2.884390578053628862e-01
9.041808361672334371e-01,6.248749621538216559e-01,3.097531375623654437e-01,1.089991200272675265e-01,-3.028116050422418049e-01,-3.224955725646204696e-01
9.121824364872974655e-01,6.224111447644188333e-01,3.129107085032318825e-01,1.118412879498950491e-01,-3.128983669838578674e-01,-3.039056299073518153e-01
9.201840368073614940e-01,6.198694788783671861e-01,3.160414565216254079e-01,1.146954003709547976e-01,-3.222752575722009905e-01,-3.238577337249166632e-01
9.281856371274255224e-01,6.172555116776410333e-01,3.191459590382927924e-01,1.175605333476741343e-01,-3.309760025893109248e-01,-3.406528173065530019e-01
9.361872374474895508e-01,6.145745213314043331e-01,3.222247772546549260e-01,1.204357909672450350e-01,-3.390332046990958137e-01,-3.222490143114742356e-01
9.441888377675534683e-01,6.118315277852619527e-01,3.252784559044795687e-01,1.233203048165825572e-01,-3.464783428694249157e-01,-3.388247960317636864e-01
9.521904380876174967e-01,6.090313085119195557e-01,3.283075234041468726e-01,1.262132326610693467e-01,-3.533418052109553731e-01,-3.528837268531616056e-01
9.601920384076815251e-01,6.061784017401850022e-01,3.313124917940452607e-01,1.291137583656342680e-01,-3.596528596197523520e-01,-3.671072935076536425e-01
9.681936387277455536e-01,6.032771113862952506e-01,3.342938564392197720e-01,1.320210921446664798e-01,-3.654396394068011311e-01,-3.658732653084186826e-01
9.761952390478095820e-01,6.003315230128123403e-01,3.372520964059022019e-01,1.349344691469842317e-01,-3.707291933790177740e-01,-3.723684810085697294e-01
9.841968393678736104e-01,5.973455129827182075e-01,3.401876746750017722e-01,1.378531486758313440e-01,-3.755475029178256818e-01,-3.682997379824147766e-01
9.921984396879376389e-01,5.943227525134812117e-01,3.431010381873869641e-01,1.407764140923141727e-01,-3.799194754473564917e-01,-3.719387236357585835e-01
1.000200040008001556e+00,5.912667134720319684e-01,3.459926178635145400e-01,1.437035727384914641e-01,-3.838689513368009898e-01,-3.905465151344283403e-01
1.008201640328065585e+00,5.881806851163414729e-01,3.488628292496321337e-01,1.466339543016382529e-01,-3.874187735312917269e-01,-3.929124791388622362e-01
1.016203240648129613e+00,5.850677793475345112e-01,3.517120727089566024e-01,1.495669103494635110e-01,-3.905907965832902118e-01,-3.959114498610763477e-01
1.024204840968193642e+00,5.819309354945866319e-01,3.545407336018830957e-01,1.525018141166276930e-01,-3.934058964384357093e-01,-4.068990689010147377e-01
1.032206441288257670e+00,5.787729259147907923e-01,3.573491824668179606e-01,1.554380602959821445e-01,-3.958839872762833778e-01,-4.017997361051955374e-01
1.040208041608321698e+00,5.755963712018044021e-01,3.601377757682560632e-01,1.583750634607236918e-01,-3.980440927026347442e-01,-3.989681733546986964e-01
1.048209641928385727e+00,5.724037446768254211e-01,3.629068561132064441e-01,1.613122576424977916e-01,-3.999043594695692594e-01,-3.929948400235128703e-01
1.056211242248449755e+00,5.691973762162425565e-01,3.656567524673161595e-01,1.642490960803732192e-01,-4.014820697212071465e-01,-3.882782748275393492e-01
1.064212842568513784e+00,5.659794578339714111e-01,3.683877804439714132e-01,1.671850509798966933e-01,-4.027936651635188881e-01,-4.108771239391121877e-01
1.072214442888577812e+00,5.627520552856842828e-01,3.711002429770750011e-01,1.701196122234973906e-01,-4.038548046304015759e-01,-3.983450393115885446e-01
1.080216043208641841e+00,5.595171148160358321e-01,3.737944307182423653e-01,1.730522866905895851e-01,-4.046803961408813599e-01,-4.091249643979367745e-01
1.088217643528705647e+00,5.562764643887813110e-01,3.764706221226363780e-01,1.759825981536176920e-01,-4.052845994684668440e-01,-3.845327217053129409e-01
1.096219243848769676e+00,5.530318204496466050e-01,3.791290839160215698e-01,1.789100868280744938e-01,-4.056808614418399017e-01,-4.061680968880969633e-01
1.104220844168833704e+00,5.497847929972115022e-01,3.817700714175260024e-01,1.818343088293418175e-01,-4.058819415736316660e-01,-4.008606718695455484e-01
1.112222444488897732e+00,5.465368964979322453e-01,3.843938292847075000e-01,1.847548349601373652e-01,-4.058999707063000173e-01,-4.152615922376783342e-01
1.120224044808961761e+00,5.432895507986965633e-01,3.870005915767903981e-01,1.876712506187148688e-01,-4.057464549234037765e-01,-4.138533495663982431e-01
1.128225645129025789e+00,5.400440842053170210e-01,3.895905820028889299e-01,1.905831555155237389e-01,-4.054322924328954691e-01,-4.034153394241891122e-01
1.136227245449089818e+00,5.368017391011026263e-01,3.921640143646503152e-01,1.934901632491713985e-01,-4.049678055395058429e-01,-4.088083500444670837e-01
1.144228845769153846e+00,5.335636774924874537e-01,3.947210929626490672e-01,1.963919005913989657e-01,-4.043627714266642137e-01,-4.008298855009588268e-01
1.152230446089217875e+00,5.303309884476523628e-01,3.972620131832416690e-01,1.992880066470038014e-01,-4.036264640339568555e-01,-4.192447052268142849e-01
1.160232046409281903e+00,5.271046881933856287e-01,3.997869615063240900e-01,2.021781328437857739e-01,-4.027676557757724485e-01,-3.961476060742830652e-01
1.168233646729345931e+00,5.238857227213229439e-01,4.022961157413681432e-01,2.050619426618390528e-01,-4.017946336725288781e-01,-4.107894372503262392e-01
1.176235247049409960e+00,5.206749735507560928e-01,4.047896455290594941e-01,2.079391111043053242e-01,-4.007152333935324329e-01,-3.834909994298694724e-01
1.184236847369473988e+00,5.174732602622604816e-01,4.072677125377368590e-01,2.108093243207704304e-01,-3.995368548612283632e-01,-4.024215272819081091e-01
1.192238447689538017e+00,5.142813480121551928e-01,4.097304711421467238e-01,2.136722787082266650e-01,-3.982665055084648742e-01,-3.872938551396052365e-01
1.200240048009601823e+00,5.110999477460997920e-01,4.121780684428807406e-01,2.165276808870938985e-01,-3.969108037022133217e-01,-4.108606369308435147e-01
1.208241648329665852e+00,5.079297164313987256e-01,4.146106442901935085e-01,2.193752476737765578e-01,-3.954759825887148583e-01,-3.911865201435659745e-01
1.216243248649729880e+00,5.047712635300192208e-01,4.170283319247031772e-01,2.222147053484553325e-01,-3.939679281901391494e-01,-4.028482246980850112e-01
1.224244848969793908e+00,5.016251506203092125e-01,4.194312578757583010e-01,2.250457897247649108e-01,-3.923921799693956824e-01,-3.972610706562549887e-01
1.232246449289857937e+00,4.984918979093719837e-01,4.218195426438872686e-01,2.278682452774450085e-01,-3.907539686905829868e-01,-3.905080048686704886e-01
1.240248049609921965e+00,4.953719869940097498e-01,4.241933009894955364e-01,2.306818248007309613e-01,-3.890582339804233847e-01,-3.922289836497696025e-01
1.248249649929985994e+00,4.922658608607238251e-01,4.265526419328655172e-01,2.334862894083535867e-01,-3.873096270476139580e-01,-3.846670707961491464e-01
1.256251250250050022e+00,4.891739238952430013e-01,4.288976687552924494e-01,2.362814085323001467e-01,-3.855125136464097046e-01,-3.780359593583476618e-01
1.264252850570114051e+00,4.860965473574382911e-01,4.312284796131141684e-01,2.390669592245128483e-01,-3.836710063427363204e-01,-3.771431849518377399e-01
1.272254450890178079e+00,4.830340698365779839e-01,4.335451674542546430e-01,2.418427261196700040e-01,-3.817889694735696615e-01,-3.826637843025042507e-01
1.280256051210242108e+00,4.799867996088550970e-01,4.358478203497357373e-01,2.446085010662018000e-01,-3.798700344861267730e-01,-3.935043395859702531e-01
1.288257651530306136e+00,4.769550191725152044e-01,4.381365220586817544e-01,2.473640825219635686e-01,-3.779176267570335535e-01,-3.859640878221218263e-01
1.296259251850370164e+00,4.739389852478566589e-01,4.404113520283197136e-01,2.501092755542356771e-01,-3.759349681473099780e-01,-3.778925302320876312e-01
1.304260852170434193e+00,4.709389287772304256e-01,4.426723853939792397e-01,2.528438918397235557e-01,-3.739250796598715398e-01,-3.951433393858914123e-01
1.312262452490497999e+00,4.679550549250400815e-01,4.449196929790922850e-01,2.555677496645576974e-01,-3.718907841953721372e-01,-3.643699783031643658e-01
1.320264052810562028e+00,4.649875471326399556e-01,4.471533418768900425e-01,2.582806733496739726e-01,-3.698347305918531225e-01,-3.722311125151434030e-01
1.328265653130626056e+00,4.620365703322365514e-01,4.493733955998236995e-01,2.609824927919879300e-01,-3.677594121857229448e-01,-3.702726051717917799e-01
1.336267253450690085e+00,4.591022661831282714e-01,4.515799133687743994e-01,2.636730440929627717e-01,-3.656671442273969896e-01,-3.561833821210261264e-01
1.344268853770754113e+00,4.561847610918282059e-01,4.537729514616483106e-01,2.663521684011263546e-01,-3.635601085519450937e-01,-3.568810034894508987e-01
1.352270454090818141e+00,4.532841663886283956e-01,4.559525632412217422e-01,2.690197118868998261e-01,-3.614403565937828189e-01,-3.592303469305576646e-01
1.360272054410882170e+00,4.504005783275994435e-01,4.581187991551409766e-01,2.716755257425976788e-01,-3.593098115117866476e-01,-3.693231473841212531e-01
1.368273654730946198e+00,4.475340780865908474e-01,4.602717067359223257e-01,2.743194661824279179e-01,-3.571702703542860569e-01,-3.540660545914219859e-01
1.376275255051010227e+00,4.446847317672308897e-01,4.624113306009521862e-01,2.769513944424918384e-01,-3.550234062620059028e-01,-3.515616308764386577e-01
1.384276855371074255e+00,4.418525903949265810e-01,4.645377124524869283e-01,2.795711767807842474e-01,-3.528707707070580790e-01,-3.617185040447305489e-01
1.392278455691138284e+00,4.390376899212018458e-01,4.666508910779985642e-01,2.821786844767968372e-01,-3.507137957776786941e-01,-3.402806773257244788e-01
1.400280056011202312e+00,4.362400589508529936e-01,4.687509033789505897e-01,2.847737925207298737e-01,-3.485538344295859847e-01,-3.434749626075201401e-01
1.408281656331266340e+00,4.334597183515870866e-01,4.708377840120614999e-01,2.873563796718580088e-01,-3.463921594547298977e-01,-3.660884031198922139e-01
1.416283256651330369e+00,4.306966760862326882e-01,4.729115649951889933e-01,2.899263293271187591e-01,-3.442299404800712725e-01,-3.430104459833683284e-01
1.424284856971394175e+00,4.279509324085258859e-01,4.749722765856847495e-01,2.924835286395758294e-01,-3.420682716461939110e-01,-3.547152515859293143e-01
1.432286457291458204e+00,4.252224798631098479e-01,4.770199472803948737e-01,2.950278685184196115e-01,-3.399081731751297797e-01,-3.285450216925611677e-01
1.440288057611522232e+00,4.225113032855354334e-01,4.790546038156594522e-01,2.975592436289666298e-01,-3.377505929450885791e-01,-3.296803133696627475e-01
1.448289657931586261e+00,4.198173798022607484e-01,4.810762711673127190e-01,3.000775523926598742e-01,-3.355964080713488285e-01,-3.466323155719822635e-01
1.456291258251650289e+00,4.171406788306513125e-01,4.830849725506832226e-01,3.025826969870686889e-01,-3.334464264925577348e-01,-3.422951534890332770e-01
1.464292858571714318e+00,4.144811620789800033e-01,4.850807294205934372e-01,3.050745833458888834e-01,-3.313013885616726828e-01,-3.302828557142331589e-01
1.472294458891778346e+00,4.118387847003989188e-01,4.870635616449860428e-01,3.075531209218704265e-01,-3.291619739942153178e-01,-3.315500821758002314e-01
1.480296059211842374e+00,4.092135009824296454e-01,4.890334882278271067e-01,3.100182215281466758e-01,-3.270288293906813415e-01,-3.117767985889486337e-01
1.488297659531906403e+00,4.066052582138745541e-01,4.909905264356015375e-01,3.124698006014248186e-01,-3.249025409948209653e-01,-3.174928028230291632e-01
1.496299259851970431e+00,4.040139993719625289e-01,4.929346924593027701e-01,3.149077766358659991e-01,-3.227836489108852902e-01,-3.256079213836022834e-01
1.504300860172034460e+00,4.014396637288924485e-01,4.948660015196402751e-01,3.173320710576214565e-01,-3.206726510701505273e-01,-3.148986917333865820e-01
1.512302460492098488e+00,3.988821868518330205e-01,4.967844678670398917e-01,3.197426082248326362e-01,-3.185700043406682891e-01,-3.388927974058023040e-01
1.520304060812162517e+00,3.963415006029228915e-01,4.986901047816436061e-01,3.221393154276311344e-01,-3.164761256306989345e-01,-3.133774787565303810e-01
