X,A,A_noisy
1.385952433874194423e+00,1.083322536795444796e-01,1.097638705818268778e-01
1.394821071349188868e+00,1.088494248797137465e-01,9.513036973672797658e-02
1.403689708824183313e+00,1.093681657589487544e-01,1.025539643343468671e-01
1.412558346299177758e+00,1.098884721559804795e-01,9.275925074833522854e-02
1.421426983774172204e+00,1.104103398303191569e-01,1.144329759525972851e-01
1.430295621249166649e+00,1.109337644631413766e-01,1.133489425307739606e-01
1.439164258724161094e+00,1.114587416581780954e-01,1.132199976719637513e-01
1.448032896199155539e+00,1.119852669426029818e-01,1.264600075733079698e-01
1.456901533674149984e+00,1.125133357679212465e-01,1.089873190598425190e-01
1.465770171149144430e+00,1.130429435108581959e-01,1.101511416563684814e-01
1.474638808624138875e+00,1.135740854742475769e-01,1.337733182949811250e-01
1.483507446099133320e+00,1.141067568879187977e-01,1.010981271548789806e-01
1.492376083574127765e+00,1.146409529095837182e-01,1.219325819440957859e-01
1.501244721049122210e+00,1.151766686257218730e-01,1.020257032841057343e-01
1.510113358524116656e+00,1.157138990524643474e-01,1.180764569446921819e-01
1.518981995999111101e+00,1.162526391364760159e-01,1.374104653869842041e-01
1.527850633474105546e+00,1.167928837558359773e-01,1.195064440049872917e-01
1.536719270949099991e+00,1.173346277209158517e-01,1.096164000008744838e-01
1.545587908424094437e+00,1.178778657752557746e-01,1.417200263661823056e-01
1.554456545899088882e+00,1.184225925964384196e-01,1.129843788492875672e-01
1.563325183374083327e+00,1.189688027969597189e-01,1.169068377985910817e-01
1.572193820849077772e+00,1.195164909250978069e-01,1.225602115273414505e-01
1.581062458324072217e+00,1.200656514657786472e-01,1.066399994904796283e-01
1.589931095799066663e+00,1.206162788414384818e-01,1.317672616798983010e-01
1.598799733274061108e+00,1.211683674128839067e-01,1.373566180021234262e-01
1.607668370749055553e+00,1.217219114801481872e-01,1.293095696281364726e-01
1.616537008224049998e+00,1.222769052833445752e-01,1.255805155520726413e-01
1.625405645699044443e+00,1.228333430035164625e-01,1.213403661231520353e-01
1.634274283174038889e+00,1.233912187634833568e-01,1.322585745857124684e-01
1.643142920649033334e+00,1.239505266286846652e-01,9.244974382677961788e-02
1.652011558124027779e+00,1.245112606080181900e-01,1.232635579860293790e-01
1.660880195599022224e+00,1.250734146546764181e-01,1.276346719532345797e-01
1.669748833074016670e+00,1.256369826669783696e-01,1.057816807302309758e-01
1.678617470549011115e+00,1.262019584891975743e-01,1.304636318700879705e-01
1.687486108024005560e+00,1.267683359123868980e-01,1.254932860659240534e-01
1.696354745499000005e+00,1.273361086751985116e-01,1.269904489588302710e-01
1.705223382973994450e+00,1.279052704647005989e-01,1.289191828023235897e-01
1.714092020448988896e+00,1.284758149171899844e-01,1.342271850604953576e-01
1.722960657923983341e+00,1.290477356190003477e-01,1.336273610420120050e-01
1.731829295398977786e+00,1.296210261073069692e-01,1.192475062509139455e-01
1.740697932873972231e+00,1.301956798709267837e-01,1.290260601005284447e-01
1.749566570348966676e+00,1.307716903511147444e-01,1.289507071005377148e-01
1.758435207823961122e+00,1.313490509423557440e-01,1.317332753272581480e-01
1.767303845298955567e+00,1.319277549931524574e-01,1.260168420880016793e-01
1.776172482773950012e+00,1.325077958068091866e-01,1.422063349298563206e-01
1.785041120248944457e+00,1.330891666422107655e-01,1.461346503088714333e-01
1.793909757723938903e+00,1.336718607145979676e-01,1.488888585442460777e-01
1.802778395198933126e+00,1.342558711963385831e-01,1.533123939433161942e-01
1.811647032673927571e+00,1.348411912176934457e-01,1.497739977692426616e-01
1.820515670148922016e+00,1.354278138675789611e-01,1.308284975344304046e-01
1.829384307623916461e+00,1.360157321943250563e-01,1.298719634687606761e-01
1.838252945098910907e+00,1.366049392064283552e-01,1.326285498507728533e-01
1.847121582573905352e+00,1.371954278733019117e-01,1.427798133131007730e-01
1.855990220048899797e+00,1.377871911260196425e-01,1.364888846810253520e-01
1.864858857523894242e+00,1.383802218580569565e-01,1.482911576235327600e-01
1.873727494998888687e+00,1.389745129260266387e-01,1.554784278138975351e-01
1.882596132473883133e+00,1.395700571504107923e-01,1.352674447538924074e-01
1.891464769948877578e+00,1.401668473162880346e-01,1.499639245836659474e-01
1.900333407423872023e+00,1.407648761740560861e-01,1.368354282983501313e-01
1.909202044898866468e+00,1.413641364401507228e-01,1.286991614226871139e-01
1.918070682373860913e+00,1.419646207977593166e-01,1.292761854663704857e-01
1.926939319848855359e+00,1.425663218975308788e-01,1.393750254194876248e-01
1.935807957323849804e+00,1.431692323582809123e-01,1.241782229394333970e-01
1.944676594798844249e+00,1.437733447676925458e-01,1.487664496025192795e-01
1.953545232273838694e+00,1.443786516830123101e-01,1.594854617277033648e-01
1.962413869748833140e+00,1.449851456317426401e-01,1.333345245552874092e-01
1.971282507223827585e+00,1.455928191123290749e-01,1.422496781896346596e-01
1.980151144698822030e+00,1.462016645948432392e-01,1.616372476950304060e-01
1.989019782173816475e+00,1.468116745216613839e-01,1.502839944855674237e-01
1.997888419648810920e+00,1.474228413081388744e-01,1.493795075555758300e-01
2.006757057123805144e+00,1.480351573432793777e-01,1.454198174802810162e-01
2.015625694598799811e+00,1.486486149904008292e-01,1.588352029352863848e-01
2.024494332073794034e+00,1.492632065877955438e-01,1.525556299146431094e-01
2.033362969548788701e+00,1.498789244493872741e-01,1.390370472284101211e-01
2.042231607023782924e+00,1.504957608653826884e-01,1.261748278450315897e-01
2.051100244498777592e+00,1.511137081029192419e-01,1.242967851267355317e-01
2.059968881973771815e+00,1.517327584067080792e-01,1.583094728823069008e-01
2.068837519448766482e+00,1.523529039996728840e-01,1.496920592056751320e-01
2.077706156923760705e+00,1.529741370835838721e-01,1.674554349448580393e-01
2.086574794398755373e+00,1.535964498396880651e-01,1.586963951689216168e-01
2.095443431873749596e+00,1.542198344293340129e-01,1.414994644765970866e-01
2.104312069348744263e+00,1.548442829945936294e-01,1.577481723260630020e-01
2.113180706823738930e+00,1.554697876588777561e-01,1.673884036190068370e-01
2.122049344298733153e+00,1.560963405275493654e-01,1.470787736509863164e-01
2.130917981773727821e+00,1.567239336885306034e-01,1.516365100224375262e-01
2.139786619248722044e+00,1.573525592129060291e-01,1.747624309875172033e-01
2.148655256723716711e+00,1.579822091555220243e-01,1.405182890752347813e-01
2.157523894198710934e+00,1.586128755555810677e-01,1.477100064221187337e-01
2.166392531673705601e+00,1.592445504372317910e-01,1.697449491085807338e-01
2.175261169148699825e+00,1.598772258101547605e-01,1.618671831672242323e-01
2.184129806623694492e+00,1.605108936701438171e-01,1.490859851282014259e-01
2.192998444098688715e+00,1.611455459996829487e-01,1.465930918861317600e-01
2.201867081573683382e+00,1.617811747685191093e-01,1.664157223100378169e-01
2.210735719048677606e+00,1.624177719342298765e-01,1.745604672424680981e-01
2.219604356523672273e+00,1.630553294427878885e-01,1.713211745680023324e-01
2.228472993998666496e+00,1.636938392291197031e-01,1.678056924766452851e-01
2.237341631473661163e+00,1.643332932176613526e-01,1.792880255738415196e-01
2.246210268948655386e+00,1.649736833229088484e-01,1.680851113047308332e-01
2.255078906423650054e+00,1.656150014499644385e-01,1.572902289979924151e-01
2.263947543898644277e+00,1.662572394950786459e-01,1.865760433775874860e-01
2.272816181373638944e+00,1.669003893461883381e-01,1.545598483202816342e-01
2.281684818848633167e+00,1.675444428834492461e-01,1.661990577007842473e-01
2.290553456323627834e+00,1.681893919797657622e-01,1.674587188185354403e-01
2.299422093798622058e+00,1.688352285013151599e-01,1.831465913811042567e-01
2.308290731273616725e+00,1.694819443080681498e-01,1.618449119062466413e-01
2.317159368748610948e+00,1.701295312543046334e-01,1.673623300345127018e-01
2.326028006223605615e+00,1.707779811891256827e-01,1.529739170207858046e-01
2.334896643698599839e+00,1.714272859569608287e-01,1.748026340005447155e-01
2.343765281173594506e+00,1.720774373980711869e-01,1.765290622714984492e-01
2.352633918648588729e+00,1.727284273490483635e-01,1.792352003496147650e-01
2.361502556123583396e+00,1.733802476433089490e-01,1.641129092890905306e-01
2.370371193598577619e+00,1.740328901115844318e-01,1.763965161580769714e-01
2.379239831073571843e+00,1.746863465824079475e-01,1.658448981231672170e-01
2.388108468548566510e+00,1.753406088825953391e-01,1.705494202704638251e-01
2.396977106023560733e+00,1.759956688377228295e-01,1.752098694439868654e-01
2.405845743498555400e+00,1.766515182726002275e-01,1.895779829452195475e-01
2.414714380973549623e+00,1.773081490117401904e-01,1.729053349435812903e-01
2.423583018448544291e+00,1.779655528798224084e-01,1.797052818366527971e-01
2.432451655923538514e+00,1.786237217021546253e-01,1.701493792521558135e-01
2.441320293398533181e+00,1.792826473051284952e-01,1.735498031105164873e-01
2.450188930873527404e+00,1.799423215166721657e-01,1.728904380778203409e-01
2.459057568348522071e+00,1.806027361666979192e-01,1.789722543102719443e-01
2.467926205823516295e+00,1.812638830875455409e-01,1.888825891030339599e-01
2.476794843298510962e+00,1.819257541144224666e-01,1.708127272707331556e-01
2.485663480773505185e+00,1.825883410858386569e-01,1.897156792470971187e-01
2.494532118248499852e+00,1.832516358440377524e-01,1.736622794002209702e-01
2.503400755723494076e+00,1.839156302354246209e-01,1.871857053749447775e-01
2.512269393198488743e+00,1.845803161109871859e-01,1.789716064543245000e-01
2.521138030673482966e+00,1.852456853267163139e-01,1.821232672995936330e-01
2.530006668148477633e+00,1.859117297440192607e-01,1.818900373967864970e-01
2.538875305623471856e+00,1.865784412301315087e-01,1.974490545191579516e-01
2.547743943098466524e+00,1.872458116585217769e-01,1.896404731189743620e-01
2.556612580573460747e+00,1.879138329092946980e-01,1.984737056824278367e-01
2.565481218048455414e+00,1.885824968695896109e-01,1.847484938256118425e-01
2.574349855523449637e+00,1.892517954339735242e-01,1.866691918556411534e-01
2.583218492998444304e+00,1.899217205048323587e-01,2.058454075877648448e-01
2.592087130473438528e+00,1.905922639927558615e-01,1.738876500097693290e-01
2.600955767948433195e+00,1.912634178169201338e-01,1.822487359239053639e-01
2.609824405423427418e+00,1.919351739054651063e-01,1.899203775509610281e-01
2.618693042898422085e+00,1.926075241958687956e-01,2.105847511978497510e-01
2.627561680373416308e+00,1.932804606353166199e-01,1.869464654309947738e-01
2.636430317848410976e+00,1.939539751810678836e-01,2.016533863799699899e-01
2.645298955323405199e+00,1.946280598008169882e-01,2.102112785319857069e-01
2.654167592798399866e+00,1.953027064730514795e-01,1.926939610784915990e-01
2.663036230273394089e+00,1.959779071874061529e-01,1.939941562425304689e-01
2.671904867748388757e+00,1.966536539450128851e-01,2.131153622908889267e-01
2.680773505223382980e+00,1.973299387588463571e-01,1.915420864790921274e-01
2.689642142698377647e+00,1.980067536540665030e-01,1.872202587237232763e-01
2.698510780173371870e+00,1.986840906683563501e-01,2.067137209285496713e-01
2.707379417648366537e+00,1.993619418522564746e-01,1.939430599812925760e-01
2.716248055123360761e+00,2.000402992694951254e-01,2.127621417917836821e-01
2.725116692598355428e+00,2.007191549973149636e-01,2.058546299538266400e-01
2.733985330073349651e+00,2.013985011267956371e-01,1.835994022534743475e-01
2.742853967548344318e+00,2.020783297631720821e-01,2.046115767545570174e-01
2.751722605023338541e+00,2.027586330261499370e-01,2.026164945592221767e-01
2.760591242498333209e+00,2.034394030502167383e-01,1.965461030486467253e-01
2.769459879973327432e+00,2.041206319849486195e-01,2.149064503410626215e-01
2.778328517448322099e+00,2.048023119953142346e-01,1.868240602389941440e-01
2.787197154923316322e+00,2.054844352619741854e-01,1.926842266857995423e-01
2.796065792398310990e+00,2.061669939815777286e-01,2.009327270324137160e-01
2.804934429873305213e+00,2.068499803670534321e-01,2.145121217436530281e-01
2.813803067348299880e+00,2.075333866478992761e-01,1.918385851029761335e-01
2.822671704823294103e+00,2.082172050704663713e-01,2.015559328572966713e-01
2.831540342298288770e+00,2.089014278982403439e-01,2.014501702767439173e-01
2.840408979773282994e+00,2.095860474121186146e-01,1.941610642793974717e-01
2.849277617248277661e+00,2.102710559106839017e-01,2.060724325231627352e-01
2.858146254723271884e+00,2.109564457104745605e-01,1.990993371772358522e-01
2.867014892198266551e+00,2.116422091462502597e-01,2.067523326508175219e-01
2.875883529673260774e+00,2.123283385712557148e-01,2.148152215172446644e-01
2.884752167148255442e+00,2.130148263574785927e-01,2.034807080145578373e-01
2.893620804623249665e+00,2.137016648959061960e-01,2.045588382629434654e-01
2.902489442098244332e+00,2.143888465967764279e-01,2.040723349584826762e-01
2.911358079573238555e+00,2.150763638898267049e-01,2.061433089422448628e-01
2.920226717048233223e+00,2.157642092245387055e-01,1.996161845667116519e-01
2.929095354523227446e+00,2.164523750703791216e-01,2.041883759278703692e-01
2.937963991998222113e+00,2.171408539170384677e-01,2.179127731128063239e-01
2.946832629473216336e+00,2.178296382746641169e-01,2.085860936911598795e-01
2.955701266948211003e+00,2.185187206740920596e-01,2.508577396718627006e-01
2.964569904423205227e+00,2.192080936670734448e-01,2.106079630457686480e-01
2.973438541898199894e+00,2.198977498264995112e-01,2.240579818670968837e-01
2.982307179373194117e+00,2.205876817466204676e-01,2.050661780651776567e-01
2.991175816848188784e+00,2.212778820432644844e-01,2.181522005173984480e-01
3.000044454323183007e+00,2.219683433540489692e-01,2.160557458284828314e-01
3.008913091798177675e+00,2.226590583385932853e-01,2.214427190725102856e-01
3.017781729273171898e+00,2.233500196787237546e-01,2.362954260506627824e-01
3.026650366748166565e+00,2.240412200786782715e-01,2.219584866891955166e-01
3.035519004223160788e+00,2.247326522653059766e-01,2.122306560110184537e-01
3.044387641698155456e+00,2.254243089882643214e-01,2.262590094315917733e-01
3.053256279173149679e+00,2.261161830202130796e-01,2.160780337605686108e-01
3.062124916648144346e+00,2.268082671570041953e-01,2.252787101010571003e-01
3.070993554123138569e+00,2.275005542178692441e-01,2.432310995134676079e-01
3.079862191598133236e+00,2.281930370456029533e-01,2.374957974892709933e-01
3.088730829073127460e+00,2.288857085067444452e-01,2.395574958166947488e-01
3.097599466548122127e+00,2.295785614917542627e-01,2.347915606122808196e-01
3.106468104023116350e+00,2.302715889151885076e-01,2.299557456801329669e-01
3.115336741498111017e+00,2.309647837158709804e-01,2.153855665409938891e-01
3.124205378973105240e+00,2.316581388570597144e-01,2.268115769233069456e-01
3.133074016448099908e+00,2.323516473266131754e-01,2.269447362079980435e-01
3.141942653923094131e+00,2.330453021371512445e-01,2.398062839374260902e-01
3.150811291398088798e+00,2.337390963262145904e-01,2.436842086292241583e-01
3.159679928873083021e+00,2.344330229564193790e-01,2.392182753295059305e-01
3.168548566348077689e+00,2.351270751156106509e-01,2.271312297048507789e-01
3.177417203823071912e+00,2.358212459170118680e-01,2.543259075382832690e-01
3.186285841298066579e+00,2.365155284993712970e-01,2.507139738074055102e-01
3.195154478773060802e+00,2.372099160271053386e-01,2.350334403890168289e-01
3.204023116248055469e+00,2.379044016904396375e-01,2.398755474515221753e-01
3.212891753723049693e+00,2.385989787055465272e-01,2.450017776362879984e-01
3.221760391198044360e+00,2.392936403146795898e-01,2.403325536467885160e-01
3.230629028673038583e+00,2.399883797863066048e-01,2.390030238925060502e-01
3.239497666148033250e+00,2.406831904152365031e-01,2.456273879991783815e-01
3.248366303623027473e+00,2.413780655227474869e-01,2.414821264618418617e-01
3.257234941098022141e+00,2.420729984567090987e-01,2.441161120752424474e-01
3.266103578573016364e+00,2.427679825917029022e-01,2.266544810443721081e-01
3.274972216048011031e+00,2.434630113291405551e-01,2.273871184049279792e-01
3.283840853523005254e+00,2.441580780973779952e-01,2.615689452219921440e-01
3.292709490997999922e+00,2.448531763518280724e-01,2.296294824824460512e-01
3.301578128472994145e+00,2.455482995750690178e-01,2.504205878467951063e-01
3.310446765947988812e+00,2.462434412769525238e-01,2.494472109708437135e-01
3.319315403422983035e+00,2.469385949947061065e-01,2.491636825788848542e-01
3.328184040897977702e+00,2.476337542930352464e-01,2.406977070109396766e-01
3.337052678372971926e+00,2.483289127642215322e-01,2.584866897747459813e-01
3.345921315847966593e+00,2.490240640282188056e-01,2.525342453780023422e-01
3.354789953322960816e+00,2.497192017327461988e-01,2.462975904400382388e-01
3.363658590797955483e+00,2.504143195533792832e-01,2.363421860545259767e-01
3.372527228272949706e+00,2.511094111936369999e-01,2.488123355429158190e-01
3.381395865747944374e+00,2.518044703850690347e-01,2.458149056997016302e-01
3.390264503222938597e+00,2.524994908873368638e-01,2.399163098482904599e-01
3.399133140697933264e+00,2.531944664882954110e-01,2.570056718183190703e-01
3.408001778172927487e+00,2.538893910040707635e-01,2.597176723341163562e-01
3.416870415647922155e+00,2.545842582791354447e-01,2.629388215222911995e-01
3.425739053122916378e+00,2.552790621863815224e-01,2.565211648796345001e-01
3.434607690597911045e+00,2.559737966271912191e-01,2.535901755012293646e-01
3.443476328072905268e+00,2.566684555315048022e-01,2.681593641900695824e-01
3.452344965547899935e+00,2.573630328578869197e-01,2.651958153334832979e-01
3.461213603022894159e+00,2.580575225935888284e-01,2.812650133903969452e-01
3.470082240497888826e+00,2.587519187546109545e-01,2.645234018167499923e-01
3.478950877972883049e+00,2.594462153857601816e-01,2.502682480793734232e-01
3.487819515447877716e+00,2.601404065607069716e-01,2.700250385055187330e-01
3.496688152922871939e+00,2.608344863820387660e-01,2.844047537001379022e-01
3.505556790397866163e+00,2.615284489813125557e-01,2.645222258818954453e-01
3.514425427872860830e+00,2.622222885191036745e-01,2.606612844004003726e-01
3.523294065347855053e+00,2.629159991850529843e-01,2.572288590762485949e-01
3.532162702822849720e+00,2.636095751979130042e-01,2.830428279972732608e-01
