lam,h,c,c_noisy
2.910894302235699005e+00,8.653851179715160713e-01,2.181435071815321702e+00,2.159855018014059436e+00
2.059231820265379209e+00,4.841254747900843314e-01,1.606021102959065194e+00,1.601040704511552226e+00
2.017209470025036921e+00,5.910965424051737305e-01,1.807654681491189796e+00,1.810934882416615599e+00
2.926396907831559702e+00,9.284345387063435151e-01,2.218595695268250623e+00,2.212503533888751761e+00
2.467581784471927442e+00,9.302587234522904369e-01,2.069649187188487449e+00,2.085555589501718821e+00
2.474793690221385845e+00,6.968334406078237342e-02,8.285998071293830813e-01,8.166875403132052291e-01
6.352343946774131611e-01,4.737843343997790169e-01,1.053706267624537896e+00,1.057251587087407074e+00
1.423215765236049757e+00,9.271809768775569616e-01,1.583700842391642105e+00,1.573216787206197065e+00
7.122369304136700885e-01,4.533030278619722409e-01,1.116251099853040163e+00,1.130310729284389026e+00
9.838189536637860222e-01,1.389784396459003146e-01,8.276947421168882046e-01,8.274782298263325675e-01
1.034667476730368074e+00,9.135940568173567256e-01,1.348646112367247518e+00,1.344923606727241427e+00
2.646604830414760912e+00,2.966319749434298547e-01,1.327804830672339120e+00,1.310622981175012969e+00
8.168874492957635125e-01,7.261937049990010440e-01,1.196801104028764051e+00,1.213619359479430893e+00
1.241894420973623570e+00,6.275861584164095230e-01,1.476138813862517774e+00,1.483666599789491558e+00
1.732117447310831615e+00,6.411216747645042124e-01,1.730462292683467185e+00,1.737997931058560708e+00
2.623651027973842087e+00,9.793996454649021022e-01,2.133367302106413455e+00,2.144746114695591288e+00
2.913078552093438578e+00,6.471550698080927866e-01,1.809485915990034055e+00,1.812978181771264241e+00
2.270361926718104328e+00,5.501030417874013256e-01,1.728099962319201044e+00,1.721707496213436883e+00
1.034218048576370341e+00,8.061316481973465620e-02,8.126595290016292994e-01,8.046571167313283368e-01
1.862456703645010148e+00,4.071519410610310863e-01,1.431015886196697950e+00,1.423013886403087902e+00
2.264897607467217355e+00,7.438455561985817255e-01,1.960642169945090885e+00,1.974342893358427942e+00
6.297063193165628459e-01,7.019338940116773840e-01,1.049140970539933493e+00,1.034537158527979450e+00
2.199710418060178529e+00,4.778509879364497559e-01,1.543128050356074699e+00,1.537164355238366920e+00
1.420704587847702705e+00,2.850468620253704399e-01,1.158825227818381709e+00,1.155612788625519860e+00
1.974250716948020568e+00,3.309244906442387890e-01,1.196696283226881929e+00,1.198942473480372861e+00
2.173833202854162927e+00,1.173376790391928298e-01,1.035620919279894414e+00,1.041374413164972479e+00
2.172818740364839574e+00,1.203825940073419559e-01,1.045652590824340811e+00,1.033161620733385355e+00
1.807624438814640966e+00,7.479658135726529045e-01,1.776289572237022218e+00,1.758989437724296945e+00
1.886843581162723105e+00,6.331823024199757510e-01,1.793178699032211165e+00,1.793134556705991534e+00
9.953742840338324349e-01,7.833751869805151147e-01,1.322474422687341278e+00,1.334610060940202070e+00
1.737968478838505249e+00,7.346800478257020650e-01,1.742615107058251844e+00,1.750185687651217181e+00
8.135236816131328208e-01,8.291913745510902656e-01,1.194320185634930143e+00,1.196476693471929753e+00
1.701867504815161247e+00,5.126383350962550045e-01,1.672507852412589813e+00,1.669336295972416284e+00
1.840612313924528731e+00,2.561395465252551684e-01,1.111585279459392339e+00,1.114517616417394663e+00
2.435262040775795889e+00,2.217770609765185030e-01,1.262089643880003775e+00,1.259656293022582085e+00
1.484161982485464826e+00,3.476333243196035316e-01,1.362371583708632095e+00,1.370543649513558115e+00
5.490010463790238049e-01,7.933780380680912625e-01,9.787301538113339916e-01,9.707856804224651581e-01
1.819374833033758243e+00,8.441620767942342729e-01,1.787190936404744912e+00,1.788533335875608365e+00
1.013081231125219750e+00,3.814637726134463835e-01,1.321903138561173030e+00,1.320795337200057151e+00
2.353143807985921931e+00,6.040629604972636013e-01,1.834587556175093503e+00,1.840021150070395128e+00
1.471743076041841958e+00,1.796350729610113883e-01,1.000069057516084658e+00,1.002315442752578445e+00
1.451182910332005971e+00,9.882848838322572105e-01,1.599472551382390417e+00,1.624972897745469380e+00
2.773636449423242389e+00,5.802984814332077385e-02,7.590771732148312578e-01,7.740637207961861277e-01
1.482426109888022481e+00,6.590884266524005275e-01,1.610517561778610274e+00,1.625484933433795298e+00
1.372128942878891644e+00,5.677416564522946851e-01,1.545979674800684656e+00,1.525584636424738294e+00
1.370049338395640248e+00,3.394895420730070779e-01,1.368920673455683135e+00,1.365517507208659387e+00
1.701913925756454837e+00,8.405939372297517309e-01,1.729846553419596367e+00,1.723760447260467066e+00
7.332302718785345119e-01,6.225785830765281220e-02,7.022367921861747408e-01,7.075640081850651519e-01
1.866868519864286480e+00,5.581462615059424870e-01,1.748654589018676209e+00,1.725864324128122851e+00
2.803568655084454075e+00,6.855856724550204451e-01,1.932620296371513113e+00,1.944365283161604951e+00
1.907305162199341764e+00,7.529439045183832224e-01,1.821890613048169572e+00,1.832560446157122769e+00
2.359775518376367565e+00,6.261517860419051340e-01,1.874355353962597892e+00,1.861334645380140040e+00
2.867851657914193275e+00,7.165162543607265233e-01,1.986602636559656077e+00,1.976817151273442041e+00
2.605288467747285175e+00,8.212019258394738230e-01,2.090564028845788513e+00,2.082552308737976698e+00
2.360015859031202812e+00,6.117545618356242665e-01,1.848703908028752840e+00,1.849136867031584197e+00
2.532909347986401993e+00,5.292089020380636999e-01,1.592620052561105393e+00,1.599029763208000166e+00
2.550347604067392027e+00,1.845809727197508798e-01,1.233151693668106175e+00,1.253630554221679461e+00
1.134387986905083023e+00,4.150446001582813738e-01,1.397378407542419154e+00,1.395403953243542494e+00
1.704907617970956357e+00,8.294078970754438229e-01,1.731004257653119938e+00,1.738679283242156037e+00
1.356791876646287642e+00,4.967720824726499229e-01,1.529328767755883334e+00,1.530882945856477662e+00
1.154333234071635461e+00,4.348478307757565053e-01,1.411846880204677745e+00,1.429446143043760387e+00
1.928878957806576366e+00,3.447222321599140438e-01,1.225818843794026058e+00,1.233240422406141734e+00
1.294714807102308463e+00,4.585700727383515973e-01,1.490564573635678736e+00,1.504250078144423464e+00
2.046641364431630805e+00,6.593345498909448654e-01,1.858492223409336841e+00,1.847715471511502283e+00
1.956041325679392706e+00,6.881503251797040921e-01,1.833641527721195708e+00,1.831719120605936224e+00
7.609974359549283029e-01,2.965913113140521973e-01,1.145878263685512710e+00,1.137740539467092304e+00
1.606044128897709422e+00,8.080926551864020535e-01,1.680437015782081600e+00,1.695486489822164655e+00
1.474637184950549074e+00,6.121916349355091547e-02,7.701552720081471515e-01,7.767316710463249008e-01
2.266631027750961369e+00,3.538216616078623256e-01,1.246708162105931050e+00,1.243656717848155902e+00
7.203321095259644924e-01,1.485499389481080290e-01,8.573524134256502727e-01,8.528277345549462041e-01
9.223954311499931169e-01,6.875521771969138607e-01,1.272508767410457375e+00,1.277355416192524462e+00
1.781493639888727998e+00,5.353633867167684190e-01,1.710317440602931338e+00,1.703302485301135816e+00
1.511484322119538870e+00,8.619388687417198769e-01,1.631624303425805111e+00,1.622318414663683539e+00
2.163366700454298464e+00,9.014503155467841200e-01,1.944850878619978518e+00,1.949663623542693847e+00
1.332141719389625667e+00,8.647602236474506432e-01,1.531722165729439311e+00,1.556353486050491508e+00
9.930469208624899125e-01,7.290458774730783631e-01,1.320845052775062145e+00,1.318383717234413943e+00
2.829613558160487763e+00,9.807333405117083514e-01,2.204905001098980133e+00,2.199346343291044725e+00
1.109741233307587116e+00,3.509543596313566272e-01,1.362558035946624058e+00,1.350846467606368728e+00
8.676607685830866057e-01,6.112811537388922467e-01,1.233689071969330531e+00,1.220338962393736626e+00
1.199735385795533293e+00,1.192734452601688505e-01,9.052075441715601301e-01,9.104573765172023769e-01
1.349310943371328397e+00,8.335387878499721515e-01,1.541420697075879476e+00,1.549928727403665052e+00
1.062789981648403881e+00,2.441410023032721255e-01,1.137479938196259255e+00,1.137571685405084132e+00
1.840791127659785031e+00,7.478684334526283228e-01,1.791533308121693091e+00,1.794859068008455072e+00
2.842334614169248042e+00,7.776082686379733877e-01,2.089671332782454538e+00,2.090830498557525452e+00
8.150471287877765203e-01,5.824051917358341601e-01,1.195299653421597608e+00,1.196686201882069867e+00
1.537911532208383836e+00,6.210314002172927506e-01,1.636115703705165902e+00,1.620854113179337475e+00
2.170393602584925752e+00,9.554323656773539009e-01,1.951001225689209750e+00,1.946420042958717511e+00
2.711787456213522240e+00,5.151393631096874426e-01,1.510492466736246708e+00,1.511607259812146165e+00
2.999507570712995452e+00,3.475436708060035129e-01,1.409627729809953767e+00,1.401796062004316834e+00
8.590923658692137810e-01,5.950276969057290977e-01,1.227485486320645247e+00,1.222721188882047061e+00
1.843244311068290342e+00,8.062058802023391868e-01,1.796648613468561972e+00,1.788457411665284713e+00
2.703001321813729430e+00,7.144192300158669351e-01,2.001223518003037771e+00,1.997888551261053358e+00
6.325741871460545118e-01,5.839856023035039367e-02,6.635072025336092860e-01,6.720382852768606030e-01
1.970732889639479790e+00,6.047412401879193045e-01,1.807875017296398656e+00,1.803809213789842714e+00
9.347783734707342251e-01,2.244610752877548299e-01,1.107304751455514324e+00,1.105766044653543334e+00
2.419575655413572335e+00,4.913214481576825832e-01,1.515982091321893321e+00,1.524119274916274414e+00
2.844077586817280512e+00,9.624596972460235378e-01,2.205660543201422019e+00,2.212108245342990998e+00
1.845720481651697886e+00,8.934853567717951917e-01,1.801484038220552808e+00,1.818436113810149246e+00
5.224161831260893951e-01,3.291653389875082159e-01,9.540831114766182841e-01,9.331782606953323844e-01
6.606258041201052977e-01,3.323023623077804856e-01,1.072985185082867998e+00,1.081553774528098977e+00
1.539254809798055845e+00,4.893469288241090731e-01,1.607419665723323732e+00,1.602596824855592850e+00
2.618259925579271563e+00,4.375959121701180066e-01,1.368000495769338576e+00,1.369347413957517468e+00
1.091917306675827648e+00,5.492855900860089680e-01,1.383224952902059712e+00,1.391602146751050428e+00
2.172843932830434976e+00,7.072085888651797880e-01,1.917949930938768643e+00,1.928782462495682193e+00
1.513269605309831345e+00,9.800786449970352310e-01,1.633449707384766914e+00,1.643843214287855181e+00
1.162887975420074271e+00,3.664149171861273979e-01,1.394136956282399975e+00,1.395688023193182525e+00
2.259722770067967623e+00,5.796927299981113196e-02,7.581878262444021743e-01,7.742844530745852660e-01
1.270641889287098536e+00,3.791838477773444294e-01,1.441106811436324353e+00,1.438277069164163091e+00
1.429702373023722828e+00,4.710129200100409697e-01,1.556496295690275478e+00,1.555086476559567554e+00
2.413275771919243695e+00,5.326129193675790408e-01,1.639362517375257955e+00,1.647356029264198884e+00
1.737999771497594548e+00,1.836064895976473044e-01,1.084019530429606304e+00,1.078505806349801643e+00
2.459796402387649294e+00,9.214039174020348388e-02,9.430835860920964153e-01,9.646926486791088662e-01
1.790751327925327985e+00,5.049550532411181125e-01,1.680629153736366233e+00,1.690821219389912367e+00
8.999291625499951097e-01,7.555809888549013253e-01,1.256825048021485980e+00,1.278580801247690024e+00
1.609244560496815968e+00,7.813129618672040033e-01,1.681304987006086771e+00,1.681039095134528871e+00
2.681912656582435162e+00,7.520919438155111714e-02,8.600676655179784191e-01,8.562367800153652952e-01
1.912294612583687714e+00,6.198990749574806447e-01,1.797762250095861436e+00,1.799432730117530799e+00
2.912038873967066177e+00,5.207152630707572172e-01,1.494701153894224976e+00,1.502046918920286966e+00
5.028710343597435628e-01,3.766510377587097280e-01,9.360762571304999113e-01,9.302019802617598199e-01
1.350916165129414814e+00,6.368375996196051769e-01,1.538609190227029799e+00,1.542406207696754183e+00
2.422625385478657911e+00,2.071339706527721702e-01,1.247460350143898777e+00,1.247292307354690433e+00
2.215377403296272973e+00,9.454179779262855687e-01,1.969640768459403279e+00,1.985797586065167764e+00
1.902446610845540453e+00,5.689848064096373337e-01,1.765448085591753591e+00,1.758821067468745003e+00
2.159357575386521955e+00,1.288935867121915879e-01,1.071081183629794209e+00,1.081542801347081362e+00
2.691077257644300946e+00,1.182049879312059293e-01,1.056657376784661206e+00,1.050218741429261193e+00
2.208878606327797200e+00,3.297737332571416546e-01,1.220411010968165400e+00,1.210804669037091275e+00
1.868071396983232546e+00,2.646601965943735091e-01,1.120494437349359718e+00,1.113391443075603560e+00
1.906171173542649866e+00,6.288311533312871404e-01,1.798924124529232671e+00,1.787022265910810148e+00
2.165942312400730874e+00,6.004281422750985531e-01,1.835370924022236450e+00,1.836834427622900945e+00
1.309780488760384998e+00,5.694718754516580050e-01,1.512253133410806027e+00,1.522565741371592729e+00
2.173588015552831543e+00,7.960446954204432046e-01,1.938681220648555525e+00,1.940324369433903406e+00
2.037520800597640402e+00,1.512731266635138350e-01,1.113221636945713966e+00,1.119464888067562613e+00
2.464776978915530492e+00,9.288284457258257909e-01,2.068423965234996942e+00,2.084745707190748476e+00
1.700562841021382221e+00,4.566242993946215689e-01,1.602013038015073665e+00,1.604713302486862281e+00
5.675216241724602151e-01,1.006519322532386934e-01,6.860527516409448134e-01,6.880043752505757837e-01
1.842303914273402565e+00,1.358457027009621898e-01,1.058386374594201484e+00,1.055635759914598681e+00
2.644220733593680261e+00,8.203244834324925350e-01,2.099915708238418777e+00,2.083833285388306145e+00
2.100047478060536932e+00,3.337003989884350097e-01,1.208035210374740487e+00,1.215632599693421412e+00
2.108681135340066071e+00,4.875938374614603443e-01,1.601547815919118989e+00,1.583983211442859140e+00
1.477371972457533600e+00,1.558984055679892844e-01,1.002760823966677428e+00,1.009287588330515684e+00
1.391428759868972742e+00,7.339489181358084258e-01,1.563991918327289454e+00,1.563848714969949816e+00
2.297267325567200036e+00,1.401934026585642257e-01,1.112271490022757270e+00,1.123539304530861704e+00
6.944448209122364712e-01,8.973741109048566367e-01,1.102424826848095396e+00,1.101747124242990816e+00
2.666098179469506224e+00,1.545306456330385603e-01,1.174342096637303712e+00,1.166110095057727003e+00
2.690724780609634603e+00,8.402474637066471574e-01,2.121067735560947298e+00,2.124646838228473111e+00
2.906110953374875461e+00,4.581702630337116111e-01,1.408082359565339559e+00,1.402479998208258305e+00
8.391940160742690225e-01,4.249374508681937335e-01,1.211084339494824302e+00,1.209274771248206148e+00
7.884437817350284927e-01,1.425442031876700266e-01,8.084884576920775556e-01,8.089071655606975275e-01
2.735054641518035456e+00,3.866315189833558486e-01,1.344391052706359613e+00,1.343045555588902928e+00
1.502813499721898705e+00,9.216432830829759393e-01,1.627468610051433062e+00,1.625580587301694857e+00
1.175902035365278708e+00,9.842584435827228528e-02,8.770676118078650774e-01,8.687431619249945669e-01
1.455536653800324265e+00,1.493954757448663906e-01,9.946396160944930287e-01,9.927482782535649308e-01
2.148759730023022119e+00,9.536144209991911369e-01,1.941566064713815098e+00,1.920182658642604956e+00
9.037341145462791658e-01,8.186676376726973459e-01,1.259527622043160155e+00,1.257954301090907778e+00
1.717909728545120140e+00,9.279343187427246953e-01,1.739718180791232971e+00,1.727737620931913742e+00
2.150126868870595231e+00,9.116561591568497214e-01,1.939867977038749025e+00,1.951070613942219145e+00
2.301930423886581867e+00,9.773264208124501362e-01,2.007703218051184457e+00,2.020402485524396941e+00
5.306564194272316293e-01,3.925609755361308406e-01,9.619334608637046813e-01,9.424232030584921427e-01
2.527241062413025929e+00,8.323682854764206107e-01,2.072328161599955809e+00,2.073777329503614819e+00
1.585448998702233991e+00,3.681931713681091956e-01,1.397070202445578557e+00,1.395806563223910945e+00
1.589497590774419544e+00,6.338204038419114061e-01,1.662772916265748968e+00,1.652305759964940224e+00
1.905902145497892164e+00,5.922077978012823402e-02,7.644352686402987596e-01,7.697518000667887828e-01
1.200338794032894452e+00,3.272722530242937466e-01,1.356528411205588647e+00,1.351911515759041116e+00
2.716804396655886134e+00,3.567116956972643527e-01,1.338575950148812588e+00,1.320899959191946582e+00
1.030338668877450070e+00,3.695312527070918063e-01,1.329664639576555674e+00,1.326997873055985933e+00
1.856793069279960129e+00,1.868385653810697988e-01,1.116895563929989788e+00,1.115413032746988886e+00
9.201042595818949010e-01,6.349983570759021312e-02,7.442868973055998261e-01,7.453512074880145333e-01
2.040290817508739085e+00,2.659550558329443204e-01,1.166914133550075672e+00,1.154601803562748108e+00
2.754766603943789249e+00,6.899122978864163924e-02,8.255145187695530629e-01,8.316713280387689755e-01
2.706591627895315710e+00,2.406821001706447305e-01,1.324329726995639334e+00,1.331684297877628209e+00
8.367004194647702509e-01,6.557929272177598357e-01,1.211344618528874761e+00,1.199886345760325712e+00
2.062171872117332772e+00,5.926654302576339628e-01,1.816278964838865972e+00,1.809690409149034229e+00
2.731380822026363564e+00,6.935620082124357433e-01,1.961442647073100121e+00,1.960639273934806637e+00
1.000688449794109980e+00,6.855526019431775753e-01,1.325853652538645955e+00,1.320194399268522334e+00
1.536853042689480864e+00,1.030188132406345963e-01,9.438576259583016936e-01,9.612951720567985969e-01
2.282887968909013132e+00,5.572444473784156083e-01,1.742976214507938604e+00,1.745059935669521112e+00
2.345256489761104568e+00,4.244889167777975425e-01,1.357752088604135876e+00,1.347646268240593859e+00
1.627944566698290352e+00,4.146763102390880196e-01,1.519795809431136124e+00,1.511914720154888370e+00
2.096546441519973047e+00,3.716270602642942622e-01,1.269129907730907503e+00,1.268555205148350185e+00
2.172297223932092791e+00,4.322056969066714882e-01,1.412015321401205226e+00,1.434973109483791198e+00
1.382806986904851376e+00,8.209686937288702691e-01,1.560355061714071123e+00,1.558572418495840495e+00
2.130183934338623075e+00,2.433880708458367459e-01,1.195521599158592796e+00,1.196796363350990822e+00
1.943556151783326857e+00,6.865685095827431805e-01,1.828301720561778643e+00,1.833442174343360431e+00
2.243464883919798591e+00,4.717184103412171980e-01,1.510205573972909887e+00,1.509804314610279530e+00
1.779112568217729562e+00,6.416132421985553114e-01,1.751246900792827965e+00,1.774053509518495053e+00
1.341077709654587391e+00,4.003809668709748526e-01,1.480807908792672656e+00,1.475492659322421130e+00
1.586005551903041155e+00,8.596051844795261632e-01,1.671100174174080299e+00,1.678542205425538114e+00
2.806153348918674517e+00,6.654302386680810422e-01,1.885244763563755033e+00,1.886849143253590766e+00
9.688882408239780641e-01,4.920395276608247603e-01,1.302339011664364943e+00,1.308550975396529203e+00
8.707570369250110520e-01,5.982627103173034783e-02,7.240128986598003413e-01,7.122464690756029615e-01
5.303822052553043287e-01,8.309412843277935723e-02,6.324014370092231330e-01,6.500825639602950679e-01
2.630366052368702245e+00,2.509102662292689301e-01,1.316572263086442263e+00,1.315356988014807715e+00
2.971620394034573565e+00,7.417464287878487994e-01,2.020609578579441123e+00,2.020951211200116227e+00
1.091167526928341180e+00,3.147464317151746349e-01,1.322158033328854732e+00,1.312808270710167147e+00
1.165245118438346772e+00,7.477719602632106888e-01,1.431616597419330006e+00,1.424319644737497503e+00
9.959305127984390271e-01,3.591799050682316086e-01,1.307544207502176370e+00,1.313186601833856715e+00
2.000481144561421676e+00,6.335787245692879877e-01,1.832449415501464340e+00,1.842314414362571151e+00
1.712771013227993855e+00,2.019320798068209299e-01,1.076056555190010311e+00,1.083589102097547663e+00
2.551440305986012458e+00,1.952560724081409127e-01,1.250865823462223414e+00,1.262955525959109204e+00
1.024260774019863707e+00,9.762478548520159283e-01,1.341789127671043635e+00,1.348934016792939561e+00
2.694839578514701905e+00,6.878192687799906668e-01,1.955180254652876037e+00,1.955464872986444558e+00
1.659878788492480162e+00,2.009511392164174959e-01,1.059317752789823874e+00,1.067683012684268906e+00
2.519667029753469567e+00,3.372593383767346631e-01,1.290756941037082051e+00,1.296692973441161856e+00
2.505201537847308035e+00,1.613194634864527632e-01,1.181014519637819671e+00,1.180008766972405088e+00
2.776875570112205871e+00,2.429400974282667214e-01,1.337774336667149511e+00,1.345035063852551227e+00
1.747033625857534744e+00,7.848258962067258260e-01,1.749880174422259405e+00,1.762737148367550022e+00
2.024010155946296408e+00,3.100384838459778747e-01,1.176000082737273189e+00,1.178345795976615262e+00
1.902576868215803074e+00,8.940227090581889247e-01,1.828326807229712081e+00,1.824764756255403908e+00
9.757566930840793074e-01,5.485713300333081716e-02,7.145981936156727832e-01,7.217853073452860091e-01
1.753804250459776837e+00,6.532520922837335986e-01,1.741921204679081514e+00,1.760928422057407294e+00
2.816548018836556810e+00,2.865755694946071630e-01,1.366720726136964936e+00,1.364615105705340614e+00
2.772246118024084272e+00,8.939555036648446640e-01,2.164682846511024827e+00,2.163759750289865114e+00
5.537613230005864473e-01,3.798226739963997400e-01,9.828479126094312734e-01,9.814839372890850067e-01
2.158389684382925111e+00,3.460013849562958987e-01,1.227306160604921814e+00,1.239536334686551777e+00
1.316929084344709455e+00,4.018800645628439749e-01,1.474984000112171900e+00,1.456612017543040372e+00
8.398468152517095664e-01,1.406784750451620658e-01,7.994245847595771171e-01,8.030830384670517574e-01
8.485996106995387089e-01,9.113592934131489187e-01,1.220089472719476875e+00,1.232012111877085481e+00
2.487403610506225160e+00,9.277392393330128328e-01,2.076834853642059109e+00,2.068701021933043283e+00
2.897914927598501666e+00,7.224881655454745699e-01,1.993800803080065798e+00,2.008690577161690527e+00
1.800601737232697008e+00,5.437114835044239980e-01,1.721517440128709220e+00,1.726870530213412192e+00
1.458800983325682310e+00,4.318528775742723758e-01,1.541156859851071648e+00,1.535666500678521285e+00
1.774717413921941489e+00,5.204416207824026364e-01,1.695687503089470027e+00,1.697728901283247271e+00
2.573231584570606412e+00,9.816041376370991944e-01,2.114965021294251457e+00,2.099620100081589502e+00
