w,I
3.144309845226057223e+04,3.145721234413924663e-04
3.145758476681930188e+04,3.147464148905684323e-04
3.147207775544394826e+04,3.149208330436604748e-04
3.148657742120928015e+04,3.150953780381595781e-04
3.150108376719156513e+04,3.152700500117712901e-04
3.151559679646847871e+04,3.154448491024140419e-04
3.153011651211905337e+04,3.156197754482197439e-04
3.154464291722392954e+04,3.157948291875370926e-04
3.155917601486497733e+04,3.159700104589266922e-04
3.157371580812555112e+04,3.161453194011655532e-04
3.158826230009042411e+04,3.163207561532461716e-04
3.160281549384573009e+04,3.164963208543762575e-04
3.161737539247921086e+04,3.166720136439821502e-04
3.163194199907984148e+04,3.168478346617050780e-04
3.164651531673808495e+04,3.170237840474040853e-04
3.166109534854583035e+04,3.171998619411560871e-04
3.167568209759632373e+04,3.173760684832552725e-04
3.169027556698442640e+04,3.175524038142168450e-04
3.170487575980624024e+04,3.177288680747729029e-04
3.171948267915935139e+04,3.179054614058753124e-04
3.173409632814277575e+04,3.180821839486964119e-04
3.174871670985689343e+04,3.182590358446276573e-04
3.176334382740370347e+04,3.184360172352837959e-04
3.177797768388643817e+04,3.186131282624985839e-04
3.179261828240983596e+04,3.187903690683280928e-04
3.180726562608005406e+04,3.189677397950503308e-04
3.182191971800461761e+04,3.191452405851652420e-04
3.183658056129268152e+04,3.193228715813982302e-04
3.185124815905463765e+04,3.195006329266955516e-04
3.186592251440237305e+04,3.196785247642282171e-04
3.188060363044921542e+04,3.198565472373914509e-04
3.189529151030984940e+04,3.200347004898046899e-04
3.190998615710060403e+04,3.202129846653147286e-04
3.192468757393903797e+04,3.203913999079917069e-04
3.193939576394421601e+04,3.205699463621326339e-04
3.195411073023663994e+04,3.207486241722612799e-04
3.196883247593818305e+04,3.209274334831273626e-04
3.198356100417235211e+04,3.211063744397107760e-04
3.199829631806390171e+04,3.212854471872164945e-04
3.201303842073908163e+04,3.214646518710790181e-04
3.202778731532559323e+04,3.216439886369617217e-04
3.204254300495250209e+04,3.218234576307561507e-04
3.205730549275052545e+04,3.220030589985863035e-04
3.207207478185161381e+04,3.221827928868039150e-04
3.208685087538923108e+04,3.223626594419920347e-04
3.210163377649828908e+04,3.225426588109650268e-04
3.211642348831506752e+04,3.227227911407679734e-04
3.213122001397749773e+04,3.229030565786805782e-04
3.214602335662475889e+04,3.230834552722122331e-04
3.216083351939753993e+04,3.232639873691066802e-04
3.217565050543797042e+04,3.234446530173407650e-04
3.219047431788957329e+04,3.236254523651245995e-04
3.220530495989751216e+04,3.238063855609049765e-04
3.222014243460819853e+04,3.239874527533613048e-04
3.223498674516956453e+04,3.241686540914089695e-04
3.224983789473099023e+04,3.243499897241994409e-04
3.226469588644323812e+04,3.245314598011193527e-04
3.227956072345873326e+04,3.247130644717947305e-04
3.229443240893113398e+04,3.248948038860862753e-04
3.230931094601563382e+04,3.250766781940934839e-04
3.232419633786887425e+04,3.252586875461536183e-04
3.233908858764888646e+04,3.254408320928421942e-04
3.235398769851535326e+04,3.256231119849761790e-04
3.236889367362921621e+04,3.258055273736097635e-04
3.238380651615293755e+04,3.259880784100380484e-04
3.239872622925043834e+04,3.261707652457967728e-04
3.241365281608702935e+04,3.263535880326618268e-04
3.242858627982968028e+04,3.265365469226534255e-04
3.244352662364662319e+04,3.267196420680311213e-04
3.245847385070760720e+04,3.269028736212979788e-04
3.247342796418385115e+04,3.270862417352000322e-04
3.248838896724796359e+04,3.272697465627261767e-04
3.250335686307421929e+04,3.274533882571116928e-04
3.251833165483814446e+04,3.276371669718339090e-04
3.253331334571681145e+04,3.278210828606160508e-04
3.254830193888874419e+04,3.280051360774269699e-04
3.256329743753386720e+04,3.281893267764804932e-04
3.257829984483377120e+04,3.283736551122395432e-04
3.259330916397130932e+04,3.285581212394116926e-04
3.260832539813087351e+04,3.287427253129526880e-04
3.262334855049831822e+04,3.289274674880663957e-04
3.263837862426090578e+04,3.291123479202044222e-04
3.265341562260755381e+04,3.292973667650696918e-04
3.266845954872846050e+04,3.294825241786123815e-04
3.268351040581535563e+04,3.296678203170333899e-04
3.269856819706144233e+04,3.298532553367844455e-04
3.271363292566132804e+04,3.300388293945672401e-04
3.272870459481129001e+04,3.302245426473376564e-04
3.274378320770887876e+04,3.304103952523010520e-04
3.275886876755318008e+04,3.305963873669162710e-04
3.277396127754476765e+04,3.307825191488953731e-04
3.278906074088560126e+04,3.309687907562029827e-04
3.280416716077933961e+04,3.311552023470608970e-04
3.281928054043089651e+04,3.313417540799423397e-04
3.283440088304675010e+04,3.315284461135771109e-04
3.284952819183482643e+04,3.317152786069503404e-04
3.286466247000449948e+04,3.319022517193031380e-04
3.287980372076679487e+04,3.320893656101354128e-04
3.289495194733401877e+04,3.322766204392015358e-04
3.291010715292004170e+04,3.324640163665153279e-04
3.292526934074020392e+04,3.326515535523484331e-04
3.294043851401124994e+04,3.328392321572304271e-04
3.295561467595162685e+04,3.330270523419533168e-04
3.297079782978104777e+04,3.332150142675660651e-04
3.298598797872078285e+04,3.334031180953788732e-04
3.300118512599359383e+04,3.335913639869632894e-04
3.301638927482364670e+04,3.337797521041516126e-04
3.303160042843679548e+04,3.339682826090400905e-04
3.304681859006018931e+04,3.341569556639855591e-04
3.306204376292252709e+04,3.343457714316089117e-04
3.307727595025398477e+04,3.345347300747943944e-04
3.309251515528617165e+04,3.347238317566897142e-04
3.310776138125239231e+04,3.349130766407102679e-04
3.312301463138722465e+04,3.351024648905338290e-04
3.313827490892680362e+04,3.352919966701046139e-04
3.315354221710877027e+04,3.354816721436339319e-04
3.316881655917217722e+04,3.356714914755988847e-04
3.318409793835777964e+04,3.358614548307464862e-04
3.319938635790761327e+04,3.360515623740892169e-04
3.321468182106529275e+04,3.362418142709096866e-04
3.322998433107589517e+04,3.364322106867585738e-04
3.324529389118596737e+04,3.366227517874563610e-04
3.326061050464372238e+04,3.368134377390959904e-04
3.327593417469867563e+04,3.370042687080385276e-04
3.329126490460191417e+04,3.371952448609176066e-04
3.330660269760594383e+04,3.373863663646378035e-04
3.332194755696498032e+04,3.375776333863787565e-04
3.333729948593454174e+04,3.377690460935906663e-04
3.335265848777168867e+04,3.379606046539981455e-04
3.336802456573501695e+04,3.381523092356002180e-04
3.338339772308459942e+04,3.383441600066705904e-04
3.339877796308194229e+04,3.385361571357572183e-04
3.341416528899026889e+04,3.387283007916869139e-04
3.342955970407409768e+04,3.389205911435601965e-04
3.344496121159952600e+04,3.391130283607556289e-04
3.346036981483407726e+04,3.393056126129286249e-04
3.347578551704699203e+04,3.394983440700151357e-04
3.349120832150880597e+04,3.396912229022274214e-04
3.350663823149163363e+04,3.398842492800582251e-04
3.352207525026909570e+04,3.400774233742796891e-04
3.353751938111626077e+04,3.402707453559443841e-04
3.355297062730989273e+04,3.404642153963879665e-04
3.356842899212807970e+04,3.406578336672254370e-04
3.358389447885048139e+04,3.408516003403550985e-04
3.359936709075826366e+04,3.410455155879579055e-04
3.361484683113404753e+04,3.412395795824974638e-04
3.363033370326214936e+04,3.414337924967240424e-04
3.364582771042821696e+04,3.416281545036700738e-04
3.366132885591946979e+04,3.418226657766541658e-04
3.367683714302464796e+04,3.420173264892805050e-04
3.369235257503392495e+04,3.422121368154390194e-04
3.370787515523920592e+04,3.424070969293091732e-04
3.372340488693370571e+04,3.426022070053555218e-04
3.373894177341223258e+04,3.427974672183318854e-04
3.375448581797109364e+04,3.429928777432807532e-04
3.377003702390805847e+04,3.431884387555331206e-04
3.378559539452262106e+04,3.433841504307128261e-04
3.380116093311559234e+04,3.435800129447316178e-04
3.381673364298936940e+04,3.437760264737936534e-04
3.383231352744786273e+04,3.439721911943944698e-04
3.384790058979645983e+04,3.441685072833217964e-04
3.386349483334224351e+04,3.443649749176586452e-04
3.387909626139364264e+04,3.445615942747792446e-04
3.389470487726066494e+04,3.447583655323533769e-04
3.391032068425484613e+04,3.449552888683451849e-04
3.392594368568917707e+04,3.451523644610138774e-04
3.394157388487839489e+04,3.453495924889175232e-04
3.395721128513853182e+04,3.455469731309081184e-04
3.397285588978724263e+04,3.457445065661363570e-04
3.398850770214368822e+04,3.459421929740506005e-04
3.400416672552850650e+04,3.461400325343972576e-04
3.401983296326406708e+04,3.463380254272247416e-04
3.403550641867406375e+04,3.465361718328785370e-04
3.405118709508378379e+04,3.467344719320059705e-04
3.406687499582004966e+04,3.469329259055551262e-04
3.408257012421116087e+04,3.471315339347755507e-04
3.409827248358713405e+04,3.473302962012215058e-04
3.411398207727933186e+04,3.475292128867480106e-04
3.412969890862071043e+04,3.477282841735146370e-04
3.414542298094576836e+04,3.479275102439854548e-04
3.416115429759046674e+04,3.481268912809285985e-04
3.417689286189251288e+04,3.483264274674206578e-04
3.419263867719094560e+04,3.485261189868419079e-04
3.420839174682640441e+04,3.487259660228802117e-04
3.422415207414107863e+04,3.489259687595316168e-04
3.423991966247861274e+04,3.491261273810991627e-04
3.425569451518441929e+04,3.493264420721977053e-04
3.427147663560522778e+04,3.495269130177489298e-04
3.428726602708939026e+04,3.497275404029859583e-04
3.430306269298680127e+04,3.499283244134523204e-04
3.431886663664880325e+04,3.501292652350026027e-04
3.433467786142853583e+04,3.503303630538064073e-04
3.435049637068044103e+04,3.505316180563432553e-04
3.436632216776058340e+04,3.507330304294071404e-04
3.438215525602658454e+04,3.509346003601068547e-04
3.439799563883752126e+04,3.511363280358644162e-04
3.441384331955426023e+04,3.513382136444205984e-04
3.442969830153897783e+04,3.515402573738296717e-04
3.444556058815547294e+04,3.517424594124636322e-04
3.446143018276910880e+04,3.519448199490118759e-04
3.447730708874672564e+04,3.521473391724819582e-04
3.449319130945690995e+04,3.523500172722020328e-04
3.450908284826960880e+04,3.525528544378179791e-04
3.452498170855637727e+04,3.527558508592963833e-04
3.454088789369032747e+04,3.529590067269253520e-04
3.455680140704607038e+04,3.531623222313133191e-04
3.457272225199996319e+04,3.533657975633939250e-04
3.458865043192970916e+04,3.535694329144213003e-04
3.460458595021464862e+04,3.537732284759740231e-04
3.462052881023567170e+04,3.539771844399553901e-04
3.463647901537516009e+04,3.541813009985926575e-04
3.465243656901726354e+04,3.543855783444419200e-04
3.466840147454747785e+04,3.545900166703827442e-04
3.468437373535292863e+04,3.547946161696230471e-04
3.470035335482229857e+04,3.549993770356986629e-04
3.471634033634577645e+04,3.552042994624731798e-04
3.473233468331530457e+04,3.554093836441422232e-04
3.474833639912419312e+04,3.556146297752287933e-04
3.476434548716737481e+04,3.558200380505873849e-04
3.478036195084134670e+04,3.560256086654040963e-04
3.479638579354410467e+04,3.562313418151962494e-04
3.481241701867542724e+04,3.564372376958170521e-04
3.482845562963643897e+04,3.566432965034502310e-04
3.484450162982989423e+04,3.568495184346146942e-04
3.486055502266014082e+04,3.570559036861648558e-04
3.487661581153300358e+04,3.572624524552898777e-04
3.489268399985608266e+04,3.574691649395177347e-04
3.490875959103836067e+04,3.576760413367112033e-04
3.492484258849043545e+04,3.578830818450719274e-04
3.494093299562449829e+04,3.580902866631402556e-04
3.495703081585423206e+04,3.582976559897947536e-04
3.497313605259509495e+04,3.585051900242571909e-04
3.498924870926392759e+04,3.587128889660874459e-04
3.500536878927919315e+04,3.589207530151877876e-04
3.502149629606094823e+04,3.591287823718027680e-04
3.503763123303074099e+04,3.593369772365192756e-04
3.505377360361191677e+04,3.595453378102708730e-04
3.506992341122918151e+04,3.597538642943324291e-04
3.508608065930889279e+04,3.599625568903258121e-04
3.510224535127898707e+04,3.601714158002185338e-04
3.511841749056889967e+04,3.603804412263237494e-04
3.513459708060987032e+04,3.605896333713055706e-04
3.515078412483450666e+04,3.607989924381732648e-04
3.516697862667705340e+04,3.610085186302861341e-04
3.518318058957336325e+04,3.612182121513534609e-04
3.519939001696078049e+04,3.614280732054340204e-04
3.521560691227844654e+04,3.616381019969410133e-04
3.523183127896688529e+04,3.618482987306366450e-04
3.524806312046827225e+04,3.620586636116372215e-04
3.526430244022636180e+04,3.622691968454124986e-04
3.528054924168643629e+04,3.624798986377857904e-04
3.529680352829556796e+04,3.626907691949385771e-04
3.531306530350221146e+04,3.629018087234053011e-04
3.532933457075646584e+04,3.631130174300779747e-04
3.534561133351005265e+04,3.633243955222067220e-04
3.536189559521617048e+04,3.635359432073983696e-04
3.537818735932985874e+04,3.637476606936220305e-04
3.539448662930751016e+04,3.639595481892036284e-04
3.541079340860719094e+04,3.641716059028309938e-04
3.542710770068856800e+04,3.643838340435532133e-04
3.544342950901281438e+04,3.645962328207805214e-04
3.545975883704292937e+04,3.648088024442894500e-04
3.547609568824327289e+04,3.650215431242170286e-04
3.549244006607990013e+04,3.652344550710662587e-04
3.550879197402043064e+04,3.654475384957051932e-04
3.552515141553403373e+04,3.656607936093674775e-04
3.554151839409168315e+04,3.658742206236565244e-04
3.555789291316574236e+04,3.660878197505405265e-04
3.557427497623024101e+04,3.663015912023576061e-04
3.559066458676080947e+04,3.665155351918150564e-04
3.560706174823459878e+04,3.667296519319894498e-04
3.562346646413060807e+04,3.669439416363316797e-04
3.563987873792918253e+04,3.671584045186610510e-04
3.565629857311237720e+04,3.673730407931710814e-04
3.567272597316382598e+04,3.675878506744282540e-04
3.568916094156871259e+04,3.678028343773731557e-04
3.570560348181403970e+04,3.680179921173236217e-04
3.572205359738819971e+04,3.682333241099713743e-04
3.573851129178125120e+04,3.684488305713850588e-04
3.575497656848487532e+04,3.686645117180117610e-04
3.577144943099228840e+04,3.688803677666756525e-04
3.578792988279853307e+04,3.690963989345831943e-04
3.580441792740003439e+04,3.693126054393180415e-04
3.582091356829491997e+04,3.695289874988459222e-04
3.583741680898290360e+04,3.697455453315143660e-04
3.585392765296527068e+04,3.699622791560527044e-04
3.587044610374510376e+04,3.701791891915763534e-04
3.588697216482690419e+04,3.703962756575825306e-04
3.590350583971686137e+04,3.706135387739546466e-04
3.592004713192275813e+04,3.708309787609618711e-04
3.593659604495394888e+04,3.710485958392597833e-04
3.595315258232159977e+04,3.712663902298940586e-04
3.596971674753828847e+04,3.714843621542966191e-04
3.598628854411828070e+04,3.717025118342898084e-04
3.600286797557747195e+04,3.719208394920860659e-04
3.601945504543327843e+04,3.721393453502883065e-04
3.603604975720497896e+04,3.723580296318943113e-04
3.605265211441325664e+04,3.725768925602921744e-04
3.606926212058046804e+04,3.727959343592644769e-04
3.608587977923060680e+04,3.730151552529888288e-04
3.610250509388921637e+04,3.732345554660371646e-04
3.611913806808368827e+04,3.734541352233811096e-04
3.613577870534280373e+04,3.736738947503865597e-04
3.615242700919706840e+04,3.738938342728186136e-04
3.616908298317858134e+04,3.741139540168416278e-04
3.618574663082102779e+04,3.743342542090188907e-04
3.620241795565992652e+04,3.745547350763176646e-04
3.621909696123219328e+04,3.747753968461039272e-04
3.623578365107646823e+04,3.749962397461473586e-04
3.625247802873301407e+04,3.752172640046214504e-04
3.626918009774365055e+04,3.754384698501029628e-04
3.628588986165203823e+04,3.756598575115770752e-04
3.630260732400327106e+04,3.758814272184325071e-04
3.631933248834413098e+04,3.761031792004659088e-04
3.633606535822305159e+04,3.763251136878824040e-04
3.635280593719000899e+04,3.765472309112946679e-04
3.636955422879684920e+04,3.767695311017290531e-04
3.638631023659682251e+04,3.769920144906188674e-04
3.640307396414491086e+04,3.772146813098112587e-04
3.641984541499770421e+04,3.774375317915650463e-04
3.643662459271338594e+04,3.776605661685528354e-04
3.645341150085197296e+04,3.778837846738636189e-04
3.647020614297493012e+04,3.781071875409997419e-04
3.648700852264541754e+04,3.783307750038810216e-04
3.650381864342823246e+04,3.785545472968438797e-04
3.652063650888975826e+04,3.787785046546428606e-04
3.653746212259823369e+04,3.790026473124543716e-04
3.655429548812331632e+04,3.792269755058721298e-04
3.657113660903638811e+04,3.794514894709118775e-04
3.658798548891047540e+04,3.796761894440117083e-04
3.660484213132016885e+04,3.799010756620314704e-04
3.662170653984195087e+04,3.801261483622583501e-04
3.663857871805369359e+04,3.803514077824010175e-04
3.665545866953502991e+04,3.805768541605954267e-04
3.667234639786721527e+04,3.808024877354045990e-04
3.668924190663308400e+04,3.810283087458176472e-04
3.670614519941735489e+04,3.812543174312561724e-04
3.672305627980617282e+04,3.814805140315685175e-04
3.673997515138739254e+04,3.817068987870341043e-04
3.675690181775055680e+04,3.819334719383650056e-04
3.677383628248674358e+04,3.821602337267043185e-04
3.679077854918894445e+04,3.823871843936321280e-04
3.680772862145156978e+04,3.826143241811600856e-04
3.682468650287075434e+04,3.828416533317365597e-04
3.684165219704429182e+04,3.830691720882461473e-04
3.685862570757157664e+04,3.832968806940109207e-04
3.687560703805385856e+04,3.835247793927936810e-04
3.689259619209384255e+04,3.837528684287943247e-04
3.690959317329595797e+04,3.839811480466541818e-04
3.692659798526630038e+04,3.842096184914564486e-04
3.694361063161253696e+04,3.844382800087254291e-04
3.696063111594425573e+04,3.846671328444327149e-04
3.697765944187244168e+04,3.848961772449907342e-04
3.699469561300984788e+04,3.851254134572594198e-04
3.701173963297087903e+04,3.853548417285446908e-04
3.702879150537153328e+04,3.855844623065994830e-04
3.704585123382969323e+04,3.858142754396281940e-04
3.706291882196470397e+04,3.860442813762822922e-04
3.707999427339762042e+04,3.862744803656645450e-04
3.709707759175120009e+04,3.865048726573298322e-04
3.711416878064976481e+04,3.867354585012845497e-04
3.713126784371955000e+04,3.869662381479921929e-04
3.714837478458823898e+04,3.871972118483682610e-04
3.716548960688523948e+04,3.874283798537844856e-04
3.718261231424165453e+04,3.876597424160703486e-04
3.719974291029017331e+04,3.878912997875118350e-04
3.721688139866539132e+04,3.881230522208570710e-04
3.723402778300333739e+04,3.883549999693111741e-04
3.725118206694181572e+04,3.885871432865421618e-04
3.726834425412028213e+04,3.888194824266792715e-04
3.728551434817981499e+04,3.890520176443144234e-04
3.730269235276336985e+04,3.892847491945069377e-04
3.731987827151538659e+04,3.895176773327784924e-04
3.733707210808202944e+04,3.897508023151181650e-04
3.735427386611117254e+04,3.899841243979827580e-04
3.737148354925226158e+04,3.902176438382962023e-04
3.738870116115667770e+04,3.904513608934557373e-04
3.740592670547724265e+04,3.906852758213261645e-04
3.742316018586854625e+04,3.909193888802448349e-04
3.744040160598685179e+04,3.911537003290224625e-04
3.745765096949003782e+04,3.913882104269424730e-04
3.747490828003790375e+04,3.916229194337668049e-04
3.749217354129168234e+04,3.918578276097301632e-04
3.750944675691439625e+04,3.920929352155457653e-04
3.752672793057074159e+04,3.923282425124054499e-04
3.754401706592702976e+04,3.925637497619792970e-04
3.756131416665149300e+04,3.927994572264212119e-04
3.757861923641381145e+04,3.930353651683633417e-04
3.759593227888544789e+04,3.932714738509225259e-04
3.761325329773955309e+04,3.935077835376990497e-04
3.763058229665089311e+04,3.937442944927771861e-04
3.764791927929615485e+04,3.939810069807308341e-04
3.766526424935348041e+04,3.942179212666179345e-04
3.768261721050280175e+04,3.944550376159860539e-04
3.769997816642573162e+04,3.946923562948722220e-04
3.771734712080550526e+04,3.949298775698030940e-04
3.773472407732729334e+04,3.951676017078006430e-04
3.775210903967772902e+04,3.954055289763766306e-04
3.776950201154521346e+04,3.956436596435376481e-04
3.778690299661985773e+04,3.958819939777863091e-04
3.780431199859338813e+04,3.961205322481198949e-04
3.782172902115947363e+04,3.963592747240369130e-04
3.783915406801323115e+04,3.965982216755314059e-04
3.785658714285158931e+04,3.968373733730983172e-04
3.787402824937315017e+04,3.970767300877337089e-04
3.789147739127816021e+04,3.973162920909349238e-04
3.790893457226879400e+04,3.975560596547057356e-04
3.792639979604871769e+04,3.977960330515519036e-04
3.794387306632335094e+04,3.980362125544852385e-04
3.796135438679983781e+04,3.982765984370249032e-04
3.797884376118695945e+04,3.985171909731973047e-04
3.799634119319542515e+04,3.987579904375412442e-04
3.801384668653742847e+04,3.989989971051029834e-04
3.803136024492694560e+04,3.992402112514409069e-04
3.804888187207966985e+04,3.994816331526274741e-04
3.806641157171292434e+04,3.997232630852470500e-04
3.808394934754598216e+04,3.999651013264034953e-04
3.810149520329958614e+04,4.002071481537132817e-04
3.811904914269628352e+04,4.004494038453118880e-04
3.813661116946033871e+04,4.006918686798542346e-04
3.815418128731763863e+04,4.009345429365134363e-04
3.817175949999602744e+04,4.011774268949881749e-04
3.818934581122484087e+04,4.014205208354957059e-04
3.820694022473520454e+04,4.016638250387787978e-04
3.822454274425995391e+04,4.019073397861050272e-04
3.824215337353358336e+04,4.021510653592671580e-04
3.825977211629253725e+04,4.023950020405889423e-04
3.827739897627473692e+04,4.026391501129196449e-04
3.829503395721990819e+04,4.028835098596391393e-04
3.831267706286950852e+04,4.031280815646595878e-04
3.833032829696663975e+04,4.033728655124237616e-04
3.834798766325634642e+04,4.036178619879118162e-04
3.836565516548517917e+04,4.038630712766356004e-04
3.838333080740149308e+04,4.041084936646443474e-04
3.840101459275536035e+04,4.043541294385250549e-04
3.841870652529851213e+04,4.045999788854020510e-04
3.843640660878464405e+04,4.048460422929439336e-04
3.845411484696892876e+04,4.050923199493562513e-04
3.847183124360837246e+04,4.053388121433893106e-04
3.848955580246169120e+04,4.055855191643366569e-04
3.850728852728926722e+04,4.058324413020367020e-04
3.852502942185344727e+04,4.060795788468771141e-04
3.854277848991806968e+04,4.063269320897902105e-04
3.856053573524879903e+04,4.065745013222589205e-04
3.857830116161301703e+04,4.068222868363161352e-04
3.859607477277977887e+04,4.070702889245456828e-04
3.861385657252009696e+04,4.073185078800874246e-04
3.863164656460650440e+04,4.075669439966328640e-04
3.864944475281333143e+04,4.078155975684297002e-04
3.866725114091665455e+04,4.080644688902829121e-04
3.868506573269422370e+04,4.083135582575548672e-04
3.870288853192573879e+04,4.085628659661704712e-04
3.872071954239243496e+04,4.088123923126127770e-04
3.873855876787734451e+04,4.090621375939278636e-04
3.875640621216524596e+04,4.093121021077255955e-04
3.877426187904260587e+04,4.095622861521803267e-04
3.879212577229783346e+04,4.098126900260349670e-04
3.880999789572088775e+04,4.100633140285978918e-04
3.882787825310351764e+04,4.103141584597467368e-04
3.884576684823923279e+04,4.105652236199301870e-04
3.886366368492322363e+04,4.108165098101677600e-04
3.888156876695265237e+04,4.110680173320548471e-04
3.889948209812619461e+04,4.113197464877582686e-04
3.891740368224435224e+04,4.115716975800219656e-04
3.893533352310938790e+04,4.118238709121671082e-04
3.895327162452522316e+04,4.120762667880922586e-04
3.897121799029779504e+04,4.123288855122799845e-04
3.898917262423452485e+04,4.125817273897901369e-04
3.900713553014468198e+04,4.128347927262666266e-04
3.902510671183929662e+04,4.130880818279382373e-04
3.904308617313107243e+04,4.133415950016179749e-04
3.906107391783469211e+04,4.135953325547087056e-04
3.907906994976638089e+04,4.138492947951989817e-04
3.909707427274419024e+04,4.141034820316684081e-04
3.911508689058793243e+04,4.143578945732875342e-04
3.913310780711908592e+04,4.146125327298183418e-04
3.915113702616115916e+04,4.148673968116208585e-04
3.916917455153915944e+04,4.151224871296470861e-04
3.918722038707993488e+04,4.153778039954469101e-04
3.920527453661211621e+04,4.156333477211690748e-04
3.922333700396599306e+04,4.158891186195604788e-04
