N,trial_temperature,C
1.698099504467369343e+02,3.022990429347591430e+02,1.796271683236881245e+01
2.994923409911981693e+01,2.884413659490472810e+02,5.730859277078680591e+00
8.189555701287720524e+01,2.800764816483167010e+02,6.838569252967294787e+00
1.820818333707970851e+02,3.070696697997370279e+02,2.107614462501404873e+01
9.570310825072631644e+00,2.882067154635532802e+02,1.188348373954489334e+00
1.647185497561188754e+02,2.995803293010018251e+02,1.617872034303726636e+01
8.366142343687370442e+01,2.797212497174285204e+02,6.716581803812107232e+00
1.661309930703424413e+02,2.783535194523071823e+02,5.300383800586846661e+00
2.980957600651099604e+00,2.972477844571225205e+02,2.341125356037747074e-01
7.364418539389585305e+01,3.039252712721482226e+02,2.296925947101412646e+01
1.664737739596233723e+01,2.909783703347700907e+02,3.140891552245091312e+00
1.308703006909910584e+02,2.971207581671374101e+02,1.617694945698231024e+01
5.549597062131188352e+01,2.990880470337532984e+02,1.626974230687119061e+01
1.408277620612974772e+02,3.034863901122803895e+02,2.106051639306327772e+01
1.888164839614760808e+02,2.807275474736634351e+02,5.604717993465496484e+00
2.623660334998830379e+01,2.940360145060378727e+02,6.541405252501136580e+00
1.730908807847540345e+02,2.912688129845092249e+02,1.046580558901343849e+01
1.283336616846735545e+01,2.882077279061036847e+02,1.878258091274321862e+00
7.677333115386699092e+01,2.891208122224096542e+02,1.121607738185603154e+01
8.652503817453674628e+01,2.904634222991213619e+02,1.227401314005952848e+01
9.828105981985939366e+01,2.831609728595591378e+02,8.257595405809849964e+00
1.953160020652728690e+02,3.039109517363309578e+02,1.743710105078299577e+01
1.553625464322638550e+02,2.866636122396081419e+02,8.772353272418909498e+00
6.246261518113293931e+01,2.899916690491567692e+02,1.096117776870238991e+01
5.469752031465922926e+01,2.955443083828080830e+02,1.358677078430090290e+01
1.727609206336742318e+02,2.985873741265144758e+02,1.497792924472581078e+01
1.763801273748002814e+02,2.927159526025054106e+02,1.111756847417391825e+01
1.026305946031854148e+02,2.912790643791211664e+02,1.280264155120624281e+01
6.951485046150271785e+01,2.889992207785007281e+02,1.084002325444791204e+01
1.989885522840226315e+02,2.931236578522871241e+02,1.038970671044960170e+01
6.387276552817233721e+01,2.849989791526899694e+02,8.450797009970555607e+00
3.735976340638593030e+01,2.786077812828707465e+02,4.161183783434581507e+00
1.761395261395098828e+02,3.054547214506141017e+02,2.013807511293767405e+01
1.626547442241395345e+02,2.836558620176573413e+02,7.257700729503122616e+00
1.339099917086988967e+02,2.900157462094749121e+02,1.122584045140445674e+01
1.917243127238124316e+02,2.941567707737468140e+02,1.124810101030768905e+01
1.852172008656693265e+02,2.880765411505368547e+02,8.477250503090132838e+00
1.499014521570490501e+02,2.908376548850922632e+02,1.113286234991378798e+01
1.722795804999878726e+02,2.897667846072722000e+02,9.720181152149953263e+00
5.018220132409938827e+01,2.915924621612730334e+02,1.055533756716664051e+01
2.910806482330529121e+01,3.010583841880872455e+02,1.025487152750204523e+01
1.343423080136722660e+02,2.937117776776309483e+02,1.354339449167858866e+01
1.432090887942957806e+02,3.040868217902463471e+02,2.145597243784112251e+01
3.424353282767216200e+01,2.982244198173736436e+02,1.065653282858416340e+01
7.971589734787032455e+01,2.934808327840056563e+02,1.418146623740618928e+01
1.821408974769948941e+02,2.879800222743249378e+02,8.533563362453859824e+00
1.127187527424943596e+02,2.803200883579127094e+02,6.898303944807128829e+00
1.160888470703282565e+02,2.873864353628626986e+02,1.020542267326113439e+01
3.963182480526792517e+01,2.966545282477610499e+02,1.132829177114391328e+01
1.056784274749571608e+02,2.928286405385009630e+02,1.381797057785071914e+01
1.051635107515890581e+02,2.819460590390712582e+02,7.661341660240300833e+00
1.869819240900812574e+01,2.951261350922957263e+02,4.498693524809517896e+00
1.964065959322145432e+02,2.867701305268191163e+02,7.582497627710169219e+00
1.147077244906991069e+02,2.860577238989257012e+02,9.517983712230289939e+00
2.275367650197723357e+00,2.872648092535821434e+02,8.824309931824747544e-02
1.547571910438523446e+02,2.986103168984096783e+02,1.604446987276948278e+01
1.956748770541889826e+02,2.979201106980431177e+02,1.326351299825805263e+01
1.183841356358691428e+02,2.805343256448348370e+02,6.912890167092364813e+00
6.461664562025033831e+01,2.842369480447729870e+02,8.137575829277597705e+00
3.831403542982919674e+01,2.959633032113018771e+02,1.063185088233064590e+01
1.348328001494570003e+02,2.806109529193070671e+02,6.672809359126632422e+00
3.982637229290420322e+01,3.008730323957228734e+02,1.389291031493451989e+01
1.159598906110539929e+02,3.002794407965779442e+02,1.952243362601249643e+01
1.208455960995455314e+02,2.833755513979139664e+02,8.095100078153679490e+00
1.925221955317518336e+02,3.075904489476201888e+02,2.065916399368505196e+01
1.538078784044547831e+01,3.022742831452327437e+02,4.752197692188649292e+00
1.004945919080650754e+02,2.815008328936622206e+02,7.497499800736994402e+00
1.490753983772470121e+02,3.047311428306325070e+02,2.162515648569375415e+01
3.626812135445710084e+01,2.866888382461581273e+02,6.321336609218820790e+00
7.822527962511932742e+01,2.922114887675587624e+02,1.324111007892577163e+01
1.351620419253929484e+01,2.821749442297428914e+02,1.495712538410461923e+00
1.454502918913795781e+02,2.914095658886608931e+02,1.163718516870489417e+01
1.846580946513786614e+01,3.025931819349049761e+02,6.238489608654609775e+00
7.962324996323555126e+01,2.949670651284969267e+02,1.528044104376787082e+01
1.748310035930256845e+02,2.802248521916496315e+02,5.730070967572147289e+00
9.498776701325228089e+01,2.875979147077240441e+02,1.057504852862581579e+01
1.826117647945362421e+02,2.943080177361058531e+02,1.174295062857370908e+01
1.534175064300356155e+02,2.913933754430793783e+02,1.131639771039644238e+01
1.831494680622413966e+02,2.924904674543680585e+02,1.071042247421861582e+01
2.635319880073236121e+01,3.078037070376240649e+02,1.236194007125850192e+01
1.563901816079577500e+01,2.928299083478287912e+02,3.144420052945797295e+00
1.499492446027439563e+01,3.074395143735206943e+02,5.741710958475327864e+00
1.739020045751165355e+02,2.797538881123465444e+02,5.595742462492164115e+00
1.271799258901412060e+02,3.046015115632032462e+02,2.308724378454400750e+01
9.981776706597175064e+01,2.904923222166924575e+02,1.231616357577773435e+01
3.354513982309957498e+01,3.037696870752481573e+02,1.348438060772124381e+01
1.350729541077274689e+02,3.055953709781950351e+02,2.354740460661273005e+01
6.428546018131380890e+01,2.942166204779242662e+02,1.379045426809085484e+01
1.424650927899230339e+02,2.810822172242696979e+02,6.706746959808302933e+00
9.261071044459762902e+01,2.889950242384252874e+02,1.139901878560103654e+01
1.019865022483609067e+02,2.801391234811434856e+02,6.917075874672170777e+00
1.581434807595142047e+02,3.025394570229261717e+02,1.898237980887773446e+01
1.945634962915276844e+01,3.073778461357715628e+02,8.265210858666506510e+00
1.161729421613770086e+02,2.983876864319573770e+02,1.784882162566949759e+01
4.024975451187783904e+01,2.894436972558672210e+02,8.002768630386141169e+00
1.618192136109000501e+02,3.002927883518163412e+02,1.690451418027105390e+01
9.828036118972272561e+01,3.079074335718273119e+02,2.817659765849248288e+01
1.977503713401961249e+02,2.921493760404151772e+02,9.946988106787967965e+00
3.740572161046802790e+01,2.808808588775143562e+02,4.737770504308273622e+00
1.926408088847291822e+02,2.957598473550918925e+02,1.211433835560659844e+01
1.603824902851131924e+02,3.036839741488572031e+02,1.980927298347874554e+01
9.677083881847845248e+01,2.987582277877566526e+02,1.865585672002541173e+01
1.628932787717474469e+02,3.018032429429481454e+02,1.803789969077859467e+01
1.209669321429821451e+02,2.921236322883530079e+02,1.295635516231979345e+01
1.313690917342846660e+02,3.012399625290908034e+02,1.960581394886397888e+01
1.828244617787703987e+02,2.966154152859991768e+02,1.311904109146675879e+01
1.398881286584698636e+01,2.832637082916748454e+02,1.663971680500956563e+00
1.671626525877217091e+02,3.029598386615790560e+02,1.869225767914190328e+01
7.698114121328151782e+01,2.883590771321617581e+02,1.077454968884287467e+01
6.578357760404017540e+01,2.982395729092316969e+02,1.696722029572349300e+01
1.988113274707868641e+02,2.908705621867258628e+02,9.288823714446889923e+00
1.564569099131992687e+02,3.056121064960445324e+02,2.187388570093817464e+01
9.762149261713796022e+01,2.892562688524263876e+02,1.155187351400318185e+01
8.510305088853147026e+01,2.823911770059795572e+02,7.863307691378261133e+00
1.756282522684874152e+02,2.894599340016716269e+02,9.447672052876880500e+00
1.827615957076393371e+01,2.834473222667886603e+02,2.442095853089508495e+00
1.419753326258593518e+02,3.040800179582060991e+02,2.153967577258168120e+01
1.580417701173240630e+02,2.908093497656859654e+02,1.080518252487456365e+01
1.600400795635068505e+02,2.930311971730802156e+02,1.200612115567441940e+01
6.513505822322652250e+01,3.025983470876233241e+02,2.074061271743296331e+01
1.595311973664648804e+02,3.047850714668462047e+02,2.085929538470822209e+01
4.584035993325736058e+01,2.982460143847058021e+02,1.376608425816194803e+01
7.309928214642924615e+01,2.954086059318374851e+02,1.531123198609569513e+01
8.407217432867157925e+01,2.973559913627333913e+02,1.733459097813960526e+01
1.087405867424027548e+02,3.025865586163323542e+02,2.201178778221860100e+01
2.341011944257088118e+01,2.884126546884263007e+02,4.322351376577026727e+00
8.198261232722191494e+01,3.032661371569662947e+02,2.280236087901583630e+01
1.059837331277658556e+00,3.077346478597053760e+02,5.125101778315179629e-02
1.491317645431324195e+02,2.896640758333651320e+02,1.050371485102899172e+01
1.705233065346171486e+02,3.019267786576537560e+02,1.761540201582729992e+01
2.864740414491931375e+01,3.027096086978683047e+02,1.086170429302814888e+01
1.410533680840927673e+02,2.920786742150184523e+02,1.221500140793936140e+01
1.643995145905331015e+02,3.018419067073237443e+02,1.796633245047700456e+01
1.963838362514869686e+02,2.796494401004970314e+02,5.126775721263845398e+00
1.689143219113766179e+02,2.809977685783073298e+02,6.115399447707438263e+00
8.539719060335855261e+01,2.790924650667184324e+02,6.486152302474171627e+00
1.959580529934216315e+02,3.037856236602003150e+02,1.729651414025230238e+01
1.948228965656186631e+02,2.898659000385055151e+02,8.963483491451665230e+00
1.012317188609152083e+02,3.000183837893578129e+02,1.974258204548423024e+01
1.509358611781971433e+02,2.868764622729862594e+02,9.007878332758526341e+00
1.828536958669594128e+02,3.036934371101549459e+02,1.815617619840464414e+01
9.575326732178186262e+01,2.871912868842484841e+02,1.034290883382361237e+01
1.728934619783198912e+02,2.986673674316492111e+02,1.502642005744976927e+01
1.406121446463126858e+02,3.052110490447826123e+02,2.274127561454666946e+01
5.949092693893696548e+01,2.904933611754138951e+02,1.099938351829662686e+01
1.537628017267112455e+02,3.034332838909649581e+02,2.007796224633809956e+01
1.145662723860403247e+02,2.989313705302608355e+02,1.837794119422483163e+01
1.967518553322794261e+01,2.811295259963982858e+02,2.381174519562573977e+00
7.888470483462816674e+01,2.903598979428447819e+02,1.204500527940246890e+01
1.567446166616337777e+01,3.020489839766908062e+02,4.835123808171521098e+00
9.575722568018211689e+01,3.065860200379385105e+02,2.665562139938605313e+01
8.627938202044182958e+01,2.852372690907127435e+02,9.249453624720713307e+00
8.532375115111902630e+01,2.860363617738244670e+02,9.657184521373908481e+00
1.176737703645660815e+02,2.780473885581017157e+02,5.975840283926014962e+00
2.541544137503861478e+01,2.987806236983017243e+02,7.896700416772308273e+00
1.868200130814117017e+02,2.951621697507184194e+02,1.204256580571058954e+01
1.371260391669315766e+02,3.000329257652168735e+02,1.821605305748459003e+01
1.649324903201615484e+02,2.788175628485437301e+02,5.468567675518440474e+00
1.794634452204882109e+02,2.979321110508766424e+02,1.414978439010441491e+01
1.170806893377717159e+02,2.989966577229522500e+02,1.833609135668802637e+01
9.003425960015539076e+00,3.055715457837858935e+02,2.389805007401772041e+00
1.425858779994338477e+02,2.792489444185719094e+02,6.027571506813893976e+00
1.142361449984082782e+02,2.966763544986158649e+02,1.650299673385656263e+01
1.653654872119094534e+02,3.064441561703458774e+02,2.191825480228288825e+01
1.068999342213944885e+02,2.966557321884818066e+02,1.669611225100434382e+01
1.628355749774742947e+02,2.850388021470778881e+02,7.826294853783684502e+00
1.994050483214258520e+02,2.902640349433560232e+02,8.986247779995654383e+00
7.076040746220974142e+01,3.003745085999957496e+02,1.927639822278879933e+01
3.503326656411414319e+01,3.042386599685841588e+02,1.438005290725279650e+01
7.894328509132665772e+01,2.934835967404411008e+02,1.415719659063390701e+01
1.508569479832696061e+02,2.965501941614980410e+02,1.474912808760889327e+01
8.840655743980298098e+01,3.069917466270749173e+02,2.710698852881414922e+01
1.180876417764137472e+02,2.976250190251593040e+02,1.713637196189863943e+01
2.634433591241253936e+01,2.917947034865810565e+02,5.888443530383252522e+00
1.454985786758620918e+02,2.811392953873551619e+02,6.666545228365025721e+00
5.673639797143339081e+01,3.007994467631312432e+02,1.785833882847261833e+01
3.893289452039962839e+01,3.051918267569525938e+02,1.657019164373539510e+01
1.727270497180557243e+02,2.902756163678512280e+02,9.961637354463489302e+00
1.133181514029982253e+02,2.877092068474236157e+02,1.043964955617717472e+01
9.741528952690381971e+01,2.817567728065492361e+02,7.621122460647033137e+00
1.798659292844484128e+02,2.909964125281603060e+02,1.005959474419969801e+01
1.811647477613951907e+01,3.072872827799496349e+02,7.468888940672452570e+00
1.395347356178376685e+02,2.958911402581474590e+02,1.484145251893567519e+01
6.626847566315589688e+01,2.913026175473152648e+02,1.202869117146929234e+01
3.590654024703113123e+01,2.781009546153197221e+02,3.904226684963879812e+00
1.352849313434884948e+02,2.930040376185118021e+02,1.303317429994813459e+01
7.320156822172428690e+01,2.869572003959823405e+02,9.863217822934933210e+00
6.664927066629323349e+01,2.844940386562496997e+02,8.353842146987471295e+00
1.887918752806083660e+02,2.882404574559913044e+02,8.434350674563386718e+00
4.066036979521774697e+01,3.017852208585530889e+02,1.475420560166163497e+01
1.029225579097092691e+02,2.959010635998606631e+02,1.616954431466106001e+01
5.778626933598504323e+00,2.874247896839675036e+02,4.892454499668144052e-01
3.351025013625427817e+01,3.030960585782149224e+02,1.306676186968636699e+01
1.768003279930788381e+02,2.945346747341306468e+02,1.214431893310284316e+01
1.580602621022825929e+02,2.977130275273690927e+02,1.519410141343462683e+01
1.118102625207440610e+02,2.896922717893283448e+02,1.163537543654708806e+01
4.526822580228069626e+01,3.027630663211365913e+02,1.684045453006123694e+01
1.119917689416399753e+02,2.934800063815765725e+02,1.414419368435227220e+01
3.417158696608898261e+00,2.901777296529431851e+02,2.171049515586886136e-01
1.428857325566462180e+02,2.881564420430948985e+02,9.903076074563873732e+00
1.436333854321819103e+02,2.981437656878207463e+02,1.631802579551378329e+01
1.295629596897046270e+02,3.054308594183078753e+02,2.377782207504189316e+01
1.226563981707650441e+02,3.068665801314573400e+02,2.579676214626229225e+01
1.566957009228296904e+01,2.869063405916200509e+02,2.357716914796172514e+00
5.003478784114413713e+01,2.960995945516802408e+02,1.320486063375110497e+01
1.153012315714884579e+02,2.843786598098760123e+02,8.662528187875516039e+00
7.944316643975061254e+01,3.046704137983462601e+02,2.416340074846262453e+01
1.984126224877075515e+02,3.061138097077230782e+02,1.894683856030253821e+01
1.848253261176610636e+02,2.963198822695326271e+02,1.283371501738881371e+01
3.124957260198486964e+01,3.031657640004589780e+02,1.219189576700591893e+01
1.184021579372566180e+02,2.803954070136973655e+02,6.856819539185978307e+00
1.395468061145878664e+02,2.984424599347906906e+02,1.677561680609468908e+01
2.817213944587633989e+01,3.008805264221986135e+02,9.806407614061326328e+00
6.320653377313308141e+01,3.050977130199067915e+02,2.292896664039629329e+01
1.434676515381733566e+02,3.034805888369885452e+02,2.086798124896014883e+01
1.803205105911444832e+02,2.967492634942912559e+02,1.333318628838322617e+01
6.900678739102092152e+01,2.826608535755083835e+02,7.624426309949008385e+00
4.854979862656483647e+01,3.030656122862777124e+02,1.797725867823348977e+01
1.645366085433126955e+02,2.849763137997808826e+02,7.752761079857795501e+00
1.174115533649099916e+02,2.976023582218895740e+02,1.714368817261858879e+01
9.584109591944832118e+01,2.797279544409827849e+02,6.771269576430203330e+00
5.197385426415057452e+01,2.866462188203581718e+02,8.319307769486599113e+00
1.545901138101587691e+01,2.932484845770761694e+02,3.155253902151583745e+00
4.560392758498077015e+00,3.023951346221018071e+02,6.422039254990741242e-01
1.164140659322548572e+02,2.785969828729296296e+02,6.190197433265772098e+00
3.903094441855488839e+01,2.822843869654690252e+02,5.313105493419286063e+00
1.951310627069372572e+02,3.013624045487104581e+02,1.557679664876555314e+01
2.238796844884330639e+01,2.814246818560293377e+02,2.844395211291206316e+00
9.096566887709457205e+01,2.826993828261218482e+02,8.043896013603129447e+00
7.953729961712103602e+01,3.015211612579624898e+02,2.094291882858152221e+01
4.722998358182066170e+01,2.845448078702478938e+02,6.969598104937023031e+00
1.500023892757830879e+02,2.949285979794145192e+02,1.367061802307425289e+01
1.290972476539817535e+02,2.880056987500159380e+02,1.023193339373275279e+01
1.454257793253221109e+02,2.804115558833836985e+02,6.394377104715923466e+00
1.747890660340244651e+01,3.042441889470080127e+02,6.222426289483139250e+00
7.119593972358461542e+01,2.872209340399653570e+02,9.925854837407856124e+00
1.044467817925121267e+02,2.907211372086285905e+02,1.241225296830145730e+01
8.591750760231796846e+01,3.011927272870034358e+02,2.085120929317259098e+01
9.082894812676300944e+00,3.027642736427991963e+02,2.145091954218450336e+00
3.961146352525784664e+01,2.819932606795534298e+02,5.292853487935818002e+00
1.890599050126206748e+02,2.870676983620480769e+02,7.922031032423915597e+00
3.335137522591032422e+01,3.022211515927706387e+02,1.249701087428506696e+01
1.705584141600922692e+02,2.973951687209649890e+02,1.427949808383717212e+01
1.646052946538235631e+02,2.841239844940027979e+02,7.396921974023509705e+00
7.886745765854348633e+01,3.044295050828026206e+02,2.387182776147455598e+01
9.388992044900842870e+01,2.941925013074999242e+02,1.492526297862404583e+01
