T,B_ext,C,C_noisy
1.325879030141768133e+01,6.516169315780915738e+00,4.556505373538770800e+04,4.626087927552883048e+04
1.809555980043739609e+01,7.403622760390202728e+00,8.471219304201038904e+04,8.494663106950292422e+04
1.710229647307532908e+00,5.143281881420553425e+00,1.483383914548024404e+04,1.566253098594948824e+04
2.053033672743522686e+01,2.378215919804085310e+00,1.014913115300910431e+05,1.011719869982936070e+05
2.765356996938085388e+01,6.710952714747908665e+00,2.340594230129827629e+05,2.326887411097897275e+05
2.497793455714490918e+01,7.627761359070408531e+00,1.836794942574365705e+05,1.835777343000786495e+05
2.668008773458845795e+01,5.575230720300665688e+00,2.067959780529974669e+05,2.063835870114620775e+05
2.015030603509517704e+01,5.788643197664544715e-01,9.594194162436231272e+04,9.665911615975631867e+04
8.121015750052150040e+00,3.287855814255754794e+00,2.023622575812775904e+04,2.041533614287662567e+04
2.328699296799137741e+01,1.991549038466384758e+00,1.375218583284706692e+05,1.360133227884682128e+05
7.138567535617804438e+00,7.514084095087768311e+00,2.839687735713223447e+04,2.729135150803677607e+04
2.510697020526937351e+01,6.488987129008570776e+00,1.803536445541687717e+05,1.811711494130119972e+05
2.818819754552279289e+00,5.594168970417019437e-01,5.341187629601433400e+03,5.969970270712941783e+03
2.493914658841312004e+01,4.875455442574889275e+00,1.707557088952753693e+05,1.701634837818100059e+05
5.770710727748937785e+00,7.881180664937422975e+00,2.839944353975394188e+04,2.839847340292920853e+04
1.187926289840261340e+01,4.190449016158401818e+00,3.489104222038119042e+04,3.530319775762416248e+04
1.018540683015196535e+01,7.115530754133454039e+00,3.336822448042377073e+04,3.380149849108250055e+04
2.104877402305449507e+01,6.498645417700950944e+00,1.163986427644778014e+05,1.172091667958835751e+05
6.178584467056785989e+00,3.772299190927999035e+00,1.796942114247546851e+04,1.820667034765541393e+04
1.249142870429260732e+01,3.536067171137718290e+00,3.707109132899627730e+04,3.698337511545041343e+04
1.168913258131447419e+00,1.293209502015017165e+00,1.636563798548509476e+04,1.612620352555633690e+04
8.612346669752943384e+00,2.835756560906749435e+00,2.084294261232616554e+04,2.181950470281942398e+04
1.321447561263970272e+01,1.530933405263863456e+00,3.933378184823518677e+04,3.725174164378753630e+04
4.071715864512409411e+00,6.765660670814220623e+00,2.609701514610319646e+04,2.596875897039370830e+04
1.936163843506017557e+01,4.827226169545770773e+00,9.205897462393599562e+04,9.208949972012125363e+04
1.203230382670943754e+01,7.489938170787746152e+00,4.120430469167228875e+04,3.988585690286736644e+04
2.203352420421092717e+01,3.282833740200998385e+00,1.216915842251365975e+05,1.219994368172892864e+05
1.996211432098343508e+01,5.613674567028263951e+00,1.005235265651186928e+05,9.992109162860855577e+04
1.350557571454477923e+01,6.665201488234307803e+00,4.723448342751719611e+04,4.803224486410926329e+04
2.615229466362377764e+01,1.030182428482024903e-01,1.836747885315655731e+05,1.835586158538338204e+05
1.933191840750484403e+01,2.582831548320736914e+00,8.837632925351231825e+04,8.899529600124256103e+04
2.449795621108267341e+01,3.489838334026315714e+00,1.591684545282999461e+05,1.602958848630833381e+05
1.091204699426327807e+01,7.428827552196652917e+00,3.647211780672756868e+04,3.682632767073753348e+04
1.676640940038521421e+01,6.963910854347791890e+00,7.120800994359831384e+04,7.039796788593218662e+04
6.692609668327849093e+00,6.760659419902568246e-01,1.317532146342288979e+04,1.177457672909609937e+04
2.988809451344020829e+01,7.643672936128137252e+00,2.970560443291575066e+05,2.986779246378601529e+05
8.053248464883486335e+00,5.015230471345274665e+00,2.363186705714056734e+04,2.352892177844211255e+04
8.449156549585978837e+00,5.754685926033396015e-01,1.825180920477170366e+04,1.761488662820995523e+04
3.122512099338013325e+00,5.520977990621149800e+00,2.437753493385855108e+04,2.451097274031481356e+04
8.476290450905359819e+00,6.842901040258852596e+00,2.856806460831771983e+04,2.839100912762126973e+04
2.313072744377754475e+01,2.070842265651082315e+00,1.353173288706736348e+05,1.361055604650703608e+05
2.123891354980935731e+01,2.581292457886569913e+00,1.103138640755877423e+05,1.103452476443420601e+05
4.731523157197913498e+00,2.221541519755227512e+00,1.225921747911021521e+04,1.227193584395725338e+04
1.191091654141473200e+01,5.620059180427541712e+00,3.720537179386251228e+04,3.654438555190702027e+04
1.320672044390642519e+01,5.746233367808151193e+00,4.394211443118997704e+04,4.437646492253140605e+04
2.028454314449686180e+01,6.194793845131727039e+00,1.058464396973492840e+05,1.048901129791709245e+05
1.422193992826871778e+01,7.368329051286738540e+00,5.293905322196478664e+04,5.355500095374645753e+04
1.800903147794041104e+01,1.454625988711701901e+00,7.443962001397785207e+04,7.584926221349372645e+04
2.535085350465933018e+01,5.665983454043670875e+00,1.812294995892217557e+05,1.798191650039800443e+05
2.206773469905874308e+01,5.165623914506353387e+00,1.263515163130084111e+05,1.240702542740084464e+05
1.158521064174821014e+01,2.100968658536255695e+00,3.132584929616997397e+04,3.189646214468772087e+04
1.400349297099004353e+01,7.802467852207437993e+00,5.245026023280901427e+04,5.480706571213090501e+04
1.166328752101019184e+01,3.815681801348785207e+00,3.341021829300823447e+04,3.248436280780173183e+04
4.182305256194204901e+00,7.590619805537745179e+00,2.647561787734545942e+04,2.531872430045362125e+04
6.894004778534500666e+00,7.774190344829298382e+00,2.877682533185388820e+04,2.932162159560082728e+04
9.230388179379801272e+00,7.200384766709044371e+00,3.092844797304168605e+04,3.015078050223775062e+04
1.010988297246676382e+01,3.675882879840745687e+00,2.690550615195483988e+04,2.643743257931335756e+04
1.007838790577819310e+01,2.238214321180175936e+00,2.508660031111920034e+04,2.476459165443670645e+04
1.772429177133560785e+01,4.686095514842879339e+00,7.536179723981392453e+04,7.585389916963383439e+04
2.917900929297288570e+01,3.596286663621110158e+00,2.533983517820280395e+05,2.530234470977394085e+05
2.346525991278822687e+01,3.745612654756576454e+00,1.432557815071056830e+05,1.435128231341798382e+05
2.394288449701135235e+01,1.952650749615432169e+00,1.474542631564924668e+05,1.472909698920159135e+05
2.301878651564781819e+01,6.738024603218266684e+00,1.456395554868271283e+05,1.448582347159493947e+05
1.831264418518893677e+01,5.845792745898250153e+00,8.319901271019823616e+04,8.290317342178575927e+04
2.761307545795646945e+01,6.922476783038987058e+00,2.344795249886467063e+05,2.336004052983663860e+05
2.099927450796534600e+01,4.252310607348221971e+00,1.100564207179195364e+05,1.100624470798490511e+05
1.551033649136925874e+01,7.413098531286674842e-01,5.372764228659172659e+04,5.268806602609351103e+04
3.235430446515623615e+00,6.898471516205184173e+00,2.370314106328785783e+04,2.269221377168975960e+04
1.516502758548019258e+01,5.540096128688984933e-01,5.124814082118258375e+04,5.259583050033994368e+04
7.172098864869695944e+00,1.236128075840266405e+00,1.487345420775238927e+04,1.482425880396994762e+04
4.848192628856830666e+00,7.552961040199883236e+00,2.743427663848551310e+04,2.738441726492387170e+04
1.567588275335181613e+01,4.492038194077864866e+00,5.802945420123760414e+04,5.850262538966139982e+04
2.376747348531181103e+01,5.399979282931126612e+00,1.527106222777092480e+05,1.523213295503515401e+05
9.555186841360065131e+00,6.567941337502586130e+00,3.040225502653269723e+04,3.019085981161540258e+04
2.329438103736582732e+01,5.316457085480959854e+00,1.449133969384134689e+05,1.453066595185954939e+05
1.624325617170536873e+01,3.551770304701855174e+00,6.116757729719490453e+04,6.142881195127097453e+04
5.322392677750663381e+00,4.343995343566469103e+00,1.954346933900339354e+04,1.847111986659089598e+04
2.898406457541233650e+01,3.187870349378153279e+00,2.473205264615304186e+05,2.480913683634498448e+05
1.264745049276700684e+01,4.617523399764713155e+00,3.923776030897126475e+04,3.869160798642889858e+04
9.561793414218177745e+00,1.765624567977752690e-02,2.204185914837242672e+04,2.106498611933180655e+04
2.556295274837815867e+01,4.066128769653937880e+00,1.793068442035243497e+05,1.784739047637752374e+05
4.609349642948915360e+00,1.905742607659366428e-01,8.072678812803351320e+03,7.711424369274677701e+03
2.227412337113739937e+01,8.773755905918054765e-01,1.222704284934838361e+05,1.237756812290101661e+05
6.446917534398581395e+00,6.770946196861062916e+00,2.632883412893014247e+04,2.524146341687842141e+04
1.238226150436489092e+01,5.275088938443577291e+00,3.888086973371550994e+04,3.902893993430977571e+04
7.725096475402015272e+00,1.457342966629080472e+00,1.660105975894294170e+04,1.462357222770915723e+04
2.539561178807922204e+01,5.977620202014636952e+00,1.834100653099342017e+05,1.834086158967748925e+05
1.231216200625599022e+01,3.806266156702741377e+00,3.648356000432673318e+04,3.731565894049203780e+04
2.926609157358639024e+01,1.078770207785031410e+00,2.490387530402487027e+05,2.488198394673418661e+05
1.913258304803809651e+01,7.437485561144256074e+00,9.585170428985141916e+04,9.526955098525932408e+04
2.111506220638453968e+01,9.024407878832132468e-01,1.073644538836927968e+05,1.075786016179469443e+05
1.612422854184010745e+01,1.579428641463360705e-01,5.820014603953767801e+04,5.884778640935203293e+04
9.960077773192143269e+00,2.052813827652760104e+00,2.447163596373424298e+04,2.508551921692534233e+04
1.247113621052043264e+01,6.948792553938680783e-01,3.500918941776355496e+04,3.683372773264861462e+04
2.828709144219515181e+01,1.337716686525523002e-01,2.264323967021731078e+05,2.266258766140841763e+05
6.834892821015269959e+00,5.225935011713768397e+00,2.250605161458842849e+04,2.195807227231696743e+04
2.965834813538615577e+01,1.055697111930333776e+00,2.582854462427552498e+05,2.581689154920176079e+05
2.299086999811073539e+01,4.511038752495903026e+00,1.379510581009091984e+05,1.378839969462108857e+05
1.143382086828569655e+01,1.940718633368693880e+00,3.051501149532943236e+04,3.061559357504669242e+04
1.960389409566249697e+01,7.525201086140079099e+00,1.015324029705348366e+05,1.015046272432976111e+05
1.204846463949953872e+01,1.726847906358447204e+00,3.329244069895867142e+04,3.345335919243765966e+04
1.206329504655768048e+01,4.165237810732572932e+00,3.572510617929375439e+04,3.417956987322477653e+04
1.561028555564135800e+01,5.879898063773251415e+00,5.974310434333890589e+04,6.051051112767594896e+04
1.484961827425935521e+00,2.489039349035804705e+00,2.144532872423312438e+04,2.091369490048116859e+04
1.531357523835848866e+01,6.653915120423958385e+00,5.899255815715112112e+04,5.790738636293762102e+04
2.917635398995975393e+01,2.511831617051273113e+00,2.497438601306824421e+05,2.503337799533507787e+05
9.278491634781774522e+00,3.102880510192821184e+00,2.326640463988397096e+04,2.448493119671609747e+04
2.269832081322175199e+01,3.443106260221906467e+00,1.312393005750373995e+05,1.316953516133243975e+05
1.384087781204435608e+01,3.351152975454441574e+00,4.436590928071697999e+04,4.451498164602408360e+04
7.069150235915778069e+00,4.863549235283316285e+00,2.177897094274304254e+04,2.091666716027398797e+04
2.724507455372575748e+01,1.809964892798646474e+00,2.061718566676952178e+05,2.088280564551727148e+05
1.487991255726176743e+00,2.633712883543705807e+00,2.155691321995240287e+04,2.237115244406429701e+04
9.801758871385809258e+00,1.831776250540118944e+00,2.369408653614527429e+04,2.264023896607802089e+04
2.997175058739418674e+01,2.215561988135132943e+00,2.681019421690392192e+05,2.673807770965174423e+05
8.602257089509695476e+00,6.102258609312043447e+00,2.714528568423460820e+04,2.722574148916361810e+04
2.562229113391888902e+01,5.034134030574946905e+00,1.837486746397230600e+05,1.823105483426267747e+05
1.856481131101542559e+01,7.702314419392275902e+00,9.039101113468897529e+04,9.054699426117370604e+04
2.437503551828658388e+01,7.601040325016386490e+00,1.723763904512532754e+05,1.719517492622189748e+05
1.927921490786086878e+01,1.640683575262713134e+00,8.701715850239820429e+04,8.815145880769070936e+04
1.151820885467760291e+01,1.679568287689164663e+00,3.073405326677778066e+04,3.162404633063390793e+04
2.306287475292099387e+01,7.261183689806447461e+00,1.484632329640498210e+05,1.459552939344226616e+05
1.768051918215197915e+00,1.111678602067806665e+00,9.348472229130082269e+03,9.387047121205347139e+03
1.395757560029910493e+01,6.089480375973310267e+00,4.888808043201696273e+04,4.739192299495755287e+04
1.178378252623307354e+01,1.534078104455587344e+00,3.190039847314039434e+04,3.292681362244527554e+04
1.483514616348313453e+01,1.144293308664079412e+00,4.915466872857177805e+04,4.931016665751501569e+04
4.700999908386018333e+00,3.513951114295494449e+00,1.692639451650177944e+04,1.743366955977475300e+04
7.452699112441901086e+00,5.472477417425904100e+00,2.377526227464389376e+04,2.279002190050084391e+04
1.729949611289157119e+01,6.753349476899035864e+00,7.548842267783565330e+04,7.717972064798149222e+04
1.224530435402266448e+01,1.665208363058614971e+00,3.423737995812309236e+04,3.610594782273725286e+04
2.395802996211987690e+01,7.976315277172325580e-01,1.466688902306345117e+05,1.456839770162052591e+05
1.854896108904791774e+01,6.341703359520845851e+00,8.670950272188108647e+04,8.705435670960742573e+04
2.597673385882282915e+01,3.608137800869501532e+00,1.856010386513659614e+05,1.849782339051050367e+05
2.223846428244253204e+01,4.876557347392745712e+00,1.279786749004478188e+05,1.279568727088516462e+05
1.845287998499838622e+01,4.673612056051044128e+00,8.232600523130015063e+04,8.115529102551743563e+04
9.340852463683875229e+00,6.086539971649832736e+00,2.882824932133868788e+04,3.055535892232575861e+04
2.370005356985888767e+01,7.916471306951656572e+00,1.620401186310424237e+05,1.611436275832909450e+05
8.286759766961372620e+00,5.184731913067614606e+00,2.446572966050554896e+04,2.419185213163286608e+04
3.181122242617728357e+00,2.921692299988873032e+00,1.688261101345251882e+04,1.734648272472975077e+04
2.892307277485360828e+01,1.399118603765095337e+00,2.415596455066197668e+05,2.409606518790848495e+05
1.666032494779760498e+01,8.230305516487872453e-01,6.252539336138133513e+04,6.230402936387895897e+04
2.344293462894452773e+01,5.532433266792882165e+00,1.479530084924548282e+05,1.474316416345098987e+05
1.634746142128044255e+01,2.040828867023763316e+00,6.061032714235343155e+04,6.048687594412986073e+04
1.873581218078282262e+01,2.220809117310596825e+00,8.193160913334409997e+04,8.084885719587632047e+04
1.982875264978680940e+00,3.546775007586551176e+00,2.237435920842006453e+04,2.196922023848793469e+04
6.417016701260447320e+00,4.220788306677535573e+00,1.942500314086801882e+04,1.923362718550919453e+04
2.056599246760854527e+01,3.329184161257044750e+00,1.031462004196010239e+05,1.028375038660822029e+05
1.754637334062244847e+01,7.645634797893439583e+00,7.993630724081314111e+04,7.998874544908989628e+04
5.598095985614667036e+00,2.384728859835295367e+00,1.356635169621623572e+04,1.329523214331126837e+04
2.860884879305935868e+01,4.816149017427588497e+00,2.453820589192805928e+05,2.460787794720870152e+05
5.476255343874725234e+00,1.299633999375586768e-01,9.965059673297339032e+03,9.666103441945446320e+03
1.579879424242187547e+01,5.101747332835042670e-01,5.578740351465099229e+04,5.566100263807729789e+04
5.176083375558472532e+00,1.591575050144535375e+00,1.106860911314260193e+04,1.045368637734643926e+04
2.180378005708080735e+01,2.250742989896640900e+00,1.171460945529574237e+05,1.166590683258508361e+05
9.013077408759428977e+00,3.730586554599961246e+00,2.341147584090881355e+04,2.224182000940058060e+04
4.889885278531714619e+00,4.593659215433115506e+00,2.068539450246029446e+04,2.116527055427241066e+04
2.333628239444954122e+00,1.327368869256748241e+00,9.273455073996030478e+03,8.216625907667475985e+03
6.070230599031084751e+00,4.629198056911882020e+00,2.041099909047252004e+04,1.972108192214831797e+04
6.562162784983425645e+00,6.545843191739413314e-01,1.282589713589481289e+04,1.315819843900517662e+04
1.657219030758198386e+01,3.138197728078188753e+00,6.333740569501362916e+04,6.370978605851231987e+04
1.408012769897034566e+01,6.384776648053332337e+00,5.016590251926866767e+04,4.979579637458897923e+04
2.876153665035258200e+01,3.799936152817443791e+00,2.444040091085657186e+05,2.425361882338635914e+05
2.867038876913263223e+01,5.328546840807436347e+00,2.495031851971033320e+05,2.498921599878517445e+05
2.409983720358448167e+01,1.788567126353006742e+00,1.497219516107047675e+05,1.499620478101799090e+05
2.047604138544039643e+01,5.660197799174332189e+00,1.067848236065672681e+05,1.054783709822558740e+05
2.550566965548204479e+01,7.874435532994906062e+00,1.953436581163399969e+05,1.960562060429248959e+05
2.822380302591665213e+01,5.207592574612043279e+00,2.384639363758080872e+05,2.378154190604071773e+05
1.655914137723079715e+00,7.844154292923612992e+00,5.645990204089953295e+03,4.604266196648150071e+03
4.425051587374902340e+00,6.670996087265196550e+00,2.623509682069704286e+04,2.632364772833897950e+04
1.144765265582565128e+01,6.145709537891909768e+00,3.609840321449350449e+04,3.593331806544923165e+04
3.714018738235392192e+00,3.833553928891171303e+00,1.972112346970675208e+04,1.990855067062356466e+04
1.838620971854503949e+01,4.592610600087799533e+00,8.152676744888798567e+04,8.004145049493787519e+04
8.550562448095149648e+00,1.977136064908527224e+00,1.957208869176048393e+04,2.124840154931242796e+04
8.665852144837440818e+00,6.996483634561196041e+00,2.926746262957898580e+04,2.871000341112603564e+04
9.361511670788100759e+00,1.073710366592299792e-01,2.130701470493683519e+04,1.988282984457765633e+04
3.833754069947311383e+00,6.379204120435534975e+00,2.561611198094987412e+04,2.618854100537448903e+04
2.248738914390660781e+01,7.520317467702503755e+00,1.405127456684896024e+05,1.401845518481460167e+05
1.986950045838985446e+01,2.654722598540403489e+00,9.426333580669439107e+04,9.456382990603432700e+04
1.858873462859661174e+01,6.399603213415778313e+00,8.725818247235764284e+04,8.694404467402948649e+04
1.987321886055487541e+00,3.434222398356378214e+00,2.235198825258879879e+04,2.229672841914487435e+04
1.345446019452744757e+01,6.855564480192583687e+00,4.729576270888910221e+04,4.752310258934734156e+04
2.087090410709543775e+01,5.032166447197048420e+00,1.101485137285424862e+05,1.094578598108583101e+05
5.534052847204004699e+00,4.461295639025655291e-01,1.021684473868762325e+04,1.084467886485771487e+04
1.218407749506897453e+01,3.005312295200935679e+00,3.497047231008037488e+04,3.453581471843180043e+04
1.575190218628169880e+00,1.539436144519781280e-01,2.651350032602287229e+03,1.846889424244600377e+03
3.373881915240019680e+00,5.994549289436474027e+00,2.485345435923956393e+04,2.492470934942537860e+04
7.277153819972562943e+00,6.966756119284458038e+00,2.725964110117021482e+04,2.767130428377442877e+04
1.302485467309621114e+01,7.968866786049257911e+00,4.710718772849993547e+04,4.689528933750269061e+04
1.443396105233401627e+01,4.210765483233394946e+00,4.904581697591864213e+04,4.824798617287004890e+04
2.665112441692527767e+01,3.130340609198535518e+00,1.972022637849427410e+05,1.977755654337782180e+05
1.018309482304638536e+01,4.196485111242221677e+00,2.794332608534596511e+04,2.631502195263239628e+04
1.622452412038549951e+00,3.547972389223835954e+00,2.060390661729829662e+04,1.965035729146542872e+04
2.496047705636378922e+01,2.345117630488767979e+00,1.646257953692401643e+05,1.646623540429835557e+05
2.793561125833610603e+00,7.282067876869785295e+00,1.980995053858665051e+04,1.855097059515446381e+04
3.696767787204622291e+00,3.153468210251746839e+00,1.673911782797633350e+04,1.676501252240681424e+04
2.893226978545231276e+01,7.165297446528980707e+00,2.679040739291344653e+05,2.678533255449673743e+05
2.284759712572239465e+01,4.532004086440853285e+00,1.358770265244026377e+05,1.367083608290964330e+05
1.079777188059839688e+01,6.775323743065200688e+00,3.475111664202351676e+04,3.390493556659622118e+04
4.833186406956675008e+00,5.324865994935636060e+00,2.307431567550604450e+04,2.249535214113752590e+04
1.221518662198398530e+01,3.753942674084219000e+00,3.594198038969754998e+04,3.625017344804597815e+04
1.083665189062503309e+01,5.730495885779635756e+00,3.292085205194734590e+04,3.064760573100697366e+04
2.635879484183172039e+01,5.803719510973188278e+00,2.013440541590271459e+05,2.042115932855231222e+05
1.314383750210716073e+01,6.955000255326552860e+00,4.574501150064238755e+04,4.509875957496525371e+04
3.379305174453039129e+00,3.686426674269807968e+00,1.994710686379227627e+04,1.927200944002113465e+04
2.787735086839899878e+01,4.236975469355805934e+00,2.262628419924447080e+05,2.270593849400306353e+05
1.904708754774254231e+01,6.113903507991579112e+00,9.143457899384899065e+04,9.139773454052097804e+04
4.384585846649064145e+00,4.118126755667653072e+00,1.959173916247363741e+04,1.794576769017281549e+04
4.282050641346247133e+00,4.962888260589505940e+00,2.266609832473682036e+04,2.324600615132248640e+04
1.451206399376366463e+01,1.883650474165648347e+00,4.737397068967686209e+04,4.816519518612613319e+04
3.670580004984369094e+00,7.808791507000282017e+00,2.457419435104944932e+04,2.415799404808420513e+04
1.932081357387999532e+01,5.087774673741628284e+00,9.213434097009268589e+04,9.187386063867255871e+04
1.887512994175239811e+01,5.204378960625314576e+00,8.761936329734259925e+04,8.806889904980754363e+04
1.930359109926457428e+00,5.961514330265950790e+00,1.458424080579883230e+04,1.374361907462796626e+04
2.441526065019754199e+01,6.301744156975941813e+00,1.670518779456085758e+05,1.674573873674999631e+05
2.381704806724545875e+01,7.671992989875811020e-01,1.444755576980708574e+05,1.446599088202320272e+05
2.754393978984394664e+01,2.960472409458736465e+00,2.148152561619164771e+05,2.141909434923237422e+05
2.043889275541583572e+01,4.789121537172158050e+00,1.043000227678140363e+05,1.030123285345380864e+05
2.109300473772147555e+01,7.953546263312280651e+00,1.219458703952372598e+05,1.217371850017832621e+05
5.748507979141868951e+00,4.131784093403640945e+00,1.881693606321248808e+04,1.800717047432183244e+04
