t,A,R,S_a,dA_dt,dA_dt_noisy
1.080216043208641757e-01,5.512469269305442232e-02,9.944894895566903648e-01,9.944894895566903648e-01,4.939363906077481881e-02,4.517173494501128261e-02
1.120224044808961761e-01,5.532260064741687661e-02,9.942810231918929320e-01,9.942810231918929320e-01,4.954059567372157830e-02,5.167702564870768622e-02
1.160232046409281903e-01,5.552109702513109007e-02,9.940722319133067364e-01,9.940722319133067364e-01,4.968779234007792561e-02,5.186101165030355953e-02
1.200240048009601906e-01,5.572018278652987600e-02,9.938631144323939459e-01,9.938631144323939459e-01,4.983522809166912593e-02,7.101361564217961719e-02
1.240248049609922049e-01,5.591985888855469794e-02,9.936536694616279197e-01,9.936536694616279197e-01,4.998290194985850754e-02,3.886269432293569526e-02
1.280256051210242052e-01,5.612012628475564202e-02,9.934438957144928750e-01,9.934438957144928750e-01,5.013081292554678881e-02,4.635476285427680976e-02
1.320264052810562194e-01,5.632098592125221737e-02,9.932337919077264266e-01,9.932337919077264266e-01,5.027896001608801041e-02,7.070667609101130568e-02
1.360272054410882059e-01,5.652243872797397400e-02,9.930233567663707683e-01,9.930233567663707683e-01,5.042734219864091622e-02,5.689437216065938718e-02
1.400280056011202201e-01,5.672448564550949812e-02,9.928125890089334327e-01,9.928125890089334327e-01,5.057595845068060120e-02,5.720659217444321737e-02
1.440288057611522343e-01,5.692712761151768469e-02,9.926014873547113204e-01,9.926014873547113204e-01,5.072480773958355782e-02,4.558474402270892845e-02
1.480296059211842485e-01,5.713036555887932022e-02,9.923900505248041126e-01,9.923900505248041126e-01,5.087388902122122469e-02,3.439313731266469693e-02
1.520304060812162350e-01,5.733420041569706194e-02,9.921782772421152696e-01,9.921782772421152696e-01,5.102320123996741119e-02,5.269784868219481999e-02
1.560312062412482492e-01,5.753863310529548636e-02,9.919661662313513650e-01,9.919661662313513650e-01,5.117274332870595105e-02,5.226288420692142694e-02
1.600320064012802634e-01,5.774366454622103378e-02,9.917537162190224187e-01,9.917537162190224187e-01,5.132251420883850862e-02,3.904899366639276448e-02
1.640328065613122499e-01,5.794929565224203605e-02,9.915409259334417857e-01,9.915409259334417857e-01,5.147251279029270432e-02,4.464024617248708166e-02
1.680336067213442641e-01,5.815552733234872346e-02,9.913277941047261566e-01,9.913277941047261566e-01,5.162273797153034416e-02,5.090230117425807027e-02
1.720344068813762783e-01,5.836236049075321092e-02,9.911143194647955568e-01,9.911143194647955568e-01,5.177318863955599620e-02,4.232567240894822419e-02
1.760352070414082926e-01,5.856979602688949099e-02,9.909005007473734583e-01,9.909005007473734583e-01,5.192386366992562258e-02,5.094116399140345003e-02
1.800360072014402790e-01,5.877783483541346166e-02,9.906863366879866684e-01,9.906863366879866684e-01,5.207476192675562082e-02,5.302959220145016250e-02
1.840368073614722932e-01,5.898647780620290548e-02,9.904718260239651073e-01,9.904718260239651073e-01,5.222588226273190692e-02,5.258174463328676301e-02
1.880376075215043075e-01,5.919572582435748270e-02,9.902569674944423639e-01,9.902569674944423639e-01,5.237722351911937996e-02,4.731430693597623444e-02
1.920384076815362939e-01,5.940557977019875896e-02,9.900417598403551400e-01,9.900417598403551400e-01,5.252878452577149776e-02,5.846626524362972394e-02
1.960392078415683081e-01,5.961604051927017062e-02,9.898262018044438060e-01,9.898262018044438060e-01,5.268056410114010241e-02,6.159223364396338579e-02
2.000400080016003224e-01,5.982710894233706639e-02,9.896102921312516232e-01,9.896102921312516232e-01,5.283256105228549548e-02,5.604104409795113151e-02
2.040408081616323366e-01,6.003878590538665183e-02,9.893940295671256324e-01,9.893940295671256324e-01,5.298477417488674929e-02,4.480247190098367999e-02
2.080416083216643230e-01,6.025107226962805179e-02,9.891774128602158767e-01,9.891774128602158767e-01,5.313720225325217761e-02,6.045372509110658737e-02
2.120424084816963373e-01,6.046396889149226184e-02,9.889604407604760672e-01,9.889604407604760672e-01,5.328984406033008409e-02,4.827544387565955997e-02
2.160432086417283515e-01,6.067747662263217601e-02,9.887431120196630285e-01,9.887431120196630285e-01,5.344269835771978117e-02,6.223430454059963868e-02
2.200440088017603657e-01,6.089159630992256600e-02,9.885254253913371425e-01,9.885254253913371425e-01,5.359576389568267846e-02,4.287788972690823736e-02
2.240448089617923522e-01,6.110632879546009505e-02,9.883073796308619041e-01,9.883073796308619041e-01,5.374903941315382211e-02,6.289371144444164119e-02
2.280456091218243664e-01,6.132167491656333180e-02,9.880889734954042547e-01,9.880889734954042547e-01,5.390252363775348277e-02,5.370188909159867574e-02
2.320464092818563806e-01,6.153763550577270869e-02,9.878702057439346929e-01,9.878702057439346929e-01,5.405621528579905577e-02,4.156872638245490137e-02
2.360472094418883671e-01,6.175421139085056355e-02,9.876510751372267194e-01,9.876510751372267194e-01,5.421011306231716953e-02,5.107111834264869282e-02
2.400480096019203813e-01,6.197140339478111881e-02,9.874315804378573924e-01,9.874315804378573924e-01,5.436421566105601594e-02,5.490523844877145260e-02
2.440488097619523955e-01,6.218921233577048152e-02,9.872117204102071053e-01,9.872117204102071053e-01,5.451852176449797915e-02,5.724643515614251388e-02
2.480496099219844097e-01,6.240763902724665718e-02,9.869914938204595867e-01,9.869914938204595867e-01,5.467303004387239623e-02,4.485114879446262109e-02
2.520504100820163962e-01,6.262668427785951508e-02,9.867708994366017894e-01,9.867708994366017894e-01,5.482773915916859531e-02,4.375400868751666561e-02
2.560512102420484104e-01,6.284634889148085768e-02,9.865499360284243346e-01,9.865499360284243346e-01,5.498264775914925989e-02,5.697849308762006904e-02
2.600520104020804246e-01,6.306663366720433039e-02,9.863286023675208458e-01,9.863286023675208458e-01,5.513775448136380014e-02,5.047025831256578277e-02
2.640528105621124388e-01,6.328753939934549100e-02,9.861068972272886146e-01,9.861068972272886146e-01,5.529305795216223757e-02,5.764811406946449002e-02
2.680536107221444531e-01,6.350906686392904232e-02,9.858848193914736546e-01,9.858848193914736546e-01,5.544855677693009272e-02,6.304375200171388749e-02
2.720544108821764118e-01,6.373121682712225289e-02,9.856623676490734454e-01,9.856623676490734454e-01,5.560424954628451211e-02,3.911637588277502853e-02
2.760552110422084260e-01,6.395399006623719851e-02,9.854395407809591889e-01,9.854395407809591889e-01,5.576013485126437436e-02,5.830401601644054355e-02
2.800560112022404402e-01,6.417738735228049884e-02,9.852163375707666537e-01,9.852163375707666537e-01,5.591621127067832042e-02,6.816268094603564198e-02
2.840568113622724544e-01,6.440140944987600424e-02,9.849927568049453575e-01,9.849927568049453575e-01,5.607247737107251551e-02,5.309720892736778664e-02
2.880576115223044686e-01,6.462605711726472635e-02,9.847687972727583450e-01,9.847687972727583450e-01,5.622893170675465069e-02,4.812078587437895044e-02
2.920584116823364829e-01,6.485133110630485198e-02,9.845444577662817442e-01,9.845444577662817442e-01,5.638557281981831232e-02,6.390801109161424465e-02
2.960592118423684971e-01,6.507723216247178477e-02,9.843197370804055435e-01,9.843197370804055435e-01,5.654239924016775387e-02,5.907686440224917124e-02
3.000600120024004558e-01,6.530376102485807577e-02,9.840946340128330361e-01,9.840946340128330361e-01,5.669940948554274412e-02,6.565824019331834016e-02
3.040608121624324700e-01,6.553091842617350671e-02,9.838691473640811536e-01,9.838691473640811536e-01,5.685660206154401208e-02,5.340444496103121524e-02
3.080616123224644842e-01,6.575870509274502063e-02,9.836432759374800217e-01,9.836432759374800217e-01,5.701397546165863639e-02,4.219579272443652052e-02
3.120624124824964984e-01,6.598712174451672186e-02,9.834170185391735153e-01,9.834170185391735153e-01,5.717152816728602455e-02,5.607142052017351219e-02
3.160632126425285127e-01,6.621616909504994541e-02,9.831903739781189255e-01,9.831903739781189255e-01,5.732925864776407254e-02,5.287097711765174901e-02
3.200640128025605269e-01,6.644584785152318762e-02,9.829633410660868487e-01,9.829633410660868487e-01,5.748716536039561592e-02,6.524040358087135338e-02
3.240648129625925411e-01,6.667615871473211997e-02,9.827359186176615191e-01,9.827359186176615191e-01,5.764524675047523472e-02,5.958157523424677249e-02
3.280656131226244998e-01,6.690710237908963076e-02,9.825081054502406985e-01,9.825081054502406985e-01,5.780350125131628741e-02,4.149500892696527526e-02
3.320664132826565140e-01,6.713867953262576960e-02,9.822799003840355647e-01,9.822799003840355647e-01,5.796192728427831953e-02,4.601029648324632404e-02
3.360672134426885282e-01,6.737089085698777513e-02,9.820513022420704896e-01,9.820513022420704896e-01,5.812052325879472209e-02,6.695841362466727065e-02
3.400680136027205425e-01,6.760373702744008895e-02,9.818223098501839274e-01,9.818223098501839274e-01,5.827928757240075086e-02,6.507693774657921648e-02
3.440688137627525567e-01,6.783721871286431393e-02,9.815929220370271935e-01,9.815929220370271935e-01,5.843821861076169133e-02,5.203578495167680146e-02
3.480696139227845709e-01,6.807133657575924202e-02,9.813631376340655743e-01,9.813631376340655743e-01,5.859731474770159265e-02,5.858682678202878358e-02
3.520704140828165851e-01,6.830609127224086807e-02,9.811329554755774396e-01,9.811329554755774396e-01,5.875657434523204325e-02,6.321230988299390841e-02
3.560712142428485438e-01,6.854148345204234827e-02,9.809023743986549082e-01,9.809023743986549082e-01,5.891599575358141827e-02,6.360003911205419636e-02
3.600720144028805580e-01,6.877751375851405558e-02,9.806713932432034042e-01,9.806713932432034042e-01,5.907557731122432820e-02,6.783799927236783267e-02
3.640728145629125723e-01,6.901418282862352427e-02,9.804400108519419899e-01,9.804400108519419899e-01,5.923531734491144923e-02,6.180017361712707158e-02
3.680736147229445865e-01,6.925149129295547767e-02,9.802082260704030325e-01,9.802082260704030325e-01,5.939521416969956169e-02,5.844693078001458181e-02
3.720744148829766007e-01,6.948943977571182817e-02,9.799760377469325379e-01,9.799760377469325379e-01,5.955526608898206731e-02,5.696678544110361092e-02
3.760752150430086149e-01,6.972802889471169108e-02,9.797434447326898166e-01,9.797434447326898166e-01,5.971547139451953423e-02,7.027289939985204015e-02
3.800760152030406291e-01,6.996725926139131524e-02,9.795104458816478177e-01,9.795104458816478177e-01,5.987582836647083184e-02,3.736728561568545409e-02
3.840768153630725879e-01,7.020713148080419408e-02,9.792770400505929063e-01,9.792770400505929063e-01,6.003633527342440435e-02,5.864978202251103223e-02
3.880776155231046021e-01,7.044764615162096844e-02,9.790432260991248636e-01,9.790432260991248636e-01,6.019699037242980805e-02,6.052699141227040752e-02
3.920784156831366163e-01,7.068880386612949596e-02,9.788090028896571093e-01,9.788090028896571093e-01,6.035779190902981761e-02,4.610430230032794285e-02
3.960792158431686305e-01,7.093060521023478171e-02,9.785743692874163679e-01,9.785743692874163679e-01,6.051873811729241437e-02,6.384687424867288574e-02
4.000800160032006447e-01,7.117305076345904757e-02,9.783393241604428914e-01,9.783393241604428914e-01,6.067982721984347544e-02,5.416701709540953924e-02
4.040808161632326589e-01,7.141614109827337797e-02,9.781038663800619704e-01,9.781038663800619704e-01,6.084105742744486817e-02,6.946550539060233898e-02
4.080816163232646732e-01,7.165987675832620474e-02,9.778679948362992702e-01,9.778679948362992702e-01,6.100242692424849567e-02,5.974650608390522089e-02
4.120824164832966874e-01,7.190425829122927548e-02,9.776317084148451464e-01,9.776317084148451464e-01,6.116393389019827986e-02,6.785546629809280361e-02
4.160832166433286461e-01,7.214928624776895116e-02,9.773950059974829685e-01,9.773950059974829685e-01,6.132557650046056158e-02,7.351401255217279718e-02
4.200840168033606603e-01,7.239496117066844538e-02,9.771578864699916878e-01,9.771578864699916878e-01,6.148735291780726975e-02,6.531664874494198803e-02
4.240848169633926745e-01,7.264128359458781048e-02,9.769203487221460591e-01,9.769203487221460591e-01,6.164926129266046911e-02,5.289204985843201645e-02
4.280856171234246887e-01,7.288825404612396530e-02,9.766823916477168632e-01,9.766823916477168632e-01,6.181129976313713692e-02,4.666811344609075179e-02
4.320864172834567030e-01,7.313587304381061194e-02,9.764440141444705734e-01,9.764440141444705734e-01,6.197346645509443919e-02,7.950730763025816439e-02
4.360872174434887172e-01,7.338414109811834674e-02,9.762052151141694667e-01,9.762052151141694667e-01,6.213575948217528455e-02,6.102283755030009360e-02
4.400880176035207314e-01,7.363305871145459092e-02,9.759659934625717348e-01,9.759659934625717348e-01,6.229817694585424587e-02,5.541252746951103036e-02
4.440888177635526901e-01,7.388262637816360445e-02,9.757263480994313731e-01,9.757263480994313731e-01,6.246071693548389120e-02,6.390328781609214137e-02
4.480896179235847043e-01,7.413284458452649994e-02,9.754862779384981808e-01,9.754862779384981808e-01,6.262337752834143401e-02,6.070926422351494156e-02
4.520904180836167185e-01,7.438371380876120098e-02,9.752457818975178716e-01,9.752457818975178716e-01,6.278615678967576497e-02,7.130757943180264513e-02
4.560912182436487328e-01,7.463523452102249767e-02,9.750048588982318520e-01,9.750048588982318520e-01,6.294905277275480993e-02,6.328833459712580878e-02
4.600920184036807470e-01,7.488740718340204661e-02,9.747635078663774433e-01,9.747635078663774433e-01,6.311206351891342214e-02,6.324955935509761484e-02
4.640928185637127612e-01,7.514023224992827377e-02,9.745217277316877702e-01,9.745217277316877702e-01,6.327518705760126760e-02,5.612938984727162961e-02
4.680936187237447754e-01,7.539371016656652713e-02,9.742795174278918724e-01,9.742795174278918724e-01,6.343842140643153604e-02,6.813410239390646495e-02
4.720944188837767341e-01,7.564784137121892404e-02,9.740368758927144821e-01,9.740368758927144821e-01,6.360176457122959648e-02,5.326309734767976922e-02
4.760952190438087483e-01,7.590262629372448999e-02,9.737938020678762463e-01,9.737938020678762463e-01,6.376521454608237438e-02,7.042410894372204411e-02
4.800960192038407626e-01,7.615806535585904757e-02,9.735502948990936156e-01,9.735502948990936156e-01,6.392876931338771496e-02,7.916814444328904021e-02
4.840968193638727768e-01,7.641415897133527202e-02,9.733063533360788444e-01,9.733063533360788444e-01,6.409242684390444034e-02,4.884556646291292326e-02
4.880976195239047910e-01,7.667090754580267731e-02,9.730619763325401017e-01,9.730619763325401017e-01,6.425618509680261492e-02,3.959389278328943884e-02
4.920984196839368052e-01,7.692831147684763005e-02,9.728171628461813603e-01,9.728171628461813603e-01,6.442004201971406052e-02,7.058882957125725555e-02
4.960992198439688194e-01,7.718637115399332171e-02,9.725719118387022855e-01,9.725719118387022855e-01,6.458399554878350990e-02,9.006297370361476817e-02
5.001000200040007782e-01,7.744508695869981030e-02,9.723262222757985684e-01,9.723262222757985684e-01,6.474804360871988518e-02,5.473879512000094649e-02
5.041008201640327924e-01,7.770445926436396478e-02,9.720800931271615930e-01,9.720800931271615930e-01,6.491218411284793710e-02,5.240522652482805521e-02
5.081016203240648066e-01,7.796448843631950676e-02,9.718335233664786577e-01,9.718335233664786577e-01,6.507641496316042551e-02,7.096610430096515765e-02
5.121024204840968208e-01,7.822517483183702436e-02,9.715865119714327536e-01,9.715865119714327536e-01,6.524073405037046636e-02,5.683351814978739036e-02
5.161032206441288350e-01,7.848651880012391668e-02,9.713390579237030087e-01,9.713390579237030087e-01,6.540513925396428119e-02,6.034488441459691377e-02
5.201040208041608492e-01,7.874852068232443547e-02,9.710911602089640215e-01,9.710911602089640215e-01,6.556962844225436293e-02,6.208845377541658689e-02
5.241048209641928635e-01,7.901118081151965733e-02,9.708428178168864164e-01,9.708428178168864164e-01,6.573419947243290540e-02,7.105422033535088722e-02
5.281056211242248777e-01,7.927449951272752537e-02,9.705940297411366213e-01,9.705940297411366213e-01,6.589885019062567684e-02,6.184582657669449035e-02
5.321064212842568919e-01,7.953847710290280759e-02,9.703447949793767568e-01,9.703447949793767568e-01,6.606357843194612944e-02,6.884240683274772676e-02
5.361072214442889061e-01,7.980311389093713847e-02,9.700951125332650804e-01,9.700951125332650804e-01,6.622838202055003620e-02,6.446304943161428047e-02
5.401080216043209203e-01,8.006841017765894963e-02,9.698449814084554310e-01,9.698449814084554310e-01,6.639325876969021101e-02,5.794654773317417518e-02
5.441088217643528235e-01,8.033436625583355306e-02,9.695944006145974514e-01,9.695944006145974514e-01,6.655820648177182552e-02,6.335994390433961898e-02
5.481096219243848378e-01,8.060098240936562630e-02,9.693433691659870677e-01,9.693433691659870677e-01,6.672322294790732078e-02,5.721922629622813727e-02
5.521104220844168520e-01,8.086825889028430303e-02,9.690918861003232632e-01,9.690918861003232632e-01,6.688830593355807319e-02,6.695345579225556176e-02
5.561112222444488662e-01,8.113619595403440132e-02,9.688399504499137782e-01,9.688399504499137782e-01,6.705345320080813298e-02,5.581479092515176377e-02
5.601120224044808804e-01,8.140479385777603383e-02,9.685875612430776549e-01,9.685875612430776549e-01,6.721866250728689152e-02,5.628971881433446345e-02
5.641128225645128946e-01,8.167405284896771256e-02,9.683347175134572327e-01,9.683347175134572327e-01,6.738393159905470275e-02,8.195354975210725201e-02
5.681136227245449088e-01,8.194397316536640441e-02,9.680814183000183704e-01,9.680814183000183704e-01,6.754925821067095382e-02,6.701741600761754181e-02
5.721144228845769231e-01,8.221455503502755890e-02,9.678276626470502242e-01,9.678276626470502242e-01,6.771464006526257962e-02,6.717561981054215314e-02
5.761152230446089373e-01,8.248579867630503881e-02,9.675734496041655808e-01,9.675734496041655808e-01,6.788007487459296607e-02,7.299543907376915275e-02
5.801160232046409515e-01,8.275770429785118953e-02,9.673187782263006351e-01,9.673187782263006351e-01,6.804556033913117252e-02,6.383699031364245546e-02
5.841168233646729657e-01,8.303027209861676972e-02,9.670636475737149906e-01,9.670636475737149906e-01,6.821109414812161209e-02,6.592574047334003040e-02
5.881176235247049799e-01,8.330350226785102064e-02,9.668080567119915480e-01,9.668080567119915480e-01,6.837667397965409288e-02,7.262816133297318733e-02
5.921184236847369942e-01,8.357739498510161069e-02,9.665520047120370606e-01,9.665520047120370606e-01,6.854229750073434491e-02,7.136645592317836240e-02
5.961192238447690084e-01,8.385195042021467704e-02,9.662954906500814678e-01,9.662954906500814678e-01,6.870796236735474127e-02,5.711499509803044661e-02
6.001200240048009116e-01,8.412716873333479783e-02,9.660385136076781176e-01,9.660385136076781176e-01,6.887366622456567167e-02,7.720709219126228873e-02
6.041208241648329258e-01,8.440305007490500611e-02,9.657810726717038774e-01,9.657810726717038774e-01,6.903940670654699907e-02,6.313505727365656406e-02
6.081216243248649400e-01,8.467959458566676201e-02,9.655231669343591339e-01,9.655231669343591339e-01,6.920518143668018263e-02,5.864439193353832014e-02
6.121224244848969542e-01,8.495680239666000833e-02,9.652647954931676821e-01,9.652647954931676821e-01,6.937098802762062255e-02,6.036623732763010675e-02
6.161232246449289685e-01,8.523467362922312884e-02,9.650059574509766147e-01,9.650059574509766147e-01,6.953682408137040749e-02,6.563137063781718239e-02
6.201240248049609827e-01,8.551320839499293447e-02,9.647466519159568765e-01,9.647466519159568765e-01,6.970268718935146435e-02,8.597568973558214478e-02
6.241248249649929969e-01,8.579240679590471874e-02,9.644868780016023768e-01,9.644868780016023768e-01,6.986857493247913831e-02,5.811321588327133386e-02
6.281256251250250111e-01,8.607226892419220232e-02,9.642266348267307663e-01,9.642266348267307663e-01,7.003448488123600879e-02,7.163524380657941559e-02
6.321264252850570253e-01,8.635279486238757463e-02,9.639659215154832150e-01,9.639659215154832150e-01,7.020041459574621889e-02,4.882217101484044586e-02
6.361272254450890395e-01,8.663398468332145219e-02,9.637047371973239684e-01,9.637047371973239684e-01,7.036636162585009624e-02,7.035069229439812333e-02
6.401280256051210538e-01,8.691583845012290643e-02,9.634430810070412354e-01,9.634430810070412354e-01,7.053232351117917631e-02,7.952798768593924428e-02
6.441288257651530680e-01,8.719835621621947752e-02,9.631809520847463002e-01,9.631809520847463002e-01,7.069829778123162822e-02,6.833166456061708083e-02
6.481296259251850822e-01,8.748153802533716050e-02,9.629183495758739664e-01,9.629183495758739664e-01,7.086428195544797193e-02,6.457073271661455116e-02
6.521304260852170964e-01,8.776538391150034979e-02,9.626552726311825570e-01,9.626552726311825570e-01,7.103027354328710075e-02,7.334538418387247238e-02
6.561312262452489996e-01,8.804989389903193631e-02,9.623917204067538034e-01,9.623917204067538034e-01,7.119627004430298389e-02,7.819778755580948648e-02
6.601320264052810138e-01,8.833506800255325198e-02,9.621276920639930674e-01,9.621276920639930674e-01,7.136226894822135514e-02,7.799884465839541925e-02
6.641328265653130281e-01,8.862090622698408360e-02,9.618631867696287863e-01,9.618631867696287863e-01,7.152826773501687330e-02,9.125300627431479072e-02
6.681336267253450423e-01,8.890740856754265897e-02,9.615982036957132495e-01,9.615982036957132495e-01,7.169426387499081010e-02,7.378593859835358426e-02
6.721344268853770565e-01,8.919457500974563302e-02,9.613327420196219331e-01,9.613327420196219331e-01,7.186025482884887683e-02,6.593615383131955221e-02
6.761352270454090707e-01,8.948240552940815717e-02,9.610668009240539433e-01,9.610668009240539433e-01,7.202623804777949501e-02,7.076644614791306742e-02
6.801360272054410849e-01,8.977090009264380999e-02,9.608003795970315730e-01,9.608003795970315730e-01,7.219221097353242800e-02,7.146722551733430961e-02
6.841368273654730991e-01,9.006005865586459713e-02,9.605334772319008563e-01,9.605334772319008563e-01,7.235817103849770393e-02,7.344554487327889514e-02
6.881376275255051134e-01,9.034988116578102080e-02,9.602660930273311246e-01,9.602660930273311246e-01,7.252411566578501056e-02,7.222383753349066737e-02
6.921384276855371276e-01,9.064036755940201029e-02,9.599982261873152289e-01,9.599982261873152289e-01,7.269004226930324275e-02,7.442970165826527651e-02
6.961392278455691418e-01,9.093151776403492204e-02,9.597298759211694286e-01,9.597298759211694286e-01,7.285594825384049400e-02,5.614744764768936358e-02
7.001400280056011560e-01,9.122333168932032776e-02,9.594610414515285512e-01,9.594610414515285512e-01,7.302183101067792614e-02,8.131812057107835889e-02
7.041408281656331702e-01,9.151580921726110152e-02,9.591917220240805397e-01,9.591917220240805397e-01,7.318768791212743041e-02,6.744029522291711265e-02
7.081416283256651845e-01,9.180895024157957607e-02,9.589219168680260807e-01,9.589219168680260807e-01,7.335351633369495417e-02,6.162192936922470526e-02
7.121424284856970877e-01,9.210275464667792844e-02,9.586516252174819286e-01,9.586516252174819286e-01,7.351931364232483501e-02,7.989682523873918585e-02
7.161432286457291019e-01,9.239722230583301277e-02,9.583808463133023370e-01,9.583808463133023370e-01,7.368507719547774670e-02,8.685833726933855914e-02
7.201440288057611161e-01,9.269235308119620764e-02,9.581095794030797252e-01,9.581095794030797252e-01,7.385080434122294479e-02,7.878108583621737382e-02
7.241448289657931303e-01,9.298814682379356877e-02,9.578378237411444562e-01,9.578378237411444562e-01,7.401649241833115067e-02,7.562808555678635081e-02
7.281456291258251445e-01,9.328460337352573184e-02,9.575655785885643922e-01,9.575655785885643922e-01,7.418213875636746335e-02,6.485993570264794728e-02
7.321464292858571588e-01,9.358172255916795412e-02,9.572928432131458942e-01,9.572928432131458942e-01,7.434774067578497903e-02,1.030634140539199717e-01
7.361472294458891730e-01,9.387950419837007288e-02,9.570196168894326005e-01,9.570196168894326005e-01,7.451329548801849390e-02,8.331588169463358118e-02
7.401480296059211872e-01,9.417794809765658859e-02,9.567458988987063151e-01,9.567458988987063151e-01,7.467880049557873434e-02,6.328585379214897444e-02
7.441488297659532014e-01,9.447705405242655397e-02,9.564716885289868964e-01,9.564716885289868964e-01,7.484425299214690630e-02,6.704787382974945753e-02
7.481496299259852156e-01,9.477682184695365719e-02,9.561969850750317024e-01,9.561969850750317024e-01,7.500965026266953606e-02,7.587944274838857861e-02
7.521504300860172298e-01,9.507725125438620806e-02,9.559217878383363676e-01,9.559217878383363676e-01,7.517498958345376903e-02,5.962767826349391065e-02
7.561512302460492441e-01,9.537834203674711020e-02,9.556460961271341370e-01,9.556460961271341370e-01,7.534026822226298770e-02,7.702657229236813119e-02
7.601520304060812583e-01,9.568009394493387498e-02,9.553699092563963102e-01,9.553699092563963102e-01,7.550548343841262389e-02,7.091476788128503461e-02
7.641528305661132725e-01,9.598250671871863537e-02,9.550932265478319083e-01,9.550932265478319083e-01,7.567063248286655386e-02,8.793333848602873093e-02
7.681536307261451757e-01,9.628558008674811819e-02,9.548160473298881179e-01,9.548160473298881179e-01,7.583571259833372935e-02,8.545725923461619522e-02
