t,E,A,G,dE_dt,dE_dt_noisy
3.660732146429285794e-01,9.369143953755937559e+00,9.926305750498649605e-01,3.751685722126754923e-03,-1.470056254406099994e+00,-1.456416687447877223e+00
3.720744148829765452e-01,9.360344599313249248e+00,1.007285748124076674e+00,3.871705203830813798e-03,-1.462480769113889245e+00,-1.511590175360938204e+00
3.780756151230245665e-01,9.351590610112278767e+00,1.021893072495072996e+00,3.993498047773560988e-03,-1.454937511055664157e+00,-1.510306163413923874e+00
3.840768153630725879e-01,9.342881793180522365e+00,1.036452739610802309e+00,4.117059539192001981e-03,-1.447426322341273774e+00,-1.437447095698919819e+00
3.900780156031206092e-01,9.334217956497349533e+00,1.050964940057646402e+00,4.242385004937948047e-03,-1.439947045989286467e+00,-1.463284526833276589e+00
3.960792158431686305e-01,9.325598908993987024e+00,1.065429863560420243e+00,4.369469813478021013e-03,-1.432499525924044725e+00,-1.420724245337533498e+00
4.020804160832165963e-01,9.317024460553534837e+00,1.079847698982371762e+00,4.498309374893646323e-03,-1.425083606972750161e+00,-1.387107630848831263e+00
4.080816163232646177e-01,9.308494422010955560e+00,1.094218634325182293e+00,4.628899140881062579e-03,-1.417699134862554500e+00,-1.500138503180102001e+00
4.140828165633126390e-01,9.300008605153074370e+00,1.108542856728966131e+00,4.761234604751310266e-03,-1.410345956217675223e+00,-1.397626550391794398e+00
4.200840168033606603e-01,9.291566822627771671e+00,1.122820552543479566e+00,4.895311296309471163e-03,-1.403023918506349110e+00,-1.341791570129562405e+00
4.260852170434086261e-01,9.283168887780719913e+00,1.137051907445107757e+00,5.031124771593034790e-03,-1.395732869951769706e+00,-1.410609212170293336e+00
4.320864172834566475e-01,9.274814615223410996e+00,1.151237105988693221e+00,5.168670644630092570e-03,-1.388472659844095736e+00,-1.429013389005974188e+00
4.380876175235046688e-01,9.266503820467994146e+00,1.165376331907484131e+00,5.307944568153955510e-03,-1.381243138331017750e+00,-1.343630946972038220e+00
4.440888177635526901e-01,9.258236319884256105e+00,1.179469768147559217e+00,5.448942231243482717e-03,-1.374044156391060589e+00,-1.361371830580653475e+00
4.500900180036007114e-01,9.250011930699624685e+00,1.193517596867829100e+00,5.591659359323074459e-03,-1.366875565830929951e+00,-1.322081412292051894e+00
4.560912182436486773e-01,9.241830470999156333e+00,1.207519999440036518e+00,5.736091714162675631e-03,-1.359737219282864951e+00,-1.376998004785428886e+00
4.620924184836966986e-01,9.233691759725553894e+00,1.221477156448754986e+00,5.882235093877779229e-03,-1.352628970202018444e+00,-1.426719883888128981e+00
4.680936187237447199e-01,9.225595616679148847e+00,1.235389247691389913e+00,6.030085332929417674e-03,-1.345550672863840891e+00,-1.351051211099403515e+00
4.740948189637927412e-01,9.217541862517913742e+00,1.249256452178178156e+00,6.179638302124169751e-03,-1.338502182361486437e+00,-1.360793590012048027e+00
4.800960192038407071e-01,9.209530318757460421e+00,1.263078948132188239e+00,6.330889908614158873e-03,-1.331483354603234526e+00,-1.292717163500855859e+00
4.860972194438887284e-01,9.201560807771031136e+00,1.276856912989320358e+00,6.483836095897052218e-03,-1.324494046309919959e+00,-1.314812403891062242e+00
4.920984196839367497e-01,9.193633152789510987e+00,1.290590523398305489e+00,6.638472843816062459e-03,-1.317534115012386042e+00,-1.399076576634141089e+00
4.980996199239847710e-01,9.185747177901417260e+00,1.304279955220707388e+00,6.794796168559944297e-03,-1.310603419048947060e+00,-1.370361573054106996e+00
5.041008201640327924e-01,9.177902708052910086e+00,1.317925383530920369e+00,6.952802122662998796e-03,-1.303701817562870513e+00,-1.259512365733507666e+00
5.101020204040808137e-01,9.170099569047778232e+00,1.331526982616170418e+00,7.112486795005069917e-03,-1.296829170499866013e+00,-1.262840919628973602e+00
5.161032206441288350e-01,9.162337587547455087e+00,1.345084925976515633e+00,7.273846310811547117e-03,-1.289985338605600829e+00,-1.321997506901025243e+00
5.221044208841767453e-01,9.154616591071008003e+00,1.358599386324844671e+00,7.436876831653359277e-03,-1.283170183423219424e+00,-1.283222623251583538e+00
5.281056211242247667e-01,9.146936407995047702e+00,1.372070535586953133e+00,7.601574555442178194e-03,-1.276383567290830356e+00,-1.254104889602021045e+00
5.341068213642727880e-01,9.139296867293513316e+00,1.385498545107683777e+00,7.767935702375598772e-03,-1.269625353195866335e+00,-1.246205136403502500e+00
5.401080216043208093e-01,9.131697798849735648e+00,1.398883585386505368e+00,7.935956530277465254e-03,-1.262895404950583611e+00,-1.219083295144866019e+00
5.461092218443688306e-01,9.124139033596083692e+00,1.412225825976758387e+00,8.105633343003664643e-03,-1.256193587262933287e+00,-1.243369305901855126e+00
5.521104220844168520e-01,9.116620403234991343e+00,1.425525435715043088e+00,8.276962476113512018e-03,-1.249519765577703723e+00,-1.254261182526128726e+00
5.581116223244648733e-01,9.109141740238966278e+00,1.438782582721219949e+00,8.449940296869748804e-03,-1.242873806074244580e+00,-1.255816209313636911e+00
5.641128225645128946e-01,9.101702877850588180e+00,1.451997434398409004e+00,8.624563204238539296e-03,-1.236255575664200190e+00,-1.183468435637537564e+00
5.701140228045609160e-01,9.094303650082505186e+00,1.465170157432990727e+00,8.800827628889479337e-03,-1.229664941989256466e+00,-1.342207655743183459e+00
5.761152230446089373e-01,9.086943891717433885e+00,1.478300917794605152e+00,8.978730033195589377e-03,-1.223101773418899363e+00,-1.230034539673466210e+00
5.821164232846568476e-01,9.079623438308166428e+00,1.491389880736152307e+00,9.158266911233314475e-03,-1.216565939048190437e+00,-1.214915933848987439e+00
5.881176235247048689e-01,9.072342126177563415e+00,1.504437210793792667e+00,9.339434788782531235e-03,-1.210057308695549505e+00,-1.281324756739058879e+00
5.941188237647528902e-01,9.065099792418552127e+00,1.517443071786946263e+00,9.522230223326540871e-03,-1.203575752900553297e+00,-1.186935072243650913e+00
6.001200240048009116e-01,9.057896274894138955e+00,1.530407626818293121e+00,9.706649804052069203e-03,-1.197121142921748982e+00,-1.229685193543918587e+00
6.061212242448489329e-01,9.050731412237391638e+00,1.543331038273773270e+00,9.892690151849268393e-03,-1.190693350734473244e+00,-1.147571110918685910e+00
6.121224244848969542e-01,9.043605043851455250e+00,1.556213467822586516e+00,1.008034791931172042e-02,-1.184292249028692456e+00,-1.190571853230408816e+00
6.181236247249449756e-01,9.036517009909543319e+00,1.569055076417193106e+00,1.026961979073643359e-02,-1.177917711206848184e+00,-1.144460049167375537e+00
6.241248249649929969e-01,9.029467151354939602e+00,1.581856024293312624e+00,1.046050248212384085e-02,-1.171569611381719778e+00,-1.110627431123158537e+00
6.301260252050410182e-01,9.022455309900999865e+00,1.594616470969925093e+00,1.065299274117780144e-02,-1.165247824374298080e+00,-1.146101345238624392e+00
6.361272254450889285e-01,9.015481328031146546e+00,1.607336575249270316e+00,1.084708734730560273e-02,-1.158952225711667339e+00,-1.202738282882809706e+00
6.421284256851369499e-01,9.008545048998877647e+00,1.620016495216848318e+00,1.104278311161796186e-02,-1.152682691624909550e+00,-1.228398623210141594e+00
6.481296259251849712e-01,9.001646316752108135e+00,1.632656388303117545e+00,1.124007687311604463e-02,-1.146439099005123641e+00,-1.058769893129305029e+00
6.541308261652329925e-01,8.994784975720198972e+00,1.645256411447656442e+00,1.143896548719575135e-02,-1.140221325286860488e+00,-1.145785934946236484e+00
6.601320264052810138e-01,8.987960871437875809e+00,1.657816720586193560e+00,1.163944585676137192e-02,-1.134029248792982614e+00,-1.168457496174698740e+00
6.661332266453290352e-01,8.981173850189277275e+00,1.670337470953995318e+00,1.184151491532756985e-02,-1.127862748530856773e+00,-1.120649894127815571e+00
6.721344268853770565e-01,8.974423758947512653e+00,1.682818817136030987e+00,1.204516962404257076e-02,-1.121721704156626309e+00,-1.131292270680758882e+00
6.781356271254250778e-01,8.967710445374665440e+00,1.695260913066972686e+00,1.225040697168815196e-02,-1.115605995973280473e+00,-1.072998882762645989e+00
6.841368273654730991e-01,8.961033757821784462e+00,1.707663912031195164e+00,1.245722397467964940e-02,-1.109515504928723972e+00,-1.107819095806868992e+00
6.901380276055210095e-01,8.954393545328898085e+00,1.720027966662776242e+00,1.266561767706595072e-02,-1.103450112613872491e+00,-1.102762633432951445e+00
6.961392278455690308e-01,8.947789657624996451e+00,1.732353228945497259e+00,1.287558515052951609e-02,-1.097409701260741999e+00,-1.133138687312390314e+00
7.021404280856170521e-01,8.941221945128047466e+00,1.744639850212841736e+00,1.308712349438634522e-02,-1.091394153740563588e+00,-1.067915748803188958e+00
7.081416283256650734e-01,8.934690258944989694e+00,1.756887981147995825e+00,1.330022983558600339e-02,-1.085403353561900319e+00,-1.137096689679649497e+00
7.141428285657130948e-01,8.928194450871730581e+00,1.769097771783849415e+00,1.351490132871161279e-02,-1.079437184868776711e+00,-1.046142712880578252e+00
7.201440288057611161e-01,8.921734373393150008e+00,1.781269371502994581e+00,1.373113515597984557e-02,-1.073495532438820010e+00,-9.972986567893133980e-01
7.261452290458091374e-01,8.915309879683098515e+00,1.793402929037726690e+00,1.394892852724094121e-02,-1.067578281681411223e+00,-1.143812583586368836e+00
7.321464292858571588e-01,8.908920823604399075e+00,1.805498592470043961e+00,1.416827867997868737e-02,-1.061685318635846809e+00,-1.184996780203412703e+00
7.381476295259051801e-01,8.902567059708845321e+00,1.817556509231647244e+00,1.438918287931043212e-02,-1.055816529969510364e+00,-1.024972592211794487e+00
7.441488297659530904e-01,8.896248443237203318e+00,1.829576826103940457e+00,1.461163841798707869e-02,-1.049971802976056079e+00,-9.225769122018997459e-01
7.501500300060011117e-01,8.889964830119206241e+00,1.841559689218030815e+00,1.483564261639309413e-02,-1.044151025573599068e+00,-1.094197268017193636e+00
7.561512302460491330e-01,8.883716076973561471e+00,1.853505244054727719e+00,1.506119282254649375e-02,-1.038354086302923029e+00,-1.100888874243022508e+00
7.621524304860971544e-01,8.877502041107948827e+00,1.865413635444543639e+00,1.528828641209885320e-02,-1.032580874325690568e+00,-1.003132427636666879e+00
7.681536307261451757e-01,8.871322580516096679e+00,1.877285007570139941e+00,1.551692078819755932e-02,-1.026831279421042797e+00,-1.068867358923958122e+00
7.741548309661931970e-01,8.865177553577757052e+00,1.889119504212869671e+00,1.574709336701076226e-02,-1.021105191818516111e+00,-1.046406466015352921e+00
7.801560312062412184e-01,8.859066819499746614e+00,1.900917268372994240e+00,1.597880159776505354e-02,-1.015402502445528654e+00,-1.032808375779717514e+00
7.861572314462892397e-01,8.852990238340661122e+00,1.912678442260943301e+00,1.621204296475855719e-02,-1.009723102935100592e+00,-9.831229986205106686e-01
7.921584316863372610e-01,8.846947670773237959e+00,1.924403167499294298e+00,1.644681497637350692e-02,-1.004066885490839667e+00,-1.024332003560495696e+00
7.981596319263851713e-01,8.840938978084347255e+00,1.936091585122771797e+00,1.668311516507622536e-02,-9.984337428852965157e-01,-9.845396008812885569e-01
8.041608321664331926e-01,8.834964022175002540e+00,1.947743835578248817e+00,1.692094108741716563e-02,-9.928235684583315290e-01,-1.001650231403010238e+00
8.101620324064812140e-01,8.829022665560350092e+00,1.959360058724745279e+00,1.716029032403085242e-02,-9.872362561154862659e-01,-1.029469811298066473e+00
8.161632326465292353e-01,8.823114771369681364e+00,1.970940393833429116e+00,1.740116047963593746e-02,-9.816717003263700780e-01,-9.976630132135311246e-01
8.221644328865772566e-01,8.817240203346420557e+00,1.982484979587615603e+00,1.764354918303515790e-02,-9.761297961230488429e-01,-1.023649779381444747e+00
8.281656331266252780e-01,8.811398825848135274e+00,1.993993954082767361e+00,1.788745408711536755e-02,-9.706104390984485741e-01,-9.702846898049611868e-01
8.341668333666732993e-01,8.805590503846527639e+00,2.005467454826495466e+00,1.813287286884751603e-02,-9.651135254047633616e-01,-1.021306836783045124e+00
8.401680336067213206e-01,8.799815102927437849e+00,2.016905618738557671e+00,1.837980322928665575e-02,-9.596389517518755241e-01,-1.014283670216637567e+00
8.461692338467693419e-01,8.794072489290851280e+00,2.028308582150859962e+00,1.862824289357194532e-02,-9.541866154057835336e-01,-8.813385246405207596e-01
8.521704340868172523e-01,8.788362529750882501e+00,2.039676480807455228e+00,1.887818961092664269e-02,-9.487564141870368228e-01,-9.514156252023039384e-01
8.581716343268652736e-01,8.782685091735791261e+00,2.051009449864545253e+00,1.912964115465812243e-02,-9.433482464691838043e-01,-9.460433477427859783e-01
8.641728345669132949e-01,8.777040043287973603e+00,2.062307623890477615e+00,1.938259532215784106e-02,-9.379620111772248858e-01,-9.123851901813438969e-01
8.701740348069613162e-01,8.771427253063961871e+00,2.073571136865749676e+00,1.963704993490137524e-02,-9.325976077860740343e-01,-9.536404579135175918e-01
8.761752350470093376e-01,8.765846590334431809e+00,2.084800122183004145e+00,1.989300283844839395e-02,-9.272549363190334404e-01,-9.386817046929413211e-01
8.821764352870573589e-01,8.760297924984191908e+00,2.095994712647033076e+00,2.015045190244267592e-02,-9.219338973462711806e-01,-9.006764605796757639e-01
8.881776355271053802e-01,8.754781127512194061e+00,2.107155040474775198e+00,2.040939502061209568e-02,-9.166343919833127574e-01,-9.025135998710926977e-01
8.941788357671534015e-01,8.749296069031526457e+00,2.118281237295316810e+00,2.066983011076864094e-02,-9.113563218895369689e-01,-9.693211582361584977e-01
9.001800360072014229e-01,8.743842621148981920e+00,2.129373434251601527e+00,2.093175510939272385e-02,-9.060995891999078511e-01,-8.644324593664247658e-01
9.061812362472493332e-01,8.738420655855890118e+00,2.140431762082176892e+00,2.119516796607292738e-02,-9.008640964666989603e-01,-9.303858436311510660e-01
9.121824364872973545e-01,8.733030046110574318e+00,2.151456350628397907e+00,2.146006666963558990e-02,-8.956497469812664258e-01,-9.484536944969756966e-01
9.181836367273453758e-01,8.727670665447396559e+00,2.162447329175893440e+00,2.172644923126769434e-02,-8.904564445518049487e-01,-9.354801980517575277e-01
9.241848369673933972e-01,8.722342387946104836e+00,2.173404826480865193e+00,2.199431368316349944e-02,-8.852840934848148491e-01,-9.048113607025809468e-01
9.301860372074414185e-01,8.717045088231833105e+00,2.184328970770085032e+00,2.226365807852449807e-02,-8.801325985837181731e-01,-7.987675858525647987e-01
9.361872374474894398e-01,8.711778641475103058e+00,2.195219889740898100e+00,2.253448049155944849e-02,-8.750018651474839038e-01,-9.337786603935229746e-01
9.421884376875374612e-01,8.706542923391817013e+00,2.206077710561219263e+00,2.280677901748436737e-02,-8.698917989692581676e-01,-8.618880043425410920e-01
9.481896379275854825e-01,8.701337810243266802e+00,2.216902559869537104e+00,2.308055177252251594e-02,-8.648023063350052109e-01,-9.716935242395341454e-01
9.541908381676335038e-01,8.696163178836130214e+00,2.227694563774909930e+00,2.335579689390441041e-02,-8.597332940221545927e-01,-8.598116406794144018e-01
9.601920384076814141e-01,8.691018906522467447e+00,2.238453847856968881e+00,2.363251253986782888e-02,-8.546846692982534854e-01,-8.097063484244531040e-01
9.661932386477294354e-01,8.685904871199724653e+00,2.249180537165916149e+00,2.391069688965780440e-02,-8.496563399196310762e-01,-8.614895060227037993e-01
9.721944388877774568e-01,8.680820951310737499e+00,2.259874756222526315e+00,2.419034814352661461e-02,-8.446482141300665214e-01,-8.761159603242336669e-01
9.781956391278254781e-01,8.675767025843720504e+00,2.270536629018144570e+00,2.447146452273380596e-02,-8.396602006594654499e-01,-8.280846474565385362e-01
9.841968393678734994e-01,8.670742974332279474e+00,2.281166279014688048e+00,2.475404426954615905e-02,-8.346922087225457920e-01,-7.996846211650132652e-01
9.901980396079215208e-01,8.665748676855404398e+00,2.291763829144645825e+00,2.503808564723772681e-02,-8.297441480175287154e-01,-7.965612694666583948e-01
9.961992398479695421e-01,8.660784014037469447e+00,2.302329401811078924e+00,2.532358694008980671e-02,-8.248159287248360005e-01,-7.261922360283463718e-01
1.002200440088017563e+00,8.655848867048232975e+00,2.312863118887618530e+00,2.561054645339096159e-02,-8.199074615057978521e-01,-8.094490878889840646e-01
1.008201640328065585e+00,8.650943117602842847e+00,2.323365101718469106e+00,2.589896251343699884e-02,-8.150186575013669277e-01,-8.446391624890136063e-01
1.014202840568113606e+00,8.646066647961829332e+00,2.333835471118405280e+00,2.618883346753097391e-02,-8.101494283308383615e-01,-8.164483878301704856e-01
1.020204040808161627e+00,8.641219340931110438e+00,2.344274347372775402e+00,2.648015768398321798e-02,-8.052996860905776710e-01,-8.089246133715682907e-01
1.026205241048209649e+00,8.636401079861988350e+00,2.354681850237496654e+00,2.677293355211129988e-02,-8.004693433527574342e-01,-7.950324741788514782e-01
1.032206441288257670e+00,8.631611748639622661e+00,2.365058098949042176e+00,2.706715948175648576e-02,-7.956583131576705492e-01,-7.971597038191422513e-01
1.038207641528305691e+00,8.626851231363303896e+00,2.375403212496322247e+00,2.736283388960459445e-02,-7.908665088359868589e-01,-7.821682118911766901e-01
1.044208841768353491e+00,8.622119412901946944e+00,2.385717309130995556e+00,2.765995522203798865e-02,-7.860938443203193682e-01,-8.696363473510749786e-01
1.050210042008401512e+00,8.617416178793851245e+00,2.396000506465651991e+00,2.795852195152239913e-02,-7.813402340840336358e-01,-7.398587862820314998e-01
1.056211242248449533e+00,8.612741415059838701e+00,2.406252921637837883e+00,2.825853256888185422e-02,-7.766055930350894698e-01,-8.053425564811410586e-01
1.062212442488497555e+00,8.608095008203255460e+00,2.416474671310057776e+00,2.855998558329873871e-02,-7.718898365148776364e-01,-8.305477713372289017e-01
1.068213642728545576e+00,8.603476845209966584e+00,2.426665871669774432e+00,2.886287952231376616e-02,-7.671928802970586769e-01,-7.353053223149869089e-01
1.074214842968593597e+00,8.598886813548359598e+00,2.436826638429408387e+00,2.916721293182598235e-02,-7.625146405864116073e-01,-6.966483402171075312e-01
1.080216043208641619e+00,8.594324801169346273e+00,2.446957086826338390e+00,2.947298437609276872e-02,-7.578550340176897215e-01,-7.332036265427175348e-01
1.086217243448689640e+00,8.589790696506357293e+00,2.457057331622900964e+00,2.978019243772984243e-02,-7.532139776544782839e-01,-7.451560119622022693e-01
1.092218443688737661e+00,8.585284388475349360e+00,2.467127487106389960e+00,3.008883571771125975e-02,-7.485913889880643213e-01,-7.952024042566618878e-01
1.098219643928785683e+00,8.580805766474799867e+00,2.477167667089058334e+00,3.039891283536940922e-02,-7.439871859363075268e-01,-6.004088190456325913e-01
1.104220844168833704e+00,8.576354720385706898e+00,2.487177984908116368e+00,3.071042242839500808e-02,-7.394012868425196006e-01,-6.953883558094442474e-01
1.110222044408881725e+00,8.571931140571589225e+00,2.497158553425732563e+00,3.102336315283711968e-02,-7.348336104743496966e-01,-7.917983439914985100e-01
1.116223244648929747e+00,8.567534917878493417e+00,2.507109485029032303e+00,3.133773368310312918e-02,-7.302840760226786410e-01,-7.692659718346658293e-01
1.122224444888977768e+00,8.563165943634983179e+00,2.517030891630100964e+00,3.165353271195876089e-02,-7.257526031005128164e-01,-7.214036406719176453e-01
