t,N,P,R,dN_dt,dN_dt_noisy
1.200240048009602045e+00,3.271021857863424742e+01,9.626477695579117366e+00,1.175199570351394218e+00,-6.353925853278830971e+00,-4.236087098227782732e+00
1.240248049609921965e+00,3.245559585663160362e+01,9.649828170240624559e+00,1.178822782024786964e+00,-6.374670216956594970e+00,-7.486690979648876088e+00
1.280256051210242108e+00,3.220014258493265658e+01,9.673308478646148956e+00,1.182306021456126066e+00,-6.395440688952259478e+00,-6.773045696079257993e+00
1.320264052810562250e+00,3.194385815267977335e+01,9.696916111528375737e+00,1.185649383089644626e+00,-6.416215863638043970e+00,-4.373444256145713638e+00
1.360272054410882170e+00,3.168674281644971558e+01,9.720648568790464239e+00,1.188852944048152338e+00,-6.436974150034874498e+00,-5.790271153833027817e+00
1.400280056011202312e+00,3.142879770025366426e+01,9.744503359506035522e+00,1.191916764133036155e+00,-6.457693761353990425e+00,-5.794630388977728863e+00
1.440288057611522454e+00,3.117002479553722338e+01,9.768478001919177700e+00,1.194840885824260290e+00,-6.478352704813694629e+00,-6.992359076501157844e+00
1.480296059211842374e+00,3.091042696118039856e+01,9.792570023444449490e+00,1.197625334280366216e+00,-6.498928771750037470e+00,-8.147003942605689275e+00
1.520304060812162517e+00,3.065000793452693273e+01,9.816776958557200672e+00,1.200270118019364674e+00,-6.519399524693440640e+00,-6.351934780470699593e+00
1.560312062412482659e+00,3.038877240755063269e+01,9.841096334268947032e+00,1.202775233085611628e+00,-6.539742265405116939e+00,-6.430728177583569405e+00
1.600320064012802579e+00,3.012672593498006890e+01,9.865525687592198167e+00,1.205140657091483547e+00,-6.559934054245530888e+00,-7.787286108490104830e+00
1.640328065613122721e+00,2.986387500857370014e+01,9.890062551123689261e+00,1.207366354777511752e+00,-6.579951679193335679e+00,-7.263178340973897917e+00
1.680336067213442863e+00,2.960022707636186468e+01,9.914704449349242665e+00,1.209452279289752630e+00,-6.599771643015891698e+00,-6.671815322743118948e+00
1.720344068813762783e+00,2.933579054264678021e+01,9.939448898643764352e+00,1.211398372179789407e+00,-6.619370156893051416e+00,-7.564121779953828728e+00
1.760352070414082926e+00,2.907057476800252971e+01,9.964293407271249237e+00,1.213204563404730596e+00,-6.638723134608092380e+00,-6.736993102460309579e+00
1.800360072014403068e+00,2.880459006927508625e+01,9.989235475384781182e+00,1.214870771327210885e+00,-6.657806187339225801e+00,-6.562323159869771771e+00
1.840368073614722988e+00,2.853784771958229172e+01,1.001427259502652056e+01,1.216396902715391359e+00,-6.676594619086269944e+00,-6.641008382030784141e+00
1.880376075215043130e+00,2.827035996871358137e+01,1.003940224739616305e+01,1.217782853842078961e+00,-6.695063419599861732e+00,-7.201355077914176839e+00
1.920384076815363272e+00,2.800214014393708695e+01,1.006462189062008683e+01,1.219028514793897955e+00,-6.713187248722601197e+00,-6.119439176936777969e+00
1.960392078415683192e+00,2.773320252859697277e+01,1.008992897646430720e+01,1.220133762520159593e+00,-6.730940454560428776e+00,-5.839773500278100826e+00
2.000400080016003113e+00,2.746356245843586663e+01,1.011532093546669131e+01,1.221098467762187223e+00,-6.748297053298490056e+00,-6.427448748731926287e+00
2.040408081616323255e+00,2.719323633980244637e+01,1.014079517435924771e+01,1.221922496157791027e+00,-6.765230726723325816e+00,-7.583460954113633079e+00
2.080416083216643397e+00,2.692224164965146116e+01,1.016634907606813165e+01,1.222605708241270905e+00,-6.781714823938493453e+00,-6.050062540153052559e+00
2.120424084816963539e+00,2.665059693554371023e+01,1.019197999971364510e+01,1.223147959443414479e+00,-6.797722364151146834e+00,-7.299162382618199274e+00
2.160432086417283681e+00,2.637832181564604994e+01,1.021768528061022785e+01,1.223549100091497310e+00,-6.813226040583291621e+00,-5.934065422295306647e+00
2.200440088017603824e+00,2.610543697873139735e+01,1.024346223026646996e+01,1.223808975409284239e+00,-6.828198225562985613e+00,-7.899985642440429778e+00
2.240448089617923522e+00,2.583196420261407411e+01,1.026930813386565333e+01,1.223927426815384578e+00,-6.842610974302981930e+00,-5.928143771174200438e+00
2.280456091218243664e+00,2.555792646456993111e+01,1.029522023814014275e+01,1.223904297578249034e+00,-6.856436023919863842e+00,-6.876499478535344601e+00
2.320464092818563806e+00,2.528334782855755236e+01,1.032119576817751927e+01,1.223739423898110079e+00,-6.869644821940788404e+00,-8.118393712275203455e+00
2.360472094418883948e+00,2.500825351951605313e+01,1.034723191267907261e+01,1.223432643441863865e+00,-6.882208517944727433e+00,-7.196107989911575409e+00
2.400480096019204090e+00,2.473266994099228100e+01,1.037332582119946167e+01,1.222983796836825565e+00,-6.894097974164949960e+00,-6.839995695393406017e+00
2.440488097619524233e+00,2.445662467514083716e+01,1.039947460414671454e+01,1.222392727670728929e+00,-6.905283781017196532e+00,-6.632492441852742893e+00
2.480496099219843931e+00,2.418014648272405509e+01,1.042567533278222491e+01,1.221659282491726950e+00,-6.915736274409805873e+00,-7.897924399350783276e+00
2.520504100820164073e+00,2.390326530311201125e+01,1.045192503922075744e+01,1.220783310808390976e+00,-6.925425554911120329e+00,-8.032798602076313799e+00
2.560512102420484215e+00,2.362601225428253571e+01,1.047822071643044417e+01,1.219764665089711597e+00,-6.934321508850274540e+00,-6.734736976003193654e+00
2.600520104020804357e+00,2.334841964065262943e+01,1.050455931606923166e+01,1.218603202161681276e+00,-6.942393828479969997e+00,-7.409143445359772429e+00
2.640528105621124499e+00,2.307052103352193484e+01,1.053093773558632940e+01,1.217298791050780205e+00,-6.949612025408459459e+00,-6.714106413678234020e+00
2.680536107221444198e+00,2.279235122936339408e+01,1.055735283561928028e+01,1.215851301476908786e+00,-6.955945486296062796e+00,-6.196425963817683957e+00
2.720544108821764340e+00,2.251394624815671719e+01,1.058380142526933021e+01,1.214260614169380803e+00,-6.961363474939300744e+00,-8.610150841290248991e+00
2.760552110422084482e+00,2.223534334064028783e+01,1.061028025873869218e+01,1.212526623109279500e+00,-6.965835160737471554e+00,-6.711447044219854163e+00
2.800560112022404624e+00,2.195658098831116689e+01,1.063678603533053213e+01,1.210649235529457357e+00,-6.969329655095352294e+00,-5.744682687559619971e+00
2.840568113622724766e+00,2.167769890342506756e+01,1.066331539944897422e+01,1.208628371914535427e+00,-6.971816050437414702e+00,-7.269342894807888200e+00
2.880576115223044908e+00,2.139873802899637667e+01,1.068986494059909909e+01,1.206463966000904886e+00,-6.973263461919994910e+00,-7.784078045157564851e+00
2.920584116823364607e+00,2.111974053879815472e+01,1.071643119338694738e+01,1.204155964776725041e+00,-6.973641071927794144e+00,-6.221397244748201771e+00
2.960592118423684749e+00,2.084074982913086771e+01,1.074301063542204915e+01,1.201704330098123830e+00,-6.972918172269581660e+00,-6.719471656061440257e+00
3.000600120024004891e+00,2.056181051023033035e+01,1.076959967383232097e+01,1.199109048795973465e+00,-6.971064189249144505e+00,-6.075181118471584263e+00
3.040608121624325033e+00,2.028296850729058320e+01,1.079619466328589894e+01,1.196370118620619705e+00,-6.968048787746843331e+00,-7.313264497798122932e+00
3.080616123224645175e+00,2.000427092704168786e+01,1.082279189078168002e+01,1.193487560458879715e+00,-6.963841878004021879e+00,-8.445660151726233522e+00
3.120624124824965318e+00,1.972576603624655434e+01,1.084938757194218439e+01,1.190461421236516326e+00,-6.958413665404808768e+00,-7.068424430116059476e+00
3.160632126425285016e+00,1.944750326170095178e+01,1.087597785101355186e+01,1.187291773918237148e+00,-6.951734713814458289e+00,-7.397562866825690087e+00
3.200640128025605158e+00,1.916953319023347291e+01,1.090255880086554185e+01,1.183978717507695677e+00,-6.943776012186175350e+00,-6.168452190138601132e+00
3.240648129625925300e+00,1.889190756870557308e+01,1.092912642299153880e+01,1.180522377047490856e+00,-6.934509044503759156e+00,-6.740876196126605713e+00
3.280656131226245442e+00,1.861467930401155257e+01,1.095567664750854142e+01,1.176922903619167293e+00,-6.923905863123339444e+00,-8.554755095558441269e+00
3.320664132826565584e+00,1.833790242318528385e+01,1.098220533051390113e+01,1.173180476641389580e+00,-6.911939153216954068e+00,-8.107102233320153672e+00
3.360672134426885727e+00,1.806163193003889589e+01,1.100870824122802283e+01,1.169295315107080402e+00,-6.898582262431007806e+00,-6.014793225843752644e+00
3.400680136027205425e+00,1.778592410240526434e+01,1.103518108007360965e+01,1.165267661918392816e+00,-6.883809373641639695e+00,-6.204044356223793244e+00
3.440688137627525567e+00,1.751083616436440593e+01,1.106161946223440751e+01,1.161097798112738833e+00,-6.867595498410233645e+00,-7.507838864318722827e+00
3.480696139227845709e+00,1.723642623326056267e+01,1.108801891455751409e+01,1.156786045549947461e+00,-6.849916548630414326e+00,-6.850965345197694845e+00
3.520704140828165851e+00,1.696275331970220535e+01,1.111437487555339132e+01,1.152332766912264050e+00,-6.830749426974835004e+00,-6.385175873198648766e+00
3.560712142428485993e+00,1.668987732756202291e+01,1.114068269539586176e+01,1.147738365704351171e+00,-6.810072120537776996e+00,-6.341667784690499410e+00
3.600720144028806136e+00,1.641785905397692247e+01,1.116693763592210509e+01,1.143003286253288175e+00,-6.787863797667158750e+00,-5.911621601552808691e+00
3.640728145629125834e+00,1.614676018934804347e+01,1.119313487063266344e+01,1.138128013708570974e+00,-6.764104907968864211e+00,-6.507619280747301893e+00
3.680736147229445976e+00,1.587664318205767167e+01,1.121926948017923387e+01,1.133113078228670245e+00,-6.738777246536729493e+00,-6.833605585505227786e+00
3.720744148829766118e+00,1.560757102934035068e+01,1.124533644409105371e+01,1.127959063354317504e+00,-6.711863994527874411e+00,-6.970712059315720133e+00
3.760752150430086260e+00,1.533960770296238785e+01,1.127133065514248855e+01,1.122666592666869523e+00,-6.683349947385845979e+00,-5.627607146852595221e+00
3.800760152030406402e+00,1.507281759631096030e+01,1.129724690256997377e+01,1.117236344524376479e+00,-6.653221464662468776e+00,-8.904075739741006856e+00
3.840768153630726545e+00,1.480726548447613133e+01,1.132307987080110934e+01,1.111669053209620950e+00,-6.621466562004467704e+00,-6.760121887095804638e+00
3.880776155231046243e+00,1.454301652425085578e+01,1.134882413945465629e+01,1.105965508930116359e+00,-6.588075016206135004e+00,-6.555074912222075056e+00
3.920784156831366385e+00,1.428013625413096221e+01,1.137447418334053673e+01,1.100126557818107864e+00,-6.553038471970143775e+00,-7.978387432840331250e+00
3.960792158431686527e+00,1.401869059431518316e+01,1.140002437245983558e+01,1.094153101930572802e+00,-6.516350550238563244e+00,-6.183536937100516440e+00
4.000800160032006225e+00,1.375874584562666669e+01,1.142546897198362110e+01,1.088046099268073164e+00,-6.478006957610062955e+00,-7.129287970053456824e+00
4.040808161632326367e+00,1.350036821988082458e+01,1.145080213330589736e+01,1.081806572276391876e+00,-6.438005451455858008e+00,-5.575560655140111344e+00
4.080816163232646510e+00,1.324362412587743343e+01,1.147601790045550807e+01,1.075435603515819460e+00,-6.396346030642542146e+00,-6.521938114676869347e+00
4.120824164832966652e+00,1.298858006039611190e+01,1.150111020730717826e+01,1.068934336592226364e+00,-6.353031006590136087e+00,-5.683877765800683157e+00
4.160832166433286794e+00,1.273530216950268468e+01,1.152607286875809223e+01,1.062303983567226107e+00,-6.308064963288595450e+00,-5.089221358117372418e+00
4.200840168033606936e+00,1.248385624854917886e+01,1.155089958072790779e+01,1.055545824958174839e+00,-6.261454848538482665e+00,-5.878525265825010671e+00
4.240848169633927078e+00,1.223430774217382222e+01,1.157558392015874560e+01,1.048661209738171562e+00,-6.213210063974086594e+00,-7.088931207396932166e+00
4.280856171234247221e+00,1.198672174430105031e+01,1.160011934501519448e+01,1.041651555336058355e+00,-6.163342553614137742e+00,-7.677661185318775949e+00
4.320864172834567363e+00,1.174116299814149755e+01,1.162449919428431322e+01,1.034518347636419477e+00,-6.111866890671587171e+00,-4.358482773155214929e+00
4.360872174434887505e+00,1.149769561314862543e+01,1.164871668581383091e+01,1.027263143106845522e+00,-6.058800264709502059e+00,-6.170092457897021099e+00
4.400880176035207647e+00,1.125638280471715547e+01,1.167276491555974793e+01,1.019887570504213858e+00,-6.004162464512095454e+00,-6.692727412146417088e+00
4.440888177635526901e+00,1.101728712230453411e+01,1.169663685696692923e+01,1.012393329711514633e+00,-5.947976018160338718e+00,-5.803718930099513784e+00
4.480896179235847043e+00,1.078046999214050317e+01,1.172032535563139888e+01,1.004782195582328841e+00,-5.890266089153882056e+00,-6.081677419636530857e+00
4.520904180836167185e+00,1.054599171020150195e+01,1.174382312923444616e+01,9.970560179962849601e-01,-5.831060519337002646e+00,-4.978918255124314740e+00
4.560912182436487328e+00,1.031391144221065659e+01,1.176712276754263264e+01,9.892167218590592892e-01,-5.770389869400603722e+00,-5.736461686963503226e+00
4.600920184036807470e+00,1.008428721699991648e+01,1.179021673238912982e+01,9.812663071015426119e-01,-5.708287451759149533e+00,-5.694537868140730374e+00
4.640928185637127612e+00,9.857175599902399554e+00,1.181309735793165494e+01,9.732068480507840569e-01,-5.644789234449127058e+00,-6.359368955482091579e+00
4.680936187237447754e+00,9.632631744655792971e+00,1.183575685242318798e+01,9.650404925302413783e-01,-5.579933875100818064e+00,-5.110365776353324563e+00
4.720944188837767896e+00,9.410709166732710074e+00,1.185818729399229809e+01,9.567694634925074659e-01,-5.513762633038343353e+00,-6.547629355393326023e+00
4.760952190438088039e+00,9.191459577944870674e+00,1.188038062950944074e+01,9.483960593195357447e-01,-5.446319292822291658e+00,-4.780429853058324241e+00
4.800960192038408181e+00,8.974932886443109936e+00,1.190232867458695942e+01,9.399226538226401750e-01,-5.377650143156190055e+00,-3.853712630166058251e+00
4.840968193638728323e+00,8.761177192399243197e+00,1.192402311359293243e+01,9.313516962071746175e-01,-5.307803946553130814e+00,-6.832489984652282189e+00
4.880976195239048465e+00,8.550238558287807322e+00,1.194545550210851736e+01,9.226857081475867695e-01,-5.236831805859339717e+00,-7.703061037210657602e+00
4.920984196839367719e+00,8.342161045331007330e+00,1.196661727027109023e+01,9.139272818587634850e-01,-5.164787129889623962e+00,-4.547908374735304626e+00
4.960992198439687861e+00,8.136986498760869324e+00,1.198749971952542914e+01,9.050790805597388466e-01,-5.091725473979544780e+00,-2.543827658496418564e+00
5.001000200040008004e+00,7.934754412581365379e+00,1.200809402218101951e+01,8.961438378820490991e-01,-5.017704401099842393e+00,-6.018629249971736428e+00
5.041008201640328146e+00,7.735501929568387780e+00,1.202839122141205941e+01,8.871243578697312060e-01,-4.942783391474994126e+00,-6.193479150276981926e+00
5.081016203240648288e+00,7.539263839159564107e+00,1.204838223133027952e+01,8.780235149084620883e-01,-4.867023743028945582e+00,-4.278054809248471813e+00
5.121024204840968430e+00,7.346072440864288566e+00,1.206805784369401380e+01,8.688442477405386999e-01,-4.790488404041941095e+00,-5.631209994100249361e+00
5.161032206441288572e+00,7.155957528574771409e+00,1.208740873121836579e+01,8.595895568251886720e-01,-4.713241846941227386e+00,-5.219267330877963573e+00
5.201040208041608714e+00,6.968946268273729316e+00,1.210642544517982166e+01,8.502625046183761581e-01,-4.635349875634696026e+00,-4.983467342318474103e+00
5.241048209641928857e+00,6.785063121246357021e+00,1.212509841678637912e+01,8.408662138638507422e-01,-4.556879445215667346e+00,-4.024877358923868442e+00
5.281056211242248999e+00,6.604329844080329082e+00,1.214341795717754380e+01,8.314038675931466615e-01,-4.477898508916156928e+00,-4.883200870309275743e+00
5.321064212842569141e+00,6.426765477311625396e+00,1.216137426011234446e+01,8.218787070168300790e-01,-4.398475854031008048e+00,-4.120593013950847983e+00
5.361072214442888395e+00,6.252386317653240155e+00,1.217895741406608323e+01,8.122940220924139698e-01,-4.318680928191230173e+00,-4.495214187084805246e+00
5.401080216043208537e+00,6.081205893547116936e+00,1.219615739952157085e+01,8.026531530853271423e-01,-4.238583648750385180e+00,-5.083254752401987986e+00
5.441088217643528679e+00,5.913234903293179023e+00,1.221296409225285728e+01,7.929594875684888855e-01,-4.158254189022824399e+00,-4.478080446766045775e+00
5.481096219243848822e+00,5.748481212344321634e+00,1.222936726366734206e+01,7.832164601445847918e-01,-4.077762787154810553e+00,-5.028162452322729514e+00
5.521104220844168964e+00,5.586949865955600281e+00,1.224535658411686079e+01,7.734275502133373115e-01,-3.997179560951952482e+00,-3.990664575082203847e+00
5.561112222444489106e+00,5.428643151285943880e+00,1.226092163714561778e+01,7.635962720733417974e-01,-3.916574354307081229e+00,-5.040440581872717374e+00
5.601120224044809248e+00,5.273560582050418333e+00,1.227605191893790426e+01,7.537261753180963808e-01,-3.836016528355880695e+00,-4.928910897651123335e+00
5.641128225645129390e+00,5.121698900755701445e+00,1.229073684298892033e+01,7.438208419850124153e-01,-3.755574762905899089e+00,-2.298612947600643608e+00
5.681136227245449533e+00,4.973052080196198155e+00,1.230496574051454850e+01,7.338838862968338761e-01,-3.675316852983740556e+00,-3.728501073289081980e+00
5.721144228845769675e+00,4.827611401555635950e+00,1.231872787075815801e+01,7.239189486124220085e-01,-3.595309556377397353e+00,-3.649211581849440389e+00
5.761152230446089817e+00,4.685365538188204226e+00,1.233201243173456341e+01,7.139296887748627363e-01,-3.515618447543611413e+00,-3.004082027625992524e+00
5.801160232046409959e+00,4.546300577046465285e+00,1.234480856387805048e+01,7.039197852163537883e-01,-3.436307732531210579e+00,-3.857164735080081730e+00
5.841168233646729213e+00,4.410400042069058557e+00,1.235710535339391747e+01,6.938929333683834244e-01,-3.357440066857453331e+00,-3.585975434335611389e+00
5.881176235247049355e+00,4.277644940672895579e+00,1.236889183740723475e+01,6.838528431177571809e-01,-3.279076391730112228e+00,-2.853927656398203450e+00
5.921184236847369498e+00,4.148013928691005603e+00,1.238015702192674539e+01,6.738032293458340316e-01,-3.201275857316287166e+00,-2.918860015071885528e+00
5.961192238447689640e+00,4.021483348863069907e+00,1.239088988624902576e+01,6.637478111520760393e-01,-3.124095666366433655e+00,-4.283392393298862899e+00
6.001200240048009782e+00,3.898027286149420956e+00,1.240107938936710497e+01,6.536903098068832518e-01,-3.047590935063258843e+00,-2.214248338393597137e+00
6.041208241648329924e+00,3.777617609476116467e+00,1.241071447445930609e+01,6.436344468729429114e-01,-2.971814550330326377e+00,-3.562249493619369378e+00
6.081216243248650066e+00,3.660224162615515642e+00,1.241978408896503261e+01,6.335839351503461669e-01,-2.896817141133959161e+00,-3.952896091448145022e+00
6.121224244848970208e+00,3.545814830149903063e+00,1.242827719206185044e+01,6.235424772026190166e-01,-2.822646971449597864e+00,-3.723122041448649444e+00
6.161232246449290351e+00,3.434355603291836978e+00,1.243618276233020659e+01,6.135137637073864170e-01,-2.749349841298021069e+00,-3.139895185653343912e+00
6.201240248049610493e+00,3.325810640418487729e+00,1.244348980449232123e+01,6.035014710327902820e-01,-2.676968992195735364e+00,-1.049668737572668098e+00
6.241248249649930635e+00,3.220142467272830267e+00,1.245018737117565344e+01,5.935092528503409515e-01,-2.605545125292549891e+00,-3.781081030213330418e+00
6.281256251250250777e+00,3.117312051088452662e+00,1.245626457251454156e+01,5.835407390952830342e-01,-2.535116338915861522e+00,-2.375040446381520898e+00
6.321264252850570031e+00,3.017278860522337958e+00,1.246171058377277241e+01,5.735995346675245576e-01,-2.465718064546731370e+00,-4.603542422637309173e+00
6.361272254450890173e+00,2.920000974417238826e+00,1.246651465834215777e+01,5.636892152973604908e-01,-2.397383049055596071e+00,-2.398949982200793141e+00
6.401280256051210316e+00,2.825435254483954495e+00,1.247066614826205111e+01,5.538133211285826141e-01,-2.330141396776670426e+00,-1.430574979300663241e+00
6.441288257651530458e+00,2.733537424043400055e+00,1.247415451667025899e+01,5.439753560535411925e-01,-2.264020552362234540e+00,-2.500683874423689446e+00
6.481296259251850600e+00,2.644262114672734310e+00,1.247696934440778804e+01,5.341787865261579116e-01,-2.199045267444219576e+00,-2.828400191327561597e+00
6.521304260852170742e+00,2.557563034437170923e+00,1.247910035195360834e+01,5.244270352642909083e-01,-2.135237671441896357e+00,-1.903726607383358749e+00
6.561312262452490884e+00,2.473393085702957794e+00,1.248053741709433950e+01,5.147234781054419450e-01,-2.072617314939814825e+00,-1.372465563789164289e+00
6.601320264052811027e+00,2.391704428668087523e+00,1.248127058702661962e+01,5.050714434366079253e-01,-2.011201180350570272e+00,-1.347543609333163639e+00
6.641328265653131169e+00,2.312448560264579012e+00,1.248129009034374626e+01,4.954742094570888655e-01,-1.951003712608143204e+00,2.147014132164848377e-02
6.681336267253451311e+00,2.235576485517228207e+00,1.248058636262722132e+01,4.859349980684203874e-01,-1.892036933105037955e+00,-1.682869460768761094e+00
6.721344268853771453e+00,2.161038785240951832e+00,1.247915006243152902e+01,4.764569743925398670e-01,-1.834310481388942815e+00,-2.426720581141875499e+00
6.761352270454090707e+00,2.088785662889899530e+00,1.247697208070438712e+01,4.670432457033335538e-01,-1.777831646378354558e+00,-1.903810836364997261e+00
6.801360272054410849e+00,2.018767091490309085e+00,1.247404356537769488e+01,4.576968559626298227e-01,-1.722605486306189482e+00,-1.795104031926001431e+00
6.841368273654730991e+00,1.950932905965563791e+00,1.247035594183844154e+01,4.484207835981220414e-01,-1.668634913222042382e+00,-1.559897529743923705e+00
6.881376275255051134e+00,1.885232846276964302e+00,1.246590092597962673e+01,4.392179411587633364e-01,-1.615920743692069061e+00,-1.645948556921503991e+00
6.921384276855371276e+00,1.821616647790222476e+00,1.246067054188776524e+01,4.300911719269747135e-01,-1.564461793438059356e+00,-1.390495854541855980e+00
6.961392278455691418e+00,1.760034159782458696e+00,1.245465714719434303e+01,4.210432458598564742e-01,-1.514255002026299701e+00,-3.185105062641412133e+00
7.001400280056011560e+00,1.700435384914860126e+00,1.244785344987597853e+01,4.120768594906198956e-01,-1.465295498394613372e+00,-6.356665423545705407e-01
7.041408281656331702e+00,1.642770528664574625e+00,1.244025252057856257e+01,4.031946341942163059e-01,-1.417576677530747231e+00,-1.992315946451779674e+00
7.081416283256651845e+00,1.586990121239159723e+00,1.243184782029189250e+01,3.943991114355196448e-01,-1.371090342619851743e+00,-2.544249039066876605e+00
7.121424284856971987e+00,1.533045053603540930e+00,1.242263321879997484e+01,3.856927524312688815e-01,-1.325826780431154539e+00,-6.880756207897188448e-01
7.161432286457292129e+00,1.480886607976964031e+00,1.241260300610439771e+01,3.770779372884359715e-01,-1.281774833726833762e+00,3.555117365924820305e-02
7.201440288057612271e+00,1.430466557507563685e+00,1.240175191757894879e+01,3.685569607984940932e-01,-1.238922034967054220e+00,-7.458938854676115948e-01
7.241448289657931525e+00,1.381737207971067249e+00,1.239007515405565663e+01,3.601320313320452993e-01,-1.197254694685773613e+00,-1.036095380840253322e+00
7.281456291258251667e+00,1.334651415234658911e+00,1.237756839395684771e+01,3.518052705298900240e-01,-1.156757970493254462e+00,-2.088978275865206680e+00
7.321464292858571810e+00,1.289162656231300996e+00,1.236422781345723010e+01,3.435787100944628358e-01,-1.117415982555280740e+00,1.754151355258217970e+00
7.361472294458891952e+00,1.245225076599898895e+00,1.235005010750454524e+01,3.354542899481021689e-01,-1.079211911485865150e+00,-1.989532908243569764e-01
7.401480296059212094e+00,1.202793497215467688e+00,1.233503250238622861e+01,3.274338582684120924e-01,-1.042128061994595178e+00,-2.181422732337571002e+00
7.441488297659532236e+00,1.161823460374054706e+00,1.231917277084723494e+01,3.195191692642586623e-01,-1.006145959896891373e+00,-1.785783876136636028e+00
7.481496299259852378e+00,1.122271278239614256e+00,1.230246925217154086e+01,3.117118809446067784e-01,-9.712464520419881175e-01,-8.842672034700838068e-01
