N,P,L,L_noisy
1.177886249600470725e+00,1.984625328672284894e+01,4.548156576803402018e+00,4.543495475276542628e+00
2.033299984014358586e+01,8.013613959594755087e+00,2.062300653983740073e+00,2.076658490672807389e+00
5.356627685703343467e-01,1.120563742373185967e+01,5.211123908210844924e+00,5.215525201314152426e+00
1.732426353972155830e+00,8.098132970842961242e+00,3.236188843232519652e+00,3.230492369880804571e+00
2.988058708763665194e+01,9.585302704023639819e+00,2.013354852345386359e+00,2.009456662764187662e+00
1.462536312571687480e+00,2.464625211108416991e+01,4.364158716081657730e+00,4.364593612324517480e+00
1.616961139122164326e+01,2.050726936847792103e+01,2.221662854579021129e+00,2.213889198919041235e+00
5.969888948069502987e+00,3.084646837514506856e+01,2.779713687005595624e+00,2.780556839040648320e+00
1.355886714998108467e+01,3.045403125943849787e+01,2.335723298873702891e+00,2.333427941095139069e+00
6.603441112959495207e+00,7.357648854143013395e+00,2.352675734000927221e+00,2.358807087002508407e+00
2.207495740354548541e+00,7.508327114795513069e+00,2.979890059159038262e+00,2.984700832477179322e+00
1.126594256750326295e+01,2.913708679799998436e+01,2.405166883619982876e+00,2.391610456432808895e+00
5.572672722002726120e-01,5.307754583012751048e+00,3.904748610995738556e+00,3.904957123925874907e+00
3.115092973125919151e+00,2.459673645689657562e+01,3.279024635801901955e+00,3.270937298304283480e+00
2.291836716110268402e+00,6.944552654765400845e+00,2.907725678114989165e+00,2.913273868111231568e+00
3.525979183344359225e+00,5.434136571073307387e+00,2.536768986643179957e+00,2.537609515988819009e+00
8.431384355083019200e-01,1.461656056789504099e+01,4.802444369991166973e+00,4.805186397252102282e+00
1.243428639849453399e+00,2.220584999252537983e+01,4.564611129525323996e+00,4.559285505881307543e+00
4.993243462291826695e+00,2.716922922298376264e+01,2.876562855108492744e+00,2.885705006298470376e+00
2.446144690704134206e+00,7.452682406852132679e+00,2.897820493139183995e+00,2.907920859974936434e+00
1.278363835757190081e+01,4.090822169904276606e+00,2.073185607507766370e+00,2.067861752294635203e+00
5.956544452886812557e+00,2.557410051814327900e+01,2.727900212644165823e+00,2.729764288253497373e+00
1.699935474094307608e+01,1.498153397836931866e+01,2.169300835945510375e+00,2.165934323803559547e+00
1.002809276978322650e+01,1.989665972114688941e+01,2.388080323269954341e+00,2.387962473585650613e+00
5.876288647235471174e+00,1.911024671719779633e+01,2.654657286552323026e+00,2.648329101656200280e+00
1.623282276853461159e+00,2.458534239014310074e+01,4.178736615241402497e+00,4.188072342814305848e+00
1.232640716255793301e+01,3.167632631443767011e+01,2.380229874436633253e+00,2.375383976881219716e+00
1.398819772989693400e+00,2.109083616313700560e+01,4.299262848226467426e+00,4.297782429151480343e+00
6.803098152672001353e-01,1.232155766245688255e+01,4.945035435794767231e+00,4.947542850450320273e+00
2.576848336883216462e+01,6.421584589589744319e+00,2.004197687055338406e+00,2.000959883663257610e+00
4.562381566598042504e+00,4.189243387639050908e+00,2.344131282373004499e+00,2.342934720224342904e+00
1.188696864628783167e+01,2.243817890882241883e+01,2.339783024559821900e+00,2.336964825327687123e+00
4.365240757226887425e+00,8.908211859717082959e+00,2.598179959067394851e+00,2.597512655293213513e+00
6.115771723253669023e+00,9.605635329578563031e+00,2.449390130692358447e+00,2.443537417516856713e+00
5.744279350677372609e-01,1.474375315439788636e+01,5.576244705647286359e+00,5.574054765269274903e+00
1.074279822761461833e+00,1.735555468837544879e+01,4.569754117930192372e+00,4.568719653306630768e+00
7.918990034729360694e+00,1.390058862487104818e+01,2.419299450426127152e+00,2.417630820407106640e+00
5.170352554025322789e+00,3.062683484183707705e+01,2.887625970494658745e+00,2.887909420269127558e+00
9.569843514416324082e-01,1.024082433186176999e+01,4.146696768826733326e+00,4.145231257729950158e+00
2.465029034017435450e+01,1.966257744253190509e+01,2.108395847442637638e+00,2.112161904484834540e+00
9.406631022590591362e-01,1.503608174758039873e+00,2.337193424527887586e+00,2.335577444898958355e+00
4.039860473409569330e+00,2.976927091473578812e+00,2.282843646297521456e+00,2.282160398316042116e+00
9.016311273541430804e-01,7.167353319310074689e+00,3.805245373798114006e+00,3.801921467118134945e+00
9.431167022161865532e+00,9.721629085849484042e+00,2.281336254014393106e+00,2.278703679813816940e+00
1.549873796761013445e+00,1.545602289907484916e+01,3.863053247087120390e+00,3.856730783133021756e+00
8.659254419163918692e-01,1.880042945980332192e+01,5.092914624564730097e+00,5.095508549169119661e+00
6.035901823077932660e-01,6.143554368369899876e+00,4.045055650343052811e+00,4.039343060254790174e+00
1.022949123735950483e+00,1.893814247053354194e+01,4.764291372164214167e+00,4.760562090173272587e+00
1.096521451502668887e+00,3.536514236799022548e+00,2.927923587518903137e+00,2.929719810778959044e+00
4.505962562008855699e+00,1.316051619630298219e+01,2.709422434789562573e+00,2.711435301619285365e+00
3.169460646605616549e+00,2.574100951120666281e+01,3.281987239462415218e+00,3.279986665707389726e+00
2.518744878740447390e+01,1.572475259216759547e+01,2.083849820795548258e+00,2.073753491743104416e+00
2.486539697066186250e+01,2.164811900812881618e+01,2.115168293741892303e+00,2.117270860178370295e+00
1.304215828421047796e+01,7.930697614617900904e+00,2.155634640469631158e+00,2.156932457764091371e+00
7.819057294262190538e+00,2.293326647180053612e+01,2.535529682319506151e+00,2.528467776242147469e+00
1.590555659175667991e+01,3.151343769035526066e+01,2.281842679486254521e+00,2.285694289900226828e+00
2.334601401746211380e+01,2.117942122662166682e+01,2.127617460250168513e+00,2.124111961248001279e+00
5.485140384805428093e-01,3.139609788507900134e+01,7.169126554762732972e+00,7.163495614181966786e+00
8.109217737899586664e-01,2.685010983815263685e+01,5.757002672148454181e+00,5.757481325703275310e+00
2.185615094385354507e+00,2.481462445933114935e+01,3.724531503799070720e+00,3.723639151642074818e+00
7.334686975942636966e-01,1.585502147445328802e+01,5.190588870734586635e+00,5.191601990739542316e+00
5.821235856069941761e+00,1.879636607534022374e+01,2.655859733581731774e+00,2.647830993290109625e+00
1.451900891322720710e+00,8.661402251520541995e+00,3.464341768204247884e+00,3.473402918785609916e+00
1.475727003350870259e+00,2.811137408392463399e+01,4.468040541196334203e+00,4.465027248123615955e+00
1.628023906242834107e+00,1.416062767054516058e+00,2.213912877877200369e+00,2.206214581334718261e+00
7.459731963233419139e-01,2.571941596668769847e+01,5.907251716063719904e+00,5.910345927006555478e+00
1.038678902366991963e+01,3.014123018734720105e+01,2.448112636415422649e+00,2.446338615764916735e+00
7.177347912870780888e+00,1.128705006934406363e+01,2.416595169059092107e+00,2.418219461487956412e+00
5.990086916569601350e+00,2.579846245198613985e+01,2.726539822596091955e+00,2.724841780442966765e+00
5.747886701621951477e-01,1.430761179363096502e+01,5.520532881164420758e+00,5.520234179362021543e+00
2.901497562924058027e+00,2.756531236074626179e+01,3.417369828428423961e+00,3.418598692647117243e+00
8.267336684489864140e+00,2.049964498288856163e+01,2.482269838758168312e+00,2.478536574338253917e+00
9.483704104625275688e-01,2.728752060122441314e+00,2.772333534739000349e+00,2.775727232718298243e+00
2.425090682636668049e+00,1.264558514390362554e+01,3.192552929466207168e+00,3.190203428970809441e+00
5.422981400369311089e-01,1.596531506001415135e+00,2.487542936426780482e+00,2.483194500705927954e+00
6.990784331758637116e-01,2.422887849656633819e+01,5.979444775292500402e+00,5.979829937401612838e+00
1.212989965766802403e+00,2.799617996222727356e+01,4.860174701927582497e+00,4.862399908320037767e+00
2.730742231550861820e+00,3.187935879594087396e+01,3.571445107581568301e+00,3.570299710873475085e+00
3.331814808295897379e+00,1.731671624752940630e+01,3.049217972455193770e+00,3.044905373519795955e+00
1.869747976006730639e+01,1.313006986064432446e+01,2.130795230724224165e+00,2.133894158555767362e+00
1.828254323940728288e+00,1.726137980606360856e+01,3.720163835220044124e+00,3.711362191259430343e+00
5.459288214171242881e-01,1.474839300824236510e+01,5.684266793498710335e+00,5.679112472818532709e+00
1.472719649968818167e+01,1.008733081814397536e+01,2.157251518608009899e+00,2.157449133060676871e+00
6.440850367042679769e-01,2.921801302287041935e+01,6.533045294802458436e+00,6.526239997810932891e+00
7.316844617976870913e-01,1.321968931472551922e+01,4.920651450841622143e+00,4.920791422162867690e+00
2.580196479325155678e+01,2.876552760529980191e+01,2.131994989043956235e+00,2.131720673453863846e+00
1.092867886507551134e+01,1.856151583495830693e+01,2.341038826491363078e+00,2.345532525435654048e+00
1.994003321754593605e+00,2.725437950437765267e+01,3.923913897654091265e+00,3.919339945895024879e+00
8.590213875299720359e-01,2.163385573037558984e+01,5.304670838941423661e+00,5.301541306323215075e+00
2.435765397466890470e+00,1.554652786207634918e+01,3.304974509689269979e+00,3.306640418112774871e+00
2.004978994666447800e+00,2.320567155739608722e+01,3.802424340311294060e+00,3.790136522360265214e+00
1.794149878667942843e+01,2.348941310502110369e+01,2.207327885000428758e+00,2.222828096495001571e+00
2.777002084053831421e+00,2.795062598939039233e+01,3.478222645250798273e+00,3.474729391598489592e+00
6.996139078471345085e-01,1.528490336279550554e+01,5.229915350114961115e+00,5.226266174851333268e+00
2.223155464227393452e+01,1.741827994375374900e+01,2.120102262034047502e+00,2.124407899588566018e+00
6.390536065375104435e+00,2.469137609346736895e+01,2.671786301220302917e+00,2.671587142013124527e+00
8.063020836433393290e-01,1.695774117821215654e+01,5.096490372731040885e+00,5.087593229637523251e+00
7.947138439902226015e-01,2.023119200978433696e+01,5.384347604321480851e+00,5.387482241221944079e+00
3.368757734942894544e+00,8.299145587391887346e+00,2.727329160663352958e+00,2.731606049833349203e+00
7.289841971450612412e-01,3.125906708962609315e+01,6.288251569244146744e+00,6.286001837876766807e+00
6.642337749655993662e+00,2.071512686074881060e+01,2.602352415068595270e+00,2.600944413277135325e+00
6.237256627937761699e+00,2.116696847242309332e+01,2.645783860733665005e+00,2.648213783719961967e+00
5.701846146190648890e-01,2.410086802978056042e+01,6.520448745559444426e+00,6.515904844309872601e+00
1.363608915430124036e+01,2.541925860828177619e+01,2.307191569668309850e+00,2.309383512489344259e+00
1.253170296238148218e+01,3.972897283576876770e+00,2.073139583585616563e+00,2.074136076137838902e+00
2.120931033042534963e+01,1.247183058665260447e+01,2.097564197728827295e+00,2.094189534649947504e+00
7.778155233329222540e+00,1.955784595654211344e+01,2.502546955008030594e+00,2.495586445638971362e+00
8.530683888323405739e+00,3.181999177033508630e+01,2.559865015019330503e+00,2.558736985865524893e+00
9.775240067976896929e-01,1.701066336193910900e+01,4.721423972011750791e+00,4.717046860720450319e+00
