t,I1,I2,R,dI1_dt,dI1_dt_noisy
2.880576115223044686e-01,6.885619509434327823e-02,1.296296123544092571e-02,1.220001723466441167e-02,7.485660095214488607e-02,6.943427599421295171e-02
3.000600120024004558e-01,6.975963868822518399e-02,1.310261222749363116e-02,1.278112013122915946e-02,7.568811558560911701e-02,7.191008909367377355e-02
3.120624124824964984e-01,7.067309476453571826e-02,1.324365427920374226e-02,1.336854453556582910e-02,7.652499364886897193e-02,7.617544946475865442e-02
3.240648129625924856e-01,7.159662726352669648e-02,1.338609869661175865e-02,1.396234944587840254e-02,7.736716846465908903e-02,7.652278764150638457e-02
3.360672134426885282e-01,7.253029928714258001e-02,1.352995682288590795e-02,1.456259400067604418e-02,7.821457024065696373e-02,7.864185623565418670e-02
3.480696139227845154e-01,7.347417309902051774e-02,1.367524003832214577e-02,1.516933747877307302e-02,7.906712606444869784e-02,7.950176992649382601e-02
3.600720144028805580e-01,7.442831012449030448e-02,1.382195976034415741e-02,1.578263929928899398e-02,7.992475989901881572e-02,8.416043740912090843e-02
3.720744148829765452e-01,7.539277093363960791e-02,1.397012744300745943e-02,1.640255901643454875e-02,8.078739256272568503e-02,7.856335103734111980e-02
3.840768153630725879e-01,7.636761497969010715e-02,1.411975456808763074e-02,1.702915623238185697e-02,8.165494148028019927e-02,8.089973146602620624e-02
3.960792158431686305e-01,7.735290081430755416e-02,1.427085264979579583e-02,1.766249065546584771e-02,8.252732088886823025e-02,8.661286410385289625e-02
4.080816163232646177e-01,7.834868591646851343e-02,1.442343323214325713e-02,1.830262206031147906e-02,8.340444167550979671e-02,8.469784766791349506e-02
4.200840168033606603e-01,7.935502660513729656e-02,1.457750788673039220e-02,1.894961026279296662e-02,8.428621129869337536e-02,8.561233804344589582e-02
4.320864172834566475e-01,8.037197803926594830e-02,1.473308821274666065e-02,1.960351512003379038e-02,8.517253379406980462e-02,8.414452105069487875e-02
4.440888177635526901e-01,8.139959421779424664e-02,1.489018583697060590e-02,2.026439653040669822e-02,8.606330978089481165e-02,8.276715943918350193e-02
4.560912182436486773e-01,8.243792797964971664e-02,1.504881241376984646e-02,2.093231443353370247e-02,8.695843646922352121e-02,8.729336595766899742e-02
4.680936187237447199e-01,8.348703100374764430e-02,1.520897962510108468e-02,2.160732881028607638e-02,8.785780766785979135e-02,8.807583584350288375e-02
4.800960192038407071e-01,8.454695358039102104e-02,1.537069917273541954e-02,2.228949960162849436e-02,8.876131358646395519e-02,8.630660947797480498e-02
4.920984196839367497e-01,8.561774465062273187e-02,1.553398277682883390e-02,2.297888671008458880e-02,8.966884088736142011e-02,8.830238756380029419e-02
5.041008201640327924e-01,8.669945186678461313e-02,1.569884217984426553e-02,2.367555003026795488e-02,9.058027275302632519e-02,9.043618539357187180e-02
5.161032206441288350e-01,8.779212136040363823e-02,1.586528914023798906e-02,2.437954937382878773e-02,9.149548869240448079e-02,8.960598544628292639e-02
5.281056211242247667e-01,8.889579774218364649e-02,1.603333543245937312e-02,2.509094446945108955e-02,9.241436456109362874e-02,9.221782462538918868e-02
5.401080216043208093e-01,9.001052410200541254e-02,1.620299284695086300e-02,2.580979496285269389e-02,9.333677258252143227e-02,9.352773863746034755e-02
5.521104220844168520e-01,9.113634200892654913e-02,1.637427319014800320e-02,2.653616041678522747e-02,9.426258137011345184e-02,9.433375384422441889e-02
5.641128225645128946e-01,9.227329151118159045e-02,1.654718828447941312e-02,2.727010031103412752e-02,9.519165595045211981e-02,9.417907263382349625e-02
5.761152230446089373e-01,9.342141110635460155e-02,1.672174996733417213e-02,2.801167403081123580e-02,9.612385776167925444e-02,9.731135390525090523e-02
5.881176235247048689e-01,9.458073737943437087e-02,1.689797007698734185e-02,2.876094072021930653e-02,9.705904436964839233e-02,9.884137827821304345e-02
6.001200240048009116e-01,9.575130536911030665e-02,1.707586046350057993e-02,2.951795941863943201e-02,9.799706981730188504e-02,9.863876642643501502e-02
6.121224244848969542e-01,9.693314831528966613e-02,1.725543298273619214e-02,3.028278897305955800e-02,9.893778443658329813e-02,9.730132398180268982e-02
6.241248249649929969e-01,9.812629754648298508e-02,1.743669949282281376e-02,3.105548799562306977e-02,9.988103478831916737e-02,1.013443393558900452e-01
6.361272254450889285e-01,9.933078247980407782e-02,1.761967185415540260e-02,3.183611486362877829e-02,1.008266637012944222e-01,9.982378366436031603e-02
6.481296259251849712e-01,1.005466306209700234e-01,1.780436192939524598e-02,3.262472771953095485e-02,1.017745103125491934e-01,1.035328315491251677e-01
6.601320264052810138e-01,1.017738675643011653e-01,1.799078158346993986e-02,3.342138447093929293e-02,1.027244101088926609e-01,1.005808352751377671e-01
6.721344268853770565e-01,1.030125169927210982e-01,1.817894268357342011e-02,3.422614279061891862e-02,1.036761949696294732e-01,1.055051293758870329e-01
6.841368273654730991e-01,1.042626006492069213e-01,1.836885709807173361e-02,3.503906010368485618e-02,1.046296931873512137e-01,1.045895662781202579e-01
6.961392278455690308e-01,1.055241379317324590e-01,1.856053667939200000e-02,3.586019340214034734e-02,1.055847291884360467e-01,1.030872314077672103e-01
7.081416283256650734e-01,1.067971463137568910e-01,1.875399327808362215e-02,3.668959942893323944e-02,1.065411239282990641e-01,1.059133249843653701e-01
7.201440288057611161e-01,1.080816410913482545e-01,1.894923873600956252e-02,3.752733457180117138e-02,1.074986947369709483e-01,1.076068992945140301e-01
7.321464292858571588e-01,1.093776352458621925e-01,1.914628488150080937e-02,3.837345480270323156e-02,1.084572552664891665e-01,1.090028379448180762e-01
7.441488297659530904e-01,1.106851394439418018e-01,1.934514352935636297e-02,3.922801567781997178e-02,1.094166155519474964e-01,1.074522393020655442e-01
7.561512302460491330e-01,1.120041620375177988e-01,1.954582648084324595e-02,4.009107233755340727e-02,1.103765820739576048e-01,1.081618359796272244e-01
7.681536307261451757e-01,1.133347090638083532e-01,1.974834552369648596e-02,4.096267950652700274e-02,1.113369578225098244e-01,1.117361268882039876e-01
7.801560312062412184e-01,1.146767842453192271e-01,1.995271243211913306e-02,4.184289149358568632e-02,1.122975423622244867e-01,1.113640431284648874e-01
7.921584316863372610e-01,1.160303889898436636e-01,2.015893896678224925e-02,4.273176219179583568e-02,1.132581318989791808e-01,1.137291431224396326e-01
8.041608321664331926e-01,1.173955221545672223e-01,2.036703686404246760e-02,4.362934495123933082e-02,1.142185191725822446e-01,1.157375582175390050e-01
8.161632326465292353e-01,1.187721799580777199e-01,2.057701782885719075e-02,4.453569253115653021e-02,1.151784934688293016e-01,1.118809187361274049e-01
8.281656331266252780e-01,1.201603563061380830e-01,2.078889355062153721e-02,4.545085727583631635e-02,1.161378409377435972e-01,1.166466171707788296e-01
8.401680336067213206e-01,1.215600424071722890e-01,2.100267568784860636e-02,4.637489090761125893e-02,1.170963443859934783e-01,1.195456383210649481e-01
8.521704340868172523e-01,1.229712267664711395e-01,2.121837586792183622e-02,4.730784452373558435e-02,1.180537833574145379e-01,1.174587296686735866e-01
8.641728345669132949e-01,1.243938951861923853e-01,2.143600568709500345e-02,4.824976859638524518e-02,1.190099342193998433e-01,1.173883050529247046e-01
8.761752350470093376e-01,1.258280307653605323e-01,2.165557671049221644e-02,4.920071297265782989e-02,1.199645702507951550e-01,1.214690579051543456e-01
8.881776355271053802e-01,1.272736138998670219e-01,2.187710047210792222e-02,5.016072687457263923e-02,1.209174617312809563e-01,1.214243547636972426e-01
9.001800360072014229e-01,1.287306222824701196e-01,2.210058847480689953e-02,5.112985889907062376e-02,1.218683760322213094e-01,1.236601421737764245e-01
9.121824364872973545e-01,1.301990309027949433e-01,2.232605219032426924e-02,5.210815701801445321e-02,1.228170777089593602e-01,1.221266462888568050e-01
9.241848369673933972e-01,1.316788117930174362e-01,2.255350304491367947e-02,5.309566840125418824e-02,1.237633284264944011e-01,1.207996918790499724e-01
9.361872374474894398e-01,1.331699340057053982e-01,2.278295241525529757e-02,5.409243941678078954e-02,1.247068870468189539e-01,1.244868655173964472e-01
9.481896379275854825e-01,1.346723638945476198e-01,2.301441164527890521e-02,5.509851581865096021e-02,1.256475099168514187e-01,1.247558536108289567e-01
9.601920384076814141e-01,1.361860647804684354e-01,2.324789202910894012e-02,5.611394250406959855e-02,1.265849507528934992e-01,1.281355983969886536e-01
9.721944388877774568e-01,1.377109969494574593e-01,2.348340481094790891e-02,5.713876351184592889e-02,1.275189607491080956e-01,1.279062264458624143e-01
9.841968393678734994e-01,1.392471176525695575e-01,2.372096118507636964e-02,5.817302202239345993e-02,1.284492886889342100e-01,1.251875902240640048e-01
9.961992398479695421e-01,1.407943811059248207e-01,2.396057229585294920e-02,5.921676035773001945e-02,1.293756810579680949e-01,1.269853548977616930e-01
1.008201640328065585e+00,1.423527384907087578e-01,2.420224923771433986e-02,6.027001998147774736e-02,1.302978821582814195e-01,1.320654602314559334e-01
1.020204040808161627e+00,1.439221379531720191e-01,2.444600305517528882e-02,6.133284149886308878e-02,1.312156342241491691e-01,1.325751642589848567e-01
1.032206441288257670e+00,1.455025246046306453e-01,2.469184474282861558e-02,6.240526465671680789e-02,1.321286775391574131e-01,1.308481908073404476e-01
1.044208841768353491e+00,1.470938404897088325e-01,2.493978524266951546e-02,6.348732830710378250e-02,1.330367505379212167e-01,1.330346529447866688e-01
1.056211242248449533e+00,1.486960242685835820e-01,2.518983541718941913e-02,6.457907008137293847e-02,1.339395897565319182e-01,1.348307368640842829e-01
1.068213642728545576e+00,1.503090115657355064e-01,2.544200607832714997e-02,6.568052682511818507e-02,1.348369301399525155e-01,1.357737388116470600e-01
1.080216043208641619e+00,1.519327348276596767e-01,2.569630797539030134e-02,6.679173437005034297e-02,1.357285051012172283e-01,1.374809894934459209e-01
1.092218443688737661e+00,1.535671232495590677e-01,2.595275178888456144e-02,6.791272744264609251e-02,1.366140466144881160e-01,1.371270178689312502e-01
1.104220844168833704e+00,1.552121027753443350e-01,2.621134813051374107e-02,6.904353966414814026e-02,1.374932853475493988e-01,1.373036286696124042e-01
1.116223244648929747e+00,1.568675960976340100e-01,2.647210754317974590e-02,7.018420355056506632e-02,1.383659507955551926e-01,1.378482546659794972e-01
1.128225645129025789e+00,1.585335226577544443e-01,2.673504050098260074e-02,7.133475051267142153e-02,1.392317714159939379e-01,1.413432570170604363e-01
1.140228045609121832e+00,1.602097986457397538e-01,2.700015740922043217e-02,7.249521085600771353e-02,1.400904747648321902e-01,1.355887662146751105e-01
1.152230446089217875e+00,1.618963370003318747e-01,2.726746860438947900e-02,7.366561378088035128e-02,1.409417876338011633e-01,1.406644769836184750e-01
1.164232846569313695e+00,1.635930474089805076e-01,2.753698435418407836e-02,7.484598738236170057e-02,1.417854361887862236e-01,1.418514363967543490e-01
1.176235247049409738e+00,1.652998363069037580e-01,2.780871485672712848e-02,7.603635863874073919e-02,1.426211461105705014e-01,1.397704481888301375e-01
1.188237647529505780e+00,1.670166067965664913e-01,2.808267021385886519e-02,7.723675305381461076e-02,1.434486427441269418e-01,1.441142699704030250e-01
1.200240048009601823e+00,1.687432585896242176e-01,2.835886045117650897e-02,7.844719503706426567e-02,1.442676511467343714e-01,1.429650891218475772e-01
1.212242448489697866e+00,1.704796881119034768e-01,2.863729551815990745e-02,7.966770781788362621e-02,1.450778963122572041e-01,1.468027859048887107e-01
1.224244848969793908e+00,1.722257885115947296e-01,2.891798527831427462e-02,8.089831328007776601e-02,1.458791033479558408e-01,1.456279191798871830e-01
1.236247249449889951e+00,1.739814496592522186e-01,2.920093950917019426e-02,8.213903196186288225e-02,1.466709976202811849e-01,1.480093041018600841e-01
1.248249649929985994e+00,1.757465581477940519e-01,2.948616790228361303e-02,8.338988305586637895e-02,1.474533049014738473e-01,1.498909921118163069e-01
1.260252050410082036e+00,1.775209972925022583e-01,2.977368006323584740e-02,8.465088440912679757e-02,1.482257515169238815e-01,1.489916106823508390e-01
1.272254450890177857e+00,1.793046471310225654e-01,3.006348551163357322e-02,8.592205252309378927e-02,1.489880644932470855e-01,1.472366222064014074e-01
1.284256851370273900e+00,1.810973844233647601e-01,3.035559368110885003e-02,8.720340255362825366e-02,1.497399717070346525e-01,1.467113344436253852e-01
1.296259251850369942e+00,1.828990826519023005e-01,3.065001391931908639e-02,8.849494831100215841e-02,1.504812020342304324e-01,1.539879702692631691e-01
1.308261652330465985e+00,1.847096120213725656e-01,3.094675548794706757e-02,8.979670225989867804e-02,1.512114855000910030e-01,1.509889011137159620e-01
1.320264052810562028e+00,1.865288394982950460e-01,3.124582756068970332e-02,9.110867548592482823e-02,1.519305534573553440e-01,1.505534235620867023e-01
1.332266453290658070e+00,1.883566290961443401e-01,3.154723919777247670e-02,9.243087734847937886e-02,1.526381389537478095e-01,1.529266531298694720e-01
1.344268853770754113e+00,1.901928412198269081e-01,3.185099936811643107e-02,9.376331593335669734e-02,1.533339764410240891e-01,1.529511537800588017e-01
1.356271254250850156e+00,1.920373330959983804e-01,3.215711694648412666e-02,9.510599787452060638e-02,1.540178021970214362e-01,1.557220867254468233e-01
1.368273654730946198e+00,1.938899589127465184e-01,3.246560070867491460e-02,9.645892825798750569e-02,1.546893545647864410e-01,1.547572109296606324e-01
1.380276055211042019e+00,1.957505698195910471e-01,3.277645933152491253e-02,9.782211062182638583e-02,1.553483740970554028e-01,1.553758732642922524e-01
1.392278455691138062e+00,1.976190139274839330e-01,3.308970139290706020e-02,9.919554695615886986e-02,1.559946037008637654e-01,1.545654442587978405e-01
1.404280856171234104e+00,1.994951363088091068e-01,3.340533537173107081e-02,1.005792377031591162e-01,1.566277887822384862e-01,1.575669249797334859e-01
1.416283256651330147e+00,2.013787789973826015e-01,3.372336964794343805e-02,1.019731817570539156e-01,1.572476773909284309e-01,1.551799439462184793e-01
1.428285657131426190e+00,2.032697809884525530e-01,3.404381250252745683e-02,1.033773764641226084e-01,1.578540203651272733e-01,1.591857992446552017e-01
1.440288057611522232e+00,2.051679782386991169e-01,3.436667211750320944e-02,1.047918176226971670e-01,1.584465714761405242e-01,1.614944465021207753e-01
1.452290458091618275e+00,2.070732036662346343e-01,3.469195657592757248e-02,1.062164994831621412e-01,1.590250875729520008e-01,1.559757154967537085e-01
1.464292858571714318e+00,2.089852871506034104e-01,3.501967386189420300e-02,1.076514147479546435e-01,1.595893287266398342e-01,1.546568702639372073e-01
1.476295259051810360e+00,2.109040561999668550e-01,3.534983185072711198e-02,1.090965543942571114e-01,1.601390587170783419e-01,1.613728162273869726e-01
1.488297659531906181e+00,2.128293353686225020e-01,3.568243829934667627e-02,1.105519077000628320e-01,1.606740448851373682e-01,1.657698405161036337e-01
1.500300060012002223e+00,2.147609458637260160e-01,3.601750086190205757e-02,1.120174624231231320e-01,1.611940580620108698e-01,1.591922083642670904e-01
1.512302460492098266e+00,2.166987064012168562e-01,3.635502708736767369e-02,1.134932046471523043e-01,1.616988731292243742e-01,1.591974816116203950e-01
1.524304860972194309e+00,2.186424332061684406e-01,3.669502441954032579e-02,1.149791187817512106e-01,1.621882691418449485e-01,1.633662070094059060e-01
1.536307261452290351e+00,2.205919400127882013e-01,3.703750019703922619e-02,1.164751875624071842e-01,1.626620294508914766e-01,1.609805862707748558e-01
1.548309661932386394e+00,2.225470380644175294e-01,3.738246165330598447e-02,1.179813920504940161e-01,1.631199418250864064e-01,1.621078908572129440e-01
1.560312062412482437e+00,2.245075361135317749e-01,3.772991591660461441e-02,1.194977116332719691e-01,1.635617985719080014e-01,1.628655636385404337e-01
1.572314462892578479e+00,2.264732404217403294e-01,3.807987001002151317e-02,1.210241240238878052e-01,1.639873966579054598e-01,1.650514008304890534e-01
1.584316863372674522e+00,2.284439547597864884e-01,3.843233085146548211e-02,1.225606052613747859e-01,1.643965378282350454e-01,1.635859331054488053e-01
1.596319263852770343e+00,2.304194804075474778e-01,3.878730525366773374e-02,1.241071297106525750e-01,1.647890287253772346e-01,1.653447944055375651e-01
1.608321664332866385e+00,2.323996161540347050e-01,3.914479992418185700e-02,1.256636700625274328e-01,1.651646810069946625e-01,1.648116144892075030e-01
1.620324064812962428e+00,2.343841583678292484e-01,3.950482146561620778e-02,1.272301973321059709e-01,1.655233114897588509e-01,1.638339692824556382e-01
1.632326465293058471e+00,2.363729024214105690e-01,3.986737637351020491e-02,1.288066807870020813e-01,1.658647428046410854e-01,1.652250902891546358e-01
1.644328865773154513e+00,2.383656406034489195e-01,4.023247101908089540e-02,1.303930879359069817e-01,1.661888027045414773e-01,1.642880033742056267e-01
1.656331266253250556e+00,2.403621628589824311e-01,4.060011166591407511e-02,1.319893845973129642e-01,1.664953244467922699e-01,1.665083544185317621e-01
1.668333666733346599e+00,2.423622574802272445e-01,4.097030447469825198e-02,1.335955348984682878e-01,1.667841471399920117e-01,1.645364146848607434e-01
1.680336067213442641e+00,2.443657111065775378e-01,4.134305550322466688e-02,1.352115012753771217e-01,1.670551158241887491e-01,1.648693270855982607e-01
1.692338467693538684e+00,2.463723087246054155e-01,4.171837070638727274e-02,1.368372444727996018e-01,1.673080815497787199e-01,1.702220051803892409e-01
1.704340868173634505e+00,2.483818336680610750e-01,4.209625593618274847e-02,1.384727235442518023e-01,1.675429014550947893e-01,1.674365330144841069e-01
1.716343268653730547e+00,2.503940676178726399e-01,4.247671694171050588e-02,1.401178958520058471e-01,1.677594388426607575e-01,1.676516347917166583e-01
1.728345669133826590e+00,2.524087906021463268e-01,4.285975936917266887e-02,1.417727170670897152e-01,1.679575632540890873e-01,1.689806360939243302e-01
1.740348069613922632e+00,2.544257809961662509e-01,4.324538876187408037e-02,1.434371411692873244e-01,1.681371505435938773e-01,1.672954365384961284e-01
1.752350470094018675e+00,2.564448155223945092e-01,4.363361056022230233e-02,1.451111204471386140e-01,1.682980829500960174e-01,1.678410122151396955e-01
1.764352870574114718e+00,2.584656692504713749e-01,4.402443010172763654e-02,1.467946054979394344e-01,1.684402491678939906e-01,1.692905466385578039e-01
1.776355271054210760e+00,2.604881157367570643e-01,4.441785262248612587e-02,1.484875452419928965e-01,1.685635444523185256e-01,1.691283761368073402e-01
1.788357671534306803e+00,2.625119288907066806e-01,4.481388326965679569e-02,1.501898870755700166e-01,1.686678711648010587e-01,1.663492777109361886e-01
1.800360072014402846e+00,2.645368801387054103e-01,4.521252706223196499e-02,1.519015765362137782e-01,1.687531380767129940e-01,1.704198232700523119e-01
1.812362472494498666e+00,2.665627395665490784e-01,4.561378891745360153e-02,1.536225574941400274e-01,1.688192607195054262e-01,1.676383908329273364e-01
1.824364872974594709e+00,2.685892766545188159e-01,4.601767366068271192e-02,1.553527722379650922e-01,1.688661616028139245e-01,1.667540037021855437e-01
1.836367273454690752e+00,2.706162602773802828e-01,4.642418602539925138e-02,1.570921614747053940e-01,1.688937702360188697e-01,1.670928200960207777e-01
1.848369673934786794e+00,2.726434587043843338e-01,4.683333065320220007e-02,1.588406643297777254e-01,1.689020231481921375e-01,1.681209324594814813e-01
1.860372074414882837e+00,2.746706395992666305e-01,4.724511209380951454e-02,1.605982183469991387e-01,1.688908639064309047e-01,1.721454644156770464e-01
1.872374474894978880e+00,2.766975700202477517e-01,4.765953480505814160e-02,1.623647594885869738e-01,1.688602431325731401e-01,1.665091713227315751e-01
1.884376875375074922e+00,2.787240164200332493e-01,4.807660315290404607e-02,1.641402221351588309e-01,1.688101185182957487e-01,1.691302703033644439e-01
1.896379275855170965e+00,2.807497446458135926e-01,4.849632141142215525e-02,1.659245390857326252e-01,1.687404548385912639e-01,1.644648061224101010e-01
1.908381676335267008e+00,2.827745199392641129e-01,4.891869376280642140e-02,1.677176415577265045e-01,1.686512239636180355e-01,1.686480900973276464e-01
1.920384076815362828e+00,2.847981069365450590e-01,4.934372429736975235e-02,1.695194591869589873e-01,1.685424048689244669e-01,1.703415377038764722e-01
1.932386477295458871e+00,2.868202697194059403e-01,4.977141701439654481e-02,1.713299200382915888e-01,1.684139836513423027e-01,1.679406570072193849e-01
1.944388877775554914e+00,2.888407738849141371e-01,5.020177585071735477e-02,1.731489510072239113e-01,1.682659538217126105e-01,1.670072439739459236e-01
1.956391278255650956e+00,2.908593840250258133e-01,5.063480462754393202e-02,1.749764772409012348e-01,1.680983159220639789e-01,1.685613380501810588e-01
1.968393678735746999e+00,2.928758641079457492e-01,5.107050707063523487e-02,1.768124222871355899e-01,1.679110775725051186e-01,1.693113810748064219e-01
1.980396079215843042e+00,2.948899786262363376e-01,5.150888683234182419e-02,1.786567083479551621e-01,1.677042535994740513e-01,1.690315687415088752e-01
1.992398479695939084e+00,2.969014925968175844e-01,5.194994749160591896e-02,1.805092562796044298e-01,1.674778659934101910e-01,1.714228137012697717e-01
2.004400880176035127e+00,2.989101715609672194e-01,5.239369255396136849e-02,1.823699855925439428e-01,1.672319438649515766e-01,1.676502788096241314e-01
2.016403280656131169e+00,3.009157815843205852e-01,5.284012545153365936e-02,1.842388144514505166e-01,1.669665233996762144e-01,1.657817032001703550e-01
2.028405681136227212e+00,3.029180892568706929e-01,5.328924954303990852e-02,1.861156596752171488e-01,1.666816478114134525e-01,1.664296894314401809e-01
2.040408081616323255e+00,3.049168616929683329e-01,5.374106811378887710e-02,1.880004367369530194e-01,1.663773672941424309e-01,1.662323702029027961e-01
2.052410482096419297e+00,3.069118665313217420e-01,5.419558437568096354e-02,1.898930597639834905e-01,1.660537389725020296e-01,1.662712137394582734e-01
2.064412882576515340e+00,3.089028719349969920e-01,5.465280146720818966e-02,1.917934415378501067e-01,1.657108268509317472e-01,1.656507712244728869e-01
2.076415283056611383e+00,3.108896465914177676e-01,5.511272245345423537e-02,1.937014934943106226e-01,1.653487017614621024e-01,1.656966336392545203e-01
2.088417683536706981e+00,3.128719597123653107e-01,5.557535032609436931e-02,1.956171257233389471e-01,1.649674413101767656e-01,1.616257411889465423e-01
2.100420084016803024e+00,3.148495821241397152e-01,5.604068802572741842e-02,1.975402473102358114e-01,1.645671298434434049e-01,1.662263877555234803e-01
2.112422484496899067e+00,3.168222865940157340e-01,5.650873843491821535e-02,1.994707663652153240e-01,1.641478583738946173e-01,1.629983798360525593e-01
2.124424884976995109e+00,3.187898453788718944e-01,5.697950433168083584e-02,2.014085892773241349e-01,1.637097244544422348e-01,1.613634070615481975e-01
2.136427285457091152e+00,3.207520322703277804e-01,5.745298844273443589e-02,2.033536214154298416e-01,1.632528321365636081e-01,1.645283344558464700e-01
2.148429685937187195e+00,3.227086226473143138e-01,5.792919344472034077e-02,2.053057671454208977e-01,1.627772918724936790e-01,1.654119438872658499e-01
2.160432086417283237e+00,3.246593934760739208e-01,5.840812196420207963e-02,2.072649298302066401e-01,1.622832204153032420e-01,1.632692767143021362e-01
2.172434486897379280e+00,3.266041233101605878e-01,5.888977657766533008e-02,2.092310118297174004e-01,1.617707407181188106e-01,1.620930593458098645e-01
2.184436887377475323e+00,3.285425922904396390e-01,5.937415981151796668e-02,2.112039145009043384e-01,1.612399818325297440e-01,1.593755412217858491e-01
2.196439287857571365e+00,3.304745821450880694e-01,5.986127414209003322e-02,2.131835381977395250e-01,1.606910788062165252e-01,1.664342134818435348e-01
2.208441688337667408e+00,3.323998761895942122e-01,6.035112199563375662e-02,2.151697822712159702e-01,1.601241725798456528e-01,1.618846898211686591e-01
2.220444088817763451e+00,3.343182593267579050e-01,6.084370574832352607e-02,2.171625450693475956e-01,1.595394098832654817e-01,1.572608205425795325e-01
2.232446489297859493e+00,3.362295180466904898e-01,6.133902772625592081e-02,2.191617239371691783e-01,1.589369431310454495e-01,1.573776672985659486e-01
2.244448889777955536e+00,3.381334404268147575e-01,6.183709020544969626e-02,2.211672152167364902e-01,1.583169303173924680e-01,1.584908888145362682e-01
2.256451290258051579e+00,3.400298161751859061e-01,6.233789541310819776e-02,2.231789142681479265e-01,1.576795349058509321e-01,1.545700726418589577e-01
2.268453690738147621e+00,3.419184383840082608e-01,6.284144557258918018e-02,2.251967162799478062e-01,1.570249255311714220e-01,1.573621863451924452e-01
2.280456091218243664e+00,3.437991015471002498e-01,6.334774283437151488e-02,2.272205152333792721e-01,1.563532760867877291e-01,1.554351329753622113e-01
2.292458491698339706e+00,3.456716017047256062e-01,6.385678929454194352e-02,2.292502040679309516e-01,1.556647655831880916e-01,1.581173067838205215e-01
2.304460892178435749e+00,3.475357373368925806e-01,6.436858702377609709e-02,2.312856751344105066e-01,1.549595779163058795e-01,1.568838872435623644e-01
