t,P,C,W,N,dP_dt,dP_dt_noisy
7.601520304060811750e-02,-4.448964813238022844e-04,-2.914382866187452403e-02,-2.765135171629010862e-04,9.393024861024207306e-01,-1.147963225208401689e-02,-1.276559345517837112e-02
8.001600320064013172e-02,-4.919596113693137191e-04,-3.060831928323143325e-02,-3.056745373644753736e-04,9.361155116625801131e-01,-1.204661647602261326e-02,-1.200590557343089552e-02
8.401680336067213206e-02,-5.412838164638534904e-04,-3.206592799299318175e-02,-3.362228844076372474e-04,9.329294331463152679e-01,-1.260994556706272231e-02,-1.398796009355957395e-02
8.801760352070414628e-02,-5.928544920110500379e-04,-3.351666321271194737e-02,-3.681482579191469769e-04,9.297442692757024174e-01,-1.316962893121496891e-02,-6.699309859223932101e-03
9.201840368073614662e-02,-6.466570711297814529e-04,-3.496053339703131951e-02,-4.014403922073646542e-04,9.265600387274810501e-01,-1.372567597997090792e-02,-8.692054403441937249e-03
9.601920384076814696e-02,-7.026770246541765626e-04,-3.639754703368640321e-02,-4.360890562622514411e-04,9.233767601330545860e-01,-1.427809613011318465e-02,-2.783390852494302750e-02
1.000200040008001612e-01,-7.608998611336142796e-04,-3.782771264350377055e-02,-4.720840537553690815e-04,9.201944520784900439e-01,-1.482689880352766436e-02,-2.427196503336602820e-02
1.040208041608321615e-01,-8.213111268327234933e-04,-3.925103878040142602e-02,-5.094152230398790336e-04,9.170131331045179301e-01,-1.537209342701759823e-02,-1.624595388729340936e-02
1.080216043208641757e-01,-8.838964057313841542e-04,-4.066753403138887585e-02,-5.480724371505448552e-04,9.138328217065325720e-01,-1.591368943211981732e-02,-1.802464149000158541e-02
1.120224044808961761e-01,-9.486413195247248888e-04,-4.207720701656707252e-02,-5.880456038037290599e-04,9.106535363345921175e-01,-1.645169625492287277e-02,-1.538348126742981707e-02
1.160232046409281903e-01,-1.015531527623126902e-03,-4.348006638912846333e-02,-6.293246653973958273e-04,9.074752953934179800e-01,-1.698612333588721268e-02,-1.589951368077439572e-02
1.200240048009601906e-01,-1.084552727152218992e-03,-4.487612083535691410e-02,-6.718995990111090513e-04,9.042981172423955050e-01,-1.751698011966727059e-02,-6.927786344412028424e-03
1.240248049609922049e-01,-1.155690652952882534e-03,-4.626537907462779931e-02,-7.157604164060339669e-04,9.011220201955737474e-01,-1.804427605493556450e-02,-2.360437986839697064e-02
1.280256051210242052e-01,-1.228931077581247797e-03,-4.764784985940796747e-02,-7.608971640249357401e-04,8.979470225216651391e-01,-1.856802059420872147e-02,-2.045604562984371100e-02
1.320264052810562194e-01,-1.304259811308695893e-03,-4.902354197525569945e-02,-8.072999229921804442e-04,8.947731424440460435e-01,-1.908822319367542084e-02,-8.874365156213769729e-03
1.360272054410882059e-01,-1.381662702121857263e-03,-5.039246424082076403e-02,-8.549588091137341923e-04,8.916003981407564227e-01,-1.960489331302629409e-02,-1.637137833201705861e-02
1.400280056011202201e-01,-1.461125635722614492e-03,-5.175462550784441784e-02,-9.038639728771647635e-04,8.884288077444998377e-01,-2.011804041528573311e-02,-1.680272355340442503e-02
1.440288057611522343e-01,-1.542634535688842869e-03,-5.311003465108668498e-02,-9.540055982538057184e-04,8.852583893393102255e-01,-2.062767396255234600e-02,-2.319770582098966069e-02
1.480296059211842485e-01,-1.626175364093409605e-03,-5.445870056433568113e-02,-1.005373901817642425e-03,8.820891609590056914e-01,-2.113380341399134429e-02,-2.937417926826960818e-02
1.520304060812162350e-01,-1.711734120923270007e-03,-5.580063220064091639e-02,-1.057959137526735252e-03,8.789211406004179272e-01,-2.163643824199727728e-02,-2.079911452088357288e-02
1.560312062412482492e-01,-1.799296844037362713e-03,-5.713583854328784656e-02,-1.111751593666955671e-03,8.757543462139556478e-01,-2.213558792044008350e-02,-2.159051748133234555e-02
1.600320064012802634e-01,-1.888849609178693770e-03,-5.846432860415515242e-02,-1.166741592667421869e-03,8.725887957030658004e-01,-2.263126192384441390e-02,-2.876802219506728597e-02
1.640328065613122499e-01,-1.980378529974337505e-03,-5.978611142371473980e-02,-1.222919491100498855e-03,8.694245069242336754e-01,-2.312346972723275385e-02,-2.653960303613556518e-02
1.680336067213442641e-01,-2.073869757935439557e-03,-6.110119607103177419e-02,-1.280275679681800198e-03,8.662614976869829064e-01,-2.361222080597039780e-02,-2.397243920460653474e-02
1.720344068813762783e-01,-2.169309482457213410e-03,-6.240959164376461143e-02,-1.338800583270185205e-03,8.630997857538754703e-01,-2.409752463561216224e-02,-2.882128275091604824e-02
1.760352070414082926e-01,-2.266683930818940394e-03,-6.371130726816488787e-02,-1.398484660867761308e-03,8.599393888405119091e-01,-2.457939069175105185e-02,-2.507074053101213812e-02
1.800360072014402790e-01,-2.365979368183972285e-03,-6.500635209907741630e-02,-1.459318405619882547e-03,8.567803246155309971e-01,-2.505782844986858063e-02,-2.458041331252130979e-02
1.840368073614722932e-01,-2.467182097599730436e-03,-6.629473531994030389e-02,-1.521292344815151736e-03,8.536226107006096298e-01,-2.553284738518704633e-02,-2.535491619990961829e-02
1.880376075215043075e-01,-2.570278459997703616e-03,-6.757646614278484121e-02,-1.584397039885416993e-03,8.504662646704634898e-01,-2.600445697252343549e-02,-2.853591526409500825e-02
1.920384076815362939e-01,-2.675254834193448866e-03,-6.885155380823558546e-02,-1.648623086405774348e-03,8.473113040528461593e-01,-2.647266668614521937e-02,-2.350392632721610628e-02
1.960392078415683081e-01,-2.782097636886596715e-03,-7.012000758551031887e-02,-1.713961114094567518e-03,8.441577463285500071e-01,-2.693748599962783943e-02,-2.248165122821619774e-02
2.000400080016003224e-01,-2.890793322660841630e-03,-7.138183677242002090e-02,-1.780401786813387913e-03,8.410056089314055239e-01,-2.739892438571397623e-02,-2.579468286288115822e-02
2.040408081616323366e-01,-3.001328383983949827e-03,-7.263705069536896541e-02,-1.847935802567072898e-03,8.378549092482814320e-01,-2.785699131617455984e-02,-3.194814245312609796e-02
2.080416083216643230e-01,-3.113689351207754065e-03,-7.388565870935459579e-02,-1.916553893503707313e-03,8.347056646190852414e-01,-2.831169626167148387e-02,-2.465343484274427899e-02
2.120424084816963373e-01,-3.227862792568161453e-03,-7.512767019796763590e-02,-1.986246825914623690e-03,8.315578923367623609e-01,-2.876304869162208538e-02,-3.127024878395734397e-02
2.160432086417283515e-01,-3.343835314185141308e-03,-7.636309457339203466e-02,-2.057005400234403116e-03,8.284116096472967650e-01,-2.921105807406527630e-02,-2.481525498262535101e-02
2.200440088017603657e-01,-3.461593560062735993e-03,-7.759194127640496597e-02,-2.128820451040870903e-03,8.252668337497107709e-01,-2.965573387552941295e-02,-3.501467095991663003e-02
2.240448089617923522e-01,-3.581124212089056152e-03,-7.881421977637680099e-02,-2.201682847055101352e-03,8.221235817960651504e-01,-3.009708556090182410e-02,-2.552474954525791803e-02
2.280456091218243664e-01,-3.702413990036282441e-03,-8.002993957127120528e-02,-2.275583491141416892e-03,8.189818708914587964e-01,-3.053512259330005280e-02,-3.063543986637745631e-02
2.320464092818563806e-01,-3.825449651560662492e-03,-8.123911018764505554e-02,-2.350513320307385905e-03,8.158417180940291669e-01,-3.096985443394474971e-02,-3.721359888561683038e-02
2.360472094418883671e-01,-3.950217991932371102e-03,-8.244174117751992825e-02,-2.426463305094411337e-03,8.127031404141752402e-01,-3.140129054089016436e-02,-3.297078790072440618e-02
2.400480096019203813e-01,-4.076705842052214326e-03,-8.363784209286947990e-02,-2.503424444194123945e-03,8.095661548080556047e-01,-3.182944035948369332e-02,-3.155892896562597499e-02
2.440488097619523955e-01,-4.204900073535897988e-03,-8.482742254144735872e-02,-2.581387774920513700e-03,8.064307781912021245e-01,-3.225431334255311755e-02,-3.089035664673085019e-02
2.480496099219844097e-01,-4.334787596485728534e-03,-8.601049216496620131e-02,-2.660344369707963712e-03,8.032970274333161020e-01,-3.267591894244418343e-02,-3.758685956714907100e-02
2.520504100820163962e-01,-4.466355358584839751e-03,-8.718706062911735222e-02,-2.740285334256762316e-03,8.001649193558204587e-01,-3.309426660726975944e-02,-3.863113184309572429e-02
2.560512102420484104e-01,-4.599590345097199703e-03,-8.835713762357097489e-02,-2.821201807533104365e-03,7.970344707318595123e-01,-3.350936578079232592e-02,-3.251144311655692481e-02
2.600520104020804246e-01,-4.734479578867602061e-03,-8.952073286197592683e-02,-2.903084961769087768e-03,7.939056982862994216e-01,-3.392122590230815110e-02,-3.625497398670716326e-02
2.640528105621124388e-01,-4.871010120321673034e-03,-9.067785608195985669e-02,-2.985926002462716521e-03,7.907786186957279639e-01,-3.432985640653295895e-02,-3.315232834788183619e-02
2.680536107221444531e-01,-5.009169067465867042e-03,-9.182851704512913493e-02,-3.069716168377899842e-03,7.876532485884543133e-01,-3.473526672348924843e-02,-3.093766911109735104e-02
2.720544108821764118e-01,-5.148943555887467577e-03,-9.297272553706889542e-02,-3.154446731544450870e-03,7.845296045445095956e-01,-3.513746627839509085e-02,-4.338140311014983264e-02
2.760552110422084260e-01,-5.290320758754594142e-03,-9.411049136734304932e-02,-3.240108997258089700e-03,7.814077030956463332e-01,-3.553646449155453690e-02,-3.426452390896644884e-02
2.800560112022404402e-01,-5.433287886816187510e-03,-9.524182436949421571e-02,-3.326694304080440780e-03,7.782875607253386674e-01,-3.593227077824951571e-02,-2.980903594057085493e-02
2.840568113622724544e-01,-5.577832188402022731e-03,-9.636673440104380484e-02,-3.414194023839032047e-03,7.751691938687824690e-01,-3.632489454863330886e-02,-3.781252877048567329e-02
2.880576115223044686e-01,-5.723940949422705662e-03,-9.748523134349196262e-02,-3.502599561627297957e-03,7.720526189128952277e-01,-3.671434520762545395e-02,-4.076841812381330754e-02
2.920584116823364829e-01,-5.871601493369668634e-03,-9.859732510231758451e-02,-3.591902355804578624e-03,7.689378521963159407e-01,-3.710063215480825100e-02,-3.333941301891028830e-02
2.960592118423684971e-01,-6.020801181315177386e-03,-9.970302560697831551e-02,-3.682093877996116781e-03,7.658249100094053352e-01,-3.748376478432473291e-02,-3.621653220328402423e-02
3.000600120024004558e-01,-6.171527411912321529e-03,-1.008023428109105363e-01,-3.773165633093061681e-03,7.627138085942457568e-01,-3.786375248477807931e-02,-3.338433713089027782e-02
3.040608121624324700e-01,-6.323767621395031888e-03,-1.018952866915294603e-01,-3.865109159252469971e-03,7.596045641446411700e-01,-3.824060463913259156e-02,-3.996668318938899345e-02
3.080616123224644842e-01,-6.477509283578057955e-03,-1.029818672502289534e-01,-3.957916027897299613e-03,7.564971928061171580e-01,-3.861433062461601395e-02,-4.602342199322707189e-02
3.120624124824964984e-01,-6.632739909856982634e-03,-1.040620945123817004e-01,-4.051577843716415092e-03,7.533917106759207005e-01,-3.898493981262343699e-02,-3.953499363617968970e-02
3.160632126425285127e-01,-6.789447049208220501e-03,-1.051359785273390940e-01,-4.146086244664585682e-03,7.502881338030209513e-01,-3.935244156862255371e-02,-4.158158233367871548e-02
3.200640128025605269e-01,-6.947618288189014342e-03,-1.062035293684313042e-01,-4.241432901962487179e-03,7.471864781881080164e-01,-3.971684525206042871e-02,-3.584022614182255650e-02
3.240648129625925411e-01,-7.107241250937437749e-03,-1.072647571329672644e-01,-4.337609520096697563e-03,7.440867597835942870e-01,-4.007816021627164105e-02,-3.910999597438587216e-02
3.280656131226244998e-01,-7.268303599172389919e-03,-1.083196719422346022e-01,-4.434607836819701339e-03,7.409889944936131068e-01,-4.043639580838780806e-02,-4.859064197056331413e-02
3.320664132826565140e-01,-7.430793032193608663e-03,-1.093682839414998054e-01,-4.532419623149890400e-03,7.378931981740199930e-01,-4.079156136924866338e-02,-4.676737676976466113e-02
3.360672134426885282e-01,-7.594697286009103633e-03,-1.104106032953130617e-01,-4.631036682069609826e-03,7.347993866316393508e-01,-4.114366623178141585e-02,-3.672472104884513810e-02
3.400680136027205425e-01,-7.760004128849862237e-03,-1.114466401631271086e-01,-4.730450841114547562e-03,7.317075756201342207e-01,-4.149271971293483352e-02,-3.809389462584560071e-02
3.440688137627525567e-01,-7.926701372379812288e-03,-1.124764047591726712e-01,-4.830653968522335973e-03,7.286177808493488062e-01,-4.183873113311120662e-02,-4.503994796265364808e-02
3.480696139227845709e-01,-8.094776866619546665e-03,-1.134999073252897922e-01,-4.931637966759222155e-03,7.255300179812173011e-01,-4.218170980722420887e-02,-4.218695379006061341e-02
3.520704140828165851e-01,-8.264218498429551363e-03,-1.145171581227903967e-01,-5.033394770363430228e-03,7.224443026284893543e-01,-4.252166504196127489e-02,-4.029379727308034231e-02
3.560712142428485438e-01,-8.435014191510213297e-03,-1.155281674324583480e-01,-5.135916345945161325e-03,7.193606503547295139e-01,-4.285860613570254690e-02,-4.051658445646615786e-02
3.600720144028805580e-01,-8.607151906401816835e-03,-1.165329455545494469e-01,-5.239194692186597939e-03,7.162790766743172277e-01,-4.319254237844101507e-02,-3.881133139786926284e-02
3.640728145629125723e-01,-8.780619640484540328e-03,-1.175315028087913494e-01,-5.343221839841895242e-03,7.131995970524471762e-01,-4.352348305170399001e-02,-4.224105491559618231e-02
3.680736147229445865e-01,-8.955405427978461314e-03,-1.185238495343836490e-01,-5.447989851737190629e-03,7.101222269051289393e-01,-4.385143742847591453e-02,-4.432557912331840794e-02
3.720744148829766007e-01,-9.131497339943551311e-03,-1.195099960899978636e-01,-5.553490822770595914e-03,7.070469815991872187e-01,-4.417641477312254233e-02,-4.547065509706176706e-02
3.760752150430086149e-01,-9.308883484279682763e-03,-1.204899528537774073e-01,-5.659716879912202528e-03,7.039738764522617265e-01,-4.449842434131626168e-02,-3.921971033865000178e-02
3.800760152030406291e-01,-9.487552005726620358e-03,-1.214637302233376320e-01,-5.766660182204078056e-03,7.009029267328069635e-01,-4.481747537996282060e-02,-5.607174675535550601e-02
3.840768153630725879e-01,-9.667491085864027972e-03,-1.224313386157657585e-01,-5.874312920760269702e-03,6.978341476600928850e-01,-4.513357712712927350e-02,-4.582685375258595956e-02
3.880776155231046021e-01,-9.848688943111472138e-03,-1.233927884676209730e-01,-5.982667318766803424e-03,6.947675544042042350e-01,-4.544673881197325294e-02,-4.528173829205295320e-02
3.920784156831366163e-01,-1.003113383272840817e-02,-1.243480902349343442e-01,-6.091715631481680465e-03,6.917031620860405461e-01,-4.575696965467340727e-02,-5.288371445902434465e-02
3.960792158431686305e-01,-1.021481404681419229e-02,-1.252972543932088512e-01,-6.201450146234879952e-03,6.886409857773168053e-01,-4.606427886636116353e-02,-4.440021080067092785e-02
4.000800160032006447e-01,-1.039971791430807473e-02,-1.262402914374194107e-01,-6.311863182428359767e-03,6.855810405005628994e-01,-4.636867564905369776e-02,-4.962508071127066933e-02
4.040808161632326589e-01,-1.058583380098920834e-02,-1.271772118820128084e-01,-6.422947091536055676e-03,6.825233412291237256e-01,-4.667016919558809179e-02,-4.235794521400935986e-02
4.080816163232646732e-01,-1.077315010947663479e-02,-1.281080262609078091e-01,-6.534694257103881333e-03,6.794679028871589699e-01,-4.696876868955686402e-02,-4.759672910972850141e-02
4.120824164832966874e-01,-1.096165527922930011e-02,-1.290327451274950188e-01,-6.647097094749726542e-03,6.764147403496437727e-01,-4.726448330524447849e-02,-4.391871710129721662e-02
4.160832166433286461e-01,-1.115133778654604432e-02,-1.299513790546369951e-01,-6.760148052163459861e-03,6.733638684423679521e-01,-4.755732220756527656e-02,-4.146310418170916223e-02
4.200840168033606603e-01,-1.134218614456560317e-02,-1.308639386346682199e-01,-6.873839609106930336e-03,6.703153019419365588e-01,-4.784729455200244230e-02,-4.593264663843508316e-02
4.240848169633926745e-01,-1.153418890326661679e-02,-1.317704344793950433e-01,-6.988164277413959694e-03,6.672690555757694320e-01,-4.813440948454824481e-02,-5.251301520166247461e-02
4.280856171234246887e-01,-1.172733464946761062e-02,-1.326708772200957953e-01,-7.103114600990351885e-03,6.642251440221018655e-01,-4.841867614164546002e-02,-5.599026930016864911e-02
4.320864172834567030e-01,-1.192161200682701275e-02,-1.335652775075206466e-01,-7.218683155813886143e-03,6.611835819099838307e-01,-4.870010365012984732e-02,-3.993318306254798472e-02
4.360872174434887172e-01,-1.211700963584315047e-02,-1.344536460118917198e-01,-7.334862549934319589e-03,6.581443838192803097e-01,-4.897870112717395835e-02,-4.953516209311155383e-02
4.400880176035207314e-01,-1.231351623168453271e-02,-1.353359934151742716e-01,-7.451645420667504099e-03,6.551075642801653665e-01,-4.925447767799228521e-02,-5.269730241616389643e-02
4.440888177635526901e-01,-1.251112051915696799e-02,-1.362123303938171659e-01,-7.569024427333177242e-03,6.520731377717036148e-01,-4.952744239085754563e-02,-4.880615695055342401e-02
4.480896179235847043e-01,-1.270981126889656095e-02,-1.370826676764662078e-01,-7.686992271895553078e-03,6.490411187254224723e-01,-4.979760435377515726e-02,-5.075466100618840348e-02
4.520904180836167185e-01,-1.290957728859567014e-02,-1.379470160116840760e-01,-7.805541688564741724e-03,6.460115215234885078e-01,-5.006497264496643368e-02,-4.580426132390299360e-02
4.560912182436487328e-01,-1.311040742169312587e-02,-1.388053861632281838e-01,-7.924665442159041159e-03,6.429843604984166738e-01,-5.032955633144285679e-02,-5.015991541925735736e-02
4.600920184036807470e-01,-1.331229054737421112e-02,-1.396577889100508174e-01,-8.044356328104929413e-03,6.399596499330704180e-01,-5.059136446895595718e-02,-5.052261655086386083e-02
4.640928185637127612e-01,-1.351521558057066849e-02,-1.405042350462990530e-01,-8.164607172437070640e-03,6.369374040606614606e-01,-5.085040610194814514e-02,-5.442330470711296414e-02
4.680936187237447754e-01,-1.371917147196070365e-02,-1.413447353813147289e-01,-8.285410831798310782e-03,6.339176370647502390e-01,-5.110669026350473515e-02,-4.875884976976727070e-02
4.720944188837767341e-01,-1.392414720796897321e-02,-1.421793007396344732e-01,-8.406760193439680173e-03,6.309003630792455741e-01,-5.136022597530696260e-02,-5.652955958708187623e-02
4.760952190438087483e-01,-1.413013181076660726e-02,-1.430079419609897595e-01,-8.528648175220395269e-03,6.278855961884046710e-01,-5.161102224758614548e-02,-4.828157504876631062e-02
4.800960192038407626e-01,-1.433711433827118166e-02,-1.438306699003067957e-01,-8.651067725607853448e-03,6.248733504268334515e-01,-5.185908807907884527e-02,-4.423940051412818264e-02
4.840968193638727768e-01,-1.454508388414673878e-02,-1.446474954277066627e-01,-8.774011823677631272e-03,6.218636397794858883e-01,-5.210443245698303388e-02,-5.972786264747879242e-02
4.880976195239047910e-01,-1.475402957780377541e-02,-1.454584294285052037e-01,-8.897473479113498368e-03,6.188564781816650040e-01,-5.234706435691538484e-02,-6.467821051367197982e-02
4.920984196839368052e-01,-1.496394058439925144e-02,-1.462634828032129963e-01,-9.021445732207400078e-03,6.158518795190216499e-01,-5.258699274286952885e-02,-4.950259896709793134e-02
4.960992198439688194e-01,-1.517480610483658461e-02,-1.470626664675354911e-01,-9.145921653859467870e-03,6.128498576275557275e-01,-5.282422656717537801e-02,-4.008473748975974887e-02
5.001000200040007782e-01,-1.538661537576564708e-02,-1.478559913523729008e-01,-9.270894345578015866e-03,6.098504262936152998e-01,-5.305877477045942148e-02,-5.806339901481889082e-02
5.041008201640327924e-01,-1.559935766958278278e-02,-1.486434684038202558e-01,-9.396356939479544312e-03,6.068535992538967028e-01,-5.329064628160606193e-02,-5.954412507561600287e-02
5.081016203240648066e-01,-1.581302229443078480e-02,-1.494251085831673764e-01,-9.522302598288736111e-03,6.038593901954453225e-01,-5.351985001771988881e-02,-5.057500534881752274e-02
5.121024204840968208e-01,-1.602759859419890590e-02,-1.502009228668989005e-01,-9.648724515338456820e-03,6.008678127556543735e-01,-5.374639488408903404e-02,-5.795000283438057204e-02
5.161032206441288350e-01,-1.624307594852286013e-02,-1.509709222466941725e-01,-9.775615914569752915e-03,5.978788805222661207e-01,-5.397028977414937423e-02,-5.650041719383305794e-02
5.201040208041608492e-01,-1.645944377278481946e-02,-1.517351177294274378e-01,-9.902970050531858734e-03,5.948926070333708793e-01,-5.419154356944989176e-02,-5.593213090286878325e-02
5.241048209641928635e-01,-1.667669151811341371e-02,-1.524935203371677039e-01,-1.003078020838218953e-02,5.919090057774076818e-01,-5.441016513961881296e-02,-5.175015470815982205e-02
5.281056211242248777e-01,-1.689480867138374101e-02,-1.532461411071787405e-01,-1.015903970388634843e-02,5.889280901931637224e-01,-5.462616334233080101e-02,-5.665267514929639425e-02
5.321064212842568919e-01,-1.711378475521734693e-02,-1.539929910919191625e-01,-1.028774188341811426e-02,5.859498736697751342e-01,-5.483954702327510644e-02,-5.345013282287430778e-02
5.361072214442889061e-01,-1.733360932798224535e-02,-1.547340813590423747e-01,-1.041688012395945717e-02,5.829743695467262121e-01,-5.505032501612458495e-02,-5.593299131059246282e-02
5.401080216043209203e-01,-1.755427198379290107e-02,-1.554694229913965164e-01,-1.054644783310052479e-02,5.800015911138496350e-01,-5.525850614250573528e-02,-5.948186166076375320e-02
5.441088217643528235e-01,-1.777576235242957561e-02,-1.561990270868035824e-01,-1.067643844894283073e-02,5.770315516113360133e-01,-5.546409921191261527e-02,-5.706323050062871854e-02
5.481096219243848378e-01,-1.799807008977321460e-02,-1.569229047323905113e-01,-1.080684542827504459e-02,5.740642642306500454e-01,-5.566711301513384280e-02,-6.041911134097343455e-02
5.521104220844168520e-01,-1.822118489132323188e-02,-1.576410670427767780e-01,-1.093766226198669006e-02,5.710997421126298157e-01,-5.586755633423455547e-02,-5.583498140488581118e-02
5.561112222444488662e-01,-1.844509649434814338e-02,-1.583535251643820585e-01,-1.106888247851925064e-02,5.681379983475228768e-01,-5.606543794341931064e-02,-6.168476908124749525e-02
5.601120224044808804e-01,-1.866979467051069902e-02,-1.590602902548313713e-01,-1.120049963524231279e-02,5.651790459758916363e-01,-5.626076660363998894e-02,-6.172523845011620297e-02
5.641128225645128946e-01,-1.889526922586788268e-02,-1.597613734829550214e-01,-1.133250731845355380e-02,5.622228979886129130e-01,-5.645355106257025912e-02,-4.916874198604398449e-02
5.681136227245449088e-01,-1.912151000087090186e-02,-1.604567860287886005e-01,-1.146489914337874873e-02,5.592695673268783807e-01,-5.664380005458110462e-02,-5.690972115610781062e-02
5.721144228845769231e-01,-1.934850687036520148e-02,-1.611465390835730704e-01,-1.159766875417176518e-02,5.563190668821941243e-01,-5.683152230071692596e-02,-5.710103242807713919e-02
5.761152230446089373e-01,-1.957624974359045700e-02,-1.618306438497546795e-01,-1.173080982391457028e-02,5.533714094963809726e-01,-5.701672650867271874e-02,-5.445904440908462540e-02
5.801160232046409515e-01,-1.980472856418057440e-02,-1.625091115409849352e-01,-1.186431605461722716e-02,5.504266079615741658e-01,-5.719942137277200106e-02,-5.930370638551635959e-02
5.841168233646729657e-01,-2.003393331016368670e-02,-1.631819533821207424e-01,-1.199818117721788979e-02,5.474846750202237988e-01,-5.737961557394564288e-02,-5.852229241133643373e-02
5.881176235247049799e-01,-2.026385399396216785e-02,-1.638491806092242931e-01,-1.213239895158281512e-02,5.445456233650944888e-01,-5.755731777971143798e-02,-5.543157410305189076e-02
5.921184236847369942e-01,-2.049448066239261540e-02,-1.645108044695630378e-01,-1.226696316650634742e-02,5.416094656392652640e-01,-5.773253664415452929e-02,-5.632045743293252055e-02
5.961192238447690084e-01,-2.072580339666585739e-02,-1.651668362216098251e-01,-1.240186763971093571e-02,5.386762144361300075e-01,-5.790528080790876414e-02,-6.370176444257091841e-02
6.001200240048009116e-01,-2.095781231238695239e-02,-1.658172871350427069e-01,-1.253710621784711460e-02,5.357458822993972358e-01,-5.807555889813866695e-02,-5.390884591479035842e-02
6.041208241648329258e-01,-2.119049755955521031e-02,-1.664621684907451882e-01,-1.267267277649352861e-02,5.328184817230897652e-01,-5.824337952852245287e-02,-6.119555424496767038e-02
6.081216243248649400e-01,-2.142384932256414035e-02,-1.671014915808059775e-01,-1.280856122015690442e-02,5.298940251515453781e-01,-5.840875129923551318e-02,-6.368914605080644442e-02
6.121224244848969542e-01,-2.165785782020150305e-02,-1.677352677085190980e-01,-1.294476548227207167e-02,5.269725249794162680e-01,-5.857168279693505952e-02,-6.307405814693031743e-02
6.161232246449289685e-01,-2.189251330564928946e-02,-1.683635081883839424e-01,-1.308127952520195258e-02,5.240539935516692616e-01,-5.873218259474527470e-02,-6.068490931652188725e-02
6.201240248049609827e-01,-2.212780606648371423e-02,-1.689862243461051627e-01,-1.321809734023756538e-02,5.211384431635859293e-01,-5.889025925224335156e-02,-5.075375797912801135e-02
