P,pH,CO2,S,S_noisy
5.809327190904225091e+01,7.434304775742143434e+00,3.893288815696300986e+01,8.771836914587283207e-01,8.878237331845643121e-01
9.719730758635571988e+01,7.379814333181055730e+00,4.933184240359948802e+01,9.617916580719499953e-01,9.536856108440876501e-01
7.769174935744946708e+01,7.387280632737828867e+00,5.913495972160103520e+01,9.226249483038438948e-01,9.281826051054471449e-01
7.932226086910772267e+01,7.297632537480772008e+00,3.994937080919306993e+01,9.141601541998757297e-01,9.106294890220042459e-01
7.616758155341841530e+01,7.536901230160912846e+00,3.773093686209838893e+01,9.595575624128250825e-01,9.426641403397930663e-01
6.010178532185188516e+01,7.492289637294912374e+00,3.516604120040598502e+01,9.096106652636932743e-01,9.032141401088288335e-01
9.185153345992036122e+01,7.546123839151949397e+00,5.286162358437916708e+01,9.759177298038532733e-01,9.569097365004949340e-01
6.927338538926100853e+01,7.412615530367411054e+00,4.304595354692824571e+01,9.142449171667474950e-01,9.143752168841424721e-01
5.053528664295022566e+01,7.237065492656433285e+00,5.663238368388269350e+01,6.658122025020203338e-01,6.433348779507076509e-01
8.631297041553336769e+00,7.544923575810258853e+00,4.192851124147171760e+01,1.661292187386971264e-01,1.442713313527922703e-01
4.935647348146686397e+01,7.227700480643445502e+00,2.795677002555023805e+01,7.197723013844951057e-01,7.489115376906002597e-01
2.207026853869309946e+01,7.261806403792013143e+00,2.420461186651530738e+01,3.362177174324929574e-01,3.351540330263861334e-01
1.413693345713193672e+01,7.577648052009993584e+00,4.152166720407107903e+01,2.609309433296649328e-01,2.598529028202240521e-01
5.110042733040792484e+01,7.424601909703893554e+00,2.762659686505980616e+01,8.424732924034271653e-01,8.527040208017795386e-01
7.872344396709894454e+01,7.469998964146555842e+00,4.794130776009084371e+01,9.496517840854012960e-01,9.412346440344239173e-01
3.020563783774642630e+01,7.528397066875129440e+00,5.132023781077403157e+01,5.780802046549493589e-01,5.735094973053862510e-01
7.710840423100748353e+01,7.465822854274048126e+00,5.109604245478092821e+01,9.443942457151969228e-01,9.528972204218351116e-01
5.303732279306315434e+01,7.377588515235093070e+00,3.624957467915095322e+01,8.226614734237980286e-01,8.283097902686860081e-01
1.575575431370054247e+01,7.417199767178323633e+00,4.203383059483441286e+01,2.402505035139894385e-01,2.170645689753408492e-01
9.653180665399383997e+01,7.359393517468907575e+00,2.906662242623263381e+01,9.621632733870274512e-01,9.788301253204206853e-01
4.076198616496323268e+01,7.430876169988235524e+00,4.075707258219396323e+01,7.190852025966315564e-01,7.072765037308507141e-01
3.022819131060688136e+01,7.200882812283989409e+00,5.269029912822681183e+01,3.551391272893489326e-01,3.340175482830652354e-01
8.485283869273922619e+01,7.403306438482696983e+00,4.556843217216503916e+01,9.490254103118908047e-01,9.310159089119097731e-01
1.332157291903250318e+01,7.209528713038296566e+00,4.668642903486868079e+01,1.695711877763791120e-01,1.617602808892726618e-01
7.362545564629664341e+01,7.243868779529590185e+00,5.824553475836280825e+01,8.554228448825006437e-01,8.879688499749619490e-01
1.959464951398136279e+01,7.538547309843052879e+00,3.147054961594319877e+01,4.021836829073853758e-01,3.786729648089697808e-01
3.985668582524566261e+01,7.463754446922179042e+00,4.598282959668112113e+01,7.156743621180671200e-01,7.188758799687539058e-01
2.395808796775170535e+01,7.272867148331454423e+00,5.538618125784823576e+01,2.863247532962933661e-01,2.435682661344818201e-01
8.428157127654630187e+01,7.498881010100731714e+00,3.328761847585241185e+01,9.660752221880359869e-01,9.660438835251320411e-01
3.961738064204631371e+01,7.390313307835136847e+00,2.201797387772553805e+01,7.216048207245370216e-01,7.395961490740571298e-01
9.749458847534663164e+01,7.253938510389251526e+00,3.179263151591436554e+01,9.457012978388426028e-01,9.409680313976135357e-01
6.290088695709557243e+01,7.571874278057212138e+00,3.159339499924236705e+01,9.408240860569487829e-01,9.282369875792819691e-01
6.966866063558860844e+01,7.245122039394161106e+00,3.148969483817833392e+01,8.676651878410159835e-01,8.722954091221867268e-01
5.263098709110933271e+01,7.207897143207317114e+00,4.101545619097201723e+01,7.108105152139067018e-01,7.248135502369197347e-01
3.158785170848352308e+01,7.302640691382638494e+00,4.249474444498870440e+01,4.730200781293356638e-01,4.862932295496837920e-01
4.016008568419044167e+01,7.234743962769693226e+00,3.540592970251582727e+01,5.898041225350316719e-01,6.292535996136274790e-01
9.415248457852827357e+01,7.206688583432628192e+00,3.287990342734482141e+01,9.294915841349495889e-01,9.336749335816750817e-01
2.091911687174178169e+01,7.461296750585688642e+00,4.094433182889224554e+01,3.604219118341448480e-01,3.485737098390861988e-01
9.883367122080100842e+01,7.252784855596516422e+00,4.920247617193545864e+01,9.416938218063349852e-01,9.391742380066021578e-01
7.607228033837802172e+01,7.425551937624795151e+00,2.129959543230291885e+01,9.445981701799515129e-01,9.431481992675552206e-01
3.661890572276841027e+01,7.297035931668435005e+00,5.302940429952586499e+01,5.206080214750907764e-01,5.227827691446531588e-01
6.450984536105472955e+01,7.576260054307003777e+00,2.529737162853884769e+01,9.477096716159865153e-01,9.471091153513978567e-01
3.871717239001566924e+01,7.286342395317922715e+00,5.625609420701943009e+01,5.362610268423340099e-01,5.397403456202580774e-01
3.876780033135208470e+01,7.408261890536628869e+00,3.970693892815889114e+01,6.782712975039845160e-01,6.448542962916822274e-01
5.087649206925843259e+01,7.493994903188662349e+00,4.257020961582918517e+01,8.532897504029249847e-01,8.698823295237257947e-01
2.655559341902331116e+00,7.324451967451790502e+00,5.923296470612590525e+01,1.305861923994767748e-01,1.190914070210561254e-01
4.986358443439622334e+01,7.532695756021198008e+00,5.588873082149890337e+01,8.453167823757821164e-01,8.218536084468416325e-01
9.718824293124191627e+01,7.325591580852563567e+00,3.780349803946651832e+01,9.561898583098101811e-01,9.689448815026389106e-01
2.926105764977226542e+01,7.355144025509640748e+00,2.809133301483564082e+01,5.125824238291647461e-01,5.389289439768863987e-01
7.507357794858459954e+01,7.372155313011095501e+00,4.382999765114813329e+01,9.204387326556777715e-01,9.302992956456666018e-01
4.483610011697901143e+01,7.367557648772722345e+00,2.160738448399894196e+01,7.687204503572053760e-01,7.719436366341158040e-01
2.171882321916076108e+01,7.443177461764165947e+00,2.268292181479009173e+01,4.264331643659677873e-01,4.077887582585287274e-01
9.059525451099482041e+01,7.290498244639932679e+00,2.905176869094446701e+01,9.425025073041388701e-01,9.999338540604087999e-01
2.665901183341086611e+00,7.331685644177185601e+00,3.671000725857743419e+01,1.314254655773453018e-01,1.490306379905754763e-01
3.104738373335155543e+01,7.291588812527005636e+00,4.774820473709830537e+01,4.381949603623087608e-01,4.154090669554492687e-01
9.990356235006981933e+01,7.310778099406756603e+00,2.395650305303215433e+01,9.598870013069437102e-01,9.442942429821488126e-01
2.695253282280895846e+01,7.505112930465601906e+00,5.419415247051750839e+01,4.789150862579137358e-01,4.806546712293518486e-01
8.505540766406792841e+01,7.451706701528746812e+00,3.799110779750830602e+01,9.596028254604133112e-01,9.285082028204936222e-01
6.096263171691472138e+01,7.585115720969613839e+00,2.775671369571181302e+01,9.399045825975762547e-01,9.432771907377864862e-01
8.079753504518524210e+01,7.580052016250818703e+00,5.457796772395360563e+01,9.682336222840233209e-01,9.590521911697681423e-01
6.340145778890434514e+01,7.282034178763135301e+00,4.763515569253117121e+01,8.304400208831447250e-01,8.549654328894690236e-01
3.690698884872698926e+01,7.283978414384458588e+00,5.439368075724536311e+01,5.112007324009232301e-01,5.304438256734881341e-01
7.631808967376477426e+01,7.563059184490321663e+00,5.860586826882885703e+01,9.582046560995778339e-01,9.039789473508823558e-01
3.621970341493261358e+00,7.255583930103390422e+00,5.278410363530566940e+01,1.314689601191008639e-01,1.323030118396471277e-01
4.523448222171073496e+01,7.504474018798664936e+00,3.372032070640884882e+01,8.254442706227970161e-01,7.930949206323232303e-01
3.781360241714049408e+01,7.276703905222779767e+00,5.947314771852509807e+01,5.030027684062965410e-01,5.251955283912670414e-01
4.823032655809759461e+01,7.257214665433203926e+00,5.012118733490323308e+01,6.709400353238433867e-01,6.743021527063999265e-01
1.363444796311089213e+01,7.375697555714774367e+00,5.276127689639699270e+01,1.860841376931930136e-01,1.970522467369329456e-01
2.302817972868097129e+01,7.473623870871294983e+00,3.459292193450503561e+01,4.359503464646479753e-01,4.146478518885819975e-01
5.664310741987122810e+01,7.537667473844951616e+00,4.386903311432802610e+01,9.025810503107887239e-01,9.391496550706986968e-01
3.938914244993944180e+01,7.283260418152931237e+00,4.489331184785001483e+01,5.828744719333621704e-01,6.232759392763710382e-01
7.937396435344371071e+01,7.239881576385862161e+00,3.108694395581287750e+01,9.027263153573991117e-01,8.814308945048748845e-01
6.090852233847392938e+01,7.517085167976041760e+00,3.916131856396032163e+01,9.173727224007627301e-01,9.248290248380890421e-01
8.626540179391241736e+01,7.380406890043475165e+00,3.086367846355518907e+01,9.515769862273905089e-01,9.381109376595867522e-01
7.350372289523484426e+01,7.443827867369637197e+00,3.151796540619379883e+01,9.395781764575020789e-01,9.391067777202873890e-01
6.058052132809793733e+01,7.433680602802551718e+00,4.617026772983810190e+01,8.826519958606519056e-01,8.573392562761605884e-01
2.947394461740357485e+01,7.504326998582491193e+00,2.079655287697392296e+01,6.403485136983144699e-01,6.776914239899268777e-01
7.849328632469068623e+01,7.595823565347582296e+00,5.032760944387533186e+01,9.682430256645216948e-01,9.488594354428683264e-01
2.587549023893710043e+01,7.459236595653380597e+00,3.940160162725884874e+01,4.747480176106145811e-01,4.688263413106646960e-01
8.445900069626038231e+00,7.346084614999443652e+00,2.502603650788746847e+01,1.620882321799496928e-01,1.721178908021601395e-01
9.632359326587955195e+01,7.269955930188254811e+00,3.932047989590134307e+01,9.446410308817179136e-01,9.316898173133953964e-01
5.446110930455044752e+01,7.241151527582439407e+00,3.501748663227032665e+01,7.621823171221138171e-01,7.573960685274677695e-01
7.761553545743132076e+01,7.476621663339644286e+00,5.495895919845351330e+01,9.460848102089459699e-01,9.348120132804066396e-01
5.339305795540565214e+01,7.302041443351187766e+00,4.691736678958712048e+01,7.647353751599250682e-01,7.620661600631991606e-01
6.154639330681032305e+01,7.311040455865529530e+00,2.898331416293476792e+01,8.565602221757383505e-01,8.331493694737323041e-01
4.355332801134117915e+00,7.377338750379327514e+00,5.662643958634646424e+01,1.326729540571702504e-01,1.239131925451242427e-01
1.949257425602704430e+01,7.411039415333876335e+00,5.463104685066210209e+01,2.713503105475998378e-01,2.672124520533549763e-01
6.779425014804296268e+01,7.366459208062852149e+00,4.173163156554543463e+01,8.950762418910092055e-01,8.884017218149264927e-01
5.748589519729732444e+01,7.582281739894671801e+00,2.304210329873021124e+01,9.309199475208330687e-01,9.320537466187089892e-01
1.669694836468455179e+01,7.319236442991765124e+00,4.652881137697029601e+01,2.199693978812463369e-01,2.141073534941119183e-01
9.525089760389229809e+01,7.440807450871378848e+00,3.692173260500002385e+01,9.699245725181603328e-01,9.849888006869479407e-01
1.628100962219302517e+01,7.206498169996877756e+00,4.507915911182595181e+01,1.954891343439004725e-01,1.890252158281838790e-01
5.152002172412984748e+01,7.225508736664175480e+00,2.392848593440267280e+01,7.480518160690972085e-01,7.453188241431795147e-01
1.525628462690650977e+01,7.279578752507227080e+00,2.459834227279171870e+01,2.317369423691074126e-01,2.184413156491903651e-01
7.201980088451723816e+01,7.312537149494832356e+00,2.599543676669383885e+01,9.046025262231280895e-01,8.940722294208233167e-01
2.835498839542012206e+01,7.386529327729998151e+00,4.194900389765940929e+01,4.694496165230156448e-01,4.441597607066213871e-01
1.427926353705654350e+01,7.429682960771655686e+00,4.885882169664691332e+01,2.089828150462110234e-01,2.193585134637703049e-01
5.552730886381050723e+00,7.266368443462837945e+00,3.389251654394625035e+01,1.380445153006355230e-01,1.151941549475856835e-01
1.830871825186473956e+01,7.431459902845594101e+00,2.373207625095891871e+01,3.401938967570372618e-01,3.252767687932707763e-01
1.998807295563307562e+01,7.232729215958697111e+00,2.659382830958817578e+01,2.840849057971310265e-01,2.912697988373550984e-01
5.416023587760746949e+01,7.356909886403909304e+00,3.276561334036510686e+01,8.259040820710453756e-01,8.339555493899359906e-01
