S,I,v
4.050409585734180418e+00,7.471038182199661648e+00,1.507136734790210375e-01
1.905985607820525729e+00,6.645665090867445279e+00,9.681144804509941859e-02
1.164861448113832765e+01,7.821078105009418913e+00,2.698254881840410069e-01
6.044053043096559108e+00,2.815535449317494443e+00,4.473078126114960473e-01
1.347269807133154984e+01,4.978618627513644590e+00,4.091149849101855529e-01
4.070357334967444451e+00,4.893025313066341475e+00,2.407208359145702470e-01
1.884805089907930409e+01,1.589590683135715388e+00,6.615310223335646445e-01
7.365692348072087725e+00,2.292158026072794730e+00,5.284037606838393186e-01
2.199356063447567511e+00,1.605111702064487833e-01,6.377359647665626907e-01
1.261925221564021271e+01,8.834692170426118096e+00,2.483836939085565243e-01
1.855037560605056157e+01,4.648306754550068920e-01,7.614514531129038533e-01
8.863505378844100946e+00,9.342564569097100424e-01,7.042339010333278360e-01
1.909635082444566834e+01,6.981005860297168297e+00,3.549367388259458966e-01
1.004792669238417524e+01,8.650875935482075008e+00,2.264664535351312014e-01
8.562049634496602835e+00,6.968661014503104489e+00,2.599061833752508988e-01
1.244224769510601725e+01,7.127103804210747739e+00,3.024052286089541908e-01
1.990242045418294836e+01,3.737173119721770576e+00,5.125285405058781496e-01
1.898397913126152758e+01,7.837381620057578324e+00,3.240214221589894916e-01
9.254898272251011804e+00,7.731074262774136230e+00,2.438616071618553427e-01
1.517880402163499909e+01,3.597568158303622532e+00,5.037852824296491505e-01
9.998711640203616469e+00,9.220358866259438457e+00,2.107610360444562014e-01
1.063331198791573051e+01,4.571384291796302790e+00,4.031468881832814266e-01
1.573713544420476751e+01,6.726444114363010485e+00,3.453045044087779680e-01
8.351651402177848738e+00,4.011506542282202936e+00,4.048428512321983197e-01
1.471622307859571244e+01,5.736348788531041798e+00,3.808435718247354940e-01
1.425174327199602153e+01,8.610215006977406382e-01,7.301373293427670941e-01
1.864798776360622412e+01,4.206589487575551622e+00,4.816663164480216031e-01
2.387159402290013333e+00,7.628469628302806171e+00,9.730654798886795298e-02
1.460740082981855537e+01,8.388906818556639777e+00,2.784545507018865718e-01
1.855573617962874167e+01,3.408966043669260593e+00,5.292920254833582971e-01
1.936173117950046318e+01,5.485479514161173409e-01,7.509987272849106832e-01
3.926554688108488400e-01,1.687717255069997035e+00,1.056132572548511284e-01
1.728643779588695750e+01,2.829959751989747918e+00,5.649470329730456042e-01
1.962578129732024834e+01,4.948350234135791226e+00,4.456899852971744069e-01
1.914848257425817479e+01,2.631568623022761955e+00,5.825381200797130621e-01
3.060403843426708015e+00,3.703773629578810400e+00,2.607943772419847872e-01
1.945531339507680357e+01,1.716942776742780286e-01,7.860087284765219229e-01
1.780971755883835783e+01,4.141523864220771678e+00,4.822628478344367919e-01
1.646523916810710020e+01,6.964210651029587140e+00,3.408438739434023756e-01
9.651759683775859244e+00,4.489041488684409664e+00,3.949911925618046493e-01
4.724221100822146191e+00,1.940198017332298575e+00,4.943169977131595672e-01
1.605742351649432464e+01,9.303268877773643197e+00,2.624280174801364995e-01
1.847825017969104167e+01,1.842267775429775600e+00,6.412061826709124501e-01
5.395992418616621933e+00,8.683268443642139900e+00,1.535755868352990661e-01
1.082479471168151974e+01,1.906589774700369055e+00,6.117774457640630104e-01
8.910781296593176748e+00,1.509019007679243130e+00,6.358529742572072152e-01
1.862724458802498262e+01,4.877572692312774016e+00,4.454330988827847615e-01
9.061631526498491462e-01,6.603073826795844425e+00,5.080554264922515495e-02
1.466692329356555824e+01,4.529771704353157347e+00,4.431706636088085793e-01
1.232602761428503158e+01,5.081523964160626683e+00,3.931153023569995963e-01
6.644707657590690486e-01,6.234657220942287914e+00,4.129197316437864529e-02
1.441247347925213163e+01,4.833276531156524669e+00,4.243830297110625094e-01
4.182354175190822754e-01,9.568546043613446628e+00,1.408193618635226324e-02
1.518322494689291879e+01,1.513208216324514188e+00,6.671823463214560102e-01
1.030389859291535259e+01,3.913384393153291896e+00,4.408233316788672251e-01
1.858917399386042035e+01,1.277259069070405539e+00,6.879120105126237394e-01
1.415041684809087208e+00,1.975571683537175049e+00,2.586551704041941124e-01
1.684221386428642475e+01,6.200389290085794869e+00,3.741799650567158020e-01
1.427131174465317898e+00,8.665506730131523838e+00,5.214619356426882651e-02
6.951768578202090154e+00,3.547727701769037623e+00,4.097388533690813905e-01
8.662944765761881882e+00,8.547599959010653947e+00,2.114045532564127472e-01
1.932463540760299381e+01,3.801419346278599676e+00,5.072517850498853287e-01
1.128841366034629345e+01,7.092978563964994265e+00,2.915050406006096106e-01
5.251405404101551433e+00,1.109246400974737146e+00,6.203653746119831558e-01
4.909346710477464626e+00,5.516963094216852603e+00,2.399113312727715330e-01
1.777355458111767916e+01,3.863868694195649045e-01,7.715710094931792495e-01
4.594801625504755016e+00,1.429324204494849537e+00,5.535513749288527574e-01
2.578638646122141331e+00,3.043138324155303387e+00,2.765259267968447343e-01
5.837782064450793840e+00,4.903744929770825767e-01,7.294203292261534077e-01
1.176384898977338267e+01,8.724089602836418322e+00,2.432725950271045490e-01
1.112640099324802989e+01,8.213072136865882555e+00,2.516912578612499063e-01
1.621324444066427617e+01,9.318237152494257103e+00,2.630569589903155037e-01
1.125347144492309681e+01,2.247290945592808953e+00,5.828937376801169856e-01
5.839582167181088579e+00,4.461359807974371705e+00,3.203642954273025478e-01
8.316637219349765076e+00,8.089807504793256498e+00,2.193489124633201948e-01
1.638060732232111505e+01,2.761893914368538372e+00,5.672838237091554214e-01
1.256747860215309309e+01,6.473364205107841940e+00,3.295390920860609141e-01
1.918564508967909887e+01,3.452583315118812557e+00,5.281346007332334835e-01
7.451147780724449277e+00,3.768945404918111475e+00,4.044135272655518532e-01
1.109696905937361500e+01,6.753725281515913004e+00,3.023757383573886792e-01
1.191909161210204715e+01,9.393414570450595136e+00,2.266999909092232701e-01
1.698099504467369414e+01,8.099680978253044117e+00,3.041050062781430197e-01
2.994923409911981693e+00,3.480455316349093664e+00,2.715213531832750271e-01
8.189555701287719813e+00,6.921605494389004853e-01,7.302277530116800808e-01
1.820818333707970638e+01,9.689889933245671827e+00,2.652870643243473436e-01
9.570310825072629868e-01,3.402238487851094728e+00,1.194932783779736746e-01
1.647185497561188683e+01,7.193443100333936080e+00,3.322507448821664933e-01
8.366142343687370087e+00,5.737499058095152371e-01,7.479345678731356140e-01
1.661309930703424342e+01,1.178398174357253581e-01,8.029749915589483589e-01
2.980957600651099049e-01,6.415928152374169358e+00,1.847052756862503989e-02
7.364418539389585128e+00,8.641757090716067680e+00,1.895668272216659289e-01
1.664737739596233501e+00,4.326123444923367423e+00,1.449888908004349497e-01
1.308703006909910371e+01,6.373586055712471499e+00,3.387002761899225445e-01
5.549597062131187641e+00,7.029349011251091461e+00,2.005616422494511941e-01
1.408277620612974701e+01,8.495463370760120370e+00,2.710309172821253054e-01
1.888164839614760382e+01,9.091824912211465826e-01,7.196296915377752290e-01
2.623660334998830113e+00,5.345338168679294455e+00,1.624075023101951287e-01
1.730908807847540487e+01,4.422937661503077322e+00,4.640972983609281677e-01
1.283336616846735501e+00,3.402575968701221143e+00,1.517923892847324874e-01
7.677333115386699269e+00,3.706937407469890200e+00,4.134733914927608001e-01
8.652503817453673918e+00,4.154474099707129220e+00,4.005375759269221292e-01
9.828105981985938655e+00,1.720324286519721024e+00,6.221500353384237236e-01
1.953160020652728335e+01,8.636983912110318684e+00,3.015423528115149243e-01
1.553625464322638372e+01,2.887870746536038702e+00,5.550147732377230803e-01
6.246261518113293221e+00,3.997223016385591521e+00,3.605143748349506350e-01
5.469752031465922926e+00,5.848102794269360416e+00,2.414276387234392807e-01
1.727609206336742176e+01,6.862458042171485140e+00,3.497361942818184577e-01
1.763801273748002885e+01,4.905317534168468718e+00,4.396450283724673835e-01
1.026305946031854077e+01,4.426354793040395919e+00,4.071990519787560547e-01
6.951485046150271963e+00,3.666406926166916325e+00,4.009316689907946873e-01
1.989885522840226173e+01,5.041219284095701525e+00,4.420597781990514563e-01
6.387276552817233721e+00,2.332993050896648768e+00,5.026596440871663463e-01
3.735976340638592408e+00,2.025937609569194997e-01,7.237399155803506678e-01
1.761395261395098544e+01,9.151573816871366063e+00,2.763500121379566243e-01
1.626547442241395203e+01,1.885287339219107183e+00,6.360212881698429355e-01
1.339099917086988789e+01,4.005248736491640926e+00,4.655914009665750863e-01
1.917243127238124245e+01,5.385590257915600532e+00,4.226703629211882585e-01
1.852172008656693336e+01,3.358847050178951577e+00,5.324071105123708847e-01
1.499014521570490466e+01,4.279218295030762675e+00,4.599140775410031079e-01
1.722795804999878655e+01,3.922261535757392892e+00,4.928987318787149685e-01
5.018220132409938472e+00,4.530820720424345360e+00,2.920932475980593801e-01
2.910806482330528855e+00,7.686128062695755325e+00,1.131101747898724807e-01
1.343423080136722447e+01,5.237259225876983670e+00,3.951487560429771118e-01
1.432090887942957735e+01,8.695607263415457311e+00,2.669668773731789235e-01
3.424353282767216289e+00,6.741473272457873200e+00,1.509782752335369349e-01
7.971589734787031922e+00,5.160277594668553292e+00,3.293149347125371440e-01
1.821408974769948941e+01,3.326674091441646830e+00,5.336542569562331417e-01
1.127187527424943525e+01,7.733627859708991359e-01,7.363805827245831770e-01
1.160888470703282493e+01,3.128811787620895402e+00,5.119582332769301303e-01
3.963182480526791895e+00,6.218176082587020481e+00,1.840263927664227972e-01
1.056784274749571573e+01,4.942880179500326321e+00,3.809949616957361007e-01
1.051635107515890510e+01,1.315353013023757844e+00,6.712446289347054895e-01
1.869819240900812307e+00,5.708711697431912313e+00,1.154295130450836565e-01
1.964065959322145360e+01,2.923376842273043508e+00,5.632130387601116395e-01
1.147077244906991034e+01,2.685907966308567207e+00,5.463253157181937603e-01
2.275367650197723246e-01,3.088269751194041568e+00,3.615094163559327139e-02
1.547571910438523268e+01,6.870105632803228168e+00,3.378059231550600838e-01
1.956748770541889826e+01,6.640036899347698807e+00,3.702647158790898785e-01
1.183841356358691321e+01,8.447752149449472281e-01,7.295288621088490411e-01
6.461664562025032588e+00,2.078982681590987092e+00,5.311256495142041567e-01
3.831403542982919408e+00,5.987767737100617715e+00,1.875308034177185779e-01
1.348328001494569861e+01,8.703176397690315369e-01,7.289618781649112034e-01
3.982637229290419523e+00,7.624344131907616173e+00,1.452021775288896144e-01
1.159598906110539751e+01,7.426480265525973401e+00,2.827641783632629524e-01
1.208455960995455136e+01,1.791850465971329687e+00,6.312355882720348532e-01
1.925221955317518052e+01,9.863482982540070054e+00,2.663957829676560363e-01
1.538078784044547787e+00,8.091427715077582405e+00,6.154301945140147612e-02
1.004945919080650718e+01,1.166944297887402282e+00,6.849699247813060277e-01
1.490753983772469837e+01,8.910380943544165433e+00,2.652472385004389088e-01
3.626812135445709906e+00,2.896279415386038281e+00,3.493115838427325870e-01
7.822527962511932387e+00,4.737162922519587482e+00,3.497600688506891098e-01
1.351620419253929395e+00,1.391648076580969118e+00,3.116507034679130705e-01
1.454502918913795639e+01,4.469855296220300644e+00,4.457863620525574500e-01
1.846580946513786570e+00,8.197727311634999126e+00,7.093304977845266146e-02
7.962324996323554060e+00,5.655688376165638687e+00,3.044562902885539768e-01
1.748310035930256845e+01,7.416173972165496231e-01,7.380609312828096957e-01
9.498776701325228444e+00,3.199304902574680032e+00,4.825043132929494605e-01
1.826117647945362421e+01,5.436005912035283494e+00,4.162688613576072671e-01
1.534175064300355906e+01,4.464458481026465364e+00,4.512884720998332488e-01
1.831494680622413895e+01,4.830155818122677580e+00,4.465757380279509192e-01
2.635319880073236032e+00,9.934569012541359712e+00,7.321035206206956414e-02
1.563901816079577456e+00,4.943302782609587886e+00,1.185493033879503055e-01
1.499492446027439474e+00,9.813171457840233813e+00,4.534806607173674092e-02
1.739020045751165355e+01,5.846293707821759167e-01,7.533423354314769949e-01
1.271799258901411989e+01,8.867170521067752276e+00,2.483728734777268243e-01
9.981776706597173643e+00,4.164107405564148046e+00,4.199896640269342174e-01
3.354513982309957232e+00,8.589895691749381612e+00,1.092828936435534665e-01
1.350729541077274476e+01,9.198456992731671278e+00,2.461368688619386680e-01
6.428546018131380713e+00,5.405540159308079851e+00,2.848737604306039173e-01
1.424650927899230268e+01,1.027405741423236263e+00,7.130973083132186030e-01
9.261071044459763257e+00,3.665008079475087222e+00,4.438695043099380455e-01
1.019865022483608996e+01,7.130411603811548371e-01,7.400672536144851099e-01
1.581434807595142011e+01,8.179819007642052497e+00,2.938768452848943280e-01
1.945634962915276711e+00,9.792615378590529218e+00,5.746039212937922164e-02
1.161729421613769908e+01,6.795895477319135125e+00,3.065683042360466959e-01
4.024975451187783548e+00,3.814565751955748318e+00,2.993196360175365833e-01
1.618192136109000501e+01,7.430929450605447961e+00,3.217093888675623958e-01
9.828036118972271140e+00,9.969144523942436109e+00,1.910672956021965962e-01
1.977503713401960894e+01,4.716458680138387649e+00,4.579905507321465619e-01
3.740572161046802346e+00,9.602862925047883635e-01,5.858916666458398037e-01
1.926408088847291822e+01,5.919949118363970086e+00,3.987722792835415864e-01
1.603824902851131995e+01,8.561324716285730219e+00,2.835519111611919385e-01
9.677083881847844182e+00,6.919409262585544340e+00,2.780406265156284973e-01
1.628932787717474540e+01,7.934414314316056149e+00,3.050848542263161489e-01
1.209669321429821487e+01,4.707877429451009732e+00,4.115127939109353705e-01
1.313690917342846554e+01,7.746654176363597877e+00,2.869060810421124597e-01
1.828244617787703774e+01,6.205138428666387540e+00,3.818761988488398873e-01
1.398881286584698458e+00,1.754569430558285958e+00,2.778774861498445881e-01
1.671626525877217162e+01,8.319946220526352576e+00,2.954307244718576420e-01
7.698114121328151427e+00,3.453025710720591057e+00,4.328040100249932465e-01
6.578357760404017540e+00,6.746524303077226392e+00,2.324602254106859223e-01
1.988113274707868428e+01,4.290187395575285834e+00,4.809823317318626668e-01
1.564569099131992402e+01,9.204035498681516714e+00,2.623319827786547709e-01
9.762149261713796378e+00,3.752089617475466987e+00,4.448316663507667079e-01
8.510305088853145961e+00,1.463725668659848766e+00,6.364054714321499828e-01
1.756282522684874081e+01,3.819978000557214592e+00,5.004404070773414981e-01
1.827615957076393460e+00,1.815774088929552610e+00,3.224415942614989872e-01
1.419753326258593340e+01,8.693339319402031862e+00,2.660517705460495597e-01
1.580417701173240452e+01,4.269783255228654539e+00,4.652949718315108063e-01
1.600400795635068363e+01,5.010399057693404323e+00,4.254670089023123714e-01
6.513505822322652072e+00,8.199449029207766415e+00,1.865045016736849304e-01
1.595311973664648519e+01,8.928357155615394447e+00,2.721765791570514570e-01
4.584035993325736413e+00,6.748671461568600094e+00,1.852482307336127398e-01
7.309928214642924083e+00,5.802868643945833682e+00,2.852804139901271574e-01
8.407217432867158280e+00,6.451997120911122430e+00,2.773193431341537951e-01
1.087405867424027406e+01,8.195519538777453761e+00,2.494210684062579397e-01
2.341011944257088029e+00,3.470884896142098164e+00,2.320441945288451158e-01
8.198261232722192204e+00,8.422045718988773189e+00,2.081664272836238339e-01
1.059837331277658640e-01,9.911549286568456907e+00,3.444334453478800368e-03
1.491317645431323946e+01,3.888025277788370815e+00,4.834585109255266633e-01
1.705233065346171273e+01,7.975592885884584149e+00,3.085947607070826937e-01
2.864740414491930842e+00,8.236536232622770015e+00,1.019081512825141395e-01
1.410533680840927495e+01,4.692891405006147210e+00,4.298839953106267098e-01
1.643995145905331157e+01,7.947302235774580836e+00,3.056478967457066376e-01
1.963838362514869473e+01,5.498133668323523793e-01,7.499842428608571865e-01
1.689143219113766037e+01,9.992561927691190338e-01,7.147851224980178442e-01
8.539719060335855261e+00,3.641550222394840386e-01,7.784156145444603991e-01
1.959580529934216386e+01,8.595207886733446045e+00,3.031084245279649925e-01
1.948228965656186773e+01,3.955300012835176737e+00,4.986777359153502509e-01
1.012317188609152119e+01,7.339461263119262391e+00,2.685845463155390744e-01
1.509358611781971327e+01,2.958820757662088408e+00,5.479129567064733308e-01
1.828536958669593915e+01,8.564479036718314120e+00,2.972074727870507305e-01
9.575326732178185196e+00,3.063762294749494686e+00,4.944161343353445925e-01
1.728934619783198912e+01,6.889122477216412577e+00,3.487827751423949740e-01
1.406121446463126823e+01,9.070349681594205293e+00,2.541933503580701692e-01
5.949092693893696548e+00,4.164453725137962081e+00,3.416373937615648781e-01
1.537628017267112313e+01,8.477761296988315820e+00,2.814700761044375277e-01
1.145662723860403176e+01,6.977123510086943980e+00,2.977620943065513726e-01
1.967518553322794128e+00,1.043175332132767474e+00,4.399348957990026343e-01
7.888470483462816318e+00,4.119965980948252948e+00,3.890629550516725432e-01
1.567446166616337733e+00,8.016327992230261046e+00,6.341529641286021424e-02
9.575722568018210978e+00,9.528673345979507658e+00,1.982351915930499475e-01
8.627938202044182603e+00,2.412423030237583532e+00,5.382317367799105412e-01
8.532375115111902275e+00,2.678787257941489308e+00,5.121474078885215331e-01
1.176737703645660815e+01,1.579618603391064191e-02,8.294757828250525211e-01
2.541544137503861212e+00,6.926874566100576835e+00,1.161061765516101518e-01
1.868200130814116733e+01,5.720723250239472257e+00,4.050238051189761768e-01
1.371260391669315659e+01,7.344308588405618288e+00,3.061122350656781399e-01
1.649324903201615555e+01,2.725209495145841654e-01,7.872532877512310456e-01
1.794634452204881825e+01,6.644037016958879605e+00,3.620889578015726307e-01
1.170806893377717017e+01,6.998885907650752358e+00,2.996769418141159713e-01
9.003425960015538632e-01,9.190515261261960944e+00,3.124070038106208091e-02
1.425858779994338299e+01,4.163148061906418729e-01,7.776176278031829980e-01
1.142361449984082711e+01,6.225451499538630529e+00,3.281043079236112825e-01
1.653654872119094321e+01,9.481385390115288914e+00,2.607844965231011503e-01
1.068999342213944814e+01,6.218577396160602788e+00,3.197425587567838678e-01
1.628355749774742733e+01,2.346267382359293663e+00,5.985959534899348844e-01
1.994050483214258662e+01,4.088011647785347868e+00,4.923724500653193781e-01
7.076040746220972899e+00,7.458169533331911794e+00,2.181458319316363637e-01
3.503326656411414497e+00,8.746219989528045247e+00,1.103909284971140714e-01
7.894328509132665594e+00,5.161198913480363970e+00,3.278274002126018716e-01
1.508569479832695848e+01,6.183398053832673824e+00,3.633369938175429747e-01
8.840655743980297743e+00,9.663915542358299859e+00,1.860879975025073463e-01
1.180876417764137365e+01,6.541673008386426069e+00,3.189100482400548109e-01
2.634433591241253758e+00,4.598234495527014687e+00,1.917039615460060797e-01
1.454985786758620669e+01,1.046431795785059959e+00,7.113168165505585616e-01
5.673639797143338548e+00,7.599815587710406994e+00,1.862734643415475677e-01
3.893289452039962573e+00,9.063942252317524151e+00,1.142776937336765636e-01
1.727270497180557030e+01,4.091872122617069785e+00,4.829567837306722455e-01
1.133181514029982218e+01,3.236402282474531766e+00,5.010838420625508549e-01
9.741528952690380549e+00,1.252257602183074470e+00,6.729303760293476877e-01
1.798659292844483915e+01,4.332137509386765117e+00,4.720961389104856853e-01
1.811647477613951951e+00,9.762427593316543195e+00,5.418172867247139646e-02
1.395347356178376508e+01,5.963713419382489889e+00,3.643317925042084404e-01
6.626847566315589688e+00,4.434205849105088859e+00,3.420993250583236334e-01
3.590654024703113123e+00,3.365153843990387195e-02,7.534616597120064041e-01
1.352849313434884948e+01,5.001345872837267947e+00,4.083604975925717584e-01
7.320156822172427802e+00,2.985733465327441216e+00,4.630003538401100682e-01
6.664927066629322994e+00,2.164679552083235148e+00,5.267164050125280328e-01
1.887918752806083589e+01,3.413485818663775095e+00,5.298428816826714627e-01
4.066036979521774342e+00,7.928406952851025480e+00,1.404240497274531485e-01
1.029225579097092691e+01,5.967021199953563837e+00,3.258996148680969318e-01
5.778626933598504101e-01,3.141596561322510528e+00,8.401285151167819931e-02
3.351025013625427373e+00,8.365352859404978858e+00,1.131042772027919668e-01
1.768003279930788096e+01,5.511558244710221821e+00,4.098545490237071598e-01
1.580602621022825716e+01,6.571009175789691348e+00,3.520498388358986319e-01
1.118102625207440504e+01,3.897423929776110185e+00,4.522281086542512263e-01
4.526822580228069270e+00,8.254355440378859043e+00,1.443982063290187301e-01
1.119917689416399753e+01,5.160002127192186094e+00,3.768571888026837069e-01
3.417158696608898483e-01,4.059243217647736657e+00,3.867170207527321352e-02
1.428857325566461967e+01,3.385480681031633132e+00,5.131403359355362070e-01
1.436333854321818926e+01,6.714588562606907729e+00,3.355723202557924778e-01
1.295629596897046021e+01,9.143619806102631031e+00,2.428707141070383380e-01
1.226563981707650264e+01,9.622193377152440164e+00,2.241861676267969394e-01
1.566957009228296727e+00,2.968780197206690730e+00,2.011958585945260169e-01
5.003478784114413713e+00,6.033198183893414779e+00,2.215338351593352240e-01
1.153012315714884473e+01,2.126219936625330931e+00,5.961338496376892282e-01
7.944316643975061432e+00,8.890137932782081975e+00,1.921930231923646981e-01
1.984126224877075373e+01,9.371269902574368871e+00,2.822080676579118985e-01
1.848253261176610707e+01,6.106627423177533487e+00,3.870689573735304756e-01
3.124957260198486964e+00,8.388588000152989110e+00,1.066309823016350911e-01
1.184021579372566002e+01,7.984690045657971691e-01,7.348006742302196637e-01
1.395468061145878558e+01,6.814153311596891527e+00,3.282555581710654979e-01
2.817213944587633634e+00,7.626842140732862596e+00,1.113267561751603574e-01
6.320653377313307786e+00,9.032571006635588873e+00,1.629900835207661602e-01
1.434676515381733530e+01,8.493529612329520972e+00,2.732089156316142020e-01
1.803205105911444761e+01,6.249754498097087385e+00,3.787066167505941938e-01
6.900678739102090731e+00,1.553617858502787108e+00,6.008250606884113498e-01
4.854979862656483292e+00,8.355204095425907695e+00,1.495486644473288107e-01
1.645366085433126813e+01,2.325437933260290357e+00,6.006288383358294736e-01
1.174115533649099774e+01,6.534119407296520521e+00,3.184942424314266551e-01
9.584109591944830697e+00,5.759848136609346803e-01,7.548309509427082453e-01
5.197385426415056742e+00,2.882072940119387638e+00,4.154989944217593600e-01
1.545901138101587691e+00,5.082828192358722852e+00,1.136239947790757404e-01
4.560392758498076904e-01,8.131711540700596430e+00,1.966906097408688617e-02
1.164140659322548466e+01,1.989942909765518575e-01,8.064595865811537978e-01
3.903094441855488483e+00,1.428128988489683060e+00,5.239835326277172411e-01
1.951310627069372572e+01,7.787468182903491964e+00,3.283216841697822463e-01
2.238796844884330284e+00,1.141560618676454864e+00,4.525853831329068599e-01
9.096566887709457205e+00,1.566460942040617255e+00,6.314339572470375472e-01
7.953729961712102892e+00,7.840387085987488902e+00,2.212005323864385531e-01
4.722998358182065815e+00,2.181602623415961340e+00,4.671649142417023115e-01
1.500023892757830701e+01,5.642865993138169500e+00,3.873428653732478577e-01
1.290972476539817571e+01,3.335232916671975190e+00,5.074174993684688051e-01
1.454257793253220932e+01,8.038519611279082433e-01,7.359775846740028715e-01
1.747890660340244651e+00,8.748062982336005433e+00,6.162944453395240857e-02
7.119593972358461365e+00,3.073644679988452921e+00,4.512385655042113197e-01
1.044467817925121089e+01,4.240379069542868251e+00,4.211381626778017417e-01
8.591750760231796846e+00,7.730909095667819031e+00,2.343858657420604397e-01
9.082894812676300944e-01,8.254757880933059511e+00,3.699862935984024603e-02
3.961146352525784398e+00,1.331086893184469933e+00,5.403458216065865072e-01
1.890599050126206748e+01,3.022566120682701474e+00,5.553306817399373818e-01
3.335137522591032244e+00,8.073717197590205785e+00,1.180589527599966992e-01
1.705584141600922621e+01,6.465056240321660042e+00,3.643164817956809354e-01
1.646052946538235773e+01,2.041328164667604028e+00,6.233895224228922505e-01
7.886745765854348278e+00,8.809835027600870561e+00,1.933532056576808822e-01
9.388992044900842160e+00,5.397500435833300081e+00,3.406457384182198789e-01
