pH,Temp,A,A_noisy
1.024413622769011667e+01,2.792204542234363203e+02,8.176681472348612090e+00,8.283495564608648110e+00
9.289168865819014798e+00,2.918348878252162990e+02,1.124836015764153352e+01,1.191279021240964475e+01
3.761459930438540766e+00,3.106719910624014460e+02,8.274083153027220305e+00,7.422544664612686915e+00
7.342827738510762536e+00,3.211413621655300403e+02,8.366925818238070178e+01,8.327097981949046357e+01
1.092946233494343744e+01,2.981160945886505829e+02,8.108785472639908676e+00,9.423473965721724355e+00
6.137267176352048992e+00,3.144760110563669855e+02,4.188452171195628893e+01,4.220932839131145187e+01
8.470827418896568872e+00,2.808734226413117199e+02,1.836906355142500047e+01,1.775045062203791701e+01
5.335213674061323630e+00,3.053904939570456349e+02,1.972644821971833906e+01,1.916531952558814211e+01
6.639105255104846393e+00,2.901259552964995123e+02,8.357466376794423013e+01,8.499567809102522631e+01
3.422046230074418105e+00,2.836832685050933378e+02,8.545932536712653516e+00,9.017905643152598572e+00
7.888965957050819711e+00,3.135575514238037158e+02,7.514397309118467660e+01,7.325578867155448393e+01
8.900423979690483378e+00,2.992218423229371069e+02,1.894994320355382555e+01,1.947634615868511077e+01
6.302787213612371708e+00,3.116170150882482517e+02,5.338325223959504484e+01,5.250694938991453853e+01
4.080668479812487703e+00,3.217111803526637459e+02,8.335712679844030859e+00,8.232457153486004486e+00
7.979693330960874853e+00,3.006747428156506317e+02,5.842851668200206205e+01,5.684370903509833539e+01
9.084402732304630135e+00,3.137979325935474435e+02,2.249045994864803788e+01,2.221829700373385563e+01
7.449558106288703740e+00,3.130296363898626737e+02,8.428445178927334780e+01,8.352870833113861693e+01
7.845832364218901844e+00,3.194408738990604775e+02,8.011845273559663383e+01,7.892205559876973098e+01
8.788812911469543465e+00,3.024665626318385421e+02,2.384004037923767427e+01,2.476206791795988238e+01
4.819899149610693101e+00,2.948567830577935638e+02,1.468649295823235867e+01,1.716901458886336940e+01
8.306407259845478563e+00,2.986990752208526487e+02,3.941113815388774100e+01,3.997678368130986115e+01
7.142465698762983095e+00,2.999783685287739559e+02,8.439231294923921212e+01,8.459096856575338563e+01
7.551968816353067382e+00,3.081295229584922595e+02,8.134691158475266093e+01,8.011964019609368393e+01
7.146198220378527921e+00,2.855388921197088052e+02,7.802298174604165126e+01,7.776979679166188930e+01
8.568653983670376562e+00,3.034412333822365326e+02,3.256524627077696721e+01,3.189651623045736528e+01
4.793882478887026899e+00,2.848095045062525514e+02,1.866899145994580067e+01,1.680180588721299628e+01
1.045986116295670421e+01,2.990959616106137560e+02,8.337377078798180463e+00,8.887903432980650109e+00
7.039189177763483407e+00,2.943182340317147236e+02,8.417854287063840957e+01,8.411969782445922306e+01
8.903357638570698285e+00,2.886906319142250368e+02,1.437686821787353431e+01,1.365063270917124782e+01
9.831813061929839392e+00,2.798179751261996557e+02,8.472250795569136628e+00,6.975579880572491120e+00
3.257747884442843578e+00,3.013924155399276970e+02,8.138654831585492744e+00,8.583131135773477638e+00
1.078600364754141161e+01,2.942200755991730148e+02,8.122219656027409584e+00,9.471914398646966049e+00
3.065382185161888096e+00,2.893468817362404479e+02,8.173009061053138069e+00,8.268112816064331128e+00
8.214191292447644344e+00,2.903437385977196072e+02,3.442854101614519635e+01,3.391858950455846866e+01
5.184620035283916906e+00,2.995641162189050419e+02,1.932124995178988058e+01,1.993423365170262684e+01
8.354202745743638303e+00,2.840809959164775478e+02,2.346258104569773906e+01,2.248464709818312812e+01
1.083516534171989321e+01,3.033917625708108972e+02,8.178836246672894106e+00,5.998294271299112523e+00
4.543833813743280103e+00,2.860686558207737562e+02,1.390082230402285646e+01,1.561275094158305521e+01
1.098267473865791644e+01,3.001392965147170457e+02,8.107305071214014447e+00,9.794715724612744978e+00
9.237246960711736676e+00,3.087294543213993165e+02,1.651272520290186563e+01,1.621066588196011793e+01
6.050225872955841133e+00,3.112739803873138840e+02,4.097924256488946781e+01,4.104759743369199043e+01
9.845814384014598630e+00,2.986005690062467579e+02,9.336788791612123717e+00,1.100413312736982085e+01
4.689657150053314183e+00,3.073324763401592463e+02,1.067601338847740244e+01,9.574717958420960073e+00
7.055291505560075116e+00,2.972707693529589505e+02,8.451389178304222582e+01,8.463369162165378157e+01
6.673107569171693676e+00,3.148862478778167997e+02,6.810221179181122864e+01,6.896836571288166340e+01
4.897580843052191213e+00,2.957893704431824062e+02,1.551976932529114706e+01,1.725796283727990854e+01
1.078236165964864313e+01,2.836448313407059345e+02,8.067019809015119947e+00,7.263392021306316337e+00
8.749066264286028627e+00,2.997441887794674926e+02,2.315427725380753898e+01,2.233882020482585773e+01
1.011045489865071367e+01,3.099852212081787002e+02,9.313921215483917493e+00,9.502786904259632905e+00
6.582733749005877932e+00,2.822959750663221143e+02,8.461005918939618198e+01,8.403014762014937844e+01
8.923763052818042496e+00,3.102409741797741276e+02,2.503241152054012986e+01,2.657873852216085098e+01
7.462203671973905550e+00,2.810483744213497630e+02,6.005853368770176814e+01,5.930762808875195446e+01
9.428468953133286590e+00,3.063514216041175473e+02,1.304906530957407007e+01,1.323652836134462518e+01
7.341231792667092471e+00,3.140155162971217351e+02,8.463179109314266668e+01,8.480562252912922361e+01
5.314883330650409299e+00,3.024491980203754338e+02,2.085651981258533638e+01,2.058452499420052462e+01
4.884749001057206108e+00,3.061831267843085698e+02,1.236222856516504010e+01,1.067869966947056959e+01
4.582199859700697431e+00,3.195945888136963617e+02,9.165511187454963959e+00,1.048833272279062179e+01
8.069940111231382218e+00,3.054453881219624805e+02,5.936071823665132285e+01,5.955815059577791715e+01
3.380428140460388420e+00,3.083349413421811960e+02,8.128391585375746686e+00,8.812891215319460514e+00
7.409049462312209400e+00,3.197205087201670608e+02,8.445921550191816607e+01,8.505147397708090296e+01
4.763299257387421548e+00,2.855134193208689908e+02,1.765830884082087948e+01,1.709546172992610025e+01
6.645268246464373973e+00,3.168644797355048013e+02,6.494213384322819138e+01,6.450690052530543994e+01
8.358680959409589661e+00,3.042691538075080189e+02,4.311293694776919949e+01,4.267352956807378916e+01
9.549150071612963586e+00,3.153748320357285024e+02,1.393554004665310053e+01,1.509066297498493547e+01
3.231925208737102651e+00,2.830154305780556001e+02,8.367502294122719064e+00,7.843435489154437334e+00
7.777258530238205125e+00,3.060504342928358028e+02,7.324504175859843258e+01,7.099556148213542883e+01
7.600733575257279107e+00,3.089757586282849502e+02,8.067981865406810016e+01,8.036148409301149798e+01
5.850723270049305036e+00,3.039599257103653827e+02,3.917242136986286027e+01,3.825269218394255688e+01
9.422197710846504037e+00,2.884949678885432718e+02,1.000209675241164753e+01,1.093103538549114262e+01
7.753595303445375286e+00,2.913450227918408473e+02,5.860822692456070371e+01,5.795013394901420867e+01
1.012255276903449541e+01,3.182379076593412037e+02,9.899484027678209230e+00,1.029466462926621872e+01
3.057550221687481695e+00,3.160863696312437696e+02,8.041673371994553676e+00,7.979022394126465301e+00
1.012423646389461673e+01,2.817346245302391594e+02,8.271306097276475811e+00,8.438719188883103683e+00
5.899786045598202300e+00,2.993548255136844887e+02,4.678339260962668078e+01,4.588067624921919929e+01
8.603920214902444741e+00,2.794747254536580385e+02,1.526122639993921126e+01,1.478858936687762515e+01
3.099287608048505227e+00,2.824794672121419126e+02,8.279932700967943759e+00,8.199082139472274378e+00
8.570387608961286929e+00,3.125013093093415932e+02,4.159004621177125216e+01,4.203018833374910201e+01
3.242614097280362095e+00,3.079166340179236840e+02,8.095518583798638090e+00,8.479601379323352006e+00
4.711834344901476790e+00,3.048900437532226988e+02,1.117448967401235471e+01,9.987982622082180129e+00
6.193067247814189713e+00,2.820676265756824819e+02,7.876443174708963113e+01,7.843149471075392398e+01
6.564607838328777589e+00,2.946087353351209117e+02,8.022822273644622726e+01,8.117737407919732107e+01
3.377645992488610638e+00,2.980285370589631952e+02,8.218632492896990271e+00,8.898126238536704591e+00
6.394138955608966057e+00,2.976248297263240374e+02,7.251488208324126106e+01,7.194684893179598362e+01
8.605058728371247412e+00,2.908239299858702793e+02,2.121829532261874007e+01,2.070146070902005064e+01
1.069139642551138003e+01,3.026104326009582337e+02,8.238874864243136642e+00,9.776155641910181160e+00
9.759163734842800864e+00,2.969816766709183185e+02,9.492295841378577848e+00,1.019352631337697268e+01
1.086612214625090189e+01,2.785855844972570594e+02,8.040621516990734463e+00,6.322619479134479192e+00
1.075587206003462981e+01,3.184256860053234277e+02,8.452630024985857915e+00,1.052994058378621745e+01
9.910758597336990050e+00,3.008393460954077909e+02,9.298306255706853207e+00,9.981892449322675276e+00
4.929315134425987566e+00,2.874640109940654611e+02,2.022543763085766244e+01,2.048882594676041791e+01
7.408368778671629684e+00,3.095276951699640904e+02,8.400254519480027682e+01,8.350312097404419376e+01
9.167099256886402259e+00,2.828640344469609431e+02,1.056904543024925935e+01,9.470210068910908774e+00
7.372476607201741139e+00,3.136926573019683815e+02,8.464659841904696691e+01,8.399273223519497833e+01
9.656435221573724803e+00,2.900372045163675807e+02,9.285385633012918305e+00,8.485362968081449964e+00
4.513567217020200140e+00,2.809040522025902646e+02,1.536851068728669922e+01,1.419410342604169806e+01
7.498834373644012175e+00,3.187495325634134247e+02,8.461369912181157815e+01,8.256404284583766184e+01
3.748320773649679083e+00,2.919942117339483048e+02,8.712734847442220598e+00,1.009375559026578451e+01
6.988486308608623965e+00,3.229930348727299361e+02,7.413332926612672225e+01,7.545299381059014365e+01
8.640601784664033502e+00,3.220985091367750783e+02,4.811736932645372633e+01,4.868717178755515818e+01
1.065445470466938360e+01,2.870205456126813601e+02,8.109792977002772574e+00,8.226241014785596661e+00
3.632428557002960190e+00,3.112355264233711978e+02,8.198168769882066442e+00,7.558334686978695593e+00
3.112505785572554196e+00,2.792559951107849656e+02,8.351017993169632447e+00,7.875760288716020519e+00
7.806477232472844641e+00,3.200554910670869049e+02,8.130924919630787429e+01,8.124833853016694718e+01
9.275597746682739952e+00,2.931845500826694320e+02,1.160205798981324854e+01,1.070638904368180988e+01
9.034287578667843377e+00,2.798716311646154509e+02,1.089779740161826282e+01,1.117702195921899389e+01
1.096546165412926754e+01,3.035747311717020693e+02,8.133817269536875116e+00,8.076134652373831102e+00
5.178697373247125313e+00,3.126022894114530573e+02,1.409133928088679966e+01,1.375381893261204524e+01
6.028737267738288885e+00,3.076827098622039784e+02,4.376465722244390122e+01,4.393784869573386942e+01
3.328588662413336507e+00,2.999403454877464696e+02,8.176264348654962433e+00,8.234233305040991269e+00
6.134590964436671179e+00,3.200278082538337685e+02,3.635513266020048206e+01,3.731147646389532468e+01
4.030998233134577724e+00,2.827480496297040418e+02,1.030103559388903278e+01,1.003632206098921209e+01
1.072048097251471432e+01,3.148344507130632337e+02,8.413472249649185386e+00,7.426603091979703031e+00
7.313476362622473914e+00,3.041312183867902377e+02,8.374823500017801337e+01,8.406238005782333289e+01
7.404003327888106334e+00,2.843469780589444440e+02,6.702522512824390333e+01,6.831598979559396412e+01
7.149345819974260330e+00,3.119307670099755114e+02,8.365393796062149079e+01,8.549039230486141605e+01
8.777690498163007504e+00,2.913707982889128516e+02,1.757210915926446404e+01,1.848967582733303772e+01
6.939954337709453469e+00,3.076879398217322432e+02,8.183994073033925076e+01,8.059308993675679744e+01
8.713061563853830904e+00,2.875534537281857865e+02,1.698251451038502680e+01,1.626146006260148624e+01
1.084550396508111803e+01,2.826003155705594168e+02,8.054435809436467864e+00,6.548778153896555487e+00
8.432590197960742273e+00,3.229105600353406089e+02,5.973607342958675304e+01,5.986186803189508510e+01
7.862076172907855209e+00,2.907254864701193924e+02,5.219565043200383769e+01,5.204376175524147641e+01
7.439572924768008910e+00,2.991025874278415699e+02,7.911802430549573728e+01,7.813288667885232996e+01
6.165294348672125224e+00,3.041349386648916493e+02,5.480157052323726674e+01,5.640589743145674362e+01
9.777929624453289392e+00,3.129124988295350249e+02,1.120247603485239196e+01,1.213247747155485357e+01
8.974901635370581943e+00,3.175269720846222867e+02,2.860507934892477166e+01,2.825958541625987763e+01
1.087246361735943978e+01,2.902725953652109183e+02,8.080218138775890679e+00,8.999716693528426958e+00
3.280435532338457527e+00,3.038936623987322605e+02,8.128115445270911010e+00,6.136143576972690639e+00
6.754850939289977596e+00,2.918566724257566420e+02,8.427477282156031890e+01,8.479387414966889480e+01
3.992393059153721779e+00,2.897892081119667296e+02,9.406372562637869805e+00,9.638395720527356048e+00
4.393070689578278731e+00,3.137239530877195648e+02,9.001261631284563691e+00,1.131301219151094983e+01
6.408967939328435115e+00,2.830158780876479341e+02,8.290166527559452447e+01,8.431114493294943202e+01
7.862427879667416519e+00,2.788580264960116892e+02,3.689633170547134000e+01,3.762218149188890948e+01
7.747202673466785150e+00,3.157676501791052601e+02,8.065704255337956852e+01,8.045153605770811112e+01
8.676118520292492420e+00,3.023134079458152996e+02,2.743049653998770054e+01,2.710621766184694792e+01
5.117664365896396284e+00,3.043683584422511785e+02,1.585899535746426992e+01,1.631043675686444061e+01
3.554686243948308899e+00,3.034313147078373731e+02,8.246469531471527503e+00,8.162868579228149457e+00
3.251970904209399826e+00,2.897344967434385126e+02,8.259763815086481387e+00,7.694410244928679532e+00
6.068631165324053889e+00,2.888706717241036586e+02,6.780253771919549877e+01,6.920068838897611840e+01
8.286793898199901420e+00,3.089338917407613394e+02,5.214164472208688750e+01,5.177738979313411960e+01
6.767171578544298960e+00,2.999962487184408815e+02,8.186633035469434105e+01,8.022713964133767206e+01
1.016980919679359907e+01,3.109185627058411114e+02,9.202153808792479239e+00,9.661999212765493894e+00
4.946528460748521816e+00,3.094444668934280003e+02,1.226613137458335245e+01,1.181551294373585215e+01
1.090267833695837751e+01,2.800930462322900780e+02,8.040980051187217370e+00,8.302216382004468542e+00
5.312668859661605403e+00,2.851110707836397182e+02,3.537076103263176208e+01,3.631790215408233991e+01
3.354272933902825216e+00,2.790862982615414580e+02,8.617115682822216627e+00,7.436736305887194476e+00
6.908228687170927529e+00,2.847128812007277361e+02,8.291177433458925350e+01,8.113552213397554169e+01
4.667283479563706372e+00,2.933515294559682616e+02,1.320637068978476591e+01,1.223333748519975117e+01
7.828057317868689857e+00,2.912012228075021198e+02,5.458233233767752779e+01,5.539314178647946818e+01
9.384586668497743034e+00,3.157884081293209988e+02,1.658397318552873401e+01,1.838801835481203639e+01
7.488515699340136500e+00,3.018331154147103916e+02,7.949912735485065696e+01,8.110346896018609186e+01
7.943950721712537799e+00,3.115931351254873789e+02,7.146243112141864628e+01,7.106923730717944920e+01
5.799277087686289356e+00,3.222363189204572222e+02,2.246005915177959622e+01,2.245110683363075310e+01
1.069305006202305464e+01,2.962743942561538688e+02,8.169486411658548164e+00,8.602170747292884556e+00
1.004159189412396458e+01,2.781318274794209060e+02,8.263059221366967577e+00,7.512867669391779302e+00
7.904516415292570208e+00,3.130128338404233546e+02,7.416774600821904073e+01,7.418895126138247065e+01
4.186156194498042993e+00,2.905839399260304390e+02,1.008369684088743412e+01,9.912991880414873336e+00
1.048221068636831710e+01,3.224441727208639463e+02,9.020098671089010978e+00,1.016210182857136246e+01
4.014059027197023788e+00,2.875851696762317715e+02,9.673915773481898128e+00,9.247243844955793435e+00
8.508447673265663980e+00,3.104406022705300643e+02,4.245537052431005520e+01,4.434751614169267242e+01
6.540289586900956742e+00,3.178668301384612960e+02,5.879182700400475170e+01,5.964697522560945941e+01
4.240180386155212311e+00,2.870844907316337071e+02,1.086216854264600506e+01,1.103214546640201199e+01
9.959852110635036837e+00,3.123972880299460257e+02,1.007845037310047331e+01,8.462478370449129983e+00
7.644243231320796639e+00,2.855421399501260566e+02,5.673845031847022824e+01,5.695447967717281301e+01
8.079633611821162020e+00,3.086485312899086466e+02,6.242456720639096801e+01,6.252041973455641966e+01
1.081608198472395799e+01,3.032097707776011930e+02,8.185087228802563786e+00,9.590537492317263712e+00
8.226540281845053926e+00,2.791351127686699556e+02,2.338282192435525531e+01,2.377381063459317545e+01
9.145050323492728950e+00,2.950966228245818002e+02,1.331127035827622329e+01,1.553487025095414609e+01
9.919455668498052603e+00,2.844334150518542970e+02,8.509979803542869092e+00,8.443508773138683310e+00
3.287291156161981753e+00,3.019206132313662465e+02,8.144317944099418227e+00,6.510166888268273055e+00
5.865538811602106328e+00,3.069726493176607960e+02,3.674513263154705101e+01,3.733065266993894227e+01
7.051930556778945203e+00,3.144298196738666320e+02,8.114940269985876853e+01,7.982434574493636603e+01
1.070306992126835866e+01,3.228488588535099666e+02,8.627591522153890580e+00,8.757515693028226522e+00
3.408166343376164420e+00,3.093316083575970197e+02,8.130145137315837545e+00,7.446743775623384742e+00
1.094572971741242284e+01,3.219986086201928970e+02,8.346089403425635211e+00,9.538175704033141855e+00
9.124586354105549191e+00,3.012484862842210305e+02,1.557342194637186594e+01,1.471987395525443887e+01
6.404800302392612998e+00,2.810195019859193621e+02,8.356402400124531482e+01,8.438105489827201211e+01
7.665360030025635929e+00,3.067999811568814721e+02,7.766379384087746018e+01,7.596436115826047342e+01
8.717191573538700666e+00,3.114799523186005104e+02,3.379924152046247343e+01,3.484169327870099409e+01
1.052288121222196793e+01,2.972180064214653044e+02,8.263800954824850109e+00,7.151887543742677877e+00
9.661506123180561900e+00,2.859166088328591400e+02,9.003218145547293716e+00,9.335809541346231200e+00
7.420997025074025366e+00,2.932365573389279803e+02,7.535697039402775488e+01,7.648586805075093764e+01
9.628578797985307247e+00,3.089380056527293732e+02,1.168683490572776051e+01,1.124980079879728478e+01
8.288062306643897870e+00,2.936072255052088167e+02,3.469618917621498611e+01,3.461479285419013507e+01
9.507724949121575619e+00,2.939719893231019228e+02,1.023789869696926580e+01,1.156939143369060297e+01
9.287181784349417768e+00,2.902118332533328271e+02,1.098420865096025700e+01,1.116908356078658215e+01
4.060403825802082700e+00,3.068433546638723328e+02,8.659036403558811656e+00,8.792777174090774750e+00
5.902900647109503574e+00,3.217248524618594843e+02,2.593893307989051777e+01,2.728823169868097054e+01
8.218930681924927484e+00,2.984333917454970333e+02,4.338471899333166704e+01,4.393303989024604306e+01
3.087494173765633398e+00,2.984452562028643570e+02,8.109722019690190464e+00,8.068259532807417145e+00
3.802637621738117701e+00,2.980877791537649273e+02,8.577547096100014201e+00,8.986964106055998158e+00
5.537956245915530928e+00,3.063718711128979066e+02,2.466860341570793835e+01,2.254890498511070973e+01
7.026419489461146028e+00,2.893542231892358245e+02,8.290486016703597727e+01,8.029767688938984804e+01
9.265488318268959134e+00,3.177464715223533176e+02,1.992497432598383611e+01,1.896535717977712210e+01
3.867759635028828136e+00,2.938569144972136655e+02,8.844043406940809149e+00,9.380483662955056090e+00
5.755863416046623549e+00,3.140864242640366797e+02,2.630401537889810371e+01,2.541052222104578817e+01
1.054248378180963286e+01,3.025815131019031128e+02,8.335729384204856984e+00,7.790079901859928491e+00
5.869578332692960920e+00,3.105782557764069338e+02,3.347033649355275031e+01,3.377312644856554869e+01
9.897841404100002904e+00,3.201346804568108269e+02,1.142917144747637259e+01,1.214877292928256303e+01
8.205418426660852305e+00,2.827572550447355866e+02,2.716900987869367867e+01,2.782523424594780437e+01
8.288207885505313399e+00,3.173465454234307117e+02,6.128729296080349798e+01,6.073411368930075582e+01
4.399936890570093517e+00,3.086928842679014906e+02,9.301744316596833428e+00,9.842691605235268426e+00
3.402195989757773376e+00,3.226072817227142764e+02,8.067723062415794288e+00,7.908922392460168815e+00
4.244808899926560741e+00,3.049929687212453473e+02,9.102785732480548120e+00,9.261453654269436342e+00
1.095348283305900949e+01,2.847867049468162008e+02,8.048384617880834924e+00,9.266945857677040266e+00
8.096498433108935799e+00,2.816574959405116374e+02,3.013013360814450436e+01,3.270857495872287757e+01
9.983920086666490334e+00,2.910591449458989928e+02,8.645267286432616771e+00,6.887041522836836904e+00
5.716915075995524731e+00,2.930708896309326974e+02,4.510547848343402677e+01,4.447060981325223850e+01
9.076520668437041195e+00,3.193915251843846477e+02,2.636225321220464224e+01,2.480419910520254234e+01
8.441356737936679622e+00,2.983529475258101797e+02,3.297674428350490672e+01,3.188632785844353279e+01
3.890923808235006831e+00,3.054476304867790759e+02,8.480189335454166866e+00,9.817696843233800763e+00
7.977178844945891356e+00,2.793069288972841377e+02,3.241434310376665451e+01,3.512833630638043303e+01
6.567710162266789276e+00,2.801125505482905851e+02,8.465080731036768213e+01,8.571247764046216844e+01
7.888298762789838214e+00,3.010992163524923626e+02,6.347698437689425077e+01,6.293805251941462586e+01
1.052836203680863747e+01,2.893868456957806075e+02,8.168245809532900026e+00,6.572324700328359803e+00
6.996034565175409448e+00,3.102746427128811320e+02,8.182936177462764249e+01,7.990300203993905370e+01
7.300941878773517857e+00,2.962759138183160417e+02,8.090436052050745275e+01,8.213244224323381104e+01
8.950083922857382746e+00,2.991210848536157982e+02,1.784201698322391394e+01,1.882255469988011498e+01
8.862162850406132719e+00,3.051410480162138583e+02,2.345579945281966161e+01,2.318081963989528660e+01
3.931155117910024366e+00,3.210011271279132075e+02,8.246180456783260837e+00,9.552320866216586381e+00
5.224953941442887384e+00,3.109281668533585048e+02,1.525982401421087786e+01,1.596346147359858847e+01
3.883200636491237923e+00,3.130294817886930332e+02,8.322647309419849648e+00,9.494356093229928462e+00
8.902492996992410923e+00,2.983769692449892545e+02,1.847199610612320342e+01,1.815039229220191075e+01
4.880717715593882566e+00,2.859899354646477150e+02,1.995700723602591964e+01,2.142080783374451158e+01
9.468399377767324765e+00,2.899569235455647345e+02,9.958869385002170560e+00,8.570498490468992259e+00
1.031154870533185530e+01,2.956538561345454923e+02,8.393394886224351481e+00,8.824576666611806175e+00
6.541738048080660839e+00,2.903409824108286443e+02,8.198536339538965478e+01,8.352654670686290217e+01
1.021192337185757992e+01,2.789914721983859067e+02,8.187591031694051225e+00,7.871943252954476833e+00
9.820623087740610657e+00,3.152076169635841438e+02,1.124507028362017458e+01,1.169795193986514548e+01
9.197109054013319351e+00,3.069697239744095327e+02,1.653654582386379346e+01,1.682434921970724417e+01
5.983663915154871837e+00,3.046457871752990059e+02,4.489516699297977453e+01,4.467175961544262464e+01
6.850924217298098640e+00,3.041100696820426492e+02,8.166023112449870780e+01,8.096831261940675972e+01
9.444312406733969212e+00,3.050811860581218866e+02,1.258330207632648978e+01,1.162495205533222986e+01
1.074678144498754762e+01,2.855534333206946940e+02,8.081463849315223769e+00,8.002334004224254116e+00
3.191809745331656956e+00,3.039895589158462599e+02,8.103973337959809342e+00,1.058991924793263983e+01
4.418902617687997747e+00,2.908026006295623347e+02,1.146231156481583646e+01,1.110877622035519785e+01
