c,D,R0,R0_noisy
9.700559404097687022e+00,3.018436648096660679e+00,2.529069793991688631e+00,2.556834978269628245e+00
1.698030762710196484e+01,1.286101586676052122e+01,1.503045931757496456e+00,1.522860560119827067e+00
2.467973106654667070e+00,5.132075379699675644e+00,2.463466361158701989e+00,2.404866473239977154e+00
1.407814100049859007e+01,5.602589942620073593e+00,2.370140083242917139e+00,2.465798620605227143e+00
1.710708030267834445e+01,1.630943732441471283e+01,1.307172582630421909e+00,1.245971772593410520e+00
4.455945205333902592e+00,6.811832017050569732e+00,3.422875245081105078e+00,3.338910726995247824e+00
1.090132749465070994e+01,4.699093587277100248e+00,2.797646832244453652e+00,2.707093943748920317e+00
1.563200072544127650e+01,1.843464807812782524e+01,1.399163780902860088e+00,1.400462326268913094e+00
9.814988206599263521e+00,1.038141054313234157e+01,2.937865766531307266e+00,2.954759329038662230e+00
1.311725371944071483e+01,1.182000833809460616e+01,2.186120293432375572e+00,2.208168988979107628e+00
1.302226904773727334e+01,1.690520162474814114e+01,1.875590200171915578e+00,1.858722201261141072e+00
3.706101422548785607e+00,3.799372325538043604e+00,2.576422810729386281e+00,2.535789059627593378e+00
1.805189561709022428e+01,1.239976087082207812e+01,1.391199762049436517e+00,1.433337991149838508e+00
3.147619985599351189e+00,6.983586629788074873e+00,3.105306317366555824e+00,3.060427048038466769e+00
1.783506352487613000e+01,6.945982257221969824e+00,1.763878371734569406e+00,1.703386361435577756e+00
3.403273962758719406e+00,1.715930619240055677e+01,3.327893463543865060e+00,3.397959246918525800e+00
1.663459071200405148e+01,8.959994386462955873e+00,1.804401405992723806e+00,1.813279981399866347e+00
2.567230050494555016e+01,1.314004633767511265e+01,6.836512610016706182e-01,7.072157557712196452e-01
9.375091549037117389e+00,1.811831619311086428e+01,2.512034835597074078e+00,2.543326870829299313e+00
3.399600843964534658e+00,1.835609759545175246e+00,1.533902501074690283e+00,1.505312645624724333e+00
1.029392267485753010e+01,1.178539266977569433e+01,2.745106109549538154e+00,2.718462980249462202e+00
1.331047661113440483e+01,4.467645264075391864e+00,2.441757278705670053e+00,2.473786362858952259e+00
1.875280259516411263e+01,1.298009381953591479e+01,1.276008981596348901e+00,1.245151420402463405e+00
5.394423081590703717e+00,1.971323508513067591e+00,1.938461612579844839e+00,1.955262647152078426e+00
1.114879547984947594e+00,1.300899030023516012e+01,1.932552342651852939e+00,1.928079365005448187e+00
2.544938708937737104e+01,6.541881758524739965e+00,9.876254885003062922e-01,9.279119127082398055e-01
1.419759022069487919e+01,1.129540091398715873e+01,2.031116936460057865e+00,2.079436474906698695e+00
1.763528765581515856e+01,1.113898619775595300e+01,1.519661331194398279e+00,1.455193233704282996e+00
2.423851672863710149e+01,7.072118267883980458e+00,1.057480077552137132e+00,1.069128249778625639e+00
2.313416409982997735e+01,1.817183583332777275e+01,6.960904940158947340e-01,6.994397279706364712e-01
2.599608788934714099e+01,1.307979864090766320e+01,6.663766936304780231e-01,7.297072544951744844e-01
1.033658006344977309e+01,1.666370123486074206e+01,2.401951587030224378e+00,2.345970325855050387e+00
6.620042049741032386e+00,1.363656376175433316e+01,3.351693756422972736e+00,3.324533921344793974e+00
1.368403884224314249e+00,5.837419387927403669e+00,1.783702415449309742e+00,1.778687088208968259e+00
1.248565448496279195e+01,1.246576697766819120e+00,1.380682833252086184e+00,1.389725186426240544e+00
1.858864901806821024e+01,1.721144060020989741e+01,1.101867418310787050e+00,1.145290275497675037e+00
1.742901130580358426e+01,1.047992752335308531e+00,1.026316343837447409e+00,1.041871272822020300e+00
2.648567035776105172e+01,1.040785515542644113e+01,7.315639009783074798e-01,7.328069300888050419e-01
2.500557136886154552e+01,1.543266733289808101e+01,6.545009646217642141e-01,7.059178541144291996e-01
1.539952339537805770e+01,1.424401412208314532e+01,1.646454756787322005e+00,1.751257933922887311e+00
4.558039821441784767e+00,1.933979316606700039e+01,3.296114741150643734e+00,3.228338489070352146e+00
1.551672145263781388e+01,1.002417744517917697e+01,1.902176131794842462e+00,1.901888802462379013e+00
2.766509658389078297e+01,1.475762003704908309e+01,5.321651747444952063e-01,5.701471695437821952e-01
2.654481852129238106e+01,1.084065696541064128e+01,7.112190054167153441e-01,7.155061382125343927e-01
2.054819220588551687e+01,1.866578584844357991e+01,8.703508755379056883e-01,9.420827638904554213e-01
2.010826645333093410e+01,7.436712163924408259e+00,1.447524189220295243e+00,1.430815568489705258e+00
2.504193144459098264e+01,1.624468314761885779e+01,6.305633812938993277e-01,5.798631973279266827e-01
2.092411390956849715e+01,7.155230255267989392e+00,1.372805719834523153e+00,1.416331256328638766e+00
1.910159267880437284e+01,1.946270553321479824e+01,9.713392599790158233e-01,8.326942769803198363e-01
1.265108611220597723e+01,2.837467979091295778e+00,2.213073590980796368e+00,2.189285651121204879e+00
1.258569611435810209e+01,1.595246539686626264e+01,2.009079016706281529e+00,2.127382997156863631e+00
1.510396259974305799e+01,8.834148039055792268e+00,2.051596709597780510e+00,2.052908889051485719e+00
2.657016706945233153e+01,1.239716906560959586e+01,6.551679575146976964e-01,6.730561692703180832e-01
1.960427832574454499e+01,3.083182317809261885e+00,1.569272136443944810e+00,1.521691832549898926e+00
2.493848327117640551e+01,1.897670362299963998e+00,9.905486088777246678e-01,9.893892658687006847e-01
1.557774604371177851e+01,1.475744381396470217e+01,1.590803863219821812e+00,1.583693921121411607e+00
1.655749755447276073e+01,4.494361548508960524e+00,2.003412984938973906e+00,2.096329806641451299e+00
2.126499570946190687e+01,1.322155254443288541e+01,1.007868024066263191e+00,9.573639069352453124e-01
2.114271206470122166e+01,1.159146073067956273e+01,1.095649836563992396e+00,9.575616542507231488e-01
7.364730255353818755e+00,6.237806728133894474e+00,3.378724346963178693e+00,3.399056903170217137e+00
2.788110734159266357e+01,4.045474302168278413e+00,9.198940865046328907e-01,9.973948769817390092e-01
7.515536807553016452e+00,1.273138674390053460e+01,3.246997339159749529e+00,3.212564061408139438e+00
2.008705438123554643e+01,1.433032075729699351e+01,1.070147337420451983e+00,9.789708677216961696e-01
1.150829674944009362e+01,9.466751168782204573e+00,2.659057111515298111e+00,2.605416019140360362e+00
9.163538263279992435e+00,1.485398529844804294e+01,2.769335640223756112e+00,2.791014122241740836e+00
2.980355382012261956e+01,1.378876428704773538e+01,4.621633144076356392e-01,4.340503829400755298e-01
2.070639474384113043e+01,1.613484576469191012e+01,9.413233092573612959e-01,9.434421639534505966e-01
9.217419693503547506e+00,1.173550318692904249e+01,2.971462022100967992e+00,2.853586193579625618e+00
2.208848165238252648e+01,1.933601494233966633e+01,7.355700507326117243e-01,7.095518989059512727e-01
2.282688027078707194e+01,1.428728279531868317e+00,9.721514060395486378e-01,1.011564718673973129e+00
1.152318669379129012e+01,1.976573522261166005e+01,1.987348747030020402e+00,1.974115729160209831e+00
2.806177526071578754e+01,3.057518432148713217e+00,9.136495081618238867e-01,8.624473942878359001e-01
2.911506880028007060e+01,7.138336511270487073e+00,7.128036081264436108e-01,7.654000912736607098e-01
8.697252396285747977e+00,1.222441342448823143e+01,3.045867479644295717e+00,3.095216404046496450e+00
2.218997282337320343e+01,7.968104225059178702e+00,1.193063097148918006e+00,1.169792839922881189e+00
6.855111757447883924e+00,4.916808640875277803e+00,3.227388314009778991e+00,3.190296669622557868e+00
7.334157278823232318e+00,1.124067098486631266e+01,3.363565145268192058e+00,3.427468235410658259e+00
2.340670314013241082e+01,1.072924426190612657e+01,9.371183097404848228e-01,9.096218865643190821e-01
2.841125711385679864e+01,1.996266396206853244e+01,4.023978269028932742e-01,3.942297095138384000e-01
1.538315187759268987e+01,5.620684266371397619e+00,2.171736279559687066e+00,2.261784635267580779e+00
1.010690757810183626e+01,1.130748090645937687e+01,2.816938097991716017e+00,2.826281109527273294e+00
9.186900051317518745e+00,1.541449319375176685e+01,2.726460230458620071e+00,2.701689206084906480e+00
1.415998032604353085e+01,1.711894770623392859e+01,1.676416641874044933e+00,1.577595992202067698e+00
1.956813923634714314e+01,1.532569946888556167e+01,1.078805533563481189e+00,1.080575857278847307e+00
2.765069752753769095e+01,1.047910962038747762e+01,6.599933352409936838e-01,6.556638135763888098e-01
2.267805358028618912e+01,8.378865266441653858e+00,1.122771665534805008e+00,1.091579593107310453e+00
2.650725701993371430e+01,8.479238108679247432e+00,8.131723604573148911e-01,8.594497126664883968e-01
2.300622346500031767e+01,9.865395579645742430e+00,1.012864170110068240e+00,9.482934874777634304e-01
1.348137885112080880e+01,1.893473920942341593e+01,1.691116392901103715e+00,1.611972573281038379e+00
2.865013762000103270e+01,1.957143031753004081e+01,3.996587778395711554e-01,3.602505502515669367e-01
1.860373900179111217e+01,9.871266256261408856e+00,1.474708401343953534e+00,1.471987818420555705e+00
1.414288786733287573e+01,1.208463737442606423e+01,1.985697417412939147e+00,1.909200433690754872e+00
2.067933212109229757e+01,6.795613145336527161e+00,1.421207432277606708e+00,1.360773907509647662e+00
2.285005752183995043e+01,1.198784997286042930e+00,8.777395580762689109e-01,8.338338925280351921e-01
1.756901735595821989e+01,7.579459181200010498e+00,1.761790396774157497e+00,1.757231128097157757e+00
1.501713902040277482e+01,1.758972132106130459e+01,1.523743890757591757e+00,1.485235507757361351e+00
2.750262982757435282e+01,2.640321565954524718e+00,9.312738691131045021e-01,9.765966917944646219e-01
1.572935534798239132e+01,1.202631955664892338e+01,1.733557484412856509e+00,1.619143347819875345e+00
1.660346828111248385e+01,2.831417819356960575e+00,1.821332494582504458e+00,1.837362256806205130e+00
2.816261450143604961e+01,1.084696421359672058e+01,6.192933154534489004e-01,5.851575041821868162e-01
2.887331731331383367e+01,1.182129027718674230e+01,5.531520095775477319e-01,5.718099070390999517e-01
1.990244962830292508e+01,1.823788641083270434e+01,9.389609145676865998e-01,1.033132648642911544e+00
1.341812929696147272e+01,1.415299153294404988e+01,1.973481335314301699e+00,1.965320983448465730e+00
5.196666123697322170e+00,1.737053571327380652e+01,3.342376696067995479e+00,3.347531764406108667e+00
3.885362098895371208e+00,1.383699700028160429e+01,3.495286435767455568e+00,3.532384816526524585e+00
9.827157731162451171e+00,6.772040634819761706e+00,3.071382100036200491e+00,3.000342185498544367e+00
1.288919526091858447e+00,1.181483565424367832e+01,2.114125144499912956e+00,2.142543132494124869e+00
2.559599533260317727e+01,3.100531711917790645e+00,1.075533652326945644e+00,1.111651412210530543e+00
7.487462814841777892e+00,1.274270775953737811e+01,3.251562029856338576e+00,3.240133886390013096e+00
5.623321798288259288e+00,1.815636235024307155e+01,3.248672097884099053e+00,3.276735625943337560e+00
1.526840708658705736e+01,1.766750702941719453e+01,1.484292127813205964e+00,1.486137819841454988e+00
1.953777578090976874e+01,1.707648888869821135e+00,1.261764740789371508e+00,1.219036109760436304e+00
2.169882298301947010e+00,1.052046614949162961e+00,7.393623385558633077e-01,6.690703027121095436e-01
4.694404468884685322e+00,1.941607612648086700e+01,3.284257266362195171e+00,3.328754488446946436e+00
2.883453490888021520e+01,1.449475409823424066e+01,4.861405336133971522e-01,5.706215017447919813e-01
1.869134337132398826e+01,1.222228857767735377e+00,1.079888665938664838e+00,1.036047614920759363e+00
2.805562112011200071e+01,2.207484133015825911e+00,8.661408750612851204e-01,8.800572855916746207e-01
7.115586098131311488e+00,1.234893741652109789e+01,3.341450817884896285e+00,3.276290794391460093e+00
2.420954211586860083e+01,5.853655260774248248e+00,1.125360422102067437e+00,1.097412806285379849e+00
5.243373146468217172e+00,8.011973858595453635e+00,3.585446223046916625e+00,3.556270934543557694e+00
1.900573354246614954e+01,1.025821923304895655e+01,1.401133277552971457e+00,1.339807741314090528e+00
2.432460697047567422e+01,1.675027224260276171e+01,6.592684495534648637e-01,6.512230082992297442e-01
5.872592855825221392e+00,7.937371743601532970e+00,3.577756047384500704e+00,3.623061839846856813e+00
3.644787585046806555e+00,1.953527485628651661e+01,3.276269721215065545e+00,3.300047185246704817e+00
1.974789215623417249e+01,1.903577721486461627e+01,9.267308132835978540e-01,8.967027250255668047e-01
1.489224714326637411e+01,1.037694162396622133e+01,1.978597824384256798e+00,2.045584091614151223e+00
1.660323516708030311e+01,1.836184874242286114e+01,1.278461343067080369e+00,1.285321916352235583e+00
2.112479204843562997e+01,1.351066215124148373e+00,1.025664188902397633e+00,1.111739844328371918e+00
2.556624400768874139e+01,9.105833669851634227e+00,8.489989884840550838e-01,7.797196624132327614e-01
1.947335533028992671e+01,1.999096171067813543e+01,9.212046367378907696e-01,1.068181859785936494e+00
2.509932984554091817e+01,1.356304771467943127e+01,7.050505098348455180e-01,6.923706997946799113e-01
2.923863843433379373e+01,1.002386963665760966e+00,5.699903974940846441e-01,5.070449844809384876e-01
2.967957455602287808e+01,6.468555283070735129e+00,7.108571972548014539e-01,6.537368824546642143e-01
1.238809734194074252e+01,8.697683902243202425e+00,2.539620761997841925e+00,2.582508424818910964e+00
8.011583274740539551e+00,6.536640477363876656e+00,3.330442503493943995e+00,3.371972987937261301e+00
2.602018259007953205e+01,1.305153637650710152e+01,6.658668290729273798e-01,7.027894770760308996e-01
1.058067975322819620e+01,1.515511785214708596e+01,2.450428447134514354e+00,2.477187107563351365e+00
2.438102154229639495e+01,3.582909568636196695e+00,1.177220458631718758e+00,1.117200392718470381e+00
6.848024180049906207e+00,1.462324979184604778e+01,3.254319408027638527e+00,3.243502820127572850e+00
6.071877546339846887e+00,1.972715946947831966e+01,3.091778868322738294e+00,2.972545683769741043e+00
1.358197394981464079e+01,1.642785269254483538e+01,1.807699692789122459e+00,1.760419385465123332e+00
1.236186717837235349e+01,2.523888986418128866e+00,2.125762235012634616e+00,2.155767529776349001e+00
3.365638809126697772e+00,1.981700023915864506e+01,3.233159975080598603e+00,3.135788485892520239e+00
2.879841187119660262e+01,1.728911164356479091e+01,4.315165606548483912e-01,5.469266518559288137e-01
1.040109283215638314e+01,1.723683553214691955e+01,2.352596562013852921e+00,2.412670153876369739e+00
4.356082737011216288e+00,1.030088066559511617e+01,3.591132890909688236e+00,3.530671879123883805e+00
8.161091867180157777e+00,8.765415400239543686e+00,3.325576879824888810e+00,3.358725583569038609e+00
3.120305044795077087e+00,1.876138342114159840e+01,3.222318322396310553e+00,3.247093772890039087e+00
1.727025764241646399e+01,1.069292774364934928e+01,1.597268142618660347e+00,1.587366875573602121e+00
2.402404322222715294e+01,5.422294052519967877e+00,1.162511048715427764e+00,1.189078634298706971e+00
2.043196579431230475e+01,8.831139498926694031e+00,1.324155883156741265e+00,1.307941743771351861e+00
1.257927283503547322e+01,1.873246906901334086e+01,1.852238861696950512e+00,1.848469115026861509e+00
2.375784097366629410e+01,1.463512797826664169e+01,7.576549406966904820e-01,7.824099468612488728e-01
1.317972522831434645e+01,3.656335851502082512e+00,2.356033828950042874e+00,2.377515604278058081e+00
1.200820577915340692e+00,1.749177926769377223e+01,2.066489681624881225e+00,2.081063926626848026e+00
1.281819296197834923e+01,6.349573676761807839e+00,2.566436773151684392e+00,2.582067491690752448e+00
4.359174650568584219e+00,1.095592547308852893e+01,3.591618341861141595e+00,3.638518880670367217e+00
5.278187200893526665e+00,7.137815876269886672e+00,3.529641887625107444e+00,3.567799388412687289e+00
5.112554611902432988e+00,5.845800745294148726e+00,3.363522092945159692e+00,3.303206496839512063e+00
9.678199137946799979e+00,1.601145768354030707e+01,2.582096911506142956e+00,2.543382978840285968e+00
1.057447651213301043e+01,5.496014117207218774e+00,2.913238711350495613e+00,2.985640971074071892e+00
1.783834770205348974e+01,1.590450423629749110e+01,1.238911671671345083e+00,1.316469837737958226e+00
2.808789485161094035e+01,1.610331289836849322e+01,4.830841932782469761e-01,5.104598526509097622e-01
1.804348598296600414e+01,7.039609273212819041e+00,1.730188133295770703e+00,1.716081894363262528e+00
2.546178440882139427e+01,5.639501574088228608e+00,1.032694611752664748e+00,1.073451626162720052e+00
2.937843145327228811e+01,1.978730866541916811e+01,3.714346450393075094e-01,4.053108550473257798e-01
1.627838058659651210e+01,1.152493538788058203e+01,1.684190684130563165e+00,1.606684554860119185e+00
3.969263689862525535e+00,1.709942960866280259e+01,3.393451864717607958e+00,3.396754277361544894e+00
2.418198478911951721e+00,1.815002942962589927e+01,3.001402089627978498e+00,2.931315529207380699e+00
2.544712738669134211e+01,5.795018726973665046e+00,1.026199825563800738e+00,1.003177307410110020e+00
1.935989918054107051e+01,1.620482734390350643e+01,1.063589594023288232e+00,1.065168022448101048e+00
1.532067186014952398e+01,1.868782046633555183e+01,1.429882324699096596e+00,1.515900653638651896e+00
2.216447444589394067e+01,3.902368400308566354e+00,1.370781901536020753e+00,1.264957139375400219e+00
1.091354430194819036e+00,9.635923514249414623e+00,1.801862930302259524e+00,1.784042588250404293e+00
2.577181747878064044e+01,1.652674164836681214e+01,5.835810210424079436e-01,6.177054352128205084e-01
2.190386666371089319e+01,4.153452021209654177e+00,1.396103682973271143e+00,1.429472082217436046e+00
1.665530543102456207e+01,1.286534349392883669e+01,1.547108402435885655e+00,1.589658076945044574e+00
2.076526878540376941e+01,1.364694606233563157e+01,1.035202407667552560e+00,9.855192166252164654e-01
1.821255837925977517e+01,1.243174366757263094e+01,1.369639186941687958e+00,1.363177985609312914e+00
1.392942595108898551e+01,1.266149163681777168e+01,1.983068554380163828e+00,1.959940440789211369e+00
1.546533876774599925e+01,1.541648537122722296e+01,1.570793803263258015e+00,1.636307240225393311e+00
1.186513560673362111e+00,1.925683341706055884e+01,2.045748050342770963e+00,2.038858460793441019e+00
2.000236465353631132e+01,7.471446962619708643e+00,1.457700235494480800e+00,1.458603339623340212e+00
2.951003246937055025e+01,6.972011737549085097e+00,6.979490193780003571e-01,7.075013481235071788e-01
1.362042134994764986e+01,1.276248422175575215e+01,2.030043108952440445e+00,1.964570652239652215e+00
4.678145738842847123e+00,5.358218826930202461e+00,3.224347213691967973e+00,3.250227132575796318e+00
1.947159555558817345e+01,2.330047934607126336e+00,1.454551339510995023e+00,1.399282081180397208e+00
1.384377513846803254e+01,1.625926050645259124e+01,1.774017327664219046e+00,1.783175137218669271e+00
5.789885192991275353e+00,1.614267263201427882e+00,1.706573513983287604e+00,1.670299670269495662e+00
1.462975772653972939e+01,1.241248357754211185e+01,1.881898296194526532e+00,1.941812534100698207e+00
5.222640161015354998e+00,1.750058327783419898e+01,3.332981807484111769e+00,3.334876791321284006e+00
2.476193125645542636e+01,8.291891601382278765e+00,9.492659147387175755e-01,1.045813185569212544e+00
1.502030883308438192e+01,1.543650424835511892e+01,1.635404499696999858e+00,1.523704419246200592e+00
2.282966911871335469e+01,1.471966576796356918e+01,8.208455142121982018e-01,8.894624408724284281e-01
4.455412420194935663e+00,1.911694126771956448e+01,3.311014875559481485e+00,3.354014443882204155e+00
3.439053889656320973e+00,2.173163883839654531e+00,1.748466650513971876e+00,1.763093302037921362e+00
2.563480037064449846e+01,1.085343436830826569e+01,7.684546882093551412e-01,8.788152975203366024e-01
1.361500747180753201e+01,1.078769023255409998e+01,2.169382635252991243e+00,2.097979542849588430e+00
2.348922789926273680e+01,1.502544919145941904e+00,9.646840696873745236e-01,9.753132106146470415e-01
3.866847064538638357e+00,1.223885846252837917e+00,1.182564155053134725e+00,1.244924930188138212e+00
7.866786681782134139e+00,1.716950106577209922e+01,2.892863425425894253e+00,2.923223302330986595e+00
2.740377760295379161e+01,1.893984174951006594e+01,4.578609372156151047e-01,4.389343603710431641e-01
4.371932819848797891e+00,6.601747895237857655e+00,3.383985532473425373e+00,3.416383101095961994e+00
1.659157620085223783e+01,6.724192164403044458e+00,1.951873341133219197e+00,1.931112258727984754e+00
9.052494368894965504e+00,1.482717601223080273e+01,2.794823318959854586e+00,2.777785964263910667e+00
9.727266328597089284e+00,1.488327655422759932e+01,2.647443334542524340e+00,2.614342337068390698e+00
2.443339581381450465e+00,4.967470142055015359e+00,2.412814367913250546e+00,2.465527359284642284e+00
2.072572718652158841e+01,4.185820444620235392e+00,1.513405447409785332e+00,1.529012569777590924e+00
2.397552376068246449e+00,4.081702052628063626e+00,2.157434141926746207e+00,2.283255987695319789e+00
1.073914603523157041e+01,1.003988332564567543e+01,2.773819472378695750e+00,2.816166809921464509e+00
1.651182082710436205e+01,1.698004672037086493e+01,1.350423304134559244e+00,1.276252618710189690e+00
2.920392588045934446e+01,1.978609887528895328e+01,3.772832189484700005e-01,4.174113813435120224e-01
2.571624349512836361e+01,1.484027595422537615e+01,6.301226463660443144e-01,5.756824621562396382e-01
1.511488819170369169e+01,1.132666328660312161e+01,1.876314919913735224e+00,1.862506381579502435e+00
2.460377214758991826e+01,1.897110041732560504e+01,5.901324795328326545e-01,5.971892331983678082e-01
1.109416340895984909e+01,4.139543878035226498e+00,2.693636887381887668e+00,2.639117833876791774e+00
1.967226970757758320e+00,3.159397073101020581e+00,1.630895434840108349e+00,1.605624999445612877e+00
7.001928703449261882e+00,1.628435650494170517e+01,3.123510262130273940e+00,3.089818175756628094e+00
2.640986131170403262e+00,5.252505164353121536e+00,2.581373276128348326e+00,2.588418970147056797e+00
1.033630735105960952e+01,1.211268484092169651e+01,2.713267748017793135e+00,2.709591912236508637e+00
1.643356078491561689e+01,1.468848441597212151e+01,1.474534403036740660e+00,1.469325501542608770e+00
1.098887130571773518e+01,1.409346061173989995e+01,2.439197133365031078e+00,2.524513199581876144e+00
1.628988124490559386e+01,1.707311351925575593e+01,1.374579919277946427e+00,1.401702525072340721e+00
1.571158755161750520e+01,1.473755331837824700e+00,1.381218647299983893e+00,1.402867951818121739e+00
8.575067380547546136e+00,1.711901458246226859e+00,1.854248915773871964e+00,1.909113868512952061e+00
2.571890453547619515e+01,1.036447863486834464e+01,7.828244407566583574e-01,8.759384988368044134e-01
1.286357924744239156e+01,1.491597138164141079e+01,2.023306757604347528e+00,2.093219021145609204e+00
6.907128308119532711e+00,4.955184615748068566e+00,3.233244066954274132e+00,3.180491767079027809e+00
1.714980451855911880e+01,1.889857788773653624e+01,1.192396066084635331e+00,1.218802542693750324e+00
1.806379445555004892e+01,1.244316954255230634e+01,1.387272415114953139e+00,1.425964276069371817e+00
1.841442755802108167e+01,7.433384228029381369e+00,1.656832429092521375e+00,1.705017098898589989e+00
2.190781323383826162e+01,1.777371299723084519e+01,7.915092819773063004e-01,7.844542256454748452e-01
1.313302717437338529e+01,1.547042700839172902e+01,1.940851391800429759e+00,1.944450975236690526e+00
6.184039223792202833e+00,1.283372825213336288e+00,1.452056699938854001e+00,1.407749304763618037e+00
2.803577092866863296e+01,1.150116014494829919e+01,6.044101680800708642e-01,5.859827944513150699e-01
1.979759627980796566e+01,3.625005808149047937e+00,1.593897661878930450e+00,1.535577188189952924e+00
4.806922191654809495e+00,8.609869394110379659e+00,3.592384125737150491e+00,3.656084448392028730e+00
6.906812557443727130e+00,9.344182249240745364e+00,3.498803898751155828e+00,3.472830351697518303e+00
1.278508459983974177e+01,7.447690476508065593e+00,2.535781748511660272e+00,2.489147597356496266e+00
1.853227449946236760e+01,1.786440205328670316e+01,1.082603969428683977e+00,1.097370851100022193e+00
2.964004049694549181e+01,1.229019738495672875e+01,5.054414507962347036e-01,5.107805151650117725e-01
7.944152442085519183e+00,1.386921331819454650e+01,3.091091854812411999e+00,3.056779009770544064e+00
2.157314609478027023e+01,1.879368667474586374e+01,7.869077667074300120e-01,8.057398860736679769e-01
2.796224863213238265e+01,1.353091387574297144e+01,5.490610578795724894e-01,5.177515245870054628e-01
1.216810395863730498e+01,1.575185533729170828e+01,2.098465547944171394e+00,2.123963984588709053e+00
2.149287695721555025e+01,1.477260161097551006e+01,9.246556740414207942e-01,9.233053835221903816e-01
5.604144230371148616e+00,1.054942988124589220e+01,3.602104606119993058e+00,3.612974598371602841e+00
1.315278583215696528e+01,1.487584404798241522e+01,1.974192197526258408e+00,1.955139270613813318e+00
9.569423000250532496e+00,8.590107020311561925e+00,3.081496334922518621e+00,3.048023963362198607e+00
1.193630482132408765e+01,1.621357332898217862e+01,2.113349789798423473e+00,2.126103193473370290e+00
9.318738955627956955e+00,1.873390764729086300e+01,2.486588529036841244e+00,2.408030189690891554e+00
2.361877653434143554e+01,6.365922376372251001e+00,1.150434442008535063e+00,1.219671446964503581e+00
1.734700148172423084e+01,9.172965824737927321e+00,1.687415687309399948e+00,1.664631142463716573e+00
2.412082581066400166e+01,3.296594833031998739e+00,1.191532283686062010e+00,1.295366161900449953e+00
1.169622054664179878e+01,1.723113895807098572e+01,2.097112432750108280e+00,2.130702283803870500e+00
1.060170438110325364e+01,3.278507563161464411e+00,2.545248026622847881e+00,2.540599150777267390e+00
1.042217260635906051e+01,1.857442741744721459e+01,2.267510932932811141e+00,2.237366203855035707e+00
8.081803949475915516e+00,1.265500873320964992e+01,3.142188192221743392e+00,3.168148720809185637e+00
2.146021357953757658e+01,1.356518740924400568e+01,9.757464433870650655e-01,9.988851972331505014e-01
2.667638992264736686e+01,9.037147990290021582e+00,7.766989583974114320e-01,7.982555892798890440e-01
6.230859078683780083e+00,2.886142442555331478e+00,2.543325858328352673e+00,2.585306309466284258e+00
