t,M,P,E,dP_dt,dP_dt_noisy
8.641728345669132949e-01,6.873679363728377734e-01,6.640503731002589394e-01,7.746041118465436526e-01,3.185786161486441892e-01,2.620153700117689444e-01
8.881776355271053802e-01,6.877069322954829644e-01,6.716009645375140558e-01,7.662588231523005389e-01,3.105050419419669305e-01,3.309311782919685530e-01
9.121824364872973545e-01,6.878392988646480077e-01,6.789573226855102339e-01,7.579074146513664623e-01,3.023969289546664663e-01,2.832040337585036149e-01
9.361872374474894398e-01,6.877703816975435647e-01,6.861187122622718348e-01,7.495589224858261179e-01,2.942623725859473960e-01,2.608899757328280167e-01
9.601920384076814141e-01,6.875056009370739130e-01,6.930845898749395939e-01,7.412221830705743031e-01,2.861089731874166264e-01,2.916378883778366071e-01
9.841968393678734994e-01,6.870504439298351640e-01,6.998545930709515472e-01,7.329058059605740860e-01,2.779438852309976116e-01,2.919547829379854353e-01
1.008201640328065585e+00,6.864104547050654537e-01,7.064285258748823626e-01,7.246181495808229345e-01,2.697738620290470735e-01,2.608785129153913807e-01
1.032206441288257670e+00,6.855912244608874939e-01,7.128063439710029536e-01,7.163672976710665496e-01,2.616052988036021709e-01,2.400771820015860092e-01
1.056211242248449533e+00,6.845983899570435849e-01,7.189881533303800198e-01,7.081610567934962797e-01,2.534442695049891614e-01,2.539667661756698225e-01
1.080216043208641619e+00,6.834376231780322497e-01,7.249742056578165617e-01,7.000069416185511484e-01,2.452965512560519590e-01,2.442416050911943859e-01
1.104220844168833704e+00,6.821146231071316679e-01,7.307648917781432996e-01,6.919121633999688603e-01,2.371676514041645423e-01,2.652796147245263803e-01
1.128225645129025789e+00,6.806351032346719121e-01,7.363607256913830001e-01,6.838836120417984832e-01,2.290628354568380320e-01,2.440109952064250520e-01
1.152230446089217875e+00,6.790047901152089782e-01,7.417623431619358998e-01,6.759278543634329450e-01,2.209871531121499755e-01,2.248634660374423666e-01
1.176235247049409738e+00,6.772294138832499755e-01,7.469705006760551935e-01,6.680511314473321915e-01,2.129454498406482821e-01,2.351781139451281366e-01
1.200240048009601823e+00,6.753146996450131168e-01,7.519860753097886708e-01,6.602593554924022223e-01,2.049423768232335186e-01,2.008319158251176684e-01
1.224244848969793908e+00,6.732663559254881136e-01,7.568100489980457146e-01,6.525581018858734872e-01,1.969824107841452732e-01,1.784644193111779020e-01
1.248249649929985994e+00,6.710900717150583006e-01,7.614435055120647444e-01,6.449526076178135892e-01,1.890698710654240833e-01,2.007510372859290515e-01
1.272254450890177857e+00,6.687915105359343304e-01,7.658876304822458403e-01,6.374477743951403319e-01,1.812089275058909044e-01,1.928596958790047000e-01
1.296259251850369942e+00,6.663762992665498430e-01,7.701437153403501990e-01,6.300481739990042573e-01,1.734035952864063646e-01,1.691070170638692416e-01
1.320264052810562028e+00,6.638500206516080304e-01,7.742131441160723382e-01,6.227580483727114258e-01,1.656577511163053740e-01,1.500015795570260602e-01
1.344268853770754113e+00,6.612182084279553118e-01,7.780973876543642032e-01,6.155813110546439759e-01,1.579751440512312810e-01,1.625582221554965345e-01
1.368273654730946198e+00,6.584863445996089748e-01,7.817980037527261228e-01,6.085215505587150409e-01,1.503594021556207694e-01,1.004815165864609561e-01
1.392278455691138062e+00,6.556598474798480680e-01,7.853166423680978392e-01,6.015820437501345763e-01,1.428140197650471788e-01,1.566165151683034107e-01
1.416283256651330147e+00,6.527440671077430201e-01,7.886550368049594084e-01,5.947657601525109250e-01,1.353423683162892910e-01,1.451697335311891157e-01
1.440288057611522232e+00,6.497442803262180044e-01,7.918149948020494211e-01,5.880753685278871101e-01,1.279477055437879263e-01,9.517056266597814784e-02
1.464292858571714318e+00,6.466656895573951180e-01,7.947983983849890022e-01,5.815132392115821558e-01,1.206331803586919438e-01,1.218602505554553794e-01
1.488297659531906181e+00,6.435134128328523495e-01,7.976072085709546844e-01,5.750814610978325359e-01,1.134018197037307829e-01,9.411982643290597861e-02
1.512302460492098266e+00,6.402924796284398257e-01,8.002434612898290389e-01,5.687818494476473141e-01,1.062565315976937430e-01,1.214009524928567479e-01
1.536307261452290351e+00,6.370078279412046962e-01,8.027092559461974641e-01,5.626159566471963247e-01,9.920011616405341459e-02,5.851677069518485680e-02
1.560312062412482437e+00,6.336643035437107274e-01,8.050067547495353137e-01,5.565850743188681671e-01,9.223526861179701108e-02,7.394537785190523349e-02
1.584316863372674522e+00,6.302666530172389425e-01,8.071381859890008892e-01,5.506902497354669856e-01,8.536456901300248923e-02,9.955616876784384450e-02
1.608321664332866385e+00,6.268195190115447568e-01,8.091058441499487941e-01,5.449322968369324505e-01,7.859047781954045520e-02,1.017184987881835923e-01
1.632326465293058471e+00,6.233274400435310225e-01,8.109120770654010268e-01,5.393118090391385566e-01,7.191534950688116545e-02,2.875524190435700678e-02
1.656331266253250556e+00,6.197948499770636888e-01,8.125592843998785675e-01,5.338291623760686999e-01,6.534143443424778042e-02,5.538063753922171234e-02
1.680336067213442641e+00,6.162260740336382714e-01,8.140499193672463552e-01,5.284845285489792044e-01,5.887087232633342326e-02,6.543127417718495875e-02
1.704340868173634505e+00,6.126253234139081849e-01,8.153864918248360238e-01,5.232778888081227597e-01,5.250568219052220709e-02,4.032135943152479612e-02
1.728345669133826590e+00,6.089966975370072477e-01,8.165715555335644193e-01,5.182090463617469167e-01,4.624777739704832857e-02,7.806058202351121023e-02
1.752350470094018675e+00,6.053441840127347096e-01,8.176077052842065651e-01,5.132776317346372519e-01,4.009896789093347902e-02,1.627443425857786133e-02
1.776355271054210760e+00,6.016716569719638974e-01,8.184975775354115246e-01,5.084831108074231443e-01,3.406095652881224733e-02,4.115159545455077117e-02
1.800360072014402846e+00,5.979828717249437986e-01,8.192438546650466780e-01,5.038248014643369466e-01,2.813532666938503568e-02,7.167216298494812760e-03
1.824364872974594709e+00,5.942814682552530758e-01,8.198492543544386724e-01,4.993018830560047028e-01,2.232355569188942956e-02,5.044281455458713564e-02
1.848369673934786794e+00,5.905709723833305613e-01,8.203165246529162680e-01,4.949134047113368240e-01,1.662701965592319753e-02,1.619399507481203079e-02
1.872374474894978880e+00,5.868547953508331805e-01,8.206484440611098163e-01,4.906582891485452014e-01,1.104699092337133037e-02,3.601979643359011843e-03
1.896379275855170965e+00,5.831362298194409099e-01,8.208478253422917259e-01,4.865353491324783120e-01,5.584627169749889486e-03,-2.877907182490244131e-02
1.920384076815362828e+00,5.794184526681002145e-01,8.209175087431426210e-01,4.825432947382157778e-01,2.409794912589802163e-04,3.387749039259259354e-02
1.944388877775554914e+00,5.757045282488226778e-01,8.208603546010239116e-01,4.786807434649864579e-01,-4.982998510266012371e-03,1.007257334368173891e-02
1.968393678735746999e+00,5.719974084545714765e-01,8.206792431062330806e-01,4.749462218691437032e-01,-1.008645277991429556e-02,4.984823970272944660e-03
1.992398479695939084e+00,5.682999308096761126e-01,8.203770766134462766e-01,4.713381786213901581e-01,-1.506863604273911417e-02,7.688989135616514786e-03
2.016403280656131169e+00,5.646148192126360099e-01,8.199567775823257687e-01,4.678549912044852599e-01,-1.992890742579617180e-02,-1.294437586333558460e-02
2.040408081616323255e+00,5.609446895291048119e-01,8.194212791157904352e-01,4.644949759727978189e-01,-2.466671868404399226e-02,-3.745165089557241783e-02
2.064412882576515340e+00,5.572920500533828925e-01,8.187735241691497245e-01,4.612563898262085349e-01,-2.928161557146530258e-02,-4.528644011206733877e-02
2.088417683536706981e+00,5.536593015029687148e-01,8.180164660698304724e-01,4.581374378422481963e-01,-3.377324108558163451e-02,-4.977724067280173137e-02
2.112422484496899067e+00,5.500487358476485733e-01,8.171530703965412812e-01,4.551362809292865963e-01,-3.814134160725510259e-02,-1.073989478058086713e-02
2.136427285457091152e+00,5.464625429009770663e-01,8.161863055235986097e-01,4.522510433506162220e-01,-4.238575196500743436e-02,-7.159337598891568621e-02
2.160432086417283237e+00,5.429028121994714517e-01,8.151191401177001472e-01,4.494798165305655679e-01,-4.650639342446377666e-02,-5.843378365987955680e-02
2.184436887377475323e+00,5.393715333863657868e-01,8.139545430221087896e-01,4.468206611892633351e-01,-5.050327593169670615e-02,-5.692815431742061921e-02
2.208441688337667408e+00,5.358705958192416796e-01,8.126954853563337355e-01,4.442716161190847224e-01,-5.437650342036140505e-02,-4.988412291337952081e-02
2.232446489297859493e+00,5.324017922956820748e-01,8.113449356470378016e-01,4.418307015092614032e-01,-5.812626707770399137e-02,-4.661927930754781318e-02
2.256451290258051579e+00,5.289668241621833245e-01,8.099058539118105804e-01,4.394959252472639966e-01,-6.175283570437381520e-02,-8.673477588628467072e-02
2.280456091218243664e+00,5.255673015209419985e-01,8.083811914758202155e-01,4.372652833398998906e-01,-6.525655810798713929e-02,-9.985682713343757566e-02
2.304460892178435749e+00,5.222047443898407693e-01,8.067738912091834136e-01,4.351367649732189036e-01,-6.863786447918329703e-02,-6.872614913162264361e-02
2.328465693138627390e+00,5.188805827456776099e-01,8.050868883546331567e-01,4.331083556783996702e-01,-7.189726985101424495e-02,-4.762599334529261236e-02
2.352470494098819476e+00,5.155961634651234915e-01,8.033231029393228528e-01,4.311780423897120240e-01,-7.503536023106555097e-02,-5.989419904513506449e-02
2.376475295059011561e+00,5.123527521147305253e-01,8.014854381236844461e-01,4.293438155018443059e-01,-7.805279127568301445e-02,-7.373977560168380740e-02
2.400480096019203646e+00,5.091515334058350772e-01,7.995767800402171499e-01,4.276036695737751026e-01,-8.095029013695181908e-02,-8.729340301729891782e-02
2.424484896979395732e+00,5.059936124785602285e-01,7.975999986606986392e-01,4.259556075315903412e-01,-8.372865698130510514e-02,-7.786398306530060986e-02
2.448489697939587817e+00,5.028800170193838959e-01,7.955579455559409485e-01,4.243976418288337160e-01,-8.638876251230290237e-02,-9.125546422714642114e-02
2.472494498899779902e+00,4.998117033828931022e-01,7.934534483994598597e-01,4.229277986478395257e-01,-8.893153679776397147e-02,-7.258740518791206853e-02
2.496499299859971988e+00,4.967895570369464942e-01,7.912893106458864789e-01,4.215441183251751878e-01,-9.135797072418769260e-02,-1.072469175019253318e-01
2.520504100820164073e+00,4.938143935577702370e-01,7.890683112870783278e-01,4.202446562837897637e-01,-9.366911666695987293e-02,-9.098431772523309091e-02
2.544508901780355714e+00,4.908869598111849641e-01,7.867932056635347227e-01,4.190274849406741553e-01,-9.586608976218269351e-02,-9.808169248441457599e-02
2.568513702740547799e+00,4.880079374190330332e-01,7.844667219445254913e-01,4.178906948777404429e-01,-9.795006198028941014e-02,-8.708287418968635452e-02
2.592518503700739885e+00,4.851779473996267744e-01,7.820915577381110095e-01,4.168323974787442321e-01,-9.992225451996958330e-02,-9.542948404698203824e-02
2.616523304660931970e+00,4.823975502567156015e-01,7.796703800413357088e-01,4.158507249915269210e-01,-1.017839396252995521e-01,-5.078324689914143208e-02
2.640528105621124055e+00,4.796672473126313285e-01,7.772058249477896696e-01,4.149438310636023308e-01,-1.035364403232273134e-01,-7.356334516051765693e-02
2.664532906581316141e+00,4.769874818108446046e-01,7.747004981116197841e-01,4.141098909101595948e-01,-1.051811310917473985e-01,-7.524638778137718309e-02
2.688537707541508226e+00,4.743586425389191841e-01,7.721569715339409168e-01,4.133471025521344155e-01,-1.067194315282608830e-01,-1.475095082801537449e-01
2.712542508501700311e+00,4.717810676674917825e-01,7.695777812797547357e-01,4.126536884113115589e-01,-1.081528004191095460e-01,-1.149591329131570971e-01
2.736547309461892397e+00,4.692550447763903509e-01,7.669654274662982552e-01,4.120278953213392659e-01,-1.094827372574008473e-01,-1.216549495756594490e-01
2.760552110422084038e+00,4.667808120699570851e-01,7.643223740015553380e-01,4.114679945363972635e-01,-1.107107817424573259e-01,-1.000563497446765454e-01
2.784556911382276123e+00,4.643585597600695669e-01,7.616510486447376493e-01,4.109722808277099793e-01,-1.118385132454118580e-01,-1.574190430265184071e-01
2.808561712342468208e+00,4.619884327399442769e-01,7.589538408470815067e-01,4.105390734810559494e-01,-1.128675463249101119e-01,-8.937757274472635238e-02
2.832566513302660294e+00,4.596705344329027332e-01,7.562330999265164388e-01,4.101667173849219972e-01,-1.137995247230346452e-01,-9.245985850512836168e-02
2.856571314262852379e+00,4.574049268435220750e-01,7.534911350492187188e-01,4.098535830401646152e-01,-1.146361224135097057e-01,-1.406775395784256033e-01
2.880576115223044464e+00,4.551916312998856018e-01,7.507302150834842536e-01,4.095980663751408457e-01,-1.153790434596871084e-01,-1.349500140321153729e-01
2.904580916183236550e+00,4.530306303565792003e-01,7.479525683014993653e-01,4.093985870789086934e-01,-1.160300199654284992e-01,-1.320534601810521291e-01
2.928585717143428635e+00,4.509218689545098080e-01,7.451603813228986350e-01,4.092535891643071522e-01,-1.165908103442517274e-01,-1.157248923385888334e-01
2.952590518103620720e+00,4.488652586223882412e-01,7.423557976474401965e-01,4.091615418571239449e-01,-1.170631926737921713e-01,-1.042437713800027504e-01
2.976595319063812362e+00,4.468606776909540002e-01,7.395409175971343618e-01,4.091209396040847435e-01,-1.174489650664513607e-01,-7.649124395930470555e-02
3.000600120024004447e+00,4.449079715400038881e-01,7.367177982827467497e-01,4.091303019808967822e-01,-1.177499459518773217e-01,-1.216988545496307389e-01
3.024604920984196532e+00,4.430069547225319315e-01,7.338884532094109847e-01,4.091881718080885300e-01,-1.179679712079428899e-01,-1.026179200298704963e-01
3.048609721944388617e+00,4.411574109776808528e-01,7.310548517628635556e-01,4.092931148340195890e-01,-1.181048942106154298e-01,-1.149965380094267325e-01
3.072614522904580703e+00,4.393590973259320909e-01,7.282189184068376120e-01,4.094437207119308586e-01,-1.181625795386988254e-01,-8.296405386053375131e-02
3.096619323864772788e+00,4.376117447686258544e-01,7.253825325815668190e-01,4.096386029788113836e-01,-1.181429022311820121e-01,-1.032997450069506329e-01
3.120624124824964873e+00,4.359150582922792783e-01,7.225475287037687044e-01,4.098763990537954705e-01,-1.180477481055533240e-01,-9.067673908806372918e-02
3.144628925785156959e+00,4.342687184115840426e-01,7.197156960198169973e-01,4.101557689732323042e-01,-1.178790116136657906e-01,-1.394325154093350450e-01
3.168633726745349044e+00,4.326723813858412981e-01,7.168887779990501530e-01,4.104753936939194436e-01,-1.176385951736112767e-01,-1.214834094041302992e-01
3.192638527705540685e+00,4.311256818430282411e-01,7.140684723250970700e-01,4.108339763337798267e-01,-1.173284054270282706e-01,-1.336038538638690820e-01
3.216643328665732771e+00,4.296282345360256660e-01,7.112564309517539485e-01,4.112302421125842988e-01,-1.169503507731451397e-01,-8.685140269297900173e-02
3.240648129625924856e+00,4.281796343426180762e-01,7.084542601029845121e-01,4.116629383519519458e-01,-1.165063414026954181e-01,-1.033535433263399611e-01
3.264652930586116941e+00,4.267794567502983805e-01,7.056635203092246345e-01,4.121308340963991679e-01,-1.159982886034450766e-01,-1.221011771189954020e-01
3.288657731546309027e+00,4.254272591802407688e-01,7.028857259834557780e-01,4.126327176733305402e-01,-1.154281023429598318e-01,-1.244774600843678580e-01
3.312662532506501112e+00,4.241225813138628231e-01,7.001223453357019455e-01,4.131673974544342043e-01,-1.147976906009459952e-01,-1.051043930368119605e-01
3.336667333466693197e+00,4.228649479644256970e-01,6.973748011664639979e-01,4.137337020834791490e-01,-1.141089556816757000e-01,-1.281388662852667726e-01
3.360672134426885282e+00,4.216538692548805756e-01,6.946444709044946597e-01,4.143304804270133146e-01,-1.133637937948468177e-01,-1.319755713190899349e-01
3.384676935387077368e+00,4.204888406467023887e-01,6.919326866172472723e-01,4.149566015571007349e-01,-1.125640948024637933e-01,-1.029386049570331502e-01
3.408681736347269009e+00,4.193693441939892463e-01,6.892407351740740262e-01,4.156109532098166692e-01,-1.117117402437180218e-01,-6.244909960161350304e-02
3.432686537307461094e+00,4.182948482377413790e-01,6.865698574832217460e-01,4.162924407867890086e-01,-1.108086027911151239e-01,-1.157312738724113887e-01
3.456691338267653180e+00,4.172648097577951187e-01,6.839212499037636839e-01,4.169999882981795802e-01,-1.098565437368463349e-01,-1.209738593527174277e-01
3.480696139227845265e+00,4.162786753794325278e-01,6.812960647453840668e-01,4.177325382142476617e-01,-1.088574116096086564e-01,-1.322805482901195095e-01
3.504700940188037350e+00,4.153358813733818433e-01,6.786954102683780965e-01,4.184890514653498705e-01,-1.078130418089800480e-01,-1.345132609601676910e-01
3.528705741148229436e+00,4.144358539753774107e-01,6.761203508544018081e-01,4.192685071393965623e-01,-1.067252559017931035e-01,-9.622559121050858200e-02
3.552710542108421521e+00,4.135780101589820457e-01,6.735719069198371489e-01,4.200699004616683663e-01,-1.055958599712776280e-01,-8.857979931570657273e-02
3.576715343068613606e+00,4.127617577133471105e-01,6.710510549759363119e-01,4.208922434893422326e-01,-1.044266441332891426e-01,-1.042431497156393327e-01
3.600720144028805692e+00,4.119864975236531834e-01,6.685587295373193184e-01,4.217345652577940140e-01,-1.032193804731432185e-01,-9.656786069961904861e-02
3.624724944988997333e+00,4.112516237274705944e-01,6.660958232363449749e-01,4.225959117274256660e-01,-1.019758224691591775e-01,-9.965749091901709988e-02
3.648729745949189418e+00,4.105565237147594249e-01,6.636631868231110953e-01,4.234753457836654134e-01,-1.006977045337428267e-01,-9.792460761279840609e-02
3.672734546909381503e+00,4.099005787794142153e-01,6.612616297042614999e-01,4.243719463957548177e-01,-9.938674107534226088e-02,-1.299099221269991999e-01
3.696739347869573589e+00,4.092831638715318521e-01,6.588919192809910008e-01,4.252848074104923493e-01,-9.804462576354769365e-02,-1.072069912245321166e-01
3.720744148829765674e+00,4.087036489462431144e-01,6.565547825861750564e-01,4.262130384898126789e-01,-9.667303057396314792e-02,-9.444344442216419389e-02
3.744748949789957759e+00,4.081614002045734768e-01,6.542509076472365903e-01,4.271557649526488976e-01,-9.527360473359150483e-02,-1.109369403448652175e-01
3.768753750750149845e+00,4.076557800935063369e-01,6.519809434862097186e-01,4.281121277748975440e-01,-9.384797423833507457e-02,-1.033765691155314193e-01
3.792758551710341930e+00,4.071861473539101217e-01,6.497455001871960123e-01,4.290812835529739799e-01,-9.239774136168954488e-02,-1.087801449682442301e-01
3.816763352670534015e+00,4.067518575958749549e-01,6.475451496878233959e-01,4.300624033396889256e-01,-9.092448406185374421e-02,-9.759441754582257045e-02
3.840768153630725656e+00,4.063522627067054915e-01,6.453804248971987123e-01,4.310546724846950339e-01,-8.942975554822907291e-02,-7.236759006172635567e-02
3.864772954590917742e+00,4.059867127987713542e-01,6.432518224458356748e-01,4.320572910974846415e-01,-8.791508350193888432e-02,-9.604669051505085320e-02
3.888777755551109827e+00,4.056545567135971253e-01,6.411598033986277700e-01,4.330694739361309331e-01,-8.638196953170074188e-02,-8.945938313564283373e-02
3.912782556511301912e+00,4.053551420218619583e-01,6.391047932548475918e-01,4.340904504072879977e-01,-8.483188871147992471e-02,-6.855752152271755995e-02
3.936787357471493998e+00,4.050878151264937221e-01,6.370871821567669624e-01,4.351194644697871095e-01,-8.326628916913342282e-02,-7.037088488599509140e-02
3.960792158431686083e+00,4.048519214809168654e-01,6.351073256823452917e-01,4.361557735637918709e-01,-8.168659207818643186e-02,-4.778244089899377073e-02
3.984796959391878168e+00,4.046468052498538026e-01,6.331655442293609992e-01,4.371986489317932767e-01,-8.009419113335078388e-02,-1.219038926959225555e-01
4.008801760352070254e+00,4.044718111628494706e-01,6.312621260786939192e-01,4.382473757480537802e-01,-7.849045228026979570e-02,-6.135327338980767209e-02
4.032806561312262339e+00,4.043262847389894055e-01,6.293973277945356104e-01,4.393012530515010283e-01,-7.687671334742807172e-02,-8.652239508288971093e-02
4.056811362272454424e+00,4.042095722868999097e-01,6.275713742243892446e-01,4.403595937457277509e-01,-7.525428363848199464e-02,-7.256044726212437790e-02
4.080816163232646510e+00,4.041210210133346914e-01,6.257844588192813529e-01,4.414217244838551935e-01,-7.362444368199871914e-02,-5.687005598401743967e-02
4.104820964192838595e+00,4.040599789521169272e-01,6.240367444363407179e-01,4.424869848541932438e-01,-7.198844574673646246e-02,-5.032338263290957181e-02
4.128825765153030680e+00,4.040257948409456956e-01,6.223283628841149717e-01,4.435547277973137525e-01,-7.034751320633206295e-02,-4.956049940015534727e-02
4.152830566113222766e+00,4.040178197826016504e-01,6.206594180648375980e-01,4.446243195562872286e-01,-6.870284072677290688e-02,-6.560070690520784786e-02
4.176835367073413963e+00,4.040354073787034705e-01,6.190299862681144516e-01,4.456951396298168278e-01,-6.705559400594518493e-02,-3.486234034557890438e-02
4.200840168033606048e+00,4.040779137297078605e-01,6.174401161709229813e-01,4.467665807722383531e-01,-6.540690943819735259e-02,-7.106639398252008466e-02
4.224844968993798133e+00,4.041446975118689333e-01,6.158898291583823070e-01,4.478380489082113836e-01,-6.375789398907530381e-02,-6.657753225049103940e-02
4.248849769953990219e+00,4.042351197732546031e-01,6.143791202877971758e-01,4.489089625696213171e-01,-6.210962615950274546e-02,-4.612260238162102510e-02
4.272854570914182304e+00,4.043485437934343785e-01,6.129079576504520288e-01,4.499787532592483541e-01,-6.046315526680631769e-02,-7.149060342641559707e-02
4.296859371874374389e+00,4.044843366366830950e-01,6.114762856001383362e-01,4.510468652959572222e-01,-5.881950197706964367e-02,-1.560137680304470725e-02
4.320864172834566475e+00,4.046418692812338569e-01,6.100840250905049666e-01,4.521127557653799589e-01,-5.717965817325676436e-02,-3.679552686616432283e-02
4.344868973794758560e+00,4.048205166192782034e-01,6.087310736750587425e-01,4.531758945199163557e-01,-5.554458669617987066e-02,-1.203308024377199720e-02
4.368873774754950645e+00,4.050196574942188099e-01,6.074173057050048508e-01,4.542357641393756085e-01,-5.391522123550671064e-02,-5.444700497862230842e-02
4.392878575715142730e+00,4.052386745105977517e-01,6.061425735804180093e-01,4.552918595637281962e-01,-5.229246764471345843e-02,-5.995423864993960211e-02
4.416883376675334816e+00,4.054769536484189585e-01,6.049067066877690246e-01,4.563436884003626015e-01,-5.067720324751504024e-02,-4.733624320417652992e-02
4.440888177635526901e+00,4.057338857700382162e-01,6.037095146243253163e-01,4.573907706823792663e-01,-4.907027752676504373e-02,-3.437874747464123026e-02
4.464892978595718986e+00,4.060088668167149972e-01,6.025507877766344000e-01,4.584326387869175345e-01,-4.747251220471862543e-02,-5.922106594219885695e-02
4.488897779555911072e+00,4.063012978086120719e-01,6.014302973205251091e-01,4.594688374351552640e-01,-4.588470105560765733e-02,-3.829066611615870863e-02
4.512902580516103157e+00,4.066105848513829057e-01,6.003477952588477384e-01,4.604989236859741708e-01,-4.430760975404396396e-02,-4.464369533246064642e-02
4.536907381476295242e+00,4.069361390567806103e-01,5.993030157883488807e-01,4.615224667044338647e-01,-4.274197721232017577e-02,-1.042834200079129775e-02
