t,s,v,dv_dt
3.500700140028005503e-02,6.010427338322335902e-03,3.433498965015919779e-01,9.804105542428617426e+00
3.600720144028805858e-02,6.358749862641704942e-03,3.531557930949874025e-01,9.803764049290172977e+00
3.700740148029606214e-02,6.716880070606167340e-03,3.629613432749521640e-01,9.803412953164402310e+00
3.800760152030405875e-02,7.084817611073557404e-03,3.727665374397874376e-01,9.803052255428257311e+00
3.900780156031206231e-02,7.462562123316533041e-03,3.825713659895950136e-01,9.802681957496243825e+00
4.000800160032006586e-02,7.850113237022568816e-03,3.923758193262773530e-01,9.802302060820402119e+00
4.100820164032806248e-02,8.247470572293944674e-03,4.021798878535373101e-01,9.801912566890306877e+00
4.200840168033606603e-02,8.654633739647778906e-03,4.119835619768790202e-01,9.801513477233042337e+00
4.300860172034406959e-02,9.071602340015992583e-03,4.217868321036065127e-01,9.801104793413200511e+00
4.400880176035207314e-02,9.498375964745332106e-03,4.315896886428251533e-01,9.800686517032859868e+00
4.500900180036006976e-02,9.934954195597350129e-03,4.413921220054404793e-01,9.800258649731576455e+00
4.600920184036807331e-02,1.038133660474842984e-02,4.511941226041590869e-01,9.799821193186373236e+00
4.700940188037607687e-02,1.083752275478977109e-02,4.609956808534879658e-01,9.799374149111722332e+00
4.800960192038407348e-02,1.130351219872737303e-02,4.707967871697346651e-01,9.798917519259532583e+00
4.900980196039207704e-02,1.177930447998207925e-02,4.805974319710077935e-01,9.798451305419144219e+00
5.001000200040008059e-02,1.226489913238953955e-02,4.903976056772164638e-01,9.797975509417303996e+00
5.101020204040808415e-02,1.276029568020021002e-02,5.001972987100702372e-01,9.797490133118158084e+00
5.201040208041608076e-02,1.326549363807937726e-02,5.099965014930792906e-01,9.796995178423241413e+00
5.301060212042408432e-02,1.378049251110714107e-02,5.197952044515550263e-01,9.796490647271458130e+00
5.401080216043208787e-02,1.430529179477842486e-02,5.295933980126090734e-01,9.795976541639072721e+00
5.501100220044009143e-02,1.483989097500296866e-02,5.393910726051539539e-01,9.795452863539694022e+00
5.601120224044808804e-02,1.538428952810530492e-02,5.491882186599021942e-01,9.794919615024259230e+00
5.701140228045609160e-02,1.593848692082482435e-02,5.589848266093679907e-01,9.794376798181025023e+00
5.801160232046409515e-02,1.650248261031571004e-02,5.687808868878654334e-01,9.793824415135553352e+00
5.901180236047209177e-02,1.707627604414697214e-02,5.785763899315096159e-01,9.793262468050691893e+00
6.001200240048009532e-02,1.765986666030242708e-02,5.883713261782161918e-01,9.792690959126565176e+00
6.101220244048809888e-02,1.825325388718072178e-02,5.981656860677015963e-01,9.792109890600558586e+00
6.201240248049610243e-02,1.885643714359531292e-02,6.079594600414828243e-01,9.791519264747304163e+00
6.301260252050409905e-02,1.946941583877447729e-02,6.177526385428775413e-01,9.790919083878666385e+00
6.401280256051210260e-02,2.009218937236130487e-02,6.275452120170039727e-01,9.790309350343727957e+00
6.501300260052010616e-02,2.072475713441371964e-02,6.373371709107813476e-01,9.789690066528772050e+00
6.601320264052810971e-02,2.136711850540443797e-02,6.471285056729290108e-01,9.789061234857276972e+00
6.701340268053611327e-02,2.201927285622101368e-02,6.569192067539675328e-01,9.788422857789887743e+00
6.801360272054410294e-02,2.268121954816580688e-02,6.667092646062175998e-01,9.787774937824412547e+00
6.901380276055210650e-02,2.335295793295599776e-02,6.764986696838013458e-01,9.787117477495803186e+00
7.001400280056011005e-02,2.403448735272359360e-02,6.862874124426407985e-01,9.786450479376139100e+00
7.101420284056811361e-02,2.472580714001540794e-02,6.960754833404589892e-01,9.785773946074618479e+00
7.201440288057611716e-02,2.542691661779307791e-02,7.058628728367795091e-01,9.785087880237531621e+00
7.301460292058412072e-02,2.613781509943305381e-02,7.156495713929267311e-01,9.784392284548257379e+00
7.401480296059212427e-02,2.685850188872659916e-02,7.254355694720255876e-01,9.783687161727240067e+00
7.501500300060011395e-02,2.758897627987979412e-02,7.352208575390013490e-01,9.782972514531980579e+00
7.601520304060811750e-02,2.832923755751357367e-02,7.450054260605809553e-01,9.782248345757015073e+00
7.701540308061612106e-02,2.907928499666364436e-02,7.547892655052907962e-01,9.781514658233898984e+00
7.801560312062412461e-02,2.983911786278053632e-02,7.645723663434591533e-01,9.780771454831198142e+00
7.901580316063212817e-02,3.060873541172961371e-02,7.743547190472137576e-01,9.780018738454465677e+00
8.001600320064013172e-02,3.138813688979106425e-02,7.841363140904835660e-01,9.779256512046229588e+00
8.101620324064813528e-02,3.217732153365985420e-02,7.939171419489983172e-01,9.778484778585976755e+00
8.201640328065612495e-02,3.297628857044580808e-02,8.036971931002883096e-01,9.777703541090136952e+00
8.301660332066412851e-02,3.378503721767356360e-02,8.134764580236844012e-01,9.776912802612063302e+00
8.401680336067213206e-02,3.460356668497920063e-02,8.232549272214250147e-01,9.776112566240282575e+00
8.501700340068013562e-02,3.543187618415844647e-02,8.330325913476444022e-01,9.775302835087632758e+00
8.601720344068813917e-02,3.626996490627339836e-02,8.428094409266271292e-01,9.774483612314247338e+00
8.701740348069614273e-02,3.711783202996399300e-02,8.525854664496795854e-01,9.773654901119940064e+00
8.801760352070414628e-02,3.797547672450785755e-02,8.623606584125539376e-01,9.772816704741114080e+00
8.901780356071213596e-02,3.884289814982031658e-02,8.721350073154485738e-01,9.771969026450744167e+00
9.001800360072013951e-02,3.972009545645441286e-02,8.819085036630079921e-01,9.771111869558344765e+00
9.101820364072814307e-02,4.060706778560084496e-02,8.916811379643225788e-01,9.770245237409932670e+00
9.201840368073614662e-02,4.150381426908804350e-02,9.014529007329287191e-01,9.769369133388009274e+00
9.301860372074415018e-02,4.241033402938210184e-02,9.112237824868087976e-01,9.768483560911521479e+00
9.401880376075215373e-02,4.332662617958683154e-02,9.209937737483913089e-01,9.767588523435835057e+00
9.501900380076015729e-02,4.425268982344372770e-02,9.307628650445507468e-01,9.766684024452702673e+00
9.601920384076814696e-02,4.518852405533198280e-02,9.405310469066077150e-01,9.765770067490239015e+00
9.701940388077615052e-02,4.613412796026850754e-02,9.502983098703287057e-01,9.764846656112879941e+00
9.801960392078415407e-02,4.708950061390786146e-02,9.600646444759264320e-01,9.763913793921366491e+00
9.901980396079215763e-02,4.805464108254235006e-02,9.698300412680592730e-01,9.762971484552700474e+00
1.000200040008001612e-01,4.902954842310193462e-02,9.795944907958320513e-01,9.762019731680123158e+00
1.010202040408081647e-01,5.001422168315429462e-02,9.893579836127952554e-01,9.761058539013081514e+00
1.020204040808161683e-01,5.100865990090477919e-02,9.991205102769458168e-01,9.760087910297198022e+00
1.030206041208241718e-01,5.201286210519648345e-02,1.008882061350726111e+00,9.759107849314235139e+00
1.040208041608321615e-01,5.302682731551011663e-02,1.018642627401025180e+00,9.758118359882077542e+00
1.050210042008401651e-01,5.405055454196418252e-02,1.028402198999177619e+00,9.757119445854684159e+00
1.060212042408481686e-01,5.508404278531481291e-02,1.038160766720964245e+00,9.756111111122066859e+00
1.070214042808561722e-01,5.612729103695585087e-02,1.047918321146611875e+00,9.755093359610263803e+00
1.080216043208641757e-01,5.718029827891882300e-02,1.057674852860793324e+00,9.754066195281295037e+00
1.090218043608721793e-01,5.824306348387297411e-02,1.067430352452627629e+00,9.753029622133142951e+00
1.100220044008801829e-01,5.931558561512524641e-02,1.077184810515679381e+00,9.751983644199714973e+00
1.110222044408881725e-01,6.039786362662022401e-02,1.086938217647959615e+00,9.750928265550815155e+00
1.120224044808961761e-01,6.148989646294028555e-02,1.096690564451925587e+00,9.749863490292106860e+00
1.130226045209041796e-01,6.259168305930541687e-02,1.106441841534479886e+00,9.748789322565089677e+00
1.140228045609121832e-01,6.370322234157332897e-02,1.116192039506971545e+00,9.747705766547063888e+00
1.150230046009201867e-01,6.482451322623943024e-02,1.125941148985195595e+00,9.746612826451094946e+00
1.160232046409281903e-01,6.595555462043684036e-02,1.135689160589393287e+00,9.745510506525988603e+00
1.170234046809361939e-01,6.709634542193633477e-02,1.145436064944251431e+00,9.744398811056251830e+00
1.180236047209441835e-01,6.824688451914638632e-02,1.155181852678903276e+00,9.743277744362067949e+00
1.190238047609521871e-01,6.940717079111322074e-02,1.164926514426927850e+00,9.742147310799257554e+00
1.200240048009601906e-01,7.057720310752073345e-02,1.174670040826350403e+00,9.741007514759251862e+00
1.210242048409681942e-01,7.175698032869047560e-02,1.184412422519642183e+00,9.739858360669058968e+00
1.220244048809761978e-01,7.294650130558172352e-02,1.194153650153720214e+00,9.738699852991228312e+00
1.230246049209842013e-01,7.414576487979146480e-02,1.203893714379947522e+00,9.737531996223824038e+00
1.240248049609922049e-01,7.535476988355432892e-02,1.213632605854134017e+00,9.736354794900385912e+00
1.250250050010001945e-01,7.657351513974269830e-02,1.223370315236534278e+00,9.735168253589904452e+00
1.260252050410081981e-01,7.780199946186665272e-02,1.233106833191849994e+00,9.733972376896778300e+00
1.270254050810162016e-01,7.904022165407389999e-02,1.242842150389228406e+00,9.732767169460794676e+00
1.280256051210242052e-01,8.028818051114991472e-02,1.252576257502262980e+00,9.731552635957081421e+00
1.290258051610322088e-01,8.154587481851785502e-02,1.262309145208992955e+00,9.730328781096087454e+00
1.300260052010402123e-01,8.281330335223850703e-02,1.272040804191903796e+00,9.729095609623541918e+00
1.310262052410482159e-01,8.409046487901045142e-02,1.281771225137926740e+00,9.727853126320422206e+00
1.320264052810562194e-01,8.537735815616986912e-02,1.291500398738439692e+00,9.726601336002923759e+00
1.330266053210642230e-01,8.667398193169074949e-02,1.301228315689265669e+00,9.725340243522424544e+00
1.340268053610722265e-01,8.798033494418464051e-02,1.310954966690674572e+00,9.724069853765453075e+00
1.350270054010802301e-01,8.929641592290091245e-02,1.320680342447381417e+00,9.722790171653654667e+00
1.360272054410882059e-01,9.062222358772649422e-02,1.330404433668548325e+00,9.721501202143754128e+00
1.370274054810962094e-01,9.195775664918620640e-02,1.340127231067782532e+00,9.720202950227530891e+00
1.380276055211042130e-01,9.330301380844238657e-02,1.349848725363138158e+00,9.718895420931776385e+00
1.390278055611122165e-01,9.465799375729511134e-02,1.359568907277114214e+00,9.717578619318265609e+00
1.400280056011202201e-01,9.602269517818221023e-02,1.369287767536656375e+00,9.716252550483725159e+00
1.410282056411282237e-01,9.739711674417916853e-02,1.379005296873156983e+00,9.714917219559788819e+00
1.420284056811362272e-01,9.878125711899915506e-02,1.388721486022453266e+00,9.713572631712979799e+00
1.430286057211442308e-01,1.001751149569930222e-01,1.398436325724828899e+00,9.712218792144662771e+00
1.440288057611522343e-01,1.015786889031493889e-01,1.408149806725013775e+00,9.710855706091015449e+00
1.450290058011602379e-01,1.029919775930945025e-01,1.417861919772184010e+00,9.709483378822996613e+00
1.460292058411682414e-01,1.044149796530922936e-01,1.427572655619960607e+00,9.708101815646308808e+00
1.470294058811762450e-01,1.058476937000444873e-01,1.437282005026412568e+00,9.706711021901362813e+00
1.480296059211842485e-01,1.072901183414904092e-01,1.446989958754052896e+00,9.705311002963247446e+00
1.490298059611922521e-01,1.087422521756070959e-01,1.456696507569841703e+00,9.703901764241692263e+00
1.500300060012002279e-01,1.102040937912092122e-01,1.466401642245184656e+00,9.702483311181032022e+00
1.510302060412082314e-01,1.116756417677493562e-01,1.476105353555934308e+00,9.701055649260176494e+00
1.520304060812162350e-01,1.131568946753176153e-01,1.485807632282388546e+00,9.699618783992571380e+00
1.530306061212242386e-01,1.146478510746417601e-01,1.495508469209290814e+00,9.698172720926164558e+00
1.540308061612322421e-01,1.161485095170873560e-01,1.505207855125831440e+00,9.696717465643375888e+00
1.550310062012402457e-01,1.176588685446576521e-01,1.514905780825646753e+00,9.695253023761052802e+00
1.560312062412482492e-01,1.191789266924689478e-01,1.524602237121940762e+00,9.693779400928139722e+00
1.570314062812562528e-01,1.207086825103813460e-01,1.534297214981177104e+00,9.692296602805051009e+00
1.580316063212642563e-01,1.222481345190587765e-01,1.543990705256119478e+00,9.690804635104136366e+00
1.590318063612722599e-01,1.237972812228205349e-01,1.553682698761602365e+00,9.689303503578443610e+00
1.600320064012802634e-01,1.253561211170397816e-01,1.563373186319400254e+00,9.687793214014876142e+00
1.610322064412882670e-01,1.269246526881436243e-01,1.573062158758228968e+00,9.686273772234144985e+00
1.620324064812962706e-01,1.285028744136129941e-01,1.582749606913745000e+00,9.684745184090719050e+00
1.630326065213042741e-01,1.300907847619827973e-01,1.592435521628545292e+00,9.683207455472782499e+00
1.640328065613122499e-01,1.316883821928417908e-01,1.602119893752168123e+00,9.681660592302177903e+00
1.650330066013202535e-01,1.332956651568326933e-01,1.611802714141092219e+00,9.680104600534370718e+00
1.660332066413282570e-01,1.349126320956520464e-01,1.621483973658737421e+00,9.678539486158394212e+00
1.670334066813362606e-01,1.365392814420503254e-01,1.631163663175464018e+00,9.676965255196799731e+00
1.680336067213442641e-01,1.381756116198319118e-01,1.640841773568573192e+00,9.675381913705617620e+00
1.690338067613522677e-01,1.398216210438550378e-01,1.650518295722306794e+00,9.673789467774296824e+00
1.700340068013602712e-01,1.414773081200319249e-01,1.660193220527847568e+00,9.672187923525669362e+00
1.710342068413682748e-01,1.431426712453285899e-01,1.669866538883319373e+00,9.670577287115893483e+00
1.720344068813762783e-01,1.448177088077650110e-01,1.679538241693786293e+00,9.668957564734407484e+00
1.730346069213842819e-01,1.465024191864150727e-01,1.689208319871253750e+00,9.667328762603887071e+00
1.740348069613922855e-01,1.481968007514065100e-01,1.698876764334667611e+00,9.665690886980188523e+00
1.750350070014002890e-01,1.499008518639210197e-01,1.708543566009914638e+00,9.664043944152306054e+00
1.760352070414082926e-01,1.516145708761941213e-01,1.718208715829822042e+00,9.662387940442322076e+00
1.770354070814162961e-01,1.533379561315152961e-01,1.727872204734158590e+00,9.660722882205355688e+00
1.780356071214242719e-01,1.550710059642278482e-01,1.737534023669632832e+00,9.659048775829521816e+00
1.790358071614322755e-01,1.568137186997290988e-01,1.747194163589895544e+00,9.657365627735870817e+00
1.800360072014402790e-01,1.585660926544702198e-01,1.756852615455536837e+00,9.655673444378352954e+00
1.810362072414482826e-01,1.603281261359562060e-01,1.766509370234088383e+00,9.653972232243758000e+00
1.820364072814562861e-01,1.620998174427460414e-01,1.776164418900022524e+00,9.652261997851677933e+00
1.830366073214642897e-01,1.638811648644525332e-01,1.785817752434752270e+00,9.650542747754444761e+00
1.840368073614722932e-01,1.656721666817425054e-01,1.795469361826631527e+00,9.648814488537093226e+00
1.850370074014802968e-01,1.674728211663365218e-01,1.805119238070954868e+00,9.647077226817307505e+00
1.860372074414883004e-01,1.692831265810091912e-01,1.814767372169957982e+00,9.645330969245367925e+00
1.870374074814963039e-01,1.711030811795889450e-01,1.824413755132816783e+00,9.643575722504110104e+00
1.880376075215043075e-01,1.729326832069580933e-01,1.834058377975648746e+00,9.641811493308866332e+00
1.890378075615123110e-01,1.747719308990529075e-01,1.843701231721511347e+00,9.640038288407430045e+00
1.900380076015203146e-01,1.766208224828635376e-01,1.853342307400403399e+00,9.638256114579988321e+00
1.910382076415283181e-01,1.784793561764339842e-01,1.862981596049264388e+00,9.636464978639086354e+00
1.920384076815362939e-01,1.803475301888621540e-01,1.872619088711974245e+00,9.634664887429577718e+00
1.930386077215442975e-01,1.822253427202999987e-01,1.882254776439354238e+00,9.632855847828562190e+00
1.940388077615523010e-01,1.841127919619532372e-01,1.891888650289166307e+00,9.631037866745352005e+00
1.950390078015603046e-01,1.860098760960814113e-01,1.901520701326112839e+00,9.629210951121413231e+00
1.960392078415683081e-01,1.879165932959981078e-01,1.911150920621837335e+00,9.627375107930316034e+00
1.970394078815763117e-01,1.898329417260707364e-01,1.920779299254923966e+00,9.625530344177688491e+00
1.980396079215843153e-01,1.917589195417206960e-01,1.930405828310897576e+00,9.623676666901166854e+00
1.990398079615923188e-01,1.936945248894231253e-01,1.940030498882224119e+00,9.621814083170340481e+00
2.000400080016003224e-01,1.956397559067071801e-01,1.949653302068310001e+00,9.619942600086707429e+00
2.010402080416083259e-01,1.975946107221559500e-01,1.959274228975502741e+00,9.618062224783622938e+00
2.020404080816163295e-01,1.995590874554062921e-01,1.968893270717090305e+00,9.616172964426247916e+00
2.030406081216243330e-01,2.015331842171489973e-01,1.978510418413301775e+00,9.614274826211500979e+00
2.040408081616323366e-01,2.035168991091288460e-01,1.988125663191306680e+00,9.612367817368006939e+00
2.050410082016403401e-01,2.055102302241444967e-01,1.997738996185215887e+00,9.610451945156045284e+00
2.060412082416483437e-01,2.075131756460483756e-01,2.007350408536080710e+00,9.608527216867502219e+00
2.070414082816563195e-01,2.095257334497469259e-01,2.016959891391892690e+00,9.606593639825820929e+00
2.080416083216643230e-01,2.115479017012004970e-01,2.026567435907585146e+00,9.604651221385948290e+00
2.090418083616723266e-01,2.135796784574233165e-01,2.036173033245031849e+00,9.602699968934286900e+00
2.100420084016803302e-01,2.156210617664834905e-01,2.045776674573047682e+00,9.600739889888641798e+00
2.110422084416883337e-01,2.176720496675029759e-01,2.055378351067386866e+00,9.598770991698176047e+00
2.120424084816963373e-01,2.197326401906577464e-01,2.064978053910746958e+00,9.596793281843350343e+00
2.130426085217043408e-01,2.218028313571775434e-01,2.074575774292763075e+00,9.594806767835880379e+00
2.140428085617123444e-01,2.238826211793461807e-01,2.084171503410014115e+00,9.592811457218681781e+00
2.150430086017203479e-01,2.259720076605011840e-01,2.093765232466018311e+00,9.590807357565825697e+00
2.160432086417283515e-01,2.280709887950340686e-01,2.103356952671234570e+00,9.588794476482480178e+00
2.170434086817363550e-01,2.301795625683902835e-01,2.112946655243063354e+00,9.586772821604858663e+00
2.180436087217443586e-01,2.322977269570690728e-01,2.122534331405844910e+00,9.584742400600177348e+00
2.190438087617523621e-01,2.344254799286237256e-01,2.132119972390861928e+00,9.582703221166600116e+00
2.200440088017603657e-01,2.365628194416611874e-01,2.141703569436335552e+00,9.580655291033183474e+00
2.210442088417683415e-01,2.387097434458425593e-01,2.151285113787429815e+00,9.578598617959830364e+00
2.220444088817763451e-01,2.408662498818827657e-01,2.160864596696248086e+00,9.576533209737238650e+00
2.230446089217843486e-01,2.430323366815506092e-01,2.170442009421836183e+00,9.574459074186846053e+00
2.240448089617923522e-01,2.452080017676687151e-01,2.180017343230178817e+00,9.572376219160782185e+00
2.250450090018003557e-01,2.473932430541137262e-01,2.189590589394203146e+00,9.570284652541817039e+00
2.260452090418083593e-01,2.495880584458161078e-01,2.199161739193775666e+00,9.568184382243311248e+00
2.270454090818163628e-01,2.517924458387602593e-01,2.208730783915703988e+00,9.566075416209155691e+00
2.280456091218243664e-01,2.540064031199845140e-01,2.218297714853737723e+00,9.563957762413734187e+00
2.290458091618323699e-01,2.562299281675810003e-01,2.227862523308566711e+00,9.561831428861859550e+00
2.300460092018403735e-01,2.584630188506957804e-01,2.237425200587820129e+00,9.559696423588727399e+00
2.310462092418483770e-01,2.607056730369769482e-01,2.246985738033983271e+00,9.557552754653594107e+00
2.320464092818563806e-01,2.629578886233069901e-01,2.256544127140728939e+00,9.555400430113333954e+00
2.330466093218643842e-01,2.652196634593491087e-01,2.266100359267029685e+00,9.553239458086492775e+00
2.340468093618723877e-01,2.674909953785196137e-01,2.275654425751533871e+00,9.551069846727873625e+00
2.350470094018803635e-01,2.697718822059137489e-01,2.285206317942133580e+00,9.548891604221868334e+00
2.360472094418883671e-01,2.720623217583058029e-01,2.294756027195968162e+00,9.546704738782390010e+00
2.370474094818963706e-01,2.743623118441487208e-01,2.304303544879420240e+00,9.544509258652807304e+00
2.380476095219043742e-01,2.766718502635744925e-01,2.313848862368117931e+00,9.542305172105889355e+00
2.390478095619123777e-01,2.789909348083939311e-01,2.323391971046935289e+00,9.540092487443732949e+00
2.400480096019203813e-01,2.813195632620967279e-01,2.332932862309990973e+00,9.537871212997705683e+00
2.410482096419283848e-01,2.836577333998515638e-01,2.342471527560648248e+00,9.535641357128383788e+00
2.420484096819363884e-01,2.860054429885059424e-01,2.352007958211515870e+00,9.533402928225484629e+00
2.430486097219443919e-01,2.883626897865861904e-01,2.361542145684448091e+00,9.531155934707804533e+00
2.440488097619523955e-01,2.907294715442976796e-01,2.371074081410543322e+00,9.528900385023158393e+00
2.450490098019603991e-01,2.931057860035245488e-01,2.380603756830146356e+00,9.526636287648310386e+00
2.460492098419684026e-01,2.954916308978298711e-01,2.390131163392846592e+00,9.524363651088918914e+00
2.470494098819764062e-01,2.978870039524555979e-01,2.399656292557477588e+00,9.522082483879465542e+00
2.480496099219844097e-01,3.002919028843226701e-01,2.409179135792118842e+00,9.519792794583198159e+00
2.490498099619923855e-01,3.027063254020306848e-01,2.418699684574095343e+00,9.517494591792059921e+00
2.500500100020003891e-01,3.051302692058583954e-01,2.428217930389976242e+00,9.515187884126632412e+00
2.510502100420083926e-01,3.075637319877633780e-01,2.437733864735577072e+00,9.512872680236068135e+00
2.520504100820163962e-01,3.100067114313819761e-01,2.447247479115956637e+00,9.510548988798030123e+00
2.530506101220243997e-01,3.124592052120294672e-01,2.456758765045421011e+00,9.508216818518626212e+00
2.540508101620324033e-01,3.149212109967001738e-01,2.466267714047519100e+00,9.505876178132341536e+00
2.550510102020404068e-01,3.173927264440670748e-01,2.475774317655047074e+00,9.503527076401985241e+00
2.560512102420484104e-01,3.198737492044822495e-01,2.485278567410044825e+00,9.501169522118614097e+00
2.570514102820564140e-01,3.223642769199765445e-01,2.494780454863797292e+00,9.498803524101479212e+00
2.580516103220644175e-01,3.248643072242597407e-01,2.504279971576835351e+00,9.496429091197956751e+00
2.590518103620724211e-01,3.273738377427204416e-01,2.513777109118934483e+00,9.494046232283483988e+00
2.600520104020804246e-01,3.298928660924262957e-01,2.523271859069115663e+00,9.491654956261495357e+00
2.610522104420884282e-01,3.324213898821237190e-01,2.532764213015644472e+00,9.489255272063362057e+00
2.620524104820964317e-01,3.349594067122380614e-01,2.542254162556031538e+00,9.486847188648326323e+00
2.630526105221044353e-01,3.375069141748734958e-01,2.551741699297032984e+00,9.484430715003435708e+00
2.640528105621124388e-01,3.400639098538131844e-01,2.561226814854650424e+00,9.482005860143475573e+00
2.650530106021204424e-01,3.426303913245191124e-01,2.570709500854129193e+00,9.479572633110915802e+00
2.660532106421284460e-01,3.452063561541322545e-01,2.580189748929961446e+00,9.477131042975837971e+00
2.670534106821364495e-01,3.477918019014723527e-01,2.589667550725883061e+00,9.474681098835871396e+00
2.680536107221444531e-01,3.503867261170380831e-01,2.599142897894875404e+00,9.472222809816132738e+00
2.690538107621524566e-01,3.529911263430070556e-01,2.608615782099166225e+00,9.469756185069158505e+00
2.700540108021604602e-01,3.556050001132357585e-01,2.618086195010225659e+00,9.467281233774844651e+00
2.710542108421684082e-01,3.582283449532593922e-01,2.627554128308771109e+00,9.464797965140377300e+00
2.720544108821764118e-01,3.608611583802924239e-01,2.637019573684765472e+00,9.462306388400170576e+00
2.730546109221844153e-01,3.635034379032279772e-01,2.646482522837414919e+00,9.459806512815806201e+00
2.740548109621924189e-01,3.661551810226380543e-01,2.655942967475171557e+00,9.457298347675958894e+00
2.750550110022004224e-01,3.688163852307735358e-01,2.665400899315732985e+00,9.454781902296344853e+00
2.760552110422084260e-01,3.714870480115642914e-01,2.674856310086041411e+00,9.452257186019645374e+00
2.770554110822164295e-01,3.741671668406190143e-01,2.684309191522284532e+00,9.449724208215450005e+00
2.780556111222244331e-01,3.768567391852252757e-01,2.693759535369894653e+00,9.447182978280189047e+00
2.790558111622324367e-01,3.795557625043496364e-01,2.703207333383549127e+00,9.444633505637071380e+00
2.800560112022404402e-01,3.822642342486374245e-01,2.712652577327171244e+00,9.442075799736013408e+00
2.810562112422484438e-01,3.849821518604129578e-01,2.722095258973928900e+00,9.439509870053583995e+00
2.820564112822564473e-01,3.877095127736793767e-01,2.731535370106234595e+00,9.436935726092929855e+00
2.830566113222644509e-01,3.904463144141188113e-01,2.740972902515747212e+00,9.434353377383720485e+00
2.840568113622724544e-01,3.931925541990921036e-01,2.750407848003369349e+00,9.431762833482073560e+00
2.850570114022804580e-01,3.959482295376391958e-01,2.759840198379249099e+00,9.429164103970499866e+00
2.860572114422884615e-01,3.987133378304787978e-01,2.769269945462780491e+00,9.426557198457828690e+00
2.870574114822964651e-01,4.014878764700084424e-01,2.778697081082601716e+00,9.423942126579152756e+00
2.880576115223044686e-01,4.042718428403048181e-01,2.788121597076596458e+00,9.421318897995753616e+00
2.890578115623124722e-01,4.070652343171231591e-01,2.797543485291893450e+00,9.418687522395044809e+00
2.900580116023204758e-01,4.098680482678979664e-01,2.806962737584866474e+00,9.416048009490504356e+00
