t,A,P_free,C,dA_dt,dA_dt_noisy
4.200840168033607158e-01,6.840482008601745934e-01,8.021690704666860627e-01,1.765329288707910282e-01,5.036034930895675332e-01,5.028830562922952385e-01
4.300860172034406959e-01,6.891023140987136975e-01,7.977846221658609904e-01,1.800317585199548154e-01,5.070194293164053123e-01,4.975719130857975125e-01
4.400880176035207314e-01,6.941906657068462883e-01,7.934162183369352084e-01,1.835025475793170269e-01,5.104497255117972365e-01,5.094670258332750779e-01
4.500900180036007669e-01,6.993133960314731334e-01,7.890638983548194929e-01,1.869455729452257353e-01,5.138936812730448001e-01,5.148485115477393625e-01
4.600920184036807470e-01,7.044706382193689498e-01,7.847277005436411601e-01,1.903611074720956420e-01,5.173505811087636408e-01,5.177064434793184899e-01
4.700940188037607825e-01,7.096625180731380711e-01,7.804076620834763389e-01,1.937494196400793012e-01,5.208196948296531792e-01,5.157567782465100059e-01
4.800960192038408181e-01,7.148891541580617570e-01,7.761038191596211222e-01,1.971107738410198817e-01,5.243002779888533693e-01,5.302377587067116371e-01
4.900980196039207981e-01,7.201506573106283282e-01,7.718162072547993802e-01,2.004454305123260227e-01,5.277915718702220760e-01,5.367032414130453732e-01
5.001000200040007782e-01,7.254471306384951967e-01,7.675448611491807460e-01,2.037536461369741925e-01,5.312928039680275827e-01,5.345012870136932603e-01
5.101020204040808137e-01,7.307786695204889771e-01,7.632898149203802829e-01,2.070356732435086611e-01,5.348031884845416695e-01,5.266208862106386279e-01
5.201040208041608492e-01,7.361453616066051531e-01,7.590511019434590390e-01,2.102917604060414725e-01,5.383219268450067929e-01,5.456384496828612374e-01
5.301060212042408848e-01,7.415472866577214051e-01,7.548287549526107032e-01,2.135221522380518766e-01,5.418482080972223391e-01,5.368338079125518636e-01
5.401080216043209203e-01,7.469845158889663050e-01,7.506228061973845289e-01,2.167270890918869264e-01,5.453812090119047884e-01,5.541728151947846737e-01
5.501100220044009559e-01,7.524571124509764619e-01,7.464332872936472185e-01,2.199068070643927231e-01,5.489200950656272227e-01,5.382022208968527677e-01
5.601120224044808804e-01,7.579651309519133129e-01,7.422602295701298258e-01,2.230615383555277220e-01,5.524640205252131508e-01,5.616086925565009214e-01
5.701140228045609160e-01,7.635086173981133761e-01,7.381036640985132458e-01,2.261915112840613695e-01,5.560121290107133962e-01,5.558114944645585753e-01
5.801160232046409515e-01,7.690876091940875847e-01,7.339636216934283253e-01,2.292969502875739085e-01,5.595635541280560288e-01,5.470760652247118605e-01
5.901180236047209871e-01,7.747021351425218416e-01,7.298401329124557524e-01,2.323780759224565728e-01,5.631174201157251868e-01,5.599784253960566893e-01
6.001200240048010226e-01,7.803522154393806032e-01,7.257332280583996820e-01,2.354351048652160994e-01,5.666728425003366709e-01,5.672138652880520659e-01
6.101220244048810581e-01,7.860378612342365789e-01,7.216429373338997255e-01,2.384682498366109127e-01,5.702289284446728779e-01,5.729568418363174542e-01
6.201240248049609827e-01,7.917590746285089187e-01,7.175692907633061113e-01,2.414777192004332329e-01,5.737847775723073918e-01,5.639628963228976444e-01
6.301260252050410182e-01,7.975158487202785862e-01,7.135123183308252903e-01,2.444637174326133311e-01,5.773394825619051485e-01,5.662657520902532049e-01
6.401280256051210538e-01,8.033081674348665491e-01,7.094720500919330375e-01,2.474264452784772084e-01,5.808921296822033842e-01,5.828879750106742419e-01
6.501300260052010893e-01,8.091360055248342231e-01,7.054485161733745624e-01,2.503660997527468179e-01,5.844417995227859652e-01,5.797743033539879409e-01
6.601320264052811249e-01,8.149993285699833612e-01,7.014417467731640654e-01,2.532828741395399264e-01,5.879875677333092909e-01,5.903426238506115364e-01
6.701340268053610494e-01,8.208980929773557200e-01,6.974517721605852927e-01,2.561769579923701690e-01,5.915285057701699101e-01,5.991237009949537118e-01
6.801360272054410849e-01,8.268322459357367871e-01,6.934786227015388160e-01,2.590485371509218537e-01,5.950636816099881266e-01,5.785758079464786707e-01
6.901380276055211205e-01,8.328017250949271144e-01,6.895223289634162533e-01,2.618977934518907924e-01,5.985921603655045553e-01,6.011360415306806759e-01
7.001400280056011560e-01,8.388064587073441603e-01,6.855829216690638717e-01,2.647249046600423372e-01,6.021130051885245082e-01,6.143594748638818714e-01
7.101420284056811916e-01,8.448463656778705255e-01,6.816604317991448170e-01,2.675300450193225377e-01,6.056252779002732067e-01,6.026500094565684362e-01
7.201440288057612271e-01,8.509213555552751496e-01,6.777548906027892617e-01,2.703133852837365514e-01,6.091280397485394627e-01,6.010198939161637277e-01
7.301460292058411516e-01,8.570313285322125330e-01,6.738663295975932943e-01,2.730750927173484777e-01,6.126203521826538712e-01,6.201427904544497549e-01
7.401480296059211872e-01,8.631761754452237367e-01,6.699947805696196967e-01,2.758153310942818570e-01,6.161012776286848291e-01,6.186357427907662743e-01
7.501500300060012227e-01,8.693557777747864534e-01,6.661402755733981662e-01,2.785342606987901148e-01,6.195698802637820135e-01,6.285287109715576026e-01
7.601520304060812583e-01,8.755700077065616815e-01,6.623028469546937691e-01,2.812320383510623079e-01,6.230252268226614820e-01,6.195730697221486505e-01
7.701540308061612938e-01,8.818187278803238938e-01,6.584825274282497531e-01,2.839088168864004613e-01,6.264663873655680337e-01,6.116482046283459040e-01
7.801560312062413294e-01,8.881017916283989733e-01,6.546793500498827578e-01,2.865647456492782519e-01,6.298924360496740427e-01,6.287923284025614956e-01
7.901580316063212539e-01,8.944190431803316077e-01,6.508933482037205787e-01,2.891999708301706828e-01,6.333024519128637175e-01,6.288441703827514218e-01
8.001600320064012895e-01,9.007703176628856223e-01,6.471245556022026113e-01,2.918146354655542507e-01,6.366955196174023390e-01,6.444487578378780279e-01
8.101620324064813250e-01,9.071554411000430918e-01,6.433730062860796295e-01,2.944088794379065566e-01,6.400707301862704757e-01,6.420070586700420412e-01
8.201640328065613605e-01,9.135742304130051172e-01,6.396387346244137850e-01,2.969828394757066947e-01,6.434271817311868480e-01,6.271186894068357942e-01
8.301660332066413961e-01,9.200264934723799692e-01,6.359217753063143297e-01,2.995366491786671803e-01,6.467639801966048596e-01,6.348123493955728502e-01
8.401680336067214316e-01,9.265120294013399205e-01,6.322221633377173022e-01,3.020704389017846436e-01,6.500802402999458218e-01,6.589181306658183912e-01
8.501700340068013562e-01,9.330306281042640704e-01,6.285399341710469212e-01,3.045843353510073737e-01,6.533750860560382234e-01,6.601727362302166613e-01
8.601720344068813917e-01,9.395820709364031131e-01,6.248751235418529282e-01,3.070784623899295296e-01,6.566476516120109963e-01,6.502452179529261134e-01
8.701740348069614273e-01,9.461661308412981919e-01,6.212277674402432170e-01,3.095529411548821330e-01,6.598970819437345314e-01,6.598865939780617085e-01
8.801760352070414628e-01,9.527825723507808986e-01,6.175979021108831679e-01,3.120078900549327905e-01,6.631225334873035449e-01,6.675782690250654516e-01
8.901780356071214984e-01,9.594311515849740513e-01,6.139855640529964242e-01,3.144434247718860265e-01,6.663231747558663320e-01,6.710072181143391656e-01
9.001800360072015339e-01,9.661116162522908057e-01,6.103907900203642267e-01,3.168596582602830614e-01,6.694981869411118502e-01,6.782606089022553686e-01
9.101820364072814584e-01,9.728237059524285080e-01,6.068136169681913605e-01,3.192567008199108103e-01,6.726467646520933874e-01,6.752116209243089751e-01
9.201840368073614940e-01,9.795671523568407757e-01,6.032540821255568675e-01,3.216346596745730535e-01,6.757681167237661324e-01,6.748198333340811317e-01
9.301860372074415295e-01,9.863416788939033397e-01,5.997122230350803163e-01,3.239936391142119176e-01,6.788614665218075661e-01,6.762729858739291444e-01
9.401880376075215651e-01,9.931470016341986673e-01,5.961880773073217066e-01,3.263337411902252350e-01,6.819260527297567043e-01,6.924834807350892518e-01
9.501900380076016006e-01,9.999828293159966908e-01,5.926816826147675021e-01,3.286550657293569322e-01,6.849611298322560993e-01,6.624525870814707007e-01
9.601920384076816362e-01,1.006848863345254586e+00,5.891930766918302975e-01,3.309577103336965864e-01,6.879659685690685533e-01,6.865794153181551396e-01
9.701940388077615607e-01,1.013744797795617547e+00,5.857222973348492623e-01,3.332417703806796472e-01,6.909398563699282736e-01,6.912698574097688731e-01
9.801960392078415962e-01,1.020670319423893524e+00,5.822693823985016781e-01,3.355073390288668134e-01,6.938820977762061304e-01,6.796286081675042556e-01
9.901980396079216318e-01,1.027625108475434423e+00,5.788343696694835394e-01,3.377545072866631748e-01,6.967920152374972309e-01,7.001201513688777300e-01
1.000200040008001556e+00,1.034608838060950164e+00,5.754172971425132177e-01,3.399833633377842279e-01,6.996689493701853113e-01,6.931561392457513682e-01
1.010202040408081592e+00,1.041621174785253956e+00,5.720182027455958940e-01,3.421939933628798114e-01,7.025122593392610915e-01,7.111367073024185137e-01
1.020204040808161627e+00,1.048661779296640617e+00,5.686371241820648015e-01,3.443864818721147358e-01,7.053213233210625654e-01,7.040654024807192490e-01
1.030206041208241663e+00,1.055730306286887243e+00,5.652740989305811148e-01,3.465609117051685062e-01,7.080955387639631393e-01,7.147870711718576908e-01
1.040208041608321698e+00,1.062826404491252541e+00,5.619291642451337276e-01,3.487173640312355993e-01,7.108343226288497130e-01,7.230227586805619833e-01
1.050210042008401734e+00,1.069949716688477936e+00,5.586023571550395861e-01,3.508559183490251865e-01,7.135371116094635369e-01,7.173664074365982968e-01
1.060212042408481770e+00,1.077099879908018032e+00,5.552937144216032461e-01,3.529766525360944485e-01,7.162033624135378806e-01,7.074461509793094072e-01
1.070214042808561805e+00,1.084276526289480902e+00,5.520032724935370894e-01,3.550796426271329853e-01,7.188325524172223258e-01,7.036893661001759614e-01
1.080216043208641841e+00,1.091479282157747699e+00,5.487310677511522128e-01,3.571649625042682130e-01,7.214241794721698575e-01,7.389580206473336244e-01
1.090218043608721876e+00,1.098707769260829803e+00,5.454771360516504908e-01,3.592326848686240304e-01,7.239777622526553102e-01,7.228648403207801332e-01
1.100220044008801912e+00,1.105961604944121435e+00,5.422415126795606666e-01,3.612828813256087623e-01,7.264928403704197235e-01,7.196071908940765427e-01
1.110222044408881725e+00,1.113240402150399433e+00,5.390242323467397956e-01,3.633156223849153266e-01,7.289689744173180053e-01,7.304115452979262901e-01
1.120224044808961761e+00,1.120543769419823699e+00,5.358253291923718020e-01,3.653309774605214000e-01,7.314057459897749247e-01,7.294916326849484323e-01
1.130226045209041796e+00,1.127871310889935863e+00,5.326448367829688113e-01,3.673290148706889191e-01,7.338027576954486708e-01,7.423241803375755232e-01
1.140228045609121832e+00,1.135222626964017101e+00,5.294827879995660513e-01,3.693098019085550576e-01,7.361596333942929116e-01,7.364989152186639521e-01
1.150230046009201867e+00,1.142597314380137119e+00,5.263392152625441245e-01,3.712734042081509700e-01,7.384760184063716704e-01,7.386135142425558353e-01
1.160232046409281903e+00,1.149994966058901280e+00,5.232141503938720906e-01,3.732198862543349427e-01,7.407515791944686567e-01,7.336057819841390604e-01
1.170234046809361939e+00,1.157415172121182279e+00,5.201076242709479214e-01,3.751493119963638656e-01,7.429860034570138216e-01,7.476816844444887922e-01
1.180236047209441974e+00,1.164857519892342541e+00,5.170196668254922745e-01,3.770617448494617552e-01,7.451789999927682651e-01,7.348403327692184517e-01
1.190238047609522010e+00,1.172321593902233117e+00,5.139503070435479382e-01,3.789572476948191992e-01,7.473302985500397400e-01,7.539891929476794097e-01
1.200240048009602045e+00,1.179806975885194564e+00,5.108995729654803863e-01,3.808358828795938567e-01,7.494396496622216519e-01,7.646790247921230188e-01
1.210242048409682081e+00,1.187313244868283713e+00,5.078674916671375161e-01,3.826977122367862250e-01,7.515068244949626441e-01,7.362599641139710993e-01
1.220244048809762116e+00,1.194839978171007955e+00,5.048540892011542658e-01,3.845427969211279162e-01,7.535316150703720295e-01,7.288693227568588950e-01
1.230246049209841930e+00,1.202386750530167303e+00,5.018593909341747539e-01,3.863711968742516434e-01,7.555138339201995512e-01,7.616826214717427046e-01
1.240248049609921965e+00,1.209953135099594013e+00,4.988834210337316777e-01,3.881829718480769298e-01,7.574533138275524324e-01,7.829322919823836768e-01
1.250250050010002001e+00,1.217538703784663445e+00,4.959262023595877311e-01,3.899781815769238769e-01,7.593499076063829900e-01,7.493406591176640097e-01
1.260252050410082036e+00,1.225143027242294957e+00,4.929877564637353271e-01,3.917568857775137747e-01,7.612034878114227743e-01,7.486965302234028785e-01
1.270254050810162072e+00,1.232765674880951456e+00,4.900681035903965421e-01,3.935191441489685471e-01,7.630139464395466753e-01,7.689036357773514352e-01
1.280256051210242108e+00,1.240406214860639622e+00,4.871672626760233382e-01,3.952650163728111954e-01,7.647811946231968250e-01,7.563739787226136935e-01
1.290258051610322143e+00,1.248064214524018167e+00,4.842852512953127464e-01,3.969945621234042266e-01,7.665051624448323553e-01,7.614449076054650156e-01
1.300260052010402179e+00,1.255739240777097088e+00,4.814220859019260335e-01,3.987078404214846605e-01,7.681857989600866521e-01,7.647046242932489246e-01
1.310262052410482214e+00,1.263430859660869876e+00,4.785777817371401066e-01,4.004049100070785627e-01,7.698230715787799383e-01,7.751430924416978785e-01
1.320264052810562250e+00,1.271138637341407529e+00,4.757523524216196176e-01,4.020858300375413363e-01,7.714169657392310198e-01,7.673639421252997916e-01
1.330266053210642285e+00,1.278862140134632952e+00,4.729458099485697731e-01,4.037506600969263393e-01,7.729674845267793248e-01,7.757463129275808944e-01
1.340268053610722099e+00,1.286600934506321625e+00,4.701581646837360573e-01,4.053994601959848842e-01,7.744746482846905922e-01,7.727093156957548503e-01
1.350270054010802134e+00,1.294354587072101825e+00,4.673894253654040654e-01,4.070322907721663497e-01,7.759384942222657955e-01,7.674917831857497319e-01
1.360272054410882170e+00,1.302122664649114414e+00,4.646395990958783750e-01,4.086492126968571670e-01,7.773590760313452419e-01,7.741608134539130770e-01
1.370274054810962205e+00,1.309904735006047982e+00,4.619086914089116647e-01,4.102502869700229704e-01,7.787364637952816082e-01,7.692324671436023831e-01
1.380276055211042241e+00,1.317700366247845256e+00,4.591967065804720693e-01,4.118355742133465447e-01,7.800707436101695924e-01,7.801358934688670255e-01
1.390278055611122277e+00,1.325509127534704623e+00,4.565036471088315118e-01,4.134051356660643495e-01,7.813620169732116150e-01,7.701233546975552180e-01
1.400280056011202312e+00,1.333330589368127539e+00,4.538295136116715645e-01,4.149590333472495951e-01,7.826104003594269720e-01,7.716814566664745856e-01
1.410282056411282348e+00,1.341164323590917640e+00,4.511743048260833944e-01,4.164973300558121871e-01,7.838160247855404661e-01,7.983856429385930431e-01
1.420284056811362383e+00,1.349009903387181408e+00,4.485380176085678183e-01,4.180200893704987819e-01,7.849790353755551342e-01,7.844471931725016667e-01
1.430286057211442419e+00,1.356866903282327730e+00,4.459206469350352475e-01,4.195273756498927309e-01,7.860995909284479444e-01,7.855605706737275318e-01
1.440288057611522454e+00,1.364734899463256435e+00,4.433221859200544013e-01,4.210192539432585646e-01,7.871778635894992604e-01,7.922932277886755026e-01
1.450290058011602490e+00,1.372613469931894814e+00,4.407426262063564026e-01,4.224957891914399299e-01,7.882140387557911021e-01,7.840054687303024128e-01
1.460292058411682303e+00,1.380502194339308986e+00,4.381819576964036678e-01,4.239570468302552020e-01,7.892083143736839945e-01,7.869229606989024406e-01
1.470294058811762339e+00,1.388400654625878472e+00,4.356401682428323041e-01,4.254030933245703250e-01,7.901609004233017819e-01,7.944123877766208208e-01
1.480296059211842374e+00,1.396308435030022777e+00,4.331172436464151843e-01,4.268339961710683195e-01,7.910720184741393268e-01,7.938961768965833166e-01
1.490298059611922410e+00,1.404225122088200939e+00,4.306131676560620014e-01,4.282498238982499483e-01,7.919419012449829820e-01,7.803489339756586318e-01
1.500300060012002445e+00,1.412150304634911757e+00,4.281279219688189919e-01,4.296506460664331617e-01,7.927707921692197512e-01,8.011042181359163683e-01
1.510302060412082481e+00,1.420083573869553417e+00,4.256614862359014428e-01,4.310365332509107916e-01,7.935589449834835607e-01,7.876545955505931396e-01
1.520304060812162517e+00,1.428024523733049111e+00,4.232138383921985048e-01,4.324075563878663209e-01,7.943066236203814023e-01,7.837458341172395260e-01
1.530306061212242552e+00,1.435972750531399500e+00,4.207849547433609727e-01,4.337637866658541341e-01,7.950141017660751208e-01,7.860093510660846050e-01
1.540308061612322588e+00,1.443927853488639501e+00,4.183748094940876738e-01,4.351052963973769394e-01,7.956816621876707796e-01,7.917762087441175822e-01
1.550310062012402623e+00,1.451889434846507898e+00,4.159833747141100102e-01,4.364321590763727832e-01,7.963095963029148683e-01,8.125825988491455210e-01
1.560312062412482659e+00,1.459857099864448227e+00,4.136106203381919588e-01,4.377444493782149948e-01,7.968982037627582171e-01,7.851428447135504474e-01
1.570314062812562694e+00,1.467830456819607887e+00,4.112565141661300161e-01,4.390422431597123532e-01,7.974477920414119181e-01,7.990485509667553110e-01
1.580316063212642508e+00,1.475809117010334015e+00,4.089210218631395555e-01,4.403256174585402638e-01,7.979586760346925045e-01,7.765804324537867176e-01
1.590318063612722543e+00,1.483792694991906913e+00,4.066041071899050285e-01,4.415946500894094573e-01,7.984311778545994942e-01,7.984155085231475768e-01
1.600320064012802579e+00,1.491780808377118017e+00,4.043057323924050261e-01,4.428494189544953108e-01,7.988656266899878400e-01,8.078612908647478941e-01
1.610322064412882614e+00,1.499773078093480816e+00,4.020258576876418743e-01,4.440900029973460783e-01,7.992623580768305480e-01,7.968957248562159590e-01
1.620324064812962650e+00,1.507769128585009000e+00,3.997644411610272730e-01,4.453164823965020114e-01,7.996217134634531210e-01,7.933281642246197141e-01
1.630326065213042686e+00,1.515768587812216683e+00,3.975214387663817961e-01,4.465289385654952481e-01,7.999440398347940073e-01,8.022591504753794345e-01
1.640328065613122721e+00,1.523771087252117962e+00,3.952968043259353914e-01,4.477274541528499796e-01,8.002296893451688042e-01,8.072312068566752652e-01
1.650330066013202757e+00,1.531776261898227798e+00,3.930904895303267699e-01,4.489121130420823391e-01,8.004790189595690775e-01,8.071155946697431416e-01
1.660332066413282792e+00,1.539783750334007273e+00,3.909024440753696705e-01,4.500830001396797786e-01,8.006923901950687705e-01,8.204171287343666741e-01
1.670334066813362828e+00,1.547793194686329477e+00,3.887326162395789986e-01,4.512402004057640692e-01,8.008701691657504895e-01,8.029618438891132914e-01
1.680336067213442863e+00,1.555804240662361559e+00,3.865809524508223016e-01,4.523837996103479697e-01,8.010127259494875807e-01,7.950886249519582005e-01
1.690338067613522677e+00,1.563816537788396133e+00,3.844473970869130564e-01,4.535138847277074281e-01,8.011204341196145329e-01,7.998606422197480637e-01
1.700340068013602712e+00,1.571829739412753835e+00,3.823318924759457893e-01,4.546305439365024292e-01,8.011936704216554572e-01,8.004686849654573111e-01
1.710342068413682748e+00,1.579843502705783997e+00,3.802343788962964100e-01,4.557338666197767174e-01,8.012328144585004752e-01,8.023201882932816664e-01
1.720344068813762783e+00,1.587857488659864647e+00,3.781547945766222107e-01,4.568239433649581294e-01,8.012382483841781200e-01,8.009379702518837352e-01
1.730346069213842819e+00,1.595871362101438651e+00,3.760930757728471741e-01,4.579008658557859324e-01,8.012103566507740027e-01,8.029500160397360364e-01
1.740348069613922855e+00,1.603884791625786788e+00,3.740491574134502950e-01,4.589647258609594882e-01,8.011495261289475200e-01,7.844410255227963757e-01
1.750350070014002890e+00,1.611897449594727361e+00,3.720229728319999762e-01,4.600156156527095419e-01,8.010561456604763375e-01,8.093524352208767425e-01
1.760352070414082926e+00,1.619909012327612308e+00,3.700144534595426471e-01,4.610536286031636788e-01,8.009306055515882372e-01,7.951832128623779194e-01
1.770354070814162961e+00,1.627919160110920638e+00,3.680235288254850579e-01,4.620788591894501862e-01,8.007732973038673707e-01,7.890417103393970732e-01
1.780356071214242997e+00,1.635927577198256211e+00,3.660501265575942798e-01,4.630914029936982201e-01,8.005846133549021637e-01,8.069621249513164729e-01
1.790358071614323032e+00,1.643933951810349514e+00,3.640941723819977605e-01,4.640913567030375830e-01,8.003649468270050971e-01,8.135382069008658679e-01
1.800360072014403068e+00,1.651937976129902452e+00,3.621555901671485445e-01,4.650788180525379234e-01,8.001146913072753053e-01,8.050449728022697204e-01
1.810362072414482881e+00,1.659939346176305230e+00,3.602343025730873061e-01,4.660538848653145716e-01,7.998342410062517782e-01,8.014458341447069367e-01
1.820364072814562917e+00,1.667937761807996688e+00,3.583302309584360246e-01,4.670166551573755598e-01,7.995239904925315333e-01,7.902017874388119756e-01
1.830366073214642952e+00,1.675932926861735783e+00,3.564432949801316641e-01,4.679672278813936659e-01,7.991843341710460624e-01,8.279000075491810273e-01
1.840368073614722988e+00,1.683924549159554696e+00,3.545734125931049308e-01,4.689057029438076785e-01,7.988156660632687034e-01,8.076182522698838184e-01
1.850370074014803023e+00,1.691912340508758161e+00,3.527205000502807719e-01,4.698321812048219526e-01,7.984183796016158796e-01,7.870254328981861613e-01
1.860372074414883059e+00,1.699896016701924140e+00,3.508844719025778769e-01,4.707467644784069094e-01,7.979928674310340364e-01,7.901964882686366431e-01
1.870374074814963095e+00,1.707875297508140822e+00,3.490652410268602623e-01,4.716495554980351668e-01,7.975395212319646987e-01,7.984093137176837551e-01
1.880376075215043130e+00,1.715849906495665378e+00,3.472627192623398140e-01,4.725406570169803366e-01,7.970587319131349213e-01,7.815114205931750213e-01
1.890378075615123166e+00,1.723819571038322618e+00,3.454768174504683209e-01,4.734201716966102147e-01,7.965508894864020695e-01,7.982371935565072407e-01
1.900380076015203201e+00,1.731784022421209324e+00,3.437074449691890909e-01,4.742882029356652596e-01,7.960163825535422344e-01,7.914256669964145896e-01
1.910382076415283237e+00,1.739742995837028072e+00,3.419545097302745806e-01,4.751448549004116950e-01,7.954555981308956136e-01,8.077183041340577629e-01
1.920384076815363272e+00,1.747696230386086791e+00,3.402179181793262841e-01,4.759902325246414545e-01,7.948689214927567859e-01,8.044904681290392379e-01
