pH,temperature,ionic_strength,k_turn
4.751397334474194878e+00,3.172845453088656313e+02,5.767269435071366024e-01,9.288787451919445459e+01
6.251696833246434437e+00,3.190799791726173567e+02,9.827138942703983471e-01,2.912879179212907843e+02
7.981621351436471556e+00,2.902300972865542690e+02,2.395357113076761746e-01,3.266792220606200914e+01
5.153211044968736942e+00,3.154729375237178601e+02,7.694597945473931333e-02,1.702829189047305363e+02
4.260106505322047710e+00,3.065160070174934503e+02,2.421707501421299924e-01,2.422381295751535291e+01
6.022759199107641237e+00,3.168632764319343096e+02,7.050955901471046561e-01,2.569628200962678761e+02
4.992565222546276438e+00,3.111486336376988220e+02,7.572606892968493097e-01,9.364526144206961078e+01
4.453765228095609707e+00,3.082598278180360580e+02,1.977208815326781111e-01,4.019433944770405276e+01
6.901661929934252981e+00,3.123737733675329764e+02,3.898518562829004219e-01,2.104348111825026422e+02
5.493480664094612997e+00,2.948543740726112219e+02,4.326494534512638213e-01,5.548433205820046510e+01
7.359974389781797299e+00,3.024251651962977689e+02,4.190884538599439213e-01,1.087804312896260512e+02
4.997577219841066842e+00,3.021255885957322107e+02,7.099308819996187347e-01,5.475147855050844470e+01
8.710565552532489875e+00,2.905635673909749812e+02,9.722198941636011060e-01,1.338037581637148143e+01
5.825550841224142573e+00,2.930225530912547924e+02,2.242467767667744305e-01,5.819535708288215403e+01
4.527476397851147638e+00,2.855617890957225882e+02,4.810913466526281490e-01,6.907124064653422657e+00
7.145540757698546130e+00,3.159214225964914249e+02,4.899846946385374991e-01,2.296366976896127881e+02
8.635772765339337909e+00,2.866269073640925171e+02,1.868592396491615681e-01,1.070031556548347140e+01
6.201885773578919903e+00,2.882698975991839916e+02,5.211691613780511378e-01,4.214335804523972939e+01
8.772952468453686592e+00,3.094335205110401148e+02,2.320285742396440976e-01,2.268775414596577633e+01
6.499479068438235529e+00,3.152780657741872687e+02,5.833847516085727269e-01,2.508399728984171588e+02
6.126143124245377436e+00,3.093903135507608795e+02,3.156370374620326436e-01,1.839437404974327990e+02
7.101067260076889376e+00,3.099448633147376313e+02,3.213625259067317552e-01,1.778270774468120408e+02
8.975482526176620013e+00,2.980801059190262094e+02,4.866032571865904766e-01,1.093844452686574975e+01
8.744718374688826401e+00,3.124308356702015317e+02,9.440533132748041290e-01,2.908741815290184007e+01
6.300225696545480147e+00,3.120587599197094733e+02,8.844690567959840877e-01,2.130627758412137780e+02
7.788644226541457272e+00,2.975914885540626642e+02,6.737034434826704166e-01,6.427837724128399088e+01
6.487113477438095188e+00,3.172712560319080239e+02,9.914213650278720369e-01,2.732080009940678451e+02
6.646560800983851713e+00,3.009998450212870580e+02,3.522407359928713122e-01,1.145547051581120996e+02
7.928928503569037112e+00,3.085425544002705465e+02,4.843755900642997270e-02,8.553268644439015134e+01
6.073279246778353624e+00,2.990402728979877338e+02,3.626238145495948584e-01,9.623353438880482713e+01
7.672417858943647140e+00,3.050772207598586192e+02,4.574721628376144933e-01,1.045354475746054987e+02
7.555714389948748888e+00,2.880135752524420809e+02,4.914591674001927424e-01,3.706051717346214502e+01
8.660298433066891732e+00,2.997230632065144391e+02,8.323377150219221088e-01,2.262405325539467071e+01
4.574663166404525860e+00,3.116996436990598340e+02,3.198538167598008464e-01,5.657450395223724371e+01
7.645075585381547079e+00,3.143611738649482277e+02,5.234218542913140482e-01,1.589908696692034766e+02
8.637119643122799673e+00,2.969313811528423912e+02,8.584895320233263405e-01,2.092113856587264564e+01
8.839630949623231260e+00,2.869199178299564323e+02,1.907213816604894918e-01,7.580492739601655039e+00
4.073531524826845995e+00,2.909070103927450077e+02,9.100624830107471031e-01,4.072262436405785557e+00
8.318200451227879100e+00,2.949048591319641446e+02,1.456590037751511468e-01,2.832168565821405437e+01
8.905975200331720742e+00,3.023192258194752640e+02,6.952072925068024656e-01,1.526248788367779596e+01
8.786050898054817537e+00,2.942104901805796544e+02,9.512346055358562591e-01,1.410629971104312474e+01
4.743820061162489665e+00,2.979632077035258249e+02,6.110135586880741654e-01,2.831718229056249569e+01
8.863144069114774481e+00,2.856009299718599550e+02,6.881150058726410723e-01,7.381475605989559874e+00
8.449677778602602274e+00,2.994953335247727182e+02,7.698398337011442827e-01,3.215058578447683857e+01
8.111869137715352451e+00,3.093747372786035612e+02,2.488790963452831295e-01,7.443432339816178001e+01
6.399939619039161087e+00,3.007116452103954316e+02,1.084820784530717980e-01,1.128713656197088255e+02
5.161864598196519438e+00,2.917906930606630453e+02,4.423921197296523111e-01,3.216891415267740939e+01
8.009402893591540007e+00,3.175614410722077423e+02,5.840434919221653143e-01,1.154894221793955040e+02
8.617650798917347643e+00,2.914479372140042415e+02,2.771752673487021257e-01,1.510114658073103300e+01
5.330651361461463011e+00,3.153914395527474994e+02,5.336220717859031099e-02,1.972806092092505708e+02
6.694672038110934587e+00,2.916730642114512762e+02,8.393201078744240151e-01,5.805785295195796181e+01
6.213764144872657269e+00,2.902815665268773273e+02,7.535874046913312307e-01,4.990089560402456925e+01
8.655086579905775679e+00,3.020715044230947228e+02,9.467650922298517235e-01,2.532233920736393884e+01
4.202553555942173169e+00,3.081107583937854315e+02,1.621973637308624927e-01,2.539987066217999612e+01
7.660030978282803993e+00,3.008542009652360321e+02,4.301275910419781467e-02,7.904799321557176484e+01
7.071866234744983437e+00,3.027853338745621841e+02,7.414699750051352289e-01,1.223016741455520702e+02
4.141826825567605397e+00,3.068213002732979930e+02,8.676758596983998872e-01,1.563299940271539690e+01
7.596098864133701944e+00,3.019164678590478275e+02,2.299090746850786793e-01,9.179528838090003262e+01
4.079958647617860201e+00,3.184899111526470392e+02,3.835743954768263131e-01,2.981462104796428747e+01
7.789755011782140137e+00,2.902962287571357933e+02,8.490076621630650022e-01,3.967851519522997705e+01
6.563793616310389822e+00,2.986968453760365492e+02,2.136666415304890737e-02,9.869880932115582084e+01
8.645521103985030820e+00,2.894704067417464444e+02,2.744090929002594992e-01,1.285271006532200744e+01
4.330412483620373898e+00,2.919145008923800901e+02,1.384671654328450130e-01,1.029884518658980674e+01
8.206586398061915588e+00,3.067013625153002749e+02,9.483703815437195539e-01,6.383483013160754638e+01
4.333450043835506804e+00,3.153292735554603610e+02,5.387282334000700890e-02,5.651525330582744999e+01
5.721549894020625970e+00,2.974170469561916548e+02,5.374137600618977828e-01,7.584024565265355022e+01
6.151493659739166731e+00,3.149165998565372888e+02,7.049020455770691473e-01,2.408431864295612570e+02
8.830310403920350382e+00,2.983049677119751095e+02,4.804138361691001613e-01,1.476990754759338031e+01
6.811159211142284953e+00,3.098254249738774888e+02,2.701447791339237625e-01,1.882557892221942097e+02
5.294322965854661334e+00,2.888823624034116051e+02,3.375479714507577667e-01,2.929235025230899225e+01
5.208378570471724700e+00,3.043093708297589615e+02,2.310525592936680250e-01,8.940660285601205715e+01
8.440591603295899858e+00,2.863523540429684999e+02,8.561772483924544597e-01,1.562460208848667875e+01
5.129347142086621680e+00,2.900026347157319719e+02,1.280579701598155359e-02,3.374747038227820894e+01
4.622773529176417817e+00,2.956509841345435348e+02,1.345925529707151791e-01,2.378889380618201699e+01
5.441653785037887658e+00,2.867163107254198167e+02,8.679777937069085292e-01,2.558431882683716907e+01
6.930615324063664318e+00,3.155343136099274943e+02,9.812634509631797952e-01,2.425475242522331598e+02
6.770452510866339146e+00,3.137457524790306138e+02,4.483225958968584668e-01,2.293632337859824304e+02
8.048553879563888458e+00,3.176138300337299256e+02,7.757529288521018973e-01,1.111613041782803180e+02
6.802379760030929035e+00,2.928655183095748384e+02,8.862829064247530475e-01,6.365531455590666354e+01
5.442106072156052576e+00,3.006147593279102921e+02,8.234016028702959566e-01,7.826621817736827325e+01
6.064481713404463292e+00,3.133143262667763906e+02,4.263031652996095433e-01,2.217166209405552024e+02
8.090604854854552386e+00,2.946666287002898912e+02,8.806650933762478761e-01,4.117242033149126712e+01
7.132532312098767591e+00,3.076567747178774539e+02,4.641315954354308659e-01,1.576128114089661665e+02
8.795388213487211004e+00,2.970840416029158177e+02,6.959655992931392809e-01,1.545924570022956601e+01
5.847022055458404033e+00,2.981913089172134050e+02,9.852809728772117248e-01,8.283593688355517770e+01
6.763057552606436040e+00,3.086380384853056853e+02,3.555956666653408704e-01,1.782398792329267962e+02
6.969621008065841394e+00,3.178769509965770794e+02,3.839048819718642869e-01,2.621797751678686268e+02
8.241456041375300856e+00,3.133488834238856384e+02,7.398416469051991573e-01,7.381498086700030115e+01
4.727367690932658739e+00,2.971815936072218278e+02,7.588091136813470694e-01,2.520719105894708179e+01
6.032551683740633663e+00,2.874225619230361417e+02,9.465785576377030996e-02,3.892339988949456142e+01
8.549794808311485639e+00,3.189146147663598754e+02,2.212362001822973101e-01,4.326796759665110415e+01
4.215334442841021101e+00,2.969078347074788553e+02,4.121331489902405054e-01,1.033951487380678280e+01
8.113531400907509905e+00,3.101770508511687581e+02,4.188799525963224357e-01,7.871024463108827263e+01
6.076920186856122896e+00,2.870081246703333022e+02,1.373033920281466203e-01,3.761201352115085683e+01
8.149019926390513646e+00,2.854124393610250650e+02,1.572742695893544762e-01,1.917159707057379592e+01
4.049772804036459561e+00,3.074557485333095883e+02,2.989005050733974378e-01,1.612904487574440893e+01
5.825230788791353476e+00,3.152461498175062502e+02,7.653072215752860785e-01,2.252086932092385894e+02
4.393150185828199383e+00,3.001414320572317820e+02,5.069437554103173316e-01,1.815231742190496433e+01
7.263072881683192428e+00,3.073075511949936640e+02,2.475012323416689308e-01,1.464829060603720166e+02
5.369245492997785973e+00,3.096027215393788197e+02,2.056497525158046402e-01,1.408199901076839922e+02
7.513260353298931271e+00,3.147341217976604071e+02,7.414209215445720369e-02,1.690270702073166547e+02
8.719007134710453855e+00,2.881821387192740076e+02,4.612221704163439462e-01,1.087876428031501419e+01
4.634085511306238914e+00,3.037086835903775182e+02,9.862663915115762459e-01,3.290539479923066324e+01
8.323891477003870776e+00,3.004802818152607529e+02,2.802138206774837936e-01,3.841201005939408475e+01
4.297320758001692553e+00,2.969090158904542704e+02,6.335218894397149914e-01,1.135914453305415073e+01
5.903852541554447164e+00,2.979742809261446155e+02,4.685697120590505138e-01,8.507057371078602159e+01
6.148870305892883081e+00,2.995406593489749412e+02,5.531593383712875012e-01,1.003153265220291814e+02
6.444247734167321440e+00,2.910211350028190509e+02,2.322020794765719542e-01,5.504326326885961862e+01
8.882311609680222375e+00,3.152294436923860985e+02,7.749645658165447148e-01,2.280930086400836032e+01
7.878455940509141442e+00,2.951075476128761466e+02,7.453464239299413263e-01,5.149654256865973423e+01
5.544286813596304597e+00,2.989902805573495925e+02,7.638860462344120306e-01,7.560775512986009517e+01
5.349183927504000735e+00,3.054683597799427730e+02,5.770300922211435424e-01,1.018649132975194505e+02
8.315601020946589372e+00,3.090186031476001745e+02,9.524602050342727277e-02,5.011601021616252893e+01
8.406535863688448629e+00,3.021686113695896552e+02,8.216338953675668133e-01,3.886452861902135680e+01
6.553532527718226142e+00,3.004922417756413893e+02,2.407252285935036762e-02,1.113990056198782526e+02
5.721478654811626541e+00,2.978324242415841923e+02,2.494075711806572060e-01,8.038703566958461977e+01
8.974586740804589624e+00,3.026442674943349402e+02,4.144467032567542564e-01,1.281646526795113772e+01
5.579717726838500980e+00,2.931654756781382503e+02,3.131884304141260289e-01,5.212164088276001195e+01
4.913561894632811899e+00,2.857090781633492043e+02,5.041714012673892409e-01,1.331659613431773259e+01
8.400490606520348180e+00,3.170305083590498043e+02,3.765276689283045264e-01,5.813453105641514895e+01
8.061676990556270184e+00,2.915985056872668792e+02,3.385416903967737312e-01,3.358404960184749655e+01
7.339447027856755845e+00,2.990183705777207592e+02,2.706995133507065221e-01,8.855509199009817678e+01
8.792068158889758678e+00,3.038495659027046258e+02,8.129766813424323113e-02,1.704536698312483267e+01
8.628572886072094050e+00,2.967559646756263305e+02,4.399502573952326356e-01,2.005640415520250386e+01
7.741242516508770599e+00,2.999772640326076498e+02,4.097483628061591304e-02,7.025927322013930620e+01
8.303507047738388991e+00,2.987279153751508716e+02,9.414615841043785793e-02,3.425364142673758039e+01
5.235733701610537416e+00,3.008578725214852057e+02,1.873400640990607879e-01,7.414750867276207202e+01
4.706232784505157696e+00,3.119014482194351672e+02,3.269964399053033044e-01,7.100150125299899173e+01
7.350309246574679989e+00,3.033304072905694397e+02,9.773974998384589163e-01,1.166305051841086566e+02
7.573092683273763726e+00,3.154346254219540810e+02,7.972682580938265096e-01,1.780870491766336272e+02
4.835264643911361127e+00,3.085951564536025558e+02,3.077337930049523981e-02,9.007131970062391702e+01
5.977786365524379697e+00,3.030609715813399134e+02,7.363615650635469967e-01,1.211623315785997477e+02
8.551278831080272980e+00,2.966433593200457608e+02,1.764347467514070511e-01,2.141810881470286532e+01
6.807003837751114617e+00,2.877067697508981610e+02,1.702536821319682314e-01,4.158502984933200253e+01
6.891679574631363714e+00,2.959508412566731295e+02,7.710492465533046458e-01,7.981713399635761164e+01
4.970648864453967697e+00,3.067636162890545961e+02,2.079152092941428109e-01,8.114869894878160039e+01
6.630111243089375606e+00,3.023000806282511235e+02,4.325670621569644436e-01,1.245282198175806627e+02
6.617173636974599482e+00,2.896037355455831630e+02,5.815771601501533716e-01,4.898906013431306405e+01
4.444678201231360148e+00,3.049804909410116807e+02,7.416689481841858278e-01,2.627864574361045413e+01
8.909713465633531726e+00,2.952318189479556736e+02,7.170237583214483790e-01,1.140778266098723037e+01
6.856978002278871998e+00,2.944006778820800037e+02,3.862587504191307142e-01,7.132083678465681942e+01
4.032044413321551168e+00,2.958089441291791672e+02,5.190971012453838851e-01,6.206806407867799358e+00
7.863246006126942689e+00,3.090453697148112724e+02,3.102580209155328395e-01,1.024780045270986477e+02
8.891328569200728893e+00,3.082401291477169707e+02,6.776290341021642405e-01,1.886865431162780027e+01
6.949350141604752729e+00,2.879567132523073383e+02,4.276554359644866854e-01,4.213134533199981746e+01
5.598408181413325302e+00,2.922764393855684375e+02,8.024428286939453425e-01,4.679204095190553403e+01
4.937538578638924314e+00,3.059571870798521900e+02,9.997436573013157579e-01,6.210816047753701241e+01
7.362633169584346327e+00,2.880461117391915877e+02,3.748794282871503736e-01,3.952049751790807619e+01
4.975536992284025573e+00,3.116852044616766761e+02,4.062091081946224702e-01,1.008827461489890283e+02
6.888439462589296625e+00,3.109926809293409065e+02,8.102732511268494475e-01,1.982490667359055578e+02
7.011195881898128590e+00,2.912714766308996559e+02,3.123467199181638732e-01,5.504746075689480023e+01
8.812115465621905841e+00,3.195221904388902203e+02,3.216568557320874655e-01,2.625373235173687192e+01
4.361326327649384105e+00,3.133199970027715153e+02,5.442731258691106966e-01,3.837007702601535186e+01
6.499864118293092297e+00,2.890843050426059335e+02,3.766862617895687659e-01,4.679405680963098746e+01
7.720487396413241221e+00,3.161863333024045914e+02,1.200350826874773263e-01,1.476859908041568588e+02
4.886133702373293808e+00,2.951369779538511580e+02,3.020033920602359090e-01,3.101628815171339326e+01
5.940333658922596349e+00,3.015800702288185562e+02,9.978240623815386456e-01,1.080465077854235858e+02
4.314477492274856552e+00,2.898707682680333733e+02,4.479442177675638237e-01,6.918473681369623485e+00
7.629404318878883373e+00,3.006444935367710514e+02,8.498854452002200244e-01,8.656309647854587297e+01
4.438839433797434175e+00,3.136920455907225005e+02,1.365897220322286887e-01,5.585774248950583143e+01
5.975458541789837597e+00,3.047949093165797194e+02,4.477343896605546769e-01,1.364066144956715618e+02
8.367613155603660147e+00,2.875956608902579319e+02,1.218400993613422550e-01,1.684946819080368741e+01
6.361501683750057090e+00,2.961975671590113848e+02,7.277770015483309152e-01,8.110994421648476305e+01
8.563109668204427649e+00,3.040260206921234953e+02,3.361310243401616771e-01,2.981095187312202555e+01
7.829585588694362386e+00,3.006256046835926554e+02,9.011161579212304540e-01,7.467684105849947684e+01
8.576619800558828999e+00,3.019055453634293826e+02,3.621445954349718499e-01,2.702667901703877362e+01
4.637015045244531564e+00,3.197709915438947519e+02,9.963003224022630722e-01,7.979539790073809513e+01
4.367814526653160279e+00,3.023015597391335518e+02,5.143542202507473959e-01,2.007504526816149237e+01
4.351631267846090445e+00,3.193461001024408006e+02,9.769858344525550464e-01,4.605910973577043421e+01
8.344271471736597334e+00,2.870462027977376351e+02,4.313185212189106776e-01,1.795893303636893634e+01
7.170349896737215900e+00,3.160350968237371490e+02,3.172428892108072329e-01,2.267876047053002253e+02
6.482858468994264989e+00,2.995743759194745053e+02,7.913916422683678897e-01,1.038014646403476746e+02
4.817717080982401257e+00,3.150646349211228312e+02,3.778889471979832715e-01,9.744366775556193261e+01
7.368667188636368159e+00,3.171945994745608459e+02,3.416656474098996865e-01,2.139016467822683865e+02
5.590086939228990026e+00,3.039193905575782537e+02,8.873245841402124245e-01,1.074854254003551262e+02
7.554399316329724279e+00,2.885959200949813521e+02,6.322533639142008388e-01,3.902903762456629266e+01
6.301776644336623434e+00,2.978275282781627880e+02,4.714110516611492163e-01,9.109728917853914254e+01
6.537349302722635258e+00,2.874956440613340192e+02,7.634127560762354880e-01,4.066258731172126062e+01
7.948328662299351421e+00,3.136293665267471624e+02,3.107544759431636328e-01,1.085489429372903487e+02
4.463727377616903524e+00,3.192741538250668327e+02,1.781148470730172795e-01,7.377485521814462288e+01
6.893792516617512689e+00,3.087856341706169587e+02,8.412015568849906533e-01,1.771303492329427058e+02
4.986174736479342506e+00,2.983509801318451196e+02,2.549074612662515782e-01,4.617844808252132083e+01
8.040683759067841052e+00,3.110082530771190932e+02,2.044162267686707168e-01,8.606806944127585268e+01
6.444230180646299821e+00,3.198920058337985211e+02,3.376589670249757758e-01,3.053538380526611036e+02
8.943476666839098144e+00,3.015076053804843355e+02,1.377883127035171851e-01,1.197914913739856679e+01
4.914716623378593496e+00,2.883610020237667868e+02,8.756235076963880815e-01,1.597365476609733292e+01
8.815095700621336405e+00,3.057198219142738935e+02,4.703648235006761547e-01,1.987692967719178228e+01
8.004585183043044339e+00,3.149646365070000797e+02,1.623163620366738502e-01,1.007936822232709062e+02
6.406302482876342630e+00,3.092179324190494185e+02,4.971725380300361374e-01,1.860548261055999717e+02
8.067670320898177039e+00,3.127704501001061885e+02,4.214885505344200256e-01,9.134635276172298290e+01
7.014244526205581920e+00,3.014775710030785376e+02,4.613482620742054841e-01,1.137734622415299981e+02
7.275605319956901518e+00,3.121132896172725850e+02,1.248568857907416188e-02,1.741295762291424580e+02
8.568453813536944352e+00,3.067179845003323635e+02,3.309416706496403071e-01,3.228270389002801721e+01
4.326352082056456716e+00,2.911409930069539769e+02,8.399001641559595832e-01,7.142336134195878650e+00
8.174941019792003161e+00,3.141198117718422509e+02,5.583489737907794126e-01,8.226034599198419528e+01
5.909073899831193799e+00,2.970855899875220416e+02,7.612308216916999770e-01,7.885371484114253349e+01
5.627728080503522357e+00,3.086128350607702941e+02,5.070982551273407468e-01,1.491551782233188703e+02
8.970133856049921306e+00,3.000156558845134782e+02,1.800036972501599108e-01,1.096530861969644199e+01
7.905952510381890619e+00,3.172141242453853351e+02,1.051185698722278267e-01,1.201420039524430337e+02
6.427675693897938913e+00,2.981323136611641189e+02,2.349051027631879340e-01,9.442903476162119603e+01
6.113141982123906359e+00,2.901230398403094455e+02,7.485497618621171911e-01,4.827887864325089851e+01
8.387644529358979639e+00,2.983699230019502693e+02,4.656492012518213541e-01,3.261171828533165495e+01
4.434074361074470616e+00,2.913552093112534180e+02,2.613080148224232180e-01,1.085984969476601947e+01
7.542093784569329884e+00,3.154266876179071346e+02,2.168988072137115752e-01,1.748539605708725446e+02
7.945773118525729650e+00,2.999442413933002740e+02,8.521218792295736089e-01,6.448251692119299605e+01
7.995981898580573954e+00,3.025363967019268898e+02,6.859116377942271470e-01,6.903893849903849400e+01
5.611433623699158879e+00,3.136980716022271736e+02,1.481198067168896723e-02,2.142137524775673398e+02
7.983195913730273041e+00,3.162492500446538770e+02,9.704456230790189375e-01,1.190486490220148852e+02
5.126642209378325710e+00,3.086203501154901119e+02,7.797067059206527206e-01,9.578950890352507486e+01
5.811539752422845595e+00,3.053100402538104277e+02,8.109422960039095463e-01,1.314114895157282774e+02
6.087240561021898699e+00,3.075819899231889281e+02,1.023391481325463676e-01,1.679081046330820470e+02
6.707049918150822521e+00,3.136843183857210988e+02,6.546769975730887259e-01,2.306046839750875392e+02
4.563068327702786142e+00,2.971480971364973698e+02,3.815396808629731851e-01,2.086231080185305231e+01
6.034739003196531115e+00,3.144771600164606866e+02,4.365255493650891938e-01,2.330440595191685134e+02
4.001503450534614537e+00,3.196904225029895770e+02,4.178324632983627107e-01,2.631505174936271274e+01
7.721903631736995344e+00,2.986080884722592828e+02,4.290338183844432107e-01,7.081421237808748970e+01
8.259379561171284578e+00,3.129145751005960392e+02,5.736833159806688232e-02,5.990649434842100618e+01
4.694658395600987966e+00,3.138278768141797173e+02,1.203696730012872584e-01,8.736594198263530586e+01
7.518928846333989391e+00,3.014251199175214992e+02,8.637047479800905592e-01,9.654551971692171719e+01
8.105515441973194513e+00,3.128155578252110445e+02,5.814571100680543392e-02,7.712241860487969802e+01
8.909141614358969008e+00,2.869243467839132222e+02,6.870343447238910217e-01,7.347429536059775224e+00
8.218952811843633910e+00,2.884973966746919132e+02,9.160152597459476631e-01,2.402074972228328065e+01
6.120532427220064520e+00,2.862745425778381900e+02,6.049459824126839358e-01,3.462118853041626920e+01
8.898443542548282181e+00,3.150832276035670816e+02,3.628749110392797128e-01,2.056635552651300358e+01
8.869922024261775562e+00,2.988435500449231199e+02,1.446649160051014238e-01,1.265141274658846626e+01
6.518384896002895168e+00,3.106881144209174295e+02,8.196049784079496581e-01,2.008995403540333768e+02
7.767232692919526116e+00,2.953558726518173216e+02,4.311393726679684790e-01,5.605959026113429644e+01
8.569188338365814062e+00,3.149756766285141225e+02,5.354406705717663639e-01,4.160754143561940310e+01
6.380735359843765053e+00,2.957231680316232314e+02,5.128440914692465880e-01,7.869895754854128711e+01
8.318931205485425195e+00,3.091119286702574414e+02,8.830667108863173853e-01,5.807913349634516464e+01
7.507842830309363613e+00,3.167462238855796954e+02,7.294467231262996565e-01,1.955195848923886786e+02
5.469621279872788122e+00,2.995755880379828682e+02,6.027991058016286541e-01,7.582297787949326562e+01
7.838261349917368115e+00,3.146721645394591178e+02,9.630706494141549889e-01,1.356709515007802338e+02
6.853423929297495221e+00,3.094199322853042986e+02,7.807572860744750320e-01,1.840837139034962320e+02
4.469225767166530972e+00,2.886511136624646952e+02,3.369065031478970518e-01,8.764449500286355388e+00
