t,J,A,maturation_resource_level,adult_energy_reserve_level,dA_dt
2.400480096019204090e-01,9.942543348738622910e+01,5.353326650356323313e+01,8.516394288414219638e-01,9.981166173684605791e-01,1.318436217116352083e+01
2.500500100020003891e-01,9.942515200575041945e+01,5.366459116842434440e+01,8.466501216964162913e-01,9.979676830291530631e-01,1.307564418059023303e+01
2.600520104020804246e-01,9.942650731584690504e+01,5.379483829582405008e+01,8.417426320224029590e-01,9.978139507236237771e-01,1.296889510376141530e+01
2.700540108021604602e-01,9.942947360481815622e+01,5.392402738744944202e+01,8.369155684498394976e-01,9.976555063331334905e-01,1.286407692738907294e+01
2.800560112022404402e-01,9.943402553172487046e+01,5.405217757961265335e+01,8.321675623736216609e-01,9.974924343149500494e-01,1.276115244804313598e+01
2.900580116023204758e-01,9.944013822754594401e+01,5.417930764325092241e+01,8.274972679530827602e-01,9.973248177023484873e-01,1.266008526145698276e+01
3.000600120024005113e-01,9.944778729517850024e+01,5.430543598392651461e+01,8.229033621119942188e-01,9.971527381046108029e-01,1.256083975219161886e+01
3.100620124024804913e-01,9.945694879351773920e+01,5.443058065464177275e+01,8.183845440214775335e-01,9.969762757402146347e-01,1.246338106991845329e+01
3.200640128025605269e-01,9.946759924490642391e+01,5.455475935085380712e+01,8.139395359906893557e-01,9.967955093864302452e-01,1.236767513903337701e+01
3.300660132026405624e-01,9.947971563360707137e+01,5.467798941102009280e+01,8.095670829644598943e-01,9.966105164066966227e-01,1.227368863915119235e+01
3.400680136027205425e-01,9.949327534800087847e+01,5.480028786207075342e+01,8.052659499620679062e-01,9.964213729078065240e-01,1.218138893297376057e+01
3.500700140028005780e-01,9.950825617952781954e+01,5.492167142024939608e+01,8.010349220348369492e-01,9.962281537425439204e-01,1.209074405679826825e+01
3.600720144028806136e-01,9.952463632268663218e+01,5.504215649111312558e+01,7.968728042661360478e-01,9.960309325096839972e-01,1.200172271238203336e+01
3.700740148029605936e-01,9.954239437503481724e+01,5.516175916953253022e+01,7.927784217713789161e-01,9.958297815539933762e-01,1.191429425908501827e+01
3.800760152030406291e-01,9.956150933490300758e+01,5.528049524150483052e+01,7.887506196093478916e-01,9.956247719718496203e-01,1.182842870404027380e+01
3.900780156031206647e-01,9.958196058073428958e+01,5.539838020096302529e+01,7.847882622656547902e-01,9.954159736473341402e-01,1.174409668019509212e+01
4.000800160032006447e-01,9.960372790869949711e+01,5.551542922034645500e+01,7.808902353826787657e-01,9.952034551457094036e-01,1.166126948153426213e+01
4.100820164032806803e-01,9.962679147533141588e+01,5.563165719518318042e+01,7.770554428968032834e-01,9.949872838872451108e-01,1.157991898746175963e+01
4.200840168033607158e-01,9.965113178187853293e+01,5.574707875637785293e+01,7.732828063465696511e-01,9.947675261900568167e-01,1.150001763936392862e+01
4.300860172034406959e-01,9.967672967430507924e+01,5.586170827021170737e+01,7.695712648726773519e-01,9.945442472701058190e-01,1.142153843443315964e+01
4.400880176035207314e-01,9.970356634329101553e+01,5.597555983834261184e+01,7.659197752179833785e-01,9.943175112411994920e-01,1.134445491970704722e+01
4.500900180036007669e-01,9.973162332423200382e+01,5.608864729780499658e+01,7.623273117275026767e-01,9.940873811149907313e-01,1.126874118631819144e+01
4.600920184036807470e-01,9.976088248863531760e+01,5.620098422782680103e+01,7.587928660221130439e-01,9.938539188221380272e-01,1.119437185569365134e+01
4.700940188037607825e-01,9.979132604420655639e+01,5.631258395032302388e+01,7.553154474094228021e-01,9.936171851920853060e-01,1.112132208237327902e+01
4.800960192038408181e-01,9.982293654714277409e+01,5.642345951997869946e+01,7.518940832101848049e-01,9.933772399295881517e-01,1.104956755791084255e+01
4.900980196039207981e-01,9.985569685122563044e+01,5.653362376385765486e+01,7.485278162960611326e-01,9.931341417659349524e-01,1.097908444661786653e+01
5.001000200040007782e-01,9.988959010535454297e+01,5.664308928333477411e+01,7.452157049799178479e-01,9.928879484658055254e-01,1.090984937819962930e+01
5.101020204040808137e-01,9.992459975354681490e+01,5.675186845409601943e+01,7.419568230158248845e-01,9.926387168272705619e-01,1.084183944324607651e+01
5.201040208041608492e-01,9.996070953493752143e+01,5.685997342613841710e+01,7.387502595990559362e-01,9.923865026817919599e-01,1.077503218888636560e+01
5.301060212042408848e-01,9.999790348377956661e+01,5.696741612377007158e+01,7.355951193660886789e-01,9.921313608942228246e-01,1.070940561460339424e+01
5.401080216043209203e-01,1.000361659165988613e+02,5.707420825575203338e+01,7.324905219073531981e-01,9.918733453951321666e-01,1.064493815592178905e+01
5.501100220044009559e-01,1.000754814500668033e+02,5.718036130175546816e+01,7.294356028946712422e-01,9.916125091151324344e-01,1.058160870655415131e+01
5.601120224044808804e-01,1.001158349869721178e+02,5.728588652293878880e+01,7.264295131405750228e-01,9.913489040388727691e-01,1.051939659316551534e+01
5.701140228045609160e-01,1.001572116830078585e+02,5.739079498772639454e+01,7.234714169810740891e-01,9.910825813050273547e-01,1.045828153297962082e+01
5.801160232046409515e-01,1.001995969466905052e+02,5.749509757187185954e+01,7.205604922720040273e-01,9.908135912065256790e-01,1.039824363029163656e+01
5.901180236047209871e-01,1.002429764393599072e+02,5.759880495845796133e+01,7.176959303890266817e-01,9.905419831905529771e-01,1.033926337319709532e+01
6.001200240048010226e-01,1.002873360751793257e+02,5.770192763789665236e+01,7.148769362276297112e-01,9.902678058585498988e-01,1.028132163044534408e+01
6.101220244048810581e-01,1.003326620210918918e+02,5.780447590796288893e+01,7.121027282011103132e-01,9.899911069663407392e-01,1.022439964836581971e+01
6.201240248049609827e-01,1.003789406835560669e+02,5.790645988420820345e+01,7.093725377225958972e-01,9.897119334590884776e-01,1.016847903501517791e+01
6.301260252050410182e-01,1.004261587327889202e+02,5.800788948139801704e+01,7.066856105707646218e-01,9.894303313896818386e-01,1.011354178940694659e+01
6.401280256051210538e-01,1.004743030785631817e+02,5.810877443200846670e+01,7.040412054791438390e-01,9.891463460020900600e-01,1.005957026594590431e+01
6.501300260052010893e-01,1.005233608473065061e+02,5.820912430393195791e+01,7.014385929935230690e-01,9.888600218021803556e-01,1.000654714457570194e+01
6.601320264052811249e-01,1.005733193821013742e+02,5.830894850047715749e+01,6.988770554719540007e-01,9.885714025577182484e-01,9.954455428328559563e+00
6.701340268053610494e-01,1.006241662426851065e+02,5.840825626036898655e+01,6.963558870847502691e-01,9.882805312983676815e-01,9.903278440971920560e+00
6.801360272054410849e-01,1.006758892054499341e+02,5.850705665774861330e+01,6.938743938144878998e-01,9.879874503156906851e-01,9.852999824749915092e+00
6.901380276055211205e-01,1.007284762634374715e+02,5.860535860217768800e+01,6.914318934557427410e-01,9.876922011631643628e-01,9.803603538211135060e+00
7.001400280056011560e-01,1.007819156152725100e+02,5.870317084725620305e+01,6.890277151534636157e-01,9.873948246874008072e-01,9.755073842757134628e+00
7.101420284056811916e-01,1.008361956861800053e+02,5.880050197457124739e+01,6.866612006166337157e-01,9.870953609561722297e-01,9.707395329010585883e+00
7.201440288057612271e-01,1.008913051091219586e+02,5.889736040807766670e+01,6.843317029846980315e-01,9.867938493245708154e-01,9.660552888591507070e+00
7.301460292058411516e-01,1.009472327027070548e+02,5.899375443110620409e+01,6.820385856929261914e-01,9.864903285053179260e-01,9.614531685319096965e+00
7.401480296059211872e-01,1.010039674711906628e+02,5.908969218636352139e+01,6.797812224724121277e-01,9.861848365687646556e-01,9.569317153462833403e+00
7.501500300060012227e-01,1.010614986044748917e+02,5.918518167593218493e+01,6.775589973500741880e-01,9.858774109428916077e-01,9.524894996067407860e+00
7.601520304060812583e-01,1.011198154781085208e+02,5.928023076127068691e+01,6.753713046486552463e-01,9.855680884133087849e-01,9.481251183349925782e+00
7.701540308061612938e-01,1.011789076532870553e+02,5.937484716321340983e+01,6.732175489867224805e-01,9.852569051232559216e-01,9.438371951167773943e+00
7.801560312062413294e-01,1.012387648699298524e+02,5.946903846731478893e+01,6.710971449643655662e-01,9.849438965946004654e-01,9.396243791927105349e+00
7.901580316063212539e-01,1.012993770568650689e+02,5.956281211614231097e+01,6.690095178482098337e-01,9.846290976898860459e-01,9.354853468892494917e+00
8.001600320064012895e-01,1.013607343302836057e+02,5.965617541038409399e+01,6.669541033608465952e-01,9.843125426213931162e-01,9.314188010337293377e+00
8.101620324064813250e-01,1.014228269657957924e+02,5.974913553027516144e+01,6.649303461963399497e-01,9.839942650427022652e-01,9.274234673126997563e+00
8.201640328065613605e-01,1.014856453980162172e+02,5.984169953591651847e+01,6.629376999992161457e-01,9.836742980500222666e-01,9.234980940986222464e+00
8.301660332066413961e-01,1.015491802205637129e+02,5.993387436727512352e+01,6.609756273644643576e-01,9.833526741821894124e-01,9.196414523323021228e+00
8.401680336067214316e-01,1.016134221860613707e+02,6.002566684418392384e+01,6.590435998375361315e-01,9.830294254206677351e-01,9.158523354108243808e+00
8.501700340068013562e-01,1.016783622061365406e+02,6.011708366634179157e+01,6.571410979143456066e-01,9.827045831895492300e-01,9.121295590808893294e+00
8.601720344068813917e-01,1.017439913490521661e+02,6.020813141512800115e+01,6.552676109240436197e-01,9.823781783632026254e-01,9.084719610565619163e+00
8.701740348069614273e-01,1.018103008365210655e+02,6.029881655608340196e+01,6.534226369789316591e-01,9.820502412739777753e-01,9.048784007631230253e+00
8.801760352070414628e-01,1.018772820617138564e+02,6.038914542513740713e+01,6.516056839016232116e-01,9.817208016531413506e-01,9.013477614549159966e+00
8.901780356071214984e-01,1.019449265579831803e+02,6.047912425250221702e+01,6.498162674909374603e-01,9.813898887362967338e-01,8.978789460422916591e+00
9.001800360072015339e-01,1.020132259947525313e+02,6.056875916581693531e+01,6.480539113040880705e-01,9.810575312770027923e-01,8.944708764898608777e+00
9.101820364072814584e-01,1.020821721775162132e+02,6.065805619014757610e+01,6.463181466566829680e-01,9.807237575467735446e-01,8.911224937354813136e+00
9.201840368073614940e-01,1.021517570478393822e+02,6.074702124798707814e+01,6.446085126227245610e-01,9.803885953350784943e-01,8.878327576134491750e+00
9.301860372074415295e-01,1.022219726833579898e+02,6.083566015925527637e+01,6.429245560346097399e-01,9.800520719493424071e-01,8.846006467818098074e+00
9.401880376075215651e-01,1.022928112977788260e+02,6.092397864129893748e+01,6.412658314831294337e-01,9.797142142149452004e-01,8.814251586536961725e+00
9.501900380076016006e-01,1.023642652341507784e+02,6.101198231401738070e+01,6.396319009896115348e-01,9.793750484974985682e-01,8.783053085436446139e+00
9.601920384076816362e-01,1.024363269794621942e+02,6.109967668873784419e+01,6.380223348772822156e-01,9.790346006523015232e-01,8.752401316452111502e+00
9.701940388077615607e-01,1.025089891554088553e+02,6.118706717526352890e+01,6.364367111852363701e-01,9.786928960567183866e-01,8.722286816143281385e+00
9.801960392078415962e-01,1.025822445000084144e+02,6.127415909588669507e+01,6.348746146574469895e-01,9.783499596726162872e-01,8.692700281219583047e+00
9.901980396079216318e-01,1.026560858675800176e+02,6.136095768540418049e+01,6.333356367416818067e-01,9.780058160464334405e-01,8.663632567970807941e+00
1.000200040008001556e+00,1.027305062287443036e+02,6.144746809111745733e+01,6.318193755895042951e-01,9.776604893091791482e-01,8.635074691754585530e+00
1.010202040408081592e+00,1.028054986704233755e+02,6.153369537283256818e+01,6.303254360562730030e-01,9.773140031764340208e-01,8.607017826515551917e+00
1.020204040808161627e+00,1.028810563958408295e+02,6.161964450286016870e+01,6.288534297011418861e-01,9.769663809483497552e-01,8.579453304335281416e+00
1.030206041208241663e+00,1.029571727239811167e+02,6.170532036642558182e+01,6.274029747580840422e-01,9.766176455115144206e-01,8.552372614322742095e+00
1.040208041608321698e+00,1.030338410834948206e+02,6.179072776626583874e+01,6.259736958496026071e-01,9.762678193599998444e-01,8.525767395278418093e+00
1.050210042008401734e+00,1.031110550322239732e+02,6.187587140778914829e+01,6.245652250868438671e-01,9.759169245279907257e-01,8.499629461353585214e+00
1.060212042408481770e+00,1.031888082350712210e+02,6.196075591593050547e+01,6.231772007882007136e-01,9.755649826660514057e-01,8.473950771521842285e+00
1.070214042808561805e+00,1.032670944561812831e+02,6.204538584109317156e+01,6.218092670446013770e-01,9.752120150680894106e-01,8.448723418933472118e+00
1.080216043208641841e+00,1.033459075589408371e+02,6.212976565914874527e+01,6.204610737195096481e-01,9.748580426713555624e-01,8.423939630586867011e+00
1.090218043608721876e+00,1.034252415059786472e+02,6.221389977143710581e+01,6.191322764489242125e-01,9.745030860564440900e-01,8.399591767023958155e+00
1.100220044008801912e+00,1.035050903591654645e+02,6.229779250476643426e+01,6.178225366413793163e-01,9.741471654472922959e-01,8.375672322049215524e+00
1.110222044408881725e+00,1.035854482796140701e+02,6.238144811141322066e+01,6.165315214779446551e-01,9.737903007111808895e-01,8.352173922471685330e+00
1.120224044808961761e+00,1.036663095268168604e+02,6.246487076977345509e+01,6.152589038650543296e-01,9.734325113617838809e-01,8.329089326745776845e+00
1.130226045209041796e+00,1.037476684544824224e+02,6.254806458745398601e+01,6.140043622409456781e-01,9.730738165746249946e-01,8.306411420041374782e+00
1.140228045609121832e+00,1.038295195279198992e+02,6.263103358810188581e+01,6.127675815582021013e-01,9.727142351262331177e-01,8.284133237376998693e+00
1.150230046009201867e+00,1.039118573022676060e+02,6.271378172796014638e+01,6.115482520212762729e-01,9.723537854695851745e-01,8.262247933581317483e+00
1.160232046409281903e+00,1.039946764171759526e+02,6.279631289989698217e+01,6.103460687865779333e-01,9.719924857527164619e-01,8.240748775979746199e+00
1.170234046809361939e+00,1.040779715968074868e+02,6.287863093340583021e+01,6.091607319624735561e-01,9.716303538187200939e-01,8.219629144214444239e+00
1.180236047209441974e+00,1.041617376498369367e+02,6.296073959460535008e+01,6.079919466092866820e-01,9.712674072057472241e-01,8.198882530082368447e+00
1.190238047609522010e+00,1.042459694694510972e+02,6.304264258623942396e+01,6.068394227392975848e-01,9.709036631470071566e-01,8.178502537390874849e+00
1.200240048009602045e+00,1.043306620333489434e+02,6.312434354767713529e+01,6.057028753167432722e-01,9.705391385707672347e-01,8.158482881830657618e+00
1.210242048409682081e+00,1.044158104034179786e+02,6.320584605515644938e+01,6.045820242396431343e-01,9.701738501015179095e-01,8.138817390432116383e+00
1.220244048809762116e+00,1.045014097208133705e+02,6.328715362543411516e+01,6.034765940817168328e-01,9.698078140786895451e-01,8.119499995264048309e+00
1.230246049209841930e+00,1.045874552226845537e+02,6.336826970311466312e+01,6.023863150595922811e-01,9.694410464979218434e-01,8.100524756357520673e+00
1.240248049609921965e+00,1.046739422250892204e+02,6.344919767365233554e+01,6.013109220284275080e-01,9.690735630701089454e-01,8.081885837814741791e+00
1.250250050010002001e+00,1.047608661158768939e+02,6.352994086873347612e+01,6.002501540740674546e-01,9.687053792465744051e-01,8.063577498015579437e+00
1.260252050410082036e+00,1.048482223546889855e+02,6.361050256627648025e+01,5.992037545130444176e-01,9.683365102190710783e-01,8.045594089537772220e+00
1.270254050810162072e+00,1.049360064729587236e+02,6.369088599043183763e+01,5.981714708925774948e-01,9.679669709197816774e-01,8.027930059090547132e+00
1.280256051210242108e+00,1.050242140739112244e+02,6.377109431158212516e+01,5.971530549905728069e-01,9.675967760213178837e-01,8.010579947461510031e+00
1.290258051610322143e+00,1.051128408325634211e+02,6.385113064634199276e+01,5.961482628156237196e-01,9.672259399367212351e-01,7.993538389476437800e+00
1.300260052010402179e+00,1.052018824957241208e+02,6.393099805755816334e+01,5.951568546070102883e-01,9.668544768194625716e-01,7.976800113971789230e+00
1.310262052410482214e+00,1.052913348784555581e+02,6.401069955694332236e+01,5.941785946360820247e-01,9.664824005768252180e-01,7.960359939018816888e+00
1.320264052810562250e+00,1.053811938725059036e+02,6.409023809861017185e+01,5.932132517134128813e-01,9.661097248418893946e-01,7.944212783993749305e+00
1.330266053210642285e+00,1.054714554451784210e+02,6.416961658003090463e+01,5.922605991054914476e-01,9.657364629755044172e-01,7.928353667654502779e+00
1.340268053610722099e+00,1.055621156247445498e+02,6.424883785306353445e+01,5.913204136863530191e-01,9.653626281180562874e-01,7.912777687872537768e+00
1.350270054010802134e+00,1.056531705002863504e+02,6.432790472407062055e+01,5.903924759285112955e-01,9.649882331900374588e-01,7.897480021401769967e+00
1.360272054410882170e+00,1.057446162216964893e+02,6.440681995391912551e+01,5.894765699029578254e-01,9.646132908920468374e-01,7.882455923874324810e+00
1.370274054810962205e+00,1.058364489996782538e+02,6.448558625798050059e+01,5.885724832791618955e-01,9.642378137047901143e-01,7.867700729806170301e+00
1.380276055211042241e+00,1.059286651057455373e+02,6.456420630613068568e+01,5.876800073250710854e-01,9.638618138890796549e-01,7.853209852612495823e+00
1.390278055611122277e+00,1.060212608722228396e+02,6.464268272275003824e+01,5.867989369071110461e-01,9.634853034858343879e-01,7.838978784632603336e+00
1.400280056011202312e+00,1.061142326918317735e+02,6.472101808703260417e+01,5.859290704661814786e-01,9.631082943176182409e-01,7.825003096587647811e+00
1.410282056411282348e+00,1.062075770143351292e+02,6.479921493541601762e+01,5.850702098295139653e-01,9.627307980028236845e-01,7.811278433091896289e+00
1.420284056811362383e+00,1.063012903607885704e+02,6.487727575083096099e+01,5.842221610462488002e-01,9.623528259047579025e-01,7.797800532769487702e+00
1.430286057211442419e+00,1.063953693085064742e+02,6.495520297412538469e+01,5.833847334995689859e-01,9.619743891837042593e-01,7.784565207021381106e+00
1.440288057611522454e+00,1.064898104861416641e+02,6.503299900777163600e+01,5.825577396187292534e-01,9.615954988146270255e-01,7.771568333143934026e+00
1.450290058011602490e+00,1.065846105736853815e+02,6.511066621586631697e+01,5.817409948790568386e-01,9.612161655871701571e-01,7.758805854363009402e+00
1.460292058411682303e+00,1.066797663024673568e+02,6.518820692413044071e+01,5.809343178019504839e-01,9.608364001056585169e-01,7.746273779875496146e+00
1.470294058811762339e+00,1.067752744551557385e+02,6.526562341990931770e+01,5.801375299548813258e-01,9.604562127890967638e-01,7.733968184898113662e+00
1.480296059211842374e+00,1.068711318657571212e+02,6.534291795217259846e+01,5.793504559513921182e-01,9.600756138711702414e-01,7.721885210723360871e+00
1.490298059611922410e+00,1.069673354196165320e+02,6.542009273151424509e+01,5.785729234510981200e-01,9.596946134002444229e-01,7.710021064782512035e+00
1.500300060012002445e+00,1.070638820525713584e+02,6.549714993078208636e+01,5.778047631099316739e-01,9.593132212425788952e-01,7.698372019514735598e+00
1.510302060412082481e+00,1.071607687497470494e+02,6.557409168586259796e+01,5.770458085119911651e-01,9.589314470893519626e-01,7.686934410800099648e+00
1.520304060812162517e+00,1.072579925572584614e+02,6.565092008690864134e+01,5.762958968592409859e-01,9.585493004137627393e-01,7.675704654704269103e+00
1.530306061212242552e+00,1.073555505670567101e+02,6.572763718982170644e+01,5.755548680754856150e-01,9.581667905240522920e-01,7.664679225936012585e+00
1.540308061612322588e+00,1.074534399142717547e+02,6.580424501824934680e+01,5.748225646496160079e-01,9.577839265731508123e-01,7.653854654121599488e+00
1.550310062012402623e+00,1.075516577772123981e+02,6.588074556358522216e+01,5.740988316356101517e-01,9.574007175586769502e-01,7.643227523866245932e+00
1.560312062412482659e+00,1.076502013773662867e+02,6.595714078496904165e+01,5.733835166525322879e-01,9.570171723229387029e-01,7.632794474820988384e+00
1.570314062812562694e+00,1.077490679793998822e+02,6.603343260928660641e+01,5.726764698845334678e-01,9.566332995529325256e-01,7.622552201754940526e+00
1.580316063212642508e+00,1.078482548911584900e+02,6.610962293116980959e+01,5.719775440808514411e-01,9.562491077803439987e-01,7.612497454632829452e+00
1.590318063612722543e+00,1.079477594636663014e+02,6.618571361299662215e+01,5.712865945558104341e-01,9.558646053815474941e-01,7.602627038697694850e+00
1.600320064012802579e+00,1.080475790907287745e+02,6.626170648518663597e+01,5.706034791651654059e-01,9.554798005791169668e-01,7.592937813984529605e+00
1.610322064412882614e+00,1.081477112065746979e+02,6.633760334786354917e+01,5.699280581642187649e-01,9.550947014528075041e-01,7.583426691980205803e+00
1.620324064812962650e+00,1.082481532978986962e+02,6.641340596180046418e+01,5.692601949226402391e-01,9.547093158961026393e-01,7.574090653098670245e+00
1.630326065213042686e+00,1.083489028912888585e+02,6.648911605796918423e+01,5.685997551795474170e-01,9.543236516595741126e-01,7.564926728679245649e+00
1.640328065613122721e+00,1.084499575494962471e+02,6.656473534034290651e+01,5.679466068219748420e-01,9.539377163644162660e-01,7.555931995679316060e+00
1.650330066013202757e+00,1.085513148714348830e+02,6.664026548589625065e+01,5.673006198848746795e-01,9.535515175024469325e-01,7.547103576748837916e+00
1.660332066413282792e+00,1.086529724921817177e+02,6.671570814460530130e+01,5.666616665511161610e-01,9.531650624361067692e-01,7.538438640308879002e+00
1.670334066813362828e+00,1.087549280829766616e+02,6.679106493944756551e+01,5.660296211514859177e-01,9.527783583984594795e-01,7.529934400634105351e+00
1.680336067213442863e+00,1.088571793512225696e+02,6.686633746640194431e+01,5.654043601646878692e-01,9.523914124931920355e-01,7.521588117939201901e+00
1.690338067613522677e+00,1.089597240404852556e+02,6.694152729444881800e+01,5.647857622173432235e-01,9.520042316946143446e-01,7.513397098469051905e+00
1.700340068013602712e+00,1.090625599304934781e+02,6.701663596556997504e+01,5.641737080839903662e-01,9.516168228476593605e-01,7.505358694592748847e+00
1.710342068413682748e+00,1.091656848348114153e+02,6.709166499645067461e+01,5.635680805461622533e-01,9.512291926773301931e-01,7.497470301462774600e+00
1.720344068813762783e+00,1.092690966075463734e+02,6.716661587332654904e+01,5.629687647870807998e-01,9.508413477670191183e-01,7.489729366801370247e+00
1.730346069213842819e+00,1.093727931426212479e+02,6.724149005265796575e+01,5.623756483537709627e-01,9.504532945583811232e-01,7.482133390069748202e+00
1.740348069613922855e+00,1.094767723641891166e+02,6.731628896834504872e+01,5.617886205860114224e-01,9.500650393856845399e-01,7.474679908581891574e+00
1.750350070014002890e+00,1.095810322265479471e+02,6.739101403179134309e+01,5.612075726112349949e-01,9.496765884761282361e-01,7.467366497458113095e+00
1.760352070414082926e+00,1.096855707141406526e+02,6.746566663190380098e+01,5.606323973445285214e-01,9.492879479498419482e-01,7.460190769706280811e+00
1.770354070814162961e+00,1.097903858415550928e+02,6.754024813509276726e+01,5.600629894886333116e-01,9.488991238198856149e-01,7.453150376305957892e+00
1.780356071214242997e+00,1.098954756535240449e+02,6.761475988527195113e+01,5.594992455339448112e-01,9.485101219922498217e-01,7.446243006295409472e+00
1.790358071614323032e+00,1.100008382249252179e+02,6.768920320385851142e+01,5.589410637585124908e-01,9.481209482658556897e-01,7.439466386861444569e+00
1.800360072014403068e+00,1.101064716607812812e+02,6.776357938977295703e+01,5.583883442280401788e-01,9.477316083325552087e-01,7.432818283432052198e+00
1.810362072414482881e+00,1.102123740961771716e+02,6.783788971950059477e+01,5.578409887908971632e-01,9.473421077774437649e-01,7.426296499648931793e+00
1.820364072814562917e+00,1.103185436937090316e+02,6.791213544891826359e+01,5.572989009197326649e-01,9.469524520900148845e-01,7.419898873582261523e+00
1.830366073214642952e+00,1.104249786535933566e+02,6.798631780566259408e+01,5.567619863130146562e-01,9.465626466286776175e-01,7.413623292687383959e+00
1.840368073614722988e+00,1.105316772057753241e+02,6.806043799516827164e+01,5.562301524301884736e-01,9.461726966467852717e-01,7.407467682426910116e+00
1.850370074014803023e+00,1.106386376051982836e+02,6.813449720421949962e+01,5.557033082087116105e-01,9.457826073097104214e-01,7.401429999373895896e+00
1.860372074414883059e+00,1.107458581318037147e+02,6.820849660094997091e+01,5.551813640640527181e-01,9.453923836948453507e-01,7.395508231290061296e+00
1.870374074814963095e+00,1.108533370905311983e+02,6.828243733484285372e+01,5.546642318896926049e-01,9.450020307916021656e-01,7.389700397206219407e+00
1.880376075215043130e+00,1.109610728113184734e+02,6.835632053673080577e+01,5.541518250571233484e-01,9.446115535014121267e-01,7.384004547504776639e+00
1.890378075615123166e+00,1.110690636491013805e+02,6.843014731879594592e+01,5.536440584158491829e-01,9.442209566377264274e-01,7.378418764004376129e+00
1.900380076015203201e+00,1.111773079838139182e+02,6.850391877456993939e+01,5.531408482933855009e-01,9.438302449260156379e-01,7.372941160046575959e+00
1.910382076415283237e+00,1.112858042203882007e+02,6.857763597893386986e+01,5.526421124952597408e-01,9.434394230037700391e-01,7.367569880584577291e+00
1.920384076815363272e+00,1.113945507887315785e+02,6.865129998813533518e+01,5.521477703036239415e-01,9.430484954205858861e-01,7.362303102239494912e+00
