t,x,y,vx,vy,dvx_dt,dvx_dt_noisy
6.201240248049610243e-02,9.979619821041634253e-01,4.957062019695718247e-02,-6.572688627469171208e-02,7.981369462123413250e-01,-1.059759771304539244e+00,-1.070879978931462029e+00
6.401280256051210260e-02,9.978283816741939649e-01,5.116709438608027516e-02,-6.784681824908064818e-02,7.980173062782023319e-01,-1.059748100531676007e+00,-1.063524150602946028e+00
6.601320264052810971e-02,9.976905405554461481e-01,5.276332551693997674e-02,-6.996672660700289925e-02,7.978939366106843067e-01,-1.059736169748365597e+00,-1.039308453673442267e+00
6.801360272054410294e-02,9.975484587957873517e-01,5.435930612636107745e-02,-7.208661082346209947e-02,7.977668361750910320e-01,-1.059723977134594319e+00,-1.053256947172575897e+00
7.001400280056011005e-02,9.974021364441476578e-01,5.595502874907473667e-02,-7.420647037020722259e-02,7.976360039046054284e-01,-1.059711520815238561e+00,-1.053080887091475848e+00
7.201440288057611716e-02,9.972515735505194101e-01,5.755048591771838584e-02,-7.632630471573259578e-02,7.975014387002907768e-01,-1.059698798859974644e+00,-1.064838862576849232e+00
7.401480296059212427e-02,9.970967701659574356e-01,5.914567016283580475e-02,-7.844611332527789971e-02,7.973631394310896070e-01,-1.059685809283176017e+00,-1.076166560991732579e+00
7.601520304060811750e-02,9.969377263425791558e-01,6.074057401287708685e-02,-8.056589566082815457e-02,7.972211049338243649e-01,-1.059672550043811334e+00,-1.057997902601583995e+00
7.801560312062412461e-02,9.967744421335644756e-01,6.233518999419868090e-02,-8.268565118111377565e-02,7.970753340131971898e-01,-1.059659019045334105e+00,-1.058568878167118532e+00
8.001600320064013172e-02,9.966069175931556723e-01,6.392951063106332155e-02,-8.480537934161050395e-02,7.969258254417899145e-01,-1.059645214135569669e+00,-1.071918734678015461e+00
8.201640328065612495e-02,9.964351527766575067e-01,6.552352844564007794e-02,-8.692507959453944777e-02,7.967725779600641767e-01,-1.059631133106598178e+00,-1.066463399724403738e+00
8.401680336067213206e-02,9.962591477404374452e-01,6.711723595800436759e-02,-8.904475138886705499e-02,7.966155902763610852e-01,-1.059616773694628034e+00,-1.060337210491900217e+00
8.601720344068813917e-02,9.960789025419251042e-01,6.871062568613789390e-02,-9.116439417030514081e-02,7.964548610669018869e-01,-1.059602133579870431e+00,-1.069049649810478231e+00
8.801760352070414628e-02,9.958944172396129169e-01,7.030369014592871557e-02,-9.328400738131090164e-02,7.962903889757870779e-01,-1.059587210386403688e+00,-1.060569910064925958e+00
9.001800360072013951e-02,9.957056918930555778e-01,7.189642185117119111e-02,-9.540359046108680408e-02,7.961221726149972922e-01,-1.059572001682037801e+00,-1.058617171407343349e+00
9.201840368073614662e-02,9.955127265628701538e-01,7.348881331356602042e-02,-9.752314284558077917e-02,7.959502105643926351e-01,-1.059556504978170111e+00,-1.059200642607615261e+00
9.401880376075215373e-02,9.953155213107366395e-01,7.508085704272024485e-02,-9.964266396748602816e-02,7.957745013717129057e-01,-1.059540717729636761e+00,-1.064603634312779823e+00
9.601920384076814696e-02,9.951140761994513584e-01,7.667254554565780533e-02,-1.017621532556494540e-01,7.955950435522746167e-01,-1.059524637334583907e+00,-1.053587156616725640e+00
9.801960392078415407e-02,9.949083912942702224e-01,7.826387131358644722e-02,-1.038816101155992239e-01,7.954118355823753816e-01,-1.059508261135329255e+00,-1.050596591592505957e+00
1.000200040008001612e-01,9.946984666606883962e-01,7.985482684030219269e-02,-1.060010339458027778e-01,7.952248759135165379e-01,-1.059491586417923514e+00,-1.056283103372257948e+00
1.020204040808161683e-01,9.944843023648424207e-01,8.144540462159305383e-02,-1.081204241441144631e-01,7.950341629687756040e-01,-1.059474610411112794e+00,-1.067656912685015946e+00
1.040208041608321615e-01,9.942658984742187567e-01,8.303559714938374414e-02,-1.102397801020604529e-01,7.948396951385517939e-01,-1.059457330286330157e+00,-1.052140807448475712e+00
1.060212042408481686e-01,9.940432550576535631e-01,8.462539691173567857e-02,-1.123591012048388710e-01,7.946414707805662392e-01,-1.059439743157576830e+00,-1.064454143342247416e+00
1.080216043208641757e-01,9.938163721853329191e-01,8.621479639284695962e-02,-1.144783868313196812e-01,7.944394882198617669e-01,-1.059421846081289642e+00,-1.050630239898409757e+00
1.100220044008801829e-01,9.935852499287928241e-01,8.780378807305237732e-02,-1.165976363540447563e-01,7.942337457488033436e-01,-1.059403636056212239e+00,-1.070121510224986583e+00
1.120224044808961761e-01,9.933498883609190866e-01,8.939236442882346478e-02,-1.187168491392278230e-01,7.940242416270774095e-01,-1.059385110023255416e+00,-1.050240437991967646e+00
1.140228045609121832e-01,9.931102875559473242e-01,9.098051793276841492e-02,-1.208360245467545308e-01,7.938109740816924331e-01,-1.059366264865356566e+00,-1.059566899411511276e+00
1.160232046409281903e-01,9.928664475894630748e-01,9.256824105363213595e-02,-1.229551619301823828e-01,7.935939413069785786e-01,-1.059347097407331129e+00,-1.071834586310675297e+00
1.180236047209441835e-01,9.926183685384016853e-01,9.415552625629620975e-02,-1.250742606367407916e-01,7.933731414645881497e-01,-1.059327604415720714e+00,-1.062466599135389211e+00
1.200240048009601906e-01,9.923660504810484229e-01,9.574236600177898904e-02,-1.271933200073310510e-01,7.931485726834947014e-01,-1.059307782598636116e+00,-1.058766759810920721e+00
1.220244048809761978e-01,9.921094934970381418e-01,9.732875274723543080e-02,-1.293123393765263363e-01,7.929202330599942616e-01,-1.059287628605594112e+00,-1.056559715213949646e+00
1.240248049609922049e-01,9.918486976673559496e-01,9.891467894595723509e-02,-1.314313180725716623e-01,7.926881206577042205e-01,-1.059267139027349813e+00,-1.069089020276759561e+00
1.260252050410081981e-01,9.915836630743365410e-01,1.005001370473728173e-01,-1.335502554173840228e-01,7.924522335075639967e-01,-1.059246310395725921e+00,-1.070320040867377864e+00
1.280256051210242052e-01,9.913143898016645306e-01,1.020851194970472803e-01,-1.356691507265522234e-01,7.922125696078348156e-01,-1.059225139183433306e+00,-1.057229293854962560e+00
1.300260052010402123e-01,9.910408779343743424e-01,1.036696187366824284e-01,-1.377880033093369372e-01,7.919691269240995979e-01,-1.059203621803889162e+00,-1.063871117972687186e+00
1.320264052810562194e-01,9.907631275588504316e-01,1.052536272041167398e-01,-1.399068124686708436e-01,7.917219033892634039e-01,-1.059181754611029147e+00,-1.056826698493726902e+00
1.340268053610722265e-01,9.904811387628267294e-01,1.068371373333254215e-01,-1.420255775011583510e-01,7.914708969035527675e-01,-1.059159533899115102e+00,-1.051564338674331411e+00
1.360272054410882059e-01,9.901949116353874203e-01,1.084201415544203406e-01,-1.441442976970758183e-01,7.912161053345163619e-01,-1.059136955902535204e+00,-1.075624829566044660e+00
1.380276055211042130e-01,9.899044462669663869e-01,1.100026322936501350e-01,-1.462629723403715554e-01,7.909575265170243341e-01,-1.059114016795603463e+00,-1.056570135630427343e+00
1.400280056011202201e-01,9.896097427493472098e-01,1.115846019734000744e-01,-1.483816007086656563e-01,7.906951582532689704e-01,-1.059090712692348557e+00,-1.046844243016991305e+00
1.420284056811362272e-01,9.893108011756636122e-01,1.131660430121921579e-01,-1.505001820732501661e-01,7.904289983127642527e-01,-1.059067039646302888e+00,-1.062042308090007658e+00
1.440288057611522343e-01,9.890076216403989040e-01,1.147469478246850860e-01,-1.526187156990889693e-01,7.901590444323459694e-01,-1.059042993650281428e+00,-1.067151139482657163e+00
1.460292058411682414e-01,9.887002042393863155e-01,1.163273088216742190e-01,-1.547372008448178737e-01,7.898852943161718265e-01,-1.059018570636160339e+00,-1.051496132364364344e+00
1.480296059211842485e-01,9.883885490698092191e-01,1.179071184100916880e-01,-1.568556367627445547e-01,7.896077456357212254e-01,-1.058993766474644271e+00,-1.056459301312562937e+00
1.500300060012002279e-01,9.880726562302003524e-01,1.194863689930062423e-01,-1.589740226988485272e-01,7.893263960297955961e-01,-1.058968576975035436e+00,-1.050009746267259736e+00
1.520304060812162350e-01,9.877525258204427061e-01,1.210650529696233879e-01,-1.610923578927812572e-01,7.890412431045179531e-01,-1.058942997884991355e+00,-1.062395154985504186e+00
1.540308061612322421e-01,9.874281579417687471e-01,1.226431627352853326e-01,-1.632106415778661335e-01,7.887522844333333394e-01,-1.058917024890281500e+00,-1.073735207627503518e+00
1.560312062412482492e-01,9.870995526979449153e-01,1.242206906753112045e-01,-1.653288729711241689e-01,7.884595175527959743e-01,-1.058890653614884103e+00,-1.059990761261996539e+00
1.580316063212642563e-01,9.867667101974045840e-01,1.257976291527667101e-01,-1.674470512464922289e-01,7.881629399588517826e-01,-1.058863879622191195e+00,-1.063322161152303602e+00
1.600320064012802634e-01,9.864296305465226622e-01,1.273739705436735259e-01,-1.695651755901408375e-01,7.878625491321018526e-01,-1.058836698412799926e+00,-1.051083460192324237e+00
1.620324064812962706e-01,9.860883138531622016e-01,1.289497072201519767e-01,-1.716832451809769400e-01,7.875583425211225563e-01,-1.058809105424298513e+00,-1.056872776940527059e+00
1.640328065613122499e-01,9.857427602270690814e-01,1.305248315484325294e-01,-1.738012591877703961e-01,7.872503175408764875e-01,-1.058781096031128799e+00,-1.075089588355479853e+00
1.660332066413282570e-01,9.853929697798723408e-01,1.320993358888557512e-01,-1.759192167691540631e-01,7.869384715727121282e-01,-1.058752665544374860e+00,-1.070704296345406759e+00
1.680336067213442641e-01,9.850389426250837355e-01,1.336732125958723649e-01,-1.780371170736236019e-01,7.866228019643638492e-01,-1.058723809211545408e+00,-1.049885918845672839e+00
1.700340068013602712e-01,9.846806788780978481e-01,1.352464540180431662e-01,-1.801549592395376154e-01,7.863033060299520205e-01,-1.058694522216352851e+00,-1.051896872042174413e+00
1.720344068813762783e-01,9.843181786561923108e-01,1.368190524980391343e-01,-1.822727423951175374e-01,7.859799810499830119e-01,-1.058664799678483703e+00,-1.065067233337568586e+00
1.740348069613922855e-01,9.839514420785278048e-01,1.383910003726412652e-01,-1.843904656584478274e-01,7.856528242713491927e-01,-1.058634636653365435e+00,-1.058645124619038258e+00
1.760352070414082926e-01,9.835804692661476167e-01,1.399622899727407943e-01,-1.865081281374756927e-01,7.853218329073289317e-01,-1.058604028131928221e+00,-1.054148292594166314e+00
1.780356071214242719e-01,9.832052603419781933e-01,1.415329136233390017e-01,-1.886257289300113382e-01,7.849870041375863750e-01,-1.058572969040361356e+00,-1.053888925681888633e+00
1.800360072014402790e-01,9.828258154308286976e-01,1.431028636435473789e-01,-1.907432671237278832e-01,7.846483351081720015e-01,-1.058541454239863011e+00,-1.049779032278719493e+00
1.820364072814562861e-01,9.824421346593912308e-01,1.446721323465873787e-01,-1.928607417961612502e-01,7.843058229315218455e-01,-1.058509478526385106e+00,-1.055944622254169518e+00
1.840368073614722932e-01,9.820542181562410544e-01,1.462407120397907490e-01,-1.949781520147103875e-01,7.839594646864583849e-01,-1.058477036630373069e+00,-1.059425320020058070e+00
1.860372074414883004e-01,9.816620660518360353e-01,1.478085950245992819e-01,-1.970954968366370186e-01,7.836092574181895420e-01,-1.058444123216500277e+00,-1.061032603864378698e+00
1.880376075215043075e-01,9.812656784785170894e-01,1.493757735965648425e-01,-1.992127753090658093e-01,7.832551981383095718e-01,-1.058410732883395378e+00,-1.047853304878062941e+00
1.900380076015203146e-01,9.808650555705079599e-01,1.509422400453494795e-01,-2.013299864689843677e-01,7.828972838247987287e-01,-1.058376860163367184e+00,-1.080885402914152582e+00
1.920384076815362939e-01,9.804601974639154394e-01,1.525079866547253693e-01,-2.034471293432431327e-01,7.825355114220229336e-01,-1.058342499522120450e+00,-1.059729052773033864e+00
1.940388077615523010e-01,9.800511042967290365e-01,1.540730057025748168e-01,-2.055642029485555133e-01,7.821698778407344399e-01,-1.058307645358467886e+00,-1.057977644318627286e+00
1.960392078415683081e-01,9.796377762088214203e-01,1.556372894608901714e-01,-2.076812062914977774e-01,7.818003799580712787e-01,-1.058272292004036386e+00,-1.072525781612738260e+00
1.980396079215843153e-01,9.792202133419479759e-01,1.572008301957740217e-01,-2.097981383685090795e-01,7.814270146175574805e-01,-1.058236433722967940e+00,-1.054908297591587552e+00
2.000400080016003224e-01,9.787984158397470269e-01,1.587636201674389458e-01,-2.119149981658915161e-01,7.810497786291030753e-01,-1.058200064711614985e+00,-1.064712874836048817e+00
2.020404080816163295e-01,9.783723838477397239e-01,1.603256516302077606e-01,-2.140317846598099871e-01,7.806686687690038706e-01,-1.058163179098226880e+00,-1.049538731135069458e+00
2.040408081616323366e-01,9.779421175133304889e-01,1.618869168325133279e-01,-2.161484968162924458e-01,7.802836817799421176e-01,-1.058125770942635491e+00,-1.059381691782978807e+00
2.060412082416483437e-01,9.775076169858061270e-01,1.634474080168986654e-01,-2.182651335912296209e-01,7.798948143709856229e-01,-1.058087834235933666e+00,-1.051396301828039226e+00
2.080416083216643230e-01,9.770688824163368258e-01,1.650071174200168911e-01,-2.203816939303750999e-01,7.795020632175883035e-01,-1.058049362900143731e+00,-1.045860926848431571e+00
2.100420084016803302e-01,9.766259139579754889e-01,1.665660372726313065e-01,-2.224981767693455792e-01,7.791054249615899652e-01,-1.058010350787887077e+00,-1.054181054960752428e+00
2.120424084816963373e-01,9.761787117656577362e-01,1.681241597996152581e-01,-2.246145810336204474e-01,7.787048962112166350e-01,-1.057970791682042444e+00,-1.066728003116270918e+00
2.140428085617123444e-01,9.757272759962023478e-01,1.696814772199522481e-01,-2.267309056385420907e-01,7.783004735410800068e-01,-1.057930679295399523e+00,-1.073073865612445887e+00
2.160432086417283515e-01,9.752716068083110423e-01,1.712379817467358789e-01,-2.288471494893157265e-01,7.778921534921778846e-01,-1.057890007270309685e+00,-1.040356166095145918e+00
2.180436087217443586e-01,9.748117043625683653e-01,1.727936655871699090e-01,-2.309633114810095700e-01,7.774799325718941834e-01,-1.057848769178325599e+00,-1.058961691110200887e+00
2.200440088017603657e-01,9.743475688219250808e-01,1.743485209409490755e-01,-2.330793904955476836e-01,7.770638072526504514e-01,-1.057806958519892593e+00,-1.064692607996235774e+00
2.220444088817763451e-01,9.738792003595578839e-01,1.759025399735262285e-01,-2.351953853474606781e-01,7.766437739538111229e-01,-1.057764568725352294e+00,-1.056321997844744009e+00
2.240448089617923522e-01,9.734065991461815504e-01,1.774557148583248700e-01,-2.373112948558896984e-01,7.762198290826407554e-01,-1.057721593153769346e+00,-1.059635706458595727e+00
2.260452090418083593e-01,9.729297653521798983e-01,1.790080377707563286e-01,-2.394271178424982327e-01,7.757919690211861896e-01,-1.057678025091644436e+00,-1.049156602449517584e+00
2.280456091218243664e-01,9.724486991506796629e-01,1.805595008780780941e-01,-2.415428531140567936e-01,7.753601901165493304e-01,-1.057633857752759088e+00,-1.057294575928388047e+00
2.300460092018403735e-01,9.719634007175512735e-01,1.821100963393936789e-01,-2.436584994624427791e-01,7.749244886808878130e-01,-1.057589084277861469e+00,-1.057451588441677304e+00
2.320464092818563806e-01,9.714738702314082985e-01,1.836598163056527566e-01,-2.457740556646405283e-01,7.744848609914142257e-01,-1.057543697734342869e+00,-1.064689494944672576e+00
2.340468093618723877e-01,9.709801078736077784e-01,1.852086529196510511e-01,-2.478895204827412102e-01,7.740413032903968871e-01,-1.057497691115910188e+00,-1.052802010128435217e+00
2.360472094418883671e-01,9.704821138282498927e-01,1.867565983160304477e-01,-2.500048926639430458e-01,7.735938117851592910e-01,-1.057451057342251088e+00,-1.067789724565801013e+00
2.380476095219043742e-01,9.699798882821784041e-01,1.883036446212789095e-01,-2.521201709405511138e-01,7.731423826480805506e-01,-1.057403789258692939e+00,-1.050744894861053158e+00
2.400480096019203813e-01,9.694734314249802143e-01,1.898497839537304499e-01,-2.542353540299774339e-01,7.726870120165948430e-01,-1.057355879635860640e+00,-1.042116504505959274e+00
2.420484096819363884e-01,9.689627434489854751e-01,1.913950084235652438e-01,-2.563504406347409392e-01,7.722276959931917428e-01,-1.057307321169318470e+00,-1.072554181550309904e+00
2.440488097619523955e-01,9.684478245492680326e-01,1.929393101328095161e-01,-2.584654294424674204e-01,7.717644306454165548e-01,-1.057258106479217030e+00,-1.081920398792730165e+00
2.460492098419684026e-01,9.679286749236446497e-01,1.944826811753356810e-01,-2.605803191258896923e-01,7.712972120058695369e-01,-1.057208228109925319e+00,-1.051039440558382054e+00
2.480496099219844097e-01,9.674052947726757834e-01,1.960251136368621194e-01,-2.626951083428473721e-01,7.708260360722065663e-01,-1.057157678529662581e+00,-1.031678700374831337e+00
2.500500100020003891e-01,9.668776842996648080e-01,1.975665995949534015e-01,-2.648097957362871568e-01,7.703508988071389174e-01,-1.057106450130120390e+00,-1.067115698618839259e+00
2.520504100820163962e-01,9.663458437106589027e-01,1.991071311190202031e-01,-2.669243799342626011e-01,7.698717961384329289e-01,-1.057054535226079839e+00,-1.069561492814099735e+00
2.540508101620324033e-01,9.658097732144481640e-01,2.006467002703192781e-01,-2.690388595499340618e-01,7.693887239589106697e-01,-1.057001926055021634e+00,-1.051112236717216986e+00
2.560512102420484104e-01,9.652694730225663822e-01,2.021852991019534584e-01,-2.711532331815689756e-01,7.689016781264493838e-01,-1.056948614776733519e+00,-1.065355830677316540e+00
2.580516103220644175e-01,9.647249433492902648e-01,2.037229196588716817e-01,-2.732674994125416368e-01,7.684106544639818237e-01,-1.056894593472905708e+00,-1.061954848312273159e+00
2.600520104020804246e-01,9.641761844116403246e-01,2.052595539778690192e-01,-2.753816568113331975e-01,7.679156487594960279e-01,-1.056839854146723212e+00,-1.060321028813560940e+00
2.620524104820964317e-01,9.636231964293799912e-01,2.067951940875866201e-01,-2.774957039315318341e-01,7.674166567660353211e-01,-1.056784388722453505e+00,-1.051464367859535454e+00
2.640528105621124388e-01,9.630659796250162774e-01,2.083298320085117394e-01,-2.796096393118326362e-01,7.669136742016986474e-01,-1.056728189045023081e+00,-1.060781212658954198e+00
2.660532106421284460e-01,9.625045342237993351e-01,2.098634597529777102e-01,-2.817234614760375511e-01,7.664066967496400151e-01,-1.056671246879591797e+00,-1.053892418478790116e+00
2.680536107221444531e-01,9.619388604537228993e-01,2.113960693251639988e-01,-2.838371689330554948e-01,7.658957200580691627e-01,-1.056613553911119219e+00,-1.058378886500054961e+00
2.700540108021604602e-01,9.613689585455238440e-01,2.129276527210961223e-01,-2.859507601769022411e-01,7.653807397402508927e-01,-1.056555101743923863e+00,-1.065001812780439927e+00
2.720544108821764118e-01,9.607948287326824044e-01,2.144582019286457308e-01,-2.880642336867005882e-01,7.648617513745055163e-01,-1.056495881901235556e+00,-1.059694144478667832e+00
2.740548109621924189e-01,9.602164712514220657e-01,2.159877089275306639e-01,-2.901775879266801916e-01,7.643387505042086305e-01,-1.056435885824744902e+00,-1.065939882476424128e+00
2.760552110422084260e-01,9.596338863407100073e-01,2.175161656893146722e-01,-2.922908213461775651e-01,7.638117326377913407e-01,-1.056375104874138771e+00,-1.056309955015441338e+00
2.780556111222244331e-01,9.590470742422563255e-01,2.190435641774077513e-01,-2.944039323796363572e-01,7.632806932487401497e-01,-1.056313530326638883e+00,-1.067552192602295280e+00
2.800560112022404402e-01,9.584560352005145889e-01,2.205698963470659468e-01,-2.965169194466068525e-01,7.627456277755967351e-01,-1.056251153376525309e+00,-1.067180097069477807e+00
2.820564112822564473e-01,9.578607694626816160e-01,2.220951541453913824e-01,-2.986297809517464708e-01,7.622065316219583941e-01,-1.056187965134656181e+00,-1.041618346981603604e+00
2.840568113622724544e-01,9.572612772786979196e-01,2.236193295113323154e-01,-3.007425152848194894e-01,7.616634001564773770e-01,-1.056123956627981864e+00,-1.056655798831035220e+00
2.860572114422884615e-01,9.566575589012468184e-01,2.251424143756831087e-01,-3.028551208206969880e-01,7.611162287128618864e-01,-1.056059118799052232e+00,-1.056598139053772645e+00
2.880576115223044686e-01,9.560496145857554362e-01,2.266644006610842310e-01,-3.049675959193572372e-01,7.605650125898751890e-01,-1.055993442505513746e+00,-1.050878078306337615e+00
2.900580116023204758e-01,9.554374445962670048e-01,2.281852802680915115e-01,-3.070799388944555619e-01,7.600097470396059984e-01,-1.055926918519763280e+00,-1.060135488545252080e+00
2.920584116823364829e-01,9.548210492103194058e-01,2.297050450633224272e-01,-3.091921479782924198e-01,7.594504272674496015e-01,-1.055859537529413084e+00,-1.058144891204194638e+00
2.940588117623524900e-01,9.542004286955607650e-01,2.312236869352733704e-01,-3.113042214476277048e-01,7.588870484792117344e-01,-1.055791290135949412e+00,-1.051539802782630373e+00
2.960592118423684971e-01,9.535755833228840572e-01,2.327411977636495433e-01,-3.134161575622718132e-01,7.583196058459065192e-01,-1.055722166853697574e+00,-1.052898008431253585e+00
2.980596119223845042e-01,9.529465133672183619e-01,2.342575694174987011e-01,-3.155279545610760739e-01,7.577480945019425818e-01,-1.055652158109378957e+00,-1.067245125378703197e+00
3.000600120024004558e-01,9.523132191075288633e-01,2.357727937552110409e-01,-3.176396106619325810e-01,7.571725095451234955e-01,-1.055581254241660050e+00,-1.047247828274963322e+00
3.020604120824164629e-01,9.516757008268168505e-01,2.372868626245195067e-01,-3.197511240617748052e-01,7.565928460366472263e-01,-1.055509445500696586e+00,-1.061413794933587118e+00
3.040608121624324700e-01,9.510339588121197174e-01,2.387997678624993458e-01,-3.218624929365768716e-01,7.560090990011063550e-01,-1.055436722047671916e+00,-1.065997511550813792e+00
3.060612122424484771e-01,9.503879933545107406e-01,2.403115012955684415e-01,-3.239737154413540043e-01,7.554212634264884096e-01,-1.055363073954325603e+00,-1.064367824654316230e+00
3.080616123224644842e-01,9.497378047490995234e-01,2.418220547394871744e-01,-3.260847897101624149e-01,7.548293342641752002e-01,-1.055288491202478030e+00,-1.059193944646031227e+00
3.100620124024804913e-01,9.490833932950316632e-01,2.433314199993584781e-01,-3.281957138560992471e-01,7.542333064289433731e-01,-1.055212963683544336e+00,-1.038939961137313572e+00
3.120624124824964984e-01,9.484247592954887507e-01,2.448395888696277833e-01,-3.303064859713025769e-01,7.536331747989641894e-01,-1.055136481198048148e+00,-1.066891840247256029e+00
3.140628125625125056e-01,9.477619030576884818e-01,2.463465531340830739e-01,-3.324171041269516347e-01,7.530289342158035248e-01,-1.055059033455119977e+00,-1.053458274529776473e+00
3.160632126425285127e-01,9.470948248928847679e-01,2.478523045658548862e-01,-3.345275663732664717e-01,7.524205794844219808e-01,-1.054980610071995395e+00,-1.076358853652901182e+00
3.180636127225445198e-01,9.464235251163674034e-01,2.493568349274162543e-01,-3.366378707395081271e-01,7.518081053731746621e-01,-1.054901200573502118e+00,-1.054916869904954035e+00
