D,rho,L,L_noisy
1.050208395594421362e-01,7.946389393111605859e-01,4.339864877496956375e+00,4.342592790888600618e+00
8.652919964777806783e+00,6.328604454965196524e-01,2.395877786943725329e+00,2.386055905694315360e+00
1.444535271377491448e+01,5.789050057280069606e-01,2.076489943835493346e+00,2.065416213363841624e+00
3.211497952768751674e+01,6.719824233645174116e-01,1.835296612690765938e+00,1.837292458019236685e+00
7.008635628994545064e-01,3.405382025686955472e-01,3.339203770146665473e+00,3.334536273977867449e+00
4.422364157485387248e-01,8.828802541834859241e-01,3.997785304454565480e+00,4.000140360571867504e+00
8.279309926218447302e+00,5.501341620071404925e-01,2.364817114420962429e+00,2.372412309645746120e+00
2.601144622411204921e+01,2.318051479604452125e-01,1.673514029810345249e+00,1.657026156146835794e+00
7.780591574150184897e+01,3.236872306486900108e-02,1.384092246304610141e+00,1.386636127469786262e+00
2.828619241208258916e-01,1.005800267663029268e-01,3.382360256552219724e+00,3.394606726227577198e+00
2.796643860976353757e+00,1.786582364533116085e-01,2.683731220718731159e+00,2.680755952275026388e+00
4.832229881364551716e+01,6.609353751091568974e-01,1.720237410062477101e+00,1.712129264230101366e+00
1.854174998659668505e+00,7.330690480253529984e-01,3.299827954119547879e+00,3.307350392391343874e+00
5.868217284662191169e+00,8.329075605438978069e-01,2.783110681237717099e+00,2.785645146399798655e+00
1.184328096660934304e-01,5.786192116598122270e-01,4.083442233287746248e+00,4.092401063995521504e+00
1.048044351016191378e+01,2.675492909779595974e-01,2.055227531325123369e+00,2.051775374224610538e+00
5.718285817025898865e+01,7.549821804091397803e-01,1.733436585928309626e+00,1.718618403191087607e+00
3.023263415309360980e+01,8.581231528954209598e-01,1.990280552675691705e+00,1.989180445028579269e+00
4.534827797782974557e+01,6.272134560338249454e-01,1.717910911472289914e+00,1.713452629942177508e+00
9.573398597735282678e+00,6.512223597372612804e-02,1.990364136733401734e+00,1.998117374953877423e+00
5.453267500046947713e-01,3.698837791037724032e-01,3.447777282046369240e+00,3.449713610530140695e+00
2.020928724029741375e+01,2.240492668274682853e-01,1.745646135078021910e+00,1.729337642753670856e+00
4.315431504913080918e-01,8.453344606973739461e-01,3.970607091377564846e+00,3.958655460576532725e+00
3.117629512613210707e+01,7.300110520134642789e-01,1.881282911949448522e+00,1.890120802315321091e+00
1.542246409056125533e-01,6.293440091719147700e-02,3.488908713134364348e+00,3.495706363308543008e+00
2.995459417764581289e+01,5.484887372896750657e-01,1.785425683335203351e+00,1.779023249676118468e+00
3.115457272504221775e-01,8.866328248054601291e-01,4.120430584094200377e+00,4.120420096128527554e+00
1.334876198638667022e+00,4.714255143178202045e-01,3.219187785514901368e+00,3.223643521052663274e+00
8.916912390336937388e-01,8.004972098400136016e-01,3.662095113329965290e+00,3.666779156688438235e+00
1.185799071182736064e+01,7.310976094913570478e-01,2.283953302264604801e+00,2.292715724225748097e+00
3.433330681322261380e-01,4.243836589793998915e-01,3.641763448335941789e+00,3.644328304608157598e+00
1.544430916080221206e+00,3.978075567529933410e-01,3.100683271816250475e+00,3.099734988426565696e+00
1.041055266046087835e-01,1.454860689766894477e-01,3.657412724797867387e+00,3.654824244149988743e+00
6.130334019045969862e-01,3.190226131020093003e-01,3.363786278354513382e+00,3.374343706359845818e+00
1.834705837183860488e+00,1.722300080921846388e-01,2.852753095641886727e+00,2.830244552891101328e+00
2.078565478584318005e-01,7.611368254665998867e-01,4.121327746414889859e+00,4.119941193163976223e+00
7.933774237972433419e+00,5.430629440738992120e-01,2.385363531339815157e+00,2.385693532379655757e+00
1.384435763374360473e+00,8.426180442136214088e-01,3.519821198377287796e+00,3.505567708768585700e+00
1.499276777601715160e+01,3.693187957726123405e-01,1.935685848729319591e+00,1.939013984860699980e+00
9.153728628925060562e+00,6.315383887906796945e-01,2.361400123943559137e+00,2.354887313819125083e+00
1.966437946934256775e+00,7.498351674263596944e-01,3.287454997941182899e+00,3.296079445904340322e+00
3.999093120064947726e+01,1.158955232042277982e-02,1.489958896143091405e+00,1.488702975302748088e+00
7.877807285986573760e+00,2.905685491860829361e-01,2.226529293089908990e+00,2.233220825497803652e+00
2.696640522059241363e+01,3.926068125779605400e-01,1.737129862987069506e+00,1.749318299038781666e+00
1.060191143189747054e+00,8.357430996221234532e-01,3.624569475769229054e+00,3.628398771596363925e+00
4.275706332569879642e+00,7.834399711141265543e-01,2.926283081841306810e+00,2.917525870407078337e+00
3.880526515885205918e-01,7.605741847390388999e-02,3.275297571820837916e+00,3.260154385503791552e+00
9.736964135470053350e+01,8.599132053144155075e-01,1.679195928308354846e+00,1.696729769483518613e+00
5.365947174612332171e-01,5.642134280263434443e-01,3.632176838180953826e+00,3.631063916249078538e+00
5.896609960071137468e-01,6.474021666787570239e-02,3.146275364240419314e+00,3.139389714764075912e+00
1.657945373471850503e-01,6.211100239448793525e-01,4.042226049336782978e+00,4.043668620217391485e+00
5.934844671961237994e-01,7.698263670291208838e-01,3.787081000129846498e+00,3.785166886825019894e+00
1.947088078129234390e+01,2.329697548857467548e-01,1.762493659294563031e+00,1.771015081936689883e+00
1.240739795593150241e+01,2.903954015122391374e-01,1.981407981174430954e+00,1.981747262998801995e+00
2.432313985492967068e-01,2.499234209724630895e-01,3.567797178148103043e+00,3.567934673984287208e+00
1.344979002492498799e+00,6.322566577980984759e-01,3.351736714554935048e+00,3.344590917344605341e+00
1.831319769991002655e+00,6.464512538784170648e-01,3.233469429969936471e+00,3.238165110957411219e+00
9.884455239120594428e+00,6.969143075773193141e-01,2.362844945496768378e+00,2.352506278273218676e+00
2.332313301513569748e+00,8.289370182697580747e-01,3.274225348237069788e+00,3.280884242634709569e+00
5.748505887289804939e+00,1.636454237300664638e-01,2.322175354140783021e+00,2.337414729270684166e+00
3.304104776830239842e+01,6.374231385799129512e-01,1.806694296980726477e+00,1.791447436599735044e+00
1.511544129568408046e+01,5.811326903819648004e-01,2.056247864966982419e+00,2.031585572653469285e+00
1.244577056285595784e+00,2.363589740853287713e-01,3.049977852715633375e+00,3.056146640267176640e+00
2.214057665864300528e+00,8.777776333733368075e-01,3.339732700786725683e+00,3.365211678941557150e+00
1.267940018167134975e+00,4.292642026517383691e-01,3.203825870128717224e+00,3.193816621639998132e+00
2.134047058846723355e-01,8.539447281229963771e-01,4.206973482165825118e+00,4.194466524577805444e+00
4.071220570953147377e-01,8.745964137932961124e-01,4.018676307042659879e+00,4.024565996380464306e+00
7.102634504632958645e-01,8.100432862547675139e-01,3.757811848795474585e+00,3.749404632894891343e+00
8.757934378958713850e-01,4.135368239820839120e-01,3.326999255729320648e+00,3.321939000889953419e+00
8.692477525027891838e-01,2.517991111327698150e-01,3.188776134907983728e+00,3.185294960241146001e+00
5.371544138953461278e+00,5.271857454198239923e-01,2.603572142421148872e+00,2.608892163284066701e+00
8.223750519866199227e+01,4.045822496573748817e-01,1.496498701987409419e+00,1.492445678373478302e+00
2.108591273173659530e+01,4.213814236601148844e-01,1.828577408724519238e+00,1.831356237125320918e+00
2.362663350075457558e+01,2.196732093317361190e-01,1.695041798135208611e+00,1.693276465546272869e+00
1.895856673403622850e+01,7.580277678620550574e-01,2.076192087269200570e+00,2.067745376232684507e+00
6.179640226627928890e+00,6.576516839135531090e-01,2.616516855249883200e+00,2.613318592672451146e+00
5.663393936702061637e+01,7.787786380918860774e-01,1.751494836229271268e+00,1.741990839577592043e+00
1.171899762765666786e+01,4.783849433266749718e-01,2.120311913184520947e+00,2.120377063043218602e+00
3.170073211716589512e+00,8.339735847697508919e-02,2.560449129694667203e+00,2.549210467419011028e+00
1.703144221959015936e-01,7.760780455730832417e-01,4.193342499885633679e+00,4.182413556192681625e+00
2.919763541084994696e+00,6.232608144775108466e-02,2.581404217749532215e+00,2.595973835902584792e+00
4.350037351403274744e-01,1.390644085320299761e-01,3.302589089875103578e+00,3.302057247672050000e+00
2.500857191937142510e-01,8.497081170224868307e-01,4.154256565777967758e+00,4.153717545523247345e+00
3.297575650485725429e+00,5.053542968337597641e-01,2.848378908385106101e+00,2.853494272584282232e+00
2.265978984746593383e+01,6.074976693297517993e-01,1.907016443755536805e+00,1.902807873730048005e+00
7.673956417933810448e-01,7.388934004690409507e-01,3.664274863092605194e+00,3.661989509417823641e+00
2.024488339656090830e+01,5.981014221166079947e-01,1.942573134471065721e+00,1.946824621824384760e+00
3.774753265448691053e+00,3.995741592789587293e-01,2.702262650986539949e+00,2.705086809408983939e+00
2.799909990070034715e-01,4.886994761512277741e-01,3.763962257334033890e+00,3.752369290064709428e+00
7.850606904927118990e+01,3.586354143050422549e-01,1.488916986321175528e+00,1.497250412287872257e+00
1.602908277641599266e+00,5.194713824735301966e-01,3.185428527443723290e+00,3.179524178010832980e+00
7.686042241970074684e-01,1.986327638974971863e-03,3.011403963487787827e+00,3.000843173984645951e+00
3.475322498541614635e+01,4.574394865860680337e-01,1.700433378927248107e+00,1.691428628227257480e+00
2.362549940403986803e-01,2.143960433616787231e-02,3.349449814103345968e+00,3.345544360659792549e+00
1.587710742419931798e+01,9.870475394157811333e-02,1.773468642702616505e+00,1.789741645248847268e+00
3.659942207470773257e-01,7.617314471468695780e-01,3.946238633160548570e+00,3.934483274111340911e+00
1.504788030430902035e+00,5.934475055749024452e-01,3.272943634041287186e+00,3.274544392966630468e+00
4.962489894518427591e-01,1.639510837457715531e-01,3.287490618311937229e+00,3.266112374731031665e+00
3.339519456573892597e+01,6.724822727266466238e-01,1.824367028680481395e+00,1.824351359349029478e+00
1.479870305274880060e+00,4.282049426290583938e-01,3.142593065577929945e+00,3.151588729752690110e+00
8.396116164728771025e+01,1.213616483758160336e-01,1.399714852858120917e+00,1.397348219637506439e+00
7.512499450515405464e+00,8.367171256287287973e-01,2.636513558896433462e+00,2.630220009657600055e+00
1.204671134243442765e+01,1.015245886368614930e-01,1.894972062256591316e+00,1.897287172897176744e+00
3.669233638956379551e+00,1.776857221646280932e-02,2.449793640435543818e+00,2.456795157947050168e+00
8.450931806111020572e-01,2.309415556109355172e-01,3.180149209692284540e+00,3.186785785402458604e+00
1.536983704980974030e+00,7.817391623181016436e-02,2.845263669426936204e+00,2.864988407966233996e+00
6.649707814332941780e+01,1.504931272341213447e-02,1.403640493770023090e+00,1.405732168493385892e+00
4.014297936477665973e-01,5.879176888177989335e-01,3.749852897427964571e+00,3.743928796430435302e+00
9.218424511648395026e+01,1.187659250921625498e-01,1.384063960765906875e+00,1.382804168866040406e+00
1.883291672316894960e+01,5.074918596557891348e-01,1.917184197630905862e+00,1.916459212174707716e+00
1.200496171749505070e+00,2.183308462539780559e-01,3.048012898102537171e+00,3.049100271937318141e+00
8.405059041898818251e+00,8.465851221907588764e-01,2.576155719937183619e+00,2.575855441804889345e+00
1.389775392911630103e+00,1.942703894653253216e-01,2.975193123613720125e+00,2.976932783002682381e+00
1.394693567604356144e+00,4.685892537074144437e-01,3.199543589708421898e+00,3.182835089102270754e+00
3.246450987351038986e+00,6.614885321744907731e-01,2.976419412315202351e+00,2.984715701875602978e+00
1.122453775051416580e-01,2.800169267665280626e-01,3.782965676885157613e+00,3.777218284195947184e+00
3.024925477857674849e+00,7.485654510476953405e-01,3.081375487232390409e+00,3.069643900267920333e+00
8.218550732019147631e+01,2.825810569182682364e-01,1.455018587298761101e+00,1.461396098895175522e+00
7.184485727446682235e-01,3.490740573966923943e-01,3.338524637306343745e+00,3.351697897380204516e+00
1.756523147184579159e+01,3.873494542749644776e-01,1.878565417960774475e+00,1.883495699455769001e+00
2.129936569850606976e+00,3.770047097386247104e-01,2.951530191117965884e+00,2.953141784256421154e+00
4.244662141884842921e-01,5.471492889693730932e-01,3.693298542296119091e+00,3.683976339242399423e+00
5.188092521640633237e+01,2.036210504398477394e-01,1.510560075384741907e+00,1.539275748762876983e+00
1.123264035784483084e-01,2.962926993986669255e-01,3.799869800949265741e+00,3.808672387155880745e+00
8.138170414405244690e-01,2.060748281857633923e-01,3.171016557080768017e+00,3.159623610377338299e+00
9.932936222812121230e+01,2.492507236652024560e-01,1.412445398628664250e+00,1.404649019466266857e+00
6.115618539746738858e-01,6.865040935476048878e-01,3.699581610024138545e+00,3.700451402509857601e+00
3.524792579987347096e+01,5.663400784396815935e-01,1.750276780970031254e+00,1.734729469650071465e+00
6.562199750215244265e+00,8.665103721816310722e-01,2.743287711946168272e+00,2.744974016016273222e+00
2.618828885904865089e+01,8.551170365643434579e-01,2.034003649582574180e+00,2.029412934025446535e+00
7.779528323919137733e+00,1.845769022170552220e-01,2.169621853352730945e+00,2.181884559355893316e+00
1.224871616953437270e+00,1.889514323650310357e-01,3.016481210798477086e+00,3.026102757434759649e+00
1.915871397338257864e+01,8.168831651032253394e-01,2.117698696244260770e+00,2.090585841869913253e+00
1.200752906947318288e-01,1.250638427326282442e-01,3.606649380788233383e+00,3.607066406648506529e+00
2.189973477593566198e+00,6.850665422969973717e-01,3.185102265010094857e+00,3.168927590014857909e+00
1.304859373293532299e+00,1.725837867512535762e-01,2.980384352728347341e+00,2.991480732720832592e+00
2.699118904032127730e+00,1.287329972247089338e-01,2.662745393705185037e+00,2.664426452396463141e+00
2.414693758165253334e-01,3.953195003582431477e-01,3.713557015869063171e+00,3.719041070390933346e+00
4.650724332275441575e-01,6.156537094604142002e-01,3.728019496481699502e+00,3.717368249193666596e+00
4.854614741101761943e+00,7.597518161511415125e-01,2.835905791569836243e+00,2.854190093949791063e+00
1.456489462679001035e+00,1.873359408440941898e-01,2.952303621051618254e+00,2.972504354723122688e+00
2.371202350329675568e+01,8.973354686818867110e-02,1.637164434245713007e+00,1.626516723819450894e+00
6.537470886628553579e+00,7.134416279460952248e-01,2.624554937937665144e+00,2.628283089156328245e+00
3.835306304636874586e+01,4.059155025978189446e-01,1.653347740811701660e+00,1.646614716527799782e+00
1.574281935214522754e+01,5.486127015816839592e-01,2.017221247273088824e+00,2.016985547904481368e+00
6.389551034474384217e+00,5.257813563057425199e-01,2.501925721264933955e+00,2.489269351472688463e+00
7.292002461565223470e-01,6.847357468106062273e-01,3.634352386846734895e+00,3.653023841992541154e+00
2.229879545422264542e+01,8.906030220320614310e-01,2.123219704714441658e+00,2.113527909603615029e+00
5.672868735128482331e-01,5.832823402201066099e-01,3.630891201117548039e+00,3.627930362967572986e+00
1.681254018706859199e-01,3.286903837487482050e-01,3.740191197152658020e+00,3.745206026463763216e+00
7.737376593177201300e+01,1.574008429235732309e-01,1.424476847277276859e+00,1.418001240493115489e+00
4.169016512699347921e+00,9.259093706048857064e-02,2.440011537496320049e+00,2.437618413198996858e+00
2.097407867084506350e+01,6.223987425141992436e-01,1.944155460383492295e+00,1.938519061919222741e+00
3.869620925482324392e+00,2.295932475401733786e-01,2.569393107705531865e+00,2.568058500157168744e+00
6.835010579388391072e+00,2.498410256974421539e-01,2.281360689851695156e+00,2.269655263500692133e+00
1.263795345515018875e-01,3.990121883534870073e-01,3.880659130702900583e+00,3.876279249946877670e+00
3.633967492789965670e-01,4.748386845012227409e-01,3.673079527547902678e+00,3.671010598300780359e+00
1.056983447627628259e+01,3.745332181414175454e-01,2.112992602481663429e+00,2.109655342443621961e+00
5.148655025717912004e+00,8.601339147630119308e-01,2.882477292313550876e+00,2.883044191862488947e+00
2.989958097322272246e-01,2.682819967314707399e-01,3.530523161778392538e+00,3.527592139584825315e+00
7.179394304526657322e+01,5.418167644606036726e-01,1.574872002927349746e+00,1.582404117011743550e+00
2.904429890889361765e-01,1.462088249297535149e-02,3.292233957466444316e+00,3.289001998208585853e+00
3.395547023580987034e+00,5.739465749439422865e-02,2.511767017536775448e+00,2.510400521573816768e+00
2.704012065064449466e-01,1.790521931412602241e-01,3.470528955115119274e+00,3.463881141755160709e+00
1.419433916834842080e+01,2.532085863633721234e-01,1.897936241527776069e+00,1.892671093126623738e+00
6.744333573689974548e-01,4.196909873924956624e-01,3.423047347348878944e+00,3.410402419440681676e+00
2.525817252557099879e-01,5.167866617362255610e-01,3.821207681384332755e+00,3.826395530593112326e+00
1.373920305147971199e-01,1.493289977913841715e-01,3.602994546633533801e+00,3.591569366457008972e+00
3.345851130742169000e-01,5.207847814025867716e-01,3.742359785554377094e+00,3.734901221572493935e+00
3.761803881030929553e-01,7.364073590706840533e-02,3.281440635306438480e+00,3.285033081826550738e+00
4.082406423932509298e+00,3.530472444087962569e-01,2.629006733973582310e+00,2.633032467633027451e+00
2.254844818557832475e+00,7.182873729059998658e-01,3.198776204603162476e+00,3.194775057093111936e+00
7.445315427592829849e+01,4.274928171919624154e-01,1.523377179046121244e+00,1.503184520941233338e+00
7.285410219359039274e+01,5.994615195908366001e-01,1.596259853112926397e+00,1.600464985985882160e+00
2.452665552024162920e+01,2.012138017147132585e-01,1.676165698364957324e+00,1.678761332953877972e+00
1.034577196998902160e+01,6.367722524071124379e-01,2.293401116280815888e+00,2.279277304126098080e+00
3.428224661065284096e+01,8.858739974619269653e-01,1.978456808927323118e+00,1.986160029755268175e+00
6.550213947459354813e+01,5.858541646438548689e-01,1.613032922883844922e+00,1.606021924879510676e+00
1.169104108326498304e-01,8.824673579539065171e-01,4.405119870429142104e+00,4.393857989267608843e+00
2.261078713632977411e-01,7.504870598173346563e-01,4.085887841739045179e+00,4.086845148848687437e+00
1.204457981971080116e+00,6.913923230128398156e-01,3.447072869132854489e+00,3.445288164818862242e+00
1.908800583685988650e-01,4.312748170002567716e-01,3.812182293300905744e+00,3.814208533310817106e+00
6.288881611049992770e+00,5.166686925098774585e-01,2.504894882371759834e+00,2.488837401788515535e+00
6.040775099125553771e-01,2.224278073022093183e-01,3.281135488405688694e+00,3.299257789568412313e+00
6.208964652113199145e-01,7.871044088881345990e-01,3.786622786524730611e+00,3.780596200379293226e+00
7.327974779183478171e-01,1.207924162416337301e-02,3.034659076749544049e+00,3.019262483664579833e+00
1.964024824302819938e-01,7.176604635489977069e-01,4.093781802692739724e+00,4.099970224578410871e+00
1.670449534098099775e+01,8.460357151165316392e-01,2.201322423356897318e+00,2.197774382055885489e+00
8.954004097730058120e+00,2.986562923357953814e-01,2.159327161053687494e+00,2.162575745911416547e+00
6.599701177549435194e+00,7.199553615092750825e-01,2.623779059434863559e+00,2.620382975128613179e+00
1.265134639249789472e-01,3.863500198150925380e-01,3.867238592361847527e+00,3.866641188757048209e+00
1.942640478926941805e+00,7.712510040216656870e-01,3.310798979920283713e+00,3.313256708357669833e+00
1.136608160179857485e+01,5.661187253096680028e-01,2.192642619227231915e+00,2.185176090387403125e+00
2.944692496560979977e-01,5.018957593903862480e-02,3.323202389850182126e+00,3.329989785808777913e+00
1.435401956891038555e+00,3.380976332101052750e-01,3.080472556923469440e+00,3.075773555932673986e+00
1.146838955217887451e-01,1.731865662584753870e-02,3.503576628600542087e+00,3.494879757158837474e+00
1.760248533747772737e-01,6.743867950616033724e-01,4.080445885464078160e+00,4.081216209682303031e+00
4.460265796540233141e-01,7.837600634195015514e-01,3.900746303569932572e+00,3.905196716354843112e+00
1.753680542573371914e+00,8.964975134305415150e-01,3.462791072400263737e+00,3.460500278984077305e+00
2.453127431335937025e+00,4.737111168637569425e-01,2.964682729952347717e+00,2.956057532081552086e+00
4.503649614063139239e+01,3.521633185348352346e-01,1.595157408008172295e+00,1.601355263671258689e+00
8.912003051263204245e-01,4.721045750147499498e-01,3.371984441443870217e+00,3.354381153522642656e+00
1.159822765010919826e-01,3.991468937876815337e-01,3.900493483665134598e+00,3.890184842304779345e+00
3.010717731346609582e+01,2.638257334299863865e-01,1.649712742186931536e+00,1.650107971092265480e+00
1.532995239162431023e-01,8.192326361478509122e-01,4.266796511016467619e+00,4.253185917033416530e+00
1.900973129002263839e-01,3.547651736533215527e-01,3.735993770934116220e+00,3.736273713576607758e+00
7.754345550683567012e+01,8.060959627345103407e-01,1.692722154823279146e+00,1.692173523643094590e+00
1.820104210726932337e+01,5.098504597245959724e-01,1.932087821742169753e+00,1.941075219630751469e+00
1.031721802792046061e+00,7.622239210948350552e-01,3.570742967534429546e+00,3.561595064016296774e+00
2.491933938054177733e-01,5.990474244302590456e-01,3.906516350502065027e+00,3.900257285265648743e+00
1.446078001716775585e+00,4.223185508344746708e-01,3.146879146882623601e+00,3.150210963729633384e+00
1.041321123670204463e+00,6.446807871502090448e-01,3.464220187593459954e+00,3.439644551691401819e+00
4.200718740906124538e+01,6.529184449844837035e-01,1.751059383153708016e+00,1.782059806142853864e+00
1.804093542181650855e+00,7.824375287242372190e-01,3.353343477872955614e+00,3.346356970568337807e+00
1.762523913258585151e-01,4.147230008553534075e-01,3.815938558705564532e+00,3.808640208178308839e+00
6.031364939153467475e+01,4.766597403025281676e-01,1.584264121685889037e+00,1.592875396794926068e+00
7.361055482381894777e+00,6.878141446490526612e-01,2.533444675887269071e+00,2.533046357472912291e+00
2.239389153367538632e-01,4.632892600126110039e-01,3.801687467588320768e+00,3.783893181401285055e+00
2.185357436144761689e-01,5.583249293163193849e-01,3.903393290648172087e+00,3.909662564449098099e+00
2.499192584005954565e+00,2.119106783436354446e-01,2.756930202988711720e+00,2.765483981328703766e+00
1.889151976834988200e-01,8.784890445375317380e-01,4.268006236719648960e+00,4.263506773984889975e+00
7.856996806204101347e+00,5.723746507959331931e-01,2.411321390430003042e+00,2.408505386847082708e+00
7.065637840630904165e+00,5.854926330703479342e-01,2.484107525831228624e+00,2.488967371803822548e+00
1.248084661359181724e-01,6.706703621549194860e-01,4.166762826014601906e+00,4.157675023515457369e+00
2.644041960959084747e+01,7.089462176597934873e-01,1.918805860564670507e+00,1.923189746206739548e+00
2.292895610092168468e+01,8.630992113610287675e-02,1.645016315620751346e+00,1.647009300725196246e+00
5.570892856196942944e+01,3.330531460641078523e-01,1.544416823545985196e+00,1.537667497388226057e+00
1.025462870420485295e+01,5.387761729318677473e-01,2.232338133457494322e+00,2.218417114719375860e+00
1.198358324269966246e+01,8.947739546226315399e-01,2.410298222697224713e+00,2.408042164389613937e+00
3.099024169605956169e-01,4.648257105079096063e-01,3.711078085481624100e+00,3.702323862899022267e+00
