t,N,D,Phi,dN_dt,dN_dt_noisy
2.200440088017603657e-01,9.871944914446077746e+03,9.802241194362244059e+00,1.973252626952409494e-01,-5.655235753097739462e+02,-5.629354476809775178e+02
2.300460092018403735e-01,9.866298473654498594e+03,1.023849130990396894e+01,2.061673711600134351e-01,-5.635306423763049679e+02,-5.615171937456933620e+02
2.400480096019204090e-01,9.860672238017305062e+03,1.067395040291304653e+01,2.149986101480859946e-01,-5.614835254368259712e+02,-5.669058503947578629e+02
2.500500100020003891e-01,9.855066740050855515e+03,1.110862089230879235e+01,2.238190073778315581e-01,-5.593839302103758655e+02,-5.631619567023111586e+02
2.600520104020804246e-01,9.849482495480244324e+03,1.154250521712074118e+01,2.326285910919362876e-01,-5.572335767980375749e+02,-5.575831209821478751e+02
2.700540108021604602e-01,9.843920003239309153e+03,1.197560583648863464e+01,2.414273900573989384e-01,-5.550341967069144857e+02,-5.558785775300672185e+02
2.800560112022404402e-01,9.838379745470623675e+03,1.240792522966242295e+01,2.502154335655313866e-01,-5.527875299365744013e+02,-5.523602439415772096e+02
2.900580116023204758e-01,9.832862187525501213e+03,1.283946589600227561e+01,2.589927514319584345e-01,-5.504953221349878731e+02,-5.500606782729427096e+02
3.000600120024005113e-01,9.827367777964000197e+03,1.327023035497856895e+01,2.677593739966175890e-01,-5.481593218304105903e+02,-5.439236443203085400e+02
3.100620124024804913e-01,9.821896948707544652e+03,1.370022112127854008e+01,2.765153316459701971e-01,-5.457812778681047803e+02,-5.480053193934893443e+02
3.200640128025605269e-01,9.816450110640524144e+03,1.412944071414777447e+01,2.852606550048198408e-01,-5.433629365330467635e+02,-5.441181465473007393e+02
3.300660132026405624e-01,9.811027655249312375e+03,1.455789169157522700e+01,2.939953755867297236e-01,-5.409060389810747438e+02,-5.368204957660900618e+02
3.400680136027205425e-01,9.805629957587063473e+03,1.498557661768439786e+01,3.027195251600182102e-01,-5.384123191443077303e+02,-5.371189131519040529e+02
3.500700140028005780e-01,9.800257376281717370e+03,1.541249806256725563e+01,3.114331357445504489e-01,-5.358835014254927955e+02,-5.345573746807402813e+02
3.600720144028806136e-01,9.794910253536003438e+03,1.583865860228421418e+01,3.201362396117382048e-01,-5.333212984927448588e+02,-5.343493112361197745e+02
3.700740148029605936e-01,9.789588915127427754e+03,1.626406081886414512e+01,3.288288692845398598e-01,-5.307274091783021959e+02,-5.340235595200134640e+02
3.800760152030406291e-01,9.784293670408293110e+03,1.668870730030438310e+01,3.375110575374607458e-01,-5.281035164831982911e+02,-5.277685869947528090e+02
3.900780156031206647e-01,9.779024812305680825e+03,1.711260064057071162e+01,3.461828373965527006e-01,-5.254512856892320087e+02,-5.252332575135889101e+02
4.000800160032006447e-01,9.773782617321458019e+03,1.753574343959737192e+01,3.548442421394142343e-01,-5.227723625791355744e+02,-5.252270666876247560e+02
4.100820164032806803e-01,9.768567345532283070e+03,1.795813830328706473e+01,3.634953052951908070e-01,-5.200683717653703297e+02,-5.214348250889314613e+02
4.200840168033607158e-01,9.763379240589592882e+03,1.837978784351093609e+01,3.721360606445743846e-01,-5.173409151275333215e+02,-5.174850024869878098e+02
4.300860172034406959e-01,9.758218529719615617e+03,1.880069467810859862e+01,3.807665422198035499e-01,-5.145915703579497631e+02,-5.164810736040712982e+02
4.400880176035207314e-01,9.753085423723363419e+03,1.922086143088812449e+01,3.893867843046639465e-01,-5.118218896146233874e+02,-5.120184295503278236e+02
4.500900180036007669e-01,9.747980116976634235e+03,1.964029073162603112e+01,3.979968214344875577e-01,-5.090333982803633148e+02,-5.088424322254244316e+02
4.600920184036807470e-01,9.742902787430011813e+03,2.005898521606729190e+01,4.065966883961532607e-01,-5.062275938265640320e+02,-5.061564213524530373e+02
4.700940188037607825e-01,9.737853600353266302e+03,2.047694751715534522e+01,4.151864200467373922e-01,-5.034059450273067569e+02,-5.044185283439354066e+02
4.800960192038408181e-01,9.732832717967174176e+03,2.089418023509258049e+01,4.237660507052243286e-01,-5.005698917017126632e+02,-4.993823955581410132e+02
4.900980196039207981e-01,9.727840271623172157e+03,2.131068599956849496e+01,4.323356154435074039e-01,-4.977208420568787233e+02,-4.959385081483140425e+02
5.001000200040007782e-01,9.722876378679529807e+03,2.172646743996024910e+01,4.408951494558816520e-01,-4.948601730120126945e+02,-4.942184764028795598e+02
5.101020204040808137e-01,9.717941145068323749e+03,2.214152717992400454e+01,4.494446879463153133e-01,-4.919892297143361475e+02,-4.936256901691167513e+02
5.201040208041608492e-01,9.713034665295452214e+03,2.255586783739490997e+01,4.579842661284494465e-01,-4.891093249777595702e+02,-4.876460204101886688e+02
5.301060212042408848e-01,9.708157022440625951e+03,2.296949202458712236e+01,4.665139192255985945e-01,-4.862217388078555018e+02,-4.872246188447896316e+02
5.401080216043209203e-01,9.703308288157371862e+03,2.338240234799378925e+01,4.750336824707500627e-01,-4.833277180099469774e+02,-4.815693967733710110e+02
5.501100220044009559e-01,9.698488522673033003e+03,2.379460140838706650e+01,4.835435911065645853e-01,-4.804284758770102144e+02,-4.825720507107650974e+02
5.601120224044808804e-01,9.693697774788766765e+03,2.420609180081809697e+01,4.920436803853757146e-01,-4.775251919540165773e+02,-4.756962575477589894e+02
5.701140228045609160e-01,9.688936081879546691e+03,2.461687611461703540e+01,5.005339855691904871e-01,-4.746190118752759872e+02,-4.746591387845069221e+02
5.801160232046409515e-01,9.684203469894160662e+03,2.502695693339303062e+01,5.090145419296888685e-01,-4.717110472713021068e+02,-4.742085450519709298e+02
5.901180236047209871e-01,9.679499953355216348e+03,2.543633683503422560e+01,5.174853847482238089e-01,-4.688023757416960393e+02,-4.694301746856297086e+02
6.001200240048010226e-01,9.674825535359130299e+03,2.584501839170776094e+01,5.259465493158217431e-01,-4.658940408905364734e+02,-4.657858363329933695e+02
6.101220244048810581e-01,9.670180207576138855e+03,2.625300416985977847e+01,5.343980709331817014e-01,-4.629870524207781841e+02,-4.624414697424492715e+02
6.201240248049609827e-01,9.665563950250294511e+03,2.666029673021542123e+01,5.428399849106763098e-01,-4.600823862841763230e+02,-4.620467625340583027e+02
6.301260252050410182e-01,9.660976732199464095e+03,2.706689862777883704e+01,5.512723265683511231e-01,-4.571809848832957641e+02,-4.593957309776261582e+02
6.401280256051210538e-01,9.656418510815325135e+03,2.747281241183315359e+01,5.596951312359249586e-01,-4.542837573222099081e+02,-4.538845882565157694e+02
6.501300260052010893e-01,9.651889237209776184e+03,2.787804062016353868e+01,5.681084341196332987e-01,-4.513915799849908126e+02,-4.523250792187504317e+02
6.601320264052811249e-01,9.647388874650934667e+03,2.828258575409290643e+01,5.765122697454104772e-01,-4.485052978986811922e+02,-4.480342866752207556e+02
6.701340268053610494e-01,9.642917354675502793e+03,2.868645032561769170e+01,5.849066730548092563e-01,-4.456257227055672274e+02,-4.441066836606104857e+02
6.801360272054410849e-01,9.638474599061459230e+03,2.908963683867635552e+01,5.932916789475786157e-01,-4.427536342559433820e+02,-4.460512089886452713e+02
6.901380276055211205e-01,9.634060524247901412e+03,2.949214778460972397e+01,6.016673221751968059e-01,-4.398897812860350314e+02,-4.393810050529997966e+02
7.001400280056011560e-01,9.629675041335043716e+03,2.989398564216100951e+01,6.100336373408721258e-01,-4.370348818843570484e+02,-4.345855879492855820e+02
7.101420284056811916e-01,9.625318056084219279e+03,3.029515287747581453e+01,6.183906588995429221e-01,-4.341896239849959898e+02,-4.347846776737369510e+02
7.201440288057612271e-01,9.620989468917876366e+03,3.069565194410211362e+01,6.267384211578772568e-01,-4.313546658851302027e+02,-4.329762950516053479e+02
7.301460292058411516e-01,9.616689174919582001e+03,3.109548528299027126e+01,6.350769582742730179e-01,-4.285306367842065924e+02,-4.270261491298473970e+02
7.401480296059211872e-01,9.612417063834018336e+03,3.149465532249304189e+01,6.434063042588582526e-01,-4.257181373423002810e+02,-4.252112443098840231e+02
7.501500300060012227e-01,9.608173020066988101e+03,3.189316447836555568e+01,6.517264929734907231e-01,-4.229177402552921308e+02,-4.211259741137370156e+02
7.601520304060812583e-01,9.603956922685409154e+03,3.229101515376532205e+01,6.600375581317580176e-01,-4.201299908446069935e+02,-4.208204222647095776e+02
7.701540308061612938e-01,9.599768645417318112e+03,3.268820973925224393e+01,6.683395332989778836e-01,-4.173554076593674154e+02,-4.203190442068118386e+02
7.801560312062413294e-01,9.595608056651868537e+03,3.308475061278859641e+01,6.766324518921975617e-01,-4.145944830889244486e+02,-4.148145046183469731e+02
7.901580316063212539e-01,9.591475019439329117e+03,3.348064013973904451e+01,6.849163471801944514e-01,-4.118476839838364185e+02,-4.127393402898588874e+02
8.001600320064012895e-01,9.587369391491089118e+03,3.387588067287063609e+01,6.931912522834760004e-01,-4.091154522834734166e+02,-4.075648046393782806e+02
8.101620324064813250e-01,9.583291025179652934e+03,3.427047455235280893e+01,7.014572001742790386e-01,-4.063982056485328940e+02,-4.060109399517785960e+02
8.201640328065613605e-01,9.579239767538645538e+03,3.466442410575736233e+01,7.097142236765707768e-01,-4.036963380968508091e+02,-4.069580365617210305e+02
8.301660332066413961e-01,9.575215460262803390e+03,3.505773164805850683e+01,7.179623554660480300e-01,-4.010102206409978862e+02,-4.034005468012043139e+02
8.401680336067214316e-01,9.571217939707987171e+03,3.545039948163281451e+01,7.262016280701375504e-01,-3.983402019262509270e+02,-3.965726238530764363e+02
8.501700340068013562e-01,9.567247036891169046e+03,3.584242989625924736e+01,7.344320738679960270e-01,-3.956866088676180198e+02,-3.943270788327823198e+02
8.601720344068813917e-01,9.563302585493600418e+03,3.623382516629931160e+01,7.426537249857575462e-01,-3.930497476436984243e+02,-3.943302343755153743e+02
8.701740348069614273e-01,9.559384437073729714e+03,3.662458754096082458e+01,7.508666130221739454e-01,-3.904299050178424864e+02,-3.904320026109770652e+02
8.801760352070414628e-01,9.555492414767522860e+03,3.701471925956747810e+01,7.590707696372774871e-01,-3.878273468866994449e+02,-3.869361997791470458e+02
8.901780356071214984e-01,9.551626338075102467e+03,3.740422254785399048e+01,7.672662263148335438e-01,-3.852423199990457192e+02,-3.843055113273511552e+02
9.001800360072015339e-01,9.547786025715924552e+03,3.779309961719035726e+01,7.754530143289392052e-01,-3.826750526929150737e+02,-3.809225683006863505e+02
9.101820364072814584e-01,9.543971295628782173e+03,3.818135266458177313e+01,7.836311647440230566e-01,-3.801257554981556837e+02,-3.796127842437125537e+02
9.201840368073614940e-01,9.540181964971796333e+03,3.856898387266871708e+01,7.918007084148458441e-01,-3.775946217313611442e+02,-3.777842784092981674e+02
9.301860372074415295e-01,9.536417850122428717e+03,3.895599540972686725e+01,7.999616759864996984e-01,-3.750818280825234865e+02,-3.755995242120991975e+02
9.401880376075215651e-01,9.532678766677465319e+03,3.934238942966717190e+01,8.081140978944083564e-01,-3.725875351928190184e+02,-3.704760495917525418e+02
9.501900380076016006e-01,9.528964529453032810e+03,3.972816807203579970e+01,8.162580043643272720e-01,-3.701118882230061899e+02,-3.746135967731632377e+02
9.601920384076816362e-01,9.525274952484589448e+03,4.011333346201416106e+01,8.243934254123439498e-01,-3.676550174119667531e+02,-3.679323280621494519e+02
9.701940388077615607e-01,9.521609849026925076e+03,4.049788771041892232e+01,8.325203908448770562e-01,-3.652170386249873104e+02,-3.651510384170192083e+02
9.801960392078415962e-01,9.517969031554164758e+03,4.088183291370197736e+01,8.406389302586775303e-01,-3.627980538914210911e+02,-3.656487518131614820e+02
9.901980396079216318e-01,9.514352311759765144e+03,4.126517115395046176e+01,8.487490730408274731e-01,-3.603981519314302204e+02,-3.597325247051541055e+02
1.000200040008001556e+00,9.510759500556518105e+03,4.164790449888673862e+01,8.568508483687409250e-01,-3.580174086715468889e+02,-3.593199706964336997e+02
1.010202040408081592e+00,9.507190408076550739e+03,4.203003500186844121e+01,8.649442852101638657e-01,-3.556558877488430426e+02,-3.539309981562115581e+02
1.020204040808161627e+00,9.503644843671316266e+03,4.241156470188842320e+01,8.730294123231734371e-01,-3.533136410035345989e+02,-3.535648251716032746e+02
1.030206041208241663e+00,9.500122615911610410e+03,4.279249562357476577e+01,8.811062582561788314e-01,-3.509907089598888206e+02,-3.496524024783099094e+02
1.040208041608321698e+00,9.496623532587556838e+03,4.317282977719082027e+01,8.891748513479208471e-01,-3.486871212953350891e+02,-3.462494340849926289e+02
1.050210042008401734e+00,9.493147400708612622e+03,4.355256915863515133e+01,8.972352197274719998e-01,-3.464028972977167200e+02,-3.456370381322897742e+02
1.060212042408481770e+00,9.489694026503571877e+03,4.393171574944157953e+01,9.052873913142365225e-01,-3.441380463106509069e+02,-3.458894885974966087e+02
1.070214042808561805e+00,9.486263215420556662e+03,4.431027151677915299e+01,9.133313938179501434e-01,-3.418925681669914525e+02,-3.449212054304007324e+02
1.080216043208641841e+00,9.482854772127027900e+03,4.468823841345217573e+01,9.213672547386807521e-01,-3.396664536104163403e+02,-3.361596853753836172e+02
1.090218043608721876e+00,9.479468500509778096e+03,4.506561837790017933e+01,9.293950013668272891e-01,-3.374596847051871009e+02,-3.376822690915621479e+02
1.100220044008801912e+00,9.476104203674929522e+03,4.544241333419793705e+01,9.374146607831210787e-01,-3.352722352341485816e+02,-3.366493651294172196e+02
1.110222044408881725e+00,9.472761683947945130e+03,4.581862519205545681e+01,9.454262598586242738e-01,-3.331040710850566029e+02,-3.328155569089349797e+02
1.120224044808961761e+00,9.469440743855973778e+03,4.619425584805509999e+01,9.534298252654268557e-01,-3.309551506567192405e+02,-3.313379733176845434e+02
1.130226045209041796e+00,9.466141204203626330e+03,4.656930720459348549e+01,9.614253836156215760e-01,-3.288254258098900209e+02,-3.271211412814646451e+02
1.140228045609121832e+00,9.462862876725030219e+03,4.694378112996102459e+01,9.694129610814576914e-01,-3.267148413581376190e+02,-3.266469849932634020e+02
1.150230046009201867e+00,9.459605567346179669e+03,4.731767947015776343e+01,9.773925835484927882e-01,-3.246233354885750941e+02,-3.245958363213382540e+02
1.160232046409281903e+00,9.456369083213832710e+03,4.769100405900061190e+01,9.853642767112017475e-01,-3.225508403109038227e+02,-3.239799997529697748e+02
1.170234046809361939e+00,9.453153232695514816e+03,4.806375671812336492e+01,9.933280660729775224e-01,-3.204972821747277294e+02,-3.195581459772327548e+02
1.180236047209441974e+00,9.449957825379515270e+03,4.843593925697667402e+01,1.001283976946130361e+00,-3.184625819762970877e+02,-3.205303154210070602e+02
1.190238047609522010e+00,9.446782672074887159e+03,4.880755347282804024e+01,1.009232034451888360e+00,-3.164466554548732802e+02,-3.151148765753453631e+02
1.200240048009602045e+00,9.443627584811451015e+03,4.917860115076186389e+01,1.017172263520396802e+00,-3.144494134789150621e+02,-3.114015384529348012e+02
1.210242048409682081e+00,9.440492376839789358e+03,4.954908406367938767e+01,1.025104688890719151e+00,-3.124707623222866459e+02,-3.155201343984849700e+02
1.220244048809762116e+00,9.437376862631252152e+03,4.991900397229872510e+01,1.033029335110835945e+00,-3.105106039307028141e+02,-3.154430623934054552e+02
1.230246049209841930e+00,9.434280857877954986e+03,5.028836262515485345e+01,1.040946226537645902e+00,-3.085688361786214955e+02,-3.073350786683128604e+02
1.240248049609921965e+00,9.431204179492775438e+03,5.065716175859963499e+01,1.048855387336964817e+00,-3.066453531168005497e+02,-3.015495574858342707e+02
1.250250050010002001e+00,9.428146645609356710e+03,5.102540309680178154e+01,1.056756841483526888e+00,-3.047400452107411866e+02,-3.067418949084849942e+02
1.260252050410082036e+00,9.425108075582109450e+03,5.139308835174686863e+01,1.064650612760982717e+00,-3.028527995702370390e+02,-3.053541910878410022e+02
1.270254050810162072e+00,9.422088289986206291e+03,5.176021922323735680e+01,1.072536724761901761e+00,-3.009835001702518298e+02,-2.998055623026908734e+02
1.280256051210242108e+00,9.419087110617585495e+03,5.212679739889254904e+01,1.080415200887770322e+00,-2.991320280633495940e+02,-3.008134712434662106e+02
1.290258051610322143e+00,9.416104360492952765e+03,5.249282455414862625e+01,1.088286064348992443e+00,-2.972982615838989204e+02,-2.983103125517723697e+02
1.300260052010402179e+00,9.413139863849777612e+03,5.285830235225864726e+01,1.096149338164890130e+00,-2.954820765442752872e+02,-2.961783114776428647e+02
1.310262052410482214e+00,9.410193446146291535e+03,5.322323244429250622e+01,1.104005045163702681e+00,-2.936833464232807955e+02,-2.926193422506971729e+02
1.320264052810562250e+00,9.407264934061493477e+03,5.358761646913701071e+01,1.111853207982587133e+00,-2.919019425470038414e+02,-2.927125472697900932e+02
1.330266053210642285e+00,9.404354155495148007e+03,5.395145605349578943e+01,1.119693849067617819e+00,-2.901377342623331970e+02,-2.895819685821728626e+02
1.340268053610722099e+00,9.401460939567783498e+03,5.431475281188934900e+01,1.127526990673787255e+00,-2.883905891033464286e+02,-2.887436556211335983e+02
1.350270054010802134e+00,9.398585116620693952e+03,5.467750834665510240e+01,1.135352654865005473e+00,-2.866603729507822322e+02,-2.883497151580854165e+02
1.360272054410882170e+00,9.395726518215937176e+03,5.503972424794726237e+01,1.143170863514099578e+00,-2.849469501848100776e+02,-2.855866027002965097e+02
1.370274054810962205e+00,9.392884977136336602e+03,5.540140209373696223e+01,1.150981638302815080e+00,-2.832501838313025360e+02,-2.851509831616383508e+02
1.380276055211042241e+00,9.390060327385481287e+03,5.576254344981217059e+01,1.158785000721814340e+00,-2.815699357018173714e+02,-2.815569057300778582e+02
1.390278055611122277e+00,9.387252404187724096e+03,5.612314986977773401e+01,1.166580972070677902e+00,-2.799060665274864164e+02,-2.821537989826176727e+02
1.400280056011202312e+00,9.384461043988185338e+03,5.648322289505537697e+01,1.174369573457903604e+00,-2.782584360870121145e+02,-2.804442248256025891e+02
1.410282056411282348e+00,9.381686084452745490e+03,5.684276405488366635e+01,1.182150825800907246e+00,-2.766269033289634081e+02,-2.737129796983529104e+02
1.420284056811362383e+00,9.378927364468054293e+03,5.720177486631804697e+01,1.189924749826021699e+00,-2.750113264885613944e+02,-2.751176949291721030e+02
1.430286057211442419e+00,9.376184724141523475e+03,5.756025683423084160e+01,1.197691366068497798e+00,-2.734115631991398345e+02,-2.735193672500839170e+02
1.440288057611522454e+00,9.373458004801335846e+03,5.791821145131122250e+01,1.205450694872504336e+00,-2.718274705984629236e+02,-2.708043977586276583e+02
1.450290058011602490e+00,9.370747048996428930e+03,5.827564019806523277e+01,1.213202756391127402e+00,-2.702589054300772204e+02,-2.711006194351749627e+02
1.460292058411682303e+00,9.368051700672862353e+03,5.863254454580364694e+01,1.220947570630124934e+00,-2.687057241364884703e+02,-2.691627948714447598e+02
1.470294058811762339e+00,9.365371808185702321e+03,5.898892599530504555e+01,1.228685158011302736e+00,-2.671677829293049626e+02,-2.663174854586411584e+02
1.480296059211842374e+00,9.362707221134307474e+03,5.934478600864490971e+01,1.236415538371226752e+00,-2.656449379791419005e+02,-2.650801062946530919e+02
1.490298059611922410e+00,9.360057789822771156e+03,5.970012602453380879e+01,1.244138731191813063e+00,-2.641370454372927838e+02,-2.664556388911576619e+02
1.500300060012002445e+00,9.357423365915976319e+03,6.005494747288204138e+01,1.251854755814431064e+00,-2.626439614924096304e+02,-2.609772762990702972e+02
1.510302060412082481e+00,9.354803802439593710e+03,6.040925177479966379e+01,1.259563631439904352e+00,-2.611655424458891730e+02,-2.623464123324672528e+02
1.520304060812162517e+00,9.352198953780085503e+03,6.076304034259646869e+01,1.267265377128510062e+00,-2.597016447834114388e+02,-2.618138026840397856e+02
1.530306061212242552e+00,9.349608675684703485e+03,6.111631457978197091e+01,1.274960011799979531e+00,-2.582521252427748664e+02,-2.600530753827729882e+02
1.540308061612322588e+00,9.347032825261485414e+03,6.146907588106545717e+01,1.282647554233497411e+00,-2.568168408781691596e+02,-2.575979315668798222e+02
1.550310062012402623e+00,9.344471260979260478e+03,6.182132563235592926e+01,1.290328023067702334e+00,-2.553956491210192894e+02,-2.521410486117731580e+02
1.560312062412482659e+00,9.341923842667649296e+03,6.217306521076214665e+01,1.298001436800687358e+00,-2.539884078375345950e+02,-2.563394796473761517e+02
1.570314062812562694e+00,9.339390431517058460e+03,6.252429598459259807e+01,1.305667813789998410e+00,-2.525949753830910254e+02,-2.522748235980223512e+02
1.580316063212642508e+00,9.336870890078685989e+03,6.287501931335551575e+01,1.313327172252635622e+00,-2.512152106535687324e+02,-2.554908593697498986e+02
1.590318063612722543e+00,9.334365082264515877e+03,6.322523654775888957e+01,1.320979530265053770e+00,-2.498489731337667195e+02,-2.498521070000571171e+02
1.600320064012802579e+00,9.331872873347325367e+03,6.357494902971042450e+01,1.328624905763160058e+00,-2.484961229430111871e+02,-2.466969901080591683e+02
1.610322064412882614e+00,9.329394129960679493e+03,6.392415809231759027e+01,1.336263316542316559e+00,-2.471565208780694434e+02,-2.476298475221923638e+02
1.620324064812962650e+00,9.326928720098932899e+03,6.427286505988756460e+01,1.343894780257338439e+00,-2.458300284534790876e+02,-2.470887383012457690e+02
1.630326065213042686e+00,9.324476513117228023e+03,6.462107124792731838e+01,1.351519314422495510e+00,-2.445165079393976271e+02,-2.440534858112805523e+02
1.640328065613122721e+00,9.322037379731498731e+03,6.496877796314350917e+01,1.359136936411510455e+00,-2.432158223970754136e+02,-2.418155188947741010e+02
1.650330066013202757e+00,9.319611192018466681e+03,6.531598650344255930e+01,1.366747663457560824e+00,-2.419278357120494434e+02,-2.406005205700146234e+02
1.660332066413282792e+00,9.317197823415644962e+03,6.566269815793064879e+01,1.374351512653277041e+00,-2.406524126251565576e+02,-2.367074649172969885e+02
1.670334066813362828e+00,9.314797148721332633e+03,6.600891420691367273e+01,1.381948500950743952e+00,-2.393894187614508837e+02,-2.389710838167783322e+02
1.680336067213442863e+00,9.312409044094620185e+03,6.635463592189726967e+01,1.389538645161499941e+00,-2.381387206571252193e+02,-2.393235408566310980e+02
1.690338067613522677e+00,9.310033387055387720e+03,6.669986456558683585e+01,1.397121961956537373e+00,-2.369001857845123595e+02,-2.371521441644856338e+02
1.700340068013602712e+00,9.307670056484303132e+03,6.704460139188748258e+01,1.404698467866302591e+00,-2.356736825752544178e+02,-2.358186796664940346e+02
1.710342068413682748e+00,9.305318932622823922e+03,6.738884764590410725e+01,1.412268179280695257e+00,-2.344590804417205732e+02,-2.342416056747643438e+02
1.720344068813762783e+00,9.302979897073200846e+03,6.773260456394130813e+01,1.419831112449069455e+00,-2.332562497967464594e+02,-2.333163054232053355e+02
1.730346069213842819e+00,9.300652832798466989e+03,6.807587337350342693e+01,1.427387283480232583e+00,-2.320650620717728714e+02,-2.317171301939804664e+02
1.740348069613922855e+00,9.298337624122448688e+03,6.841865529329456308e+01,1.434936708342446021e+00,-2.308853897334552698e+02,-2.342270898546854880e+02
1.750350070014002890e+00,9.296034156729763708e+03,6.876095153321854525e+01,1.442479402863425353e+00,-2.297171062988107337e+02,-2.280578483867306545e+02
1.760352070414082926e+00,9.293742317665813971e+03,6.910276329437894560e+01,1.450015382730339697e+00,-2.285600863489711969e+02,-2.297095648868132685e+02
1.770354070814162961e+00,9.291461995336794644e+03,6.944409176907907977e+01,1.457544663489811487e+00,-2.274142055416063499e+02,-2.297605229345003863e+02
1.780356071214242997e+00,9.289193079509688687e+03,6.978493814082202107e+01,1.465067260547918027e+00,-2.262793406220770009e+02,-2.250038383027941222e+02
1.790358071614323032e+00,9.286935461312268671e+03,7.012530358431052946e+01,1.472583189170189710e+00,-2.251553694333782687e+02,-2.225207174186060968e+02
1.800360072014403068e+00,9.284689032426158519e+03,7.046518927159431200e+01,1.480092464581884704e+00,-2.240421708913978591e+02,-2.230561145923989841e+02
1.810362072414482881e+00,9.282453681491235329e+03,7.080459640145039657e+01,1.487595102449053464e+00,-2.229396248403899108e+02,-2.226173062126988782e+02
1.820364072814562917e+00,9.280229302847736108e+03,7.114352613399616132e+01,1.495091117813071024e+00,-2.218476124213622143e+02,-2.237120530321061267e+02
1.830366073214642952e+00,9.278015792825817698e+03,7.148197961593918137e+01,1.502580525499834785e+00,-2.207660159281807069e+02,-2.150228812525537023e+02
1.840368073614722988e+00,9.275813048752437680e+03,7.181995798789139940e+01,1.510063340238852359e+00,-2.196947187718144789e+02,-2.179342015304914639e+02
1.850370074014803023e+00,9.273620968951356190e+03,7.215746238436922511e+01,1.517539576663240908e+00,-2.186336054845864965e+02,-2.209121948252724508e+02
1.860372074414883059e+00,9.271439452743134098e+03,7.249449393379347839e+01,1.525009249309727588e+00,-2.175825617235581149e+02,-2.191418375560376148e+02
1.870374074814963095e+00,9.269268400445129373e+03,7.283105375848938934e+01,1.532472372618649104e+00,-2.165414742730897046e+02,-2.163675157759458898e+02
