t,q,n,s,dq_dt,dq_dt_noisy
2.080416083216643397e+00,3.625732420708612236e-01,1.171911538916241835e-01,-1.886362875831818497e-01,1.083122743664062526e-01,1.102535825520445656e-01
2.100420084016803468e+00,3.647359230471295954e-01,1.180640179507972537e-01,-1.896253369150270041e-01,1.079125518337350487e-01,1.152845614007623198e-01
2.120424084816963539e+00,3.668906061937029506e-01,1.189325637867432728e-01,-1.906018180707907406e-01,1.075126742965582388e-01,1.084687192017917690e-01
2.140428085617123610e+00,3.690372888865020018e-01,1.197968074001203448e-01,-1.915658131342621029e-01,1.071126810831039278e-01,1.057436794013078690e-01
2.160432086417283681e+00,3.711759693669155480e-01,1.206567648073174348e-01,-1.925174038877895677e-01,1.067126108031055814e-01,1.123275147141537811e-01
2.180436087217443752e+00,3.733066465650473065e-01,1.215124520208694797e-01,-1.934566717908036415e-01,1.063125013780810424e-01,1.031708470972987901e-01
2.200440088017603824e+00,3.754293200997156355e-01,1.223638850494574021e-01,-1.943836979798169995e-01,1.059123900429007337e-01,1.088178228714673929e-01
2.220444088817763451e+00,3.775439902784537005e-01,1.232110798979080268e-01,-1.952985632684243744e-01,1.055123133474964170e-01,1.026468790383223556e-01
2.240448089617923522e+00,3.796506580975096967e-01,1.240540525671942479e-01,-1.962013481473025844e-01,1.051123071587072022e-01,1.061746421315117039e-01
2.260452090418083593e+00,3.817493252418463490e-01,1.248928190544348615e-01,-1.970921327842105608e-01,1.047124066622593108e-01,9.880721640554571139e-02
2.280456091218243664e+00,3.838399940851411341e-01,1.257273953528945942e-01,-1.979709970239892647e-01,1.043126463648754998e-01,1.070104674878273182e-01
2.300460092018403735e+00,3.859226676897865582e-01,1.265577974519842275e-01,-1.988380203885618536e-01,1.039130600965109119e-01,1.034383172506962156e-01
2.320464092818563806e+00,3.879973498068896576e-01,1.273840413372604452e-01,-1.996932820769334316e-01,1.035136810127118001e-01,1.006106365975391742e-01
2.340468093618723877e+00,3.900640448762724977e-01,1.282061429904259031e-01,-2.005368609651913547e-01,1.031145415970929763e-01,1.081497987133794580e-01
2.360472094418883948e+00,3.921227580264717294e-01,1.290241183893292287e-01,-2.013688356065048979e-01,1.027156736639311674e-01,1.050117377152295361e-01
2.380476095219044019e+00,3.941734950747389221e-01,1.298379835079650491e-01,-2.021892842311255878e-01,1.023171083608702958e-01,1.024545318682084233e-01
2.400480096019204090e+00,3.962162625270403415e-01,1.306477543164738797e-01,-2.029982847463869255e-01,1.019188761717351732e-01,9.968254600536478882e-02
2.420484096819364161e+00,3.982510675564992497e-01,1.314534467790606509e-01,-2.037959147346091182e-01,1.015210069232888868e-01,1.013909191528036269e-01
2.440488097619524233e+00,4.002779174124613815e-01,1.322550767915476322e-01,-2.045822513677227616e-01,1.011235298952712913e-01,1.006317436064056992e-01
2.460492098419683860e+00,4.022968201969648883e-01,1.330526602479299159e-01,-2.053573714388378102e-01,1.007264736883696499e-01,1.029008031689929298e-01
2.480496099219843931e+00,4.043077847675897729e-01,1.338462130433812902e-01,-2.061213514167836713e-01,1.003298662413729114e-01,1.027240917848522839e-01
2.500500100020004002e+00,4.063108204655054290e-01,1.346357510502469434e-01,-2.068742674313369667e-01,9.993373488294543527e-02,9.793046574365724122e-02
2.520504100820164073e+00,4.083059371154710848e-01,1.354212901180434914e-01,-2.076161952732215599e-01,9.953810633577503397e-02,9.788999465350388396e-02
2.540508101620324144e+00,4.102931450258354706e-01,1.362028460734591162e-01,-2.083472103941085007e-01,9.914300672077017151e-02,9.754681073743433350e-02
2.560512102420484215e+00,4.122724549885369294e-01,1.369804347203532890e-01,-2.090673879066161089e-01,9.874846156130281938e-02,9.470050982252911642e-02
2.580516103220644286e+00,4.142438782791034724e-01,1.377540718397570474e-01,-2.097768025843098905e-01,9.835449578749595745e-02,9.657977113882230957e-02
2.600520104020804357e+00,4.162074266566526681e-01,1.385237731898728286e-01,-2.104755288617025932e-01,9.796113374055236134e-02,9.768390954493318123e-02
2.620524104820964428e+00,4.181631123638918091e-01,1.392895545060745532e-01,-2.111636408342542348e-01,9.756839917712303856e-02,9.964125501093995529e-02
2.640528105621124499e+00,4.201109481271176338e-01,1.400514315009075139e-01,-2.118412122583719637e-01,9.717631527371334288e-02,1.011374537418136821e-01
2.660532106421284571e+00,4.220509471562166048e-01,1.408094198640885419e-01,-2.125083165514102257e-01,9.678490463112396358e-02,9.435986699844596537e-02
2.680536107221444198e+00,4.239831231446647419e-01,1.415635352625058685e-01,-2.131650267916706809e-01,9.639418927892515199e-02,9.804711887456905861e-02
2.700540108021604269e+00,4.259074902695277887e-01,1.423137933402192079e-01,-2.138114157184022035e-01,9.600419067996182609e-02,9.467082020284520172e-02
2.720544108821764340e+00,4.278240631914610459e-01,1.430602097184596466e-01,-2.144475557318009096e-01,9.561492973488776304e-02,1.018404930638339284e-01
2.740548109621924411e+00,4.297328570547093163e-01,1.438027999956298375e-01,-2.150735188930101294e-01,9.522642678672629812e-02,9.508025615284919352e-02
2.760552110422084482e+00,4.316338871165080193e-01,1.445415797156769100e-01,-2.156893768965635338e-01,9.483870169566968600e-02,9.634508260689553238e-02
2.780556111222244553e+00,4.335271689439980647e-01,1.452765643733289203e-01,-2.162952010208727682e-01,9.445177380999969508e-02,9.164328735058620279e-02
2.800560112022404624e+00,4.354127188175735963e-01,1.460077694550294958e-01,-2.168910621939309502e-01,9.406566189280826662e-02,9.163359349990993219e-02
2.820564112822564695e+00,4.372905533291776559e-01,1.467352104115254297e-01,-2.174770310013859620e-01,9.368038420121546639e-02,9.428547010382737348e-02
2.840568113622724766e+00,4.391606893818612023e-01,1.474589026578325412e-01,-2.180531776865276827e-01,9.329595849162117260e-02,9.214379514013279482e-02
2.860572114422884837e+00,4.410231441897826676e-01,1.481788615732357317e-01,-2.186195721502881828e-01,9.291240202486431010e-02,9.397226780257593448e-02
2.880576115223044908e+00,4.428779352782082346e-01,1.488951025012890117e-01,-2.191762839512416128e-01,9.252973157137085736e-02,8.784425921351363131e-02
2.900580116023204980e+00,4.447250804835117810e-01,1.496076407498154459e-01,-2.197233823056042035e-01,9.214796341629000187e-02,9.413397832673681132e-02
2.920584116823364607e+00,4.465645979531747134e-01,1.503164915909071808e-01,-2.202609360872342936e-01,9.176711336461707003e-02,8.906867229127786445e-02
2.940588117623524678e+00,4.483965061457864110e-01,1.510216702609254724e-01,-2.207890138276323577e-01,9.138719674630216283e-02,9.655446693540105374e-02
2.960592118423684749e+00,4.502208238310436705e-01,1.517231919605005752e-01,-2.213076837159408949e-01,9.100822842134373425e-02,9.014282669513981605e-02
2.980596119223844820e+00,4.520375700897509841e-01,1.524210718545319365e-01,-2.218170135989445679e-01,9.063022278486565497e-02,9.392201789552354074e-02
3.000600120024004891e+00,4.538467643138207053e-01,1.531153250721879744e-01,-2.223170709810701473e-01,9.025319377217724814e-02,8.606824380358818471e-02
3.020604120824164962e+00,4.556484262062726054e-01,1.538059667069062442e-01,-2.228079230243864284e-01,8.987715486381478436e-02,9.116399359735945229e-02
3.040608121624325033e+00,4.574425757812342619e-01,1.544930118163933830e-01,-2.232896365486043977e-01,8.950211909056401960e-02,8.683803013818025551e-02
3.060612122424485104e+00,4.592292333639410029e-01,1.551764754226250820e-01,-2.237622780310770665e-01,8.912809903846215243e-02,8.766743183240435777e-02
3.080616123224645175e+00,4.610084194727838702e-01,1.558563725040158499e-01,-2.242259136069798542e-01,8.875510687685317368e-02,8.882889602342693147e-02
3.100620124024805246e+00,4.627801545278665274e-01,1.565327179686958614e-01,-2.246806090268113620e-01,8.838315442237784647e-02,8.743192952157398390e-02
3.120624124824965318e+00,4.645444595251484454e-01,1.572055266980688648e-01,-2.251264296481173266e-01,8.801225301258548683e-02,8.880501988802493030e-02
3.140628125625125389e+00,4.663013556806602233e-01,1.578748135325172830e-01,-2.255634404901089018e-01,8.764241357827917689e-02,8.988537986469778696e-02
3.160632126425285016e+00,4.680508643843737659e-01,1.585405932687858066e-01,-2.259917062363240858e-01,8.727364665762810114e-02,8.923199307489766696e-02
3.180636127225445087e+00,4.697930072002025059e-01,1.592028806599815882e-01,-2.264112912346275819e-01,8.690596240133402484e-02,8.664351795265365364e-02
3.200640128025605158e+00,4.715278058660010152e-01,1.598616904155741036e-01,-2.268222594972108819e-01,8.653937057775648589e-02,8.244907904780343633e-02
3.220644128825765229e+00,4.732552822935653936e-01,1.605170372013952074e-01,-2.272246747005922940e-01,8.617388057799577061e-02,8.375994225846927765e-02
3.240648129625925300e+00,4.749754585686330466e-01,1.611689356396390771e-01,-2.276186001856169150e-01,8.580950142093393684e-02,8.522223279550064645e-02
3.260652130426085371e+00,4.766883569508827967e-01,1.618174003088622970e-01,-2.280040989574565469e-01,8.544624175823359313e-02,7.908076384042764251e-02
3.280656131226245442e+00,4.783939998739348276e-01,1.624624457439838299e-01,-2.283812336856098357e-01,8.508410987929403146e-02,8.734035164695637399e-02
3.300660132026405513e+00,4.800924099453506844e-01,1.631040864362849896e-01,-2.287500667039022162e-01,8.472311371616433884e-02,8.400419913917725467e-02
3.320664132826565584e+00,4.817836099466331623e-01,1.637423368334094687e-01,-2.291106600104858559e-01,8.436326084841376527e-02,8.360930295259311196e-02
3.340668133626725655e+00,4.834676228332266401e-01,1.643772113393632550e-01,-2.294630752678397667e-01,8.400455850795843227e-02,8.684968713986969402e-02
3.360672134426885727e+00,4.851444717345167468e-01,1.650087243145147986e-01,-2.298073738027696655e-01,8.364701358384490915e-02,8.565074510259317042e-02
3.380676135227045354e+00,4.868141799538304726e-01,1.656368900755948725e-01,-2.301436166064081135e-01,8.329063262698985226e-02,8.395363552595740131e-02
3.400680136027205425e+00,4.884767709652001466e-01,1.662617228955566295e-01,-2.304718643345689266e-01,8.293542185551996959e-02,7.993142109381957960e-02
3.420684136827365496e+00,4.901322681120000579e-01,1.668832369870695276e-01,-2.307921773198305382e-01,8.258138722024943590e-02,8.351265194910865997e-02
3.440688137627525567e+00,4.917806949118515569e-01,1.675014465083075887e-01,-2.311046154933230901e-01,8.222853435043089854e-02,8.326706696610107483e-02
3.460692138427685638e+00,4.934220751336214073e-01,1.681163655754498720e-01,-2.314092384313771456e-01,8.187686854098955025e-02,7.922254853968781207e-02
3.480696139227845709e+00,4.950564326162594786e-01,1.687280082570500883e-01,-2.317061053886536048e-01,8.152639479277881684e-02,8.465633032836508698e-02
3.500700140028005780e+00,4.966837912687986356e-01,1.693363885740366281e-01,-2.319952752981436217e-01,8.117711781724337716e-02,8.270077936386312223e-02
3.520704140828165851e+00,4.983041750703549044e-01,1.699415204997125617e-01,-2.322768067711687145e-01,8.082904204102828172e-02,7.492016894147958406e-02
3.540708141628325922e+00,4.999176080701271396e-01,1.705434179597555555e-01,-2.325507580973806276e-01,8.048217161053473900e-02,8.084801995954563059e-02
3.560712142428485993e+00,5.015241143873975238e-01,1.711420948322179836e-01,-2.328171872447614421e-01,8.013651039642256946e-02,7.634241641450194293e-02
3.580716143228646065e+00,5.031237182115311235e-01,1.717375649475268162e-01,-2.330761518596235482e-01,7.979206199805985444e-02,8.320100744283044636e-02
3.600720144028806136e+00,5.047164438019760002e-01,1.723298420884837034e-01,-2.333277092666096175e-01,7.944882974791953045e-02,8.186991362054728272e-02
3.620724144828965763e+00,5.063023154882635435e-01,1.729189399902649749e-01,-2.335719164686926586e-01,7.910681671592367792e-02,7.579604446573365295e-02
3.640728145629125834e+00,5.078813576700077492e-01,1.735048723404215565e-01,-2.338088301471759611e-01,7.876602571373553241e-02,7.611140761479286143e-02
3.660732146429285905e+00,5.094535948169062189e-01,1.740876527788790817e-01,-2.340385066616930965e-01,7.842645929899913493e-02,7.873201915323098377e-02
3.680736147229445976e+00,5.110190514687390495e-01,1.746672948979378082e-01,-2.342610020502079726e-01,7.808811977952768990e-02,7.737168732505221580e-02
3.700740148029606047e+00,5.125777522353698323e-01,1.752438122422726730e-01,-2.344763720290147513e-01,7.775100921743985372e-02,8.232661845795966049e-02
3.720744148829766118e+00,5.141297217967449873e-01,1.758172183089332097e-01,-2.346846719927379588e-01,7.741512943324499463e-02,7.963805088478252692e-02
3.740748149629926189e+00,5.156749848666732916e-01,1.763875265464386888e-01,-2.348859570212045167e-01,7.708048201721924564e-02,7.623320027540414490e-02
3.760752150430086260e+00,5.172135659624497173e-01,1.769547503436045000e-01,-2.350802818896396695e-01,7.674706838124675801e-02,7.847925618227594158e-02
3.780756151230246331e+00,5.187454897928287512e-01,1.775189030357627873e-01,-2.352677009734118752e-01,7.641488968491680356e-02,7.031805176537660185e-02
3.800760152030406402e+00,5.202707811140556693e-01,1.780799979100750885e-01,-2.354482683303048829e-01,7.608394686681388408e-02,7.701354092906445570e-02
