t,C,S_ads,theta_occ,dC_dt,dC_dt_noisy
1.166633326665333037e+00,9.051689806345699196e+01,5.226144976403901410e+00,1.644117766120993529e-03,-5.103827707977570327e+01,-5.118450545525824680e+01
1.176435287057411516e+00,9.001970188089387648e+01,5.512146816547398132e+00,1.830814898576116345e-03,-5.041165705770058025e+01,-5.080261128887899957e+01
1.186237247449489995e+00,8.952860064510979043e+01,5.795710144814298026e+00,2.026196218624474066e-03,-4.979463815035494179e+01,-4.992323427066438057e+01
1.196039207841568253e+00,8.904350082718514159e+01,6.076834839360360618e+00,2.230076181287051450e-03,-4.918709405747706143e+01,-4.918302296721788736e+01
1.205841168233646732e+00,8.856431016544065926e+01,6.355522513741954427e+00,2.442273377318385317e-03,-4.858890290927202216e+01,-4.872670436192170484e+01
1.215643128625725211e+00,8.809093761599403649e+01,6.631776413044895513e+00,2.662610427314992569e-03,-4.799994632768375880e+01,-4.735291442048465171e+01
1.225445089017803468e+00,8.762329321052847320e+01,6.905601287282841838e+00,2.890913877300306349e-03,-4.742010857345184149e+01,-4.691674641579894711e+01
1.235247049409881948e+00,8.716128813462431424e+01,7.177003466358239159e+00,3.127014268240006171e-03,-4.684927585405912964e+01,-4.820485709354211679e+01
1.245049009801960427e+00,8.670483467023056789e+01,7.445990541882233416e+00,3.370745786784164807e-03,-4.628733578027381412e+01,-4.723184240325765160e+01
1.254850970194038684e+00,8.625384619224834637e+01,7.712571356256780142e+00,3.621946253645965362e-03,-4.573417686232696866e+01,-4.582156290835455081e+01
1.264652930586117163e+00,8.580823716853093686e+01,7.976756002674663115e+00,3.880457123601722090e-03,-4.518968808919581903e+01,-4.540078329498399512e+01
1.274454890978195643e+00,8.536792315988385837e+01,8.238555825119462384e+00,4.146123485490842663e-03,-4.465375858472527426e+01,-4.454693708597596924e+01
1.284256851370273900e+00,8.493282082019041468e+01,8.497983269321212063e+00,4.418793924130070931e-03,-4.412627737868611888e+01,-4.401761641317483509e+01
1.294058811762352379e+00,8.450284788101100730e+01,8.755051685535280015e+00,4.698320408850518298e-03,-4.360713325109907856e+01,-4.254821387357355178e+01
1.303860772154430858e+00,8.407792316126317189e+01,9.009775514385207629e+00,4.984558441968433250e-03,-4.309621452658944918e+01,-4.365222490793559018e+01
1.313662732546509337e+00,8.365796658595417057e+01,9.262169910255950711e+00,5.277366637491133147e-03,-4.259340909316640733e+01,-4.278221159672990836e+01
1.323464692938587817e+00,8.324289918651798814e+01,9.512250727889609792e+00,5.576606707356893122e-03,-4.209860434498887827e+01,-4.107721854124271488e+01
1.333266653330666074e+00,8.283264310081536053e+01,9.760034522385431899e+00,5.882143461434938270e-03,-4.161168715528459927e+01,-4.128833565718367282e+01
1.343068613722744553e+00,8.242712157313368948e+01,1.000553854919982300e+01,6.193844807525467934e-03,-4.113254387858047068e+01,-4.080101219239234211e+01
1.352870574114823032e+00,8.202625895420253244e+01,1.024878076353212464e+01,6.511581750594530767e-03,-4.066106037784178540e+01,-4.091806356368551434e+01
1.362672534506901290e+00,8.162998071560295443e+01,1.048977952180479001e+01,6.835228061956719753e-03,-4.019712217440049784e+01,-4.102115975982832197e+01
1.372474494898979769e+00,8.123821346807956445e+01,1.072855367407198379e+01,7.164660507951154875e-03,-3.974061449110928379e+01,-3.965688211899791327e+01
1.382276455291058248e+00,8.085088494631224876e+01,1.096512255258006441e+01,7.499758729954840962e-03,-3.929142232677790503e+01,-3.923691528286713037e+01
1.392078415683136505e+00,8.046792400973073711e+01,1.119950573272062044e+01,7.840404914189512756e-03,-3.884943062118107093e+01,-3.946310664830335924e+01
1.401880376075214985e+00,8.008926064251456012e+01,1.143172303303049375e+01,8.186483791721651387e-03,-3.841452434943930427e+01,-3.875613768032958717e+01
1.411682336467293464e+00,7.971482595359313450e+01,1.166179451519173860e+01,8.537882638462442747e-03,-3.798658862055457774e+01,-3.802261046041819270e+01
1.421484296859371721e+00,7.934455217664572046e+01,1.188974048403164474e+01,8.894491275167799166e-03,-3.756550877826650492e+01,-3.803788458979689580e+01
1.431286257251450200e+00,7.897837267010140749e+01,1.211558148752275166e+01,9.256202067438384570e-03,-3.715117050265877907e+01,-3.720030548658488811e+01
1.441088217643528679e+00,7.861622191078323851e+01,1.233933828368506980e+01,9.622909867950189822e-03,-3.674345991932154476e+01,-3.669571840558681686e+01
1.450890178035607159e+00,7.825803546508171848e+01,1.256103154123057308e+01,9.994511581219927415e-03,-3.634226378374535926e+01,-3.632447066521761769e+01
1.460692138427685638e+00,7.790375006847762052e+01,1.278068213018972976e+01,1.037090673752775333e-02,-3.594746951530594004e+01,-3.620061534446309537e+01
1.470494098819763895e+00,7.755330354165047879e+01,1.299831093934961501e+01,1.075199701997270503e-02,-3.555896531458756016e+01,-3.526209127869464766e+01
1.480296059211842374e+00,7.720663477250840856e+01,1.321393880947866961e+01,1.113768613191313747e-02,-3.517664026576566272e+01,-3.473105678862449963e+01
1.490098019603920854e+00,7.686368371618819140e+01,1.342758653332666263e+01,1.152787979696665889e-02,-3.480038441980480712e+01,-3.463996026752152346e+01
1.499899979995999111e+00,7.652439139505523258e+01,1.363927485562471098e+01,1.192248575901016377e-02,-3.443008887253566286e+01,-3.483920398623081383e+01
1.509701940388077590e+00,7.618869989870354686e+01,1.384902447308529361e+01,1.232141378217985542e-02,-3.406564583744798824e+01,-3.369981969555527002e+01
1.519503900780156069e+00,7.585655238395584377e+01,1.405685603440222131e+01,1.272457565087119734e-02,-3.370694871311548724e+01,-3.395766872234901257e+01
1.529305861172234327e+00,7.552789307486341386e+01,1.426279014025064917e+01,1.313188516973893584e-02,-3.335389214523585366e+01,-3.291431183609186206e+01
1.539107821564312806e+00,7.520266717202413531e+01,1.446684722603736617e+01,1.354325783011310798e-02,-3.300637208474423545e+01,-3.354226579318295620e+01
1.548909781956391285e+00,7.488082091022720022e+01,1.466904754780815345e+01,1.395861093439404801e-02,-3.266428586570181380e+01,-3.220705226413742395e+01
1.558711742348469542e+00,7.456230158554340903e+01,1.486941127824648490e+01,1.437786374913503293e-02,-3.232753223144356269e+01,-3.233756395875130352e+01
1.568513702740548021e+00,7.424705743418184056e+01,1.506795840503168726e+01,1.480093711134341898e-02,-3.199601136032216075e+01,-3.262038580548937006e+01
1.578315663132626501e+00,7.393503763242244986e+01,1.526470873076845258e+01,1.522775342824825642e-02,-3.166962490190213586e+01,-3.182657463788556029e+01
1.588117623524704758e+00,7.362619229661595455e+01,1.545968187298683638e+01,1.565823667730031551e-02,-3.134827600845179063e+01,-3.132122486906601821e+01
1.597919583916783459e+00,7.332047248318387744e+01,1.565289726414229499e+01,1.609231240617212816e-02,-3.103186936196156154e+01,-3.089547369237933339e+01
1.607721544308861716e+00,7.301783018861856078e+01,1.584437415161561802e+01,1.652990773275788555e-02,-3.072031119692705303e+01,-3.121140525939754085e+01
1.617523504700940196e+00,7.271821834948313779e+01,1.603413159771300656e+01,1.697095134517356482e-02,-3.041350931913844491e+01,-3.096719584272103987e+01
1.627325465093018675e+00,7.242159084201408348e+01,1.622218847956682097e+01,1.741537350085152827e-02,-3.011137312059922877e+01,-3.001158085417568699e+01
1.637127425485096932e+00,7.212790233369059933e+01,1.640856344064836847e+01,1.786310568102526461e-02,-2.981381355012935686e+01,-3.004718835856925807e+01
1.646929385877175411e+00,7.183710839827443806e+01,1.659327488983248244e+01,1.831408083169534795e-02,-2.952074316509489194e+01,-2.940299035922977922e+01
1.656731346269253891e+00,7.154916552291744836e+01,1.677634103508517072e+01,1.876823339751407249e-02,-2.923207612919702214e+01,-2.885231636795783317e+01
1.666533306661332148e+00,7.126403097866960934e+01,1.695777986034543261e+01,1.922549903240688279e-02,-2.894772817395245923e+01,-2.977212185712793513e+01
1.676335267053410627e+00,7.098166282047890263e+01,1.713760912552529447e+01,1.968581459957241542e-02,-2.866761659915822236e+01,-2.854042254089941366e+01
1.686137227445489106e+00,7.070201988719139763e+01,1.731584636650976350e+01,2.014911817148242953e-02,-2.839166027091383171e+01,-2.777933678714596510e+01
1.695939187837567363e+00,7.042506180155125151e+01,1.749250889515685259e+01,2.061534902988185203e-02,-2.811977961740287668e+01,-2.826854303958811343e+01
1.705741148229645843e+00,7.015074897020066658e+01,1.766761379929759812e+01,2.108444766578877749e-02,-2.785189662262679633e+01,-2.825730391424558263e+01
1.715543108621724322e+00,6.987904258367989030e+01,1.784117794273601376e+01,2.155635577949444742e-02,-2.758793481827363792e+01,-2.721181290468384262e+01
1.725345069013802579e+00,6.960990461642727212e+01,1.801321796524912244e+01,2.203101628056325367e-02,-2.732781927389453358e+01,-2.720109601579046199e+01
1.735147029405881280e+00,6.934329776247375321e+01,1.818375028527851001e+01,2.250837317129010182e-02,-2.707147656183530415e+01,-2.662353502644652536e+01
1.744948989797959538e+00,6.907918531873426105e+01,1.835279109164882172e+01,2.298837133304167460e-02,-2.681883470564745764e+01,-2.699144256067309655e+01
1.754750950190037795e+00,6.881753143297206066e+01,1.852035633341143139e+01,2.347095697387472507e-02,-2.656982325793599387e+01,-2.731073239479709969e+01
1.764552910582116496e+00,6.855830089964352680e+01,1.868646174403203020e+01,2.395607725986076061e-02,-2.632437320606285169e+01,-2.637937858841847572e+01
1.774354870974194753e+00,6.830145914309548516e+01,1.885112284266812566e+01,2.444368028469828466e-02,-2.608241695079505007e+01,-2.630533102730066730e+01
1.784156831366273233e+00,6.804697221756511283e+01,1.901435493416908074e+01,2.493371506971293894e-02,-2.584388829043819058e+01,-2.545622637941440303e+01
1.793958791758351712e+00,6.779480680718000940e+01,1.917617310907606765e+01,2.542613156385737858e-02,-2.560872240418683532e+01,-2.551190597999825727e+01
1.803760752150429969e+00,6.754493022595818275e+01,1.933659224362209983e+01,2.592088064371132761e-02,-2.537685583479368390e+01,-2.619228045101123570e+01
1.813562712542508448e+00,6.729731041780802059e+01,1.949562699973202839e+01,2.641791411348159632e-02,-2.514822647065212990e+01,-2.574580801070372971e+01
1.823364672934586928e+00,6.705191595652834735e+01,1.965329182502252436e+01,2.691718470500202576e-02,-2.492277352737970730e+01,-2.448087900908608106e+01
1.833166633326665185e+00,6.680871604580833889e+01,1.980960095280209643e+01,2.741864607773351892e-02,-2.470043752898306266e+01,-2.436055502027413766e+01
1.842968593718743664e+00,6.656768044853548361e+01,1.996456841625850487e+01,2.792225270760858788e-02,-2.448116026081936525e+01,-2.480128194377360984e+01
1.852770554110822143e+00,6.632877938502541326e+01,2.011820806154336339e+01,2.842795973172150895e-02,-2.426488471255513701e+01,-2.426540911083877816e+01
1.862572514502900400e+00,6.609198378032294841e+01,2.027053349875836830e+01,2.893572333577174721e-02,-2.405155515627993168e+01,-2.382876837939183901e+01
1.872374474894979102e+00,6.585726506645139011e+01,2.042155814979999562e+01,2.944550043723919916e-02,-2.384111704699276046e+01,-2.360691487906912300e+01
1.882176435287057359e+00,6.562459516894544720e+01,2.057129525131193049e+01,2.995724866403524575e-02,-2.363351699829001973e+01,-2.319539590023284603e+01
1.891978395679135616e+00,6.539394650685122201e+01,2.071975785468510978e+01,3.047092635450290160e-02,-2.342870276335465007e+01,-2.330045994974386758e+01
1.901780356071214317e+00,6.516529199272613937e+01,2.086695882605770791e+01,3.098649255741674560e-02,-2.322662321589993439e+01,-2.327403738538418310e+01
1.911582316463292575e+00,6.493860503263907447e+01,2.101291084631510842e+01,3.150390703198285847e-02,-2.302722833110817646e+01,-2.315665236350210066e+01
1.921384276855371054e+00,6.471385952617022497e+01,2.115762641108995723e+01,3.202313024783894763e-02,-2.283046916660083170e+01,-2.230259776633420543e+01
1.931186237247449533e+00,6.449102986641121049e+01,2.130111783076211651e+01,3.254412338505426050e-02,-2.263629784347336127e+01,-2.376172498101263031e+01
1.940988197639527790e+00,6.427009093996498734e+01,2.144339723045867885e+01,3.306684833412958102e-02,-2.244466752742452798e+01,-2.251399518997019555e+01
1.950790158031606270e+00,6.405101812646938697e+01,2.158447655019402234e+01,3.359126769530281637e-02,-2.225553240981686187e+01,-2.223903235782483279e+01
1.960592118423684749e+00,6.383378714359281503e+01,2.172436758863924311e+01,3.411734455589164605e-02,-2.206884762776396158e+01,-2.278152210819905576e+01
1.970394078815763006e+00,6.361837417390555771e+01,2.186308196130634229e+01,3.464504268317203373e-02,-2.188456929818845964e+01,-2.171816249161943801e+01
1.980196039207841485e+00,6.340475590398499151e+01,2.200063109403494011e+01,3.517432657181351896e-02,-2.170265451404346990e+01,-2.202829502026516550e+01
1.989997999599919964e+00,6.319290940045650729e+01,2.213702626083101066e+01,3.570516126058315837e-02,-2.152306127702774319e+01,-2.109183887886986852e+01
1.999799959991998222e+00,6.298281210999346058e+01,2.227227858386689618e+01,3.623751233234551172e-02,-2.134574848054895568e+01,-2.140854452256611751e+01
2.009601920384076479e+00,6.277444185931717868e+01,2.240639903348131412e+01,3.677134591406271830e-02,-2.117067589289041507e+01,-2.083609927249568727e+01
2.019403880776155180e+00,6.256777685519694643e+01,2.253939842817935002e+01,3.730662867679444133e-02,-2.099780414059335953e+01,-2.038838233800774802e+01
2.029205841168233881e+00,6.236279568445006305e+01,2.267128743463245044e+01,3.784332783569781949e-02,-2.082709469206524489e+01,-2.063562990070850844e+01
2.039007801560312139e+00,6.215947731394179243e+01,2.280207656767842295e+01,3.838141115002753623e-02,-2.065850984142323910e+01,-2.109637041313466099e+01
2.048809761952390396e+00,6.195780109058536311e+01,2.293177619032146097e+01,3.892084692313583366e-02,-2.049201269258059810e+01,-2.124917200843291809e+01
2.058611722344468653e+00,6.175774674134197539e+01,2.306039651373211186e+01,3.946160400247248484e-02,-2.032756714358260197e+01,-1.945087508482441407e+01
2.068413682736546910e+00,6.155929437322082975e+01,2.318794759724729460e+01,4.000365177958475904e-02,-2.016513787119737700e+01,-2.022078396779113518e+01
2.078215643128625612e+00,6.136242441576268192e+01,2.331443936770865122e+01,4.054696011105246578e-02,-2.000469029331727810e+01,-2.034897276713443759e+01
2.088017603520704313e+00,6.116711753240870308e+01,2.343988164650900075e+01,4.109149920552822993e-02,-1.984619052055457900e+01,-1.977406197652416608e+01
2.097819563912782570e+00,6.097335485062072991e+01,2.356428407229269695e+01,4.163723993959996678e-02,-1.968960543175142419e+01,-1.978531109699274992e+01
2.107621524304860827e+00,6.078111779976271123e+01,2.368765615857221007e+01,4.218415362475441688e-02,-1.953490259576682320e+01,-1.910883146366047924e+01
2.117423484696939084e+00,6.059038809851433172e+01,2.381000729806427785e+01,4.273221198973531365e-02,-1.938205025302257667e+01,-1.936508616180402598e+01
2.127225445089017786e+00,6.040114775487099052e+01,2.393134676268994809e+01,4.328138718054337641e-02,-1.923101730224878736e+01,-1.922414251043957734e+01
2.137027405481096043e+00,6.021337906614385105e+01,2.405168370357452545e+01,4.383165176043624794e-02,-1.908177328747838075e+01,-1.943906314799486168e+01
2.146829365873174744e+00,6.002706461895976986e+01,2.417102715104762822e+01,4.438297870992864713e-02,-1.893428838529019487e+01,-1.869950433591644767e+01
2.156631326265253001e+00,5.984218728926136777e+01,2.428938601464314573e+01,4.493534142679217469e-02,-1.878853339230052200e+01,-1.930546675347801155e+01
2.166433286657331259e+00,5.965873024230696586e+01,2.440676908309927029e+01,4.548871372605550051e-02,-1.864447971290197614e+01,-1.831153499301999332e+01
2.176235247049409516e+00,5.947667693267062816e+01,2.452318502435847591e+01,4.604306984000424569e-02,-1.850209934724855287e+01,-1.774013059075348764e+01
2.186037207441488217e+00,5.929601110424214028e+01,2.463864238556752539e+01,4.659838441818105192e-02,-1.836136487948513007e+01,-1.912370789853470754e+01
2.195839167833566918e+00,5.911671679022703074e+01,2.475314959307746321e+01,4.715463252738549133e-02,-1.822224946621950892e+01,-1.945536408189516919e+01
2.205641128225645176e+00,5.893877828566213850e+01,2.486671496254190217e+01,4.771178961468756224e-02,-1.808472681479464228e+01,-1.777628743721748350e+01
2.215443088617723433e+00,5.876218002510497485e+01,2.497934674225146523e+01,4.826983135035673583e-02,-1.794877112638925354e+01,-1.667482221864769087e+01
2.225245049009801690e+00,5.858690681053997906e+01,2.509105302865534526e+01,4.882873393795954947e-02,-1.781435717224245607e+01,-1.831481959667840442e+01
2.235047009401880391e+00,5.841294368952333116e+01,2.520184181356458097e+01,4.938847393890286042e-02,-1.768146023627553376e+01,-1.830680811567652810e+01
2.244848969793958648e+00,5.824027592824977972e+01,2.531172099422948563e+01,4.994902823533373115e-02,-1.755005609484454254e+01,-1.725557162795430699e+01
2.254650930186037350e+00,5.806888901155254246e+01,2.542069837333966831e+01,5.051037403013963756e-02,-1.742012100700230803e+01,-1.784048180203146217e+01
2.264452890578115607e+00,5.789876864290339142e+01,2.552878165902400909e+01,5.107248884694825380e-02,-1.729163170496955360e+01,-1.754464444693792302e+01
2.274254850970193864e+00,5.772990074441262465e+01,2.563597846485068388e+01,5.163535053012760501e-02,-1.716456538481201477e+01,-1.733862411815390203e+01
2.284056811362272121e+00,5.756227145682904478e+01,2.574229630982714667e+01,5.219893724478601171e-02,-1.703889969732035325e+01,-1.677289865417445469e+01
2.293858771754350823e+00,5.739586713953998753e+01,2.584774261840014020e+01,5.276322747677211766e-02,-1.691461273908988261e+01,-1.711726391978644202e+01
2.303660732146429524e+00,5.723067437057132167e+01,2.595232472045568528e+01,5.332820003267479264e-02,-1.679168304379673771e+01,-1.665274162375665767e+01
2.313462692538507781e+00,5.706667994658743481e+01,2.605604985131908080e+01,5.389383403982322962e-02,-1.667008957366719102e+01,-1.675835620311397989e+01
2.323264652930586038e+00,5.690387088289123341e+01,2.615892515175492150e+01,5.446010894628695864e-02,-1.654981171113676908e+01,-1.697214726296257226e+01
2.333066613322664296e+00,5.674223441342414986e+01,2.626095766796708375e+01,5.502700452087577743e-02,-1.643082925069584022e+01,-1.659074237956745179e+01
2.342868573714742553e+00,5.658175796868601282e+01,2.636215436013122115e+01,5.559450082364093132e-02,-1.631312238280222360e+01,-1.678832221538618441e+01
2.352670534106821254e+00,5.642242906829809357e+01,2.646252214267473235e+01,5.616257806961077320e-02,-1.619667164703372464e+01,-1.619341415409884988e+01
2.362472494498899955e+00,5.626423552203850420e+01,2.656206780594063943e+01,5.673121690116424143e-02,-1.608145799871685355e+01,-1.664339111249967118e+01
2.372274454890978213e+00,5.610716532918969790e+01,2.666079805700319127e+01,5.730039824225655054e-02,-1.596746276408823206e+01,-1.651390994873585427e+01
2.382076415283056470e+00,5.595120665357619316e+01,2.675871952946755528e+01,5.787010326416718031e-02,-1.585466762406122498e+01,-1.512618671640859702e+01
2.391878375675134727e+00,5.579634782356459510e+01,2.685583878346982445e+01,5.844031338549981330e-02,-1.574305460737721774e+01,-1.576964671752988778e+01
2.401680336067213428e+00,5.564257733206359546e+01,2.695216230567701032e+01,5.901101027218235567e-02,-1.563260608391059137e+01,-1.565955709664661200e+01
2.411482296459291685e+00,5.548988383652397971e+01,2.704769650928702873e+01,5.958217583746687473e-02,-1.552330475812435040e+01,-1.526753654816554118e+01
2.421284256851370387e+00,5.533825615893861283e+01,2.714244773402874955e+01,6.015379224192973773e-02,-1.541513366267324514e+01,-1.562556216394768072e+01
2.431086217243448644e+00,5.518768328584244642e+01,2.723642224616192564e+01,6.072584189347143835e-02,-1.530807615215155693e+01,-1.542234383589063640e+01
2.440888177635526901e+00,5.503815436831252583e+01,2.732962623847725325e+01,6.129830744731676329e-02,-1.520211589698227428e+01,-1.498954152931631967e+01
2.450690138027605158e+00,5.488965872196796880e+01,2.742206583029634714e+01,6.187117180601468119e-02,-1.509723687744489240e+01,-1.495602895632269203e+01
2.460492098419683860e+00,5.474218582696997260e+01,2.751374706747174059e+01,6.244441811943841902e-02,-1.499342337783878421e+01,-1.557307174130499838e+01
2.470294058811762561e+00,5.459572532802184242e+01,2.760467592238688184e+01,6.301802978478535100e-02,-1.489065998077925812e+01,-1.447398868244442660e+01
2.480096019203840818e+00,5.445026703436897009e+01,2.769485829395614118e+01,6.359199044657708189e-02,-1.478893156162340716e+01,-1.508414903326792889e+01
2.489897979595919075e+00,5.430580089124556764e+01,2.778430001900459700e+01,6.416628395845866417e-02,-1.468822327288494733e+01,-1.521626274804204115e+01
2.499699939987997332e+00,5.416231690764466578e+01,2.787300689984423130e+01,6.474089429458171341e-02,-1.458852051364130631e+01,-1.503875804864083143e+01
2.509501900380075590e+00,5.401980532673394464e+01,2.796098463609935081e+01,6.531580577928690345e-02,-1.448980898501184811e+01,-1.468508165718951020e+01
2.519303860772154291e+00,5.387825652829667433e+01,2.804823886514719078e+01,6.589100294625359344e-02,-1.439207465013745235e+01,-1.357842452282591950e+01
2.529105821164232992e+00,5.373766101573133369e+01,2.813477516737899009e+01,6.646647052057778893e-02,-1.429530372474723521e+01,-1.488307167720762614e+01
2.538907781556311249e+00,5.359800941605158897e+01,2.822059906620001968e+01,6.704219341877216964e-02,-1.419948267247279894e+01,-1.411944472620562863e+01
2.548709741948389507e+00,5.345929247988630806e+01,2.830571602802956477e+01,6.761815674876617277e-02,-1.410459820026790467e+01,-1.517351037931319269e+01
2.558511702340467764e+00,5.332150108147953915e+01,2.839013146230093909e+01,6.819434580990593742e-02,-1.401063725393117032e+01,-1.401142072050376797e+01
2.568313662732546465e+00,5.318462621869054630e+01,2.847385072146147422e+01,6.877074609295426300e-02,-1.391758701372941687e+01,-1.346780380499141394e+01
2.578115623124624722e+00,5.304865901299379516e+01,2.855687910097251958e+01,6.934734328009063697e-02,-1.382543489011947813e+01,-1.394376655115020647e+01
2.587917583516703424e+00,5.291359070947891752e+01,2.863922183930944954e+01,6.992412324491127651e-02,-1.373416851956621265e+01,-1.404884598150788300e+01
2.597719543908781681e+00,5.277941267685076809e+01,2.872088411796165630e+01,7.050107205242904518e-02,-1.364377576045451335e+01,-1.352802022842524465e+01
2.607521504300859938e+00,5.264611640742940324e+01,2.880187106143255349e+01,7.107817595907355013e-02,-1.355424468909325597e+01,-1.320416881351793137e+01
2.617323464692938195e+00,5.251369351715005251e+01,2.888218773723957966e+01,7.165542141269108656e-02,-1.346556359580892526e+01,-1.313373481030022205e+01
2.627125425085016897e+00,5.238213574556314711e+01,2.896183915591419478e+01,7.223279505254465160e-02,-1.337772098112706587e+01,-1.239148405416217003e+01
2.636927385477095598e+00,5.225143495583433406e+01,2.904083027100186953e+01,7.281028370931390270e-02,-1.329070555203938575e+01,-1.318612181587124788e+01
2.646729345869173855e+00,5.212158308942402840e+01,2.911916599749131151e+01,7.338787434406522647e-02,-1.320450620280537279e+01,-1.350071125268183891e+01
2.656531306261252112e+00,5.199257215634145979e+01,2.919685121438851994e+01,7.396555404479314422e-02,-1.311911200841195502e+01,-1.318210160340527715e+01
2.666333266653330369e+00,5.186439434630510448e+01,2.927389071990068814e+01,7.454331017341182808e-02,-1.303451225920131229e+01,-1.307076153201121826e+01
2.676135227045409071e+00,5.173704194417108226e+01,2.935028926699660445e+01,7.512113024372107928e-02,-1.295069642825605882e+01,-1.289632773651699971e+01
2.685937187437487328e+00,5.161050732767567695e+01,2.942605156433932123e+01,7.569900191826380020e-02,-1.286765416739793366e+01,-1.288266807401265091e+01
2.695739147829566029e+00,5.148478296743530791e+01,2.950118227628619749e+01,7.627691300832625809e-02,-1.278537530403583489e+01,-1.269839233458773364e+01
2.705541108221644286e+00,5.135986142694657985e+01,2.957568602288885629e+01,7.685485147393775196e-02,-1.270384983808322232e+01,-1.353927486839077865e+01
2.715343068613722544e+00,5.123573536258623307e+01,2.964956737989322022e+01,7.743280542387089016e-02,-1.262306793894325807e+01,-1.220825346092323649e+01
2.725145029005800801e+00,5.111239752361117183e+01,2.972283087873949370e+01,7.801076311564145160e-02,-1.254301994256016783e+01,-1.283038957702068394e+01
2.734946989397879502e+00,5.098984075215845735e+01,2.979548100656216647e+01,7.858871295550842739e-02,-1.246369634853530250e+01,-1.305027569675881516e+01
2.744748949789958203e+00,5.086805798324530059e+01,2.986752220619001008e+01,7.916664349847396531e-02,-1.238508781730638830e+01,-1.206621223748567040e+01
2.754550910182036461e+00,5.074704224476909786e+01,2.993895887614607076e+01,7.974454344828342534e-02,-1.230718516738853552e+01,-1.164852216369549431e+01
2.764352870574114718e+00,5.062678665750736684e+01,3.000979537064770142e+01,8.032240165742539351e-02,-1.222997937267546220e+01,-1.198346529792574167e+01
2.774154830966192975e+00,5.050728443511780341e+01,3.008003599960652608e+01,8.090020712713162643e-02,-1.215346155979981546e+01,-1.207288190287705554e+01
2.783956791358271232e+00,5.038852888413824616e+01,3.014968502862845412e+01,8.147794900737712065e-02,-1.207762300555087442e+01,-1.254373315823685076e+01
2.793758751750349933e+00,5.027051340398669765e+01,3.021874667901368738e+01,8.205561659688004328e-02,-1.200245513434861344e+01,-1.056667146544186409e+01
2.803560712142428635e+00,5.015323148600308656e+01,3.028722512815866708e+01,8.263319934175175629e-02,-1.192794951545296733e+01,-1.148782020512221358e+01
2.813362672534506892e+00,5.003667664499498358e+01,3.035512453774919095e+01,8.321068674272329158e-02,-1.185409783782422011e+01,-1.242374517299570869e+01
2.823164632926585149e+00,4.992084250073998675e+01,3.042244901848842886e+01,8.378806847755548848e-02,-1.178089193520015421e+01,-1.217071089332002565e+01
2.832966593318663406e+00,4.980572278547077758e+01,3.048920262829017247e+01,8.436533440221255509e-02,-1.170832378604893620e+01,-1.166483416176298427e+01
