t,V_C,dielectric_absorption_voltage,secondary_dielectric_absorption_voltage,resistor_temperature_rise,dV_C_dt
1.500300060012002676e-04,1.181834877039337250e+01,1.199729460507397683e+01,1.199931855780360657e+01,2.127789706090846159e-04,-1.201077232905123537e+03
1.600320064012802782e-04,1.180634201457909072e+01,1.199692499884422503e+01,1.199922507519543480e+01,2.267346790492102005e-04,-1.199793890110236134e+03
1.700340068013602888e-04,1.179434808712412064e+01,1.199653214938122758e+01,1.199912563944167410e+01,2.406620309121954048e-04,-1.198512080707712357e+03
1.800360072014402994e-04,1.178236697270333622e+01,1.199611612873699507e+01,1.199902025992825472e+01,2.545610852736921782e-04,-1.197231802408076419e+03
1.900380076015203371e-04,1.177039865601389224e+01,1.199567700879519094e+01,1.199890894602900637e+01,2.684319010840883319e-04,-1.195953052926732880e+03
2.000400080016003477e-04,1.175844312177523321e+01,1.199521486127112091e+01,1.199879170710566179e+01,2.822745371685081895e-04,-1.194675829983957328e+03
2.100420084016803583e-04,1.174650035472908627e+01,1.199472975771173999e+01,1.199866855250785669e+01,2.960890522268121530e-04,-1.193400131304881597e+03
2.200440088017603961e-04,1.173457033963945939e+01,1.199422176949564545e+01,1.199853949157312094e+01,3.098755048335968387e-04,-1.192125954619480126e+03
2.300460092018404067e-04,1.172265306129264850e+01,1.199369096783308741e+01,1.199840453362688919e+01,3.236339534381951310e-04,-1.190853297662558816e+03
2.400480096019204173e-04,1.171074850449723037e+01,1.199313742376595826e+01,1.199826368798250087e+01,3.373644563646763998e-04,-1.189582158173740709e+03
2.500500100020004550e-04,1.169885665408406794e+01,1.199256120816779969e+01,1.199811696394118776e+01,3.510670718118455240e-04,-1.188312533897455296e+03
2.600520104020804385e-04,1.168697749490631033e+01,1.199196239174379741e+01,1.199796437079209177e+01,3.647418578532444101e-04,-1.187044422582925790e+03
2.700540108021604762e-04,1.167511101183938571e+01,1.199134104503078468e+01,1.199780591781224892e+01,3.783888724371507447e-04,-1.185777821984153434e+03
2.800560112022405139e-04,1.166325718978101023e+01,1.199069723839724233e+01,1.199764161426660003e+01,3.920081733865784829e-04,-1.184512729859909541e+03
2.900580116023204974e-04,1.165141601365118262e+01,1.199003104204329873e+01,1.199747146940798359e+01,4.055998183992778482e-04,-1.183249143973722767e+03
3.000600120024005352e-04,1.163958746839218428e+01,1.198934252600072625e+01,1.199729549247714111e+01,4.191638650477353322e-04,-1.181987062093863869e+03
3.100620124024805187e-04,1.162777153896858628e+01,1.198863176013294662e+01,1.199711369270271533e+01,4.327003707791734783e-04,-1.180726481993339348e+03
3.200640128025605564e-04,1.161596821036723526e+01,1.198789881413502378e+01,1.199692607930125199e+01,4.462093929155514773e-04,-1.179467401449873705e+03
3.300660132026405941e-04,1.160417746759727109e+01,1.198714375753367456e+01,1.199673266147719097e+01,4.596909886535641924e-04,-1.178209818245903080e+03
3.400680136027205776e-04,1.159239929569010918e+01,1.198636665968725801e+01,1.199653344842287872e+01,4.731452150646429174e-04,-1.176953730168560242e+03
3.500700140028006153e-04,1.158063367969945645e+01,1.198556758978578252e+01,1.199632844931856290e+01,4.865721290949553773e-04,-1.175699135009664815e+03
3.600720144028805988e-04,1.156888060470129886e+01,1.198474661685089870e+01,1.199611767333238888e+01,4.999717875654053484e-04,-1.174446030565712817e+03
3.700740148029606365e-04,1.155714005579390857e+01,1.198390380973591007e+01,1.199590112962040322e+01,5.133442471716327671e-04,-1.173194414637861883e+03
3.800760152030406742e-04,1.154541201809784212e+01,1.198303923712576236e+01,1.199567882732655733e+01,5.266895644840136753e-04,-1.171944285031925574e+03
3.900780156031206578e-04,1.153369647675593690e+01,1.198215296753704884e+01,1.199545077558270023e+01,5.400077959476609797e-04,-1.170695639558358152e+03
4.000800160032006955e-04,1.152199341693332180e+01,1.198124506931801037e+01,1.199521698350858223e+01,5.532989978824230963e-04,-1.169448476032245935e+03
4.100820164032807332e-04,1.151030282381740122e+01,1.198031561064853179e+01,1.199497746021185485e+01,5.665632264828849261e-04,-1.168202792273295017e+03
4.200840168033607167e-04,1.149862468261786752e+01,1.197936465954015084e+01,1.199473221478806906e+01,5.798005378183673135e-04,-1.166958586105821951e+03
4.300860172034407544e-04,1.148695897856669923e+01,1.197839228383604393e+01,1.199448125632068241e+01,5.930109878329281299e-04,-1.165715855358744193e+03
4.400880176035207921e-04,1.147530569691815572e+01,1.197739855121104036e+01,1.199422459388104478e+01,6.061946323453605394e-04,-1.164474597865565329e+03
4.500900180036007756e-04,1.146366482294878253e+01,1.197638352917161342e+01,1.199396223652841442e+01,6.193515270491945163e-04,-1.163234811464369841e+03
4.600920184036808133e-04,1.145203634195740783e+01,1.197534728505588220e+01,1.199369419330994724e+01,6.324817275126960866e-04,-1.161996493997811285e+03
4.700940188037607968e-04,1.144042023926514418e+01,1.197428988603361510e+01,1.199342047326070038e+01,6.455852891788674362e-04,-1.160759643313099559e+03
4.800960192038408346e-04,1.142881650021538675e+01,1.197321139910622279e+01,1.199314108540363044e+01,6.586622673654471275e-04,-1.159524257261993625e+03
4.900980196039208181e-04,1.141722511017382047e+01,1.197211189110677054e+01,1.199285603874959705e+01,6.717127172649095578e-04,-1.158290333700791507e+03
5.001000200040009100e-04,1.140564605452840929e+01,1.197099142869996058e+01,1.199256534229736282e+01,6.847366939444659347e-04,-1.157057870490319829e+03
5.101020204040808935e-04,1.139407931868939983e+01,1.196985007838214798e+01,1.199226900503358628e+01,6.977342523460634089e-04,-1.155826865495922902e+03
5.201040208041608770e-04,1.138252488808932839e+01,1.196868790648133363e+01,1.199196703593282898e+01,7.107054472863847490e-04,-1.154597316587454770e+03
5.301060212042409689e-04,1.137098274816638543e+01,1.196750497928396584e+01,1.199165944396367500e+01,7.236503335634256314e-04,-1.153369221637236933e+03
5.401080216043209524e-04,1.135945288432501954e+01,1.196630136330247218e+01,1.199134623810236988e+01,7.365689662190576161e-04,-1.152142578515304194e+03
5.501100220044009359e-04,1.134793528205887903e+01,1.196507712432686432e+01,1.199102742728726056e+01,7.494613997539874934e-04,-1.150917385104437926e+03
5.601120224044810279e-04,1.133642992689080486e+01,1.196383232792516438e+01,1.199070302044200709e+01,7.623276884997859729e-04,-1.149693639292735497e+03
5.701140228045610114e-04,1.132493680436364336e+01,1.196256703951589984e+01,1.199037302647903402e+01,7.751678866770542620e-04,-1.148471338972475905e+03
5.801160232046409949e-04,1.131345590004024437e+01,1.196128132436809466e+01,1.199003745429951984e+01,7.879820483954251510e-04,-1.147250482040108636e+03
5.901180236047209784e-04,1.130198719950345954e+01,1.195997524760127284e+01,1.198969631279340753e+01,8.007702276535625784e-04,-1.146031066396245251e+03
6.001200240048010703e-04,1.129053068835614759e+01,1.195864887418545841e+01,1.198934961083939754e+01,8.135324783391614150e-04,-1.144813089945651200e+03
6.101220244048810538e-04,1.127908635222117084e+01,1.195730226894117365e+01,1.198899735730495131e+01,8.262688542289475715e-04,-1.143596550597235364e+03
6.201240248049610373e-04,1.126765417674139158e+01,1.195593549653944088e+01,1.198863956104628770e+01,8.389794089886783244e-04,-1.142381446264043461e+03
6.301260252050411292e-04,1.125623414757968277e+01,1.195454862150178066e+01,1.198827623090838834e+01,8.516641961731420988e-04,-1.141167774863247814e+03
6.401280256051211127e-04,1.124482625041891382e+01,1.195314170820021715e+01,1.198790737572499232e+01,8.643232692261581434e-04,-1.139955534316137800e+03
6.501300260052010963e-04,1.123343047096196301e+01,1.195171482085726922e+01,1.198753300431860147e+01,8.769566814805771805e-04,-1.138744722548113714e+03
6.601320264052811882e-04,1.122204679493171398e+01,1.195026802354595574e+01,1.198715312550047329e+01,8.895644861582810816e-04,-1.137535337488677442e+03
6.701340268053611717e-04,1.121067520807104856e+01,1.194880138018979743e+01,1.198676774807062806e+01,9.021467363701823243e-04,-1.136327377071422688e+03
6.801360272054411552e-04,1.119931569614285927e+01,1.194731495456281500e+01,1.198637688081784525e+01,9.147034851162250775e-04,-1.135120839234027926e+03
6.901380276055212471e-04,1.118796824493003506e+01,1.194580881028952213e+01,1.198598053251966356e+01,9.272347852853845499e-04,-1.133915721918247300e+03
7.001400280056012306e-04,1.117663284023547732e+01,1.194428301084493960e+01,1.198557871194238089e+01,9.397406896556667740e-04,-1.132712023069904035e+03
7.101420284056812141e-04,1.116530946788208389e+01,1.194273761955458468e+01,1.198517142784105793e+01,9.522212508941091478e-04,-1.131509740638880430e+03
7.201440288057611976e-04,1.115399811371275973e+01,1.194117269959447292e+01,1.198475868895950924e+01,9.646765215567803262e-04,-1.130308872579111039e+03
7.301460292058412896e-04,1.114269876359041689e+01,1.193958831399111986e+01,1.198434050403031748e+01,9.771065540887797878e-04,-1.129109416848572891e+03
7.401480296059212731e-04,1.113141140339796564e+01,1.193798452562154111e+01,1.198391688177481740e+01,9.895114008242385933e-04,-1.127911371409280491e+03
7.501500300060012566e-04,1.112013601903832338e+01,1.193636139721325229e+01,1.198348783090310654e+01,1.001891113986317977e-03,-1.126714734227274448e+03
7.601520304060813485e-04,1.110887259643441283e+01,1.193471899134426728e+01,1.198305336011404343e+01,1.014245745687211622e-03,-1.125519503272616930e+03
7.701540308061613320e-04,1.109762112152915670e+01,1.193305737044310000e+01,1.198261347809524580e+01,1.026575347928143384e-03,-1.124325676519381204e+03
7.801560312062413155e-04,1.108638158028548482e+01,1.193137659678876261e+01,1.198216819352308882e+01,1.038879972599368595e-03,-1.123133251945645725e+03
7.901580316063214074e-04,1.107515395868633057e+01,1.192967673251076732e+01,1.198171751506270866e+01,1.051159671480173625e-03,-1.121942227533486403e+03
8.001600320064013909e-04,1.106393824273462911e+01,1.192795783958912637e+01,1.198126145136800602e+01,1.063414496238875885e-03,-1.120752601268966600e+03
8.101620324064813744e-04,1.105273441845332272e+01,1.192621997985435200e+01,1.198080001108163195e+01,1.075644498432824260e-03,-1.119564371142132359e+03
8.201640328065614664e-04,1.104154247188535543e+01,1.192446321498745476e+01,1.198033320283500558e+01,1.087849729508398675e-03,-1.118377535147005801e+03
8.301660332066414499e-04,1.103036238909367839e+01,1.192268760651994519e+01,1.197986103524830348e+01,1.100030240801009446e-03,-1.117192091281573084e+03
8.401680336067214334e-04,1.101919415616123921e+01,1.192089321583383033e+01,1.197938351693045789e+01,1.112186083535099228e-03,-1.116008037547781441e+03
8.501700340068015253e-04,1.100803775919099969e+01,1.191908010416162078e+01,1.197890065647916735e+01,1.124317308824141284e-03,-1.114825371951530542e+03
8.601720344068815088e-04,1.099689318430591811e+01,1.191724833258632543e+01,1.197841246248088432e+01,1.136423967670639485e-03,-1.113644092502664307e+03
8.701740348069614923e-04,1.098576041764895983e+01,1.191539796204145318e+01,1.197791894351082753e+01,1.148506110966129390e-03,-1.112464197214964770e+03
8.801760352070415842e-04,1.097463944538309377e+01,1.191352905331100764e+01,1.197742010813296787e+01,1.160563789491178034e-03,-1.111285684106144572e+03
8.901780356071215677e-04,1.096353025369129064e+01,1.191164166702949956e+01,1.197691596490004073e+01,1.172597053915382407e-03,-1.110108551197840370e+03
9.001800360072015512e-04,1.095243282877653002e+01,1.190973586368193082e+01,1.197640652235354075e+01,1.184605954797371841e-03,-1.108932796515603968e+03
9.101820364072815348e-04,1.094134715686178971e+01,1.190781170360381047e+01,1.197589178902372176e+01,1.196590542584806058e-03,-1.107758418088897997e+03
9.201840368073616267e-04,1.093027322419005642e+01,1.190586924698114402e+01,1.197537177342959858e+01,1.208550867614376686e-03,-1.106585413951087730e+03
9.301860372074416102e-04,1.091921101702431862e+01,1.190390855385043167e+01,1.197484648407894525e+01,1.220486980111805311e-03,-1.105413782139433806e+03
9.401880376075215937e-04,1.090816052164756655e+01,1.190192968409868080e+01,1.197431592946829149e+01,1.232398930191845425e-03,-1.104243520695084726e+03
9.501900380076016856e-04,1.089712172436279936e+01,1.189993269746339344e+01,1.197378011808293508e+01,1.244286767858281996e-03,-1.103074627663072533e+03
9.601920384076816691e-04,1.088609461149301438e+01,1.189791765353257169e+01,1.197323905839692593e+01,1.256150543003929946e-03,-1.101907101092303492e+03
9.701940388077616526e-04,1.087507916938121966e+01,1.189588461174471767e+01,1.197269275887307671e+01,1.267990305410636540e-03,-1.100740939035554220e+03
9.801960392078416361e-04,1.086407538439042142e+01,1.189383363138883354e+01,1.197214122796296110e+01,1.279806104749279432e-03,-1.099576139549461459e+03
9.901980396079216196e-04,1.085308324290363302e+01,1.189176477160441969e+01,1.197158447410691018e+01,1.291597990579767749e-03,-1.098412700694519344e+03
1.000200040008001820e-03,1.084210273132387137e+01,1.188967809138147835e+01,1.197102250573401783e+01,1.303366012351041877e-03,-1.097250620535067810e+03
1.010202040408081803e-03,1.083113383607415336e+01,1.188757364956050644e+01,1.197045533126213357e+01,1.315110219401072807e-03,-1.096089897139292361e+03
1.020204040808161787e-03,1.082017654359750836e+01,1.188545150483250268e+01,1.196988295909787148e+01,1.326830660956862572e-03,-1.094930528579212933e+03
1.030206041208241770e-03,1.080923084035696036e+01,1.188331171573896938e+01,1.196930539763660128e+01,1.338527386134445545e-03,-1.093772512930678886e+03
1.040208041608321754e-03,1.079829671283554404e+01,1.188115434067190179e+01,1.196872265526245194e+01,1.350200443938885620e-03,-1.092615848273363099e+03
1.050210042008401738e-03,1.078737414753521939e+01,1.187897943788298250e+01,1.196813474034876101e+01,1.361849883271238314e-03,-1.091460532690622358e+03
1.060212042408481938e-03,1.077646313092160035e+01,1.187678706593976230e+01,1.196754166128027741e+01,1.373475753290993688e-03,-1.090306564262691154e+03
1.070214042808561921e-03,1.076556364950863554e+01,1.187457728297514592e+01,1.196694342641776565e+01,1.385078102880363390e-03,-1.089153941077200216e+03
1.080216043208641905e-03,1.075467568986273115e+01,1.187235014668829081e+01,1.196634004409724739e+01,1.396656980604014898e-03,-1.088002661229602836e+03
1.090218043608721888e-03,1.074379923856833408e+01,1.187010571464601227e+01,1.196573152264430639e+01,1.408212434928388492e-03,-1.086852722818901384e+03
1.100220044008801872e-03,1.073293428222791768e+01,1.186784404428278528e+01,1.196511787037408503e+01,1.419744514221696601e-03,-1.085704123947638209e+03
1.110222044408881855e-03,1.072208080746199421e+01,1.186556519290073908e+01,1.196449909559128066e+01,1.431253266753923590e-03,-1.084556862721892230e+03
1.120224044808962056e-03,1.071123880090910596e+01,1.186326921766966791e+01,1.196387520659015813e+01,1.442738740696826840e-03,-1.083410937251271662e+03
1.130226045209042039e-03,1.070040824922583056e+01,1.186095617562702031e+01,1.196324621165453195e+01,1.454200984123935232e-03,-1.082266345648909237e+03
1.140228045609122023e-03,1.068958913908678099e+01,1.185862612367790447e+01,1.196261211905778588e+01,1.465640045010550667e-03,-1.081123086031454932e+03
1.150230046009202006e-03,1.067878145718459848e+01,1.185627911859508465e+01,1.196197293706285514e+01,1.477055971233746977e-03,-1.079981156519069600e+03
1.160232046409281990e-03,1.066798519022996317e+01,1.185391521701898476e+01,1.196132867392223709e+01,1.488448810572370797e-03,-1.078840555235423153e+03
1.170234046809361973e-03,1.065720032495158875e+01,1.185153447545769012e+01,1.196067933787799120e+01,1.499818610707040261e-03,-1.077701280307683191e+03
1.180236047209441957e-03,1.064642684809621720e+01,1.184913695028693859e+01,1.196002493716173198e+01,1.511165419220146522e-03,-1.076563329866512277e+03
1.190238047609522157e-03,1.063566474642862936e+01,1.184672269775013298e+01,1.195936547999463428e+01,1.522489283595853315e-03,-1.075426702046064065e+03
1.200240048009602141e-03,1.062491400673163788e+01,1.184429177395832866e+01,1.195870097458743331e+01,1.533790251220095227e-03,-1.074291394983973760e+03
1.210242048409682124e-03,1.061417461580608723e+01,1.184184423489024063e+01,1.195803142914042283e+01,1.545068369380580946e-03,-1.073157406821354471e+03
1.220244048809762108e-03,1.060344656047086076e+01,1.183938013639224707e+01,1.195735685184345698e+01,1.556323685266790225e-03,-1.072024735702791304e+03
1.230246049209842091e-03,1.059272982756287007e+01,1.183689953417837870e+01,1.195667725087594846e+01,1.567556245969976055e-03,-1.070893379776337270e+03
1.240248049609922075e-03,1.058202440393706212e+01,1.183440248383032767e+01,1.195599263440687032e+01,1.578766098483162924e-03,-1.069763337193504867e+03
1.250250050010002275e-03,1.057133027646641743e+01,1.183188904079744219e+01,1.195530301059475065e+01,1.589953289701148556e-03,-1.068634606109262904e+03
1.260252050410082258e-03,1.056064743204195189e+01,1.182935926039673191e+01,1.195460838758768318e+01,1.601117866420501742e-03,-1.067507184682029902e+03
1.270254050810162242e-03,1.054997585757271317e+01,1.182681319781286078e+01,1.195390877352331493e+01,1.612259875339564722e-03,-1.066381071073669773e+03
1.280256051210242225e-03,1.053931553998578075e+01,1.182425090809815593e+01,1.195320417652885858e+01,1.623379363058451673e-03,-1.065256263449485004e+03
1.290258051610322209e-03,1.052866646622627300e+01,1.182167244617259882e+01,1.195249460472108005e+01,1.634476376079049137e-03,-1.064132759978212562e+03
1.300260052010402193e-03,1.051802862325733656e+01,1.181907786682383232e+01,1.195178006620630917e+01,1.645550960805015808e-03,-1.063010558832017523e+03
1.310262052410482176e-03,1.050740199806015340e+01,1.181646722470715360e+01,1.195106056908043257e+01,1.656603163541782529e-03,-1.061889658186489214e+03
1.320264052810562376e-03,1.049678657763394085e+01,1.181384057434552481e+01,1.195033612142889545e+01,1.667633030496553596e-03,-1.060770056220633478e+03
1.330266053210642360e-03,1.048618234899594981e+01,1.181119797012955885e+01,1.194960673132670514e+01,1.678640607778304154e-03,-1.059651751116871765e+03
1.340268053610722343e-03,1.047558929918146120e+01,1.180853946631753359e+01,1.194887240683842577e+01,1.689625941397782148e-03,-1.058534741061029536e+03
1.350270054010802327e-03,1.046500741524379308e+01,1.180586511703537944e+01,1.194813315601818360e+01,1.700589077267508544e-03,-1.057419024242338082e+03
1.360272054410882310e-03,1.045443668425429706e+01,1.180317497627668999e+01,1.194738898690965989e+01,1.711530061201775805e-03,-1.056304598853424068e+03
1.370274054810962294e-03,1.044387709330235481e+01,1.180046909790271492e+01,1.194663990754609806e+01,1.722448938916648978e-03,-1.055191463090307025e+03
1.380276055211042494e-03,1.043332862949538509e+01,1.179774753564236178e+01,1.194588592595030363e+01,1.733345756029965696e-03,-1.054079615152393899e+03
1.390278055611122478e-03,1.042279127995884025e+01,1.179501034309219776e+01,1.194512705013463361e+01,1.744220558061335309e-03,-1.052969053242473819e+03
1.400280056011202461e-03,1.041226503183620444e+01,1.179225757371644789e+01,1.194436328810101244e+01,1.755073390432140184e-03,-1.051859775566712642e+03
1.410282056411282445e-03,1.040174987228899539e+01,1.178948928084699510e+01,1.194359464784091962e+01,1.765904298465534403e-03,-1.050751780334649084e+03
1.420284056811362428e-03,1.039124578849676794e+01,1.178670551768338370e+01,1.194282113733539497e+01,1.776713327386444854e-03,-1.049645065759187446e+03
1.430286057211442412e-03,1.038075276765710520e+01,1.178390633729281056e+01,1.194204276455503688e+01,1.787500522321570787e-03,-1.048539630056596707e+03
1.440288057611522395e-03,1.037027079698562737e+01,1.178109179261013573e+01,1.194125953746000413e+01,1.798265928299382956e-03,-1.047435471446501424e+03
1.450290058011602596e-03,1.035979986371598827e+01,1.177826193643787711e+01,1.194047146400001402e+01,1.809009590250125563e-03,-1.046332588151878781e+03
1.460292058411682579e-03,1.034933995509987348e+01,1.177541682144620694e+01,1.193967855211434248e+01,1.819731553005814314e-03,-1.045230978399054948e+03
1.470294058811762563e-03,1.033889105840700573e+01,1.177255650017296240e+01,1.193888080973182753e+01,1.830431861300237497e-03,-1.044130640417697350e+03
1.480296059211842546e-03,1.032845316092513599e+01,1.176968102502363500e+01,1.193807824477086221e+01,1.841110559768955766e-03,-1.043031572440811942e+03
1.490298059611922530e-03,1.031802624996005235e+01,1.176679044827137233e+01,1.193727086513940527e+01,1.851767692949302145e-03,-1.041933772704738885e+03
1.500300060012002513e-03,1.030761031283557649e+01,1.176388482205698516e+01,1.193645867873496691e+01,1.862403305280382025e-03,-1.040837239449145272e+03
1.510302060412082713e-03,1.029720533689356365e+01,1.176096419838894214e+01,1.193564169344462300e+01,1.873017441103072729e-03,-1.039741970917022854e+03
1.520304060812162697e-03,1.028681130949390266e+01,1.175802862914336444e+01,1.193481991714500445e+01,1.883610144660024383e-03,-1.038647965354683492e+03
1.530306061212242680e-03,1.027642821801451412e+01,1.175507816606403999e+01,1.193399335770230429e+01,1.894181460095659044e-03,-1.037555221011751655e+03
1.540308061612322664e-03,1.026605604985135400e+01,1.175211286076240924e+01,1.193316202297227591e+01,1.904731431456171357e-03,-1.036463736141162599e+03
1.550310062012402647e-03,1.025569479241841009e+01,1.174913276471757406e+01,1.193232592080022592e+01,1.915260102689528548e-03,-1.035373508999156911e+03
1.560312062412482631e-03,1.024534443314770904e+01,1.174613792927629063e+01,1.193148505902102841e+01,1.925767517645469128e-03,-1.034284537845275736e+03
1.570314062812562831e-03,1.023500495948930222e+01,1.174312840565297833e+01,1.193063944545911070e+01,1.936253720075505492e-03,-1.033196820942355544e+03
1.580316063212642815e-03,1.022467635891128523e+01,1.174010424492971261e+01,1.192978908792846049e+01,1.946718753632920886e-03,-1.032110356556525858e+03
1.590318063612722798e-03,1.021435861889977659e+01,1.173706549805622856e+01,1.192893399423262757e+01,1.957162661872771572e-03,-1.031025142957201297e+03
1.600320064012802782e-03,1.020405172693286389e+01,1.173401221607001865e+01,1.192807417217581722e+01,1.967585488426419962e-03,-1.029941178413874468e+03
1.610322064412882765e-03,1.019375567047859832e+01,1.173094445008082154e+01,1.192720962956287423e+01,1.977987277029227744e-03,-1.028858461195930204e+03
1.620324064812962749e-03,1.018347043707914601e+01,1.172786225056497322e+01,1.192634037416357629e+01,1.988368070955251130e-03,-1.027776989582980377e+03
1.630326065213042732e-03,1.017319601429500153e+01,1.172476566786443541e+01,1.192546641373712646e+01,1.998727913378378195e-03,-1.026696761857941510e+03
1.640328065613122933e-03,1.016293238970294688e+01,1.172165475220442943e+01,1.192458775603303955e+01,2.009066847385724847e-03,-1.025617776306778069e+03
1.650330066013202916e-03,1.015267955089605501e+01,1.171852955369344507e+01,1.192370440879113325e+01,2.019384915977632221e-03,-1.024540031218499053e+03
1.660332066413282900e-03,1.014243748548369162e+01,1.171539012232322641e+01,1.192281637974154229e+01,2.029682162067668848e-03,-1.023463524885152992e+03
1.670334066813362883e-03,1.013220618109151339e+01,1.171223650796878779e+01,1.192192367660470254e+01,2.039958628482630657e-03,-1.022388255601826245e+03
1.680336067213442867e-03,1.012198562536146262e+01,1.170906876038840139e+01,1.192102630709135980e+01,2.050214357962539240e-03,-1.021314221666633330e+03
1.690338067613522850e-03,1.011177580595178149e+01,1.170588692922360430e+01,1.192012427890257165e+01,2.060449393160643152e-03,-1.020241421380719999e+03
1.700340068013603051e-03,1.010157671053699424e+01,1.170269106399919501e+01,1.191921759972970030e+01,2.070663776643417910e-03,-1.019169853048251866e+03
1.710342068413683034e-03,1.009138832680792319e+01,1.169948121412323516e+01,1.191830627725441794e+01,2.080857550890565129e-03,-1.018099514976415662e+03
1.720344068813763018e-03,1.008121064247167631e+01,1.169625742888704778e+01,1.191739031914870317e+01,2.091030758295013819e-03,-1.017030405475411726e+03
1.730346069213843001e-03,1.007104364525165430e+01,1.169301975746522082e+01,1.191646973307484636e+01,2.101183441162919087e-03,-1.015962522858451734e+03
1.740348069613922985e-03,1.006088732288755239e+01,1.168976824891560362e+01,1.191554452668544073e+01,2.111315641713663004e-03,-1.014895865441752790e+03
1.750350070014002968e-03,1.005074166313534789e+01,1.168650295217930690e+01,1.191461470762339658e+01,2.121427402079854602e-03,-1.013830431544535713e+03
1.760352070414083168e-03,1.004060665376731798e+01,1.168322391608070632e+01,1.191368028352192177e+01,2.131518764307329013e-03,-1.012766219489019250e+03
1.770354070814163152e-03,1.003048228257202723e+01,1.167993118932743712e+01,1.191274126200454297e+01,2.141589770355148328e-03,-1.011703227600416085e+03
1.780356071214243135e-03,1.002036853735432942e+01,1.167662482051040129e+01,1.191179765068508623e+01,2.151640462095601603e-03,-1.010641454206930121e+03
1.790358071614323119e-03,1.001026540593537106e+01,1.167330485810375862e+01,1.191084945716769283e+01,2.161670881314204425e-03,-1.009580897639750106e+03
1.800360072014403102e-03,1.000017287615258965e+01,1.166997135046493561e+01,1.190989668904680698e+01,2.171681069709698476e-03,-1.008521556233048727e+03
1.810362072414483086e-03,9.990090935859713639e+00,1.166662434583461661e+01,1.190893935390718639e+01,2.181671068894052833e-03,-1.007463428323974767e+03
1.820364072814563070e-03,9.980019572926762450e+00,1.166326389233675620e+01,1.190797745932389162e+01,2.191640920392463106e-03,-1.006406512252654466e+03
1.830366073214643270e-03,9.969958775240042925e+00,1.165989003797856327e+01,1.190701101286229679e+01,2.201590665643351867e-03,-1.005350806362180720e+03
1.840368073614723253e-03,9.959908530702159979e+00,1.165650283065051340e+01,1.190604002207808065e+01,2.211520345998367349e-03,-1.004296308998616041e+03
1.850370074014803237e-03,9.949868827232002388e+00,1.165310231812634534e+01,1.190506449451723192e+01,2.221430002722385617e-03,-1.003243018510984484e+03
1.860372074414883220e-03,9.939839652764751676e+00,1.164968854806305920e+01,1.190408443771604752e+01,2.231319676993508833e-03,-1.002190933251267325e+03
1.870374074814963204e-03,9.929820995251885662e+00,1.164626156800091827e+01,1.190309985920113256e+01,2.241189409903065685e-03,-1.001140051574403174e+03
1.880376075215043187e-03,9.919812842661164254e+00,1.164282142536344544e+01,1.190211076648940036e+01,2.251039242455612696e-03,-1.000090371838279907e+03
1.890378075615123388e-03,9.909815182976643655e+00,1.163936816745743030e+01,1.190111716708807243e+01,2.260869215568931615e-03,-9.990418924037327315e+02
