t,x,y,vx,vy,dvx_dt
5.601120224044808804e-01,3.943767427700912709e+00,5.626091843766136691e-01,-2.023540687608164634e-01,9.992105515126952220e-01,-3.668621596789091721e-01
5.701140228045609160e-01,3.941725132514654284e+00,5.726004891196532220e-01,-2.060233154768038866e-01,9.986473067734028541e-01,-3.668381803879796066e-01
5.801160232046409515e-01,3.939646139107445766e+00,5.825860573860719427e-01,-2.096922558385477808e-01,9.980634854168616288e-01,-3.668008835003802037e-01
5.901180236047209871e-01,3.937530451023902422e+00,5.925656830052843382e-01,-2.133607560131828007e-01,9.974590292128669988e-01,-3.667501595605057174e-01
6.001200240048010226e-01,3.935378073221061701e+00,6.025391592787056050e-01,-2.170286811213701372e-01,9.968338809622401264e-01,-3.666858998829620742e-01
6.101220244048810581e-01,3.933189012068381896e+00,6.125062789797516283e-01,-2.206958952372974903e-01,9.961879844968276609e-01,-3.666079965786215311e-01
6.201240248049609827e-01,3.930963275347742591e+00,6.224668343538388715e-01,-2.243622613886790962e-01,9.955212846795019610e-01,-3.665163425809676578e-01
6.301260252050410182e-01,3.928700872253445553e+00,6.324206171183850422e-01,-2.280276415567558390e-01,9.948337274041607614e-01,-3.664108316727374692e-01
6.401280256051210538e-01,3.926401813392213391e+00,6.423674184628078709e-01,-2.316918966762950283e-01,9.941252595957272842e-01,-3.662913585128568794e-01
6.501300260052010893e-01,3.924066110783190009e+00,6.523070290485263323e-01,-2.353548866355905933e-01,9.933958292101505716e-01,-3.661578186636785803e-01
6.601320264052811249e-01,3.921693777857940599e+00,6.622392390089599790e-01,-2.390164702764629445e-01,9.926453852344050421e-01,-3.660101086185144625e-01
6.701340268053610494e-01,3.919284829460452091e+00,6.721638379495289417e-01,-2.426765053942590011e-01,9.918738776864907125e-01,-3.658481258294720151e-01
6.801360272054410849e-01,3.916839281847132703e+00,6.820806149476544844e-01,-2.463348487378524410e-01,9.910812576154330866e-01,-3.656717687355912627e-01
6.901380276055211205e-01,3.914357152686811503e+00,6.919893585527583380e-01,-2.499913560096432286e-01,9.902674771012834887e-01,-3.654809367912879581e-01
7.001400280056011560e-01,3.911838461060739291e+00,7.018898567862627003e-01,-2.536458818655580871e-01,9.894324892551183970e-01,-3.652755304950981441e-01
7.101420284056811916e-01,3.909283227462589050e+00,7.117818971415910134e-01,-2.572982799150500544e-01,9.885762482190401101e-01,-3.650554514187343003e-01
7.201440288057612271e-01,3.906691473800400605e+00,7.216652665864914384e-01,-2.609484027237158332e-01,9.876987091703904875e-01,-3.648206022392032066e-01
7.301460292058411516e-01,3.904063223852058950e+00,7.315397521453792518e-01,-2.645961024341913492e-01,9.867998293249800046e-01,-3.645708874282740930e-01
7.401480296059211872e-01,3.901398502684763514e+00,7.414051403075817559e-01,-2.682412300096318480e-01,9.858795667284532271e-01,-3.643062125018450836e-01
7.501500300060012227e-01,3.898697336542872538e+00,7.512612167951135955e-01,-2.718836350616568032e-01,9.849378799716236310e-01,-3.640264838551250381e-01
7.601520304060812583e-01,3.895959753245735957e+00,7.611077670090737879e-01,-2.755231663786512075e-01,9.839747290388161094e-01,-3.637316093445790433e-01
7.701540308061612938e-01,3.893185782187698063e+00,7.709445760296453898e-01,-2.791596719257658510e-01,9.829900753078671949e-01,-3.634214983177597724e-01
7.801560312062413294e-01,3.890375454338095285e+00,7.807714286160952755e-01,-2.827929988449170984e-01,9.819838815501243934e-01,-3.630960616433740462e-01
7.901580316063212539e-01,3.887528802241256631e+00,7.905881092067743587e-01,-2.864229934547869449e-01,9.809561119304469612e-01,-3.627552117415824839e-01
8.001600320064012895e-01,3.884645860016504137e+00,8.003944019191179260e-01,-2.900495012508232384e-01,9.799067320072053500e-01,-3.623988626145335235e-01
8.101620324064813250e-01,3.881726663358152862e+00,8.101900905496446370e-01,-2.936723669052391239e-01,9.788357087322814287e-01,-3.620269298771287558e-01
8.201640328065613605e-01,3.878771249535511334e+00,8.199749585739576352e-01,-2.972914342670137100e-01,9.777430104510683728e-01,-3.616393307880232388e-01
8.301660332066413961e-01,3.875779657392880662e+00,8.297487891467438814e-01,-3.009065463618915137e-01,9.766286069024707750e-01,-3.612359842808592902e-01
8.401680336067214316e-01,3.872751927349553647e+00,8.395113651017743761e-01,-3.045175453923829045e-01,9.754924692189047564e-01,-3.608168109957325953e-01
8.501700340068013562e-01,3.869688101399817448e+00,8.492624689519039372e-01,-3.081242727377636603e-01,9.743345699262976334e-01,-3.603817333108902954e-01
8.601720344068813917e-01,3.866588223112951805e+00,8.590018828890717550e-01,-3.117265689540755780e-01,9.731548829440881399e-01,-3.599306753746633336e-01
8.701740348069614273e-01,3.863452337633228595e+00,8.687293887843008378e-01,-3.153242737741256962e-01,9.719533835852264270e-01,-3.594635631376324469e-01
8.801760352070414628e-01,3.860280491679913606e+00,8.784447681876981218e-01,-3.189172261074869064e-01,9.707300485561740633e-01,-3.589803243850237524e-01
8.901780356071214984e-01,3.857072733547265209e+00,8.881478023284545831e-01,-3.225052640404977855e-01,9.694848559569039237e-01,-3.584808887693407553e-01
9.001800360072015339e-01,3.853829113116278737e+00,8.978382721426514390e-01,-3.260882248736726718e-01,9.682177853137564627e-01,-3.579651878623507644e-01
9.101820364072814584e-01,3.850549682271917629e+00,9.075159593251380663e-01,-3.296659464769120529e-01,9.669288187815767710e-01,-3.574331558933423469e-01
9.201840368073614940e-01,3.847234494251062120e+00,9.171806449049175747e-01,-3.332382652620087815e-01,9.656179393864995353e-01,-3.568847287704374205e-01
9.301860372074415295e-01,3.843883603734110199e+00,9.268321093165420299e-01,-3.368050164158517545e-01,9.642851312056036628e-01,-3.563198442049347880e-01
9.401880376075215651e-01,3.840497067095431483e+00,9.364701329628686288e-01,-3.403660346859208596e-01,9.629303800513679956e-01,-3.557384421369521044e-01
9.501900380076016006e-01,3.837074942403366329e+00,9.460944962150590332e-01,-3.439211543802872528e-01,9.615536734716714218e-01,-3.551404647651731916e-01
9.601920384076816362e-01,3.833617289420227614e+00,9.557049794125800357e-01,-3.474702093676130810e-01,9.601550007497928751e-01,-3.545258565766959968e-01
9.701940388077615607e-01,3.830124169602297179e+00,9.653013628632028942e-01,-3.510130330771517593e-01,9.587343529044113355e-01,-3.538945643769799143e-01
9.801960392078415962e-01,3.826595646099830272e+00,9.748834268430041083e-01,-3.545494584987477493e-01,9.572917226896059395e-01,-3.532465373198854786e-01
9.901980396079216318e-01,3.823031783757051993e+00,9.844509515963646429e-01,-3.580793181828366145e-01,9.558271045948557587e-01,-3.525817269378149210e-01
1.000200040008001556e+00,3.819432649112159073e+00,9.940037173359702605e-01,-3.616024442404450756e-01,9.543404948450400216e-01,-3.519000871719429879e-01
1.010202040408081592e+00,3.815798310397319426e+00,1.003541504242811966e+00,-3.651186683431909552e-01,9.528318914004378914e-01,-3.512015744025430708e-01
1.020204040808161627e+00,3.812128837538671711e+00,1.013064092466184674e+00,-3.686278217232832333e-01,9.513012939567284665e-01,-3.504861474794035980e-01
1.030206041208241663e+00,3.808424302156326657e+00,1.022571262123689095e+00,-3.721297351735219916e-01,9.497487039449913349e-01,-3.497537677523371302e-01
1.040208041608321698e+00,3.804684777564365294e+00,1.032062793301230297e+00,-3.756242390472984138e-01,9.481741245317056865e-01,-3.490043991017762748e-01
1.050210042008401734e+00,3.800910338770840724e+00,1.041538466053018031e+00,-3.791111632585948410e-01,9.465775606187509794e-01,-3.482380079694628594e-01
1.060212042408481770e+00,3.797101062477776345e+00,1.050998060401566736e+00,-3.825903372819846604e-01,9.449590188434067173e-01,-3.474545633892207053e-01
1.070214042808561805e+00,3.793257027081166743e+00,1.060441356337696428e+00,-3.860615901526324723e-01,9.433185075783523388e-01,-3.466540370178171071e-01
1.080216043208641841e+00,3.789378312670979021e+00,1.069868133820530920e+00,-3.895247504662939786e-01,9.416560369316674395e-01,-3.458364031659103000e-01
1.090218043608721876e+00,3.785465001033058385e+00,1.079278172798386670e+00,-3.929796464104052811e-01,9.399716187599344019e-01,-3.450016388329424366e-01
1.100220044008801912e+00,3.781517175764465666e+00,1.088671254597371130e+00,-3.964261077684093082e-01,9.382652675295403144e-01,-3.441497240010079062e-01
1.110222044408881725e+00,3.777534922093088721e+00,1.098047160201341521e+00,-3.998639632310772019e-01,9.365369992201528770e-01,-3.432806413620980157e-01
1.120224044808961761e+00,3.773518326891260877e+00,1.107405670074399495e+00,-4.032930402892082600e-01,9.347868312416615089e-01,-3.423943762989410944e-01
1.130226045209041796e+00,3.769467478759919388e+00,1.116746565007499470e+00,-4.067131665300033894e-01,9.330147829713475449e-01,-3.414909170616217127e-01
1.140228045609121832e+00,3.765382468028607210e+00,1.126069626118449296e+00,-4.101241696370652723e-01,9.312208757538847914e-01,-3.405702547907611955e-01
1.150230046009201867e+00,3.761263386755471672e+00,1.135374634851910702e+00,-4.135258773903982554e-01,9.294051329013394147e-01,-3.396323835406203639e-01
1.160232046409281903e+00,3.757110328727265802e+00,1.144661372979397962e+00,-4.169181176664085164e-01,9.275675796931696082e-01,-3.386773003021155692e-01
1.170234046809361939e+00,3.752923389459347447e+00,1.153929622599279448e+00,-4.203007184379039529e-01,9.257082433762260365e-01,-3.377050050257554559e-01
1.180236047209441974e+00,3.748702666195679267e+00,1.163179166136776521e+00,-4.236735077740940159e-01,9.238271531647515022e-01,-3.367155006444930709e-01
1.190238047609522010e+00,3.744448257908828737e+00,1.172409786343963978e+00,-4.270363138405900427e-01,9.219243402403809462e-01,-3.357087930964929301e-01
1.200240048009602045e+00,3.740160265299969033e+00,1.181621266299770268e+00,-4.303889648994050354e-01,9.199998377521420023e-01,-3.346848913478145393e-01
1.210242048409682081e+00,3.735838790798877707e+00,1.190813389409977052e+00,-4.337312893089538268e-01,9.180536808164541096e-01,-3.336438074150127053e-01
1.220244048809762116e+00,3.731483938563937119e+00,1.199985939407218982e+00,-4.370631155240528032e-01,9.160859065171294002e-01,-3.325855563876510268e-01
1.230246049209841930e+00,3.727095814482136227e+00,1.209138700350984363e+00,-4.403842720959201262e-01,9.140965539053718114e-01,-3.315101564507303422e-01
1.240248049609921965e+00,3.722674526169066134e+00,1.218271456627615157e+00,-4.436945876721758442e-01,9.120856639997778625e-01,-3.304176289070363537e-01
1.250250050010002001e+00,3.718220182968926313e+00,1.227383992950306535e+00,-4.469938909968415031e-01,9.100532797863362111e-01,-3.293079981993977667e-01
1.260252050410082036e+00,3.713732895954518387e+00,1.236476094359106881e+00,-4.502820109103404800e-01,9.079994462184278747e-01,-3.281812919328649936e-01
1.270254050810162072e+00,3.709212777927250126e+00,1.245547546220918012e+00,-4.535587763494979274e-01,9.059242102168262312e-01,-3.270375408968025921e-01
1.280256051210242108e+00,3.704659943417135448e+00,1.254598134229495177e+00,-4.568240163475406068e-01,9.038276206696965742e-01,-3.258767790868969394e-01
1.290258051610322143e+00,3.700074508582332111e+00,1.263627644888312807e+00,-4.600775607914687204e-01,9.017097284751304231e-01,-3.246990435577704615e-01
1.300260052010402179e+00,3.695456590992357793e+00,1.272635866586329989e+00,-4.633192419870053591e-01,8.995705866747162327e-01,-3.235043741265226647e-01
1.310262052410482214e+00,3.690806310228993414e+00,1.281622586722391821e+00,-4.665488901221795381e-01,8.974102502113154856e-01,-3.222928144125061234e-01
1.320264052810562250e+00,3.686123787562771259e+00,1.290587593223037732e+00,-4.697663357977309717e-01,8.952287760173435194e-01,-3.210644112451211396e-01
1.330266053210642285e+00,3.681409145912613035e+00,1.299530674734616253e+00,-4.729714103356652544e-01,8.930262230294618853e-01,-3.198192146030413019e-01
1.340268053610722099e+00,3.676662509845832094e+00,1.308451620623284795e+00,-4.761639457792539165e-01,8.908026521885796800e-01,-3.185572776240258586e-01
1.350270054010802134e+00,3.671884005578132548e+00,1.317350220975010533e+00,-4.793437748930346465e-01,8.885581264398523249e-01,-3.172786566145125997e-01
1.360272054410882170e+00,3.667073760973610153e+00,1.326226266595569303e+00,-4.825107311628108464e-01,8.862927107326825649e-01,-3.159834110589854750e-01
1.370274054810962205e+00,3.662231905544750532e+00,1.335079549010546263e+00,-4.856646487956518543e-01,8.840064720207195803e-01,-3.146716036291231644e-01
1.380276055211042241e+00,3.657358570452431845e+00,1.343909860465335449e+00,-4.888053627198931106e-01,8.816994792618597643e-01,-3.133433001927284356e-01
1.390278055611122277e+00,3.652453888505922563e+00,1.352716993925140443e+00,-4.919327085851357695e-01,8.793718034182463894e-01,-3.119985698224474469e-01
1.400280056011202312e+00,3.647517994162882360e+00,1.361500743074973707e+00,-4.950465227622471431e-01,8.770235174562693858e-01,-3.106374848042737224e-01
1.410282056411282348e+00,3.642551023529361220e+00,1.370260902319656804e+00,-4.981466423433603685e-01,8.746546963465658964e-01,-3.092601206458477914e-01
1.420284056811362383e+00,3.637553114359801221e+00,1.378997266783820397e+00,-5.012329051418744630e-01,8.722654170640194993e-01,-3.078665560845498805e-01
1.430286057211442419e+00,3.632524406057035193e+00,1.387709632311904695e+00,-5.043051496924546573e-01,8.698557585877610965e-01,-3.064568730953948217e-01
1.440288057611522454e+00,3.627465039672286728e+00,1.396397795468158565e+00,-5.073632152510316740e-01,8.674258019011681364e-01,-3.050311568987275068e-01
1.450290058011602490e+00,3.622375157905170617e+00,1.405061553536640417e+00,-5.104069417948026155e-01,8.649756299918652802e-01,-3.035894959677276628e-01
1.460292058411682303e+00,3.617254905103692852e+00,1.413700704521217100e+00,-5.134361700222301872e-01,8.625053278517237354e-01,-3.021319820357239450e-01
1.470294058811762339e+00,3.612104427264250628e+00,1.422315047145565448e+00,-5.164507413530434743e-01,8.600149824768618112e-01,-3.006587101033245113e-01
1.480296059211842374e+00,3.606923872031631451e+00,1.430904380853171176e+00,-5.194504979282369428e-01,8.575046828676445854e-01,-2.991697784453676290e-01
1.490298059611922410e+00,3.601713388328679599e+00,1.439468506494237410e+00,-5.224352837198531496e-01,8.549745196635144540e-01,-2.976652879454714240e-01
1.500300060012002445e+00,3.596473126049706703e+00,1.448007226997142460e+00,-5.254049454717842904e-01,8.524245849102356498e-01,-2.961453415817961177e-01
1.510302060412082481e+00,3.591203237501022549e+00,1.456520344694023805e+00,-5.283593283783853956e-01,8.498549734784800469e-01,-2.946100470415792816e-01
1.520304060812162517e+00,3.585903876482775310e+00,1.465007662922397369e+00,-5.312982788116782373e-01,8.472657820897697700e-01,-2.930595150131197757e-01
1.530306061212242552e+00,3.580575198233637124e+00,1.473468986125042290e+00,-5.342216444864932301e-01,8.446571092600907438e-01,-2.914938590775354998e-01
1.540308061612322588e+00,3.575217359430801878e+00,1.481904119850000923e+00,-5.371292744604692082e-01,8.420290552998930256e-01,-2.899131957016432004e-01
1.550310062012402623e+00,3.569830518189986979e+00,1.490312870750578389e+00,-5.400210191340532040e-01,8.393817223140903616e-01,-2.883176442306011888e-01
1.560312062412482659e+00,3.564414834065432913e+00,1.498695046585343915e+00,-5.428967302505011139e-01,8.367152142020605199e-01,-2.867073268803215780e-01
1.570314062812562694e+00,3.558970468049902802e+00,1.507050456218128609e+00,-5.457562608958770323e-01,8.340296366576451792e-01,-2.850823687296610842e-01
1.580316063212642508e+00,3.553497582574683289e+00,1.515378909618027903e+00,-5.485994654990535846e-01,8.313250971691501512e-01,-2.834428977123999438e-01
1.590318063612722543e+00,3.547996341509582319e+00,1.523680217859399999e+00,-5.514261998317119273e-01,8.286017050193447142e-01,-2.817890446090111634e-01
1.600320064012802579e+00,3.542466910162932692e+00,1.531954193121865870e+00,-5.542363210083415259e-01,8.258595712854626125e-01,-2.801209430382337051e-01
1.610322064412882614e+00,3.536909455281588510e+00,1.540200648690310592e+00,-5.570296874862405989e-01,8.230988088392011681e-01,-2.784387294484556019e-01
1.620324064812962650e+00,3.531324145050928287e+00,1.548419398954881343e+00,-5.598061590655154518e-01,8.203195323467217248e-01,-2.767425431089131083e-01
1.630326065213042686e+00,3.525711149094852281e+00,1.556610259410989183e+00,-5.625655968890811431e-01,8.175218582686496482e-01,-2.750325261007197097e-01
1.640328065613122721e+00,3.520070638475783831e+00,1.564773046659308164e+00,-5.653078634426610405e-01,8.147059048600741038e-01,-2.733088233077264895e-01
1.650330066013202757e+00,3.514402785694670239e+00,1.572907578405775553e+00,-5.680328225547871535e-01,8.118717921705483898e-01,-2.715715824072279516e-01
1.660332066413282792e+00,3.508707764690980113e+00,1.581013673461591607e+00,-5.707403393967996896e-01,8.090196420440894931e-01,-2.698209538605197966e-01
1.670334066813362828e+00,3.502985750842706469e+00,1.589091151743219799e+00,-5.734302804828474986e-01,8.061495781191784227e-01,-2.680570909033159199e-01
1.680336067213442863e+00,3.497236920966363627e+00,1.597139834272387260e+00,-5.761025136698879612e-01,8.032617258287602091e-01,-2.662801495360372361e-01
1.690338067613522677e+00,3.491461453314023355e+00,1.605159543178927395e+00,-5.787569081623287204e-01,8.003562123961338592e-01,-2.644902885087280220e-01
1.700340068013602712e+00,3.485659526237688599e+00,1.613150103036733896e+00,-5.813933366264406599e-01,7.974331650118234860e-01,-2.626876669546023835e-01
1.710342068413682748e+00,3.479831319578072346e+00,1.621111339681572172e+00,-5.840116730765845254e-01,7.944927128288128415e-01,-2.608724468529192153e-01
1.720344068813762783e+00,3.473977015380988131e+00,1.629043079369581148e+00,-5.866117916718865954e-01,7.915349878834009312e-01,-2.590447942691916361e-01
1.730346069213842819e+00,3.468096796792358827e+00,1.636945149790501208e+00,-5.891935684225316772e-01,7.885601235435172329e-01,-2.572048773759683660e-01
1.740348069613922855e+00,3.462190848058218418e+00,1.644817380067675083e+00,-5.917568811897627734e-01,7.855682545087216972e-01,-2.553528664310955598e-01
1.750350070014002890e+00,3.456259354524710226e+00,1.652659600758046743e+00,-5.943016096858815267e-01,7.825595168102048582e-01,-2.534889337559061984e-01
1.760352070414082926e+00,3.450302502638089130e+00,1.660471643852162726e+00,-5.968276354742475531e-01,7.795340478107877225e-01,-2.516132537133418112e-01
1.770354070814162961e+00,3.444320479944720237e+00,1.668253342774170589e+00,-5.993348419692792195e-01,7.764919862049215471e-01,-2.497260026860254056e-01
1.780356071214242997e+00,3.438313475091077986e+00,1.676004532381820233e+00,-6.018231144364529772e-01,7.734334720186883949e-01,-2.478273590542939830e-01
1.790358071614323032e+00,3.432281677823748822e+00,1.683725048966463245e+00,-6.042923399923040284e-01,7.703586466098006902e-01,-2.459175031741993034e-01
1.800360072014403068e+00,3.426225278989428524e+00,1.691414730253053333e+00,-6.067424076044256598e-01,7.672676526676012188e-01,-2.439966173554926065e-01
1.810362072414482881e+00,3.420144470534923098e+00,1.699073415400145004e+00,-6.091732080914694647e-01,7.641606342130634610e-01,-2.420648858396063086e-01
1.820364072814562917e+00,3.414039445507150106e+00,1.706700944999896219e+00,-6.115846341231457872e-01,7.610377365987911480e-01,-2.401224947776339491e-01
1.830366073214642952e+00,3.407910398053136447e+00,1.714297161078065290e+00,-6.139765802202229450e-01,7.578991065090185941e-01,-2.381696322083357853e-01
1.840368073614722988e+00,3.401757523420019691e+00,1.721861907094013100e+00,-6.163489427545278954e-01,7.547448919596106975e-01,-2.362064880361663677e-01
1.850370074014803023e+00,3.395581017955048075e+00,1.729395027940702212e+00,-6.187016199489459023e-01,7.515752422980627179e-01,-2.342332540093458315e-01
1.860372074414883059e+00,3.389381079105580064e+00,1.736896369944697094e+00,-6.210345118774205364e-01,7.483903082035004983e-01,-2.322501236979810368e-01
1.870374074814963095e+00,3.383157905419084344e+00,1.744365780866163673e+00,-6.233475204649538970e-01,7.451902416866802437e-01,-2.302572924722502135e-01
