A,Z,beta2,B_per_A,B_per_A_noisy
1.783529467332715512e+02,8.781341494887989541e+01,1.456004369485646051e-02,nan,nan
1.372348156426252785e+02,1.353208535968945370e+01,1.620149057093697442e-01,nan,nan
7.802362970616306370e+01,6.089450203074567725e+01,2.859973849345076591e-02,nan,nan
5.198604996562841762e+01,1.862527035092969641e+01,2.659546980718260345e-01,nan,nan
2.332632925604137029e+02,2.488802192926668511e+01,2.859997570441561998e-01,nan,nan
1.315993631627248419e+02,4.104605505358352957e+01,1.676713303718929682e-02,nan,nan
4.195389719345254775e+01,5.921356814725693596e+01,2.976713438136599846e-02,nan,nan
1.556617052404000958e+02,5.781446988305072665e+01,1.372977313176869940e-01,nan,nan
1.899770176126747572e+02,5.436667379869695083e+01,2.324795636956708267e-01,nan,nan
1.533127394358810704e+02,9.606794879772242268e+01,1.848084949566247970e-01,nan,nan
2.214746858731622012e+02,5.485938055083153131e+01,9.951609014810244846e-02,nan,nan
2.486880437278144029e+01,7.544484465126022599e+01,1.790523471857574378e-01,nan,nan
1.344039949702448666e+02,3.875557889419242485e+01,2.393887229206211331e-01,nan,nan
1.188912377663304341e+02,7.647869781247254650e+01,2.764496183816452790e-01,nan,nan
2.996630572957213445e+01,7.680593735224810814e+01,4.149727923469650331e-02,nan,nan
1.596575098872199874e+02,6.960001439433037262e+01,2.529061249312984372e-01,nan,nan
2.069897558196670957e+02,7.739520890788679708e+01,1.943731009505554608e-01,nan,nan
1.488187880553596187e+02,6.065681602131130745e+01,1.608911569768647631e-01,nan,nan
7.426182829313799516e+01,8.671884092355664109e+01,1.322330896024584146e-01,nan,nan
2.041334607110355819e+02,8.459312199668472942e+01,1.532413531042854660e-01,nan,nan
1.301270774608181000e+02,1.686785919871928030e+01,1.376175063693007572e-01,nan,nan
1.304391101205034147e+02,4.924873243676512402e+01,2.012072092422154401e-01,nan,nan
1.846787665252878412e+02,1.910182992469418295e+01,2.736094220590991610e-01,nan,nan
4.913453601583026398e+01,9.544959161483704690e+01,7.106468031921688022e-02,nan,nan
1.995963850827180295e+02,4.800999005767155836e+01,6.193147692305056139e-04,nan,nan
1.690562669447296003e+02,2.824720526527207198e+01,7.727414138986032910e-03,nan,nan
1.923097149082754242e+02,8.506182583847626688e+01,2.735089878980203060e-01,nan,nan
5.892204202051028972e+01,1.602388668285306750e+01,2.786498098443485061e-01,nan,nan
1.957295720941347099e+02,2.217599927542174854e+01,2.625447002637323890e-01,nan,nan
5.885655943681285862e+01,7.045235418095739988e+01,1.747419367232977971e-01,nan,nan
3.426778628942685145e+01,5.468294570577183578e+01,1.755635685718548999e-01,nan,nan
2.075708422403037048e+02,3.259110929698545078e+01,1.211730827391927917e-01,nan,nan
2.089275031437977361e+02,6.101773877212045250e+01,1.013459072763037427e-01,nan,nan
2.123443095973140373e+02,2.707929799066091192e+01,2.799668584869118848e-01,nan,nan
1.217077771363690033e+02,3.644967620255597751e+01,1.591016177696052414e-01,nan,nan
7.738683904947289705e+01,6.421757650096230918e+01,8.256280683034884771e-02,nan,nan
1.758856960710924255e+01,8.922975824069641249e+01,1.971679149456543045e-01,nan,nan
1.606414806087882994e+02,7.269240109519978432e+01,2.749797077678170845e-02,nan,nan
1.772597019059472530e+02,6.717695614108515656e+01,2.051065634899846279e-01,nan,nan
2.031675044960614116e+02,7.669153661059510796e+01,8.172350550773155309e-02,nan,nan
7.914063332965744735e+01,4.281057181813331880e+01,2.082343081867263634e-01,nan,nan
6.420886944450609235e+01,9.824998153875634443e+01,1.445783278875187594e-01,nan,nan
1.592102291349156644e+02,6.423593656072992530e+01,2.583550669149399237e-01,nan,nan
1.963322826244821613e+02,3.169563734706773417e+01,2.269864147347822325e-01,nan,nan
2.318622755172734742e+02,1.130880280218660872e+01,2.949781469375310494e-01,nan,nan
4.971756201434375555e+01,1.828151384722207595e+01,1.742016258835940301e-01,nan,nan
1.240155749566513919e+02,2.626284194856074095e+01,2.478643854021438386e-01,nan,nan
2.164163531319428557e+02,7.556228278893604511e+01,1.976141377648863162e-01,nan,nan
1.106885871557779524e+02,8.293594713148053188e+01,2.210208560821749213e-01,nan,nan
1.480484619068267875e+02,9.314166174448733670e+01,2.686319978260332531e-01,nan,nan
2.148591175851335677e+01,6.714774163633636306e+01,9.387802229849641356e-02,nan,nan
1.668550147222583178e+02,3.534948307774698151e+01,2.388522791401904155e-01,nan,nan
2.218758507979762271e+02,8.517595621960094832e+01,2.780513661467845510e-01,nan,nan
2.012088738207055201e+02,9.571925562930969988e+01,2.967043335492535183e-01,nan,nan
2.143565397430280655e+02,7.211515328345765852e+01,4.374541464145491332e-02,nan,nan
1.639196052365972207e+02,1.465693967731422731e+01,8.436845454570036928e-02,nan,nan
7.100370786247177080e+01,4.581034186394118279e+01,1.274036619946463667e-01,nan,nan
1.881478077527609685e+02,3.090281394236342294e+01,1.142547511810830946e-01,nan,nan
6.341514234408235495e+01,9.441196709350933247e+01,2.812407408379259399e-01,nan,nan
2.022055629648393165e+02,8.262335198359856747e+01,7.538605217275118342e-03,nan,nan
3.004881465585208744e+01,1.443329431597957324e+01,2.689463949438206103e-01,nan,nan
2.009092702001564987e+02,6.406773758961122667e+01,2.545891077960661317e-02,nan,nan
5.284962769019868745e+01,9.863357764678036688e+01,2.812635093549613607e-01,nan,nan
1.000329272152477813e+02,5.619016368582162357e+01,2.763887974895714028e-01,nan,nan
8.694934930876000578e+01,8.982860367253472589e+01,1.446833457720997085e-01,nan,nan
1.708594959022140358e+02,8.273442230356093319e+01,5.226027389459890482e-02,nan,nan
5.600010071105931075e+01,5.138144069567199068e+01,5.744361455160781893e-02,nan,nan
1.047613803366049581e+02,4.866477246808376123e+01,7.782369100503742920e-02,nan,nan
1.730470930418773179e+01,2.287190927317269740e+01,2.546752023800067932e-01,nan,nan
7.479881565602273952e+01,4.061120045042761717e+01,1.622247571672414124e-01,nan,nan
1.103462943872859796e+02,2.560573416053442841e+01,2.624473828017252486e-01,nan,nan
3.972635702244068057e+01,8.580509771436354072e+01,2.263955949771924714e-01,nan,nan
1.578278279121889511e+02,6.351310094977636567e+01,2.903111642492072764e-01,nan,nan
1.012150364545832417e+02,9.413428896405908120e+01,1.984130808382433830e-01,nan,nan
1.784658421290775152e+02,4.575258801231148453e+01,5.101331270290480197e-02,nan,nan
1.624659864793203496e+02,7.255725752082503277e+01,1.640816974134161332e-01,nan,nan
1.125947917261389932e+02,8.464981711469454240e+01,2.217851544876268677e-01,nan,nan
2.102797932638526106e+02,9.184709792754329527e+00,1.073713293245140005e-01,nan,nan
1.575982663200374247e+02,3.770256280568847274e+01,2.999332405340387475e-01,nan,nan
1.975014548718109779e+02,4.813314084130263382e+01,6.517882910779261574e-02,nan,nan
9.256201816258531778e+01,9.343151685026150233e+01,2.779891206186689834e-01,nan,nan
1.377819208857340527e+02,8.808497482499960540e+01,1.469801374482720691e-01,nan,nan
5.997050226570476639e+01,1.577475833288795393e+01,2.534324438799004375e-01,nan,nan
2.391356265865726414e+02,9.590223876547358373e+01,1.598556107318577502e-01,nan,nan
7.048026400461728258e+01,6.567515042047065776e+01,1.651838942321164350e-01,nan,nan
7.353831265887100699e+01,1.461788881493840542e+01,2.121520504991995237e-01,nan,nan
3.239457621557637879e+01,7.149124689214322359e+01,1.572215179404096996e-01,nan,nan
7.374789865526899746e+01,8.669336196297680885e+01,1.345410668110497421e-01,nan,nan
1.869407912898679172e+02,3.181468605498744751e+01,3.562529231078385289e-02,nan,nan
1.723281598330102042e+02,3.768486326569555445e+01,2.018177158110217861e-01,nan,nan
4.482279955904595425e+01,3.354772747718511994e+01,2.880130242747978575e-01,nan,nan
1.002774243198931003e+02,7.263068057491672391e+01,2.827877628418606348e-01,nan,nan
1.102863923943116902e+02,7.408168372979373828e+01,1.409219799542877835e-02,nan,nan
1.649564711850792094e+02,7.924012921901486095e+01,1.310136479346642735e-01,nan,nan
1.181280877217997443e+02,9.273578408979749099e+01,1.787170460330992083e-01,nan,nan
1.473801052089190193e+02,2.472819887018457052e+01,2.962416573377399734e-02,nan,nan
2.040893512084030874e+02,7.315880972150220884e+01,2.131898838497854609e-01,nan,nan
1.787300887099709712e+02,6.740467501682306306e+01,1.300089009961734599e-01,nan,nan
9.776162702591720688e+01,3.216113957316694183e+01,3.894847889799591539e-02,nan,nan
1.164407732931644830e+02,9.772838030038553825e+01,6.379434172920651902e-02,nan,nan
9.836470361056147738e+01,5.188034071551103210e+01,5.502899191053789441e-03,nan,nan
4.058056473750006887e+01,9.529212776368406423e+01,6.903216272758846972e-02,nan,nan
6.152610587557683175e+01,9.740318896553692696e+01,2.101578438485207090e-01,nan,nan
7.957265352348535714e+01,9.080442481715401470e+01,1.480157229435125343e-01,nan,nan
8.636599261491569735e+01,5.027265311816857718e+01,7.013528938802544854e-02,nan,nan
8.612272037566603444e+01,3.373946469357202460e+01,7.582583391651638582e-02,nan,nan
1.451807364406612635e+02,6.189009842069311418e+01,1.419966611772225662e-01,nan,nan
2.336585545388250580e+02,4.935729663164276815e+01,2.199888180269961302e-01,nan,nan
1.895247662229159573e+02,5.107454552970062878e+01,2.935121979120077773e-01,nan,nan
1.932140043907083680e+02,3.045548362057747127e+01,1.496202810689479801e-01,nan,nan
1.860761441208659051e+02,8.548728293701006464e+01,1.329820264657379236e-01,nan,nan
1.497252516373214348e+02,7.522661657782987277e+01,1.137453090030448727e-01,nan,nan
2.215630656062844537e+02,8.760848300494835428e+01,2.464621768828437476e-01,nan,nan
1.704771548201461258e+02,5.690157198450454956e+01,1.728446516019618573e-01,nan,nan
1.280798404850590941e+02,1.652506331097967518e+01,2.747428776291201413e-01,nan,nan
3.326677310412068067e+01,8.733242243635962154e+01,1.644638343110378653e-01,nan,nan
1.254126268671573428e+02,1.437111054799233223e+01,5.967577519162677729e-02,nan,nan
6.367414295623488840e+01,2.221547287216306188e+01,3.153458899886479871e-02,nan,nan
4.572397065048033937e+01,9.485905196229865055e+01,1.614125040305330883e-01,nan,nan
1.293585426465795365e+02,5.965843923189544284e+01,5.719947648794854872e-02,nan,nan
1.918591055417188329e+02,7.009976175370795204e+01,2.095598082006813467e-01,nan,nan
8.208144318843636711e+01,8.353132538127974271e+01,2.349017835808052124e-01,nan,nan
1.882048742196532771e+02,6.913925648303103344e+01,2.332203184108569693e-01,nan,nan
1.337410131883449083e+02,4.884535850407133495e+01,1.218718100936321824e-01,nan,nan
4.938675723503961024e+01,5.795594645101439824e+01,1.652537294612580754e-01,nan,nan
2.321527746514607884e+02,4.466050901784876004e+01,6.799966819674475860e-02,nan,nan
1.059665141510279227e+02,6.110151909729420083e+01,1.556780443664547431e-01,nan,nan
8.213247326844386009e+01,8.203046825317441559e+00,2.451772434617010832e-01,nan,nan
2.057276350219554502e+02,5.476048085102028296e+01,1.917632412912378126e-01,nan,nan
4.387911448346748244e+01,1.019160399880827228e+01,2.001482177615150626e-01,nan,nan
1.803242632805095695e+02,1.808981929180576387e+01,2.868415106877210685e-01,nan,nan
5.807274233466490898e+01,8.586588126390222442e+01,8.602912211957398914e-02,nan,nan
1.039181578268184722e+02,6.866352279210113352e+01,1.948712219751084218e-01,nan,nan
6.794557277551901109e+01,2.475944411623442676e+01,2.653963594338618059e-01,nan,nan
2.044350703630946668e+02,7.674263232316832273e+01,9.965713856889305000e-02,nan,nan
1.033766996345290323e+02,5.177206080208152628e+01,1.513480408294152167e-02,nan,nan
2.343311900856327838e+02,2.040585738952785988e+01,8.844473636935773486e-02,nan,nan
1.560585725089839002e+02,9.353108395315894086e+01,8.695046249431775953e-02,nan,nan
1.713715149734530030e+02,1.837806906065695145e+01,8.617271128633750832e-02,nan,nan
1.328216273576615265e+02,9.816342937682865255e+00,1.576159214322900848e-01,nan,nan
8.520887659293241256e+01,3.160735901800673986e+01,1.687105833374152597e-01,nan,nan
1.046046383157440403e+02,1.599111143702948290e+01,1.155444727688687001e-01,nan,nan
2.267692580362659953e+02,9.538374189504351008e+00,9.659927570508616834e-02,nan,nan
6.106951696232484039e+01,6.809825263470833079e+01,1.570824887166918093e-01,nan,nan
2.373610338733275569e+02,2.014051678719883753e+01,2.190185712895159342e-01,nan,nan
1.858605130888553276e+02,5.987694565370288302e+01,9.746965742271884378e-03,nan,nan
9.659227153434468960e+01,3.031826428373997828e+01,2.477205322464439696e-01,nan,nan
1.596990440492551500e+02,9.453981249061091319e+01,3.973028721404137098e-02,nan,nan
1.013398648016516006e+02,2.785875092312214463e+01,2.719207065526457190e-01,nan,nan
1.014544169113420793e+02,5.590023482342459005e+01,1.478020419611917047e-01,nan,nan
1.288518608435746273e+02,7.561882773339239350e+01,1.692765721187189099e-01,nan,nan
1.974591204632446662e+01,3.662395251391175321e+01,2.942472352959442650e-01,nan,nan
1.265600294273207425e+02,8.452002388487552764e+01,2.691654811612417819e-01,nan,nan
2.336380446121029308e+02,3.688606359608964169e+01,1.335262352959988574e-01,nan,nan
7.994421124796957656e+01,4.368312586721744140e+01,6.068499761126729813e-02,nan,nan
1.836008228331611178e+02,4.759572199255192260e+01,1.787249823836109808e-01,nan,nan
1.151847113757908971e+02,4.653825921772607899e+01,1.205538362999207698e-02,nan,nan
6.287895354638393997e+01,6.393081620575813417e+01,2.012191361092570061e-02,nan,nan
2.187205758632610184e+02,2.881459626718443445e+01,6.788826518208349037e-02,nan,nan
1.976931176836771087e+01,3.828769816075261190e+01,1.253250544393307297e-01,nan,nan
8.398599955829038777e+01,2.906542688121136919e+01,2.081115355282372459e-01,nan,nan
2.397817976405619902e+02,3.347896286355403106e+01,2.967377289774115676e-02,nan,nan
7.472088234655764438e+01,7.817597400708849875e+01,2.564561435288812974e-01,nan,nan
2.061859728964769261e+02,6.589254135161189652e+01,1.349333084813122974e-01,nan,nan
1.516730252988777465e+02,9.657661582301116709e+01,5.817535271783858680e-02,nan,nan
1.965519984860756892e+02,9.541196373768843841e+01,2.593347579296519934e-01,nan,nan
1.571911772193391243e+02,2.686786111552120104e+01,2.072636676939837996e-01,nan,nan
9.724409598095803631e+01,2.731503530842539362e+01,2.579526056793401967e-01,nan,nan
1.864166877467000916e+02,9.150361243277414758e+01,2.895440120162163788e-01,nan,nan
2.193253895448980373e+01,2.078430392377977753e+01,2.458807772647924883e-01,nan,nan
1.160861011885172331e+02,7.802902432369306496e+01,1.029024052980663795e-01,nan,nan
9.929542365090374290e+01,2.564189820123925401e+01,2.960486078889382200e-01,nan,nan
1.228645772627662893e+02,2.115937304963691190e+01,2.259089050117742414e-01,nan,nan
4.458703377511959332e+01,4.841043781439818616e+01,2.457095767229774408e-01,nan,nan
6.584153797196502467e+01,7.093349030039789227e+01,1.094469145087877682e-01,nan,nan
1.418995561823348908e+02,8.566351898433890710e+01,1.790177483574601769e-01,nan,nan
1.028602819069336931e+02,2.714989617517407083e+01,1.866998388588751445e-01,nan,nan
1.933309900522362739e+02,1.717276256874817619e+01,8.315207966859657074e-02,nan,nan
1.515505959981632316e+02,8.092958863448973261e+01,1.437098892297024311e-01,nan,nan
2.089237373922866823e+02,4.949358470999926851e+01,8.147758847666393411e-02,nan,nan
1.800488275609354218e+02,6.408040949501656769e+01,8.638474054645349509e-02,nan,nan
1.508084522979185635e+02,6.174653864458700525e+01,1.962770079737857776e-01,nan,nan
8.042589489190302743e+01,7.799520967397307913e+01,5.974146577304428711e-03,nan,nan
1.913383448154617383e+02,9.903942002994405414e+01,2.274570708290649668e-01,nan,nan
7.228393751032231762e+01,6.762441700027756042e+01,1.455120122044413489e-01,nan,nan
3.284728904642659586e+01,4.159946144987203809e+01,3.769527380915602827e-02,nan,nan
2.316816655712830197e+02,2.408986394329859593e+01,1.449035992192600764e-01,nan,nan
1.369625099416090848e+02,1.746485134396105110e+01,1.126311497420274255e-01,nan,nan
1.893523226511577491e+02,7.162298256811814667e+01,2.621921939884013231e-01,nan,nan
1.345459089092006479e+02,3.146953197077327857e+01,2.018802509219033980e-01,nan,nan
1.529938596032880014e+02,3.353930484907186838e+01,6.737485622201075386e-02,nan,nan
2.359186411569739761e+01,4.878791258724533719e+01,2.746982968975984485e-01,nan,nan
5.784178417525311033e+01,5.653906552679165998e+01,2.597328513799657679e-01,nan,nan
1.671304245773901584e+02,4.628561785445601373e+01,1.629872367415907408e-01,nan,nan
1.438064699413596088e+02,9.592480017577454987e+01,2.281577474047659024e-02,nan,nan
5.151632761302363406e+01,3.542438188810589850e+01,1.989660853272771923e-01,nan,nan
2.292545561946653834e+02,6.338571370041726993e+01,1.269129945375001844e-01,nan,nan
5.057521369061856831e+01,9.494579099281924783e+00,1.880936933386946341e-01,nan,nan
1.303079279414655218e+02,1.386700943276029818e+01,2.946364450802005722e-02,nan,nan
4.825664400431372059e+01,2.630311307666215725e+01,3.448756704593788219e-02,nan,nan
1.766912666477965672e+02,3.388354438381136902e+01,4.496577575020378054e-02,nan,nan
7.789411515731421787e+01,5.090174537789955167e+01,1.646175292324455752e-01,nan,nan
4.604601042727945526e+01,6.082708097748082565e+01,2.164411627248518377e-01,nan,nan
2.630112847019550770e+01,2.326474199645260654e+01,1.041938740795968626e-01,nan,nan
5.516316048906769254e+01,6.123577765448663968e+01,2.799057188219188433e-02,nan,nan
5.896291254607887566e+01,1.552771967050032487e+01,4.945371232191132088e-02,nan,nan
1.362817458240815540e+02,4.408927387289917021e+01,9.574210005273828261e-02,nan,nan
1.170327105023916374e+02,8.142493145261332188e+01,2.017696598065956692e-01,nan,nan
2.304339382647923742e+02,5.169926575740060315e+01,1.014554410227982290e-01,nan,nan
2.297298994581279032e+02,6.927828866928551577e+01,2.132805917692267295e-01,nan,nan
1.944263287449284121e+02,2.856852195305957665e+01,2.700851136736622249e-01,nan,nan
1.664356300116775458e+02,7.309227469050482284e+01,9.498049257135486589e-02,nan,nan
2.052851725113096109e+02,9.855600862944142193e+01,1.287975252427713269e-01,nan,nan
2.262804095794941475e+02,6.788731460803849416e+01,1.292877043677856941e-01,nan,nan
2.106637127068861659e+01,9.820777436862154275e+01,1.277119155044910415e-01,nan,nan
4.245557088179234739e+01,8.471645500354975411e+01,1.848954706210232668e-01,nan,nan
9.669911016913606261e+01,7.867565968575696900e+01,2.482060301027015081e-01,nan,nan
3.696345508154233528e+01,5.208587018224847043e+01,1.721573671685950047e-01,nan,nan
1.502934819639340844e+02,6.081502190100969329e+01,1.185019927387314237e-01,nan,nan
7.432158580597632636e+01,3.073706474644806264e+01,1.750412772973009012e-01,nan,nan
7.521209932564090650e+01,8.845956179745375891e+01,2.718704147771349722e-01,nan,nan
8.058546945712188858e+01,9.234766921581144317e+00,6.292987419912474123e-02,nan,nan
3.788830729890337068e+01,8.136084738500865399e+01,1.281322068290244864e-01,nan,nan
1.819715575253476061e+02,9.448365087857879985e+01,2.113865493027624887e-01,nan,nan
1.617506242303216197e+02,3.852930988321463701e+01,1.476456375519628883e-01,nan,nan
1.518578123036427883e+02,8.159543695428145327e+01,8.257556273796795229e-03,nan,nan
2.362621043022169687e+01,4.749355758109835079e+01,9.237888002460585557e-02,nan,nan
1.121999683991085561e+02,8.683899152221471240e+01,1.163222258738019210e-01,nan,nan
1.694856041375647635e+02,6.586991414276604928e+01,1.563744576372133877e-01,nan,nan
5.102164957840334836e+01,1.313048998487950314e+01,1.271978522226488439e-01,nan,nan
1.023873572032913870e+02,4.256109139481075943e+01,2.095193687666749016e-01,nan,nan
2.044284858526586390e+01,9.770351566197748028e+00,1.867869132547919087e-01,nan,nan
3.433619134530222539e+01,7.693731682851945664e+01,2.037278825539087790e-01,nan,nan
6.448560191978808120e+01,8.811769537177126210e+01,5.547611098185865897e-02,nan,nan
1.088816360956396920e+02,9.964196803956646420e+01,2.781310470997637729e-01,nan,nan
1.197657681283730824e+02,5.642380305718404543e+01,1.792280467353210838e-01,nan,nan
2.141328230824573211e+02,4.399891700578315579e+01,8.314154437391071961e-02,nan,nan
8.693149104697897656e+01,5.625957877928554751e+01,2.705319735035903728e-01,nan,nan
2.080790828609086773e+01,4.880168247607411303e+01,1.912337832619866174e-01,nan,nan
2.010740296767409916e+02,3.496885275062083309e+01,2.865257820709825598e-01,nan,nan
2.985371352368030173e+01,9.174378058400253622e+01,1.440851876957463251e-01,nan,nan
3.683020635633914708e+01,4.426488441789508954e+01,2.104074510545037580e-01,nan,nan
2.317527045497006384e+02,9.040092063508328124e+01,1.324887991416420496e-01,nan,nan
1.847538536607522985e+02,6.011804699406981456e+01,9.230127857172674977e-02,nan,nan
9.167934142255313645e+01,8.591622304524980791e+01,2.106038323036427407e-01,nan,nan
4.560806052269983013e+01,6.923595894175980447e+01,7.522939406908925319e-02,nan,nan
1.026276483904969865e+02,5.117034075196851717e+01,1.519329934415339922e-01,nan,nan
9.197965598275888510e+01,7.390070268646580587e+01,1.585939783783289758e-01,nan,nan
2.118748291231139831e+02,7.474277437619166164e+01,1.583842495232974656e-01,nan,nan
1.098006758783449612e+02,8.798250293625535789e+01,6.033010396218317639e-02,nan,nan
3.437808134749933231e+01,5.039390675410279385e+01,2.632558844357691941e-01,nan,nan
2.236043653283232970e+02,5.672521789759176869e+01,1.809079816050384870e-01,nan,nan
1.553981934722182814e+02,7.830989034190315579e+01,1.332397940458760754e-01,nan,nan
4.214300791894449105e+01,5.535845769017801388e+01,2.271223821263116949e-01,nan,nan
4.135101185039860638e+01,6.507321499677931342e+01,8.351183219505196875e-02,nan,nan
1.203690460207951958e+02,2.966198045290495600e+01,1.968826617602620899e-01,nan,nan
3.662792831436202334e+01,9.780110233050324098e+01,1.129390061571305393e-01,nan,nan
1.575124910534179037e+02,6.650940874802873282e+01,1.260695427274569347e-01,nan,nan
1.540699692052598948e+02,6.785035804719112207e+01,1.073112648852636714e-01,nan,nan
2.318622209046642979e+01,7.655741479805843142e+01,1.602807419467434102e-01,nan,nan
1.968627029532499648e+02,8.047005780522333396e+01,2.147238788635616458e-01,nan,nan
1.922420264504476677e+02,1.682279193835718445e+01,8.309015672755194759e-02,nan,nan
2.210290521698291002e+02,4.204543270877547201e+01,1.334584077024607296e-01,nan,nan
1.661486888694188622e+02,6.307489767747981801e+01,1.746705668800952460e-01,nan,nan
1.712011400430900210e+02,9.946578202809122615e+01,9.965361875754449872e-02,nan,nan
5.267813059750960747e+01,5.551551707414186865e+01,7.353829297290351286e-02,nan,nan
2.135109433125382239e+01,8.231889141329833848e+00,2.924090806188796576e-01,nan,nan
3.068614614172606281e+01,9.725826430456545779e+01,1.886427173789047285e-01,nan,nan
2.320393401959200332e+02,5.861705731851879619e+01,2.370118892347760631e-01,nan,nan
1.606415858853579266e+02,1.398145699877673920e+01,5.122737332706765734e-02,nan,nan
2.281070932945232528e+02,3.973028067097936855e+01,1.666641556514931455e-01,nan,nan
9.426209638734941620e+01,9.621139384290053442e+01,5.780771895756076084e-02,nan,nan
1.851696331721567219e+02,3.847274370832904822e+01,1.604048225423171103e-01,nan,nan
3.064936824101335944e+01,5.911411250902868630e+01,1.546419438501004384e-01,nan,nan
5.322995709282554344e+01,3.808156453233077343e+01,6.836779966646198969e-02,nan,nan
7.807786701132576468e+01,6.435779726010632373e+01,6.070289175814194693e-02,nan,nan
1.392712883809661264e+02,5.275328569274599033e+01,2.772265505648970896e-01,nan,nan
1.408595891403638518e+02,3.827255325552509646e+01,2.559288042003228236e-01,nan,nan
1.277729653167713337e+02,1.675755475777059900e+01,1.211186539420764235e-01,nan,nan
1.110798429575853703e+02,3.403392133273395359e+01,4.145403389085824258e-02,nan,nan
1.449579559159580811e+02,6.510472477748172082e+01,9.504869020415583625e-02,nan,nan
2.325323765668757687e+02,5.532908471347609236e+01,1.606895057945073868e-01,nan,nan
1.186098215488906931e+02,4.882856730448933291e+01,1.468206359610548239e-01,nan,nan
2.035935984828426797e+02,6.061717041133417183e+01,1.993433747633835684e-01,nan,nan
2.851532016713914786e+01,4.250080692823900108e+01,4.652269090490760567e-02,nan,nan
1.023715456195328954e+02,5.576927718105553566e+01,1.869702258040952803e-01,nan,nan
1.415512033758974155e+02,6.069668814115146205e+01,1.991515977970944873e-01,nan,nan
1.549518044667059371e+02,7.377403506103628672e+01,1.828395631288034229e-01,nan,nan
7.200410814477052668e+01,9.666562435971734146e+01,1.027370164647720963e-01,nan,nan
1.054411870209973330e+02,2.870287008585451716e+01,2.845885041131542281e-01,nan,nan
2.281293817967945756e+02,9.778766364185268856e+01,2.963315942423752972e-02,nan,nan
1.613425688986765749e+02,9.863706302488139954e+01,2.270677024132929656e-01,nan,nan
1.470324396443539854e+02,8.223792956134687415e+01,1.233835256343425030e-01,nan,nan
3.062691115644436834e+01,7.378152015840602473e+01,2.658818886555268657e-01,nan,nan
2.768748171206508601e+01,1.428828780146819177e+01,4.321808038698945337e-02,nan,nan
6.335325231438247329e+01,7.977083041234217831e+01,2.752756446936478474e-01,nan,nan
4.687230179009379327e+01,6.423623824190980258e+01,2.725566956980566072e-02,nan,nan
2.363599841572164451e+02,3.097045223841224626e+01,1.264690176810361610e-01,nan,nan
1.661536106299676874e+01,3.027938511319910830e+01,3.372726884971761346e-02,nan,nan
9.794895053643583083e+01,3.869142159583734042e+01,2.767608390402244711e-01,nan,nan
2.908662871573156039e+01,3.754772900065875518e+01,9.212051177645276534e-02,nan,nan
1.593623650631595581e+02,4.474000923126226326e+01,1.688355570186675647e-01,nan,nan
2.642343726476844168e+01,5.682986427450159539e+01,2.829473552465225361e-01,nan,nan
3.132375836134579572e+01,8.071425455166354368e+01,1.585832776482319351e-01,nan,nan
3.390712125621863038e+01,4.460454066202215984e+01,5.108510527062481467e-03,nan,nan
7.687986941184500722e+01,1.059172259405293914e+01,2.366586282777048966e-01,nan,nan
1.451042072312497169e+02,7.154430947564341636e+01,9.120600487049611987e-03,nan,nan
