v0,theta,R,R_noisy
2.049812199466764184e+01,1.238752772623629372e+00,1.508320367995142419e+01,1.547113960368045404e+01
1.671313440334647993e+01,1.119783333512056167e+00,1.370241960244971224e+01,1.264338958135717839e+01
2.566261006634342934e+01,4.854523848751323700e-01,2.663468456644090310e+01,2.646283739139116165e+01
2.923512771895084583e+01,4.768148015794398398e-01,3.163185356914627988e+01,3.173694003281433140e+01
3.817321160272026503e+01,6.447493732212983275e-01,5.329647488629066032e+01,5.255434059429248350e+01
2.746047401941137522e+01,5.931865375395837248e-01,3.301259637265825830e+01,3.350520416408735258e+01
1.803500170874765374e+01,9.030497083011874704e-01,1.884565995657565907e+01,1.893501667113485709e+01
3.789324085924200602e+01,1.008350140721107735e+00,5.099510563189905810e+01,5.149853401725260227e+01
2.475175853837429685e+01,1.144539679511836994e+00,2.413732160859344944e+01,2.461691403793070521e+01
3.027402594800577518e+01,9.822138161402851342e-01,3.849329852189780610e+01,3.800337123871046430e+01
2.428116731426205632e+01,3.223719397674117970e-01,1.742132362617940444e+01,1.702242574723463520e+01
1.650940079265985361e+01,1.050919166154152817e+00,1.467583394107277250e+01,1.457416769818682134e+01
3.077656134131682109e+01,1.140750843369844114e+00,3.316520054855880772e+01,3.353918041154037155e+01
3.311891449275231025e+01,1.090556867819240772e+00,3.928370192693994767e+01,3.970918557242772096e+01
1.572365515775612899e+01,4.601558693373702380e-01,1.188642826433875754e+01,1.153158582898441509e+01
2.379748038245444874e+01,5.606124092429232153e-01,2.613129901247867082e+01,2.582770041985100562e+01
2.085445179705727625e+01,1.258044217921980845e+00,1.476267747701178479e+01,1.436376601942852105e+01
1.512189458338824544e+01,1.295895981819324305e+00,7.899314845856324929e+00,7.607195731277651696e+00
1.664054979567361414e+01,7.257654229944741076e-01,1.680650810841148513e+01,1.668754641962912189e+01
3.887522233979134967e+01,6.403482404345208767e-01,5.442912522731661085e+01,5.436321770347147719e+01
3.652669154895343695e+01,4.713143927705206182e-01,4.244226115306650371e+01,4.347131838731535680e+01
2.146875478584337671e+01,4.481040872984304868e-01,1.927921624392192257e+01,1.902601441402870819e+01
3.218419729405131591e+01,6.349900605053580005e-01,4.229339101184768168e+01,4.214902882833307274e+01
1.125904111543811581e+01,1.266686335551167941e+00,5.186556021468994082e+00,5.415844886016007997e+00
3.745171603720517339e+01,9.063502183988527694e-01,5.329025026773804541e+01,5.281371323495308445e+01
2.611512553642306855e+01,1.000224124885787935e+00,3.087078960833528996e+01,3.068647603377408473e+01
3.460803410553831583e+01,9.757398089248243700e-01,4.633326678871964788e+01,4.633992602930015181e+01
1.827814772695520418e+01,9.087663171046522770e-01,1.919554130307479056e+01,1.958261427658342413e+01
2.128371439537203003e+01,1.020481354265653673e+00,2.247015947383283319e+01,2.181215204445945588e+01
2.044131156735491572e+01,5.032483790852786409e-01,1.946623768907554819e+01,2.015197241771905823e+01
3.917319003133767552e+01,1.212180587049316749e+00,4.061637864947393695e+01,4.044014996652313698e+01
2.288379648768201235e+01,9.469945524376235380e-01,2.644403390795129027e+01,2.652874211850310360e+01
2.499078221595990001e+01,7.075825498468997221e-01,3.087682609552637913e+01,3.130037024749363539e+01
3.867936790056178609e+01,1.200525005700616932e+00,4.086177103133960031e+01,4.119216749220311158e+01
3.709586765052214474e+01,1.088520832282223294e+00,4.584549230066666325e+01,4.637510824375441132e+01
2.185031530780404552e+01,1.294386700764300180e+00,1.431975684378282665e+01,1.440635575199876506e+01
1.922073759187106745e+01,1.149694619548133456e+00,1.631539046800540405e+01,1.630558379131814917e+01
3.421143808405113873e+01,8.290963632523884463e-01,4.821031197167472016e+01,4.836855124131452044e+01
1.322414769607844498e+01,1.254389017487614444e+00,7.096186075830047457e+00,6.598328380736754539e+00
2.176566741089860102e+01,9.267868808669228464e-01,2.482615386171487515e+01,2.543324754620697448e+01
3.629301451549825686e+01,1.129655367901571283e+00,4.221476667213719480e+01,4.182707354781668130e+01
3.752927244497959691e+01,5.913906452618373777e-01,5.023250029623050494e+01,4.960237835628920777e+01
1.700428805984955716e+01,1.113192282824457813e+00,1.422409049518540769e+01,1.525229488565467229e+01
1.236160451531964455e+01,1.204551025353181259e+00,7.111211026632072496e+00,7.042988556875647177e+00
3.363182495374615399e+01,1.088905521493880535e+00,4.019132301021847553e+01,3.960176057405350036e+01
2.865334196188070948e+01,4.001570138017017109e-01,2.696319046249276852e+01,2.788932532254923302e+01
1.712514452871511850e+01,7.566117906650930980e-01,1.771279785269962304e+01,1.754794154048707355e+01
2.517679582633019209e+01,1.053837938960050513e+00,2.786846078571223018e+01,2.839949867960500995e+01
1.214254666225649615e+01,4.464416512942065984e-01,7.204081465646324567e+00,6.789337103972586718e+00
3.100261961568440228e+01,1.114639004469451633e+00,3.478754271214690874e+01,3.466315270151959282e+01
2.580176367898168976e+01,3.305426636839663979e-01,1.957701219754910227e+01,1.873274752081092487e+01
3.113943593320046332e+01,3.198922157684504497e-01,2.499712226736169995e+01,2.404265258794406535e+01
1.264508119028737099e+01,1.184719849505132760e+00,7.702434772059836732e+00,7.214217478028469799e+00
2.934445069903760839e+01,1.141833802290290301e+00,3.097122993757074738e+01,3.093221042830520062e+01
2.111007649434287714e+01,1.055406888736471815e+00,2.142993936811543421e+01,2.182893222320845439e+01
2.497925697980824111e+01,1.287873273116390660e+00,1.789119989393908128e+01,1.910431014454949405e+01
2.006447499275548907e+01,6.822701093670597849e-01,2.213188662947419871e+01,2.161595513192689211e+01
2.902259579076308071e+01,9.893309122838247482e-01,3.612498202000111291e+01,3.662950216988552654e+01
2.704782805216020591e+01,8.276878679677521777e-01,3.501342732202732577e+01,3.471125684278437973e+01
2.851344271273666209e+01,7.067182133877500938e-01,3.714206533633506524e+01,3.706580068328364064e+01
1.190138862033572842e+01,1.222287672951714921e+00,6.399863869170117958e+00,5.659268060021497959e+00
1.675424803033700982e+01,1.009781471459698876e+00,1.565126640700480998e+01,1.491177353856959797e+01
1.215713682314170185e+01,9.840648971933410039e-01,9.381032535755680968e+00,8.991802234355427359e+00
2.149893549441398477e+01,3.039824237589567324e-01,1.351033287566332497e+01,1.291377756451301551e+01
2.443025481327044091e+01,8.015940761494364519e-01,3.035340335564015035e+01,3.035162616030190463e+01
1.337025828287615425e+01,7.707652473135346849e-01,1.182365590952274736e+01,1.147239867762348631e+01
3.002767254677996434e+01,8.208934835301175958e-01,4.048386533981827995e+01,4.110921387669222327e+01
2.462070268879114110e+01,1.204102526982774313e+00,2.150842760924622254e+01,2.158493746488696985e+01
2.500989136194583651e+01,3.465248354450712331e-01,1.951994787001020271e+01,1.960256696463881099e+01
2.792397523008451898e+01,1.252391854616997868e+00,2.320274510097908305e+01,2.377146270032550035e+01
3.804635188312359162e+01,1.202051956630576512e+00,3.985648658340923589e+01,4.011554271792758186e+01
2.766594899975195787e+01,1.085477144472967836e+00,3.078137981280293545e+01,3.076271332175990025e+01
1.280447690351985557e+01,1.110342131038723590e+00,8.928511722187922217e+00,8.883150041354220150e+00
1.439407681554233953e+01,1.292779723803902048e+00,7.343786762176279126e+00,7.283312443575444384e+00
3.081679381097004722e+01,9.490924845988122360e-01,4.027630111832640836e+01,4.081466209635403430e+01
1.967851652431697573e+01,7.500456276335456529e-01,2.195359312169143351e+01,2.234513593003478604e+01
3.265861676505537048e+01,5.151529914982619918e-01,3.871601428708464709e+01,3.889897326603773564e+01
2.531916415331036774e+01,4.019475602817643156e-01,2.263500429248625778e+01,2.303441895602739464e+01
2.139065648409027176e+01,1.241979242687153651e+00,1.598530920753353435e+01,1.571304255810585815e+01
3.218346077284539319e+01,1.044662082943116799e+00,3.972224256155051592e+01,3.997775396388434643e+01
1.548942418139747090e+01,3.401133556862482865e-01,8.570195339018894742e+00,7.864028507533725509e+00
1.854437807228402590e+01,6.926961803544271490e-01,1.970189715266741715e+01,2.037553242879536697e+01
1.875822467032537233e+01,9.830520919997012275e-01,1.911435928323733435e+01,1.915938341266978640e+01
2.245954129078848638e+01,3.028654341412239659e-01,1.445673174618859314e+01,1.454842824657431244e+01
3.721341547919767834e+01,9.251587414632067574e-01,5.243512889852692638e+01,5.273482082142465543e+01
3.437618889934537947e+01,5.106987481115559113e-01,4.125061293725096334e+01,4.124575815007046486e+01
3.464810160283971641e+01,7.907751842744399351e-01,4.908789604181947652e+01,4.896084209936149279e+01
2.893449589166830549e+01,5.860318867972282852e-01,3.528662369822304612e+01,3.588151600926374840e+01
1.024641461009332488e+01,7.450492739848837420e-01,7.326412566856605579e+00,7.384287902211553067e+00
1.858399161626832452e+01,3.090745248925716449e-01,1.072351365543094381e+01,1.026557781895059307e+01
2.505398208067809662e+01,8.616109631162820470e-01,3.123168164644806666e+01,3.145146110433766751e+01
3.695364250600681544e+01,3.617347499442002401e-01,3.525431185646485233e+01,3.440175163537110592e+01
2.091335275267189786e+01,1.057378412158263448e+00,2.108230453862612919e+01,2.191007575724395906e+01
2.651678390609005120e+01,5.476133097581437070e-01,3.011753158952786080e+01,3.003196603342762216e+01
3.545634514383958447e+01,1.043857370250080185e+00,4.528952151619751731e+01,4.531246344292076600e+01
2.024219476191267830e+01,7.588006792422341551e-01,2.294686660231015907e+01,2.407575183158857968e+01
3.244224508407626217e+01,4.661498747683812671e-01,3.592930404382926923e+01,3.700517458338708821e+01
2.785081642974100902e+01,4.368348566168049341e-01,2.773913308344478779e+01,2.779703642342846237e+01
2.575995678228763808e+01,3.384129731865371249e-01,1.996443388182752088e+01,2.027686705711697002e+01
2.889372746676797732e+01,6.635195652242398268e-01,3.712777279172815525e+01,3.767286272438084183e+01
2.454564903853301416e+01,9.220021603284072054e-01,2.967900472927686906e+01,3.052001523251263748e+01
1.338917665902994081e+01,8.930293261832791263e-01,1.166424079267929770e+01,1.159869434296447821e+01
3.690717344837093350e+01,9.631858287269214891e-01,5.084064341209396076e+01,5.090827351905675613e+01
3.909198194980862695e+01,4.235266299988586503e-01,4.302249550405556988e+01,4.363481261519636689e+01
3.499490970004867307e+01,1.281018656918275100e+00,2.962634035079407369e+01,2.976111550208258549e+01
2.061375590858703788e+01,4.722373666085794564e-01,1.884592310777235369e+01,1.922317303641646191e+01
2.901744183879680961e+01,1.256769464881645204e+00,2.425857013540856499e+01,2.456349989838463443e+01
3.312289284961491376e+01,1.244469884502666268e+00,3.014050473382303252e+01,2.957304875967729174e+01
1.186742139522777606e+01,1.266467341938233293e+00,5.694383835840584496e+00,5.264913329931059316e+00
3.368336039483011035e+01,5.510067311003601365e-01,4.198162466961061767e+01,4.066095524752910961e+01
1.254683370956964339e+01,9.782878539395525319e-01,9.949796545589745023e+00,9.819736193481366726e+00
3.819472560676130968e+01,1.020500731871844424e+00,5.101594383162422730e+01,5.168536254578960154e+01
1.724384460319980406e+01,6.172104269725076087e-01,1.681121200369603841e+01,1.625660863185650129e+01
3.889426365686671261e+01,5.752066192163347580e-01,5.191038080310320879e+01,5.252728258981246512e+01
1.696223827578849708e+01,7.984906700759917264e-01,1.750156308066620170e+01,1.800133616715303830e+01
2.606154594509985500e+01,8.963532370458375809e-01,3.268893234917900514e+01,3.266151125585914627e+01
3.494419500985316063e+01,6.345635465431098687e-01,4.717957182460939691e+01,4.717576600272712284e+01
3.962626388875064265e+01,5.529715312938605631e-01,5.209174110248023482e+01,5.213315767290999503e+01
3.117091313747965842e+01,9.588117934036577417e-01,4.067826480661862831e+01,4.024772134972911175e+01
3.504176439017622613e+01,4.012332502882599017e-01,3.568572088621871785e+01,3.554455568390298481e+01
2.175358391658571122e+01,1.062004993126953512e+00,2.226025586894158437e+01,2.223697371565197045e+01
3.252150394743262751e+01,8.901773158684909149e-01,4.447242695871654661e+01,4.477839593153629494e+01
2.153934199787497406e+01,4.318155267397897901e-01,1.881721236209531867e+01,1.921311878490416447e+01
3.789539482169477935e+01,1.027432765477547694e+00,5.019419550474894010e+01,4.982282647900535011e+01
3.320509098472676612e+01,7.136374489971488710e-01,4.576710971008080264e+01,4.617996628062252285e+01
2.138222175834766148e+01,7.044505133974567901e-01,2.457243484652651588e+01,2.418349957627707880e+01
3.352659757312733291e+01,4.253173613255071817e-01,3.515383284368508043e+01,3.506937457719635631e+01
1.199534791061400085e+01,3.684965260224299377e-01,5.645331301486973707e+00,5.830083979322272292e+00
3.775229130178682624e+01,8.072744855366666972e-01,5.492772487038273965e+01,5.491639817186270278e+01
3.079377986729969052e+01,9.553806078483761954e-01,4.008985065504664647e+01,4.002637023982576636e+01
1.981597889567573390e+01,1.287047065218385411e+00,1.257404161885351002e+01,1.270876224779541808e+01
2.940841451750123170e+01,8.296945500296708520e-01,3.931278170407001937e+01,3.903638217984269687e+01
3.352828066651076711e+01,1.032581281421591335e+00,4.247001459673013812e+01,4.214368152465217321e+01
2.884945131802597373e+01,3.928154187387926100e-01,2.681803250322926502e+01,2.671597544933361590e+01
3.659811801793721742e+01,1.087356905259678541e+00,4.509458055798531007e+01,4.557521616418334531e+01
2.246071024482304779e+01,8.658221900682274708e-01,2.662340616366720525e+01,2.657257212348746833e+01
1.960032002609733581e+01,8.081176440964579211e-01,2.190551810607726324e+01,2.285777877251788226e+01
2.112861183608512050e+01,4.320073331113234993e-01,1.827257873583225489e+01,1.837970537170756558e+01
1.845210869719863211e+01,7.461593705184461633e-01,1.987260349842320650e+01,1.838540418935293630e+01
2.437214183361554731e+01,8.126606090377428426e-01,3.023773678236775453e+01,3.001795993398899753e+01
3.272202654277399603e+01,9.805422612457499465e-01,4.284339968760370709e+01,4.367591674129092638e+01
3.623696495513269156e+01,1.032216286226205870e+00,4.712516448808325720e+01,4.712833740557547202e+01
2.898253653205227920e+01,1.115142143051621071e+00,3.163922003612070455e+01,3.142030319793615689e+01
3.357261547731314977e+01,7.742974461824103649e-01,4.702848851244624484e+01,4.659165864294716641e+01
3.910213120665285658e+01,9.274222670410763314e-01,5.585676078959697577e+01,5.651865970371672887e+01
2.979120053593569395e+01,1.277049300737533422e+00,2.388074788657125680e+01,2.438216015006421244e+01
1.253897879001135784e+01,1.213882971320424664e+00,7.141940417354977200e+00,7.477957841980061637e+00
2.876774800099767049e+01,4.521123707165957684e-01,2.978502983338944077e+01,2.999908080355993079e+01
1.059467931375797889e+01,1.196348614631204565e+00,5.512167809467990232e+00,6.232620935974715337e+00
3.033002228319706717e+01,4.705497500625122620e-01,3.298134723994782291e+01,3.339194809114677298e+01
3.995239144792472530e+01,3.024444163871608526e-01,3.352192088724838470e+01,3.290702068563574301e+01
2.465774802285478984e+01,1.154511997297115622e+00,2.361747367940625253e+01,2.400169544936503740e+01
3.799055441122209231e+01,5.719030577006032345e-01,5.019803999270978778e+01,5.028285316026830998e+01
1.058747424798305303e+01,6.799249949686421157e-01,7.560471575690532298e+00,7.505311678836697808e+00
3.895422433259740558e+01,4.840636688755234895e-01,4.702313442502836693e+01,4.740482848915612379e+01
1.505143612418291355e+01,6.177958617261922747e-01,1.347158204416048832e+01,1.348577529673536368e+01
3.518568395178441222e+01,6.506851003445444093e-01,4.806967851034547579e+01,4.660290108334660886e+01
1.894872282505573935e+01,8.507974047777724369e-01,2.068576144046006959e+01,2.146445550045408979e+01
2.179753739731845030e+01,1.164340490698108965e+00,1.931434012305384584e+01,1.983320012375667218e+01
1.397699863142254983e+01,1.025735983625422953e+00,1.146607645213230775e+01,1.140478184169839615e+01
1.112297241508626655e+01,8.539893755221783511e-01,8.550486156369524693e+00,8.364287841854103789e+00
3.256580468102586678e+01,4.876355388220425247e-01,3.723632236313063970e+01,3.734964657658146336e+01
3.238322986865230035e+01,6.432117530820455897e-01,4.286067319546483390e+01,4.221847628208548286e+01
1.370515293135373547e+01,1.291073762355917420e+00,6.794489343701393125e+00,6.947692175521436475e+00
2.867708866708505155e+01,1.097517432120334924e+00,3.190518936890384083e+01,3.179009083851451578e+01
1.772693706519575585e+01,9.714870486362043867e-01,1.764812520558084685e+01,1.747164978439978356e+01
3.690101767441599634e+01,5.737730013500665915e-01,4.840443011466508239e+01,4.794287083674066707e+01
1.402563625683603021e+01,9.584826780795341339e-01,1.218555702259927287e+01,1.184623892227205033e+01
2.763153765889720503e+01,7.622078249814114859e-01,3.603890211182082481e+01,3.659205032929985180e+01
3.669371018442710408e+01,7.841703175348846422e-01,5.290920872687657805e+01,5.357671924329076774e+01
2.615243481794092872e+01,9.681319068072280487e-01,3.166519619637148253e+01,3.191661523181700488e+01
3.012575614701101046e+01,3.244661562849254222e-01,2.415587813157391750e+01,2.413310982232080448e+01
3.431130115640184641e+01,5.320383257808520838e-01,4.217712091880814285e+01,4.173816922721889000e+01
3.120873074569307803e+01,1.281396237168551666e+00,2.521134369277121934e+01,2.557022053234208059e+01
3.474728148711690778e+01,4.367061999853427134e-01,3.762450667735397758e+01,3.842997477465146261e+01
1.671540738035924534e+01,3.248223754204223046e-01,9.370476222965077540e+00,8.563224245824178738e+00
3.730695470247890455e+01,1.098154404903142645e+00,4.565662361028976335e+01,4.624375326137386821e+01
2.511271084290340738e+01,1.298076394593108862e+00,1.748896681051991564e+01,1.640613198377976545e+01
3.746663651267644468e+01,1.087709452544221023e+00,4.649592510162182180e+01,4.632592056344761744e+01
3.095961619275510657e+01,1.083459057438244333e+00,3.612205343201163288e+01,3.631436573807883406e+01
3.202238430193176555e+01,4.996539558728471664e-01,3.697970439880917581e+01,3.629721085147370729e+01
3.852927135132406988e+01,6.664597162970349320e-01,5.457720466546108895e+01,5.381870930236073036e+01
1.317316188558608658e+01,1.032036352058904205e+00,1.031237464862210373e+01,1.040521153335447124e+01
3.611366531241571920e+01,4.320560578140140717e-01,3.930835199951824421e+01,3.974670951499281557e+01
1.877089513810681609e+01,8.713523268933867083e-01,2.028149381512781346e+01,2.004376729040803440e+01
3.463838795307133722e+01,9.429182099104351789e-01,4.730002671544438186e+01,4.797197272181895755e+01
1.671828986687460628e+01,6.179258531092852724e-01,1.600573437808257538e+01,1.561577334493251179e+01
2.405825198900937067e+01,4.497127053623775628e-01,2.294421044313190450e+01,2.382138614526645881e+01
1.417674378540529645e+01,6.484709983792453780e-01,1.245683919432370601e+01,1.251704169872601469e+01
3.416031189275035018e+01,1.294574333588578430e+00,2.756119681615830430e+01,2.767884846906150642e+01
1.877864024384187047e+01,1.284643659666091065e+00,1.163152701848214399e+01,1.193899486973343649e+01
2.419732179177055542e+01,1.013914339152563793e+00,2.733767477619170805e+01,2.749818820453542401e+01
3.386344695479606770e+01,1.063420239362137476e+00,4.175113694253445118e+01,4.267402709503620883e+01
2.114079151831962378e+01,1.088314706055663050e+00,2.066067354404136225e+01,2.176391507574552975e+01
3.656184613333957145e+01,5.303433073227481476e-01,4.579611295217297595e+01,4.606917185187952413e+01
2.531616349648053443e+01,6.384098922273497845e-01,3.041586549423381669e+01,3.033301310684237606e+01
3.829865580178935147e+01,4.276343582891757866e-01,4.217511449199876949e+01,4.158706414247168937e+01
3.314374533153939240e+01,1.160620305837587019e+00,3.560567518736953474e+01,3.522848782414206426e+01
3.980848913431299962e+01,1.174117971218263445e+00,4.451982748973327375e+01,4.452445158423914506e+01
3.137852684029691730e+01,4.548537578137608617e-01,3.374259861280510364e+01,3.369192918427218331e+01
1.938120769378956609e+01,9.850869602227112498e-01,2.007274554244232689e+01,2.005090874313518867e+01
2.590349216929831755e+01,5.427004613960342283e-01,2.898134182880541232e+01,2.898386605432032681e+01
3.821245733657946886e+01,1.010130266231545670e+00,5.148333937753689327e+01,5.173110923859704258e+01
3.773668138551275320e+01,1.194849818821372534e+00,3.996777856605625345e+01,3.929243496345331721e+01
1.751830543016967567e+01,5.774701251969482918e-01,1.665675262233177989e+01,1.614401480832747282e+01
1.767979042635210618e+01,1.133447979375353576e+00,1.468270201787009377e+01,1.524366245312794277e+01
1.758010376747806092e+01,1.295517598715895113e+00,1.012574882593346892e+01,1.054489509551120996e+01
2.876494971174897231e+01,4.752660605609692612e-01,3.085588066531130735e+01,3.058798991081908980e+01
1.583360530643612840e+01,6.175743077785629254e-01,1.464717940035180810e+01,1.529484639064918028e+01
3.115795792358876781e+01,5.814535974477348379e-01,3.889466578285276199e+01,3.855647015049290616e+01
1.959206668545110475e+01,9.054196840287220827e-01,2.139563770510497420e+01,2.126974166304324498e+01
3.513464982588346430e+01,7.819694872962235088e-01,4.997574825357188644e+01,4.906301272110378164e+01
1.738928366847435925e+01,9.227920787038865758e-01,1.763556453505311339e+01,1.805912566873565339e+01
3.779509187266120307e+01,1.280476418831380858e+00,3.296660901579195979e+01,3.296223347015030214e+01
1.994205306737202932e+01,1.294350048614594906e+00,1.242274092759738657e+01,1.295763248534467316e+01
1.104524563010120097e+01,1.045977610569175820e+00,7.485145999786206872e+00,7.839778328998357360e+00
1.485539953854548934e+01,3.199640377976981642e-01,7.339684227642274017e+00,7.389419762057169550e+00
3.448462284019407775e+01,1.143587496765633427e+00,3.860995928270944688e+01,3.869296275939606033e+01
1.510873128116752184e+01,3.389717047409843143e-01,8.140782690651150233e+00,8.741817526305414532e+00
1.752287646469454785e+01,3.682724000283880694e-01,1.166369671472231140e+01,1.158629069544785573e+01
3.986108047158880652e+01,1.093079510389843856e+00,5.010462261232710546e+01,5.003348321940674737e+01
2.250834254526601796e+01,6.329714386903613210e-01,2.556693457226599620e+01,2.560702833433734327e+01
2.928237736983431816e+01,9.479534399729818706e-01,3.757042814352027449e+01,3.797979629549675451e+01
2.634270916916666749e+01,1.258858063637245506e+00,2.096453154619053194e+01,2.143362386412439236e+01
2.406070320496022674e+01,3.628821888681054708e-01,1.920120502120004602e+01,2.016845362996361501e+01
3.692208629119122065e+01,9.986402030836731836e-01,4.966147678297620871e+01,4.963200581321881089e+01
1.109457801094263907e+01,6.316158781903038477e-01,7.963760542616766358e+00,8.607993260951939618e+00
2.142736085980935457e+01,3.748882906009290417e-01,1.652950811560009470e+01,1.621659190361168257e+01
2.353983778730937715e+01,1.020202348851733554e+00,2.611107928907105347e+01,2.642858803385590605e+01
3.054271583036329574e+01,9.334169896505570829e-01,4.012068432297827059e+01,4.020051793615614599e+01
3.185281288079149320e+01,1.166448721231900576e+00,3.338122058584944085e+01,3.426718005560893232e+01
1.009781759807916757e+01,1.042915155696090945e+00,6.392245755087238912e+00,6.716415018886092270e+00
1.293610763233365901e+01,3.282056266026083802e-01,5.692581126067560504e+00,5.488858734198102773e+00
1.716230175833451810e+01,4.629467642806878724e-01,1.384678081321703935e+01,1.415702548088674462e+01
2.001975419624496766e+01,4.289191691184942035e-01,1.669556858386924958e+01,1.689049200173690934e+01
3.303193071779392653e+01,8.290932574315423853e-01,4.601213001694933524e+01,4.587600475613747619e+01
3.227253018126114625e+01,1.176071157014040303e+00,3.343204544535447553e+01,3.330751734151645138e+01
3.781964949518336994e+01,9.308222162151589263e-01,5.340992275307089443e+01,5.296107754337380413e+01
2.205297039967853578e+01,4.545687405988217411e-01,2.030725392608528423e+01,2.170941989668711969e+01
2.257660646964027507e+01,1.233340456634320015e+00,1.771930823718733805e+01,1.781075890811943552e+01
1.424820819964410390e+01,8.569365956261929540e-01,1.309162381566817679e+01,1.360295042226869988e+01
3.684961903034138686e+01,1.102414632959428653e+00,4.467928417493128990e+01,4.412078888163657098e+01
3.695361826739505773e+01,1.266725349804008305e+00,3.316413823722027132e+01,3.264570566689183551e+01
3.867579898546919992e+01,5.123533527277766009e-01,4.829164761251446691e+01,4.823971050781625536e+01
3.201128082298326660e+01,9.487012164296872996e-01,4.242236190753709479e+01,4.237272617325356805e+01
3.646270400623956931e+01,1.069169862073510169e+00,4.580469784918719967e+01,4.623079935845226629e+01
2.700660352446913492e+01,1.149311006187143436e+00,2.719415623413617311e+01,2.671729299779590860e+01
3.518068224568619939e+01,9.399958336619531618e-01,4.835722364333385315e+01,4.865226686038644033e+01
1.978364693858974022e+01,5.735106088597599072e-01,2.007554334601907797e+01,2.085832007117193854e+01
3.271741425216343657e+01,5.852007433363883848e-01,4.167759670231123437e+01,4.124577376569659748e+01
3.276072324940823677e+01,8.326196900886266850e-01,4.549017501076298231e+01,4.597040607341870100e+01
2.854700243993840303e+01,1.095772147865019308e+00,3.177142466567543977e+01,3.131647367309718888e+01
3.518081794725632960e+01,4.824840806386633818e-01,4.101679724073210309e+01,4.121527848397278859e+01
3.028540367933723587e+01,8.423074060801925000e-01,4.085658180262364425e+01,4.106367472460374302e+01
1.747457891590681456e+01,6.871914737291007214e-01,1.790984796203149187e+01,1.880399192003273612e+01
1.154710210056260777e+01,6.354366146098253676e-01,8.600488670454138784e+00,8.280574780111651378e+00
1.977511152106609060e+01,6.617954995648516192e-01,2.142835926140991987e+01,2.153797255149320122e+01
1.585930544574482148e+01,9.836540363044850022e-01,1.464380066432522476e+01,1.519105862319804956e+01
3.715458350929463904e+01,6.126423317681637393e-01,5.038934945400734478e+01,4.982873599046426705e+01
2.599401073889870872e+01,7.895727933950191790e-01,3.315634341883569647e+01,3.317718348638786807e+01
3.189177556974963323e+01,7.478210564804712579e-01,4.374135907072366791e+01,4.333165408792309137e+01
3.775253212617590037e+01,1.208741843646328418e+00,3.893182949674638849e+01,3.860612090125950147e+01
3.371882860126848414e+01,1.162797600059932934e+00,3.632356797133798665e+01,3.668978763171340063e+01
