t,Np,Nd,dNd_dt,dNd_dt_noisy
1.900380076015203201e+00,8.269277037738056606e+03,1.071368738922280045e+03,4.575917852478598320e+02,4.553409309727812797e+02
1.920384076815363272e+00,8.252751709246318569e+03,1.080502967916736452e+03,4.556494705529991052e+02,4.555108152279077558e+02
1.940388077615523121e+00,8.236259404980082763e+03,1.089598421190637055e+03,4.537150097756883724e+02,4.537480098796724519e+02
1.960392078415683192e+00,8.219800058956841895e+03,1.098655255106551749e+03,4.517883511990111742e+02,4.503630022381410072e+02
1.980396079215843264e+00,8.203373605322911317e+03,1.107673625078517716e+03,4.498694435642412373e+02,4.502022571773792947e+02
2.000400080016003113e+00,8.186979978353429033e+03,1.116653685572039649e+03,4.479582360724281216e+02,4.473069550599847162e+02
2.020404080816163184e+00,8.170619112452353875e+03,1.125595590104090661e+03,4.460546783855372155e+02,4.469171231818529577e+02
2.040408081616323255e+00,8.154290942152469142e+03,1.134499491243110469e+03,4.441587206271784680e+02,4.440331285431441302e+02
2.060412082416483326e+00,8.137995402115378965e+03,1.143365540609007439e+03,4.422703133829542139e+02,4.429394666237436695e+02
2.080416083216643397e+00,8.121732427131511031e+03,1.152193888873157221e+03,4.403894077004534893e+02,4.416082513056247194e+02
2.100420084016803468e+00,8.105501952120114765e+03,1.160984685758402748e+03,4.385159550889212596e+02,4.388988846716347325e+02
2.120424084816963539e+00,8.089303912129260425e+03,1.169738080039055149e+03,4.366499075186258096e+02,4.357741863752029872e+02
2.140428085617123610e+00,8.073138242335842733e+03,1.178454219540892836e+03,4.347912174199497031e+02,4.332768987882450915e+02
2.160432086417283681e+00,8.057004878045579062e+03,1.187133251141162191e+03,4.329398376822234695e+02,4.346932217997398311e+02
2.180436087217443752e+00,8.040903754693005794e+03,1.195775320768577103e+03,4.310957216523237889e+02,4.309844294591362655e+02
2.200440088017603824e+00,8.024834807841484690e+03,1.204380573403318976e+03,4.292588231330558983e+02,4.285702581854215509e+02
2.220444088817763451e+00,8.008797973183200156e+03,1.212949153077037181e+03,4.274290963813351709e+02,4.275733534693960110e+02
2.240448089617923522e+00,7.992793186539155613e+03,1.221481202872848598e+03,4.256064961061873646e+02,4.254150847757047131e+02
2.260452090418083593e+00,7.976820383859180765e+03,1.229976864925337850e+03,4.237909774665808982e+02,4.246431197307935577e+02
2.280456091218243664e+00,7.960879501221923420e+03,1.238436280420557068e+03,4.219824960691069009e+02,4.220164242515439810e+02
2.300460092018403735e+00,7.944970474834858578e+03,1.246859589596025899e+03,4.201810079655191430e+02,4.201947575491375346e+02
2.320464092818563806e+00,7.929093241034279345e+03,1.255246931740732180e+03,4.183864696501475464e+02,4.176718899291145704e+02
2.340468093618723877e+00,7.913247736285302381e+03,1.263598445195130807e+03,4.165988380571962466e+02,4.170684061559437623e+02
2.360472094418883948e+00,7.897433897181868815e+03,1.271914267351144872e+03,4.148180705579375172e+02,4.137842038355825593e+02
2.380476095219044019e+00,7.881651660446739697e+03,1.280194534652164748e+03,4.130441249578120733e+02,4.137100143975760602e+02
2.400480096019204090e+00,7.865900962891750169e+03,1.288439383875010662e+03,4.112769593614765427e+02,4.128008968744666731e+02
2.420484096819364161e+00,7.850181741454975963e+03,1.296648951412495762e+03,4.095165322450916392e+02,4.079918462069924772e+02
2.440488097619524233e+00,7.834493933262042447e+03,1.304823371124278310e+03,4.077628026739404277e+02,4.052965734425891355e+02
2.460492098419683860e+00,7.818837475560645544e+03,1.312962776142150688e+03,4.060157301125608456e+02,4.066326088677151915e+02
2.480496099219843931e+00,7.803212305720136101e+03,1.321067298882287560e+03,4.042752744203626207e+02,4.068231722358457318e+02
2.500500100020004002e+00,7.787618361231520794e+03,1.329137071045246103e+03,4.025413958484577392e+02,4.015404709995858639e+02
2.520504100820164073e+00,7.772055579707463949e+03,1.337172223615966459e+03,4.008140550364482806e+02,3.995633592776462706e+02
2.540508101620324144e+00,7.756523898882285721e+03,1.345172886863771282e+03,3.990932130091756562e+02,3.996821819429561060e+02
2.560512102420484215e+00,7.741023256611961187e+03,1.353139190342366192e+03,3.973788311734394370e+02,3.965381095833811287e+02
2.580516103220644286e+00,7.725553590874124893e+03,1.361071262889839090e+03,3.956708713146894070e+02,3.951648458307526539e+02
2.600520104020804357e+00,7.710114839768064485e+03,1.368969232628661075e+03,3.939692955936942553e+02,3.936211781270104666e+02
2.620524104820964428e+00,7.694706941514724349e+03,1.376833226965685299e+03,3.922740665431945217e+02,3.928060686294863331e+02
2.640528105621124499e+00,7.679329834456707431e+03,1.384663372592147880e+03,3.905851470645416157e+02,3.901798447031484898e+02
2.660532106421284571e+00,7.663983457058270687e+03,1.392459795483668131e+03,3.889025004243272861e+02,3.891803832644074532e+02
2.680536107221444198e+00,7.648667747905329634e+03,1.400222620900246966e+03,3.872260902510078608e+02,3.870495569921142760e+02
2.700540108021604269e+00,7.633382645705451978e+03,1.407951973386269174e+03,3.855558805315251902e+02,3.847112094278735981e+02
2.720544108821764340e+00,7.618128089287865805e+03,1.415647976770501373e+03,3.838918356079293517e+02,3.835720093501861356e+02
2.740548109621924411e+00,7.602904017603454122e+03,1.423310754166092920e+03,3.822339201740043109e+02,3.812835205088363750e+02
2.760552110422084482e+00,7.587710369724756674e+03,1.430940427970576593e+03,3.805820992718991533e+02,3.805886142577688815e+02
2.780556111222244553e+00,7.572547084845967220e+03,1.438537119865866998e+03,3.789363382887694343e+02,3.778124720612037777e+02
2.800560112022404624e+00,7.557414102282938984e+03,1.446100950818261936e+03,3.772966029534285894e+02,3.762037085841333237e+02
2.820564112822564695e+00,7.542311361473180114e+03,1.453632041078441489e+03,3.756628593330125341e+02,3.771198211483177829e+02
2.840568113622724766e+00,7.527238801975854585e+03,1.461130510181468935e+03,3.740350738296594955e+02,3.739818896093541412e+02
2.860572114422884837e+00,7.512196363471783116e+03,1.468596476946789835e+03,3.724132131772065577e+02,3.723593111517345164e+02
2.880576115223044908e+00,7.497183985763442251e+03,1.476030059478232488e+03,3.707972444379049648e+02,3.713087808578225690e+02
2.900580116023204980e+00,7.482201608774966189e+03,1.483431375164008159e+03,3.691871349991552052e+02,3.687662779966063340e+02
2.920584116823364607e+00,7.467249172552144046e+03,1.490800540676710170e+03,3.675828525702635261e+02,3.673543172027853529e+02
2.940588117623524678e+00,7.452326617262421678e+03,1.498137671973315264e+03,3.659843651792218679e+02,3.664095139145537701e+02
2.960592118423684749e+00,7.437433883194901682e+03,1.505442884295182466e+03,3.643916411695103079e+02,3.646740570117547122e+02
2.980596119223844820e+00,7.422570910739209467e+03,1.512716292703076533e+03,3.628046491430357037e+02,3.616453524161032647e+02
3.000600120024004891e+00,7.407737640361767262e+03,1.519958012983495337e+03,3.612233578666767926e+02,3.620567004633464308e+02
3.020604120824164962e+00,7.392934012728584094e+03,1.527168158597813772e+03,3.596477365766706953e+02,3.590573016333816554e+02
3.040608121624325033e+00,7.378159968627743183e+03,1.534346842294939506e+03,3.580777548120272513e+02,3.570216758617130495e+02
3.060612122424485104e+00,7.363415448961871334e+03,1.541494176286810443e+03,3.565133823938064666e+02,3.556129073238074056e+02
3.080616123224645175e+00,7.348700394748137114e+03,1.548610272248394949e+03,3.549545894221487288e+02,3.545640440777934259e+02
3.100620124024805246e+00,7.334014747118253581e+03,1.555695241317691398e+03,3.534013462733327628e+02,3.550286465279558570e+02
3.120624124824965318e+00,7.319358447318475555e+03,1.562749194095728399e+03,3.518536235968603592e+02,3.506780876919395951e+02
3.140628125625125389e+00,7.304731436709601439e+03,1.569772240646565024e+03,3.503113923125704332e+02,3.504714682051047703e+02
3.160632126425285016e+00,7.290133656766973218e+03,1.576764490497289898e+03,3.487746236077816775e+02,3.466367992496910801e+02
3.180636127225445087e+00,7.275565049080475546e+03,1.583726052638023248e+03,3.472432889344635214e+02,3.472417220013183510e+02
3.200640128025605158e+00,7.261025555354534845e+03,1.590657035521913940e+03,3.457173600064382413e+02,3.466169264239142649e+02
3.220644128825765229e+00,7.246515117408122933e+03,1.597557547065141989e+03,3.441968087966115490e+02,3.439601454745500746e+02
3.240648129625925300e+00,7.232033677174752484e+03,1.604427694646917416e+03,3.426816075342336489e+02,3.420522526103503083e+02
3.260652130426085371e+00,7.217581176702480661e+03,1.611267585109480706e+03,3.411717287021904781e+02,3.414032397662490439e+02
3.280656131226245442e+00,7.203157558153906393e+03,1.618077324758102122e+03,3.396671450343258130e+02,3.403672967854764693e+02
3.300660132026405513e+00,7.188762763806174007e+03,1.624857019361082621e+03,3.381678295127932188e+02,3.388314870838106003e+02
3.320664132826565584e+00,7.174396736050967775e+03,1.631606774149752937e+03,3.366737553654388648e+02,3.386462292193686494e+02
3.340668133626725655e+00,7.160059417394517368e+03,1.638326693818474268e+03,3.351848960632156036e+02,3.353940635355518793e+02
3.360672134426885727e+00,7.145750750457593313e+03,1.645016882524638277e+03,3.337012253176264949e+02,3.331088152178735413e+02
3.380676135227045354e+00,7.131470677975512444e+03,1.651677443888666403e+03,3.322227170782006169e+02,3.320967378882139656e+02
3.400680136027205425e+00,7.117219142798131543e+03,1.658308480994010779e+03,3.307493455299982656e+02,3.306768469843784715e+02
3.420684136827365496e+00,7.102996087889851879e+03,1.664910096387153317e+03,3.292810850911474745e+02,3.293898224746255892e+02
3.440688137627525567e+00,7.088801456329617395e+03,1.671482392077606619e+03,3.278179104104108319e+02,3.277878825971814081e+02
3.460692138427685638e+00,7.074635191310914706e+03,1.678025469537912841e+03,3.263597963647828806e+02,3.265337623036791115e+02
3.480696139227845709e+00,7.060497236141774010e+03,1.684539429703645283e+03,3.249067180571182121e+02,3.232358679965030888e+02
3.500700140028005780e+00,7.046387534244769085e+03,1.691024372973406571e+03,3.234586508137892906e+02,3.242882797698293302e+02
3.520704140828165851e+00,7.032306029157015473e+03,1.697480399208830477e+03,3.220155701823741765e+02,3.214408309134531692e+02
3.540708141628325922e+00,7.018252664530173206e+03,1.703907607734579869e+03,3.205774519293753997e+02,3.194042932329283531e+02
3.560712142428485993e+00,7.004227384130443170e+03,1.710306097338348991e+03,3.191442720379671982e+02,3.197820231976086234e+02
3.580716143228646065e+00,6.990230131838457055e+03,1.716675966272907772e+03,3.177160067055691002e+02,3.190333327129552003e+02
3.600720144028806136e+00,6.976260851592175641e+03,1.723017313361824336e+03,3.162926322317917425e+02,3.167856603812911658e+02
3.620724144828965763e+00,6.962319487468847910e+03,1.729330236774336299e+03,3.148741251393064431e+02,3.150352844531519736e+02
3.640728145629125834e+00,6.948405983709926659e+03,1.735614833334289415e+03,3.134604622396390141e+02,3.125282419342670437e+02
3.660732146429285905e+00,6.934520284664452447e+03,1.741871199455717942e+03,3.120516205375611207e+02,3.149231878753745946e+02
3.680736147229445976e+00,6.920662334789056331e+03,1.748099431142846470e+03,3.106475772290435771e+02,3.115278358497050704e+02
3.700740148029606047e+00,6.906832078647960770e+03,1.754299623990089003e+03,3.092483096992399396e+02,3.081090150288969767e+02
3.720744148829766118e+00,6.893029460912975992e+03,1.760471873182048967e+03,3.078537955204947707e+02,3.070741576042550491e+02
3.740748149629926189e+00,6.879254426363500897e+03,1.766616273493519657e+03,3.064640124503793004e+02,3.065509916989511794e+02
3.760752150430086260e+00,6.865506919886525793e+03,1.772732919289483561e+03,3.050789384297534639e+02,3.035242072977574708e+02
3.780756151230246331e+00,6.851786886476631480e+03,1.778821904525113496e+03,3.036985515808542573e+02,3.038671819878647966e+02
3.800760152030406402e+00,6.838094271235985616e+03,1.784883322745771011e+03,3.023228302054094456e+02,3.018637586496967060e+02
3.820764152830566474e+00,6.824429019374347263e+03,1.790917267087007758e+03,3.009517527827774757e+02,3.021780233830937163e+02
3.840768153630726545e+00,6.810791076209065977e+03,1.796923830274564807e+03,2.995852979681127408e+02,3.005474526317410096e+02
3.860772154430886172e+00,6.797180387165079082e+03,1.802903104624372872e+03,2.982234445905555731e+02,2.955121591531208196e+02
3.880776155231046243e+00,6.783596897774913487e+03,1.808855182042552542e+03,2.968661716514472459e+02,2.969078742374745730e+02
3.900780156031206314e+00,6.770040553678687502e+03,1.814780154025413140e+03,2.955134583225702727e+02,2.938959908230465885e+02
3.920784156831366385e+00,6.756511300624107207e+03,1.820678111659454771e+03,2.941652839444122947e+02,2.952749219436608428e+02
3.940788157631526456e+00,6.743009084466470995e+03,1.826549145621366051e+03,2.928216280244544691e+02,2.929897338935822972e+02
3.960792158431686527e+00,6.729533851168664114e+03,1.832393346178025922e+03,2.914824702354832198e+02,2.920308756876702319e+02
3.980796159231846598e+00,6.716085546801162309e+03,1.838210803186502517e+03,2.901477904139259749e+02,2.890826656851226630e+02
4.000800160032006225e+00,6.702664117542031818e+03,1.844001606094053614e+03,2.888175685582103824e+02,2.906459987962059017e+02
4.020804160832166296e+00,6.689269509676926646e+03,1.849765843938127091e+03,2.874917848271459206e+02,2.895118581942963374e+02
4.040808161632326367e+00,6.675901669599093111e+03,1.855503605346359564e+03,2.861704195383287015e+02,2.851056484957024963e+02
4.060812162432486438e+00,6.662560543809365299e+03,1.861214978536577746e+03,2.848534531665689542e+02,2.852262682884352785e+02
4.080816163232646510e+00,6.649246078916166880e+03,1.866900051316797772e+03,2.835408663423395978e+02,2.828675639139494251e+02
4.100820164032806581e+00,6.635958221635512928e+03,1.872558911085225645e+03,2.822326398502485745e+02,2.822090699133878502e+02
4.120824164832966652e+00,6.622696918791005373e+03,1.878191644830257019e+03,2.809287546275305658e+02,2.796631176483060131e+02
4.140828165633126723e+00,6.609462117313838462e+03,1.883798339130476279e+03,2.796291917625628685e+02,2.814963372771434820e+02
4.160832166433286794e+00,6.596253764242794205e+03,1.889379080154658368e+03,2.783339324933997432e+02,2.773647529823170998e+02
4.180836167233446865e+00,6.583071806724246017e+03,1.894933953661767646e+03,2.770429582063288763e+02,2.767468743913314029e+02
4.200840168033606936e+00,6.569916192012155079e+03,1.900463045000957663e+03,2.757562504344489867e+02,2.762577333655594884e+02
4.220844168833767007e+00,6.556786867461467409e+03,1.905966439199778279e+03,2.744737908475124186e+02,2.738262301690962772e+02
4.240848169633927078e+00,6.543683780465708878e+03,1.911444221900819457e+03,2.731955611580793857e+02,2.729562487283470773e+02
4.260852170434087149e+00,6.530606878596677234e+03,1.916896477610757529e+03,2.719215432944725990e+02,2.713579034480456471e+02
4.280856171234247221e+00,6.517556109554111572e+03,1.922323290179461992e+03,2.706517193509770323e+02,2.705182585961407540e+02
4.300860172034407292e+00,6.504531421138601218e+03,1.927724743136538791e+03,2.693860715530126413e+02,2.682155289179123656e+02
4.320864172834567363e+00,6.491532761251579359e+03,1.933100919691328727e+03,2.681245822558445866e+02,2.676865941802423094e+02
4.340868173634727434e+00,6.478560077895327595e+03,1.938451902732908593e+03,2.668672339433123284e+02,2.666603410186000929e+02
4.360872174434887505e+00,6.465613319172975025e+03,1.943777774830090493e+03,2.656140092265765134e+02,2.652802832227723684e+02
4.380876175235047576e+00,6.452692433288495522e+03,1.949078618231422752e+03,2.643648908428830850e+02,2.644215807977768691e+02
4.400880176035207647e+00,6.439797368546712278e+03,1.954354514865188776e+03,2.631198616543459821e+02,2.628267594349892420e+02
4.420884176835367718e+00,6.426928073353293257e+03,1.959605546339407965e+03,2.618789046467457524e+02,2.626321160551851221e+02
4.440888177635526901e+00,6.414084496214756655e+03,1.964831793941834803e+03,2.606420029283463009e+02,2.603188070025604475e+02
4.460892178435686972e+00,6.401266585738463618e+03,1.970033338639960448e+03,2.594091397287270411e+02,2.592724901324311304e+02
4.480896179235847043e+00,6.388474290632625525e+03,1.975210261081010685e+03,2.581802983976335781e+02,2.575155170616377518e+02
4.500900180036007114e+00,6.375707559706297616e+03,1.980362641591947522e+03,2.569554624038427164e+02,2.564289475637274904e+02
4.520904180836167185e+00,6.362966341869384451e+03,1.985490560179468503e+03,2.557346153340446335e+02,2.544701225432249316e+02
4.540908181636327257e+00,6.350250586132637181e+03,1.990594096530006254e+03,2.545177408917410276e+02,2.550365258126190042e+02
4.560912182436487328e+00,6.337560241607653552e+03,1.995673330009729852e+03,2.533048228961579298e+02,2.521623048785054380e+02
4.580916183236647399e+00,6.324895257506877897e+03,2.000728339664543682e+03,2.520958452811754569e+02,2.513499888829871338e+02
4.600920184036807470e+00,6.312255583143601143e+03,2.005759204220087668e+03,2.508907920942714327e+02,2.512500367462826318e+02
4.620924184836967541e+00,6.299641167931963537e+03,2.010766002081737497e+03,2.496896474954805853e+02,2.500922208614251190e+02
