t,R,C,dR_dt,dR_dt_noisy
1.180236047209441835e-01,9.951876222779562076e-01,1.370808550859353714e-01,-5.139268801254787133e-02,-5.924017481171906657e-02
1.200240048009601906e-01,9.950851329175744997e-01,1.387753552381306710e-01,-5.107361824387974397e-02,-4.972106127459114538e-02
1.220244048809761978e-01,9.949832945598450218e-01,1.404529187436952820e-01,-5.074215342070195062e-02,-4.392236994159060687e-02
1.240248049609922049e-01,9.948821310558453312e-01,1.421137146530894180e-01,-5.039926633585480736e-02,-7.495396945937925215e-02
1.260252050410081981e-01,9.947816642064607473e-01,1.437579103389923785e-01,-5.004588441762644613e-02,-7.773021059675627731e-02
1.280256051210242052e-01,9.946819143240935857e-01,1.453856715702058766e-01,-4.968289870722963908e-02,-4.469328538605261969e-02
1.300260052010402123e-01,9.945828994579807292e-01,1.469971623029991958e-01,-4.931115025602091084e-02,-6.097989067801596469e-02
1.320264052810562194e-01,9.944846360862226176e-01,1.485925448934709292e-01,-4.893144153376680766e-02,-4.304380124051117307e-02
1.340268053610722265e-01,9.943871393214395171e-01,1.501719801486406103e-01,-4.854453975450270103e-02,-2.955655169254322104e-02
1.360272054410882059e-01,9.942904229107717429e-01,1.517356273264486299e-01,-4.815117674534725306e-02,-8.937086090412096895e-02
1.380276055211042130e-01,9.941944992358797695e-01,1.532836441357564305e-01,-4.775204883601168876e-02,-4.139234592307125538e-02
1.400280056011202201e-01,9.940993793129440093e-01,1.548161867363462285e-01,-4.734781676728298805e-02,-1.673164257888967721e-02
1.420284056811362272e-01,9.940050727926649232e-01,1.563334097389212918e-01,-4.693910561688457300e-02,-5.437727672614640212e-02
1.440288057611522343e-01,9.939115879602629100e-01,1.578354662051056623e-01,-4.652650474120222784e-02,-6.679686932214147499e-02
1.460292058411682414e-01,9.938189319597109384e-01,1.593225076989154276e-01,-4.611057171482504241e-02,-2.730447603533522200e-02
1.480296059211842485e-01,9.937271110420153875e-01,1.607946842551575550e-01,-4.569183673116683497e-02,-3.935567382596329850e-02
1.500300060012002279e-01,9.936361300587430723e-01,1.622521442716591822e-01,-4.527079367852285957e-02,-2.287371690908384866e-02
1.520304060812162350e-01,9.935459930488390601e-01,1.636950347283577523e-01,-4.484791072071372259e-02,-5.347830347199571815e-02
1.540308061612322421e-01,9.934567032649266327e-01,1.651235011952557341e-01,-4.442363094074536223e-02,-8.146908778380064498e-02
1.560312062412482492e-01,9.933682631733065094e-01,1.665376878324208998e-01,-4.399837251475555155e-02,-4.674864163253682897e-02
1.580316063212642563e-01,9.932806744539576238e-01,1.679377373899860748e-01,-4.357252888309537386e-02,-5.471823270837618269e-02
1.600320064012802634e-01,9.931939380005365692e-01,1.693237912081493046e-01,-4.314646891837988635e-02,-2.376337336719053228e-02
1.620324064812962706e-01,9.931080539203778201e-01,1.706959892171737714e-01,-4.272053709044593139e-02,-3.787971588101708698e-02
1.640328065613122499e-01,9.930230215344939548e-01,1.720544699373877939e-01,-4.229505362811762648e-02,-8.306628443899516379e-02
1.660332066413282570e-01,9.929388395415206237e-01,1.733993705295539811e-01,-4.187031770135281328e-02,-7.174939470393280894e-02
1.680336067213442641e-01,9.928555062776456275e-01,1.747308267705596496e-01,-4.144661234351548762e-02,-1.935188642883410581e-02
1.700340068013602712e-01,9.927730192784590679e-01,1.760489729281892735e-01,-4.102419659360125731e-02,-2.403007115815509326e-02
1.720344068813762783e-01,9.926913756648200193e-01,1.773539419847231791e-01,-4.060331289897070595e-02,-5.660939704668292716e-02
1.740348069613922855e-01,9.926105721645829272e-01,1.786458656462985850e-01,-4.018418775706388696e-02,-4.021040767124590271e-02
1.760352070414082926e-01,9.925306051125982743e-01,1.799248743429095188e-01,-3.976703194612992570e-02,-2.862769310172526976e-02
1.780356071214242719e-01,9.924514704507123586e-01,1.811910972284067889e-01,-3.935204074699964055e-02,-2.764193235081769187e-02
1.800360072014402790e-01,9.923731637277671824e-01,1.824446621804981239e-01,-3.893939415626842399e-02,-1.703333925340966976e-02
1.820364072814562861e-01,9.922956800996003413e-01,1.836856958007480889e-01,-3.852925709121701042e-02,-3.211711641067795803e-02
1.840368073614722932e-01,9.922190143290453568e-01,1.849143234145780024e-01,-3.812177958680107448e-02,-4.049248806101352766e-02
1.860372074414883004e-01,9.921431608106232591e-01,1.861306690839174549e-01,-3.771709745688942711e-02,-4.418829907658556461e-02
1.880376075215043075e-01,9.920681138973572732e-01,1.873348556938102538e-01,-3.731533867494268158e-02,-1.092176866161139945e-02
1.900380076015203146e-01,9.919938676071052841e-01,1.885270047166996144e-01,-3.691661791581252183e-02,-9.318797479277596274e-02
1.920384076815362939e-01,9.919204157262102584e-01,1.897072364161418723e-01,-3.652103885249501775e-02,-3.998742197977844803e-02
1.940388077615523010e-01,9.918477518881756438e-01,1.908756699063353379e-01,-3.612869588150139505e-02,-3.530369328189988942e-02
1.960392078415683081e-01,9.917758695736650365e-01,1.920324231521202407e-01,-3.573967432322461280e-02,-7.137339834497929969e-02
1.980396079215843153e-01,9.917047621105025135e-01,1.931776129689787846e-01,-3.535405061369748664e-02,-2.703371028524632208e-02
2.000400080016003224e-01,9.916344226736726331e-01,1.943113550230350928e-01,-3.497189248810680939e-02,-5.125391779919166030e-02
2.020404080816163295e-01,9.915648442853199906e-01,1.954337638310553460e-01,-3.459325915642615795e-02,-1.303213924853248787e-02
2.040408081616323366e-01,9.914960198147498849e-01,1.965449527604475333e-01,-3.421820147154423786e-02,-3.735800357240241787e-02
2.060412082416483437e-01,9.914279419784278735e-01,1.976450340292617014e-01,-3.384676209017952603e-02,-1.711793107044320625e-02
2.080416083216643230e-01,9.913606033957259589e-01,1.987341187441317159e-01,-3.347897672515028067e-02,-3.007886595869698615e-03
2.100420084016803302e-01,9.912939967995723078e-01,1.998123169156674483e-01,-3.311487835234122601e-02,-2.354163878450441644e-02
2.120424084816963373e-01,9.912281147924679736e-01,2.008797372808703574e-01,-3.275449256444135787e-02,-5.464752115001249300e-02
2.140428085617123444e-01,9.911629499400121945e-01,2.019364875282087246e-01,-3.239783969652963724e-02,-7.025580548914560353e-02
2.160432086417283515e-01,9.910984947866406936e-01,2.029826743155168367e-01,-3.204493529187769918e-02,1.178966764603162076e-02
2.180436087217443586e-01,9.910347418556254562e-01,2.040184032699949301e-01,-3.169579024560343489e-02,-3.447809507529141920e-02
2.200440088017603657e-01,9.909716836490749525e-01,2.050437789882093575e-01,-3.135041094201506534e-02,-4.856453463287310757e-02
2.220444088817763451e-01,9.909093126479342484e-01,2.060589050360923657e-01,-3.100879938592017437e-02,-2.740237218439954894e-02
2.240448089617923522e-01,9.908476213119846721e-01,2.070638839489422900e-01,-3.067095332816535680e-02,-3.545623659023158791e-02
2.260452090418083593e-01,9.907866020798439255e-01,2.080588172314234152e-01,-3.033686638568235117e-02,-9.033309780365157693e-03
2.280456091218243664e-01,9.907262473689664173e-01,2.090438053575660871e-01,-3.000652815628396253e-02,-2.915832359535645499e-02
2.300460092018403735e-01,9.906665496041549002e-01,2.100189478021638190e-01,-2.967992491085653939e-02,-2.933618532039605070e-02
2.320464092818563806e-01,9.906075013774187088e-01,2.109843430746625725e-01,-2.935704285097300026e-02,-4.722153587679710218e-02
2.340468093618723877e-01,9.905490952953833750e-01,2.119400885220442954e-01,-2.903786508518310661e-02,-1.729866261649577047e-02
2.360472094418883671e-01,9.904913239953722082e-01,2.128862805474001085e-01,-2.872237223108907445e-02,-5.456904028996363565e-02
2.380476095219043742e-01,9.904341801563544267e-01,2.138230146333853221e-01,-2.841054274840479343e-02,-1.176330675430561565e-02
2.400480096019203813e-01,9.903776564989453801e-01,2.147503853422194631e-01,-2.810235303455208000e-02,9.996084790201219261e-03
2.420484096819363884e-01,9.903217457854063266e-01,2.156684863156862753e-01,-2.779777751604195490e-02,-6.591492846852076148e-02
2.440488097619523955e-01,9.902664408196447665e-01,2.165774102751337749e-01,-2.749678873585116590e-02,-8.915251951963411303e-02
2.460492098419684026e-01,9.902117344472137761e-01,2.174772490214741949e-01,-2.719935743693888131e-02,-1.177738855808089374e-02
2.480496099219844097e-01,9.901576195553127846e-01,2.183680934351839853e-01,-2.690545264212522436e-02,3.679199274495292826e-02
2.500500100020003891e-01,9.901040890727872412e-01,2.192500334763038405e-01,-2.661504173044335064e-02,-5.163816295224069042e-02
2.520504100820163962e-01,9.900511359713664028e-01,2.201231581875119636e-01,-2.632809053730308935e-02,-5.759548450735279407e-02
2.540508101620324033e-01,9.899987533535393736e-01,2.209875557923116629e-01,-2.604456525005302558e-02,-1.132034190554118309e-02
2.560512102420484104e-01,9.899469344507756396e-01,2.218433134831366282e-01,-2.576443226557358079e-02,-4.678247201703127772e-02
2.580516103220644175e-01,9.898956725469338913e-01,2.226905175402229264e-01,-2.548765684700003697e-02,-3.813829394541844858e-02
2.600520104020804246e-01,9.898449609906372348e-01,2.235292534249841978e-01,-2.521420351296183027e-02,-3.391714018005627385e-02
2.620524104820964317e-01,9.897947931952735257e-01,2.243596057800116006e-01,-2.494403609842286984e-02,-1.164398394112790489e-02
2.640528105621124388e-01,9.897451626389951462e-01,2.251816584290738110e-01,-2.467711781284730177e-02,-3.480967684767526799e-02
2.660532106421284460e-01,9.896960628647192282e-01,2.259954943771170233e-01,-2.441341129582624836e-02,-1.746634029382224465e-02
2.680536107221444531e-01,9.896474874801276522e-01,2.268011958102650605e-01,-2.415287867026495727e-02,-2.856621014260433966e-02
2.700540108021604602e-01,9.895994301576669372e-01,2.275988440958192083e-01,-2.389548159323726106e-02,-4.501225918452734370e-02
2.720544108821764118e-01,9.895518846345481290e-01,2.283885197822582425e-01,-2.364118130461256850e-02,-3.163683774819309180e-02
2.740548109621924189e-01,9.895048447127470226e-01,2.291703025992385956e-01,-2.338993867355856904e-02,-4.714993030275653474e-02
2.760552110422084260e-01,9.894583042636173609e-01,2.299442714744191207e-01,-2.314171435032306989e-02,-2.297883970357934846e-02
2.780556111222244331e-01,9.894122572977217533e-01,2.307105046040835994e-01,-2.289647027254511358e-02,-5.099312596168602968e-02
2.800560112022404402e-01,9.893666979335420386e-01,2.314690792296713040e-01,-2.265416888721509536e-02,-4.997652811959617247e-02
2.820564112822564473e-01,9.893216203545607268e-01,2.322200718251252738e-01,-2.241477249637485736e-02,1.400927288625652967e-02
2.840568113622724544e-01,9.892770188115840302e-01,2.329635581387670407e-01,-2.217824337814071345e-02,-2.350784888577425041e-02
2.860572114422884615e-01,9.892328876227417522e-01,2.336996131932967402e-01,-2.194454382259965197e-02,-2.329209445940072509e-02
2.880576115223044686e-01,9.891892211734877316e-01,2.344283112857930562e-01,-2.171363616614482850e-02,-8.925225668204353133e-03
2.900580116023204758e-01,9.891460139165991761e-01,2.351497259877132207e-01,-2.148548282428661138e-02,-3.200690788800839015e-02
2.920584116823364829e-01,9.891032603721773286e-01,2.358639301448930137e-01,-2.126004632305288078e-02,-2.697343051000683500e-02
2.940588117623524900e-01,9.890609551276471345e-01,2.365709958775467636e-01,-2.103728932899019688e-02,-1.040857094569247465e-02
2.960592118423684971e-01,9.890190928377572410e-01,2.372709945802673748e-01,-2.081717467785594577e-02,-1.375677862174590725e-02
2.980596119223845042e-01,9.889776682245801087e-01,2.379639969220262996e-01,-2.059966540204921648e-02,-4.958208357535996008e-02
3.000600120024004558e-01,9.889366760784531474e-01,2.386500728544776184e-01,-2.038472478334334148e-02,4.488401333982046382e-04
3.020604120824164629e-01,9.888961112945103826e-01,2.393292916992163788e-01,-2.017231719696073455e-02,-3.493319077918680821e-02
3.040608121624324700e-01,9.888559688748327359e-01,2.400017219268456570e-01,-1.996240798400558680e-02,-4.636438174186023609e-02
3.060612122424484771e-01,9.888162438839269708e-01,2.406674313060685189e-01,-1.975496270701457280e-02,-4.226683945699086231e-02
3.080616123224644842e-01,9.887769314470611359e-01,2.413264869650517674e-01,-1.954994719285517435e-02,-2.931358080173824751e-02
3.100620124024804913e-01,9.887380267502648978e-01,2.419789553914258595e-01,-1.934732755339257926e-02,2.133517881218410794e-02
3.120624124824964984e-01,9.886995250403293189e-01,2.426249024322849057e-01,-1.914707020523369330e-02,-4.853546782825320788e-02
3.140628125625125056e-01,9.886614216248065246e-01,2.432643932941867260e-01,-1.894914188859636583e-02,-1.494724457523784536e-02
3.160632126425285127e-01,9.886237118720105910e-01,2.438974925431528773e-01,-1.875350968536886043e-02,-7.219911863763329996e-02
3.180636127225445198e-01,9.885863912110165463e-01,2.445242641046684873e-01,-1.856014103632855350e-02,-1.859931436495847537e-02
3.200640128025605269e-01,9.885494551316610368e-01,2.451447712636824761e-01,-1.836900375762970383e-02,4.120156679270473021e-03
3.220644128825765340e-01,9.885128991845419932e-01,2.457590766646073344e-01,-1.818006605653424423e-02,-2.409664910807062313e-02
3.240648129625925411e-01,9.884767189810189647e-01,2.463672423113193455e-01,-1.799329654645402676e-02,-3.372716964353757174e-02
3.260652130426085482e-01,9.884409101978186563e-01,2.469693296183488596e-01,-1.780866440203568435e-02,-1.202088780057224138e-02
3.280656131226244998e-01,9.884054686043042270e-01,2.475653993711982304e-01,-1.762613989521705227e-02,-1.223461164507923249e-04
3.300660132026405069e-01,9.883703900378374430e-01,2.481555116147558804e-01,-1.744569380434086991e-02,-8.542545289057026925e-04
3.320664132826565140e-01,9.883356703871589710e-01,2.487397258258107480e-01,-1.726729724349233830e-02,3.204454910475245527e-02
3.340668133626725211e-01,9.883013055923142165e-01,2.493181009179495644e-01,-1.709092167703540888e-02,-1.186173486862848910e-02
3.360672134426885282e-01,9.882672916446526568e-01,2.498906952415569371e-01,-1.691653893067825154e-02,-3.172679142450156309e-02
3.380676135227045354e-01,9.882336245868282854e-01,2.504575665838154053e-01,-1.674412120205952259e-02,-1.989360095172559156e-02
3.400680136027205425e-01,9.882003005127995010e-01,2.510187721687052176e-01,-1.657364107084385862e-02,-1.838610471133916152e-02
3.420684136827365496e-01,9.881673155678291076e-01,2.515743686570046100e-01,-1.640507150835950056e-02,-1.368663692140653296e-02
3.440688137627525567e-01,9.881346659484843142e-01,2.521244121462896670e-01,-1.623838588679415995e-02,-1.698908121753003181e-02
3.460692138427685638e-01,9.881023479026365131e-01,2.526689581709342658e-01,-1.607355798796421265e-02,-1.172440951555912825e-02
3.480696139227845709e-01,9.880703577294616125e-01,2.532080617021102431e-01,-1.591056201169012418e-02,-5.768181352706794329e-02
3.500700140028005780e-01,9.880386917794401480e-01,2.537417771477872286e-01,-1.574937258377928639e-02,4.991351317221785072e-03
3.520704140828165851e-01,9.880073464554052221e-01,2.542701584132522341e-01,-1.558996484094631041e-02,-2.995844656397211869e-02
3.540708141628325922e-01,9.879763182274045041e-01,2.547932588259423925e-01,-1.543231467548046576e-02,-4.476128208665608454e-02
3.560712142428485438e-01,9.879456036193923207e-01,2.553111310692743330e-01,-1.527639840743059974e-02,6.673805836052947027e-04
3.580716143228645509e-01,9.879151991973375013e-01,2.558238273319667910e-01,-1.512219268340625478e-02,1.781095750124579713e-02
3.600720144028805580e-01,9.878851015691674231e-01,2.563313993095261978e-01,-1.496967448282500446e-02,-2.643970745338937098e-03
3.620724144828965652e-01,9.878553073847675670e-01,2.568338982042465135e-01,-1.481882112365107140e-02,-1.078983827751306412e-02
3.640728145629125723e-01,9.878258133359814064e-01,2.573313747252092831e-01,-1.466961026786683941e-02,-3.797511790216564348e-02
3.660732146429285794e-01,9.877966161566110737e-01,2.578238790882834697e-01,-1.452201992669842345e-02,5.726716351863904431e-02
3.680736147229445865e-01,9.877677126224163606e-01,2.583114610161257874e-01,-1.437602846555535718e-02,7.630437050982347147e-03
3.700740148029605936e-01,9.877390995511156069e-01,2.587941697381804795e-01,-1.423161460876870565e-02,-4.271398136734309847e-02
3.720744148829766007e-01,9.877107738023851446e-01,2.592720539906792632e-01,-1.408875744406777597e-02,-3.357970535006139096e-02
3.740748149629926078e-01,9.876827322778598539e-01,2.597451620166415509e-01,-1.394743642686015195e-02,-1.177295521256254210e-02
3.760752150430086149e-01,9.876549719211323852e-01,2.602135415658741735e-01,-1.380763138427067160e-02,-5.267590968417033143e-02
3.780756151230246220e-01,9.876274897165753242e-01,2.606772399204398405e-01,-1.366932251827603084e-02,-9.453562343013173844e-03
3.800760152030406291e-01,9.876002826904636267e-01,2.611363039274617326e-01,-1.353249046323802551e-02,-2.500927935605700564e-02
3.820764152830566363e-01,9.875733479174971796e-01,2.615907798193327638e-01,-1.339711625735365286e-02,1.725964875055178288e-02
3.840768153630725879e-01,9.875466825074724619e-01,2.620407133788469900e-01,-1.326318122313201175e-02,1.079068536757415986e-02
3.860772154430885950e-01,9.875202836040920529e-01,2.624861499586639280e-01,-1.313066696381351428e-02,-8.091280289968283412e-02
3.880776155231046021e-01,9.874941483849639656e-01,2.629271344813083333e-01,-1.299955536619334939e-02,-1.195699071551053518e-02
3.900780156031206092e-01,9.874682740616020915e-01,2.633637114391704781e-01,-1.286982860331989387e-02,-5.330651609141209835e-02
3.920784156831366163e-01,9.874426578794258669e-01,2.637959248945062063e-01,-1.274146913703426420e-02,1.499948084417881272e-02
3.940788157631526234e-01,9.874172971177604952e-01,2.642238184794365452e-01,-1.261445972038567620e-02,-8.411812992190067367e-03
3.960792158431686305e-01,9.873921890898367248e-01,2.646474353959481496e-01,-1.248878339990727726e-02,1.221352904767653361e-03
3.980796159231846376e-01,9.873673311427912935e-01,2.650668184158930241e-01,-1.236442351778195559e-02,-3.899254173786442790e-02
4.000800160032006447e-01,9.873427206576662618e-01,2.654820098809886342e-01,-1.224136371386387589e-02,3.346939223602363178e-02
4.020804160832166518e-01,9.873183550494094574e-01,2.658930517028177953e-01,-1.211958792761072545e-02,3.838224625115040783e-02
4.040808161632326589e-01,9.872942317668746970e-01,2.662999853628288394e-01,-1.199908039990107977e-02,-3.861835646555639157e-02
4.060812162432486661e-01,9.872703482888054438e-01,2.667028519618701576e-01,-1.187982563757301879e-02,-2.559447590915111398e-03
4.080816163232646732e-01,9.872467021234581086e-01,2.671016921717362380e-01,-1.176180836160017895e-02,-2.859436907135485054e-02
4.100820164032806803e-01,9.872232908154869868e-01,2.674965461455012794e-01,-1.164501356768905815e-02,-1.223426198920736160e-02
4.120824164832966874e-01,9.872001119371395239e-01,2.678874536599191170e-01,-1.152942647789269304e-02,-4.317035095850679099e-02
4.140828165633126390e-01,9.871771630880643578e-01,2.682744541182223164e-01,-1.141503254052279870e-02,3.526360532399266945e-02
4.160832166433286461e-01,9.871544418953108746e-01,2.686575865501223959e-01,-1.130181743134364702e-02,-3.553130520841034368e-02
4.180836167233446532e-01,9.871319460133302082e-01,2.690368896118096598e-01,-1.118976705471977362e-02,-1.859186242965713692e-02
4.200840168033606603e-01,9.871096731239742406e-01,2.694124015859531429e-01,-1.107886754464929013e-02,1.458205733113768221e-03
4.220844168833766674e-01,9.870876209364961573e-01,2.697841603817008882e-01,-1.096910526576082290e-02,-2.715812222616403523e-02
4.240848169633926745e-01,9.870657871875503364e-01,2.701522035346796691e-01,-1.086046681422936366e-02,-1.684327755753691619e-02
4.260852170434086816e-01,9.870441696411922372e-01,2.705165682069950450e-01,-1.075293901862876822e-02,-2.484393517930288259e-02
4.280856171234246887e-01,9.870227660888785115e-01,2.708772911872314726e-01,-1.064650894072834142e-02,-1.398302781163569299e-02
4.300860172034406959e-01,9.870015743494670035e-01,2.712344088904522499e-01,-1.054116387622920648e-02,-3.980472975373677835e-02
4.320864172834567030e-01,9.869805922692166389e-01,2.715879573581995166e-01,-1.043689135544342839e-02,-2.138659324550094484e-02
4.340868173634727101e-01,9.869598177186773569e-01,2.719379722890638007e-01,-1.033367910777364951e-02,-1.550600222557975763e-02
4.360872174434887172e-01,9.869392485848049734e-01,2.722844890464125589e-01,-1.023151490441957800e-02,-1.857466499952294819e-02
4.380876175235047243e-01,9.869188827847066303e-01,2.726275425127895335e-01,-1.013038670849947254e-02,-8.713137836154597957e-03
4.400880176035207314e-01,9.868987182585664542e-01,2.729671672370225233e-01,-1.003028266678482328e-02,-1.735783815070285341e-02
4.420884176835366830e-01,9.868787529688629601e-01,2.733033974450196912e-01,-9.931191103982689450e-03,8.899094107001834231e-03
4.440888177635526901e-01,9.868589849003683856e-01,2.736362670397692876e-01,-9.833100523115034797e-03,-1.791299866776078359e-02
4.460892178435686972e-01,9.868394120601491348e-01,2.739658096013398159e-01,-9.735999605885531372e-03,-1.315223951328263474e-02
4.480896179235847043e-01,9.868200324775656673e-01,2.742920583868798667e-01,-9.639877212996847411e-03,-2.625941061289316023e-02
