t,N,P_i,dN_dt,dN_dt_noisy
3.312662532506501112e+00,5.062759250525712673e+01,1.316679001217742617e-01,1.676934187109584684e+01,1.681780835891651549e+01
3.336667333466693197e+00,5.102974828915779426e+01,1.330081582726065081e-01,1.673649642493405310e+01,1.666634687191609743e+01
3.360672134426885282e+00,5.143107663599093371e+01,1.343529256834895269e-01,1.670035372918218997e+01,1.660729484156097513e+01
3.384676935387077368e+00,5.183149869916900343e+01,1.357021158727389487e-01,1.666092656390684112e+01,1.670905401313399352e+01
3.408681736347269009e+00,5.223093576899175616e+01,1.370556417116186587e-01,1.661823061287921632e+01,1.686454381608973918e+01
3.432686537307461094e+00,5.262930927264623193e+01,1.384134154243409631e-01,1.657228446873704542e+01,1.654767111333056562e+01
3.456691338267653180e+00,5.302654077420677226e+01,1.397753485880665614e-01,1.652310963593353677e+01,1.646752305785418002e+01
3.480696139227845265e+00,5.342255280728426214e+01,1.411413526046988443e-01,1.647073042170997326e+01,1.635361473830741730e+01
3.504700940188037350e+00,5.381726988962287805e+01,1.425113392428813963e-01,1.641517375705119974e+01,1.628167266129526070e+01
3.528705741148229436e+00,5.421061548036711031e+01,1.438852189284081928e-01,1.635646956722341372e+01,1.640896789067983619e+01
3.552710542108421521e+00,5.460251398946248003e+01,1.452629019244161823e-01,1.629465050036741758e+01,1.637973080364527334e+01
3.576715343068613606e+00,5.499289090630414023e+01,1.466442984053565879e-01,1.622975186349208698e+01,1.623066933558033753e+01
3.600720144028805692e+00,5.538167279973679058e+01,1.480293184569949905e-01,1.616181157216145436e+01,1.619506917102907551e+01
3.624724944988997333e+00,5.576878731805474843e+01,1.494178720764111901e-01,1.609087009808046176e+01,1.610246175583117179e+01
3.648729745949189418e+00,5.615416318900192749e+01,1.508098691719994000e-01,1.601697041465686766e+01,1.603083589926158936e+01
3.672734546909381503e+00,5.653773021977181656e+01,1.522052195634680249e-01,1.594015794061785307e+01,1.578754203535956790e+01
3.696739347869573589e+00,5.691941929700749370e+01,1.536038329818398274e-01,1.586048048176026093e+01,1.581466865445533898e+01
3.720744148829765674e+00,5.729916238680162621e+01,1.550056190694518443e-01,1.577798817091433392e+01,1.578913610167332848e+01
3.744748949789957759e+00,5.767689253469649202e+01,1.564104873799554429e-01,1.569273340620125801e+01,1.561441672814488868e+01
3.768753750750149845e+00,5.805254386568394409e+01,1.578183473783162927e-01,1.560477078766506409e+01,1.555712781327908267e+01
3.792758551710341930e+00,5.842605158420541045e+01,1.592291084408142821e-01,1.551415705236000342e+01,1.543224503432723083e+01
3.816763352670534015e+00,5.879735246425804007e+01,1.606426802130907494e-01,1.542095088519352331e+01,1.538760121777367829e+01
3.840768153630725656e+00,5.916638572379698502e+01,1.620589732056422760e-01,1.532521260434987731e+01,1.541052343178239070e+01
3.864772954590917742e+00,5.953309103126015600e+01,1.634778973540976510e-01,1.522700456810288827e+01,1.518634653303732840e+01
3.888777755551109827e+00,5.989740965238849668e+01,1.648993629150955209e-01,1.512639081508884331e+01,1.511100374706913207e+01
3.912782556511301912e+00,6.025928454558753344e+01,1.663232805377284351e-01,1.502343694473469426e+01,1.510480878067850696e+01
3.936787357471493998e+00,6.061866036192734697e+01,1.677495612635429012e-01,1.491821002003996455e+01,1.498268704145565700e+01
3.960792158431686083e+00,6.097548344514261487e+01,1.691781165265393294e-01,1.481077846974285706e+01,1.498029922563882010e+01
3.984796959391878168e+00,6.132970183163257616e+01,1.706088581531721438e-01,1.470121198999172130e+01,1.449216348217886186e+01
4.008801760352070254e+00,6.168126525046102415e+01,1.720416983623496432e-01,1.458958144564135928e+01,1.467526734009367040e+01
4.032806561312262339e+00,6.203012512335636330e+01,1.734765497654340849e-01,1.447595877129185205e+01,1.442773036261454322e+01
4.056811362272454424e+00,6.237623456471153105e+01,1.749133253662416843e-01,1.436041687218573770e+01,1.437388605406752617e+01
4.080816163232646510e+00,6.271954838158405465e+01,1.763519385610425594e-01,1.424302952507711950e+01,1.432680146356702622e+01
4.104820964192838595e+00,6.306002307369603699e+01,1.777923031385607588e-01,1.412387127918444740e+01,1.423219659475358156e+01
4.128825765153030680e+00,6.339761683343414234e+01,1.792343332799743727e-01,1.400301735733623332e+01,1.410695242636711733e+01
4.152830566113222766e+00,6.373228968830925822e+01,1.806779437992304393e-01,1.388054350525011671e+01,1.389605417435794266e+01
4.176835367073413963e+00,6.406400388837585069e+01,1.821230506957041972e-01,1.375652574301791908e+01,1.391749201131974978e+01
4.200840168033606048e+00,6.439272331070691280e+01,1.835695701822997183e-01,1.363104047420050868e+01,1.360274305147889429e+01
4.224844968993798133e+00,6.471841364638035543e+01,1.850174191332953078e-01,1.350416431864447553e+01,1.349006612733739630e+01
4.248849769953990219e+00,6.504104242402607383e+01,1.864665151282137445e-01,1.337597400244713164e+01,1.345590912133654093e+01
4.272854570914182304e+00,6.536057900982595470e+01,1.879167764518223371e-01,1.324654625729492707e+01,1.319140901649688047e+01
4.296859371874374389e+00,6.567699460751387619e+01,1.893681220941328958e-01,1.311595772083069278e+01,1.333204834670081773e+01
4.320864172834566475e+00,6.599026225837575055e+01,1.908204717504016767e-01,1.298428483814371504e+01,1.308620549467917726e+01
4.344868973794758560e+00,6.630035684124945305e+01,1.922737458211294104e-01,1.285160376447410968e+01,1.306916129673614968e+01
4.368873774754950645e+00,6.660725507252483624e+01,1.937278654120613841e-01,1.271799026921835463e+01,1.271533135050277608e+01
4.392878575715142730e+00,6.691093550614380092e+01,1.951827523341873039e-01,1.258351964132043221e+01,1.254521078629430164e+01
4.416883376675334816e+00,6.721137849292773581e+01,1.966383291648702847e-01,1.244826661424628966e+01,1.246497141446298151e+01
4.440888177635526901e+00,6.750856607693746980e+01,1.980945195453709118e-01,1.231230532259449362e+01,1.238576297285511352e+01
4.464892978595718986e+00,6.780248221523117991e+01,1.995512478569199943e-01,1.217570911620902052e+01,1.211696634752162005e+01
4.488897779555911072e+00,6.809311257048415200e+01,2.010084393168444228e-01,1.203855056620979092e+01,1.207652074090703564e+01
4.512902580516103157e+00,6.838044448591723778e+01,2.024660200045630964e-01,1.190090139493326227e+01,1.189922096704117926e+01
4.536907381476295242e+00,6.866446698529674109e+01,2.039239168615869513e-01,1.176283239652781276e+01,1.192440057258545671e+01
4.560912182436487328e+00,6.894517077293454577e+01,2.053820576915190155e-01,1.162441335925714370e+01,1.155814317802705737e+01
4.584916983396679413e+00,6.922254823368804466e+01,2.068403711600542982e-01,1.148571298956193409e+01,1.159032916673480607e+01
4.608921784356871498e+00,6.949659343296012537e+01,2.082987867949799010e-01,1.134679883792635025e+01,1.128241248437234923e+01
4.632926585317062695e+00,6.976730211669919868e+01,2.097572349861748786e-01,1.120773722659283678e+01,1.111167380728209508e+01
4.656931386277254781e+00,7.003467160919670675e+01,2.112156470157488530e-01,1.106859323196523093e+01,1.099756328922766890e+01
4.680936187237446866e+00,7.029870059182444209e+01,2.126739552169091829e-01,1.092943073515107244e+01,1.081041214896684721e+01
4.704940988197638951e+00,7.055938948492642737e+01,2.141320928610848107e-01,1.079031216361290113e+01,1.080494719961954608e+01
4.728945789157831037e+00,7.081674011467391949e+01,2.155899941415093946e-01,1.065129860321478716e+01,1.075442468282265374e+01
4.752950590118023122e+00,7.107075568371764973e+01,2.170475941774072381e-01,1.051244976011321342e+01,1.052888124796669267e+01
4.776955391078215207e+00,7.132144077118783798e+01,2.185048290139934568e-01,1.037382390937926147e+01,1.043625642059774883e+01
4.800960192038407293e+00,7.156880133269420696e+01,2.199616356224737834e-01,1.023547784534033411e+01,1.039869526489784768e+01
4.824964992998599378e+00,7.181284470032591116e+01,2.214179519000447072e-01,1.009746683365475306e+01,1.012446947837263878e+01
4.848969793958791463e+00,7.205357958265163631e+01,2.228737166698933903e-01,9.959844565130246963e+00,9.979360801226556887e+00
4.872974594918983549e+00,7.229101606471955677e+01,2.243288696811977512e-01,9.822663111294973604e+00,9.795156964498946905e+00
4.896979395879175634e+00,7.252516545075818044e+01,2.257833516297081677e-01,9.685972972864140829e+00,9.525148744363011843e+00
4.920984196839367719e+00,7.275603999619531237e+01,2.272371042748505821e-01,9.549823200174721194e+00,9.625797093361530443e+00
4.944988997799559804e+00,7.298365333561467594e+01,2.286900703537164403e-01,9.414261113319430052e+00,9.238615068556832455e+00
4.968993798759751890e+00,7.320802013887693249e+01,2.301421935299957922e-01,9.279332469567803443e+00,9.344600113206185554e+00
4.992998599719943975e+00,7.342915609110728781e+01,2.315934183942776892e-01,9.145081448974167415e+00,9.143649415400771474e+00
5.017003400680136060e+00,7.364707789269542104e+01,2.330436904640501850e-01,9.011550629858041006e+00,9.124228774939084019e+00
5.041008201640328146e+00,7.386180325929557000e+01,2.344929561837004184e-01,8.878780965628685351e+00,8.872003939577639997e+00
5.065013002600519343e+00,7.407335092182646008e+01,2.359411629245144193e-01,8.746811762945331026e+00,8.664491747149563494e+00
5.089017803560711428e+00,7.428174062647131848e+01,2.373882589846773861e-01,8.615680661202963719e+00,8.651471687878222738e+00
5.113022604520903514e+00,7.448699309084125275e+01,2.388341935880103073e-01,8.485423640930907396e+00,8.429400027360093972e+00
5.137027405481095599e+00,7.468912961715106746e+01,2.402789169292056104e-01,8.356075252515394070e+00,8.337979570049212086e+00
5.161032206441287684e+00,7.488817245515943455e+01,2.417223802146244438e-01,8.227668378298327312e+00,8.231855456984527919e+00
5.185037007401479769e+00,7.508414460305466775e+01,2.431645355485106685e-01,8.100234347131173962e+00,8.086779375956606231e+00
5.209041808361671855e+00,7.527706973085012976e+01,2.446053359204426736e-01,7.973802976322055258e+00,7.954922748824673207e+00
5.233046609321863940e+00,7.546697218038423216e+01,2.460447352053333758e-01,7.848402566612193709e+00,7.765158067783488605e+00
5.257051410282056025e+00,7.565387696532042128e+01,2.474826881634302200e-01,7.724059898003915237e+00,7.705146519594634036e+00
5.281056211242248111e+00,7.583780977114720656e+01,2.489191504403151511e-01,7.600800226424347272e+00,7.386966165712244958e+00
5.305061012202440196e+00,7.601879695517814639e+01,2.503540785669046143e-01,7.478647281208516517e+00,7.462914071685993633e+00
5.329065813162632281e+00,7.619686549738193548e+01,2.517874299537939953e-01,7.357623296513741806e+00,7.237817697920549520e+00
5.353070614122824367e+00,7.637204267177932593e+01,2.532191629123999310e-01,7.237749234338682669e+00,7.349775603373385202e+00
5.377075415083016452e+00,7.654435634572057268e+01,2.546492367079170038e-01,7.119044588415848196e+00,7.246037263147973917e+00
5.401080216043208537e+00,7.671383480994008153e+01,2.560776114376358548e-01,7.001527503116236062e+00,6.806424925064110454e+00
5.425085017003400623e+00,7.688050673071357721e+01,2.575042480176708004e-01,6.885214812890424696e+00,6.899706491927013907e+00
5.449089817963592708e+00,7.704440114985807497e+01,2.589291081829597774e-01,6.770122050097466371e+00,6.757485657880790697e+00
5.473094618923784793e+00,7.720554748473192319e+01,2.603521544872642868e-01,6.656263453229058769e+00,6.551591890220971770e+00
5.497099419883975990e+00,7.736397552823473234e+01,2.617733503031695053e-01,6.543651975514613639e+00,6.596817289779513871e+00
5.521104220844168076e+00,7.751971544880746023e+01,2.631926598220842295e-01,6.432299293892389969e+00,6.386130339426915548e+00
5.545109021804360161e+00,7.767279768865590484e+01,2.646100480380001452e-01,6.322215890817489026e+00,6.145455981248828969e+00
