t,S,E,P_prod,dS_dt,dS_dt_noisy
3.120624124824964984e-01,2.472966300321895972e+01,9.989558818146352381e-01,2.397224283787940391e-01,-8.707443878441896157e-01,-8.724921087647412588e-01
3.240648129625924856e-01,2.471920993202279959e+01,9.989155756448364620e-01,2.489294311187444375e-01,-8.710856854255191184e-01,-8.753075895412826268e-01
3.360672134426885282e-01,2.470875276525093511e+01,9.988752591456379060e-01,2.581354575118619543e-01,-8.714268474004225329e-01,-8.692904174254364458e-01
3.480696139227845154e-01,2.469829150453175259e+01,9.988349323801382074e-01,2.673405068424211661e-01,-8.717678736706373499e-01,-8.695946543604117229e-01
3.600720144028805580e-01,2.468782615149480364e+01,9.987945954110197810e-01,2.765445783945223446e-01,-8.721087641373546084e-01,-8.509303765868441172e-01
3.720744148829765452e-01,2.467735670777077672e+01,9.987542483005492633e-01,2.857476714520906236e-01,-8.724495187012161201e-01,-8.835697263281389047e-01
3.840768153630725879e-01,2.466688317499152916e+01,9.987138911105772898e-01,2.949497852988762214e-01,-8.727901372623169118e-01,-8.765661873335869325e-01
3.960792158431686305e-01,2.465640555479006935e+01,9.986735239025384958e-01,3.041509192184548849e-01,-8.731306197202024499e-01,-8.527029036452791200e-01
4.080816163232646177e-01,2.464592384880054610e+01,9.986331467374514048e-01,3.133510724942271120e-01,-8.734709659738688625e-01,-8.670039360118504401e-01
4.200840168033606603e-01,2.463543805865828062e+01,9.985927596759186509e-01,3.225502444094188736e-01,-8.738111759217637164e-01,-8.671805421980011142e-01
4.320864172834566475e-01,2.462494818599973812e+01,9.985523627781269784e-01,3.317484342470812253e-01,-8.741512494617836859e-01,-8.792913131786582737e-01
4.440888177635526901e-01,2.461445423246253483e+01,9.985119561038472424e-01,3.409456412900904732e-01,-8.744911864912759958e-01,-8.909719381998325582e-01
4.560912182436486773e-01,2.460395619968544878e+01,9.984715397124338532e-01,3.501418648211477302e-01,-8.748309869070360900e-01,-8.731563394648086396e-01
4.680936187237447199e-01,2.459345408930840193e+01,9.984311136628258865e-01,3.593371041227798601e-01,-8.751706506053090751e-01,-8.740805097270936130e-01
4.800960192038407071e-01,2.458294790297248511e+01,9.983906780135457515e-01,3.685313584773385331e-01,-8.755101774817873883e-01,-8.877836980242331810e-01
4.920984196839367497e-01,2.457243764231992245e+01,9.983502328227006339e-01,3.777246271670005595e-01,-8.758495674316132407e-01,-8.826818340494189119e-01
5.041008201640327924e-01,2.456192330899411047e+01,9.983097781479810529e-01,3.869169094737679448e-01,-8.761888203493742866e-01,-8.769092571466465813e-01
5.161032206441288350e-01,2.455140490463958969e+01,9.982693140466619708e-01,3.961082046794682787e-01,-8.765279361291063998e-01,-8.859754523597141995e-01
5.281056211242247667e-01,2.454088243091434052e+01,9.982288405794627062e-01,4.052985120566670041e-01,-8.768669146668972569e-01,-8.778496143454194156e-01
5.401080216043208093e-01,2.453035588949939338e+01,9.981883578136375723e-01,4.144878308615250195e-01,-8.772057558629746676e-01,-8.762509255882801051e-01
5.521104220844168520e-01,2.451982528204079870e+01,9.981478658047375774e-01,4.236761603767263407e-01,-8.775444596094004179e-01,-8.771885972388455688e-01
5.641128225645128946e-01,2.450929061018370092e+01,9.981073646072582406e-01,4.328634998862808114e-01,-8.778830257972500828e-01,-8.829459423803932561e-01
5.761152230446089373e-01,2.449875187557482903e+01,9.980668542754167483e-01,4.420498486736886834e-01,-8.782214543171353860e-01,-8.722839735992771182e-01
5.881176235247048689e-01,2.448820907986250006e+01,9.980263348631527309e-01,4.512352060219404493e-01,-8.785597450592070867e-01,-8.696480755163837895e-01
6.001200240048009116e-01,2.447766222469660491e+01,9.979858064241277082e-01,4.604195712135173979e-01,-8.788978979131515379e-01,-8.756894148674858602e-01
6.121224244848969542e-01,2.446711131172862608e+01,9.979452690117254221e-01,4.696029435303908928e-01,-8.792359127681921294e-01,-8.874182150420951709e-01
6.241248249649929969e-01,2.445655634261162703e+01,9.979047226790516145e-01,4.787853222540228160e-01,-8.795737895130878448e-01,-8.722572666752334003e-01
6.361272254450889285e-01,2.444599731900025219e+01,9.978641674789341387e-01,4.879667066653654572e-01,-8.799115280361327063e-01,-8.849259282208031818e-01
6.481296259251849712e-01,2.443543424255073049e+01,9.978236034639230700e-01,4.971470960448616250e-01,-8.802491282251564408e-01,-8.714575220422765556e-01
6.601320264052810138e-01,2.442486711492087537e+01,9.977830306862902621e-01,5.063264896724444242e-01,-8.805865899675224817e-01,-8.913044641362969367e-01
6.721344268853770565e-01,2.441429593777007767e+01,9.977424491980300125e-01,5.155048868275374785e-01,-8.809239131501288567e-01,-8.717792411188410862e-01
6.841368273654730991e-01,2.440372071275932342e+01,9.977018590508585083e-01,5.246822867890548192e-01,-8.812610976594071888e-01,-8.814617322055620097e-01
6.961392278455690308e-01,2.439314144155116892e+01,9.976612602962139364e-01,5.338586888354005522e-01,-8.815981433813213641e-01,-8.940856322846655324e-01
7.081416283256650734e-01,2.438255812580976212e+01,9.976206529852568172e-01,5.430340922444698570e-01,-8.819350502013684201e-01,-8.850740449210369176e-01
7.201440288057611161e-01,2.437197076720083189e+01,9.975800371688696710e-01,5.522084962936478769e-01,-8.822718180045782121e-01,-8.817307952168628171e-01
7.321464292858571588e-01,2.436137936739168453e+01,9.975394128976570185e-01,5.613819002598102736e-01,-8.826084466755109714e-01,-8.798805332838663951e-01
7.441488297659530904e-01,2.435078392805121794e+01,9.974987802219454913e-01,5.705543034193230056e-01,-8.829449360982587480e-01,-8.927668173476684954e-01
7.561512302460491330e-01,2.434018445084991100e+01,9.974581391917840545e-01,5.797257050480426610e-01,-8.832812861564447449e-01,-8.943550166280966884e-01
7.681536307261451757e-01,2.432958093745982353e+01,9.974174898569433401e-01,5.888961044213162355e-01,-8.836174967332213193e-01,-8.816216514047504615e-01
7.801560312062412184e-01,2.431897338955459631e+01,9.973768322669164244e-01,5.980655008139810214e-01,-8.839535677112714263e-01,-8.886210638800694506e-01
7.921584316863372610e-01,2.430836180880946529e+01,9.973361664709182728e-01,6.072338935003646077e-01,-8.842894989728076194e-01,-8.819344428555053739e-01
8.041608321664331926e-01,2.429774619690122961e+01,9.972954925178861840e-01,6.164012817542853240e-01,-8.846252903995700523e-01,-8.770300951747862506e-01
8.161632326465292353e-01,2.428712655550829069e+01,9.972548104564791238e-01,6.255676648490517966e-01,-8.849609418728279220e-01,-9.014488155363373778e-01
8.281656331266252780e-01,2.427650288631062381e+01,9.972141203350785021e-01,6.347330420574628373e-01,-8.852964532733784697e-01,-8.827525721082023491e-01
8.401680336067213206e-01,2.426587519098978873e+01,9.971734222017877292e-01,6.438974126518081098e-01,-8.856318244815456486e-01,-8.733853548061882854e-01
8.521704340868172523e-01,2.425524347122892621e+01,9.971327161044324372e-01,6.530607759038673521e-01,-8.859670553771813450e-01,-8.889423238208861155e-01
8.641728345669132949e-01,2.424460772871276859e+01,9.970920020905599257e-01,6.622231310849108210e-01,-8.863021458396622698e-01,-8.944102916720380048e-01
8.761752350470093376e-01,2.423396796512761853e+01,9.970512802074400494e-01,6.713844774656991810e-01,-8.866370957478922898e-01,-8.791146574760964061e-01
8.881776355271053802e-01,2.422332418216137384e+01,9.970105505020645520e-01,6.805448143164835040e-01,-8.869719049803003186e-01,-8.844374398182188735e-01
9.001800360072014229e-01,2.421267638150350621e+01,9.969698130211471776e-01,6.897041409070054918e-01,-8.873065734148399830e-01,-8.783477427070643939e-01
9.121824364872973545e-01,2.420202456484507891e+01,9.969290678111240034e-01,6.988624565064966987e-01,-8.876411009289894016e-01,-8.910932580295022332e-01
9.241848369673933972e-01,2.419136873387873266e+01,9.968883149181529957e-01,7.080197603836798637e-01,-8.879754873997509623e-01,-9.027936701369730921e-01
9.361872374474894398e-01,2.418070889029869264e+01,9.968475543881143430e-01,7.171760518067675783e-01,-8.883097327036497681e-01,-8.894098403507623152e-01
9.481896379275854825e-01,2.417004503580076857e+01,9.968067862666101231e-01,7.263313300434631747e-01,-8.886438367167346364e-01,-8.931021182468469322e-01
9.601920384076814141e-01,2.415937717208235114e+01,9.967660105989647468e-01,7.354855943609599489e-01,-8.889777993145764334e-01,-8.812245610941007445e-01
9.721944388877774568e-01,2.414870530084241551e+01,9.967252274302245141e-01,7.446388440259423813e-01,-8.893116203722677415e-01,-8.873752918884961760e-01
9.841968393678734994e-01,2.413802942378152139e+01,9.966844368051580583e-01,7.537910783045844720e-01,-8.896452997644230809e-01,-9.059537920887741347e-01
9.961992398479695421e-01,2.412734954260180942e+01,9.966436387682557907e-01,7.629422964625514059e-01,-8.899788373651773554e-01,-9.019304681662093648e-01
1.008201640328065585e+00,2.411666565900700121e+01,9.966028333637304559e-01,7.720924977649983312e-01,-8.903122330481866298e-01,-8.814743426823140604e-01
1.020204040808161627e+00,2.410597777470240999e+01,9.965620206355167987e-01,7.812416814765708040e-01,-8.906454866866261311e-01,-8.838478365124476932e-01
1.032206441288257670e+00,2.409528589139492283e+01,9.965212006272715639e-01,7.903898468614052319e-01,-8.909785981531906929e-01,-8.973810318122755758e-01
1.044208841768353491e+00,2.408459001079301842e+01,9.964803733823739407e-01,7.995369931831277643e-01,-8.913115673200945333e-01,-8.913220552857673562e-01
1.056211242248449533e+00,2.407389013460674931e+01,9.964395389439246742e-01,8.086831197048558462e-01,-8.916443940590698114e-01,-8.871886585213079046e-01
1.068213642728545576e+00,2.406318626454775611e+01,9.963986973547470649e-01,8.178282256891964419e-01,-8.919770782413667387e-01,-8.872930348828939051e-01
1.080216043208641619e+00,2.405247840232926393e+01,9.963578486573861914e-01,8.269723103982478118e-01,-8.923096197377525796e-01,-8.835471977766090612e-01
1.092218443688737661e+00,2.404176654966608240e+01,9.963169928941093545e-01,8.361153730935975137e-01,-8.926420184185119844e-01,-8.900771621462963967e-01
1.104220844168833704e+00,2.403105070827459855e+01,9.962761301069060771e-01,8.452574130363248450e-01,-8.929742741534458794e-01,-8.939225575431308801e-01
1.116223244648929747e+00,2.402033087987278748e+01,9.962352603374877713e-01,8.543984294869981788e-01,-8.933063868118708006e-01,-8.958948674597492223e-01
1.128225645129025789e+00,2.400960706618020524e+01,9.961943836272878494e-01,8.635384217056775169e-01,-8.936383562626184496e-01,-8.830809282572859020e-01
1.140228045609121832e+00,2.399887926891798884e+01,9.961535000174621679e-01,8.726773889519124916e-01,-8.939701823740355824e-01,-9.164787251248209810e-01
1.152230446089217875e+00,2.398814748980886336e+01,9.961126095488884724e-01,8.818153304847434759e-01,-8.943018650139835657e-01,-8.956884182648969794e-01
1.164232846569313695e+00,2.397741173057713482e+01,9.960717122621663977e-01,8.909522455627008064e-01,-8.946334040498364892e-01,-8.943034030099958898e-01
1.176235247049409738e+00,2.396667199294869377e+01,9.960308081976180228e-01,9.000881334438064485e-01,-8.949647993484830533e-01,-9.092182889571849280e-01
1.188237647529505780e+00,2.395592827865101171e+01,9.959898973952874268e-01,9.092229933855715540e-01,-8.952960507763237930e-01,-8.919679146449432938e-01
1.200240048009601823e+00,2.394518058941314465e+01,9.959489798949405781e-01,9.183568246449975714e-01,-8.956271581992711894e-01,-9.021399683237051326e-01
1.212242448489697866e+00,2.393442892696572954e+01,9.959080557360657782e-01,9.274896264785776889e-01,-8.959581214827504470e-01,-8.873336735195930247e-01
1.224244848969793908e+00,2.392367329304099144e+01,9.958671249578732176e-01,9.366213981422941703e-01,-8.962889404916967173e-01,-8.975448613320400337e-01
1.236247249449889951e+00,2.391291368937272921e+01,9.958261875992953094e-01,9.457521388916207972e-01,-8.966196150905563211e-01,-8.899280826826617696e-01
1.248249649929985994e+00,2.390215011769634046e+01,9.957852436989865774e-01,9.548818479815204263e-01,-8.969501451432859707e-01,-8.847617090915737004e-01
1.260252050410082036e+00,2.389138257974878954e+01,9.957442932953235459e-01,9.640105246664478766e-01,-8.972805305133512155e-01,-8.934512346862164556e-01
1.272254450890177857e+00,2.388061107726863597e+01,9.957033364264047393e-01,9.731381682003468203e-01,-8.976107710637268866e-01,-9.063679824979553601e-01
1.284256851370273900e+00,2.386983561199601311e+01,9.956623731300511260e-01,9.822647778366531135e-01,-8.979408666568963193e-01,-9.130840529739426836e-01
1.296259251850369942e+00,2.385905618567264597e+01,9.956214034438054528e-01,9.913903528282914657e-01,-8.982708171548511311e-01,-8.807369759796873643e-01
1.308261652330465985e+00,2.384827280004183692e+01,9.955804274049325775e-01,1.000514892427677882e+00,-8.986006224190896674e-01,-8.997135443509648445e-01
1.320264052810562028e+00,2.383748545684847286e+01,9.955394450504194692e-01,1.009638395886718332e+00,-8.989302823106174456e-01,-9.058159317869606264e-01
1.332266453290658070e+00,2.382669415783902522e+01,9.954984564169754302e-01,1.018760862456809191e+00,-8.992597966899461559e-01,-8.978172258093378710e-01
1.344268853770754113e+00,2.381589890476154991e+01,9.954574615410314298e-01,1.027882291388838132e+00,-8.995891654170933283e-01,-9.015032787219198207e-01
1.356271254250850156e+00,2.380509969936568382e+01,9.954164604587408816e-01,1.037002681933181902e+00,-8.999183883515819993e-01,-8.913969657094551469e-01
1.368273654730946198e+00,2.379429654340264122e+01,9.953754532059791993e-01,1.046122033339708546e+00,-9.002474653524392689e-01,-8.999081835280682284e-01
1.380276055211042019e+00,2.378348943862523512e+01,9.953344398183436859e-01,1.055240344857776069e+00,-9.005763962781965226e-01,-9.004389004420123577e-01
1.392278455691138062e+00,2.377267838678784528e+01,9.952934203311539774e-01,1.064357615736233775e+00,-9.009051809868894312e-01,-9.080509781972190275e-01
1.404280856171234104e+00,2.376186338964643951e+01,9.952523947794517101e-01,1.073473845223420264e+00,-9.012338193360555083e-01,-8.965381383485805378e-01
1.416283256651330147e+00,2.375104444895858080e+01,9.952113631980006314e-01,1.082589032567165210e+00,-9.015623111827354430e-01,-9.119009784062852564e-01
1.428285657131426190e+00,2.374022156648339532e+01,9.951703256212864890e-01,1.091703177014788251e+00,-9.018906563834718781e-01,-8.952317619858322084e-01
1.440288057611522232e+00,2.372939474398160442e+01,9.951292820835173636e-01,1.100816277813100097e+00,-9.022188547943084114e-01,-8.869794796644070445e-01
1.452290458091618275e+00,2.371856398321551751e+01,9.950882326186231142e-01,1.109928334208401424e+00,-9.025469062707899282e-01,-9.177937666517814730e-01
1.464292858571714318e+00,2.370772928594901074e+01,9.950471772602558218e-01,1.119039345446483091e+00,-9.028748106679610475e-01,-9.275371029814741819e-01
1.476295259051810360e+00,2.369689065394756256e+01,9.950061160417897899e-01,1.128149310772627034e+00,-9.032025678403661217e-01,-8.970337802888229684e-01
1.488297659531906181e+00,2.368604808897821457e+01,9.949650489963212108e-01,1.137258229431604928e+00,-9.035301776420491260e-01,-8.780511994872178816e-01
1.500300060012002223e+00,2.367520159280961067e+01,9.949239761566684992e-01,1.146366100667679744e+00,-9.038576399265516592e-01,-9.138668884152706395e-01
1.512302460492098266e+00,2.366435116721196863e+01,9.948828975553720699e-01,1.155472923724603751e+00,-9.041849545469142768e-01,-9.166919121349341726e-01
1.524304860972194309e+00,2.365349681395708359e+01,9.948418132246944490e-01,1.164578697845620514e+00,-9.045121213556746032e-01,-8.986224320178698433e-01
1.536307261452290351e+00,2.364263853481834943e+01,9.948007231966202735e-01,1.173683422273463783e+00,-9.048391402048668875e-01,-9.132463561054500190e-01
1.548309661932386394e+00,2.363177633157072677e+01,9.947596275028564028e-01,1.182787096250357495e+00,-9.051660109460215597e-01,-9.102262657853888994e-01
1.560312062412482437e+00,2.362091020599076785e+01,9.947185261748314744e-01,1.191889719018016436e+00,-9.054927334301650088e-01,-9.089739080970027363e-01
1.572314462892578479e+00,2.361004015985660942e+01,9.946774192436964590e-01,1.200991289817644914e+00,-9.058193075078186940e-01,-9.004992866449007538e-01
1.584316863372674522e+00,2.359916619494797274e+01,9.946363067403243274e-01,1.210091807889938975e+00,-9.061457330289988121e-01,-9.101987566429300403e-01
1.596319263852770343e+00,2.358828831304614937e+01,9.945951886953102727e-01,1.219191272475083743e+00,-9.064720098432154094e-01,-9.036931814424138398e-01
1.608321664332866385e+00,2.357740651593403314e+01,9.945540651389713771e-01,1.228289682812755856e+00,-9.067981377994713821e-01,-9.085634703884071239e-01
1.620324064812962428e+00,2.356652080539608107e+01,9.945129361013468339e-01,1.237387038142122142e+00,-9.071241167462632538e-01,-9.155708277827793173e-01
1.632326465293058471e+00,2.355563118321835248e+01,9.944718016121982807e-01,1.246483337701839389e+00,-9.074499465315795099e-01,-9.106482091090116748e-01
1.644328865773154513e+00,2.354473765118847695e+01,9.944306617010088001e-01,1.255578580730054572e+00,-9.077756270028999319e-01,-9.172796236545791571e-01
1.656331266253250556e+00,2.353384021109567215e+01,9.943895163969842521e-01,1.264672766464406406e+00,-9.081011580071958189e-01,-9.080360081484983859e-01
1.668333666733346599e+00,2.352293886473073670e+01,9.943483657290520528e-01,1.273765894142022459e+00,-9.084265393909287667e-01,-9.196652016665851637e-01
1.680336067213442641e+00,2.351203361388605373e+01,9.943072097258620623e-01,1.282857962999521817e+00,-9.087517710000503346e-01,-9.196807146930027210e-01
1.692338467693538684e+00,2.350112446035559088e+01,9.942660484157860301e-01,1.291948972273013307e+00,-9.090768526800009353e-01,-8.945072345269483582e-01
1.704340868173634505e+00,2.349021140593490031e+01,9.942248818269177058e-01,1.301038921198096832e+00,-9.094017842757102787e-01,-9.099336264787637463e-01
1.716343268653730547e+00,2.347929445242110802e+01,9.941837099870733940e-01,1.310127809009862032e+00,-9.097265656315960403e-01,-9.102655858863164529e-01
1.728345669133826590e+00,2.346837360161293518e+01,9.941425329237909558e-01,1.319215634942889182e+00,-9.100511965915629720e-01,-9.049358323923867298e-01
1.740348069613922632e+00,2.345744885531067681e+01,9.941013506643305853e-01,1.328302398231249848e+00,-9.103756769990031250e-01,-9.145842470244918143e-01
1.752350470094018675e+00,2.344652021536711928e+01,9.940601632435829282e-01,1.337388098075075638e+00,-9.107000067015701417e-01,-9.129853603763516956e-01
1.764352870574114718e+00,2.343558768371183376e+01,9.940189707081835691e-01,1.346472733624198392e+00,-9.110241855536963529e-01,-9.067726982003773140e-01
1.776355271054210760e+00,2.342465126215184057e+01,9.939777730855333671e-01,1.355556304109078347e+00,-9.113482133978870747e-01,-9.085240549754430850e-01
1.788357671534306803e+00,2.341371095249014900e+01,9.939365704019023084e-01,1.364638808763329214e+00,-9.116720900756187795e-01,-9.232650573449431297e-01
1.800360072014402846e+00,2.340276675653204208e+01,9.938953626834029498e-01,1.373720246819580382e+00,-9.119958154279265150e-01,-9.036623894612298979e-01
1.812362472494498666e+00,2.339181867608508725e+01,9.938541499559901959e-01,1.382800617509478469e+00,-9.123193892954007955e-01,-9.182237387282912167e-01
1.824364872974594709e+00,2.338086671295913987e+01,9.938129322454616332e-01,1.391879920063687104e+00,-9.126428115181898226e-01,-9.232036010213316990e-01
1.836367273454690752e+00,2.336991086896633973e+01,9.937717095774569742e-01,1.400958153711885146e+00,-9.129660819359969315e-01,-9.219708326359874473e-01
1.848369673934786794e+00,2.335895114592111454e+01,9.937304819774589459e-01,1.410035317682769351e+00,-9.132892003880813681e-01,-9.171946538316345654e-01
1.860372074414882837e+00,2.334798754564017287e+01,9.936892494707920687e-01,1.419111411204052153e+00,-9.136121667132559576e-01,-8.973391641670253049e-01
1.872374474894978880e+00,2.333702006994250766e+01,9.936480120826238771e-01,1.428186433502463215e+00,-9.139349807498877709e-01,-9.256903397990955407e-01
1.884376875375074922e+00,2.332604872064940338e+01,9.936067698379641433e-01,1.437260383803748320e+00,-9.142576423358975690e-01,-9.126568834105541761e-01
1.896379275855170965e+00,2.331507349958442177e+01,9.935655227616650986e-01,1.446333261332670261e+00,-9.145801513087584711e-01,-9.359583948896642580e-01
1.908381676335267008e+00,2.330409440857341252e+01,9.935242708784214338e-01,1.455405065313007729e+00,-9.149025075054952882e-01,-9.149181768369472056e-01
1.920384076815362828e+00,2.329311144944451328e+01,9.934830142127704100e-01,1.464475794967556643e+00,-9.152247107626847455e-01,-9.062290465879246915e-01
1.932386477295458871e+00,2.328212462402814253e+01,9.934417527890917476e-01,1.473545449518129269e+00,-9.155467609164539278e-01,-9.179133941370685168e-01
1.944388877775554914e+00,2.327113393415700315e+01,9.934004866316074045e-01,1.482614028185554655e+00,-9.158686578024801683e-01,-9.221622070413135752e-01
1.956391278255650956e+00,2.326013938166608597e+01,9.933592157643820197e-01,1.491681530189678195e+00,-9.161904012559900501e-01,-9.138752906154046229e-01
1.968393678735746999e+00,2.324914096839266975e+01,9.933179402113228029e-01,1.500747954749361623e+00,-9.165119911117597384e-01,-9.095104736002532775e-01
1.980396079215843042e+00,2.323813869617631056e+01,9.932766599961790899e-01,1.509813301082483683e+00,-9.168334272041127608e-01,-9.101968514939386967e-01
1.992398479695939084e+00,2.322713256685885597e+01,9.932353751425430088e-01,1.518877568405939904e+00,-9.171547093669202289e-01,-8.974299708276223253e-01
2.004400880176035127e+00,2.321612258228443082e+01,9.931940856738490364e-01,1.527940755935641493e+00,-9.174758374336005051e-01,-9.153841627102377032e-01
2.016403280656131169e+00,2.320510874429945503e+01,9.931527916133739975e-01,1.537002862886517107e+00,-9.177968112371180931e-01,-9.237209122346474732e-01
2.028405681136227212e+00,2.319409105475262578e+01,9.931114929842373984e-01,1.546063888472511527e+00,-9.181176306099830819e-01,-9.193774225098495512e-01
2.040408081616323255e+00,2.318306951549492823e+01,9.930701898094009827e-01,1.555123831906586318e+00,-9.184382953842500363e-01,-9.191632808404481825e-01
2.052410482096419297e+00,2.317204412837963545e+01,9.930288821116691755e-01,1.564182692400719610e+00,-9.187588053915188846e-01,-9.176714315567376934e-01
2.064412882576515340e+00,2.316101489526229784e+01,9.929875699136887501e-01,1.573240469165905875e+00,-9.190791604629318101e-01,-9.193794385952261949e-01
2.076415283056611383e+00,2.314998181800075727e+01,9.929462532379489392e-01,1.582297161412156816e+00,-9.193993604291750277e-01,-9.176597010402129939e-01
2.088417683536706981e+00,2.313894489845513647e+01,9.929049321067815459e-01,1.591352768348499591e+00,-9.197194051204763410e-01,-9.364279057266274853e-01
2.100420084016803024e+00,2.312790413848784965e+01,9.928636065423606105e-01,1.600407289182979031e+00,-9.200392943666055867e-01,-9.117430048062051817e-01
2.112422484496899067e+00,2.311685953996358478e+01,9.928222765667030769e-01,1.609460723122656090e+00,-9.203590279968736354e-01,-9.261064206860839532e-01
2.124424884976995109e+00,2.310581110474932842e+01,9.927809422016677932e-01,1.618513069373608504e+00,-9.206786058401315032e-01,-9.324101928046018006e-01
2.136427285457091152e+00,2.309475883471434088e+01,9.927396034689565107e-01,1.627564327140929912e+00,-9.209980277247697966e-01,-9.146205161283554874e-01
2.148429685937187195e+00,2.308370273173017395e+01,9.926982603901132185e-01,1.636614495628731625e+00,-9.213172934787182689e-01,-9.081440334048574980e-01
2.160432086417283237e+00,2.307264279767066384e+01,9.926569129865245866e-01,1.645663574040140409e+00,-9.216364029294447091e-01,-9.167061214344502940e-01
2.172434486897379280e+00,2.306157903441192403e+01,9.926155612794194116e-01,1.654711561577300483e+00,-9.219553559039543877e-01,-9.203437627654992292e-01
2.184436887377475323e+00,2.305051144383236661e+01,9.925742052898693935e-01,1.663758457441372185e+00,-9.222741522287905003e-01,-9.315963552825100580e-01
2.196439287857571365e+00,2.303944002781267741e+01,9.925328450387882473e-01,1.672804260832532641e+00,-9.225927917300313919e-01,-8.938771183518964270e-01
2.208441688337667408e+00,2.302836478823583022e+01,9.924914805469324808e-01,1.681848970949975319e+00,-9.229112742332912234e-01,-9.141086880266761083e-01
2.220444088817763451e+00,2.301728572698708675e+01,9.924501118349009499e-01,1.690892586991910473e+00,-9.232295995637197494e-01,-9.346225462671494677e-01
2.232446489297859493e+00,2.300620284595398957e+01,9.924087389231349698e-01,1.699935108155565144e+00,-9.235477675459999869e-01,-9.313441467083973802e-01
2.244448889777955536e+00,2.299511614702637274e+01,9.923673618319183154e-01,1.708976533637182271e+00,-9.238657780043492140e-01,-9.229959855186301576e-01
