t,P,E,A,dP_dt,dP_dt_noisy
4.200840168033607158e-01,8.666598636642213194e+00,1.267708342670965660e+00,3.844140560074285617e-01,-3.133255680461605408e+00,-3.136857864447966993e+00
4.300860172034406959e-01,8.635276428508170454e+00,1.273776058376807852e+00,3.927270756359983461e-01,-3.129917771032152629e+00,-3.177155352185191628e+00
4.400880176035207314e-01,8.603988011053212759e+00,1.279829291677145431e+00,4.010028177263154636e-01,-3.126499324421552650e+00,-3.131412822814163555e+00
4.500900180036007669e-01,8.572734184751652720e+00,1.285868027524199597e+00,4.092414228633184936e-01,-3.123001571884755467e+00,-3.118227420511282766e+00
4.600920184036807470e-01,8.541515737531881314e+00,1.291892250961982569e+00,4.174430330254899069e-01,-3.119425729222699228e+00,-3.117646417369924983e+00
4.700940188037607825e-01,8.510333444776362555e+00,1.297901947126296696e+00,4.256077915848562876e-01,-3.115772996941836404e+00,-3.141087579857551937e+00
4.800960192038408181e-01,8.479188069321640597e+00,1.303897101244735124e+00,4.337358433069880004e-01,-3.112044560410331062e+00,-3.082357156821039723e+00
4.900980196039207981e-01,8.448080361458334409e+00,1.309877698636680909e+00,4.418273343509990791e-01,-3.108241590010977440e+00,-3.063683242296860954e+00
5.001000200040007782e-01,8.417011058931139544e+00,1.315843724713308127e+00,4.498824122695476713e-01,-3.104365241290944599e+00,-3.088322826062616322e+00
5.101020204040808137e-01,8.385980886938824597e+00,1.321795164977580539e+00,4.579012260088359820e-01,-3.100416655108382269e+00,-3.141328166477897810e+00
5.201040208041608492e-01,8.354990565237436329e+00,1.327732005016572181e+00,4.658839239956787392e-01,-3.096396959565125506e+00,-3.059814345375853506e+00
5.301060212042408848e-01,8.324040804162725848e+00,1.333654230492226311e+00,4.738306551173628312e-01,-3.092307269149169535e+00,-3.117379270072522246e+00
5.401080216043209203e-01,8.293132294804937743e+00,1.339561827157143004e+00,4.817415714026877516e-01,-3.088148682403486056e+00,-3.044190651489086630e+00
5.501100220044009559e-01,8.262265718345695120e+00,1.345454780852640253e+00,4.896168255625943377e-01,-3.083922284421952487e+00,-3.137511655265824650e+00
5.601120224044808804e-01,8.231441746096878731e+00,1.351333077508728886e+00,4.974565709798076107e-01,-3.079629147002345579e+00,-3.033905786845906505e+00
5.701140228045609160e-01,8.200661039500628746e+00,1.357196703144111893e+00,5.052609617088371641e-01,-3.075270328786660734e+00,-3.076273501517434728e+00
5.801160232046409515e-01,8.169924250129355414e+00,1.363045643866185985e+00,5.130301524759767196e-01,-3.070846875398611786e+00,-3.133284319915332627e+00
5.901180236047209871e-01,8.139232019685721298e+00,1.368879885871040036e+00,5.207642986793042938e-01,-3.066359819578359680e+00,-3.082054793176701946e+00
6.001200240048010226e-01,8.108584980002659037e+00,1.374699415443455974e+00,5.284635563886824761e-01,-3.061810181314561508e+00,-3.059105067375984532e+00
6.101220244048810581e-01,8.077983753043358917e+00,1.380504218956908558e+00,5.361280823457579281e-01,-3.057198967973755011e+00,-3.043559401015532462e+00
6.201240248049609827e-01,8.047428950901274192e+00,1.386294282873564931e+00,5.437580339639616067e-01,-3.052527174427175805e+00,-3.101636580674224763e+00
6.301260252050410182e-01,8.016921175800119315e+00,1.392069593744285960e+00,5.513535693285093187e-01,-3.047795783175040185e+00,-3.103164435533299681e+00
6.401280256051210538e-01,7.986461020093869934e+00,1.397830138208624229e+00,5.589148471964007214e-01,-3.043005764468348140e+00,-3.033026537825993962e+00
6.501300260052010893e-01,7.956049066266766445e+00,1.403575902994825819e+00,5.664420269964197674e-01,-3.038158076428274956e+00,-3.061495557272265078e+00
6.601320264052811249e-01,7.925685886933309554e+00,1.409306874919829644e+00,5.739352688291350368e-01,-3.033253665163174073e+00,-3.021478384576662624e+00
6.701340268053610494e-01,7.895372044838262049e+00,1.415023040889266781e+00,5.813947334668991829e-01,-3.028293464883273778e+00,-2.990317488759354880e+00
6.801360272054410849e-01,7.865108092856647914e+00,1.420724387897462027e+00,5.888205823538495975e-01,-3.023278398013092172e+00,-3.105717766330639673e+00
6.901380276055211205e-01,7.834894573993754108e+00,1.426410903027432120e+00,5.962129776059075237e-01,-3.018209375301621922e+00,-3.005489969475740875e+00
7.001400280056011560e-01,7.804732021385127894e+00,1.432082573450887297e+00,6.035720820107788320e-01,-3.013087295930342080e+00,-2.951854947553555597e+00
7.101420284056811916e-01,7.774620958296582174e+00,1.437739386428230182e+00,6.108980590279535772e-01,-3.007913047619081404e+00,-3.022789389837605256e+00
7.201440288057612271e-01,7.744561904108059558e+00,1.443381329315824857e+00,6.181910713082615638e-01,-3.002687508362055446e+00,-3.043228237523933899e+00
7.301460292058411516e-01,7.714555373667851157e+00,1.449008389550020759e+00,6.254512807497272231e-01,-2.997411546352620526e+00,-2.959799354993640996e+00
7.401480296059211872e-01,7.684601863821769463e+00,1.454620554634303398e+00,6.326788518558489338e-01,-2.992086016414353011e+00,-2.979413690603946119e+00
7.501500300060012227e-01,7.654701863630338998e+00,1.460217812162887929e+00,6.398739492850205046e-01,-2.986711762895468691e+00,-2.941917609356590635e+00
7.601520304060812583e-01,7.624855854561769064e+00,1.465800149821056886e+00,6.470367378034973527e-01,-2.981289619825788328e+00,-2.998550405328352486e+00
7.701540308061612938e-01,7.595064310491953741e+00,1.471367555385160175e+00,6.541673822853963927e-01,-2.975820411019056699e+00,-3.049911324705167459e+00
7.801560312062413294e-01,7.565327697704470999e+00,1.476920016722615081e+00,6.612660477126962588e-01,-2.970304950173343173e+00,-2.975805488408905575e+00
7.901580316063212539e-01,7.535646474890582702e+00,1.482457521791906485e+00,6.683328991752371939e-01,-2.964744040969533145e+00,-2.987035448620094957e+00
8.001600320064012895e-01,7.506021093149236378e+00,1.487980058642586201e+00,6.753681018707209383e-01,-2.959138477167951642e+00,-2.920372286065572975e+00
8.101620324064813250e-01,7.476451995987062560e+00,1.493487615415273861e+00,6.823718211047108406e-01,-2.953489042703168810e+00,-2.943807400284311093e+00
8.201640328065613605e-01,7.446939619318378334e+00,1.498980180341656032e+00,6.893442222906318584e-01,-2.947796511777017958e+00,-3.029338973398773227e+00
8.301660332066413961e-01,7.417484391465184679e+00,1.504457741744486654e+00,6.962854709497703354e-01,-2.942061648949855002e+00,-3.001819802955015160e+00
8.401680336067214316e-01,7.388086733157165575e+00,1.509920288037587488e+00,7.031957327112744460e-01,-2.936285209230099724e+00,-2.892095757400737099e+00
8.501700340068013562e-01,7.358747057531690672e+00,1.515367807725847005e+00,7.100751733121538622e-01,-2.930467938162101049e+00,-2.896479687291208638e+00
8.601720344068813917e-01,7.329465770133814395e+00,1.520800289405221717e+00,7.169239585972799755e-01,-2.924610571912332979e+00,-2.956622740207757616e+00
8.701740348069614273e-01,7.300243268916275063e+00,1.526217721762734847e+00,7.237422545193853418e-01,-2.918713837353986484e+00,-2.918766277182350599e+00
8.801760352070414628e-01,7.271079944239496662e+00,1.531620093576477437e+00,7.305302271390646807e-01,-2.912778452149962227e+00,-2.890499774461153137e+00
8.901780356071214984e-01,7.241976178871585290e+00,1.537007393715607684e+00,7.372880426247737651e-01,-2.906805124834302756e+00,-2.883384908041938921e+00
9.001800360072015339e-01,7.212932347988333603e+00,1.542379611140351159e+00,7.440158672528303097e-01,-2.900794554892105914e+00,-2.856982445086388545e+00
9.101820364072814584e-01,7.183948819173218148e+00,1.547736734902000810e+00,7.507138674074131934e-01,-2.894747432837919465e+00,-2.881923151476841305e+00
9.201840368073614940e-01,7.155025952417400248e+00,1.553078754142916740e+00,7.573822095805635701e-01,-2.888664440292676439e+00,-2.893405857241101220e+00
9.301860372074415295e-01,7.126164100193202344e+00,1.558405658096901236e+00,7.640210603564551173e-01,-2.882546250080806782e+00,-2.895488653320199113e+00
9.401880376075215651e-01,7.097363616749785109e+00,1.563717436129740124e+00,7.706305843791355636e-01,-2.876393529038566488e+00,-2.823606389011903861e+00
9.501900380076016006e-01,7.068624847019234991e+00,1.569014077666298190e+00,7.772109466269979672e-01,-2.870206934818059441e+00,-2.982749648571986434e+00
9.601920384076816362e-01,7.039948123702349569e+00,1.574295572192697223e+00,7.837623131448440139e-01,-2.863987115111024107e+00,-2.870919881365590953e+00
9.701940388077615607e-01,7.011333773793289481e+00,1.579561909294081579e+00,7.902848496756147423e-01,-2.857734709647004046e+00,-2.856084704447801048e+00
9.801960392078415962e-01,6.982782118579570430e+00,1.584813078654618845e+00,7.967787216603916534e-01,-2.851450350268311951e+00,-2.922717798311821547e+00
9.901980396079216318e-01,6.954293473642070289e+00,1.590049070057498515e+00,8.032440942383956006e-01,-2.845134661003641874e+00,-2.828493980346739711e+00
1.000200040008001556e+00,6.925868148855024664e+00,1.595269873384933534e+00,8.096811322469872341e-01,-2.838788258140380272e+00,-2.871352308762550098e+00
1.010202040408081592e+00,6.897506448386026889e+00,1.600475478618159419e+00,8.160900002216675553e-01,-2.832411750295631414e+00,-2.789289510479843859e+00
1.020204040808161627e+00,6.869208670696032470e+00,1.605665875837434697e+00,8.224708623960765852e-01,-2.826005738485978913e+00,-2.832285342687695273e+00
1.030206041208241663e+00,6.840975108539354643e+00,1.610841055222040241e+00,8.288238827019948074e-01,-2.819570816196005136e+00,-2.786113154156532712e+00
1.040208041608321698e+00,6.812806048963665262e+00,1.616001007050280380e+00,8.351492247693421689e-01,-2.813107569445600031e+00,-2.752165389187038791e+00
1.050210042008401734e+00,6.784701773309995687e+00,1.621145721699481346e+00,8.414470519261785242e-01,-2.806616576856075351e+00,-2.787470097720401885e+00
1.060212042408481770e+00,6.756662557212736786e+00,1.626275189645992825e+00,8.477175271987034133e-01,-2.800098409715104264e+00,-2.843884466886246631e+00
1.070214042808561805e+00,6.728688670599638932e+00,1.631389401465186850e+00,8.539608133112566168e-01,-2.793553632040507662e+00,-2.869269563625739483e+00
1.080216043208641841e+00,6.700780377691809342e+00,1.636488347831458912e+00,8.601770726863171568e-01,-2.786982800642912927e+00,-2.699313594767094315e+00
1.090218043608721876e+00,6.672937937003717401e+00,1.641572019518226622e+00,8.663664674445041847e-01,-2.780386465187302925e+00,-2.785951074846678921e+00
1.100220044008801912e+00,6.645161601343189339e+00,1.646640407397930606e+00,8.725291594045766486e-01,-2.773765168253464530e+00,-2.808193415635180656e+00
1.110222044408881725e+00,6.617451617811412667e+00,1.651693502442034056e+00,8.786653100834331820e-01,-2.767119445395377131e+00,-2.759906590992335929e+00
1.120224044808961761e+00,6.589808227802930851e+00,1.656731295721023400e+00,8.847750806961125480e-01,-2.760449825199533080e+00,-2.770020391723665654e+00
1.130226045209041796e+00,6.562231667005650415e+00,1.661753778404407633e+00,8.908586321557928622e-01,-2.753756829342232315e+00,-2.711149716131597831e+00
1.140228045609121832e+00,6.534722165400832949e+00,1.666760941760718318e+00,8.969161250737923696e-01,-2.747040972645851564e+00,-2.745344563523996584e+00
1.150230046009201867e+00,6.507279947263103104e+00,1.671752777157510250e+00,9.029477197595691118e-01,-2.740302763134112141e+00,-2.739615283953191316e+00
1.160232046409281903e+00,6.479905231160441481e+00,1.676729276061360574e+00,9.089535762207207048e-01,-2.733542702086367182e+00,-2.769271688138015275e+00
1.170234046809361939e+00,6.452598234385916953e+00,1.681690430080537979e+00,9.149338533713335941e-01,-2.726761285491124731e+00,-2.703282880553750100e+00
1.180236047209441974e+00,6.425359174707473642e+00,1.686636230958193927e+00,9.208887085988550769e-01,-2.719959004644030731e+00,-2.771652340761779687e+00
1.190238047609522010e+00,6.398188256059547108e+00,1.691566670436384312e+00,9.268183003328684944e-01,-2.713136341682746533e+00,-2.679841869694548073e+00
1.200240048009602045e+00,6.371085677823241866e+00,1.696481740365721524e+00,9.327227864928696599e-01,-2.706293772581139123e+00,-2.630096896931632511e+00
1.210242048409682081e+00,6.344051635205449458e+00,1.701381432709406338e+00,9.386023244225190076e-01,-2.699431767323480891e+00,-2.775666069228438282e+00
1.220244048809762116e+00,6.317086319238848446e+00,1.706265739543227467e+00,9.444570708896417033e-01,-2.692550789957842028e+00,-2.815862251525407700e+00
1.230246049209841930e+00,6.290189916781905310e+00,1.711134653055562449e+00,9.502871820862277552e-01,-2.685651298648592977e+00,-2.654807360890877099e+00
1.240248049609921965e+00,6.263362610518872664e+00,1.715988165547377431e+00,9.560928136284322365e-01,-2.678733745728042237e+00,-2.551338854953885793e+00
1.250250050010002001e+00,6.236604578959789258e+00,1.720826269432226496e+00,9.618741205565748409e-01,-2.671798577747213077e+00,-2.721844820190807646e+00
1.260252050410082036e+00,6.209915996440482644e+00,1.725648957236252556e+00,9.676312573351399937e-01,-2.664846235525788476e+00,-2.727381023465887733e+00
1.270254050810162072e+00,6.183297033122567399e+00,1.730456221598186906e+00,9.733643778527769630e-01,-2.657877154201224723e+00,-2.628428707512201257e+00
1.280256051210242108e+00,6.156747854993443347e+00,1.735248055269349221e+00,9.790736354222999704e-01,-2.650891763277049673e+00,-2.692927842779964998e+00
1.290258051610322143e+00,6.130268623866300004e+00,1.740024451113647785e+00,9.847591827806878584e-01,-2.643890486670370965e+00,-2.669191760867207996e+00
1.300260052010402179e+00,6.103859497380111243e+00,1.744785402107578820e+00,9.904211720890844228e-01,-2.636873742758591099e+00,-2.654279616092780181e+00
1.310262052410482214e+00,6.077520628999639740e+00,1.749530901340227373e+00,9.960597549327983025e-01,-2.629841944425350242e+00,-2.603241840110760208e+00
1.320264052810562250e+00,6.051252168015434307e+00,1.754260942013267321e+00,1.001675082321302757e+00,-2.622795499105714967e+00,-2.643060617175370997e+00
1.330266053210642285e+00,6.025054259543831670e+00,1.758975517440960257e+00,1.007267304688235887e+00,-2.615734808830609381e+00,-2.601840666826601201e+00
1.340268053610722099e+00,5.998927044526956465e+00,1.763674621050156599e+00,1.012836571891400528e+00,-2.608660270270517056e+00,-2.617486933215195766e+00
1.350270054010802134e+00,5.972870659732715914e+00,1.768358246380295373e+00,1.018383033212765021e+00,-2.601572274778453320e+00,-2.643805829961033638e+00
1.360272054410882170e+00,5.946885237754809594e+00,1.773026387083403321e+00,1.023906837358461441e+00,-2.594471208432227449e+00,-2.610462521319388607e+00
1.370274054810962205e+00,5.920970907012721440e+00,1.777679036924096678e+00,1.029408132458787595e+00,-2.587357452075998765e+00,-2.634877435334394669e+00
1.380276055211042241e+00,5.895127791751723301e+00,1.782316189779579396e+00,1.034887066068205241e+00,-2.580231381361143939e+00,-2.579905632067656551e+00
1.390278055611122277e+00,5.869356012042873161e+00,1.786937839639643810e+00,1.040343785165341872e+00,-2.573093366786440406e+00,-2.629286678164722169e+00
1.400280056011202312e+00,5.843655683783017807e+00,1.791543980606671305e+00,1.045778436152989155e+00,-2.565943773737577871e+00,-2.620588492202339914e+00
1.410282056411282348e+00,5.818026918694788385e+00,1.796134606895630981e+00,1.051191164858103599e+00,-2.558782962526008120e+00,-2.485934871760745235e+00
1.420284056811362383e+00,5.792469829286613248e+00,1.800709712918018290e+00,1.056582115873699435e+00,-2.551611290103130703e+00,-2.554270501118397707e+00
1.430286057211442419e+00,5.766984527880451239e+00,1.805269293229728289e+00,1.061951432546051066e+00,-2.544429109759343000e+00,-2.547124211032945063e+00
1.440288057611522454e+00,5.741571115732326369e+00,1.809813342355574894e+00,1.067299258457244049e+00,-2.537236767490836264e+00,-2.511659946494955165e+00
1.450290058011602490e+00,5.716229691016882164e+00,1.814341854949697463e+00,1.072625736468477475e+00,-2.530034604745218019e+00,-2.551077454872661576e+00
1.460292058411682303e+00,5.690960348956864756e+00,1.818854825797950880e+00,1.077931008703685523e+00,-2.522822958504521651e+00,-2.534249726878429421e+00
1.470294058811762339e+00,5.665763181823121997e+00,1.823352249817906223e+00,1.083215216549537674e+00,-2.515602161323802655e+00,-2.494344724557207016e+00
1.480296059211842374e+00,5.640638278934601679e+00,1.827834122058850319e+00,1.088478500655438941e+00,-2.508372541369157993e+00,-2.494251749256938044e+00
1.490298059611922410e+00,5.615585726658357757e+00,1.832300437701785745e+00,1.093721000933529197e+00,-2.501134422455172146e+00,-2.559099258801793564e+00
1.500300060012002445e+00,5.590605608409541460e+00,1.836751192059430382e+00,1.098942856558684067e+00,-2.493888124081792057e+00,-2.452220994248309083e+00
1.510302060412082481e+00,5.565698004651409292e+00,1.841186380576218751e+00,1.104144205968514258e+00,-2.486633961470655407e+00,-2.516155708635107402e+00
1.520304060812162517e+00,5.540862992895317696e+00,1.845605998828300232e+00,1.109325186863365786e+00,-2.479372245600864666e+00,-2.532176193116574048e+00
1.530306061212242552e+00,5.516100647700726611e+00,1.850010042523540843e+00,1.114485936206319971e+00,-2.472103283244229566e+00,-2.517127036744182256e+00
1.540308061612322588e+00,5.491411040675195920e+00,1.854398507501521687e+00,1.119626590223193663e+00,-2.464827376999972230e+00,-2.484354644217738439e+00
1.550310062012402623e+00,5.466794240474388999e+00,1.858771389733540280e+00,1.124747284402539016e+00,-2.457544825328915827e+00,-2.376179812597762453e+00
1.560312062412482659e+00,5.442250312802070944e+00,1.863128685322609224e+00,1.129848153495642826e+00,-2.450255922587156743e+00,-2.509032717833195925e+00
1.570314062812562694e+00,5.417779320410108568e+00,1.867470390503457534e+00,1.134929331516528084e+00,-2.442960959059230053e+00,-2.434957164432513199e+00
1.580316063212642508e+00,5.393381323098470403e+00,1.871796501642529753e+00,1.139990951741952641e+00,-2.435660220990774505e+00,-2.542551438895303217e+00
1.590318063612722543e+00,5.369056377715225814e+00,1.876107015237986175e+00,1.145033146711409877e+00,-2.428353990620711222e+00,-2.428432337277971254e+00
1.600320064012802579e+00,5.344804538156548546e+00,1.880401927919702842e+00,1.150056048227128036e+00,-2.421042546212929025e+00,-2.376064225339128644e+00
1.610322064412882614e+00,5.320625855366712287e+00,1.884681236449271546e+00,1.155059787354071110e+00,-2.413726162087500349e+00,-2.425559328190573183e+00
1.620324064812962650e+00,5.296520377338093333e+00,1.888944937720000272e+00,1.160044494419938399e+00,-2.406405108651418434e+00,-2.437872854845585469e+00
1.630326065213042686e+00,5.272488149111170586e+00,1.893193028756912311e+00,1.165010299015164064e+00,-2.399079652428878440e+00,-2.387504099225951748e+00
1.640328065613122721e+00,5.248529212774522890e+00,1.897425506716746701e+00,1.169957329992918238e+00,-2.391750056091090038e+00,-2.356742468533557400e+00
1.650330066013202757e+00,5.224643607464833472e+00,1.901642368887958900e+00,1.174885715469105918e+00,-2.384416578485647253e+00,-2.351233699934776933e+00
1.660332066413282792e+00,5.200831369366885504e+00,1.905843612690719446e+00,1.179795582822367406e+00,-2.377079474665450221e+00,-2.278455781968960814e+00
1.670334066813362828e+00,5.177092531713564760e+00,1.910029235676914849e+00,1.184687058694078310e+00,-2.369738995917180624e+00,-2.359280622300366836e+00
1.680336067213442863e+00,5.153427125613853299e+00,1.914199235553314171e+00,1.189560268925338837e+00,-2.362395390087550950e+00,-2.392015895075197740e+00
1.690338067613522677e+00,5.129835186974719186e+00,1.918353610348489058e+00,1.194415337947490441e+00,-2.355048904097527984e+00,-2.361347863596860108e+00
1.700340068013602712e+00,5.106316743600070929e+00,1.922492358025691406e+00,1.199252389686373155e+00,-2.347699779319231794e+00,-2.351324706600222303e+00
1.710342068413682748e+00,5.082871819172003036e+00,1.926615476639549351e+00,1.204071547402982612e+00,-2.340348253050922533e+00,-2.334911383877016799e+00
1.720344068813762783e+00,5.059500435363310622e+00,1.930722964400408692e+00,1.208872933549125062e+00,-2.332994559308124938e+00,-2.334495949969596751e+00
1.730346069213842819e+00,5.036202611837489407e+00,1.934814819674333553e+00,1.213656669767417373e+00,-2.325638928852227227e+00,-2.316940631907416837e+00
1.740348069613922855e+00,5.012978366248733941e+00,1.938891040983105718e+00,1.218422876891287476e+00,-2.318281589218709193e+00,-2.401824092249464915e+00
1.750350070014002890e+00,4.989827714241942047e+00,1.942951627004225967e+00,1.223171674944973475e+00,-2.310922764744998137e+00,-2.269441316942995890e+00
1.760352070414082926e+00,4.966750669452710376e+00,1.946996576570912296e+00,1.227903183143523869e+00,-2.303562676597964654e+00,-2.332299640044016353e+00
1.770354070814162961e+00,4.943747243507337075e+00,1.951025888672101471e+00,1.232617519892798219e+00,-2.296201542801057371e+00,-2.354859477623408637e+00
1.780356071214242997e+00,4.920817446022820896e+00,1.955039562452448365e+00,1.237314802789466706e+00,-2.288839578261084640e+00,-2.256952020279012761e+00
1.790358071614323032e+00,4.897961284606861199e+00,1.959037597212325288e+00,1.241995148621009903e+00,-2.281476994794653379e+00,-2.215610694425349081e+00
1.800360072014403068e+00,4.875178764857857949e+00,1.963019992407823766e+00,1.246658673365719228e+00,-2.274114001154258879e+00,-2.249462593679286915e+00
1.810362072414482881e+00,4.852469890364911720e+00,1.966986747650752321e+00,1.251305492192696045e+00,-2.266750803054045971e+00,-2.258692837361770067e+00
1.820364072814562917e+00,4.829834662707823689e+00,1.970937862708638466e+00,1.255935719461853228e+00,-2.259387603195229577e+00,-2.305998618463827032e+00
1.830366073214642952e+00,4.807273081457096531e+00,1.974873337504727600e+00,1.260549468723913602e+00,-2.252024601291193306e+00,-2.108446234400518371e+00
1.840368073614722988e+00,4.784785144173931748e+00,1.978793172117983001e+00,1.265146852720411053e+00,-2.244661994092261192e+00,-2.200649063059185728e+00
1.850370074014803023e+00,4.762370846410233227e+00,1.982697366783086501e+00,1.269727983383689862e+00,-2.237299975410154573e+00,-2.294264708927303165e+00
1.860372074414883059e+00,4.740030181708605461e+00,1.986585921890437367e+00,1.274292971836904709e+00,-2.229938736142134115e+00,-2.268920631954121525e+00
1.870374074814963095e+00,4.717763141602351773e+00,1.990458837986153640e+00,1.278841928394021332e+00,-2.222578464294830081e+00,-2.218229501866234799e+00
