t,m,h,dm_dt,dm_dt_noisy
1.632326465293058693e+00,3.291005645518265132e-01,9.886453051664149116e-01,5.672802206198437891e-03,4.416881365855165713e-03
1.648329665933186750e+00,3.291891894648264483e-01,9.885192964584531561e-01,5.405313505422407183e-03,1.209684591331693440e-02
1.664332866573314584e+00,3.292736359567840498e-01,9.883933288380877258e-01,5.150434273248863382e-03,1.733887032496109551e-02
1.680336067213442641e+00,3.293541010720230644e-01,9.882674035183567351e-01,4.907566311199249021e-03,8.736862138333972502e-03
1.696339267853570698e+00,3.294307715017799620e-01,9.881415216467259732e-01,4.676143083646638887e-03,-4.081068350581815510e-03
1.712342468493698755e+00,3.295038257769847267e-01,9.880156843190137650e-01,4.455623092176411171e-03,-1.068756322486997395e-02
1.728345669133826812e+00,3.295734345269625276e-01,9.878898925810306597e-01,4.245489054196582845e-03,2.177933022936031152e-02
1.744348869773954869e+00,3.296397604794334413e-01,9.877641474285797640e-01,4.045247859773962174e-03,2.932325927898767753e-03
1.760352070414082926e+00,3.297029586196844608e-01,9.876384498084544994e-01,3.854430054151633533e-03,-3.031219422191582837e-03
1.776355271054210760e+00,3.297631757330512503e-01,9.875128006154982874e-01,3.672591169388492172e-03,5.115162049996742344e-03
1.792358471694338817e+00,3.298205514042755748e-01,9.873872006989667938e-01,3.499308695352781884e-03,1.585195390526289655e-03
1.808361672334466874e+00,3.298752192598579103e-01,9.872616508704099569e-01,3.334178328359374555e-03,1.185560097048625125e-02
1.824364872974594931e+00,3.299273069817147408e-01,9.871361519037582521e-01,3.176813902147038182e-03,3.516095726518040938e-03
1.840368073614722988e+00,3.299769363071788919e-01,9.870107045353228026e-01,3.026847361185372454e-03,3.164343197369567321e-03
1.856371274254851045e+00,3.300242231842913099e-01,9.868853094647641599e-01,2.883928270741714650e-03,-4.261868939587925946e-03
1.872374474894979102e+00,3.300692772314115508e-01,9.867599673516325165e-01,2.747725409550275111e-03,7.443406397025209217e-03
1.888377675535106937e+00,3.301122028140354714e-01,9.866346788222233322e-01,2.617923525520246542e-03,-7.720743698029578980e-03
1.904380876175234993e+00,3.301530998897537761e-01,9.865094444749364921e-01,2.494220788805109890e-03,9.153115186444779616e-03
1.920384076815363050e+00,3.301920640091776105e-01,9.863842648802830793e-01,2.376328771588206989e-03,1.761570390148952531e-02
1.936387277455491107e+00,3.302291863159385055e-01,9.862591405808840417e-01,2.263972431445812616e-03,-1.298288794954570620e-02
1.952390478095619164e+00,3.302645536443247209e-01,9.861340720920827030e-01,2.156889803630143709e-03,-2.250540250988303584e-02
1.968393678735747221e+00,3.302982481811544968e-01,9.860090598997621747e-01,2.054832996615310603e-03,8.223620548158505628e-03
1.984396879375875278e+00,3.303303478529288073e-01,9.858841044628237071e-01,1.957567020211603559e-03,2.743654517504286530e-02
2.000400080016003113e+00,3.303609273458811280e-01,9.857592062196610661e-01,1.864866724342620352e-03,-8.144381764376316599e-03
2.016403280656131169e+00,3.303900581326192909e-01,9.856343655883293975e-01,1.776516708511075016e-03,-1.073044087950880687e-02
2.032406481296259226e+00,3.304178084721257069e-01,9.855095829665453389e-01,1.692311311355762515e-03,7.582000649160498991e-03
2.048409681936387283e+00,3.304442434172963905e-01,9.853848587317345364e-01,1.612054578116500769e-03,-6.795161322466576961e-03
2.064412882576515340e+00,3.304694248969912151e-01,9.852601932415291364e-01,1.535560006011571499e-03,-3.524694833355792450e-03
2.080416083216643397e+00,3.304934112052752559e-01,9.851355868305147201e-01,1.462652060159899681e-03,-2.018522606677878965e-03
2.096419283856771454e+00,3.305162580067341760e-01,9.850110398166302961e-01,1.393163162620891793e-03,6.713184025538877948e-03
2.112422484496899511e+00,3.305380186656892150e-01,9.848865525032559631e-01,1.326932702225530614e-03,-2.726090911705655873e-03
2.128425685137027568e+00,3.305587442461970782e-01,9.847621251792127994e-01,1.263807027997207455e-03,4.042635428798809112e-03
2.144428885777155624e+00,3.305784835120499920e-01,9.846377581187634176e-01,1.203639442805756743e-03,-5.616931461299968197e-04
2.160432086417283681e+00,3.305972829352840647e-01,9.845134515816651444e-01,1.146290171852498707e-03,-7.300420864663533654e-03
2.176435287057411294e+00,3.306151867459550253e-01,9.843892058134644518e-01,1.091626208255994102e-03,-2.106636369176216345e-03
2.192438487697539351e+00,3.306322364806607572e-01,9.842650210426239221e-01,1.039522654256080925e-03,-8.464473997423106050e-03
2.208441688337667408e+00,3.306484718162691072e-01,9.841408974858316672e-01,9.898602281133150882e-04,1.055010086810803443e-03
2.224444888977795465e+00,3.306639308174387226e-01,9.840168353495726272e-01,9.425245212998645261e-04,-1.029613775435650122e-02
2.240448089617923522e+00,3.306786499366189958e-01,9.838928348301283489e-01,8.974059944812790013e-04,-1.003153769847115254e-02
2.256451290258051579e+00,3.306926640140501195e-01,9.837688961135763188e-01,8.543999736186358440e-04,1.542401812667119031e-02
2.272454490898179635e+00,3.307060062777631426e-01,9.836450193757909632e-01,8.134066461816941151e-04,2.815644431282800448e-04
2.288457691538307692e+00,3.307187083995727361e-01,9.835212047827918136e-01,7.743308905488188731e-04,2.353106358283893647e-04
2.304460892178435749e+00,3.307308002098991451e-01,9.833974524889083080e-01,7.370831225543411636e-04,5.852447321730531310e-03
2.320464092818563806e+00,3.307423098907962267e-01,9.832737626380255724e-01,7.015787163106856905e-04,-3.506991309178026164e-03
2.336467293458691863e+00,3.307532645113072656e-01,9.831501353669860332e-01,6.677364053678525035e-04,-1.617617269413728319e-03
2.352470494098819920e+00,3.307636900372788458e-01,9.830265708056521445e-01,6.354782509899736809e-04,4.886965604309062919e-03
2.368473694738947977e+00,3.307736113313609616e-01,9.829030690769058332e-01,6.047296397493490128e-04,3.428888062193364335e-03
2.384476895379076034e+00,3.307830521530070178e-01,9.827796302966489428e-01,5.754192811786157380e-04,-1.101754798814568066e-02
2.400480096019203646e+00,3.307920351584737184e-01,9.826562545738032339e-01,5.474792054758620408e-04,8.880905172172480835e-03
2.416483296659331703e+00,3.308005819471934728e-01,9.825329420105972655e-01,5.208446231441954399e-04,-5.383504809746234368e-03
2.432486497299459760e+00,3.308087127746416889e-01,9.824096927007235358e-01,4.954547779642548555e-04,-1.006533472517760416e-02
2.448489697939587817e+00,3.308164467798077601e-01,9.822865067308023113e-01,4.712522671018043452e-04,-8.533498432888713195e-03
2.464492898579715874e+00,3.308238023643950143e-01,9.821633841827916989e-01,4.481819099464989797e-04,-3.457271533606730025e-03
2.480496099219843931e+00,3.308307971957112348e-01,9.820403251340065198e-01,4.261907380247453858e-04,1.669919328425541888e-02
2.496499299859971988e+00,3.308374482066684386e-01,9.819173296571178655e-01,4.052279935505831432e-04,-1.135013105565722304e-02
2.512502500500100044e+00,3.308437715957831537e-01,9.817943978201534305e-01,3.852451280020735558e-04,1.986004053345481225e-03
2.528505701140228101e+00,3.308497828271763086e-01,9.816715296864971796e-01,3.661958007233345747e-04,-2.101204778018243846e-02
2.544508901780356158e+00,3.308554966425341082e-01,9.815487253149648428e-01,3.480358419566259576e-04,3.323665105046568944e-04
2.560512102420484215e+00,3.308609270163013205e-01,9.814259847595026010e-01,3.307233848306029289e-04,9.326387559590674364e-03
2.576515303060612272e+00,3.308660869325117937e-01,9.813033080677715514e-01,3.142195279423470877e-04,-2.052413692672204210e-03
2.592518503700740329e+00,3.308709888297879931e-01,9.811806952839867701e-01,2.984870098360348223e-04,-5.995062228997384210e-03
2.608521704340868386e+00,3.308756446732183942e-01,9.810581464493733916e-01,2.834899942044805110e-04,2.598600634789857353e-03
2.624524904980995998e+00,3.308800659543573164e-01,9.809356616021670527e-01,2.691940690202621056e-04,7.270711580526766429e-03
2.640528105621124055e+00,3.308842636912248114e-01,9.808132407776134487e-01,2.555662456788093673e-04,6.892141955852876083e-03
2.656531306261252112e+00,3.308882484283067749e-01,9.806908840079688883e-01,2.425749581521086107e-04,1.996731349745002604e-02
2.672534506901380169e+00,3.308920302365550570e-01,9.805685913224998496e-01,2.301900621538566227e-04,2.321864785516624275e-03
2.688537707541508226e+00,3.308956187170828400e-01,9.804463627475061838e-01,2.183828233281726039e-04,-5.705718174201152883e-03
2.704540908181636283e+00,3.308990229943928330e-01,9.803241983062671583e-01,2.071259365710870215e-04,-1.052665963295340351e-03
2.720544108821764340e+00,3.309022514828880435e-01,9.802020980175535358e-01,1.963942192375750517e-04,-5.285912369605453914e-04
2.736547309461892397e+00,3.309053122102484368e-01,9.800800618976959200e-01,1.861636488843243509e-04,1.273537483665511220e-03
2.752550510102020453e+00,3.309082129100358594e-01,9.799580899611736173e-01,1.764110874152013952e-04,-1.238670448791475429e-04
2.768553710742148510e+00,3.309109610216939279e-01,9.798361822206147487e-01,1.671142805742265036e-04,1.906773669536260480e-03
2.784556911382276567e+00,3.309135636905478628e-01,9.797143386867955828e-01,1.582518574439889525e-04,-1.655024874870713800e-02
2.800560112022404624e+00,3.309160277678048212e-01,9.795925593686413135e-01,1.498033299472262270e-04,8.446092890347655507e-03
2.816563312662532681e+00,3.309183598105536750e-01,9.794708442732256160e-01,1.417490923558556437e-04,-5.605643596854468190e-03
2.832566513302660738e+00,3.309205660817650663e-01,9.793491934057708681e-01,1.340704208021292754e-04,-1.159751654366811789e-02
2.848569713942788351e+00,3.309226525549459064e-01,9.792276067696773501e-01,1.267494589720363773e-04,6.504261055386393285e-03
2.864572914582916408e+00,3.309246248820996716e-01,9.791060843663083046e-01,1.197693127787252676e-04,1.329302938663954464e-02
2.880576115223044464e+00,3.309264882335027913e-01,9.789846261939723071e-01,1.131145256047377812e-04,5.043396020599165072e-03
2.896579315863172521e+00,3.309282475541763247e-01,9.788632322495627314e-01,1.067703160728822320e-04,1.718363454528085404e-03
2.912582516503300578e+00,3.309299076144201490e-01,9.787419025288801588e-01,1.007224276582396882e-04,-9.221480626061281591e-03
2.928585717143428635e+00,3.309314730098129598e-01,9.786206370266314902e-01,9.495712840090764217e-05,2.881063050653589683e-02
2.944588917783556692e+00,3.309329481612121593e-01,9.784994357364308337e-01,8.946121062246292777e-05,8.892047417237545007e-03
2.960592118423684749e+00,3.309343373147539125e-01,9.783782986507985058e-01,8.422199064295199378e-05,-1.130872471278680617e-02
2.976595319063812806e+00,3.309356445418532577e-01,9.782572257611618083e-01,7.922730850014325643e-05,-7.717151853897302044e-03
2.992598519703940863e+00,3.309368737392037740e-01,9.781362170578548065e-01,7.446552767099989811e-05,9.442580133900434257e-04
3.008601720344068919e+00,3.309380286287780248e-01,9.780152725301181071e-01,6.992553479445717812e-05,-1.547738578516540467e-02
3.024604920984196976e+00,3.309391127634915830e-01,9.778943921661342742e-01,6.559672259186244414e-05,1.751900792697005070e-03
3.040608121624325033e+00,3.309401294554205064e-01,9.777735759525604253e-01,6.146920253514986943e-05,-4.529246354592441140e-03
3.056611322264453090e+00,3.309410817208776057e-01,9.776528238741842847e-01,5.753396738478189221e-05,1.232023997054695549e-02
3.072614522904580703e+00,3.309419724628941961e-01,9.775321359150911382e-01,5.378234954002414359e-05,9.675328985822493483e-03
3.088617723544708760e+00,3.309428044861728035e-01,9.774115120587578698e-01,5.020597651876623768e-05,-2.706264839782895892e-02
3.104620924184836817e+00,3.309435804970875528e-01,9.772909522880540711e-01,4.679677080114685861e-05,4.638226310742725564e-04
3.120624124824964873e+00,3.309443031036838900e-01,9.771704565852411539e-01,4.354694967481642642e-05,-1.613112804556206606e-02
3.136627325465092930e+00,3.309449748156786386e-01,9.770500249319729047e-01,4.044902508200387548e-05,1.113682901756723499e-02
3.152630526105220987e+00,3.309455980444601098e-01,9.769296573092952629e-01,3.749580346562586541e-05,1.718554494743869529e-03
3.168633726745349044e+00,3.309461751030878807e-01,9.768093536976463209e-01,3.468038561743602699e-05,5.518734907487408102e-03
3.184636927385477101e+00,3.309467082062929610e-01,9.766891140768563240e-01,3.199616652606318556e-05,-1.061925112150692747e-02
3.200640128025605158e+00,3.309471994704778486e-01,9.765689384261477812e-01,2.943683522536877373e-05,1.831373921518037254e-02
3.216643328665733215e+00,3.309476509154094526e-01,9.764488267241442365e-01,2.699636962830154197e-05,2.022773004113275278e-02
3.232646529305861272e+00,3.309480643808560552e-01,9.763287789483320323e-01,2.466928337101215174e-05,-1.062304114289111361e-02
3.248649729945989328e+00,3.309484415412672909e-01,9.762087950751596743e-01,2.245058205388450467e-05,3.750601800717047463e-03
3.264652930586117385e+00,3.309487840158358285e-01,9.760888750807424907e-01,2.033543696512707388e-05,-6.712688846936741734e-03
3.280656131226245442e+00,3.309490933720276029e-01,9.759690189408839478e-01,1.831917453765097292e-05,-2.173801940696700385e-04
3.296659331866373499e+00,3.309493711255818149e-01,9.758492266310762053e-01,1.639727627059106574e-05,-1.263997251597504846e-02
3.312662532506501112e+00,3.309496187405109313e-01,9.757294981265001166e-01,1.456537864936990889e-05,1.868602052445555647e-02
3.328665733146629169e+00,3.309498376291006294e-01,9.756098334020248952e-01,1.281927306702457248e-05,-9.678975837759656170e-03
3.344668933786757226e+00,3.309500291519097970e-01,9.754902324322084484e-01,1.115490574560284998e-05,-2.949683244229343165e-03
3.360672134426885282e+00,3.309501946177706433e-01,9.753706951912973766e-01,9.568377656685167487e-06,5.024397688761908509e-03
3.376675335067013339e+00,3.309503352837884216e-01,9.752512216532264189e-01,8.055944444529394843e-06,-6.467550839716756060e-03
3.392678535707141396e+00,3.309504523553419286e-01,9.751318117916193406e-01,6.614016346148665626e-06,-2.386510280976872952e-03
3.408681736347269453e+00,3.309505469860828941e-01,9.750124655797881568e-01,5.239158115968867158e-06,-5.631159306153676360e-03
3.424684936987397510e+00,3.309506202770422512e-01,9.748931829907269142e-01,3.928091592692029010e-06,-1.330679456770248554e-03
3.440688137627525567e+00,3.309506732159812614e-01,9.747739639967181180e-01,2.677875084983183385e-06,-1.170274847591804522e-02
3.456691338267653624e+00,3.309507066839977862e-01,9.746548085693806929e-01,1.485883660390374672e-06,-4.378394872362616035e-03
3.472694538907781681e+00,3.309507215339247410e-01,9.745357166801713600e-01,3.495770461575675725e-07,-2.068579670076285335e-03
3.488697739547909737e+00,3.309507185936650941e-01,9.744166883004060642e-01,-7.335102778782687238e-07,-3.337993548319226865e-03
3.504700940188037794e+00,3.309506986661917560e-01,9.742977234012599741e-01,-1.765769117409443645e-06,5.651337798205404968e-04
3.520704140828165851e+00,3.309506625295474125e-01,9.741788219537670379e-01,-2.749515600600216381e-06,-2.933771709167812530e-03
3.536707341468293464e+00,3.309506109368448024e-01,9.740599839288207606e-01,-3.686991215931523236e-06,7.528427093177876735e-03
3.552710542108421521e+00,3.309505446162663844e-01,9.739412092971733159e-01,-4.580362849504471257e-06,-3.236539620707803381e-03
3.568713742748549578e+00,3.309504642710646705e-01,9.738224980294361011e-01,-5.431722822732409917e-06,-1.371927685781574105e-03
3.584716943388677635e+00,3.309503705795621142e-01,9.737038500960798482e-01,-6.243088929283602262e-06,-6.654056448887808208e-03
3.600720144028805692e+00,3.309502641951510005e-01,9.735852654674340689e-01,-7.016404472176551721e-06,-5.272164805624546431e-03
3.616723344668933748e+00,3.309501457462934448e-01,9.734667441136877208e-01,-7.753538300653284310e-06,-1.265268144649777694e-02
3.632726545309061805e+00,3.309500158365216715e-01,9.733482860048884300e-01,-8.456284847621620138e-06,5.179392923932019978e-03
3.648729745949189862e+00,3.309498750444393456e-01,9.732298911109431572e-01,-9.126364171080370014e-06,-1.143430654069600184e-02
3.664732946589317919e+00,3.309497239073694863e-01,9.731115594015107284e-01,-9.765373669118337929e-06,-7.468329355552368043e-03
3.680736147229445976e+00,3.309495628737724182e-01,9.729932908456956353e-01,-1.037464754569117353e-05,3.582071872566354280e-03
