I,v,v_noisy
3.467437208268503657e+00,6.259854366010712567e+01,6.339045076782117860e+01
3.489664369859968751e+00,6.257738775019534927e+01,6.364033423384820054e+01
3.511891531451433401e+00,6.255628264393347848e+01,6.247452422439356923e+01
3.534118693042898052e+00,6.253522815854169892e+01,6.259270579796589828e+01
3.556345854634362702e+00,6.251422411211595431e+01,6.235134534476510737e+01
3.578573016225827796e+00,6.249327032362265300e+01,6.073189316626144318e+01
3.600800177817292447e+00,6.247236661289358040e+01,6.271587650122571489e+01
3.623027339408757097e+00,6.245151280062063393e+01,6.120823179954751225e+01
3.645254501000222191e+00,6.243070870835072128e+01,6.147395220405254435e+01
3.667481662591686842e+00,6.240995415848068717e+01,6.280684599113529032e+01
3.689708824183151492e+00,6.238924897425224003e+01,6.331416705365691655e+01
3.711935985774616142e+00,6.236859297974697824e+01,6.150167709709609909e+01
3.734163147366081237e+00,6.234798599988135948e+01,6.348814549454791489e+01
3.756390308957545887e+00,6.232742786040174110e+01,6.409417012473937802e+01
3.778617470549010537e+00,6.230691838787950587e+01,6.247859808313187102e+01
3.800844632140475188e+00,6.228645740970621603e+01,6.221088281357017280e+01
3.823071793731940282e+00,6.226604475408867501e+01,6.246971788690706262e+01
3.845298955323404932e+00,6.224568025004423077e+01,6.184585427782879208e+01
3.867526116914869583e+00,6.222536372739588018e+01,6.137361426494594241e+01
3.889753278506334233e+00,6.220509501676767172e+01,6.285143330899949632e+01
3.911980440097799328e+00,6.218487394957982417e+01,6.290572697170826899e+01
3.934207601689263978e+00,6.216470035804425720e+01,6.166718913359488852e+01
3.956434763280728628e+00,6.214457407515975973e+01,6.174338624209160287e+01
3.978661924872193723e+00,6.212449493470749928e+01,6.150558913758104751e+01
4.000889086463658373e+00,6.210446277124641767e+01,6.140745234354928783e+01
4.023116248055123023e+00,6.208447742010866932e+01,6.112058769885742038e+01
4.045343409646587673e+00,6.206453871739511641e+01,6.056310941438984941e+01
4.067570571238052324e+00,6.204464649997085246e+01,6.294997603590977775e+01
4.089797732829516974e+00,6.202480060546079699e+01,6.167776176248819553e+01
4.112024894420982513e+00,6.200500087224515511e+01,6.207584816130260208e+01
4.134252056012447163e+00,6.198524713945519693e+01,6.377646035425015469e+01
4.156479217603911813e+00,6.196553924696872429e+01,6.148335916115443922e+01
4.178706379195376464e+00,6.194587703540592827e+01,6.252351188984049912e+01
4.200933540786841114e+00,6.192626034612489860e+01,6.058166821744812580e+01
4.223160702378305764e+00,6.190668902121755224e+01,6.128350356999975901e+01
4.245387863969770414e+00,6.188716290350522797e+01,6.257931012189332165e+01
4.267615025561235953e+00,6.186768183653458664e+01,6.160671832105551715e+01
4.289842187152700603e+00,6.184824566457336914e+01,6.042058779985067929e+01
4.312069348744165254e+00,6.182885423260631796e+01,6.029810898999559043e+01
4.334296510335629904e+00,6.180950738633097785e+01,6.214029680546902767e+01
4.356523671927094554e+00,6.179020497215363861e+01,6.085825832311847705e+01
4.378750833518559205e+00,6.177094683718529922e+01,6.244102923696583218e+01
4.400977995110023855e+00,6.175173282923754670e+01,6.201738581015167995e+01
4.423205156701488505e+00,6.173256279681868364e+01,6.140722037182238324e+01
4.445432318292954044e+00,6.171343658912956442e+01,6.163962622419902004e+01
4.467659479884418694e+00,6.169435405605982936e+01,6.243196706032069443e+01
4.489886641475883344e+00,6.167531504818383326e+01,6.169939392376267762e+01
4.512113803067347995e+00,6.165631941675685113e+01,6.070643705021439018e+01
4.534340964658812645e+00,6.163736701371109916e+01,6.195890981747234605e+01
4.556568126250277295e+00,6.161845769165198305e+01,6.125904616931354951e+01
4.578795287841741946e+00,6.159959130385423265e+01,6.136142746845438012e+01
4.601022449433206596e+00,6.158076770425808633e+01,6.213645585261443216e+01
4.623249611024672134e+00,6.156198674746560329e+01,6.187742297433234029e+01
4.645476772616136785e+00,6.154324828873676978e+01,6.254060993132330282e+01
4.667703934207601435e+00,6.152455218398598902e+01,6.133200711469746125e+01
4.689931095799066085e+00,6.150589828977817319e+01,6.104677296079573523e+01
4.712158257390530736e+00,6.148728646332525472e+01,6.114323563413318396e+01
4.734385418981995386e+00,6.146871656248239901e+01,6.183267248271495475e+01
4.756612580573460036e+00,6.145018844574450156e+01,6.064812959051629093e+01
4.778839742164925575e+00,6.143170197224250728e+01,6.106857328880123248e+01
4.801066903756390225e+00,6.141325700173990754e+01,6.057368051754627913e+01
4.823294065347854875e+00,6.139485339462914482e+01,6.062265424694847127e+01
4.845521226939319526e+00,6.137649101192809553e+01,6.119406741313535747e+01
4.867748388530784176e+00,6.135816971527661678e+01,6.372694232511608448e+01
4.889975550122248826e+00,6.133988936693300076e+01,6.095808749928597337e+01
4.912202711713713477e+00,6.132164982977061385e+01,6.156978381887543605e+01
4.934429873305178127e+00,6.130345096727435106e+01,6.139149989923035378e+01
4.956657034896643665e+00,6.128529264353734618e+01,6.110935045163279256e+01
4.978884196488108316e+00,6.126717472325749014e+01,6.129336008209563857e+01
5.001111358079572966e+00,6.124909707173418383e+01,6.316532408761144524e+01
5.023338519671037616e+00,6.123105955486485641e+01,6.097202043971590513e+01
5.045565681262502267e+00,6.121306203914176081e+01,6.278001689940129637e+01
5.067792842853966917e+00,6.119510439164865545e+01,6.182705467023453139e+01
5.090020004445431567e+00,6.117718648005752868e+01,6.032412422153782927e+01
5.112247166036897106e+00,6.115930817262529473e+01,6.052223883381217462e+01
5.134474327628361756e+00,6.114146933819064600e+01,6.068863767913792628e+01
5.156701489219826406e+00,6.112366984617082011e+01,6.005933139971914159e+01
5.178928650811291057e+00,6.110590956655835271e+01,6.222605497903246885e+01
5.201155812402755707e+00,6.108818836991803636e+01,6.148946269210711790e+01
5.223382973994220357e+00,6.107050612738363782e+01,6.158549363620686989e+01
5.245610135585685008e+00,6.105286271065488535e+01,6.004822170333906683e+01
5.267837297177149658e+00,6.103525799199429969e+01,6.148891185081322419e+01
5.290064458768615197e+00,6.101769184422413161e+01,6.049239220813900175e+01
5.312291620360079847e+00,6.100016414072331372e+01,6.337047778652733854e+01
5.334518781951544497e+00,6.098267475542438376e+01,6.089276892625571236e+01
5.356745943543009147e+00,6.096522356281049326e+01,6.124043697709149825e+01
5.378973105134473798e+00,6.094781043791240904e+01,6.135155756060282783e+01
5.401200266725938448e+00,6.093043525630549340e+01,6.046675741868888565e+01
5.423427428317403098e+00,6.091309789410676956e+01,6.053108689089427941e+01
5.445654589908868637e+00,6.089579822797195163e+01,6.051104434934282494e+01
5.467881751500333287e+00,6.087853613509257400e+01,6.170809792485491130e+01
5.490108913091797938e+00,6.086131149319304257e+01,6.015020398180013927e+01
5.512336074683262588e+00,6.084412418052771443e+01,6.068730970409695402e+01
5.534563236274727238e+00,6.082697407587811966e+01,6.114664247206060566e+01
5.556790397866191888e+00,6.080986105855004098e+01,6.041014927687181313e+01
5.579017559457656539e+00,6.079278500837068577e+01,5.946088740021573216e+01
5.601244721049121189e+00,6.077574580568593632e+01,5.961270953531143135e+01
5.623471882640586728e+00,6.075874333135743655e+01,6.035167560909994933e+01
5.645699044232051378e+00,6.074177746675996303e+01,5.979751681413945619e+01
5.667926205823516028e+00,6.072484809377856152e+01,6.165997805113987340e+01
5.690153367414980679e+00,6.070795509480582552e+01,6.071920620816436553e+01
5.712380529006445329e+00,6.069109835273917497e+01,6.066125647119320519e+01
5.734607690597909979e+00,6.067427775097819165e+01,5.968732548341310462e+01
5.756834852189374629e+00,6.065749317342184810e+01,6.116247970699197367e+01
5.779062013780840168e+00,6.064074450446596387e+01,6.028706823740008502e+01
5.801289175372304818e+00,6.062403162900038467e+01,5.969167640924017348e+01
5.823516336963769469e+00,6.060735443240646703e+01,5.997874104174624676e+01
5.845743498555234119e+00,6.059071280055447062e+01,6.289936068061407326e+01
5.867970660146698769e+00,6.057410661980081557e+01,5.997478322647087623e+01
5.890197821738163420e+00,6.055753577698570211e+01,5.970553828250943695e+01
5.912424983329628070e+00,6.054100015943030400e+01,6.165161104089344235e+01
5.934652144921092720e+00,6.052449965493443074e+01,6.123263908234501685e+01
5.956879306512558259e+00,6.050803415177387024e+01,6.022056615280813219e+01
5.979106468104022909e+00,6.049160353869788764e+01,6.182079433147440994e+01
6.001333629695487559e+00,6.047520770492671005e+01,5.904152695331785594e+01
6.023560791286952210e+00,6.045884654014907511e+01,5.998245800541525341e+01
6.045787952878416860e+00,6.044251993451971572e+01,5.883805857090446523e+01
6.068015114469881510e+00,6.042622777865695838e+01,6.174019494937150654e+01
6.090242276061346161e+00,6.040996996364019367e+01,6.043738879757174232e+01
6.112469437652811699e+00,6.039374638100752435e+01,6.289269814123166924e+01
6.134696599244276349e+00,6.037755692275332819e+01,6.080871529502082495e+01
6.156923760835741000e+00,6.036140148132584216e+01,6.080696785722942366e+01
6.179150922427205650e+00,6.034527994962481046e+01,5.923018047075151316e+01
6.201378084018670300e+00,6.032919222099910428e+01,5.916089845519555013e+01
6.223605245610134951e+00,6.031313818924436987e+01,5.981387920656883495e+01
6.245832407201599601e+00,6.029711774860073348e+01,6.114240292624977968e+01
6.268059568793064251e+00,6.028113079375033578e+01,5.923455821719710457e+01
6.290286730384529790e+00,6.026517721981520737e+01,5.791495217490079028e+01
6.312513891975994440e+00,6.024925692235490260e+01,6.102895328081624626e+01
6.334741053567459090e+00,6.023336979736416197e+01,6.106902548288312005e+01
6.356968215158923741e+00,6.021751574127074491e+01,5.927259634513670505e+01
6.379195376750388391e+00,6.020169465093310635e+01,6.057014449011460044e+01
6.401422538341853041e+00,6.018590642363815846e+01,6.121067754341856926e+01
6.423649699933317692e+00,6.017015095709913908e+01,6.124068848154421829e+01
6.445876861524783230e+00,6.015442814945328109e+01,5.856289091878306152e+01
6.468104023116247880e+00,6.013873789925972346e+01,6.012754374560745418e+01
6.490331184707712531e+00,6.012308010549723747e+01,5.929635851961232618e+01
6.512558346299177181e+00,6.010745466756210931e+01,6.096224486977349244e+01
6.534785507890641831e+00,6.009186148526604399e+01,6.009836778785560796e+01
6.557012669482106482e+00,6.007630045883384184e+01,5.881537992278224181e+01
6.579239831073571132e+00,6.006077148890148010e+01,6.007180892492834801e+01
6.601466992665035782e+00,6.004527447651386751e+01,6.052956374036254772e+01
6.623694154256501321e+00,6.002980932312277673e+01,5.842578993055619208e+01
6.645921315847965971e+00,6.001437593058479081e+01,5.859727198022667949e+01
6.668148477439430621e+00,5.999897420115914315e+01,5.923521321147011776e+01
6.690375639030895272e+00,5.998360403750576353e+01,5.958010194618533717e+01
6.712602800622359922e+00,5.996826534268311804e+01,5.930597771610011648e+01
6.734829962213824572e+00,5.995295802014624087e+01,5.805676850923268262e+01
6.757057123805289223e+00,5.993768197374470219e+01,5.829715787177764952e+01
6.779284285396754761e+00,5.992243710772056886e+01,5.976954536817491714e+01
6.801511446988219411e+00,5.990722332670641492e+01,6.019342286088910754e+01
6.823738608579684062e+00,5.989204053572338893e+01,5.891025465895440050e+01
6.845965770171148712e+00,5.987688864017907520e+01,5.992504275935525726e+01
6.868192931762613362e+00,5.986176754586573168e+01,6.158539319276284374e+01
6.890420093354078013e+00,5.984667715895821516e+01,5.953218236747227365e+01
6.912647254945542663e+00,5.983161738601206991e+01,5.929430085855768340e+01
6.934874416537007313e+00,5.981658813396160213e+01,5.902440831127957210e+01
6.957101578128472852e+00,5.980158931011794010e+01,6.016178676573437656e+01
6.979328739719937502e+00,5.978662082216716556e+01,5.991518126074326034e+01
7.001555901311402152e+00,5.977168257816840935e+01,5.992631612722428969e+01
7.023783062902866803e+00,5.975677448655194723e+01,5.930380661050120494e+01
7.046010224494331453e+00,5.974189645611735955e+01,6.006100187672965518e+01
7.068237386085796103e+00,5.972704839603161986e+01,6.005290279167912360e+01
7.090464547677260754e+00,5.971223021582733992e+01,5.949650761135347210e+01
7.112691709268725404e+00,5.969744182540082278e+01,6.075671677133373549e+01
7.134918870860190943e+00,5.968268313501029354e+01,5.809334033092434879e+01
7.157146032451655593e+00,5.966795405527410878e+01,6.029990027630237392e+01
7.179373194043120243e+00,5.965325449716890915e+01,5.946861122790005538e+01
7.201600355634584893e+00,5.963858437202782170e+01,6.040285369886495914e+01
7.223827517226049544e+00,5.962394359153873324e+01,6.142963009068201785e+01
7.246054678817514194e+00,5.960933206774241455e+01,5.960736635017779150e+01
7.268281840408978844e+00,5.959474971303088608e+01,5.936102238310597556e+01
7.290509002000444383e+00,5.958019644014559191e+01,5.951601193767865539e+01
7.312736163591909033e+00,5.956567216217562333e+01,6.088085410220394778e+01
7.334963325183373684e+00,5.955117679255610597e+01,6.102456164634210012e+01
7.357190486774838334e+00,5.953671024506635945e+01,5.966754341524553240e+01
7.379417648366302984e+00,5.952227243382827737e+01,6.012637965417258101e+01
7.401644809957767635e+00,5.950786327330456515e+01,6.124381854468857966e+01
7.423871971549232285e+00,5.949348267829707027e+01,5.999974421276964875e+01
7.446099133140696935e+00,5.947913056394513376e+01,5.799035294585836198e+01
7.468326294732162474e+00,5.946480684572389919e+01,5.864837130467052617e+01
7.490553456323627124e+00,5.945051143944260019e+01,5.896246752089607668e+01
7.512780617915091774e+00,5.943624426124303284e+01,5.981129140880568684e+01
7.535007779506556425e+00,5.942200522759777925e+01,5.886161512639399263e+01
7.557234941098021075e+00,5.940779425530866575e+01,6.076594372658848187e+01
7.579462102689485725e+00,5.939361126150514281e+01,5.892424789706043242e+01
7.601689264280950376e+00,5.937945616364262236e+01,6.092025015588135517e+01
7.623916425872415914e+00,5.936532887950090753e+01,5.872319239368754751e+01
7.646143587463880564e+00,5.935122932718260103e+01,6.067889350667832815e+01
7.668370749055345215e+00,5.933715742511154190e+01,5.953140538433991935e+01
7.690597910646809865e+00,5.932311309203116423e+01,6.073292838820524508e+01
7.712825072238274515e+00,5.930909624700298366e+01,6.125153532074804730e+01
7.735052233829739166e+00,5.929510680940508394e+01,6.103564434274407091e+01
7.757279395421203816e+00,5.928114469893050398e+01,6.032911832401209296e+01
7.779506557012668466e+00,5.926720983558570310e+01,5.855683782108066993e+01
7.801733718604134005e+00,5.925330213968904047e+01,5.848261453264405674e+01
7.823960880195598655e+00,5.923942153186929716e+01,5.613834165029460621e+01
7.846188041787063305e+00,5.922556793306415557e+01,6.071029340649185002e+01
7.868415203378527956e+00,5.921174126451863629e+01,6.049603359694223315e+01
7.890642364969992606e+00,5.919794144778366274e+01,6.024577561880776244e+01
7.912869526561457256e+00,5.918416840471455487e+01,5.810928727082725231e+01
7.935096688152921907e+00,5.917042205746959382e+01,6.193697164274487932e+01
7.957323849744387445e+00,5.915670232850850141e+01,5.854190979925469662e+01
7.979551011335852095e+00,5.914300914059100478e+01,6.005007966182384394e+01
8.001778172927316746e+00,5.912934241677537983e+01,5.758286362249842227e+01
8.024005334518781396e+00,5.911570208041703722e+01,5.856522593956083966e+01
8.046232496110246046e+00,5.910208805516708708e+01,6.037178047456464469e+01
8.068459657701710697e+00,5.908850026497085395e+01,6.016555779398913018e+01
8.090686819293175347e+00,5.907493863406652679e+01,5.806430629520060194e+01
8.112913980884639997e+00,5.906140308698370234e+01,5.903699966807639044e+01
8.135141142476104648e+00,5.904789354854204930e+01,6.021693068590295184e+01
8.157368304067569298e+00,5.903440994384988727e+01,5.727255833329519419e+01
8.179595465659033948e+00,5.902095219830273720e+01,5.983973728832759065e+01
8.201822627250500375e+00,5.900752023758203535e+01,5.753093208681399062e+01
8.224049788841965025e+00,5.899411398765371928e+01,5.967464387614082710e+01
8.246276950433429676e+00,5.898073337476693467e+01,5.877767534510243053e+01
8.268504112024894326e+00,5.896737832545255742e+01,5.999312623337725370e+01
8.290731273616358976e+00,5.895404876652192172e+01,5.849010958589969533e+01
8.312958435207823626e+00,5.894074462506554113e+01,5.863366113850320005e+01
8.335185596799288277e+00,5.892746582845168746e+01,5.861226944498209690e+01
8.357412758390752927e+00,5.891421230432507627e+01,5.799549576947540430e+01
8.379639919982217577e+00,5.890098398060560214e+01,5.864698920794390347e+01
8.401867081573682228e+00,5.888778078548700989e+01,5.789732516490559533e+01
8.424094243165146878e+00,5.887460264743559435e+01,5.832931453593918292e+01
8.446321404756611528e+00,5.886144949518889291e+01,5.954731276430990050e+01
8.468548566348076179e+00,5.884832125775442080e+01,5.853454977113549518e+01
8.490775727939540829e+00,5.883521786440837786e+01,5.990626353967557094e+01
8.513002889531005479e+00,5.882213924469441224e+01,5.952978101777963360e+01
8.535230051122471906e+00,5.880908532842234848e+01,5.963652432282044913e+01
8.557457212713936556e+00,5.879605604566684462e+01,5.766922940433913425e+01
8.579684374305401207e+00,5.878305132676627665e+01,5.919850364279557908e+01
8.601911535896865857e+00,5.877007110232140974e+01,6.020463064826978439e+01
