N,E,G,L,L_noisy
3.117629512613210707e+01,1.330308425096357041e+02,1.090994191179665895e+00,3.474327448996430867e+00,3.492003229728176006e+00
1.542246409056125533e-01,1.019390960868146934e+01,2.235367170384180469e+01,3.567867588958924419e+00,3.581462889307281294e+00
2.995459417764581289e+01,6.612663811708713979e+01,1.341935359967548314e+00,3.376669262845361175e+00,3.363864395527191409e+00
3.115457272504221775e-01,2.431559215516196559e+02,2.577186711441408207e+01,2.705438568350628792e+00,2.705417592419283146e+00
1.334876198638667022e+00,4.914697223728068565e+01,2.436063708231642266e+01,3.310284509029975730e+00,3.319195980105499544e+00
8.916912390336937388e-01,1.745149378911341955e+02,5.319863011293582744e+00,3.571089283313344964e+00,3.580457370030290409e+00
1.185799071182736064e+01,1.335886275888209411e+02,1.828935966026584259e+00,3.368363233046156147e+00,3.385888076968443183e+00
3.433330681322261380e-01,4.100383645674847344e+01,1.941798601593322404e+00,4.166169003635597612e+00,4.171298716180029231e+00
1.544430916080221206e+00,3.701509899675750859e+01,2.457278737421502157e+00,3.702076811815965929e+00,3.700180245036595927e+00
1.041055266046087835e-01,1.400874625150605013e+01,1.895605315330342933e+01,3.635191019445271454e+00,3.630014058149514611e+00
6.130334019045969862e-01,2.732875534721687671e+01,6.514913178744455635e+00,4.025047125998579389e+00,4.046161982009244262e+00
1.834705837183860488e+00,1.552835799037195486e+01,2.073682400424158701e+01,3.363414191142036547e+00,3.318397105640465750e+00
2.078565478584318005e-01,1.499708104717681465e+02,1.367301896674654671e+01,2.977590655353529847e+00,2.974817548851703020e+00
7.933774237972433419e+00,6.475933904413282960e+01,2.861142412713340732e+01,2.902464070021253839e+00,2.903124072100935038e+00
1.384435763374360473e+00,2.052461509578923824e+02,9.896268756550373524e+00,3.291958887908323916e+00,3.263451908690920167e+00
1.499276777601715160e+01,3.316917186367130910e+01,1.802778161042522642e+00,3.375052046405659034e+00,3.381708318668419810e+00
9.153728628925060562e+00,9.104744355257903976e+01,6.656182347219191442e+00,3.109093165186974872e+00,3.096067544938107208e+00
1.966437946934256775e+00,1.435839747338473273e+02,1.296382226615955169e+01,3.192993542008860874e+00,3.210242437935175719e+00
3.999093120064947726e+01,8.365120959622277752e+00,3.457003718460153419e+00,3.075035860303003243e+00,3.072524018622316611e+00
7.877807285986573760e+00,2.449252686658619993e+01,3.197532997543309818e+01,2.961447153231731910e+00,2.974830218047520791e+00
2.696640522059241363e+01,3.628116705868634284e+01,2.123308234737044220e+00,3.241395366617483731e+00,3.265772238720908049e+00
1.060191143189747054e+00,1.998837279213491627e+02,2.481519713147582706e+01,3.229116737166708440e+00,3.236775328820977737e+00
4.275706332569879642e+00,1.634204006572246044e+02,5.462907357935717911e+00,3.219465662173035092e+00,3.201951239304578145e+00
3.880526515885205918e-01,1.072229043344364108e+01,1.868584712283664828e+01,2.769127748402730571e+00,2.738841375768637842e+00
9.736964135470053350e+01,2.193811234909394727e+02,6.339021577713131350e+00,2.835230446959620565e+00,2.870298129309948099e+00
5.365947174612332171e-01,7.025451522749600031e+01,6.741477914363552593e+00,4.105778522623188209e+00,4.103552678759437633e+00
5.896609960071137468e-01,1.026504374437856271e+01,1.159850945068589390e+01,4.377259896046794552e+00,4.363488597094107746e+00
1.657945373471850503e-01,8.746362536017272760e+01,6.149029091548390724e+00,3.029849973555960752e+00,3.032735115317177321e+00
5.934844671961237994e-01,1.550740149104355226e+02,4.731675424532130414e+00,3.820214238526418171e+00,3.816386011916765408e+00
1.947088078129234390e+01,1.962031659441334952e+01,1.509169523909335453e+00,3.398142935540687581e+00,3.415185780824941286e+00
1.240739795593150241e+01,2.447620166948655651e+01,1.029326376987503266e+01,3.055264339923511763e+00,3.055942903572253844e+00
2.432313985492967068e-01,2.094397608373095210e+01,2.786180986273458515e+01,3.255782613133359593e+00,3.256057604805727923e+00
1.344979002492498799e+00,9.129962236227719075e+01,2.622969961486961310e+01,3.220931615232101919e+00,3.206640020811442504e+00
1.831319769991002655e+00,9.642904498537939162e+01,1.176800664698379073e+00,3.782785124964764378e+00,3.792176486939714319e+00
9.884455239120594428e+00,1.171120854625365837e+02,4.542733899611262949e+00,3.163989554985001895e+00,3.143312220537902046e+00
2.332313301513569748e+00,1.947130348979648886e+02,7.882304231297402985e+00,3.226887517146391104e+00,3.240205305941670666e+00
5.748505887289804939e+00,1.502341871002773033e+01,1.408086629645613375e+00,3.633757889616102243e+00,3.664236639875904977e+00
3.304104776830239842e+01,9.313423381535316992e+01,1.173840699994529579e+01,2.849335225696954854e+00,2.818841504934971987e+00
1.511544129568408046e+01,7.498421121851619375e+01,4.490309900612084348e+00,3.129960344421465201e+00,3.080635759794438933e+00
1.244577056285595784e+00,1.987806486107128379e+01,1.568234512446213369e+00,3.895286778850582721e+00,3.907624353953669250e+00
2.214057665864300528e+00,2.350041473789132738e+02,2.089617709409921975e+00,3.529995601878521683e+00,3.580953558188184171e+00
1.267940018167134975e+00,4.178175321439448453e+01,1.065636192136990790e+00,3.920588066917687797e+00,3.900569569940250059e+00
2.134047058846723355e-01,2.143964754114366826e+02,2.219963637050494931e+00,4.302913999879331541e+00,4.277900084703292194e+00
4.071220570953147377e-01,2.321428386017350363e+02,1.133435768237498209e+01,-1.465547918931764393e-01,-1.347754132175669750e-01
7.102634504632958645e-01,1.810495121546711914e+02,5.528655645758290937e+00,3.675821578522067590e+00,3.659007146720901549e+00
8.757934378958713850e-01,3.932641578955978190e+01,2.248435486339499967e+00,3.858763234959677657e+00,3.848642725280942756e+00
8.692477525027891838e-01,2.109580083388225091e+01,2.401213856929242940e+00,3.911409773433479842e+00,3.904447424099804387e+00
5.371544138953461278e+00,6.091854996105866604e+01,5.157282305326528871e+00,3.261417362866054326e+00,3.272057404591890428e+00
8.223750519866199227e+01,3.799345915986427258e+01,1.269756804789031257e+01,2.755408183295582791e+00,2.747302136067720557e+00
2.108591273173659530e+01,4.053251832815644207e+01,2.968927513547580688e+01,2.796789201827391658e+00,2.802346858628995019e+00
2.362663350075457558e+01,1.864099183271052596e+01,5.632093759142169809e+00,3.064556494157804956e+00,3.061025828979933472e+00
1.895856673403622850e+01,1.481860033907746299e+02,4.647217306832640560e+00,3.070429370475265873e+00,3.053535948402233746e+00
6.179640226627928890e+00,1.006791035881271625e+02,3.721167031718445539e+00,3.280727556875053352e+00,3.274331031720188800e+00
5.663393936702061637e+01,1.605131839342910496e+02,1.724018018965093901e+01,2.709583731378674809e+00,2.690575738075316359e+00
1.171899762765666786e+01,5.048189385152056019e+01,7.365299508465842138e+00,3.086067031985669118e+00,3.086197331703063984e+00
3.170073211716589512e+00,1.102967715717992014e+01,2.390180988459441735e+01,3.238328256173345743e+00,3.215850931622032949e+00
1.703144221959015936e-01,1.588525784715069165e+02,6.685631809544122284e+00,2.951220174067367807e+00,2.929362286681462813e+00
2.919763541084994696e+00,1.017005804387809142e+01,1.992522828232204279e+00,3.690422860000058591e+00,3.719562096306163745e+00
4.350037351403274744e-01,1.366657708545799466e+01,1.439508675184267172e+00,4.195789168288014181e+00,4.194725483881907024e+00
2.500857191937142510e-01,2.109270993072512397e+02,6.454066310683456820e+00,2.285701370325559978e+00,2.284623329816119153e+00
3.297575650485725429e+00,5.600655835865192955e+01,1.936329681302038974e+00,3.578943963628885783e+00,3.589174692027238045e+00
2.265978984746593383e+01,8.299698659751463481e+01,1.125632099272802478e+01,2.904205572267916757e+00,2.895788432216939157e+00
7.673956417933810448e-01,1.376597835047337242e+02,1.508486339107884255e+01,3.581577020169174119e+00,3.577006312819611011e+00
2.024488339656090830e+01,8.004756866568854434e+01,1.479466687081322895e+01,2.873402376573932493e+00,2.881905351280570571e+00
3.774753265448691053e+00,3.726776614513499197e+01,4.087437964669640600e+00,3.401556478764284019e+00,3.407204795609171999e+00
2.799909990070034715e-01,5.252735700315850664e+01,6.746918918906067653e+00,2.102183344968683976e+00,2.078997410430035497e+00
7.850606904927118990e+01,3.183228836640831716e+01,2.193641550834640075e+00,3.089208061918959025e+00,3.105874913852352481e+00
1.602908277641599266e+00,5.913548222125427856e+01,6.040358062909249703e+00,3.472102286919870107e+00,3.460293588054089042e+00
7.686042241970074684e-01,8.061426510316898941e+00,1.698615472093234402e+01,3.940016183645572934e+00,3.918894604639289181e+00
3.475322498541614635e+01,4.657004854855718179e+01,9.164486340364483397e+00,2.907223347545254910e+00,2.889213846145273656e+00
2.362549940403986803e-01,8.688510745165100246e+00,1.009664187151008719e+01,3.304415912793779331e+00,3.296605005906672936e+00
1.587710742419931798e+01,1.169937652882348900e+01,2.748727233476040865e+01,2.913098875616485284e+00,2.945644880708946811e+00
3.659942207470773257e-01,1.503146040407132773e+02,2.701608646839298800e+00,4.071801766922234833e+00,4.048291048823819516e+00
1.504788030430902035e+00,7.862578367598297291e+01,9.499513955689319999e+00,3.377418883948029471e+00,3.380620401798716479e+00
4.962489894518427591e-01,1.504111230064861715e+01,2.145545598289915290e+01,-6.133491850603691731e-01,-6.561056722221807469e-01
3.339519456573892597e+01,1.065962315834893843e+02,3.162251931553968554e+00,3.100729499961682123e+00,3.100698161298778288e+00
1.479870305274880060e+00,4.161167184212168735e+01,1.191060531255326183e+00,3.869424642163469930e+00,3.887415970512990260e+00
8.396116164728771025e+01,1.276597108306253325e+01,2.778062273728441500e+00,3.011296772806412392e+00,3.006563506365183436e+00
7.512499450515405464e+00,2.006348589090044641e+02,2.730517446572533480e+00,3.294543910736840164e+00,3.281956812259173351e+00
1.204671134243442765e+01,1.182710843339657814e+01,2.706093813433283923e+00,3.326672782287298347e+00,3.331303003568469201e+00
3.669233638956379551e+00,8.566549906405484194e+00,6.177110008132480345e+00,3.422825150235384584e+00,3.436828185258397728e+00
8.450931806111020572e-01,1.946767435644760624e+01,7.021810467797672928e+00,3.807050592428076641e+00,3.820323743848424769e+00
1.536983704980974030e+00,1.081003684021715294e+01,3.799319957445781881e+00,3.718626735400734518e+00,3.758076212479330547e+00
6.649707814332941780e+01,8.477314395778229539e+00,3.052492876437390645e+00,3.019124347872364833e+00,3.023307697319090437e+00
4.014297936477665973e-01,7.696920187203001262e+01,6.139160887146465129e+00,5.153242485017699437e+00,5.141394283022640899e+00
9.218424511648395026e+01,1.263900243840729232e+01,1.255603909961499909e+01,2.752272959990621715e+00,2.749753376190888776e+00
1.883291672316894960e+01,5.646947135438127674e+01,1.119185695990204454e+00,3.522019327968772817e+00,3.520569357056376525e+00
1.200496171749505070e+00,1.854488152287477121e+01,1.749263277882860379e+01,3.515948075769393277e+00,3.518122823438955660e+00
8.405059041898818251e+00,2.084056642438284257e+02,1.582462655104333260e+00,3.443783227753465237e+00,3.443182671488876689e+00
1.389775392911630103e+00,1.690384972129698227e+01,2.313510555032249272e+01,3.428461164660861371e+00,3.431940483438785439e+00
1.394693567604356144e+00,4.861311350540113807e+01,5.515024771971845041e+00,3.545961833986634559e+00,3.512544832774332271e+00
3.246450987351038986e+00,1.021776811360094541e+02,7.067873416963664113e+00,3.245482877874954042e+00,3.262075456995754852e+00
1.122453775051416580e-01,2.351728472755670296e+01,2.994245457854503911e+01,3.476935312795403465e+00,3.465440527416982608e+00
3.024925477857674849e+00,1.428836421192087585e+02,2.241032012996035050e+01,3.014553528499103852e+00,2.991090354570163257e+00
8.218550732019147631e+01,2.375064454395149482e+01,4.676526150488816924e+00,2.921114724419793696e+00,2.933869747612622536e+00
7.184485727446682235e-01,3.068156820118025863e+01,2.015889592885407922e+00,3.953575215271535992e+00,3.979921735419257534e+00
1.756523147184579159e+01,3.555403545020131872e+01,7.883026948102527243e+00,3.031778111489218830e+00,3.041638674479207882e+00
2.129936569850606976e+00,3.416555386348277779e+01,1.149433546652031346e+00,3.833596642999066439e+00,3.836819829275976979e+00
4.244662141884842921e-01,6.578643694636215855e+01,1.261696774463666015e+00,4.030251492232923560e+00,4.011607086125484223e+00
5.188092521640633237e+01,1.752360940667035649e+01,2.190820198116065320e+00,3.139510445095169189e+00,3.196941791851439341e+00
1.123264035784483084e-01,2.503840144029687309e+01,4.253796176703669829e+00,3.319816018303253013e+00,3.337421190716483022e+00
8.138170414405244690e-01,1.768997564411053247e+01,1.106955707789671273e+01,3.804754999869596865e+00,3.781969106462737429e+00
9.932936222812121230e+01,2.088979229189099840e+01,1.408893813440220244e+00,3.187892581670147329e+00,3.172299823345352543e+00
6.115618539746738858e-01,1.125101720171813184e+02,1.935009921924126530e+01,4.232831411689172540e+00,4.234570996660610653e+00
3.524792579987347096e+01,7.083221581471848083e+01,4.753164969950007368e+00,3.014409197961289699e+00,2.983314575321370121e+00
6.562199750215244265e+00,2.250257846138499360e+02,1.958282921022490353e+00,3.400782109205767512e+00,3.404154717345977854e+00
2.618828885904865089e+01,2.153665232138958459e+02,2.000440710779191278e+01,2.744507411844673506e+00,2.735325980730418216e+00
7.779528323919137733e+00,1.628449679218549662e+01,1.096166056640696418e+01,3.143528928928430055e+00,3.168054340934754354e+00
1.224871616953437270e+00,1.656114114261007231e+01,1.968752833347465980e+01,3.503795139943461479e+00,3.523038233216026605e+00
1.915871397338257864e+01,1.858815546671003176e+02,2.835897597538740555e+01,2.724589993368939034e+00,2.670364284620243556e+00
1.200752906947318288e-01,1.294927234672675631e+01,1.712477294286602358e+01,3.613088032950004802e+00,3.613922084670551094e+00
2.189973477593566198e+00,1.118890648173122457e+02,3.283057660602706651e+00,3.474704391088555333e+00,3.442355041098081436e+00
1.304859373293532299e+00,1.554952726531372953e+01,3.057209397035864740e+01,3.424371993858761343e+00,3.446564753843731843e+00
2.699118904032127730e+00,1.313353446452376971e+01,1.359635863599891792e+01,3.340567747267726428e+00,3.343929864650283079e+00
2.414693758165253334e-01,3.666214894223612220e+01,1.709093727390257200e+01,3.149469864971425004e+00,3.160437974015164908e+00
4.650724332275441575e-01,8.564507524636813685e+01,3.540897892308930039e+00,4.046417073747210935e+00,4.025114579171145124e+00
4.854614741101761943e+00,1.491730825992222549e+02,7.909733785175750320e+00,3.131327834351013806e+00,3.167896439110923890e+00
1.456489462679001035e+00,1.645843468922153363e+01,8.643789751281456546e+00,3.561327299481132691e+00,3.601728766824141559e+00
2.371202350329675568e+01,1.130210588129392946e+01,2.613291382628473603e+00,3.218014384477998924e+00,3.196718963625474696e+00
6.537470886628553579e+00,1.248078268270878368e+02,5.260371976960304785e+00,3.184631033638535058e+00,3.192087336075861259e+00
3.835306304636874586e+01,3.818902350498056819e+01,2.563224438430370178e+00,3.144896345358931811e+00,3.131430296791128054e+00
1.574281935214522754e+01,6.615821212157787556e+01,2.712730401450601736e+00,3.241759568038094841e+00,3.241288169300880373e+00
6.389551034474384217e+00,6.058998885293501502e+01,9.655048232146526743e+00,3.116483993541581565e+00,3.091171253957090137e+00
7.292002461565223470e-01,1.117466275624692145e+02,1.071453403271561022e+00,3.914177630900003813e+00,3.951520541191616331e+00
2.229879545422264542e+01,2.469019750417311059e+02,1.384171865000053359e+01,2.818239497191032061e+00,2.798855906969378804e+00
5.672868735128482331e-01,7.560749994363533233e+01,5.371035300271727486e+00,3.959350722352135143e+00,3.953429046052185036e+00
1.681254018706859199e-01,2.836534856620786726e+01,1.545693812850507776e+00,4.397370647148878042e+00,4.407400305771088433e+00
7.737376593177201300e+01,1.466646344084017706e+01,5.333416466205074258e+00,2.904140280665227003e+00,2.891189067096904264e+00
4.169016512699347921e+00,1.142715291724049820e+01,3.673577800791753667e+00,3.471844028489885936e+00,3.467057779895239999e+00
2.097407867084506350e+01,8.789875291086609366e+01,2.067578069353931269e+01,2.810219960143322204e+00,2.798947163214783096e+00
3.869620925482324392e+00,1.936685841658311702e+01,1.030070265960136666e+01,3.273673223811717214e+00,3.271004008714991418e+00
6.835010579388391072e+00,2.093733184084230459e+01,2.177864611026088859e+00,3.464682583440452657e+00,3.441271730738446610e+00
1.263795345515018875e-01,3.718720412783905971e+01,2.388950322015093874e+01,3.371131126283083645e+00,3.362371364771037818e+00
3.633967492789965670e-01,4.979719903894920208e+01,2.009661836868247775e+01,2.732371826756095690e+00,2.728233968261850606e+00
1.056983447627628259e+01,3.384193371614205148e+01,6.572553342339024773e+00,3.140327553997046106e+00,3.133653033920963615e+00
5.148655025717912004e+00,2.195676573637086619e+02,1.301579029620384187e+00,3.571748453835780435e+00,3.572882252933656133e+00
2.989958097322272246e-01,2.247821448790859122e+01,9.959694029492766276e+00,2.785404783903956627e+00,2.779542739516822181e+00
7.179394304526657322e+01,6.444931571614644383e+01,4.332550530504325259e+00,2.951416248912119400e+00,2.966480477080907008e+00
2.904429890889361765e-01,8.463339996374818597e+00,8.784102500038876826e+00,2.856148501187498301e+00,2.849684582671781818e+00
3.395547023580987034e+00,9.978750707814752374e+00,1.405477873806681766e+00,3.751024525136656962e+00,3.748291533210739157e+00
2.704012065064449466e-01,1.594170913823105096e+01,1.489463514449066883e+00,4.312866129514352664e+00,4.299570502794435534e+00
1.419433916834842080e+01,2.121061237570290459e+01,1.681128024717842839e+00,3.412429805825405893e+00,3.401899509023101231e+00
6.744333573689974548e-01,4.026952630330684002e+01,6.697513050316548089e+00,3.884966097967424314e+00,3.859676242151030223e+00
2.525817252557099879e-01,5.852726711641964386e+01,1.218768921655199122e+01,2.991246631413289059e+00,3.001622329830848201e+00
1.373920305147971199e-01,1.421759504126605655e+01,3.332406894896773775e+00,2.387980459072204020e+00,2.365130098719154361e+00
3.345851130742169000e-01,5.943532698989388763e+01,1.381762373132158439e+00,4.087783297585246167e+00,4.072866169621479848e+00
3.761803881030929553e-01,1.062296947940333247e+01,1.770587987477843406e+00,4.280955911120622126e+00,4.288140804160846642e+00
4.082406423932509298e+00,3.115460628800720499e+01,3.022414791991100191e+00,3.462766108069132542e+00,3.470817575388023268e+00
