t,C,CB,C_t,dC_dt,dC_dt_noisy
7.681536307261452312e-02,2.350929536731967673e+01,1.267124726763067810e-01,2.783014683268486555e-01,-1.882428471585980390e+01,-1.881634029436347078e+01
8.161632326465292908e-02,2.341909173055706717e+01,1.345446680571452391e-01,2.950614091068781142e-01,-1.875309101257930067e+01,-1.881158236277231666e+01
8.641728345669133504e-02,2.332922925938806813e+01,1.423665720597332429e-01,3.117484843487766666e-01,-1.868216059506782400e+01,-1.883854228753919102e+01
9.121824364872974100e-02,2.323970669178598314e+01,1.501781818794410417e-01,3.283629742770183824e-01,-1.861149248892528618e+01,-1.866293093704906170e+01
9.601920384076814696e-02,2.315052277054778784e+01,1.579794947074811273e-01,3.449051580406692907e-01,-1.854108572349774064e+01,-1.853945728739407173e+01
1.008201640328065668e-01,2.306167624375944669e+01,1.657705077266561078e-01,3.613753136102871855e-01,-1.847093933224189399e+01,-1.852605991330176849e+01
1.056211242248449728e-01,2.297316586401143113e+01,1.735512181190052017e-01,3.777737179515113231e-01,-1.840105235211143153e+01,-1.814223958923178870e+01
1.104220844168833787e-01,2.288499038839388078e+01,1.813216230658504236e-01,3.941006470261281258e-01,-1.833142382355346101e+01,-1.813007896049230183e+01
1.152230446089217847e-01,2.279714857849661769e+01,1.890817197477965006e-01,4.103563757920711819e-01,-1.826205279050874353e+01,-1.880428528630193696e+01
1.200240048009601906e-01,2.270963920040915340e+01,1.968315053447308449e-01,4.265411782034208010e-01,-1.819293830041197424e+01,-1.857074094960550781e+01
1.248249649929985966e-01,2.262246102472066056e+01,2.045709770358236645e-01,4.426553272104046810e-01,-1.812407940419199193e+01,-1.815903382260302479e+01
1.296259251850370164e-01,2.253561282652000841e+01,2.123001319995278247e-01,4.586990947593973522e-01,-1.805547515627208099e+01,-1.813991323858735072e+01
1.344268853770754224e-01,2.244909338539574151e+01,2.200189674135789586e-01,4.746727517929204554e-01,-1.798712461457019884e+01,-1.794439601507047755e+01
1.392278455691138284e-01,2.236290148543607614e+01,2.277274804549954124e-01,4.905765682496427971e-01,-1.791902684049925298e+01,-1.787556245429474089e+01
1.440288057611522343e-01,2.227703591522892168e+01,2.354256683000782724e-01,5.064108130643800720e-01,-1.785118089896736748e+01,-1.742761314795715677e+01
1.488297659531906403e-01,2.219149546786185923e+01,2.431135281244113100e-01,5.221757541680951409e-01,-1.778358585837818140e+01,-1.800599001091663709e+01
1.536307261452290462e-01,2.210627894092214873e+01,2.507910571028610924e-01,5.378716584878977525e-01,-1.771624079063109392e+01,-1.779176179205649433e+01
1.584316863372674522e-01,2.202138513649673612e+01,2.584582524095768163e-01,5.534987919470448769e-01,-1.764914477112158053e+01,-1.724059044962311305e+01
1.632326465293058582e-01,2.193681286106276218e+01,2.661151112191228463e-01,5.690574194891743209e-01,-1.758229687865568280e+01,-1.745295627941531436e+01
1.680336067213442641e-01,2.185256092485922963e+01,2.737616307122351933e-01,5.845478052176575900e-01,-1.751569619495790064e+01,-1.738308352048264993e+01
1.728345669133826701e-01,2.176862814360516651e+01,2.813978080572268614e-01,5.999702120155386842e-01,-1.744934180601801899e+01,-1.755214308035550985e+01
1.776355271054210760e-01,2.168501333753956573e+01,2.890236404210106413e-01,6.153249017576567503e-01,-1.738323280133904802e+01,-1.771284783551017838e+01
1.824364872974594820e-01,2.160171533112777453e+01,2.966391249722634127e-01,6.306121353755916870e-01,-1.731736827370740173e+01,-1.728387532486285494e+01
1.872374474894978880e-01,2.151873295306149458e+01,3.042442588814260329e-01,6.458321728576641441e-01,-1.725174731919312521e+01,-1.722994450162881463e+01
1.920384076815362939e-01,2.143606503625878901e+01,3.118390393207035038e-01,6.609852732489358562e-01,-1.718636903715014341e+01,-1.743183944799905660e+01
1.968393678735747276e-01,2.135371041786406821e+01,3.194234634640649162e-01,6.760716946512093095e-01,-1.712123253021651337e+01,-1.725787786257262724e+01
2.016403280656131336e-01,2.127166793924811117e+01,3.269975284872433385e-01,6.910916942230274085e-01,-1.705633690431464800e+01,-1.707074564026009256e+01
2.064412882576515396e-01,2.118993644600804060e+01,3.345612315677359283e-01,7.060455281796746974e-01,-1.699168126865161099e+01,-1.718063159326376521e+01
2.112422484496899455e-01,2.110851478796734071e+01,3.421145698848040428e-01,7.209334517931759168e-01,-1.692726473571936552e+01,-1.694691872928980914e+01
2.160432086417283515e-01,2.102740181917585360e+01,3.496575406194729618e-01,7.357557193922968919e-01,-1.686308642129502289e+01,-1.684398981580113031e+01
2.208441688337667574e-01,2.094659639790977579e+01,3.571901409545321093e-01,7.505125843625443105e-01,-1.679914544444114100e+01,-1.679202819703004224e+01
2.256451290258051634e-01,2.086609738667166170e+01,3.647123680745348873e-01,7.652042991461656118e-01,-1.673544092750598722e+01,-1.683669925916884935e+01
2.304460892178435694e-01,2.078590365219041658e+01,3.722242191657988974e-01,7.798311152421492087e-01,-1.667197199612380487e+01,-1.655322238176664129e+01
2.352470494098819753e-01,2.070601406542130718e+01,3.797256914164057751e-01,7.943932832062242655e-01,-1.660873777921513650e+01,-1.643050438835867055e+01
2.400480096019203813e-01,2.062642750154595461e+01,3.872167820162011886e-01,8.088910526508606980e-01,-1.654573740898707612e+01,-1.648156774807376479e+01
2.448489697939587872e-01,2.054714283997233792e+01,3.946974881567948401e-01,8.233246722452693955e-01,-1.648297002093360675e+01,-1.664661606641166713e+01
2.496499299859971932e-01,2.046815896368974563e+01,4.021678070388637893e-01,8.376943898581843406e-01,-1.642043475332959090e+01,-1.627410429657250290e+01
2.544508901780356269e-01,2.038947476001586168e+01,4.096277358614846542e-01,8.520004523932533935e-01,-1.635813074781751553e+01,-1.645841875151092637e+01
2.592518503700740329e-01,2.031108912137325362e+01,4.170772718140008384e-01,8.662431056169122012e-01,-1.629605715001730459e+01,-1.612022502635970866e+01
2.640528105621124388e-01,2.023300094413492189e+01,4.245164120904067473e-01,8.804225944134591586e-01,-1.623421310862048017e+01,-1.644857059199597060e+01
2.688537707541508448e-01,2.015520912861864389e+01,4.319451538894147347e-01,8.945391627863048534e-01,-1.617259777538597021e+01,-1.598970433476021391e+01
2.736547309461892508e-01,2.007771257908698104e+01,4.393634944144556576e-01,9.085930538579718441e-01,-1.611121030514033947e+01,-1.611522299606343722e+01
2.784556911382276567e-01,2.000051020374728949e+01,4.467714308736783768e-01,9.225845098700946600e-01,-1.605004985577805243e+01,-1.629979963384493402e+01
2.832566513302660627e-01,1.992360091475168815e+01,4.541689604799501456e-01,9.365137721834201345e-01,-1.598911558826169887e+01,-1.605189548265506971e+01
2.880576115223044686e-01,1.984698362819709061e+01,4.615560804508564985e-01,9.503810812778071826e-01,-1.592840666662224436e+01,-1.591758621086793646e+01
2.928585717143428746e-01,1.977065726412519808e+01,4.689327880087010847e-01,9.641866767522266901e-01,-1.586792225795931266e+01,-1.581336399012642246e+01
2.976595319063812806e-01,1.969462074652247807e+01,4.762990803805059459e-01,9.779307973247618468e-01,-1.580766153244142913e+01,-1.600409915742962497e+01
3.024604920984196865e-01,1.961887300332019990e+01,4.836549547980113495e-01,9.916136808326077023e-01,-1.574762366330628893e+01,-1.596909827273932692e+01
3.072614522904580925e-01,1.954341296639439918e+01,4.910004084976756777e-01,1.005235564232071832e+00,-1.568780782686102881e+01,-1.564789092029161210e+01
3.120624124824964984e-01,1.946823957156590623e+01,4.983354387206757052e-01,1.018796683598573338e+00,-1.562821320248250956e+01,-1.572156312585847004e+01
3.168633726745349044e-01,1.939335175860032479e+01,5.056600427129064323e-01,1.032297274126643849e+00,-1.556883897261759486e+01,-1.552173785027154906e+01
3.216643328665733104e-01,1.931874847120804972e+01,5.129742177249810853e-01,1.045737570129927185e+00,-1.550968432278341957e+01,-1.535778041828774398e+01
3.264652930586117163e-01,1.924442865704425643e+01,5.202779610122311160e-01,1.059117805041178695e+00,-1.545074844156772720e+01,-1.578050591483791720e+01
3.312662532506501223e-01,1.917039126770889368e+01,5.275712698347063689e-01,1.072438211412266362e+00,-1.539203052062910260e+01,-1.534115289732557841e+01
3.360672134426885282e-01,1.909663525874670853e+01,5.348541414571745811e-01,1.085699020914169921e+00,-1.533352975469733082e+01,-1.508860036119018488e+01
3.408681736347269342e-01,1.902315958887819392e+01,5.421265731590791948e-01,1.098900464507081232e+00,-1.527524534096897924e+01,-1.533475070984307465e+01
3.456691338267653402e-01,1.894996322098940311e+01,5.493885622188221518e-01,1.112042772222481712e+00,-1.521717647988607958e+01,-1.537933939653359339e+01
3.504700940188037461e-01,1.887704512283372438e+01,5.566401059057685119e-01,1.125126173007504393e+00,-1.515932237568834573e+01,-1.500887361025242761e+01
3.552710542108421521e-01,1.880440426583030700e+01,5.638812014973973996e-01,1.138150894990143325e+00,-1.510168223546859601e+01,-1.505099293222696843e+01
3.600720144028805580e-01,1.873203962506202913e+01,5.711118462793298711e-01,1.151117165479696336e+00,-1.504425526917140665e+01,-1.486507865501589443e+01
3.648729745949189640e-01,1.865995017927552624e+01,5.783320375453286921e-01,1.164025210966766588e+00,-1.498704068959331970e+01,-1.505608383160357633e+01
3.696739347869573700e-01,1.858813491088116621e+01,5.855417725972985599e-01,1.176875257123260576e+00,-1.493003771238312538e+01,-1.522640136712756842e+01
3.744748949789957759e-01,1.851659280595306356e+01,5.927410487452859922e-01,1.189667528802390128e+00,-1.487324555604207177e+01,-1.489524770898432138e+01
3.792758551710341819e-01,1.844532285422907592e+01,5.999298633074794385e-01,1.202402250038671072e+00,-1.481666344192412410e+01,-1.490582907252637135e+01
3.840768153630725879e-01,1.837432404911080752e+01,6.071082136102089466e-01,1.215079644047923679e+00,-1.476029059423622947e+01,-1.460522582982671480e+01
3.888777755551110493e-01,1.830359538766359506e+01,6.142760969879466071e-01,1.227699933227272666e+00,-1.470412624003856017e+01,-1.466539967036312930e+01
3.936787357471494553e-01,1.823313587061652896e+01,6.214335107833062199e-01,1.240263339155147193e+00,-1.464816960924478018e+01,-1.497433945573180125e+01
3.984796959391878612e-01,1.816294450236243918e+01,6.285804523470434058e-01,1.252770082591280643e+00,-1.459241993462231157e+01,-1.483145255064295220e+01
4.032806561312262672e-01,1.809302029095789521e+01,6.357169190380556056e-01,1.265220383476711064e+00,-1.453687645179260990e+01,-1.436011864447515940e+01
4.080816163232646732e-01,1.802336224812321319e+01,6.428429082233823033e-01,1.277614460933781171e+00,-1.448153839923144126e+01,-1.434558539574787162e+01
4.128825765153030791e-01,1.795396938924244878e+01,6.499584172782045810e-01,1.289952533266137236e+00,-1.442640501826915234e+01,-1.455445369145085088e+01
4.176835367073414851e-01,1.788484073336340430e+01,6.570634435858455635e-01,1.302234817958730861e+00,-1.437147555309097591e+01,-1.437168531240443237e+01
4.224844968993798910e-01,1.781597530319762157e+01,6.641579845377697522e-01,1.314461531677817874e+00,-1.431674925073730442e+01,-1.422763453998206806e+01
4.272854570914182970e-01,1.774737212512038909e+01,6.712420375335841349e-01,1.326632890270957876e+00,-1.426222536110399730e+01,-1.416854449393454196e+01
4.320864172834567030e-01,1.767903022917073841e+01,6.783155999810369652e-01,1.338749108767015361e+00,-1.420790313694269003e+01,-1.403265469771982055e+01
4.368873774754951089e-01,1.761094864847815700e+01,6.853786693046556300e-01,1.350810401502809510e+00,-1.415378183340931884e+01,-1.410248470796500619e+01
4.416883376675335149e-01,1.754312641952279606e+01,6.924312429390074852e-01,1.362816982066636928e+00,-1.409986070826955995e+01,-1.411882637606325908e+01
4.464892978595719208e-01,1.747556258374306282e+01,6.994733183047109337e-01,1.374769062942999609e+00,-1.404613902316606477e+01,-1.409790863612363410e+01
4.512902580516103268e-01,1.740825618601235192e+01,7.065048928336753464e-01,1.386666855848288638e+00,-1.399261604241833901e+01,-1.378146748231168850e+01
4.560912182436487328e-01,1.734120627459286013e+01,7.135259639698350309e-01,1.398510571740978925e+00,-1.393929103298658490e+01,-1.438946188800229287e+01
4.608921784356871387e-01,1.727441190113555436e+01,7.205365291691493423e-01,1.410300420821628098e+00,-1.388616326447192328e+01,-1.391389432949019067e+01
4.656931386277255447e-01,1.720787212068020366e+01,7.275365858996025725e-01,1.422036612532877831e+00,-1.383323200911659256e+01,-1.382663198831978058e+01
4.704940988197639506e-01,1.714158599165535790e+01,7.345261316412042829e-01,1.433719355559452957e+00,-1.378049654180423822e+01,-1.406556633397827660e+01
4.752950590118023566e-01,1.707555257587836195e+01,7.415051638859887495e-01,1.445348857828161915e+00,-1.372795614006011711e+01,-1.366139341743250846e+01
4.800960192038407626e-01,1.700977093855534150e+01,7.484736801380155180e-01,1.456925326507896079e+00,-1.367561008405134970e+01,-1.380586628654002901e+01
4.848969793958791685e-01,1.694424014828121017e+01,7.554316779133689597e-01,1.468448968009631095e+00,-1.362345765658717056e+01,-1.345096869732402034e+01
4.896979395879175745e-01,1.687895927703968013e+01,7.623791547401587154e-01,1.479919987986425545e+00,-1.357149814311919478e+01,-1.359661655992606022e+01
4.944988997799559804e-01,1.681392740020323728e+01,7.693161081585191408e-01,1.491338591333421171e+00,-1.351973083174165424e+01,-1.338590018358376454e+01
4.992998599719943864e-01,1.674914359653316609e+01,7.762425357206098608e-01,1.502704982187843319e+00,-1.346815501319167474e+01,-1.322438629215742978e+01
5.041008201640327924e-01,1.668460694817953538e+01,7.831584349906153264e-01,1.514019363929001383e+00,-1.341676998084954775e+01,-1.334018406430685388e+01
5.089017803560712538e-01,1.662031654068120545e+01,7.900638035447453689e-01,1.525281939178287471e+00,-1.336557503073899511e+01,-1.354071925942356458e+01
5.137027405481096043e-01,1.655627146296581742e+01,7.969586389712342012e-01,1.536492909799176854e+00,-1.331456946152744081e+01,-1.361743318786836809e+01
5.185037007401480658e-01,1.649247080734980742e+01,8.038429388703418610e-01,1.547652476897229512e+00,-1.326375257452630585e+01,-1.291307575102303140e+01
5.233046609321864162e-01,1.642891366953839949e+01,8.107167008543525455e-01,1.558760840820087257e+00,-1.321312367369129603e+01,-1.323538211232880002e+01
5.281056211242248777e-01,1.636559914862559850e+01,8.175799225475763876e-01,1.569818201157476834e+00,-1.316268206562267373e+01,-1.330039505514953824e+01
5.329065813162632281e-01,1.630252634709420789e+01,8.244326015863477908e-01,1.580824756741207038e+00,-1.311242705956559362e+01,-1.308357564195342881e+01
5.377075415083016896e-01,1.623969437043145447e+01,8.312747356257316200e-01,1.591780705729970435e+00,-1.306235796710672403e+01,-1.310064023320325433e+01
5.425085017003400401e-01,1.617710232677436721e+01,8.381063223430849085e-01,1.602686245688544009e+00,-1.301247410189449383e+01,-1.284204564905195589e+01
5.473094618923785015e-01,1.611474932913844427e+01,8.449273593984611974e-01,1.613541573096312520e+00,-1.296277478140009443e+01,-1.295598914491267450e+01
5.521104220844168520e-01,1.605263449381333629e+01,8.517378444654961633e-01,1.624346883700128918e+00,-1.291325932565041334e+01,-1.291050940892673005e+01
5.569113822764553134e-01,1.599075694021230909e+01,8.585377752341664115e-01,1.635102372547475591e+00,-1.286392705710931672e+01,-1.300684300131590909e+01
5.617123424684936639e-01,1.592911579087227558e+01,8.653271494107880324e-01,1.645808233986461033e+00,-1.281477730067789267e+01,-1.272086368092839415e+01
5.665133026605321254e-01,1.586771017145376561e+01,8.721059647180178231e-01,1.656464661665823623e+00,-1.276580938369465024e+01,-1.297258272816564606e+01
5.713142628525704758e-01,1.580653921074094903e+01,8.788742188948520662e-01,1.667071848534927403e+00,-1.271702263593575744e+01,-1.258384474798296360e+01
5.761152230446089373e-01,1.574560204064161795e+01,8.856319096966277504e-01,1.677629986843766297e+00,-1.266841638961526861e+01,-1.236362888701724216e+01
5.809161832366472877e-01,1.568489779618720092e+01,8.923790348950215723e-01,1.688139268142960558e+00,-1.261998997938535183e+01,-1.292492718700518139e+01
5.857171434286857492e-01,1.562442561553275233e+01,8.991155922780509346e-01,1.698599883283759215e+00,-1.257174274233653044e+01,-1.306498858860679491e+01
5.905181036207240997e-01,1.556418463995696477e+01,9.058415796500723927e-01,1.709012022418038290e+00,-1.252367401799792646e+01,-1.240029826696706294e+01
5.953190638127625611e-01,1.550417401386214955e+01,9.125569948317835411e-01,1.719375874998302578e+00,-1.247578314833750035e+01,-1.196620358524087457e+01
6.001200240048009116e-01,1.544439288477426153e+01,9.192618356602216823e-01,1.729691629777683870e+00,-1.242806947776230508e+01,-1.262825444753668336e+01
6.049209841968393730e-01,1.538484040334287073e+01,9.259560999887644916e-01,1.739959474809942508e+00,-1.238053235311873834e+01,-1.263067150487913537e+01
6.097219443888777235e-01,1.532551572334119427e+01,9.326397856871292413e-01,1.750179597449466051e+00,-1.233317112369281254e+01,-1.221537733693671868e+01
6.145229045809161850e-01,1.526641800166606799e+01,9.393128906413740209e-01,1.760352184351270388e+00,-1.228598514121040175e+01,-1.245412945922206305e+01
6.193238647729546464e-01,1.520754639833795885e+01,9.459754127538965163e-01,1.770477421470999069e+00,-1.223897375983751523e+01,-1.234017885662486336e+01
6.241248249649929969e-01,1.514890007650097381e+01,9.526273499434346759e-01,1.780555494064923083e+00,-1.219213633618059589e+01,-1.226175982951735222e+01
6.289257851570314584e-01,1.509047820242283677e+01,9.592687001450669326e-01,1.790586586689942195e+00,-1.214547222928675119e+01,-1.203907181202839105e+01
6.337267453490698088e-01,1.503227994549491164e+01,9.658994613102110938e-01,1.800570883203582717e+00,-1.209898080064407466e+01,-1.218004127292269878e+01
6.385277055411082703e-01,1.497430447823218991e+01,9.725196314066260062e-01,1.810508566764000404e+00,-1.205266141418192838e+01,-1.199708484616589566e+01
6.433286657331466207e-01,1.491655097588062517e+01,9.791292084261912221e-01,1.820399819916515005e+00,-1.200651343596015508e+01,-1.204182008773886992e+01
6.481296259251850822e-01,1.485901861607473329e+01,9.857281903887032959e-01,1.830244824670192116e+00,-1.196053623389818732e+01,-1.212947045462850859e+01
6.529305861172234327e-01,1.480170658107677539e+01,9.923165752967366693e-01,1.840043762004599515e+00,-1.191472917954934729e+01,-1.197869443109799192e+01
6.577315463092618941e-01,1.474461405616708021e+01,9.988943611708348547e-01,1.849796812223287734e+00,-1.186909164682594309e+01,-1.205917157985952670e+01
6.625325065013002446e-01,1.468774022949675384e+01,1.005461546052574873e+00,1.859504154986197255e+00,-1.182362301188280718e+01,-1.182232001470885763e+01
6.673334666933387060e-01,1.463108429208766381e+01,1.012018128004567252e+00,1.869165969309659392e+00,-1.177832265311746696e+01,-1.200309589863059401e+01
6.721344268853770565e-01,1.457464543783245503e+01,1.018564105110455920e+00,1.878782433566395405e+00,-1.173318995117035257e+01,-1.195176882502940074e+01
6.769353870774155180e-01,1.451842286349453914e+01,1.025099475474918753e+00,1.888353725485516943e+00,-1.168822428892502785e+01,-1.139683192586397631e+01
6.817363472694538684e-01,1.446241576870810164e+01,1.031624237223666141e+00,1.897880022152525603e+00,-1.164342505150838214e+01,-1.165406189556945016e+01
6.865373074614923299e-01,1.440662335597808941e+01,1.038138388503443643e+00,1.907361500009314037e+00,-1.159879162629084526e+01,-1.160957203138525351e+01
6.913382676535306803e-01,1.435104483068023029e+01,1.044641927482028221e+00,1.916798334854164620e+00,-1.155432340288663262e+01,-1.145201611890310822e+01
6.961392278455691418e-01,1.429567940106101176e+01,1.051134852348232451e+00,1.926190701841750341e+00,-1.151001977315393177e+01,-1.159419117366370600e+01
7.009401880376074923e-01,1.424052627823770223e+01,1.057617161311900755e+00,1.935538775483133911e+00,-1.146588013119516525e+01,-1.151158720469079633e+01
7.057411482296459537e-01,1.418558467619832975e+01,1.064088852603912283e+00,1.944842729645769319e+00,-1.142190387335721091e+01,-1.133687412629082836e+01
7.105421084216843042e-01,1.413085381180170153e+01,1.070549924476178916e+00,1.954102737553500058e+00,-1.137809039823162927e+01,-1.132160722978274947e+01
7.153430686137227656e-01,1.407633290477738441e+01,1.077000375201646154e+00,1.963318971786560230e+00,-1.133443910665492460e+01,-1.156629845204141027e+01
7.201440288057611161e-01,1.402202117772572798e+01,1.083440203074293340e+00,1.972491604281574107e+00,-1.129094940170877770e+01,-1.112428088237484580e+01
7.249449889977995776e-01,1.396791785611784142e+01,1.089869406409133212e+00,1.981620806331556350e+00,-1.124762068872029630e+01,-1.136570767737810428e+01
7.297459491898379280e-01,1.391402216829561134e+01,1.096287983542211686e+00,1.990706748585912012e+00,-1.120445237526229043e+01,-1.141566816532512796e+01
7.345469093818763895e-01,1.386033334547168749e+01,1.102695932830608960e+00,1.999749601050436310e+00,-1.116144387115349090e+01,-1.134153888515330166e+01
7.393478695739147399e-01,1.380685062172949529e+01,1.109093252652437522e+00,2.008749533087314632e+00,-1.111859458845885484e+01,-1.119670365732991968e+01
7.441488297659532014e-01,1.375357323402322507e+01,1.115479941406844810e+00,2.017706713415122977e+00,-1.107590394148981616e+01,-1.075044389056520266e+01
7.489497899579915519e-01,1.370050042217784636e+01,1.121855997514010328e+00,2.026621310108827512e+00,-1.103337134680456266e+01,-1.126847852778871939e+01
7.537507501500300133e-01,1.364763142807486140e+01,1.128221419432886563e+00,2.035493490779177073e+00,-1.099099622256128228e+01,-1.095898104405441487e+01
7.585517103420683638e-01,1.359496549663767695e+01,1.134576205634771684e+00,2.044323422357472442e+00,-1.094877798930156310e+01,-1.137634286091967795e+01
7.633526705341068253e-01,1.354250187675011041e+01,1.140920354585145846e+00,2.053111270892433726e+00,-1.090671607068074245e+01,-1.090702945730978257e+01
7.681536307261451757e-01,1.349023981993184229e+01,1.147253864775415355e+00,2.061857201840919362e+00,-1.086480989241550255e+01,-1.068489660892030102e+01
7.729545909181836372e-01,1.343817858033438384e+01,1.153576734723007480e+00,2.070561380068810298e+00,-1.082305888228086843e+01,-1.087039154669315977e+01
7.777555511102220986e-01,1.338631741474108772e+01,1.159888962971368231e+00,2.079223969851009990e+00,-1.078146247011038206e+01,-1.090733345488705019e+01
7.825565113022604491e-01,1.333465558256714267e+01,1.166190548089963697e+00,2.087845134871443076e+00,-1.074002008779628525e+01,-1.069371787498457849e+01
7.873574714942989106e-01,1.328319234585956643e+01,1.172481488674280481e+00,2.096425038223057591e+00,-1.069873116928971868e+01,-1.055870081905958813e+01
7.921584316863372610e-01,1.323192696929722167e+01,1.178761783345823710e+00,2.104963842407823194e+00,-1.065759515060089235e+01,-1.052486363639741107e+01
7.969593918783757225e-01,1.318085872019079829e+01,1.185031430752119253e+00,2.113461709336731609e+00,-1.061661146979929704e+01,-1.022211669901333941e+01
8.017603520704140729e-01,1.312998686848283292e+01,1.191290429566712383e+00,2.121918800329797072e+00,-1.057577956701391031e+01,-1.053394607254665516e+01
8.065613122624525344e-01,1.307931068674768937e+01,1.197538778489168676e+00,2.130335276116056775e+00,-1.053509888443337772e+01,-1.065358090438396488e+01
8.113622724544908849e-01,1.302882945019157113e+01,1.203776476245072224e+00,2.138711296833568198e+00,-1.049456886630623131e+01,-1.051976470430355981e+01
8.161632326465293463e-01,1.297854243665251595e+01,1.210003521586028530e+00,2.147047022029413554e+00,-1.045418895894110989e+01,-1.046868866806507192e+01
8.209641928385676968e-01,1.292844892660040124e+01,1.216219913289661614e+00,2.155342610659695346e+00,-1.041395861070696327e+01,-1.039221113401134033e+01
8.257651530306061582e-01,1.287854820313693516e+01,1.222425650159616239e+00,2.163598221089539031e+00,-1.037387727203326193e+01,-1.037988283467914918e+01
8.305661132226445087e-01,1.282883955199566905e+01,1.228620731025555690e+00,2.171814011093092134e+00,-1.033394439541025456e+01,-1.029915120763101299e+01
8.353670734146829702e-01,1.277932226154198325e+01,1.234805154743164657e+00,2.179990137853524690e+00,-1.029415943538915990e+01,-1.062832944751218278e+01
8.401680336067213206e-01,1.272999562277309948e+01,1.240978920194146351e+00,2.188126757963029245e+00,-1.025452184858242255e+01,-1.008859605737441356e+01
8.449689937987597821e-01,1.268085892931807201e+01,1.247142026286224281e+00,2.196224027422819525e+00,-1.021503109366393147e+01,-1.032997894744813827e+01
8.497699539907981325e-01,1.263191147743779119e+01,1.253294471953141365e+00,2.204282101643132208e+00,-1.017568663136927753e+01,-1.041031837065868260e+01
8.545709141828365940e-01,1.258315256602498700e+01,1.259436256154661260e+00,2.212301135443226485e+00,-1.013648792449598979e+01,-1.000893769256770227e+01
8.593718743748749445e-01,1.253458149660422372e+01,1.265567377876566146e+00,2.220281283051383170e+00,-1.009743443790379658e+01,-9.833969236426579386e+00
8.641728345669134059e-01,1.248619757293247723e+01,1.271687836140382277e+00,2.228222698192786400e+00,-1.005852563819636103e+01,-9.959920008296473171e+00
8.689737947589517564e-01,1.243800010074152773e+01,1.277797630005635732e+00,2.236125534147703320e+00,-1.001976099351622018e+01,-9.987529130747116568e+00
8.737747549509902178e-01,1.238998838983694029e+01,1.283896758517995673e+00,2.243989943289897315e+00,-9.981139975218942695e+00,-1.016758403629333252e+01
8.785757151430285683e-01,1.234216175255714276e+01,1.289985220751094008e+00,2.251816077424004359e+00,-9.942662056644605784e+00,-9.368348589081906042e+00
8.833766753350670298e-01,1.229451950364836144e+01,1.296063015809741259e+00,2.259604087812988826e+00,-9.904326713018207329e+00,-9.728274988885905472e+00
8.881776355271053802e-01,1.224706096026462276e+01,1.302130142829925896e+00,2.267354125178140389e+00,-9.866133421449822194e+00,-1.009399235551841656e+01
8.929785957191438417e-01,1.219978544196774806e+01,1.308186600978815672e+00,2.275066339699076678e+00,-9.828081660934747887e+00,-9.984009244182697529e+00
8.977795559111821921e-01,1.215269227072736058e+01,1.314232389454755623e+00,2.282740881013741951e+00,-9.790170912353669763e+00,-9.772775062639288635e+00
