t,w,s,q,c,dw_dt,dw_dt_noisy
9.001800360072013951e-02,1.034485716847793890e+00,5.019083243537857397e-01,5.430462008841356880e-01,2.192012378291701563e-02,3.915430337758308843e-01,3.905510532586570216e-01
9.601920384076814696e-02,1.036838964996768642e+00,5.021626595091254197e-01,5.457810256540520655e-01,2.334347122706637023e-02,3.927175312473757396e-01,3.981704183870225511e-01
1.020204040808161544e-01,1.039199286672540135e+00,5.024317872104926419e-01,5.484995863331045829e-01,2.476252416577555057e-02,3.939003840516210886e-01,3.878285270529147066e-01
1.080216043208641619e-01,1.041566731690887204e+00,5.027155220117197620e-01,5.512019858806488370e-01,2.617735945592265800e-02,3.950914876696277611e-01,3.963597661407464723e-01
1.140228045609121693e-01,1.043941349247464956e+00,5.030136801468552132e-01,5.538883265998232330e-01,2.758805323951871516e-02,3.962907377885036553e-01,3.873679973542057398e-01
1.200240048009601768e-01,1.046323187917872044e+00,5.033260795295873002e-01,5.565587101377468260e-01,2.899468094388575612e-02,3.974980303106400159e-01,4.059126800343414443e-01
1.260252050410081981e-01,1.048712295657651561e+00,5.036525397532446435e-01,5.592132374855184329e-01,3.039731728165680213e-02,3.987132613632487499e-01,4.005936122330556182e-01
1.320264052810561917e-01,1.051108719802290592e+00,5.039928820907955132e-01,5.618520089782171878e-01,3.179603625077587897e-02,3.999363273078693215e-01,4.032420373892225962e-01
1.380276055211042130e-01,1.053512507067220216e+00,5.043469294948487169e-01,5.644751242949023196e-01,3.319091113449804814e-02,4.011671247498459492e-01,4.052721638795485637e-01
1.440288057611522343e-01,1.055923703550556425e+00,5.047145065635810779e-01,5.670826824710391012e-01,3.458201450766270474e-02,4.024055505253159026e-01,3.922979755237825383e-01
1.500300060012002279e-01,1.058342354721481415e+00,5.050954395502575967e-01,5.696747819016111380e-01,3.596941820323370370e-02,4.036515016993567073e-01,4.114833116607974905e-01
1.560312062412482492e-01,1.060768505417742036e+00,5.054895564218887527e-01,5.722515203183039523e-01,3.735319330834070001e-02,4.049048756177731079e-01,4.254719038011968157e-01
1.620324064812962428e-01,1.063202199868377829e+00,5.058966867147495217e-01,5.748129948354098184e-01,3.873341022355594049e-02,4.061655698391190006e-01,3.897811448067637352e-01
1.680336067213442641e-01,1.065643481694397376e+00,5.063166615290870531e-01,5.773593019516047864e-01,4.011013866460524241e-02,4.074334821407614715e-01,3.901393674692166802e-01
1.740348069613922577e-01,1.068092393908778970e+00,5.067493135291207818e-01,5.798905375499486814e-01,4.148344766236792408e-02,4.087085105280194863e-01,3.936601963893762712e-01
1.800360072014402790e-01,1.070548978916470162e+00,5.071944769430416500e-01,5.824067968978855481e-01,4.285340556287686037e-02,4.099905532432923105e-01,4.184051421778323121e-01
1.860372074414882726e-01,1.073013278514388213e+00,5.076519875630129963e-01,5.849081746472433174e-01,4.422008002731842025e-02,4.112795087751895950e-01,4.125666653499303060e-01
1.920384076815362939e-01,1.075485333891419648e+00,5.081216827451701112e-01,5.873947648342335848e-01,4.558353803203254312e-02,4.125752758676536347e-01,4.233587002750466288e-01
1.980396079215843153e-01,1.077965185633272593e+00,5.086034013467682913e-01,5.898666609025622343e-01,4.694384587770175643e-02,4.138777534861463048e-01,4.211020622092213062e-01
2.040408081616323088e-01,1.080452873700920469e+00,5.090969838132246572e-01,5.923239556803800987e-01,4.830106913206063529e-02,4.151868408614685091e-01,4.172925589852213291e-01
2.100420084016803302e-01,1.082948437442647460e+00,5.096022721537319944e-01,5.947667413829746952e-01,4.965527266463318906e-02,4.165024374994357736e-01,4.193428189519394778e-01
2.160432086417283237e-01,1.085451915611963081e+00,5.101191098266781854e-01,5.971951096493758326e-01,5.100652069095876900e-02,4.178244431267899017e-01,4.161268381495585311e-01
2.220444088817763451e-01,1.087963346367607942e+00,5.106473417396043546e-01,5.996091515423692675e-01,5.235487677260454442e-02,4.191527577001004090e-01,4.278373598122154897e-01
2.280456091218243386e-01,1.090482767273553311e+00,5.111868142492048683e-01,6.020089575484964817e-01,5.370040381716542632e-02,4.204872814146994875e-01,4.091901217968919591e-01
2.340468093618723600e-01,1.093010215299001997e+00,5.117373751613275568e-01,6.043946175780556818e-01,5.504316407826415070e-02,4.218279147136324569e-01,4.176093264518492831e-01
2.400480096019203535e-01,1.095545726818387466e+00,5.122988737309734919e-01,6.067662209651003558e-01,5.638321915555121605e-02,4.231745582966179864e-01,4.256039468276053284e-01
2.460492098419683749e-01,1.098089337611374061e+00,5.128711606622970987e-01,6.091238564674408273e-01,5.772062999470491118e-02,4.245271131290246358e-01,4.425413217135179544e-01
2.520504100820163962e-01,1.100641082866665288e+00,5.134540880742241020e-01,6.114676122787104928e-01,5.905545689448524899e-02,4.258854804284116224e-01,4.182408392712076428e-01
2.580516103220644175e-01,1.103200997172545827e+00,5.140475094917267285e-01,6.137975760377777368e-01,6.038775947566751151e-02,4.272495616495238790e-01,4.164589570581544442e-01
2.640528105621123833e-01,1.105769114504562056e+00,5.146512799592589671e-01,6.161138347886350175e-01,6.171759665921577875e-02,4.286192585681138922e-01,4.229863865830735259e-01
2.700540108021604047e-01,1.108345468256677124e+00,5.152652558683399331e-01,6.184164750334720795e-01,6.304502674012289754e-02,4.299944731986659607e-01,4.396871952100475656e-01
2.760552110422084260e-01,1.110930091242850359e+00,5.158892949471030054e-01,6.207055827360844491e-01,6.437010739089538136e-02,4.313751077971768044e-01,4.290250527282585269e-01
2.820564112822564473e-01,1.113523015697037710e+00,5.165232562602953825e-01,6.229812433218739898e-01,6.569289566155354920e-02,4.327610648700343510e-01,4.460045350624038951e-01
2.880576115223044686e-01,1.116124273273190415e+00,5.171670002092780827e-01,6.252435416778482358e-01,6.701344797963142141e-02,4.341522471829172836e-01,4.154269520068570309e-01
2.940588117623524345e-01,1.118733895045256777e+00,5.178203885320263877e-01,6.274925621526208364e-01,6.833182015017676136e-02,4.355485577697160160e-01,4.468337891887207980e-01
3.000600120024004558e-01,1.121351911507181054e+00,5.184832843031295102e-01,6.297283885564115558e-01,6.964806735575110319e-02,4.369498999414753171e-01,4.472985623407707001e-01
3.060612122424484771e-01,1.123978352572903683e+00,5.191555519337905933e-01,6.319511041610460511e-01,7.096224415642968242e-02,4.383561772953557534e-01,4.241695203973409045e-01
3.120624124824964984e-01,1.126613247583665434e+00,5.198370571134173224e-01,6.341607917204118428e-01,7.227440450050527654e-02,4.397672936846381830e-01,4.413031125499977669e-01
3.180636127225444643e-01,1.129256625288312943e+00,5.205276668665360651e-01,6.363575334584110621e-01,7.358460167138919372e-02,4.411831532418549751e-01,4.533407295938003401e-01
3.240648129625924856e-01,1.131908513842808661e+00,5.212272496012586576e-01,6.385414110482643402e-01,7.489288829869181208e-02,4.426036604312256761e-01,4.434828508543208758e-01
3.300660132026405069e-01,1.134568940839504325e+00,5.219356749548461627e-01,6.407125056602468449e-01,7.619931642080350620e-02,4.440287199736175361e-01,4.540257341951353109e-01
3.360672134426885282e-01,1.137237933307438942e+00,5.226528137918995398e-01,6.428708979622773656e-01,7.750393748547164396e-02,4.454582368543589799e-01,4.692071059875304040e-01
3.420684136827365496e-01,1.139915517712338122e+00,5.233785382043595336e-01,6.450166681199178687e-01,7.880680234980051713e-02,4.468921163321434298e-01,4.496314388780667248e-01
3.480696139227845154e-01,1.142601719956614748e+00,5.241127215115062299e-01,6.471498957963733867e-01,8.010796128025138296e-02,4.483302639479562757e-01,4.455264408085268801e-01
3.540708141628325367e-01,1.145296565379368969e+00,5.248552382599593891e-01,6.492706601524925736e-01,8.140746395264247814e-02,4.497725855340222179e-01,4.420620639358269210e-01
3.600720144028805580e-01,1.148000078756387765e+00,5.256059642236786678e-01,6.513790398467672604e-01,8.270535945214899098e-02,4.512189872227727605e-01,4.576996332382176069e-01
3.660732146429285794e-01,1.150712284300145161e+00,5.263647764039631749e-01,6.534751130353325665e-01,8.400169627330304756e-02,4.526693754558314686e-01,4.507020747922542148e-01
3.720744148829765452e-01,1.153433205664745831e+00,5.271315530003423122e-01,6.555589573817424132e-01,8.529652232695357494e-02,4.541236569744435125e-01,4.523361932665028173e-01
3.780756151230245665e-01,1.156162865944458273e+00,5.279061733731649220e-01,6.576306500748476669e-01,8.658988491909824781e-02,4.555817387877525437e-01,4.545291410036021995e-01
3.840768153630725879e-01,1.158901287643159250e+00,5.286885182120466542e-01,6.596902677733131881e-01,8.788183070422116161e-02,4.570435282856778469e-01,4.635422248115327881e-01
3.900780156031206092e-01,1.161648492716663927e+00,5.294784693482328386e-01,6.617378866613355948e-01,8.917240577132351520e-02,4.585089331511579269e-01,4.478455370295088001e-01
3.960792158431686305e-01,1.164404502576636968e+00,5.302759097349821760e-01,6.637735824548303132e-01,9.046165565087778415e-02,4.599778613577981123e-01,4.446790964510925481e-01
4.020804160832165963e-01,1.167169338090594088e+00,5.310807234475671823e-01,6.657974304014316891e-01,9.174962531482777628e-02,4.614502211787843144e-01,4.371114542072949138e-01
4.080816163232646177e-01,1.169943019581900057e+00,5.318927956832734116e-01,6.678095052804929876e-01,9.303635917658864551e-02,4.629259211958096087e-01,4.749126301897104163e-01
4.140828165633126390e-01,1.172725566829770472e+00,5.327120127614001222e-01,6.698098814030862824e-01,9.432190109104685027e-02,4.644048703080132512e-01,4.651428039038459361e-01
4.200840168033606603e-01,1.175516999069270208e+00,5.335382621232598321e-01,6.717986326120025664e-01,9.560629435456015346e-02,4.658869777409327950e-01,4.809881718721562560e-01
4.260852170434086261e-01,1.178317334991314524e+00,5.343714323321786530e-01,6.737758322817514189e-01,9.688958170495763633e-02,4.673721530554639791e-01,4.672825900743600158e-01
4.320864172834566475e-01,1.181126592742669068e+00,5.352114130734960673e-01,6.757415533185617829e-01,9.817180532153975403e-02,4.688603061568281660e-01,4.614387516048363835e-01
4.380876175235046688e-01,1.183944789938044417e+00,5.360580950955833313e-01,6.776958681802011109e-01,9.945300683804338127e-02,4.703513472651675853e-01,4.751306402531641493e-01
4.440888177635526901e-01,1.186771943641834692e+00,5.369113702566796764e-01,6.796388488671424311e-01,1.007332272913721988e-01,4.718451869319697511e-01,4.710793028025977991e-01
4.500900180036007114e-01,1.189608070353302516e+00,5.377711316109722306e-01,6.815705668909796122e-01,1.020125071180318366e-01,4.733417361136075807e-01,4.607998694938712503e-01
4.560912182436486773e-01,1.192453186049060365e+00,5.386372732370284799e-01,6.834910933260628374e-01,1.032908862273338307e-01,4.748409060884740684e-01,4.659902402739663496e-01
4.620924184836966986e-01,1.195307306183825080e+00,5.395096902345194456e-01,6.854004988105317775e-01,1.045684040025182115e-01,4.763426084639036384e-01,4.940104016387495411e-01
4.680936187237447199e-01,1.198170445690419195e+00,5.403882787242193508e-01,6.872988535463157023e-01,1.058450993007535867e-01,4.778467551850022477e-01,4.813902611382375185e-01
4.740948189637927412e-01,1.201042618979769827e+00,5.412729358480057318e-01,6.891862272991335914e-01,1.071210104531370444e-01,4.793532585434766569e-01,4.835171238937784333e-01
4.800960192038407071e-01,1.203923839940909124e+00,5.421635597688593267e-01,6.910626893984936903e-01,1.083961752646942500e-01,4.808620311864602592e-01,4.780965140032501504e-01
4.860972194438887284e-01,1.206814121940974482e+00,5.430600496708642977e-01,6.929283087376941763e-01,1.096706310143794050e-01,4.823729861253360784e-01,4.754757904876751873e-01
4.920984196839367497e-01,1.209713477825208328e+00,5.439623057592077870e-01,6.947831537738226038e-01,1.109444144550752326e-01,4.838860367445516619e-01,4.928025949002610151e-01
4.980996199239847710e-01,1.212621919916957891e+00,5.448702292601805830e-01,6.966272925277561257e-01,1.122175618135930197e-01,4.854010968104242041e-01,4.843548322836873088e-01
5.041008201640327924e-01,1.215539460027005969e+00,5.457837223861898845e-01,6.984607925955678143e-01,1.134901088001868535e-01,4.869180804581256239e-01,4.793269993406463203e-01
5.101020204040808137e-01,1.218466109457386537e+00,5.467026883052976682e-01,7.002837211634137526e-01,1.147620905863099422e-01,4.884369021642482878e-01,4.870956169707528205e-01
5.161032206441288350e-01,1.221401878952252718e+00,5.476270313220863439e-01,7.020961449490965567e-01,1.160335417516806800e-01,4.899574768661444368e-01,4.809014166989209471e-01
5.221044208841767453e-01,1.224346778754943132e+00,5.485566566834427782e-01,7.038981302589476519e-01,1.173044963763707066e-01,4.914797198716218674e-01,4.933801782575329975e-01
5.281056211242247667e-01,1.227300818612870215e+00,5.494914705611734229e-01,7.056897429931939802e-01,1.185749880473837836e-01,4.930035468577359525e-01,5.042958231584263595e-01
5.341068213642727880e-01,1.230264007777520874e+00,5.504313800520043154e-01,7.074710486459568903e-01,1.198450498586556834e-01,4.945288738793561789e-01,4.861680222179237121e-01
5.401080216043208093e-01,1.233236355004456053e+00,5.513762931775811893e-01,7.092421123052526921e-01,1.211147144110542723e-01,4.960556173777128652e-01,5.103410574294207080e-01
5.461092218443688306e-01,1.236217868553310950e+00,5.523261188844691416e-01,7.110029986529928792e-01,1.223840138123794413e-01,4.975836941889232867e-01,4.909074947023087110e-01
5.521104220844168520e-01,1.239208556187795240e+00,5.532807670441530767e-01,7.127537719649832404e-01,1.236529796773631756e-01,4.991130215524921532e-01,5.006471431797315796e-01
5.581116223244648733e-01,1.242208425175692410e+00,5.542401484530374844e-01,7.144944961109249704e-01,1.249216431276695127e-01,5.006435171197868295e-01,4.922796518667449384e-01
5.641128225645128946e-01,1.245217482288860422e+00,5.552041748324462178e-01,7.162252345544138921e-01,1.261900347918945842e-01,5.021750989624818029e-01,4.999527472989384602e-01
5.701140228045609160e-01,1.248235733803231717e+00,5.561727588286230484e-01,7.179460503529405679e-01,1.274581848055665045e-01,5.037076855809730080e-01,5.041817297059142389e-01
5.761152230446089373e-01,1.251263185525268495e+00,5.571458139334106718e-01,7.196570061839858701e-01,1.287261228318054562e-01,5.052411958625839805e-01,5.008943464008497326e-01
5.821164232846568476e-01,1.254299842755542072e+00,5.581232545874498241e-01,7.213581643178981206e-01,1.299938779912668263e-01,5.067755491306519255e-01,4.997466701749268547e-01
5.881176235247048689e-01,1.257345710276660089e+00,5.591049962183201050e-01,7.230495866013177952e-01,1.312614788768312613e-01,5.083106651908528839e-01,5.015318032842163154e-01
5.941188237647528902e-01,1.260400792405378834e+00,5.600909550876885801e-01,7.247313345028917331e-01,1.325289536219941555e-01,5.098464642588725892e-01,5.016348647663639859e-01
6.001200240048009116e-01,1.263465092992750449e+00,5.610810482908795693e-01,7.264034691134070298e-01,1.337963299010262452e-01,5.113828669682481953e-01,4.956820670390039152e-01
6.061212242448489329e-01,1.266538615424122494e+00,5.620751937568742029e-01,7.280660511457913708e-01,1.350636349289737193e-01,5.129197943784130631e-01,5.102900982676384922e-01
6.121224244848969542e-01,1.269621362619137495e+00,5.630733102483104213e-01,7.297191409351128089e-01,1.363308954616580526e-01,5.144571679827000255e-01,5.184687500788014436e-01
6.181236247249449756e-01,1.272713337031732950e+00,5.640753173614833083e-01,7.313627984385797642e-01,1.375981377956761731e-01,5.159949097163004650e-01,5.250789289672279647e-01
6.241248249649929969e-01,1.275814540650142437e+00,5.650811355263447577e-01,7.329970832355411359e-01,1.388653877684002669e-01,5.175329419641736539e-01,5.240039692496346602e-01
6.301260252050410182e-01,1.278924974996894282e+00,5.660906860065038071e-01,7.346220545274860791e-01,1.401326707579780284e-01,5.190711875689095756e-01,5.436445527923338128e-01
6.361272254450889285e-01,1.282044641128811779e+00,5.671038908992260819e-01,7.362377711380443390e-01,1.414000116833323828e-01,5.206095698385374559e-01,5.237963861893158990e-01
6.421284256851369499e-01,1.285173539637014084e+00,5.681206731354345729e-01,7.378442915129858060e-01,1.426674350041617356e-01,5.221480125542803385e-01,5.175846736149601890e-01
6.481296259251849712e-01,1.288311670671886455e+00,5.691409564200987647e-01,7.394416737395428374e-01,1.439349647399836840e-01,5.236864399423241112e-01,5.424027863124848414e-01
6.541308261652329925e-01,1.291459033930688616e+00,5.701646652689198458e-01,7.410299755398938037e-01,1.452026244245188669e-01,5.252247766840867360e-01,5.147525957481459136e-01
6.601320264052810138e-01,1.294615628603716484e+00,5.711917251337906842e-01,7.426092542287896503e-01,1.464704370754640883e-01,5.267629480049942359e-01,5.364477241002164609e-01
6.661332266453290352e-01,1.297781453448372702e+00,5.722220622189581052e-01,7.441795667681456727e-01,1.477384252842511014e-01,5.283008795888820552e-01,5.187494318916352487e-01
6.721344268853770565e-01,1.300956506791185241e+00,5.732556034760930563e-01,7.457409697685621897e-01,1.490066112180980507e-01,5.298384975826126997e-01,5.333796141586277795e-01
6.781356271254250778e-01,1.304140786527808071e+00,5.742922766042917182e-01,7.472935194893245425e-01,1.502750166200094717e-01,5.313757286033329308e-01,5.116917610809542660e-01
6.841368273654730991e-01,1.307334290123021825e+00,5.753320100500751710e-01,7.488372718384034288e-01,1.515436628087763471e-01,5.329124997456635704e-01,5.419052368221696225e-01
6.901380276055210095e-01,1.310537014610732021e+00,5.763747330073890618e-01,7.503722823724543467e-01,1.528125706789759397e-01,5.344487385888235798e-01,5.328662624361079070e-01
6.961392278455690308e-01,1.313748956593971506e+00,5.774203754176040482e-01,7.518986062968182615e-01,1.540817607009720425e-01,5.359843732036864150e-01,5.263075584864442824e-01
7.021404280856170521e-01,1.316970112244898017e+00,5.784688679695155766e-01,7.534162984655211615e-01,1.553512529209147564e-01,5.375193321597646623e-01,5.543035225473862404e-01
7.081416283256650734e-01,1.320200477304795950e+00,5.795201420993437713e-01,7.549254133812740575e-01,1.566210669607406292e-01,5.390535445321222863e-01,5.467070913697834600e-01
7.141428285657130948e-01,1.323440047084075255e+00,5.805741299907338782e-01,7.564260051954732056e-01,1.578912220181725168e-01,5.405869399082128268e-01,5.410450182660065943e-01
7.201440288057611161e-01,1.326688816463789555e+00,5.816307645717181396e-01,7.579181277091581181e-01,1.591617368680162958e-01,5.421194483929807628e-01,5.346650145050795278e-01
7.261452290458091374e-01,1.329946779953015135e+00,5.826899794064923643e-01,7.594018344091405526e-01,1.604326298964273700e-01,5.436510005494843423e-01,5.432173746478667908e-01
7.321464292858571588e-01,1.333213931588137724e+00,5.837517089088276601e-01,7.608771784042380748e-01,1.617039189879517780e-01,5.451815275091382862e-01,5.435422398795862753e-01
7.381476295259051801e-01,1.336490264969869779e+00,5.848158882509983947e-01,7.623442124489483440e-01,1.629756215938576724e-01,5.467109609456655139e-01,5.539587258810764192e-01
7.441488297659530904e-01,1.339775773307576356e+00,5.858824532715509736e-01,7.638029889714978982e-01,1.642477547776751978e-01,5.482392330346744780e-01,5.562199848462724416e-01
7.501500300060011117e-01,1.343070449419274226e+00,5.869513404753029517e-01,7.652535600738428201e-01,1.655203352151965457e-01,5.497662764598780782e-01,5.430887126622507832e-01
7.561512302460491330e-01,1.346374285731632092e+00,5.880224870333441434e-01,7.666959775316680714e-01,1.667933791944759825e-01,5.512920244192339725e-01,5.457983188116634077e-01
7.621524304860971544e-01,1.349687274279970151e+00,5.890958307830354013e-01,7.681302927943877146e-01,1.680669026158297108e-01,5.528164106309977344e-01,5.474957573532116539e-01
7.681536307261451757e-01,1.353009406708261197e+00,5.901713102280098378e-01,7.695565569851454679e-01,1.693409209918360081e-01,5.543393693396934108e-01,5.408461968771144379e-01
7.741548309661931970e-01,1.356340674269129964e+00,5.912488645381718255e-01,7.709748209008137065e-01,1.706154494473352268e-01,5.558608353219929299e-01,5.499450864930807148e-01
7.801560312062412184e-01,1.359681067823852452e+00,5.923284335496973307e-01,7.723851350119941284e-01,1.718905027194296831e-01,5.573807438925102442e-01,5.564566632404462920e-01
7.861572314462892397e-01,1.363030577842357483e+00,5.934099577650343571e-01,7.737875494630178652e-01,1.731660951574837681e-01,5.588990309095014375e-01,5.658085503555578821e-01
7.921584316863372610e-01,1.366389194403224927e+00,5.944933783529022797e-01,7.751821140719448167e-01,1.744422407231238925e-01,5.604156327804753479e-01,5.736194276741430897e-01
7.981596319263851713e-01,1.369756907193803830e+00,5.955786371480952246e-01,7.765688783306270437e-01,1.757189529903342984e-01,5.619304864676064604e-01,5.538470276920131052e-01
8.041608321664331926e-01,1.373133705574083985e+00,5.966656765505931048e-01,7.779478914383585186e-01,1.769962451865913777e-01,5.634435294361284097e-01,5.689532947549413855e-01
8.101620324064812140e-01,1.376519578489864504e+00,5.977544396924034942e-01,7.793192022525137208e-01,1.782741300906026671e-01,5.649546997331942322e-01,5.605101314761388176e-01
8.161632326465292353e-01,1.379914514469102071e+00,5.988448704216953189e-01,7.806828592891099650e-01,1.795526200633127123e-01,5.664639359988820067e-01,5.872158137620359097e-01
8.221644328865772566e-01,1.383318501692362812e+00,5.999369131768409469e-01,7.820389107616653179e-01,1.808317271160645445e-01,5.679711774101723343e-01,5.674839419639152727e-01
8.281656331266252780e-01,1.386731527992822510e+00,6.010305129864164098e-01,7.833874045811985987e-01,1.821114629105999305e-01,5.694763636858515277e-01,5.744976333899376453e-01
8.341668333666732993e-01,1.390153580856266169e+00,6.021256154692011808e-01,7.847283883562292672e-01,1.833918387590591226e-01,5.709794350913186545e-01,5.616178135599403376e-01
8.401680336067213206e-01,1.393584647421088452e+00,6.032221668341779530e-01,7.860619093927778689e-01,1.846728656239810529e-01,5.724803324432943263e-01,5.643734378002999152e-01
8.461692338467693419e-01,1.397024714478293239e+00,6.043201138805333050e-01,7.873880146943654790e-01,1.859545541183031947e-01,5.739789971144326763e-01,5.759959501231390888e-01
8.521704340868172523e-01,1.400473768471494296e+00,6.054194039976571462e-01,7.887067509620138139e-01,1.872369145053617012e-01,5.754753710378333054e-01,5.716348265328720091e-01
8.581716343268652736e-01,1.403931795496914381e+00,6.065199851651428276e-01,7.900181645942455644e-01,1.885199566988912945e-01,5.769693967114511990e-01,5.805022826371566413e-01
8.641728345669132949e-01,1.407398781303385693e+00,6.076218059527873638e-01,7.913223016870840620e-01,1.898036902630252931e-01,5.784610172024089447e-01,5.628427760095515708e-01
8.701740348069613162e-01,1.410874711292350536e+00,6.087248155205911004e-01,7.926192080340535018e-01,1.910881244122955847e-01,5.799501761512015907e-01,5.865702258526909185e-01
8.761752350470093376e-01,1.414359570517859543e+00,6.098289636187579354e-01,7.939089291261787196e-01,1.923732680116327365e-01,5.814368177758019174e-01,5.724420141980045562e-01
8.821764352870573589e-01,1.417853343698172619e+00,6.109342005712442569e-01,7.951915101574521527e-01,1.936591295850050853e-01,5.829208868673658728e-01,6.001451208310287777e-01
8.881776355271053802e-01,1.421356015292753794e+00,6.120404771832432811e-01,7.964669960583123931e-01,1.949457173519499320e-01,5.844023287397542843e-01,5.815176563190745940e-01
8.941788357671534015e-01,1.424867569333713835e+00,6.131477449937093871e-01,7.977354314137805602e-01,1.962330390853291584e-01,5.858810893543675569e-01,5.968537397232271946e-01
9.001800360072014229e-01,1.428387989522565071e+00,6.142559561079371511e-01,7.989968605139975422e-01,1.975211022211156020e-01,5.873571152533101358e-01,5.734072820246799429e-01
9.061812362472493332e-01,1.431917259261159092e+00,6.153650631504202773e-01,8.002513273693444562e-01,1.988099138855082548e-01,5.888303535405934319e-01,5.931198159857423713e-01
9.121824364872973545e-01,1.435455361651686967e+00,6.164750192648511540e-01,8.014988757104436479e-01,2.000994808949325687e-01,5.903007518854882507e-01,5.814204553775423889e-01
9.181836367273453758e-01,1.439002279496679026e+00,6.175857781141209646e-01,8.027395489881580248e-01,2.013898097560400946e-01,5.917682585257773020e-01,5.868993678389179403e-01
9.241848369673933972e-01,1.442557995299004858e+00,6.186972938803199096e-01,8.039733903735913900e-01,2.026809066657087322e-01,5.932328222709015719e-01,5.934787860928141257e-01
9.301860372074414185e-01,1.446122491261873311e+00,6.198095212647367624e-01,8.052004427580884416e-01,2.039727775110426189e-01,5.946943925050056645e-01,5.915236428356593912e-01
9.361872374474894398e-01,1.449695749288832713e+00,6.209224154878593138e-01,8.064207487532346619e-01,2.052654278693721857e-01,5.961529191898777835e-01,5.987954754413425951e-01
9.421884376875374612e-01,1.453277750983770433e+00,6.220359322893740384e-01,8.076343506908560954e-01,2.065588630082541288e-01,5.976083528677842427e-01,6.050849071558462855e-01
9.481896379275854825e-01,1.456868477650913318e+00,6.231500279281665389e-01,8.088412906230201260e-01,2.078530878854714103e-01,5.990606446642017247e-01,6.055884660551003051e-01
9.541908381676335038e-01,1.460467910294827476e+00,6.242646591823209912e-01,8.100416103220343667e-01,2.091481071490332577e-01,6.005097462904414041e-01,5.996349314615068149e-01
9.601920384076814141e-01,1.464076029620418051e+00,6.253797833491202551e-01,8.112353512804476585e-01,2.104439251371751640e-01,6.019556100461691539e-01,5.883213049463256183e-01
9.661932386477294354e-01,1.467692816036234138e+00,6.264953582408658850e-01,8.124225547124853675e-01,2.117405458808797603e-01,6.033981888198648447e-01,5.953517277547765163e-01
9.721944388877774568e-01,1.471318249754308471e+00,6.276113420722703173e-01,8.136032615947361712e-01,2.130379731654844511e-01,6.048374360340236233e-01,6.028798739492460257e-01
9.781956391278254781e-01,1.474952310625892382e+00,6.287276936914242276e-01,8.147775125900625914e-01,2.143362103810151076e-01,6.062733057478469911e-01,5.850550460218271187e-01
9.841968393678734994e-01,1.478594978189646802e+00,6.298443724861733095e-01,8.159453480747456133e-01,2.156352605939285405e-01,6.077057526262669152e-01,6.152265585184747421e-01
9.901980396079215208e-01,1.482246231735016240e+00,6.309613382975824969e-01,8.171068081672515637e-01,2.169351266022379043e-01,6.091347319034647878e-01,6.067383499801745073e-01
