V,L,Eb,Eb_noisy
8.937420691251523053e-01,7.481286990793405423e-01,1.054010013463916318e-01,1.106797153490578917e-01
1.131783221343432899e+00,6.339566729605881079e-01,1.190755134170190799e-01,1.078212420416263945e-01
6.588818550609867319e-01,1.091995308696244393e+00,1.042068561233438634e-01,1.035135794978871704e-01
1.449739919054836790e+00,9.223822898352549426e-01,2.514538415297807306e-01,2.516188420497010303e-01
1.070636404829798494e+00,1.155369589943927799e+00,2.137630054797916013e-01,2.066362606754406639e-01
1.587940907114358424e+00,7.872479522675872587e-01,2.355875254461057278e-01,2.372515935117959496e-01
1.480799016602591500e+00,9.911965246149729847e-01,2.837333284299217162e-01,2.804769233677047446e-01
1.146840123166109393e+00,1.083205130220501911e+00,2.184795129640287326e-01,2.227917369456074714e-01
1.800980758463298859e+00,5.090140962492176735e-01,1.678114931876761029e-01,1.671835327675044724e-01
1.448202676250250676e+00,7.259977604780645244e-01,1.887801248761279971e-01,1.921258910800752728e-01
1.715411528159448640e+00,8.053608542273025250e-01,2.701447545094292080e-01,2.762389725352853431e-01
1.012692085910169570e+00,1.150022410817207241e+00,1.963297833078959942e-01,1.982444312214633464e-01
1.315503934502683325e+00,1.109342199755431801e+00,2.747449818323136617e-01,2.703663761151994249e-01
7.944453276721301638e-01,5.591557699241475055e-01,7.106650903870369296e-02,6.349491588018049693e-02
1.994211785177941731e+00,1.168821381911211876e+00,5.593675667871101931e-01,5.681344873746920765e-01
8.648231964594906840e-01,9.388326662427115554e-01,1.268796170847835136e-01,1.263231561188459251e-01
8.853012008406541122e-01,5.503535018527921929e-01,7.867236667090080071e-02,7.522954193272919643e-02
6.097851085864489651e-01,9.830855741793504965e-01,8.593064937219230259e-02,8.665193481249643115e-02
8.867046784951049254e-01,1.098753841022649613e+00,1.549732426170622734e-01,1.540161859646490272e-01
1.644692798816079771e+00,6.811986982444696581e-01,2.079721166697889034e-01,2.122328279908523296e-01
1.546840356024621999e+00,7.258630900650748785e-01,2.062535145561622818e-01,2.064231554683477743e-01
6.930098184757541580e-01,6.943848829785823629e-01,7.357801852412436394e-02,7.364676644221646029e-02
1.064357752142141234e+00,9.917551782874098887e-01,1.775293520911356837e-01,1.739564534859708578e-01
1.131382091926194322e+00,1.002795419683213174e+00,1.956853357751904277e-01,1.980331762689278852e-01
1.497476369542941166e+00,1.042044461449026072e+00,3.075265969497140706e-01,3.023572633379391639e-01
1.183893444565623287e+00,1.144728791987589478e+00,2.446149169791937417e-01,2.479443641780135765e-01
1.379777490238297100e+00,6.272797740122739718e-01,1.505971130765295096e-01,1.582168006414801653e-01
1.759526905413413500e+00,9.957735522288211349e-01,3.691550689743090530e-01,3.615316387838132806e-01
1.589710415468555738e+00,9.519920925193059436e-01,2.991178100046391619e-01,2.867866638478825947e-01
1.047510895262838471e+00,6.838347576219223622e-01,1.169534967425385624e-01,1.200378905183101530e-01
1.172594464016726512e+00,1.182715937068150813e+00,2.510793228018654566e-01,2.638188118792810788e-01
1.051549354535009861e+00,8.338721576180186945e-01,1.443127514544177148e-01,1.393081272100582524e-01
6.646019960100451041e-01,1.164179232984552614e+00,1.121657707152435707e-01,1.059122919212336367e-01
8.048623161310948237e-01,1.180241655172563409e+00,1.467754787876767164e-01,1.497203234565790964e-01
9.257097334161965563e-01,1.130033667087041227e+00,1.696209513785028322e-01,1.654173434282112942e-01
9.712008434034533622e-01,8.216397519860652032e-01,1.282924345072367633e-01,1.257623070875530935e-01
9.695717882299065282e-01,6.958437531032654055e-01,1.083515172933244147e-01,1.066109299599055232e-01
1.365049574379427977e+00,9.100333575487519200e-01,2.270605738883667013e-01,2.297205843198256991e-01
1.957534963429631958e+00,8.146750830668471055e-01,3.317299430492696155e-01,3.297034312423040014e-01
1.661996202385597865e+00,8.277411072912004286e-01,2.672430327824149021e-01,2.686324469828156869e-01
1.686700922259207758e+00,6.708569405913502592e-01,2.113238089980958023e-01,2.104411427036279314e-01
1.638902750809369868e+00,1.089577152781598279e+00,3.736880701704350938e-01,3.694647146521770620e-01
1.395481595785634577e+00,1.011506865266096789e+00,2.668609744487526747e-01,2.652618431600365922e-01
1.876538385756369109e+00,1.105716718515911356e+00,4.701790955922544590e-01,4.654270972664148465e-01
1.534445233170621314e+00,8.720771781429694780e-01,2.544590384251078641e-01,2.544916133544565806e-01
1.250534646105306402e+00,5.648646121487583827e-01,1.195357813616550746e-01,1.139164502238268900e-01
6.156257127508081295e-01,1.103616257667953571e+00,9.665119169699865065e-02,9.118671985052242968e-02
1.232673840628285777e+00,5.484758411260286515e-01,1.140821128796988271e-01,1.213669219562251017e-01
8.192464930105014531e-01,6.081612066360233548e-01,7.886988043620044020e-02,7.860395933467373419e-02
6.990444463201808123e-01,1.160884091017489794e+00,1.194667714405174275e-01,1.191972613131572073e-01
1.259097383794059333e+00,8.930533419818131868e-01,1.983632433484902868e-01,2.009209254480783802e-01
1.677627938895438486e+00,9.724981872564735230e-01,3.330304803846103057e-01,3.309261953718659610e-01
9.425096642082791965e-01,1.074694867031476209e+00,1.644018790694334597e-01,1.632592022320426828e-01
1.653157639863749750e+00,9.651899949795839095e-01,3.226247307703785649e-01,3.247504744470380844e-01
1.288444284743381019e+00,8.107799016614123389e-01,1.831052363101831892e-01,1.845173155214051841e-01
7.235720350560688185e-01,8.800995925620660465e-01,9.535400751140840625e-02,8.955752387674625892e-02
1.947451615969603589e+00,7.789386555705883897e-01,3.106035388827432242e-01,3.147702518660915327e-01
1.102454335832776300e+00,9.040332974794123011e-01,1.678066286368179727e-01,1.648544539203727621e-01
9.428513834940437377e-01,5.015449214969804892e-01,7.765116893206942816e-02,7.237077418049850386e-02
1.770497555950594437e+00,8.557862673447195201e-01,3.053939292576011155e-01,3.008915539076058576e-01
6.866904987732197485e-01,5.166752478170194562e-01,5.766756435374746637e-02,5.571483763197085382e-02
1.600385691610555217e+00,5.767703641767829570e-01,1.659183160990250205e-01,1.740548173721403469e-01
7.817371138482025472e-01,1.092457792225343116e+00,1.300602882007724781e-01,1.241826086761685793e-01
1.088737664018873730e+00,9.615702821138130130e-01,1.768281694459902520e-01,1.776285489086619485e-01
8.478498176932076635e-01,6.275175095800444858e-01,8.420560200065950462e-02,7.351648021020662505e-02
1.761841989038580358e+00,1.023041767676280855e+00,3.835376354503705065e-01,3.835298007846445478e-01
1.085111827909792659e+00,8.330482887114898372e-01,1.501916846158635188e-01,1.546895167032435459e-01
1.962039219323433947e+00,5.943923931811903039e-01,2.243551249983705143e-01,2.231718083880632475e-01
1.437892226622660141e+00,1.150779986600122484e+00,3.290373304284385791e-01,3.258905558090218757e-01
1.540434252054372788e+00,5.789635689397811813e-01,1.587057579855123690e-01,1.598633133058050548e-01
1.282287683198626294e+00,5.138200006128044173e-01,1.120028157518544870e-01,1.155035745076077452e-01
9.634522986133866596e-01,6.796212099196164980e-01,1.050960608048938233e-01,1.084143486599808553e-01
1.093334631578643190e+00,5.608019348469635013e-01,1.013221162513436302e-01,1.111844855209925820e-01
1.911401281492852711e+00,5.117050210070983596e-01,1.821007101519128424e-01,1.831465475135942156e-01
8.018048010869966991e-01,9.572693135249547014e-01,1.174567741901227924e-01,1.144947236913581301e-01
1.982328351830318525e+00,5.923734972939042054e-01,2.265543664991548634e-01,2.259244705492216565e-01
1.637458793005727609e+00,8.947158908433914259e-01,2.885458112138181153e-01,2.881833184857190422e-01
1.039680389738915300e+00,6.698128804197607256e-01,1.135222300324247036e-01,1.140659169498152992e-01
1.462270384258405054e+00,1.158455095037256743e+00,3.405024927552935954e-01,3.403523536891464030e-01
1.071472308939631191e+00,6.510991918063641082e-01,1.144587085306867924e-01,1.153285382251678093e-01
1.072239398959879964e+00,8.644583084391000982e-01,1.539128822911838834e-01,1.455586319881083113e-01
1.255704425291794379e+00,1.014491080580159466e+00,2.299260390824043876e-01,2.340741838626045901e-01
5.250842324530655691e-01,7.177909430406328450e-01,5.646274893295279151e-02,5.358905258834763263e-02
1.240357339915094226e+00,1.082217573037096425e+00,2.443887484705397628e-01,2.385229549883046418e-01
1.957397620170332031e+00,7.197852664919863752e-01,2.828716432169267048e-01,2.860603990151338594e-01
9.281978431783677319e-01,7.715020446418718869e-01,1.137477479654280671e-01,1.203343780023584803e-01
1.622326938614918168e+00,8.012717977694168159e-01,2.480559694194568454e-01,2.505211101669540530e-01
1.164183335105742678e+00,7.932258853522635711e-01,1.561447421321045526e-01,1.569505387013321596e-01
8.139215639266781377e-01,9.255605580872900973e-01,1.157447394664412182e-01,1.110836379395814533e-01
1.857503856227194383e+00,6.583719281198815443e-01,2.355496517188651051e-01,2.499074884079325876e-01
5.252409270203195479e-01,7.304498773100742692e-01,5.720983718237433735e-02,6.161113028568188099e-02
9.552633898992659578e-01,6.602804219222604409e-01,1.011931467481004265e-01,9.549667339638555352e-02
1.998538823485906279e+00,6.938616739618241880e-01,2.781380948524975194e-01,2.742399052712988228e-01
8.932201942849842258e-01,1.033947628314803691e+00,1.465269658538441711e-01,1.469618620967036993e-01
1.773566782788908114e+00,9.404867276753078320e-01,3.462846359675437746e-01,3.385109803075638246e-01
1.408524722983556465e+00,1.173952511696824130e+00,3.272741684414894880e-01,3.281173204765420737e-01
1.709053561290685419e+00,1.165091028438933751e+00,4.364865241365493698e-01,4.341911663579855474e-01
1.445476633165217351e+00,6.435598128354873548e-01,1.643775922554998603e-01,1.705089452570809350e-01
1.044045285586772565e+00,6.469622251728018858e-01,1.102488238655375541e-01,1.150595971836787940e-01
1.641183176875223859e+00,1.135353572858064153e+00,3.957399942641334767e-01,3.821835670769596072e-01
5.397268233559584516e-01,5.972718776809330388e-01,5.089220757452887073e-02,5.110072050466543669e-02
1.170219427601677964e+00,1.032829532897664659e+00,2.124538349516450209e-01,2.043664974540265744e-01
1.057781854805158961e+00,6.342318341398638371e-01,1.098177600623681249e-01,1.153659500586107362e-01
1.215611008456024322e+00,6.001256645081070040e-01,1.228410538868207752e-01,1.236815832324598963e-01
6.914310297441044195e-01,8.074707225008557199e-01,8.358257015166080384e-02,8.632459741259579378e-02
8.337602989194086156e-01,9.788417740247665755e-01,1.263274693855091224e-01,1.210018457414926280e-01
1.343077385149564096e+00,1.090918079228665682e+00,2.773937982033885530e-01,2.865359493933660739e-01
1.081653673483931044e+00,6.457057317676287989e-01,1.148173566067825918e-01,1.249177234425348226e-01
1.687484308385510889e+00,5.697927586752578044e-01,1.751951699565306997e-01,1.698713147433996429e-01
1.407704883916271577e+00,1.054899043958073879e+00,2.849948091216692458e-01,2.868588847310008516e-01
1.791900027180491239e+00,8.157120575760813397e-01,2.922426061717504631e-01,2.888760940297995239e-01
1.598541255988406906e+00,9.266987678968652276e-01,2.913502983697880411e-01,2.912324486854843686e-01
1.402735171637847555e+00,9.089410549044663057e-01,2.356358290918973419e-01,2.293076441957745126e-01
9.314234032939935348e-01,1.032572247519360165e+00,1.547991598698714721e-01,1.641348874427745741e-01
1.674140701889252680e+00,1.192691239358270039e+00,4.363292753174532468e-01,4.314833777620399324e-01
8.769013672566227102e-01,9.536640423934161781e-01,1.312887849438559573e-01,1.298083658688684860e-01
6.128166677216067004e-01,7.556480762490263015e-01,6.903621840018518696e-02,7.154363305573779863e-02
1.944296867664841777e+00,6.224228778294458309e-01,2.342247201974836379e-01,2.309869168054030086e-01
1.310016807644703629e+00,5.720151732692688729e-01,1.280790638230104861e-01,1.268825016743489742e-01
1.660841446324716975e+00,9.840879108443771894e-01,3.331976772175264667e-01,3.303794779853916341e-01
1.293834211445540117e+00,6.785725258645792790e-01,1.510650435770276856e-01,1.503977398028462087e-01
1.417369595557732120e+00,6.943207977646772555e-01,1.743952525556997923e-01,1.685425393801982807e-01
5.508383757747593590e-01,8.103428131638232834e-01,6.508020254493727952e-02,6.289026216692578108e-02
7.801905190307127924e-01,8.693189768342843848e-01,1.032742928556163731e-01,1.022398282320551577e-01
1.512034093152166303e+00,7.913036141099913934e-01,2.214590466895190179e-01,2.197904166704983397e-01
1.355846896928747380e+00,1.168993044815676008e+00,3.072385082566814196e-01,3.075219580311503997e-01
7.378325509800689463e-01,7.086637752355883224e-01,8.023808909858654026e-02,7.877257800180292868e-02
1.928043903089277089e+00,9.214130390249140046e-01,3.819538018181635186e-01,3.857198588603604206e-01
7.315304488211065159e-01,5.113717974945364286e-01,6.085253876303414050e-02,5.923655913410499213e-02
1.265454874608028080e+00,5.446402891623066678e-01,1.168682296880159122e-01,1.161849817065364887e-01
7.160043125288865218e-01,6.392628168876468564e-01,7.113825923352819214e-02,6.781435255354892333e-02
1.576057589159352013e+00,6.969400116159560898e-01,2.016976642953717536e-01,1.990650900947955604e-01
9.144695211427291692e-01,8.264263235274965647e-01,1.196170049582868516e-01,1.132945410041882872e-01
7.012009626826749553e-01,9.019451813503975846e-01,9.393155877594755454e-02,9.652548338033738184e-02
5.689807710057734891e-01,6.161447760599654266e-01,5.470690627318391952e-02,4.899431618492145618e-02
7.622533068464354411e-01,9.050548299797895879e-01,1.043284212723384341e-01,1.005991392813968127e-01
7.876980750853496138e-01,5.572761279277198554e-01,7.023949048049277222e-02,7.203571374054879017e-02
1.305458119357688851e+00,7.745923012068414160e-01,1.769376724325655570e-01,1.789505392622882107e-01
1.176558329257086921e+00,1.058667956704666402e+00,2.204998598604265836e-01,2.184992861054012303e-01
1.935941550880305950e+00,8.324944133715262984e-01,3.357676355922487033e-01,3.256713065398046947e-01
1.931227005299963606e+00,9.662478485706507136e-01,4.083674048923397470e-01,4.104699713288176288e-01
1.694819165702645680e+00,6.564996235558880899e-01,2.073459112942487303e-01,2.086437285887090265e-01
1.507381450971055026e+00,9.952673074277540444e-01,2.927789589925923197e-01,2.857170529152334160e-01
1.767534637352519589e+00,1.189013109137054158e+00,4.731454397920545896e-01,4.769970502060270623e-01
1.908127742719826880e+00,9.556643502785537869e-01,3.949979820839245592e-01,3.914924830817574364e-01
5.339265933305041845e-01,1.186363500630815970e+00,8.657889466118125210e-02,8.094795408041474682e-02
6.771578407262880406e-01,1.083712157635704720e+00,1.070944982595681133e-01,1.075731518143893950e-01
1.040395827025464737e+00,1.037749584565542005e+00,1.811361474611815625e-01,1.802437953041854946e-01
6.403802795638995349e-01,8.354359687779775445e-01,7.885934213172143825e-02,7.987246213667717476e-02
1.399286709579915744e+00,9.018534275076823814e-01,2.325950579588784983e-01,2.245663176672562933e-01
8.905463335221629473e-01,6.729994056794961210e-01,9.491903847759997070e-02,1.039801890589618361e-01
8.965095936984882607e-01,1.112192318024104676e+00,1.594355900063633147e-01,1.564222969336446778e-01
9.324919829717983610e-01,5.093949657076826121e-01,7.778206449279263801e-02,7.008376795031058537e-02
6.465734863765850715e-01,1.058180360538109266e+00,9.875898472379524007e-02,1.018531956666309940e-01
1.611416679857238465e+00,1.158027778423968979e+00,3.950713739589326035e-01,3.932973533084267448e-01
1.476008644399475100e+00,7.322882273722852720e-01,1.955979504929067914e-01,1.972222429217713180e-01
1.409762135961893703e+00,1.059965281173880669e+00,2.873543627054577221e-01,2.856563205523325322e-01
5.510683734166631487e-01,8.004944598561830604e-01,6.448544911728196216e-02,6.418674731488235863e-02
1.144196216958316192e+00,1.099861892016851028e+00,2.217740285396421207e-01,2.230028927583352916e-01
1.527805384849763914e+00,9.403145641297416812e-01,2.778367114051095710e-01,2.741034469851950650e-01
7.345199748553795649e-01,5.390363368414744505e-01,6.365500027239484604e-02,6.704869825169262887e-02
1.078486766986326284e+00,7.629648258300818497e-01,1.356924782618715575e-01,1.333429777664738303e-01
5.297512182049053386e-01,5.134700662645480529e-01,4.526875195756019377e-02,4.092031623670783214e-02
6.227869956158631481e-01,1.024523062825691611e+00,9.150527366677267682e-02,9.189043577588519585e-02
8.246803699985808533e-01,1.109591160437390034e+00,1.419771407269450059e-01,1.442023471194002204e-01
1.121975241711872906e+00,1.197275843779310067e+00,2.388616273298214965e-01,2.377162306217283083e-01
1.194860054431069685e+00,8.684419797829220355e-01,1.788126969382120013e-01,1.745000980028141857e-01
1.826782297427169466e+00,7.739048033048718800e-01,2.810333970859675845e-01,2.841323249175107257e-01
9.749876632610199323e-01,8.671924472336943746e-01,1.363866280966246625e-01,1.275849841360107706e-01
5.321958144157870052e-01,8.104475840570856127e-01,6.273556264623356138e-02,5.758124196605589329e-02
1.739335020156747680e+00,7.051977926677671649e-01,2.338982948140264917e-01,2.340959092666934083e-01
5.927704030603591079e-01,1.137180939226106080e+00,9.481222801666285005e-02,8.800693102513751365e-02
6.394879889933424710e-01,7.759284683970277818e-01,7.393536139566175835e-02,7.407533271690761034e-02
1.944772575109602553e+00,1.126963526571285623e+00,5.107066685732624123e-01,5.104323529831701345e-01
1.630048127192537777e+00,8.965503575635747069e-01,2.873971722041139265e-01,2.918908711484047847e-01
1.006781304168882674e+00,1.092840827518204883e+00,1.835738040717996844e-01,1.789998523127332153e-01
6.982682624287934736e-01,9.659257745568681219e-01,9.965009935068160074e-02,9.652056673247338958e-02
1.080095859757792320e+00,8.284699839823691514e-01,1.483991761801207732e-01,1.500650846036257757e-01
1.008792339170260455e+00,1.001418390005718084e+00,1.667729416691058897e-01,1.544851237180768500e-01
1.811661802163709645e+00,1.007825457210153930e+00,3.922017325602301097e-01,4.077019440548030338e-01
1.128129525971059977e+00,1.108562522341073331e+00,2.193714607954113105e-01,2.158782071431024630e-01
6.230675090234329971e-01,8.225623339986081195e-01,7.544111946308242056e-02,7.179194419945462979e-02
1.890207803537879316e+00,8.707353535686330748e-01,3.438701408711076768e-01,3.481757784256262478e-01
1.433470045572890150e+00,1.034966556949262984e+00,2.857318642517320262e-01,2.855327050445535808e-01
6.750647851715032566e-01,8.603360911209196882e-01,8.600856114101823602e-02,7.711141804750028250e-02
6.697612400696335566e-01,9.342527228015817808e-01,9.181806896009593599e-02,9.495270586055899742e-02
1.198899861746396400e+00,6.648194164894942748e-01,1.342288937345137989e-01,1.385057829045098499e-01
6.381334485336742635e-01,1.183269256862524710e+00,1.081385957028977718e-01,1.058888643355180709e-01
1.447628288304137811e+00,9.451802839523923971e-01,2.586301316082973423e-01,2.572221298168372305e-01
1.424575686642365335e+00,9.553831590547150476e-01,2.561001263492137525e-01,2.585300493355107143e-01
5.481220229272305566e-01,1.021632503898270539e+00,7.834251721008361757e-02,7.379861596051137673e-02
1.711134171561941697e+00,1.051402613735394898e+00,3.805448300342809675e-01,3.827367728553154880e-01
1.680192141409247775e+00,5.671299386614133686e-01,1.733073569952147952e-01,1.743038495474372729e-01
1.872962402922962788e+00,7.590413358276394407e-01,2.841571162071486190e-01,2.807824531282690494e-01
1.505459970107715595e+00,9.190481345025638404e-01,2.642720937398503334e-01,2.573115843707911021e-01
1.539293348502834835e+00,1.195935298039824568e+00,3.842882164896031516e-01,3.831601873357977084e-01
7.456124816797518040e-01,8.615311081728185272e-01,9.691229729999381592e-02,9.253518600869296840e-02
