T,Pext,P,P_noisy
4.336814114250868784e+02,4.946111471553373121e+03,1.284600585439754104e+04,1.287245153504836708e+04
4.163345913709034107e+02,6.194437568787261625e+03,1.013395990817535130e+04,1.016680022121297225e+04
3.477219900923061573e+02,7.176472346177999498e+03,3.672610594355866397e+03,3.591749994343599610e+03
4.386325344760236362e+02,5.564793451411190290e+03,1.347239597242385389e+04,1.353505045211537981e+04
3.706364828123636244e+02,1.630798560313952294e+03,5.916629776028616106e+03,6.081166001496005265e+03
4.040638263303345070e+02,3.220549459349503195e+03,9.147377137347159078e+03,9.016301737088317168e+03
3.160810962680382090e+02,5.549314747566447295e+03,2.210176047058251697e+03,2.071823129685893036e+03
3.156815337649412072e+02,4.292977886792287791e+03,2.273754733825435778e+03,2.153368220716290125e+03
3.302861171294175620e+02,6.995778213911835337e+03,2.738176528968618186e+03,2.805493240444938237e+03
4.326674510532440081e+02,5.292144466945765089e+03,1.261339096658685412e+04,1.262368821918477988e+04
4.019717192226875113e+02,2.198629045113950724e+03,9.036849496533928686e+03,9.123116891793071773e+03
4.273854485421651930e+02,4.347186256385864908e+03,1.203260562502191897e+04,1.209040009480651861e+04
3.966654403808276470e+02,3.921473520225180891e+03,8.200684573534666924e+03,8.217530318524688482e+03
3.609813596513304788e+02,1.734492134358438761e+03,5.119341651239223211e+03,5.142064702859252975e+03
3.774867291187495084e+02,5.447144736547571483e+03,6.091124317796385185e+03,6.077543477978534611e+03
3.890165276633859435e+02,2.200339205507297265e+03,7.603574901085948113e+03,7.673051717982869377e+03
4.293176977361442255e+02,1.367599105622348134e+03,1.283323503417453867e+04,1.274285775723207917e+04
3.657279249238687271e+02,6.630730581624705337e+03,4.966305483828235083e+03,4.932556777733970193e+03
4.338360164949964428e+02,2.049746288918748633e+03,1.343220156432803742e+04,1.345163667257593625e+04
3.920575407603880649e+02,2.030723352951227298e+03,7.942467846753352205e+03,8.086581515429298634e+03
4.244034188709872524e+02,7.671916561156999705e+03,1.085413838303571174e+04,1.079298125377807992e+04
3.747084082375872072e+02,3.676320395395892774e+03,6.070712682935612065e+03,5.984387846204656853e+03
4.038777197744960290e+02,2.944273458205873339e+03,9.164426275431211252e+03,9.119363299550888769e+03
3.508538061973965227e+02,4.283659418902255311e+03,4.173810823456426988e+03,4.251352599547480168e+03
3.784242755885645693e+02,1.352388805933184813e+03,6.640335247803176571e+03,6.621534807251830898e+03
3.324335086528521970e+02,2.914398742466049953e+03,3.168520997359046760e+03,3.274468758898003216e+03
3.151055403027715442e+02,5.406910347752496818e+03,2.179276156709434417e+03,2.029473795300952588e+03
3.057906194881453530e+02,5.946983955819252515e+03,1.787488689196620498e+03,1.877770540548658801e+03
4.052924214578983992e+02,1.528016206741558562e+03,9.515872049233576035e+03,9.598661348427938719e+03
3.684645931322334036e+02,2.235140516485747867e+03,5.680883882494715181e+03,5.567390627310596756e+03
4.346601220639763596e+02,7.308747851557106515e+03,1.240947959331644415e+04,1.242176614423932006e+04
4.252774807038419453e+02,6.759228207649473916e+03,1.119896625970893547e+04,1.129622687052449874e+04
3.577642701721225080e+02,3.021860931393936880e+03,4.772005920400006289e+03,4.779039443784768082e+03
4.460518154557834123e+02,5.785331929397322710e+03,1.463065683790409457e+04,1.471063295167623619e+04
3.888093016617547164e+02,5.266721115113499764e+03,7.178139858754630950e+03,7.368130811820002236e+03
4.148824971322947022e+02,6.109866156846789636e+03,9.966467513788948054e+03,9.988382094156333551e+03
3.610791537719410371e+02,1.641967506292646704e+03,5.133795323572478992e+03,5.111364738457044041e+03
3.294254867952407722e+02,5.020183111518957958e+03,2.861990689487274722e+03,2.800306516701712098e+03
3.257665522622751837e+02,6.179382245265624988e+03,2.591955162967945853e+03,2.643800331091504631e+03
3.271809339346480101e+02,4.604008201448502405e+03,2.781091825422585316e+03,2.765353420113967331e+03
3.905708275893657628e+02,4.127637559949856950e+03,7.523743116821346121e+03,7.509443407157820729e+03
3.168949282666977183e+02,1.432292064274527547e+03,2.471821694201483751e+03,2.463400911928281403e+03
3.029866123256132369e+02,6.841618077152906153e+03,1.635986940495306499e+03,1.687976512702146010e+03
4.249495446282630837e+02,4.872746389288478895e+03,1.157537093817531786e+04,1.149006376920212460e+04
3.149116676898960918e+02,5.078180169096793179e+03,2.192676563701027590e+03,2.070286444447383019e+03
3.675876803327643074e+02,4.532386671893103994e+03,5.374453250253765873e+03,5.179743114481851080e+03
3.732747859625953879e+02,5.345575006169582593e+03,5.741886446227602391e+03,5.837780118178809062e+03
3.930408612575343454e+02,3.045257038640001156e+03,7.927625499262041558e+03,7.933528968028703275e+03
3.756021723602394786e+02,7.126430255596553252e+03,5.682378399414210435e+03,5.803187952463998045e+03
4.406014715593452138e+02,2.635997431746364327e+03,1.442890518475780664e+04,1.442818868090897558e+04
4.125594891544913594e+02,7.785324813194666604e+03,9.310488373150579719e+03,9.251115936734646311e+03
3.861699746824448312e+02,4.325724430005428076e+03,7.054096142235672232e+03,7.092330486139644563e+03
3.925908205057925215e+02,2.935733801472994855e+03,7.893379168596607087e+03,7.887252095561630995e+03
3.759827237410470389e+02,2.198821998259856628e+03,6.338863544441462182e+03,6.238528611483571694e+03
4.447142713313031663e+02,1.497248773977762994e+03,1.533075647332623885e+04,1.525995114681017731e+04
3.339939095038704977e+02,1.647017635760269968e+03,3.328853119701693686e+03,3.470195465100460751e+03
4.033540705722852522e+02,7.662029256315378007e+03,8.272400955068942494e+03,8.300749002694825322e+03
3.832645018346797769e+02,3.540404876783374220e+03,6.873556881358859755e+03,6.906867804161273853e+03
3.063017683603029013e+02,7.911093870398868603e+03,1.677793039110301606e+03,1.655668901644620746e+03
3.444224999675600429e+02,5.562894474165766042e+03,3.643541561974538126e+03,3.588363996873250926e+03
4.390750403102387054e+02,6.839538716437934454e+03,1.321215207825425932e+04,1.328348454349993335e+04
4.176847286144999885e+02,7.214563574097651326e+03,1.007991468749848900e+04,1.007154457128459399e+04
3.019246640295582438e+02,5.925455121074170165e+03,1.654921408925901460e+03,1.594192759986067131e+03
3.444939494494117298e+02,5.233280249651648774e+03,3.679571551100207216e+03,3.668841269552243375e+03
3.014708023569845636e+02,3.593371742420428745e+03,1.759156860171317703e+03,1.686708378833529650e+03
4.241200414467116957e+02,2.966556215107526441e+03,1.181481925177091216e+04,1.183002291885820159e+04
3.165551388463594549e+02,7.562918377242792303e+03,2.081950482083828774e+03,2.172288692489351888e+03
3.086182768162229308e+02,1.357805581054482445e+03,2.120186879304911145e+03,2.053300066013451215e+03
4.472825014792647949e+02,5.642479712719389681e+03,1.487769650410830945e+04,1.499198002452197215e+04
3.668804819122821073e+02,3.750953960663541693e+03,5.403867638161376817e+03,5.350458042268460304e+03
3.477589498595514215e+02,6.545793359283029531e+03,3.745222258389126182e+03,3.757495231407041501e+03
3.073520084344638121e+02,6.006492060838294492e+03,1.840046954073774486e+03,1.773136032049439336e+03
3.584392926448232970e+02,5.658630330951466021e+03,4.552507730767244539e+03,4.534728917458897740e+03
3.549058585893207578e+02,3.067660124676559917e+03,4.561409768772367897e+03,4.565202121771898419e+03
3.785221182083196254e+02,1.294999858479387058e+03,6.654381866529835861e+03,6.619607070835962077e+03
3.010178199722224122e+02,4.196605840303802324e+03,1.715201709113033530e+03,1.658970677467233145e+03
3.221944320435327995e+02,1.985028171208529784e+03,2.695194810800584946e+03,2.640963915547491979e+03
3.314829788622609499e+02,7.273609937862105653e+03,2.771266847069840424e+03,2.705574051129771760e+03
3.660756778123046615e+02,7.773510649890095920e+03,4.832640723947775768e+03,4.707034324513821048e+03
3.453455049464799345e+02,5.567491538477044742e+03,3.699046044691679981e+03,3.678008475805483158e+03
3.919991514735598344e+02,4.497014922380772987e+03,7.618245332991726173e+03,7.650337989760537312e+03
3.428148908308942850e+02,5.895594710766325989e+03,3.515319734814258027e+03,3.587991888821678003e+03
4.364449515126630104e+02,1.755446142304803288e+03,1.389733891633001258e+04,1.394910713461370142e+04
4.442804937297114520e+02,5.931416572065017135e+03,1.429536830720137004e+04,1.449195522898876334e+04
3.089152298153853735e+02,5.512505807132722111e+03,1.928427144795643017e+03,1.953921675601870447e+03
3.313589578732468794e+02,2.659436051944905557e+03,3.126176241484295133e+03,3.089669529969733503e+03
3.844534774883861701e+02,5.589130549967981096e+03,6.706594621877674399e+03,6.856325392838959488e+03
4.155990344225969011e+02,7.729473750233743885e+03,9.696317779631523081e+03,9.612540332143997148e+03
3.096036346986571743e+02,1.470357260477050431e+03,2.156225869819561012e+03,2.233704078581338308e+03
3.277204026644819805e+02,4.980239349441363629e+03,2.779962230419907883e+03,2.703550648841932798e+03
3.685080182536033817e+02,5.036025604559909880e+03,5.388593348634819449e+03,5.416922281242939789e+03
4.003036137825259857e+02,2.124803136958019422e+03,8.850901856512251470e+03,8.693430116333222031e+03
4.354991890483217389e+02,6.490766899671150895e+03,1.275174330707549052e+04,1.282368520368753889e+04
4.300459445312325215e+02,5.285785889189753107e+03,1.222341566131296349e+04,1.221075585209123892e+04
4.190633123127386170e+02,2.057252804932494655e+03,1.124249815403829234e+04,1.116508363630035637e+04
3.079098215064826718e+02,7.621262854564686677e+03,1.753455903206415542e+03,1.887729426307388394e+03
4.464954739938281136e+02,2.159480642003968569e+03,1.552765884808291048e+04,1.558888722278420028e+04
3.921941923726735126e+02,5.103578222392825410e+03,7.546249919803615740e+03,7.549914546665965645e+03
3.129173722802175348e+02,3.698385904381563250e+03,2.191628863544043725e+03,2.131993392440833304e+03
3.382393163084648222e+02,2.094493068179141119e+03,3.548612351227624458e+03,3.545143344014684317e+03
3.931131126849436441e+02,1.333420600424639133e+03,8.129187855144806235e+03,8.116073554108390454e+03
3.578460175325459431e+02,5.901510196296423601e+03,4.482369298452363182e+03,4.540351417935650716e+03
3.669905213235813335e+02,1.034458541343789875e+03,5.653195778454549327e+03,5.717041792947332397e+03
4.206877598398124292e+02,6.378461119186329597e+03,1.066362756458839431e+04,1.061020705420737613e+04
4.236046466122168113e+02,4.313234457293262494e+03,1.149744011285941815e+04,1.145349046799885400e+04
3.820180470270461228e+02,5.451166894099324054e+03,6.499387287407308577e+03,6.456822061185019265e+03
4.188676656081667034e+02,2.183412075606866438e+03,1.119731553456903748e+04,1.108937015486840573e+04
3.609007393639581665e+02,5.152046839663763421e+03,4.788741835843819899e+03,4.741415845212522981e+03
4.461722755977615407e+02,7.536535730318235437e+03,1.415405464866749026e+04,1.414666200345097786e+04
3.907738748139053655e+02,2.665091014046499367e+03,7.734096855417931693e+03,7.789373010986382724e+03
4.451546974030227375e+02,5.993200494979268115e+03,1.442444157469675883e+04,1.453007193384610036e+04
3.065981538084595854e+02,7.236803266928556695e+03,1.733744481973283428e+03,1.669076811768537027e+03
4.324038979264050795e+02,1.099757710080101560e+03,1.334935129685671927e+04,1.339342941940722267e+04
3.839065781317314645e+02,1.366999498786358799e+03,7.168168838649989084e+03,7.132612292593545135e+03
4.070458546438195526e+02,7.835783045849134396e+03,8.650715071145805268e+03,8.816730093251037033e+03
3.288892463068530105e+02,4.789163615512092292e+03,2.852591281207287011e+03,2.848693397637230646e+03
3.823037063986489557e+02,1.256243199839740555e+03,7.020130683060117917e+03,7.060300840692807469e+03
3.433916886182879011e+02,6.529737798330045734e+03,3.485075335611065384e+03,3.410182363360038835e+03
3.158220715300060419e+02,3.201927412921155792e+03,2.341424213367356515e+03,2.276569056223400821e+03
3.004780155927175542e+02,6.820154700616223636e+03,1.555145349726184804e+03,1.571280973795835735e+03
4.360260029796905883e+02,6.293729476092547884e+03,1.288278997907411576e+04,1.285206562303442479e+04
4.006356472553741241e+02,6.071511399706520933e+03,8.284063646395285105e+03,8.312326733800928196e+03
3.307532597499761096e+02,6.584196743799502656e+03,2.798209627506619199e+03,2.673263697963760023e+03
3.386728016344115986e+02,7.461466577741296533e+03,3.123522706354078764e+03,3.176483103965993905e+03
3.698391467282622784e+02,1.365387552854890146e+03,5.869321411489125239e+03,5.797362982866746279e+03
4.227430879904210315e+02,7.448830472776233364e+03,1.068627479842836328e+04,1.082406867013766714e+04
3.176438404317719346e+02,3.222919549773075232e+03,2.420480237193947687e+03,2.397402857828509696e+03
4.451677245245595032e+02,6.748903315178102275e+03,1.421807603301400377e+04,1.430585723596488060e+04
4.415866149640630738e+02,6.711259411171545253e+03,1.364523908008917715e+04,1.353364041426013500e+04
3.366990143538949951e+02,5.372785036978775679e+03,3.216187882644193905e+03,3.250503582205385101e+03
3.961172789252896109e+02,6.981000620793593043e+03,7.630136925309918297e+03,7.559094553246351097e+03
3.540146299149129163e+02,6.172332406004333279e+03,4.188454200472671801e+03,4.149503074977797041e+03
4.045985016758376105e+02,2.317000811038633401e+03,9.335017538874990350e+03,9.336985249450290212e+03
3.130374150221630316e+02,7.219980125683106962e+03,1.970327991984665459e+03,1.944961994629895571e+03
3.704948820309640496e+02,6.603536548162025611e+03,5.341393691907986977e+03,5.362534141919705689e+03
3.882736205535140925e+02,6.343880982762796521e+03,6.953193362460254320e+03,7.013005796764750812e+03
3.939713603887024078e+02,2.907785956874895419e+03,8.045038382127842851e+03,8.097260953255031382e+03
4.039193211257344842e+02,2.860582460210917816e+03,9.180981253410755016e+03,9.173982734779277962e+03
4.337072059501509216e+02,7.552691060943111552e+03,1.220182867660482043e+04,1.209275423580607276e+04
3.361875314861139259e+02,2.643735471386546124e+03,3.395120193603817370e+03,3.330748505083111013e+03
3.229791475999779777e+02,5.023583382302561404e+03,2.550028622459860344e+03,2.534368125781639264e+03
3.585910405819463449e+02,5.461043572327313996e+03,4.585964511241495529e+03,4.416218433433336941e+03
3.853242221533677139e+02,5.628151871009853494e+03,6.783365808436515181e+03,6.843532255574177725e+03
4.440793141380831912e+02,6.081130410995453531e+03,1.422213992110299114e+04,1.420296886571666982e+04
4.065758378424627608e+02,7.045880439190623292e+03,8.765078543676532718e+03,8.744972999787982189e+03
4.107663826004443877e+02,4.643151521493477048e+03,9.733594844860364901e+03,9.809464941711332358e+03
4.459075580715935416e+02,1.719762338862144816e+03,1.550239492261668602e+04,1.555582776311664020e+04
3.401614744137884827e+02,2.456335522831524941e+03,3.640515320380414778e+03,3.658195397686215983e+03
3.389192438288816902e+02,6.640242967284844781e+03,3.220240422362122899e+03,3.140133735383446037e+03
3.633811256353353087e+02,2.790398788814467480e+03,5.219393298924252122e+03,5.244227025027164927e+03
3.443130011129599666e+02,3.816432706611602498e+03,3.794050853140130130e+03,3.821745056224668133e+03
3.976655077842703463e+02,6.499349903997391266e+03,7.882798220921739812e+03,7.812016354220359972e+03
4.427570881229303836e+02,1.795504051336444263e+03,1.494266260317410888e+04,1.502612755078974260e+04
3.230267238804036651e+02,5.352088813474386370e+03,2.528504931445327202e+03,2.569135906021853771e+03
3.776921523330202035e+02,5.742385028033339950e+03,6.067585471658857387e+03,5.910015522337558650e+03
4.016367148197355732e+02,2.277668991722427563e+03,8.987646620045077725e+03,8.997402576018701438e+03
3.739766499871698215e+02,7.543462571957762520e+03,5.483311295064828300e+03,5.382135455546945195e+03
4.370615761341026086e+02,5.671536716801114380e+03,1.319875181877261639e+04,1.328965703063316505e+04
4.105346979302187265e+02,4.558491565732419986e+03,9.719795364804384008e+03,9.784357601407789844e+03
4.323265193415853673e+02,4.053812353910022921e+03,1.282965373821993853e+04,1.274136647821487168e+04
3.167647482178660994e+02,2.037664195983883474e+03,2.440101358360967879e+03,2.369311542389163606e+03
3.293645255245064050e+02,4.907325519482775235e+03,2.867591367591388007e+03,2.875739630370903797e+03
3.098556338405417705e+02,7.365462580698546844e+03,1.840992822265976884e+03,1.821887956813297478e+03
4.243979247697026835e+02,7.676149978931176520e+03,1.085232417562218507e+04,1.097434042203604622e+04
4.444227992708724742e+02,1.848365118735152464e+03,1.522073608379932193e+04,1.528001398917365623e+04
3.020986531542650368e+02,5.972009606034076569e+03,1.658109998524059620e+03,1.635515818742323745e+03
4.183880465807363862e+02,2.347764614742040521e+03,1.110726300950973564e+04,1.115345468420384714e+04
4.091746797791961399e+02,5.649288128749603857e+03,9.351670369121269687e+03,9.189088024600197969e+03
4.362280191578065569e+02,7.280336754478616967e+03,1.265334323098686946e+04,1.267813240598021730e+04
3.405578209889100663e+02,4.852103759709028964e+03,3.480173809037118190e+03,3.549486373757267302e+03
4.072165774974878332e+02,6.460456398646489106e+03,8.959109569864793229e+03,8.944793368978718718e+03
3.356134322203830038e+02,2.803375243137897542e+03,3.352139222879709450e+03,3.295322087575104888e+03
3.114049800067149931e+02,3.173429211874490647e+03,2.156552844380671559e+03,2.201819520650557024e+03
4.117806094054910773e+02,3.413726373190540471e+03,1.006890646363283304e+04,1.022559564184207011e+04
3.063319457104593653e+02,7.894870921562886906e+03,1.679937483543686312e+03,1.696326998278622568e+03
4.049391694736436307e+02,7.273889549330523550e+03,8.530687756660778177e+03,8.441033543607558386e+03
3.425193697053548476e+02,6.211987591222668016e+03,3.466650566612696821e+03,3.582314949646252899e+03
3.731135092626866481e+02,5.253292078789998413e+03,5.740412855380578549e+03,5.590129056949509504e+03
4.337299730807024503e+02,6.945048010005927608e+03,1.236718119070970170e+04,1.240743757913624358e+04
3.365111818500319032e+02,1.191489416225029572e+03,3.496976004297416694e+03,3.450419632364573772e+03
3.702486572785072667e+02,1.694104440472718125e+03,5.878094320107455133e+03,5.952542194594583634e+03
3.532574170560366724e+02,4.090595888229529919e+03,4.354522124423624518e+03,4.286564174997783084e+03
3.285571330315482328e+02,7.908758218669323469e+03,2.571272315935258575e+03,2.677180140403480436e+03
3.710477202513937414e+02,6.184788357658764653e+03,5.444374332566167141e+03,5.468396179799803576e+03
3.272445490517137614e+02,3.145662454385142610e+03,2.881683580937258284e+03,2.743536330422076389e+03
4.198511237487854828e+02,6.790508777926002040e+03,1.045907320870257172e+04,1.030116816644618848e+04
3.922232462441816097e+02,1.000434900658403876e+03,8.064401506002893257e+03,8.039113864989696594e+03
3.424696129253777599e+02,1.222849499445389029e+03,3.856757670487155337e+03,3.960294600760003050e+03
4.459657492896023996e+02,2.995759757182892827e+03,1.527287715372109597e+04,1.528303955654056699e+04
3.517915266703114980e+02,6.350919797334332543e+03,4.021763345166474664e+03,4.027133001366778899e+03
4.006884991798395959e+02,3.415406259764680726e+03,8.725114379489081330e+03,8.706242072795668719e+03
4.099835589726380931e+02,1.272856145981293139e+03,1.013313885074564496e+04,1.019217086433988516e+04
3.397839585264959510e+02,4.434426701512496948e+03,3.470758610239854988e+03,3.500944753975446019e+03
3.017645702381715296e+02,4.328716853676210121e+03,1.734650946429938585e+03,1.757078616321320169e+03
4.338923814949706639e+02,1.724175656355861292e+03,1.349283569009144230e+04,1.341405785478280995e+04
4.434624770387443391e+02,6.534092128396142471e+03,1.399769706940204196e+04,1.409272533407060109e+04
3.255342125126986730e+02,5.126669846357304777e+03,2.662785942584927852e+03,2.771832375602959019e+03
3.230407816685779494e+02,3.382148071095609339e+03,2.660494451598308842e+03,2.556386169980310115e+03
3.649001129165097268e+02,7.353516536885167625e+03,4.805166158741664731e+03,4.989285769369261288e+03
3.896354352224612398e+02,6.417475359233822019e+03,7.074053159971963396e+03,7.131853687152242856e+03
4.483473941036214114e+02,2.050169393617449714e+03,1.587675395061340714e+04,1.583771347090288873e+04
4.445244176033910435e+02,5.465326019750745218e+03,1.445754318969963606e+04,1.430519471720815272e+04
4.481779259918954494e+02,1.217073292609723694e+03,1.599063993814505193e+04,1.604318765158747556e+04
3.368354122856140975e+02,4.697718311238610113e+03,3.281043550103900088e+03,3.325644459975846075e+03
3.898324802687683928e+02,7.546806259171004058e+03,6.894375595334066020e+03,6.846725049387656327e+03
3.653803715570597319e+02,3.589089435896999930e+03,5.300637824427502892e+03,5.157393563068749245e+03
3.347103443606820292e+02,6.917241330240365642e+03,2.968289561999342368e+03,3.058247702630077583e+03
3.098066056075074357e+02,5.222395139667265539e+03,1.979985355174844472e+03,1.932919838927349474e+03
3.253092560634085544e+02,2.353653216874743521e+03,2.829550911842346068e+03,2.791811305823172916e+03
3.537677593179309952e+02,6.891870710421878357e+03,4.087818565574339573e+03,4.315470171535102054e+03
3.132032595712735201e+02,3.566119223381351730e+03,2.210603986112161238e+03,2.380841761868143749e+03
3.226108487054933107e+02,4.195862329181853966e+03,2.589323796920601126e+03,2.665622735440049382e+03
3.066977227754809405e+02,6.537899780833481600e+03,1.782959748743363662e+03,1.746526066834098629e+03
3.934359410538259567e+02,2.014689297196942107e+03,8.092824295880131103e+03,8.144781197798405628e+03
3.739074719799153286e+02,2.247360418027047672e+03,6.148310242093433772e+03,5.965792659910405746e+03
3.365329504649841397e+02,1.040422452489523266e+03,3.505731740582515613e+03,3.514254356708717751e+03
3.789523109283446729e+02,1.910357440989479755e+03,6.639925981114839487e+03,6.579140518572254223e+03
3.636670166483967250e+02,7.849116768371771286e+03,4.645205929516472679e+03,4.542357518023300145e+03
3.988729835557630850e+02,3.062726767494160867e+03,8.567130110451063956e+03,8.440505753312034358e+03
4.399000829621937783e+02,1.132249336466603381e+03,1.456375849792758709e+04,1.460576982575759575e+04
3.529938159710374634e+02,5.230886214715077585e+03,4.223176608010528071e+03,4.230320637875600369e+03
3.967727299012333333e+02,3.081923175226032072e+03,8.329228201259997149e+03,8.342006094380009017e+03
3.328375107315472974e+02,7.908237265085193940e+03,2.776950137143885513e+03,2.844340221564412786e+03
4.409849098523976636e+02,6.732713496098110227e+03,1.354311597945160065e+04,1.347542927795837204e+04
3.926538720723178812e+02,5.483088996006596972e+03,7.533185194779816811e+03,7.434338438422303625e+03
3.238121156400594032e+02,6.388033673610244477e+03,2.484865067007190191e+03,2.342755836213730618e+03
3.385576591351530737e+02,7.761518810423225659e+03,3.085947004641575859e+03,3.059131278727440076e+03
3.238727040920305740e+02,2.109388293580580466e+03,2.770894320646248161e+03,2.831706817330446938e+03
3.268701051704534279e+02,5.291628111990209618e+03,2.714681892480926763e+03,2.702728010458843073e+03
3.460198285002629746e+02,5.576189110985009393e+03,3.739457799158444686e+03,3.790748054386583135e+03
4.234605664744501041e+02,6.121023022669192869e+03,1.109719093592320678e+04,1.100270663883482121e+04
3.685588202446683681e+02,5.418404274411325787e+03,5.345151544947594630e+03,5.307621838397857573e+03
3.415754951188497444e+02,7.260923516776347242e+03,3.304280623652512077e+03,3.243005689142004940e+03
3.628613791151304326e+02,3.590431431649655678e+03,5.103197757274352625e+03,5.003327532455497021e+03
3.401097345147287569e+02,1.523306679550307535e+03,3.694114564670546315e+03,3.842872447651418952e+03
4.100523624259940334e+02,3.063076365030667603e+03,9.903752455445095620e+03,9.971923717226520239e+03
3.088171870515448063e+02,7.252390258641386936e+03,1.811273457629771428e+03,1.750329413447600245e+03
3.433842840220918902e+02,4.343219202743392998e+03,3.692651682224237902e+03,3.631370305569056654e+03
3.484869132246461731e+02,1.507314774573194654e+03,4.231689891614266344e+03,4.227114143309851897e+03
3.272279278019242383e+02,5.236128489626826195e+03,2.736343794687113132e+03,2.620979482465626916e+03
4.107233675073368317e+02,3.167782092429838485e+03,9.972727664756375816e+03,1.000759383802713091e+04
3.270371043913066842e+02,1.639144262318581241e+03,2.953667351856288860e+03,2.850128249843226513e+03
3.450722014637591428e+02,7.258679756670242568e+03,3.505238888618108831e+03,3.475604250628436603e+03
3.084714843191522959e+02,5.143821715732574376e+03,1.933839899636311884e+03,1.851854089706074774e+03
4.133378455751831098e+02,4.130908162476845973e+03,1.014906953422680635e+04,1.011068167104801978e+04
3.545794524933675689e+02,5.168888894463956603e+03,4.337334720093401302e+03,4.230842145648202859e+03
3.983892589146151977e+02,6.155335602719782401e+03,8.023230504382355321e+03,7.897404742220248409e+03
3.325854153295135234e+02,3.113316144364324373e+03,3.163977294089870156e+03,3.086686023871721318e+03
3.032700292070827004e+02,7.765756860963383588e+03,1.586524158569352721e+03,1.532123369955752651e+03
3.483627237764554252e+02,5.896117406829064748e+03,3.852356827961274576e+03,3.828765673585064178e+03
4.168595779195520095e+02,7.313094856521539441e+03,9.951889536671018504e+03,9.957408227242287467e+03
4.256168670697492757e+02,1.908081066554706240e+03,1.220002300318869675e+04,1.232217469197640821e+04
3.523259634699246590e+02,3.520001531328824512e+03,4.342303159523494287e+03,4.407283305968448076e+03
4.270411167812379745e+02,7.098047192685718073e+03,1.136150479861597523e+04,1.134127286248106066e+04
3.075523388810567553e+02,7.877797977367415115e+03,1.723073460081521034e+03,1.781146926860474878e+03
3.783171804110212975e+02,7.880637515779129899e+03,5.790802692703805405e+03,5.735690911540536945e+03
3.386133624497018673e+02,7.695383958599783000e+03,3.095889139622460334e+03,3.211768450551815931e+03
3.658616533050872022e+02,1.100456097756657073e+03,5.555080259709598977e+03,5.599038416704871452e+03
3.332462732441561570e+02,2.680985319842074659e+03,3.227638544108388032e+03,3.119171397334664107e+03
4.340349932698919702e+02,3.587223117232606455e+03,1.318694972374814461e+04,1.324738056562603924e+04
3.453261998255712797e+02,2.667800934444409449e+03,3.946465603229050430e+03,4.011752991438473146e+03
4.417937890553623674e+02,7.680966616955525751e+03,1.340317594458530220e+04,1.318832832141310791e+04
3.163635268380624552e+02,2.381214400519980700e+03,2.406343872078342429e+03,2.346496275738251825e+03
3.644746509194505961e+02,7.435880630058264614e+03,4.762261630079187853e+03,4.724355828509710591e+03
3.665167399569810414e+02,7.100055166539260426e+03,4.961713805432552363e+03,4.807432825288534332e+03
4.064152189533477326e+02,3.305904307437057469e+03,9.417376450921858122e+03,9.332002251536849144e+03
3.517533404689669965e+02,6.422952338349544334e+03,4.011135902720063768e+03,3.935267247664636670e+03
3.738742445411788253e+02,4.970690157288481714e+03,5.841579450627968072e+03,5.882147115057227893e+03
3.105673590806822517e+02,6.922917346646016995e+03,1.898163930316132110e+03,1.922200984534573308e+03
