T,Ea,n,n_noisy
1.972861857225308313e+02,5.388326662427116165e-02,4.838909395227431604e-02,4.783263298633672056e-02
2.027469868908411001e+02,1.503535018527922193e-02,9.439806754510014775e-02,9.095524280692854346e-02
1.292760289563863978e+02,5.830855741793506547e-02,2.205061734820031386e-02,2.277190278850443894e-02
2.031212475986946515e+02,6.987538410226495911e-02,4.624047998751149025e-02,4.528342333509824402e-02
4.052514130176213030e+02,2.811986982444697469e-02,1.850959002521337660e-01,1.893566115731971922e-01
3.791574282732325401e+02,3.258630900650748979e-02,1.756518509858007726e-01,1.758214918979862651e-01
1.514692849268677719e+02,2.943848829785824378e-02,4.060055927500214046e-02,4.066930719309423681e-02
2.504954005712376954e+02,5.917551782874099636e-02,7.675925110163808740e-02,7.318635249647326146e-02
2.683685578469851407e+02,6.027954196832133182e-02,8.772323907755742722e-02,9.007107957129489861e-02
3.659936985447843085e+02,6.420444614490261603e-02,1.507151100561311963e-01,1.455457764443562896e-01
2.823715852174995575e+02,7.447287919875895945e-02,8.651717091187904884e-02,8.984661811069888371e-02
3.346073307302125386e+02,2.272797740122739496e-02,1.578066819649557584e-01,1.654263695299064141e-01
4.358738414435769641e+02,5.957735522288212793e-02,1.934943294738361297e-01,1.858708992833403573e-01
3.905894441249481588e+02,5.519920925193060046e-02,1.722660163846181647e-01,1.599348702278615697e-01
2.460029054034235685e+02,2.838347576219223817e-02,1.080862475776044190e-01,1.111706413533760096e-01
2.793585237377936892e+02,7.827159370681507911e-02,8.265811448433797726e-02,9.539760356175361333e-02
2.470798278760026392e+02,4.338721576180187833e-02,9.041939995399859986e-02,8.541477570963913746e-02
1.438938656026786873e+02,7.641792329845527310e-02,2.740510226525551957e-02,2.115162347124557862e-02
1.812966176349586362e+02,7.802416551725636917e-02,3.802263686799765147e-02,4.096748153690001754e-02
2.135225955776524245e+02,7.300336670870413713e-02,5.021618689515816580e-02,4.601257894486662781e-02
2.256535582409208871e+02,4.216397519860652643e-02,7.654350407280401114e-02,7.401337665312032743e-02
2.252191435279750635e+02,2.958437531032653833e-02,9.249749670583411187e-02,9.075690937241522038e-02
3.306798865011808175e+02,5.100333575487520088e-02,1.397012328270370030e-01,1.423612432584960008e-01
4.886759902479018933e+02,4.146750830668471943e-02,2.151715097155166290e-01,2.131449979085510427e-01
4.098656539694927687e+02,4.277411072912004619e-02,1.869330255884671388e-01,1.883224397888679513e-01
4.164535792691220877e+02,2.708569405913503064e-02,1.885548649848351188e-01,1.876721986903672479e-01
4.037074002158319672e+02,6.895771527815983126e-02,1.705982269630728632e-01,1.663748714448148591e-01
3.387950922095025703e+02,6.115068652660969606e-02,1.354802638489454314e-01,1.338811325602293212e-01
4.670769028683650959e+02,7.057167185159114731e-02,2.044034764138905891e-01,1.996514780880510043e-01
3.758520621788323979e+02,4.720771781429694558e-02,1.691117629830067304e-01,1.691443379123554747e-01
3.001425722947483905e+02,1.648646121487584021e-02,1.431138996853523193e-01,1.374945685475241486e-01
1.308335234002155119e+02,7.036162576679536040e-02,2.361597381525194425e-02,1.815150196877572675e-02
2.953796908342095549e+02,1.484758411260286154e-02,1.408964094746535112e-01,1.481812185511797997e-01
1.851323981361337303e+02,2.081612066360233326e-02,7.627931958964599690e-02,7.601339848811929090e-02
1.530785190187148999e+02,7.608840910174897998e-02,2.971629801403767937e-02,2.944678788667746613e-02
3.024259690117492028e+02,4.930533419818132479e-02,1.226225208408936868e-01,1.251802029404817940e-01
4.140341170387836200e+02,5.724981872564736257e-02,1.836075798871435738e-01,1.815032948743992292e-01
2.180025771222077822e+02,6.746948670314763252e-02,5.353978867717728435e-02,5.239711183978649350e-02
4.075087039636665622e+02,5.651899949795840400e-02,1.805942344802123900e-01,1.827199781568719372e-01
3.102518092649016239e+02,4.107799016614123444e-02,1.360793402861292523e-01,1.374914194973512471e-01
1.596192093482850112e+02,4.800995925620660937e-02,3.256208710594400008e-02,2.676560347128185274e-02
4.859870975918942690e+02,3.789386555705884230e-02,2.133355736537541625e-01,2.175022866371024710e-01
2.606544895554069967e+02,5.040332974794124732e-02,9.206254126511062563e-02,8.911036654866541507e-02
2.180937022650783206e+02,1.015449214969805364e-02,1.051187854527229071e-01,9.983839070115198278e-02
4.387993482534918712e+02,4.557862673447195950e-02,1.983618368439778457e-01,1.938594614939825878e-01
1.497841330061919507e+02,1.166752478170194653e-02,6.439103356123687671e-02,6.243830683946026416e-02
3.934361844294813864e+02,1.767703641767829834e-02,1.773464240463349939e-01,1.854829253194503202e-01
1.751298970261873365e+02,6.924577922253430384e-02,3.575620950766099371e-02,2.987852998305709148e-02
2.569967104050330136e+02,5.615702821138130602e-02,8.370211998362472872e-02,8.450249944629643906e-02
1.927599513848553840e+02,2.275175095800445468e-02,7.892937234920643919e-02,6.824025055875354573e-02
4.364911970769547906e+02,6.230417676762808193e-02,1.926372762666606619e-01,1.926294416009346755e-01
2.560298207759446996e+02,4.330482887114898982e-02,9.693392977880208039e-02,1.014317618661821213e-01
4.898771251529157098e+02,1.943923931811902817e-02,2.048097736775963129e-01,2.036264570672890462e-01
3.501045937660427398e+02,7.507799866001224620e-02,1.309633705586965569e-01,1.278165959392798534e-01
3.774491338811660626e+02,1.789635689397811591e-02,1.723378138081365085e-01,1.734953691284291943e-01
3.086100488529669974e+02,1.138200006128044055e-02,1.450455381653718845e-01,1.485462969211251427e-01
2.235872796302364520e+02,2.796212099196165174e-02,9.347868479205037606e-02,9.679697264713740812e-02
2.582225684209714700e+02,1.608019348469634513e-02,1.240268366138371492e-01,1.338892058834861010e-01
4.763736750647606755e+02,1.117050210070983339e-02,1.952257487983189155e-01,1.962715861600002887e-01
1.804812802898657935e+02,5.572693135249547763e-02,3.942375082555683863e-02,3.646170032679217632e-02
4.952875604880849210e+02,1.923734972939042387e-02,2.059553674501490572e-01,2.053254715002158504e-01
4.033223448015273789e+02,4.947158908433915703e-02,1.818654571602602299e-01,1.815029644321611568e-01
2.439147705970440825e+02,2.698128804197607450e-02,1.082791286107359224e-01,1.088228155281265180e-01
3.566054358022413453e+02,7.584550950372569156e-02,1.347503607355342581e-01,1.346002216693870934e-01
2.523926157172350031e+02,2.510991918063641692e-02,1.154520742601257421e-01,1.163219039546067590e-01
2.525971730559679997e+02,4.644583084391001870e-02,9.076438399695083148e-02,8.241013369387527321e-02
3.015211800778118345e+02,6.144910805801595544e-02,1.095170159724482700e-01,1.136651607526484864e-01
1.066891286541508350e+02,3.177909430406329616e-02,1.658233552738347383e-02,1.370863918277831148e-02
2.974286239773584839e+02,6.822175730370963476e-02,1.007067772358693908e-01,9.484098375363426980e-02
4.886393653787552012e+02,3.197852664919863946e-02,2.117745849208105824e-01,2.149633407190177647e-01
2.141860915142313786e+02,3.715020446418718786e-02,7.449650120143580523e-02,8.108313123836621839e-02
3.992871836306448472e+02,4.012717977694168353e-02,1.829564212263307676e-01,1.854215619738279752e-01
2.771155560281980570e+02,3.932258853522636877e-02,1.163889745099470630e-01,1.171947710791746700e-01
1.837124170471141724e+02,5.255605580872902555e-02,4.203998774305862940e-02,3.737888621619887136e-02
4.620010283272517881e+02,2.583719281198815915e-02,2.015991123871268276e-01,2.159569490761943100e-01
1.067309138720851962e+02,3.304498773100742609e-02,1.631272427259239377e-02,2.071401737589993394e-02
2.214035706398042862e+02,2.602804219222604187e-02,9.445392212028280721e-02,8.875744876856793419e-02
4.996103529295750150e+02,2.938616739618241797e-02,2.133433310722007148e-01,2.094451414910019904e-01
2.048587184759958006e+02,6.339476283148037794e-02,4.842445817351608006e-02,4.885935441637560134e-02
4.396178087437087925e+02,5.404867276753079486e-02,1.971326476937816374e-01,1.893589920338017152e-01
3.422732594622817146e+02,7.739525116968241913e-02,1.238396171240435661e-01,1.246827691590961379e-01
4.224142830108494309e+02,7.650910284389338123e-02,1.767651413545479888e-01,1.744697835759841942e-01
3.521271021773912935e+02,2.435598128354874228e-02,1.649475057484393326e-01,1.710788587500204072e-01
2.450787428231393505e+02,2.469622251728019469e-02,1.113687602354961337e-01,1.161795335536373736e-01
4.043155138333930267e+02,7.353535728580641584e-02,1.677245648252377597e-01,1.541681376380638901e-01
1.105938195615889299e+02,1.972718776809331137e-02,2.628583244970185764e-02,2.649434537983842014e-02
2.787251806937807714e+02,6.328295328976646372e-02,9.214943034883632533e-02,8.406209285121787889e-02
2.487418279480424133e+02,2.342318341398639051e-02,1.147554730206415130e-01,1.203036630168841242e-01
2.908296022549398003e+02,2.001256645081069679e-02,1.388052366938302973e-01,1.396457660394694322e-01
1.510482745984278381e+02,4.074707225008557948e-02,3.152071787383438350e-02,3.426274513476936651e-02
1.890027463785089594e+02,5.788417740247666504e-02,4.265559882122399449e-02,3.732997517720750003e-02
3.248206360398837660e+02,6.909180792286656603e-02,1.186923332290897304e-01,1.278344844190672236e-01
2.551076462623815928e+02,2.457057317676288044e-02,1.175541600701413558e-01,1.276545269058935728e-01
4.166624822361362135e+02,1.697927586752578585e-02,1.839090950349556997e-01,1.785852398218246428e-01
3.420546357110057443e+02,6.548990439580740230e-02,1.336992365937346716e-01,1.355633122030662496e-01
4.445066739147976591e+02,4.157120575760814285e-02,2.005994784786691021e-01,1.972329663367181629e-01
3.929443349302418369e+02,5.266987678968652886e-02,1.750371728239488445e-01,1.749193231396451720e-01
3.407293791034260266e+02,5.089410549044664361e-02,1.461837765272089307e-01,1.398555916310861014e-01
2.150462408783982937e+02,6.325722475193604200e-02,5.350606721106836855e-02,6.284179478397146357e-02
4.131041871704674122e+02,7.926912393582699612e-02,1.691821284344546816e-01,1.643362308790413395e-01
2.005070312684327405e+02,5.536640423934163086e-02,4.936270074177318695e-02,4.788228166678571568e-02
1.300844447257617844e+02,3.556480762490264041e-02,2.435936286776750614e-02,2.686677752332011782e-02
4.851458313772911310e+02,2.224228778294458364e-02,2.055391255565264530e-01,2.023013221644458237e-01
3.160044820385876392e+02,1.720151732692688784e-02,1.497513300255983171e-01,1.485547678769368052e-01
4.095577190199245479e+02,5.840879108443772227e-02,1.806484567537780805e-01,1.778302575216432480e-01
3.116891230521440548e+02,2.785725258645792984e-02,1.463120765907310328e-01,1.456447728165495559e-01
3.446318921487285820e+02,2.943207977646772333e-02,1.613675539739690967e-01,1.555148407984675851e-01
1.135569002066024922e+02,4.103428131638232890e-02,1.745311761039410048e-02,1.526317723238259684e-02
1.747174717415234113e+02,4.693189768342843904e-02,4.013976623857594406e-02,3.910530161501472174e-02
3.698757581739109810e+02,3.913036141099914683e-02,1.699985007586897190e-01,1.683298707396690408e-01
3.282258391809992872e+02,7.689930448156759302e-02,1.147424474816961942e-01,1.150258972561651744e-01
1.634220135946850689e+02,3.086637752355883557e-02,4.678499038043501534e-02,4.531947928365141071e-02
4.808117074904739070e+02,5.214130390249140795e-02,2.139632288068660237e-01,2.177292858490629257e-01
1.617414530189617210e+02,1.113717974945363856e-02,7.268312052913097898e-02,7.106714090020183061e-02
3.041212998954741806e+02,1.446402891623066282e-02,1.443969012622545178e-01,1.437136532807750944e-01
1.576011500077030689e+02,2.392628168876468481e-02,5.194521094116160559e-02,4.862130426118234372e-02
3.869486904424938984e+02,2.969400116159560954e-02,1.787426038332952938e-01,1.761100296327191006e-01
2.105252056380610952e+02,4.264263235274966257e-02,6.541753021657657763e-02,5.909506626247801320e-02
1.536535900487133119e+02,5.019451813503976456e-02,2.961618448115787422e-02,3.221010908554769459e-02
1.183948722682062566e+02,2.161447760599654808e-02,2.880107696522869395e-02,2.308848687696623408e-02
1.699342151590494439e+02,5.050548299797897461e-02,3.630906298734464660e-02,3.257978099640301828e-02
1.767194866894265601e+02,1.572761279277198887e-02,7.727116728762409292e-02,7.906739054768011088e-02
3.147888318287170364e+02,3.745923012068415325e-02,1.419326433658984199e-01,1.439455101956210736e-01
2.804155544685564792e+02,6.586679567046666017e-02,9.117277454755026711e-02,8.917220079252491383e-02
4.829177469014149437e+02,4.324944133715263872e-02,2.137963475895528764e-01,2.037000185371088679e-01
4.816605347466569924e+02,5.662478485706507608e-02,2.141090273420586665e-01,2.162115937785365483e-01
4.186184441873721767e+02,2.564996235558881371e-02,1.887619749902483546e-01,1.900597922847086507e-01
3.686350535922813378e+02,5.952673074277541054e-02,1.562646390486917281e-01,1.492027329713328521e-01
4.380092366273385664e+02,7.890131091370543304e-02,1.845427975219631478e-01,1.883944079359356205e-01
4.755007313919538205e+02,5.556643502785538202e-02,2.118098031956413552e-01,2.083043041934742323e-01
1.090470915548010993e+02,7.863635006308161701e-02,1.951692591900993159e-02,1.388598533824342979e-02
1.472420908603434668e+02,6.837121576357046981e-02,2.745125499088706816e-02,2.792990854570835332e-02
2.441055538734572394e+02,6.377495845655421769e-02,6.950939192169781899e-02,6.861703976470173716e-02
1.374347412170398854e+02,4.354359687779775501e-02,2.483257691659842073e-02,2.584569692155415724e-02
3.398097892213108935e+02,5.018534275076825396e-02,1.462334217052559671e-01,1.382046814136337620e-01
2.041456889392434562e+02,2.729994056794961266e-02,8.063848557590649890e-02,8.969963615726836426e-02
2.057358916529302064e+02,7.121923180241046536e-02,4.714896676621545962e-02,4.413567369349681579e-02
2.153311954591462154e+02,1.093949657076826246e-02,1.035665273438465678e-01,9.586823080136451514e-02
1.390862630337560120e+02,6.581803605381093825e-02,2.512920267365253285e-02,2.822341361648827984e-02
3.963777812952635600e+02,7.580277784239690397e-02,1.610663589937015860e-01,1.592923383431956996e-01
3.602689718398600576e+02,3.322882273722853330e-02,1.674582991790986297e-01,1.690825916079631563e-01
3.426032362565049425e+02,6.599652811738807023e-02,1.336154152192376154e-01,1.319173730661124255e-01
1.136182329111101694e+02,4.004944598561831215e-02,1.752075684754834592e-02,1.722205504514874586e-02
2.717856578555509941e+02,6.998618920168511726e-02,8.265432448170423330e-02,8.388318870039740416e-02
3.740814359599370391e+02,5.403145641297418117e-02,1.637377986241613514e-01,1.600045342042468732e-01
1.625386599614345471e+02,1.390363368414744907e-02,7.009311071911794588e-02,7.348680869841572871e-02
2.542631378630203187e+02,3.629648258300818831e-02,1.042785944744701737e-01,1.019290939790724604e-01
1.079336581879747570e+02,1.134700662645480966e-02,3.645389644437653509e-02,3.210546072352417346e-02
1.327431988308968300e+02,6.245230628256915467e-02,2.325463928300318048e-02,2.363980139211569603e-02
1.865814319996215431e+02,7.095911604373901505e-02,3.969973259242585983e-02,4.192493898488106746e-02
2.658600644564994582e+02,7.972758437793101005e-02,7.433394370994048095e-02,7.318854700184727891e-02
2.852960145149519349e+02,4.684419797829220827e-02,1.134922280110157167e-01,1.091796290756179011e-01
4.538086126472451838e+02,3.739048033048718994e-02,2.032816092880630476e-01,2.063805371196062166e-01
2.266633768696053153e+02,4.671924472336944772e-02,7.218619170596715651e-02,6.338454774535326464e-02
1.085855505108765442e+02,4.104475840570856460e-02,1.614349004526311263e-02,1.098916936508544800e-02
4.304893387084660503e+02,3.051977926677672259e-02,1.941018260493272973e-01,1.942994405019942139e-01
1.247387741494291049e+02,7.371809392261062521e-02,2.257921942476937699e-02,1.577392243324404059e-02
1.371967970648913422e+02,3.759284683970278568e-02,2.659873725201582911e-02,2.673870857326167416e-02
4.852726866958939809e+02,7.269635265712857952e-02,2.123942735412489569e-01,2.121199579511566513e-01
4.013461672513433882e+02,4.965503575635746986e-02,1.808239564824836998e-01,1.853176554267745302e-01
2.351416811117020131e+02,6.928408275182050546e-02,6.167162794333377190e-02,5.709767618426731667e-02
1.528715366476782833e+02,5.659257745568681969e-02,2.865676639067032960e-02,2.552723377246211497e-02
2.546922292687446259e+02,4.284699839823691986e-02,9.653034713345889917e-02,9.819625555696390173e-02
2.356779571120694357e+02,6.014183900057182286e-02,6.671330018063208189e-02,5.442548222960304216e-02
4.497764805769892860e+02,6.078254572101540743e-02,1.996755393763516573e-01,2.151757508709245814e-01
2.675012069256159748e+02,7.085625223410733919e-02,7.947239245887793846e-02,7.597913880656909091e-02
1.328180024062488087e+02,4.225623339986082222e-02,2.341094619111661404e-02,1.976177092748882674e-02
4.707220809434344915e+02,4.707353535686330942e-02,2.102122424780190346e-01,2.145178800325376056e-01
3.489253454861040495e+02,6.349665569492632389e-02,1.401228831861899560e-01,1.399237239790115384e-01
1.466839427124008921e+02,4.603360911209197076e-02,2.779301182837493750e-02,1.889586873485698398e-02
1.452696640185689319e+02,5.342527228015818419e-02,2.634490368847764927e-02,2.947954058894071069e-02
2.863732964657057209e+02,2.648194164894942387e-02,1.338747008495415058e-01,1.381515900195375568e-01
1.368355862756464774e+02,7.832692568625246321e-02,2.588658599613957376e-02,2.363685462875986590e-02
3.527008768811033974e+02,5.451802839523925415e-02,1.505168685976811527e-01,1.491088668062210409e-01
3.465535164379641060e+02,5.553831590547150809e-02,1.457431774596654184e-01,1.481731004459623802e-01
1.128325394472614818e+02,6.216325038982707663e-02,1.876678528024418313e-02,1.422288403067193535e-02
4.229691124165178167e+02,6.514026137353949586e-02,1.841079437140819286e-01,1.862998865351164768e-01
4.147179043757994350e+02,1.671299386614133464e-02,1.831823485983842814e-01,1.841788411506067591e-01
4.661233074461233628e+02,3.590413358276394601e-02,2.068060663035497238e-01,2.034314032246701265e-01
3.681226586953908395e+02,5.190481345025638876e-02,1.618259012911946459e-01,1.548653919221354147e-01
3.771448929340892846e+02,7.959352980398246014e-02,1.456235045200441058e-01,1.444954753662386626e-01
1.654966617812671643e+02,4.615311081728186438e-02,3.592948796806090528e-02,3.155237667676006469e-02
