E,P
1.920384076815363020e+06,9.597201744049954977e-03
1.960392078415683238e+06,9.796940774941925376e-03
2.000400080016003223e+06,9.996667280002769981e-03
2.040408081616323441e+06,1.019638100468282620e-02
2.080416083216643427e+06,1.039608169449773335e-02
2.120424084816963412e+06,1.059576909502973029e-02
2.160432086417283397e+06,1.079544295192894944e-02
2.200440088017603382e+06,1.099510301091470750e-02
2.240448089617923833e+06,1.119474901777679256e-02
2.280456091218243819e+06,1.139438071837676342e-02
2.320464092818563804e+06,1.159399785864923156e-02
2.360472094418883789e+06,1.179360018460316045e-02
2.400480096019203775e+06,1.199318744232314403e-02
2.440488097619523760e+06,1.219275937797070601e-02
2.480496099219844211e+06,1.239231573778556625e-02
2.520504100820164196e+06,1.259185626808694870e-02
2.560512102420484181e+06,1.279138071527485994e-02
2.600520104020804167e+06,1.299088882583136588e-02
2.640528105621124152e+06,1.319038034632188244e-02
2.680536107221444603e+06,1.338985502339645924e-02
2.720544108821764588e+06,1.358931260379105457e-02
2.760552110422084574e+06,1.378875283432881918e-02
2.800560112022404559e+06,1.398817546192138335e-02
2.840568113622724544e+06,1.418758023357011983e-02
2.880576115223044530e+06,1.438696689636743964e-02
2.920584116823364981e+06,1.458633519749805325e-02
2.960592118423684966e+06,1.478568488424025773e-02
3.000600120024004951e+06,1.498501570396719960e-02
3.040608121624324936e+06,1.518432740414816379e-02
3.080616123224644922e+06,1.538361973234983818e-02
3.120624124824964907e+06,1.558289243623758348e-02
3.160632126425285358e+06,1.578214526357670303e-02
3.200640128025605343e+06,1.598137796223371779e-02
3.240648129625925329e+06,1.618059028017763620e-02
3.280656131226245314e+06,1.637978196548121532e-02
3.320664132826565299e+06,1.657895276632222192e-02
3.360672134426885284e+06,1.677810243098471973e-02
3.400680136027205735e+06,1.697723070786030450e-02
3.440688137627525721e+06,1.717633734544939117e-02
3.480696139227845706e+06,1.737542209236245597e-02
3.520704140828165691e+06,1.757448469732131660e-02
3.560712142428485677e+06,1.777352490916037087e-02
3.600720144028805662e+06,1.797254247682787687e-02
3.640728145629126113e+06,1.817153714938718467e-02
3.680736147229446098e+06,1.837050867601801307e-02
3.720744148829766084e+06,1.856945680601769164e-02
3.760752150430086069e+06,1.876838128880242013e-02
3.800760152030406054e+06,1.896728187390852097e-02
3.840768153630726039e+06,1.916615831099368131e-02
3.880776155231046490e+06,1.936501034983820896e-02
3.920784156831366476e+06,1.956383774034628140e-02
3.960792158431686461e+06,1.976264023254718089e-02
4.000800160032006446e+06,1.996141757659656429e-02
4.040808161632326432e+06,2.016016952277767393e-02
4.080816163232646883e+06,2.035889582150261432e-02
4.120824164832966868e+06,2.055759622331355604e-02
4.160832166433286853e+06,2.075627047888401258e-02
4.200840168033607304e+06,2.095491833902004761e-02
4.240848169633926824e+06,2.115353955466153790e-02
4.280856171234247275e+06,2.135213387688339112e-02
4.320864172834566794e+06,2.155070105689677398e-02
4.360872174434887245e+06,2.174924084605037861e-02
4.400880176035206765e+06,2.194775299583161254e-02
4.440888177635527216e+06,2.214623725786785124e-02
4.480896179235847667e+06,2.234469338392765930e-02
4.520904180836167186e+06,2.254312112592201517e-02
4.560912182436487637e+06,2.274152023590555668e-02
4.600920184036807157e+06,2.293989046607776416e-02
4.640928185637127608e+06,2.313823156878421980e-02
4.680936187237448059e+06,2.333654329651781156e-02
4.720944188837767579e+06,2.353482540191995098e-02
4.760952190438088030e+06,2.373307763778180479e-02
4.800960192038407549e+06,2.393129975704546414e-02
4.840968193638728000e+06,2.412949151280524909e-02
4.880976195239047520e+06,2.432765265830880846e-02
4.920984196839367971e+06,2.452578294695842778e-02
4.960992198439688422e+06,2.472388213231218115e-02
5.001000200040007941e+06,2.492194996808515597e-02
5.041008201640328392e+06,2.511998620815065683e-02
5.081016203240647912e+06,2.531799060654141287e-02
5.121024204840968363e+06,2.551596291745078168e-02
5.161032206441288814e+06,2.571390289523394282e-02
5.201040208041608334e+06,2.591181029440908432e-02
5.241048209641928785e+06,2.610968486965864477e-02
5.281056211242248304e+06,2.630752637583045131e-02
5.321064212842568755e+06,2.650533456793896514e-02
5.361072214442889206e+06,2.670310920116643338e-02
5.401080216043208726e+06,2.690085003086409299e-02
5.441088217643529177e+06,2.709855681255337462e-02
5.481096219243848696e+06,2.729622930192705799e-02
5.521104220844169147e+06,2.749386725485049657e-02
5.561112222444488667e+06,2.769147042736275210e-02
5.601120224044809118e+06,2.788903857567782626e-02
5.641128225645129569e+06,2.808657145618579515e-02
5.681136227245449089e+06,2.828406882545400625e-02
5.721144228845769539e+06,2.848153044022827193e-02
5.761152230446089059e+06,2.867895605743400050e-02
5.801160232046409510e+06,2.887634543417741742e-02
5.841168233646729961e+06,2.907369832774668594e-02
5.881176235247049481e+06,2.927101449561310409e-02
5.921184236847369932e+06,2.946829369543228078e-02
5.961192238447689451e+06,2.966553568504525298e-02
6.001200240048009902e+06,2.986274022247971741e-02
6.041208241648329422e+06,3.005990706595110251e-02
6.081216243248649873e+06,3.025703597386382449e-02
6.121224244848970324e+06,3.045412670481234887e-02
6.161232246449289843e+06,3.065117901758241531e-02
6.201240248049610294e+06,3.084819267115216160e-02
6.241248249649929814e+06,3.104516742469326171e-02
6.281256251250250265e+06,3.124210303757210538e-02
6.321264252850570716e+06,3.143899926935090489e-02
6.361272254450890236e+06,3.163585587978886421e-02
6.401280256051210687e+06,3.183267262884333093e-02
6.441288257651530206e+06,3.202944927667090297e-02
6.481296259251850657e+06,3.222618558362858737e-02
6.521304260852171108e+06,3.242288131027493830e-02
6.561312262452490628e+06,3.261953621737116726e-02
6.601320264052811079e+06,3.281615006588230882e-02
6.641328265653130598e+06,3.301272261697831695e-02
6.681336267253451049e+06,3.320925363203522385e-02
6.721344268853770569e+06,3.340574287263621545e-02
6.761352270454091020e+06,3.360219010057281797e-02
6.801360272054411471e+06,3.379859507784596651e-02
6.841368273654730991e+06,3.399495756666713608e-02
6.881376275255051441e+06,3.419127732945947962e-02
6.921384276855370961e+06,3.438755412885891038e-02
6.961392278455691412e+06,3.458378772771524695e-02
7.001400280056011863e+06,3.477997788909328869e-02
7.041408281656331383e+06,3.497612437627391907e-02
7.081416283256651834e+06,3.517222695275525751e-02
7.121424284856971353e+06,3.536828538225373492e-02
7.161432286457291804e+06,3.556429942870516919e-02
7.201440288057611324e+06,3.576026885626588936e-02
7.241448289657931775e+06,3.595619342931383189e-02
7.281456291258252226e+06,3.615207291244965787e-02
7.321464292858571745e+06,3.634790707049774527e-02
7.361472294458892196e+06,3.654369566850741713e-02
7.401480296059211716e+06,3.673943847175390603e-02
7.441488297659532167e+06,3.693513524573951989e-02
7.481496299259852618e+06,3.713078575619470356e-02
7.521504300860172138e+06,3.732638976907905887e-02
7.561512302460492589e+06,3.752194705058251034e-02
7.601520304060812108e+06,3.771745736712633218e-02
7.641528305661132559e+06,3.791292048536421683e-02
7.681536307261452079e+06,3.810833617218335745e-02
7.721544308861772530e+06,3.830370419470553039e-02
7.761552310462092981e+06,3.849902432028810134e-02
7.801560312062412500e+06,3.869429631652516327e-02
7.841568313662732951e+06,3.888951995124854261e-02
7.881576315263052471e+06,3.908469499252888862e-02
7.921584316863372922e+06,3.927982120867670041e-02
7.961592318463693373e+06,3.947489836824339543e-02
8.001600320064012893e+06,3.966992624002236428e-02
8.041608321664333344e+06,3.986490459305000456e-02
8.081616323264652863e+06,4.005983319660675473e-02
8.121624324864973314e+06,4.025471182021819055e-02
8.161632326465293765e+06,4.044954023365600337e-02
8.201640328065613285e+06,4.064431820693905489e-02
8.241648329665933736e+06,4.083904551033443187e-02
8.281656331266253255e+06,4.103372191435845917e-02
8.321664332866573706e+06,4.122834718977774759e-02
8.361672334466893226e+06,4.142292110761018609e-02
8.401680336067214608e+06,4.161744343912600341e-02
8.441688337667534128e+06,4.181191395584875348e-02
8.481696339267853647e+06,4.200633242955639779e-02
8.521704340868173167e+06,4.220069863228222834e-02
8.561712342468494549e+06,4.239501233631598476e-02
8.601720344068814069e+06,4.258927331420477025e-02
8.641728345669133589e+06,4.278348133875412712e-02
8.681736347269454971e+06,4.297763618302901517e-02
8.721744348869774491e+06,4.317173762035481088e-02
8.761752350470094010e+06,4.336578542431833438e-02
8.801760352070413530e+06,4.355977936876881396e-02
8.841768353670734912e+06,4.375371922781891992e-02
8.881776355271054432e+06,4.394760477584568753e-02
8.921784356871373951e+06,4.414143578749159941e-02
8.961792358471695334e+06,4.433521203766552232e-02
9.001800360072014853e+06,4.452893330154367862e-02
9.041808361672334373e+06,4.472259935457065239e-02
9.081816363272655755e+06,4.491620997246038166e-02
9.121824364872975275e+06,4.510976493119708136e-02
9.161832366473294795e+06,4.530326400703627021e-02
9.201840368073614314e+06,4.549670697650572831e-02
9.241848369673935696e+06,4.569009361640646860e-02
9.281856371274255216e+06,4.588342370381363888e-02
9.321864372874574736e+06,4.607669701607761126e-02
9.361872374474896118e+06,4.626991333082482866e-02
9.401880376075215638e+06,4.646307242595879017e-02
9.441888377675535157e+06,4.665617407966105024e-02
9.481896379275854677e+06,4.684921807039211378e-02
9.521904380876176059e+06,4.704220417689243539e-02
9.561912382476495579e+06,4.723513217818328669e-02
9.601920384076815099e+06,4.742800185356779719e-02
9.641928385677136481e+06,4.762081298263184936e-02
9.681936387277456000e+06,4.781356534524495994e-02
9.721944388877775520e+06,4.800625872156131374e-02
9.761952390478095040e+06,4.819889289202063803e-02
9.801960392078416422e+06,4.839146763734915313e-02
9.841968393678735942e+06,4.858398273856044669e-02
9.881976395279055461e+06,4.877643797695649375e-02
9.921984396879376844e+06,4.896883313412847549e-02
9.961992398479696363e+06,4.916116799195775072e-02
1.000200040008001588e+07,4.935344233261676483e-02
1.004200840168033727e+07,4.954565593856996575e-02
1.008201640328065678e+07,4.973780859257466436e-02
1.012202440488097630e+07,4.992990007768201982e-02
1.016203240648129582e+07,5.012193017723787225e-02
1.020204040808161721e+07,5.031389867488369333e-02
1.024204840968193673e+07,5.050580535455741205e-02
1.028205641128225625e+07,5.069765000049440695e-02
1.032206441288257763e+07,5.088943239722833189e-02
1.036207241448289715e+07,5.108115232959196950e-02
1.040208041608321667e+07,5.127280958271822342e-02
1.044208841768353619e+07,5.146440394204089552e-02
1.048209641928385757e+07,5.165593519329565037e-02
1.052210442088417709e+07,5.184740312252079236e-02
1.056211242248449661e+07,5.203880751605823030e-02
1.060212042408481799e+07,5.223014816055431692e-02
1.064212842568513751e+07,5.242142484296066773e-02
1.068213642728545703e+07,5.261263735053510471e-02
1.072214442888577841e+07,5.280378547084246810e-02
1.076215243048609793e+07,5.299486899175546301e-02
1.080216043208641745e+07,5.318588770145555450e-02
1.084216843368673697e+07,5.337684138843380027e-02
1.088217643528705835e+07,5.356772984149167638e-02
1.092218443688737787e+07,5.375855284974195847e-02
1.096219243848769739e+07,5.394931020260954058e-02
1.100220044008801877e+07,5.414000168983229555e-02
1.104220844168833829e+07,5.433062710146185914e-02
1.108221644328865781e+07,5.452118622786455288e-02
1.112222444488897733e+07,5.471167885972212652e-02
1.116223244648929872e+07,5.490210478803264627e-02
1.120224044808961824e+07,5.509246380411123717e-02
1.124224844968993776e+07,5.528275569959101993e-02
1.128225645129025914e+07,5.547298026642384638e-02
1.132226445289057866e+07,5.566313729688111139e-02
1.136227245449089818e+07,5.585322658355460629e-02
1.140228045609121770e+07,5.604324791935731687e-02
1.144228845769153908e+07,5.623320109752420054e-02
1.148229645929185860e+07,5.642308591161299819e-02
1.152230446089217812e+07,5.661290215550505989e-02
1.156231246249249950e+07,5.680264962340612206e-02
1.160232046409281902e+07,5.699232810984706382e-02
1.164232846569313854e+07,5.718193740968476046e-02
1.168233646729345992e+07,5.737147731810284673e-02
1.172234446889377944e+07,5.756094763061245928e-02
1.176235247049409896e+07,5.775034814305306241e-02
1.180236047209441848e+07,5.793967865159321828e-02
1.184236847369473986e+07,5.812893895273135714e-02
1.188237647529505938e+07,5.831812884329649893e-02
1.192238447689537890e+07,5.850724812044911377e-02
1.196239247849570028e+07,5.869629658168182967e-02
1.200240048009601980e+07,5.888527402482014728e-02
1.204240848169633932e+07,5.907418024802330025e-02
1.208241648329665884e+07,5.926301504978494228e-02
1.212242448489698023e+07,5.945177822893391029e-02
1.216243248649729975e+07,5.964046958463495307e-02
1.220244048809761927e+07,5.982908891638951537e-02
1.224244848969794065e+07,6.001763602403648035e-02
1.228245649129826017e+07,6.020611070775282875e-02
1.232246449289857969e+07,6.039451276805447161e-02
1.236247249449890107e+07,6.058284200579694412e-02
1.240248049609922059e+07,6.077109822217609952e-02
1.244248849769954011e+07,6.095928121872887934e-02
1.248249649929985963e+07,6.114739079733403498e-02
1.252250450090018101e+07,6.133542676021280782e-02
1.256251250250050053e+07,6.152338890992965076e-02
1.260252050410082005e+07,6.171127704939300546e-02
1.264252850570114143e+07,6.189909098185591985e-02
1.268253650730146095e+07,6.208683051091679755e-02
1.272254450890178047e+07,6.227449544052010566e-02
1.276255251050209999e+07,6.246208557495706165e-02
1.280256051210242137e+07,6.264960071886632731e-02
1.284256851370274089e+07,6.283704067723469566e-02
1.288257651530306041e+07,6.302440525539780569e-02
1.292258451690338179e+07,6.321169425904081540e-02
1.296259251850370131e+07,6.339890749419901939e-02
1.300260052010402083e+07,6.358604476725862598e-02
1.304260852170434222e+07,6.377310588495743726e-02
1.308261652330466174e+07,6.396009065438537644e-02
1.312262452490498126e+07,6.414699888298532049e-02
1.316263252650530078e+07,6.433383037855369690e-02
1.320264052810562216e+07,6.452058494924113596e-02
1.324264852970594168e+07,6.470726240355312298e-02
1.328265653130626120e+07,6.489386255035073381e-02
1.332266453290658258e+07,6.508038519885116224e-02
1.336267253450690210e+07,6.526683015862845549e-02
1.340268053610722162e+07,6.545319723961415259e-02
1.344268853770754114e+07,6.563948625209786725e-02
1.348269653930786252e+07,6.582569700672802337e-02
1.352270454090818204e+07,6.601182931451239633e-02
1.356271254250850156e+07,6.619788298681879291e-02
1.360272054410882294e+07,6.638385783537571749e-02
1.364272854570914246e+07,6.656975367227284390e-02
1.368273654730946198e+07,6.675557030996186192e-02
1.372274454890978150e+07,6.694130756125689363e-02
1.376275255051010288e+07,6.712696523933525672e-02
1.380276055211042240e+07,6.731254315773795016e-02
1.384276855371074192e+07,6.749804113037037590e-02
1.388277655531106330e+07,6.768345897150288004e-02
1.392278455691138282e+07,6.786879649577133577e-02
1.396279255851170234e+07,6.805405351817780946e-02
1.400280056011202373e+07,6.823922985409112962e-02
1.404280856171234325e+07,6.842432531924740047e-02
1.408281656331266277e+07,6.860933972975070960e-02
1.412282456491298229e+07,6.879427290207368317e-02
1.416283256651330367e+07,6.897912465305797158e-02
1.420284056811362319e+07,6.916389479991497113e-02
1.424284856971394271e+07,6.934858316022626812e-02
1.428285657131426409e+07,6.953318955194433271e-02
1.432286457291458361e+07,6.971771379339293528e-02
1.436287257451490313e+07,6.990215570326786809e-02
1.440288057611522265e+07,7.008651510063743095e-02
1.444288857771554403e+07,7.027079180494295862e-02
1.448289657931586355e+07,7.045498563599943143e-02
1.452290458091618307e+07,7.063909641399600259e-02
1.456291258251650445e+07,7.082312395949656725e-02
1.460292058411682397e+07,7.100706809344022041e-02
1.464292858571714349e+07,7.119092863714193697e-02
1.468293658731746487e+07,7.137470541229301579e-02
1.472294458891778439e+07,7.155839824096159318e-02
1.476295259051810391e+07,7.174200694559323965e-02
1.480296059211842343e+07,7.192553134901148726e-02
1.484296859371874481e+07,7.210897127441825982e-02
1.488297659531906433e+07,7.229232654539452518e-02
1.492298459691938385e+07,7.247559698590071153e-02
1.496299259851970524e+07,7.265878242027724865e-02
1.500300060012002476e+07,7.284188267324508137e-02
1.504300860172034428e+07,7.302489756990618308e-02
1.508301660332066379e+07,7.320782693574405531e-02
1.512302460492098518e+07,7.339067059662422732e-02
1.516303260652130470e+07,7.357342837879472797e-02
1.520304060812162422e+07,7.375610010888664081e-02
1.524304860972194560e+07,7.393868561391449268e-02
1.528305661132226512e+07,7.412118472127683655e-02
1.532306461292258464e+07,7.430359725875668175e-02
1.536307261452290416e+07,7.448592305452199358e-02
1.540308061612322554e+07,7.466816193712617900e-02
1.544308861772354506e+07,7.485031373550847522e-02
1.548309661932386458e+07,7.503237827899456036e-02
1.552310462092418596e+07,7.521435539729688646e-02
1.556311262252450548e+07,7.539624492051523463e-02
1.560312062412482500e+07,7.557804667913711749e-02
1.564312862572514638e+07,7.575976050403825102e-02
1.568313662732546590e+07,7.594138622648301251e-02
1.572314462892578542e+07,7.612292367812487082e-02
1.576315263052610494e+07,7.630437269100685815e-02
1.580316063212642632e+07,7.648573309756197258e-02
1.584316863372674584e+07,7.666700473061367760e-02
1.588317663532706536e+07,7.684818742337626296e-02
1.592318463692738675e+07,7.702928100945533041e-02
1.596319263852770627e+07,7.721028532284818224e-02
1.600320064012802579e+07,7.739120019794427929e-02
1.604320864172834530e+07,7.757202546952562949e-02
1.608321664332866669e+07,7.775276097276724585e-02
1.612322464492898621e+07,7.793340654323750727e-02
1.616323264652930573e+07,7.811396201689861651e-02
1.620324064812962711e+07,7.829442723010700267e-02
1.624324864972994663e+07,7.847480201961365420e-02
1.628325665133026615e+07,7.865508622256464633e-02
1.632326465293058753e+07,7.883527967650140467e-02
1.636327265453090705e+07,7.901538221936119100e-02
1.640328065613122657e+07,7.919539368947745017e-02
1.644328865773154609e+07,7.937531392558019872e-02
1.648329665933186747e+07,7.955514276679645502e-02
1.652330466093218699e+07,7.973488005265054468e-02
1.656331266253250651e+07,7.991452562306450291e-02
1.660332066413282789e+07,8.009407931835850480e-02
1.664332866573314741e+07,8.027354097925112897e-02
1.668333666733346693e+07,8.045291044685981552e-02
1.672334466893378645e+07,8.063218756270117138e-02
1.676335267053410783e+07,8.081137216869137274e-02
1.680336067213442922e+07,8.099046410714651201e-02
1.684336867373474687e+07,8.116946322078284759e-02
1.688337667533506826e+07,8.134836935271738678e-02
1.692338467693538591e+07,8.152718234646794127e-02
1.696339267853570729e+07,8.170590204595372386e-02
1.700340068013602868e+07,8.188452829549551504e-02
1.704340868173634633e+07,8.206306093981605154e-02
1.708341668333666772e+07,8.224149982404044268e-02
1.712342468493698910e+07,8.241984479369632299e-02
1.716343268653730676e+07,8.259809569471433799e-02
1.720344068813762814e+07,8.277625237342838005e-02
1.724344868973794952e+07,8.295431467657597702e-02
1.728345669133826718e+07,8.313228245129847260e-02
1.732346469293858856e+07,8.331015554514151211e-02
1.736347269453890994e+07,8.348793380605519510e-02
1.740348069613922760e+07,8.366561708239449169e-02
1.744348869773954898e+07,8.384320522291949240e-02
1.748349669933987036e+07,8.402069807679572733e-02
1.752350470094018802e+07,8.419809549359437428e-02
1.756351270254050940e+07,8.437539732329273068e-02
1.760352070414082706e+07,8.455260341627429677e-02
1.764352870574114844e+07,8.472971362332923362e-02
1.768353670734146982e+07,8.490672779565450190e-02
1.772354470894178748e+07,8.508364578485422269e-02
1.776355271054210886e+07,8.526046744293998281e-02
1.780356071214243025e+07,8.543719262233097356e-02
1.784356871374274790e+07,8.561382117585437934e-02
1.788357671534306929e+07,8.579035295674562744e-02
1.792358471694339067e+07,8.596678781864859620e-02
1.796359271854370832e+07,8.614312561561585091e-02
1.800360072014402971e+07,8.631936620210906019e-02
1.804360872174435109e+07,8.649550943299902372e-02
1.808361672334466875e+07,8.667155516356608858e-02
1.812362472494499013e+07,8.684750324950031575e-02
1.816363272654531151e+07,8.702335354690174385e-02
1.820364072814562917e+07,8.719910591228058339e-02
1.824364872974595055e+07,8.737476020255754983e-02
1.828365673134626821e+07,8.755031627506397462e-02
1.832366473294658959e+07,8.772577398754215217e-02
1.836367273454691097e+07,8.790113319814542303e-02
1.840368073614722863e+07,8.807639376543850707e-02
1.844368873774755001e+07,8.825155554839772543e-02
1.848369673934787139e+07,8.842661840641111159e-02
1.852370474094818905e+07,8.860158219927871670e-02
1.856371274254851043e+07,8.877644678721280380e-02
1.860372074414883181e+07,8.895121203083798667e-02
1.864372874574914947e+07,8.912587779119147957e-02
1.868373674734947085e+07,8.930044392972334710e-02
1.872374474894979224e+07,8.947491030829660130e-02
1.876375275055010989e+07,8.964927678918740983e-02
1.880376075215043128e+07,8.982354323508537353e-02
1.884376875375074893e+07,8.999770950909359579e-02
1.888377675535107031e+07,9.017177547472891852e-02
1.892378475695139170e+07,9.034574099592211638e-02
1.896379275855170935e+07,9.051960593701799396e-02
1.900380076015203074e+07,9.069337016277569108e-02
1.904380876175235212e+07,9.086703353836869668e-02
1.908381676335266978e+07,9.104059592938509859e-02
1.912382476495299116e+07,9.121405720182777788e-02
1.916383276655331254e+07,9.138741722211450591e-02
1.920384076815363020e+07,9.156067585707804157e-02
1.924384876975395158e+07,9.173383297396647817e-02
1.928385677135427296e+07,9.190688844044317407e-02
1.932386477295459062e+07,9.207984212458698858e-02
1.936387277455491200e+07,9.225269389489253180e-02
1.940388077615523338e+07,9.242544362027008131e-02
1.944388877775555104e+07,9.259809117004588752e-02
1.948389677935587242e+07,9.277063641396225691e-02
1.952390478095619008e+07,9.294307922217764917e-02
1.956391278255651146e+07,9.311541946526685765e-02
1.960392078415683284e+07,9.328765701422110646e-02
1.964392878575715050e+07,9.345979174044810600e-02
1.968393678735747188e+07,9.363182351577233054e-02
1.972394478895779327e+07,9.380375221243493489e-02
1.976395279055811092e+07,9.397557770309400427e-02
1.980396079215843230e+07,9.414729986082462365e-02
1.984396879375875369e+07,9.431891855911894718e-02
1.988397679535907134e+07,9.449043367188630915e-02
1.992398479695939273e+07,9.466184507345340449e-02
1.996399279855971411e+07,9.483315263856424704e-02
2.000400080016003177e+07,9.500435624238029453e-02
2.004400880176035315e+07,9.517545576048067058e-02
2.008401680336067453e+07,9.534645106886205368e-02
2.012402480496099219e+07,9.551734204393889927e-02
2.016403280656131357e+07,9.568812856254341193e-02
2.020404080816163123e+07,9.585881050192575359e-02
2.024404880976195261e+07,9.602938773975394637e-02
2.028405681136227399e+07,9.619986015411410851e-02
2.032406481296259165e+07,9.637022762351035721e-02
2.036407281456291303e+07,9.654049002686505843e-02
2.040408081616323441e+07,9.671064724351866038e-02
2.044408881776355207e+07,9.688069915322995718e-02
2.048409681936387345e+07,9.705064563617603335e-02
2.052410482096419483e+07,9.722048657295231933e-02
2.056411282256451249e+07,9.739022184457263309e-02
2.060412082416483387e+07,9.755985133246930507e-02
2.064412882576515526e+07,9.772937491849309488e-02
2.068413682736547291e+07,9.789879248491327457e-02
2.072414482896579430e+07,9.806810391441776742e-02
2.076415283056611568e+07,9.823730909011299528e-02
2.080416083216643333e+07,9.840640789552403123e-02
2.084416883376675472e+07,9.857540021459459956e-02
2.088417683536707237e+07,9.874428593168704804e-02
2.092418483696739376e+07,9.891306493158250057e-02
2.096419283856771514e+07,9.908173709948069063e-02
2.100420084016803280e+07,9.925030232100004457e-02
2.104420884176835418e+07,9.941876048217780648e-02
2.108421684336867556e+07,9.958711146946985782e-02
2.112422484496899322e+07,9.975535516975085615e-02
2.116423284656931460e+07,9.992349147031415191e-02
2.120424084816963598e+07,1.000915202588718855e-01
2.124424884976995364e+07,1.002594414235548209e-01
2.128425685137027502e+07,1.004272548529125259e-01
2.132426485297059640e+07,1.005949604359132193e-01
2.136427285457091406e+07,1.007625580619437855e-01
2.140428085617123544e+07,1.009300476208098291e-01
2.144428885777155682e+07,1.010974290027355643e-01
2.148429685937187448e+07,1.012647020983638291e-01
2.152430486097219586e+07,1.014318667987560707e-01
2.156431286257251352e+07,1.015989229953922768e-01
2.160432086417283490e+07,1.017658705801710028e-01
2.164432886577315629e+07,1.019327094454092753e-01
2.168433686737347394e+07,1.020994394838425218e-01
2.172434486897379532e+07,1.022660605886247243e-01
2.176435287057411671e+07,1.024325726533280995e-01
2.180436087217443436e+07,1.025989755719432517e-01
2.184436887377475575e+07,1.027652692388790617e-01
2.188437687537507713e+07,1.029314535489625898e-01
2.192438487697539479e+07,1.030975283974390755e-01
2.196439287857571617e+07,1.032634936799718961e-01
2.200440088017603755e+07,1.034293492926424141e-01
2.204440888177635521e+07,1.035950951319499769e-01
2.208441688337667659e+07,1.037607310948118894e-01
2.212442488497699797e+07,1.039262570785632334e-01
2.216443288657731563e+07,1.040916729809568536e-01
2.220444088817763701e+07,1.042569787001633441e-01
2.224444888977795467e+07,1.044221741347708121e-01
2.228445689137827605e+07,1.045872591837849752e-01
2.232446489297859743e+07,1.047522337466289394e-01
2.236447289457891509e+07,1.049170977231431295e-01
2.240448089617923647e+07,1.050818510135853173e-01
2.244448889777955785e+07,1.052464935186303713e-01
2.248449689937987551e+07,1.054110251393702152e-01
2.252450490098019689e+07,1.055754457773138005e-01
2.256451290258051828e+07,1.057397553343869118e-01
2.260452090418083593e+07,1.059039537129320557e-01
2.264452890578115731e+07,1.060680408157084753e-01
2.268453690738147870e+07,1.062320165458918581e-01
2.272454490898179635e+07,1.063958808070744055e-01
2.276455291058211774e+07,1.065596335032645559e-01
2.280456091218243539e+07,1.067232745388869836e-01
2.284456891378275678e+07,1.068868038187824193e-01
2.288457691538307816e+07,1.070502212482075527e-01
2.292458491698339581e+07,1.072135267328348379e-01
2.296459291858371720e+07,1.073767201787524800e-01
2.300460092018403858e+07,1.075398014924641987e-01
2.304460892178435624e+07,1.077027705808891178e-01
2.308461692338467762e+07,1.078656273513616953e-01
2.312462492498499900e+07,1.080283717116314601e-01
2.316463292658531666e+07,1.081910035698629702e-01
2.320464092818563804e+07,1.083535228346356183e-01
2.324464892978595942e+07,1.085159294149435211e-01
2.328465693138627708e+07,1.086782232201952553e-01
