t,N1,N2,dN1_dt,dN1_dt_noisy
1.889308735274505269e-01,2.132280767298006907e+01,1.581330071179915642e+01,7.163764214389199303e+00,7.032524633423893334e+00
2.000444543231829075e-01,2.140252741655691082e+01,1.586203063335262264e+01,7.182594218866833913e+00,7.213802756147219775e+00
2.111580351189152882e-01,2.148245617354089276e+01,1.591085812632043606e+01,7.201377616367325984e+00,7.212104065841658418e+00
2.222716159146476689e-01,2.156259342025660430e+01,1.595978298970286779e+01,7.220113306281330523e+00,7.144492870561868436e+00
2.333851967103800773e-01,2.164293862049829897e+01,1.600880501936818234e+01,7.238800184202760057e+00,7.220973366377956282e+00
2.444987775061124580e-01,2.172349122552989442e+01,1.605792400805263753e+01,7.257437142041726297e+00,7.276890393058550011e+00
2.556123583018448109e-01,2.180425067408497597e+01,1.610713974536048454e+01,7.276023068138451677e+00,7.235988067826649051e+00
2.667259390975772471e-01,2.188521639236678595e+01,1.615645201776397499e+01,7.294556847378008690e+00,7.192107897516650361e+00
2.778395198933096277e-01,2.196638779404823438e+01,1.620586060860334854e+01,7.313037361306011341e+00,7.284195089306501281e+00
2.889531006890420084e-01,2.204776428027189539e+01,1.625536529808684350e+01,7.331463488245162807e+00,7.352734243205569342e+00
3.000666814847743891e-01,2.212934523965000011e+01,1.630496586329068620e+01,7.349834103412693942e+00,7.251962839719531928e+00
3.111802622805067697e-01,2.221113004826445447e+01,1.635466207815910877e+01,7.368148079038663312e+00,7.309401454876779169e+00
3.222938430762391504e-01,2.229311806966681075e+01,1.640445371350432424e+01,7.386404284485120542e+00,7.445353371367684936e+00
3.334074238719715311e-01,2.237530865487830312e+01,1.645434053700655497e+01,7.404601586366123200e+00,7.509701086238553813e+00
3.445210046677039117e-01,2.245770114238981563e+01,1.650432231321400067e+01,7.422738848668601896e+00,7.499990982910524906e+00
3.556345854634362924e-01,2.254029485816190714e+01,1.655439880354287396e+01,7.440814932874047827e+00,7.467993174249480504e+00
3.667481662591686731e-01,2.262308911562478642e+01,1.660456976627736481e+01,7.458828698081035213e+00,7.573547960363452347e+00
3.778617470549010537e-01,2.270608321567833343e+01,1.665483495656966895e+01,7.476779001128571522e+00,7.433923482636376256e+00
3.889753278506334344e-01,2.278927644669209585e+01,1.670519412643997015e+01,7.494664696720228392e+00,7.484293893369558859e+00
4.000889086463658151e-01,2.287266808450527478e+01,1.675564702477645795e+01,7.512484637549095901e+00,7.490725955391847712e+00
4.112024894420981957e-01,2.295625739242674257e+01,1.680619339733529571e+01,7.530237674423526428e+00,7.616097235423768375e+00
4.223160702378305764e-01,2.304004362123502858e+01,1.685683298674066322e+01,7.547922656393637020e+00,7.471850365876713695e+00
4.334296510335629571e-01,2.312402600917833340e+01,1.690756553248472116e+01,7.565538430878612886e+00,7.519168316700475252e+00
4.445432318292953378e-01,2.320820378197451461e+01,1.695839077092762892e+01,7.583083843794749868e+00,7.741028840630116648e+00
4.556568126250277739e-01,2.329257615281109395e+01,1.700930843529753744e+01,7.600557739684248304e+00,7.553021368358149523e+00
4.667703934207601546e-01,2.337714232234526079e+01,1.706031825569059990e+01,7.617958961844776944e+00,7.436513064707467535e+00
4.778839742164925353e-01,2.346190147813273086e+01,1.711141995954526251e+01,7.635286352254871289e+00,7.708425029753188440e+00
4.889975550122249159e-01,2.354685279130718811e+01,1.716261327304337314e+01,7.652538750667501333e+00,7.747995074859555409e+00
5.001111358079572966e-01,2.363199542077035176e+01,1.721389791698198124e+01,7.669714996328817591e+00,7.579436563944990546e+00
5.112247166036896218e-01,2.371732851290299138e+01,1.726527360885047813e+01,7.686813927808685776e+00,7.596387576260527297e+00
5.223382973994220579e-01,2.380285120125452991e+01,1.731674006321367187e+01,7.703834383010555342e+00,7.642615131383622362e+00
5.334518781951544941e-01,2.388856260654305075e+01,1.736829699171178731e+01,7.720775199307188252e+00,7.728039720022362502e+00
5.445654589908868193e-01,2.397446183665528707e+01,1.741994410306047314e+01,7.737635213677092949e+00,7.855951796258717756e+00
5.556790397866192555e-01,2.406054798664665029e+01,1.747168110305080901e+01,7.754413262841676868e+00,7.850616381428605628e+00
5.667926205823515806e-01,2.414682013874119448e+01,1.752350769454928425e+01,7.771108183403035774e+00,7.638143065061594683e+00
5.779062013780840168e-01,2.423327736233163776e+01,1.757542357749781914e+01,7.787718811982415446e+00,7.932634343231804941e+00
5.890197821738163420e-01,2.431991871397935867e+01,1.762742844891375071e+01,7.804243985359348379e+00,7.728269990998225758e+00
6.001333629695487781e-01,2.440674323741439622e+01,1.767952200288983633e+01,7.820682540611413103e+00,7.847391113412158781e+00
6.112469437652811033e-01,2.449374996353544631e+01,1.773170393059426075e+01,7.837033315254630317e+00,7.830766663358971869e+00
6.223605245610135395e-01,2.458093791040986176e+01,1.778397392027062907e+01,7.853295147384472763e+00,7.816869604574322672e+00
6.334741053567458646e-01,2.466830608327365937e+01,1.783633165723796310e+01,7.869466875817500373e+00,7.756518694303723649e+00
6.445876861524783008e-01,2.475585347453151286e+01,1.788877682389071921e+01,7.885547340233586056e+00,8.095357383281747587e+00
6.557012669482106260e-01,2.484357906375674929e+01,1.794130909969875987e+01,7.901535381318710805e+00,7.899824263966420013e+00
6.668148477439430621e-01,2.493148181769137040e+01,1.799392816120737848e+01,7.917429840908363659e+00,8.054538898685706272e+00
6.779284285396753873e-01,2.501956069024601703e+01,1.804663368203728879e+01,7.933229562131482560e+00,7.866348153899818563e+00
6.890420093354078235e-01,2.510781462250000473e+01,1.809942533288463196e+01,7.948933389554966311e+00,8.008879763238223148e+00
7.001555901311401486e-01,2.519624254270130237e+01,1.815230278152095877e+01,7.964540169328691022e+00,7.917346945051305873e+00
7.112691709268725848e-01,2.528484336626653572e+01,1.820526569279324747e+01,7.980048749331096758e+00,8.022986824946260143e+00
7.223827517226050210e-01,2.537361599578099458e+01,1.825831372862390722e+01,7.995457979315283126e+00,8.094785696601917380e+00
7.334963325183373462e-01,2.546255932099862207e+01,1.831144654801075689e+01,8.010766711055554268e+00,7.932036669567562370e+00
7.446099133140697823e-01,2.555167221884202888e+01,1.836466380702704271e+01,8.025973798494558054e+00,8.017880256630176561e+00
7.557234941098021075e-01,2.564095355340247551e+01,1.841796515882142771e+01,8.041078097890796528e+00,8.084052329278765825e+00
7.668370749055345437e-01,2.573040217593988643e+01,1.847135025361800587e+01,8.056078467966678147e+00,8.165344610317461616e+00
7.779506557012668688e-01,2.582001692488284306e+01,1.852481873871628792e+01,8.070973770057012331e+00,8.172645235733268620e+00
7.890642364969993050e-01,2.590979662582859078e+01,1.857837025849120494e+01,8.085762868257898361e+00,8.037219941607856910e+00
8.001778172927316302e-01,2.599974009154302834e+01,1.863200445439311181e+01,8.100444629576125877e+00,8.004048368107376632e+00
8.112913980884640663e-01,2.608984612196071851e+01,1.868572096494778734e+01,8.115017924078911093e+00,8.097513586825055398e+00
8.224049788841963915e-01,2.618011350427421036e+01,1.873951942578445085e+01,8.129481625061229622e+00,8.214262737151651450e+00
8.335185596799288277e-01,2.627054102817429282e+01,1.879339947464116634e+01,8.143834612068234335e+00,8.247741385404301795e+00
8.446321404756611528e-01,2.636112746270015350e+01,1.884736074466091438e+01,8.158075766500655135e+00,8.031522627962312200e+00
8.557457212713935890e-01,2.645187155217681862e+01,1.890140286253373603e+01,8.172203971129128774e+00,7.986457388956390346e+00
8.668593020671259142e-01,2.654277202948414427e+01,1.895552545249834253e+01,8.186218112816524339e+00,8.131300909251878650e+00
8.779728828628583504e-01,2.663382761605681992e+01,1.900972813634212244e+01,8.200117082659726719e+00,8.230770610965848277e+00
8.890864636585906755e-01,2.672503702188436492e+01,1.906401053340114871e+01,8.213899776131736274e+00,8.332582008895956349e+00
9.002000444543231117e-01,2.681639894551113557e+01,1.911837226056015737e+01,8.227565093223910608e+00,8.149885680949457978e+00
9.113136252500555479e-01,2.690791207403632157e+01,1.917281293225257954e+01,8.241111938588490560e+00,8.221089439561403367e+00
9.224272060457878730e-01,2.699957508311394250e+01,1.922733216046050586e+01,8.254539221681227446e+00,8.356496240445881796e+00
9.335407868415203092e-01,2.709138663695285487e+01,1.928192955471471493e+01,8.267845856904317614e+00,8.195804713258944219e+00
9.446543676372526344e-01,2.718334538831673797e+01,1.933660472209465908e+01,8.281030763749384960e+00,8.366468511889733506e+00
9.557679484329850705e-01,2.727544997852411868e+01,1.939135726722846798e+01,8.294092866940745878e+00,8.451258850244492749e+00
9.668815292287173957e-01,2.736769903744835020e+01,1.944618679229294855e+01,8.307031096578716856e+00,8.416033652298210654e+00
9.779951100244498319e-01,2.746009118351761202e+01,1.950109289701358151e+01,8.319844388283124559e+00,8.499282648159061537e+00
9.891086908201821570e-01,2.755262502371492417e+01,1.955607517866453193e+01,8.332531683336934947e+00,8.309224411507948105e+00
1.000222271615914593e+00,2.764529915357814360e+01,1.961113323206863157e+01,8.345091928829974748e+00,8.209382192854912219e+00
1.011335852411646918e+00,2.773811215719994649e+01,1.966626664959739657e+01,8.357524077802752416e+00,8.521836145875393953e+00
1.022449433207379244e+00,2.783106260722785663e+01,1.972147502117102036e+01,8.369827089390401653e+00,8.454497123091998745e+00
1.033563014003111791e+00,2.792414906486422055e+01,1.977675793425837369e+01,8.381999928966658686e+00,8.525817052184374134e+00
1.044676594798844116e+00,2.801737007986622174e+01,1.983211497387699396e+01,8.394041568287933686e+00,8.422012216938135509e+00
1.055790175594576441e+00,2.811072419054587712e+01,1.988754572259310649e+01,8.405950985637417716e+00,8.304493728715304002e+00
1.066903756390308988e+00,2.820420992377003699e+01,1.994304976052161749e+01,8.417727165969232317e+00,8.382816212498283903e+00
1.078017337186041313e+00,2.829782579496037442e+01,1.999862666532609268e+01,8.429369101052609281e+00,8.406920398053749466e+00
1.089130917981773639e+00,2.839157030809341720e+01,2.005427601221878930e+01,8.440875789616066882e+00,8.384013683234796233e+00
1.100244498777505964e+00,2.848544195570050164e+01,2.010999737396064191e+01,8.452246237491618075e+00,8.478835316221116969e+00
1.111358079573238511e+00,2.857943921886781524e+01,2.016579032086125522e+01,8.463479457758925406e+00,8.506185160115226296e+00
1.122471660368970836e+00,2.867356056723636826e+01,2.022165442077890773e+01,8.474574470889475464e+00,8.430124906544847363e+00
1.133585241164703161e+00,2.876780445900200789e+01,2.027758923912056943e+01,8.485530304890668063e+00,8.322791490974919881e+00
1.144698821960435486e+00,2.886216934091541120e+01,2.033359433884187339e+01,8.496345995449892996e+00,8.274724218793444663e+00
1.155812402756168034e+00,2.895665364828209576e+01,2.038966928044713711e+01,8.507020586078533952e+00,8.506975013683732101e+00
1.166925983551900359e+00,2.905125580496239834e+01,2.044581362198934826e+01,8.517553128255856976e+00,8.513936039758609908e+00
1.178039564347632684e+00,2.914597422337150334e+01,2.050202691907018249e+01,8.527942681572882933e+00,8.459210829934242781e+00
1.189153145143365009e+00,2.924080730447942145e+01,2.055830872483997851e+01,8.538188313876077018e+00,8.700579470326834652e+00
1.200266725939097556e+00,2.933575343781099676e+01,2.061465858999777012e+01,8.548289101410984969e+00,8.488752406672453787e+00
1.211380306734829881e+00,2.943081100190457633e+01,2.067107606288021060e+01,8.558244129035323056e+00,8.624236035962542957e+00
1.222493887530562207e+00,2.952597842078667156e+01,2.072756070059189781e+01,8.568052498820723173e+00,8.628408851168826388e+00
1.233607468326294532e+00,2.962125408291456097e+01,2.078411205370493420e+01,8.577713317643171465e+00,8.518680206675604438e+00
1.244721049122027079e+00,2.971663632562992774e+01,2.084072966279637029e+01,8.587225695285498617e+00,8.721514190605960337e+00
1.255834629917759404e+00,2.981212347870230772e+01,2.089741306677552046e+01,8.596588751243453785e+00,8.643905130316722918e+00
1.266948210713491729e+00,2.990771386432910361e+01,2.095416180288399488e+01,8.605801614837321978e+00,8.643420334127856819e+00
1.278061791509224276e+00,3.000340579713556366e+01,2.101097540669566399e+01,8.614863425323195045e+00,8.493140487505149494e+00
1.289175372304956602e+00,3.009919758417479230e+01,2.106785341211667628e+01,8.623773332003789704e+00,8.558770358799304034e+00
1.300288953100688927e+00,3.019508752492776438e+01,2.112479535138546183e+01,8.632530494338864102e+00,8.534432029782417217e+00
1.311402533896421252e+00,3.029107391130329674e+01,2.118180075507271809e+01,8.641134082055184962e+00,8.629745182096085543e+00
1.322516114692153799e+00,3.038715502763807308e+01,2.123886915208143122e+01,8.649583275256059522e+00,8.657426581234856755e+00
1.333629695487886124e+00,3.048332915069661908e+01,2.129600006964684766e+01,8.657877264530434047e+00,8.738751283651879476e+00
1.344743276283618449e+00,3.057959454967133439e+01,2.135319303333649898e+01,8.666015251061519820e+00,8.514708582943853798e+00
1.355856857079350775e+00,3.067594948618246420e+01,2.141044756705019481e+01,8.673996446734932420e+00,8.699901593727835447e+00
1.366970437875083322e+00,3.077239221427811700e+01,2.146776319302000857e+01,8.681820074246410002e+00,8.704215980774234751e+00
1.378084018670815647e+00,3.086892098043424681e+01,2.152513943181030243e+01,8.689485367208995115e+00,8.774127639494258446e+00
1.389197599466547972e+00,3.096553402355467810e+01,2.158257580231770945e+01,8.696991570259747562e+00,8.460134933908099342e+00
1.400311180262280297e+00,3.106222957497108439e+01,2.164007182177113364e+01,8.704337939165965210e+00,8.766089454360672661e+00
1.411424761058012844e+00,3.115900585844299542e+01,2.169762700573176417e+01,8.711523740930866566e+00,8.588263446279762903e+00
1.422538341853745170e+00,3.125586109015779712e+01,2.175524086809305402e+01,8.718548253898784850e+00,8.712215294291844714e+00
1.433651922649477495e+00,3.135279347873073874e+01,2.181291292108074842e+01,8.725410767859829164e+00,8.672308056164292012e+00
1.444765503445210042e+00,3.144980122520491506e+01,2.187064267525285288e+01,8.732110584153984334e+00,8.648929345134517277e+00
1.455879084240942367e+00,3.154688252305128771e+01,2.192842963949965451e+01,8.738647015774697380e+00,8.841327934590415438e+00
1.466992665036674692e+00,3.164403555816866387e+01,2.198627332104371490e+01,8.745019387471906214e+00,8.824404226906414905e+00
1.478106245832407017e+00,3.174125850888372113e+01,2.204417322543987723e+01,8.751227035854482139e+00,8.871743119157788016e+00
1.489219826628139565e+00,3.183854954595098619e+01,2.210212885657525561e+01,8.757269309492141218e+00,8.789128385298980106e+00
1.500333407423871890e+00,3.193590683255283480e+01,2.216013971666923510e+01,8.763145569016742797e+00,8.637599291668944801e+00
1.511446988219604215e+00,3.203332852429951316e+01,2.221820530627348944e+01,8.768855187222998282e+00,8.852734752606753688e+00
1.522560569015336540e+00,3.213081276922911655e+01,2.227632512427195266e+01,8.774397549168622135e+00,8.824370530663841805e+00
1.533674149811069087e+00,3.222835770780759646e+01,2.233449866788084748e+01,8.779772052273845162e+00,8.937188184848986694e+00
1.544787730606801412e+00,3.232596147292876765e+01,2.239272543264866400e+01,8.784978106420311406e+00,8.818047431669532088e+00
1.555901311402533738e+00,3.242362218991428335e+01,2.245100491245617391e+01,8.790015134049353307e+00,8.736413587344141973e+00
1.567014892198266063e+00,3.252133797651367786e+01,2.250933659951641985e+01,8.794882570259661136e+00,8.844177817453083179e+00
1.578128472993998610e+00,3.261910694290433099e+01,2.256771998437472249e+01,8.799579862904275629e+00,8.714250859498662294e+00
1.589242053789730935e+00,3.271692719169147523e+01,2.262615455590868052e+01,8.804106472686953566e+00,8.789293100867604736e+00
1.600355634585463260e+00,3.281479681790819569e+01,2.268463980132816360e+01,8.808461873257853014e+00,8.810619699184519149e+00
1.611469215381195808e+00,3.291271390901545146e+01,2.274317520617532296e+01,8.812645551308584402e+00,8.866767142974669724e+00
1.622582796176928133e+00,3.301067654490204006e+01,2.280176025432457720e+01,8.816657006666538621e+00,8.822897101360304362e+00
1.633696376972660458e+00,3.310868279788463298e+01,2.286039442798262655e+01,8.820495752388582744e+00,8.773719743303683316e+00
1.644809957768392783e+00,3.320673073270773301e+01,2.291907720768845280e+01,8.824161314853993687e+00,8.889069498065495623e+00
1.655923538564125330e+00,3.330481840654373116e+01,2.297780807231330158e+01,8.827653233856763038e+00,8.943249990792528692e+00
1.667037119359857655e+00,3.340294386957349104e+01,2.303658649915291079e+01,8.830971062748412592e+00,8.926257576424191598e+00
1.678150700155589981e+00,3.350110526875926098e+01,2.309541198055107714e+01,8.834114377495239978e+00,8.928845979758223805e+00
1.689264280951322306e+00,3.359930071343156754e+01,2.315428400289763289e+01,8.837082764421493764e+00,8.859527081646865199e+00
1.700377861747054853e+00,3.369752823153711319e+01,2.321320203929385428e+01,8.839875816960661936e+00,8.952217253249708406e+00
1.711491442542787178e+00,3.379578584978442279e+01,2.327216556217683419e+01,8.842493142918515403e+00,8.810066070520921500e+00
1.722605023338519503e+00,3.389407159364387923e+01,2.333117404331950340e+01,8.844934364506899627e+00,8.696151532119232641e+00
1.733718604134251828e+00,3.399238348734770909e+01,2.339022695383062711e+01,8.847199118376641636e+00,8.827402158653026021e+00
1.744832184929984376e+00,3.409071955388998276e+01,2.344932376415479780e+01,8.849287055649508460e+00,8.976963282612844708e+00
1.755945765725716701e+00,3.418907781502662857e+01,2.350846394407242812e+01,8.851197841949257850e+00,8.698861822184344561e+00
1.767059346521449026e+00,3.428745629127539729e+01,2.356764696269977932e+01,8.852931157431765286e+00,8.626717332669411320e+00
1.778172927317181351e+00,3.438585300191591188e+01,2.362687228848892573e+01,8.854486696814218405e+00,9.010400967790893390e+00
1.789286508112913898e+00,3.448426596498961771e+01,2.368613938922778672e+01,8.855864169403425024e+00,8.724996653974049110e+00
1.800400088908646223e+00,3.458269319729981817e+01,2.374544773204009829e+01,8.857063299123161926e+00,8.921531820272564417e+00
1.811513669704378549e+00,3.468113271441167456e+01,2.380479678338543792e+01,8.858083824540639029e+00,8.788502434546620279e+00
1.822627250500111096e+00,3.477958253065216354e+01,2.386418600905920684e+01,8.858925498892030959e+00,8.950840169900233789e+00
1.833740831295843421e+00,3.487804065911013396e+01,2.392361487419264066e+01,8.859588090107063607e+00,8.746231180897737545e+00
1.844854412091575746e+00,3.497650511163627129e+01,2.398308284325279871e+01,8.860071380832765797e+00,8.767003255497519021e+00
1.855967992887308071e+00,3.507497389884311190e+01,2.404258938004257828e+01,8.860375168456197770e+00,8.889128769185353107e+00
1.867081573683040618e+00,3.517344503010502876e+01,2.410213394770070749e+01,8.860499265126344781e+00,8.845970422413707013e+00
1.878195154478772944e+00,3.527191651355823865e+01,2.416171600870173108e+01,8.860443497775055022e+00,8.928302604441109125e+00
1.889308735274505269e+00,3.537038635610082338e+01,2.422133502485604595e+01,8.860207708137064486e+00,9.025885093991712793e+00
1.900422316070237594e+00,3.546885256339269432e+01,2.428099045730985850e+01,8.859791752769144324e+00,8.824445515825466657e+00
1.911535896865970141e+00,3.556731313985561371e+01,2.434068176654521665e+01,8.859195503068285404e+00,8.857339044071677492e+00
1.922649477661702466e+00,3.566576608867318754e+01,2.440040841237999913e+01,8.858418845288966281e+00,8.843954916609668260e+00
1.933763058457434791e+00,3.576420941179086554e+01,2.446016985396790844e+01,8.857461680559572059e+00,8.813310149471725197e+00
1.944876639253167117e+00,3.586264110991595544e+01,2.451996554979848142e+01,8.856323924897838040e+00,8.939914823689708356e+00
1.955990220048899664e+00,3.596105918251760158e+01,2.457979495769708933e+01,8.855005509225385651e+00,8.827455113693623900e+00
1.967103800844631989e+00,3.605946162782679210e+01,2.463965753482492360e+01,8.853506379381384406e+00,8.904259082591984509e+00
1.978217381640364314e+00,3.615784644283636595e+01,2.469955273767901360e+01,8.851826496135251077e+00,9.004216708602656993e+00
1.989330962436096861e+00,3.625621162330100589e+01,2.475948002209222309e+01,8.849965835198496222e+00,8.739610876145905038e+00
2.000444543231829186e+00,3.635455516373723839e+01,2.481943884323322891e+01,8.847924387235593713e+00,8.831960434805193216e+00
2.011558124027561512e+00,3.645287505742344791e+01,2.487942865560655648e+01,8.845702157873997606e+00,8.850413865088647469e+00
2.022671704823293837e+00,3.655116929639984136e+01,2.493944891305255496e+01,8.843299167713201570e+00,8.832328193816811890e+00
2.033785285619026162e+00,3.664943587146849779e+01,2.499949906874740080e+01,8.840715452332922553e+00,8.973311416875706215e+00
2.044898866414758487e+00,3.674767277219332584e+01,2.505957857520310128e+01,8.837951062300369642e+00,8.918659513956766816e+00
2.056012447210491256e+00,3.684587798690009208e+01,2.511968688426750163e+01,8.835006063176567892e+00,8.884910587613564559e+00
2.067126028006223581e+00,3.694404950267638554e+01,2.517982344712426723e+01,8.831880535521831277e+00,8.811792908322878759e+00
2.078239608801955907e+00,3.704218530537167453e+01,2.523998771429290144e+01,8.828574574900272864e+00,9.051636711151026304e+00
2.089353189597688232e+00,3.714028337959723558e+01,2.530017913562873133e+01,8.825088291883439240e+00,8.583183587926610514e+00
2.100466770393420557e+00,3.723834170872623162e+01,2.536039716032291835e+01,8.821421812053028333e+00,8.667827699859728341e+00
2.111580351189152882e+00,3.733635827489364090e+01,2.542064123690245481e+01,8.817575276002681761e+00,8.819900856208096940e+00
2.122693931984885207e+00,3.743433105899630675e+01,2.548091081323016382e+01,8.813548839338917418e+00,8.957371918138738565e+00
2.133807512780617976e+00,3.753225804069290206e+01,2.554120533650469227e+01,8.809342672681083286e+00,8.782663999056495641e+00
2.144921093576350302e+00,3.763013720634930337e+01,2.560152425440342938e+01,8.804956961787857139e+00,8.854073644460989101e+00
2.156034674372082627e+00,3.772796667837208417e+01,2.566186703374211930e+01,8.800391909327808904e+00,8.695486387484814728e+00
2.167148255167814952e+00,3.782574449214227741e+01,2.572223312845600063e+01,8.795647730873959347e+00,8.818680846292043185e+00
2.178261835963547277e+00,3.792346863487643560e+01,2.578262198506818947e+01,8.790724656081993160e+00,8.763822522481440558e+00
2.189375416759279602e+00,3.802113709946729614e+01,2.584303305041594712e+01,8.785622929584919305e+00,8.843969364668192057e+00
2.200488997555011927e+00,3.811874788448370310e+01,2.590346577165066577e+01,8.780342810927708186e+00,8.751449772296957974e+00
2.211602578350744253e+00,3.821629899417067122e+01,2.596391959623788992e+01,8.774884574501001566e+00,8.714417981573070904e+00
2.222716159146477022e+00,3.831378843844935034e+01,2.602439397195731274e+01,8.769248509473998254e+00,8.742456267177580287e+00
2.233829739942209347e+00,3.841121423291702541e+01,2.608488834690275837e+01,8.763434919726519112e+00,8.590631769880769042e+00
2.244943320737941672e+00,3.850857439884713074e+01,2.614540216948219964e+01,8.757444123780153689e+00,8.764808502875752083e+00
2.256056901533673997e+00,3.860586696318924993e+01,2.620593488841775454e+01,8.751276454728671439e+00,8.827202279197999601e+00
2.267170482329406322e+00,3.870308995856909462e+01,2.626648595274568621e+01,8.744932260167516347e+00,8.688906877854012833e+00
2.278284063125138648e+00,3.880024142328854708e+01,2.632705481181639584e+01,8.738411902122606989e+00,8.865014436428705125e+00
2.289397643920870973e+00,3.889731940132560339e+01,2.638764091529442624e+01,8.731715756978221776e+00,8.789528263986291279e+00
2.300511224716603298e+00,3.899432194233441606e+01,2.644824371315847600e+01,8.724844215404203851e+00,8.633961869993981963e+00
2.311624805512336067e+00,3.909124710164528693e+01,2.650886265570137468e+01,8.717797682282300897e+00,8.809176868557047513e+00
2.322738386308068392e+00,3.918809294026465295e+01,2.656949719353010053e+01,8.710576576631796186e+00,8.652509923220877752e+00
2.333851967103800717e+00,3.928485752487510041e+01,2.663014677756576987e+01,8.703181331534375786e+00,8.822815936555167937e+00
2.344965547899533043e+00,3.938153892783535071e+01,2.669081085904365125e+01,8.695612394058217731e+00,8.573475922399000027e+00
2.356079128695265368e+00,3.947813522718027457e+01,2.675148888951315485e+01,8.687870225181375972e+00,8.638093029309240833e+00
2.367192709490997693e+00,3.957464450662089206e+01,2.681218032083782177e+01,8.679955299714432471e+00,8.462745270214551141e+00
2.378306290286730018e+00,3.967106485554435125e+01,2.687288460519535249e+01,8.671868106222435202e+00,8.631301892858274982e+00
2.389419871082462787e+00,3.976739436901396374e+01,2.693360119507758910e+01,8.663609146946109618e+00,8.564550765386146125e+00
2.400533451878195113e+00,3.986363114776916206e+01,2.699432954329050105e+01,8.655178937722396881e+00,8.559972933688461794e+00
2.411647032673927438e+00,3.995977329822554935e+01,2.705506910295422429e+01,8.646578007904308194e+00,8.745318574001904821e+00
2.422760613469659763e+00,4.005581893247483549e+01,2.711581932750301505e+01,8.637806900280068589e+00,8.731191568085227672e+00
2.433874194265392088e+00,4.015176616828491518e+01,2.717657967068529601e+01,8.628866170991651430e+00,8.753561468056917150e+00
2.444987775061124413e+00,4.024761312909979694e+01,2.723734958656361016e+01,8.619756389452589929e+00,8.594924616120621863e+00
2.456101355856856738e+00,4.034335794403965281e+01,2.729812852951466695e+01,8.610478138265200698e+00,8.687316827943860176e+00
2.467214936652589063e+00,4.043899874790077575e+01,2.735891595422929967e+01,8.601032013137125176e+00,8.409774918671317323e+00
2.478328517448321833e+00,4.053453368115562228e+01,2.741971131571249742e+01,8.591418622797258209e+00,8.462631476560869004e+00
2.489442098244054158e+00,4.062996088995277688e+01,2.748051406928338736e+01,8.581638588911076226e+00,8.568739983098815571e+00
2.500555679039786483e+00,4.072527852611698762e+01,2.754132367057523822e+01,8.571692545995343693e+00,8.538981328652891278e+00
2.511669259835518808e+00,4.082048474714913056e+01,2.760213957553546393e+01,8.561581141332171185e+00,8.504044253520270047e+00
2.522782840631251133e+00,4.091557771622622397e+01,2.766296124042563065e+01,8.551305034882581424e+00,8.673806361236160001e+00
2.533896421426983459e+00,4.101055560220143548e+01,2.772378812182143193e+01,8.540864899199412719e+00,8.724786899954629860e+00
2.545010002222715784e+00,4.110541657960408202e+01,2.778461967661271714e+01,8.530261419339677076e+00,8.517287159895927218e+00
2.556123583018448553e+00,4.120015882863961565e+01,2.784545536200347726e+01,8.519495292776369411e+00,8.662235675953013470e+00
2.567237163814180878e+00,4.129478053518962355e+01,2.790629463551183420e+01,8.508567229309685231e+00,8.497950634245297508e+00
