M,r,m,v_orb
4.402899598617521854e+29,2.677287405182335898e+07,2.840871645857955455e+27,1.051022840204787906e+06
1.543832077532859654e+30,2.738357997431726009e+07,7.495016769992875577e+26,1.940189371783746872e+06
4.740481444962118531e+29,5.399238007027038373e+06,2.822399716333961011e+26,2.421908906759937759e+06
6.070689229520888688e+29,1.009952858167997934e+07,2.455078311960004093e+27,2.007036854303919710e+06
6.033213636835258323e+30,4.011611654128202703e+06,1.503284855953919610e+27,1.001613906052699685e+07
2.846526210270586538e+29,4.264596986433963478e+07,1.901071228827334932e+28,6.893669482756569050e+05
1.763495230287741310e+30,2.239985077629407495e+07,1.417312545055547126e+27,2.293081981578527018e+06
1.472416539427242951e+29,1.138648166734532453e+07,2.603159053773218036e+27,9.372191978991711512e+05
4.626880631380483501e+30,3.342661366061795037e+06,5.148102872065596475e+27,9.615874643471177667e+06
3.751427994740975128e+30,2.092331511890103295e+07,1.052629731953511273e+27,3.459402950614704750e+06
3.011195037241748158e+29,2.006200808653339744e+07,9.100507237051981985e+26,1.002386210924169631e+06
5.661981703471352578e+30,1.498410230625936203e+07,9.271934150987494621e+26,5.021351402772525325e+06
1.309592169482374095e+29,5.467972469687794894e+07,1.175342036852574857e+28,4.173608109727251576e+05
4.701474891667914332e+29,3.145906564839163329e+06,2.314225975446641326e+27,3.168080602854246274e+06
1.997831855962875526e+29,7.618129241729865968e+07,5.216201675062597677e+27,4.237845714461490861e+05
7.955706141643007979e+29,9.119460324025437236e+07,8.863757409540279228e+28,8.044222598541310290e+05
3.914249822693218279e+30,5.066255440241930075e+06,4.960926144362786916e+26,7.180278004516091198e+06
2.892573598871286074e+29,6.353657405598753691e+07,1.595389040727670369e+26,5.513696449745183345e+05
1.270698748322708936e+29,2.590003738828677684e+07,5.052981726919492093e+26,5.733629916758472100e+05
6.443230671751852010e+29,7.303290594895687699e+07,1.277468715108628826e+28,7.749028866232073633e+05
2.494744587200343658e+29,4.119739732205362618e+07,1.838342091881587209e+28,6.587352121361892205e+05
1.518819244225078820e+29,3.084433889814935252e+07,3.705537017745710926e+26,5.739707827288700501e+05
1.447653990998216782e+30,4.657754733317203820e+07,1.416009709053904494e+27,1.440931912004815647e+06
3.957238864092272372e+29,8.051803432059048675e+06,1.908780192031847956e+27,1.815623914901835378e+06
2.207952651476586808e+30,1.719113313129813969e+07,1.736448795733282609e+27,2.928777568825972266e+06
2.506287499128495988e+29,1.668282828487525508e+07,1.321303765701858013e+28,1.027396592202239903e+06
7.659955048084332245e+30,5.238375677217178047e+06,8.237925519399480640e+28,9.926483666357867420e+06
5.373043250973074584e+29,6.701763974300307222e+06,4.458950558642076906e+26,2.314418818815520965e+06
1.625513419334029849e+29,3.173694795577279758e+06,2.676390842972950363e+27,1.865360367937467061e+06
1.812242466564628747e+30,6.645654322627133876e+07,2.847731732593712748e+27,1.350104779749096371e+06
7.150050449800723280e+30,3.531094417784275487e+06,3.435081850799476360e+26,1.161914511114871874e+07
7.598962641886064859e+29,4.162911562854954973e+06,3.539952696704081841e+27,3.499649933443374932e+06
8.112990872598326869e+30,3.469315522509270161e+07,4.707755087102299710e+26,3.950212252943710890e+06
9.995203193841163114e+29,6.230813665615872294e+07,5.464237284606769473e+27,1.037522138154383749e+06
7.086915421096967899e+29,3.454330036364649236e+07,8.436704554635350827e+26,1.170835631657245103e+06
1.739509897028329765e+30,3.651680266456098855e+07,8.780571946399132179e+26,1.783448954802820925e+06
9.776716242072806173e+30,1.112365231321829930e+07,2.781328554519593755e+27,7.656694185325016268e+06
7.904735632366644037e+30,4.684459013977095485e+07,6.768066008254592201e+28,3.369915638676865492e+06
8.319366913037691763e+29,4.513049760246724635e+07,4.465871603790815853e+28,1.138556995620237896e+06
3.276858517813127217e+30,1.059222659854262695e+07,1.026177660529824581e+28,4.550524509266763926e+06
9.882012319599249156e+29,7.607993078941719234e+07,9.418985676153756940e+28,9.744231018829979002e+05
1.144522461965214751e+30,1.490347873243227415e+07,1.089163651773603250e+27,2.264978425265824888e+06
3.728819846339301382e+30,3.173051580970985815e+07,1.307607646482289848e+26,2.800416706309564877e+06
6.750123188717665391e+29,1.224686864217481017e+07,1.171000320092603306e+27,1.919646147385006538e+06
2.944198882863794367e+30,2.242320148271027952e+07,2.269740729896683364e+27,2.961214853304613847e+06
2.644147974840955672e+30,4.057367900357494131e+06,2.877180935381304777e+27,6.599180779383604415e+06
7.313400771209620649e+30,1.311395915875058621e+07,3.104076884908993574e+28,6.112087814558031969e+06
1.697716879207894983e+29,4.353561464655872434e+07,8.688623126368637399e+26,5.114611581592774019e+05
2.870980443278182883e+30,5.683947314613455534e+07,3.596034096119604223e+27,1.837146559048351366e+06
7.158925736252962768e+30,9.914377426047239453e+06,3.725464248788913266e+28,6.957765864925329573e+06
8.626852643381296555e+30,3.636289536981287412e+06,3.528909740541491085e+26,1.257391590076750703e+07
1.070071038265705869e+29,5.421757991788039915e+06,5.339026417222607347e+28,1.405489677158517996e+06
5.336790818661388898e+30,8.092632342538203113e+06,2.576842592057315113e+26,6.632678316042527556e+06
9.170438023677109799e+30,1.700963499452069402e+07,1.192300524131658527e+28,6.000723309889920987e+06
8.211459575535305769e+30,7.548788315801914781e+06,7.115838410536621209e+28,8.553269923530146480e+06
1.983937673655470357e+29,1.099413507639164478e+07,6.626027105511220065e+27,1.115663038173796842e+06
8.815716746874483858e+30,3.186164623950944282e+06,1.134733710969372731e+28,1.358680941624093801e+07
6.023807868567393233e+30,1.281814326615519263e+07,2.006988807834991088e+28,5.608471307154260576e+06
4.413139492972302435e+30,3.448943600399384648e+07,5.295122960713060757e+26,2.922279301859695464e+06
9.119601211802447637e+29,1.447930917661911249e+07,1.988064822241234254e+26,2.050476224676524056e+06
2.915720157349137581e+29,5.923656774963039905e+06,2.043050730820041522e+27,1.819148806235097582e+06
4.015699046024179825e+30,7.832425961722309887e+07,5.489410808553160967e+27,1.851016522073181579e+06
7.031699770378613044e+30,5.723692564575180411e+06,6.450925439035632509e+26,9.051219166515594348e+06
3.406124707212936287e+29,6.301990584184139967e+07,1.353320398057645074e+26,6.007174821995716775e+05
1.196379093591735378e+30,5.854256665715103038e+06,3.259051595153374504e+28,3.743461547030354384e+06
7.682554643764815620e+29,5.092447401915076189e+06,1.791823242590197365e+28,3.210540491836031433e+06
7.278378422250214139e+30,1.659267599805100448e+07,6.897347351308874823e+28,5.435080878885310143e+06
1.205095382459651812e+29,3.038710546401342005e+07,2.892038915205087965e+26,5.150889210792520898e+05
2.910800167986119866e+30,1.468759063771382347e+07,1.259037495186033482e+26,3.636642144323679619e+06
1.693349071249672627e+30,1.782279199470578507e+07,1.646552875992040537e+28,2.530270862813307438e+06
1.139543032926836911e+29,2.670446928063073754e+07,3.972077894644169930e+28,6.197355193715915084e+05
2.744350299822117845e+30,1.633693814251001552e+07,4.638644985010969218e+26,3.348388260940677952e+06
1.076424215132242192e+29,8.595968077988575399e+07,1.355325541025322167e+27,2.909072887501363293e+05
3.280212692268707135e+30,5.099933552849328145e+06,3.486963979365382444e+28,6.586088641028415412e+06
1.060516540699973493e+30,1.183265619921167567e+07,1.082541207100347451e+26,2.445876076028844342e+06
7.214536610367856596e+30,4.694964616571587510e+06,6.327609588071136954e+26,1.012222359245933965e+07
1.355704362142801639e+29,5.997591293436113745e+06,2.450724207938967001e+26,1.229601584314152133e+06
4.815424291375058674e+30,2.638550197864374146e+07,6.975038525994302151e+28,3.514884030492763035e+06
1.359502521857375518e+29,6.262862203071348369e+07,1.358150661565049455e+26,3.808147926993604051e+05
4.882249365044840477e+29,1.040871616243831068e+07,3.964820364238772934e+27,1.776558531436964637e+06
7.254332607688354503e+29,6.009205897479894757e+07,1.275744705042765822e+28,9.054549095028265147e+05
8.553112050573985449e+30,1.137709349750707857e+07,2.663768465105950226e+27,7.081909702451328747e+06
1.331875666708633166e+30,3.608243885132079571e+07,6.142108903983020526e+26,1.569895309229271021e+06
3.294042410270243987e+29,4.426352853812688030e+06,9.830364253837707493e+26,2.232697702631080989e+06
3.043346685336025382e+29,2.076289167691215873e+07,4.675803377009765596e+26,9.898337909942402039e+05
5.973606918604019885e+30,3.435289087447595783e+06,3.665839782585698557e+28,1.080222220844480768e+07
2.829689979214632137e+29,4.952106771203317679e+06,1.019770431179727862e+26,1.953730832054962637e+06
1.774636508188625291e+29,8.720759746244776994e+06,2.385355927358013459e+26,1.166273018416683655e+06
3.772780285337004401e+29,3.562864812167790718e+06,3.980454905810649251e+28,2.796631739873177372e+06
1.486778011818753951e+30,6.392847102140241116e+07,8.774504048238756311e+28,1.282081477199232904e+06
1.282865141104651739e+30,5.344075114286456257e+07,2.129365878768177104e+27,1.266784655063996324e+06
4.163145138447585994e+30,7.873644188045918941e+07,2.091526737072024705e+28,1.883180366203184472e+06
1.321149315266163350e+30,6.597150873213899322e+06,4.522751712474030443e+28,3.718146704502673354e+06
3.774352246720913494e+29,1.433944218829797767e+07,2.916441987244575308e+28,1.375687982824273640e+06
6.695649098822285299e+29,5.118006639634796232e+07,1.826100785697680098e+27,9.356825256421234226e+05
4.327548481187405561e+30,7.901766802602485754e+06,4.348896488827701152e+28,6.074952880258882418e+06
1.790659144230377996e+30,2.903595606306157634e+07,2.377696123920129662e+27,2.030058666173106758e+06
8.282382538517660156e+30,1.006717989788394608e+07,1.198625835117832584e+28,7.412486399219288491e+06
5.480356647659528731e+29,1.124827536586273089e+07,9.023954305378366025e+28,1.946113102624483407e+06
1.274157224539852423e+30,3.203551595345949009e+07,1.114960793092643394e+27,1.629942323300758842e+06
1.541162394010320263e+30,8.083964435442633927e+07,1.358454500382612077e+27,1.128475962126975413e+06
4.972587301179087938e+30,5.135756863883845508e+07,1.627951095281809485e+28,2.546065915869516321e+06
1.954101312223651093e+29,1.016605364840807952e+07,1.858311550533340741e+28,1.185342351163262967e+06
6.501606388680724145e+29,3.824097121517242864e+06,1.805256664072304843e+26,3.370394678015382029e+06
6.605685963226995026e+30,8.969619021349781752e+07,4.366261047746166079e+26,2.216981189027576707e+06
1.219365146078173892e+29,9.891016416347961873e+06,1.654189652984665500e+27,9.132629785036779940e+05
4.419901188615969010e+30,3.737622323638174683e+07,1.733924405165069362e+27,2.809704006997059565e+06
6.772797249246810682e+29,3.668566605254124384e+06,2.430904259612427793e+26,3.512400954678126611e+06
4.566757708900249352e+30,3.126560451110781636e+06,2.794381294091372587e+26,9.873163528077676892e+06
1.046909453864988050e+29,2.845701325528423861e+07,7.506821271956331455e+26,4.972875950490663527e+05
5.371459623088115934e+29,6.210921986690528691e+07,1.944508125855178963e+28,7.733603877719991142e+05
1.436349323996023071e+29,1.367531690015997179e+07,3.205458568785230951e+27,8.465683804180208826e+05
2.019431622647319937e+30,2.803761889642481878e+07,5.244459114978184829e+26,2.192705069256287068e+06
3.529378186622702552e+29,3.528627991804379225e+07,3.916318804453708255e+26,8.174859163842154667e+05
2.542752800605794279e+30,5.900343756849626452e+07,1.564479858218366797e+26,1.695939620596039807e+06
7.719743204770627280e+30,4.126470302046056371e+06,2.329914103947700842e+27,1.116886213352719694e+07
1.793222603621681412e+29,1.955021073370527476e+07,9.086214908145876841e+28,9.604037020953206811e+05
5.364837734769878184e+30,1.414754325269901752e+07,6.589155543676399459e+26,5.030163287722577341e+06
1.315007722301293758e+29,9.892186984673896804e+06,7.752830177403425721e+27,9.693491419397047721e+05
5.774854103218808258e+29,1.100633870533028059e+07,2.452478383067406629e+27,1.875325250410475535e+06
7.236825860817317790e+29,1.287648378082284890e+07,4.425245702592026577e+27,1.942666985547811724e+06
9.499463834226005807e+29,5.484105284228715114e+06,4.713457926104024267e+26,3.401448086533699185e+06
8.972730916422123382e+30,6.200535196103337407e+07,2.080053195838173167e+28,3.111067861203530803e+06
3.559445733787242278e+30,8.258647935502090491e+06,1.691696679077154147e+28,5.375302156988880597e+06
4.146815617088983647e+29,1.218568231984198280e+07,1.925321100125724597e+28,1.541679525886499556e+06
3.464763303641269753e+29,2.331934777074098960e+07,5.227246815710871667e+27,1.003288167298498796e+06
5.324028950551588435e+30,3.328054303403877467e+07,1.812680547678097006e+26,3.267305471836577170e+06
5.789143907634478649e+30,1.675489212007790431e+07,2.880690846457719714e+28,4.813215647601821460e+06
1.050541011083850407e+30,1.416450552226666734e+07,1.103173977098515168e+26,2.224948655105411541e+06
4.881929032931823354e+29,1.085102021764507890e+07,5.314684502242898744e+26,1.733830316970011918e+06
9.768653300514225102e+30,1.757267287694295123e+07,1.681109763616629134e+27,6.089826940516171977e+06
4.284371194680510186e+29,6.798417125130859204e+06,8.293785887821577245e+26,2.053089652863281080e+06
2.319662265912805766e+29,3.220874684801556636e+06,3.144047471396561691e+27,2.208708084931050893e+06
5.757000174355999428e+30,7.426684589676813781e+07,1.290297648642187100e+27,2.274700566263404209e+06
4.213769702885958669e+30,5.810689331213379279e+06,9.898761943768684611e+26,6.956433722991711460e+06
2.166600360849686913e+30,1.222002436294326186e+07,6.165929081486812368e+26,3.440227655744805001e+06
8.257094662746157854e+30,1.982811130622065440e+07,1.644574453769960822e+26,5.270816784824913368e+06
7.102792941424314704e+30,9.741659213783860207e+06,2.008535757884238894e+27,6.974458622764708474e+06
3.136873509025924898e+30,1.345223091188042238e+07,1.241261085815696667e+26,3.944705898784209508e+06
5.265053870212466777e+30,1.186954653196549416e+07,1.798822697384338669e+26,5.440022144334641285e+06
3.120997930174933663e+29,1.469299436712804995e+07,3.446625792043978302e+26,1.191336110192831373e+06
1.916430675460985380e+29,4.442478766825448722e+07,9.132617582007819180e+26,5.378484569312338717e+05
2.188384845451637856e+30,1.882315119084248319e+07,8.540977450587595836e+28,2.839249930304842535e+06
2.686810725598809012e+30,6.329316344193460047e+07,2.430308401088567541e+28,1.690748923730028328e+06
2.158270414932837230e+29,3.189817898268160969e+07,1.155978173965761287e+26,6.721727824242895003e+05
6.181794249422681159e+29,1.832183474125097319e+07,1.588896658508567061e+28,1.519771213694315637e+06
6.614721022497836561e+30,9.632374988929497078e+06,3.194094179811837671e+26,6.768019507500393316e+06
1.326788000512627287e+30,3.934549646381801460e+06,3.059265848558688277e+26,4.745971665986800566e+06
1.434405130286773242e+30,8.986722919809276238e+06,2.023996876918870647e+28,3.286795373737180140e+06
2.444891247357786240e+29,2.655058373238943890e+07,3.978717081704672947e+26,7.845873827870249515e+05
1.127312953246374850e+30,1.697703997634822503e+07,1.907683172994202037e+27,2.106913752163617406e+06
1.113959636512835464e+30,4.758100044403919019e+06,5.395752249419756346e+27,3.963213823258382734e+06
1.506160592673431956e+29,2.220694543283276632e+07,1.648840441180205912e+28,7.086759233359206701e+05
9.202066898862674093e+30,8.362114318061592057e+06,1.388341281496235149e+28,8.572063037216624245e+06
1.389284533644062335e+30,7.694005104289028794e+06,1.380950245452677530e+27,3.473277960189535283e+06
1.029953849957448389e+29,8.859868807066289708e+06,3.489140746968793599e+27,8.956975471074745292e+05
3.509929573394910130e+30,3.336991030548795313e+07,8.125924645621271885e+26,2.649674534121562727e+06
9.047559079473945873e+30,3.078352583693601564e+07,1.054674110048565306e+28,4.430828618086566217e+06
1.512655589975638840e+30,4.034319381512426306e+06,1.843412521874239493e+27,5.006702475079129450e+06
4.358763169586781159e+29,6.219065179185453802e+06,2.519659788771018468e+28,2.224757088656643406e+06
2.371457967377239257e+29,2.448982470828082040e+07,9.982129596412181582e+28,9.582903106879817788e+05
2.213366170551768941e+30,4.070615465143943671e+06,1.275543392043061495e+27,6.026702135628769174e+06
2.455923285960549233e+29,4.347268028763978183e+07,1.587207332680724583e+27,6.160153098933480214e+05
1.430130882683302434e+30,4.055871150317886472e+07,2.661156758740304520e+28,1.548231379795042565e+06
1.601320829136715246e+30,5.623391934424408711e+06,8.245218738139117382e+26,4.360928561248892918e+06
8.410971981226669827e+30,9.532572425113931298e+07,8.798623095686240842e+26,2.426681993899960071e+06
1.394859713337546999e+29,5.120915190200787038e+07,4.159196819557760492e+27,4.326785879928870127e+05
9.998748561540491101e+29,4.516819352270969190e+06,1.291726264950778745e+27,3.847121998247170821e+06
3.077478011312809203e+30,6.824396158729712665e+07,2.154962139785175035e+26,1.734856118643836584e+06
2.261796256585352315e+29,8.283034894188177772e+06,7.671119775908934800e+26,1.352387640015581157e+06
5.972187904237933506e+29,1.579551271558991075e+07,9.849320043756669687e+28,1.714529220196929760e+06
1.335952438182149668e+29,4.887113016615432687e+06,2.123751458856971424e+27,1.361811351543198572e+06
2.829838999626415504e+30,1.438222296402895451e+07,3.508386326231605322e+28,3.645899634436373133e+06
1.498082647384634228e+29,5.315397196016152948e+07,2.418829286495247587e+26,4.340541615268060123e+05
6.168554650264171604e+29,2.179786790939065441e+07,2.120644387559570916e+27,1.376648438556805486e+06
5.585284016243741597e+30,3.890994275431359652e+06,2.182274570682278347e+26,9.785014678992196918e+06
8.802391356573150655e+29,9.211632392484048381e+06,1.496517579627413029e+28,2.546837014265805017e+06
6.687193148866479431e+30,2.018176017263039201e+07,9.733652362085415802e+26,4.702133514534628950e+06
3.402782851412619569e+30,1.435503143009352684e+07,5.015936082589015285e+28,4.006306260533057153e+06
6.770923705680033493e+30,1.631907047296586260e+07,1.167091308055168836e+27,5.261609702732081525e+06
1.798067611155503159e+29,9.773174518577165902e+07,9.745157348350508204e+28,4.351284455975560122e+05
1.403220144185629430e+29,1.697955596021737531e+07,3.375562254562981357e+27,7.515605187827716582e+05
1.382459786168908524e+29,9.365873299830469489e+07,8.516479481084184702e+28,3.989982880312430789e+05
5.466490386673734467e+30,3.682588723635604605e+06,1.891136128704970854e+27,9.952372080700984225e+06
1.854129051388517769e+30,6.721772451544088125e+07,8.531768409093026455e+26,1.357110227568475995e+06
9.843360426164842725e+29,1.292005376204856858e+07,2.332670845393027126e+28,2.281495552889760584e+06
2.123669023760506158e+29,6.098994083153241873e+07,1.302611750509027259e+27,4.835432329090350540e+05
2.225701279442689740e+30,7.549787346035207808e+07,1.011689904818524396e+27,1.402979423966524890e+06
4.325484655294280519e+29,1.996730612348307669e+07,4.555744356749786651e+28,1.264149241748151369e+06
2.640947248724259077e+30,4.301131210459874012e+06,7.684511312865529506e+27,6.411209644963315688e+06
8.331259418613943280e+29,1.084569894884655066e+07,2.501585253083717107e+27,2.267669743701994885e+06
1.034998501689348560e+30,3.852199561638921499e+06,1.918973413417233380e+28,4.275158149005811661e+06
3.796045986081302683e+30,5.282122944146490842e+07,8.154121903382570038e+26,2.190206202619693708e+06
1.532819268231183926e+29,9.298605798632583022e+07,3.231758729078894650e+26,3.320373830118888873e+05
1.437199331905104231e+30,3.251275208433101326e+07,3.302118061282548699e+28,1.737200169093226781e+06
2.480104010268551589e+29,1.142966141524586827e+07,5.522602968670007093e+26,1.204797470219889423e+06
4.133077069304634226e+30,4.062203785336970538e+07,3.882755835768878079e+26,2.605834090204063803e+06
9.499310253927762009e+29,9.892386705724921823e+07,9.837980574274017414e+26,8.009610136385374935e+05
9.492719907066372066e+30,1.568125158000798896e+07,2.439143273601820413e+26,6.354339710969489068e+06
2.322130642289297444e+29,4.201082528396738693e+06,4.198571355248224630e+28,2.087932033864087425e+06
8.434090955426334346e+30,2.391430276377165318e+07,2.483389952584704812e+27,4.851406691208431497e+06
3.997919758417107521e+30,6.038195899631213397e+07,2.894441213718993843e+26,2.102118222903714050e+06
9.173202762184603682e+29,3.395184537232986838e+07,2.994197326678833873e+27,1.345010967136864550e+06
4.237094287041046511e+30,4.846590718464337289e+07,1.765773527646340051e+27,2.415904193050179165e+06
1.605823504763543681e+30,1.563413659259657748e+07,2.331964883960268661e+27,2.620044374204794411e+06
2.042876572362210892e+30,4.537772866576573998e+07,1.017495248031963558e+26,1.733382053769227117e+06
6.720189588011098368e+30,2.642947870384613425e+07,9.387512258338729938e+26,4.119201621988577768e+06
1.350643810832765940e+29,5.550356822200982831e+06,3.272268881186410540e+28,1.420730532277648104e+06
4.677097333045711667e+30,5.548149829690545052e+07,4.588424150494514983e+27,2.373016772076192778e+06
5.802692542351031596e+29,1.006874172633617744e+07,1.889979247085175124e+28,1.992959035532866139e+06
4.478073651478622021e+29,3.195472624292820692e+07,3.208916001336973935e+27,9.705579260541816475e+05
9.728671572627640657e+30,1.350407292325835489e+07,3.274633639725970422e+26,6.931677237229481339e+06
3.650740839574096566e+30,7.564570206320372224e+07,1.941950208922857193e+26,1.794700238560114987e+06
9.355570537977882632e+29,1.118198763299157098e+07,4.803199379222812198e+26,2.363665426360229962e+06
7.002559261114397861e+29,5.012206157468967140e+06,1.729934187405732028e+28,3.091734112731629517e+06
5.689286595719404549e+30,1.145137363826866820e+07,2.403007660631467245e+27,5.758237163008419797e+06
1.491522277585829358e+29,5.670764753452100791e+06,5.774833123556393084e+26,1.327764895609396975e+06
2.611184227754112472e+30,6.324284844307409227e+07,4.236098816694393095e+26,1.660092162659601774e+06
3.787121577178470744e+30,1.340779840251543745e+07,3.563563340105410099e+28,4.361667063854706474e+06
3.966365751574667293e+30,1.738378242603240535e+07,1.117421656898012040e+28,3.907363563671103679e+06
4.411369635182280233e+29,5.318607230915404856e+07,1.034145769349741003e+26,7.440993251119385241e+05
3.919930485592861785e+30,6.867549350708246231e+07,8.136568444475111779e+28,1.971875268628486898e+06
2.822649047569850509e+29,3.197879444901219010e+07,2.150030215845303461e+28,7.962182390776127577e+05
5.304151266054742136e+29,2.295238323372856900e+07,2.673608828788570852e+28,1.272818098119616508e+06
6.837482446604635711e+29,2.881921737120218948e+07,1.904651839144954853e+26,1.258516127500300063e+06
1.210096395352246906e+30,5.311283776264623553e+07,8.986005070449631938e+27,1.237671876912422013e+06
1.679683016708680269e+29,1.013199433473687060e+07,1.336219547675010786e+27,1.056106284083751263e+06
6.514717699313943258e+29,5.750382005979777873e+07,1.961108692806449033e+27,8.708502667414044263e+05
1.001385688295664479e+29,9.694602993309940398e+07,1.721297545189883983e+27,2.648071666445335723e+05
3.081494895761399569e+30,1.172790286681536399e+07,1.861227452666710473e+27,4.188464928724031430e+06
5.055356934606061456e+30,4.917080783163058758e+07,1.391683245472198059e+26,2.619375719901907258e+06
1.896109255864278877e+29,5.388226594046924263e+07,2.159999022185811517e+26,4.848968393009128631e+05
2.556062910172910721e+30,1.555219568736542016e+07,3.863528184592040595e+28,3.336678625697416253e+06
4.387389350890356424e+30,4.868543115440941602e+07,1.399252507862711877e+26,2.452354109604481142e+06
9.197221497083236564e+30,3.637903408467771485e+06,1.126209603672162127e+28,1.298659196669250913e+07
4.870584975456962282e+30,4.258884442747115158e+06,5.565456429324805894e+28,8.784269443631116301e+06
7.050387236303300394e+29,3.408612631502066273e+06,6.351358300448154915e+27,3.734120314953395166e+06
9.107043626260145559e+30,6.110365583990956098e+07,1.173053750121339362e+27,3.153849755307024810e+06
8.870923002812402236e+30,1.200785643278576992e+07,2.559030741327702294e+26,7.019316975236337632e+06
1.017077292824274898e+30,3.933980570547915250e+07,2.840196706095827781e+28,1.331774079535137163e+06
3.212869436276327200e+30,8.466692344117265195e+06,1.888773658003967859e+27,5.033429589809932746e+06
6.724737484791773134e+30,6.044878326684188843e+07,3.910609547836332532e+27,2.725443661321327090e+06
8.959713938549723923e+29,8.784056137998167425e+06,3.340180791228124425e+27,2.614075812022225000e+06
5.340383952331279786e+30,3.359317668437553942e+07,4.422386541186152291e+28,3.270461449905677233e+06
2.530096769596946446e+30,7.218143785423162580e+07,1.514054768072979587e+28,1.534039790125843603e+06
3.871225875403262680e+29,1.292162285526041500e+07,6.256924674812645485e+27,1.425452335576711223e+06
3.430082296161187559e+30,5.863831786796972156e+07,7.728458460916859613e+28,1.997927598364537349e+06
1.384744254008466127e+30,3.464595718791535497e+07,2.165848823888033060e+28,1.645942719390064944e+06
1.540601466272624389e+29,4.324981048766130581e+06,9.786463194353881945e+26,1.547343132220055442e+06
6.064023178213647987e+29,1.272161115966469795e+07,1.954898749998452222e+27,1.786528588088951074e+06
