t,R,C,dR_dt
1.020204040808161627e+00,4.443690798139027009e+01,1.378765588633053518e+01,-2.870789139687950353e-01
1.040208041608321698e+00,4.442907033034741460e+01,1.390525665830889679e+01,-4.967517059654049660e-01
1.060212042408481770e+00,4.441702508126661542e+01,1.402382296916547055e+01,-7.077506529959869397e-01
1.080216043208641841e+00,4.440074591275158156e+01,1.414335573196881057e+01,-9.200554039398340933e-01
1.100220044008801912e+00,4.438020691064058099e+01,1.426385564596055566e+01,-1.133645568194474151e+00
1.120224044808961761e+00,4.435538256800646906e+01,1.438532319655543645e+01,-1.348500720339121273e+00
1.140228045609121832e+00,4.432624778515670272e+01,1.450775865534126829e+01,-1.564600403987874699e+00
1.160232046409281903e+00,4.429277786963329078e+01,1.463116208007895303e+01,-1.781924134802007842e+00
1.180236047209441974e+00,4.425494855246905956e+01,1.475553325332914056e+01,-2.000451294626731880e+00
1.200240048009602045e+00,4.421273599386434938e+01,1.488087158410458777e+01,-2.220160958412311203e+00
1.220244048809762116e+00,4.416611670581475835e+01,1.500717639028609796e+01,-2.441032391531162915e+00
1.240248049609921965e+00,4.411506763228089767e+01,1.513444668438520146e+01,-2.663044674192263983e+00
1.260252050410082036e+00,4.405956615522268294e+01,1.526268115436497652e+01,-2.886176666936727031e+00
1.280256051210242108e+00,4.399959009459935544e+01,1.539187816364004746e+01,-3.110407008869625400e+00
1.300260052010402179e+00,4.393511770836948216e+01,1.552203575107658651e+01,-3.335714114897445626e+00
1.320264052810562250e+00,4.386612769249094157e+01,1.565315163099231555e+01,-3.562076171932865520e+00
1.340268053610722099e+00,4.379259918092094495e+01,1.578522319315650257e+01,-3.789471134027856181e+00
1.360272054410882170e+00,4.371451174561600084e+01,1.591824750278996348e+01,-4.017876716393516290e+00
1.380276055211042241e+00,4.363184539653197191e+01,1.605222130056506558e+01,-4.247270388263920893e+00
1.400280056011202312e+00,4.354458058162401812e+01,1.618714100260571698e+01,-4.477629364558939784e+00
1.420284056811362383e+00,4.345269818684662511e+01,1.632300270048737900e+01,-4.708930596299310878e+00
1.440288057611522454e+00,4.335617963127724295e+01,1.645980200991663267e+01,-4.941150501903212700e+00
1.460292058411682303e+00,4.325500679892618905e+01,1.659753412575442866e+01,-5.174265047004393381e+00
1.480296059211842374e+00,4.314916196081415478e+01,1.673619397695640387e+01,-5.408249997086045369e+00
1.500300060012002445e+00,4.303862792314028951e+01,1.687577602667155574e+01,-5.643080564764265006e+00
1.520304060812162517e+00,4.292338802776605888e+01,1.701627427153633931e+01,-5.878731393768163116e+00
1.540308061612322588e+00,4.280342615221520930e+01,1.715768224167467793e+01,-6.115176542646278079e+00
1.560312062412482659e+00,4.267872670967381055e+01,1.729999300069796675e+01,-6.352389466940103091e+00
1.580316063212642508e+00,4.254927464899023448e+01,1.744319914570506214e+01,-6.590342999763389997e+00
1.600320064012802579e+00,4.241505545467513372e+01,1.758729280728228161e+01,-6.829009330722573878e+00
1.620324064812962650e+00,4.227605514690149136e+01,1.773226564950341810e+01,-7.068359983109850475e+00
1.640328065613122721e+00,4.213226028150456415e+01,1.787810886992972215e+01,-7.308365789296981774e+00
1.660332066413282792e+00,4.198365799117759423e+01,1.802481316352664820e+01,-7.548996805577051106e+00
1.680336067213442863e+00,4.183023619597044274e+01,1.817236851962226751e+01,-7.790221952524152726e+00
1.700340068013602712e+00,4.167198322996527793e+01,1.832076453850491760e+01,-8.032009499812009068e+00
1.720344068813762783e+00,4.150888810051047528e+01,1.846999023482638336e+01,-8.274326718058880203e+00
1.740348069613922855e+00,4.134094054705941090e+01,1.862003398866323778e+01,-8.517139767161442165e+00
1.760352070414082926e+00,4.116813104117047573e+01,1.877088354551684901e+01,-8.760413661870636304e+00
1.780356071214242997e+00,4.099045078650703999e+01,1.892252601631335907e+01,-9.004112235095877992e+00
1.800360072014403068e+00,4.080789171883746036e+01,1.907494787740371578e+01,-9.248198098842461690e+00
1.820364072814562917e+00,4.062044650603511542e+01,1.922813497056364440e+01,-9.492632602680362908e+00
1.840368073614722988e+00,4.042810854807835597e+01,1.938207250299366535e+01,-9.737375789636523393e+00
1.860372074414883059e+00,4.023087197705054052e+01,1.953674504731909067e+01,-9.982386349395543590e+00
1.880376075215043130e+00,4.002873190477713194e+01,1.969213638930147070e+01,-1.022762133345367630e+01
1.900380076015203201e+00,3.982168432805404734e+01,1.984822956146272688e+01,-1.047303615306699243e+01
1.920384076815363272e+00,3.960972595420358289e+01,2.000500696514824384e+01,-1.071858471588834760e+01
1.940388077615523121e+00,3.939285454940533526e+01,2.016245017274491147e+01,-1.096421906645374733e+01
1.960392078415683192e+00,3.917106893970609605e+01,2.032053992708530998e+01,-1.120988932682071137e+01
1.980396079215843264e+00,3.894436901101990145e+01,2.047925614144772766e+01,-1.145554363486830241e+01
2.000400080016003113e+00,3.871275570912797548e+01,2.063857789955613953e+01,-1.170112807919971587e+01
2.020404080816163184e+00,3.847623103967877256e+01,2.079848345558021805e+01,-1.194658663049689196e+01
2.040408081616323255e+00,3.823479806818797044e+01,2.095895023413534375e+01,-1.219186106916526313e+01
2.060412082416483326e+00,3.798846092137029018e+01,2.111995482969384952e+01,-1.243689090824146604e+01
2.080416083216643397e+00,3.773722521592907952e+01,2.128147280923914764e+01,-1.268161302616476860e+01
2.100420084016803468e+00,3.748109773356861751e+01,2.144347883549955114e+01,-1.292596175971202399e+01
2.120424084816963539e+00,3.722008644095581786e+01,2.160594667904315358e+01,-1.316986883886143644e+01
2.140428085617123610e+00,3.695420086377943392e+01,2.176884905900169898e+01,-1.341326306819162539e+01
2.160432086417283681e+00,3.668345208675005864e+01,2.193215764307060311e+01,-1.365607023414115417e+01
2.180436087217443752e+00,3.640785275360013884e+01,2.209584304750892159e+01,-1.389821300772351620e+01
2.200440088017603824e+00,3.612741706708396094e+01,2.225987483713938175e+01,-1.413961084250023958e+01
2.220444088817763451e+00,3.584216078897768654e+01,2.242422152534834723e+01,-1.438017986759716393e+01
2.240448089617923522e+00,3.555210124007927419e+01,2.258885057408586761e+01,-1.461983277553201788e+01
2.260452090418083593e+00,3.525725751252875995e+01,2.275372832010942048e+01,-1.485847860569572632e+01
2.280456091218243664e+00,3.495765090337629033e+01,2.291881980375354289e+01,-1.509602238916997763e+01
2.300460092018403735e+00,3.465330415753309978e+01,2.308408903139208945e+01,-1.533236537608193117e+01
2.320464092818563806e+00,3.434424223243323127e+01,2.324949873481540763e+01,-1.556740458924618409e+01
2.340468093618723877e+00,3.403049236237522734e+01,2.341501034986824337e+01,-1.580103266320443112e+01
2.360472094418883948e+00,3.371208405852214440e+01,2.358058401644977664e+01,-1.603313770618671796e+01
2.380476095219044019e+00,3.338904910890153843e+01,2.374617857851360014e+01,-1.626360315627318087e+01
2.400480096019204090e+00,3.306142157840550055e+01,2.391175158406771573e+01,-1.649230763152082702e+01
2.420484096819364161e+00,3.272923780879061439e+01,2.407725928517455927e+01,-1.671912477379886397e+01
2.440488097619524233e+00,3.239253664788390097e+01,2.424265657744368951e+01,-1.694392301455901162e+01
2.460492098419683860e+00,3.205136011254698758e+01,2.440789680097341119e+01,-1.716656516629880613e+01
2.480496099219843931e+00,3.170575240152068375e+01,2.457293199702150588e+01,-1.738690855646491329e+01
2.500500100020004002e+00,3.135576086638324966e+01,2.473771268369580056e+01,-1.760480459960270849e+01
2.520504100820164073e+00,3.100143612148516326e+01,2.490218782856706881e+01,-1.782009859121790640e+01
2.540508101620324144e+00,3.064283204394910953e+01,2.506630484866900943e+01,-1.803262952837694044e+01
2.560512102420484215e+00,3.028000577366998769e+01,2.523000961049825364e+01,-1.824222992494481943e+01
2.580516103220644286e+00,2.991301771331490755e+01,2.539324643001438275e+01,-1.844872562138407801e+01
2.600520104020804357e+00,2.954193152832320024e+01,2.555595807263989983e+01,-1.865193558903225934e+01
2.620524104820964428e+00,2.916681468080032857e+01,2.571808565049315476e+01,-1.885167163618442387e+01
2.640528105621124499e+00,2.878773880227296900e+01,2.587956851078092768e+01,-1.904773809002010054e+01
2.660532106421284571e+00,2.840477890148037687e+01,2.604034440379360049e+01,-1.923993176012200124e+01
2.680536107221444198e+00,2.801801450540203575e+01,2.620034929993053296e+01,-1.942804159813181997e+01
2.700540108021604269e+00,2.762752968868808168e+01,2.635951738451725035e+01,-1.961184850438810301e+01
2.720544108821764340e+00,2.723341307365934227e+01,2.651778105780543271e+01,-1.979112513932696871e+01
2.740548109621924411e+00,2.683575783030731543e+01,2.667507093497291137e+01,-1.996563573584244367e+01
2.760552110422084482e+00,2.643466167629416574e+01,2.683131584612368314e+01,-2.013513591337976294e+01
2.780556111222244553e+00,2.603022692196900678e+01,2.698644283197399574e+01,-2.029937249479915451e+01
2.800560112022404624e+00,2.562256173134347037e+01,2.714037699205739429e+01,-2.045808329650547108e+01
2.820564112822564695e+00,2.521177909404077866e+01,2.729304153405557187e+01,-2.061099691018155511e+01
2.840568113622724766e+00,2.479799750166612782e+01,2.744435777822966216e+01,-2.075783266257327497e+01
2.860572114422884837e+00,2.438134152713686476e+01,2.759424511453075013e+01,-2.089830052813032424e+01
2.880576115223044908e+00,2.396194182468248002e+01,2.774262100259986141e+01,-2.103210104413299675e+01
2.900580116023204980e+00,2.353993512984461489e+01,2.788940097176796939e+01,-2.115892524850882950e+01
2.920584116823364607e+00,2.311546425947707206e+01,2.803449862105599166e+01,-2.127845464380466112e+01
2.940588117623524678e+00,2.268867811174576232e+01,2.817782561917479711e+01,-2.139036119118139823e+01
2.960592118423684749e+00,2.225973224358059355e+01,2.831929172293191854e+01,-2.149430747584258583e+01
2.980596119223844820e+00,2.182878959421864806e+01,2.845880468060029500e+01,-2.158994682116528807e+01
3.000600120024004891e+00,2.139601955938239186e+01,2.859627025245581677e+01,-2.167692329821501218e+01
3.020604120824164962e+00,2.096159907107485409e+01,2.873159236154078044e+01,-2.175487235600092006e+01
3.040608121624325033e+00,2.052571263157492609e+01,2.886467309644258705e+01,-2.182342113979930431e+01
3.060612122424485104e+00,2.008855231343733649e+01,2.899541271129374209e+01,-2.188218888096143644e+01
3.080616123224645175e+00,1.965031775949267612e+01,2.912370962577185196e+01,-2.193078737869061001e+01
3.100620124024805246e+00,1.921121618284737309e+01,2.924946042509962751e+01,-2.196882158537896146e+01
3.120624124824965318e+00,1.877146253996375336e+01,2.937255994339574627e+01,-2.199589045777104701e+01
3.140628125625125389e+00,1.833128040710908735e+01,2.949290146922854561e+01,-2.201158830167026537e+01
3.160632126425285016e+00,1.789090139625877995e+01,2.961037654369394900e+01,-2.201550539093961589e+01
3.180636127225445087e+00,1.745056530970343545e+01,2.972487538536059759e+01,-2.200722969514498573e+01
3.200640128025605158e+00,1.701052018312432423e+01,2.983628692583000941e+01,-2.198634829066283203e+01
3.220644128825765229e+00,1.657102228559332602e+01,2.994449880973659006e+01,-2.195244893021509824e+01
3.240648129625925300e+00,1.613233611948894719e+01,3.004939739485728012e+01,-2.190512185000770273e+01
3.260652130426085371e+00,1.569473424271014750e+01,3.015086813653084263e+01,-2.184396218920304378e+01
3.280656131226245442e+00,1.525849756360540432e+01,3.024879561892087310e+01,-2.176857246147684677e+01
3.300660132026405513e+00,1.482391474510567342e+01,3.034306385175209897e+01,-2.167856526213508062e+01
3.320664132826565584e+00,1.439128176753997046e+01,3.043355669405076114e+01,-2.157356642117707324e+01
3.340668133626725655e+00,1.396090192863537283e+01,3.052015785414463167e+01,-2.145321820550610425e+01
3.360672134426885727e+00,1.353308582174799746e+01,3.060275090268506304e+01,-2.131718292423892436e+01
3.380676135227045354e+00,1.310815026446068288e+01,3.068121999892803586e+01,-2.116514708825805258e+01
3.400680136027205425e+00,1.268641881965004536e+01,3.075544974628119022e+01,-2.099682585773304311e+01
3.420684136827365496e+00,1.226821994559166740e+01,3.082532608832297782e+01,-2.081196761195990064e+01
3.440688137627525567e+00,1.185388608071503569e+01,3.089073680976807523e+01,-2.061035881632160738e+01
3.460692138427685638e+00,1.144375364360354297e+01,3.095157153646739800e+01,-2.039182932224805711e+01
3.480696139227845709e+00,1.103816289519871319e+01,3.100772179997079903e+01,-2.015625814033260355e+01
3.500700140028005780e+00,1.063745541103329018e+01,3.105908229648684582e+01,-1.990357893181746363e+01
3.520704140828165851e+00,1.024197437875365679e+01,3.110555080708224551e+01,-1.963378640924707952e+01
3.540708141628325922e+00,9.852061396649261837e+00,3.114702950141242610e+01,-1.934694149738259483e+01
3.560712142428485993e+00,9.468055475683124556e+00,3.118342537859966868e+01,-1.904317722810609226e+01
3.580716143228646065e+00,9.090293039491839977e+00,3.121465026723311453e+01,-1.872270526474587626e+01
3.600720144028806136e+00,8.719105965067194930e+00,3.124062161192120612e+01,-1.838582141687326299e+01
3.620724144828965763e+00,8.354819305380477346e+00,3.126126346582713111e+01,-1.803291055827844858e+01
3.640728145629125834e+00,7.997749552965959907e+00,3.127650704659594183e+01,-1.766445112291272679e+01
3.660732146429285905e+00,7.648201071990397892e+00,3.128629206654554551e+01,-1.728101741885993903e+01
3.680736147229445976e+00,7.306466071591205313e+00,3.129056674296393226e+01,-1.688328376851084656e+01
3.700740148029606047e+00,6.972824126485305030e+00,3.128928796197986628e+01,-1.647202781938687366e+01
3.720744148829766118e+00,6.647537223761035285e+00,3.128242297292328544e+01,-1.604812827384807150e+01
3.740748149629926189e+00,6.330848486671079911e+00,3.126994976842074792e+01,-1.561256420953797885e+01
3.760752150430086260e+00,6.022980389855827177e+00,3.125185764159397195e+01,-1.516641236270463011e+01
3.780756151230246331e+00,5.724133366296114467e+00,3.122814758433829496e+01,-1.471084311386950816e+01
3.800760152030406402e+00,5.434483405513706344e+00,3.119883292050688439e+01,-1.424711322275130065e+01
3.820764152830566474e+00,5.154180394211701710e+00,3.116393973902690817e+01,-1.377655730809928158e+01
3.840768153630726545e+00,4.883347027061487822e+00,3.112350710855323044e+01,-1.330057802379163689e+01
3.860772154430886172e+00,4.622077300777592157e+00,3.107758728972628859e+01,-1.282063351781852845e+01
3.880776155231046243e+00,4.370435550212704356e+00,3.102624586330941270e+01,-1.233822369330302493e+01
3.900780156031206314e+00,4.128455875452244683e+00,3.096956162703753179e+01,-1.185487522624142898e+01
3.920784156831366385e+00,3.896141696518175213e+00,3.090762637972495241e+01,-1.137212518674029127e+01
3.940788157631526456e+00,3.673465676318386830e+00,3.084054469726514114e+01,-1.089150403307077042e+01
3.960792158431686527e+00,3.460370127803875651e+00,3.076843332881810866e+01,-1.041451846369825596e+01
3.980796159231846598e+00,3.256767583693614299e+00,3.069142068032526183e+01,-9.942634127028638247e+00
4.000800160032006225e+00,3.062541781974630783e+00,3.060964606339938143e+01,-9.477258991680042044e+00
4.020804160832166296e+00,2.877549068114712227e+00,3.052325878954937366e+01,-9.019727931450489677e+00
4.040808161632326367e+00,2.701619849497298720e+00,3.043241730161211223e+01,-8.571288219917663653e+00
4.060812162432486438e+00,2.534560656623553676e+00,3.033728801517279905e+01,-8.133087509010326954e+00
4.080816163232646510e+00,2.376156056741700606e+00,3.023804430799710019e+01,-7.706163069386919418e+00
4.100820164032806581e+00,2.226171123837031640e+00,3.013486524871075645e+01,-7.291434140656872565e+00
4.120824164832966652e+00,2.084353701157085403e+00,3.002793448361950723e+01,-6.889695902290124963e+00
4.140828165633126723e+00,1.950437050427211716e+00,2.991743896212063802e+01,-6.501616602337613848e+00
4.160832166433286794e+00,1.824142309874257517e+00,2.980356778293729292e+01,-6.127736528129677396e+00
4.180836167233446865e+00,1.705181086819687719e+00,2.968651101801960479e+01,-5.768469608055072584e+00
4.200840168033606936e+00,1.593257961493154351e+00,2.956645858099658142e+01,-5.424107003643555913e+00
4.220844168833767007e+00,1.488072840893701843e+00,2.944359921459723139e+01,-5.094822376842737199e+00
4.240848169633927078e+00,1.389323313058021148e+00,2.931811947224624504e+01,-4.780679044053710136e+00
4.260852170434087149e+00,1.296706707907772094e+00,2.919020286767022654e+01,-4.481637983028576855e+00
4.280856171234247221e+00,1.209922091730510241e+00,2.906002906501689864e+01,-4.197567064120286240e+00
4.300860172034407292e+00,1.128672037642128423e+00,2.892777317469901632e+01,-3.928250803277839154e+00
4.320864172834567363e+00,1.052664157913348664e+00,2.879360517994482649e+01,-3.673400324262023009e+00
4.340868173634727434e+00,9.816125070309829059e-01,2.865768941822025440e+01,-3.432663600557193551e+00
4.360872174434887505e+00,9.152387303960697329e-01,2.852018418499857688e+01,-3.205635375114003871e+00
4.380876175235047576e+00,8.532730207222212204e-01,2.838124143286676926e+01,-2.991866731037438942e+00
4.400880176035207647e+00,7.954549222226464655e-01,2.824100653272564543e+01,-2.790874257798488411e+00
4.420884176835367718e+00,7.415339218978290736e-01,2.809961813514193807e+01,-2.602148474227178099e+00
4.440888177635526901e+00,6.912698858966811466e-01,2.795720810230522702e+01,-2.425161562783901825e+00
4.460892178435686972e+00,6.444333714052484785e-01,2.781390148828534237e+01,-2.259374417184265127e+00
4.480896179235847043e+00,6.008057802880677478e-01,2.766981659089529799e+01,-2.104242826294230539e+00
4.500900180036007114e+00,5.601793990453012295e-01,2.752506505215843546e+01,-1.959222886808472897e+00
4.520904180836167185e+00,5.223573573420227101e-01,2.737975198718705272e+01,-1.823775720820497659e+00
4.540908181636327257e+00,4.871534823408779635e-01,2.723397615761965440e+01,-1.697371413137988228e+00
4.560912182436487328e+00,4.543920780862544251e-01,2.708783017508397606e+01,-1.579492263137790120e+00
4.580916183236647399e+00,4.239076631586651822e-01,2.694140071543732162e+01,-1.469635470858436710e+00
4.600920184036807470e+00,3.955446501251607128e-01,2.679476875536181524e+01,-1.367315223138801050e+00
4.620924184836967541e+00,3.691569812564818309e-01,2.664800982489352421e+01,-1.272064251253844702e+00
4.640928185637127612e+00,3.446077520055921828e-01,2.650119425821589303e+01,-1.183434991239732392e+00
4.660932186437287683e+00,3.217688108138300751e-01,2.635438745066186428e+01,-1.101000339782702175e+00
4.680936187237447754e+00,3.005203376423081219e-01,2.620765012196536858e+01,-1.024354044319548240e+00
4.700940188037607825e+00,2.807504291351057835e-01,2.606103857026872461e+01,-9.531108492524507092e-01
4.720944188837767896e+00,2.623546829591875684e-01,2.591460492206934774e+01,-8.869064033705622574e-01
4.740948189637927968e+00,2.452357755502105052e-01,2.576839738236853350e+01,-8.253969377455274703e-01
4.760952190438088039e+00,2.293030571011076546e-01,2.562246047177323760e+01,-7.682588180713765258e-01
4.780956191238248110e+00,2.144721586362600962e-01,2.547683525413671646e+01,-7.151879784426893316e-01
4.800960192038408181e+00,2.006646010979409034e-01,2.533155956107741602e+01,-6.658992258360341143e-01
4.820964192838568252e+00,1.878074269346856062e-01,2.518666820190833988e+01,-6.201255015210679344e-01
4.840968193638728323e+00,1.758328491863153931e-01,2.504219316231174730e+01,-5.776171003871111154e-01
4.860972194438888394e+00,1.646779069067918766e-01,2.489816379842153538e+01,-5.381408278731415473e-01
4.880976195239048465e+00,1.542841454038504645e-01,2.475460701589617685e+01,-5.014791676029752843e-01
4.900980196039207648e+00,1.445973140789709177e-01,2.461154743847411552e+01,-4.674294480269725605e-01
4.920984196839367719e+00,1.355670724439776709e-01,2.446900757145566629e+01,-4.358029884577013235e-01
4.940988197639527790e+00,1.271467218263714893e-01,2.432700795022363849e+01,-4.064242889883827869e-01
4.960992198439687861e+00,1.192929510335119098e-01,2.418556728077253482e+01,-3.791302342332724673e-01
4.980996199239847932e+00,1.119655915469758151e-01,2.404470257467334449e+01,-3.537693036078263242e-01
5.001000200040008004e+00,1.051273978685269006e-01,2.390442926972080073e+01,-3.302008423825119054e-01
5.021004200840168075e+00,9.874383600703015573e-02,2.376476134611180768e+01,-3.082943445081041678e-01
5.041008201640328146e+00,9.278288453720784368e-02,2.362571143545351404e+01,-2.879287650729785986e-01
5.061012202440488217e+00,8.721485650800157863e-02,2.348729091810781355e+01,-2.689918907152218375e-01
5.081016203240648288e+00,8.201222538736258061e-02,2.334951001844946106e+01,-2.513797186110804383e-01
5.101020204040808359e+00,7.714946724526830502e-02,2.321237789093510528e+01,-2.349958836559982167e-01
5.121024204840968430e+00,7.260291581976009712e-02,2.307590269916973824e+01,-2.197511247918041977e-01
5.141028205641128501e+00,6.835062139134626125e-02,2.294009169291558692e+01,-2.055627644114418340e-01
5.161032206441288572e+00,6.437222789110717824e-02,2.280495127491316154e+01,-1.923542451956994359e-01
5.181036207241448643e+00,6.064885286562389510e-02,2.267048706636680322e+01,-1.800546787635957935e-01
5.201040208041608714e+00,5.716297780927676736e-02,2.253670396657614461e+01,-1.685984292924579131e-01
5.221044208841768786e+00,5.389834957387996256e-02,2.240360620657969193e+01,-1.579247342244974872e-01
5.241048209641928857e+00,5.083988290916114511e-02,2.227119740225914057e+01,-1.479773330849010193e-01
5.261052210442088928e+00,4.797357732211326997e-02,2.213948059945338187e+01,-1.387041430797272823e-01
5.281056211242248999e+00,4.528643416584281906e-02,2.200845831918855566e+01,-1.300569403125095835e-01
5.301060212042409070e+00,4.276638333825181354e-02,2.187813259745626482e+01,-1.219910738594826849e-01
5.321064212842569141e+00,4.040221514925756985e-02,2.174850502233872263e+01,-1.144651995707320902e-01
5.341068213642729212e+00,3.818351473884936537e-02,2.161957676968650333e+01,-1.074410261106595182e-01
5.361072214442888395e+00,3.610060609451790081e-02,2.149134863354538894e+01,-1.008830929176637997e-01
5.381076215243048466e+00,3.414449454916326093e-02,2.136382105753029492e+01,-9.475854851495904563e-02
5.401080216043208537e+00,3.230681949837705541e-02,2.123699416046726540e+01,-8.903696185000847807e-02
5.421084216843368608e+00,3.057980527271222590e-02,2.111086776325516112e+01,-8.369013274237804834e-02
5.441088217643528679e+00,2.895622028781879784e-02,2.098544141100568794e+01,-7.869192926668035215e-02
5.461092218443688751e+00,2.742933576568746049e-02,2.086071439563251673e+01,-7.401812778833240236e-02
5.481096219243848822e+00,2.599288987916810803e-02,2.073668577530271051e+01,-6.964627146494008214e-02
5.501100220044008893e+00,2.464105347146776370e-02,2.061335439319427820e+01,-6.555553643854378221e-02
5.521104220844168964e+00,2.336839844328518837e-02,2.049071889467312957e+01,-6.172660848863209537e-02
5.541108221644329035e+00,2.216986925910452086e-02,2.036877774287700404e+01,-5.814157106443237910e-02
5.561112222444489106e+00,2.104075524258585544e-02,2.024752923379061897e+01,-5.478379831486886870e-02
5.581116223244649177e+00,1.997666670096198346e-02,2.012697150929928114e+01,-5.163786090104124232e-02
5.601120224044809248e+00,1.897351086105341506e-02,2.000710257029443184e+01,-4.868943386562357700e-02
5.621124224844969319e+00,1.802747164908911209e-02,1.988792028773008980e+01,-4.592521685921382296e-02
5.641128225645129390e+00,1.713498899344482324e-02,1.976942241389478028e+01,-4.333285536279021799e-02
5.661132226445289461e+00,1.629274146958427719e-02,1.965160659190944870e+01,-4.090087254984325904e-02
5.681136227245449533e+00,1.549762872836718541e-02,1.953447036528607583e+01,-3.861860253270742865e-02
5.701140228045609604e+00,1.474675631842992281e-02,1.941801118624785616e+01,-3.647613147386553900e-02
