Ar,M,M_noisy
1.038615723144628911e+00,6.602859525982395228e-01,6.587670776232965597e-01
1.039011802360472192e+00,6.601960901965849837e-01,6.619773344119423975e-01
1.039407881576315251e+00,6.601526102243882033e-01,6.628261110872352146e-01
1.039803960792158533e+00,6.600627839353596649e-01,6.610253288490594015e-01
1.040200040008001592e+00,6.599729615667377924e-01,6.575182708845668245e-01
1.040596119223844873e+00,6.599295010524887095e-01,6.621244579038449984e-01
1.040992198439687932e+00,6.598397151492910728e-01,6.583353950938899413e-01
1.041388277655531214e+00,6.597962723418925313e-01,6.624337541967565413e-01
1.041784356871374273e+00,6.597065231485157444e-01,6.564911608978833968e-01
1.042180436087217554e+00,6.596167781856256962e-01,6.623601797950120496e-01
1.042576515303060614e+00,6.595733552761375851e-01,6.595131649122911721e-01
1.042972594518903895e+00,6.594836473792786702e-01,6.557374007082754641e-01
1.043368673734746954e+00,6.594402424678831309e-01,6.584985440519826039e-01
1.043764752950590236e+00,6.593505718836700780e-01,6.595128787199847631e-01
1.044160832166433295e+00,6.593071850899467901e-01,6.601255591074401963e-01
1.044556911382276576e+00,6.592175520658739574e-01,6.562709876910510776e-01
1.044952990598119635e+00,6.591279237167146920e-01,6.558058045752190868e-01
1.045349069813962917e+00,6.590845574487469438e-01,6.596833110472881678e-01
1.045745149029805976e+00,6.589949670207467802e-01,6.575947181701073951e-01
1.046141228245649035e+00,6.589516191655259147e-01,6.596581360007165440e-01
1.046537307461492317e+00,6.588620669084198633e-01,6.611406254758549483e-01
1.046933386677335376e+00,6.587725196442306697e-01,6.538261575451778107e-01
1.047329465893178657e+00,6.587291927651411916e-01,6.594923571146940056e-01
1.047725545109021716e+00,6.586396840363392124e-01,6.623136249389464103e-01
1.048121624324864998e+00,6.585963758678412550e-01,6.577037953347298904e-01
1.048517703540708057e+00,6.585069059264183622e-01,6.560744621767056195e-01
1.048913782756551338e+00,6.584636165906980754e-01,6.607203480722368960e-01
1.049309861972394398e+00,6.583741856895407585e-01,6.591345252381651809e-01
1.049705941188237679e+00,6.582847602368729900e-01,6.609724094492056556e-01
1.050102020404080738e+00,6.582414925197669353e-01,6.572058453896131303e-01
1.050498099619924020e+00,6.581521064767523743e-01,6.537066516555857243e-01
1.050894178835767079e+00,6.581088578941685086e-01,6.577788256000347555e-01
1.051290258051610360e+00,6.580195115159730435e-01,6.566820270569393436e-01
1.051686337267453419e+00,6.579301709123427377e-01,6.602561423784855110e-01
1.052082416483296701e+00,6.578869444093510266e-01,6.584678429544824629e-01
1.052478495699139760e+00,6.577976438434641748e-01,6.529050961461588809e-01
1.052874574914983041e+00,6.577544367795584712e-01,6.541689475392489239e-01
1.053270654130826101e+00,6.576651765088765700e-01,6.603165436186383408e-01
1.053666733346669382e+00,6.576219890088939035e-01,6.596612840611474349e-01
1.054062812562512441e+00,6.575327692917880551e-01,6.556120391940626346e-01
1.054458891778355722e+00,6.574435558161725313e-01,6.574404094264706400e-01
1.054854970994198782e+00,6.574003910531640571e-01,6.587371117144925625e-01
1.055251050210042063e+00,6.573112185090299597e-01,6.587164315165717765e-01
1.055647129425885122e+00,6.572680736184761674e-01,6.598968002068191785e-01
1.056043208641728404e+00,6.571789422665128555e-01,6.579483991481774874e-01
1.056439287857571463e+00,6.570898174903376798e-01,6.568053324734322018e-01
1.056835367073414744e+00,6.570466958085274811e-01,6.562701516141639102e-01
1.057231446289257804e+00,6.569576126060279186e-01,6.601248410076276940e-01
1.057627525505101085e+00,6.569145111080723076e-01,6.501619482828366881e-01
1.058023604720944144e+00,6.568254697422722943e-01,6.564095037669982480e-01
1.058419683936787425e+00,6.567823885557042551e-01,6.568813888676564572e-01
1.058815763152630485e+00,6.566933892905522097e-01,6.524173424079416916e-01
1.059211842368473766e+00,6.566043970796736629e-01,6.576028379190878015e-01
1.059607921584316825e+00,6.565613397743931268e-01,6.546074967370629771e-01
1.060004000800160107e+00,6.564723900507353216e-01,6.590597244396825261e-01
1.060400080016003166e+00,6.564293533722782570e-01,6.560525771201752843e-01
1.060796159231846447e+00,6.563404464021468376e-01,6.583479061245152142e-01
1.061192238447689506e+00,6.562974304796367342e-01,6.599539612951503820e-01
1.061588317663532788e+00,6.562085665302703763e-01,6.573573552784107710e-01
1.061984396879375847e+00,6.561197101204967463e-01,6.534925466902281599e-01
1.062380476095219128e+00,6.560767187607722262e-01,6.515337628656583391e-01
1.062776555311062188e+00,6.559879057634545596e-01,6.612480581160036230e-01
1.063172634526905469e+00,6.559449354791883069e-01,6.556110588996257871e-01
1.063568713742748528e+00,6.558561661639454865e-01,6.537904713210425101e-01
1.063964792958591810e+00,6.558132170858668175e-01,6.562459883500493252e-01
1.064360872174434869e+00,6.557244917232589732e-01,6.551502577318110143e-01
1.064756951390278150e+00,6.556357743924675630e-01,6.581922011851055743e-01
1.065153030606121209e+00,6.555928505677152129e-01,6.556946351150264585e-01
1.065549109821964491e+00,6.555041775864184350e-01,6.555454263372736401e-01
1.065945189037807550e+00,6.554612752914800167e-01,6.533175361283811711e-01
1.066341268253650831e+00,6.553726469326408566e-01,6.567813512288833699e-01
1.066737347469493891e+00,6.553297662998662787e-01,6.522281661328013236e-01
1.067133426685337172e+00,6.552411828373978508e-01,6.572388511566897851e-01
1.067529505901180231e+00,6.551526079059437624e-01,6.597244204449141947e-01
1.067925585117023513e+00,6.551097532261677125e-01,6.505356951118702602e-01
1.068321664332866572e+00,6.550212235931632820e-01,6.476225358991093417e-01
1.068717743548709853e+00,6.549783909033318752e-01,6.568290271687948767e-01
1.069113822764552912e+00,6.548899068451153882e-01,6.625336002915647171e-01
1.069509901980396194e+00,6.548470962792145578e-01,6.518443217325988748e-01
1.069905981196239253e+00,6.547586580730831995e-01,6.510065707966772308e-01
1.070302060412082534e+00,6.546702289042090062e-01,6.564371357055504008e-01
1.070698139627925594e+00,6.546274450001992040e-01,6.521052802300242313e-01
1.071094218843768875e+00,6.545390620907586277e-01,6.530209856389483924e-01
1.071490298059611934e+00,6.544963006426542940e-01,6.534519482426029979e-01
1.071886377275454993e+00,6.544079642723923396e-01,6.560039705312676883e-01
1.072282456491298275e+00,6.543652254158301984e-01,6.531493183316507967e-01
1.072678535707141556e+00,6.542769358654594303e-01,6.551105843856999122e-01
1.073074614922984615e+00,6.541886558657035167e-01,6.536590560890227497e-01
1.073470694138827675e+00,6.541459443892335690e-01,6.516119310782787499e-01
1.073866773354670956e+00,6.540577116220372966e-01,6.530982328488076361e-01
1.074262852570514015e+00,6.540150230733180470e-01,6.511638240778142572e-01
1.074658931786357297e+00,6.539268378218643374e-01,6.539463827794735895e-01
1.075055011002200356e+00,6.538841723381987325e-01,6.505125736555018578e-01
1.075451090218043637e+00,6.537960348866465043e-01,6.505173517787607995e-01
1.075847169433886696e+00,6.537079075062517397e-01,6.580787929521675350e-01
1.076243248649729978e+00,6.536652701302766433e-01,6.535057174693605919e-01
1.076639327865573037e+00,6.535771909678225189e-01,6.534154848914064395e-01
1.077035407081416318e+00,6.535345769973824881e-01,6.550691862571353941e-01
1.077431486297259378e+00,6.534465463395205953e-01,6.521839753318739996e-01
1.077827565513102659e+00,6.534039559135995656e-01,6.527183498111650550e-01
1.078223644728945718e+00,6.533159740479663746e-01,6.545914202539621085e-01
1.078619723944789000e+00,6.532280027812885637e-01,6.540752503080217162e-01
1.079015803160632059e+00,6.531854412001419918e-01,6.497075510193447423e-01
1.079411882376475340e+00,6.530975191491527054e-01,6.555975469391617239e-01
1.079807961592318399e+00,6.530549814573188838e-01,6.512836766274517908e-01
1.080204040808161681e+00,6.529671089121699135e-01,6.497988720612273283e-01
1.080600120024004740e+00,6.529245952503291983e-01,6.502231700403320325e-01
1.080996199239848021e+00,6.528367725021654300e-01,6.516651364690995152e-01
1.081392278455691081e+00,6.527489608880800986e-01,6.576308616519492833e-01
1.081788357671534362e+00,6.527064768176713550e-01,6.491798691029090351e-01
1.082184436887377421e+00,6.526187154295020054e-01,6.530989431071050344e-01
1.082580516103220702e+00,6.525762557382317475e-01,6.461627826639599892e-01
1.082976595319063762e+00,6.524885448696611245e-01,6.524838440702255271e-01
1.083372674534907043e+00,6.524461096999205623e-01,6.551448089523486118e-01
1.083768753750750102e+00,6.523584496456330539e-01,6.516484596794487327e-01
1.084164832966593384e+00,6.523160391402986757e-01,6.504279743686486315e-01
1.084560912182436443e+00,6.522284301959824226e-01,6.529229633881580286e-01
1.084956991398279724e+00,6.521408330876805604e-01,6.542412883411324875e-01
1.085353070614122784e+00,6.520984531507590942e-01,6.540894258638113579e-01
1.085749149829966065e+00,6.520109075884507055e-01,6.579283291502401321e-01
1.086145229045809124e+00,6.519685526707192924e-01,6.525960550877281108e-01
1.086541308261652405e+00,6.518810589526589094e-01,6.501038286534001065e-01
1.086937387477495465e+00,6.518387291987238763e-01,6.514607916287639133e-01
1.087333466693338746e+00,6.517512876241782216e-01,6.515337919873187555e-01
1.087729545909181805e+00,6.516638584377589805e-01,6.519900705881933600e-01
1.088125625125025087e+00,6.516215600210787384e-01,6.515314765813904341e-01
1.088521704340868146e+00,6.515341834197810877e-01,6.520560812364697423e-01
1.088917783556711427e+00,6.514919105261216536e-01,6.464793603442763326e-01
1.089313862772554486e+00,6.514045868118009119e-01,6.538934736799210112e-01
1.089709941988397768e+00,6.513623395875136612e-01,6.496381217807505326e-01
1.090106021204240827e+00,6.512750690630457751e-01,6.477555929737046636e-01
1.090502100420084108e+00,6.511878114863690614e-01,6.531010649652934097e-01
1.090898179635927168e+00,6.511455963780388156e-01,6.550975744001971135e-01
1.091294258851770449e+00,6.510583924384560905e-01,6.525374768869544040e-01
1.091690338067613508e+00,6.510162033632016509e-01,6.514996813047382318e-01
1.092086417283456790e+00,6.509290533661996614e-01,6.481323924500838052e-01
1.092482496499299849e+00,6.508868904721318849e-01,6.595015924855723854e-01
1.092878575715143130e+00,6.507997947242261105e-01,6.534405705862106339e-01
1.093274654930986189e+00,6.507576581599546772e-01,6.473397741489257395e-01
1.093670734146829471e+00,6.506706169686917729e-01,6.483317032199725771e-01
1.094066813362672530e+00,6.505835894589351298e-01,6.508445272046508023e-01
1.094462892578515811e+00,6.505414860290759105e-01,6.458772926330879072e-01
1.094858971794358871e+00,6.504545135305020986e-01,6.509604047515336056e-01
1.095255051010202152e+00,6.504124367999427614e-01,6.490352221328045124e-01
1.095651130226045211e+00,6.503255196227373247e-01,6.540043314236859695e-01
1.096047209441888493e+00,6.502834697418657939e-01,6.531699337327505628e-01
1.096443288657731552e+00,6.501966081972535560e-01,6.420627518849492121e-01
1.096839367873574833e+00,6.501097609113161147e-01,6.502348686693980584e-01
1.097235447089417892e+00,6.500677449663911922e-01,6.452153424678200855e-01
1.097631526305260952e+00,6.499809537733329812e-01,6.533098677710785784e-01
1.098027605521104233e+00,6.499389650521664175e-01,6.504432826595498707e-01
1.098423684736947514e+00,6.498522302658730210e-01,6.514974466224340288e-01
1.098819763952790574e+00,6.498102689206454174e-01,6.466148947342355013e-01
1.099215843168633633e+00,6.497235908560500262e-01,6.552088815700365387e-01
1.099611922384476914e+00,6.496816570394494672e-01,6.557418771409008196e-01
1.100008001600320195e+00,6.495950360125349876e-01,6.464007228846563313e-01
1.100404080816163255e+00,6.495084300006631617e-01,6.506268753662620696e-01
1.100800160032006314e+00,6.494665311679995723e-01,6.474466238828290310e-01
1.101196239247849595e+00,6.493799826615350712e-01,6.493092728509528566e-01
1.101592318463692655e+00,6.493381117374799061e-01,6.455412007998062585e-01
1.101988397679535936e+00,6.492516210550938194e-01,6.548530575988357194e-01
1.102384476895378995e+00,6.492097781941461587e-01,6.463022396608981701e-01
1.102780556111222277e+00,6.491233456555673964e-01,6.482350942105749025e-01
1.103176635327065336e+00,6.490369287270559839e-01,6.505413775203875426e-01
1.103572714542908617e+00,6.489951216748548468e-01,6.470524396396064581e-01
1.103968793758751676e+00,6.489087633637338204e-01,6.481908260745369299e-01
1.104364872974594958e+00,6.488669847592745121e-01,6.471760652199936015e-01
1.104760952190438017e+00,6.487806853879823921e-01,6.483803031234735004e-01
1.105157031406281298e+00,6.487389353875896436e-01,6.452273074822887367e-01
1.105553110622124358e+00,6.486526952796309864e-01,6.473387310528241345e-01
1.105949189837967639e+00,6.486109740401460044e-01,6.479902952660092641e-01
1.106345269053810698e+00,6.485247935200934011e-01,6.475236155086809831e-01
1.106741348269653979e+00,6.484386293895747500e-01,6.486086992542561269e-01
1.107137427485497039e+00,6.483969450369219123e-01,6.475176383788517898e-01
1.107533506701340320e+00,6.483108409754719803e-01,6.505704752007901437e-01
1.107929585917183379e+00,6.482691857743805297e-01,6.472995979970230795e-01
1.108325665133026661e+00,6.481831421093086076e-01,6.477731933204209369e-01
1.108721744348869720e+00,6.481415162184630541e-01,6.461471722104754623e-01
1.109117823564713001e+00,6.480555332781543498e-01,6.464759887578086506e-01
1.109513902780556061e+00,6.480139368567604530e-01,6.442204584843013171e-01
1.109909981996399342e+00,6.479280149706780900e-01,6.494843697333120280e-01
1.110306061212242401e+00,6.478421102667687448e-01,6.444145562138112737e-01
1.110702140428085682e+00,6.478005518274425611e-01,6.455629826328775911e-01
1.111098219643928742e+00,6.477147086665787645e-01,6.487924426226123753e-01
1.111494298859772023e+00,6.476731800934371064e-01,6.488809001912706487e-01
1.111890378075615082e+00,6.475873988078454380e-01,6.463870545548302537e-01
1.112286457291458364e+00,6.475459002619552429e-01,6.414881028304888488e-01
1.112682536507301423e+00,6.474601811849479693e-01,6.487217210468346762e-01
1.113078615723144704e+00,6.473744799137195471e-01,6.481531702903957637e-01
1.113474694938987763e+00,6.473330202119251808e-01,6.430958765655098164e-01
1.113870774154831045e+00,6.472473816441248751e-01,6.495583478925083254e-01
1.114266853370674104e+00,6.472059523710985696e-01,6.451026529697982959e-01
1.114662932586517385e+00,6.471203768428226422e-01,6.437418124943626863e-01
1.115059011802360445e+00,6.470789781615061687e-01,6.473661702943989127e-01
1.115455091018203726e+00,6.469934660099445622e-01,6.464580547157469104e-01
1.115851170234046785e+00,6.469520980838092683e-01,6.475599700867826769e-01
1.116247249449890067e+00,6.468666496472476046e-01,6.420494054722742927e-01
1.116643328665733126e+00,6.467812198328802831e-01,6.522179101816973912e-01
1.117039407881576407e+00,6.467398918770229654e-01,6.449319160333917278e-01
1.117435487097419466e+00,6.466545262802900762e-01,6.420355483548008113e-01
1.117831566313262748e+00,6.466132294873147002e-01,6.484697560530161553e-01
1.118227645529105807e+00,6.465279284493117284e-01,6.454635160590082021e-01
1.118623724744949088e+00,6.464866629845816837e-01,6.474612384419003996e-01
1.119019803960792148e+00,6.464014268475070102e-01,6.453826015556318740e-01
1.119415883176635429e+00,6.463162099749610867e-01,6.461369888935213357e-01
1.119811962392478488e+00,6.462749853669073064e-01,6.470123038981232533e-01
1.120208041608321770e+00,6.461898339040531569e-01,6.439498752521044533e-01
1.120604120824164829e+00,6.461486410368105782e-01,6.481848598243892257e-01
1.121000200040008110e+00,6.460635553286766530e-01,6.446538550314380167e-01
1.121396279255851169e+00,6.460223943695140303e-01,6.434133329370026466e-01
1.121792358471694451e+00,6.459373747622395578e-01,6.461684720277071081e-01
1.122188437687537510e+00,6.458962458789637706e-01,6.472313697144368438e-01
1.122584516903380791e+00,6.458112927198003117e-01,6.451240546949443821e-01
1.122980596119223851e+00,6.457263596657777383e-01,6.431388003045390711e-01
1.123376675335066910e+00,6.456852727968345196e-01,6.475446294957604154e-01
1.123772754550910191e+00,6.456004067076079878e-01,6.403194203312396748e-01
1.124168833766753473e+00,6.455593523334030026e-01,6.424667599252964489e-01
1.124564912982596532e+00,6.454745535590791228e-01,6.455931222306793282e-01
1.124960992198439591e+00,6.454335318493413798e-01,6.413503536544261641e-01
1.125357071414282872e+00,6.453488007411467553e-01,6.454327835338942165e-01
1.125753150630126154e+00,6.453078118661472740e-01,6.451432225120918851e-01
1.126149229845969213e+00,6.452231487764298334e-01,6.479193681430043261e-01
1.126545309061812272e+00,6.451385066462400619e-01,6.423941355908001638e-01
1.126941388277655554e+00,6.450975609611342421e-01,6.432198413902092682e-01
1.127337467493498613e+00,6.450129873740995112e-01,6.460125324282025572e-01
1.127733546709341894e+00,6.449720749489243898e-01,6.375993841783069715e-01
1.128129625925184953e+00,6.448875702602724358e-01,6.541876971570161903e-01
1.128525705141028235e+00,6.448466912672374818e-01,6.427507390758522288e-01
1.128921784356871294e+00,6.447622558333248044e-01,6.425727506751481855e-01
1.129317863572714575e+00,6.446778420311718438e-01,6.472612245638830197e-01
1.129713942788557635e+00,6.446370071532981916e-01,6.445175116289911799e-01
1.130110022004400916e+00,6.445526631368470039e-01,6.392143772807362678e-01
1.130506101220243975e+00,6.445118621212923005e-01,6.463926442615701706e-01
1.130902180436087257e+00,6.444275882497977337e-01,6.469937217517953698e-01
1.131298259651930316e+00,6.443868212707219989e-01,6.430369824502941700e-01
1.131694338867773597e+00,6.443026179045747703e-01,6.434578168296987144e-01
1.132090418083616656e+00,6.442618851366884725e-01,6.457198389284666273e-01
1.132486497299459938e+00,6.441777526374167229e-01,6.414514118876734061e-01
1.132882576515302997e+00,6.440936426491165046e-01,6.454088083417371946e-01
1.133278655731146278e+00,6.440529552042139061e-01,6.446508507355473983e-01
1.133674734946989338e+00,6.439689166218678373e-01,6.419441187745400512e-01
1.134070814162832619e+00,6.439282638247700863e-01,6.397519582033345253e-01
1.134466893378675678e+00,6.438442970128281928e-01,6.431674795205449824e-01
1.134862972594518959e+00,6.438036790402118514e-01,6.411774122654313457e-01
1.135259051810362019e+00,6.437197843642684658e-01,6.467240150413089417e-01
1.135655131026205300e+00,6.436359128910664751e-01,6.440681689965662704e-01
1.136051210242048359e+00,6.435953411920849465e-01,6.459415947597646479e-01
1.136447289457891641e+00,6.435115424003398088e-01,6.439154082063731632e-01
1.136843368673734700e+00,6.434710059675149418e-01,6.442597093187700796e-01
1.137239447889577981e+00,6.433872802257610823e-01,6.410382834740699920e-01
1.137635527105421041e+00,6.433467792377477457e-01,6.453509215174642044e-01
1.138031606321264322e+00,6.432631269156701137e-01,6.486172217385911543e-01
1.138427685537107381e+00,6.432226615516805079e-01,6.422935988851279365e-01
1.138823764752950662e+00,6.431390830201166864e-01,6.413607594369742371e-01
1.139219843968793722e+00,6.430555285957127998e-01,6.425820184891417597e-01
1.139615923184637003e+00,6.430151107459195492e-01,6.415712698951161475e-01
1.140012002400480062e+00,6.429316306657216762e-01,6.408271927697610781e-01
1.140408081616323344e+00,6.428912488881554088e-01,6.433058298200599046e-01
1.140804160832166403e+00,6.428078435259633183e-01,6.419350909268130012e-01
1.141200240048009684e+00,6.427674980018290851e-01,6.470841187833570318e-01
1.141596319263852743e+00,6.426841677326011748e-01,6.426847726614665079e-01
1.141992398479696025e+00,6.426008622821337557e-01,6.435725982150279911e-01
1.142388477695539084e+00,6.425605652485965047e-01,6.454166308525959295e-01
1.142784556911382365e+00,6.424773354512556267e-01,6.415750678937419682e-01
1.143180636127225425e+00,6.424370751244834477e-01,6.467472847447502948e-01
1.143576715343068706e+00,6.423539213582069030e-01,6.404558387206465975e-01
1.143972794558911765e+00,6.423136979214091324e-01,6.398887148157507143e-01
1.144368873774755047e+00,6.422306205652995592e-01,6.411318195087487570e-01
1.144764952990598106e+00,6.421475687483296779e-01,6.418034165724282314e-01
1.145161032206441387e+00,6.421073947899272882e-01,6.379034401896301887e-01
1.145557111422284446e+00,6.420244199497949777e-01,6.419191355974084301e-01
1.145953190638127728e+00,6.419842833398595738e-01,6.369818235685412722e-01
1.146349269853970787e+00,6.419013858586634091e-01,6.460778010602998833e-01
1.146745349069814068e+00,6.418612867824192714e-01,6.416182959281961917e-01
1.147141428285657128e+00,6.417784670434285577e-01,6.398525938693406800e-01
1.147537507501500409e+00,6.417384056866670683e-01,6.390133913318163383e-01
1.147933586717343468e+00,6.416556640743236173e-01,6.405023726516990701e-01
1.148329665933186750e+00,6.415729489424226717e-01,6.409037105371313547e-01
1.148725745149029809e+00,6.415329383524970286e-01,6.383994054556629827e-01
1.149121824364872868e+00,6.414503019223058988e-01,6.386909166408374361e-01
1.149517903580716149e+00,6.414103295170057173e-01,6.408488045018211343e-01
1.149913982796559431e+00,6.413277721759820249e-01,6.397654209325951413e-01
1.150310062012402490e+00,6.412878381431268426e-01,6.441054774541618011e-01
1.150706141228245549e+00,6.412053602799064889e-01,6.446189714026430151e-01
1.151102220444088831e+00,6.411229096377318859e-01,6.411709732485315616e-01
1.151498299659932112e+00,6.410830273857514028e-01,6.425038261019150321e-01
1.151894378875775171e+00,6.410006568030331975e-01,6.369950916821578435e-01
1.152290458091618230e+00,6.409608133938636820e-01,6.428730665221614737e-01
1.152686537307461512e+00,6.408785232622691286e-01,6.407867728537293139e-01
1.153082616523304793e+00,6.408387188857687100e-01,6.422927238336212374e-01
1.153478695739147852e+00,6.407565095981484493e-01,6.455575779929294544e-01
1.153874774954990912e+00,6.406743282811214746e-01,6.338317550120883270e-01
1.154270854170834193e+00,6.406345767111382150e-01,6.414174212482984805e-01
1.154666933386677252e+00,6.405524768263637370e-01,6.372551196368601012e-01
1.155063012602520534e+00,6.405127647646651212e-01,6.422893548388786122e-01
1.155459091818363593e+00,6.404307467080400107e-01,6.364908063957546158e-01
1.155855171034206874e+00,6.403910743465324185e-01,6.389048756455204536e-01
1.156251250250049933e+00,6.403091385151421511e-01,6.409173397824232676e-01
1.156647329465893215e+00,6.402272314128835129e-01,6.420677595721896447e-01
1.157043408681736274e+00,6.401876128951978773e-01,6.404119951632075702e-01
1.157439487897579555e+00,6.401057886131108488e-01,6.377272957961473976e-01
1.157835567113422615e+00,6.400662102765070083e-01,6.384056136233607903e-01
1.158231646329265896e+00,6.399844692147375058e-01,6.426379778884856453e-01
1.158627725545108955e+00,6.399449312531794165e-01,6.399284324061198514e-01
1.159023804760952236e+00,6.398632738130668463e-01,6.348118306225436491e-01
1.159419883976795296e+00,6.397816458696605757e-01,6.423126339944696950e-01
1.159815963192638577e+00,6.397421628009477557e-01,6.409909082400881974e-01
1.160212042408481636e+00,6.396606190808256098e-01,6.422808657165814950e-01
1.160608121624324918e+00,6.396211768733491843e-01,6.386112944742191599e-01
1.161004200840167977e+00,6.395397177809245548e-01,6.420241873362043661e-01
1.161400280056011258e+00,6.395003166307147158e-01,6.363171218707096566e-01
1.161796359271854318e+00,6.394189425715994801e-01,6.411289420041959009e-01
1.162192438487697599e+00,6.393375987858448406e-01,6.378664578569607224e-01
1.162588517703540658e+00,6.392982535892761664e-01,6.413213087040365856e-01
1.162984596919383939e+00,6.392169954451789593e-01,6.422339277944281166e-01
1.163380676135226999e+00,6.391776917973908123e-01,6.369697213413652026e-01
1.163776755351070280e+00,6.390965197036496681e-01,6.389428312651533881e-01
1.164172834566913339e+00,6.390572578027471362e-01,6.391741216821151816e-01
1.164568913782756621e+00,6.389761721692635010e-01,6.425451666227853798e-01
1.164964992998599680e+00,6.388951175949155736e-01,6.410267918690248923e-01
1.165361072214442961e+00,6.388559127202736443e-01,6.351980800882423006e-01
1.165757151430286020e+00,6.387749452212811985e-01,6.401477700034068352e-01
1.166153230646129302e+00,6.387357825903842157e-01,6.409710502185216319e-01
1.166549309861972361e+00,6.386549025797478851e-01,6.450263202675311502e-01
1.166945389077815642e+00,6.385740541933555559e-01,6.335366069030929914e-01
1.167341468293658702e+00,6.385349493610296134e-01,6.369258924612276607e-01
1.167737547509501983e+00,6.384541890829645849e-01,6.424543026472265828e-01
1.168133626725345042e+00,6.384151269951033880e-01,6.343499160992832619e-01
1.168529705941188324e+00,6.383344552414741413e-01,6.347360734896999590e-01
1.168925785157031383e+00,6.382954360997702414e-01,6.398466826859111611e-01
1.169321864372874664e+00,6.382148532878951785e-01,6.412700792705314790e-01
1.169717943588717723e+00,6.381343029018078372e-01,6.361282614396811530e-01
1.170114022804561005e+00,6.380953426517375071e-01,6.397157241686136642e-01
1.170510102020404064e+00,6.380148818341726535e-01,6.383657476424624555e-01
1.170906181236247345e+00,6.379759650363610035e-01,6.425322121384171581e-01
1.171302260452090405e+00,6.378955942077559893e-01,6.378910388886297467e-01
1.171698339667933686e+00,6.378567210659914499e-01,6.408274630018956364e-01
1.172094418883776745e+00,6.377764406479968784e-01,6.350670870700541037e-01
1.172490498099620027e+00,6.376961934665571485e-01,6.371415569181710925e-01
1.172886577315463086e+00,6.376573803214392600e-01,6.373672669601537777e-01
1.173282656531306367e+00,6.375772241842004862e-01,6.409945480266561191e-01
