t,S,I,V,V_stock,dS_dt,dS_dt_noisy
6.001200240048009116e-01,9.450289351315155955e+02,1.274952643463455537e+01,8.645125672291690266e-01,2.027146851272818822e+02,-9.293873276415915541e+00,-1.118288652238358871e+01
6.241248249649929969e-01,9.448047424534262291e+02,1.287779805725758564e+01,8.989163790643281970e-01,2.028225576067694931e+02,-9.385337205221718548e+00,-9.560109297276881080e+00
6.481296259251849712e-01,9.445783380783628900e+02,1.300767535887567306e+01,9.333065446209416471e-01,2.029303754426486535e+02,-9.478151417651510258e+00,-9.900341829227864210e+00
6.721344268853770565e-01,9.443496892849721007e+02,1.313918329462746826e+01,9.676830570947569932e-01,2.030381386745014822e+02,-9.572339716356427886e+00,-9.358696718857816066e+00
6.961392278455690308e-01,9.441187627720788669e+02,1.327234727808931325e+01,1.002045909564861725e+00,2.031458473420110522e+02,-9.667926375876302103e+00,-9.450604444853738073e+00
7.201440288057611161e-01,9.438855246586866770e+02,1.340719318127525383e+01,1.036395094993683097e+00,2.032535014849612764e+02,-9.764936145628738018e+00,-7.647097390577689779e+00
7.441488297659530904e-01,9.436499404839772751e+02,1.354374733463702363e+01,1.070730606226988790e+00,2.033611011432370788e+02,-9.863394252858082467e+00,-1.097541501555036447e+01
7.681536307261451757e-01,9.434119752029821484e+02,1.368203653055089042e+01,1.105052435992970761e+00,2.034686463568252464e+02,-9.963326408091734976e+00,-1.034093141521873349e+01
7.921584316863372610e-01,9.431715930714671003e+02,1.382208811622954769e+01,1.139360576878101439e+00,2.035761371658385315e+02,-1.006475887615580866e+01,-8.021987268663478332e+00
8.161632326465292353e-01,9.429287577910115488e+02,1.396392987721595169e+01,1.173655021358138040e+00,2.036835736104847001e+02,-1.016771839413772760e+01,-9.521015397935880031e+00
8.401680336067213206e-01,9.426834324281574027e+02,1.410759010215213216e+01,1.207935761780646322e+00,2.037909557310840398e+02,-1.027223222167692107e+01,-9.609168849300658621e+00
8.641728345669132949e-01,9.424355793485713093e+02,1.425309763573924471e+01,1.242202790351005115e+00,2.038982835680833432e+02,-1.037832818310452510e+01,-1.089233455479198831e+01
8.881776355271053802e-01,9.421851602170445403e+02,1.440048187873757080e+01,1.276456099132407873e+00,2.040055571620558794e+02,-1.048603467086268459e+01,-1.213410984171833817e+01
9.121824364872973545e-01,9.419321359974927645e+02,1.454977278796650886e+01,1.310695680045862010e+00,2.041127765537015648e+02,-1.059538064886376674e+01,-1.042791590464102569e+01
9.361872374474894398e-01,9.416764669529566163e+02,1.470100087630458674e+01,1.344921524870188234e+00,2.042199417838467355e+02,-1.070639565578442998e+01,-1.059738156796288244e+01
9.601920384076814141e-01,9.414181126456011270e+02,1.485419721268944748e+01,1.379133625242021877e+00,2.043270528934443178e+02,-1.081910980828941149e+01,-1.204646186253398632e+01
9.841968393678734994e-01,9.411570319367157254e+02,1.500939342211786709e+01,1.413331972655812230e+00,2.044341099235738000e+02,-1.093355380417970757e+01,-1.161678046596026981e+01
1.008201640328065585e+00,9.408931829378539078e+02,1.516662172503371764e+01,1.447516558453382673e+00,2.045411129154516061e+02,-1.104975895491480919e+01,-1.112180263464203733e+01
1.032206441288257670e+00,9.406265229513662689e+02,1.532591498566471166e+01,1.481687373811596542e+00,2.046480619104435448e+02,-1.116775722514952207e+01,-1.211250884821030027e+01
1.056211242248449533e+00,9.403570086185628725e+02,1.548730659263989651e+01,1.515844409774030677e+00,2.047549569500329483e+02,-1.128758114667874146e+01,-1.138585111453095955e+01
1.080216043208641619e+00,9.400845957481810728e+02,1.565083059687087541e+01,1.549987657213940162e+00,2.048617980758579904e+02,-1.140926392476039730e+01,-1.131378089729094327e+01
1.104220844168833704e+00,9.398092393056950868e+02,1.581652172015633440e+01,1.584117106831959054e+00,2.049685853297137896e+02,-1.153283944817955131e+01,-1.149725321112406640e+01
1.128225645129025789e+00,9.395308934133158800e+02,1.598441535518205114e+01,1.618232749156102379e+00,2.050753187535525797e+02,-1.165834229278970113e+01,-1.216463395110401535e+01
1.152230446089217875e+00,9.392495113499909394e+02,1.615454756552089677e+01,1.652334574541765910e+00,2.051819983894835673e+02,-1.178580772494452589e+01,-1.119205965315870266e+01
1.176235247049409738e+00,9.389650455514049554e+02,1.632695508563283227e+01,1.686422573171725503e+00,2.052886242797730461e+02,-1.191527170481275100e+01,-1.102410475053042305e+01
1.200240048009601823e+00,9.386774476099791400e+02,1.650167532086491562e+01,1.720496735056137538e+00,2.053951964668442827e+02,-1.204677088956864672e+01,-1.172592258500208295e+01
1.224244848969793908e+00,9.383866682537708357e+02,1.667874636443461611e+01,1.754557050027923726e+00,2.055017149932822917e+02,-1.218034264940554223e+01,-1.299857287679584950e+01
1.248249649929985994e+00,9.380926572170749296e+02,1.685820710187640969e+01,1.788603507714717988e+00,2.056081799018617460e+02,-1.231602515045254620e+01,-1.158437286666710619e+01
1.272254450890177857e+00,9.377953634394024220e+02,1.704009705118070173e+01,1.822636097582591486e+00,2.057145912355033204e+02,-1.245385723609357065e+01,-1.295529725456062309e+01
1.296259251850369942e+00,9.374947348925201140e+02,1.722445650157364483e+01,1.856654808897855391e+00,2.058209490373119195e+02,-1.259387853582364869e+01,-1.171471791753566372e+01
1.320264052810562028e+00,9.371907185391795565e+02,1.741132654668999180e+01,1.890659630717995032e+00,2.059272533505857155e+02,-1.273612949408582828e+01,-1.380791691096327156e+01
1.344268853770754113e+00,9.368832603331171640e+02,1.760074908457309917e+01,1.924650551891671890e+00,2.060335042188162049e+02,-1.288065137369312829e+01,-1.196618417056434680e+01
1.368273654730946198e+00,9.365723052190542148e+02,1.779276681767492008e+01,1.958627561058723376e+00,2.061397016856882374e+02,-1.302748625907375057e+01,-1.304754971368923044e+01
1.392278455691138062e+00,9.362577971326965098e+02,1.798742325285600430e+01,1.992590646650161057e+00,2.062458457950799300e+02,-1.317667705932944600e+01,-1.442542594966386105e+01
1.416283256651330147e+00,9.359396790007352820e+02,1.818476270138551598e+01,2.026539796888173761e+00,2.063519365910627243e+02,-1.332826751109652719e+01,-1.364216698306337427e+01
1.440288057611522232e+00,9.356178927183161704e+02,1.838483029702850757e+01,2.060474999781040761e+00,2.064579741179064740e+02,-1.348230219527336438e+01,-1.342819991650182132e+01
1.464292858571714318e+00,9.352923790076237083e+02,1.858767210987705099e+01,2.094396243091402265e+00,2.065639584201111063e+02,-1.363882662838841853e+01,-1.336603528922396400e+01
1.488297659531906181e+00,9.349630776288622656e+02,1.879333497727390068e+01,2.128303514384039641e+00,2.066698895423590159e+02,-1.379788713379901566e+01,-1.478007525873999306e+01
1.512302460492098266e+00,9.346299271883262918e+02,1.900186665747880710e+01,2.162196800982302047e+00,2.067757675295584363e+02,-1.395953096369943047e+01,-1.506690401086462394e+01
1.536307261452290351e+00,9.342928650926495493e+02,1.921331586635361433e+01,2.196076089957753830e+00,2.068815924268540130e+02,-1.412380633063824753e+01,-1.392422179779116753e+01
1.560312062412482437e+00,9.339518275488053405e+02,1.942773227736229202e+01,2.229941368130174961e+00,2.069873642796266608e+02,-1.429076241029137151e+01,-1.475751202717117394e+01
1.584316863372674522e+00,9.336067495641061669e+02,1.964516652157090704e+01,2.263792622067560156e+00,2.070930831334937352e+02,-1.446044934395957071e+01,-1.422494373222934527e+01
1.608321664332866385e+00,9.332575649462040701e+02,1.986567018764763048e+01,2.297629838086121534e+00,2.071987490343088041e+02,-1.463291824077655967e+01,-1.387339871829817994e+01
1.632326465293058471e+00,9.329042063030905183e+02,2.008929582186275198e+01,2.331453002250285955e+00,2.073043620281618473e+02,-1.480822117961345974e+01,-1.645700854596440976e+01
1.656331266253250556e+00,9.325466049844508234e+02,2.031609697498318923e+01,2.365262100358889175e+00,2.074099221613929842e+02,-1.498641124788292167e+01,-1.473202313136530428e+01
1.680336067213442641e+00,9.321846909942321417e+02,2.054612827256803698e+01,2.399057117924668248e+00,2.075154294806129940e+02,-1.516754259911843228e+01,-1.394289563158270084e+01
1.704340868173634505e+00,9.318183931674476526e+02,2.077944527370513228e+01,2.432838040215935305e+00,2.076208840326616496e+02,-1.535167034229473337e+01,-1.564919718666520687e+01
1.728345669133826590e+00,9.314476389391685416e+02,2.101610465536867878e+01,2.466604852202149978e+00,2.077262858646621169e+02,-1.553885068942883407e+01,-1.634966527266640313e+01
1.752350470094018675e+00,9.310723543285815822e+02,2.125616422515265569e+01,2.500357538550159742e+00,2.078316350240248767e+02,-1.572914096732493050e+01,-1.497689714014533813e+01
1.776355271054210760e+00,9.306924639389900449e+02,2.149968292127082492e+01,2.534096083624203022e+00,2.079369315584475828e+02,-1.592259961883742569e+01,-1.566915310262928429e+01
1.800360072014402846e+00,9.303078909578127877e+02,2.174672081255672751e+01,2.567820471485909195e+00,2.080421755159151189e+02,-1.611928620371713095e+01,-1.522340313293956982e+01
1.824364872974594709e+00,9.299185571565847113e+02,2.199733909846369784e+01,2.601530685894296813e+00,2.081473669446995700e+02,-1.631926139902221351e+01,-1.666447710907349489e+01
1.848369673934786794e+00,9.295243828880279580e+02,2.225160011139058369e+01,2.635226710305046183e+00,2.082525058933610467e+02,-1.652258700095245203e+01,-1.800440527467466367e+01
1.872374474894978880e+00,9.291252869191915806e+02,2.250956744929026598e+01,2.668908527828856680e+00,2.083575924107892376e+02,-1.672932603164811738e+01,-1.683933679635936898e+01
1.896379275855170965e+00,9.287211866015940132e+02,2.277130584092844501e+01,2.702576121273554399e+00,2.084626265461612604e+02,-1.693954263009828765e+01,-1.738537078310951856e+01
1.920384076815362828e+00,9.283119977537737668e+02,2.303688123897074291e+01,2.736229473115225463e+00,2.085676083489707366e+02,-1.715330212624891004e+01,-1.637797830420133494e+01
1.944388877775554914e+00,9.278976345371784191e+02,2.330636091847151548e+01,2.769868565467411337e+00,2.086725378690584023e+02,-1.737067111993520996e+01,-1.717703827155805740e+01
1.968393678735746999e+00,9.274780094561641590e+02,2.357981347687385210e+01,2.803493380081106601e+00,2.087774151566122498e+02,-1.759171747990292900e+01,-1.922256671233802905e+01
1.992398479695939084e+00,9.270530333579962416e+02,2.385730883400957225e+01,2.837103898344762065e+00,2.088822402621674996e+02,-1.781651034224095298e+01,-1.901167342234415258e+01
2.016403280656131169e+00,9.266226154328485336e+02,2.413891823209922549e+01,2.870700101284282990e+00,2.089870132366066002e+02,-1.804512010820134904e+01,-1.716133107161409299e+01
2.040408081616323255e+00,9.261866632138038540e+02,2.442471423575210210e+01,2.904281969563028643e+00,2.090917341311591997e+02,-1.827761844138279557e+01,-1.759785342396494912e+01
2.064412882576515340e+00,9.257450824761139074e+02,2.471477081120501040e+01,2.937849483454747279e+00,2.091964029974292885e+02,-1.851407832943024800e+01,-1.915432169533873719e+01
2.088417683536706981e+00,9.252977772248888186e+02,2.500916333612818931e+01,2.971402622839288910e+00,2.093010198873993772e+02,-1.875457408862310871e+01,-1.875562288519039100e+01
2.112422484496899067e+00,9.248446497845013710e+02,2.530796852944332187e+01,3.004941367227149218e+00,2.094055848534060829e+02,-1.899918130178135200e+01,-1.855360774800516666e+01
2.136427285457091152e+00,9.243856005624817271e+02,2.561126463702382594e+01,3.038465695696922264e+00,2.095100979482026275e+02,-1.924797696648024825e+01,-1.877957263063296978e+01
2.160432086417283237e+00,9.239205280454838203e+02,2.591913143486749860e+01,3.071975586894228893e+00,2.096145592249599474e+02,-1.950103949299265338e+01,-1.862479729687830243e+01
2.184436887377475323e+00,9.234493287992850128e+02,2.623165022909651256e+01,3.105471019031714519e+00,2.097189687372666640e+02,-1.975844869881241195e+01,-1.950196307159085052e+01
2.208441688337667408e+00,9.229718974687863238e+02,2.654890385595741975e+01,3.138951969889049121e+00,2.098233265391291411e+02,-2.002028580233332633e+01,-2.011511414130182374e+01
2.232446489297859493e+00,9.224881267780126564e+02,2.687097668182114418e+01,3.172418416812928132e+00,2.099276326849714565e+02,-2.028663341565363254e+01,-2.054548148044147737e+01
2.256451290258051579e+00,9.219979074500998877e+02,2.719795466520128358e+01,3.205870336693420697e+00,2.100318872296590484e+02,-2.055757558828616283e+01,-1.950183278775291029e+01
2.280456091218243664e+00,9.215011281460743930e+02,2.752992540389692522e+01,3.239307705943879512e+00,2.101360902285188104e+02,-2.083319783807314707e+01,-2.308405211315168515e+01
2.304460892178435749e+00,9.209976756000022533e+02,2.786697803052080502e+01,3.272730500541465304e+00,2.102402417372986179e+02,-2.111358705444607864e+01,-2.125224237953741735e+01
2.328465693138627390e+00,9.204874343541972621e+02,2.820920341818813171e+01,3.306138695951009510e+00,2.103443418122434139e+02,-2.139883166027801664e+01,-2.136583155629395492e+01
2.352470494098819476e+00,9.199702867485839306e+02,2.855669418877085874e+01,3.339532267121917197e+00,2.104483905100983634e+02,-2.168902160844225691e+01,-2.311437056931244527e+01
2.376475295059011561e+00,9.194461129206972601e+02,2.890954471289764527e+01,3.372911188488165735e+00,2.105523878881089104e+02,-2.198424837038596280e+01,-2.165143475724791600e+01
2.400480096019203646e+00,9.189147908056828555e+02,2.926785110995388450e+01,3.406275433968305677e+00,2.106563340040206356e+02,-2.228460492356521172e+01,-2.293588593600860648e+01
2.424484896979395732e+00,9.183761961362968123e+02,2.963171124808170021e+01,3.439624976965461212e+00,2.107602289160794271e+02,-2.259018573770530480e+01,-2.172774094138955903e+01
2.448489697939587817e+00,9.178302023428636858e+02,3.000122481999627055e+01,3.472959790333701946e+00,2.108640726830649612e+02,-2.290108682408727248e+01,-2.302667890812159968e+01
2.472494498899779902e+00,9.172766805469183282e+02,3.037649334661734457e+01,3.506279846371597397e+00,2.109678653642972961e+02,-2.321740572296231520e+01,-2.254825248217286315e+01
2.496499299859971988e+00,9.167154996263815292e+02,3.075762012851216198e+01,3.539585116846316826e+00,2.110716070196125997e+02,-2.353924144538407504e+01,-2.232039784021285200e+01
2.520504100820164073e+00,9.161465259695344230e+02,3.114471043350787482e+01,3.572875572914754994e+00,2.111752977094422477e+02,-2.386669461443617379e+01,-2.348376503172270091e+01
2.544508901780355714e+00,9.155696234710494537e+02,3.153787149970976600e+01,3.606151185122229652e+00,2.112789374948140164e+02,-2.419986744919844668e+01,-2.507558859262129047e+01
2.568513702740547799e+00,9.149846535319901477e+02,3.193721253550127770e+01,3.639411923402486426e+00,2.113825264373521122e+02,-2.453886374470440046e+01,-2.605318237640904044e+01
2.592518503700739885e+00,9.143914750598117962e+02,3.234284471954396878e+01,3.672657757077694374e+00,2.114860645992771140e+02,-2.488378885040099675e+01,-2.313040473288462451e+01
2.616523304660931970e+00,9.137899444663546547e+02,3.275488120225355004e+01,3.705888654857676379e+00,2.115895520434068828e+02,-2.523474964833269496e+01,-2.534604184152021489e+01
2.640528105621124055e+00,9.131799155134336843e+02,3.317343721832934023e+01,3.739104584777425355e+00,2.116929888332189478e+02,-2.559185462497113761e+01,-2.628041957260546013e+01
2.664532906581316141e+00,9.125612394699444394e+02,3.359862996887218145e+01,3.772305514250665404e+00,2.117963750327969308e+02,-2.595521374433551642e+01,-2.581095665627469060e+01
2.688537707541508226e+00,9.119337649615437158e+02,3.403057873483984963e+01,3.805491410019594678e+00,2.118997107068809100e+02,-2.632493851770360749e+01,-2.651634984818625540e+01
2.712542508501700311e+00,9.112973378313508874e+02,3.446940498022101451e+01,3.838662238103169422e+00,2.120029959209190338e+02,-2.670114206356319642e+01,-2.584899979935050851e+01
2.736547309461892397e+00,9.106518011399475654e+02,3.491523235203523257e+01,3.871817963797107964e+00,2.121062307410676908e+02,-2.708393907750352980e+01,-2.705001089506642842e+01
2.760552110422084038e+00,9.099969951653781663e+02,3.536818668033295410e+01,3.904958551673885836e+00,2.122094152341913684e+02,-2.747344580023680649e+01,-2.745969621661838644e+01
2.784556911382276123e+00,9.093327574031494578e+02,3.582839597819553745e+01,3.938083965582739765e+00,2.123125494678626808e+02,-2.786977998370332799e+01,-2.858435970473629339e+01
2.808561712342468208e+00,9.086589225288817033e+02,3.629599046750699642e+01,3.971194168631301036e+00,2.124156335103807862e+02,-2.827306087747851038e+01,-2.780349277873101599e+01
2.832566513302660294e+00,9.079753223065094971e+02,3.677110263785001365e+01,4.004289123128891070e+00,2.125186674308280885e+02,-2.868340924180460050e+01,-2.971727596415958317e+01
2.856571314262852379e+00,9.072817857422686529e+02,3.725386713947917627e+01,4.037368790659659368e+00,2.126216512989970795e+02,-2.910094721537356222e+01,-2.843505777560959658e+01
2.880576115223044464e+00,9.065781388186618415e+02,3.774442097348109826e+01,4.070433131968452578e+00,2.127245851855044236e+02,-2.952579843834185169e+01,-2.800186092535172122e+01
2.904580916183236550e+00,9.058642044658388386e+02,3.824290351190795434e+01,4.103482106947722308e+00,2.128274691618042880e+02,-2.995808802650760683e+01,-3.148277406460675820e+01
2.928585717143428635e+00,9.051398025615964116e+02,3.874945649777746581e+01,4.136515674637531781e+00,2.129303033001880294e+02,-3.039794252582240475e+01,-3.286417175717372174e+01
2.952590518103620720e+00,9.044047499313777507e+02,3.926422404507291475e+01,4.169533793225547846e+00,2.130330876737844790e+02,-3.084548986457507880e+01,-3.022861110942075769e+01
2.976595319063812362e+00,9.036588603460156719e+02,3.978735264015003992e+01,4.202536420045592358e+00,2.131358223565611922e+02,-3.130085930441646980e+01,-2.875296148893334447e+01
3.000600120024004447e+00,9.029019444190497552e+02,4.031899120073085641e+01,4.235523511499239113e+00,2.132385074234030355e+02,-3.176418143861315713e+01,-3.276510628748505383e+01
3.024604920984196532e+00,9.021338097512087870e+02,4.085929097571495561e+01,4.268495023123720422e+00,2.133411429500441159e+02,-3.223558804968202196e+01,-3.348628380848401065e+01
3.048609721944388617e+00,9.013542607662755017e+02,4.140840565959782538e+01,4.301450909515229348e+00,2.134437290131445764e+02,-3.271521215157058293e+01,-3.212624321779011183e+01
3.072614522904580703e+00,9.005630986074803559e+02,4.196649145979132811e+01,4.334391124268807793e+00,2.135462656903507650e+02,-3.320318798837638496e+01,-3.404390957843469323e+01
3.096619323864772788e+00,8.997601211375011871e+02,4.253370709662371496e+01,4.367315619978356267e+00,2.136487530602951210e+02,-3.369965097198064541e+01,-3.420567645591738426e+01
3.120624124824964873e+00,8.989451229384636690e+02,4.311021380333960451e+01,4.400224348236623229e+00,2.137511912025963170e+02,-3.420473761693341430e+01,-3.455285508361718882e+01
3.144628925785156959e+00,8.981178953119410835e+02,4.369617532610000410e+01,4.433117259635215746e+00,2.138535801978591167e+02,-3.471858547254089444e+01,-3.418658338624909732e+01
3.168633726745349044e+00,8.972782262394537156e+02,4.429175793665773853e+01,4.465994303711116054e+00,2.139559201277280067e+02,-3.524133306242730868e+01,-3.564663542382042749e+01
3.192638527705540685e+00,8.964259004452494537e+02,4.489713037380236926e+01,4.498855428940215617e+00,2.140582110748935065e+02,-3.577311975858778226e+01,-3.549523691850762219e+01
3.216643328665732771e+00,8.955606993646226783e+02,4.551246387691599438e+01,4.531700582749268236e+00,2.141604531230803445e+02,-3.631408573466136147e+01,-3.649061899355493921e+01
3.240648129625924856e+00,8.946824009961683259e+02,4.613793226664218139e+01,4.564529711394695433e+00,2.142626463571686486e+02,-3.686437195592499450e+01,-3.770904305957660085e+01
3.264652930586116941e+00,8.937907799003230593e+02,4.677371194558415368e+01,4.597342759961154712e+00,2.143647908631953669e+02,-3.742412009725078548e+01,-3.774394635499400863e+01
3.288657731546309027e+00,8.928856071993640171e+02,4.741998189830474075e+01,4.630139672361540448e+00,2.144668867283542966e+02,-3.799347245733108736e+01,-3.894387212249900898e+01
3.312662532506501112e+00,8.919666505774098368e+02,4.807692369132639243e+01,4.662920391336982107e+00,2.145689340409960266e+02,-3.857257186972116614e+01,-3.856605688385141661e+01
3.336667333466693197e+00,8.910336742770198271e+02,4.874472145980032423e+01,4.695684858418423424e+00,2.146709328906664496e+02,-3.916156159794530112e+01,-4.028542782551093637e+01
3.360672134426885282e+00,8.900864391758258307e+02,4.942356181716846919e+01,4.728433013875096513e+00,2.147728833681581762e+02,-3.976058515799737592e+01,-4.085347952729262033e+01
3.384676935387077368e+00,8.891247027759160346e+02,5.011363389101401111e+01,4.761164796775666730e+00,2.148747855654495424e+02,-4.036978625257635400e+01,-3.891282443727109808e+01
3.408681736347269009e+00,8.881482190939007069e+02,5.081512935419390686e+01,4.793880144830485968e+00,2.149766395758622650e+02,-4.098930869334203209e+01,-4.104249291364737218e+01
3.432686537307461094e+00,8.871567386573066187e+02,5.152824242451119119e+01,4.826578994383256216e+00,2.150784454940698254e+02,-4.161929629457382873e+01,-4.167319832004586999e+01
3.456691338267653180e+00,8.861500085045769310e+02,5.225316986471492697e+01,4.859261280411028672e+00,2.151802034160974983e+02,-4.225989276385565319e+01,-4.174835634393803474e+01
3.480696139227845265e+00,8.851277721850710805e+02,5.299011098250024077e+01,4.891926936524207292e+00,2.152819134393222953e+02,-4.291124158928848686e+01,-4.333209859183735801e+01
3.504700940188037350e+00,8.840897697804892914e+02,5.373926759686173682e+01,4.924575894932504916e+00,2.153835756625070417e+02,-4.357348589221821555e+01,-4.380202125969637450e+01
3.528705741148229436e+00,8.830357380544920716e+02,5.450084387307470024e+01,4.957208086371526434e+00,2.154851901858738188e+02,-4.424676815745576874e+01,-4.382161942212385952e+01
3.552710542108421521e+00,8.819654104010047604e+02,5.527504640458121798e+01,4.989823440185764625e+00,2.155867571110209440e+02,-4.493123018500765653e+01,-4.464881434276325223e+01
3.576715343068613606e+00,8.808785168210913525e+02,5.606208415615610363e+01,5.022421884146003102e+00,2.156882765411055800e+02,-4.562701290764231032e+01,-4.678630963457474223e+01
3.600720144028805692e+00,8.797747839260522369e+02,5.686216845490837812e+01,5.055003344434677359e+00,2.157897485808584292e+02,-4.633425625147361160e+01,-4.550091365480395211e+01
3.624724944988997333e+00,8.786539349374235144e+02,5.767551299028126266e+01,5.087567745645867667e+00,2.158911733365837051e+02,-4.705309900138578172e+01,-4.764353394467482161e+01
3.648729745949189418e+00,8.775156896869777938e+02,5.850233381405222843e+01,5.120115010785304399e+00,2.159925509161591322e+02,-4.778367866286915699e+01,-4.883975761318334463e+01
3.672734546909381503e+00,8.763597646703376540e+02,5.934284927648914021e+01,5.152645061232586698e+00,2.160938814290737469e+02,-4.852613126197003623e+01,-4.942660633196909004e+01
3.696739347869573589e+00,8.751858733018361818e+02,6.019727976441138395e+01,5.185157816660328045e+00,2.161951649865087575e+02,-4.928059096268729178e+01,-4.967113630704261595e+01
3.720744148829765674e+00,8.739937257876676995e+02,6.106584785254876380e+01,5.217653195123437726e+00,2.162964017012482429e+02,-5.004719005623741168e+01,-4.841988980161434597e+01
3.744748949789957759e+00,8.727830292298763197e+02,6.194877812431956698e+01,5.250131112853612336e+00,2.163975916878846988e+02,-5.082605864249062932e+01,-5.200159454741140763e+01
3.768753750750149845e+00,8.715534876412456242e+02,6.284629715164261654e+01,5.282591484242990632e+00,2.164987350628353795e+02,-5.161732445538698499e+01,-5.145724856285264082e+01
3.792758551710341930e+00,8.703048019452987774e+02,6.375863349493729970e+01,5.315034221844148199e+00,2.165998319443423838e+02,-5.242111270346074292e+01,-5.455893706155131895e+01
3.816763352670534015e+00,8.690366699762981852e+02,6.468601770312358212e+01,5.347459236370104563e+00,2.167008824524724844e+02,-5.323754590692632149e+01,-5.323911284007152034e+01
3.840768153630725656e+00,8.677487865918789112e+02,6.562868219262658442e+01,5.379866436644865857e+00,2.168018867091668085e+02,-5.406674362165535541e+01,-5.316717720417934601e+01
3.864772954590917742e+00,8.664408440407707985e+02,6.658686088811701609e+01,5.412255729528888892e+00,2.169028448383151613e+02,-5.490882194625132939e+01,-5.514548526831278252e+01
