z,s,omega,A
7.958278139800787354e-01,3.192613404247738318e-01,3.165474457862826885e+00,7.686011033464230646e-01
3.256808312236633363e+00,1.360163060451134109e+00,3.196915587105940926e+00,-8.231015252629865220e-01
4.657626399418977492e+00,3.557796810546008381e-01,2.125259938153601702e+00,-3.023210912891837743e-01
2.369772627164184797e+00,4.121107748291651940e-01,3.307163701841594694e+00,1.429437069732460985e-01
4.786575320346464935e+00,1.137720703235660213e+00,2.284949504887630489e+00,-6.079948050539827342e-01
2.649510324331941113e+00,1.338105112257848894e+00,3.527117808717176395e+00,-4.532680031805809140e-01
2.298574536790654932e+00,1.136239321740372565e+00,2.580534980926378008e+00,-6.734590597372452914e-02
3.215003224472275711e+00,1.155252456505289738e+00,2.600776606740970998e+00,-5.950926018181406096e-01
4.976953574606023167e+00,7.484607743666124025e-01,3.184961010255622949e+00,-6.858187082391691280e-01
4.760035272207496782e+00,1.240485794406909426e+00,4.802208683294761471e+00,-3.701214763375079153e-01
2.462212154752751569e+00,1.227728911532896205e+00,4.591557271500954052e+00,-2.861975216330496230e-01
3.861325572948969942e+00,7.317081789964346994e-01,3.846426315342774238e+00,-5.729547847768327040e-01
2.637886668791809441e+00,1.406443063951132499e+00,4.969671492522779843e+00,-5.418646927280140746e-01
2.787767152924820913e+00,8.485661150155563437e-01,2.709941995934393777e+00,-1.821497367862530137e-01
3.993192793354895187e+00,1.107173293723561214e+00,1.635890360123742227e+00,-6.410933115463082199e-01
2.248882491971652797e+00,7.813807850738643257e-01,2.746649849417759359e+00,4.658235158516621510e-02
3.752072787407028098e+00,9.883618546237249447e-01,3.081972292860253315e+00,-7.185294729614402076e-01
3.642371526551824168e+00,4.033225800837288433e-01,3.202128369596640933e+00,-2.016270371157065644e-01
4.680680527082877518e+00,8.047907385090661281e-01,4.407254548057299992e+00,-7.321639074095029898e-01
8.401833764202544241e-01,1.215416355396336634e+00,2.595442786524548406e+00,5.758813239261382222e-01
3.726371050258654449e+00,1.306668818226796702e+00,3.315127767696564920e+00,-8.874248697947310083e-01
4.658892464535432154e+00,7.090759252403112667e-01,4.499710466749133886e+00,-7.089393863915909311e-01
4.849253092645838592e+00,3.658257541699340698e-01,2.138913975567386938e+00,-3.483183516258878676e-01
3.691196333372356309e-01,5.025260706083995998e-01,4.682039081351126342e+00,9.310305761524919621e-01
4.359108424154205963e+00,6.395951702387697724e-01,1.979602538599019246e+00,-4.772957658648223633e-01
4.911616688311818635e+00,8.938020280962949426e-01,3.922450024013948155e+00,-6.576817201178718486e-01
4.798887844171528805e+00,6.157882347627313679e-01,4.827597090278279879e+00,-6.713169985218381264e-01
9.991908574927401698e-01,7.444528355494571814e-01,3.624795409503292376e+00,5.546897216617845405e-01
4.871355424967888759e+00,3.206033133209133523e-01,3.897376283388125362e+00,-4.006815172906892375e-01
4.482697111886446706e+00,7.969828637064926280e-01,4.186302442377782818e+00,-7.382132707271269467e-01
4.165156989452430736e+00,1.135705278123550377e+00,2.344522057786354363e+00,-7.835763516300658926e-01
2.555943241896811102e+00,8.386849786421292086e-01,1.848168964228031674e+00,5.622890913631328758e-03
1.392152722304728085e+00,5.328237620798758067e-01,3.028659009145235448e+00,4.432749969734635087e-01
4.068838719976047180e+00,1.416392265332837130e+00,3.529446688613715910e+00,-7.583797012992334885e-01
4.640591750982307140e+00,5.210721330515730720e-01,2.444559025980260092e+00,-4.920990284035491324e-01
1.550812279773775115e+00,1.341992213237056752e+00,1.653300732449561661e+00,3.011740983883877676e-01
2.832991715824278778e+00,5.287907729640443089e-01,4.431939775313620267e+00,-9.083606013089112752e-02
2.380938296180298064e+00,4.810822809215091755e-01,4.128844360019857440e+00,8.200387260614883100e-02
4.675781385111428712e+00,8.853087230775328331e-01,4.811795780610586881e+00,-7.273914216192292059e-01
4.904003425856428011e-01,1.092368859215501198e+00,2.038071487937392678e+00,8.729093328722121736e-01
3.740429119585835682e+00,8.435726045223788105e-01,1.616711774610800401e+00,-3.763645436694678104e-01
3.187554260660284466e+00,9.097828756992751842e-01,4.086004962139366370e+00,-4.722122223015001174e-01
4.333172160335489465e-01,1.048158866513074550e+00,4.532187382772121076e+00,8.974984181900093061e-01
3.680332932285679703e+00,8.799931837387829914e-01,2.277456324644217656e+00,-5.309264237425027622e-01
3.751611287607882761e-01,1.448225525233613586e+00,2.820717559766557692e+00,9.629693011209186082e-01
3.862369711075212209e+00,4.815849859589416693e-01,4.466188704616896210e+00,-3.591068396505357474e-01
2.709965999331767073e+00,7.696061271783950497e-01,1.540185176298657810e+00,3.672923640599701223e-02
4.666789837745929148e+00,4.532710882884486425e-01,2.434779621364553837e+00,-4.323466705782714747e-01
6.105877346031512998e-01,5.370686020244609393e-01,1.954176847489855984e+00,8.256576202464966929e-01
4.254191214178201008e+00,1.044046714810295429e+00,4.817471045861634771e+00,-8.015848744919538138e-01
6.134430412053766268e-01,1.339860807615782745e+00,1.655105941101034928e+00,7.779733224454969953e-01
1.918256900379388341e+00,7.257273242122844747e-01,3.364594101228931322e+00,1.558425216962992521e-01
2.322404040154816496e+00,1.325711995081278349e+00,3.956724403555294867e+00,-2.261730498373799025e-01
4.840491779685129892e+00,7.561703215534318900e-01,3.163079218779647039e+00,-6.988874018588753234e-01
2.942489658473748104e+00,1.151157427675799205e+00,2.419703764614881791e+00,-4.181105079923486123e-01
1.516663587903381627e+00,4.331095681169684353e-01,2.657997878866315222e+00,4.470974532605841434e-01
1.435875856243421289e+00,9.620355713060222413e-01,2.281498946997816191e+00,3.276100931501944591e-01
4.474156107098145263e+00,3.463664243303477552e-01,4.491535726639990678e+00,-3.672038709736566431e-01
1.361586313561424566e+00,4.715189045393819445e-01,1.509919484399934841e+00,5.469828712518310931e-01
8.854071174258324461e-01,6.651765988986363398e-01,1.940478722623740548e+00,6.725982212682670713e-01
1.655154557935614834e+00,3.588449391572499092e-01,4.533254826236545298e+00,4.106350766239723615e-01
3.054778404619844068e+00,1.346890752340370145e+00,4.933759675122352917e+00,-7.816051508927844838e-01
2.904225360214359064e+00,1.285568656423905720e+00,3.049625339029297777e+00,-5.608712809155610435e-01
4.105640646790055470e+00,1.418188458299310950e+00,4.207207324224602196e+00,-7.161424881655235053e-01
2.934236974429073275e+00,5.696749134711370788e-01,4.597969871198621661e+00,-1.486693743976280069e-01
1.655579707826689395e+00,8.353631769569246357e-01,4.375662232369733395e+00,2.070448369725256532e-01
2.240612810600195903e+00,1.270776900575190771e+00,2.971778867220841835e+00,-1.092894121199570190e-01
4.145168563563278674e+00,6.314272697242245824e-01,4.578108915976633497e+00,-5.765837968683622528e-01
3.244580373372841553e+00,1.076803704612941059e+00,3.105515741438392041e+00,-5.929378470579549365e-01
4.807664920677978238e+00,7.143099978142574136e-01,3.925130906591906221e+00,-7.032583527119700140e-01
2.036200732130900359e+00,7.522734485901733104e-01,4.947963035424486122e+00,8.021616175078744027e-02
2.897274099450049878e+00,1.110447033781909454e+00,2.721802861948174890e+00,-3.978351351123551871e-01
3.091443747581890999e+00,1.427209748454071336e+00,2.821885946365176867e+00,-7.621292451331791451e-01
4.286968678892781881e+00,1.271961717390365232e+00,4.080248246634543108e+00,-7.041786383351101852e-01
9.837256294766992815e-01,7.176546379618912175e-01,4.147304947358297689e+00,5.656254507061768688e-01
2.210598582716195359e+00,3.830592659326680360e-01,1.799295449669894964e+00,2.883419941738754044e-01
4.576807119812795754e+00,1.462786791989480584e+00,2.246794647109132015e+00,-4.680433392118731328e-01
5.024143762705596261e-01,7.082686185421313008e-01,2.921682849965496764e+00,8.635512406483656367e-01
4.166719516853059524e+00,1.163213172040072241e+00,2.945535185946594581e+00,-8.045861514730191510e-01
2.252304975644755736e+00,3.688499886971418062e-01,1.950062497069205314e+00,2.714055694444290068e-01
4.200078730807082827e+00,3.141407780922870208e-01,2.020666609659333979e+00,-1.613674807379155696e-01
3.467864357942722076e-01,1.069911378284900350e+00,2.521365421976657473e+00,9.819017821935991375e-01
2.015716941463872036e+00,1.337010850885928193e+00,4.170278056074243622e+00,-4.316400595593850031e-02
6.695611746785073981e-01,8.191348133908040730e-01,3.256871862561728115e+00,7.444457734384188896e-01
3.367288508782200651e+00,1.064830326685496598e+00,2.339650821409940740e+00,-5.623592822131537883e-01
1.587090763417918771e+00,1.143521881350130887e+00,2.191691044247794373e+00,2.480732359178620672e-01
3.602464732100995715e+00,1.319455604491214462e+00,1.726764972263232556e+00,-6.942107497102406599e-01
4.735866706627827050e+00,4.091018989465375899e-01,3.095229895411316878e+00,-4.450279575124391207e-01
8.960403806278645078e-01,9.414405802415153346e-01,4.951446838677290074e+00,5.578337436075154754e-01
4.364457988383638742e+00,8.307525193803692032e-01,2.455301386233528671e+00,-6.841673847124349894e-01
5.794815125215907470e-01,7.083091162441464972e-01,3.704370316201012425e+00,8.115706206067867523e-01
2.089621389061180334e+00,7.448324888963867574e-01,3.121206052734017078e+00,9.679176294899938249e-02
2.319938087539310079e+00,7.985368919648555552e-01,3.420260287171218216e+00,-1.092844215068122793e-02
2.597592870117281905e+00,5.064389143823665451e-01,2.285562907240406005e+00,6.757972355315938762e-02
4.889372913099409246e+00,1.336438069453238286e+00,4.204420182179704035e+00,-1.424686011634899441e-01
3.945748584078593524e+00,6.465444895843246442e-01,4.099709579550297356e+00,-5.272712082398300915e-01
1.751629604780526872e+00,7.796667619662709381e-01,4.165253698808527361e+00,1.870957631051757275e-01
1.568232891853760691e+00,1.001772335312323348e+00,3.504651841185861372e+00,2.196601986272798679e-01
4.356664959689793726e+00,1.123494965060578110e+00,1.801374819961611529e+00,-7.174467095295216090e-01
4.442143711867142741e+00,8.886381041002161529e-01,4.369412761400488954e+00,-7.658394293780894646e-01
2.700320576055132982e+00,8.311625751648474836e-01,1.549751343442147711e+00,1.760377130670137680e-02
1.918189935522928602e+00,7.399688311400299812e-01,2.346390403163939542e+00,1.944944574064189358e-01
4.976111536356313536e+00,9.049463140914841830e-01,2.929862082220848318e+00,-6.457397508205078296e-01
1.784934663228191054e+00,5.799591661075979010e-01,2.571878289342869550e+00,2.818167462855213357e-01
1.158748180954843443e+00,3.243112513148303511e-01,3.247070610541275215e+00,6.299158207635717766e-01
4.436461170129128107e+00,1.398188858024564052e+00,2.795804890150571431e+00,-5.600644396073749531e-01
4.117976371122893831e+00,5.262344807062928620e-01,2.661511026655260626e+00,-3.988148901709325234e-01
3.439080206185350708e+00,7.806298483789969600e-01,2.421664946189366674e+00,-3.781968670375917552e-01
4.804544069356373903e+00,9.462708309498719661e-01,1.752062463100859890e+00,-6.555164362116672194e-01
4.650858512907768194e+00,7.030616460214741403e-01,3.020026162508398393e+00,-6.730318896885869595e-01
3.816767965518244488e+00,8.135061954036914011e-01,1.609506996951672431e+00,-3.769182515340119277e-01
4.345296624874085190e+00,7.706713842908871070e-01,1.797486418622760151e+00,-5.416536751392587723e-01
1.461589679513905171e+00,8.436984864509214921e-01,2.126959822572437098e+00,3.524937108929991347e-01
9.638588174348485804e-01,1.222335367523490479e+00,2.620694484513698796e+00,4.933273406020284857e-01
3.449290691780198870e+00,9.284711071052379472e-01,4.920092171146066562e+00,-6.253199621465060920e-01
3.658707122277337742e+00,1.343472871609854957e+00,4.283271619523628893e+00,-9.173944321231205512e-01
1.085148765276679361e+00,1.108976792694944757e+00,1.573441239951245851e+00,5.200545394741139527e-01
2.159119183592917324e+00,9.192333113602263461e-01,4.067944926992337784e+00,-5.980680137847027567e-04
4.578202101215457454e+00,6.992008909729976462e-01,2.088405670333257191e+00,-5.863024009925292823e-01
2.938583607486048077e+00,3.928035343165078852e-01,2.066553421678675395e+00,5.683662827535965190e-02
3.018178800153481500e+00,6.754574145145074704e-01,4.190578144380370240e+00,-2.336857967584264617e-01
1.212409932586729910e+00,1.046181129910442431e+00,2.199700234878282590e+00,4.142202097487010515e-01
2.772304568504013300e+00,8.931456215400391807e-01,2.993923957120581125e+00,-2.174254098387360945e-01
2.760143218756123673e+00,4.578423615628509080e-01,3.520727333864178910e+00,-9.865278019916545738e-03
7.179975091574782864e-01,9.850454036918293577e-01,4.086708402671364482e+00,6.782579005413804651e-01
4.915130657695519822e+00,6.508052210727651721e-01,3.999578943560676336e+00,-6.819116238905302829e-01
2.985559322142139926e+00,6.223089559570280649e-01,2.830207703501977257e+00,-1.439222671219869132e-01
3.301217485222577852e-01,6.705923701432849882e-01,3.299838236726104768e+00,9.643213357044191358e-01
3.931451245759326696e+00,1.124412675936387274e+00,2.561518255761984886e+00,-7.953031290520948815e-01
4.897848855048684946e+00,1.096804427921723724e+00,3.860304666017752240e+00,-4.845104804887140348e-01
3.072389133108467174e+00,4.013730257933936785e-01,2.976559622096670132e+00,-4.311179510832729989e-02
1.802503690528525437e+00,5.494779217909184776e-01,4.301565555988696055e+00,2.485635739426672597e-01
1.181286263920588997e+00,1.018532128452074081e+00,4.999093737933944404e+00,3.704101591186104714e-01
3.460875179409285796e+00,4.044381167722837511e-01,2.789977776772754048e+00,-1.379831799427162498e-01
1.217004772746983710e+00,1.214921295828913950e+00,2.900739271395130103e+00,3.489817005873105393e-01
3.015133094833938543e+00,1.191177631863116648e+00,4.329248867620174579e+00,-6.176230368758814926e-01
3.130524128984241372e+00,5.150220559165595846e-01,2.568902545165225870e+00,-1.106525899309984684e-01
4.823388537684590638e+00,1.483617957904808327e+00,2.601817166729602171e+00,-1.681137392836281053e-01
6.396467479904208719e-01,1.270971325809309826e+00,3.388844384385744757e+00,7.058369922374003735e-01
2.649872271195507167e+00,4.400333157464882405e-01,2.796365571983324028e+00,5.788637384826078591e-02
3.797258152628447014e+00,1.369245713225299976e+00,1.889012918592091639e+00,-7.964539454934282947e-01
1.132965680230896499e+00,6.475535298463245271e-01,2.532335224455379397e+00,5.335024082888977226e-01
2.123913639387240426e+00,8.684595507023504801e-01,4.992307291247863432e+00,1.433483249995670672e-02
5.956088427383652295e-01,4.669977691897162497e-01,3.048287638572195313e+00,8.279642899911978660e-01
3.711640059746150744e+00,8.363826355464361040e-01,4.469291977980575759e+00,-6.339483575204226673e-01
7.125090677695877783e-01,1.283727277396199851e+00,1.947539421326061060e+00,6.880777933887540776e-01
2.156931029282447732e+00,9.786826051398765935e-01,3.047545822032263985e+00,1.360255350237815630e-02
4.405556366267441071e+00,3.889940876659859215e-01,1.895394290671412074e+00,-2.530904112134996220e-01
2.519811582725054233e+00,6.839165883089616260e-01,4.037595460019351989e+00,-5.571456950726644264e-02
4.589323088112162274e+00,9.523207094442339704e-01,2.652988469889460355e+00,-7.294354587717095662e-01
3.899810453372700270e+00,8.357350177231758215e-01,4.650410659317481432e+00,-6.924171420889955186e-01
4.602022612525299650e+00,8.796186981747212696e-01,2.744955640426668175e+00,-7.256886667013535686e-01
8.987941425298597853e-01,1.492148281504963148e+00,4.986920331725172240e+00,4.453088089275322181e-01
6.457456550539705242e-01,8.931963339131504531e-01,3.283070475633955709e+00,7.507687525221374836e-01
6.305333917753249695e-01,1.477580574940827951e+00,4.918636788468629284e+00,6.719218346471413916e-01
4.383615183432400642e+00,3.701555244938610767e-01,2.989509923501199484e+00,-3.313359047174665450e-01
3.280128902932983426e+00,1.364060462528130291e+00,2.586212234583662006e+00,-7.809016821748131498e-01
2.633886960854609161e+00,7.996928886676977211e-01,4.262495704989179401e+00,-1.532067902169687579e-01
1.068654056123457208e+00,1.330787483009925776e+00,2.800617490093880502e+00,4.079609976831899965e-01
3.466547157318186301e+00,1.403814839127800473e+00,2.672555319125907936e+00,-8.714302902904398351e-01
1.794681722875250740e+00,9.486648191169695377e-01,4.601652570192670488e+00,1.251263678159507675e-01
3.641135357349940982e+00,4.232886889707883626e-01,3.699885629999700054e+00,-2.339507940232845307e-01
2.463670045676426668e+00,7.398009695370104666e-01,3.131251192741436817e+00,-3.270680555263816292e-02
2.685108344559277604e+00,3.855649392457385916e-01,4.163580450774570174e+00,4.824612817125464859e-02
4.011428942561391153e+00,1.281578280917046397e+00,2.563273399799063323e+00,-8.268211614424347822e-01
7.359037349598894773e-01,1.475113845430863657e+00,2.094345418945010806e+00,6.375316661769216964e-01
3.020164965620462105e+00,1.115507457278296144e+00,4.438591362724713996e+00,-5.615843701199960680e-01
1.227004252290582187e+00,7.577478902346898026e-01,2.365834459022101655e+00,4.633057986125216354e-01
4.098242733523770553e+00,1.191711534072653622e+00,2.187330094636714684e+00,-7.869967592444213622e-01
2.597576369807521601e+00,1.496297342873092351e+00,2.658390287462035317e+00,-4.526238758637184389e-01
4.946868066828752575e+00,8.659750416166065445e-01,1.951776863093242609e+00,-6.551457832759501887e-01
1.159833625975877913e+00,4.152343551005746036e-01,4.560285128219553563e+00,5.794261640860387530e-01
4.826189958584055972e+00,1.010393894203676313e+00,3.127552406315521782e+00,-6.334053866124382814e-01
4.064310072060462353e+00,1.327358965954287706e+00,2.038492189018544121e+00,-7.943006562662420222e-01
2.561924333903762285e+00,1.130329111510265161e+00,3.222327154651642989e+00,-2.495662411533607350e-01
4.123610101644286985e+00,1.252129717717926694e+00,2.954757501889363702e+00,-8.056175818266132493e-01
3.133389854633247040e+00,8.649452915341211412e-01,3.095675673999716437e+00,-3.705401118311240083e-01
3.379069000759487462e+00,1.229598501163631674e+00,1.508787787905817801e+00,-4.627520542137222859e-01
4.594346584724728011e+00,1.044616611439966425e+00,2.634642269973475948e+00,-7.134422981662568164e-01
6.067709571330694995e-01,5.105483316669943150e-01,4.433990479339250612e+00,8.132733439828301325e-01
4.224444558604482758e+00,1.298393546463162185e+00,3.438607483098715001e+00,-7.381065444907906059e-01
2.094529465841322491e+00,7.143630852864708558e-01,4.155866541334292563e+00,8.052504106337832201e-02
1.830064395673310917e+00,1.109582916369266981e+00,3.257418073682517790e+00,1.086844171705856898e-01
4.971925824686926454e+00,8.148224874690342956e-01,2.101023172096525116e+00,-6.590249556414422560e-01
3.971595359758977484e+00,1.404484259841781935e+00,1.836277772275553000e+00,-7.927706427596897809e-01
2.582015152264062419e+00,7.502507540970559941e-01,2.295119050172886865e+00,-2.721238470118680919e-02
2.286353463196471925e+00,4.756470802391818409e-01,4.111034511633747890e+00,1.161941003795432248e-01
4.424385857597441962e+00,7.583973600668657555e-01,3.110881014526641231e+00,-6.882616339330236421e-01
7.080298994100024945e-01,5.178928906715463132e-01,2.388462678665132621e+00,7.747385575308602945e-01
3.629568157495170588e+00,1.343200718328243726e+00,2.231460429543424606e+00,-8.226942037733375734e-01
4.009026731414186528e+00,8.123739906274384248e-01,4.477198562932835912e+00,-6.968660032150229000e-01
4.056222984665740050e+00,9.012478869232084522e-01,3.889586598262419148e+00,-7.544434353561392248e-01
1.814747606277209435e+00,1.283933883504932094e+00,1.517012052879708417e+00,2.419094669278433196e-01
4.044204158906456570e+00,1.371402858673847147e+00,4.895514829067238338e+00,-7.756533707960115986e-01
1.359043676815626212e+00,1.109840575388232109e+00,4.221185323961903713e+00,2.741840868633417250e-01
2.002847367277474699e+00,9.963442372734999664e-01,4.331614177791599296e+00,3.836852833370030247e-02
2.262006127360585150e+00,1.074239654509334674e+00,1.826451533801931593e+00,5.347833076164226762e-02
2.844626923061773560e+00,1.283462344653294451e+00,3.779161102531121585e+00,-5.632607671270264404e-01
8.292842280406187427e-01,7.165061875370517530e-01,2.813524124263036441e+00,6.694221901119299378e-01
2.212654663004738786e+00,1.310645486278652738e+00,3.007918608866476884e+00,-1.091221188492142447e-01
3.014132435025376755e-01,1.489385914388214882e+00,2.941831940953807401e+00,1.046212865639577050e+00
3.798589413832775818e+00,7.665630333346044045e-01,2.981432691258132373e+00,-5.447040714260222849e-01
4.303816787501007823e+00,1.257071146306149911e+00,1.667463798579024381e+00,-7.188405983112846620e-01
9.529788918649284568e-01,1.288384347914732331e+00,1.890195813640914491e+00,5.319216531490186251e-01
3.607793115553949992e+00,8.631469686007376962e-01,4.518148098919511746e+00,-6.221983608155440271e-01
4.159184515454802167e+00,1.253676268292949647e+00,1.670212109620019092e+00,-7.281434968323160506e-01
4.914593117497431329e+00,3.659776040198822744e-01,3.893555764175372413e+00,-4.574854141408501440e-01
4.265815643133016088e+00,4.199107431322942618e-01,4.703084251627087653e+00,-4.027658637453689350e-01
2.293300481586860506e+00,3.436986026687380846e-01,3.603344382267064550e+00,2.104933186705688353e-01
4.904536929995385819e+00,1.331424946408013454e+00,2.747537564280281952e+00,-2.740739001927415819e-01
4.877726702806069348e+00,7.746360015402211641e-01,1.976088086886722106e+00,-6.409668037915996486e-01
2.667281802242721156e+00,1.180735351574311531e+00,4.362239822654367494e+00,-3.880739433459369225e-01
3.841198731344354744e+00,6.550584909194505645e-01,2.988876570038272451e+00,-4.599203511137129885e-01
4.595037038063865431e+00,1.327737484406197765e+00,3.357618532324426752e+00,-4.636289821477986850e-01
2.537891238253139559e+00,6.676514753699392957e-01,3.277731636507437152e+00,-3.580261936699802305e-02
4.359795333156299080e+00,1.126694697265969491e+00,4.586599482931425165e+00,-7.451821620038400207e-01
3.597372260490802276e+00,1.388441961791304635e+00,4.043498516103079865e+00,-9.285287915037487849e-01
1.681444003080420968e+00,7.997344470165553831e-01,3.595754414450202052e+00,2.183445947084095007e-01
