B,T,M,M_noisy
5.166492536201062080e+00,3.413913794486802544e+01,6.008550787682614275e-02,4.781198733438039861e-02
6.835799423997188207e+00,3.820619595194094131e+01,7.125175026949776003e-02,6.441948365169214430e-02
4.784234043023843697e+00,2.947312140242328837e+01,6.428331355615105047e-02,6.356287675887876965e-02
2.154769837124063336e+00,4.307069961229041866e+01,1.983470654881041087e-02,1.038719031820263712e-02
6.735064016148129440e+00,4.196162886783550761e+01,6.394566926764677639e-02,6.296296958912460384e-02
4.125017464019923530e+00,6.626709147157885837e+00,2.115716945315567199e-01,2.125265248062512546e-01
4.136022187285610663e+00,2.352107779309484670e+01,6.920663117186598434e-02,6.956249354242084737e-02
6.048938640847205228e+00,7.792259091144790872e+00,2.777365962565997992e-01,2.726736796734566259e-01
1.268584082701156968e+00,4.762587388600194060e+01,1.055938313615274911e-02,1.649686385401097702e-02
6.575051081042287748e+00,2.287477742139385839e+01,1.135673383607009729e-01,1.224790079035242563e-01
5.497966557425731260e+00,1.256375926883760208e+01,1.668405793045303620e-01,1.700490623501960119e-01
6.318065838282928226e+00,4.220617000268326535e+01,5.961469503791864966e-02,5.143239276401558036e-02
1.613768446259068456e+00,6.186375660618990580e+00,8.406259862677049888e-02,9.137912146462490171e-02
6.438676872962787456e+00,9.396173535002651178e+00,2.533678836857205519e-01,2.483534835010500208e-01
1.611459015851882448e+00,3.458383696397776674e+01,1.841064909492027071e-02,2.720225527780012476e-02
7.442656771717504061e-01,2.635631949866356649e+01,1.107368077295984785e-02,3.558066041854067441e-04
6.856293096867854153e+00,1.483014398103588505e+01,1.793571020540092043e-01,1.885017740852970025e-01
6.904139619803580707e+00,2.966142892458458391e+01,9.247734012009811710e-02,9.227670557394331008e-02
7.024643061690985846e+00,1.195441634295351996e+01,2.241485859877827003e-01,2.116610970844385320e-01
3.828086782934442933e+00,1.684330932307268824e+01,8.811872440054523137e-02,8.497972968087674772e-02
2.264982270048374602e+00,3.133090947876294763e+01,2.854470132092153806e-02,2.908572410863697819e-02
1.560254459650134706e-01,4.438074342992856458e+01,1.390978213315373791e-03,4.118891604959911551e-03
5.201195075042087446e+00,3.575255709314771480e+01,5.778990243168084101e-02,4.796802118227106587e-02
5.787284129718674563e+00,3.287493363882703790e+01,6.992181073343700648e-02,5.884808026178507678e-02
6.700996810352165767e+00,3.783906257944092744e+01,7.050902175958811968e-02,7.250486708805892189e-02
2.326834836179882959e+00,2.016203747033042859e+01,4.497722444341194226e-02,4.030972827461391794e-02
1.800223520587491466e+00,4.908694688978591358e+01,1.455014508656244862e-02,1.690520120386470107e-02
5.150717902526044334e+00,3.134048864038082627e+01,6.518047010615046766e-02,7.277566533093425549e-02
6.459933181845576300e+00,1.436294122455707800e+01,1.739154049149578274e-01,1.574275312514483438e-01
7.712999895475269874e+00,3.726331896793013243e+00,6.674348099519579192e-01,6.699786911171340398e-01
1.289146160327302226e+00,7.364268094202822468e+00,5.918389286737668620e-02,7.143036254273400776e-02
3.909477866774758947e+00,1.152843927750995157e+01,1.272728953378690075e-01,1.242976268941642787e-01
7.168255311349770231e+00,3.724988667248837260e+01,7.665133937157223021e-02,6.854319353919652302e-02
3.439463564868954659e+00,4.109701589468549798e+01,3.321671066997569643e-02,4.073914894177162183e-02
4.757066290463979996e+00,4.642173656234121637e+01,4.076412142794031551e-02,4.329858659002173288e-02
2.934763521975692901e-01,3.285969128852332233e+01,3.518366683194283900e-03,1.247719739096988731e-02
5.420333108508216924e+00,1.626929551882451364e+01,1.294923718845967242e-01,1.260402147840839204e-01
7.360800095107197905e+00,4.226571628848745377e+01,6.943070221010405607e-02,5.461251947288194020e-02
6.631920103498096353e+00,4.776656815442245119e+01,5.533654687689586182e-02,5.423643922978334947e-02
7.095610107008579526e+00,3.545138432180399235e+01,7.968828837059954706e-02,7.523000684048722353e-02
5.316807506112134263e+00,5.473185918598726829e+00,3.206582709975988599e-01,3.284115092180746043e-01
2.039862911221102859e+00,2.172713488553452876e+01,3.667961633537500377e-02,3.861594481914654153e-02
6.171284291280409562e+00,1.394929423079830855e+01,1.705601931934968563e-01,1.542517008691458580e-01
1.772230466599333143e+00,4.708450457052661164e+01,1.492786891145245730e-02,2.976238110420458341e-03
6.667071193849243294e+00,4.093392277405142465e+01,6.487654513040719273e-02,7.371443549627974823e-02
5.954715883090692108e-01,5.356501382250211662e+00,3.342566018601959149e-02,4.022331036019805711e-02
6.621353725809091095e+00,3.125273265544933565e+01,8.419665827105565770e-02,7.779422461197077476e-02
1.399607405145400385e+00,4.928708398962453430e+01,1.126197579617446015e-02,1.125148783050165281e-02
3.063661272323470630e+00,2.714269409695041091e+01,4.449721680510413530e-02,4.895295234286599351e-02
2.602231515800017991e+00,4.469318452480072779e+01,2.310312160754029662e-02,2.778716496601307470e-02
5.561562578694156045e+00,4.099187250620570921e+01,5.397810187604533405e-02,6.274052383718883852e-02
1.510717837577538303e+00,2.463379514556799421e+01,2.403810386076675465e-02,2.660296013298237353e-02
3.230423681514193124e+00,2.321640302682630974e+01,5.463846652930497150e-02,5.369018313961999161e-02
1.460143013530494915e-01,9.759257012090102990e+00,5.349173373767090664e-03,2.760692725888635145e-03
2.173708230725801993e+00,1.901453936544049839e+01,4.440858152214088861e-02,5.496600952747340146e-02
3.427391632408746780e+00,1.118560043158318074e+01,1.142997553717878118e-01,9.179121262100242706e-02
9.367777699878632180e-01,4.259396402488532374e+01,8.705973940838756392e-03,7.319420689925383409e-03
5.101963573688806264e+00,3.096335701727462464e+01,6.533413035478348452e-02,6.566413139462408399e-02
3.105351732103605489e+00,4.693962902472647869e+01,2.627406332884666545e-02,1.202057372014478896e-02
5.829822110802287405e+00,2.169700244120598853e+01,1.058517047628976110e-01,1.091798408942780824e-01
5.265541487440315471e+00,3.568204740216958726e+01,5.862411950260097704e-02,5.211130937816703390e-02
3.506691315341508908e+00,4.199120892940584326e+01,3.315341828839359767e-02,4.177786625155106848e-02
6.951831994573373308e+00,2.618109457089214942e+00,8.690102387124514216e-01,8.677543178721081052e-01
5.093867428251319218e+00,1.749698928992442148e+01,1.135073365525287314e-01,1.201988689604232552e-01
6.501167381639762155e+00,2.293903000415789251e+01,1.119699824916417646e-01,1.241584185433539933e-01
2.800178319126893189e+00,4.657296531317992105e+01,2.386963976809646296e-02,2.769893559523118817e-02
4.394987388380799054e+00,4.378346512608675312e+01,3.990227454857046829e-02,3.114506311434201563e-02
1.650745392406552048e+00,6.056395651941540947e+00,8.728550121286718366e-02,7.214231489582079160e-02
7.969515401937160348e+00,4.786203761676882351e+01,6.644586923740108952e-02,8.397971041256481473e-02
2.021402168019984291e+00,3.209138282807164444e+01,2.487231423697405797e-02,2.375939230509886355e-02
2.129252991094111813e+00,5.452811555620037609e+00,1.218933421454889698e-01,1.150076926691457474e-01
6.782015718886311717e-01,3.512586794372690235e+01,7.620042580368873233e-03,9.062613460977123406e-03
2.136644640074218948e+00,4.305740624155311735e+01,1.967346469384546881e-02,1.775935138901897636e-02
6.128715407098020762e+00,1.442505359390649389e+01,1.641818476953100236e-01,1.727032703374369038e-01
5.613359208396342837e+00,1.748775474731942126e+01,1.253107900725619339e-01,1.256500718969329466e-01
1.116518377305638632e+00,1.532924911853136507e+01,2.779628628881919070e-02,2.793378212500338686e-02
3.072284161281944481e+00,3.572035508256524849e+01,3.407021701134294034e-02,2.692441980101329888e-02
3.425279017477957488e+00,3.647740020684890538e+01,3.722360125692197180e-02,4.191928224439690764e-02
5.353375546259489859e+00,3.916876307079036224e+01,5.434587214775195296e-02,4.400720492420212571e-02
3.701838808045616158e+00,4.620997430772042947e+01,3.183192071838165937e-02,3.849081511602132910e-02
4.733494781921697481e+00,1.072775593227021140e+01,1.647683886379284479e-01,1.800077637678297593e-01
6.733508368510644715e+00,3.599590072426202880e+01,7.445449351705468732e-02,5.920763313606317024e-02
5.839141521467726470e+00,3.299374348703811677e+01,7.030208052709692457e-02,4.563978821358374849e-02
2.983557381717615975e+00,1.460581195121753417e+01,7.819579169476406633e-02,8.436457924630726135e-02
3.642330843821425912e+00,4.881480711324462618e+01,2.965669321677469328e-02,5.513567137160595155e-02
3.004826600551052440e+00,2.489409080809271302e+01,4.747453670087677796e-02,3.746528821215783928e-02
9.669038456529042147e-01,4.754371883322647108e+01,8.059443134579907450e-03,-4.447514453439974438e-03
1.705608198290433197e+00,4.864514206897578674e+01,1.390833782313478061e-02,1.979802716093951795e-02
2.342071262658635522e+00,4.520230860025426978e+01,2.055514962289186134e-02,1.214793372230878361e-02
2.581657775258187737e+00,2.405529727904447412e+01,4.213155188965612280e-02,3.707129705028876232e-02
2.573078084677507871e+00,1.542928592708105562e+01,6.401951119579706029e-02,6.053833652895928424e-02
4.655927758398321181e+00,3.011657308905727604e+01,6.123208996663470627e-02,6.655211082955268809e-02
7.776350807396061882e+00,2.357771998172665917e+01,1.306775799404874816e-01,1.266245563265562812e-01
6.219846665897482474e+00,2.447367592853945695e+01,1.005172983368723960e-01,1.032961267376739933e-01
6.349958190565160976e+00,1.371590449769259301e+01,1.783490974322052003e-01,1.765837648432694584e-01
6.098221154262681409e+00,4.242814761930959833e+01,5.722763468309225582e-02,4.878092364657622693e-02
4.816203071137675984e+00,3.707475647538949914e+01,5.159686886466044453e-02,4.839860628722823105e-02
7.349768831650210998e+00,4.353486069823392057e+01,6.731266427496440663e-02,5.780866762328522312e-02
5.548078228031939396e+00,2.751386364408933360e+01,7.985610247607249912e-02,7.992125233476998769e-02
4.052815802821280400e+00,6.447859118772004905e+00,2.120352896233421158e-01,2.007966273476857466e-01
7.089620871542561265e-01,4.339082909723110504e+01,6.467298487086888849e-03,-4.461645205865542689e-03
3.958748893975638783e+00,5.324057677213390960e+00,2.386750708260870768e-01,2.532446889791396538e-01
1.781364863188641401e+00,9.416768455041598429e+00,6.799416353839243810e-02,6.746232133533902608e-02
1.148300750619619448e+00,4.731776624119930119e+01,9.618634943843049762e-03,9.079614689122619819e-03
4.097912887982046115e+00,2.895222916446719097e+01,5.597342326440749027e-02,6.108878746358367695e-02
6.302173811515975999e+00,3.439987569758675789e+01,7.285078848153520026e-02,6.864221845604648320e-02
2.430550898163604145e+00,4.140764802501551856e+01,2.327071126437055965e-02,2.098535758958897796e-02
6.173296903282414760e+00,3.389874251288576090e+01,7.239363046545690961e-02,7.664511781877600405e-02
4.252473232981807350e+00,2.331062182821113282e+01,7.179555668061597673e-02,7.461971510305999422e-02
1.277479384628629200e+00,2.806397206139881462e+01,1.790018172368722238e-02,6.307214454362925979e-03
7.723245177439912013e+00,2.112722209626891967e+01,1.444111599380606681e-01,1.527445859047572851e-01
3.272926168719288320e+00,2.970514039858827715e+01,4.353364244559633500e-02,3.762929301270590693e-02
2.432350619735296871e+00,2.105937474078665161e+00,3.878924440996031620e-01,3.773316545964612856e-01
6.791287128006463725e+00,2.639677261792362728e+01,1.020109498490113925e-01,9.300619914902087670e-02
1.083236626872290831e+00,3.143445564595619857e+00,9.143451289049828179e-02,8.752905944694505669e-02
5.895364642482256556e+00,7.264253543550832859e+00,2.861962571227723573e-01,3.024692596690030100e-01
1.583815466267199934e+00,4.262567718116638105e+01,1.471987321079401556e-02,2.964514161586209381e-03
3.200685030499401673e+00,3.365053363066146375e+01,3.765396124937141903e-02,3.925472017471482583e-02
1.932009039850893783e+00,1.074405779977448283e+01,6.615579586923653332e-02,4.477755228833076029e-02
6.745701142269856732e+00,3.786572121208781994e+01,7.093339699870371273e-02,7.091772766725173982e-02
3.181588960324908122e+00,2.483759694021645004e+01,5.039621818769586536e-02,5.939188236245593333e-02
7.800073221770085219e+00,8.472621246710188458e+00,3.373050083598898574e-01,3.349383751392753239e-01
5.039565726879343011e+00,4.662491336686553467e+01,4.300978060827227722e-02,3.671623136943885646e-02
5.579620394153029572e+00,7.414644727299279481e+00,2.657905020454736644e-01,2.681056126860590361e-01
4.220048464846098746e+00,2.947657184878016423e+00,4.464652727856477932e-01,4.534667902971543096e-01
2.540848772697170244e+00,1.431688296591656062e+01,6.770904413470713035e-02,7.434561984488119446e-02
3.224895726314187083e+00,6.169275532363208470e+00,1.724309991843053225e-01,1.921557377236032260e-01
7.533380082529023802e+00,2.802630011915313801e+00,8.703706450167367770e-01,8.724623197400995789e-01
1.689505285724849371e+00,3.335561007028260860e+01,2.000358958265540527e-02,1.407948858512608065e-02
7.906929319639677267e+00,8.334182671582002655e+00,3.468808549145559472e-01,3.456210630146895335e-01
6.090616309830165775e+00,2.906623251497541816e+01,8.312906876290057645e-02,8.240408330670245807e-02
2.942316719291621308e+00,1.364431180021216328e+01,8.204639517956735517e-02,8.313376901434854638e-02
5.167957357094266513e+00,4.715120651684047459e+01,4.362103123622676493e-02,4.332075310393241480e-02
3.109754160415391766e+00,1.236108743815068323e+01,9.482932710655998798e-02,9.656898649552202174e-02
3.113794167855368222e+00,2.699142686439543581e+01,4.547706255589677171e-02,2.876856194974564476e-02
4.080043306536783376e+00,3.727938838263951027e+01,4.343241965517340847e-02,5.172870921557383428e-02
2.321102909194789621e-01,1.693423609421482823e+01,5.254159815786182963e-03,-4.932328734241408705e-04
3.999215323552830270e+00,4.192349072254374676e+01,3.789178124851406981e-02,2.616019428404382091e-02
7.775627466230415230e+00,1.707098970230763868e+01,1.784990438159836379e-01,1.848765554123980026e-01
2.355175307406069951e+00,2.061728306115692533e+01,4.456710153975759758e-02,5.774036161361841696e-02
6.010921876705236144e+00,2.265863756133143880e+01,1.046780643144871320e-01,1.096083458094815610e-01
3.598032231556911320e+00,2.210691785272664944e+01,6.385754710255149569e-02,6.546914024100669582e-02
1.753320236680505406e+00,3.118129541169989949e+01,2.218185748465764315e-02,1.285965443093812187e-02
7.249520309463223455e+00,1.285978935679187884e+01,2.166166368772907969e-01,2.453323102554257895e-01
2.329355489736826823e-01,1.780227730126223662e+01,5.033158053178369076e-03,1.383574425979345116e-02
2.497720520136134326e+00,1.299065750324071367e+01,7.266375038082331650e-02,6.127080367739355660e-02
7.992304470359106183e+00,1.529337192881079766e+01,2.036998333467276989e-01,1.959034541843302502e-01
2.170959689900917144e+00,3.861355165587225713e+01,2.226538717976688994e-02,2.313517966548593249e-02
6.807451722688249163e+00,3.220480418344968143e+01,8.405366689330237562e-02,6.850635557334251724e-02
4.884896874380063814e+00,4.821388651635365363e+01,4.031598311311134636e-02,4.200228718321648985e-02
6.467682089464276807e+00,4.760624195009832249e+01,5.413904118980683577e-02,4.954832563267924650e-02
5.079510268003478046e+00,1.184410145157627881e+01,1.622757396078509662e-01,1.745384456110131433e-01
2.965305170757002173e+00,1.207740972613498798e+01,9.224405766865859113e-02,1.018656043049410570e-01
6.110231398209512221e+00,4.556710213883868477e+01,5.340885800295284980e-02,2.629600362860512464e-02
3.092279363413814597e-01,8.670071612406839989e+00,1.244852674123905940e-02,1.286555260151218440e-02
3.629822318702170314e+00,3.853688225583986338e+01,3.737018748866249157e-02,2.119551249342560909e-02
3.037651101973837697e+00,1.120446862673352406e+01,1.009519840210026387e-01,1.120483640134878750e-01
3.868884644535061312e+00,8.865759851984476470e+00,1.574567274513503645e-01,1.591377861426286067e-01
1.108203423318950165e+00,2.308370668577296669e+01,1.875790335335301290e-02,2.424195787522298584e-02
1.857804240975552412e+00,3.483486450455542638e+01,2.108218483565017093e-02,1.043093754761718027e-02
4.540207561787704016e+00,4.252009686139421518e+01,4.244396408191362935e-02,6.072826646186862964e-02
3.163376013682036358e+00,1.199125017835168983e+01,9.912247022561837539e-02,1.193232038971228232e-01
6.354084024163690003e+00,6.785789166303395348e+00,3.269826447037713635e-01,3.163349342775092499e-01
4.880579055292364465e+00,4.005022015712507510e+01,4.843737641744551986e-02,5.216552763610868282e-02
6.904006809817253121e+00,2.364882680521700919e+01,1.155090236850210006e-01,1.087759994011191361e-01
5.885650614872275810e+00,3.125934408435647427e+01,7.474979183171531760e-02,7.451409246310800039e-02
4.854405237292663600e+00,3.004167233630626299e+01,6.401842666434118256e-02,5.136205687209554477e-02
2.372163257348366194e+00,3.851923982989899287e+01,2.439418403054161716e-02,4.306563917634780025e-02
6.283807696616730887e+00,4.949882784170993943e+01,5.058622235281646368e-02,4.089442724198978640e-02
2.085013867551546163e+00,3.310839147840568586e+01,2.488275750681013046e-02,2.192191935683518444e-02
6.941677833337950299e-01,1.953015379993323819e+01,1.376799280793831667e-02,1.878282211904354002e-02
7.706630169701499611e+00,1.039471162259057202e+01,2.792295418658448658e-01,2.727539350816836072e-01
4.366088520262105810e+00,6.938183309892723472e+00,2.167662455560296353e-01,2.143731212587066115e-01
6.213764950643509088e+00,3.519459960075729299e+01,7.021396643952651506e-02,6.457756797525686376e-02
4.280860180279844940e+00,1.424497320214257989e+01,1.153387206661330294e-01,1.140041131177700895e-01
4.931479869937389182e+00,1.532485470386358095e+01,1.244315863916249099e-01,1.127261600406218867e-01
3.677487790803992684e-01,2.328065004551930883e+01,6.163061355542948441e-03,1.783180599519942032e-03
1.575670066895087595e+00,2.732472984006521344e+01,2.267326310954374813e-02,2.060433386242130349e-02
5.430046223934741789e+00,2.197510496754226850e+01,9.730610834347325211e-02,9.396884830543190958e-02
4.607460323824736470e+00,4.787380878736063750e+01,3.828478614775158301e-02,3.885168569668953631e-02
1.352584768495030287e+00,1.630837315901177220e+01,3.183246061455706488e-02,2.890143842098985213e-02
7.621031222936859528e+00,3.089689410456553276e+01,9.814265848780022450e-02,1.056747725721940284e-01
1.319393697124494169e+00,2.779780399625352061e+00,1.300750798127751073e-01,1.268431205549168106e-01
4.131395672935614272e+00,5.061048399701025602e+00,2.596711505448981439e-01,2.583046545819392970e-01
1.237622712652135748e+00,1.154945030086721225e+01,3.967765330369893428e-02,3.302983994374041055e-02
5.767236636239253755e+00,1.550445793937984540e+01,1.442923990597844708e-01,1.390272506586321122e-01
2.282872811351706943e+00,2.438351932759976748e+01,3.674617952644079061e-02,2.410125161824366868e-02
1.159658403462088039e+00,2.956195529259869303e+01,1.544172019982302177e-02,2.062956940860266250e-02
4.632987272970737758e-01,9.964213215540489443e+00,1.672885200066573722e-02,5.303671824140815741e-03
1.481200749391226701e+00,2.977518834147129212e+01,1.959637943355322168e-02,1.213781545166997197e-02
1.615209862116174788e+00,5.927505915043647988e+00,8.660043742121011079e-02,9.019288394132216058e-02
4.342079428617161341e+00,2.082918636846913074e+01,8.175166601597935734e-02,8.577739967542467869e-02
3.663207200753990644e+00,4.030865988831999402e+01,3.607284553230416524e-02,3.207169802225345867e-02
7.662625501302945175e+00,2.479961691690466097e+01,1.225325215348497532e-01,1.023398634299617360e-01
7.637795561246475629e+00,3.397128104484461630e+01,8.954189149299970896e-02,9.374702436595545862e-02
6.392714272700599665e+00,1.273140275811804045e+01,1.922627907860469110e-01,1.948584253749675033e-01
5.405542308447556010e+00,3.596118679504598958e+01,5.973071312529078247e-02,4.560690097057303050e-02
6.775682423389937092e+00,4.924661319796943815e+01,5.484886846872909921e-02,6.255208929667406548e-02
7.516139444991088325e+00,3.324555544767225967e+01,9.000869517967081956e-02,8.299769717533655999e-02
2.786800582073217791e-01,4.906492575754167973e+01,2.249836019366825701e-03,-9.012045142166179648e-03
1.033031294491783658e+00,4.202597652359118285e+01,9.729951689379633811e-03,1.068725879902220240e-02
2.946084689000780799e+00,3.887425722735145683e+01,3.004455099284187441e-02,2.825984667884972462e-02
8.393361390365378094e-01,2.500132357334702959e+01,1.314602161221143338e-02,1.517226162212290813e-02
4.836243337120889052e+00,2.955566360052679897e+01,6.480888266894838101e-02,4.875140208570399869e-02
2.156877356550058522e+00,1.386281638945116335e+01,5.909518084569227725e-02,7.721748200841600795e-02
2.188283860145371573e+00,4.397890180736717980e+01,1.973171485865274355e-02,1.370512871321546283e-02
2.377791110318138390e+00,2.644226219955379875e+00,2.681407960937516877e-01,2.527442030087875824e-01
8.719536949166813988e-01,4.027522472261320985e+01,8.563736338645235729e-03,1.475215822431672971e-02
5.953461180581455459e+00,4.712190480621502076e+01,5.032056870695153505e-02,4.677252740593976915e-02
5.240312193837235455e+00,1.792833559124242271e+01,1.141417057910796007e-01,1.173902906488086401e-01
4.891413916065973311e+00,4.039761928049466633e+01,4.813116160302755020e-02,4.473507729677716344e-02
3.689600999944259163e-01,2.260533439013826751e+01,6.360578670798330489e-03,5.763175065999128627e-03
3.492766742647132272e+00,4.313338688115550212e+01,3.215369519451424796e-02,3.461142363190058968e-02
5.513108360208756942e+00,3.219299868318228874e+01,6.797769141072959598e-02,6.051116257090061179e-02
1.335138534238332619e+00,4.676777383415393174e+00,8.308978759814179826e-02,8.987718355673737780e-02
3.146696972794651881e+00,2.003187377120561408e+01,6.133144255867875594e-02,5.663244156788332234e-02
2.566897492125014280e-01,2.923661686711868768e+00,2.224728854354812713e-02,1.355041710184340387e-02
7.466781769102123212e-01,3.796729573661884416e+01,7.771707725466761411e-03,8.542031943691789919e-03
1.809983281992525894e+00,4.380053671570674823e+01,1.637934619829247915e-02,2.082975898320289787e-02
3.375736273015864430e+00,4.981320071629554747e+01,2.693109653506087567e-02,2.464030311887447852e-02
3.759596286670300991e+00,2.726459289940036967e+01,5.443429398666948388e-02,4.580909611587385966e-02
7.087720099783092920e+00,2.078204365519121311e+01,1.345033859466873427e-01,1.407012416097736807e-01
2.601601693174705243e+00,2.717891066745333006e+01,3.770493164446207801e-02,2.010164372323430815e-02
2.695646225898118420e-01,2.328783433534301395e+01,4.515187638628797781e-03,-5.793453721726531461e-03
6.627164439492204906e+00,1.607070578293260610e+01,1.606721787597521489e-01,1.610674076650859821e-01
5.885907894512250049e-01,4.569240726121871177e+01,5.100827391452822900e-03,-8.509766591597852509e-03
8.346367420316039842e-01,2.092080926151048104e+01,1.551305600080777301e-02,1.579299864329946484e-02
7.709135562243906392e+00,4.499178467917388247e+01,6.834879707205168686e-02,6.780016589186704801e-02
6.051586803214031640e+00,2.919202451864511971e+01,8.224106929258732934e-02,9.122846718116901787e-02
2.769048201956115118e+00,4.265194245839120413e+01,2.575546349144521019e-02,1.660755997331229278e-02
1.144212848791646087e+00,3.394919596961381814e+01,1.330331702688799730e-02,7.044251790471570650e-03
3.155171528057706620e+00,2.452365604450531578e+01,5.059674357669233929e-02,5.392856042370233749e-02
2.779639652963371343e+00,3.638297531467781454e+01,3.025843701752779780e-02,5.682801115469725273e-03
7.008085491395537936e+00,3.682231706583912967e+01,7.578880239394908402e-02,1.067892253830949323e-01
3.408148836780916291e+00,4.373000153195931716e+01,3.094699427145755286e-02,2.396048696683986123e-02
7.481555475234140662e-01,2.411856004561884959e+01,1.212945906399814922e-02,4.831108536742571152e-03
7.421761098632830844e+00,2.742185281613483738e+01,1.074863254304700838e-01,1.160976005395072119e-01
5.016275573350554851e+00,3.868342104794947289e+01,5.153720329362649483e-02,5.113888487926965265e-02
1.022007868569917433e+00,2.670876053400591843e+01,1.501976714808119125e-02,-2.774519038954719255e-03
9.940758643667364503e-01,3.177732956353703742e+01,1.232954203572855095e-02,1.859881583665467381e-02
3.780872605197687975e+00,1.330190284499389008e+01,1.082464477415725906e-01,1.168002260815646787e-01
8.275028289440178320e-01,4.885274904200169033e+01,6.713241621417789622e-03,2.213778886658376507e-03
5.090842318401791466e+00,3.252664804244977148e+01,6.209867209530624960e-02,5.928266851238599838e-02
4.969431949649790958e+00,3.322627376375189101e+01,5.934699097826572067e-02,6.420683695085964426e-02
3.534426540834142427e-01,3.776908598159570829e+01,3.695758832990178946e-03,-5.392043666154316614e-03
6.478639970226226730e+00,3.981046494185564910e+01,6.479856686217065620e-02,6.918245250423973869e-02
6.315678611422038458e+00,6.603195793925486612e+00,3.320704939056262628e-01,3.340634790100712181e-01
7.330935322060936343e+00,1.976283445675241879e+01,1.461152247518449632e-01,1.393658985940857686e-01
5.395422509233968711e+00,3.073472922303295007e+01,6.962855393733931308e-02,5.570753519922086450e-02
5.573611635448263435e+00,4.972127757987368568e+01,4.463990576805124816e-02,4.238384746044038948e-02
