x,k,M0,Ca,M,M_noisy
9.699254132161325259e+00,1.917298011953697534e+00,1.929998785220780944e+00,2.158896017805134182e-01,2.134621846803489431e-01,2.156354039905745701e-01
5.160685855478787332e+00,3.656042880766053660e+00,5.838356651859464286e-01,1.953379156035734976e-01,1.446819483357756897e-01,1.658603358862861810e-01
1.158656124707703183e+00,5.611025268020039647e+00,6.488356719068300027e-01,1.727332851932646962e-01,2.699402374857400311e-01,2.588200298588171910e-01
6.234897555375003897e+00,5.460470128719588701e+00,1.186488656588434942e+00,9.688303372778043210e-01,1.950748023185401858e-01,1.912987522472701929e-01
7.766831143422979977e+00,5.089457289207606649e+00,1.662397818478354328e+00,8.522364819256638135e-01,2.051828304248577983e-01,2.256105464997811005e-01
6.130033010530404169e+00,9.576877098885347550e+00,1.424042474783123957e+00,1.193179000559733138e-01,1.734734040390998877e-01,1.799404340011183656e-01
9.172977047909027348e+00,5.142476820143827787e+00,9.975804507405122701e-01,9.840234904194565813e-01,1.557060566862619455e-01,1.623366904100245756e-01
3.959287666420285845e-01,7.357651761385612055e+00,1.395261735928787328e+00,6.831135541068406036e-01,8.814317871171564178e-01,8.762917234002818301e-01
5.285892632600216245e+00,3.409567728831576883e+00,1.696943614603105610e+00,7.887363571435725973e-01,2.774274101766513456e-01,2.609466584680948387e-01
4.593358828854037235e+00,7.468903351559545101e+00,1.882248091908226506e+00,7.366587893487112071e-01,2.735237375927060954e-01,2.751983850349334904e-01
6.234957914987560024e-01,7.504117171600610980e+00,7.074863961734825235e-01,8.340543365540642462e-01,4.740510272771020217e-01,4.751411681553174837e-01
6.413281691393749817e+00,6.728697201129029359e+00,1.764530624656492241e+00,6.895974235653146156e-01,2.183899624828565811e-01,2.061164419404108439e-01
8.526328384806568295e+00,7.567527915087818968e+00,1.471865504752777332e+00,4.389145047671232369e-01,1.649427638362610804e-01,1.581104972184554647e-01
5.929410181042840122e+00,5.766331289249803760e+00,1.304455784884323899e+00,3.921779084882555111e-01,1.917378149380844499e-01,1.910173781408121829e-01
2.600974477372232307e+00,8.570831795034898448e+00,1.161165448012292156e+00,4.864000407145259164e-01,2.670310892860835450e-01,2.575835730554757452e-01
8.398815210314086954e+00,8.342085953991073666e+00,1.266206765521427302e+00,5.823765832750915639e-01,1.554632672092577106e-01,1.544805675307355242e-01
5.094958815215093750e+00,1.054258761601313932e+00,1.188087531846503841e+00,4.129333338144854926e-01,2.515383652866420294e-01,2.524931955613365919e-01
5.108888844665329998e+00,4.538722294825812575e+00,1.506036046211077339e+00,3.017810370491269545e-02,2.225237087938258529e-01,2.228795711643807020e-01
7.530302077021779006e+00,1.294653437548613173e+00,1.868047110295495861e+00,1.546407169951300453e-01,2.486990545760177640e-01,2.436361379928746185e-01
1.479220357849565515e+00,9.510336488987899628e+00,8.553234015960844427e-01,4.529419706815149826e-01,2.959847195928846375e-01,3.019222003107428498e-01
8.196267191192770696e+00,4.405422843162482671e+00,5.030965738461525838e-01,7.968539716482468949e-01,1.333223522759693080e-01,1.422340218187925776e-01
6.832869060032571440e+00,2.278775349197755595e+00,5.386370706949301645e-01,3.863832072676112173e-01,1.418402732310169168e-01,1.450487562766825667e-01
7.870969415548010772e+00,8.392522563053423923e+00,1.867544939490101585e+00,8.638287284776210440e-01,1.952728395377633097e-01,1.870905372638602404e-01
1.916162590201352378e+00,9.634399800026668403e-01,1.893249049221742641e+00,9.172660337151115062e-01,7.226652179916461805e-01,7.299817408295006249e-01
8.023641611345301072e+00,1.625460791594296905e+00,1.812723501318662001e+00,8.098838114096318375e-02,2.270994591323922673e-01,2.220850589477217363e-01
1.913239260572002776e+00,6.820416373820414435e+00,1.373709683616489041e+00,7.230843178169038543e-01,4.037323906126494277e-01,4.125239967955292575e-01
8.155261736351271384e-01,5.123490896599360411e+00,1.377817842859274444e+00,9.531897379564276962e-01,7.354961737650990150e-01,7.247782995963245600e-01
8.552269742870702629e+00,2.746217196088651669e+00,1.105865413695964028e+00,2.981711406601309511e-01,1.653606803357016153e-01,1.745053523669894413e-01
8.612834961776684395e+00,5.805169715695570609e+00,1.006729536381518741e+00,4.456050923835699340e-01,1.474133606975168709e-01,1.472127261513620777e-01
8.765370964165805745e+00,2.153098370734163769e+00,1.899834292434559480e+00,4.610703019780137968e-01,2.271903122510330886e-01,2.147028233476889203e-01
4.719097193587902694e+00,3.161432547883741950e+00,1.295508088848026151e+00,4.491607991687226464e-01,2.409083859576614806e-01,2.377693912379930108e-01
2.740483886137182523e+00,6.149500079994857593e+00,9.128140341517442247e-01,8.279643248806655143e-01,2.562243302190319039e-01,2.567653530067473544e-01
7.091828603166261402e-02,8.841028332422766312e+00,1.485839574728271550e+00,9.207254776795129603e-01,1.223928855375883140e+00,1.226656768767527605e+00
6.457208955749478285e+00,7.061464900461714933e+00,6.374898538839085527e-01,8.375341793254592604e-01,1.433545086464955987e-01,1.335326273970858235e-01
7.199093835086930682e+00,6.467955063008075989e+00,1.525532817449923195e+00,1.287834048535537734e-01,1.797318617440038513e-01,1.686581312723519077e-01
8.355692165002741589e+00,7.491806657009690618e+00,9.086175275386577654e-01,8.928123804996337398e-01,1.458273811582984913e-01,1.478232264867692936e-01
2.818778273645421439e+00,3.845920228255651274e+00,1.541171540933631956e+00,6.868075175736713112e-01,3.763992320502230760e-01,3.717317358814250516e-01
2.152181671629735948e+00,9.811682796018345698e+00,1.222891639437593714e+00,9.362591358517652340e-01,3.300520258275546626e-01,3.324070819448569081e-01
6.393313800665878510e+00,6.151475782078545507e+00,1.791775334574699619e+00,3.928617570573634810e-01,2.174921066441276030e-01,2.250873018689114047e-01
8.050548331450096740e+00,2.649856627564897593e+00,1.634932073673911246e+00,3.056822808158436988e-01,2.076638248590628733e-01,1.911759511955533897e-01
9.636708728449708161e+00,4.560559537135590036e-01,1.974890734687655414e+00,3.397006298326366025e-01,2.542042896695875243e-01,2.567481708347637004e-01
1.505248304211774801e+00,1.206380294429332256e+00,1.371008129417970123e+00,3.818718547718724654e-01,5.478973653608772976e-01,5.601438350362346608e-01
4.822123881993364947e+00,2.065240600986427477e+00,1.739321927010719193e+00,8.835444239532640465e-01,3.306365975653423606e-01,3.276613291216376456e-01
8.947158621961735392e+00,7.370289126200725960e+00,1.488070688824431498e+00,4.846365933526408654e-01,1.639338454781442689e-01,1.558256996457685617e-01
4.227169069454372874e+00,8.163759528278882627e+00,1.605104280410874606e+00,2.880864013070969509e-01,2.401909065044381397e-01,2.477133447762340790e-01
5.895020620840480952e+00,9.261983165982876187e+00,1.843159989130166210e+00,7.708553966869159391e-01,2.203174233108855240e-01,2.228518884729669414e-01
2.449067749336319988e-01,6.464811328257934697e+00,9.693901114924821094e-01,4.886797749782700873e-02,5.679723943228404126e-01,5.769312250306160017e-01
6.734598871529389186e+00,3.043042200757555715e+00,1.694261395700952022e+00,3.474686549420826776e-01,2.299189123194536610e-01,2.264667552189408573e-01
9.190886196338224678e+00,8.404803984500537339e+00,1.890256830733922921e+00,7.913228426020747497e-01,1.806992810989900833e-01,1.658810983617679813e-01
8.268253295567211225e+00,9.539354681849630424e+00,1.983521667746267481e+00,6.084403680848545770e-01,1.866893769921744994e-01,1.855892693450619801e-01
8.855202667099467462e+00,6.999348016372073822e+00,7.187270732072745805e-01,3.626824161277505398e-01,1.277862771836545674e-01,1.233279956535422439e-01
6.603553805205233829e+00,8.163445957109873863e-01,9.218422727285018325e-01,2.754013893932423240e-01,1.898686433837312448e-01,1.976218816042069892e-01
2.455522672431775799e+00,4.168721570141496358e+00,1.137018309973231833e+00,9.172503926532271645e-02,2.841795508415739246e-01,2.861158793253454902e-01
7.685169988962543997e+00,2.564541935102151449e+00,1.071273755905415515e+00,2.440738321244861897e-02,1.633839093510032758e-01,1.470754170266522776e-01
2.116747426075105132e+00,9.398679067671112719e+00,1.906203704189629811e+00,2.007551964406488754e-01,4.172770342093989338e-01,4.053254034083669244e-01
8.312748346644610820e+00,8.130121572148105713e+00,5.376930260863755917e-01,4.887801477100724989e-01,1.212700424899062768e-01,1.301079328557788184e-01
6.271792257076824750e-01,7.922784100891061554e-01,1.844731974719103107e+00,4.572178718582815549e-01,1.078819005833552946e+00,1.085616656007731384e+00
8.254878133935557472e+00,6.133376110186425478e+00,6.272945538980330138e-01,5.292762068807255194e-01,1.300478570317374627e-01,1.236454233726525798e-01
1.645072664741012991e+00,9.852961072860061620e+00,1.906317546774806804e+00,2.493509979042807245e-02,4.792773445795799336e-01,4.792668566139071107e-01
3.751469964966418491e+00,5.285680657496022228e+00,1.881943987447856959e+00,4.384395459047751853e-01,3.250284642321835671e-01,3.294841997699454184e-01
3.167381665569642735e+00,8.905469308240149928e+00,1.223416728860498681e+00,7.370190175525441756e-01,2.532099285598633509e-01,2.578939719183361290e-01
6.913370352777413075e+00,8.142073704404927170e+00,7.613013694729945380e-01,7.498679136287914604e-01,1.428646913589398382e-01,1.516271133200833288e-01
1.785718781743719230e+00,4.768220248773398673e+00,7.872180727580391224e-01,5.579419349083004631e-01,2.932488266215173001e-01,2.958136828937329432e-01
3.962561622169864517e+00,4.475883124282925785e+00,8.891184550251871599e-01,7.046703051386067340e-01,2.127366016432449825e-01,2.117883182535600095e-01
5.824595107980945485e-02,1.700346758743583875e+00,1.773376011900033911e+00,9.471569018900116710e-03,1.109179332485788372e+00,1.106590851837909950e+00
2.624947127501014776e+00,3.609248744122102615e+00,1.311123785836207034e+00,3.363910963522166453e-01,3.296745344321696525e-01,3.402319624375021445e-01
4.211888142289552661e+00,1.994530089014031171e+00,1.812236914008626076e+00,5.122547740839561436e-01,3.506425565406179334e-01,3.281340137898325349e-01
1.059212367073244510e+00,8.472505080132597399e+00,1.631977974885962412e+00,9.208762174221410968e-01,6.718343809128907163e-01,6.704478276619773025e-01
6.331599460365577414e+00,6.073692384812891198e+00,1.951555821246036437e+00,2.574117283752118679e-01,2.274079690647933527e-01,2.277379701046339522e-01
3.804242698865323291e+00,9.368798486349835031e+00,1.492065404191216915e+00,2.924929001550656826e-01,2.367157733904365902e-01,2.224622837817347154e-01
7.252939380762388311e+00,4.162506753498735002e+00,7.550665635145239474e-01,4.405147355460969916e-01,1.472490106508375085e-01,1.505771467822179799e-01
6.538660110683943927e+00,7.046922276697476839e+00,1.320408487067080694e+00,6.847862213429328770e-01,1.840365695056021544e-01,1.775237593811682113e-01
4.312267487774061436e+00,8.348186841689955173e+00,1.608925772438134505e+00,5.785566515979406743e-01,2.458686663617127566e-01,2.544931143248702066e-01
8.673205056421991799e+00,2.274850755246505818e-01,1.036856646622569933e+00,7.508987303425118665e-01,2.251010087237142188e-01,2.238450878833709579e-01
6.321351175001669986e+00,3.296254041046912331e+00,1.999666202670193904e+00,2.763374573155943370e-01,2.591168778601573575e-01,2.658084102680519090e-01
8.102743521062990339e+00,4.418674938357565196e+00,8.258941455389631203e-01,8.022458614772233210e-01,1.530228042342847983e-01,1.652112402859970408e-01
3.417947239401129877e+00,9.293174095843358629e+00,1.889945603093344806e+00,9.102192467980921853e-01,3.247270358927933920e-01,3.285563317199280964e-01
5.436692896684556686e+00,8.717839682255393186e+00,1.234900687241360373e+00,5.397198782810933571e-01,1.833806973247613659e-01,1.746234858905329201e-01
1.962968851147534055e+00,9.366316032129428093e-01,1.767162219399502243e+00,2.696856036391399591e-01,5.777882816244801489e-01,5.626450953074337846e-01
9.961411901186279394e+00,9.559045258458569450e+00,1.299278053659288723e+00,8.452721493634524075e-01,1.474109360685786352e-01,1.649447772437423743e-01
2.432154643063271227e+00,6.306347708289777643e+00,1.325919471160582175e+00,6.247903915600938607e-01,3.347938302796212295e-01,3.336809083477460525e-01
2.568674672271027415e+00,8.121423833466328013e-01,1.560760252495997591e+00,8.631311443472349243e-01,5.287879456171868942e-01,5.219022961408437133e-01
7.319007239096597672e-01,6.932210263393672633e+00,1.286107589702048415e+00,4.219110239366519188e-01,6.186360721818171537e-01,6.200786430624254386e-01
2.578031189967365577e+00,8.568090037320329699e+00,1.172705334055248683e+00,6.613624055308283678e-01,2.795178818969336065e-01,2.776037685921071141e-01
7.631285325440532397e+00,2.662667303743214475e+00,6.781264615539193130e-01,3.256854712047230205e-02,1.353867225348081849e-01,1.439081451769350650e-01
6.978935706830813324e+00,3.294349416634630323e+00,1.509088579055108958e+00,2.545342201437119645e-01,2.054915669676667112e-01,2.058308487920377239e-01
1.286732123171694386e+00,2.849157630697094046e+00,1.940065121373989232e+00,3.062171421505733848e-01,7.215397657912188123e-01,7.216772616274029772e-01
3.762385014280942297e+00,7.054823235779082324e+00,1.913938814209303230e+00,9.225604072629175478e-01,3.284423184559450704e-01,3.212965212456154185e-01
4.209213946174629406e+00,7.210963792662586691e+00,5.704609899771438952e-01,6.867622869554022014e-01,1.567776107216330705e-01,1.614732917091080133e-01
6.649842463619607180e+00,7.766057383350512211e+00,1.155068239673321395e+00,4.611273005181626417e-02,1.558394207987880420e-01,1.455007535752382286e-01
4.559289630437488583e+00,9.218307200967338133e+00,1.393585230165496069e+00,5.581281789368559565e-01,2.126004017443682836e-01,2.192592961420079534e-01
5.865183268255313997e+00,1.900099661030731246e+00,6.481208286688699971e-01,4.348855866083830568e-01,1.641893099406032674e-01,1.794286850705045788e-01
8.396846036089423038e+00,7.111654524379042996e+00,1.565949419248927388e+00,7.619898393702000394e-01,1.782298222404456456e-01,1.629829618594541285e-01
7.264736103123704325e+00,6.492459594201612560e+00,1.150044504980867188e+00,2.135544784632615878e-01,1.579347840838270789e-01,1.332724917703138889e-01
3.650072635085589212e+00,2.699948714938616767e+00,6.947423944899795423e-01,3.337815851110158549e-01,1.921533589478359449e-01,1.983221464993791261e-01
4.483963093444842229e+00,9.755553967106704860e+00,8.189717086460326367e-01,1.703751518410782095e-01,1.526781438566430504e-01,1.781571220114743226e-01
3.676995696900066335e+00,4.821906229169121261e+00,5.275144959552688917e-01,7.690441944036937594e-01,1.753772384476674495e-01,1.653679899589485247e-01
1.097346640066967360e+00,9.493392009352959349e+00,8.451608136379423764e-01,4.461113637514875219e-01,3.465266729007537849e-01,3.340197153127338892e-01
2.032415440873966084e+00,9.720560551726256548e+00,1.550789219242603600e+00,2.169031198460320553e-01,3.598097873212738884e-01,3.656994766590786483e-01
2.838064889441310967e+00,9.010476148802442964e+00,1.240078614717562644e+00,4.330430165370738882e-01,2.588229282115804830e-01,2.504157123109974070e-01
3.141338956023021822e+00,4.648905063802923010e+00,8.506764469401272288e-01,4.830208579098581589e-01,2.218819830361677403e-01,2.168217281968003729e-01
3.130478588199376855e+00,2.869790222460467888e+00,8.791291695825819152e-01,8.888870058963324050e-01,2.718480740094436632e-01,2.683668993426058802e-01
5.766997162529520438e+00,5.899043199618063227e+00,1.209983305886112692e+00,2.436326945992548509e-01,1.820941943487116577e-01,1.874142152116296534e-01
9.716899756197546978e+00,4.550404746231123454e+00,1.599944090134980623e+00,6.806798978199402050e-02,1.693082712765353048e-01,1.652552476626041322e-01
7.746641349237320284e+00,4.735195660261263484e+00,1.967560989560038998e+00,2.480683947179346260e-01,2.138094181596322252e-01,2.165882465604338225e-01
7.911339481728052903e+00,2.516405302649097564e+00,1.248101405344739900e+00,5.618783735970700466e-02,1.754623847813674697e-01,1.736970521924317279e-01
7.592685005395799713e+00,8.438305446482605277e+00,1.164910132328689674e+00,4.221326369208899809e-02,1.470836641555903768e-01,1.386369531190743409e-01
5.969877305237564435e+00,7.334168523049084065e+00,1.068726545015224350e+00,3.431217760597996547e-01,1.650689065811727363e-01,1.618706440037405159e-01
9.176922571709127396e+00,8.666565019010747051e+00,1.732310884414218766e+00,7.360941881013434163e-01,1.719097588118332354e-01,1.624057621601540380e-01
6.896301554470809947e+00,5.362234376593424834e+00,1.364223258009809259e+00,7.657692575949811564e-01,1.937188853950400080e-01,1.937840352537374966e-01
5.003564307368709940e+00,1.017370943246726167e+00,1.873714388145600873e+00,8.806897180927399926e-01,3.764709936433134341e-01,3.652323313676570926e-01
7.708380850053875299e-01,8.636858501303915858e+00,1.322319171555189410e+00,8.364829849686024055e-01,6.639954275258612704e-01,6.530664838329088839e-01
4.884492270855238516e+00,7.855868959252618744e-01,7.983788759581338379e-01,8.990186675018713158e-01,2.494796880359425595e-01,2.640493061889951365e-01
2.128309953403343613e+00,1.629708493852329854e+00,6.576729449943239381e-01,1.952444678158870017e-01,2.392021155843225277e-01,2.386702733812691157e-01
1.326962975467872452e+00,9.446789287247355560e+00,1.307062520152665552e+00,1.800097092953019118e-01,4.104215437818966028e-01,4.098825235271761902e-01
5.060649225293730069e+00,5.658897265171357382e+00,7.859973824397428199e-01,1.982990807006002054e-02,1.508309602072461231e-01,1.559463244064223097e-01
7.850852925969590501e+00,6.782474362627269215e+00,1.547799041003406817e+00,4.078805319249744210e-01,1.779634723307151334e-01,1.737549023052264163e-01
2.950064428055194643e+00,8.227827405159450436e+00,1.674508917904026006e+00,4.714595666909903171e-01,3.204670886597715262e-01,3.181817349849899723e-01
7.687717599091664411e+00,6.679115643282687920e+00,1.666101592054284986e+00,1.728149141494379482e-01,1.823937848924832017e-01,1.866452722458022961e-01
5.256295231622541309e+00,4.495315752068545834e+00,1.109359050468160968e+00,9.751490743010756690e-01,2.145144690329980064e-01,2.173386274554420239e-01
1.490480233707125457e+00,5.475694237663505604e+00,1.326268647306290349e+00,3.838141150705238758e-01,4.454385160208433891e-01,4.338455487515190945e-01
9.649677439797358147e+00,4.044989557355465060e+00,8.399983409837238346e-01,3.836171672517693088e-01,1.389010297458619370e-01,1.472344557125585540e-01
4.016362238885174740e+00,5.814185207208832473e+00,1.278390221832273799e+00,3.930842036969540709e-01,2.331575238919691984e-01,2.272531744590787772e-01
2.952342556626957659e+00,1.218496040287246895e-01,1.725886217308505444e+00,1.672945436094808169e-01,4.839621502428634314e-01,4.734013607397215551e-01
8.469983706337295359e+00,5.131834352446747793e+00,1.458816206456189146e+00,5.927874955485626929e-01,1.790482322237244017e-01,1.700434815237338859e-01
1.244603325154798323e+00,3.358356476978465732e-01,1.500741088807575396e+00,1.177304692314273815e-01,6.376933518268874668e-01,6.337878983833342694e-01
7.335904610737033593e+00,1.185752293357359433e+00,1.934207553438605398e+00,9.472895450022144059e-01,2.968270590244318496e-01,3.131000615706625023e-01
1.878247425654683278e+00,8.479045918615565114e+00,9.301456105978700428e-01,4.727211561317710142e-01,2.801725824018727051e-01,2.684172233526648799e-01
3.924917760125824273e+00,6.627922561323926764e+00,1.474356109875542220e+00,5.949229798485826670e-01,2.602698594039486446e-01,2.618706183292920375e-01
2.318998784621384424e+00,1.903461921203487339e+00,1.826981797169308974e+00,3.591775685734891477e-01,5.091932140484867197e-01,4.878149704675809328e-01
8.412279926923869056e+00,7.497304999993112951e+00,9.982856928444652223e-01,3.357153671764550040e-01,1.411713743692514511e-01,1.411557050377994782e-01
3.900745519398617134e+00,4.810254368919641976e+00,5.756740204147076101e-01,9.852832064440145698e-01,1.856814237379498800e-01,1.946770879127099618e-01
9.746928128822892390e+00,1.434978132133976514e+00,9.422236818467886188e-01,1.118780337147552428e-01,1.515729481369474940e-01,1.492063149163329328e-01
6.252614844151067608e+00,9.303888381916017636e+00,9.347523124715888532e-01,1.381262822764366405e-01,1.435619588333240104e-01,1.372684095944906035e-01
6.936228347029151919e+00,1.216770475005476415e+00,9.308635564316876110e-01,5.300764693285870965e-01,1.920178019028461747e-01,1.943329125434315463e-01
5.215251221324175290e+00,2.954542943810908873e-01,1.288079607161450424e+00,1.918511009699244152e-01,2.707842204019343391e-01,2.777857379134408555e-01
3.089681990755911656e+00,2.640357111720290639e+00,1.343552916687076326e+00,6.591710763714675458e-03,2.946831063504106174e-01,3.013196820605846815e-01
3.955564210524287194e+00,9.599130785499117025e-01,1.077722363844343612e+00,6.162005379066453070e-01,2.927674136181946940e-01,3.124921521574925976e-01
9.409341876619016887e+00,2.655424399575334604e-01,9.829963785254308695e-01,3.218266159653926373e-03,1.649554847248976275e-01,1.670471594482604016e-01
2.012032007246644660e+00,6.567094576995788024e+00,1.285412443583459075e+00,6.333403082531740003e-01,3.681514046742220825e-01,3.622273036766927579e-01
9.882189012202122314e+00,1.406425176013788247e+00,1.595092856447579699e+00,3.069888018142264974e-01,1.996898803264620936e-01,1.984300884265956799e-01
7.583058620038184650e+00,5.682410456213680128e+00,5.487348287113593681e-01,6.162045235319246750e-01,1.312632632038439329e-01,1.305382777476458145e-01
3.597869264926102595e+00,2.501639308793758953e+00,1.738602661232219848e+00,5.771087036855161445e-01,3.687114944441622355e-01,3.697988682789434267e-01
6.415135895056033100e+00,9.412436344098347618e+00,6.986514360702068549e-01,9.264408627960382114e-01,1.425695929655809158e-01,1.422693148332865587e-01
3.809815392930875344e+00,2.236974284118578460e+00,1.859603532763228539e+00,2.453934235843040490e-01,3.578817667438171646e-01,3.596214261327791983e-01
3.814929326399200349e+00,5.254481790781558637e+00,1.239010209805958551e+00,9.240088924461747899e-01,2.633838613524697170e-01,2.466753607463186004e-01
5.038029501945295863e+00,7.376373853919398371e+00,1.346382860593594577e+00,5.338500871718615537e-01,2.064107684983501334e-01,2.147070580587505662e-01
1.672282163537708310e-01,3.180186194431808389e+00,1.971236176479721269e+00,1.584501860818487984e-05,1.196258744209264480e+00,1.190511351520054051e+00
4.935715599433962097e+00,8.334219961524649278e+00,1.845827405806208965e+00,3.985919226804892634e-01,2.415821425817979429e-01,2.298505556173277009e-01
9.715984134468879319e+00,3.208391626100950855e+00,1.167631176479994259e+00,5.779328580289355699e-02,1.531008369819117088e-01,1.594783485783260735e-01
2.854652287855784287e+00,3.939814631363616648e+00,8.034249880563364421e-01,6.960182340770537657e-01,2.456100181020546280e-01,2.587832781759154543e-01
7.482179590766121713e+00,4.360843997024608676e+00,1.393624911918054821e+00,7.144192352680517333e-01,1.937752119344209045e-01,1.987054934294153197e-01
4.427888900704950004e+00,4.247051807124870848e+00,5.602769181499603901e-01,3.008142993256429643e-01,1.511810792918986679e-01,1.527926724303538819e-01
2.092810426177854843e+00,6.118642178663103337e+00,6.006095680546285065e-01,2.388413678782643768e-01,1.978795153354805658e-01,1.885573122817610359e-01
9.050025708181294704e+00,2.339831554838325278e+00,8.394413259104174241e-01,4.345611307206068696e-01,1.512938643079680956e-01,1.800095376861030882e-01
1.682728468021299495e-01,3.359219693385336214e+00,1.126625272196653649e+00,6.084996951901873175e-01,8.807865963341988680e-01,8.895891825408139830e-01
3.035089265995106977e+00,2.366823110043397183e+00,1.540557677641186229e+00,1.308666878284472368e-01,3.462333298971351780e-01,3.348403831937054043e-01
9.990258823239376085e+00,2.841757960317227383e+00,6.483688644887057873e-01,2.430156348055070303e-01,1.293009962019591730e-01,1.215046170395617242e-01
2.621467961899894838e+00,7.651545029023653299e+00,1.782280717644406431e+00,8.403565576700633422e-01,3.915573096069712156e-01,3.924271020926902720e-01
8.490445218592720167e+00,6.329740862836496618e+00,1.174666542406561653e+00,4.964754218619386039e-01,1.558997699696498263e-01,1.403524586496899540e-01
6.056831486557042510e+00,9.631614093997940884e+00,7.908767635891928993e-01,2.919174697494426596e-01,1.386544514542029372e-01,1.403407555243080806e-01
8.060357075271236127e+00,9.506287402207778570e+00,1.796673789648260078e+00,2.706812867922303578e-02,1.710668574317276980e-01,1.664761418746001087e-01
6.303177554434782337e+00,2.130345924387607504e+00,1.536318338469919054e+00,2.545909071414022007e-01,2.328182742538144612e-01,2.450809802569766382e-01
3.626968570578483764e+00,2.178465756015341537e+00,1.789763028396701205e+00,6.348349510466513301e-01,3.866722158230051498e-01,3.962937624592876018e-01
