t,Ns,Nsrc,dNs_dt
1.080216043208641619e+00,7.568514265627062976e+00,6.261338186083590074e+01,2.718392562537954138e+00
1.110222044408881725e+00,7.650341035580442650e+00,6.298705364011218677e+01,2.735609444991808470e+00
1.140228045609121832e+00,7.732681831677481021e+00,6.336188813643417461e+01,2.752653300775098622e+00
1.170234046809361939e+00,7.815531426144529448e+00,6.373787628288037865e+01,2.769520964899441218e+00
1.200240048009601823e+00,7.898884493969098308e+00,6.411500886709048075e+01,2.786209360411463276e+00
1.230246049209841930e+00,7.982735612899862332e+00,6.449327653126536575e+01,2.802715499312411929e+00
1.260252050410082036e+00,8.067079263446652604e+00,6.487266977216710018e+01,2.819036483431195617e+00
1.290258051610322143e+00,8.151909828880462783e+00,6.525317894111890382e+01,2.835169505252360445e+00
1.320264052810562028e+00,8.237221609516087284e+00,6.563479424800756590e+01,2.851111846886764223e+00
1.350270054010802134e+00,8.323008923311373763e+00,6.601750578570441519e+01,2.866860867213858022e+00
1.380276055211042241e+00,8.409265902268719728e+00,6.640130346911918480e+01,2.882414027622006714e+00
1.410282056411282348e+00,8.495986588472515422e+00,6.678617706794945263e+01,2.897768881407836172e+00
1.440288057611522232e+00,8.583164968886437762e+00,6.717211621709618896e+01,2.912923069486229366e+00
1.470294058811762339e+00,8.670794975353450340e+00,6.755911041666378480e+01,2.927874320332163549e+00
1.500300060012002445e+00,8.758870484595805195e+00,6.794714903196002354e+01,2.942620449896997670e+00
1.530306061212242330e+00,8.847385318215039263e+00,6.833622129349608088e+01,2.957159361500896644e+00
1.560312062412482437e+00,8.936333242691981482e+00,6.872631629698653910e+01,2.971489045702970344e+00
1.590318063612722543e+00,9.025707969386740359e+00,6.911742300334940126e+01,2.985607580150691831e+00
1.620324064812962650e+00,9.115503154538721731e+00,6.950953023870604852e+01,2.999513129410020795e+00
1.650330066013202535e+00,9.205712399266605672e+00,6.990262669438126863e+01,3.013203944777708365e+00
1.680336067213442641e+00,9.296329249568373143e+00,7.029670092690327010e+01,3.026678364077039607e+00
1.710342068413682748e+00,9.387347196321282894e+00,7.069174135800362535e+01,3.039934811438399720e+00
1.740348069613922855e+00,9.478759675281883901e+00,7.108773627461735600e+01,3.052971797065781256e+00
1.770354070814162739e+00,9.570560067086013589e+00,7.148467382888284760e+01,3.065787916990514006e+00
1.800360072014402846e+00,9.662741697248794281e+00,7.188254203814192067e+01,3.078381852813208308e+00
1.830366073214642952e+00,9.755297836164634973e+00,7.228132878493975966e+01,3.090752371435055768e+00
1.860372074414883059e+00,9.848221768103529783e+00,7.268102185062531362e+01,3.102898313353699589e+00
1.890378075615122944e+00,9.941506804126166941e+00,7.308160891188809671e+01,3.114818588458663662e+00
1.920384076815363050e+00,1.003514612382485360e+01,7.348307746687412134e+01,3.126512201934505519e+00
1.950390078015603157e+00,1.012913288942690748e+01,7.388541489865852441e+01,3.137978235804540716e+00
1.980396079215843042e+00,1.022346024831636058e+01,7.428860847655406019e+01,3.149215847665810752e+00
2.010402080416083148e+00,1.031812133303396450e+01,7.469264535611102929e+01,3.160224269832508259e+00
2.040408081616323255e+00,1.041310926127718517e+01,7.509751257911733546e+01,3.171002808484509217e+00
2.070414082816563361e+00,1.050841713590020632e+01,7.550319707359842880e+01,3.181550842821728509e+00
2.100420084016803468e+00,1.060403804491392776e+01,7.590968565381736255e+01,3.191867824224905448e+00
2.130426085217043575e+00,1.069996506148596538e+01,7.631696502027476470e+01,3.201953275423443657e+00
2.160432086417283237e+00,1.079619124394065111e+01,7.672502175970880955e+01,3.211806789670792917e+00
2.190438087617523344e+00,1.089270963575903650e+01,7.713384234509530302e+01,3.221428029927895231e+00
2.220444088817763451e+00,1.098951326557888919e+01,7.754341313564756888e+01,3.230816728055080578e+00
2.250450090018003557e+00,1.108659514719468753e+01,7.795372037681656252e+01,3.239972684012821347e+00
2.280456091218243664e+00,1.118394827955763304e+01,7.836475020029075722e+01,3.248895765071670549e+00
2.310462092418483770e+00,1.128156564677564155e+01,7.877648862399627205e+01,3.257585905031687101e+00
2.340468093618723877e+00,1.137944025455445818e+01,7.918892158655140179e+01,3.266043097142448115e+00
2.370474094818963984e+00,1.147756516121667225e+01,7.960203496588206917e+01,3.274267386578254335e+00
2.400480096019203646e+00,1.157593335642140175e+01,8.001581446576798839e+01,3.282258890543305441e+00
2.430486097219443753e+00,1.167453784051795118e+01,8.043024570111668936e+01,3.290017784692272684e+00
2.460492098419683860e+00,1.177337162856804476e+01,8.084531420199525087e+01,3.297544301368698250e+00
2.490498099619923966e+00,1.187242775034584952e+01,8.126100541363040008e+01,3.304838728528450176e+00
2.520504100820164073e+00,1.197169925033795579e+01,8.167730469640849833e+01,3.311901408680413272e+00
2.550510102020404180e+00,1.207117918774339316e+01,8.209419732587551266e+01,3.318732737844330316e+00
2.580516103220644286e+00,1.217086063647361449e+01,8.251166849273704429e+01,3.325333164525815288e+00
2.610522104420883949e+00,1.227073668515251015e+01,8.292970330285830016e+01,3.331703188708462271e+00
2.640528105621124055e+00,1.237080043711640442e+01,8.334828677726413559e+01,3.337843360862981168e+00
2.670534106821364162e+00,1.247104501041404667e+01,8.376740385213901163e+01,3.343754280973237680e+00
2.700540108021604269e+00,1.257146353780662196e+01,8.418703937882700927e+01,3.349436597579067421e+00
2.730546109221844375e+00,1.267204916676774751e+01,8.460717812383184366e+01,3.354891006835754919e+00
2.760552110422084482e+00,1.277279505948346738e+01,8.502780476881684990e+01,3.360118251589962135e+00
2.790558111622324589e+00,1.287369439285226491e+01,8.544890391060495460e+01,3.365119120471943059e+00
2.820564112822564695e+00,1.297474037766295751e+01,8.587046009358820697e+01,3.369894444076596329e+00
2.850570114022804358e+00,1.307592629407977114e+01,8.629245785858940110e+01,3.374445087481021233e+00
2.880576115223044464e+00,1.317724540083282925e+01,8.671488158878365482e+01,3.378771962988869948e+00
2.910582116423284571e+00,1.327869098643164136e+01,8.713771560905956903e+01,3.382876022563147345e+00
2.940588117623524678e+00,1.338025637411114133e+01,8.756094419486429103e+01,3.386758256072326834e+00
2.970594118823764784e+00,1.348193492183167841e+01,8.798455157220355716e+01,3.390419690259834251e+00
3.000600120024004891e+00,1.358372002227902797e+01,8.840852191764160750e+01,3.393861387732005408e+00
3.030606121224244998e+00,1.368560510286438259e+01,8.883283935830127120e+01,3.397084445964158483e+00
3.060612122424484660e+00,1.378758362572435558e+01,8.925748797186389538e+01,3.400089996324539676e+00
3.090618123624724767e+00,1.388964908772098639e+01,8.968245178656943040e+01,3.402879203115800610e+00
3.120624124824964873e+00,1.399179502044172807e+01,9.010771478121633038e+01,3.405453262633683309e+00
3.150630126025204980e+00,1.409401499019945803e+01,9.053326088516162429e+01,3.407813402242631629e+00
3.180636127225445087e+00,1.419630259803247263e+01,9.095907397832090169e+01,3.409960879467969885e+00
3.210642128425685193e+00,1.429865147970449080e+01,9.138513789116827013e+01,3.411896981104332482e+00
3.240648129625925300e+00,1.440105530570464865e+01,9.181143640473644041e+01,3.413623022340054103e+00
3.270654130826165407e+00,1.450350778124750661e+01,9.223795325061662709e+01,3.415140345897150986e+00
3.300660132026405069e+00,1.460600266399758596e+01,9.266467216621353487e+01,3.416450319900423249e+00
3.330666133226645176e+00,1.470853377248403504e+01,9.309157690655476358e+01,3.417554335074592498e+00
3.360672134426885282e+00,1.481109493788980380e+01,9.351865109760760220e+01,3.418453807649676435e+00
3.390678135627125389e+00,1.491368003715782642e+01,9.394587835223391892e+01,3.419150177211617958e+00
3.420684136827365496e+00,1.501628299409877165e+01,9.437324227383543018e+01,3.419644905732444506e+00
3.450690138027605602e+00,1.511889777939103752e+01,9.480072645635368644e+01,3.419939476678489410e+00
3.480696139227845709e+00,1.522151841058076016e+01,9.522831448427014323e+01,3.420035394133702500e+00
3.510702140428085372e+00,1.532413895208180321e+01,9.565598993260607585e+01,3.419934181937764439e+00
3.540708141628325478e+00,1.542675351517577198e+01,9.608373636692262210e+01,3.419637382838648154e+00
3.570714142828565585e+00,1.552935625801199571e+01,9.651153734332079637e+01,3.419146557659367147e+00
3.600720144028805692e+00,1.563194138560754354e+01,9.693937640844147552e+01,3.418463284478558961e+00
3.630726145229045798e+00,1.573450314984721388e+01,9.736723709946535621e+01,3.417589157824608481e+00
3.660732146429285905e+00,1.583703584948354148e+01,9.779510294411304017e+01,3.416525787883028631e+00
3.690738147629526011e+00,1.593953383013679037e+01,9.822295746064494892e+01,3.415274799716797371e+00
3.720744148829766118e+00,1.604199148429496447e+01,9.865078415786139487e+01,3.413837832499323266e+00
3.750750150030005781e+00,1.614440325131378984e+01,9.907856653510251022e+01,3.412216538759831774e+00
3.780756151230245887e+00,1.624676361870815100e+01,9.950628809074432013e+01,3.410412583867083569e+00
3.810762152430485994e+00,1.634906714439760123e+01,9.993393246039967437e+01,3.408427648483811190e+00
3.840768153630726101e+00,1.645130842371260016e+01,1.003614831901495990e+02,3.406263421184635209e+00
3.870774154830966207e+00,1.655348209626036038e+01,1.007889238000268790e+02,3.403921600482215482e+00
3.900780156031206314e+00,1.665558285468826583e+01,1.012162378444296991e+02,3.401403895847810332e+00
3.930786157231446420e+00,1.675760544468386470e+01,1.016434089121216715e+02,3.398712026967856126e+00
3.960792158431686083e+00,1.685954466497487303e+01,1.020704206262317797e+02,3.395847723011554020e+00
3.990798159631926190e+00,1.696139536732916753e+01,1.024972566442544490e+02,3.392812721909301388e+00
4.020804160832166296e+00,1.706315245655479274e+01,1.029239006580494333e+02,3.389608769641602404e+00
4.050810162032406403e+00,1.716481089049996456e+01,1.033503363938419568e+02,3.386237619538380983e+00
4.080816163232646510e+00,1.726636568005305605e+01,1.037765476122226147e+02,3.382701031588407847e+00
4.110822164432886616e+00,1.736781188914261165e+01,1.042025181081473875e+02,3.379000771758616128e+00
4.140828165633126723e+00,1.746914463473733647e+01,1.046282317109376834e+02,3.375138611323174054e+00
4.170834166833366830e+00,1.757035908684610348e+01,1.050536722842802959e+02,3.371116326202003854e+00
4.200840168033606936e+00,1.767145046851795698e+01,1.054788237262274180e+02,3.366935696308688719e+00
4.230846169233847043e+00,1.777241405584209843e+01,1.059036699691966419e+02,3.362598504907440056e+00
4.260852170434087149e+00,1.787324517794790069e+01,1.063281949799709736e+02,3.358106537979043349e+00
4.290858171634327256e+00,1.797393921700489372e+01,1.067523827596988042e+02,3.353461583595548579e+00
4.320864172834566475e+00,1.807449160822278600e+01,1.071762173438939101e+02,3.348665431303534668e+00
4.350870174034806581e+00,1.817489784492498472e+01,1.075996829177120020e+02,3.343719878818822266e+00
4.380876175235046688e+00,1.827515347478179564e+01,1.080227637438246262e+02,3.338626727041380526e+00
4.410882176435286794e+00,1.837525409319091096e+01,1.084454440188453788e+02,3.333387770497000524e+00
4.440888177635526901e+00,1.847519534973105948e+01,1.088677080168738769e+02,3.328004805807128985e+00
4.470894178835767008e+00,1.857497294817861189e+01,1.092895400898670744e+02,3.322479631121269872e+00
4.500900180036007114e+00,1.867458264650757727e+01,1.097109246676392758e+02,3.316814045533320154e+00
4.530906181236247221e+00,1.877402025688961018e+01,1.101318462578621507e+02,3.311009848505188202e+00
4.560912182436487328e+00,1.887328164569400002e+01,1.105522894460647194e+02,3.305068839297482519e+00
4.590918183636727434e+00,1.897236273348768520e+01,1.109722388956333532e+02,3.298992816407309903e+00
4.620924184836967541e+00,1.907125949503523898e+01,1.113916793478117739e+02,3.292783577012938778e+00
4.650930186037207648e+00,1.916996795929888364e+01,1.118105956217010544e+02,3.286442916425257987e+00
4.680936187237447754e+00,1.926848420943847628e+01,1.122289726142596180e+02,3.279972627545978181e+00
4.710942188437687861e+00,1.936680438281151950e+01,1.126467953003032534e+02,3.273374500332386194e+00
4.740948189637927968e+00,1.946492467097315782e+01,1.130640487325051140e+02,3.266650321268638635e+00
4.770954190838167186e+00,1.956284131967617412e+01,1.134807180413956473e+02,3.259801872843397508e+00
4.800960192038407293e+00,1.966055062887099680e+01,1.138967884353627369e+02,3.252830933033829197e+00
4.830966193238647399e+00,1.975804895270569261e+01,1.143122452006515601e+02,3.245739274795802043e+00
4.860972194438887506e+00,1.985533269952597379e+01,1.147270737013646738e+02,3.238528665560195918e+00
4.890978195639127613e+00,1.995239833187519451e+01,1.151412593794619568e+02,3.231200866735266075e+00
4.920984196839367719e+00,2.004924236366693791e+01,1.155547877874286939e+02,3.223757637013095145e+00
4.950990198039607826e+00,2.014586135000451250e+01,1.159676446861663095e+02,3.216200744007764900e+00
4.980996199239847932e+00,2.024225190551998921e+01,1.163798158292403286e+02,3.208531938864024546e+00
5.011002200440088039e+00,2.033841069784773126e+01,1.167912870654476052e+02,3.200752966714463188e+00
5.041008201640328146e+00,2.043433444631647333e+01,1.172020443554118145e+02,3.192865568096080686e+00
5.071014202840568252e+00,2.053001992194931091e+01,1.176120737715834679e+02,3.184871478497619979e+00
5.101020204040808359e+00,2.062546394746371448e+01,1.180213614982398980e+02,3.176772427911867869e+00
5.131026205241048466e+00,2.072066339727151174e+01,1.184298938314852734e+02,3.168570140392966916e+00
5.161032206441288572e+00,2.081561519747889832e+01,1.188376571792506127e+02,3.160266333618561685e+00
5.191038207641528679e+00,2.091031632588644484e+01,1.192446380612937560e+02,3.151862718456836188e+00
5.221044208841767897e+00,2.100476381198907205e+01,1.196508231091993366e+02,3.143360998538370144e+00
5.251050210042008004e+00,2.109895473697608637e+01,1.200561990663789089e+02,3.134762869832746546e+00
5.281056211242248111e+00,2.119288623373114433e+01,1.204607527880707778e+02,3.126070020229897217e+00
5.311062212442488217e+00,2.128655548683228105e+01,1.208644712413401123e+02,3.117284129126172143e+00
5.341068213642728324e+00,2.137995973255188886e+01,1.212673415050789032e+02,3.108406867015009123e+00
5.371074214842968431e+00,2.147309625885672801e+01,1.216693507700060053e+02,3.099439895082285457e+00
5.401080216043208537e+00,2.156596240540793374e+01,1.220704863386670525e+02,3.090384864806192677e+00
5.431086217243448644e+00,2.165855556052931874e+01,1.224707356409657990e+02,3.081243420136229094e+00
5.461092218443688751e+00,2.175087314745051614e+01,1.228700862925794723e+02,3.072017207859376597e+00
5.491098219643928857e+00,2.184291264653571929e+01,1.232685259758346916e+02,3.062707857965436986e+00
5.521104220844168964e+00,2.193467158759438007e+01,1.236660424956858009e+02,3.053316991106532541e+00
5.551110222044409070e+00,2.202614754789748730e+01,1.240626237909857821e+02,3.043846220011216630e+00
5.581116223244649177e+00,2.211733815217755605e+01,1.244582579344861557e+02,3.034297149131945037e+00
5.611122224444889284e+00,2.220824107262865610e+01,1.248529331328370375e+02,3.024671374296330484e+00
5.641128225645129390e+00,2.229885402890638346e+01,1.252466377265871529e+02,3.014970482362175463e+00
5.671134226845368609e+00,2.238917478812787820e+01,1.256393601901837513e+02,3.005196050876242087e+00
5.701140228045608715e+00,2.247920116487181375e+01,1.260310891319727489e+02,2.995349647736792686e+00
5.731146229245848822e+00,2.256893102117840400e+01,1.264218132941985857e+02,2.985432830859811926e+00
5.761152230446088929e+00,2.265836226654940333e+01,1.268115215530042832e+02,2.975447147848974794e+00
5.791158231646329035e+00,2.274749285794809595e+01,1.272002029184314722e+02,2.965394135669326303e+00
5.821164232846569142e+00,2.283632079979931362e+01,1.275878465344203647e+02,2.955275320324608490e+00
5.851170234046809249e+00,2.292484414398941794e+01,1.279744416788097396e+02,2.945092216538304442e+00
5.881176235247049355e+00,2.301306098986631454e+01,1.283599777633369854e+02,2.934846327438322078e+00
5.911182236447289462e+00,2.310096948423944241e+01,1.287444443336380289e+02,2.924539144245333677e+00
5.941188237647529569e+00,2.318856781796037936e+01,1.291278310760615682e+02,2.914172148085574676e+00
5.971194238847769675e+00,2.327585420687150375e+01,1.295101278526441604e+02,2.903746821306130155e+00
6.001200240048009782e+00,2.336282692142690109e+01,1.298913246409454985e+02,2.893264628769662838e+00
6.031206241248249889e+00,2.344948427747841890e+01,1.302714115572925095e+02,2.882727023646078024e+00
6.061212242448489995e+00,2.353582463311621353e+01,1.306503788634434500e+02,2.872135449130015505e+00
6.091218243648730102e+00,2.362184638866872533e+01,1.310282169665881327e+02,2.861491338176159971e+00
6.121224244848969320e+00,2.370754798670269281e+01,1.314049164193476145e+02,2.850796113237550333e+00
6.151230246049209427e+00,2.379292791202315982e+01,1.317804679197745372e+02,2.840051186006864459e+00
6.181236247249449534e+00,2.387798469167344351e+01,1.321548623113527867e+02,2.829257957160717929e+00
6.211242248449689640e+00,2.396271689493517698e+01,1.325280905829977485e+02,2.818417816106884022e+00
6.241248249649929747e+00,2.404712313332827378e+01,1.329001438690562225e+02,2.807532140734607662e+00
6.271254250850169853e+00,2.413120206061094919e+01,1.332710134493063947e+02,2.796602297167756213e+00
6.301260252050409960e+00,2.421495237277971313e+01,1.336406907489578089e+02,2.785629639521079781e+00
6.331266253250650067e+00,2.429837280806936306e+01,1.340091673386515367e+02,2.774615509659380752e+00
6.361272254450890173e+00,2.438146214695300174e+01,1.343764349344599225e+02,2.763561236959649392e+00
6.391278255651130280e+00,2.446421921214202300e+01,1.347424853978868100e+02,2.752468138076224591e+00
6.421284256851370387e+00,2.454664286767714643e+01,1.351073107362084897e+02,2.741337517172650617e+00
6.451290258051610493e+00,2.462873199923429368e+01,1.354709031110937474e+02,2.730170675862102936e+00
6.481296259251850600e+00,2.471048553553363902e+01,1.358332548322888158e+02,2.718968902252036024e+00
6.511302260452090707e+00,2.479190244828447831e+01,1.361943583550445851e+02,2.707733470541238585e+00
6.541308261652330813e+00,2.487298174591445132e+01,1.365542062820478861e+02,2.696465643986622585e+00
6.571314262852570032e+00,2.495372247356950979e+01,1.369127913634213485e+02,2.685166674712118340e+00
6.601320264052810138e+00,2.503412371311394224e+01,1.372701064967235993e+02,2.673837803519965917e+00
6.631326265253050245e+00,2.511418458313035984e+01,1.376261447269492066e+02,2.662480259704409047e+00
6.661332266453290352e+00,2.519390423891970343e+01,1.379808992465285371e+02,2.651095260867772918e+00
6.691338267653530458e+00,2.527328187250123648e+01,1.383343633953279266e+02,2.639684012738957364e+00
6.721344268853770565e+00,2.535231671261255926e+01,1.386865306606496233e+02,2.628247708994318810e+00
6.751350270054010672e+00,2.543100802470958399e+01,1.390373946772318163e+02,2.616787531080963625e+00
6.781356271254250778e+00,2.550935511096656683e+01,1.393869492272485218e+02,2.605304648042427562e+00
6.811362272454490885e+00,2.558735731027607585e+01,1.397351882403097250e+02,2.593800216346776821e+00
6.841368273654730991e+00,2.566501399824901952e+01,1.400821057934612952e+02,2.582275379717109409e+00
6.871374274854971098e+00,2.574232458721462535e+01,1.404276961111850142e+02,2.570731268964412397e+00
6.901380276055211205e+00,2.581928852412010755e+01,1.407719535636011017e+02,2.559169002727164521e+00
6.931386277255451311e+00,2.589590527137760745e+01,1.411148726546771002e+02,2.547589695939152854e+00
6.961392278455691418e+00,2.597217433238122553e+01,1.414564480476271910e+02,2.535994449010493756e+00
6.991398279655931525e+00,2.604809524574701740e+01,1.417966745517606171e+02,2.524384349508222769e+00
7.021404280856170743e+00,2.612366758123965127e+01,1.421355471181305177e+02,2.512760473709518383e+00
7.051410282056410850e+00,2.619889093977240080e+01,1.424730608395341847e+02,2.501123886474089897e+00
7.081416283256650956e+00,2.627376495340715934e+01,1.428092109505128349e+02,2.489475641118330973e+00
7.111422284456891063e+00,2.634828928535442216e+01,1.431439928273516671e+02,2.477816779291425409e+00
7.141428285657131170e+00,2.642246362997330777e+01,1.434774019880799472e+02,2.466148330853288329e+00
7.171434286857371276e+00,2.649628771277153305e+01,1.438094340924708945e+02,2.454471313754406303e+00
7.201440288057611383e+00,2.656976129040544166e+01,1.441400849420417671e+02,2.442786733917534203e+00
7.231446289257851490e+00,2.664288415067997562e+01,1.444693504800538335e+02,2.431095585121318958e+00
7.261452290458091596e+00,2.671565611254869665e+01,1.447972267915123439e+02,2.419398848885736975e+00
7.291458291658331703e+00,2.678807702611377906e+01,1.451237101031665588e+02,2.407697494359453572e+00
7.321464292858571810e+00,2.686014677262600259e+01,1.454487967835097777e+02,2.395992478209076459e+00
7.351470294058811916e+00,2.693186526448477025e+01,1.457724833427792817e+02,2.384284744510219767e+00
7.381476295259052023e+00,2.700323243969129550e+01,1.460947664230032501e+02,2.372575226710858853e+00
7.411482296459292129e+00,2.707424824803314323e+01,1.464156427821725117e+02,2.360864853407218966e+00
7.441488297659532236e+00,2.714491267795872886e+01,1.467351093427648152e+02,2.349154538269007553e+00
7.471494298859771455e+00,2.721522574500895786e+01,1.470531631602459015e+02,2.337445183427949047e+00
7.501500300060011561e+00,2.728518749042284952e+01,1.473698014201463877e+02,2.325737679888824960e+00
7.531506301260251668e+00,2.735479798113750149e+01,1.476850214380616251e+02,2.314032907454917520e+00
7.561512302460491775e+00,2.742405730978811818e+01,1.479988206596519262e+02,2.302331734654894824e+00
7.591518303660731881e+00,2.749296559470801071e+01,1.483111966606423380e+02,2.290635018671086431e+00
7.621524304860971988e+00,2.756152297992856859e+01,1.486221471468227833e+02,2.278943605269133865e+00
7.651530306061212094e+00,2.762972963517929870e+01,1.489316699540480045e+02,2.267258328729035544e+00
7.681536307261452201e+00,2.769758575588779692e+01,1.492397630482375632e+02,2.255580011777572835e+00
7.711542308461692308e+00,2.776509156317975879e+01,1.495464245253758691e+02,2.243909465522166968e+00
7.741548309661932414e+00,2.783224730387897594e+01,1.498516526115121508e+02,2.232247489386091743e+00
7.771554310862172521e+00,2.789905325050733964e+01,1.501554456627604850e+02,2.220594871045047825e+00
7.801560312062412628e+00,2.796550970128484437e+01,1.504578021652997393e+02,2.208952386365207410e+00
7.831566313262652734e+00,2.803161698012957714e+01,1.507587207353736858e+02,2.197320799342569408e+00
7.861572314462892841e+00,2.809737542708324298e+01,1.510582000949207782e+02,2.185700865202614196e+00
7.891578315663132948e+00,2.816278539379757362e+01,1.513562390730912171e+02,2.174093332864217132e+00
7.921584316863372166e+00,2.822784726460202265e+01,1.516528366545470021e+02,2.162498937548385847e+00
7.951590318063612273e+00,2.829256144455965938e+01,1.519479919387185305e+02,2.150918403876893592e+00
7.981596319263852379e+00,2.835692835923561361e+01,1.522417041391332759e+02,2.139352445909583622e+00
8.011602320464092486e+00,2.842094845469710762e+01,1.525339725834159879e+02,2.127801767112677211e+00
8.041608321664332593e+00,2.848462219751342417e+01,1.528247967132885776e+02,2.116267060328057781e+00
8.071614322864572699e+00,2.854795007475594204e+01,1.531141760845701754e+02,2.104749007743379252e+00
8.101620324064812806e+00,2.861093259399809341e+01,1.534021103671770732e+02,2.093248280863287292e+00
8.131626325265052913e+00,2.867357028331540647e+01,1.536885993451227250e+02,2.081765540481407939e+00
8.161632326465293019e+00,2.873586369128547346e+01,1.539736429165178322e+02,2.070301436653431360e+00
8.191638327665533126e+00,2.879781338698796489e+01,1.542572410935702294e+02,2.058856608671002952e+00
8.221644328865773232e+00,2.885941996000462950e+01,1.545393940025849417e+02,2.047431685036660731e+00
8.251650330066013339e+00,2.892068402041929787e+01,1.548201018839642700e+02,2.036027283439640456e+00
8.281656331266253446e+00,2.898160619881786104e+01,1.550993650922075631e+02,2.024644010732649768e+00
8.311662332466493552e+00,2.904218714628830611e+01,1.553771840959114741e+02,2.013282462909562476e+00
8.341668333666733659e+00,2.910242752386671938e+01,1.556535594440444470e+02,2.001943228183717061e+00
8.371674334866973766e+00,2.916232800159270866e+01,1.559284917776369070e+02,1.990626888395921945e+00
8.401680336067213872e+00,2.922188927613271758e+01,1.562019818784128802e+02,1.979334013253816416e+00
8.431686337267453979e+00,2.928111205989792154e+01,1.564740306238598748e+02,1.968065162743547702e+00
8.461692338467694086e+00,2.933999708097022108e+01,1.567446389869633379e+02,1.956820887149803845e+00
8.491698339667934192e+00,2.939854508310225256e+01,1.570138080362066830e+02,1.945601727056931018e+00
8.521704340868174299e+00,2.945675682571737752e+01,1.572815389355712909e+02,1.934408213350562455e+00
8.551710342068414406e+00,2.951463308390969686e+01,1.575478329445365375e+02,1.923240867219863759e+00
8.581716343268654512e+00,2.957217464844404375e+01,1.578126914180796803e+02,1.912100200160196550e+00
8.611722344468892842e+00,2.962938232575596587e+01,1.580761158066760288e+02,1.900986713976479336e+00
8.641728345669132949e+00,2.968625693795177156e+01,1.583381076562988312e+02,1.889900900786937399e+00
8.671734346869373056e+00,2.974279932280847660e+01,1.585986686084192741e+02,1.878843243027520593e+00
