m1,m2,u1,u2,v1_out
3.361537525449010966e-01,3.192635466052298199e+00,3.532187382772120632e+00,1.697317668774543487e+00,-7.691540032550384653e-01
3.652254909568353636e+00,2.519972734955131966e+00,1.277456324644217656e+00,3.230919191044270722e+00,-7.802957034069066822e-01
2.767603017131454735e-01,4.792902100934454346e+00,1.820717559766557692e+00,2.753263280622220144e+00,-2.190805541705203030e+00
3.838164811310854851e+00,9.263399438357667881e-01,3.466188704616896654e+00,1.330325470776287933e+00,2.489110061239174332e+00
2.661241871657974656e+00,2.078424508713580199e+00,5.401851762986578098e-01,9.161207947384873984e-01,-2.013739578547446285e-01
4.659700259825629409e+00,8.130843531537946811e-01,1.434779621364553837e+00,5.562654168624593387e-01,1.102835015090656734e+00
5.171959842755586845e-01,1.148274408097843979e+00,9.541768474898560948e-01,3.343393692796601258e+00,-1.993623128725131588e+00
4.238322942139439498e+00,3.176186859241181271e+00,3.817471045861634771e+00,3.488474187697923501e+00,5.119486917027475936e-01
5.201120420820867229e-01,4.359443230463130980e+00,6.551059411010349276e-01,2.158398761514726871e+00,-2.084392051484882824e+00
1.852687898259800736e+00,1.902909296849138121e+00,2.364594101228931322e+00,3.354445119480014892e+00,-6.313877913437854206e-01
2.265433913349599759e+00,4.302847980325113397e+00,2.956724403555294867e+00,2.079290237650164297e+00,-6.589493067396212655e-01
4.837097987763536722e+00,2.024681286213727560e+00,2.163079218779647039e+00,3.262560799312830717e+00,4.345296552182081329e-01
2.898712842696593572e+00,3.604629710703197265e+00,1.419703764614881791e+00,2.481256396406892328e+00,-1.078295787310490361e+00
1.442550047220474640e+00,7.324382724678738521e-01,1.657997878866315222e+00,1.906261704472796747e+00,3.532345055935847133e-01
1.360043427652855685e+00,2.848142285224088965e+00,1.281498946997816191e+00,6.578435988692681313e-01,-2.267492546360459493e-01
4.462967939164062869e+00,3.854656973213911320e-01,3.491535726639990234e+00,1.566615280018006651e+00,3.111273565565634058e+00
1.284173256403156937e+00,8.860756181575277779e-01,5.099194843999348414e-01,3.508093529376613340e+00,-1.226384152796514915e+00
7.978625880093608291e-01,1.660706395594545581e+00,9.404787226237405484e-01,2.511969923250437997e+00,-1.638501493409428411e+00
1.583987633636372516e+00,4.353797566289996368e-01,3.533254826236545298e+00,2.741342460220745902e+00,2.353238481270272686e+00
3.013390711101117336e+00,4.387563009361480582e+00,3.933759675122352917e+00,1.979464917021463544e+00,1.362919177360862877e-01
2.859634410431685314e+00,4.142274625695622881e+00,2.049625339029297777e+00,1.701657389395123898e+00,-5.427322385308556152e-01
4.086611724381333133e+00,4.672753833197243800e+00,3.207207324224602640e+00,3.635259089011082523e+00,-7.294065247307869315e-01
2.890284569629691713e+00,1.278699653884548315e+00,3.597969871198621661e+00,3.295803186809178165e+00,1.492138543625807889e+00
1.584421829269810233e+00,2.341452707827698543e+00,3.375662232369732951e+00,2.035047104190937706e+00,3.766265616615083189e-03
2.181902444868284885e+00,4.083107602300763084e+00,1.971778867220841835e+00,2.078636077703509333e+00,-1.033202567971770458e+00
4.126980660660369615e+00,1.525709078896898330e+00,3.578108915976633941e+00,3.295497996667526852e+00,1.685271613523166678e+00
3.207231019614816603e+00,3.307214818451764238e+00,2.105515741438392041e+00,1.579467500933509294e+00,-8.388384334416909560e-02
4.803572684947722493e+00,1.857239991257029876e+00,2.925130906591906221e+00,1.449596871728576764e+00,1.562978756857135387e+00
1.973141173240068103e+00,2.009093794360693241e+00,3.947963035424485678e+00,3.945524567508972957e+00,1.164499834398979861e-02
2.852535250502178599e+00,3.441788135127638260e+00,1.721802861948174890e+00,1.882897034894831290e+00,-5.911344844636543527e-01
3.050836167743207650e+00,4.708838993816285345e+00,1.821885946365176867e+00,8.986888479317274303e-01,-1.562056638219261329e-01
4.271797799720287614e+00,4.087846869561460927e+00,3.080248246634542664e+00,3.555711870601357738e+00,-4.214339851608094323e-01
8.982729832953523230e-01,1.870618551847564870e+00,3.147304947358297689e+00,3.035878595422074611e+00,-9.080775348918992407e-01
2.151249616391007979e+00,5.322370637306722552e-01,7.992954496698949640e-01,2.063070316143297500e+00,1.856741611249483614e-01
4.567803015979024828e+00,4.851147167957922335e+00,1.246794647109132015e+00,6.423026097424404668e-01,6.485795792884307964e-02
4.067210651273800437e-01,1.833074474168525425e+00,1.921682849965496764e+00,1.755828225197047621e+00,-1.196876772851475756e+00
4.148990144871208763e+00,3.652852688160289407e+00,1.945535185946594581e+00,3.721646876676524940e+00,-9.621750437076687090e-01
2.193843379381878123e+00,4.753999547885673360e-01,9.500624970692053139e-01,3.977539898935169127e+00,1.012769865961802851e-01
4.183059129334893100e+00,2.565631123691481941e-01,1.020666609659333979e+00,2.804028623023450795e+00,8.043311543524860330e-01
2.477818918750014088e-01,3.279645513139601398e+00,1.521365421976657695e+00,1.914582985256578107e+00,-1.698138655205221337e+00
1.952221557239699035e+00,4.348043403543712770e+00,3.170278056074243622e+00,2.491797359834710512e+00,-1.002447618506156157e+00
5.774241783950714302e-01,2.276539253563216292e+00,2.256871862561728115e+00,2.173793416273396950e+00,-1.338083933499079059e+00
3.332549966415864429e+00,3.259321306741985946e+00,1.339650821409940740e+00,3.998364673145688553e+00,-1.546432729699530384e+00
1.514475673277874579e+00,3.574087525400523990e+00,1.191691044247794151e+00,1.383820425582928282e+00,-9.118697948315147572e-01
3.572729939166974233e+00,4.277822417964857848e+00,7.267649722632325560e-01,2.097198475958951480e+00,-1.120544807359304285e+00
4.730246849322035985e+00,6.364075957861503596e-01,2.095229895411316878e+00,1.710960451187946596e+00,1.607472599557019155e+00
8.087220908539892728e-01,2.765762320966061338e+00,3.951446838677290074e+00,1.229085515700461873e+00,-1.065235044901930994e-01
4.350935817923715199e+00,2.323010077521476813e+00,1.455301386233528449e+00,1.922571802419151377e+00,6.450948799498756880e-02
4.854279276816246269e-01,1.833236464976586211e+00,2.704370316201012425e+00,2.297418100851187361e+00,-1.093799058634981058e+00
2.027698439892269278e+00,1.979329955585547252e+00,2.121206052734017078e+00,1.321550029682415861e+00,1.562057417626324107e-01
2.262915493657167598e+00,2.194147567859422221e+00,2.420260287171218216e+00,7.006057944418504491e-01,6.314359088464914782e-01
2.546477824800628564e+00,1.025755657529466180e+00,1.285562907240406005e+00,3.028686737893707015e+00,-4.128019196903526256e-02
4.887019145293013622e+00,4.345752277812953146e+00,3.204420182179703591e+00,2.469663348949377557e+00,2.468443012125466351e-01
3.923317702888776015e+00,1.586177958337298577e+00,3.099709579550297800e+00,6.693495695079809682e-01,1.862288086721265223e+00
1.682515341052452706e+00,2.118667047865083752e+00,3.165253698808527361e+00,1.486938559295503115e+00,3.771932020941701214e-01
1.495216570403840706e+00,3.007089341249292946e+00,2.504651841185861372e+00,1.856095668499163409e+00,-6.847406865700805811e-01
4.342976980108725016e+00,3.493979860242312885e+00,8.013748199616115286e-01,1.501137219255406441e+00,-4.331318462675511349e-01
4.430274429140911074e+00,2.554552416400864612e+00,3.369412761400488510e+00,1.418805420220560887e+00,1.422421910440995418e+00
2.651391226609497220e+00,2.324650300659389934e+00,5.497513434421477108e-01,3.516915482778336433e+00,-1.592861250046315069e+00
1.852619508619161026e+00,1.959875324560119703e+00,1.346390403163939542e+00,1.880165051220573424e+00,-5.657134538192314377e-01
4.975603271172404973e+00,2.619785256365936732e+00,1.929862082220848318e+00,1.363499212731005716e+00,5.771869366667559120e-01
1.716529017764960807e+00,1.319836664430391382e+00,1.571878289342869772e+00,2.543767234319386450e+00,-3.688749801596168942e-01
1.077019418847499743e+00,2.972450052593213488e-01,2.247070610541275215e+00,1.345231704858640631e+00,1.472991297650778186e+00
4.424470982259534502e+00,4.592755432098256207e+00,1.795804890150571431e+00,1.224600481448538059e+00,-6.164801232918415419e-02
4.099209910934018986e+00,1.104937922825171448e+00,1.661511026655260626e+00,5.801013075558985044e-01,1.115775578924408595e+00
3.405869146742485754e+00,2.122519393515987840e+00,1.421664946189366674e+00,3.620506496777102345e+00,-6.807308468775195021e-01
4.800385432534168828e+00,2.785083323799487864e+00,7.520624631008598904e-01,2.736222879350339809e+00,-7.714327154042261991e-01
4.643429970629210146e+00,1.812246584085896561e+00,2.020026162508398393e+00,2.295084343002185001e+00,6.660354795240471804e-01
3.791592815848419562e+00,2.254024781614765605e+00,6.095069969516724306e-01,1.697141805207312171e+00,-4.079954440377214775e-01
4.331366765828852827e+00,2.082685537163548428e+00,7.974864186227601515e-01,2.735083311036498710e+00,-5.473751989652204664e-01
1.386304353546115919e+00,2.374793945803685968e+00,1.126959822572437098e+00,3.525852947847562202e+00,-2.014232545123689100e+00
8.779834731249517299e-01,3.889341470093962361e+00,1.620694484513698574e+00,3.107286456496884952e+00,-2.418196395944050003e+00
3.416296876711692576e+00,2.713884428420951789e+00,3.920092171146067006e+00,5.429198884863921659e-01,1.705121440251452736e+00
3.630168975942813070e+00,4.373891486439419829e+00,3.283271619523628893e+00,1.034133084808063874e+00,5.799388199381523279e-01
1.001854058154906468e+00,3.435907170779779030e+00,5.734412399512458514e-01,2.699643832315838932e+00,-2.308138237595911857e+00
2.098674910903404633e+00,2.676933245440905385e+00,3.067944926992337784e+00,2.636842120943611700e+00,-3.058880239369570209e-01
4.569227677837062629e+00,1.796803563891990585e+00,1.088405670333257191e+00,1.688104786989099271e+00,1.671010211269874091e-01
2.894723684241069961e+00,5.712141372660315408e-01,1.066553421678675617e+00,3.150001116417059599e+00,3.473792839639196495e-01
2.976012391646108757e+00,1.701829658058029660e+00,3.190578144380370240e+00,8.470971235948207001e-01,1.545787080892416343e+00
1.131822909875809247e+00,3.184724519641769724e+00,1.199700234878282590e+00,1.688576161982752399e+00,-1.237870031958371975e+00
2.724906793365800883e+00,2.572582486160156723e+00,1.993923957120581347e+00,3.038374702608983124e+00,-6.633112745074767336e-01
2.712486691495615609e+00,8.313694462514037431e-01,2.520727333864178910e+00,1.495170134976386844e+00,1.505950713661752483e+00
6.268910731821055737e-01,2.940181614767317431e+00,3.086708402671364038e+00,2.029090300769877508e+00,-1.102033953426270418e+00
4.913324927008189569e+00,1.603220884291060688e+00,2.999578943560676336e+00,1.919210559991352261e+00,1.687077250425844444e+00
2.942698882187717135e+00,1.489235823828112260e+00,1.830207703501977257e+00,1.116266922673134099e+00,6.851150455710212084e-01
2.307626367886888019e-01,1.682369480573139953e+00,2.299838236726104768e+00,1.611865644442758372e+00,-9.333486724693135228e-01
3.908716165881865212e+00,3.497650703745549539e+00,1.561518255761984664e+00,3.676574615352656394e+00,-1.171581686633320185e+00
4.895675426432699595e+00,3.387217711686895338e+00,2.860304666017752240e+00,2.594870395078121561e+00,3.976414346975042924e-01
3.031376135940562211e+00,6.054921031735747139e-01,1.976559622096670132e+00,5.351064384613909430e-01,1.518258715711097828e+00
1.734471854156791837e+00,1.197911687163673911e+00,3.301565555988695611e+00,1.663801890040824016e+00,1.202420761576399766e+00
1.100037035493367510e+00,3.074128513808296326e+00,3.999093737933944848e+00,3.356133098505285961e+00,-1.282422959007471608e+00
3.428127842800972491e+00,6.177524670891351155e-01,1.789977776772753826e+00,2.064724765415223651e+00,1.160052121356800248e+00
1.136515512592664034e+00,3.859685183315655799e+00,1.900739271395130103e+00,1.080025388870732073e+00,-7.417883911728336832e-01
2.972901884085724422e+00,3.764710527452467037e+00,3.329248867620175023e+00,1.412838772822475164e+00,3.737539750733486210e-01
3.090748046622203482e+00,1.060088223666238338e+00,1.568902545165225870e+00,1.163866317253119620e+00,7.736094839259399780e-01
4.819630846997029039e+00,4.934471831619233306e+00,1.601817166729602171e+00,3.436296239007035958e+00,-1.277852611047371578e+00
5.468732745434085052e-01,4.083885303237239306e+00,2.388844384385744757e+00,1.670882107748369316e+00,-1.359261500297192615e+00
2.599869553561368729e+00,7.601332629859530732e-01,1.796365571983323806e+00,5.512544659368153743e-01,1.206576853363984680e+00
3.771667900556711306e+00,4.476982852901199905e+00,8.890129185920916388e-01,2.101646228721250953e+00,-1.062695816706320517e+00
1.050688354278362269e+00,1.590214119385298330e+00,1.532335224455379397e+00,5.133669072350940388e-01,1.606626862828001434e-01
2.062720312565692105e+00,2.473838202809401920e+00,3.992307291247863876e+00,8.374006198375578691e-01,1.141456326561481882e+00
5.018983925838623739e-01,8.679910767588651099e-01,2.048287638572195313e+00,3.433967158881503057e+00,-1.085087294963538174e+00
3.684228146123728287e+00,2.345530542185744416e+00,3.469291977980576203e+00,1.512086759704505123e+00,1.346769102668582629e+00
6.212858564455364663e-01,4.134909109584799403e+00,9.475394213260610599e-01,2.853089952906936233e+00,-2.612668409784699719e+00
2.096440200118244501e+00,2.914730420559506374e+00,2.047545822032263985e+00,2.402848241104870830e+00,-8.154656088516222257e-01
4.392908629379514096e+00,5.559763506639437969e-01,8.953942906714120742e-01,3.473860491505796233e+00,3.904366855983198992e-01
2.467041616400055037e+00,1.735666353235846282e+00,3.037595460019351989e+00,2.856492710283153436e+00,5.149411666259265941e-01
4.580585281476250437e+00,2.809282837776935882e+00,1.652988469889460577e+00,2.841021127411623937e+00,-2.761860087634332994e-01
3.876402165146587198e+00,2.342940070892703286e+00,3.650410659317481432e+00,3.395585058305460091e+00,8.841815860878572408e-01
4.593555008536475803e+00,2.518474792698885079e+00,1.744955640426668175e+00,3.539373083637499917e+00,-3.026606888329294032e-01
8.115344434347503411e-01,4.968593126019852591e+00,3.986920331725172240e+00,8.903703388587778100e-01,-3.621939619171723468e-01
5.531019455870337387e-01,2.572785335652601812e+00,2.283070475633955709e+00,2.849813313191836173e+00,-1.843195813374241432e+00
5.375660171322467207e-01,4.910322299763311804e+00,3.918636788468629284e+00,3.083363046726162793e+00,-1.830426338948250020e+00
4.370500612867132872e+00,4.806220979754444178e-01,1.989509923501199484e+00,1.244488508991682618e+00,1.642019993446877324e+00
3.243535900867727584e+00,4.456241850112521163e+00,1.586212234583662006e+00,3.369206752913170622e+00,-1.613459965303631671e+00
2.583544130234494585e+00,2.198771554670790884e+00,3.262495704989179401e+00,2.135429187026320008e+00,6.178268704568655734e-01
9.850083977431053350e-01,4.323149932039703103e+00,1.800617490093880280e+00,9.845436183443976308e-01,-7.871196110735696472e-01
3.433920501090913735e+00,4.615259356511201894e+00,1.672555319125907936e+00,2.494005282364966103e+00,-1.081790030556827986e+00
1.726483461659830576e+00,2.794659276467878151e+00,3.601652570192670488e+00,3.227782581262603312e+00,-6.914283387506372502e-01
