t,N,C,phi,dN_dt,dN_dt_noisy
1.400280056011202201e-01,8.770340559439016026e-01,3.062442133793005783e-02,6.727077654448829214e-02,-8.258469152042469119e-01,-8.136004455288895487e-01
1.420284056811362272e-01,8.753834485728820836e-01,3.100329928014421838e-02,6.819477114030633724e-02,-8.244308427688900043e-01,-8.274061112125947748e-01
1.440288057611522343e-01,8.737356708377261860e-01,3.138065645688086630e-02,6.911779622534626466e-02,-8.230178382257672398e-01,-8.311259840581429748e-01
1.460292058411682414e-01,8.720907166149459711e-01,3.175649792691678797e-02,7.003985465562190260e-02,-8.216078902107668558e-01,-8.140854519389709720e-01
1.480296059211842485e-01,8.704485798047185696e-01,3.213082872928588879e-02,7.096094927677035202e-02,-8.202009874119116084e-01,-8.176665222498301633e-01
1.500300060012002279e-01,8.688092543308860716e-01,3.250365388327919325e-02,7.188108292405197275e-02,-8.187971185692219933e-01,-8.098382878614464042e-01
1.520304060812162350e-01,8.671727341327482019e-01,3.287497839502994540e-02,7.280025842541934522e-02,-8.173962724663296209e-01,-8.208484295668424524e-01
1.540308061612322421e-01,8.655390131551462529e-01,3.324480726514005696e-02,7.371847860554661680e-02,-8.159984379204838767e-01,-8.308166206577060064e-01
1.560312062412482492e-01,8.639080853904875790e-01,3.361314545491623368e-02,7.463574627015900909e-02,-8.146036038246784461e-01,-8.157037114717909931e-01
1.580316063212642563e-01,8.622799448541840217e-01,3.397999790643765200e-02,7.555206421487146995e-02,-8.132117591227052689e-01,-8.176700406528175646e-01
1.600320064012802634e-01,8.606545855824878632e-01,3.434536954430537914e-02,7.646743522598459242e-02,-8.118228928068472738e-01,-8.040696545863715849e-01
1.620324064812962706e-01,8.590320016324923813e-01,3.470926527564238695e-02,7.738186208048464243e-02,-8.104369939177508142e-01,-8.085006654339792487e-01
1.640328065613122499e-01,8.574121870821312941e-01,3.507168999009354499e-02,7.829534754604347557e-02,-8.090540515442992131e-01,-8.253625438686502669e-01
1.660332066413282570e-01,8.557951360301792043e-01,3.543264855982563438e-02,7.920789438101868973e-02,-8.076740548234855321e-01,-8.196256856245175415e-01
1.680336067213442641e-01,8.541808425962513773e-01,3.579214583952733397e-02,8.011950533445347244e-02,-8.062969929402872271e-01,-7.974591025744146577e-01
1.700340068013602712e-01,8.525693009208037410e-01,3.615018666640922029e-02,8.103018314607664252e-02,-8.049228551275386945e-01,-7.981252049533602566e-01
1.720344068813762783e-01,8.509605051651331076e-01,3.650677586020378146e-02,8.193993054630273332e-02,-8.035516306658065933e-01,-8.099540643248914762e-01
1.740348069613922855e-01,8.493544495113769521e-01,3.686191822316540329e-02,8.284875025623186784e-02,-8.021833088832645009e-01,-8.021937968489373239e-01
1.760352070414082926e-01,8.477511281625133011e-01,3.721561854007036929e-02,8.375664498764985588e-02,-8.008178791555672360e-01,-7.963621436178053292e-01
1.780356071214242719e-01,8.461505353423611764e-01,3.756788157821687457e-02,8.466361744302813852e-02,-7.994553309057264023e-01,-7.947712875472535687e-01
1.800360072014402790e-01,8.445526652955799296e-01,3.791871208742501886e-02,8.556967031552384362e-02,-7.980956536039860438e-01,-7.893332316428425255e-01
1.820364072814562861e-01,8.429575122876701299e-01,3.826811480003679267e-02,8.647480628897968868e-02,-7.967388367676990768e-01,-7.941739804954834892e-01
1.840368073614722932e-01,8.413650706049725647e-01,3.861609443091609112e-02,8.737902803792410578e-02,-7.953848699612025008e-01,-7.963331533508875015e-01
1.860372074414883004e-01,8.397753345546690174e-01,3.896265567744872094e-02,8.828233822757111660e-02,-7.940337427956949412e-01,-7.966222234435733629e-01
1.880376075215043075e-01,8.381882984647821555e-01,3.930780321954237960e-02,8.918473951382044351e-02,-7.926854449291133031e-01,-7.821280169237807556e-01
1.900380076015203146e-01,8.366039566841748654e-01,3.965154171962667617e-02,9.008623454325742630e-02,-7.913399660660100920e-01,-8.138485088167954906e-01
1.920384076815362939e-01,8.350223035825512508e-01,3.999387582265311741e-02,9.098682595315306376e-02,-7.899972959574315112e-01,-7.913838492083449250e-01
1.940388077615523010e-01,8.334433335504558560e-01,4.033481015609511472e-02,9.188651637146401374e-02,-7.886574244007946710e-01,-7.883274233609540715e-01
1.960392078415683081e-01,8.318670409992739989e-01,4.067434932994798413e-02,9.278530841683259311e-02,-7.873203412397666856e-01,-8.015738308484685604e-01
1.980396079215843153e-01,8.302934203612316599e-01,4.101249793672893940e-02,9.368320469858673616e-02,-7.859860363641435477e-01,-7.826579002327630485e-01
2.000400080016003224e-01,8.287224660893957040e-01,4.134926055147709889e-02,9.458020781674006394e-02,-7.846544997097288920e-01,-7.911673098341628352e-01
2.020404080816163295e-01,8.271541726576735476e-01,4.168464173175347870e-02,9.547632036199180106e-02,-7.833257212582134255e-01,-7.747012732950560032e-01
2.040408081616323366e-01,8.255885345608134918e-01,4.201864601764100648e-02,9.637154491572688664e-02,-7.819996910370554666e-01,-7.832556118773987830e-01
2.060412082416483437e-01,8.240255463144042780e-01,4.235127793174450761e-02,9.726588405001584947e-02,-7.806763991193603758e-01,-7.739848667114658243e-01
2.080416083216643230e-01,8.224652024548757545e-01,4.268254197919069820e-02,9.815934032761490513e-02,-7.793558356237617613e-01,-7.671673995720494910e-01
2.100420084016803302e-01,8.209074975353711778e-01,4.301244265094844588e-02,9.905191630351922738e-02,-7.780379907102112913e-01,-7.742086948830765314e-01
2.120424084816963373e-01,8.193524261043818591e-01,4.334098444076440321e-02,9.994361453327448019e-02,-7.767228545587594457e-01,-7.854800659929879192e-01
2.140428085617123444e-01,8.177999827549823353e-01,4.366817180537225368e-02,1.008344375546371963e-01,-7.754104174183062970e-01,-7.905536037353526613e-01
2.160432086417283515e-01,8.162501621046382994e-01,4.399400918113573894e-02,1.017243878947575175e-01,-7.741006695863387188e-01,-7.565668284111749520e-01
2.180436087217443586e-01,8.147029587890047830e-01,4.431850098907340330e-02,1.026134680724749559e-01,-7.727936014026604017e-01,-7.739065233345355788e-01
2.200440088017603657e-01,8.131583674619267121e-01,4.464165163485862148e-02,1.035016805983183519e-01,-7.714892032492799423e-01,-7.783748527256231231e-01
2.220444088817763451e-01,8.116163827954391286e-01,4.496346550881959864e-02,1.043890279745058325e-01,-7.701874655503014866e-01,-7.687448946696932017e-01
2.240448089617923522e-01,8.100769994797666351e-01,4.528394698593936341e-02,1.052755126949449088e-01,-7.688883787718132634e-01,-7.708024920766397559e-01
2.260452090418083593e-01,8.085402122233239508e-01,4.560310042585577484e-02,1.061611372452323926e-01,-7.675919334217780055e-01,-7.590705107796511530e-01
2.280456091218243664e-01,8.070060157527151334e-01,4.592093017286151546e-02,1.070459041026544378e-01,-7.662981200499234813e-01,-7.659588382255524408e-01
2.300460092018403735e-01,8.054744048127348011e-01,4.623744055590408436e-02,1.079298157361864852e-01,-7.650069292476326943e-01,-7.648694334114485294e-01
2.320464092818563806e-01,8.039453741663666886e-01,4.655263588858582491e-02,1.088128746064933594e-01,-7.637183516478351919e-01,-7.708641488581647883e-01
2.340468093618723877e-01,8.024189185947849801e-01,4.686652046916389008e-02,1.096950831659291720e-01,-7.624323779248981525e-01,-7.577366969374231820e-01
2.360472094418883671e-01,8.008950328973531985e-01,4.717909858055026329e-02,1.105764438585373766e-01,-7.611489987945183611e-01,-7.714876660180681744e-01
2.380476095219043742e-01,7.993737118916250939e-01,4.749037449031175834e-02,1.114569591200507970e-01,-7.598682050136135180e-01,-7.532093106159738483e-01
2.400480096019203813e-01,7.978549504133439774e-01,4.780035245067001948e-02,1.123366313778915160e-01,-7.585899873802152138e-01,-7.433506122503138469e-01
2.420484096819363884e-01,7.963387433164432760e-01,4.810903669850150749e-02,1.132154630511710003e-01,-7.573143367333614595e-01,-7.725611971143530043e-01
2.440488097619523955e-01,7.948250854730459780e-01,4.841643145533751358e-02,1.140934565506899895e-01,-7.560412439529891060e-01,-7.807035362665022404e-01
2.460492098419684026e-01,7.933139717734650764e-01,4.872254092736414549e-02,1.149706142789386071e-01,-7.547706999598279287e-01,-7.486019124082847753e-01
2.480496099219844097e-01,7.918053971262032364e-01,4.902736930542235527e-02,1.158469386300962911e-01,-7.535026957152940463e-01,-7.280237175604628019e-01
2.500500100020003891e-01,7.902993564579533503e-01,4.933092076500789763e-02,1.167224319900317525e-01,-7.522372222213837833e-01,-7.622464707101027637e-01
2.520504100820163962e-01,7.887958447135977602e-01,4.963319946627138546e-02,1.175970967363031139e-01,-7.509742705205681990e-01,-7.634812281085880947e-01
2.540508101620324033e-01,7.872948568562087024e-01,4.993420955401822736e-02,1.184709352381578262e-01,-7.497138316956878379e-01,-7.438241423578830780e-01
2.560512102420484104e-01,7.857963878670484181e-01,5.023395515770866931e-02,1.193439498565325718e-01,-7.484558968698480363e-01,-7.568631127704311679e-01
2.580516103220644175e-01,7.843004327455688207e-01,5.053244039145778771e-02,1.202161429440534307e-01,-7.472004572063137839e-01,-7.522607120456811236e-01
2.600520104020804246e-01,7.828069865094119395e-01,5.082966935403548242e-02,1.210875168450358391e-01,-7.459475039084064729e-01,-7.494286785752442004e-01
2.620524104820964317e-01,7.813160441944092538e-01,5.112564612886646986e-02,1.219580738954844923e-01,-7.446970282193989821e-01,-7.393770073564810419e-01
2.640528105621124388e-01,7.798276008545823590e-01,5.142037478403031076e-02,1.228278164230934694e-01,-7.434490214224134252e-01,-7.475020450363446534e-01
2.660532106421284460e-01,7.783416515621425225e-01,5.171385937226137541e-02,1.236967467472461502e-01,-7.422034748403167903e-01,-7.394246464395152207e-01
2.680536107221444531e-01,7.768581914074910166e-01,5.200610393094887152e-02,1.245648671790152429e-01,-7.409603798356196869e-01,-7.427257124245554287e-01
2.700540108021604602e-01,7.753772154992188970e-01,5.229711248213682329e-02,1.254321800211627980e-01,-7.397197278103726514e-01,-7.481664388468887150e-01
2.720544108821764118e-01,7.738987189627019037e-01,5.258688903365535405e-02,1.262986875686720745e-01,-7.384815102046906610e-01,-7.416797727821228259e-01
2.740548109621924189e-01,7.724226969142982124e-01,5.287543759970509544e-02,1.271643921187324833e-01,-7.372457184714730216e-01,-7.467497151231522468e-01
2.760552110422084260e-01,7.709491445061759096e-01,5.316276216450169234e-02,1.280292959540882958e-01,-7.360123441202239825e-01,-7.359471942615265494e-01
2.780556111222244331e-01,7.694780569180772467e-01,5.344886668929706153e-02,1.288934013457025407e-01,-7.347813787087800197e-01,-7.460200409844364167e-01
2.800560112022404402e-01,7.680094293454912124e-01,5.373375512196562620e-02,1.297567105571587331e-01,-7.335528138316276259e-01,-7.444817575245800123e-01
2.820564112822564473e-01,7.665432569996538659e-01,5.401743139700437846e-02,1.306192258446607635e-01,-7.323266411198073866e-01,-7.177570229667548096e-01
2.840568113622724544e-01,7.650795351075481143e-01,5.429989943553283765e-02,1.314809494570329251e-01,-7.311028522408193897e-01,-7.316346944438728572e-01
2.860572114422884615e-01,7.636182589119036024e-01,5.458116314529306429e-02,1.323418836357198591e-01,-7.298814388985285229e-01,-7.304204591532489355e-01
2.880576115223044686e-01,7.621594236711970449e-01,5.486122642064965998e-02,1.332020306147866651e-01,-7.286623928330701050e-01,-7.235470286338938628e-01
2.900580116023204758e-01,7.607030246596520051e-01,5.514009314258977446e-02,1.340613926209188178e-01,-7.274457058207558502e-01,-7.316542758462445395e-01
2.920584116823364829e-01,7.592490571672388944e-01,5.541776717872307773e-02,1.349199718734222231e-01,-7.262313696739799429e-01,-7.285167233487614968e-01
2.940588117623524900e-01,7.577975164996749724e-01,5.569425238328180872e-02,1.357777705842231342e-01,-7.250193762411260012e-01,-7.207678888878069623e-01
2.960592118423684971e-01,7.563483979784245692e-01,5.596955259712071973e-02,1.366347909578682351e-01,-7.238097174064739292e-01,-7.209855589840299395e-01
2.980596119223845042e-01,7.549016969406986410e-01,5.624367164771711114e-02,1.374910351915245854e-01,-7.226023850901065471e-01,-7.341953523594308972e-01
3.000600120024004558e-01,7.534574087394553255e-01,5.651661334917083140e-02,1.383465054749796752e-01,-7.213973712478181088e-01,-7.130639452811214918e-01
3.020604120824164629e-01,7.520155287433994973e-01,5.678838150220427011e-02,1.392012039906414256e-01,-7.201946678710217098e-01,-7.260990173039121309e-01
3.040608121624324700e-01,7.505760523369827686e-01,5.705897989416234412e-02,1.400551329135380774e-01,-7.189942669866569158e-01,-7.295550564897987922e-01
3.060612122424484771e-01,7.491389749204038218e-01,5.732841229901251834e-02,1.409082944113182745e-01,-7.177961606570995023e-01,-7.268009113570900182e-01
3.080616123224644842e-01,7.477042919096084095e-01,5.759668247734479885e-02,1.417606906442511194e-01,-7.166003409800693058e-01,-7.205057944236225032e-01
3.100620124024804913e-01,7.462719987362886886e-01,5.786379417637172590e-02,1.426123237652261178e-01,-7.154068000885400735e-01,-6.991337975423094209e-01
3.120624124824964984e-01,7.448420908478842195e-01,5.812975112992838783e-02,1.434631959197530948e-01,-7.142155301506485365e-01,-7.259708891998563063e-01
3.140628125625125056e-01,7.434145637075810775e-01,5.839455705847241412e-02,1.443133092459623346e-01,-7.130265233696044813e-01,-7.114257644442610884e-01
3.160632126425285127e-01,7.419894127943125195e-01,5.865821566908396151e-02,1.451626658746044962e-01,-7.118397719836010440e-01,-7.332180155645068309e-01
3.180636127225445198e-01,7.405666336027583174e-01,5.892073065546574173e-02,1.460112679290506976e-01,-7.106552682657247821e-01,-7.106709375971766995e-01
3.200640128025605269e-01,7.391462216433454246e-01,5.918210569794299380e-02,1.468591175252923486e-01,-7.094730045238670790e-01,-7.004773403491070249e-01
3.220644128825765340e-01,7.377281724422476428e-01,5.944234446346350481e-02,1.477062167719413732e-01,-7.082929731006351037e-01,-7.106596063212496928e-01
3.240648129625925411e-01,7.363124815413857327e-01,5.970145060559760297e-02,1.485525677702299874e-01,-7.071151663732636594e-01,-7.134087156120970663e-01
3.260652130426085482e-01,7.348991444984270816e-01,5.995942776453815765e-02,1.493981726140108934e-01,-7.059395767535263655e-01,-7.036244661129409383e-01
3.280656131226244998e-01,7.334881568867862578e-01,6.021627956710056545e-02,1.502430333897571413e-01,-7.047661966876486161e-01,-6.977646791761421552e-01
3.300660132026405069e-01,7.320795142956245671e-01,6.047200962672278496e-02,1.510871521765622394e-01,-7.035950186562198727e-01,-6.969584429460458086e-01
3.320664132826565140e-01,7.306732123298500525e-01,6.072662154346529506e-02,1.519305310461400160e-01,-7.024260351741062891e-01,-6.827012966348083856e-01
3.340668133626725211e-01,7.292692466101180493e-01,6.098011890401112273e-02,1.527731720628247025e-01,-7.012592387903646696e-01,-6.991675640670018677e-01
3.360672134426885282e-01,7.278676127728304079e-01,6.123250528166583606e-02,1.536150772835710443e-01,-7.000946220881556492e-01,-7.060187230856850293e-01
3.380676135227045354e-01,7.264683064689312353e-01,6.148378423732451387e-02,1.544562487584137389e-01,-6.989321776834943600e-01,-7.001919695833608293e-01
3.400680136027205425e-01,7.250713233378336398e-01,6.173395934022261888e-02,1.552966885406394382e-01,-6.977718982000454817e-01,-6.984968836562436278e-01
3.420684136827365496e-01,7.236766590514982500e-01,6.198303413229699216e-02,1.561363986703182272e-01,-6.966137763116595494e-01,-6.955264024768783582e-01
3.440688137627525567e-01,7.222843093079980292e-01,6.223101213372628226e-02,1.569753811762757967e-01,-6.954578047359718518e-01,-6.957580828682662366e-01
3.460692138427685638e-01,7.208942698189322318e-01,6.247789685309738245e-02,1.578136380808101702e-01,-6.943039762221536737e-01,-6.925643168331916399e-01
3.480696139227845709e-01,7.195065363094260702e-01,6.272369178740547224e-02,1.586511713996916761e-01,-6.931522835508312497e-01,-7.098607841569823940e-01
3.500700140028005780e-01,7.181211045181314923e-01,6.296840042205396892e-02,1.594879831421628924e-01,-6.920027195340062720e-01,-6.837064299736058670e-01
3.520704140828165851e-01,7.167379701972265149e-01,6.321202623085454830e-02,1.603240753109387573e-01,-6.908552770149747335e-01,-6.966026697041850513e-01
3.540708141628325922e-01,7.153571291124154463e-01,6.345457267602716556e-02,1.611594499022064586e-01,-6.897099488682478796e-01,-7.014415358327181771e-01
3.560712142428485438e-01,7.139785770429289968e-01,6.369604320819999277e-02,1.619941089056254890e-01,-6.885667279994722723e-01,-6.821892164030579631e-01
3.580716143228645509e-01,7.126023097815239460e-01,6.393644126640954384e-02,1.628280543043276463e-01,-6.874256073453506310e-01,-6.742523472714898602e-01
3.600720144028805580e-01,7.112283231344836976e-01,6.417577027810049406e-02,1.636612880749170051e-01,-6.862865798735633405e-01,-6.813562983785689253e-01
3.620724144828965652e-01,7.098566129216177245e-01,6.441403365912584666e-02,1.644938121874699732e-01,-6.851496385826894020e-01,-6.835380454442342435e-01
3.640728145629125723e-01,7.084871749762619020e-01,6.465123481374683567e-02,1.653256286055352353e-01,-6.840147765021279413e-01,-6.933369795558474991e-01
3.660732146429285794e-01,7.071200051452781743e-01,6.488737713463295365e-02,1.661567392861337256e-01,-6.828819866920203818e-01,-6.541663133138854169e-01
3.680736147229445865e-01,7.057550992890551100e-01,6.512246400286195169e-02,1.669871461797587386e-01,-6.817512622431732838e-01,-6.729486760365581688e-01
3.700740148029605936e-01,7.043924532815072359e-01,6.535649878791986722e-02,1.678168512303758464e-01,-6.806225962769796300e-01,-6.920155429804093483e-01
3.720744148829766007e-01,7.030320630100757029e-01,6.558948484770095455e-02,1.686458563754228979e-01,-6.794959819453429972e-01,-6.872923611077403905e-01
3.740748149629926078e-01,7.016739243757277311e-01,6.582142552850775430e-02,1.694741635458100470e-01,-6.783714124305999515e-01,-6.775016199448808951e-01
