d,m
7.691538307661531793e-01,9.657424810367724044e-01
7.730546109221844153e-01,9.654452741349781597e-01
7.769553910782156514e-01,9.651469506617121885e-01
7.808561712342467764e-01,9.648475119340385042e-01
7.847569513902781235e-01,9.645469592697030192e-01
7.886577315463092486e-01,9.642452939872329098e-01
7.925585117023404846e-01,9.639425174060295420e-01
7.964592918583717207e-01,9.636386308464649497e-01
8.003600720144028458e-01,9.633336356299716519e-01
8.042608521704340818e-01,9.630275330791350230e-01
8.081616323264653179e-01,9.627203245177804458e-01
8.120624124824964429e-01,9.624120112710606856e-01
8.159631926385276790e-01,9.621025946655409333e-01
8.198639727945589151e-01,9.617920760292831828e-01
8.237647529505900401e-01,9.614804566919269435e-01
8.276655331066213872e-01,9.611677379847708425e-01
8.315663132626525123e-01,9.608539212408502284e-01
8.354670934186837483e-01,9.605390077950162198e-01
8.393678735747149844e-01,9.602229989840100899e-01
8.432686537307461094e-01,9.599058961465387618e-01
8.471694338867773455e-01,9.595877006233458628e-01
8.510702140428085816e-01,9.592684137572864422e-01
8.549709941988397066e-01,9.589480368933940291e-01
8.588717743548709427e-01,9.586265713789519083e-01
8.627725545109021787e-01,9.583040185635587349e-01
8.666733346669333038e-01,9.579803797991960357e-01
8.705741148229646509e-01,9.576556564402919358e-01
8.744748949789957759e-01,9.573298498437858850e-01
8.783756751350270120e-01,9.570029613691903858e-01
8.822764552910582481e-01,9.566749923786525001e-01
8.861772354470893731e-01,9.563459442370133567e-01
8.900780156031206092e-01,9.560158183118669939e-01
8.939787957591518452e-01,9.556846159736184232e-01
8.978795759151829703e-01,9.553523385955394742e-01
9.017803560712142064e-01,9.550189875538244166e-01
9.056811362272454424e-01,9.546845642276442501e-01
9.095819163832765675e-01,9.543490699991996618e-01
9.134826965393079146e-01,9.540125062537725409e-01
9.173834766953390396e-01,9.536748743797783812e-01
9.212842568513702757e-01,9.533361757688147975e-01
9.251850370074015117e-01,9.529964118157105979e-01
9.290858171634326368e-01,9.526555839185747443e-01
9.329865973194638729e-01,9.523136934788422048e-01
9.368873774754951089e-01,9.519707419013203609e-01
9.407881576315262340e-01,9.516267305942337495e-01
9.446889377875575811e-01,9.512816609692681391e-01
9.485897179435887061e-01,9.509355344416139388e-01
9.524904980996198312e-01,9.505883524300076104e-01
9.563912782556511782e-01,9.502401163567735232e-01
9.602920584116823033e-01,9.498908276478645885e-01
9.641928385677135394e-01,9.495404877329007842e-01
9.680936187237447754e-01,9.491890980452082349e-01
9.719943988797759005e-01,9.488366600218579583e-01
9.758951790358071365e-01,9.484831751037006153e-01
9.797959591918383726e-01,9.481286447354044800e-01
9.836967393478694976e-01,9.477730703654898559e-01
9.875975195039008447e-01,9.474164534463637155e-01
9.914982996599319698e-01,9.470587954343534509e-01
9.953990798159632059e-01,9.467000977897394032e-01
9.992998599719944419e-01,9.463403619767876140e-01
1.003200640128025567e+00,9.459795894637800240e-01
1.007101420284056914e+00,9.456177817230460025e-01
1.011002200440088039e+00,9.452549402309922133e-01
1.014902980596119164e+00,9.448910664681309246e-01
1.018803760752150289e+00,9.445261619191090974e-01
1.022704540908181636e+00,9.441602280727355856e-01
1.026605321064212983e+00,9.437932664220091139e-01
1.030506101220244108e+00,9.434252784641421474e-01
1.034406881376275233e+00,9.430562657005892024e-01
1.038307661532306359e+00,9.426862296370699390e-01
1.042208441688337706e+00,9.423151717835948071e-01
1.046109221844368831e+00,9.419430936544865851e-01
1.050010002000400178e+00,9.415699967684053595e-01
1.053910782156431303e+00,9.411958826483697305e-01
1.057811562312462428e+00,9.408207528217782389e-01
1.061712342468493553e+00,9.404446088204307941e-01
1.065613122624524900e+00,9.400674521805494344e-01
1.069513902780556247e+00,9.396892844427970903e-01
1.073414682936587372e+00,9.393101071522979018e-01
1.077315463092618497e+00,9.389299218586543150e-01
1.081216243248649622e+00,9.385487301159668450e-01
1.085117023404680969e+00,9.381665334828496183e-01
1.089017803560712094e+00,9.377833335224488032e-01
1.092918583716743441e+00,9.373991318024579300e-01
1.096819363872774566e+00,9.370139298951332130e-01
1.100720144028805692e+00,9.366277293773105361e-01
1.104620924184836817e+00,9.362405318304174440e-01
1.108521704340868164e+00,9.358523388404891286e-01
1.112422484496899511e+00,9.354631519981808641e-01
1.116323264652930636e+00,9.350729728987816625e-01
1.120224044808961761e+00,9.346818031422269302e-01
1.124124824964992886e+00,9.342896443331086820e-01
1.128025605121024233e+00,9.338964980806891969e-01
1.131926385277055358e+00,9.335023659989104550e-01
1.135827165433086705e+00,9.331072497064053506e-01
1.139727945589117830e+00,9.327111508265067963e-01
1.143628725745148955e+00,9.323140709872581589e-01
1.147529505901180080e+00,9.319160118214206978e-01
1.151430286057211427e+00,9.315169749664843346e-01
1.155331066213242774e+00,9.311169620646733147e-01
1.159231846369273899e+00,9.307159747629549784e-01
1.163132626525305025e+00,9.303140147130469773e-01
1.167033406681336150e+00,9.299110835714227141e-01
1.170934186837367497e+00,9.295071829993190038e-01
1.174834966993398622e+00,9.291023146627406248e-01
1.178735747149429969e+00,9.286964802324660928e-01
1.182636527305461094e+00,9.282896813840528782e-01
1.186537307461492219e+00,9.278819197978404043e-01
1.190438087617523344e+00,9.274731971589559310e-01
1.194338867773554691e+00,9.270635151573165533e-01
1.198239647929586038e+00,9.266528754876333096e-01
1.202140428085617163e+00,9.262412798494135124e-01
1.206041208241648288e+00,9.258287299469623033e-01
1.209941988397679413e+00,9.254152274893863162e-01
1.213842768553710760e+00,9.250007741905943437e-01
1.217743548709741885e+00,9.245853717692973373e-01
1.221644328865773232e+00,9.241690219490102942e-01
1.225545109021804357e+00,9.237517264580531462e-01
1.229445889177835483e+00,9.233334870295494268e-01
1.233346669333866608e+00,9.229143054014264935e-01
1.237247449489897955e+00,9.224941833164144178e-01
1.241148229645929302e+00,9.220731225220450966e-01
1.245049009801960427e+00,9.216511247706508092e-01
1.248949789957991552e+00,9.212281918193619967e-01
1.252850570114022677e+00,9.208043254301047087e-01
1.256751350270054024e+00,9.203795273695994927e-01
1.260652130426085149e+00,9.199537994093556215e-01
1.264552910582116496e+00,9.195271433256713145e-01
1.268453690738147621e+00,9.190995608996265220e-01
1.272354470894178746e+00,9.186710539170821477e-01
1.276255251050209871e+00,9.182416241686732761e-01
1.280156031206241218e+00,9.178112734498051761e-01
1.284056811362272565e+00,9.173800035606488601e-01
1.287957591518303690e+00,9.169478163061359766e-01
1.291858371674334816e+00,9.165147134959515940e-01
1.295759151830365941e+00,9.160806969445296488e-01
1.299659931986397288e+00,9.156457684710457290e-01
1.303560712142428413e+00,9.152099298994120780e-01
1.307461492298459760e+00,9.147731830582682688e-01
1.311362272454490885e+00,9.143355297809758753e-01
1.315263052610522010e+00,9.138969719056100338e-01
1.319163832766553135e+00,9.134575112749523385e-01
1.323064612922584482e+00,9.130171497364812927e-01
1.326965393078615829e+00,9.125758891423659813e-01
1.330866173234646954e+00,9.121337313494551902e-01
1.334766953390678079e+00,9.116906782192699676e-01
1.338667733546709204e+00,9.112467316179938548e-01
1.342568513702740551e+00,9.108018934164630043e-01
1.346469293858771898e+00,9.103561654901568545e-01
1.350370074014803023e+00,9.099095497191872495e-01
1.354270854170834149e+00,9.094620479882886688e-01
1.358171634326865274e+00,9.090136621868081246e-01
1.362072414482896399e+00,9.085643942086923941e-01
1.365973194638927746e+00,9.081142459524784716e-01
1.369873974794959093e+00,9.076632193212816890e-01
1.373774754950990218e+00,9.072113162227833927e-01
1.377675535107021343e+00,9.067585385692199518e-01
1.381576315263052468e+00,9.063048882773698800e-01
1.385477095419083815e+00,9.058503672685411789e-01
1.389377875575115162e+00,9.053949774685587926e-01
1.393278655731146287e+00,9.049387208077523947e-01
1.397179435887177412e+00,9.044815992209421784e-01
1.401080216043208537e+00,9.040236146474251999e-01
1.404980996199239662e+00,9.035647690309632774e-01
1.408881776355271009e+00,9.031050643197665595e-01
1.412782556511302356e+00,9.026445024664822014e-01
1.416683336667333482e+00,9.021830854281777112e-01
1.420584116823364607e+00,9.017208151663270721e-01
1.424484896979395732e+00,9.012576936467967537e-01
1.428385677135427079e+00,9.007937228398288365e-01
1.432286457291458426e+00,9.003289047200272455e-01
1.436187237447489551e+00,8.998632412663418734e-01
1.440088017603520676e+00,8.993967344620522608e-01
1.443988797759551801e+00,8.989293862947527192e-01
1.447889577915583148e+00,8.984611987563349000e-01
1.451790358071614273e+00,8.979921738429723632e-01
1.455691138227645620e+00,8.975223135551041453e-01
1.459591918383676745e+00,8.970516198974167743e-01
1.463492698539707870e+00,8.965800948788286151e-01
1.467393478695738995e+00,8.961077405124719952e-01
1.471294258851770342e+00,8.956345588156764403e-01
1.475195039007801689e+00,8.951605518099500225e-01
1.479095819163832815e+00,8.946857215209632619e-01
1.482996599319863940e+00,8.942100699785291429e-01
1.486897379475895065e+00,8.937335992165869047e-01
1.490798159631926412e+00,8.932563112731821686e-01
1.494698939787957537e+00,8.927782081904495071e-01
1.498599719943988884e+00,8.922992920145936813e-01
1.502500500100020009e+00,8.918195647958699901e-01
1.506401280256051134e+00,8.913390285885660624e-01
1.510302060412082481e+00,8.908576854509823173e-01
1.514202840568113606e+00,8.903755374454122018e-01
1.518103620724144731e+00,8.898925866381235394e-01
1.522004400880176078e+00,8.894088350993381020e-01
1.525905181036207203e+00,8.889242849032116256e-01
1.529805961192238328e+00,8.884389381278146036e-01
1.533706741348269675e+00,8.879527968551107486e-01
1.537607521504300800e+00,8.874658631709380074e-01
1.541508301660332148e+00,8.869781391649870228e-01
1.545409081816363273e+00,8.864896269307812604e-01
1.549309861972394398e+00,8.860003285656550265e-01
1.553210642128425745e+00,8.855102461707334838e-01
1.557111422284456870e+00,8.850193818509114463e-01
1.561012202440487995e+00,8.845277377148313969e-01
1.564912982596519342e+00,8.840353158748622819e-01
1.568813762752550467e+00,8.835421184470787503e-01
1.572714542908581592e+00,8.830481475512382827e-01
1.576615323064612939e+00,8.825534053107596533e-01
1.580516103220644064e+00,8.820578938527013912e-01
1.584416883376675411e+00,8.815616153077390216e-01
1.588317663532706536e+00,8.810645718101435264e-01
1.592218443688737661e+00,8.805667654977580305e-01
1.596119223844769008e+00,8.800681985119754858e-01
1.600020004000800133e+00,8.795688729977167997e-01
1.603920784156831258e+00,8.790687911034069657e-01
1.607821564312862606e+00,8.785679549809527478e-01
1.611722344468893731e+00,8.780663667857193655e-01
1.615623124624924856e+00,8.775640286765072906e-01
1.619523904780956203e+00,8.770609428155295983e-01
1.623424684936987328e+00,8.765571113683870985e-01
1.627325465093018675e+00,8.760525365040470192e-01
1.631226245249049800e+00,8.755472203948166943e-01
1.635127025405080925e+00,8.750411652163221365e-01
1.639027805561112272e+00,8.745343731474825022e-01
1.642928585717143397e+00,8.740268463704872204e-01
1.646829365873174522e+00,8.735185870707714573e-01
1.650730146029205869e+00,8.730095974369919132e-01
1.654630926185236994e+00,8.724998796610021756e-01
1.658531706341268119e+00,8.719894359378291826e-01
1.662432486497299466e+00,8.714782684656480205e-01
1.666333266653330591e+00,8.709663794457570551e-01
1.670234046809361939e+00,8.704537710825543950e-01
1.674134826965393064e+00,8.699404455835121341e-01
1.678035607121424189e+00,8.694264051591512610e-01
1.681936387277455536e+00,8.689116520230175666e-01
1.685837167433486661e+00,8.683961883916556657e-01
1.689737947589517786e+00,8.678800164845844600e-01
1.693638727745549133e+00,8.673631385242718261e-01
1.697539507901580258e+00,8.668455567361090797e-01
1.701440288057611383e+00,8.663272733483847743e-01
1.705341068213642730e+00,8.658082905922608319e-01
1.709241848369673855e+00,8.652886107017461192e-01
1.713142628525705202e+00,8.647682359136699137e-01
1.717043408681736327e+00,8.642471684676573673e-01
1.720944188837767452e+00,8.637254106061034165e-01
1.724844968993798799e+00,8.632029645741466917e-01
1.728745749149829924e+00,8.626798326196435385e-01
1.732646529305861050e+00,8.621560169931410389e-01
1.736547309461892397e+00,8.616315199478534748e-01
1.740448089617923522e+00,8.611063437396331288e-01
1.744348869773954869e+00,8.605804906269457488e-01
1.748249649929985994e+00,8.600539628708439022e-01
1.752150430086017119e+00,8.595267627349403305e-01
1.756051210242048466e+00,8.589988924853814156e-01
1.759951990398079591e+00,8.584703543908215329e-01
1.763852770554110716e+00,8.579411507223950739e-01
1.767753550710142063e+00,8.574112837536906895e-01
1.771654330866173188e+00,8.568807557607247549e-01
1.775555111022204313e+00,8.563495690219137257e-01
1.779455891178235660e+00,8.558177258180481584e-01
1.783356671334266785e+00,8.552852284322656207e-01
1.787257451490298132e+00,8.547520791500231585e-01
1.791158231646329257e+00,8.542182802590716495e-01
1.795059011802360383e+00,8.536838340494272703e-01
1.798959791958391730e+00,8.531487428133450734e-01
1.802860572114422855e+00,8.526130088452924527e-01
1.806761352270453980e+00,8.520766344419213878e-01
1.810662132426485327e+00,8.515396219020403556e-01
1.814562912582516452e+00,8.510019735265892393e-01
1.818463692738547577e+00,8.504636916186099072e-01
1.822364472894578924e+00,8.499247784832203445e-01
1.826265253050610049e+00,8.493852364275862321e-01
1.830166033206641396e+00,8.488450677608940786e-01
1.834066813362672521e+00,8.483042747943240203e-01
1.837967593518703646e+00,8.477628598410217320e-01
1.841868373674734993e+00,8.472208252160712272e-01
1.845769153830766118e+00,8.466781732364674351e-01
1.849669933986797243e+00,8.461349062210882233e-01
1.853570714142828590e+00,8.455910264906671969e-01
1.857471494298859715e+00,8.450465363677656105e-01
1.861372274454890841e+00,8.445014381767456113e-01
1.865273054610922188e+00,8.439557342437414844e-01
1.869173834766953313e+00,8.434094268966321195e-01
1.873074614922984660e+00,8.428625184650142543e-01
1.876975395079015785e+00,8.423150112801733869e-01
1.880876175235046910e+00,8.417669076750571300e-01
1.884776955391078257e+00,8.412182099842461236e-01
1.888677735547109382e+00,8.406689205439280554e-01
1.892578515703140507e+00,8.401190416918676851e-01
1.896479295859171854e+00,8.395685757673806426e-01
1.900380076015202979e+00,8.390175251113047850e-01
1.904280856171234104e+00,8.384658920659728842e-01
1.908181636327265451e+00,8.379136789751837622e-01
1.912082416483296576e+00,8.373608881841758667e-01
1.915983196639327923e+00,8.368075220395972957e-01
1.919883976795359048e+00,8.362535828894801515e-01
1.923784756951390174e+00,8.356990730832106751e-01
1.927685537107421521e+00,8.351439949715029343e-01
1.931586317263452646e+00,8.345883509063695138e-01
1.935487097419483771e+00,8.340321432410940927e-01
1.939387877575515118e+00,8.334753743302041329e-01
1.943288657731546243e+00,8.329180465294423463e-01
1.947189437887577590e+00,8.323601621957378294e-01
1.951090218043608715e+00,8.318017236871799724e-01
1.954990998199639840e+00,8.312427333629891502e-01
1.958891778355671187e+00,8.306831935834890768e-01
1.962792558511702312e+00,8.301231067100793837e-01
1.966693338667733437e+00,8.295624751052070867e-01
1.970594118823764784e+00,8.290013011323386083e-01
1.974494898979795909e+00,8.284395871559322444e-01
1.978395679135827034e+00,8.278773355414098534e-01
1.982296459291858381e+00,8.273145486551298777e-01
1.986197239447889507e+00,8.267512288643575902e-01
1.990098019603920854e+00,8.261873785372392254e-01
1.993998799759951979e+00,8.256230000427727811e-01
1.997899579915983104e+00,8.250580957507808177e-01
2.001800360072014229e+00,8.244926680318818146e-01
2.005701140228045354e+00,8.239267192574638576e-01
2.009601920384076479e+00,8.233602517996546633e-01
2.013502700540108048e+00,8.227932680312954883e-01
2.017403480696139173e+00,8.222257703259128192e-01
2.021304260852170298e+00,8.216577610576910606e-01
2.025205041008201867e+00,8.210892426014430034e-01
2.029105821164232992e+00,8.205202173325844006e-01
2.033006601320264117e+00,8.199506876271052125e-01
2.036907381476295242e+00,8.193806558615414071e-01
2.040808161632326367e+00,8.188101244129479817e-01
2.044708941788357492e+00,8.182390956588716513e-01
2.048609721944388617e+00,8.176675719773219830e-01
2.052510502100419743e+00,8.170955557467455277e-01
2.056411282256451312e+00,8.165230493459962879e-01
2.060312062412482437e+00,8.159500551543102942e-01
2.064212842568513562e+00,8.153765755512759617e-01
2.068113622724545131e+00,8.148026129168085552e-01
2.072014402880576256e+00,8.142281696311214345e-01
2.075915183036607381e+00,8.136532480746994089e-01
2.079815963192638506e+00,8.130778506282699825e-01
2.083716743348669631e+00,8.125019796727787069e-01
2.087617523504700756e+00,8.119256375893593169e-01
2.091518303660731881e+00,8.113488267593073067e-01
2.095419083816763006e+00,8.107715495640528403e-01
2.099319863972794575e+00,8.101938083851337735e-01
2.103220644128825700e+00,8.096156056041678983e-01
2.107121424284856825e+00,8.090369436028261863e-01
2.111022204440888395e+00,8.084578247628055880e-01
2.114922984596919520e+00,8.078782514658022773e-01
2.118823764752950645e+00,8.072982260934840060e-01
2.122724544908981770e+00,8.067177510274636809e-01
2.126625325065012895e+00,8.061368286492722746e-01
2.130526105221044020e+00,8.055554613403322906e-01
2.134426885377075145e+00,8.049736514819302302e-01
2.138327665533106270e+00,8.043914014551905023e-01
2.142228445689137839e+00,8.038087136410477784e-01
2.146129225845168964e+00,8.032255904202219021e-01
2.150030006001200089e+00,8.026420341731892449e-01
2.153930786157231658e+00,8.020580472801575045e-01
2.157831566313262783e+00,8.014736321210390591e-01
2.161732346469293908e+00,8.008887910754237671e-01
2.165633126625325033e+00,8.003035265225529882e-01
2.169533906781356158e+00,7.997178408412930484e-01
2.173434686937387283e+00,7.991317364101092613e-01
2.177335467093418409e+00,7.985452156070390606e-01
2.181236247249449534e+00,7.979582808096659097e-01
2.185137027405481103e+00,7.973709343950935446e-01
2.189037807561512228e+00,7.967831787399195509e-01
2.192938587717543797e+00,7.961950162202090509e-01
2.196839367873574922e+00,7.956064492114690578e-01
2.200740148029606047e+00,7.950174800886223858e-01
2.204640928185637172e+00,7.944281112259814481e-01
2.208541708341668297e+00,7.938383449972228334e-01
2.212442488497699422e+00,7.932481837753619924e-01
2.216343268653730547e+00,7.926576299327254826e-01
2.220244048809761672e+00,7.920666858409280975e-01
2.224144828965792797e+00,7.914753538708452218e-01
2.228045609121824366e+00,7.908836363925877411e-01
2.231946389277855491e+00,7.902915357754772829e-01
2.235847169433887061e+00,7.896990543880199054e-01
2.239747949589918186e+00,7.891061945978810055e-01
2.243648729745949311e+00,7.885129587718603394e-01
2.247549509901980436e+00,7.879193492758667094e-01
2.251450290058011561e+00,7.873253684748920955e-01
2.255351070214042686e+00,7.867310187329877857e-01
2.259251850370073811e+00,7.861363024132378419e-01
2.263152630526104936e+00,7.855412218777356737e-01
2.267053410682136061e+00,7.849457794875582817e-01
2.270954190838167630e+00,7.843499776027410553e-01
2.274854970994198755e+00,7.837538185822544579e-01
2.278755751150230324e+00,7.831573047839773816e-01
2.282656531306261449e+00,7.825604385646741656e-01
2.286557311462292574e+00,7.819632222799697274e-01
2.290458091618323699e+00,7.813656582843233611e-01
2.294358871774354824e+00,7.807677489310076435e-01
2.298259651930385949e+00,7.801694965720806785e-01
2.302160432086417075e+00,7.795709035583641144e-01
2.306061212242448200e+00,7.789719722394178314e-01
2.309961992398479325e+00,7.783727049635162931e-01
2.313862772554510894e+00,7.777731040776242333e-01
2.317763552710542019e+00,7.771731719273732297e-01
2.321664332866573588e+00,7.765729108570370576e-01
2.325565113022604713e+00,7.759723232095081524e-01
2.329465893178635838e+00,7.753714113262741847e-01
2.333366673334666963e+00,7.747701775473936348e-01
2.337267453490698088e+00,7.741686242114736993e-01
2.341168233646729213e+00,7.735667536556443125e-01
2.345069013802760338e+00,7.729645682155374953e-01
2.348969793958791463e+00,7.723620702252617098e-01
2.352870574114822588e+00,7.717592620173804319e-01
2.356771354270854157e+00,7.711561459228871707e-01
2.360672134426885282e+00,7.705527242711837088e-01
2.364572914582916852e+00,7.699489993900564544e-01
2.368473694738947977e+00,7.693449736056541255e-01
2.372374474894979102e+00,7.687406492424633253e-01
2.376275255051010227e+00,7.681360286232875589e-01
2.380176035207041352e+00,7.675311140692234746e-01
2.384076815363072477e+00,7.669259078996385481e-01
2.387977595519103602e+00,7.663204124321482125e-01
2.391878375675134727e+00,7.657146299825936531e-01
2.395779155831166296e+00,7.651085628650201587e-01
2.399679935987197421e+00,7.645022133916532514e-01
2.403580716143228546e+00,7.638955838728774816e-01
2.407481496299260115e+00,7.632886766172141124e-01
2.411382276455291240e+00,7.626814939312991370e-01
2.415283056611322365e+00,7.620740381198612967e-01
2.419183836767353490e+00,7.614663114856996540e-01
2.423084616923384615e+00,7.608583163296629426e-01
2.426985397079415741e+00,7.602500549506270300e-01
2.430886177235446866e+00,7.596415296454730459e-01
2.434786957391477991e+00,7.590327427090668433e-01
2.438687737547509560e+00,7.584236964342363496e-01
2.442588517703540685e+00,7.578143931117514720e-01
2.446489297859571810e+00,7.572048350303021147e-01
2.450390078015603379e+00,7.565950244764766408e-01
2.454290858171634504e+00,7.559849637347416662e-01
2.458191638327665629e+00,7.553746550874200771e-01
2.462092418483696754e+00,7.547641008146716013e-01
2.465993198639727879e+00,7.541533031944699372e-01
2.469893978795759004e+00,7.535422645025837696e-01
2.473794758951790129e+00,7.529309870125552306e-01
2.477695539107821254e+00,7.523194729956798055e-01
2.481596319263852823e+00,7.517077247209851265e-01
2.485497099419883948e+00,7.510957444552119888e-01
2.489397879575915074e+00,7.504835344627923677e-01
2.493298659731946643e+00,7.498710970058302117e-01
2.497199439887977768e+00,7.492584343440814587e-01
2.501100220044008893e+00,7.486455487349338300e-01
2.505001000200040018e+00,7.480324424333862909e-01
2.508901780356071143e+00,7.474191176920302881e-01
2.512802560512102268e+00,7.468055767610294327e-01
2.516703340668133393e+00,7.461918218880994047e-01
2.520604120824164962e+00,7.455778553184898572e-01
2.524504900980196087e+00,7.449636792949629882e-01
2.528405681136227212e+00,7.443492960577764439e-01
2.532306461292258337e+00,7.437347078446615578e-01
2.536207241448289462e+00,7.431199168908066977e-01
2.540108021604321031e+00,7.425049254288358380e-01
2.544008801760352156e+00,7.418897356887915739e-01
2.547909581916383281e+00,7.412743498981150259e-01
2.551810362072414406e+00,7.406587702816274099e-01
2.555711142228445532e+00,7.400429990615111642e-01
2.559611922384476657e+00,7.394270384572919630e-01
2.563512702540508226e+00,7.388108906858187330e-01
2.567413482696539351e+00,7.381945579612478880e-01
2.571314262852570476e+00,7.375780424950220127e-01
2.575215043008601601e+00,7.369613464958530979e-01
2.579115823164632726e+00,7.363444721697053330e-01
2.583016603320664295e+00,7.357274217197746768e-01
2.586917383476695420e+00,7.351101973464738704e-01
2.590818163632726545e+00,7.344928012474120083e-01
2.594718943788757670e+00,7.338752356173776636e-01
2.598619723944788795e+00,7.332575026483221237e-01
2.602520504100819920e+00,7.326396045293410708e-01
2.606421284256851489e+00,7.320215434466568194e-01
2.610322064412882614e+00,7.314033215836014401e-01
2.614222844568913739e+00,7.307849411205999957e-01
2.618123624724944865e+00,7.301664042351518891e-01
2.622024404880975990e+00,7.295477131018154315e-01
2.625925185037007559e+00,7.289288698921898568e-01
2.629825965193038684e+00,7.283098767748990010e-01
2.633726745349069809e+00,7.276907359155738719e-01
2.637627525505100934e+00,7.270714494768369951e-01
2.641528305661132059e+00,7.264520196182848721e-01
2.645429085817163184e+00,7.258324484964722156e-01
2.649329865973194753e+00,7.252127382648946297e-01
2.653230646129225878e+00,7.245928910739736217e-01
2.657131426285257003e+00,7.239729090710397275e-01
2.661032206441288128e+00,7.233527944003163013e-01
2.664932986597319253e+00,7.227325492029033072e-01
2.668833766753350822e+00,7.221121756167623307e-01
2.672734546909381947e+00,7.214916757767002586e-01
2.676635327065413072e+00,7.208710518143534030e-01
2.680536107221444198e+00,7.202503058581726236e-01
2.684436887377475323e+00,7.196294400334063424e-01
2.688337667533506448e+00,7.190084564620874419e-01
2.692238447689538017e+00,7.183873572630156135e-01
2.696139227845569142e+00,7.177661445517439232e-01
2.700040008001600267e+00,7.171448204405628246e-01
2.703940788157631392e+00,7.165233870384851711e-01
2.707841568313662517e+00,7.159018464512318936e-01
2.711742348469694086e+00,7.152802007812163465e-01
2.715643128625725211e+00,7.146584521275306523e-01
2.719543908781756336e+00,7.140366025859302690e-01
2.723444688937787461e+00,7.134146542488195575e-01
2.727345469093818586e+00,7.127926092052379037e-01
2.731246249249849711e+00,7.121704695408449526e-01
2.735147029405881280e+00,7.115482373379063974e-01
2.739047809561912405e+00,7.109259146752803238e-01
2.742948589717943531e+00,7.103035036284027770e-01
2.746849369873974656e+00,7.096810062692738841e-01
2.750750150030005781e+00,7.090584246664444201e-01
2.754650930186037350e+00,7.084357608850007093e-01
2.758551710342068475e+00,7.078130169865539667e-01
2.762452490498099600e+00,7.071901950292236450e-01
2.766353270654130725e+00,7.065672970676252218e-01
2.770254050810161850e+00,7.059443251528578767e-01
