R0,H_c,H_c_noisy
1.185941320293398604e+00,1.944947872393269772e-01,1.919964657558657639e-01
1.187486108024005338e+00,1.949230776731945836e-01,1.853774340881305660e-01
1.189030895754612072e+00,1.953497877299081864e-01,1.869641618832352525e-01
1.190575683485219027e+00,1.957749246599613246e-01,2.001289479454428921e-01
1.192120471215825761e+00,1.961984956713316852e-01,1.953635693267263551e-01
1.193665258946432495e+00,1.966205079297884961e-01,1.923027261972175828e-01
1.195210046677039450e+00,1.970409685591954785e-01,1.882561696199586687e-01
1.196754834407646184e+00,1.974598846418131048e-01,1.965055719521965893e-01
1.198299622138252918e+00,1.978772632185957225e-01,1.921168110953533625e-01
1.199844409868859874e+00,1.982931112894890935e-01,2.098969760919945360e-01
1.201389197599466607e+00,1.987074358137226604e-01,1.960371060600190896e-01
1.202933985330073341e+00,1.991202437101019518e-01,2.145769033938385306e-01
1.204478773060680297e+00,1.995315418572964072e-01,2.096778781460372221e-01
1.206023560791287030e+00,1.999413370941249823e-01,2.088878102247654356e-01
1.207568348521893764e+00,2.003496362198410596e-01,2.040380911567880873e-01
1.209113136252500720e+00,2.007564459944130575e-01,1.884607188008129708e-01
1.210657923983107453e+00,2.011617731388037900e-01,2.103265918210818208e-01
1.212202711713714187e+00,2.015656243352463572e-01,2.150210371634629081e-01
1.213747499444320921e+00,2.019680062275190646e-01,2.004534715598169370e-01
1.215292287174927877e+00,2.023689254212174271e-01,1.892812727025047770e-01
1.216837074905534610e+00,2.027683884840235373e-01,1.915799692921156261e-01
1.218381862636141344e+00,2.031664019459732129e-01,1.934141481124379558e-01
1.219926650366748300e+00,2.035629722997223112e-01,1.924001429581790046e-01
1.221471438097355033e+00,2.039581060008076319e-01,2.211971063674105786e-01
1.223016225827961767e+00,2.043518094679105945e-01,2.058758669856605439e-01
1.224561013558568501e+00,2.047440890831125904e-01,2.159142586581395407e-01
1.226105801289175457e+00,2.051349511921542190e-01,1.979871200607317416e-01
1.227650589019782190e+00,2.055244021046877256e-01,2.151541588703197727e-01
1.229195376750388924e+00,2.059124480945302704e-01,2.122325265539802552e-01
1.230740164480995880e+00,2.062990953999128962e-01,2.166923304386773885e-01
1.232284952211602613e+00,2.066843502237300512e-01,2.000921887377924424e-01
1.233829739942209347e+00,2.070682187337845315e-01,2.053738721123620770e-01
1.235374527672816303e+00,2.074507070630313144e-01,1.987766383273398829e-01
1.236919315403423036e+00,2.078318213098202805e-01,1.923769631577772476e-01
1.238464103134029770e+00,2.082115675381351894e-01,1.963000953189766307e-01
1.240008890864636726e+00,2.085899517778322387e-01,2.070766429626530736e-01
1.241553678595243460e+00,2.089669800248764031e-01,2.047727899817715913e-01
1.243098466325850193e+00,2.093426582415744419e-01,2.000205021610518552e-01
1.244643254056457149e+00,2.097169923568080463e-01,2.018653684800041925e-01
1.246188041787063883e+00,2.100899882662629614e-01,2.191629294207566303e-01
1.247732829517670616e+00,2.104616518326589414e-01,2.157486797375285648e-01
1.249277617248277350e+00,2.108319888859747082e-01,2.192352915902981703e-01
1.250822404978884306e+00,2.112010052236730495e-01,2.160205705577373514e-01
1.252367192709491039e+00,2.115687066109242509e-01,2.121073911083337926e-01
1.253911980440097773e+00,2.119350987808266140e-01,2.221289626853134025e-01
1.255456768170704729e+00,2.123001874346251705e-01,2.125948411013317829e-01
1.257001555901311463e+00,2.126639782419299796e-01,2.104687695297743077e-01
1.258546343631918196e+00,2.130264768409310949e-01,2.151655373249194980e-01
1.260091131362525152e+00,2.133876888386135318e-01,2.207835545245249720e-01
1.261635919093131886e+00,2.137476198109670988e-01,2.052200605168857661e-01
1.263180706823738619e+00,2.141062753032003940e-01,2.112280441191094760e-01
1.264725494554345353e+00,2.144636608299460567e-01,2.037115689551654285e-01
1.266270282284952309e+00,2.148197818754707389e-01,2.164830078121050272e-01
1.267815070015559042e+00,2.151746438938775818e-01,2.128147115240723863e-01
1.269359857746165776e+00,2.155282523093135505e-01,2.301663827953296937e-01
1.270904645476772732e+00,2.158806125161683021e-01,2.054999117753545657e-01
1.272449433207379466e+00,2.162317298792763853e-01,2.166510615095668391e-01
1.273994220937986199e+00,2.165816097341159707e-01,2.338378609631360239e-01
1.275539008668593155e+00,2.169302573870059148e-01,2.386679414373547581e-01
1.277083796399199889e+00,2.172776781153017145e-01,1.937678097956891110e-01
1.278628584129806622e+00,2.176238771675892414e-01,2.221283696991271928e-01
1.280173371860413578e+00,2.179688597638784753e-01,2.024985838260872917e-01
1.281718159591020312e+00,2.183126310957930749e-01,2.102341964493304183e-01
1.283262947321627045e+00,2.186551963267610588e-01,2.245444200472776763e-01
1.284807735052234001e+00,2.189965605922028491e-01,2.241197528747108925e-01
1.286352522782840735e+00,2.193367289997172342e-01,2.425652933978098003e-01
1.287897310513447469e+00,2.196757066292669147e-01,2.157771940947371403e-01
1.289442098244054202e+00,2.200134985333626614e-01,2.263186355457267318e-01
1.290986885974661158e+00,2.203501097372440043e-01,2.271244198836927519e-01
1.292531673705267892e+00,2.206855452390618644e-01,2.304168233779529673e-01
1.294076461435874625e+00,2.210198100100566054e-01,2.169875534538896200e-01
1.295621249166481581e+00,2.213529089947362249e-01,2.327131180303375069e-01
1.297166036897088315e+00,2.216848471110532959e-01,2.090595834928363206e-01
1.298710824627695049e+00,2.220156292505801043e-01,2.157205495907266457e-01
1.300255612358301782e+00,2.223452602786815668e-01,2.222658827166023587e-01
1.301800400088908738e+00,2.226737450346888414e-01,2.309502068597293067e-01
1.303345187819515472e+00,2.230010883320694692e-01,2.180374185520097818e-01
1.304889975550122205e+00,2.233272949585976552e-01,2.273488033045909518e-01
1.306434763280729161e+00,2.236523696765224667e-01,2.436523693701186377e-01
1.307979551011335895e+00,2.239763172227350607e-01,2.122922070824198315e-01
1.309524338741942628e+00,2.242991423089343850e-01,2.280483940727106584e-01
1.311069126472549584e+00,2.246208496217916295e-01,2.265587300939241600e-01
1.312613914203156318e+00,2.249414438231138458e-01,1.995233191655913785e-01
1.314158701933763052e+00,2.252609295500050679e-01,2.118009263067075765e-01
1.315703489664370007e+00,2.255793114150284051e-01,2.218021860577945870e-01
1.317248277394976741e+00,2.258965940063641098e-01,2.247708099066910714e-01
1.318793065125583475e+00,2.262127818879687557e-01,2.123451744698353072e-01
1.320337852856190430e+00,2.265278795997315020e-01,2.231159688984857836e-01
1.321882640586797164e+00,2.268418916576313282e-01,2.297898621493622284e-01
1.323427428317403898e+00,2.271548225538898291e-01,2.301113147096502110e-01
1.324972216048010853e+00,2.274666767571258130e-01,2.323378477930450048e-01
1.326517003778617587e+00,2.277774587125071248e-01,2.290902031277564088e-01
1.328061791509224321e+00,2.280871728419023303e-01,2.430050599468277506e-01
1.329606579239831055e+00,2.283958235440296247e-01,2.159295258671671547e-01
1.331151366970438010e+00,2.287034151946064353e-01,2.413729191131208929e-01
1.332696154701044744e+00,2.290099521464972199e-01,2.401633761864893357e-01
1.334240942431651478e+00,2.293154387298591834e-01,2.340220933619089061e-01
1.335785730162258211e+00,2.296198792522879950e-01,2.438730834087884380e-01
1.337330517892865167e+00,2.299232779989625330e-01,2.240206796467007488e-01
1.338875305623471901e+00,2.302256392327878265e-01,2.399653961715492723e-01
1.340420093354078634e+00,2.305269671945366083e-01,2.401489893276874954e-01
1.341964881084685590e+00,2.308272661029919792e-01,2.168630453098762956e-01
1.343509668815292324e+00,2.311265401550849363e-01,2.271612814172570827e-01
1.345054456545899058e+00,2.314247935260355105e-01,2.185012583835346800e-01
1.346599244276506013e+00,2.317220303694896011e-01,2.306862382377454779e-01
1.348144032007112747e+00,2.320182548176556725e-01,2.225693607071084490e-01
1.349688819737719481e+00,2.323134709814414500e-01,2.264680336861841226e-01
1.351233607468326436e+00,2.326076829505874244e-01,2.242403554741076999e-01
1.352778395198933170e+00,2.329008947938017438e-01,2.410197148526304067e-01
1.354323182929539904e+00,2.331931105588924691e-01,2.398471027618399865e-01
1.355867970660146860e+00,2.334843342728992743e-01,2.444218565698269563e-01
1.357412758390753593e+00,2.337745699422241752e-01,2.423201855983217468e-01
1.358957546121360327e+00,2.340638215527619803e-01,2.252779782453980251e-01
1.360502333851967283e+00,2.343520930700282445e-01,2.302402221759614342e-01
1.362047121582574016e+00,2.346393884392874996e-01,2.358780095784453468e-01
1.363591909313180750e+00,2.349257115856803746e-01,2.392247608095464384e-01
1.365136697043787484e+00,2.352110664143494678e-01,2.319403156075715566e-01
1.366681484774394439e+00,2.354954568105638302e-01,2.326065987354604403e-01
1.368226272505001173e+00,2.357788866398444205e-01,2.357728189437552080e-01
1.369771060235607907e+00,2.360613597480853976e-01,2.457559301639709037e-01
1.371315847966214641e+00,2.363428799616780485e-01,2.271968628013930069e-01
1.372860635696821596e+00,2.366234510876315256e-01,2.507935115645060775e-01
1.374405423427428330e+00,2.369030769136927506e-01,2.341152507235407521e-01
1.375950211158035064e+00,2.371817612084668736e-01,2.399277824070945586e-01
1.377494998888642019e+00,2.374595077215363448e-01,2.347787781102036453e-01
1.379039786619248753e+00,2.377363201835765161e-01,2.426925487154318606e-01
1.380584574349855487e+00,2.380122023064751291e-01,2.489779126253668373e-01
1.382129362080462442e+00,2.382871577834476395e-01,2.533292649062384716e-01
1.383674149811069176e+00,2.385611902891515701e-01,2.344963473765793727e-01
1.385218937541675910e+00,2.388343034798016962e-01,2.409050259230707258e-01
1.386763725272282866e+00,2.391065009932838437e-01,2.475340895173711586e-01
1.388308513002889599e+00,2.393777864492668828e-01,2.413242785918908173e-01
1.389853300733496333e+00,2.396481634493148605e-01,2.248649180034140438e-01
1.391398088464103289e+00,2.399176355769988556e-01,2.567145401570425367e-01
1.392942876194710022e+00,2.401862063980061968e-01,2.395914130986442903e-01
1.394487663925316756e+00,2.404538794602502361e-01,2.516820649555019385e-01
1.396032451655923712e+00,2.407206582939794282e-01,2.412142105620935506e-01
1.397577239386530445e+00,2.409865464118855771e-01,2.670982539305157277e-01
1.399122027117137179e+00,2.412515473092090301e-01,2.378944228000982042e-01
1.400666814847744135e+00,2.415156644638474792e-01,2.492119413912458892e-01
1.402211602578350869e+00,2.417789013364594897e-01,2.585909069843125296e-01
1.403756390308957602e+00,2.420412613705712201e-01,2.482199060476905361e-01
1.405301178039564336e+00,2.423027479926784244e-01,2.272612329542809673e-01
1.406845965770171070e+00,2.425633646123512288e-01,2.443963398210654558e-01
1.408390753500778025e+00,2.428231146223361336e-01,2.348836408372565188e-01
1.409935541231384759e+00,2.430820013986580153e-01,2.511352464400142259e-01
1.411480328961991493e+00,2.433400283007211562e-01,2.371898153794212150e-01
1.413025116692598449e+00,2.435971986714093040e-01,2.326353023355850203e-01
1.414569904423205182e+00,2.438535158371854528e-01,2.432350279853581487e-01
1.416114692153811916e+00,2.441089831081907913e-01,2.648429446403993137e-01
1.417659479884418872e+00,2.443636037783435133e-01,2.672826505098080951e-01
1.419204267615025605e+00,2.446173811254355457e-01,2.426090604985501609e-01
1.420749055345632339e+00,2.448703184112289988e-01,2.537238964820147102e-01
1.422293843076239295e+00,2.451224188815538663e-01,2.519846864607921400e-01
1.423838630806846028e+00,2.453736857664017001e-01,2.339986327158284363e-01
1.425383418537452762e+00,2.456241222800217838e-01,2.501995767407796945e-01
1.426928206268059718e+00,2.458737316210139745e-01,2.381775316243064378e-01
1.428472993998666452e+00,2.461225169724230721e-01,2.525638122509609729e-01
1.430017781729273185e+00,2.463704815018309680e-01,2.573022488713995748e-01
1.431562569459880141e+00,2.466176283614499032e-01,2.470621175417450632e-01
1.433107357190486875e+00,2.468639606882118420e-01,2.547107022289684108e-01
1.434652144921093608e+00,2.471094816038613140e-01,2.598621624587211798e-01
1.436196932651700564e+00,2.473541942150442319e-01,2.360320223395375727e-01
1.437741720382307298e+00,2.475981016133979584e-01,2.423741874398362972e-01
1.439286508112914031e+00,2.478412068756405406e-01,2.429399789394075526e-01
1.440831295843520765e+00,2.480835130636581398e-01,2.457217227671002757e-01
1.442376083574127721e+00,2.483250232245934330e-01,2.655968813068254608e-01
1.443920871304734455e+00,2.485657403909320717e-01,2.524544879923202312e-01
1.445465659035341188e+00,2.488056675805894180e-01,2.594833453369232990e-01
1.447010446765947922e+00,2.490448077969964480e-01,2.527148568379441462e-01
1.448555234496554878e+00,2.492831640291849615e-01,2.471791629096629084e-01
1.450100022227161611e+00,2.495207392518715428e-01,2.536427273287680806e-01
1.451644809957768345e+00,2.497575364255427699e-01,2.555306892490620263e-01
1.453189597688375301e+00,2.499935584965376489e-01,2.392175924406033938e-01
1.454734385418982034e+00,2.502288083971307420e-01,2.435573696844962610e-01
1.456279173149588768e+00,2.504632890456146010e-01,2.504837113977231855e-01
1.457823960880195724e+00,2.506970033463817860e-01,2.399837315767460733e-01
1.459368748610802458e+00,2.509299541900050778e-01,2.465534842558301520e-01
1.460913536341409191e+00,2.511621444533191916e-01,2.459926442278139724e-01
1.462458324072016147e+00,2.513935769994999903e-01,2.631996816611033574e-01
1.464003111802622881e+00,2.516242546781441436e-01,2.490116626635045238e-01
1.465547899533229614e+00,2.518541803253482314e-01,2.722366253849815010e-01
1.467092687263836570e+00,2.520833567637871253e-01,2.425138467496780748e-01
1.468637474994443304e+00,2.523117868027913158e-01,2.503053809718369105e-01
1.470182262725050037e+00,2.525394732384253493e-01,2.513389191847805737e-01
1.471727050455656993e+00,2.527664188535633238e-01,2.608030451371791125e-01
1.473271838186263727e+00,2.529926264179653272e-01,2.350729849684588257e-01
1.474816625916870461e+00,2.532180986883543206e-01,2.628182197648823992e-01
1.476361413647477194e+00,2.534428384084899677e-01,2.613865512474654595e-01
1.477906201378084150e+00,2.536668483092445192e-01,2.560045052816035671e-01
1.479450989108690884e+00,2.538901311086753654e-01,2.561800286677166083e-01
1.480995776839297617e+00,2.541126895120999762e-01,2.390722050053233350e-01
1.482540564569904351e+00,2.543345262121697314e-01,2.567126206837928581e-01
1.484085352300511307e+00,2.545556438889405304e-01,2.476586610556561485e-01
1.485630140031118041e+00,2.547760452099459560e-01,2.635670152621151785e-01
1.487174927761724774e+00,2.549957328302696058e-01,2.502235703636322972e-01
1.488719715492331730e+00,2.552147093926157573e-01,2.506989569927999262e-01
1.490264503222938464e+00,2.554329775273798675e-01,2.469602256993628786e-01
1.491809290953545197e+00,2.556505398527186834e-01,2.526830744704476328e-01
1.493354078684152153e+00,2.558673989746205746e-01,2.614855159420391151e-01
1.494898866414758887e+00,2.560835574869743669e-01,2.684060076561285424e-01
1.496443654145365620e+00,2.562990179716387318e-01,2.594982756032616633e-01
1.497988441875972576e+00,2.565137829985093543e-01,2.539337560580945397e-01
1.499533229606579310e+00,2.567278551255880448e-01,2.639891629530475292e-01
1.501078017337186044e+00,2.569412368990499074e-01,2.480823287906377961e-01
1.502622805067792999e+00,2.571539308533095092e-01,2.718013507106918358e-01
1.504167592798399733e+00,2.573659395110883263e-01,2.558325822728647614e-01
1.505712380529006467e+00,2.575772653834801362e-01,2.467788379449074310e-01
1.507257168259613422e+00,2.577879109700174642e-01,2.521929476631029066e-01
1.508801955990220156e+00,2.579978787587361433e-01,2.592683694401316519e-01
1.510346743720826890e+00,2.582071712262401508e-01,2.572298811990167411e-01
1.511891531451433845e+00,2.584157908377658353e-01,2.576855695955186931e-01
1.513436319182040579e+00,2.586237400472463088e-01,2.678366009518736712e-01
1.514981106912647313e+00,2.588310212973741753e-01,2.529452714933003721e-01
1.516525894643254047e+00,2.590376370196657563e-01,2.600286893102468633e-01
1.518070682373860780e+00,2.592435896345218760e-01,2.542815974607215979e-01
1.519615470104467736e+00,2.594488815512916990e-01,2.450635000596908530e-01
1.521160257835074470e+00,2.596535151683341813e-01,2.497886875626861569e-01
1.522705045565681203e+00,2.598574928730787437e-01,2.602273355349669637e-01
1.524249833296288159e+00,2.600608170420870557e-01,2.569688602257561016e-01
1.525794621026894893e+00,2.602634900411127106e-01,2.544350287031230118e-01
1.527339408757501626e+00,2.604655142251628419e-01,2.638700749186291272e-01
1.528884196488108582e+00,2.606668919385564109e-01,2.500953678095424459e-01
1.530428984218715316e+00,2.608676255149841583e-01,2.541427692263086291e-01
1.531973771949322050e+00,2.610677172775680011e-01,2.564568184662618378e-01
1.533518559679929005e+00,2.612671695389187643e-01,2.812816864381884052e-01
1.535063347410535739e+00,2.614659846011953004e-01,2.521704531381853132e-01
1.536608135141142473e+00,2.616641647561613881e-01,2.476542917900968477e-01
1.538152922871749428e+00,2.618617122852442969e-01,2.531583111343669867e-01
1.539697710602356162e+00,2.620586294595908528e-01,2.655043834327978636e-01
1.541242498332962896e+00,2.622549185401243377e-01,2.624058756042744189e-01
1.542787286063569852e+00,2.624505817776013883e-01,2.809739115419913613e-01
1.544332073794176585e+00,2.626456214126675071e-01,2.813593512139175301e-01
1.545876861524783319e+00,2.628400396759124069e-01,2.700103578580709263e-01
1.547421649255390275e+00,2.630338387879259110e-01,2.578731051346130343e-01
1.548966436985997008e+00,2.632270209593521870e-01,2.722921951947996910e-01
1.550511224716603742e+00,2.634195883909444258e-01,2.595410806327045350e-01
1.552056012447210698e+00,2.636115432736192421e-01,2.716368722654530776e-01
1.553600800177817209e+00,2.638028877885105206e-01,2.474537346304530039e-01
1.555145587908424165e+00,2.639936241070224288e-01,2.588022318545226130e-01
1.556690375639031121e+00,2.641837543908825969e-01,2.704804396493717400e-01
1.558235163369637633e+00,2.643732807921952976e-01,2.736993494336734112e-01
1.559779951100244588e+00,2.645622054534939038e-01,2.600365788025488789e-01
1.561324738830851322e+00,2.647505305077916815e-01,2.552148717119060994e-01
1.562869526561458056e+00,2.649382580786358021e-01,2.800889660816836546e-01
1.564414314292065011e+00,2.651253902801564699e-01,2.552206624696952697e-01
1.565959102022671745e+00,2.653119292171194910e-01,2.559228684534692322e-01
1.567503889753278479e+00,2.654978769849766773e-01,2.734954323870699144e-01
1.569048677483885434e+00,2.656832356699158071e-01,2.587040745626205673e-01
1.570593465214492168e+00,2.658680073489109730e-01,2.726428825875731321e-01
1.572138252945098902e+00,2.660521940897728199e-01,2.755453000270259301e-01
1.573683040675705858e+00,2.662357979511975614e-01,2.678014398661769380e-01
1.575227828406312591e+00,2.664188209828159404e-01,2.640046288427921883e-01
1.576772616136919325e+00,2.666012652252423565e-01,2.603635603553791089e-01
1.578317403867526281e+00,2.667831327101237160e-01,2.553190833859479980e-01
1.579862191598133014e+00,2.669644254601866162e-01,2.728457969375096548e-01
1.581406979328739748e+00,2.671451454892864730e-01,2.749456014328358622e-01
1.582951767059346704e+00,2.673252948024538722e-01,2.613825709953141452e-01
1.584496554789953437e+00,2.675048753959431425e-01,2.559232608496506689e-01
1.586041342520560171e+00,2.676838892572784290e-01,2.623250007594677968e-01
1.587586130251167127e+00,2.678623383653003232e-01,2.669542739632007611e-01
1.589130917981773639e+00,2.680402246902131580e-01,2.642612031225798352e-01
1.590675705712380594e+00,2.682175501936302497e-01,2.674910181098354989e-01
1.592220493442987550e+00,2.683943168286198611e-01,2.612888231834665786e-01
1.593765281173594062e+00,2.685705265397508867e-01,2.654546774298969791e-01
1.595310068904201017e+00,2.687461812631382063e-01,2.846184487897416848e-01
1.596854856634807751e+00,2.689212829264872595e-01,2.654749324389475973e-01
1.598399644365414485e+00,2.690958334491388992e-01,2.728754761200592460e-01
1.599944432096021441e+00,2.692698347421140781e-01,2.899829487466729638e-01
1.601489219826628174e+00,2.694432887081569805e-01,2.734290968495918239e-01
1.603034007557234908e+00,2.696161972417805419e-01,2.582260241884498653e-01
1.604578795287841864e+00,2.697885622293075270e-01,2.649709373685436575e-01
1.606123583018448597e+00,2.699603855489163262e-01,2.638361471977720973e-01
1.607668370749055331e+00,2.701316690706824231e-01,2.802594312356626594e-01
1.609213158479662287e+00,2.703024146566218588e-01,2.723662569717716919e-01
1.610757946210269020e+00,2.704726241607325887e-01,2.664546735394826560e-01
1.612302733940875754e+00,2.706422994290383355e-01,2.643183546021971586e-01
1.613847521671482710e+00,2.708114422996293902e-01,2.705226427586049365e-01
1.615392309402089444e+00,2.709800546027041346e-01,2.884125658050270546e-01
1.616937097132696177e+00,2.711481381606113406e-01,2.794713996533420564e-01
1.618481884863303133e+00,2.713156947878908598e-01,2.621506244110837214e-01
1.620026672593909867e+00,2.714827262913141470e-01,2.597788928283560894e-01
1.621571460324516600e+00,2.716492344699253381e-01,2.785645443080502770e-01
1.623116248055123556e+00,2.718152211150818842e-01,2.646410139484046686e-01
1.624661035785730068e+00,2.719806880104939650e-01,2.680857791329686601e-01
1.626205823516337023e+00,2.721456369322651225e-01,2.620613297967165356e-01
1.627750611246943979e+00,2.723100696489312300e-01,2.936369260184136243e-01
1.629295398977550491e+00,2.724739879215005711e-01,2.760682889615970192e-01
1.630840186708157447e+00,2.726373935034924201e-01,2.732843521620735294e-01
1.632384974438764180e+00,2.728002881409757885e-01,2.782892392929752767e-01
1.633929762169370914e+00,2.729626735726095599e-01,2.692292259595892578e-01
1.635474549899977870e+00,2.731245515296790161e-01,2.758252244128898689e-01
1.637019337630584603e+00,2.732859237361346949e-01,2.742222281266875616e-01
1.638564125361191337e+00,2.734467919086314147e-01,2.701885405743308377e-01
1.640108913091798293e+00,2.736071577565639124e-01,2.900836836006913111e-01
1.641653700822405026e+00,2.737670229821069223e-01,2.719118046913647224e-01
1.643198488553011760e+00,2.739263892802502598e-01,2.765686022119780985e-01
1.644743276283618716e+00,2.740852583388361796e-01,2.827194807392106601e-01
1.646288064014225450e+00,2.742436318385979566e-01,2.852643178295328763e-01
1.647832851744832183e+00,2.744015114531940247e-01,2.792089715931646565e-01
