T,U,U_noisy
2.114268774464026501e-01,1.283542068276204429e+00,1.268665726057680798e+00
2.115923966550015134e-01,1.283542213804743648e+00,1.243001484642865195e+00
2.117580454431917947e-01,1.283542360481681355e+00,1.321154551840661107e+00
2.119238239124173195e-01,1.283542508314974739e+00,1.296214834125381854e+00
2.120897321642009614e-01,1.283542657312628288e+00,1.328336810851506344e+00
2.122557703001453910e-01,1.283542807482692005e+00,1.266282021980128070e+00
2.124219384219326323e-01,1.283542958833262082e+00,1.209452045147151544e+00
2.125882366313243677e-01,1.283543111372483114e+00,1.278042573136920490e+00
2.127546650301619380e-01,1.283543265108544995e+00,1.261251857457983405e+00
2.129212237203664260e-01,1.283543420049686246e+00,1.322309611152064912e+00
2.130879128039386838e-01,1.283543576204192238e+00,1.293225218623049955e+00
2.132547323829594166e-01,1.283543733580396085e+00,1.202001271958641038e+00
2.134216825595892930e-01,1.283543892186679303e+00,1.223785738181519367e+00
2.135887634360688903e-01,1.283544052031470706e+00,1.327733503860833553e+00
2.137559751147188603e-01,1.283544213123248179e+00,1.317532463994140590e+00
2.139233176979399575e-01,1.283544375470537346e+00,1.251532207175112932e+00
2.140907912882131503e-01,1.283544539081913571e+00,1.283492099253549457e+00
2.142583959880995093e-01,1.283544703966000622e+00,1.305823381654809934e+00
2.144261319002405408e-01,1.283544870131470450e+00,1.306965086923834285e+00
2.145939991273579928e-01,1.283545037587046522e+00,1.327357147392764114e+00
2.147619977722541040e-01,1.283545206341500489e+00,1.296369487702578649e+00
2.149301279378115770e-01,1.283545376403653071e+00,1.278803959455228068e+00
2.150983897269936329e-01,1.283545547782377394e+00,1.270603144542985063e+00
2.152667832428441230e-01,1.283545720486594099e+00,1.336332860513256726e+00
2.154353085884875563e-01,1.283545894525276010e+00,1.171003180771349239e+00
2.156039658671291825e-01,1.283546069907446130e+00,1.276613303652879283e+00
2.157727551820550482e-01,1.283546246642178312e+00,1.285196251841381310e+00
2.159416766366320239e-01,1.283546424738597258e+00,1.212278976695087884e+00
2.161107303343079988e-01,1.283546604205879182e+00,1.300187284862781567e+00
2.162799163786117140e-01,1.283546785053252037e+00,1.250982734431082433e+00
2.164492348731530680e-01,1.283546967289994623e+00,1.326669207105781956e+00
2.166186859216230054e-01,1.283547150925439029e+00,1.277267546723722669e+00
2.167882696277937116e-01,1.283547335968968195e+00,1.317004998008440841e+00
2.169579860955185568e-01,1.283547522430018351e+00,1.344489702688579591e+00
2.171278354287322354e-01,1.283547710318077684e+00,1.302694189453751372e+00
2.172978177314508208e-01,1.283547899642687229e+00,1.239761842471544862e+00
2.174679331077717659e-01,1.283548090413441756e+00,1.207832158828209934e+00
2.176381816618740694e-01,1.283548282639988658e+00,1.371217488515807270e+00
2.178085634980183039e-01,1.283548476332028621e+00,1.277983866672652624e+00
2.179790787205465874e-01,1.283548671499316285e+00,1.249120424117600159e+00
2.181497274338828063e-01,1.283548868151660693e+00,1.290761722554701896e+00
2.183205097425325314e-01,1.283549066298924402e+00,1.273978499774791828e+00
2.184914257510832125e-01,1.283549265951024143e+00,1.326156379161658627e+00
2.186624755642041229e-01,1.283549467117931719e+00,1.285245876239786700e+00
2.188336592866464980e-01,1.283549669809673555e+00,1.284237148990594601e+00
2.190049770232435911e-01,1.283549874036330918e+00,1.247820887984682603e+00
2.191764288789106729e-01,1.283550079808040367e+00,1.307028484745414998e+00
2.193480149586452543e-01,1.283550287134994194e+00,1.231856951017245017e+00
2.195197353675269469e-01,1.283550496027439980e+00,1.316844968015638440e+00
2.196915902107176577e-01,1.283550706495681704e+00,1.359747582145188316e+00
2.198635795934616166e-01,1.283550918550078634e+00,1.207316616645121021e+00
2.200357036210854877e-01,1.283551132201047107e+00,1.160239670633481213e+00
2.202079623989983137e-01,1.283551347459060299e+00,1.314395285216776177e+00
2.203803560326917377e-01,1.283551564334647122e+00,1.410946455108803343e+00
2.205528846277399202e-01,1.283551782838394439e+00,1.233505540394799649e+00
2.207255482897997334e-01,1.283552002980945961e+00,1.221017215040846482e+00
2.208983471246107333e-01,1.283552224773002903e+00,1.313000671462026592e+00
2.210712812379952430e-01,1.283552448225324438e+00,1.241516368722409114e+00
2.212443507358584638e-01,1.283552673348727691e+00,1.258251399151890881e+00
2.214175557241884751e-01,1.283552900154087073e+00,1.266147026819898214e+00
2.215908963090563732e-01,1.283553128652336728e+00,1.310153232966926762e+00
2.217643725966162160e-01,1.283553358854468307e+00,1.263288240784812277e+00
2.219379846931052724e-01,1.283553590771533415e+00,1.297447732775541374e+00
2.221117327048438839e-01,1.283553824414641387e+00,1.274727161469962677e+00
2.222856167382356862e-01,1.283554059794961955e+00,1.241320504612381859e+00
2.224596368997676099e-01,1.283554296923723470e+00,1.267562984036562312e+00
2.226337932960099075e-01,1.283554535812215569e+00,1.236034552553819665e+00
2.228080860336162927e-01,1.283554776471786285e+00,1.283880525765273672e+00
2.229825152193240234e-01,1.283555018913844492e+00,1.227361707535562729e+00
2.231570809599537908e-01,1.283555263149859904e+00,1.228910544685097861e+00
2.233317833624100524e-01,1.283555509191362187e+00,1.356403599956625072e+00
2.235066225336808654e-01,1.283555757049942514e+00,1.280896546034675509e+00
2.236815985808381091e-01,1.283556006737252897e+00,1.280860905463650834e+00
2.238567116110374011e-01,1.283556258265007077e+00,1.309133079260887955e+00
2.240319617315183476e-01,1.283556511644979858e+00,1.262513661517536301e+00
2.242073490496044319e-01,1.283556766889008660e+00,1.272129998515100668e+00
2.243828736727031814e-01,1.283557024008992853e+00,1.304814460775588270e+00
2.245585357083062228e-01,1.283557283016893091e+00,1.297678075129113262e+00
2.247343352639893654e-01,1.283557543924733535e+00,1.225592707578112117e+00
2.249102724474125181e-01,1.283557806744601182e+00,1.325224936578084378e+00
2.250863473663199943e-01,1.283558071488646313e+00,1.254036324324194096e+00
2.252625601285404289e-01,1.283558338169081603e+00,1.230754390653372221e+00
2.254389108419868337e-01,1.283558606798183677e+00,1.238534853298230987e+00
2.256153996146567087e-01,1.283558877388292885e+00,1.264031610170526676e+00
2.257920265546321525e-01,1.283559149951813527e+00,1.364924162682966902e+00
2.259687917700798354e-01,1.283559424501214075e+00,1.224782629255175115e+00
2.261456953692511096e-01,1.283559701049028057e+00,1.291563495675745132e+00
2.263227374604820930e-01,1.283559979607852508e+00,1.176668761703323574e+00
2.264999181521936689e-01,1.283560260190350411e+00,1.283481913533090601e+00
2.266772375528916528e-01,1.283560542809249361e+00,1.328538863683049742e+00
2.268546957711668199e-01,1.283560827477343125e+00,1.271727661374270291e+00
2.270322929156948777e-01,1.283561114207489640e+00,1.252093368013322605e+00
2.272100290952366874e-01,1.283561403012614566e+00,1.295136956215541479e+00
2.273879044186382370e-01,1.283561693905707513e+00,1.318569281463239928e+00
2.275659189948306960e-01,1.283561986899827145e+00,1.316744865450697466e+00
2.277440729328305269e-01,1.283562282008096078e+00,1.382185974704585707e+00
2.279223663417395407e-01,1.283562579243705759e+00,1.294020952860519547e+00
2.281007993307450077e-01,1.283562878619913361e+00,1.253942373632266793e+00
2.282793720091196021e-01,1.283563180150044447e+00,1.277264220650712323e+00
2.284580844862215687e-01,1.283563483847490971e+00,1.279938556566500463e+00
2.286369368714948058e-01,1.283563789725713944e+00,1.289000658899619900e+00
2.288159292744688100e-01,1.283564097798241432e+00,1.282062707136769619e+00
2.289950618047589259e-01,1.283564408078670782e+00,1.292262705023480951e+00
2.291743345720662350e-01,1.283564720580666840e+00,1.200022217549911119e+00
2.293537476861777225e-01,1.283565035317963510e+00,1.325046483119965757e+00
2.295333012569663322e-01,1.283565352304363971e+00,1.254828388858312271e+00
2.297129953943909952e-01,1.283565671553740906e+00,1.224907736731389640e+00
2.298928302084967956e-01,1.283565993080035605e+00,1.315453551062107485e+00
2.300728058094148598e-01,1.283566316897260418e+00,1.349432617266564494e+00
2.302529223073626619e-01,1.283566643019496079e+00,1.308218050494468265e+00
2.304331798126438291e-01,1.283566971460895045e+00,1.291624937153171171e+00
2.306135784356484475e-01,1.283567302235679497e+00,1.236956286967081819e+00
2.307941182868529506e-01,1.283567635358141779e+00,1.427146002248816714e+00
2.309747994768203139e-01,1.283567970842646622e+00,1.327580901875722086e+00
2.311556221162000269e-01,1.283568308703628924e+00,1.226603575186480111e+00
2.313365863157282598e-01,1.283568648955595304e+00,1.244586753143608115e+00
2.315176921862277803e-01,1.283568991613124100e+00,1.287917954041719382e+00
2.316989398386082311e-01,1.283569336690866036e+00,1.205832780091066647e+00
2.318803293838659629e-01,1.283569684203542893e+00,1.292001204554068527e+00
2.320618609330843407e-01,1.283570034165949725e+00,1.260616456380311723e+00
2.322435345974336041e-01,1.283570386592954637e+00,1.344883916608765606e+00
2.324253504881710619e-01,1.283570741499497680e+00,1.331678474680910051e+00
2.326073087166411202e-01,1.283571098900592622e+00,1.148006827028853927e+00
2.327894093942753373e-01,1.283571458811326726e+00,1.285656588112692456e+00
2.329716526325925352e-01,1.283571821246860978e+00,1.202698446270676680e+00
2.331540385431987994e-01,1.283572186222429412e+00,1.339054086184855663e+00
2.333365672377876454e-01,1.283572553753342005e+00,1.291977847209733188e+00
2.335192388281399634e-01,1.283572923854981118e+00,1.310993196464330879e+00
2.337020534261242122e-01,1.283573296542804609e+00,1.230317060102639637e+00
2.338850111436963919e-01,1.283573671832346497e+00,1.374995183732121484e+00
2.340681120929001824e-01,1.283574049739213629e+00,1.384577718096735799e+00
2.342513563858669434e-01,1.283574430279089906e+00,1.230335878147779338e+00
2.344347441348157979e-01,1.283574813467734277e+00,1.302215569561050001e+00
2.346182754520538261e-01,1.283575199320982074e+00,1.249910077901472683e+00
2.348019504499758991e-01,1.283575587854744127e+00,1.282397091011707513e+00
2.349857692410649845e-01,1.283575979085008090e+00,1.220294130123779963e+00
2.351697319378920348e-01,1.283576373027837780e+00,1.376933648756868633e+00
2.353538386531161819e-01,1.283576769699374731e+00,1.235117794145241366e+00
2.355380894994847096e-01,1.283577169115837080e+00,1.268772978365962256e+00
2.357224845898331922e-01,1.283577571293519792e+00,1.308651717849045992e+00
2.359070240370855776e-01,1.283577976248797325e+00,1.251199942327990922e+00
2.360917079542540764e-01,1.283578383998119854e+00,1.271612762511504791e+00
2.362765364544396618e-01,1.283578794558017044e+00,1.255396802236668830e+00
2.364615096508314307e-01,1.283579207945096501e+00,1.276906170203281787e+00
2.366466276567075755e-01,1.283579624176044875e+00,1.225052492421029759e+00
2.368318905854344680e-01,1.283580043267626980e+00,1.261680639487511968e+00
2.370172985504677143e-01,1.283580465236687562e+00,1.273235819001075297e+00
2.372028516653512942e-01,1.283580890100149974e+00,1.266894589909943303e+00
2.373885500437185325e-01,1.283581317875017724e+00,1.286415815619707415e+00
2.375743937992911836e-01,1.283581748578374260e+00,1.268926637610538144e+00
2.377603830458806244e-01,1.283582182227383184e+00,1.321242752649352203e+00
2.379465178973867445e-01,1.283582618839288481e+00,1.267422822549997052e+00
2.381327984677991672e-01,1.283583058431414070e+00,1.276750578616619780e+00
2.383192248711961947e-01,1.283583501021165585e+00,1.250344434221372980e+00
2.385057972217459465e-01,1.283583946626029926e+00,1.257258204620268049e+00
2.386925156337054987e-01,1.283584395263574596e+00,1.220359755722588924e+00
2.388793802214217998e-01,1.283584846951449254e+00,1.309524092995347555e+00
2.390663910993307828e-01,1.283585301707385717e+00,1.226459400824761126e+00
2.392535483819585029e-01,1.283585759549197736e+00,1.246292939639781494e+00
2.394408521839203885e-01,1.283586220494780994e+00,1.301548453095341173e+00
2.396283026199216015e-01,1.283586684562114444e+00,1.303715352859341037e+00
2.398158998047572044e-01,1.283587151769259860e+00,1.263581414219006271e+00
2.400036438533120486e-01,1.283587622134361617e+00,1.182624331609921420e+00
2.401915348805609418e-01,1.283588095675648244e+00,1.304613760040427062e+00
2.403795730015687027e-01,1.283588572411432205e+00,1.296566745356035222e+00
2.405677583314902723e-01,1.283589052360108340e+00,1.212969991586519525e+00
2.407560909855707143e-01,1.283589535540156756e+00,1.322105639679881595e+00
2.409445710791452699e-01,1.283590021970142603e+00,1.248535031948471374e+00
2.411331987276395250e-01,1.283590511668714296e+00,1.227281105861049326e+00
2.413219740465694374e-01,1.283591004654606182e+00,1.288377540202819027e+00
2.415108971515413372e-01,1.283591500946636987e+00,1.274667979376676197e+00
2.416999681582521209e-01,1.283592000563712032e+00,1.293723200613269508e+00
2.418891871824892514e-01,1.283592503524821016e+00,1.203305100608599076e+00
2.420785543401308137e-01,1.283593009849040234e+00,1.374204515662658999e+00
2.422680697471455979e-01,1.283593519555532581e+00,1.253460588828346101e+00
2.424577335195932382e-01,1.283594032663546436e+00,1.206611067238725798e+00
2.426475457736241570e-01,1.283594549192417222e+00,1.314536658620774734e+00
2.428375066254797876e-01,1.283595069161568070e+00,1.265854862656509150e+00
2.430276161914924904e-01,1.283595592590508039e+00,1.299838516879153305e+00
2.432178745880857473e-01,1.283596119498834343e+00,1.266615697967582443e+00
2.434082819317741619e-01,1.283596649906232123e+00,1.280609631882236199e+00
2.435988383391635426e-01,1.283597183832473565e+00,1.295885826019405274e+00
2.437895439269510134e-01,1.283597721297420557e+00,1.246265077098275720e+00
2.439803988119250699e-01,1.283598262321021588e+00,1.317535242113999416e+00
2.441714031109655514e-01,1.283598806923315294e+00,1.260103801969338022e+00
2.443625569410439180e-01,1.283599355124428465e+00,1.240114997915904738e+00
2.445538604192231125e-01,1.283599906944577818e+00,1.287451528035703063e+00
2.447453136626577541e-01,1.283600462404068665e+00,1.305852526328620700e+00
2.449369167885941945e-01,1.283601021523296692e+00,1.272147054442364755e+00
2.451286699143705172e-01,1.283601584322747069e+00,1.240475594968768913e+00
2.453205731574167603e-01,1.283602150822996002e+00,1.314591429138427747e+00
2.455126266352548325e-01,1.283602721044709183e+00,1.195586281438570264e+00
2.457048304654985971e-01,1.283603295008643563e+00,1.232060088206866855e+00
2.458971847658541210e-01,1.283603872735647133e+00,1.285580017262316410e+00
2.460896896541195089e-01,1.283604454246658699e+00,1.215551484331405252e+00
2.462823452481851250e-01,1.283605039562708550e+00,1.285004752775166903e+00
2.464751516660336483e-01,1.283605628704919344e+00,1.280862472803996122e+00
2.466681090257400732e-01,1.283606221694505001e+00,1.328543211137413360e+00
2.468612174454718755e-01,1.283606818552772033e+00,1.237867300962107509e+00
2.470544770434890125e-01,1.283607419301119323e+00,1.252312093119037240e+00
2.472478879381440620e-01,1.283608023961038791e+00,1.300267108196088817e+00
2.474414502478821942e-01,1.283608632554114504e+00,1.160730453043824051e+00
2.476351640912413665e-01,1.283609245102024898e+00,1.438611360047754140e+00
2.478290295868522952e-01,1.283609861626540560e+00,1.248677325103452196e+00
2.480230468534385946e-01,1.283610482149527332e+00,1.247118729513249535e+00
2.482172160098168046e-01,1.283611106692943871e+00,1.326667482238129470e+00
2.484115371748964740e-01,1.283611735278843646e+00,1.281620143207059526e+00
2.486060104676802995e-01,1.283612367929373832e+00,1.194640936994194380e+00
2.488006360072640699e-01,1.283613004666777968e+00,1.314959373671408471e+00
2.489954139128368327e-01,1.283613645513392409e+00,1.326382537213352864e+00
2.491903443036809773e-01,1.283614290491650323e+00,1.261116976817853175e+00
2.493854272991722631e-01,1.283614939624080353e+00,1.269534921709479125e+00
2.495806630187798469e-01,1.283615592933305738e+00,1.307914822796275356e+00
2.497760515820665050e-01,1.283616250442046303e+00,1.238177237946323839e+00
2.499715931086885223e-01,1.283616912173118685e+00,1.305536340383464111e+00
2.501672877183959698e-01,1.283617578149435445e+00,1.293582503671660389e+00
2.503631355310325102e-01,1.283618248394005512e+00,1.249871617605209595e+00
2.505591366665358422e-01,1.283618922929935291e+00,1.214013829239342979e+00
2.507552912449373395e-01,1.283619601780428443e+00,1.272339310242374122e+00
2.509515993863624672e-01,1.283620284968785885e+00,1.239849172055777382e+00
2.511480612110307264e-01,1.283620972518406456e+00,1.333691483802414757e+00
2.513446768392557651e-01,1.283621664452786471e+00,1.290825932877782689e+00
2.515414463914452670e-01,1.283622360795521278e+00,1.322726586923516079e+00
2.517383699881013404e-01,1.283623061570303925e+00,1.290354158337526869e+00
2.519354477498204070e-01,1.283623766800926713e+00,1.296768822655178344e+00
2.521326797972932021e-01,1.283624476511280532e+00,1.244474530649761546e+00
2.523300662513050518e-01,1.283625190725355303e+00,1.317027562053962431e+00
2.525276072327358179e-01,1.283625909467241533e+00,1.372860823182592727e+00
2.527253028625598974e-01,1.283626632761127651e+00,1.268142254985250572e+00
2.529231532618466116e-01,1.283627360631303782e+00,1.253988634245596367e+00
2.531211585517597618e-01,1.283628093102158862e+00,1.275736257992641232e+00
2.533193188535582951e-01,1.283628830198183080e+00,1.259564816018126976e+00
2.535176342885959166e-01,1.283629571943966985e+00,1.248555607011289981e+00
2.537161049783214217e-01,1.283630318364202161e+00,1.290540000562610423e+00
2.539147310442785854e-01,1.283631069483681442e+00,1.269085192831176823e+00
2.541135126081063844e-01,1.283631825327298914e+00,1.355575505019431803e+00
2.543124497915390525e-01,1.283632585920050140e+00,1.283642668067806358e+00
2.545115427164061361e-01,1.283633351287033486e+00,1.299828950168604891e+00
2.547107915046325499e-01,1.283634121453447907e+00,1.331235214853438098e+00
2.549101962782385211e-01,1.283634896444596274e+00,1.268597103819369076e+00
2.551097571593400337e-01,1.283635676285883598e+00,1.355472503290330533e+00
2.553094742701484954e-01,1.283636461002816809e+00,1.252001750376811273e+00
2.555093477329710150e-01,1.283637250621007642e+00,1.243220865526701413e+00
2.557093776702105692e-01,1.283638045166170416e+00,1.265324694223657787e+00
2.559095642043658358e-01,1.283638844664122480e+00,1.277902975065765556e+00
2.561099074580314716e-01,1.283639649140785766e+00,1.213573739135833218e+00
2.563104075538980009e-01,1.283640458622185898e+00,1.281885719415743585e+00
2.565110646147520934e-01,1.283641273134453531e+00,1.200266943612482429e+00
2.567118787634765642e-01,1.283642092703822790e+00,1.353249012731097656e+00
2.569128501230503736e-01,1.283642917356633939e+00,1.279593069786249204e+00
2.571139788165487383e-01,1.283643747119330936e+00,1.251545860884532235e+00
2.573152649671432424e-01,1.283644582018464098e+00,1.238227676104285413e+00
2.575167086981019482e-01,1.283645422080688547e+00,1.264423898370278687e+00
2.577183101327893966e-01,1.283646267332765545e+00,1.272492293911244188e+00
2.579200693946666623e-01,1.283647117801562709e+00,1.231421569520994685e+00
2.581219866072915203e-01,1.283647973514053131e+00,1.237658218822911493e+00
2.583240618943184463e-01,1.283648834497316926e+00,1.274290084244240173e+00
2.585262953794987828e-01,1.283649700778540792e+00,1.257610513388758733e+00
2.587286871866806282e-01,1.283650572385018673e+00,1.330611227568934796e+00
2.589312374398091698e-01,1.283651449344151541e+00,1.340544968056427866e+00
2.591339462629265733e-01,1.283652331683447168e+00,1.284453391863441540e+00
2.593368137801720930e-01,1.283653219430522352e+00,1.307333198033248767e+00
2.595398401157821833e-01,1.283654112613100251e+00,1.216894693931844351e+00
2.597430253940906097e-01,1.283655011259013934e+00,1.315525896730644684e+00
2.599463697395283934e-01,1.283655915396203273e+00,1.282126741920539992e+00
2.601498732766239774e-01,1.283656825052717165e+00,1.307890240850259067e+00
2.603535361300033379e-01,1.283657740256714641e+00,1.363675546836397690e+00
2.605573584243900398e-01,1.283658661036462423e+00,1.169615773219244259e+00
2.607613402846052364e-01,1.283659587420336257e+00,1.296706996373007792e+00
2.609654818355677253e-01,1.283660519436822911e+00,1.228704566278429722e+00
2.611697832022942811e-01,1.283661457114517956e+00,1.313271291684742437e+00
2.613742445098994338e-01,1.283662400482127763e+00,1.217996728610704515e+00
2.615788658835956904e-01,1.283663349568467948e+00,1.258893371218268165e+00
2.617836474486935350e-01,1.283664304402464929e+00,1.293800992190483612e+00
2.619885893306016511e-01,1.283665265013156587e+00,1.314340734334925154e+00
2.621936916548267549e-01,1.283666231429691162e+00,1.287405935896519749e+00
2.623989545469739837e-01,1.283667203681328361e+00,1.244025656731937879e+00
2.626043781327467297e-01,1.283668181797438912e+00,1.255991570911668465e+00
2.628099625379467508e-01,1.283669165807505452e+00,1.327894310369974296e+00
2.630157078884743371e-01,1.283670155741122532e+00,1.283395174956795559e+00
2.632216143103283112e-01,1.283671151627997054e+00,1.199480431785944212e+00
2.634276819296062500e-01,1.283672153497947832e+00,1.325855288911432339e+00
2.636339108725043179e-01,1.283673161380906480e+00,1.304485585366580214e+00
2.638403012653174895e-01,1.283674175306916965e+00,1.327344952569514236e+00
2.640468532344396602e-01,1.283675195306137162e+00,1.266843821987303054e+00
2.642535669063636461e-01,1.283676221408837748e+00,1.325084047330168158e+00
2.644604424076812399e-01,1.283677253645403082e+00,1.230624007645319429e+00
2.646674798650835991e-01,1.283678292046330771e+00,1.312178282589603784e+00
2.648746794053605802e-01,1.283679336642232327e+00,1.259160321160829543e+00
2.650820411554019040e-01,1.283680387463834283e+00,1.317397972709841714e+00
2.652895652421959349e-01,1.283681444541976635e+00,1.333963650362796072e+00
2.654972517928311793e-01,1.283682507907614845e+00,1.246883000307188460e+00
2.657051009344950088e-01,1.283683577591818725e+00,1.281122103616881613e+00
2.659131127944748263e-01,1.283684653625772665e+00,1.285632384948572682e+00
2.661212875001573441e-01,1.283685736040777403e+00,1.343168976932808789e+00
2.663296251790293057e-01,1.283686824868248255e+00,1.319214729436737343e+00
2.665381259586769302e-01,1.283687920139716887e+00,1.222724042939193900e+00
2.667467899667867459e-01,1.283689021886831094e+00,1.306569434922258965e+00
2.669556173311446456e-01,1.283690130141353691e+00,1.320944590610310554e+00
2.671646081796372751e-01,1.283691244935165177e+00,1.389881539731552262e+00
2.673737626402507561e-01,1.283692366300262178e+00,1.199734911462552622e+00
2.675830808410719075e-01,1.283693494268758117e+00,1.256875879272058461e+00
2.677925629102873573e-01,1.283694628872883658e+00,1.350363188277250437e+00
2.680022089761845416e-01,1.283695770144985815e+00,1.215942255214651269e+00
2.682120191671509279e-01,1.283696918117530839e+00,1.223723888921294467e+00
2.684219936116749028e-01,1.283698072823101555e+00,1.309552182592116365e+00
2.686321324383449949e-01,1.283699234294398250e+00,1.334619667338337479e+00
2.688424357758508187e-01,1.283700402564240672e+00,1.250266378195463046e+00
2.690529037529823531e-01,1.283701577665566029e+00,1.310707936280169017e+00
2.692635364986308288e-01,1.283702759631430768e+00,1.289550523102928059e+00
2.694743341417878968e-01,1.283703948495009017e+00,1.359641400195945815e+00
2.696852968115466820e-01,1.283705144289594591e+00,1.283629222304157658e+00
2.698964246371008402e-01,1.283706347048601204e+00,1.333218712647004534e+00
2.701077177477457791e-01,1.283707556805561145e+00,1.238551663839847938e+00
2.703191762728774927e-01,1.283708773594126606e+00,1.274464831121025599e+00
2.705308003419938379e-01,1.283709997448069240e+00,1.278874774759978239e+00
2.707425900846937017e-01,1.283711228401281934e+00,1.340666625775543075e+00
