B_0,omega,phi,theta_incidence,V_ind
4.827057623641680117e-01,1.424045592755589951e+02,1.939771861728626812e+00,1.007617917371568250e+00,-2.628017723950293316e-02
6.581921068138399944e-01,1.454149722800042071e+02,1.976109543417677195e+00,5.471379480098975678e-01,9.336668321530142145e-03
9.955868547117917577e-01,8.100628927471363738e+01,3.024834932231029061e+00,2.460300501251903027e-01,4.136769807410516919e-01
9.540493074439888588e-01,1.589102507810939926e+02,5.928111165748141786e+00,1.044726566980842097e+00,8.684558699593719622e-01
5.140406253781865109e-01,1.568904109927085813e+02,5.549950635599715021e+00,2.598821668623490372e-02,-8.070676532415789195e-01
7.819559607774623222e-01,7.835379500776882367e+01,4.212294671126072920e+00,2.769713423743068725e-01,2.774845652861469003e-01
5.476804259388571294e-01,1.851868184589293378e+02,6.228739697873999503e+00,8.752373371058786988e-01,-4.110326667308731530e+00
5.763809441770934017e-01,9.685630154412976367e+01,2.172082791827007142e+00,3.563892383277271203e-01,5.050478525677913888e-01
8.072071306424267734e-01,1.378024381728972116e+02,2.439498040333830386e-01,5.923284629230981535e-01,-1.153959318428098513e+00
4.731902644201037011e-01,8.621862430336184957e+01,2.237980576302660118e+00,1.049353319692123976e-01,4.315823009934777188e-01
7.610352146098564585e-01,1.189906269820897933e+02,2.839950019104212853e+00,2.069084967674826858e-01,1.037631850959830793e+00
7.400285901907748265e-01,2.635940851325707257e+01,3.055653703652331021e+00,6.751910164015298976e-01,6.046969250653327216e-02
9.388537179520404230e-01,8.992520026393547994e+01,5.219091160167045551e+00,3.043339091537642371e-01,6.441548357825472859e-01
2.034393699528146693e-01,1.549409229377533279e+02,1.966534291756259156e+00,2.922730538584809579e-01,-5.158516707547272651e-03
7.561136053686784431e-01,1.693892295525761540e+02,3.258509748755639368e+00,4.388020309662436502e-01,6.140373394916833760e-01
9.346815357621039988e-01,7.477035482971594149e+01,5.385067637277421326e+00,2.761901828363275690e-01,1.258583545788132807e-01
9.711335709321817777e-01,2.042241107690622925e+01,1.146975686810486783e+00,1.814920393613144167e-01,7.473145788906659925e-02
1.132356744688323702e-01,4.206662784632994345e+01,5.712383200804749706e+00,6.860301855671145921e-01,4.172738070698202989e-03
8.772760812210181891e-01,6.376923528780520911e+01,8.609804639461108300e-01,4.414445940819280989e-01,-8.002498588649266387e-02
9.830755360597098758e-01,1.040186544485800226e+02,4.348772113788935023e+00,3.427237181372979613e-01,-7.496485037533012763e-02
9.614891616498671967e-01,5.999980383743248069e+01,5.973688327385723085e+00,4.217294644297794881e-01,2.132984193602782685e-01
2.338876110092481253e-01,8.037169896199739583e+01,3.814423799358205969e+00,8.570910443596683193e-01,2.596776830094851482e-02
9.753659324406594999e-01,1.326219127581128276e+01,4.303759839875734627e+00,2.726810254030702096e-01,2.781692076217336367e-03
9.009420001484685914e-01,8.868895342019466455e+01,4.822438867596777534e+00,8.656784700254638310e-01,7.994242116836693113e-02
8.401364447887633702e-01,1.423200023695621610e+02,1.516082452877797859e+00,3.035236832485405101e-01,5.717425087481239343e-01
5.319891314270489557e-01,9.529178828500378984e+01,6.250314629867151917e-01,4.258011569356748849e-01,-2.395004952925360586e-01
3.091356276753734478e-01,4.686376232931367269e+01,2.744242235985442147e+00,1.023726079621933849e+00,7.126159619262288636e-02
8.216925208464771480e-01,1.867621086776992456e+02,3.643254175886275537e+00,3.640956440097802838e-01,6.015461939087329846e-01
9.311771438051226202e-01,4.500308773316573507e+01,1.695668398229437379e+00,9.114859873160910952e-01,1.903637713742512283e-01
3.395172450630633554e-01,1.749821004292006421e+02,2.752048313448443029e-01,9.540000886806826452e-01,-1.331564009256489545e-01
5.850409668599682034e-01,4.622520571930701294e+01,5.263405976510273199e+00,2.989236026999239071e-01,2.182530735308438330e-01
4.984775460770783373e-01,3.867136114590562102e+01,4.719290359353911946e+00,1.064101647499460651e-01,1.408573854054941121e-01
9.379155843830395689e-01,1.026738811539427019e+02,5.945321882603368024e+00,7.940658146763656111e-01,6.136812309500535578e-01
1.364596400695911871e-01,1.354584027091210316e+02,9.659436763487095901e-01,8.188826520396217390e-01,8.617174123637232064e-02
7.588055760909047098e-01,9.606566238270998781e+01,2.095204878312674768e-01,5.666056108256641716e-02,-1.674122611941343930e+00
6.529359222540970231e-01,1.065489553190519132e+02,4.642385252116449479e+00,6.072201178485184814e-01,4.914883550166369575e-01
1.255288286021689625e-01,1.284584871979034801e+02,5.443370060585460912e+00,3.582366087843203983e-01,-5.371114293605215584e-02
7.472977955440662789e-01,1.018322540919739794e+02,1.395686330279540144e+00,8.170891112506727394e-01,-1.144774787536110700e-01
1.143925565712147763e-01,1.918023748286555019e+02,2.370946618988375221e+00,6.741747970482291352e-01,1.091643242775955924e-01
7.821559021207853402e-01,3.875095611016576669e+01,5.324889510620266719e+00,2.484327999123117636e-01,1.882759466352165734e-01
5.614828509358702480e-01,8.435430346991255135e+01,7.214025979604221650e-02,1.245030506434646328e-01,-2.842673709319745168e+00
9.361937987173055697e-01,3.426792231233770281e+01,1.678112452116760300e+00,1.683457335869234170e-02,2.554335341619691224e-01
1.594742470516672672e-01,4.753586198720632439e+01,8.153363700026878824e-01,8.507414034812722514e-01,-2.846262784939311563e-02
8.571855516511449613e-01,1.278073965116301025e+02,5.955510094957577216e+00,8.941493860490022927e-01,5.112492522766305392e-01
1.600210078903912814e-01,1.746446278724989440e+02,2.784455343377956194e-01,4.961917491330550822e-01,-7.494244207200445596e-02
4.098789809237126658e-01,7.740682633361171838e+01,3.347311503055813819e+00,8.540479826127292950e-01,1.982699068541975695e-01
4.872688587530499826e-01,1.724043992212024250e+02,4.410301336059474941e+00,4.725225341416987579e-01,-2.557712946051826988e-02
9.694558727056632463e-01,8.222696757929338673e+01,2.985552832031995063e+00,8.265562583063180702e-01,3.885323337396729970e-01
6.060086580056113226e-01,1.447665927153348946e+02,1.651048337367422514e+00,5.927905276028268000e-01,6.187738272970250142e-01
3.329781338538390090e-01,3.107568161852000443e+01,2.078832930925130995e+00,4.207525180758476258e-01,4.877876581808174294e-02
3.175081426849104549e-01,1.148222987901202004e+02,1.402943628957999289e+00,4.722669434513020181e-02,-6.735021021344454739e-02
8.993064885932618990e-01,1.734135051897173341e+01,5.370392378150627088e+00,3.191305455153515269e-01,4.658371051329664170e-02
3.032824855755919535e-01,3.715715988540214454e+01,1.780741675327638870e-02,9.000194793524346482e-01,-4.664644280653529873e-01
2.120992352517551416e-01,6.781962815895076346e+01,7.907455537470624574e-01,6.019799933454473839e-01,-8.945538221964081937e-02
3.594976813068198607e-01,1.931711536656456829e+01,5.445286330611723180e+00,6.706080959246067952e-01,-2.030037687449777126e-02
6.275107583314595283e-01,1.757577024538919659e+02,6.164270954032719629e+00,4.426548680531870450e-01,-5.001244640478378578e+00
5.986814519559410241e-01,1.660483706004517614e+02,2.781880903377733638e+00,3.595350501576773383e-01,1.008533725288882632e+00
8.287396983214999624e-01,1.870465058973908867e+02,4.859967223730567554e+00,9.380673258226520650e-01,-6.992008938461750922e-02
6.044283568055672795e-01,5.269852796626337721e+01,5.561462507657203957e+00,8.365023573869190265e-01,-2.157712426878626577e-01
3.595790929880894327e-01,9.476583635151307305e+01,5.162376767667644195e+00,4.592850195657654511e-01,1.671274079185984807e-01
4.716067084128034437e-01,1.637063425910718593e+02,2.642131243982688282e+00,4.723268099433478029e-01,2.956864936838979330e-01
8.363088738738193584e-01,6.247598437300222685e+01,5.525808204217963038e+00,8.364110447100656653e-01,-3.273816162332535695e-01
6.638558161777781130e-01,1.329939198970490111e+02,2.882215119157498506e+00,3.229759210211092246e-01,9.420073918787829070e-01
9.631698784276980785e-01,7.559908298725743236e+01,4.353584822938678656e+00,2.841187196280330340e-01,-5.735134552268178476e-02
4.324639699825127970e-01,8.160996269344411758e+01,6.189768766822130175e+00,1.030898539909461231e+00,-1.021337945663902680e+00
5.973503594691584873e-01,1.383207803488023444e+02,2.193375368703640138e+00,4.137618252854010636e-01,7.733840238857332405e-01
6.345317814518515176e-01,1.884748768385613289e+02,2.373044101705388709e+00,1.192874243552850821e-01,7.438327443082526358e-01
8.634620874475540386e-01,1.638939385868078205e+02,4.632050820608585084e+00,9.142668537303193510e-01,7.344692845747372578e-01
2.309261843678785953e-01,7.612865101063277962e+01,4.752430728247281522e+00,7.587331015022471536e-01,7.431193035593862406e-02
4.658593030733139684e-01,2.315105043933910878e+01,5.372939348204547327e-01,4.676695449752438782e-01,5.265139501506800601e-02
9.189630654960673217e-01,1.941079087316677487e+02,1.340642615484703315e+00,4.257684127176251943e-02,-6.993534893520635398e-01
1.387601997113837582e-01,7.464253126917080294e+01,2.552199084106402616e+00,3.757429263285480547e-01,1.304406075889401849e-02
8.404356521633518096e-01,1.466754189063447882e+02,2.595018697528786777e+00,9.639144914502357775e-01,1.649252256545758744e-01
4.738456336341022035e-01,2.090124821038078906e+01,8.079503053993674078e-01,1.040477504672392639e+00,-3.149615319014913151e-02
8.468235867502924563e-01,1.223895653127878091e+01,9.346985119287246624e-01,6.893637519762936261e-01,3.893689161794714609e-02
1.089591047265627693e-01,1.319026348951092302e+02,1.833550917892861065e+00,4.232422394643034491e-01,1.231267464455402735e-02
4.285415419824435967e-01,1.741933847236052770e+02,4.793671956574215187e+00,5.959443764853594727e-01,2.095553772623514055e-01
1.707670334490759001e-01,9.219634545354398369e+01,3.153928992412880383e+00,5.007978190658540774e-01,3.092153633610208313e-02
6.873531187029746636e-01,1.310981350585369682e+02,1.507337629784059940e+00,1.046708262545957835e+00,2.026944756747909859e-01
3.464641887396014974e-01,1.435576312137707475e+02,1.241720858950127182e+00,2.644384529622793578e-01,-1.005868881697013079e-01
7.323868635938076688e-01,1.714138040444423154e+02,4.070875262592368871e-01,4.778806665140435950e-01,1.661978237688276350e+00
9.494212842478817471e-01,2.727446733320178396e+01,2.863750011549146990e+00,3.623185197371271982e-01,2.799624501367567464e-01
2.141353920351229956e-01,1.115614252049065982e+02,6.196022875796736606e+00,2.181418761869807488e-01,-1.343885390844667738e+00
8.783004658606967663e-01,9.403581556855846202e+01,1.714953038260227824e+00,4.256324879699046049e-01,5.014370198810023105e-01
1.535177364403046141e-01,7.464894340532320882e+01,3.957276337810577527e+00,5.377862381965151650e-01,8.347085438066451091e-02
4.426934574798004896e-01,8.043181074192791868e+01,2.910382300128282917e+00,2.458071940768337960e-01,3.618066338998702225e-01
4.867966550607190079e-01,8.893500789443545784e+01,3.447243206375615099e+00,6.002111334152967353e-02,5.057784416797491689e-01
5.399645921501178281e-01,4.268616144387470257e+01,1.410239233325199626e+00,7.565813027616011821e-01,-2.474233408352700253e-02
9.788160897424401652e-01,1.741026943300960568e+02,4.854963758031844101e+00,5.893218959147081826e-01,-6.702232804161169233e-02
7.981220692916455306e-01,6.486954418418473267e+01,4.666987723761271134e+00,5.066927270998736882e-02,4.438494041568291637e-01
3.779716264473348963e-01,8.594723731132623357e+01,4.784652251502795828e+00,2.952913264216426859e-01,1.229926974340679047e-01
3.428531069507201323e-01,1.211139530911178497e+02,3.598742569871288044e+00,4.057428752116107318e-01,2.472298782128746208e-01
8.768081837703860515e-01,1.403867028012582239e+02,5.410268116390545279e-01,2.995395555474381077e-01,5.868739520434939072e-01
8.931764554639208820e-01,1.032010331492008959e+02,5.151157743618615115e+00,2.749059388803236637e-01,4.250805367295727444e-01
5.596358549892808121e-01,9.410074106776751535e+01,8.931340289375665209e-02,9.026590016378789327e-01,-1.865299537607908009e+00
4.098661578660927063e-01,7.966173159717141061e+01,1.519436498656420387e+00,4.129444176815176837e-01,1.556003773845156535e-01
9.954256133448260435e-01,1.057831663978183343e+02,2.566882407515212350e+00,2.583583602948855695e-01,1.622872817718112037e-01
3.843491908309301652e-01,5.432686796703632837e+01,1.924231405338259426e+00,6.114937265700300939e-01,-1.456872815675505292e-02
2.644411410339062019e-01,1.384928145818147094e+01,3.136333825930917030e+00,2.528927347204840692e-01,7.825955597432857416e-03
8.920883091736627746e-01,1.838799025205559587e+02,2.326223499075865231e+00,2.167999570767957240e-01,1.356474905375555817e+00
8.311018583001286153e-01,4.582045944516303848e+01,2.085139719087831800e+00,2.396625517719499360e-02,2.103570424673677219e-01
7.011004650142160788e-01,8.609972599334118115e+01,1.654569042296997639e+00,9.336533605480160647e-01,3.036755983336429376e-01
9.625722686001567663e-01,1.123262149003964083e+02,4.525014756133770022e-01,6.690763209101375786e-01,1.185020206931012066e+00
9.331431194929769024e-01,7.381809395340007995e+01,2.728744585943239542e+00,5.370879794809263474e-01,5.177790321050408373e-01
7.734236529715786679e-01,9.130514760558448017e+01,1.965865012228879827e-01,3.581839905280492231e-01,-1.790682674858724344e+00
8.746312685929099606e-01,8.452296917939047205e+01,5.340463698788576741e-01,6.687353628679444384e-01,3.412447685792869279e-01
3.224320662898967349e-01,9.608559368806255918e+01,1.125515641536873446e+00,9.053330849334213504e-01,9.930235496794130590e-02
2.271219012109284563e-01,1.560364331912193450e+02,2.011866033981049018e+00,7.800982835747409805e-01,3.879036373335167237e-02
7.030556643834423580e-01,1.095079252916626871e+02,6.139735108269970709e+00,1.284160060588025211e-02,-3.342161333729905870e+00
7.431566829892775061e-01,1.752165380048936925e+02,4.996517527337370979e+00,1.598122452640255431e-01,-4.774716960560019263e-01
2.503476359040449628e-01,1.380879921766996006e+02,1.318414056579194360e-01,6.581318956302419920e-01,-1.277454866948116941e+00
4.560015457943883965e-01,1.080452742987025090e+02,4.609963952835603784e+00,6.393416675273985161e-01,3.198415456095992648e-01
9.192301895944493539e-01,7.320680773739128711e+01,1.056303389285450756e+00,3.554801209999830514e-01,5.164550772864697770e-01
6.052606907952006177e-01,2.469389293344708491e+01,1.017074324235364147e+00,7.928784799371987324e-01,8.832737254369982249e-02
6.205023234336454196e-01,6.944742396479701085e+01,4.830114589882644971e+00,1.038512165302512003e-01,4.513240533047683384e-02
2.747167956017142476e-01,1.281453455691533918e+02,1.256098924347808898e+00,3.556211560682826511e-01,-9.043846800188190538e-02
5.734200237560876934e-01,1.039147234105061983e+02,2.681886016406749285e+00,7.594799350261485227e-01,2.741528733896686498e-01
5.710912546554279823e-01,3.499170724745140149e+01,3.627601226843310656e+00,2.977542081060743362e-01,9.493970629800352334e-02
1.800420762216447812e-01,1.184655222512063233e+02,4.643648065606483577e+00,4.575027481499100990e-01,1.647620506202918389e-01
9.837484238140355997e-01,6.554416000318782665e+01,4.487233626375974893e+00,4.246268065872276232e-01,1.565520564169260165e-01
6.142560404101969906e-01,6.103225135986277650e+01,2.387983285183063575e+00,1.843866320876483555e-01,2.033628515092385514e-01
1.057679943978791504e-01,6.867712527268679423e+01,3.231062046942135613e+00,3.326694228914525708e-01,2.821122990467474223e-02
7.953842811028497550e-01,1.405320070232613432e+02,1.905633116544744210e+00,9.504289023973077066e-01,-5.428253394220095007e-02
9.804391424561311741e-01,1.361607010876062702e+02,4.237209027997188571e+00,6.267837565143025147e-01,3.565094578745536258e-01
6.308830254888554423e-01,2.605072908395399622e+01,2.650713635066411111e+00,1.050382182514361835e-02,7.762836933743021139e-02
3.877134726543984833e-01,4.950067095022875918e+01,5.029358725282452092e+00,3.482087112367781012e-01,-4.773207932933842823e-02
2.687569441550064497e-01,1.237675870049117322e+02,6.281558389323045333e+00,8.545530247560821913e-01,-1.463156863136151120e+00
7.052739705251823699e-01,2.653603515561160009e+01,2.315762689601930102e+00,4.681645550398553790e-01,1.485337272034189249e-01
2.755966586111245342e-01,1.548625385062447037e+02,2.514601259776948261e+00,1.735431905306529243e-01,5.264853010084321466e-02
6.199191032660733569e-01,1.511031250449935044e+02,5.079055690110161336e+00,2.731207221534295848e-01,2.687222549081765260e-03
6.420152587416632084e-01,4.404515885345526272e+01,1.918889361882574418e+00,1.986283376426773717e-01,-2.404482055356443534e-02
9.661807838119429448e-01,1.974061766682613381e+02,1.977977552341050327e+00,8.785377803074140290e-01,2.130805208014579372e-02
1.650387389768891155e-01,1.637371265864740622e+02,3.390845509577480765e+00,3.503271074211439240e-01,2.795092857480176995e-01
5.499755412927567200e-01,3.217194165986064291e+01,2.327230032748308641e+00,1.533530034769214553e-02,1.490495335854671310e-01
7.696877313543833976e-01,1.792972379273391539e+02,6.983543584002509519e-01,4.792114310286172407e-01,-1.206999519331136250e+00
2.595040664271929254e-01,6.502930889233472556e+01,1.853243861251994584e+00,3.999369292475019044e-03,3.622918498923504219e-03
4.492600586060673251e-01,1.000060955278721622e+02,6.269375388721347697e+00,1.009500293903156931e-01,-2.983921196307838919e+00
1.566059486094742159e-01,3.644131345503841146e+01,2.779479469132741354e+00,8.778409211634143894e-01,3.925274596612088329e-02
7.532927773981991093e-01,9.492725062818571757e+01,5.330460493935362365e+00,3.028156503888736473e-01,4.148908381433443759e-01
1.789910980835381082e-01,1.657568189210649905e+02,8.034208904170174748e-01,7.040428675512747647e-01,-1.500795464286223402e-01
4.555825375221708162e-01,1.174580791471471315e+02,2.778147763194364739e+00,5.693308623953641234e-01,4.834491667746538268e-01
8.861703680086590040e-01,2.409073054711444328e+01,7.098101707683743822e-01,8.897769783729089221e-01,-1.351805147334120272e-01
5.250703030750103473e-01,7.078679314891891750e+01,4.555480717131204393e+00,7.050609701774721572e-01,1.727036806604822505e-01
9.213597402767971234e-01,1.132841123286703890e+02,2.069840060959123207e+00,7.004318834071291411e-01,3.709233348401164143e-01
7.893254059649851273e-01,9.482471113950283836e+01,5.655603990344443055e+00,8.663570235254104412e-01,-2.636005221168487567e-01
9.237915641005892686e-01,1.017729605443308714e+02,2.234939139434055200e+00,9.093783001022979207e-01,6.146478785453118876e-01
2.146627081440157236e-01,1.987568112382858487e+02,6.259704741600391920e+00,1.167985322607709570e-01,-2.809096754960186626e+00
1.662066147975688468e-01,1.039227528695821690e+02,3.200960632619710200e+00,7.030624992410444696e-01,4.052193662826505949e-02
1.632936282122962601e-01,1.964502576989644353e+02,6.137122411397056609e+00,7.729404161095486669e-01,-9.794831249030995224e-01
8.819688649125874136e-01,2.110795804486134131e+01,2.673961961783121399e+00,2.227504410028847137e-01,1.075767188367853650e-01
6.706629814126989775e-01,1.784762399002873110e+02,1.949963643661362989e+00,8.584646530078328119e-01,-4.332723907767710436e-02
5.469145244189677069e-01,8.911804070571881198e+01,4.959220692781349804e+00,4.893192685169730494e-01,-1.751758418156132702e-01
2.471890745768322573e-01,1.732080181432382631e+02,2.334863058291045679e+00,1.449751115937691903e-01,3.428310272114381552e-01
7.063600939545463531e-01,1.847706828619017472e+02,2.104966386567764580e+00,5.966049853616209875e-01,7.165208245773051488e-01
3.862156490612182469e-01,1.127052630268535154e+02,5.568073673431539028e+00,8.161506397985524019e-01,-3.011765120892920256e-01
7.397918769393504457e-01,2.952070908704148877e+01,3.949225447968463421e+00,7.201267597833480583e-01,1.335074875607099032e-01
